location	QoS	longitude	revision	station	latitude
Asia/Shanghai	maintenance	116.11768	2019-11-19	Meizhou	24.28859
Europe/Helsinki	building	24.14662	2016-11-06	Tornio	65.84811
Asia/Shanghai	accep	112.9	2018/08/29	Xiangtan	27.85
Asia/Tokyo	building	136.61667	08/19/2015, 00:00:00	Nonoichi	36.53333
Africa/Abidjan	good	-3.59625	2015/10/09	Bonoua	5.27247
Europe/Madrid	average	-3.67029	20 Aug 2020	Las Gabias	37.13548
America/Argentina/Cordoba	average	-61.4867	06/26/2013, 00:00:00	Rafaela	-31.25033
Africa/Johannesburg	accep	29.24152	2022-09-07	Standerton	-26.93366
Asia/Manila	excellent	121.96361	2020/10/27	Recodo	6.95194
Europe/Belgrade	maintenance	19.61222	2015/03/06	Sremska Mitrovica	44.97639
Africa/Cairo	maintenance	31.4976	2018/04/06	Juhaynah	26.67319
Europe/Berlin	average	10.30215	23 Dec 2016	Bad Segeberg	53.94313
Asia/Shanghai	maintenance	105.89333	06/14/2015, 00:00:00	Beidao	34.56861
America/Denver	good	-111.90466	03/10/2018, 00:00:00	Saratoga Springs	40.34912
Asia/Kolkata	excellent	75.92694	2021-09-13	Davangere	14.46693
Europe/Berlin	good	6.9747	2015-06-01	Wesseling	50.82709
Asia/Makassar	accep	116.82887	2016-04-07	Balikpapan	-1.26753
Europe/Kiev	good	27.06365	07/24/2018, 00:00:00	Shepetivka	50.18545
Asia/Damascus	good	38.28402	08/06/2020, 00:00:00	Tadmur	34.5624
Europe/Rome	excellent	12.84052	2012/12/11	Portogruaro	45.78071
America/Los_Angeles	excellent	-120.00865	2021/03/15	Sunnyside	46.32374
Europe/London	accep	-0.36053	21 Sep 2018	Bushey	51.64316
Europe/London	average	-4.0573	2018/03/11	Viewpark	55.82737
Asia/Yekaterinburg	building	60.8019	12/20/2020, 00:00:00	Beryozovsky	56.9083
America/New_York	maintenance	-73.47429	14 Sep 2014	Massapequa	40.68066
America/New_York	excellent	-75.23266	03 Mar 2013	Utica	43.1009
Asia/Seoul	excellent	128.63083	2014/02/10	Eisen	36.82167
Africa/Nairobi	excellent	35.59642	2017/04/23	Lodwar	3.11988
Asia/Kolkata	accep	84.63445	2013/05/02	Rafiganj	24.81757
Asia/Shanghai	average	120.74792	02/20/2015, 00:00:00	Nanpiao	41.09822
Asia/Karachi	excellent	68.49143	10 Aug 2013	Bhit Shah	25.80565
Europe/Rome	good	9.29109	16 Oct 2019	San Giuliano Milanese	45.39402
Asia/Yekaterinburg	accep	69.49015	06 Oct 2016	Ishim	56.11281
America/Argentina/Ushuaia	excellent	-68.3	2021-08-25	Ushuaia	-54.8
Europe/Rome	average	12.70038	2017/09/09	Cordenons	45.9836
America/Chicago	average	-87.71255	01 Feb 2018	South Lawndale	41.84364
Asia/Kolkata	accep	79.82979	2017/12/16	Puducherry	11.93381
America/Chicago	excellent	-89.99038	23 May 2014	Fairview Heights	38.58894
America/La_Paz	good	-65.71875	2015/11/01	Tupiza	-21.44345
Asia/Kolkata	excellent	78.27539	24 Nov 2018	Robertsonpet	12.95629
Europe/Moscow	average	37.49338	2013-06-25	Tyoply Stan	55.62047
Asia/Kolkata	accep	83.97573	2013/02/12	Sambalpur	21.46527
Asia/Tokyo	maitennce	139.6853	2019-10-14	Shimotoda	35.815
America/Chicago	maintenance	-88.31476	03/16/2020, 00:00:00	Murray	36.61033
Asia/Shanghai	average	109.22921	2013/10/13	Yanliang	34.65918
Asia/Ho_Chi_Minh	maintenance	105.75635	03 Jun 2017	Sa Dec	10.29085
Europe/Paris	accep	2.2469	2022/09/25	La Garenne-Colombes	48.90472
America/New_York	good	-84.67837	2017/03/12	Acworth	34.06635
America/Los_Angeles	average	-123.02621	2017-01-12	Keizer	44.99012
Europe/Paris	accep	4.7934	2016/12/25	Saint-Genis-Laval	45.69558
Asia/Kolkata	accep	83.36889	03/09/2020, 00:00:00	Gorakhpur	26.76628
America/Mexico_City	average	-99.32556	2022/06/16	San Lorenzo Acopilco	19.32889
Asia/Kolkata	excellent	71.57737	2014-04-08	Gariadhar	21.53889
America/Sao_Paulo	excellent	-44.31389	2012-10-05	Esmeraldas	-19.7625
Africa/Lagos	good	4.92235	01 Jun 2017	Efon-Alaaye	7.65649
Europe/Berlin	excellent	6.8625	2013/09/11	Oberhausen	51.47805
Africa/Algiers	accep	1.04945	12 Mar 2019	Frenda	35.06544
America/Bogota	excellent	-75.87877	15 Jan 2019	Andes	5.6561
Europe/Paris	excellent	2.29026	29 Nov 2015	Sceaux	48.77644
Asia/Kolkata	good	75.37991	05/30/2021, 00:00:00	Deoli	25.75728
America/New_York	building	-78.87836	02/18/2022, 00:00:00	Fayetteville	35.05266
America/New_York	accep	-73.97069	2013-01-17	Kensington	40.64621
America/Sao_Paulo	accep	-52.67056	05 Apr 2020	Pato Branco	-26.22861
America/Sao_Paulo	good	-47.1725	2021/08/09	Artur Nogueira	-22.57306
Europe/Madrid	excellent	-5.55835	02 Dec 2013	Villaquilambre	42.64685
America/Detroit	building	-84.62081	2014-11-24	Waverly	42.7392
Asia/Tokyo	good	140.73667	2020-01-24	Hakodate	41.77583
America/New_York	maintenance	-78.04471	08/06/2021, 00:00:00	Leland	34.25628
Africa/Lubumbashi	average	24.43973	10/18/2017, 00:00:00	Yangambi	0.76755
Europe/Madrid	average	-2.77259	2019-10-24	Baza	37.49073
America/Lima	accep	-73.25383	01/10/2018, 00:00:00	Iquitos	-3.74912
America/Port_of_Spain	good	-61.51889	06 Aug 2022	Port of Spain	10.66668
Asia/Shanghai	maintenance	112.19028	06/09/2022, 00:00:00	Jingzhou	30.35028
Asia/Tokyo	building	139.07204	01/28/2019, 00:00:00	Fujioka	36.24624
Europe/Paris	excellent	5.16108	12 Jun 2013	Bar-le-Duc	48.77275
Africa/Lubumbashi	good	24.43973	2013/07/12	Yangambi	0.76755
Europe/Moscow	building	38.02486	02/17/2015, 00:00:00	Malakhovka	55.64776
Asia/Kuala_Lumpur	excellent	101.02083	30 Aug 2016	Teluk Intan	4.02219
America/Manaus	accep	-58.44417	2021-02-12	Itacoatiara	-3.14306
Africa/Abidjan	accep	-5.682	07/17/2016, 00:00:00	Lakota	5.84752
America/New_York	excellent	-84.67837	2017/11/23	Acworth	34.06635
America/Sao_Paulo	accep	-43.80139	14 Jun 2021	Itabirito	-20.25333
Asia/Shanghai	accep	122.05228	01/09/2017, 00:00:00	Tianfu	37.19723
America/Chicago	accep	-87.71255	22 Dec 2012	South Lawndale	41.84364
America/New_York	accep	-84.20299	23 Aug 2018	Lebanon	39.43534
Asia/Dhaka	good	89.11943	11/07/2017, 00:00:00	Kushtia	23.9028
Europe/Paris	building	2.12213	2019-12-10	Le Chesnay	48.8222
Europe/Rome	excellent	9.29109	2018/08/20	San Giuliano Milanese	45.39402
Asia/Kolkata	good	74.3092	01/21/2014, 00:00:00	Rajaori	33.37526
Asia/Kolkata	excellent	74.80555	2021-05-18	Srinagar	34.08565
America/Bahia	accep	-37.93278	2020/12/01	Rio Real	-11.48472
Asia/Shanghai	average	122.08333	2014-12-24	Ulanhot	46.08333
Asia/Shanghai	excellent	112.73333	11 Sep 2022	Xinzhou	38.40917
Asia/Shanghai	average	118.53333	2020/02/07	Pucheng	27.92333
America/New_York	excellent	-83.55521	2020/04/21	Toledo	41.66394
Africa/Casablanca	excellent	-5.22126	2014/03/27	Azrou	33.43443
America/Chicago	excellent	-88.27205	2016-04-17	Kaukauna	44.27804
Asia/Tokyo	good	129.96972	11 May 2022	Karatsu	33.4425
Europe/London	excellent	-0.91979	2021/10/20	Lower Earley	51.42708
Europe/Berlin	accep	7.02238	2021-01-06	Gronau	52.21099
Asia/Shanghai	building	120.74792	10/19/2017, 00:00:00	Nanpiao	41.09822
Europe/Kiev	good	30.96755	2018/05/24	Zvenihorodka	49.07866
America/Los_Angeles	excellent	-118.25508	07/04/2022, 00:00:00	Glendale	34.14251
Europe/Berlin	excellent	12.16179	2016/08/02	Landshut	48.52961
Europe/Paris	excellent	5.4384	2015/09/11	Marseille 11	43.2907
Asia/Manila	building	120.56528	25 Feb 2018	Pilar	14.66
Europe/Paris	accep	2.29275	11/25/2018, 00:00:00	Fontenay-aux-Roses	48.79325
America/New_York	excellent	-72.97261	13 Sep 2021	Rutland	43.61062
Asia/Baghdad	maintenance	44.02488	2015-09-12	Karbala	32.61603
Asia/Tehran	accep	51.0193	09 Oct 2014	Shahre Jadide Andisheh	35.6803
Europe/London	excellent	-1.06667	2014-05-14	Selby	53.78333
Asia/Kolkata	good	78.14797	2017-04-06	Betamcherla	15.45144
Asia/Yekaterinburg	building	69.49015	2022-07-28	Ishim	56.11281
Europe/Berlin	good	8.51667	05/26/2019, 00:00:00	Verl	51.88333
Europe/Berlin	accep	11.18709	2017/08/22	Neuburg an der Donau	48.73218
Asia/Jakarta	maintenance	101.44167	2022-01-18	Pekanbaru	0.51667
Africa/Kampala	average	30.98551	2018/12/15	Paidha	2.41669
Europe/Moscow	accep	30.38167	2019-11-23	Shushary	59.80917
Europe/Madrid	maintenance	-0.18333	07 Jan 2018	Gandia	38.96667
America/New_York	excellent	-74.28459	05/04/2017, 00:00:00	Woodbridge	40.5576
Africa/Accra	excellent	-1.4001	23 Nov 2016	Mampong	7.06273
Europe/Belgrade	average	19.61222	12/08/2020, 00:00:00	Sremska Mitrovica	44.97639
Europe/London	building	-5.53715	06/28/2022, 00:00:00	Penzance	50.11861
Asia/Jerusalem	good	34.8732	12 Dec 2014	Ganei Tikva	32.05971
Asia/Kolkata	maintenance	77.40858	2015/08/18	Leteri	24.05979
Asia/Tashkent	good	69.67639	01/02/2015, 00:00:00	Parkent	41.29444
Europe/Rome	accep	11.04979	12 Jun 2020	Castelfranco Emilia	44.59445
America/Menominee	maintenance	-88.64235	2016-09-05	Iron River	46.09273
America/New_York	average	-82.32483	15 Apr 2020	Gainesville	29.65163
Europe/Moscow	excellent	46.10925	01/03/2017, 00:00:00	Gudermes	43.35071
Indian/Antananarivo	excellent	44.53333	14 Mar 2013	Sakaraha	-22.9
America/Los_Angeles	good	-118.03917	2019/06/19	South Whittier	33.95015
America/New_York	good	-78.87836	2021/11/18	Fayetteville	35.05266
Africa/Mogadishu	maintenance	43.38531	2017/12/27	Baki	9.89206
Asia/Bangkok	good	102.42587	03 May 2022	Bua Yai	15.58552
America/New_York	maintenance	-73.95097	11 Mar 2018	Greenpoint	40.72371
Asia/Manila	accep	123.33471	14 May 2021	Dipolog	8.56697
America/Chicago	average	-93.12577	2015/03/11	Rosemount	44.73941
Asia/Karachi	average	68.11759	05 Mar 2019	Tharu Shah	26.9423
America/Los_Angeles	accep	-119.0376	2015/02/11	Camarillo	34.21639
Asia/Tokyo	accep	137.4	2018-06-12	Toyokawa	34.81667
Asia/Karachi	good	73.97117	04 Oct 2020	Naushahra Virkan	31.96258
America/Los_Angeles	good	-122.86705	18 Dec 2012	Aloha	45.49428
America/Bogota	accep	-73.26022	06/29/2021, 00:00:00	Socorro	6.46838
America/Los_Angeles	building	-123.02621	18 Sep 2014	Keizer	44.99012
Asia/Damascus	good	38.28402	2018-04-02	Tadmur	34.5624
Asia/Kolkata	average	79.5286	2015-07-04	Haldwani	29.22254
America/New_York	excellent	-82.07842	2016-02-29	Punta Gorda Isles	26.91756
Indian/Antananarivo	accep	47.31667	2021/04/06	Antanifotsy	-19.65
Asia/Kolkata	building	73.85535	03 Sep 2021	Pune	18.51957
Asia/Kolkata	excellent	88.18466	01 Dec 2021	Diamond Harbour	22.19303
Europe/Warsaw	good	17.4674	29 Oct 2018	Brzeg	50.86079
America/New_York	excellent	-73.89875	01/03/2013, 00:00:00	Yonkers	40.93121
America/Mexico_City	excellent	-100.88023	2013-01-11	Salvatierra	20.21322
Europe/Kiev	good	29.41824	03/25/2015, 00:00:00	Artsyz	45.99194
Europe/Minsk	good	30.2049	22 Dec 2020	Vitebsk	55.1904
Europe/London	excellent	-2.12139	06/21/2019, 00:00:00	Brierley Hill	52.48173
America/Chicago	average	-95.36969	2017/11/01	Muskogee	35.74788
Europe/Sarajevo	maintenance	19.21437	2019-11-03	Bijeljina	44.75874
Europe/Paris	building	5.16108	06/13/2022, 00:00:00	Bar-le-Duc	48.77275
Asia/Seoul	building	126.665	2020-12-10	Hongseong	36.6009
Europe/London	accep	-1.06667	2013-05-05	Selby	53.78333
America/New_York	average	-73.99681	2020/06/08	Dumont	40.94065
America/Chicago	accep	-96.67834	2014/11/22	Ada	34.77453
America/Chicago	accep	-93.263	22 Oct 2016	Columbia Heights	45.0408
Africa/Algiers	excellent	1.04945	12/03/2017, 00:00:00	Frenda	35.06544
America/Chicago	maintenance	-87.882	2017/07/15	Westchester	41.85059
America/Chicago	building	-97.54667	28 Jun 2015	Hutto	30.5427
Europe/Sofia	building	27.25	15 May 2021	Aytos	42.7
America/Havana	average	-80.58556	2021/11/05	Corralillo	22.98212
Asia/Kolkata	average	88.1453	12/04/2012, 00:00:00	Pujali	22.4711
Europe/Berlin	good	7.11393	2013-06-21	Burscheid	51.08468
Europe/Paris	average	4.7934	09/30/2018, 00:00:00	Saint-Genis-Laval	45.69558
America/El_Salvador	excellent	-89.71472	04 Feb 2022	Sonzacate	13.73417
Asia/Shanghai	accep	123.50266	06 Jul 2021	Hushitai	41.94175
Europe/Madrid	good	0.57856	2014/02/28	Amposta	40.70995
America/Phoenix	building	-111.89903	02 Feb 2020	Scottsdale	33.50921
Europe/Berlin	building	13.31783	02/11/2017, 00:00:00	Hermsdorf	52.61131
Europe/Paris	good	2.1699	2012/12/10	Herblay	48.98994
Asia/Novokuznetsk	average	85.4265	2013-07-10	Yashkino	55.8736
Europe/Madrid	average	-1.86343	03 Apr 2013	Caravaca	38.10558
Pacific/Auckland	accep	171.25364	05 Jun 2022	Timaru	-44.39672
Europe/Paris	building	-4.1	2018-03-23	Quimper	48
Asia/Seoul	excellent	128.63083	2020/09/18	Eisen	36.82167
Europe/London	excellent	1.15597	2015/05/23	Clacton-on-Sea	51.78967
America/Port_of_Spain	good	-61.51889	2013/01/29	Port of Spain	10.66668
Asia/Tokyo	excellent	141.95	2013/12/27	Yamada	39.46667
Asia/Kolkata	good	75.92694	30 Oct 2013	Davangere	14.46693
Africa/Abidjan	average	-3.59625	2016-01-14	Bonoua	5.27247
Africa/Tripoli	accep	20.22625	2014/03/04	Ajdabiya	30.75545
Europe/Brussels	accep	4.69889	2014/05/14	Gembloux	50.56149
America/Mexico_City	excellent	-99.32556	2015/02/21	San Lorenzo Acopilco	19.32889
Asia/Shanghai	good	105.89333	2018-05-28	Beidao	34.56861
Asia/Yekaterinburg	accep	76.92421	2020-09-07	Izluchinsk	60.97944
America/Menominee	excellent	-88.64235	2018/01/15	Iron River	46.09273
Asia/Shanghai	excellent	115.70111	01/05/2021, 00:00:00	Hengshui	37.73222
America/Bahia	maintenance	-39.25	2014-06-29	Muritiba	-12.91667
America/Toronto	accep	-79.2663	2017-02-27	Markham	43.86682
America/Santiago	excellent	-73.02841	06/29/2015, 00:00:00	Chiguayante	-36.9256
Atlantic/Canary	average	-15.58602	2017-11-03	Maspalomas	27.76056
America/Chicago	average	-93.71133	12/06/2015, 00:00:00	West Des Moines	41.57721
America/Fortaleza	accep	-42.29444	06 Jul 2013	Barras	-4.24444
Europe/Brussels	accep	4.25633	04/17/2014, 00:00:00	Beveren	51.21187
Asia/Kolkata	average	83.97573	2019/08/24	Sambalpur	21.46527
Europe/Moscow	maintenance	35.96944	11/20/2017, 00:00:00	Volokolamsk	56.03361
Asia/Kolkata	building	72.85107	2021/06/30	Bhayandar	19.30157
Europe/Lisbon	average	-8.2503	2019/04/26	Albufeira	37.08819
Asia/Kolkata	excellent	75.11937	2016/11/03	Parola	20.88098
Europe/Warsaw	maintenance	19.27498	13 Oct 2016	Jaworzno	50.20528
Europe/Berlin	accep	6.26667	02 Aug 2015	Schwalmtal	51.21667
Europe/Dublin	average	-7.95	2018-02-05	Athlone	53.43333
Europe/Moscow	good	32.86389	12 Feb 2013	Roslavl’	53.95278
Asia/Manila	accep	120.56528	23 May 2018	Pilar	14.66
Europe/Madrid	good	3.1631	14 Jun 2015	Palafrugell	41.91738
America/New_York	good	-71.08977	05/11/2014, 00:00:00	Taunton	41.9001
America/Argentina/Cordoba	excellent	-61.4867	2015-04-15	Rafaela	-31.25033
Asia/Tehran	building	51.0193	2014-09-28	Shahre Jadide Andisheh	35.6803
America/Maceio	building	-37.65	2013-01-26	Lagarto	-10.91722
America/New_York	good	-81.23621	09/13/2019, 00:00:00	Lexington	33.98154
Europe/Moscow	good	43.63417	13 May 2020	Novopavlovsk	43.96222
America/New_York	excellent	-81.79819	2022-04-08	Lakewood	41.48199
Asia/Yekaterinburg	good	65.27258	2012-10-20	Tavda	58.04254
Europe/Lisbon	maintenance	-7.32097	2022/01/27	Custoias	41.1053
America/Boise	good	-116.56346	2020-03-03	Nampa	43.54072
America/Bogota	accep	-75.87877	07 Jul 2020	Andes	5.6561
America/Sao_Paulo	accep	-52.67056	2017/06/13	Pato Branco	-26.22861
America/Los_Angeles	maintenance	-121.75689	26 Dec 2020	Watsonville	36.91023
Europe/Berlin	accep	6.8625	2014/04/22	Oberhausen	51.47805
Asia/Phnom_Penh	building	102.56365	2016-11-18	Paoy Paet	13.65805
America/Costa_Rica	average	-85.43772	12/27/2018, 00:00:00	Liberia	10.63504
Europe/Zagreb	good	16.43915	16 Sep 2013	Split	43.50891
Asia/Kabul	average	65.93249	04 Aug 2015	Sar-e Pul	36.21544
America/Sao_Paulo	accep	-52.67056	2021-01-14	Pato Branco	-26.22861
Africa/Algiers	good	1.04945	15 Apr 2021	Frenda	35.06544
Europe/Warsaw	building	19.27498	07/25/2016, 00:00:00	Jaworzno	50.20528
Asia/Kolkata	building	76.32756	2019-10-08	Kalavoor	9.57046
Europe/Rome	building	17.58522	01/24/2016, 00:00:00	Francavilla Fontana	40.53123
America/Los_Angeles	accep	-116.21677	2021/05/27	Indio	33.7207
Asia/Kolkata	good	77.40858	2019-04-04	Leteri	24.05979
Europe/Amsterdam	maintenance	5.74861	2020/05/14	Emmeloord	52.71083
America/Lima	excellent	-75.11028	2013-02-05	Minas de Marcona	-15.21194
Europe/London	excellent	-0.91979	05 Sep 2021	Lower Earley	51.42708
Asia/Bangkok	excellent	101.18445	2020-08-29	Phanat Nikhom	13.44581
America/Mexico_City	maintenance	-98.11889	2021-07-13	Casa Blanca	19.04222
Asia/Kolkata	excellent	73.85535	20 Oct 2019	Pune	18.51957
Asia/Kolkata	excellent	79.5286	02/12/2014, 00:00:00	Haldwani	29.22254
Asia/Kolkata	average	86.59509	16 Nov 2016	Supaul	26.11527
Africa/Lagos	accep	5.06258	04/27/2020, 00:00:00	Igbara-Odo	7.50251
Europe/Berlin	accep	8.70745	10/22/2021, 00:00:00	Bretten	49.03685
Asia/Tokyo	building	130.94098	2015-11-21	Hita	33.3213
America/Maceio	excellent	-37.03861	04/29/2019, 00:00:00	Barra dos Coqueiros	-10.90889
Europe/Helsinki	accep	24.6522	31 Jul 2021	Espoo	60.2052
Asia/Bangkok	accep	101.18445	08/31/2022, 00:00:00	Phanat Nikhom	13.44581
America/Toronto	building	-73.81669	04/01/2016, 00:00:00	Pointe-Claire	45.44868
America/Chicago	good	-86.99666	17 Jul 2022	Hueytown	33.45122
Europe/Amsterdam	excellent	6.61944	2020-04-26	Hardenberg	52.57583
America/New_York	good	-74.07764	26 Feb 2013	Jersey City	40.72816
America/Los_Angeles	building	-123.02621	2021/12/17	Keizer	44.99012
Asia/Kolkata	excellent	88.58	09/12/2020, 00:00:00	Aistala	23.18
America/New_York	accep	-81.26367	2013/02/21	Deltona	28.90054
Africa/Kinshasa	good	15.16554	23 Aug 2022	Kasangulu	-4.5833
Europe/Paris	average	1.33467	07 Jul 2013	Colomiers	43.61058
Asia/Shanghai	good	130.57211	2013-08-10	Boli	45.75279
America/New_York	good	-71.29144	12/07/2013, 00:00:00	Middletown	41.54566
America/Chicago	good	-93.12577	10/09/2021, 00:00:00	Rosemount	44.73941
America/Porto_Velho	good	-63.90389	23 Aug 2016	Porto Velho	-8.76194
America/Los_Angeles	excellent	-117.70755	01/11/2022, 00:00:00	Laguna Niguel	33.52253
America/Detroit	excellent	-83.48216	2021/12/24	Canton	42.30865
Asia/Bangkok	excellent	104.64992	2021/05/25	Kantharalak	14.64056
Europe/Rome	average	13.57661	09 Oct 2020	Agrigento	37.31065
Europe/Berlin	accep	8.77155	2016/09/15	Karben	50.23019
Africa/Kampala	maintenance	30.91105	10/21/2020, 00:00:00	Arua	3.02013
America/Santiago	good	-71.19901	02 Mar 2018	Ovalle	-30.60106
Asia/Manila	building	123.99333	2015/07/24	Sorsogon	12.97389
Europe/Copenhagen	good	12.53463	2018/09/27	Frederiksberg	55.67938
Africa/Accra	good	-1.4001	2020-01-26	Mampong	7.06273
Asia/Tokyo	average	139.07204	2015/01/17	Fujioka	36.24624
America/Los_Angeles	average	-117.23991	2017-07-03	Opportunity	47.64995
America/Porto_Velho	good	-63.90389	2021-07-27	Porto Velho	-8.76194
Asia/Tokyo	average	138.31667	2014-07-11	Suzaka	36.65
Europe/Berlin	excellent	8.91229	2015/07/19	Eppingen	49.13645
Asia/Novokuznetsk	building	85.4265	23 May 2013	Yashkino	55.8736
Asia/Kolkata	acceptable	75.96976	2021/08/22	Gajendragarh	15.73628
Europe/Berlin	acceptable	11.32903	06/26/2021, 00:00:00	Weimar	50.9803
Africa/Nairobi	excellent	35.59642	2017-06-12	Lodwar	3.11988
Africa/Kampala	good	32.88667	2014-10-31	Kitgum	3.27833
Europe/London	maintenance	-3.52751	2022-04-12	Exeter	50.7236
Asia/Tokyo	building	140.73667	2019/03/16	Hakodate	41.77583
Europe/Paris	good	2.2469	2018-08-15	La Garenne-Colombes	48.90472
Europe/Istanbul	average	29.26639	2022/05/28	Serinhisar	37.58105
Asia/Kolkata	good	84.13864	14 May 2015	Jashpurnagar	22.88783
Europe/Madrid	accep	-1.325	2013/04/25	Jumilla	38.47917
Pacific/Auckland	building	178.00417	2015-11-05	Gisborne	-38.65333
Europe/Warsaw	excellent	19.27498	2017/07/21	Jaworzno	50.20528
Asia/Kolkata	good	76.0586	11/20/2015, 00:00:00	Hungund	16.06213
America/Chicago	accep	-87.70172	05/26/2018, 00:00:00	Evergreen Park	41.72059
America/Porto_Velho	building	-63.90389	2014-10-29	Porto Velho	-8.76194
Europe/Berlin	average	7.36027	2021-03-12	Radevormwald	51.20219
America/New_York	excellent	-73.95958	28 Apr 2013	Brighton Beach	40.57788
Europe/Belgrade	excellent	22.53083	2019-11-14	Negotin	44.22639
Asia/Kolkata	accep	88.28637	06/16/2020, 00:00:00	Pandua	23.07492
Europe/Berlin	accep	13.10984	16 Sep 2015	Oschatz	51.30001
America/Los_Angeles	accep	-121.74052	14 Aug 2019	Davis	38.54491
America/Recife	good	-35.71667	2019-05-27	Catende	-8.66667
Europe/Berlin	good	6.26667	2015-07-07	Schwalmtal	51.21667
Africa/Bamako	accep	-8.07257	21 Dec 2019	Kati	12.74409
America/New_York	excellent	-74.13653	15 Jan 2014	Port Richmond	40.63316
America/Chicago	accep	-96.39774	2018-03-27	Brenham	30.16688
America/Sao_Paulo	average	-52.67056	2020/06/09	Pato Branco	-26.22861
America/New_York	average	-83.55521	2015-10-17	Toledo	41.66394
Asia/Tokyo	good	136.51667	29 Jan 2013	Komono	35
Europe/Rome	average	7.60872	01 Jan 2022	Ventimiglia	43.78956
Pacific/Port_Moresby	average	144.23058	05 Feb 2014	Mount Hagen	-5.85746
Europe/Berlin	excellent	9.17702	2019/12/13	Stuttgart	48.78232
Asia/Ulaanbaatar	excellent	106.88324	2018-11-13	Ulan Bator	47.90771
Europe/Istanbul	good	28.88222	11/17/2014, 00:00:00	Mudanya	40.37528
Africa/Gaborone	good	27.46153	28 Jul 2021	Tonota	-21.44236
Asia/Qyzylorda	building	65.50917	2019/07/29	Kyzylorda	44.85278
Asia/Kolkata	accep	78.27539	2017/11/14	Robertsonpet	12.95629
