longitude	code	latitude	revision	station	QoS
77.24779	IN	10.58806	2021-07-23	Udumalaippettai	good
115.88782	AU	-32.05251	2017-01-19	Willetton	excellent
-58.70072	AR	-34.74785	2019-06-25	Pontevedra	accep
-44.31389	BR	-19.7625	2013/05/10	Esmeraldas	average
138.31667	JP	36.65	06/14/2016, 00:00:00	Suzaka	accep
78.15794	IN	12.1277	19 Jun 2015	Dharmapuri	accep
-37.93278	BR	-11.48472	07/05/2020, 00:00:00	Rio Real	accep
-80.58556	CU	22.98212	2013/08/20	Corralillo	good
31.4976	EG	26.67319	02/27/2013, 00:00:00	Juhaynah	accep
122.08333	CN	46.08333	2018/04/29	Ulanhot	average
-3.52751	GB	50.7236	10/06/2017, 00:00:00	Exeter	excellent
79.82979	IN	11.93381	01/14/2017, 00:00:00	Puducherry	good
-84.20299	US	39.43534	25 Nov 2017	Lebanon	accep
29.65806	TZ	-4.83	2021/12/10	Mwandiga	accep
5.55575	FR	46.67535	2013/11/22	Lons-le-Saunier	building
9.85	DE	53.63333	16 Dec 2018	Halstenbek	average
-120.00865	US	46.32374	2013-10-19	Sunnyside	good
125.21972	TL	-8.99167	2021-10-28	Maliana	building
106.92667	ID	-6.91806	2015/06/03	Sukabumi	good
7.60872	IT	43.78956	09 Jun 2019	Ventimiglia	good
9.22796	DE	48.46458	2015-11-02	Pfullingen	building
-66.8499	PR	18.03496	2020/10/24	Yauco	accep
15.07041	IT	37.49223	2021/02/15	Catania	good
86.59611	IN	25.87498	08/20/2014, 00:00:00	Saharsa	average
4.07601	BE	50.88506	2019/11/26	Denderleeuw	good
-77.43532	CU	20.14298	2020/09/08	Media Luna	acceptable
-73.81669	CA	45.44868	2012/12/15	Pointe-Claire	excellent
139.07204	JP	36.24624	2020-09-08	Fujioka	good
85.83334	IN	20.88197	12/30/2018, 00:00:00	Bhuban	excellent
78.15794	IN	12.1277	2013-07-17	Dharmapuri	maintenance
-116.56346	US	43.54072	2016-01-29	Nampa	average
-72.09391	HT	18.65297	01 Mar 2013	Thomazeau	excellent
17.8031	SK	48.43174	2012-12-31	Hlohovec	building
24.6522	FI	60.2052	02/01/2020, 00:00:00	Espoo	average
-3.53261	ES	40.42386	24 Jan 2021	San Fernando de Henares	average
9.15013	NE	13.70727	10 May 2017	Mirriah	building
139.07204	JP	36.24624	08 Aug 2013	Fujioka	average
-84.23381	US	33.54428	2017/10/13	Stockbridge	accep
-73.89875	US	40.93121	25 Jun 2020	Yonkers	average
-37.93278	BR	-11.48472	12/11/2018, 00:00:00	Rio Real	good
135.31667	JP	34.25	08 Jun 2017	Iwade	average
4.82313	BE	51.24197	2019-03-03	Lille	accep
33.9162	UA	51.67822	22 Mar 2014	Hlukhiv	average
3.50309	DZ	34.15429	11 Sep 2015	Messaad	building
-87.882	US	41.85059	11/30/2021, 00:00:00	Westchester	average
4.62744	DZ	36.06386	2014-11-11	El Achir	good
-89.64066	US	40.56754	2015/07/10	Pekin	good
76.32756	IN	9.57046	06/19/2014, 00:00:00	Kalavoor	acceptable
-0.32247	GB	50.82882	03/04/2016, 00:00:00	Lancing	accep
76.92421	RU	60.97944	06/14/2013, 00:00:00	Izluchinsk	good
136.13108	JP	34.75856	09/25/2017, 00:00:00	Ueno-ebisumachi	good
-1.5443	GB	50.75767	2015/02/20	Lymington	excellent
-97.92977	US	38.06084	02/12/2019, 00:00:00	Hutchinson	accep
41.77921	GE	41.82143	2020/09/11	Kobuleti	accep
60.70278	RU	55.75556	2013/06/16	Ozersk	good
100.04427	TH	13.8196	2015/04/11	Nakhon Pathom	average
118.9707	ID	-3.5403	2017-08-26	Majene	average
11.34046	DE	50.72043	04/20/2020, 00:00:00	Rudolstadt	accep
85.83334	IN	20.88197	22 Feb 2021	Bhuban	excellent
78.55757	IN	17.34769	2014-02-04	Lal Bahadur Nagar	good
-9.24671	PT	38.72706	2013/04/23	Carnaxide	average
-7.95	IE	53.43333	09/26/2014, 00:00:00	Athlone	average
-97.03285	US	47.92526	10 Mar 2017	Grand Forks	good
-86.11084	US	41.75338	10 Dec 2018	Granger	accep
-76.43941	US	39.33427	05/15/2020, 00:00:00	Middle River	maintenance
-53.13722	BR	-22.92306	2016-07-29	Loanda	maintenance
-63.13414	CA	46.23899	09/14/2016, 00:00:00	Charlottetown	average
-119.27337	CA	50.26729	2018-11-22	Vernon	accep
-1.60452	ES	42.06166	07 Oct 2018	Tudela	accep
92.48278	RU	58.23583	03/21/2016, 00:00:00	Lesosibirsk	average
-46.99583	BR	-22.97056	01/24/2022, 00:00:00	Valinhos	building
115.88782	AU	-32.05251	08/08/2019, 00:00:00	Willetton	accep
-79.2663	CA	43.86682	2016-06-04	Markham	excellent
137.4	JP	34.81667	01/12/2019, 00:00:00	Toyokawa	average
5.4384	FR	43.2907	14 Mar 2021	Marseille 11	accep
25.34244	UA	50.75932	2018-04-05	Lutsk	building
-105.36369	MX	22.49396	09/14/2016, 00:00:00	Acaponeta	excellent
-88.3162	US	42.24113	2020-03-20	Crystal Lake	average
-50.19556	BR	-19.72806	03/10/2020, 00:00:00	Iturama	good
-97.54667	US	30.5427	2022-08-30	Hutto	average
17.22635	SK	48.8449	07/24/2022, 00:00:00	Skalica	excellent
67.84222	UZ	40.11583	2015/09/07	Jizzax	average
27.02444	TR	39.59611	2012/10/16	Edremit	good
15.16554	CD	-4.5833	2018/08/14	Kasangulu	good
-80.38297	CA	42.8334	2016-01-22	Norfolk County	accep
4.52529	BE	50.71229	12/09/2019, 00:00:00	Rixensart	accep
-84.50855	US	39.08367	28 Nov 2012	Covington	average
38.2739	RU	46.7055	08/29/2015, 00:00:00	Yeysk	building
1.10687	ES	41.15612	06 Aug 2022	Reus	average
-121.75689	US	36.91023	2020-05-31	Watsonville	average
126.665	KR	36.6009	2016-09-13	Hongseong	maintenance
-87.65644	US	41.80753	2014-01-20	New City	good
59.80222	RU	58.63667	16 Oct 2020	Lesnoy	excellent
15.28318	CG	-4.26613	05/24/2016, 00:00:00	Brazzaville	average
72.93924	IN	18.87813	03/16/2018, 00:00:00	Uran	excellent
-68.30472	VE	9.91861	05/08/2018, 00:00:00	Tinaquillo	accep
-95.30106	US	32.35126	06 Mar 2013	Tyler	accep
123.50266	CN	41.94175	2021/06/21	Hushitai	average
18.28333	SE	59.33333	10/26/2021, 00:00:00	Boo	average
-1.29243	GB	53.49389	18 Sep 2014	Mexborough	good
-78.19444	US	38.91817	2020-07-04	Front Royal	accep
30.38167	RU	59.80917	2016/04/04	Shushary	accep
-86.78777	US	33.44872	07 Jul 2022	Vestavia Hills	accep
-81.23621	US	33.98154	04/28/2015, 00:00:00	Lexington	accep
-77.37331	US	37.60876	12 Sep 2013	Mechanicsville	maintenance
5.16108	FR	48.77275	24 Jun 2020	Bar-le-Duc	average
-41.45861	BR	-4.42472	2018/05/22	Pedro II	accep
14.34085	IT	40.87363	01/09/2015, 00:00:00	Volla	average
12.70038	IT	45.9836	27 Jun 2017	Cordenons	average
102.05461	TH	6.25947	2013/10/01	Tak Bai	good
37.49338	RU	55.62047	26 Mar 2014	Tyoply Stan	excellent
24.75	LT	55.25	10 Jun 2021	Ukmerge	average
48.26258	IR	33.86419	01/07/2016, 00:00:00	Aleshtar	excellent
114.33333	ID	-8.43333	08/11/2022, 00:00:00	Muncar	building
-82.90375	US	32.54044	06/05/2018, 00:00:00	Dublin	building
-93.11308	MX	16.75973	2019-11-14	Tuxtla	excellent
43.2379	RU	50.06	22 Sep 2017	Mikhaylovka	excellent
9.17702	DE	48.78232	2019-09-09	Stuttgart	building
122.08333	CN	46.08333	07 Dec 2016	Ulanhot	accep
140.11667	JP	37.56667	13 Jul 2018	Inawashiro	excellent
122.9666	PH	10.7375	08/02/2014, 00:00:00	Talisay	average
-52.51028	BR	-28.81833	2015/10/10	Soledade	excellent
-76.88442	US	40.2737	01/21/2018, 00:00:00	Harrisburg	excellent
-8.2194	ES	43.48961	08/04/2018, 00:00:00	Ferrol	accep
-84.23381	US	33.54428	2020/07/11	Stockbridge	average
117.65694	CN	36.19278	06/08/2015, 00:00:00	Laiwu	building
-13.68778	GN	9.535	2013/07/28	Camayenne	good
125.51176	CN	42.64031	14 Nov 2019	Dongfeng	good
8.96317	DE	48.35149	2017/10/17	Hechingen	maintenance
-42.29444	BR	-4.24444	2013/10/21	Barras	average
-2.52398	GB	53.19146	11 Mar 2017	Winsford	good
-120.93549	US	37.73604	19 Dec 2019	Riverbank	maintenance
6.9747	DE	50.82709	2018/12/11	Wesseling	accep
-75.87877	CO	5.6561	2015-02-28	Andes	excellent
139.6853	JP	35.815	11/27/2019, 00:00:00	Shimotoda	excellent
-66.8499	PR	18.03496	01 Jul 2016	Yauco	accep
-73.49484	US	41.14676	06 Mar 2015	New Canaan	good
-86.77917	US	36.02506	25 Feb 2021	Brentwood Estates	average
36.36339	KE	0.03813	27 Aug 2022	Nyahururu	excellent
19.21437	BA	44.75874	06/10/2020, 00:00:00	Bijeljina	maintenance
137.02166	JP	35.48199	11 Jun 2014	Minokamo	maintenance
114.33333	ID	-8.43333	05/31/2020, 00:00:00	Muncar	maintenance
116.82887	ID	-1.26753	2022/01/20	Balikpapan	excellent
1.15597	GB	51.78967	25 Feb 2020	Clacton-on-Sea	average
-7.95	IE	53.43333	2017/06/26	Athlone	good
5.23333	NL	52.09	12/05/2015, 00:00:00	Zeist	maintenance
-48.52333	BR	-0.71667	09/24/2013, 00:00:00	Soure	maintenance
16.50104	IT	41.24264	2021-01-03	Bisceglie	excellent
72.68533	IN	22.75218	2020/12/19	Kheda	good
34.33825	RU	53.59782	20 Nov 2021	Dyat’kovo	average
99.96667	TH	8.43333	2019-12-03	Nakhon Si Thammarat	excellent
14.66737	IT	41.55947	20 Sep 2015	Campobasso	accep
16.43915	HR	43.50891	2021-04-29	Split	excellent
-69.96533	US	43.91452	07 Jan 2018	Brunswick	good
39.28333	TZ	-10.33333	2017-02-22	Nyangao	excellent
-1.325	ES	38.47917	2020-03-31	Jumilla	excellent
79.82979	IN	11.93381	12/22/2018, 00:00:00	Puducherry	excellent
-44.31389	BR	-19.7625	2016-09-12	Esmeraldas	accep
7.11393	DE	51.08468	03 Nov 2017	Burscheid	building
32.86389	RU	53.95278	2021/10/22	Roslavl’	excellent
-86.57415	HN	15.48131	2019-07-09	Olanchito	excellent
-71.05977	US	42.35843	11/25/2012, 00:00:00	Boston	average
123.50266	CN	41.94175	2021-06-06	Hushitai	good
75.92694	IN	14.46693	30 Sep 2016	Davangere	average
-76.99081	US	38.96372	2017-08-18	Chillum	accep
-6.03731	ES	37.35813	2020-08-21	San Juan de Aznalfarache	accep
-119.27337	CA	50.26729	2022-05-08	Vernon	accep
-87.70172	US	41.72059	13 Nov 2012	Evergreen Park	maintenance
9.0027	NG	11.86064	03/27/2017, 00:00:00	Gaya	excellent
-1.29772	GB	50.76306	2015/10/10	Cowes	average
-79.2663	CA	43.86682	2017-11-02	Markham	excellent
-52.20639	BR	-3.20333	12 Sep 2020	Altamira	maintenance
-79.2663	CA	43.86682	2017/06/03	Markham	good
8.70745	DE	49.03685	03 Jul 2018	Bretten	maintenance
128.63083	KR	36.82167	09 Oct 2017	Eisen	average
24.95034	FI	60.18427	2014-01-02	Kallio	average
-50.00639	BR	-25.42944	07/08/2019, 00:00:00	Palmeira	good
106.92667	ID	-6.91806	11/19/2021, 00:00:00	Sukabumi	accep
3.39467	NG	6.45407	03/03/2019, 00:00:00	Lagos	accep
34.4587	MW	-13.7804	05/01/2022, 00:00:00	Salima	excellent
120.56528	PH	14.66	2020/04/23	Pilar	accep
10.03988	DE	53.6052	2020/09/07	Barmbek-Nord	maintenance
3.20639	BE	50.74497	03/20/2021, 00:00:00	Mouscron	maintenance
120.03308	CN	28.88162	2019/12/31	Guli	excellent
-103.42897	MX	20.28527	2021/09/09	Jocotepec	good
18.28333	SE	59.33333	2013/12/15	Boo	excellent
51.67462	IR	32.65246	2022/02/08	Isfahan	good
-48.67028	BR	-28.24	04/15/2020, 00:00:00	Imbituba	good
4.62744	DZ	36.06386	28 Aug 2018	El Achir	accep
9.17702	DE	48.78232	2017-01-15	Stuttgart	good
123.99333	PH	12.97389	2020-12-23	Sorsogon	excellent
-73.86586	CA	45.43341	02 May 2016	Beaconsfield	accep
-1.86343	ES	38.10558	10/31/2016, 00:00:00	Caravaca	building
20.89389	XK	42.62833	2012/12/15	Glogovac	good
24.71204	BG	41.57439	04 Aug 2018	Smolyan	average
-93.71133	US	41.57721	2018-08-21	West Des Moines	excellent
78.14797	IN	15.45144	2022/09/18	Betamcherla	average
8.63333	DE	52.2	2015-01-01	Kirchlengern	good
-82.07842	US	26.91756	2014-04-26	Punta Gorda Isles	accep
8.2926	NG	9.58126	2013/12/14	Kafanchan	excellent
-76.99081	US	38.96372	2016-02-04	Chillum	maintenance
7.00417	NL	52.26083	01 May 2016	Losser	excellent
97.01124	MM	17.30858	2013-10-18	Kyaikto	average
34.11169	KE	0.46005	2018/08/12	Busia	maintenance
-82.32483	US	29.65163	2016/07/24	Gainesville	good
113.82465	CN	23.29549	2015/06/02	Licheng	average
-119.48568	CA	49.88307	02/24/2022, 00:00:00	Kelowna	excellent
60.70278	RU	55.75556	2014-11-30	Ozersk	average
-105.36369	MX	22.49396	2019/03/24	Acaponeta	accep
0.57856	ES	40.70995	27 Apr 2020	Amposta	average
41.00817	TR	38.13708	2012/10/13	Silvan	building
-73.97069	US	40.64621	2020/09/05	Kensington	excellent
20.22625	LY	30.75545	2018-08-04	Ajdabiya	accep
30.4347	RW	-1.9487	2022-09-17	Rwamagana	accep
