PRES	latitude	longitude	PAHs	warning	TEMP	C2H3NO5	CH4	PM10	Pb	CO	PM2.5	O3	NH3	SO2	NOx	H2CO	CFCs
1131.46872	-17.83333	48.41667	5.97958	1.00000	6.90553	2.28833	7.33125	5.87938	36.52670	7.32324	9.96810	6.45886	7.79640	6.36572	4.88935	48.41691	53.91329
1189.68155	42.35843	-71.05977	7.02667	0.00000	27.55061	2.29134	4.97611	3.02489	40.35729	7.33575	8.26750	7.44729	6.41967	5.96876	5.90432	48.19312	81.86432
1052.85543	-22.53722	-42.98194	9.02615	0.00000	2.67975	3.10714	6.30616	3.71816	48.20400	3.10579	1.93349	7.84789	7.18710	7.86948	8.23581	54.05164	49.00224
1098.89022	53.95278	32.86389	9.32819	0.00000	-5.79902	4.74018	2.69379	7.69591	37.25947	7.91940	7.63660	5.77279	5.73018	8.18162	7.83601	51.70337	74.02462
1104.58503	41.77583	140.73667	7.60324	1.00000	24.76599	2.26359	9.46938	4.00227	40.09820	8.94321	7.54354	6.43494	5.56475	8.26261	7.27982	70.68259	49.61557
1190.08110	52.26083	7.00417	2.21128	1.00000	-5.25324	12.43573	5.87372	9.11094	27.49204	7.89040	6.10924	7.55626	5.88045	7.15545	6.59591	57.79404	49.70349
1136.80787	2.2139	102.3278	5.70394	1.00000	13.44516	2.21174	8.97861	5.64370	32.89458	4.92269	6.73607	6.49955	6.97335	6.98449	6.59526	29.89041	65.04297
1140.56570	20.88098	75.11937	6.09196	1.00000	23.33441	2.46046	7.98822	3.83642	48.91395	4.43466	8.18951	7.00803	7.41549	8.29845	7.68134	68.73230	59.13411
1189.80204	33.14447	47.3799	8.94709	0.00000	18.98223	1.63561	5.09909	4.73997	32.93195	7.49522	7.43536	5.87243	6.32065	8.28010	7.81375	68.27565	66.76716
1164.59928	31.82539	72.54064	7.22900	1.00000	27.08470	2.15824	7.08139	5.09140	54.17107	8.41910	7.42077	5.44786	7.78663	4.25212	6.83587	59.07958	61.99516
1051.77460	2.41669	30.98551	7.84119	1.00000	21.36841	2.23298	8.60683	5.62395	29.25222	10.04099	7.73307	6.30349	5.57163	9.39374	7.87622	33.72395	47.92769
1101.31949	19.21667	73.08333	7.82567	1.00000	15.62493	1.97971	8.42031	5.64659	39.69946	7.32667	6.96134	5.77900	6.85817	4.34497	8.51921	64.97203	59.93000
1169.01221	18.51957	73.85535	7.99940	0.00000	11.06763	2.44644	8.15449	3.19554	29.43460	7.85284	3.73286	8.79659	6.50487	8.55876	6.52163	70.03161	46.83682
1132.76790	23.07492	88.28637	8.30329	1.00000	30.94214	3.20466	7.79134	6.19240	58.57718	7.04591	9.81303	7.36071	7.41081	4.90158	6.59907	50.64700	51.69098
1114.93314	26.76628	83.36889	10.38663	0.00000	5.83874	3.36615	5.05115	6.09250	26.99763	7.57273	7.26157	6.45992	7.71319	10.14681	6.38637	70.81880	62.56907
1120.87851	38.72706	-9.24671	6.06090	1.00000	10.64591	3.19127	9.48461	4.50530	63.14419	8.86913	8.40834	5.88808	6.75797	5.50637	6.56435	57.84691	58.86321
1078.63039	52.09	5.23333	2.96037	0.00000	34.20134	2.66112	7.54394	4.16836	44.95278	6.80659	6.81784	6.36204	5.70405	7.45656	4.11647	62.24864	68.57850
1189.17487	54.8421	46.5813	3.48547	1.00000	9.81161	1.35097	8.34013	4.84790	45.05110	7.32610	8.07627	6.25025	7.54940	7.59739	7.11144	70.84151	58.14641
1073.63022	44.85278	65.50917	4.38394	0.00000	22.27154	2.71765	7.73836	7.06802	57.97160	7.58205	9.33795	6.79519	6.59618	5.92221	8.17729	50.93128	75.91866
1118.86472	55.1904	30.2049	4.39508	0.00000	30.46782	2.49623	3.23962	4.34842	35.28423	7.60955	6.80009	7.41531	6.78650	6.74470	7.03399	40.04786	52.67272
1094.37465	11.8659	34.3869	7.66634	0.00000	17.73498	2.81479	3.19798	5.41071	33.55545	5.09333	7.06534	8.39356	7.94524	7.83633	7.32693	61.09598	48.91057
1188.69577	32.54044	-82.90375	9.24794	1.00000	16.75279	2.46790	7.73642	6.05872	32.03835	7.41605	8.19512	7.96625	6.35374	5.73854	6.05915	74.53453	43.83847
1160.59851	58.23583	92.48278	7.95178	1.00000	7.26368	1.80179	8.83794	3.89860	35.12659	3.49791	7.93693	7.94211	8.18219	6.71824	6.18509	41.51343	65.63090
1083.93460	-4.26613	15.28318	6.39592	1.00000	7.92673	2.63028	8.24220	4.11552	45.80465	9.65480	8.32639	6.22565	7.09403	6.19595	8.41296	69.90137	56.34181
1077.83839	48.98693	2.44892	7.13309	1.00000	12.99768	2.95762	8.02319	4.57672	51.53689	9.11813	7.90784	7.99089	7.23727	5.92847	7.23304	53.14888	76.88149
1141.98702	39.33427	-76.43941	4.19877	1.00000	14.52883	2.41954	7.64720	3.58048	60.57558	4.54954	6.29018	5.78097	6.95098	9.34493	5.03990	48.09000	46.27612
1134.09263	33.50921	-111.89903	7.94616	0.00000	-0.98130	2.79878	8.25165	5.90852	38.49740	7.02137	9.60204	5.60790	6.55646	5.02464	5.73597	20.15099	47.57600
1117.87481	39.32288	-76.72803	1.92584	1.00000	22.35544		5.32735	7.50747	29.34693	7.16599	8.47009	5.86259	7.17266	10.31779	6.55368	49.51232	47.10046
1181.62808	50.09019	8.4493	9.57603	0.00000	17.73409	2.06498	4.24091	6.01844	34.31199	8.49785	6.95528	5.55646	5.12563	10.07783	6.30369	53.11596	56.82251
1128.55646	37.65181	120.33063	5.80388	1.00000	30.64308	2.62162	8.10745	2.94258	63.78270	9.69536	7.54950	6.91995	5.70487	6.23530	5.92527	71.29436	65.09765
1086.31461	52.41667	0.75	4.15103	1.00000	15.49527	2.78724	6.65649	5.73006	38.32335	5.14487	7.22375	7.11671	4.78517	9.15747	6.25770	68.22739	62.14598
1178.74443	31.92923	34.86563	6.15355	0.00000	20.63182	2.14708	5.34116	5.42102	57.27438	8.14645	4.68117	5.07260	6.98534	9.74769	7.40311	53.39545	51.22258
1109.57608	38.38479	-0.76773	3.86144	0.00000	-1.77204	2.47124	8.39998	4.10344	47.25671	6.16619	5.99392	4.71826	5.92770	8.22878	6.33712	32.67320	57.79154
1075.73518	20.21322	-100.88023	8.97748	1.00000	10.16457	2.22182	8.03845	5.62780	30.52009	7.01379	8.88211	6.46958	7.54905	6.34645	7.23949	33.81719	61.48461
1180.74195	-4.42472	-41.45861	3.65069	0.00000	21.04749	3.23730	7.92708	4.50842	40.05408	7.71249	7.48755	5.13314	7.00791	7.46087	6.94467	46.69854	53.81876
1068.97276	34.21639	-119.0376	8.73412	0.00000	8.73370	1.46530	5.12259	4.56533	51.35589	5.69227	4.83975	6.32225	4.92096	8.70513	6.32197	78.15042	37.09692
1131.07028	42.62833	20.89389	3.91119	0.00000	15.71207	1.81091	7.34170	4.82258	27.38030	6.26795	8.33194	5.62960	4.91396	7.59775	7.49203	45.03945	68.11210
1194.63056	34.75856	136.13108	6.16329	0.00000	14.42615	2.61198	5.44228	5.32835	60.55019	11.43458	4.83799	7.00521	6.89175	7.20764	5.70464	31.07888	59.92107
1164.17409	55.82737	-4.0573	7.36442	1.00000	7.16882	2.43559	6.17382	2.53621	60.84621	7.40315	7.47764	5.90352	6.08942	5.27385	6.69255	77.97840	60.74180
1136.67694	41.94175	123.50266	8.65439	1.00000	24.33733	2.22555	8.40369	6.01953	47.73278	8.08559	8.38813	6.61811	6.72073	6.46268	7.72024	61.82736	50.60885
1072.60030	53.16167	6.76111	10.76085	1.00000	22.56770	2.84982	7.40380	5.50317	30.72078	7.29207	7.52200	6.27377	8.54610	7.29088	6.21404	68.81063	73.14668
1112.07584	-22.92306	-53.13722	9.01348	0.00000	6.21772	2.82760	5.36656	5.61195	41.47158	6.32310	4.79499	5.83238	6.17943	8.41078	7.46243	72.88706	47.27816
1116.72709	15.45144	78.14797	5.93410	1.00000	21.00590	1.86771	8.50910	3.55820	50.79794	7.41693	9.04366	6.20107	7.94429	4.63050	8.30612	57.54901	59.27915
1060.73092	33.52253	-117.70755	10.35155	1.00000	22.40051	3.43024	6.00758	6.62507	41.46866	5.10005	9.54668	6.94463	7.10229	4.36144	5.59210	62.82444	43.46240
1178.46578	53.19146	-2.52398	4.78778	1.00000	15.87748	2.43841	7.79912	4.46820	64.58232	10.24562	8.34801	7.15934	6.18220	9.27744	6.39938	42.38903	54.51663
1080.05459	42.24113	-88.3162	9.22409	1.00000	24.51957	3.05003	5.96606	6.44892	31.80669	5.52366	10.61928	5.37125	6.10136	3.37966	7.75923	80.74855	67.10567
1061.29497	-32.05251	115.88782	6.87500	1.00000	23.73065	2.26748	8.71950	5.39618	49.57853	7.12469	9.82730	6.92096	5.87710	4.87258	8.27555	69.01413	52.32336
1181.45003	55.25	24.75	8.74153	1.00000	12.54458	3.04413	8.22157	6.04514	27.85092	8.01197	8.24458	6.89531	5.51262	6.19788	8.77381	47.67939	47.83699
1171.06057	-0.35817	42.54536	7.81705	1.00000	18.25639	3.96418	10.16113	7.27472	62.42172	9.27106	7.32169	6.76825	5.96890	5.73730	6.35163	62.79853	55.74797
1173.95725	53.19146	-2.52398	6.05286	0.00000	-10.97233	3.18379	8.07261	6.10342	66.35416	7.29656	7.95013	7.84480	5.84406	7.13480	6.07227	45.33793	35.21972
1195.66437	48.35693	10.98461	5.08658	1.00000	9.18954	2.94816	10.60006	6.53268	58.49323	9.90314	8.68390	6.58869	6.67870	4.54711	4.42158	67.04260	49.33541
1173.61440	50.80904	8.77069	4.60498	1.00000	35.21615	2.47567	8.63727	4.99810	46.46564	5.33698	7.53691	6.22342	7.74391	8.49986	6.41409	57.28923	62.16934
1076.85287	18.65297	-72.09391	7.08189	1.00000	14.99982	3.38421	8.25753	3.56803	34.52078	3.21342	8.59008	7.09653	5.24216	9.02008	6.68272	46.81629	57.67541
1066.57279	-31.25033	-61.4867	6.44161	1.00000	12.21120	2.70005	10.24445	6.09187	47.56809	9.50213	6.21251	6.78631	6.13769	4.93482	5.98055	66.42458	74.00164
1117.35157	-4.26613	15.28318	4.31905	1.00000	25.09475	5.47891	7.77502	8.19174	42.37381	7.26030	6.45554	8.13037	6.81382	5.26031	6.19577	58.08201	36.25251
1109.03667	11.93381	79.82979	4.24950	1.00000	-5.65042	3.49686	7.66718	6.51118	29.91032	5.78963	8.26298	5.61142	6.24344	8.37276	7.27097	39.36774	54.07394
1184.07005	41.82143	41.77921	7.96325	1.00000	12.23985	2.73635	9.80266	6.01484	36.48147	9.11971	6.98567	4.44262	7.00684	6.59264	7.08414	58.96531	42.29772
1085.10211	31.64615	120.74221	3.60871	0.00000	19.57676	2.52351	6.87665	4.28871	23.87240	5.22506	9.25324	8.34743	7.69304	7.91165	6.81725	36.56180	57.52738
1191.21604	45.43341	-73.86586	5.59244	1.00000	2.44881	2.46155	7.01959	5.58291	23.21682	4.87317	7.72216	6.46828	6.74198	7.89290	6.90722	55.07812	61.47796
1146.69372	-21.98333	16.91667	4.51895	0.00000	24.57324	1.95075	7.34793	4.87866	68.56839	4.77381	7.53161	6.95226	8.59587	6.80185	7.10805	62.38994	58.99588
1199.80805	34.75856	136.13108	6.52979	0.00000	14.29930	3.59773	2.81387	6.77595	54.95519	8.45103	7.57524	6.11248	7.08479	7.26015	7.80305	46.51667	68.56357
1052.93983	34.85	117.33333	7.33777	0.00000	34.76937	3.05837	5.11916	5.37482	49.73958	6.79204	4.24567	7.22308	6.06568	6.52139	9.05402	33.44621	59.85014
1132.07001	33.52253	-117.70755	8.54147	0.00000	-3.40396	3.15912	4.87133	5.74867	44.55291	7.53888	3.70623	6.30807	6.40605	7.91586	5.62288	56.88936	46.54635
1167.85000	41.14676	-73.49484	7.46913	1.00000	21.03184	2.97095	6.49764	6.03921	28.33052	5.54439	10.13780	7.02125	5.07392	6.83213	7.08081	52.37470	65.14875
1112.48131	58.63667	59.80222	4.90386	0.00000	28.84554	2.54367	7.83123	3.37342	44.97182	8.98894		4.88536	6.65579	10.07143	5.43568	69.48442	60.95387
1097.37786	14.62578	121.12251	5.34885	1.00000	16.69715	2.06966	8.42332	5.18438	61.97620	9.34102	6.39289	7.35093	7.41389	7.87549	7.59339	43.21679	59.83245
1155.74866	40.87363	14.34085	6.90614	1.00000	25.08133	2.07097	8.14978	4.92633	37.40090	7.61345	8.41408	7.29575	5.22446	4.25560	5.32016	51.31324	63.66487
1089.01519	42.52787	-70.92866	5.88358	1.00000	18.43191	3.19633	8.72765	3.94959	66.26096	3.72915	6.69294	6.56121	7.95550	8.10982	6.10952	41.75055	80.74113
1132.57909	-8.66667	-35.71667	5.25778	0.00000		2.95778	7.44753	6.28310	49.35696	7.79355	9.20778	6.40901	7.15111	7.89805	6.78767	67.98132	58.94611
1101.54906	-22.92306	-53.13722	5.21760	0.00000	20.28324	3.43976	7.45419	6.51531	41.79248	8.57299	9.64879	6.55157	6.27524	7.52564	7.29137	64.14349	46.26114
1161.63856	39.43534	-84.20299	5.69603	0.00000	32.92883	2.99420	7.50551	4.79598	59.33001	7.90142	8.46506	7.35349	5.11130	8.46887	7.72682	42.03869	63.73783
1053.53085	36.53333	136.61667		0.00000	33.19099	2.21746	6.52005	4.17153	60.35884	7.04950	6.60482	6.98758	5.90092	8.66426	6.67964	58.95631	49.29354
1149.15005	17.30858	97.01124	3.34665	0.00000	16.56151	2.89902	7.88773	2.07848	26.92579	6.15840	5.48338	4.58501	5.85662	9.48276	5.12528	49.08736	59.08209
1172.91224	15.79408	104.1451	7.05068	0.00000	13.31257	2.64354	7.70025	6.02526	32.52645	8.37732	8.45674	6.01479	5.03332	9.00163	5.01309	44.76389	52.20467
1181.28766	58.23583	92.48278	5.79801	1.00000	3.35904	2.26066	7.60241	5.26812	49.72189	4.60958	9.51867	6.53596	5.90535	9.28872	6.92975	76.38134	55.48685
1121.55144	-10.95817	-38.79084	7.56350	0.00000	2.19464	3.89106	8.48654	6.32101	40.42365	10.48300	8.37005	6.15710	6.20514	8.29199	7.02060	45.04320	50.57661
1135.51697	3.3285	99.1625	7.83797	1.00000	12.72608	3.07023	8.29055	4.82889	29.60152	7.83479	8.76914	7.23100	5.83333	6.01633	7.55565	49.73842	40.53403
1195.70320	58.63667	59.80222	8.28408	1.00000	15.42129	1.91009	7.64529	5.41235	46.83112	7.62200	7.62538	7.50912	6.11660	5.21738	6.61111	52.72936	41.20990
1057.37553	53.69786	-2.68758	6.66039	0.00000	14.39943	3.27035	7.80548	5.15468	57.19818	6.66088	8.43526	7.32640	4.82397	8.54622	4.95795	49.34916	61.16846
1129.36018	-19.7625	-44.31389	8.47098	1.00000	8.40026	2.62901	6.71530	4.49202	47.18637	6.86914	7.99466	4.61582	7.83587	5.40761	4.59178	56.44479	51.12016
1087.35016	31.84568	-102.36764	5.72242	0.00000	4.98974	2.88757	7.90600	6.21000	31.62948	7.48514	8.26226	6.91415	7.79953	5.81188	4.83198	18.54680	58.35874
1095.84651	36.20389	127.08472	7.27349	0.00000	10.36378	3.70371	7.42136	7.26475	34.58783	9.45806	9.75469	6.09814	6.40025	7.70277	5.95950	58.04417	58.27407
1101.02154	44.27804	-88.27205	9.15154	1.00000	29.34973	2.66383	4.85618	4.45845	44.59080	5.17040	11.66028	5.38211		4.86290	7.22238	55.95075	50.08570
1124.74409	37.60876	-77.37331	9.99743	0.00000	22.59619	4.99893	3.52698	7.95233	28.44110	8.54852	6.78817	6.18187	6.66706	9.87779	6.85027	87.49018	54.82507
1070.54846	19.64745	-102.04897	9.19698	1.00000	23.74391	1.99012	4.80571	5.61160	47.44083	4.08388	11.50740	6.44562	7.69647	2.56065	6.41649	60.66908	57.52709
1172.32857	38.72706	-9.24671	4.75523	1.00000	17.01746	2.06544	8.19048	3.41743	32.25823	4.19211	7.26584	6.92982	7.61048	9.64174	7.77910	52.86764	65.49051
1199.94124	-21.42917	-45.94722	10.46896	0.00000	-0.43231	2.75479	6.15093	6.00189	57.70542	7.69154	5.65510	6.99346	7.38709	10.17202	6.07587	54.22877	40.97769
1071.57024	53.77166	38.12408	8.30459	1.00000	21.99929	2.74525	6.22342	4.65884	41.97841	5.52719	8.13553	7.52554	5.92427	3.75458	7.65476	55.59662	59.84219
1130.88574	41.92361	20.91361	6.07321	1.00000	21.87814	2.83379	7.54971	5.28939	64.43899	4.20367	7.70875	4.81595	7.04421	8.03325	6.64072	49.72020	60.57060
1176.29080	41.16704	-73.20483	7.14186	1.00000	22.16774	3.11839	8.77990	6.32436	49.30954	5.40676	8.47472	5.49024	5.77372	6.09014	7.30907	54.42180	51.05744
1054.83931	46.08333	122.08333	9.58053	1.00000	13.79068	1.73208	5.43282	4.72566	40.69076	6.03047	8.29300	7.02394	6.93812	4.81142	7.18604	30.73781	44.13083
1182.36327	39.00622	-77.4286	8.20106	1.00000	15.29241	3.45382	8.82038	7.08565	34.01997	6.78569	8.84606	5.27115	6.52391	3.88932	7.19608	79.30586	73.73293
1123.69462	40.87363	14.34085	9.00484	0.00000	18.55550	2.97251	6.19996	4.29590	44.29015	5.47823	4.14579	4.78043	8.61175	8.27990	6.22697	59.47936	46.65400
1152.61465	-28.81833	-52.51028	5.60432	0.00000	22.02106	3.06701	3.52294	7.06036	59.11726	10.54466	5.89556	5.01853	8.60725	7.82689	7.75316	61.43908	41.65336
1135.20279	-31.25033	-61.4867	6.79887	1.00000	11.11049	2.31163	7.42000	5.28679	65.42903	7.00521	9.82226	8.22989	8.45616	4.16197	5.76185	67.04843	75.00393
1066.31702	51.88333	8.51667	6.10590	0.00000	29.05318	3.14692	5.22720	5.76830	47.16132	11.24412	5.77790	6.79035	7.02101	6.87362	8.39858	66.17037	50.58032
1173.22139	33.08014	-83.2321	9.55787	0.00000	19.51944	4.10583	4.39094	6.54178	49.28299	7.09631	4.81909	5.47423	7.55684	6.91875	6.55141	76.62407	66.64269
1174.89246	6.46838	-73.26022	8.28700	1.00000	19.96680	1.12137	5.81166	4.35603	60.56493	5.42104	9.94258	5.01208	6.12520	4.03418	7.15552	64.18568	28.51174
1112.37144	9.91861	-68.30472	6.10487	0.00000	2.00346	3.07932	7.86684	5.34919	50.80439	9.10712	8.47496	7.58088	7.68550	8.18809	6.53505	48.02144	65.63409
1050.05722	41.16704	-73.20483	8.67905	1.00000	17.20559	3.89697	8.28519	7.25084	43.18054	7.14048	9.54252	7.04167	7.36526	4.60246	5.93482	62.38318	66.76172
1152.55564	40.66482	122.22833	6.93960	1.00000	25.42754	4.03512	9.32468	6.10584	46.50455	8.72742	8.54881	6.19168	6.05751	4.82568	4.43111	78.31734	56.30743
1129.56067	56.11281	69.49015	4.33682	1.00000	21.95987	2.53430	6.16582	5.47468	41.39007	5.76085	6.88439	7.46138	6.24979	7.88449	6.64709	57.54744	68.77162
1128.08116	-4.24444	-42.29444	7.54434	1.00000	19.92314	3.03681	9.84286	7.06577	43.66229	9.61570	5.63602	6.12195	5.92771	5.20054	5.98156	53.72679	65.18852
1054.18292	38.58894	-89.99038	5.49498	0.00000	12.48022	2.81568	7.60268	5.03224	50.46798	8.11295	7.17476	6.58885	6.91693	8.08582	7.05960	87.33924	51.92186
1135.45767	40.67705	-73.89125	5.87933	1.00000	-1.03292	2.60541	6.77459	4.69892	59.21856	11.85953	5.71625	6.15331	6.73590	6.33387	6.27867	60.25179	56.52691
1190.34806	26.91756	-82.07842	5.11908	1.00000	12.13043	2.28278	6.90701	4.50365	42.91945	5.06708	7.98376	4.64850	6.61140	8.39443	6.86169	26.18381	36.88092
1067.73680	53.95278	32.86389	5.33856	0.00000	8.06006	2.52958	8.29997	4.75446	41.41191	7.43276	7.56670	6.79844	6.36831	8.70509	9.36056	49.25833	75.74264
