code	revision	latitude	station	longitude	QoS
KZ	02 Feb 2020	47.83333	Shalqar	59.6	good
ID	2017/07/30	3.31332	Tarakan	117.59152	accep
CN	2020-01-27	35.50056	Pingyi	117.63083	accep
UA	22 May 2017	46.75451	Nova Kakhovka	33.34864	accep
MX	2015-04-10	20.22816	Zacoalco de Torres	-103.5687	good
US	2020-06-03	40.81	Morningside Heights	-73.9625	accep
PK	2015-03-22	30.29184	Qadirpur Ran	71.67164	excellent
IR	10/10/2014, 00:00:00	32.65246	Isfahan	51.67462	good
GB	11 Dec 2016	51.62907	High Wycombe	-0.74934	average
AR	2013-01-17	-37.32167	Tandil	-59.13316	accep
TL	2015-10-06	-8.99167	Maliana	125.21972	average
RU	01/17/2019, 00:00:00	51.40944	Privolzhskiy	46.04833	building
DE	11 Mar 2022	50.72043	Rudolstadt	11.34046	accep
TH	12/30/2017, 00:00:00	6.25947	Tak Bai	102.05461	excellent
DE	17 Jun 2015	48.28259	Ehingen	9.72749	average
IN	2014/02/18	23.1959	Kenda	86.51499	building
IN	11 Jan 2015	23.18	Aistala	88.58	accep
US	2022-07-08	39.78504	Greenfield	-85.76942	excellent
NL	02/20/2014, 00:00:00	52.09	Zeist	5.23333	good
PH	2016-07-11	12.37169	Masbate	123.62494	good
IN	06 Jun 2014	25.49043	Teghra	85.94001	good
US	08/23/2018, 00:00:00	47.4943	Bryn Mawr-Skyway	-122.24092	accep
KE	2020/06/23	0.03813	Nyahururu	36.36339	building
TH	2014-07-20	13.8196	Nakhon Pathom	100.04427	maintenance
AU	2018/06/25	-31.95224	Perth	115.8614	excellent
IT	2014/09/16	41.55947	Campobasso	14.66737	maintenance
CO	2016-07-31	5.20856	Honda	-74.73584	building
US	2019-02-02	34.95303	Santa Maria	-120.43572	maintenance
US	2013-05-14	40.34912	Saratoga Springs	-111.90466	accep
ID	13 Sep 2017	-7.01833	Pameungpeuk	107.60389	accep
NL	2021-08-23	52.26083	Losser	7.00417	maintenance
AR	2016/10/11	-34.74785	Pontevedra	-58.70072	accep
JP	05/21/2018, 00:00:00	34.9	Shinshiro	137.5	excellent
NI	2018-10-18	11.84962	Jinotepe	-86.19903	accep
US	2020-01-14	38.17492	American Canyon	-122.2608	maintenance
TW	15 May 2014	23.5654	Magong	119.58627	good
UZ	2017-02-24	41.29444	Parkent	69.67639	average
CD	22 Aug 2018	0.49113	Beni	29.47306	accep
US	01 Mar 2018	33.45122	Hueytown	-86.99666	excellent
LK	2016-02-18	6.9909	Hendala	79.883	excellent
IN	07 Oct 2018	9.57046	Kalavoor	76.32756	building
CN	2016/04/10	40.66482	Yingkou	122.22833	accep
US	06/28/2015, 00:00:00	41.9001	Taunton	-71.08977	average
US	30 Jul 2013	33.92946	Beaumont	-116.97725	maintenance
NG	06 Dec 2017	6.45407	Lagos	3.39467	excellent
GB	2014/12/09	52.48173	Brierley Hill	-2.12139	excellent
UZ	2018-05-01	41.29444	Parkent	69.67639	good
IT	08 Jan 2020	40.87329	Somma Vesuviana	14.43865	good
IN	30 Apr 2014	15.73628	Gajendragarh	75.96976	maintenance
US	12/05/2013, 00:00:00	38.54491	Davis	-121.74052	excellent
CA	01 Apr 2017	46.23899	Charlottetown	-63.13414	good
GB	2019-04-09	51.26	Westbury	-2.1875	excellent
US	2017-03-28	41.15376	Bourbonnais	-87.88754	good
US	2019-02-03	40.5576	Woodbridge	-74.28459	good
GB	2016/12/08	51.39148	Surbiton	-0.29825	average
BR	2022-04-17	-8.66667	Catende	-35.71667	excellent
US	2020-04-23	33.35283	Gilbert	-111.78903	excellent
IT	2013-08-20	44.89784	Tortona	8.86374	accep
PH	01/24/2016, 00:00:00	16.455	La Trinidad	120.5875	average
TR	2018/01/22	39.59611	Edremit	27.02444	accep
DE	2013/11/13	48.28259	Ehingen	9.72749	average
RU	27 Jun 2017	57.30185	Gavrilov-Yam	39.85331	good
RU	2022/03/03	55.39485	Arzamas	43.83992	average
US	22 Jul 2016	28.54944	Clermont	-81.77285	accep
RU	2018/09/30	58.1908	Danilov	40.17171	good
IT	02/13/2019, 00:00:00	41.55947	Campobasso	14.66737	excellent
ES	28 Jul 2022	38.38479	Novelda	-0.76773	accep
BR	20 May 2018	-8.05389	Recife	-34.88111	accep
CI	2019-04-23	5.84752	Lakota	-5.682	accep
JP	2013/06/07	36	Okegawa	139.55722	good
IT	2015-09-26	40.87363	Volla	14.34085	average
RS	03 Jul 2021	44.22639	Negotin	22.53083	excellent
FR	2014-07-14	46.67535	Lons-le-Saunier	5.55575	average
JP	04/23/2014, 00:00:00	43.82634	Motomachi	144.09638	excellent
NG	12/22/2013, 00:00:00	7.65649	Efon-Alaaye	4.92235	accep
GB	2020/11/23	50.79205	Southsea	-1.08593	average
BR	2022-04-10	-23.44361	Sarandi	-51.87389	good
TH	04/18/2021, 00:00:00	13.44581	Phanat Nikhom	101.18445	excellent
IN	09 Jul 2020	11.50526	Sathyamangalam	77.23826	good
AO	2020-07-31	-11.78333	Luena	19.91667	average
GB	04/06/2016, 00:00:00	50.75767	Lymington	-1.5443	excellent
US	2017-09-07	33.08014	Milledgeville	-83.2321	building
IL	2015-02-06	32.05971	Ganei Tikva	34.8732	accep
CN	2014/07/28	35.20889	Changzhi	111.73861	excellent
JP	2014/01/31	34.81667	Toyokawa	137.4	average
US	2019/03/06	30.16688	Brenham	-96.39774	accep
DE	2021/03/22	52.61131	Hermsdorf	13.31783	average
NL	2014-12-24	53.16167	Hoogezand	6.76111	average
PH	2021/08/23	10.31672	Cebu City	123.89071	average
PH	2012-10-12	10.31672	Cebu City	123.89071	average
NL	2018-11-26	52.71083	Emmeloord	5.74861	average
DE	2013-01-24	48.52961	Landshut	12.16179	average
IN	11/09/2013, 00:00:00	26.11527	Supaul	86.59509	excellent
GB	02/13/2019, 00:00:00	50.11861	Penzance	-5.53715	average
ES	2013/02/09	40.42386	San Fernando de Henares	-3.53261	excellent
AU	05 Jun 2017	-37.9	Wheelers Hill	145.18333	accep
IN	2018-02-09	26.76628	Gorakhpur	83.36889	maintenance
US	2017-08-11	47.92526	Grand Forks	-97.03285	accep
RU	03/03/2021, 00:00:00	54.48147	Oktyabr’skiy	53.47103	excellent
RU	2016/03/08	50.06	Mikhaylovka	43.2379	average
KZ	09 Dec 2013	44.85278	Kyzylorda	65.50917	accep
VN	11 Jan 2021	10.29085	Sa Dec	105.75635	good
AR	2018/01/27	-27.4338	Aguilares	-65.61427	accep
RU	2014-11-20	55.62047	Tyoply Stan	37.49338	accep
CN	07/11/2021, 00:00:00	23.02677	Foshan	113.13148	accep
US	2013-06-25	43.54072	Nampa	-116.56346	average
GB	05/10/2015, 00:00:00	51.84819	Walton-on-the-Naze	1.26738	excellent
US	29 Feb 2016	43.54072	Nampa	-116.56346	building
CO	18 Nov 2012	4.73245	Madrid	-74.26419	good
JP	07/04/2015, 00:00:00	41.77583	Hakodate	140.73667	accep
PH	2022/07/03	14.62578	Antipolo	121.12251	accep
US	2017/08/16	36.91023	Watsonville	-121.75689	excellent
ES	24 Nov 2017	42.8139	Segundo Ensanche	-1.64295	average
US	2020-12-23	33.92946	Beaumont	-116.97725	good
JP	2019-07-24	37.56667	Inawashiro	140.11667	excellent
AF	2021-11-22	36.21544	Sar-e Pul	65.93249	building
CN	03/26/2013, 00:00:00	24.28859	Meizhou	116.11768	maintenance
BE	2021-03-13	50.56149	Gembloux	4.69889	excellent
IT	24 Dec 2016	41.24264	Bisceglie	16.50104	excellent
GB	2022-02-15	52.41667	Thetford	0.75	average
PA	29 Jan 2013	9.15093	Chilibre	-79.62098	good
DZ	2020-07-30	36.61954	Beni Douala	4.08282	maintenance
BR	07/18/2013, 00:00:00	-26.22861	Pato Branco	-52.67056	excellent
CD	07/01/2013, 00:00:00	0.76755	Yangambi	24.43973	average
MN	30 Jun 2013	47.90771	Ulan Bator	106.88324	accep
US	27 Jan 2021	29.53885	Fresno	-95.44744	maintenance
JM	06 Aug 2018	18.00747	New Kingston	-76.78319	maintenance
US	07/23/2017, 00:00:00	41.55815	Waterbury	-73.0515	maitennce
KR	25 Oct 2018	36.82167	Eisen	128.63083	excellent
IN	12/17/2013, 00:00:00	25.66795	Dalsingh Sarai	85.83636	excellent
FR	07/22/2018, 00:00:00	48.79325	Fontenay-aux-Roses	2.29275	accep
US	11 Nov 2017	38.58894	Fairview Heights	-89.99038	building
CN	04/25/2014, 00:00:00	45.75279	Boli	130.57211	accep
GM	2022-05-17	13.56667	Farafenni	-15.6	excellent
US	2013/12/11	40.60538	Far Rockaway	-73.75513	maintenance
ID	10/02/2014, 00:00:00	-7.57897	Diwek	112.23109	excellent
US	2022/03/26	42.97086	Port Huron	-82.42491	accep
IN	2019-09-16	22.10194	Barbil	85.37752	building
HR	24 Sep 2019	43.50891	Split	16.43915	good
NL	22 Jun 2015	51.44889	Tongelre	5.51978	average
GB	2013/12/07	53.83333	Poulton-le-Fylde	-2.98333	average
IE	2022-03-01	53.43333	Athlone	-7.95	average
JP	10/29/2018, 00:00:00	34.61667	Yao	135.6	average
US	2020-03-31	35.05266	Fayetteville	-78.87836	maintenance
GB	2021-05-18	52.48173	Brierley Hill	-2.12139	excellent
PH	2014-06-07	10.7375	Talisay	122.9666	excellent
BR	2016-07-17	-0.71667	Soure	-48.52333	accep
IN	29 Jun 2014	34.08565	Srinagar	74.80555	excellent
IL	2014-09-23	31.39547	Rahat	34.75699	accep
RU	2015/03/29	58.04254	Tavda	65.27258	accep
IT	2018/08/12	45.79377	Malnate	8.88104	good
JP	10 Dec 2015	34.75856	Ueno-ebisumachi	136.13108	accep
CU	2019-09-06	23.0072	Boyeros	-82.4017	accep
DE	06/14/2013, 00:00:00	52.61131	Hermsdorf	13.31783	average
RU	2019/06/08	54.48147	Oktyabr’skiy	53.47103	building
IN	04 Jul 2022	33.37526	Rajaori	74.3092	accep
SY	2019-01-25	35.95664	Binnish	36.7138	building
BE	2020/08/06	50.74497	Mouscron	3.20639	excellent
IL	17 Feb 2022	31.39547	Rahat	34.75699	average
RU	2013/05/21	60.97944	Izluchinsk	76.92421	average
CA	08/28/2015, 00:00:00	45.40008	Sainte-Catherine	-73.58248	accep
US	03/28/2018, 00:00:00	28.54944	Clermont	-81.77285	building
YE	2015/08/29	14.53767	Ataq	46.83187	good
IT	2022-01-04	37.51803	Misterbianco	15.00913	maintenance
GB	2021/06/21	53.81667	Blackpool	-3.05	good
MX	11/10/2016, 00:00:00	20.28527	Jocotepec	-103.42897	excellent
AR	2017-05-11	-27.4338	Aguilares	-65.61427	accep
IN	2022/03/01	26.32293	Barpeta	91.00632	average
DE	2013/05/21	51.47805	Oberhausen	6.8625	good
RU	04/27/2017, 00:00:00	54.39304	Bavly	53.26023	excellent
NG	2017-06-01	11.86064	Gaya	9.0027	average
DE	02/22/2020, 00:00:00	52.61131	Hermsdorf	13.31783	average
US	08/22/2022, 00:00:00	39.72943	Aurora	-104.83192	maintenance
US	05/16/2018, 00:00:00	37.71715	Visitacion Valley	-122.40433	accep
BR	11/23/2013, 00:00:00	-3.20333	Altamira	-52.20639	excellent
RU	2014/05/26	65.93381	Aykhal	111.4834	average
CO	2018-11-06	4.73245	Madrid	-74.26419	accep
US	21 Dec 2018	37.73604	Riverbank	-120.93549	excellent
BR	2022-06-18	-22.92306	Loanda	-53.13722	good
JP	2021/08/19	36.33011	Annaka	138.89585	excellent
UA	06/18/2020, 00:00:00	51.67822	Hlukhiv	33.9162	maintenance
MG	2017/02/15	-22.9	Sakaraha	44.53333	building
BR	2019/05/11	-15.675	Canavieiras	-38.94722	excellent
ES	2020/11/21	39.96348	Talavera de la Reina	-4.83076	excellent
GB	2019/12/16	53.00974	Rhosllanerchrugog	-3.05814	maintenance
TN	23 Nov 2012	36.46917	Beni Khiar	10.78222	building
RU	04 Nov 2013	55.54028	Sharypovo	89.20083	good
TH	22 May 2019	15.46063	Thap Than	99.89166	accep
DE	2017/04/30	49.13645	Eppingen	8.91229	good
PG	2020-12-16	-5.85746	Mount Hagen	144.23058	good
GB	11/15/2017, 00:00:00	55.82885	Rutherglen	-4.21376	excellent
RU	09 Jan 2016	44.98901	Yablonovskiy	38.94324	accep
MG	2020-08-28	-19.65	Antanifotsy	47.31667	accep
VE	2021/11/24	8.35122	Ciudad Guayana	-62.64102	excellent
IT	20 Jul 2020	40.92298	Afragola	14.30935	excellent
ID	01/02/2015, 00:00:00	-7.57897	Diwek	112.23109	good
US	29 Nov 2012	41.54566	Middletown	-71.29144	accep
CN	2015/08/22	35.50056	Pingyi	117.63083	maintenance
US	06/06/2017, 00:00:00	33.95015	South Whittier	-118.03917	maintenance
FR	11 Jun 2016	43.67681	Arles	4.63031	excellent
MA	2015-10-27	33.43443	Azrou	-5.22126	accep
NG	2018/08/12	7.50251	Igbara-Odo	5.06258	good
US	01/07/2020, 00:00:00	27.71809	Sun City Center	-82.35176	good
IN	2016-11-17	22.88783	Jashpurnagar	84.13864	good
DZ	2013-04-10	34.15429	Messaad	3.50309	building
PK	2018/08/16	32.87533	Daud Khel	71.57118	accep
TN	07/03/2019, 00:00:00	36.46917	Beni Khiar	10.78222	average
FR	30 Mar 2018	48.90982	Bobigny	2.45012	accep
CO	2012/11/14	7.83389	Villa del Rosario	-72.47417	excellent
FR	2021-03-24	45.69558	Saint-Genis-Laval	4.7934	excellent
LY	2022-06-12	24.96334	Ghat	10.18003	maintenance
UA	18 Dec 2015	47.56494	Voznesensk	31.33078	building
UG	06/28/2016, 00:00:00	3.27833	Kitgum	32.88667	building
IN	2013-11-02	25.87498	Saharsa	86.59611	excellent
IR	2016-09-16	36.64852	Nowshahr	51.49621	good
ID	2019/12/15	-7.01833	Pameungpeuk	107.60389	accep
MX	27 Nov 2013	20.21322	Salvatierra	-100.88023	accep
CU	2017/06/09	23.0072	Boyeros	-82.4017	average
PH	2019-05-04	12.35275	San Jose	121.06761	acceptable
NG	07/10/2021, 00:00:00	9.58126	Kafanchan	8.2926	building
IN	2012-12-20	24.05979	Leteri	77.40858	good
SY	22 Dec 2020	34.5624	Tadmur	38.28402	average
NZ	2013/08/13	-44.39672	Timaru	171.25364	good
RU	09 Nov 2012	56.03361	Volokolamsk	35.96944	good
US	2012/10/10	41.15376	Bourbonnais	-87.88754	average
US	2016-08-26	28.54944	Clermont	-81.77285	accep
US	07/23/2018, 00:00:00	32.9156	Mira Mesa	-117.14392	accep
RU	08/22/2021, 00:00:00	56.85836	Tver	35.90057	accep
CZ	10/08/2021, 00:00:00	50.23271	Karlovy Vary	12.87117	average
IN	2022-07-09	14.62072	Sirsi	74.83554	maintenance
IT	2016-03-01	45.78071	Portogruaro	12.84052	good
US	2015-08-02	32.9156	Mira Mesa	-117.14392	accep
IR	2013-10-20	36.64852	Nowshahr	51.49621	average
SO	26 Jun 2020	9.89206	Baki	43.38531	building
IN	07/18/2014, 00:00:00	15.45144	Betamcherla	78.14797	excellent
CM	04/14/2019, 00:00:00	3.51667	Mbalmayo	11.5	excellent
PE	20 Dec 2020	-11.94306	Chosica	-76.70944	good
IN	26 Dec 2014	14.46693	Davangere	75.92694	accep
DE	2020/09/18	51.168	Finnentrop	7.973	accep
NL	2015/04/29	52.09	Zeist	5.23333	building
NG	2018-07-12	10.61285	Biu	12.19458	excellent
AF	01 Feb 2020	36.21544	Sar-e Pul	65.93249	average
SK	01 Feb 2018	48.43174	Hlohovec	17.8031	average
RU	2018-09-18	56.85836	Tver	35.90057	good
US	2017-10-31	39.43534	Lebanon	-84.20299	accep
US	2019-08-23	34.25628	Leland	-78.04471	good
JP	2013-05-03	36.65	Suzaka	138.31667	good
RU	2018/05/30	42.819	Buynaksk	47.1192	acceptable
TZ	01 Aug 2018	-5.41667	Chanika	38.01667	good
US	01/08/2016, 00:00:00	40.58654	Redding	-122.39168	good
JP	2013-02-02	35.815	Shimotoda	139.6853	good
DE	06/10/2018, 00:00:00	50.23805	Nidderau	8.86704	average
TR	25 Jan 2021	40.37528	Mudanya	28.88222	accep
CN	10/29/2018, 00:00:00	46.08333	Ulanhot	122.08333	excellent
US	11/25/2020, 00:00:00	30.5427	Hutto	-97.54667	accep
US	2013/09/14	35.05266	Fayetteville	-78.87836	building
FR	10 Apr 2020	50.75	Saint-Omer	2.25	building
TN	2019-02-03	35.72917	Msaken	10.58082	building
US	03 Jan 2018	42.35843	Boston	-71.05977	maintenance
CA	22 Oct 2017	53.51684	Sherwood Park	-113.3187	excellent
US	04 Jul 2016	43.91452	Brunswick	-69.96533	average
BJ	2020/09/12	8.88649	Tchaourou	2.59753	accep
NL	2019-01-12	52.71083	Emmeloord	5.74861	average
CN	2016/07/20	36.19278	Laiwu	117.65694	excellent
TR	25 Jun 2014	40.1675	Sungurlu	34.37389	accep
TN	2013-04-15	36.46917	Beni Khiar	10.78222	maintenance
DE	2016/07/30	51.88333	Verl	8.51667	accep
PH	2022-09-22	9.3337	Santa Catalina	122.8637	accep
IN	11/25/2020, 00:00:00	19.21667	Dombivli	73.08333	excellent
BE	2017/09/06	51.24197	Lille	4.82313	excellent
TR	2020-05-02	40.1675	Sungurlu	34.37389	good
IN	09 Sep 2020	26.2649	Jais	81.54855	accep
FR	10/30/2020, 00:00:00	48.98333	Mitry-Mory	2.61667	excellent
EC	2019-09-26	-2.90055	Cuenca	-79.00453	average
US	03/11/2013, 00:00:00	33.03699	Encinitas	-117.29198	average
JP	09/03/2017, 00:00:00	33.4425	Karatsu	129.96972	average
AR	2016-01-27	-31.25033	Rafaela	-61.4867	maintenance
KH	2015/04/29	13.65805	Paoy Paet	102.56365	building
FI	03/22/2016, 00:00:00	60.18427	Kallio	24.95034	maintenance
US	2019/12/23	34.25807	Tupelo	-88.70464	average
TH	10 Jun 2015	13.8196	Nakhon Pathom	100.04427	maintenance
US	26 Jul 2019	41.48199	Lakewood	-81.79819	accep
ID	2018-08-17	3.7278	Labuhan Deli	98.6738	average
US	2018-11-28	41.47892	Schererville	-87.45476	accep
ML	2021/08/20	12.74409	Kati	-8.07257	excellent
RU	2019-10-24	42.819	Buynaksk	47.1192	excellent
US	16 Oct 2013	38.58894	Fairview Heights	-89.99038	average
IN	03/08/2018, 00:00:00	23.18	Aistala	88.58	excellent
IT	15 Jul 2014	36.92574	Ragusa	14.72443	average
AU	2021-01-16	-33.79176	Eastwood	151.08057	average
RU	06/11/2019, 00:00:00	60.02427	Kolomyagi	30.28491	good
ES	2014-10-02	42.64685	Villaquilambre	-5.55835	building
KE	2015/02/01	3.11988	Lodwar	35.59642	average
CH	03 Dec 2019	47.30997	Adliswil	8.52462	good
IN	2017/02/21	24.41288	Aklera	76.56719	good
MY	27 May 2019	1.6	Ulu Tiram	103.81667	good
US	09 Dec 2012	39.57582	Ken Caryl	-105.11221	excellent
ID	27 Oct 2021	-1.26424	Simpang	104.09701	excellent
IT	02/15/2022, 00:00:00	45.39402	San Giuliano Milanese	9.29109	good
BR	2014-11-22	-22.53722	Guapimirim	-42.98194	excellent
BR	2019-05-13	-10.95817	Tucano	-38.79084	building
PG	2013/09/28	-5.85746	Mount Hagen	144.23058	maintenance
UG	2016-10-20	3.02013	Arua	30.91105	accep
MX	31 Jan 2021	17.06542	Oaxaca	-96.72365	good
US	01/19/2020, 00:00:00	40.58654	Redding	-122.39168	good
IN	01/26/2019, 00:00:00	11.50526	Sathyamangalam	77.23826	average
MM	2017-03-25	16.68911	Myawadi	98.50893	accep
TL	15 Jan 2015	-8.99167	Maliana	125.21972	accep
CD	2015/02/14	0.76755	Yangambi	24.43973	average
US	2016/09/19	34.95303	Santa Maria	-120.43572	building
MN	2013/05/22	47.90771	Ulan Bator	106.88324	maintenance
PE	2016-12-19	-11.94306	Chosica	-76.70944	excellent
CN	2019-05-07	32.54278	Danjiangkou	111.50861	accep
US	30 Apr 2022	33.72255	Palm Desert	-116.37697	accep
NL	01/17/2015, 00:00:00	52.09	Zeist	5.23333	excellent
DE	2018/11/14	50.80019	Siegburg	7.20769	average
DE	2018/07/06	48.06919	Gauting	11.37703	accep
GM	2018-06-19	13.56667	Farafenni	-15.6	good
AT	07/16/2019, 00:00:00	48.25	Floridsdorf	16.4	maintenance
DO	07/12/2016, 00:00:00	18.20854	Santa Cruz de Barahona	-71.10077	excellent
PK	09/04/2022, 00:00:00	32.17629	Fazilpur	75.06583	excellent
CO	02 Nov 2015	6.46838	Socorro	-73.26022	good
DE	02/18/2019, 00:00:00	51.168	Finnentrop	7.973	excellent
KR	04 Mar 2019	36.82167	Eisen	128.63083	good
IN	2015/08/27	24.05979	Leteri	77.40858	accep
IN	2019/09/30	17.54907	Elamanchili	82.85749	average
IN	04/14/2015, 00:00:00	23.07492	Pandua	88.28637	accep
US	26 Jan 2015	26.2173	North Lauderdale	-80.22588	accep
US	07 May 2019	42.30865	Canton	-83.48216	excellent
CN	08/12/2017, 00:00:00	29.98869	Zhoushan	122.20488	good
FR	2019-07-25	46.67535	Lons-le-Saunier	5.55575	maintenance
CN	31 Aug 2015	46.51872	Hoxtolgay	86.00214	accep
US	2015/12/05	32.5007	Longview	-94.74049	excellent
US	23 Dec 2021	34.06635	Acworth	-84.67837	excellent
PH	10 Oct 2015	12.37169	Masbate	123.62494	building
US	2015-08-05	30.16688	Brenham	-96.39774	good
US	2018/11/18	41.57721	West Des Moines	-93.71133	good
US	16 Apr 2021	37.95143	Rolla	-91.77127	excellent
HK	03 Sep 2014	22.37066	Tsuen Wan	114.10479	average
BE	01 Mar 2018	50.56149	Gembloux	4.69889	excellent
FR	19 Sep 2020	50.75	Saint-Omer	2.25	good
ID	2014-06-15	-8.43333	Muncar	114.33333	excellent
CA	24 Jan 2015	45.4473	Dorval	-73.75335	excellent
US	04/18/2022, 00:00:00	35.05266	Fayetteville	-78.87836	accep
EE	10 May 2022	59.37722	Narva	28.19028	accep
US	05/13/2014, 00:00:00	41.55838	Collinwood	-81.56929	excellent
ID	06/27/2019, 00:00:00	3.31332	Tarakan	117.59152	building
RU	2015-08-05	55.62047	Tyoply Stan	37.49338	excellent
PT	18 Feb 2014	41.20485	Paredes	-8.33147	accep
CL	09/12/2016, 00:00:00	-32.45242	La Ligua	-71.23106	accep
KR	04/02/2014, 00:00:00	36.82167	Eisen	128.63083	excellent
GB	2018/04/28	51.78967	Clacton-on-Sea	1.15597	good
HK	19 May 2021	22.37066	Tsuen Wan	114.10479	average
ME	2015/01/10	42.28639	Budva	18.84	accep
PH	2017-04-29	10.7375	Talisay	122.9666	average
BG	10 May 2017	42.7	Aytos	27.25	maintenance
RU	2020-05-28	51.78771	Saraktash	56.36091	excellent
