TEMP	H2CO	PM10	Pb	latitude	PM2.5	O3	PRES	longitude	PAHs	CFCs	NH3	warning	C2H3NO5	CO	NOx	CH4	SO2
25.88424	50.13911	10.32122	48.63308	41.15612	7.77726	10.86488	1066.62389	1.10687	7.00806	24.25560	8.08338	0.00000	0.94008	10.61248	6.79702	10.14228	7.80038
	36.52142	10.04679	55.15691	0.03813	11.64020	9.14175	1160.44009	36.36339	9.93650	40.96106	10.88692	1.00000	0.74162	11.00632	9.50149	13.72099	10.39063
15.78258	44.20052	9.21163	54.40824	52.71083	10.14548	9.62857	1142.89797	5.74861	6.85409	31.36687	10.48341	0.00000	0.35851	8.36524	7.73914	6.34225	9.18051
19.08689	50.96929	7.61131	63.00634	25.49043	12.14940	9.59442	1164.15173	85.94001	13.03719	53.48342	12.65814	1.00000	0.09666	9.26710	10.92575	7.51813	10.21977
21.15079	54.89244	9.79176	37.75645	-22.53722	7.47433	8.42452	1120.51751	-42.98194	8.28833	66.73590	8.78139	0.00000	0.59430	7.69312	10.64452	11.85389	8.96499
1.13044	57.54360	8.54804	38.27053	55.62047	10.63610	7.91454	1155.80912	37.49338	10.20230	30.88411	7.49020	1.00000	0.20092	8.37325	9.60144	9.29690	9.93855
22.53795	53.67776	7.63249	44.24015	32.52515	10.71557	11.05072	1199.77955	-93.75018	9.30690	55.88000	7.52224	1.00000	0.10334	9.46525	10.85987	7.22586	10.18838
11.18472	66.53246	7.02912	72.60870	24.41288	9.81879	8.87758	1184.13985	76.56719	10.98194	43.76440	7.84820	1.00000	0.08844	10.27868	9.69427	8.36322	7.78600
24.42520	38.50236	10.45065	38.14313	53.43333	11.74316	8.69332	1052.39154	-7.95	10.46627	48.00496	7.72804	1.00000	1.08413	10.48258	10.12425	10.20918	10.10602
2.82726	33.31241	9.49602	48.45862	41.48199	7.30947	8.70355	1149.74328	-81.79819	7.10503	67.32620	8.22333	0.00000	0.44118	9.05333	7.83285	11.10820	9.59541
6.06646	46.01108	9.12644	50.97701	21.01858	6.35434	9.97498	1198.25651	-101.2591	7.24291	35.30352	9.39959	0.00000	0.32729	9.63935	7.45214	12.77273	10.37880
10.51535	72.84537	9.37113	59.87848	27.09978	11.54105	8.97488	1186.36416	-82.45426	9.68141	62.88752	9.05319	1.00000	0.39899	9.81599	11.70323	7.92242	10.48121
0.53603	32.09792	9.39967	45.74077	43.96222	10.45137	8.70240	1111.30277	43.63417	10.64877	61.45226	11.11182	1.00000	0.42627	11.35351	10.24626	9.10781	8.90005
3.25922	41.40833	8.52834	29.82321	32.17629	11.21805	7.86766	1053.61612	75.06583	10.06662	40.69259	8.16792	1.00000	0.18442	7.95833	10.15969	8.59190	8.92816
-7.10519	26.43990	8.40228	57.66690	37.73604	7.47868	9.27001	1064.04766	-120.93549	6.46086	78.97046	9.93876	0.00000	0.19390	9.13743	8.22914	9.99553	10.13589
19.14513	63.98523		24.56889	15.79408	13.29966	8.92876	1070.69387	104.1451	13.80575	51.64435	11.35860	1.00000	10.16122	9.84157	8.00455	8.42848	8.37518
3.39489	57.98976	13.25330	60.41893	22.37066	9.92495	10.67588	1144.46661	114.10479	9.79651	66.91366	9.48650	1.00000	16.88744	8.99874	8.63082	9.05121	10.13270
9.47131	52.88693	4.99904	58.81819	27.71809	8.56548	8.18618	1097.63986	-82.35176	9.95910	49.42933	7.76158	1.00000	0.03916	8.68840	13.53071	2.84216	10.98565
2.63982	56.32601	8.64238	41.00293	-22.9	9.72479	9.97138	1114.13457	44.53333	11.85608	61.69366	8.58400	1.00000	0.24033	9.09295	11.94287	7.85244	8.25238
24.99521	66.19418	11.35656	39.05588	33.98154	12.99537	8.10693	1050.48492	-81.23621	12.03559	48.29224	11.31339	1.00000	2.57908	8.86095	8.68012	11.29929	9.08023
4.05356	64.11972	9.55279	41.68729	52.61131	7.17828	10.74563	1065.79317	13.31783	8.91424	65.46767	9.14249	0.00000	0.48897	9.27848	8.18266	14.02545	10.03811
14.79669	29.26777	8.46590	48.41822	42.4251	10.00025	10.77355	1105.05041	-71.06616	11.65705	51.85762	8.09434	1.00000	0.19388	10.20208	11.02656	8.17402	9.74030
4.02045	49.01900	6.33917	35.76615	48.8765	7.37935	8.59966	1169.58230	2.18967	6.89599	56.34023	9.40046	0.00000	0.05032	8.10349	9.62739	10.36001	9.63399
16.77848	58.74102	9.81561	48.97150	3.31332	8.30174	7.96769	1126.49708	117.59152	6.60342	54.39767	7.76226	0.00000	0.61071	9.22762	12.15528	9.74294	11.72177
14.26074	65.72287	10.27632	38.89827	38.45598	10.19995	9.07984	1119.19270	48.87498	7.90458	45.81621	12.41987	0.00000	0.93074	10.77154	5.50969	5.03409	8.98261
16.22065	40.52444	7.64366	55.50632	13.8196	11.21474	9.95905	1070.17422	100.04427	8.90849	54.66485	9.25267	0.00000	0.12982	9.38577	5.24016	5.88985	8.80218
1.44594	47.99617	8.74826	52.78367	36.82167	8.53967	9.76577	1077.50684	128.63083	5.62871	56.58241	9.81787	0.00000	0.22327	9.93899	6.37998	8.28438	8.06437
23.55299	57.90939	12.41490	48.93628	40.98894	6.88293	8.65633	1142.69425	28.67582	8.98638	47.58317	8.00251	1.00000	7.31786	8.31151	12.14358	8.51166	8.85920
3.56421	45.28256	10.50777	50.01430	-28.44917	8.05655	8.08088	1129.57295	-52.2	7.80973	60.91145	8.39716	0.00000	1.13670	9.59497	7.61770	10.94513	8.68402
11.38443	53.39348	10.80716	59.12580	50.56149	11.59433	8.23225	1154.06466	4.69889	8.43772	83.78235	11.31162	0.00000	1.53781	9.54704	4.60628	3.74106	7.90572
10.08688	39.13055	10.66923	58.10629	48.73218	11.67801	11.33478	1134.31945	11.18709	9.16514	61.46313	6.86303	1.00000	1.28744	7.77925	9.88070	10.66486	9.56851
13.17633	41.46484	8.98944	43.07147	13.51825	10.06124	9.75554	1137.65088	99.95469	10.59034	62.69910	10.59435	1.00000	0.30101	7.92071	13.08678	10.85578	9.55538
27.36548	45.40127	7.18647	53.12682	34.15429	11.02797	9.06987	1119.48022	3.50309	10.14290	64.33272	6.15988	1.00000	0.08709	9.38428	8.90162	8.23064	8.95131
-4.74516	51.92255	9.97874	28.98495	38.96372	10.11045	8.46674	1074.91348	-76.99081	8.14824	32.11867	10.02611	1.00000	0.71813	8.98429	4.99395	4.12383	9.54490
27.66920	68.62053	9.75965	40.03675	26.2649	11.73239	7.35701	1095.92153	81.54855	11.78710	45.65875	12.25526	1.00000	0.56502	9.37873	7.91732	11.75796	8.20439
4.06030	46.94054	6.33527	52.93519	38.45598	10.43824	10.37760	1112.46522	48.87498	7.51809	57.80904	5.51905	1.00000	0.08902	8.86612	8.52068		9.88162
10.53590	37.35890	11.91320	54.97470	35.89972	7.65852	8.04902	1072.38895	14.51472	9.17529	38.13955	7.24088	0.00000	4.45502	8.56203	13.77444	10.61689	8.64259
11.82796	52.32236	7.48587	34.84234	47.48444	10.15866	8.28682	1135.55296	36.25361	9.38687	44.75562	6.74355	1.00000	0.07793	9.23860	11.01874	6.84306	10.93139
6.15635	64.29221	10.02082	55.73937	3.7278	11.90140	9.39563	1186.81080	98.6738	10.27872	61.29274	11.69785	1.00000	0.70348	8.88581	10.02764	9.10944	8.98258
11.97192	72.57805	8.32717	38.23554	46.1351	11.17029	10.11050	1132.10280	-60.1831	10.33453	45.82613	7.29969	1.00000	0.18717	8.19476	8.64330	9.78790	10.52636
12.91591	51.79329	7.17124	42.41774	46.1351	10.20681	9.28116	1053.38463	-60.1831	11.90748	53.46770	6.72122	1.00000	0.10213	9.73499	9.28484	8.28026	7.54917
4.14653	54.45064	9.36006	64.54676	55.62047	8.25760	10.81800	1077.38814	37.49338	6.33430	26.13940	8.58068	0.00000	0.39606	9.18869	7.87693	9.12877	8.97319
17.75108	23.62248	8.78322	52.92183	38.96372	7.54991	9.78002	1109.83733	-76.99081	7.10001	35.18458	10.00583	0.00000	0.22363	9.16636	7.32406	10.87180	9.61208
25.16236	37.18232	8.20446	60.17388	55.82737	12.50596	10.98247	1089.13243	-4.0573	9.69442	58.17033	11.23198	0.00000	0.16832	10.30280	6.81659	7.05058	9.29702
4.80867	40.92610	9.35363	59.35437	13.8196	8.00357	9.85953	1127.53544	100.04427	8.26354	64.33053	8.08382	0.00000	0.41613	7.83589	8.59761	10.42976	10.00789
4.82633	53.73211	11.37166	45.94646	33.45122	7.77919	8.87906	1092.51521	-86.99666	9.55434	57.91065	6.97513	0.00000	2.62247	8.06431	8.09233	13.29949	8.96848
23.64102	58.57557	9.28484	31.89786	42.62833	11.06467	8.55110	1109.24477	20.89389	12.38289	67.35233	7.68948	1.00000	0.34616	9.45207	10.06460	9.31314	9.42622
12.03382	71.76011	10.99538	59.27971	34.81667	8.09150	8.77845	1077.33098	137.4	9.61417	37.96821	7.01468	1.00000	1.81095	7.81810	7.99137	12.27409	10.35245
16.86566	49.54980	6.16747	43.00787	27.85	9.95152	8.40385	1140.60866	112.9	11.00162	32.34523	8.72969	1.00000	0.05700	8.28740	12.29578	4.78053	10.18057
13.31128	52.09427	8.99894	49.71400	60.18427	13.31409	9.48665	1121.87744	24.95034	6.77647	50.38200	9.67771	0.00000	0.28792	9.27982	7.82218	5.54371	8.14790
7.06740	39.97912	10.45261	45.02017	53.83333	11.77603	9.58504	1148.83893	-2.98333	12.27219	40.32973	10.90092	1.00000	1.08385	9.42843	11.78113	10.10833	11.71878
18.66637	56.68529	9.25785	28.98580	43.82634	10.52031	10.21882	1133.54582	144.09638	9.63236	64.05671	8.27286	1.00000	0.37886	9.92367	11.40301	8.51033	7.66155
4.80704	61.90551	11.04575	49.68837	33.35283	12.18119	11.36560	1196.83287	-111.78903	12.39422	28.84240	10.98438	1.00000	1.91515	8.11252	11.36593	9.80287	9.94248
35.88961	73.72989	11.57136	50.20007	36.92574	7.82525	8.98340	1086.94810	14.72443	7.36537	35.41643	7.48375	0.00000	3.20265	8.86186	10.06247	10.16567	11.67080
20.70856	46.95239	6.27216	33.76189	-0.35817	10.79219	7.39570	1101.12112	42.54536	10.16307	52.37389	8.01293	1.00000	0.07205	8.50871	9.77467	6.91292	9.59666
9.98803	75.44980	12.47411	32.45251	40.98894	7.83829	10.80687	1074.69236	28.67582	8.66290	57.52515	8.12172	1.00000	7.79078	9.65641	12.96054	10.66472	10.53652
25.53912	67.00201	8.72061	46.43459	43.61058	10.25099	9.26402	1129.14246	1.33467	10.61433	51.03406	7.23542	1.00000	0.23718	8.36926	10.43387	8.83269	6.43285
6.13694	76.79004	10.63484	41.68935	35.89972	9.29316	8.22653	1148.37745	14.51472	7.82817	80.45983	7.64372	0.00000	1.29208	8.51605	5.63152	8.39351	8.73791
12.24896	67.40064	10.57931	50.60944	51.78771	7.44067	9.26966	1092.01713	56.36091	7.96962	42.38245	8.66683	0.00000	1.22070	9.73572	8.29945	11.05938	10.39314
38.91747	48.88683	6.02570	49.31703	23.18	9.46351	8.17267	1129.19126	88.58	11.29723	52.15448	6.97660	1.00000	0.05979	9.16682	12.09538	4.52438	10.37567
21.06719	39.13757	8.35614	47.23588	-0.71667	13.55837	9.51010	1125.58648	-48.52333	8.21369	60.58230	12.07850	0.00000	0.17964	9.64012	8.50202	7.38424	9.06270
13.57457	73.89059	11.85242	54.29064	48.77644	9.38145	8.09606	1173.02748	2.29026	10.11470	48.49047	9.73122	1.00000	4.19818	9.07323	10.33890	8.12736	9.63630
11.56306	36.57782	11.50512	31.03520	47.4943	8.02946	8.26212	1167.66825	-122.24092	8.82553	37.03946	6.52869	0.00000	2.99626	7.64197	11.29005	9.84945	9.41978
11.84604	55.61087	8.06299	53.44470	36.64852	11.44462	10.66552	1137.36678	51.49621	8.55011	61.87826	8.25090	1.00000	0.14900	8.96902	11.49969	6.72221	6.98199
15.69319	52.11542	7.71454	37.01609	7.65649	11.28293	10.10136	1162.26655	4.92235	9.03548	17.40735	11.36054	0.00000	0.09664	8.15122	8.50666	9.11136	5.94382
11.84944	74.61983	10.78364	27.76110	50.75767	11.44837	9.90130	1194.82436	-1.5443	12.59636	60.09260	11.61935	1.00000	1.48229	11.26630	8.83389	9.57952	10.15767
10.71418	72.13384	12.43817	30.91155	60.97944	9.04578	10.46483	1140.97752	76.92421	10.35957	85.25969	5.00438	0.00000	7.48206	8.59559	5.45075	9.86892	8.82227
33.69712	41.97964	6.72932	59.29093	44.22639	10.82975	10.36499	1127.05704	22.53083	9.47253	49.48529	7.23621	1.00000	0.08840	7.33647	9.31670	7.52211	9.82601
8.60939	28.23335	9.98246	53.69879	35	9.95959	10.24899	1054.28468	136.51667	10.30997	39.57930	9.73800	1.00000	0.68968	9.30904	12.42708	13.43492	8.95211
12.20696	74.60280	11.30054	63.46622	44.75874	8.01391	8.50884	1116.95368	19.21437	10.08289	37.22520	6.68623	0.00000	2.43833	9.00170	8.88854	12.19716	9.97641
14.90620	49.81416	11.70360	49.12734	35.82756	9.50371	10.44914	1098.37654	137.95378	9.10535	80.79361		1.00000	3.63760	9.43155	10.86587	11.94317	9.46097
21.99391	61.43091	6.81977	49.95100	19.21667	9.94197	10.20690	1116.91681	73.08333	10.76928	48.15022	7.31483	1.00000	0.07141	10.36481	10.95047	6.47103	9.90960
40.53054	63.32872	8.28519	42.76862	36.06523	10.32438	7.82167	1102.71347	-119.01677	12.45855	59.12510	9.06440	1.00000	0.16057	7.45153	10.15629	9.07195	9.10998
30.12729	58.51975	8.36528	38.20816	9.57046	10.04701	9.69581	1094.24077	76.32756	11.42741	42.22819	7.90715	1.00000	0.17755	9.45914	11.23103	7.95235	8.27324
32.12930	43.89242	8.50560	69.23425	34.08565	9.32029	8.47923	1172.85777	74.80555	7.39987	43.86578	10.75269	0.00000	0.18668	10.25661	9.78530	8.98943	8.35078
17.21617	62.95556	9.44427	59.53868	32.54278	10.98732	9.60244	1090.93248	111.50861	10.42963	28.66101	11.20658	1.00000	0.39743	9.37058	12.05223	10.57753	10.68803
11.79839	48.57523	7.41451	49.60320	13.44581	8.91077	10.67540	1169.42076	101.18445	12.55602	56.24030	9.33251	1.00000	0.08948	10.29077	12.16150	6.80449	10.69520
6.62162	57.76495	10.61163	77.61102	10.31672	8.25983	8.88066	1138.18137	123.89071	6.56552	35.39723	8.39156	0.00000	1.24722	7.70043	9.46271	10.25644	11.65298
7.31879	47.14795	10.14416	36.62659	54.90083	13.32707	9.82198	1155.02144	38.07083	15.01419	35.67929	12.91181	0.00000	0.82144	9.72661	9.50078	7.08540	10.34284
2.34389	52.36919	9.49077	32.97234	35.8	12.02051	7.79446	1078.36962	137.23333	10.92563	32.06347	11.83979	1.00000	0.46544	8.01089	10.59768	13.69737	9.31320
9.78728	51.53287	7.97375	54.55547	57.30185	9.90437	7.09661	1101.05492	39.85331	7.44262	65.75893	10.58419	0.00000	0.14664	11.23267	6.78946	7.00453	8.04364
13.43776	63.88868	11.04576	47.52042	52.4581	10.47186	7.48905	1165.93153	13.28702	11.57046	27.91933	10.54694	1.00000	1.88346	9.19959	8.43420	10.20663	8.71009
-4.03827	75.39591	8.69536	57.21517	50.76306	12.04415	8.27467	1112.37166	-1.29772	8.17210	35.70342	7.22358	1.00000	0.19853	8.54586	7.78979	10.71469	9.97178
4.10618	74.10384	10.19546	30.79397	39.43534	11.18365	8.74495	1181.76014	-84.20299	12.00820	37.74631	10.61494	1.00000	0.84694	9.83719	12.56134	8.36511	11.15651
18.74289	65.84854	8.81982	43.81742	-37.32167	12.69922	8.74223	1157.51703	-59.13316	14.40211	57.19499	13.36530	1.00000	0.28223	9.31340	10.58407	6.31680	7.90912
0.63323	59.65904	11.02035	34.12369	41.0051	8.15397	9.84929	1075.81754	-73.78458	9.42893	34.34154	7.30000	0.00000	1.83949	9.23122	8.04348	10.37902	7.63435
4.24393	32.41453	11.11139	49.52440	24.28859	7.45024	9.70041	1119.99591	116.11768	6.47081	47.09462	9.20779	0.00000	2.04390	9.10360	3.87742	8.39185	9.69196
10.29732		8.11502	53.60864	5.90702	13.75579	8.95590	1189.18883	116.10146	7.39156	46.62170	9.73113	0.00000	0.10995	8.42764	6.56300	4.59499	8.43067
22.30992	53.81013	5.62876	51.68600	40.42386	9.46609	7.66971	1173.10622	-3.53261	10.81795	51.87780	6.94081	1.00000	0.05231	10.11658	10.14736	6.32592	9.14725
24.41017	63.86175	10.07019	38.12909	55.82885	11.06347	8.17653	1090.10518	-4.21376	9.78575	46.66790	10.59030	1.00000	0.78019	7.84519	11.24963	13.99925	9.28823
25.88455	59.49537	7.69907	48.30410	10.7375	10.63600	8.67513	1070.60162	122.9666	7.25030	60.25873	10.14554	0.00000	0.12405	8.94058	7.30205	7.15229	8.97065
21.31602	49.72606	8.26828	50.63419	40.68066	10.42621	9.34737	1090.71031	-73.47429	12.06779	46.36978	9.01444	1.00000	0.18137	7.65709	9.71830	9.47374	9.47042
23.47078	71.51607	6.48319	33.92137	50.9803	11.03590	9.21592	1066.02057	11.32903	7.89999	58.54690	9.60678	0.00000	0.07511	9.22023	8.04888	9.00597	9.54888
17.97338	67.42951	9.99655	56.32391	45.75279	9.87916	9.81488	1191.40833	130.57211	9.03385	59.35357	11.91541	0.00000	0.67322	9.54563	5.60352	6.90790	9.23047
24.37655	41.34084	11.55511	56.56769	31.39547	9.83741	9.58113	1078.95120	34.75699	7.48748	93.49906	6.80451	0.00000	3.13559	9.16422	5.43210	7.13209	9.51550
17.14887	89.76355	8.75949	39.48395	55.62047	9.33476	10.84835	1088.34648	37.49338	11.06844	54.95214	8.08783	1.00000	0.23176	9.84010	12.59368	7.32866	10.81232
34.75443	40.00530	9.29636	47.99215	-10.33333	6.69226	10.47557	1058.75508	39.28333	6.52066	39.96806	9.83458	0.00000	0.37150	9.32086	8.10075	10.78182	8.06550
20.78005	26.13386	9.29673	71.30180	23.18	10.31410	9.84804	1123.28268	88.58	9.97368	38.75384	10.84498	1.00000	0.39944	8.28516	13.11126	7.54495	8.15476
8.56266	60.92392	10.31563	62.37544	33.72255	7.34509	7.53125	1104.33012	-116.37697	7.66853	71.74026	8.45902	0.00000	0.94778	8.27923	9.51869	11.14116	10.09696
20.75664	46.94182	10.53596	46.78537	33.7207	10.44948	9.67323	1078.15816	-116.21677	11.45594	71.44667	10.80438	1.00000	1.17955	9.38274	10.54187	10.55355	9.95909
14.71608	56.30291	11.80039	37.77845	51.168	7.89956	9.71552	1192.90326	7.973	9.56698	69.00428	7.14638	0.00000	3.99283	8.29650	6.19130	11.74574	9.59611
28.87476	51.13276	9.93551	66.24967	27.52948	7.78926	8.79614	1169.04802	68.75915	7.95510	50.90350	8.91366	1.00000	0.66481	9.08132	12.51190	11.08980	8.25307
10.28879	39.75177	10.21331	52.48948	14.66	11.51401	9.40721	1058.04858	120.56528	10.23557	38.44372	11.28688	1.00000	0.83068	9.68721	10.09877	12.10203	10.66099
27.08351	92.90311	10.11811	35.61553	48.77275	11.53808	10.77608	1066.19843	5.16108	10.66693	80.37506	10.92237	1.00000	0.78588	9.66888	10.67726	11.97490	8.57868
39.05732	40.62724	7.97395	78.08380	27.52948	8.58841	9.57008	1073.89187	68.75915	8.00388	78.46669	9.67205	0.00000	0.15650	10.31659	7.24864	8.32285	10.98509
9.19640	68.86330	4.82581	48.11632	42.819	11.12253	10.41540	1192.29335	47.1192	9.40470	44.61591	8.56101	0.00000	0.04382	7.48884	6.82110	7.52856	8.17691
13.63240	43.20919	9.19864	44.41983	41.24255	8.11046	8.94151	1055.62553	-82.61573	6.21285	43.16630	11.55743	0.00000	0.32925	9.85199	7.79335	7.87414	9.40918
12.77771	66.19288	12.29359	25.06204	53.77166	8.94586	10.12872	1099.97988	38.12408	8.48343	45.51869	8.42578	1.00000	6.51302	10.87637	10.18799	11.02926	9.46504
23.38034	46.65394	6.12532	50.20300	47.83333	9.98472	10.53071	1165.72181	59.6	11.03257	55.30511	8.69868	1.00000	0.05028	7.98155	11.27700	5.67811	8.86974
12.06709	74.74000	10.01893	39.43443	43.54072	10.75611	8.19096	1156.16888	-116.56346	12.73791	31.17172	11.69934	1.00000	0.69317	9.15853	9.58293	6.28604	9.06388
13.43057	45.63022	8.12060	64.97816	-19.72806	10.58071	8.97374	1114.71390	-50.19556	10.32090	42.95615	11.71924	1.00000	0.11881	9.72206	10.83719	12.10708	8.85821
11.77635	90.21505	7.47616	65.60517	26.2173	10.51487	10.64764	1179.38378	-80.22588	11.77884	46.13695	12.23023	1.00000	0.08399	8.86916	11.95570	10.24927	8.09555
12.99928	47.10381	10.76227	36.94310	35	11.12225	9.52763	1193.03219	136.51667	11.28266	57.55750	10.75520	1.00000	1.44942	8.50103	10.22613	11.34303	9.10497
11.43784	52.14066	12.58857	40.66922	39.43534	12.82887	10.25436	1079.11555	-84.20299	12.17135	45.42138	11.17019	1.00000	8.72055	9.94913	8.26568	8.12685	9.84664
12.31038	43.56351	6.82903	38.79022	23.0072	9.85564	9.60066	1134.09347	-82.4017	8.16066	27.65125	9.15808	0.00000	0.10776	9.11927	7.99426	8.43153	8.17408
6.53624	37.13575	11.18912	42.85614	45.79377	13.07549	9.57120	1092.84838	8.88104	9.85098	29.20853	10.63537	1.00000	2.19859	8.71160	10.02269	11.17347	8.93079
20.58393	68.08534	10.49560	7.46372	48.8222	7.14840	10.08748	1195.72057	2.12213	9.41705	55.35603	7.61523	0.00000	1.13705	9.89606	10.83585	13.42548	10.90843
18.57268	68.95662	9.39960	38.91462	40.92298	11.66226	9.73868	1136.48874	14.30935	7.30223	40.29668	10.07045	0.00000	0.39508	8.06465	7.56084	6.15430	9.93263
16.00764	61.03566	9.23898	51.39596	44.85278	8.47300	8.79064	1140.53829	65.50917	6.16183	39.79611	10.27458	0.00000	0.36692	10.17167	7.29841	6.96650	9.94611
1.80634	35.87366	6.91283	40.39663	-8.05389	9.65814	10.21458	1128.93945	-34.88111	9.39881	51.32978	6.06233	1.00000	0.06113	9.29543	10.39756	7.02879	9.98088
-6.90772	74.70667	13.06875	43.68438	-15.675	9.81153	8.58891	1123.16682	-38.94722	10.71586	30.84573	9.15107	1.00000	14.03980	7.76624	11.67509	8.59608	7.60707
36.15996	37.28350	5.81733	72.61709	46.67535	9.36697	8.80433	1090.26256	5.55575	9.20973	52.94279	7.40116	1.00000	0.09694	9.95634	12.01215	4.62073	8.71127
7.68582	40.59390	6.37583	34.16550	11.50526	7.33927	8.29619	1173.53598	77.23826	6.33047	54.33222	10.03502	1.00000	0.07857	10.44492	9.17002	9.78648	8.64486
17.67805	37.34970	11.44461	48.89934	23.15678	8.11839	9.30223	1080.35637	-81.24441	9.67332	47.89961	6.40843	0.00000	2.81149	9.64994	9.80635	11.07744	7.93299
7.63448	66.69653	8.80954	73.41712	41.55815	11.08725	9.64443	1112.03240	-73.0515	11.85409	31.80305	5.86924	1.00000	0.24598	8.75957	8.51481	10.05520	8.19277
9.21903	58.35696	8.31097	61.80509	60.02427	13.00994	9.61148	1140.90287	30.28491	9.05830	32.11340	9.68339	0.00000	0.18871	9.64328	7.30481	7.28716	10.32701
6.78376	66.16669	10.96970	18.26122	40.64621	7.59808	8.64378	1093.27764	-73.97069	7.54559	38.49255	7.81849	0.00000	1.76660	9.81262	7.39781	10.45161	9.36406
15.84018	45.99672	11.38751	42.14696	32.57756	9.20529	8.68284	1152.98464	71.52847	11.66330	49.88219	5.64430	0.00000	2.64388	10.23813	6.35546	11.98224	10.99308
4.92162	61.28160	11.72078	53.65844	36.46917	10.48218	10.67244	1054.52219	10.78222	9.89442	59.20020	10.10489	1.00000	3.70011	10.38453	10.25682	9.53261	10.17632
-4.93426	54.93603	7.02400	46.88229	10.20898	11.35969	10.32399	1056.85632	123.758	8.85572	56.10927	9.14837	0.00000	0.08511	10.13091	7.14389	7.83873	8.16143
2.86956	59.71408	11.21104	60.85997	46.7055	7.19510	8.84197	1052.24790	38.2739	7.97021	49.94152	7.97372	0.00000	2.24985	8.40042	8.53165	10.44796	8.65719
20.50199	47.51791	10.26016	34.80635	48.98333	11.55274	9.29533	1128.80886	2.61667	10.90188	30.82500	9.90826	1.00000	0.90555	8.56827	11.28216	9.59177	8.68248
13.53041	46.30148	6.95764	56.16402	37.73604	11.81940	9.67686	1147.09029	-120.93549	8.23312	32.86482	9.20162	0.00000	0.08494	7.56352	8.06712	8.80774	9.95173
11.41099	58.10683	8.49933	73.87216	32.35126	11.96580	10.54248	1050.64000	-95.30106	7.79818	39.57736	8.83365	1.00000	0.20682	11.07826	9.98281	8.73367	8.90484
13.94015	48.60430	10.98369	62.42920	22.37066	7.60094	8.36543	1076.52787	114.10479	8.56642	30.94888	7.74912	0.00000	1.81131	8.15285	6.53326	10.40753	7.80408
9.30610	70.63380	8.49994	39.23888	33.52253	10.44909	8.83273	1170.37369	-117.70755	10.10962	63.05735	7.23337	1.00000	0.21360	8.60263	10.39146	8.56359	10.27526
22.27100	38.62705	11.46964	59.94144	-10.33333	7.31786	9.50373	1144.19348	39.28333	7.91265	66.71629	6.98313	0.00000	2.89770	9.53713	8.39113	10.91138	8.00407
-0.16294	37.22315	5.96340	44.18601	-54.8	10.01013	8.17566	1075.32136	-68.3	10.13802	22.43631	5.66392	1.00000	0.05711	9.10576	9.29564	6.99752	8.71925
20.22538	42.94581	11.73536	59.52556	51.82721	11.22454	9.72571	1184.46182	107.60627	9.70235	65.62762	10.18651	1.00000	3.73963	8.54605	11.10205	9.90602	8.99667
-3.09051	46.14346	9.66635	57.14407	43.41949	7.79052	10.17136	1194.97248	77.0202	8.11957	56.65724	8.92497	0.00000	0.52133	10.71640	7.28895	11.53177	7.53402
22.30826	54.43904	10.13383	38.55555	8.62261	7.86244	9.60125	1090.79543	-70.20749	6.95054	45.88610	9.26320	0.00000	0.77994	8.08430	6.67790	10.34686	10.38667
