station	QoS	location	latitude	longitude	revision
Zhoushan	maintenance	Asia/Shanghai	29.98869	122.20488	2022-01-31
Hueytown	good	America/Chicago	33.45122	-86.99666	2017/01/09
Ustka	good	Europe/Warsaw	54.58048	16.86194	2013-02-25
Aykhal	good	Asia/Yakutsk	65.93381	111.4834	2021-03-25
Jaruco	excellent	America/Havana	23.04419	-82.00919	2013-12-23
Pekanbaru	excellent	Asia/Jakarta	0.51667	101.44167	28 Jun 2020
Sakaraha	accep	Indian/Antananarivo	-22.9	44.53333	03/19/2022, 00:00:00
Trossingen	average	Europe/Berlin	48.07667	8.64409	20 Dec 2017
Glogovac	good	Europe/Belgrade	42.62833	20.89389	09 Jun 2014
Isfahan	average	Asia/Tehran	32.65246	51.67462	01/17/2018, 00:00:00
Port Huron	excellent	America/Detroit	42.97086	-82.42491	2021-05-29
Frederiksberg	accep	Europe/Copenhagen	55.67938	12.53463	2017/05/23
Barneveld	excellent	Europe/Amsterdam	52.14	5.58472	2017-05-21
Hendala	good	Asia/Colombo	6.9909	79.883	2013/04/04
Sangla Hill	maintenance	Asia/Karachi	31.71667	73.38333	14 Sep 2016
Olupona	excellent	Africa/Lagos	7.6	4.18333	16 Feb 2016
Jashpurnagar	average	Asia/Kolkata	22.88783	84.13864	2016/01/24
Tak Bai	good	Asia/Bangkok	6.25947	102.05461	2016-05-30
Collinwood	accep	America/New_York	41.55838	-81.56929	2013-10-13
Igbara-Odo	average	Africa/Lagos	7.50251	5.06258	2014-06-06
Aschaffenburg	average	Europe/Berlin	49.97704	9.15214	2015-10-18
Cardedeu	excellent	Europe/Madrid	41.63976	2.35739	2016-08-28
Independence	good	America/Chicago	39.09112	-94.41551	2021/04/01
Pottstown	excellent	America/New_York	40.24537	-75.64963	12/16/2015, 00:00:00
Griffith	maitennce	Australia/Sydney	-34.28853	146.05093	2017-05-17
Olanchito	accep	America/Tegucigalpa	15.48131	-86.57415	12 Jun 2014
Namerikawa	accep	Asia/Tokyo	36.75965	137.36215	01/01/2014, 00:00:00
Tarkwa	excellent	Africa/Accra	5.30383	-1.98956	2015/07/19
Le Robert	average	America/Martinique	14.67751	-60.94228	26 Jan 2021
El Copey	accep	America/Bogota	10.15031	-73.9614	2016-10-30
Gilbert	accep	America/Phoenix	33.35283	-111.78903	2021-01-31
Aykhal	excellent	Asia/Yakutsk	65.93381	111.4834	19 Oct 2013
San Jose	good	Asia/Manila	12.35275	121.06761	2022-03-05
Santa Gertrudes	excellent	America/Sao_Paulo	-22.45667	-47.53028	10/24/2017, 00:00:00
Oktyabr’skiy	accep	Asia/Yekaterinburg	54.48147	53.47103	29 Dec 2017
Bibiani	excellent	Africa/Accra	6.46346	-2.31938	02/11/2020, 00:00:00
Gernika-Lumo	good	Europe/Madrid	43.31667	-2.68333	31 Oct 2021
Recodo	accep	Asia/Manila	6.95194	121.96361	2019-06-27
Tinaquillo	building	America/Caracas	9.91861	-68.30472	07/28/2021, 00:00:00
Cibinong	excellent	Asia/Jakarta	-6.48167	106.85417	09/13/2017, 00:00:00
Supaul	good	Asia/Kolkata	26.11527	86.59509	10/28/2021, 00:00:00
les Escaldes	accep	Europe/Andorra	42.50729	1.53414	28 Jan 2014
Ferrol	good	Europe/Madrid	43.48961	-8.2194	2016-05-08
Nanpiao	good	Asia/Shanghai	41.09822	120.74792	2013/07/24
Carlos Barbosa	maintenance	America/Sao_Paulo	-29.2975	-51.50361	2020-01-07
Marseille 11	good	Europe/Paris	43.2907	5.4384	05 Nov 2021
Bon Air	good	America/New_York	37.52487	-77.55777	10 Oct 2020
Dipolog	accep	Asia/Manila	8.56697	123.33471	2017-07-31
Nkpor	good	Africa/Lagos	6.15038	6.83042	31 Jul 2017
Redding	good	America/Los_Angeles	40.58654	-122.39168	2013-08-31
Kolomyagi	accep	Europe/Moscow	60.02427	30.28491	2019/04/29
Paoy Paet	building	Asia/Phnom_Penh	13.65805	102.56365	02/28/2022, 00:00:00
Amposta	accep	Europe/Madrid	40.70995	0.57856	2013-09-18
Morningside Heights	accep	America/New_York	40.81	-73.9625	05/13/2015, 00:00:00
Siliana	accep	Africa/Tunis	36.08497	9.37082	2016/09/24
Barneveld	average	Europe/Amsterdam	52.14	5.58472	2017-02-26
Bar-le-Duc	accep	Europe/Paris	48.77275	5.16108	2016/09/09
Jalal-Abad	average	Asia/Bishkek	40.93333	73	01 Jul 2017
Santa Maria	accep	America/Los_Angeles	34.95303	-120.43572	21 Oct 2013
Loanda	average	America/Sao_Paulo	-22.92306	-53.13722	12/02/2017, 00:00:00
Dublin	good	America/New_York	32.54044	-82.90375	2017/05/13
Aguadilla	good	America/Puerto_Rico	18.42745	-67.15407	2022-03-10
'Ali Sabieh	building	Africa/Djibouti	11.15583	42.7125	04/06/2020, 00:00:00
Maryborough	excellent	Australia/Brisbane	-25.54073	152.70493	2019/07/09
Kudus	average	Asia/Jakarta	-6.8048	110.8405	28 Nov 2014
Hendala	average	Asia/Colombo	6.9909	79.883	23 Apr 2019
Karbala	accep	Asia/Baghdad	32.61603	44.02488	2017/04/25
Dorval	excellent	America/Toronto	45.4473	-73.75335	19 Feb 2013
Jalal-Abad	good	Asia/Bishkek	40.93333	73	2013/12/18
Guaraciaba do Norte	accep	America/Fortaleza	-4.16694	-40.7475	2015/12/13
Jashpurnagar	good	Asia/Kolkata	22.88783	84.13864	2021-04-07
American Canyon	excellent	America/Los_Angeles	38.17492	-122.2608	2015/08/20
Buenaventura	accep	America/Bogota	3.8801	-77.03116	2014-01-24
Wevelgem	excellent	Europe/Brussels	50.8	3.16667	26 Jun 2022
Yunguyo	excellent	America/Lima	-16.25	-69.08333	2020-03-13
Watsonville	building	America/Los_Angeles	36.91023	-121.75689	13 Feb 2017
Saraj	average	Europe/Skopje	42	21.32778	2018/08/24
East Jerusalem	good	Asia/Hebron	31.78336	35.23388	2019/03/03
Port of Spain	excellent	America/Port_of_Spain	10.66668	-61.51889	2019-08-18
Brunswick	accep	America/New_York	43.91452	-69.96533	2013/11/24
Jackson	average	America/Chicago	35.61452	-88.81395	2019-08-02
Martinsburg	excellent	America/New_York	39.45621	-77.96389	05/25/2021, 00:00:00
Chiguayante	building	America/Santiago	-36.9256	-73.02841	11/16/2018, 00:00:00
Waverly	average	America/Detroit	42.7392	-84.62081	19 Oct 2019
Lesnoy	good	Asia/Yekaterinburg	58.63667	59.80222	2016/11/26
San Juan de Aznalfarache	good	Europe/Madrid	37.35813	-6.03731	2017-12-26
Marburg an der Lahn	excellent	Europe/Berlin	50.80904	8.77069	19 Aug 2014
Agrigento	accep	Europe/Rome	37.31065	13.57661	12/17/2021, 00:00:00
Maliana	excellent	Asia/Dili	-8.99167	125.21972	2019-09-23
Sector 6	accep	Europe/Bucharest	44.43579	26.01649	2018-08-07
Cuenca	accep	America/Guayaquil	-2.90055	-79.00453	2020-02-09
Palm Desert	accep	America/Los_Angeles	33.72255	-116.37697	2019/09/15
Petrozavodsk	good	Europe/Moscow	61.78491	34.34691	2020/04/19
New City	accep	America/Chicago	41.80753	-87.65644	2017-02-20
El Achir	building	Africa/Algiers	36.06386	4.62744	23 Jun 2016
Tarakan	accep	Asia/Makassar	3.31332	117.59152	2015-01-09
Pointe-Claire	excellent	America/Toronto	45.44868	-73.81669	2022-01-12
Aguadilla	average	America/Puerto_Rico	18.42745	-67.15407	12 Nov 2013
Sakaraha	excellent	Indian/Antananarivo	-22.9	44.53333	05/18/2021, 00:00:00
Nonoichi	good	Asia/Tokyo	36.53333	136.61667	05/25/2017, 00:00:00
Campobasso	accep	Europe/Rome	41.55947	14.66737	2016-06-06
Guli	building	Asia/Shanghai	28.88162	120.03308	2015/12/28
Davangere	average	Asia/Kolkata	14.46693	75.92694	2014/01/30
San Rafael	good	America/Costa_Rica	9.92787	-84.13722	2012/10/12
Bothell	building	America/Los_Angeles	47.76232	-122.2054	09/24/2022, 00:00:00
Tarakan	average	Asia/Makassar	3.31332	117.59152	2012-10-24
Lexington	average	America/New_York	33.98154	-81.23621	2013-08-23
Tucano	average	America/Bahia	-10.95817	-38.79084	07/22/2013, 00:00:00
Lal Bahadur Nagar	good	Asia/Kolkata	17.34769	78.55757	2017/12/20
Debre Tabor	good	Africa/Addis_Ababa	11.85	38.01667	2016/05/15
Ponta Delgada	maitennce	Atlantic/Azores	37.74615	-25.66689	24 Mar 2015
Kampung Ayer Molek	average	Asia/Kuala_Lumpur	2.2139	102.3278	2017/05/21
Jaruco	average	America/Havana	23.04419	-82.00919	2019-12-09
Dawei	good	Asia/Yangon	14.0823	98.19151	2012/11/23
Valday	excellent	Europe/Moscow	57.97472	33.2525	2022-07-14
Ustka	accep	Europe/Warsaw	54.58048	16.86194	09/11/2016, 00:00:00
Soure	accep	America/Belem	-0.71667	-48.52333	02/07/2018, 00:00:00
Weimar	average	Europe/Berlin	50.9803	11.32903	01/05/2014, 00:00:00
Aberdeen	excellent	Europe/London	57.14369	-2.09814	09/10/2018, 00:00:00
Arzamas	building	Europe/Moscow	55.39485	43.83992	16 Jun 2018
New Kingston	maintenance	America/Jamaica	18.00747	-76.78319	11 Aug 2021
Roslavl’	maintenance	Europe/Moscow	53.95278	32.86389	2017/03/10
Hita	good	Asia/Tokyo	33.3213	130.94098	12/11/2016, 00:00:00
Liberia	excellent	America/Costa_Rica	10.63504	-85.43772	04/30/2022, 00:00:00
Tandil	accep	America/Argentina/Buenos_Aires	-37.32167	-59.13316	09/05/2015, 00:00:00
Gates-North Gates	accep	America/New_York	43.16547	-77.70066	2016-02-29
Acworth	good	America/New_York	34.06635	-84.67837	04 Sep 2014
American Canyon	average	America/Los_Angeles	38.17492	-122.2608	01/02/2013, 00:00:00
Pontevedra	maintenance	America/Argentina/Buenos_Aires	-34.74785	-58.70072	10/07/2018, 00:00:00
Farafenni	building	Africa/Banjul	13.56667	-15.6	01/14/2018, 00:00:00
La Garenne-Colombes	average	Europe/Paris	48.90472	2.2469	2020/05/11
Lesnoy	excellent	Asia/Yekaterinburg	58.63667	59.80222	2016-09-02
San Giuliano Milanese	accep	Europe/Rome	45.39402	9.29109	16 Sep 2018
Inverness	excellent	Europe/London	57.47908	-4.22398	2019-03-12
Hita	average	Asia/Tokyo	33.3213	130.94098	2016-02-17
Sonzacate	building	America/El_Salvador	13.73417	-89.71472	2014-08-25
Karatsu	average	Asia/Tokyo	33.4425	129.96972	26 Dec 2014
Bavly	accep	Europe/Moscow	54.39304	53.26023	2014-05-24
New Kingston	accep	America/Jamaica	18.00747	-76.78319	2019-10-30
Ragusa	maintenance	Europe/Rome	36.92574	14.72443	2020-12-25
Simpang	good	Asia/Jakarta	-1.26424	104.09701	17 Jan 2021
Recife	average	America/Recife	-8.05389	-34.88111	2019-11-16
Shinshiro	good	Asia/Tokyo	34.9	137.5	02/22/2019, 00:00:00
North Tustin	excellent	America/Los_Angeles	33.76446	-117.79394	2018-10-24
Darreh Shahr	accep	Asia/Tehran	33.14447	47.3799	2021/10/10
Okahandja	accep	Africa/Windhoek	-21.98333	16.91667	18 May 2019
Winsford	average	Europe/London	53.19146	-2.52398	2020-02-05
Mechanicsville	accep	America/New_York	37.60876	-77.37331	02/28/2017, 00:00:00
Serinhisar	excellent	Europe/Istanbul	37.58105	29.26639	2017/09/23
Greenville	good	America/Chicago	33.41012	-91.06177	26 May 2015
Kirchlengern	average	Europe/Berlin	52.2	8.63333	2018-08-15
Khairpur Mir’s	accep	Asia/Karachi	27.52948	68.75915	2018/12/05
Catende	excellent	America/Recife	-8.66667	-35.71667	2016-05-07
Jizzax	average	Asia/Samarkand	40.11583	67.84222	2017-04-20
Shepetivka	excellent	Europe/Kiev	50.18545	27.06365	2017-07-31
Westbury	excellent	Europe/London	51.26	-2.1875	02/10/2020, 00:00:00
Zeitz	good	Europe/Berlin	51.04962	12.1369	27 Sep 2018
Redding	average	America/Los_Angeles	40.58654	-122.39168	01/14/2017, 00:00:00
Chosica	building	America/Lima	-11.94306	-76.70944	2015-03-26
Sremska Mitrovica	building	Europe/Belgrade	44.97639	19.61222	10/11/2012, 00:00:00
Tupi	average	Asia/Manila	6.33444	124.95278	04/07/2022, 00:00:00
Bron	good	Europe/Paris	45.73333	4.91667	2016-01-28
T’aebaek	good	Asia/Seoul	37.1759	128.9889	2015/12/07
Belle Glade	good	America/New_York	26.68451	-80.66756	2019/06/14
Puerto Colombia	maintenance	America/Bogota	10.98778	-74.95472	2018/05/24
Labuhan Deli	excellent	Asia/Jakarta	3.7278	98.6738	2013/10/30
Itaperuna	good	America/Sao_Paulo	-21.205	-41.88778	2015/07/01
Hendala	good	Asia/Colombo	6.9909	79.883	08/10/2014, 00:00:00
Jais	excellent	Asia/Kolkata	26.2649	81.54855	08/04/2014, 00:00:00
Thetford	good	Europe/London	52.41667	0.75	2019-03-16
Gauting	good	Europe/Berlin	48.06919	11.37703	09/11/2016, 00:00:00
Surbiton	average	Europe/London	51.39148	-0.29825	2015-09-01
Chichicastenango	good	America/Guatemala	14.93333	-91.11667	02/28/2013, 00:00:00
San Juan	accep	America/Chicago	26.18924	-98.15529	2019/10/18
San Juan de Aznalfarache	accep	Europe/Madrid	37.35813	-6.03731	2013/01/18
Kobuleti	excellent	Asia/Tbilisi	41.82143	41.77921	24 May 2016
Namerikawa	average	Asia/Tokyo	36.75965	137.36215	07/01/2020, 00:00:00
Exeter	accep	Europe/London	50.7236	-3.52751	2013/02/16
Canavieiras	excellent	America/Bahia	-15.675	-38.94722	05/05/2014, 00:00:00
Alytus	average	Europe/Vilnius	54.39635	24.04142	03/31/2020, 00:00:00
Dobrush	accep	Europe/Minsk	52.4089	31.3237	2015-08-26
Kampung Ayer Molek	maintenance	Asia/Kuala_Lumpur	2.2139	102.3278	03 May 2013
Pleasant Prairie	maintenance	America/Chicago	42.55308	-87.93341	28 Jul 2014
Bergama	average	Europe/Istanbul	39.12074	27.18052	2019/12/04
Kati	excellent	Africa/Bamako	12.74409	-8.07257	23 Sep 2016
Majene	excellent	Asia/Makassar	-3.5403	118.9707	2022/01/19
Barra dos Coqueiros	excellent	America/Maceio	-10.90889	-37.03861	07/03/2013, 00:00:00
Chillum	excellent	America/New_York	38.96372	-76.99081	20 Dec 2021
Brunswick	good	America/New_York	43.91452	-69.96533	24 Nov 2012
Great Wyrley	excellent	Europe/London	52.66277	-2.01111	2018-04-24
Sukabumi	accep	Asia/Jakarta	-6.91806	106.92667	10 Sep 2021
Guanajuato	accep	America/Mexico_City	21.01858	-101.2591	12 Jul 2014
Montpellier	maintenance	Europe/Paris	43.61092	3.87723	28 Jun 2017
Oulmes	accep	Africa/Casablanca	33.42585	-6.00137	2017/09/12
Freetown	maintenance	Africa/Freetown	8.48714	-13.2356	2017-03-23
El Alia	average	Africa/Tunis	37.16911	10.03478	07/20/2016, 00:00:00
Motomachi	average	Asia/Tokyo	43.82634	144.09638	13 Sep 2018
Waverly	good	America/Detroit	42.7392	-84.62081	10/25/2016, 00:00:00
Arua	good	Africa/Kampala	3.02013	30.91105	17 Nov 2016
Tchaourou	excellent	Africa/Porto-Novo	8.88649	2.59753	19 Sep 2015
Boston	maintenance	America/New_York	42.35843	-71.05977	2014-12-16
Sasayama	maintenance	Asia/Tokyo	35.06667	135.21667	2015-12-06
Jaworzno	good	Europe/Warsaw	50.20528	19.27498	10/08/2019, 00:00:00
Hendala	average	Asia/Colombo	6.9909	79.883	04/23/2017, 00:00:00
Falconara Marittima	average	Europe/Rome	43.62558	13.39954	31 Jul 2019
Gainsborough	accep	Europe/London	53.38333	-0.76667	2022/07/28
Ulan Bator	average	Asia/Ulaanbaatar	47.90771	106.88324	2014/03/31
Middletown	excellent	America/New_York	41.54566	-71.29144	06/27/2014, 00:00:00
Claremont	excellent	America/Los_Angeles	34.09668	-117.71978	2017-11-22
Tadmur	good	Asia/Damascus	34.5624	38.28402	2020-08-09
Ulanhot	excellent	Asia/Shanghai	46.08333	122.08333	2018-11-14
Oberhausen	accep	Europe/Berlin	51.47805	6.8625	2021-08-19
Mudanya	excellent	Europe/Istanbul	40.37528	28.88222	06/20/2016, 00:00:00
Lymington	excellent	Europe/London	50.75767	-1.5443	2021/12/13
Shuangcheng	accep	Asia/Shanghai	45.35	126.28333	2015/12/26
Heyuan	good	Asia/Shanghai	23.73333	114.68333	2017-02-19
Gainsborough	average	Europe/London	53.38333	-0.76667	2022/04/01
Maxixe	good	Africa/Maputo	-23.85972	35.34722	12/01/2021, 00:00:00
Siliana	good	Africa/Tunis	36.08497	9.37082	2016/08/22
Bryn Mawr-Skyway	accep	America/Los_Angeles	47.4943	-122.24092	2013-07-03
Hungund	accep	Asia/Kolkata	16.06213	76.0586	2019/09/20
Gisborne	accep	Pacific/Auckland	-38.65333	178.00417	01/14/2013, 00:00:00
Tiruppuvanam	excellent	Asia/Kolkata	9.82564	78.25795	2019/06/04
Lesnoy	accep	Asia/Yekaterinburg	58.63667	59.80222	06/25/2013, 00:00:00
Novelda	good	Europe/Madrid	38.38479	-0.76773	05/23/2020, 00:00:00
New Kingston	average	America/Jamaica	18.00747	-76.78319	2013-07-08
Kediri	good	Asia/Jakarta	-7.81667	112.01667	2018-10-06
Front Royal	building	America/New_York	38.91817	-78.19444	2015/12/01
Bon Air	good	America/New_York	37.52487	-77.55777	2017/01/26
Griffith	average	Australia/Sydney	-34.28853	146.05093	28 Sep 2019
Rio Real	accep	America/Bahia	-11.48472	-37.93278	2022/02/16
Carnot	good	Africa/Bangui	4.94273	15.87735	2018/06/23
Nikolayevsk-on-Amure	good	Asia/Vladivostok	53.14657	140.72287	05/14/2019, 00:00:00
Sicklerville	building	America/New_York	39.71734	-74.96933	17 Oct 2018
Jackson	good	America/Chicago	35.61452	-88.81395	2019/09/14
Yablonovskiy	good	Europe/Moscow	44.98901	38.94324	2016-11-05
Yeysk	accep	Europe/Moscow	46.7055	38.2739	02 Nov 2012
Southsea	excellent	Europe/London	50.79205	-1.08593	2016/02/14
Catende	good	America/Recife	-8.66667	-35.71667	20 Sep 2013
Sharypovo	excellent	Asia/Krasnoyarsk	55.54028	89.20083	2017/01/31
Le Chesnay	good	Europe/Paris	48.8222	2.12213	2015/11/18
Mesagne	average	Europe/Rome	40.55851	17.80774	11/17/2017, 00:00:00
Troutdale	maintenance	America/Los_Angeles	45.53929	-122.38731	2019/01/22
Opportunity	accep	America/Los_Angeles	47.64995	-117.23991	07/21/2019, 00:00:00
Thomazeau	excellent	America/Port-au-Prince	18.65297	-72.09391	08/26/2019, 00:00:00
Antanifotsy	building	Indian/Antananarivo	-19.65	47.31667	05/18/2017, 00:00:00
Gero	average	Asia/Tokyo	35.8	137.23333	2017/01/23
Keene	accep	America/New_York	42.93369	-72.27814	20 Jul 2015
Nizhniy Lomov	excellent	Europe/Moscow	53.53041	43.67663	2019-11-25
Westchester	excellent	America/Chicago	41.85059	-87.882	02/16/2016, 00:00:00
Aberdeen	building	Europe/London	57.14369	-2.09814	06/28/2018, 00:00:00
Nayoro	excellent	Asia/Tokyo	44.35056	142.45778	2013-06-26
Narwar	average	Asia/Kolkata	25.6439	77.9129	2013-09-11
Amreli	accep	Asia/Kolkata	21.59983	71.21169	21 Mar 2017
Tavda	average	Asia/Yekaterinburg	58.04254	65.27258	2016-10-25
Zgorzelec	excellent	Europe/Warsaw	51.14942	15.00835	2022-06-28
Sinhyeon	average	Asia/Seoul	34.8825	128.62667	2015-03-13
Odessa	excellent	America/Chicago	31.84568	-102.36764	06/09/2019, 00:00:00
Tchaourou	good	Africa/Porto-Novo	8.88649	2.59753	2021-12-16
Tsuen Wan	average	Asia/Hong_Kong	22.37066	114.10479	2015-04-23
Okegawa	accep	Asia/Tokyo	36	139.55722	2019-11-26
Niort	good	Europe/Paris	46.32313	-0.45877	08/05/2017, 00:00:00
Ozersk	average	Asia/Yekaterinburg	55.75556	60.70278	2020/05/03
Kanganpur	good	Asia/Karachi	30.76468	74.12286	2021/07/03
San Giuliano Milanese	average	Europe/Rome	45.39402	9.29109	11/09/2020, 00:00:00
Waterbury	building	America/New_York	41.55815	-73.0515	17 Jul 2014
Lal Bahadur Nagar	average	Asia/Kolkata	17.34769	78.55757	2019-02-10
Dorval	average	America/Toronto	45.4473	-73.75335	11/12/2021, 00:00:00
Shinshiro	accep	Asia/Tokyo	34.9	137.5	08/24/2017, 00:00:00
Supaul	excellent	Asia/Kolkata	26.11527	86.59509	10/07/2017, 00:00:00
Santa Gertrudes	average	America/Sao_Paulo	-22.45667	-47.53028	2016/06/28
Liberia	accep	America/Costa_Rica	10.63504	-85.43772	06/30/2015, 00:00:00
San Gabriel	good	America/Los_Angeles	34.09611	-118.10583	17 Aug 2021
Chiavari	average	Europe/Rome	44.31771	9.32241	09/12/2018, 00:00:00
Griffith	good	Australia/Sydney	-34.28853	146.05093	2015/09/30
Nakhon Si Thammarat	excellent	Asia/Bangkok	8.43333	99.96667	2016-03-29
Kati	good	Africa/Bamako	12.74409	-8.07257	24 Dec 2013
Ganei Tikva	accep	Asia/Jerusalem	32.05971	34.8732	06/25/2014, 00:00:00
Puducherry	accep	Asia/Kolkata	11.93381	79.82979	07 Sep 2016
Scarsdale	accep	America/New_York	41.0051	-73.78458	2014/07/31
Norco	maintenance	America/Los_Angeles	33.93113	-117.54866	06/27/2018, 00:00:00
Msaken	average	Africa/Tunis	35.72917	10.58082	05/09/2021, 00:00:00
'Ali Sabieh	accep	Africa/Djibouti	11.15583	42.7125	02/17/2022, 00:00:00
Al Jubayl	accep	Asia/Riyadh	27.0174	49.62251	30 Jul 2020
Ramla	average	Asia/Jerusalem	31.92923	34.86563	2020/07/09
Bobigny	average	Europe/Paris	48.90982	2.45012	05/16/2022, 00:00:00
Lodwar	excellent	Africa/Nairobi	3.11988	35.59642	07/04/2013, 00:00:00
Segundo Ensanche	excellent	Europe/Madrid	42.8139	-1.64295	2022/03/11
East Dereham	good	Europe/London	52.68333	0.93333	12/05/2017, 00:00:00
Imbituba	building	America/Sao_Paulo	-28.24	-48.67028	2013/12/08
Rutherglen	excellent	Europe/London	55.82885	-4.21376	08/10/2015, 00:00:00
Hardenberg	average	Europe/Amsterdam	52.57583	6.61944	26 May 2020
Foshan	excellent	Asia/Shanghai	23.02677	113.13148	2021/05/03
Ventimiglia	excellent	Europe/Rome	43.78956	7.60872	2021/10/20
Hardenberg	accep	Europe/Amsterdam	52.57583	6.61944	2017-08-20
Supaul	accep	Asia/Kolkata	26.11527	86.59509	10/30/2020, 00:00:00
Barpeta	accep	Asia/Kolkata	26.32293	91.00632	2014/08/03
Zvenihorodka	excellent	Europe/Kiev	49.07866	30.96755	2016-11-28
Changshu City	average	Asia/Shanghai	31.64615	120.74221	26 Oct 2018
Sarandi	accep	America/Sao_Paulo	-23.44361	-51.87389	2015-06-03
Scotch Plains	excellent	America/New_York	40.65538	-74.38987	11/03/2019, 00:00:00
Tudela	good	Europe/Madrid	42.06166	-1.60452	07/05/2014, 00:00:00
Komono	maintenance	Asia/Tokyo	35	136.51667	2022-09-08
Stupino	excellent	Europe/Moscow	54.90083	38.07083	06/19/2020, 00:00:00
Fitchburg	excellent	America/New_York	42.58342	-71.8023	03 Jul 2015
Minokamo	good	Asia/Tokyo	35.48199	137.02166	2014-01-27
Schererville	accep	America/Chicago	41.47892	-87.45476	2020-06-11
Altamira	good	America/Santarem	-3.20333	-52.20639	09/02/2016, 00:00:00
Frenda	accep	Africa/Algiers	35.06544	1.04945	2018/07/20
