CO	warning	CH4	H2CO	C2H3NO5	PM10	CFCs	O3	Pb	NH3	longitude	SO2	PRES	PM2.5	PAHs	latitude	TEMP	NOx
6.19941	1.00000	8.67270	51.47840	0.86970	7.64273	54.80006	3.76601	39.92210	8.94605	114.10479	10.77075	1145.05241	9.24293	9.31825	22.37066	23.31395	7.26718
6.28082	1.00000	9.58760	63.00064	2.31944	8.90065	40.10434	10.31469	58.43675	7.93492	-8.33147	6.73891	1092.97947	7.03145		41.20485	22.01066	7.04976
6.83638	0.00000	6.13956	56.95840	0.81100	7.41341	54.48861	7.36412	25.94803	8.41724	112.23109	10.66535	1109.14589	6.76452	7.83047	-7.57897	20.18056	8.55243
5.84769	1.00000	9.86266	65.70543	4.88569	9.78935	37.47654	10.49089	57.98971	8.87183	9.15214	8.82719	1165.60172	6.32948	5.79106	49.97704	10.73532	6.53683
7.33602	1.00000	7.27870	50.29623	0.61075	6.08903	68.82970	7.88352	71.26157	6.20596	0.57856	8.88860	1093.18512	7.99318	8.15834	40.70995	21.96042	3.93775
8.36697	0.00000	6.59033	62.62634	1.18214	7.98296	47.95481	8.23300	81.77371	9.30678	112.01667	5.45034	1176.17891	6.86279	6.39376	-7.81667	16.59589	6.21530
6.89313	0.00000	5.88208	63.12009	0.55251	4.98678	36.09748	8.98827	80.58428	9.08851	65.27258	7.44828	1100.68929	8.11041	8.36624	58.04254	1.47140	7.26360
8.81974	1.00000	9.44707	79.31371	1.75885	8.66382	38.71621	9.12191	33.66821	8.78746	29.65806	6.08099	1082.52655	7.35465	8.24978	-4.83	10.43541	8.15028
7.14186	0.00000	5.32379	28.12987	0.47292	3.87395	54.14304	6.33584	48.40850	7.70006	12.16179	6.85707	1134.88991	7.78588	7.06487	48.52961	11.51767	6.59674
7.19561	1.00000	5.49045	25.56989	0.61718	6.59377	30.81452	6.78160	57.75271	5.43720	34.34691	7.15930	1123.68043	6.31242	8.32335	61.78491	8.75073	7.66810
9.00289	1.00000	5.95374	86.90080	0.55340	3.76518	61.77155	5.40435	24.55800	4.87821	27.18052	7.83234	1121.70225	6.21672	9.37624	39.12074	17.88565	7.53302
7.01478	1.00000	7.92198	66.91261	2.37045	8.85306	38.16773	8.85163	47.91962	7.49902	73.7553	8.48778	1087.52087	9.04985	8.71018	15.5439	14.26391	6.06728
6.81899	1.00000	7.48787	42.56019	0.32928	2.18204	38.61063	3.21487	68.43232	6.52648	-6.90656	10.67361	1123.63558	8.13464	9.35484	33.92866	16.19280	7.78352
8.47596	0.00000	5.56165	36.86553	0.59879	5.06897	55.13478	7.24396	32.52150	8.39414	137.5	7.88758	1125.36623	8.40262	7.06425	34.9	16.88200	6.65112
6.88358	0.00000	4.81775	48.48237	0.43564	4.40952	33.43769	8.49057	64.02914	8.55749	-2.52398	6.70640	1158.53400	5.83466	8.45985	53.19146	19.64523	5.86789
5.64445	0.00000	5.27749	40.05329	0.50650	2.10898	59.06647	7.37526	29.16542	6.88139	38.66667	5.15838	1196.98180	6.15854	7.43550	-6.25	15.04907	8.45275
6.28595	1.00000	7.79603	54.17854	1.95858	8.70506	37.36116	9.50395	41.50760	7.81090	-81.24441	8.92889	1176.69901	6.50499	7.92478	23.15678	16.86024	6.90827
7.04730	1.00000	7.46498	63.23509	1.30409	7.80983	61.70680	8.36763	49.64851	9.07407	76.35484	6.72494	1174.77963	6.82833	8.21369	10.10649	6.50968	6.12811
7.76224	0.00000	7.06813	58.91606	0.58569	5.18394	34.90524	7.10594	65.22174	8.05639	-91.06177	8.88816	1057.32588	7.47855	7.22249	33.41012	9.44469	5.71951
6.72595	0.00000	6.10465	82.32611	0.53128	6.77929	39.91401	7.28233	62.30120	8.30704	12.19458	4.73986	1127.44481	5.38487	4.61102	10.61285	10.43091	7.04743
6.36979	0.00000	4.81179	62.26252	0.71915	5.37663	52.84408	7.50917	72.44275	7.39280	-2.68758	8.03811	1109.48647	7.47222	7.06763	53.69786	7.51652	5.71708
6.36037	0.00000	4.78128	43.91671	0.69087	1.78358	67.58444	9.34501	60.87405	7.67899	-35.03333	3.72529	1073.16971	6.00824	10.62568	-8.28333	32.31246	6.18662
9.97498	1.00000	5.30971	64.37851	0.36674	4.91035	29.92050	6.88189	59.05176	6.17804	145.13643	8.02860	1171.54727	5.76693	8.59138	-38.16604	26.25350	6.85298
6.88333	0.00000	5.57816	43.43442	0.47760	4.49359	55.94469	8.62552	55.48139	8.16259	-73.81669	7.36667	1061.00200	7.77092	10.30365	45.44868	14.52505	5.64982
7.29162	0.00000	7.98965	40.69310	1.29478	8.10289	71.86126	9.56989	55.37012	8.74557	-74.38987	7.18502	1065.51560	7.51489	6.14475	40.65538	16.23823	5.68672
4.26716	1.00000	4.82587	54.00592	0.69939	4.45487	39.65653	4.53611	60.29946	4.75514	49.62251	6.82148	1061.98934	6.86486	10.11031	27.0174	23.28489	6.69967
7.21161	1.00000	7.45258	51.00693	1.85749	8.67067	31.20318	7.95479	62.01405	5.94580	-76.78319	10.16569	1171.49176	6.57178	9.47691	18.00747	7.80270	6.41370
6.76897	1.00000	8.23501	42.17722	1.63484	8.43710	20.35754	8.79909	49.15250	7.12259	86.51499	7.74451	1051.10774	5.55768	9.54841	23.1959	5.17704	7.39259
5.85228	1.00000	4.72716	55.62583	0.64996	6.88565	59.03117	6.43013	74.44940	6.72366	47.31667	7.77679	1189.24126	6.49234	8.15550	-19.65	15.71529	8.06572
6.73778	1.00000	7.24181	19.45307	0.71927	5.70782	29.36403	5.36081	41.78081	8.20006	13.44275	8.51777	1176.03781	6.07596	10.87367	38.07789	15.19140	5.52419
6.65073	1.00000	7.65111	47.71500	2.05024	8.81435	54.20096	7.47093	47.17411	8.91978	-0.74934	7.13012	1089.41748	6.76896	7.77052	51.62907	22.22948	7.65170
9.10087	1.00000	7.85233	42.53986	0.57869	6.55782	27.63731	6.49775	73.72503	10.18784	24.95034	6.12177	1131.82480	6.87463	8.04730	60.18427	7.34799	5.29037
6.81130	0.00000	4.96540	41.35572	0.56609	5.51755	50.99176	7.35193	45.18844	7.61623	53.47103	8.09385	1184.36937	5.05809	9.21773	54.48147	5.18226	9.44574
6.84202	1.00000	5.17917	54.69582	0.60474	4.84501	51.37743	5.59979	89.30983	3.26887	8.77155	7.30983	1128.54169	6.85904	8.40537	50.23019	2.44281	8.52279
5.65838	1.00000	3.95786	42.17798	0.81365	5.25134	47.13639	4.53357	76.80511	4.66148	92.48278	7.45147	1150.73539	6.10116	7.61108	58.23583	21.24635	5.38178
6.63488	0.00000	9.87010	58.11978	9.99566	10.55287	39.67079	7.46877	36.31215	10.10882	-103.5687	5.15860	1131.50232	6.05314	6.59232	20.22816	10.32805	5.78886
5.06872	1.00000	7.61546	45.61616	1.08620	7.98631	58.14921	9.27771	59.25292	8.42021	91.84128	8.52060	1149.93890	5.99947	8.69513	22.83957	10.12589	7.46000
4.95288	1.00000	6.18301	45.54117	1.13984	7.69130	53.01642	7.11006	40.71186	6.85033	6.51352	8.62578	1123.03642	6.20722	10.91030	51.19139	18.29608	6.70780
8.56316	1.00000	4.15742	42.17382	0.74543	5.42823	47.84099	6.92938	49.79034	5.06695	-72.27814	6.83510	1104.04466	7.23057	8.05486	42.93369	26.45385	6.85350
6.85953	0.00000	5.88231	66.10773	0.38806	5.04438	56.75030	6.87443	34.76016	8.71251	-38.79084	8.01628	1073.05788	5.88311	6.51541	-10.95817	26.84723	7.38968
8.04876	1.00000	7.27766	49.84823	1.82591	8.49624	51.11368	7.68686	55.13671	9.32410	73.97117	8.83858	1148.14110	6.26131	8.02755	31.96258	30.03373	8.27494
5.70329	0.00000	7.08729	43.19929	0.52478	4.50666	36.53298	7.74122	43.89360	6.89513	2.2469	8.47346	1106.27534	8.91106	8.47778	48.90472	11.25499	6.72983
7.05744	1.00000	6.36914	47.19406	0.48526	4.25025	40.07740	6.34397	30.38125	2.38609	38.02486	8.57863	1181.90422	8.15903	6.62657	55.64776	12.20609	6.16544
9.48991	1.00000	7.00133	26.80815	0.34373	4.03905	44.07745	2.09370	42.18290	7.49179	126.28333	11.26797	1192.16748	7.42345	8.25168	45.35	23.46356	7.21092
5.37160	0.00000	5.91805	66.41577	0.54582	5.31332	46.73735	7.71450	63.85161	7.98759	-72.47417	8.00772	1168.33588	5.68883	7.12395	7.83389	10.97650	7.41359
6.71964	0.00000	7.98107	36.72390	1.07493	8.04391	40.22238	8.76363	28.87532	8.70491	10.58082	6.34099	1186.32977	9.15534	7.00759	35.72917	23.73081	8.10422
7.39977	1.00000	6.20353	48.71823	0.26867	5.30936	53.55999	5.61667	66.31143	7.74454	-73.49484	9.04849	1165.54009	6.31975	8.35780	41.14676	20.46795	7.41088
7.12460	1.00000	7.98950	68.39117	6.14183	10.03466	43.09471	6.35339	69.70534	9.56123	117.59152	8.82301	1086.65584	6.95337	5.58711	3.31332	27.87547	7.74767
8.40589	1.00000	4.68940	42.58816	0.71421	5.63566	30.75260	4.78806	61.09690	6.66319	37.73333	7.75857	1100.37307	5.97332	8.98287	-4.06667	17.33790	5.10614
8.79759	0.00000	8.12517	50.59691	1.54218	8.13862	61.20948	7.94051	57.63460	8.39378	24.04142	3.41794	1164.14536	6.58290	5.05197	54.39635	-0.35071	8.10510
7.22527	1.00000	11.95635	51.27161	2.88573	9.19939	25.60318	9.81115	42.59920	10.88117	-91.11667	4.64839	1072.85551	6.84686	5.67660	14.93333	16.81803	6.99477
7.31338	0.00000	6.46853	43.17194	0.69895	7.30221	40.23711	9.27564	39.61281	8.85274	-67.15407	10.21085	1106.84696	8.28999	7.43768	18.42745	31.02516	6.88509
7.99566	1.00000	2.57192	29.84396	0.70853	4.94302	52.13006	7.90103	39.96460	2.51288	-117.23991	7.00164	1115.22312	7.32778	4.88907	47.64995	19.99140	7.68368
7.35257	0.00000	5.16239	59.20996	0.54878	3.83117	22.82132	7.19714	53.78087	8.26100	76.92421	6.54815	1170.93528	5.14876	6.71487	60.97944	13.76290	7.81555
8.86663	1.00000	4.37432	46.19720	4.97057	9.82900	25.46647	6.76047	52.67505	8.78822	-72.09391	10.80482	1089.23642	6.26589	8.68139	18.65297	27.07302	7.61028
8.15686	1.00000	10.26424	54.81661	1.55670	8.39958	31.13472	8.62137	50.15122	7.91625	136.13108	5.32035	1094.80870	4.10929	9.41027	34.75856	16.12193	6.29450
10.38523	1.00000	6.46031	55.88079	0.56334	4.90554	33.04543	5.70497	34.32367	3.99465	-73.75335	8.97699	1101.57813	9.49894	7.26079	45.4473	19.48363	7.64577
7.23884	0.00000	8.62578	40.91574	3.20271	9.31830	42.76010	5.55657	70.27052	9.30574	121.06761	3.64613	1155.89722	7.45937	5.23404	12.35275	19.50948	6.41125
8.05200	1.00000	8.02798	50.58561	0.74369	7.38112	42.84913	9.65836	77.76319	8.83033	-50.00639	8.78380	1066.03551	6.74394	8.37286	-25.42944	1.14269	6.39417
6.01429	1.00000	8.14084	39.40333	2.86949	9.08802	65.59180	6.77176	48.72209	8.45145	38.28402	8.55263	1124.00033	5.43531	7.95253	34.5624	19.26899	7.38984
7.65318	1.00000	8.31551	55.56932	0.80590	6.64292	49.12464	10.10771	41.51253	7.48372	-70.92866	7.84524	1131.05551	7.20104	10.16599	42.52787	49.49718	5.24772
8.19655	1.00000	7.81191	50.25769	0.72775	5.95590	52.81819	6.83434	40.22326	3.33566	24.6522	9.53249	1087.53094	8.31765	7.04061	60.2052	26.19568	7.35995
6.68649	1.00000	7.84334	36.78034	0.69400	4.84006	37.98323	4.39581	62.61016	6.44506	123.33471	9.72766	1078.27282	4.36578	9.45385	8.56697	22.76135	6.82586
8.40328	0.00000	8.45266	48.34730	0.85821	7.08149	33.98127	10.63411	53.88872	7.71042	137.5	7.30542	1071.41852	7.67472	4.97519	34.9	6.92134	5.59388
6.91282	1.00000	5.39439	72.12795	0.60782	4.27082	35.66020	5.47303	65.05018	5.80424	138.31667	8.31546	1084.16895	7.11115	8.37794	36.65	7.68187	7.07998
6.17917	1.00000	5.39057	31.21192	0.88163	6.45392	50.09967	5.09867	33.66774	6.99203	73.97117	7.89393	1182.25751	6.24327	9.53691	31.96258	19.96978	6.30529
7.49082	1.00000	5.52875	38.63084	0.56989	6.12393	41.05198	6.75700	46.56740	6.24253	-78.87836		1128.98712	8.17872	7.27739	35.05266	6.34738	5.91665
7.05790	0.00000	6.45720	41.37086	0.56482	5.59891	62.78897	7.70348	52.69547	8.48902	-52.20639	8.98621	1134.62167	7.13509	9.14908	-3.20333	18.90217	6.61628
7.42912	0.00000	6.34198	62.90483	0.81985	7.42882	39.77561	8.58313	45.55283	7.82579	-13.2356	7.12712	1099.14799	7.98255	6.70829	8.48714	24.26918	6.21459
6.05904	0.00000	5.63751	45.51010	0.50098	6.11651	61.60426	5.81971	44.03845	7.99977	34.4587	9.06462	1175.57583	7.56186	5.88802	-13.7804	13.11171	8.01225
5.85785	0.00000	5.96576	51.75672	0.74738	5.64947	39.75795	5.89568	58.43661	8.51093	74.80555	8.82889	1123.33142	7.43113	5.76075	34.08565	8.70896	6.81170
6.78190	1.00000	5.31354	55.81926	0.78387	5.84966	76.37362	5.49399	51.65589	5.72750	13.44275	8.08070	1051.31246	6.03431	8.21975	38.07789	15.63503	8.60576
7.11963	0.00000	9.53006	42.49435	0.83215	6.99421	48.49340	11.08523	50.57397	7.29416	27.02444	6.35168	1132.66250	5.89869	5.82614	39.59611	7.75565	5.29132
6.77731	1.00000	8.67481	53.49631	1.31258	8.15928	52.58179	9.69649	32.38841	9.55333	9.37082	9.71685	1134.73963	6.69257	7.88350	36.08497	9.83966	5.96021
6.56321	1.00000	9.81135	36.55966	2.46434	9.04998	52.51437	10.45715	56.44062	11.19010	43.83992	5.76353	1126.87885	8.56214	6.72962	55.39485	10.53929	8.44240
6.46438	0.00000	9.60034	53.69765	22.44949	11.38545	61.21710	7.69237	34.67637	10.30279	128.9889	5.54509	1173.46047	5.65471	7.50902	37.1759	8.27221	8.05783
7.60513	1.00000	10.39979		7.73342	10.29134	34.46613	12.57980	43.48347	9.90770	77.5609	8.32010	1073.53945	7.48378	6.68671	11.00599	13.02622	5.65213
8.61390	0.00000	7.64188	34.71900	0.99741	7.80227	38.58209	8.79215	45.80321	8.87254	56.36091	6.06764	1072.70912	6.84379	6.03176	51.78771	10.55327	6.35134
6.37339	1.00000	6.51339	68.36117	1.03768	7.99427	51.34514	6.16700	56.44172	6.63882	73.08333	8.19164	1068.50793	5.85577	8.70117	19.21667	8.69965	7.88503
7.11295	1.00000	8.37659	44.05539	1.06877	7.65229	39.59996	8.64452	46.94373	9.13078	74.12286	9.08615	1052.94644	6.96025	7.30791	30.76468	26.92798	6.55787
7.94293	1.00000	3.54271	46.05488	0.42673	5.10771	56.03382	4.99553	62.38766	5.09835	76.35484	8.43856	1169.59831	6.67567	7.02449	10.10649	23.94006	7.45242
8.74460	0.00000	7.09844	47.58804	0.54526	6.27572	22.18420	8.03173	39.67979	7.58448	44.53333	10.45448	1057.46268	8.18019	8.75667	-22.9	12.88278	7.03756
7.02940	1.00000	5.91281	59.12374	0.51117	5.83872	32.90773	4.70156	45.04069	7.14323	112.01667	10.52401	1060.07485	5.89095	6.49601	-7.81667	14.65076	5.84035
8.74515	0.00000	10.41462	32.46458	9.39645	10.50910	53.37790	5.73134	46.61261	9.07981	27.46153	4.60713	1073.64469	8.65925	5.38675	-21.44236	13.99012	7.09423
6.02201	1.00000	3.77530	69.11273	0.65915	6.19889	36.99212	6.40637	40.91407	6.10104	-117.79394	7.76636	1145.26730	6.54751	7.02552	33.76446	35.89478	8.02727
8.12185	0.00000	5.66212	57.11370	0.33510	2.19918	51.91397	6.75578	40.15166	8.50384	37.73333	5.18991	1163.30458	6.96923	7.27040	-4.06667	34.05129	7.38156
7.77494	1.00000	7.92129	51.28764	0.29803	5.69538	34.70968	4.58013	67.79703	4.97210	71.21169	9.48010	1163.82329	6.70321	9.10311	21.59983	0.69500	7.01958
7.31755	1.00000	10.03764	61.79415	0.76590	6.16118	65.71307	10.40946	35.33594	8.88304	0.30367	6.68932	1108.76019	7.06620	8.96905	51.38673	21.18869	7.67630
6.64065	0.00000	7.28174	84.11839	0.69739	6.48355	63.14107	8.74503	58.08524	5.58203	-73.78458	7.73328	1171.33794	6.03018	4.07809	41.0051	18.28888	6.41489
6.04932	1.00000	8.20264	48.47579	1.52788	8.08490	32.94019	5.47601	73.78526	9.11894	5.06258	6.10454	1192.89569	6.96109	7.86469	7.50251	20.88760	5.73921
6.65360	0.00000	5.18247	65.70683	0.55373		43.13246	8.48573	28.23524	8.87204	34.34691	8.11024	1051.15912	5.84667	7.63661	61.78491	1.45353	6.28010
8.38100	1.00000	8.40530	45.20077	0.88245	7.21468	31.60349	7.35781	25.89144	5.20354	106.85417	8.17555	1054.55465	8.18633	9.66747	-6.48167	-0.42333	8.01881
7.54025	1.00000	6.86758	70.21123	0.46755	4.27485	42.92259	4.42919	65.01050	9.58645	24.6522	8.54453	1185.09759	5.34100	11.80754	60.2052	4.21855	6.55865
8.10692	1.00000	5.45992	44.66673	1.39881	8.03230	42.76619	6.39651	32.33706	6.78846	10.03988	8.87512	1070.25755	8.98121	7.20776	53.6052	13.42266	7.55840
6.69107	0.00000	5.45997	63.62012	0.73858	6.38286	56.53971	7.66460	61.33909	9.14309	-7.35	8.71458	1171.04748	6.54960	5.70650	53.53333	2.17952	5.56549
6.18382	1.00000	9.06767	49.34951	6.74517	10.13752	40.35216	10.34352	65.08828	9.13123	16.91667	8.76559	1086.54571	6.60413	6.70210	-21.98333	21.73736	7.03120
5.43356	1.00000	6.94166	44.39492	2.17697	8.77767	32.48144	7.52339	59.21014	5.46680	57.3552	8.39260	1080.37405	9.32870	7.66899	51.4781	16.79493	6.63696
5.41023	0.00000	7.29391	55.33418	0.63640	5.76235	39.29006	8.37890	47.11177	7.40261	120.74221	9.92131	1124.25138	7.38361	8.16246	31.64615	8.58444	7.02808
7.60173	0.00000	9.23479	40.62069	1.35117	8.13971	55.21794	9.52926	44.23927	6.56403	46.5813	7.32756	1080.50071	6.50825	5.04942	54.8421	24.55407	5.97090
6.69258	1.00000	7.01072	46.63371	0.50026	4.82353	44.79592	3.78449	59.51043	6.70611	27.02444	7.80925	1162.90306	8.45629	11.66794	39.59611	19.61081	6.95466
8.53787	0.00000	6.52889	57.96317	1.57619	8.11937	34.56896	8.17810	50.57498	9.23856	112.9	10.89269	1148.62836	6.37164	7.71808	27.85	12.06438	6.91583
7.39534	0.00000	5.20658	23.66101	0.59258	6.42049	52.45324	8.09868	59.81545	8.52789	-89.71472	8.51633	1145.32158	6.19420	7.85332	13.73417	17.77765	8.72888
7.38985	0.00000	10.57816	72.15312	2.63139		37.19531	7.23773	77.13660	7.61876	-93.71133	5.45666	1135.74235	6.85473	3.48757	41.57721	23.55809	6.15647
6.88097	1.00000	7.32446	49.31301	0.84517	7.85589	71.38011	9.59457	57.92913	7.60251	-0.91979	8.67054	1168.52058	6.06505	10.07064	51.42708	18.98600	9.07271
6.73294	1.00000	8.61145	55.83556	4.89908	9.80852	53.03511	9.24402	53.51141	8.11053	39.85331	7.47030	1106.15528	7.90029	9.61647	57.30185	17.77680	6.48361
6.24723	1.00000	7.24946	33.49567	1.87144	8.63928	42.13804		67.92971	9.18125	4.91667	9.96258	1087.54627	6.39222	7.63667	45.73333	14.66370	7.26892
7.21078	1.00000	9.82785	57.72151	6.34240	10.09213	40.90998	9.82975	35.81162	8.45783	-61.4867	7.91359	1184.64920	6.86124	7.39470	-31.25033	4.52113	6.77392
7.04058	1.00000	4.02466	42.74306	0.49916	5.80801	45.74599	7.47817	41.65415	5.00793	137.5	6.29303	1056.84885	8.97327	8.46873	34.9	27.75007	8.09894
7.81388	0.00000	8.52468	68.39771	3.65254	9.41726	58.26939	6.05879	64.56470	9.54068	47.3799	4.24204	1150.94782	9.15047	5.19692	33.14447	18.05093	5.63617
6.16077	0.00000	6.14522	47.41505	5.93827	9.97073	72.27661	7.94649	62.65839	10.44359	12.87117	4.69290	1186.81169	7.22134	7.44977	50.23271	-1.50504	8.86180
5.05705	1.00000	8.45316	46.66175	3.26065	9.42203	28.62303	10.64936	22.06051	8.72700	38.01667	5.89786	1174.66080	7.67091	8.68652	11.85	5.26382	7.55381
10.28918	0.00000	6.97574	55.72185	0.77152	5.77236	35.85439	6.88832	45.72276	7.34175	13.39954	9.92741	1137.64602	5.98000	6.39108	43.62558	7.07789	7.75298
6.14225	1.00000	8.81958	43.87434	1.12292	8.01026	31.01066	7.30159	42.65784	8.75422	-73.02841	7.77271	1130.31239	9.06960	7.94645	-36.9256	8.23954	6.21821
7.40349	1.00000	11.63583	49.96404	1.42418	8.21543	54.85491	11.99462	56.37321	9.33629	135.31667	8.38694	1160.32358	6.49069	6.90768	34.25	4.33574	6.84382
6.88702	1.00000	5.31742	43.55394	2.09721	8.80449	56.92964	4.07497	42.41857	7.68318	9.02596	9.25684	1072.01592	7.84852	7.74520	48.21644	37.74929	6.30773
6.36207	1.00000	10.07735	52.18009	2.79837	9.13548	52.44996	8.62872	62.24435	8.85961	-1.08593	7.99013	1093.65178	7.80512	7.49419	50.79205	26.50388	8.08698
8.16911	0.00000	7.53710	39.59790	2.16704	8.77779	35.90214	9.25076	64.84763	7.89999	-82.00919	6.02539	1089.71591	6.75600	8.16148	23.04419	3.84258	7.82541
8.19442	1.00000	8.34386	45.53589	1.35658	8.19801	37.92199	7.25528	67.05414	9.11651	6.26667	9.60480	1067.07969	8.56900	7.84940	51.21667	8.09121	6.48815
6.48663	0.00000	5.04507	28.37476	0.55138	6.43127	58.90554	9.63326	63.52694	9.41194	-49.27306	7.80648	1186.02300	8.40604	9.05506	-25.42778	43.38536	7.65000
6.45769	1.00000	4.71785	70.59676	0.48435	2.31921	29.87413	4.00157	50.53060	4.81238	-96.67834	9.63099	1132.56335	6.39176	7.03902	34.77453	7.92246	6.66208
8.02968	1.00000	5.41658	53.66538	0.61742	6.33160	36.72954	9.95389	34.47349	9.77927	8.64409	8.05337	1101.32242	5.34660	8.94379	48.07667	29.26152	7.05322
5.90198	1.00000	10.63331	47.68528	3.62455	9.40970	54.00245	10.68807	28.78539	9.85420	-156.47432	8.84044	1083.81930	7.80259	7.25961	20.88953	9.87504	7.27272
7.05934	1.00000	7.10755	57.51659	1.30257	8.09344	55.28342	5.51470	81.52050	10.16537	-93.71133	6.44534	1093.55613	7.46825	6.88825	41.57721	14.55074	7.32938
4.87685	0.00000	6.60032	58.37386	0.79198	7.19217	46.70952	9.26706	40.32116	6.97937	-81.38758	7.20797	1187.79317	7.31144	6.74508	30.17746	1.54213	7.06686
8.44064	0.00000	8.31628	67.56349	1.45441	8.27720	49.73278	9.67003	43.30682	8.58128	-48.52333	6.56829	1174.54181	6.51889	7.13647	-0.71667	21.23221	6.63862
7.73469	0.00000	9.24299	64.84186	0.86020	7.81945	37.89406	8.49147	59.31334	6.27540	14.72443	6.77233	1124.78232	8.06546	4.52402	36.92574	-2.61841	7.20337
8.74819	0.00000	8.69364	64.50995	1.44744	8.27494	63.51024	7.60749	50.65681	8.75647	122.20488	5.16043	1173.33113	6.56877	3.59626	29.98869	17.18523	7.31310
7.05622	0.00000	9.02704	55.89446	2.12670	8.61748	38.19227	9.18715	52.55949	7.22240	8.64409	7.06040	1132.38038	4.30065	6.35397	48.07667	28.03392	6.53095
8.02932	0.00000	7.52924	58.95967	2.43109	9.05719	43.77180	8.84849	57.05998	9.50117	13.58357	5.44170	1148.94922	6.38269	6.82979	-1.63333	5.11434	8.18788
6.77375	1.00000	3.43454	58.17731	1.16121	7.85167	68.08850	7.14966	67.45150	5.40985	8.64409	7.26709	1112.05752	8.32213	6.98770	48.07667	25.39522	8.05310
