NH3	SO2	C2H3NO5	Pb	TEMP	latitude	CH4	O3	PRES	CO	PM10	longitude	H2CO	CFCs	warning	NOx	PAHs	PM2.5
8.19162	6.64016	0.03929	47.91544	15.40726	16.455	7.29638	9.48471	1153.37890	6.36438	5.47597	120.5875	59.50804	38.20022	1.00000	9.20523	8.90143	6.69690
8.00408	5.33514	0.11226	59.54665	-6.24156	36.20829	5.02543	8.37031	1183.38444	6.72206	7.42317	-115.98391		49.41120	1.00000	11.04644	8.40417	6.76682
9.60359	7.94863	0.03316	47.41130	21.36973	44.89784	6.23195	8.55655	1125.10656	6.37906	5.35880	8.86374	46.95075	47.90647	1.00000	7.60889	10.02127	6.87536
7.47888	7.51031	0.13295	54.08309	22.98512	50.8	7.36450	4.74352	1063.76500	5.05878	8.16579	3.16667	38.84695	59.75598	1.00000	9.15877	9.62313	7.23969
6.68169	7.46150	0.08135	36.92405	20.13424	8.79577	8.39610	6.20762	1121.66770	5.70054	6.14015	-75.69947	74.54614	42.18944	1.00000	6.64658	10.49982	6.24693
6.03033	8.06908	0.10706	37.15283	18.50270	34.95303	8.52210	8.65440	1068.98207	5.17030	7.24380	-120.43572	69.11474	55.37537	0.00000	8.84356	6.67740	7.78813
4.53459	6.32293	0.07931	32.79696	20.52799	41.24264	11.69224	7.27718	1108.02089	7.15335	7.07101	16.50104	57.34758	36.10857	0.00000	10.12180	8.25141	8.83103
8.01493	8.48252	0.92467	52.31086	6.26521	-7.57897	5.79205	8.56119	1123.96129	8.25840	10.28125	112.23109	52.59795	41.09252	0.00000	6.61621	5.67588	7.95404
5.10195	7.51177	0.05688	68.50469	18.51846	15.5439	7.05073	9.86266	1053.29695	7.93617	6.21493	73.7553	49.63365	59.23669	1.00000	8.12197	9.90180	8.62496
5.37414	5.50647	0.89154	37.50794	30.08373	42	6.02361	9.15666	1111.18427	6.94756	10.24201	21.32778	66.39494	63.37113	0.00000	8.78571	6.04049	6.53076
6.52988	7.54708	4.62518	60.70600	5.80333	-21.15	6.70200	8.35686	1153.98272	9.12514	11.93389	46.58333	56.66569	69.74372	0.00000	6.61846	4.40642	6.79363
7.75619	7.83318	0.22887	63.55556	11.98195	9.82564	7.85817	5.03941	1165.60760	5.13972	8.63736	78.25795	33.59478	53.60343	1.00000	10.00146	7.99101	8.71663
7.46421	9.48932	0.08518	32.70501	13.35029	6.03333	8.75544	6.45147	1133.85257	6.26235	6.93635	37.55	79.70289	57.21562	1.00000	7.30514	8.61880	8.42250
7.52130	7.02798	0.07184	33.76008	24.36171	48.98333	5.33708	8.91641	1063.00933	6.28545	6.84474	2.61667	41.59982	52.59232	1.00000	8.66494	7.76738	7.44447
6.19590	6.18172	0.88274	55.18187	8.00847	51.42708	10.62347	10.37641	1056.41334	9.27562	10.26228	-0.91979	63.26828	33.14118	0.00000	9.99967	4.51124	7.48396
7.98161	7.13573	0.11466	43.41216	24.17196	10.29085	9.12926	9.55878	1080.86796	6.89417	7.04446	105.75635	40.55818	45.71441	0.00000	5.99905	7.86301	8.60026
7.10868	7.25343	0.07263	52.48699	21.09876	8.79577	10.38322	7.10105	1085.03075	7.02880	6.87212	-75.69947	66.72777	57.95264	0.00000	10.44866	8.39328	7.55853
7.83612	10.19234	0.06375	33.12894	24.43905	50.23019	6.02181	7.42010	1079.81798	6.55215	5.43875	8.77155	49.15129	41.32478	1.00000	8.09226	11.48435	5.76554
7.17341	6.39808	0.53614	31.87794	6.52235	31.78336	7.74784	6.40354	1189.77769	6.27382	9.74605	35.23388	50.08704	39.43574	1.00000	8.32249	6.86377	7.32665
7.10254	7.75629	0.06544	57.42056	19.30823	17.54907	3.63761	8.10068	1111.78516	6.99815	6.86502	82.85749	86.23716	41.64204	1.00000	9.50235	10.51533	9.32181
7.35067	6.03312	0.09678	49.72959	9.05851	-11.48472	8.22591	7.73725	1088.37609	9.99707	7.28114	-37.93278	50.70543	36.97202	0.00000	8.57425	7.85882	9.02438
5.78067	7.60965	0.09242	72.26068	-3.17304	45.51667	3.79535	8.78604	1171.22954	7.33531	7.14520	4.86667	33.09520	44.53966	1.00000	7.86010	9.58968	8.25583
7.21677	7.66908	0.12732	53.19357	15.46484	51.12794	6.64718	4.72143	1057.22907	6.11031	7.83981	4.21372	46.40769	82.48747	1.00000	8.87978	8.96571	7.20010
7.61017	6.25354	0.03818	44.46724	14.59412	44.22639	6.31408	8.31328	1163.66952	2.77863	4.37192	22.53083	64.86526	30.70062	1.00000	9.05151	5.94203	7.70552
6.42669	6.34530	0.05349	58.49355	11.75189	29.38242	7.64625	7.95933	1132.28310	4.73699	5.46799	70.91106	44.48218	35.59528	0.00000	10.41693	4.63218	7.29994
6.35691	7.21824	0.04541	59.53876	27.05340	42.8139	9.56956	8.48824	1178.88079	6.37016	3.70471	-1.64295	58.88208	36.49859	0.00000	6.87553	4.64617	6.48203
5.33135	6.31541	0.07229	52.26264	27.05214	-6.8	8.06461	9.67008	1196.30268	6.60214	5.02793	39.25	39.39503	70.10334	1.00000	7.19641	9.18872	6.53170
8.67223	7.14794	0.47582	34.74381	19.55362	53.6052	8.99277	7.44828	1188.60202	8.84591	9.54011	10.03988	47.33107	36.43098	0.00000	8.09495	5.35195	6.59927
6.93068	6.05526	0.25652	61.21494	17.20715	35.95664	6.97012	6.54185	1138.93297	10.89454	8.78777	36.7138	59.40429	67.14240	0.00000	5.56765	6.18187	8.54931
7.34167	6.14449	0.05972	59.41363	13.24895	45.78071	5.14900	8.99979	1094.94144	6.85815	6.28752	12.84052	67.24966	58.96742	1.00000	8.21171	9.55252	6.82736
5.33717	7.56965	0.87774	24.49519	4.80561	35.815	11.32783	6.52601	1121.53686	8.94319	10.24467	139.6853	47.04959		1.00000	10.07944	6.35056	6.85433
8.76460	5.52516	0.56467	42.80136	19.17930	36.02506	11.62250	12.10679	1117.81794	7.43607	9.76074	-86.77917	46.39471	48.95534	0.00000	11.18409	3.80919	5.32146
7.01175	6.48613	0.61069	70.30950	20.79350	-28.44917	8.20241	6.71301	1178.52055	5.55916	9.84980	-52.2	61.04515	39.97500	1.00000	8.62461	5.64254	7.40209
7.05871	7.91319	0.09340	65.85241	4.96854	38.91817	6.93876	5.54872	1197.45016	4.92716	6.83218	-78.19444	72.72865	54.94187	1.00000	7.35810	10.27840	7.40222
7.33630	5.10568	0.05361	44.81084	18.61966	53.59782	6.79292	8.74317	1081.76766	4.33389	5.15208	34.33825	39.55621	66.41433	0.00000	8.98912	3.87129	6.27947
5.81957	7.35777	0.07642	47.67651	5.72301	52.53048	8.18981	8.72488	1131.59250	4.86546	3.70142	13.29371	38.62409	68.00509	1.00000	6.78094	9.53429	7.09940
7.62590	7.81994	0.24576	51.61014	25.33438	47.05	6.00226	5.49749	1156.53004	4.92459	8.78034	15.46667	62.28021	50.90086	1.00000	8.30665	9.16611	7.49463
7.00283	6.81774	0.15037	17.90624	25.88916	29.84576	4.86768	10.20854	1103.58100	6.98215	8.07043	-90.10674	57.10875	42.74913	1.00000	7.53532	5.41706	8.36695
6.72129	6.54030	0.06744	53.10073	14.57361	15.46063	6.49563	8.43825	1057.82972	4.28001	4.95389	99.89166	55.58328	52.85817	1.00000	7.60179	7.07939	7.81878
7.43005	7.73020	0.12655	54.95275	11.30125	42.7392	8.22696	6.13752	1149.88695	6.67411	7.25634	-84.62081	60.44423	92.93570	1.00000	6.74495	10.63193	7.22431
7.56451	7.63130	1.03818	75.93763	16.79465	41.77583	10.21829	10.91858	1192.13713	9.77707	10.40427	140.73667	44.23303	30.33070	0.00000	7.93181	3.60774	6.89707
8.49804	6.66449	0.04215	37.46480	18.61876	40.55851	5.66949	8.59364	1125.06758	6.44171	6.15787	17.80774	48.21783	56.30083	1.00000	7.53087	9.06570	7.72391
5.80709	8.27143	0.12929	66.81218	11.48084	51.67822	6.54245	3.71163	1153.63431	4.09296	7.95670	33.9162	55.12216	61.17924	1.00000	10.39153	10.96322	8.90661
6.57476	7.33445	0.29951	74.91636	17.41203	39.46667	9.74986	6.39506	1149.38979	7.20659	8.94084	141.95	27.36498	32.14994	1.00000	8.79814	7.65293	6.49055
8.67019	6.84760	0.03529	61.95752	26.34021	48.35693	6.77965	8.53922	1106.51800	4.80771	5.34303	10.98461	49.70771	50.41975	0.00000	10.49984	3.60413	5.27611
6.61851	7.70175	0.05018	56.42581	24.41668	27.34089	9.19037	8.84908	1127.46761	7.24018	6.40184	117.4831	76.68379	65.26331	1.00000	7.76273	7.23622	6.96208
7.15627	7.28194	0.07182	55.51454	29.38260	29.69221	9.37118	8.54180	1123.13992	7.54034	5.23149	72.54566	46.82975	60.46326	0.00000	8.87294	5.97219	6.63218
6.39469	6.20742	0.32935	46.04100	17.77530	25.80565	10.46747	9.52096	1142.33664	8.97548	9.24847	68.49143	59.69987	45.33106	0.00000	8.35163	4.41282	8.73401
7.99541	8.78590	8.07681	27.69857	-7.44625	49.68369	8.89187	8.59534	1055.29768	7.29575	12.49591	8.61839	79.34709	30.69958	0.00000	8.94062	3.65409	6.34030
8.53472	5.92661	0.02262	63.15064	15.04052	17.34769	7.62530	5.13528	1121.68274	7.20291	5.95234	78.55757		35.51636	1.00000	8.02382	9.49657	6.42653
6.62377	7.07592	0.39308	41.62072	11.73980	47.92526	8.45843	7.21636	1173.78075	7.25953	9.24430	-97.03285	52.51090	77.80127	1.00000	6.88956	7.73816	8.78170
6.19024	8.11224	0.47727	28.38844	1.27684	50.26729	9.44886	7.57661	1061.29275	7.21624	9.58336	-119.27337	74.59953	60.89920	1.00000	7.60325	5.97619	7.45323
8.22991	8.03811	0.04753	33.03281	7.25823	-8.05389	6.40341	4.61300	1072.95925	5.43884	5.65090	-34.88111	51.74161	49.04049	1.00000	8.19963	9.97622	6.93541
7.95883	6.97934	0.26580	53.91732	27.15665	42.35843	7.38293	4.03200	1060.33717	3.65044	8.89977	-71.05977	54.85710	72.99414	0.00000	10.98400	9.75978	6.72594
9.21946	8.08953	0.80779	68.19451	12.13695	-37.9	10.54974	5.90321	1155.75664	6.90850	10.11487	145.18333	34.28135	36.31235	1.00000	9.51283	10.45313	5.14310
7.70004	7.19343	0.07234	58.15028	19.31997	42.93369	6.49297	9.95142	1058.32364	6.79839	6.50701	-72.27814	51.83394	44.73976	1.00000	8.07263	7.35860	6.26437
4.94526	7.86800	1.01365	62.79126	11.42426	33.93113	10.75873	7.45315	1154.66640	8.97525	10.39161	-117.54866	76.33268	53.59762	1.00000	7.62494	8.85992	9.33147
6.16654	5.69928	1.42622	54.10514	14.68092	33.93113	8.43524	5.64843	1160.15115	5.84547	10.71878	-117.54866	47.10141	65.51833	1.00000	9.44590	9.22562	9.14416
8.18463	6.23390	0.06688	29.15590	0.33823	50.26729	4.88155	8.64413	1080.13640	7.14626	6.91870	-119.27337	37.25536	56.69306	1.00000	8.15983	9.60444	7.23410
6.32790	7.97292	0.05132	46.12187	26.54511	7.83389	7.42701	7.34712	1122.71894	3.85617	3.86580	-72.47417	67.48056	70.81334	1.00000	9.61337	9.21646	7.71795
8.86768	6.18512	0.13723	56.21800	13.01506	30.76468	4.59276	8.81297	1145.09177	7.54946	7.87822	74.12286	50.90111	54.45552	1.00000	8.53426	8.22731	7.98772
6.58396	8.53318	0.04897	68.70248	18.07416	33.78333	6.29198	8.49082	1070.07615	4.73773	3.72607	114.51667	73.10731	31.42233	0.00000	7.79223	3.94651	6.26971
8.07402	7.57714	0.04733	61.32479	21.19060	33.76446	3.99103	7.75654	1187.44361	3.22985	1.38277	-117.79394	66.78197	24.45044	0.00000	8.25715	2.04372	5.50961
6.06768	7.92599	0.04428	33.07935	0.33193	22.49396	6.23198	7.98106	1121.88951	4.03608	5.03666	-105.36369	61.08438	46.08677	1.00000	9.67897	7.37741	8.59988
8.04864	8.05633	0.10572	55.45941	12.06035	-23.7975	5.34307	9.08782	1126.59581	5.90966	7.07617	-48.59278	73.81047	50.21523	1.00000	10.04846	6.54722	6.65540
6.24600	7.86924	0.85968	79.34797	22.70397	44.43579	7.77494	5.96881	1198.56639	5.84129	10.24576	26.01649	37.05696	64.00327	1.00000	9.79256	6.63755	7.96250
6.30187	6.98948	0.04690	49.34121	34.91667	53.78333	9.13265	8.09682	1084.96656	7.00492	3.99034	-1.06667	62.93041	40.86377	0.00000	7.91854	5.79672	7.43285
7.86523	7.41783	0.41974	58.77952	14.75054	-37.9	9.32103	6.50979	1138.36910	5.84835	9.35072	145.18333	41.26173	48.56487	1.00000	8.95053	6.73545	8.82830
8.18529	8.57448	1.08600	26.90223	13.77360	21.46527	9.26561	6.82472	1190.27202	6.13596	10.44173	83.97573	20.27259	49.04046	1.00000	8.19454	8.38707	8.01821
7.57863	6.49505	0.08761	48.59075	30.11786	68.79833	10.60372	8.47382	1138.11599	6.21961	7.12967	16.54165	65.55369	61.16704	0.00000	9.14601	6.80531	7.10589
8.09967	8.00078	0.19248	49.51445	12.10423	31.20176	9.71327	10.04470	1082.23488	9.32931	8.42904	29.91582	38.81469	39.55385	0.00000	9.37385	5.65671	6.72816
7.25451	5.49066	2.34980	64.21372	13.27314	10.12268	8.45610	5.61232	1155.86032	4.93672	11.24017	77.54372	65.16501	60.37283	1.00000	10.60503	7.25842	8.83086
8.04063	6.27199	0.07792	35.48339	14.90331	-6.91806	8.33779	10.88840	1170.17955	6.83415	6.34114	106.92667	57.85935	63.21546	1.00000	7.82550	6.38409	7.79868
7.57402	7.66095	0.06816	51.95572	9.86599	10.7375	9.14888	7.39053	1167.77412	2.07824	1.70508	122.9666	24.15673	31.60674	1.00000	8.55465	8.90859	6.22385
	8.19426	0.13158	42.08500	17.14965	55.75556	8.12940	4.79693	1058.74317	5.18360	7.75493	60.70278	72.38969	48.14077	1.00000	9.03255	10.59105	8.37443
7.21482	8.49222	0.19810	66.80171	12.57355	-11.78333	4.55069	4.15041	1169.42717	3.50809	8.66256	19.91667	60.50028	51.38716	1.00000	8.97893	10.00823	6.78457
6.73062	8.35725	0.02272	53.86623	48.19703	-17.73648		7.02379	1182.19899	5.23238	4.37762	168.31366	74.29996	47.63705	1.00000	8.56838	11.34626	7.89487
6.51034	8.06038	0.10642	51.70291	10.54011	18.18158	8.84600	7.28721	1157.22504	10.37181	7.25266	76.03889	62.30442	40.62220	0.00000	7.68986	6.70545	6.46453
6.14320	7.23511	0.15621	68.85374	17.22912	40.72816	5.22319	10.57522	1191.43554	8.54833	8.27829	-74.07764	62.60503	66.73371	1.00000	7.43440	7.41940	7.89093
7.96245	9.02824	0.01965	66.74319	7.78251	36.20829	9.20739	8.72747	1059.86871	8.72776	4.33031	-115.98391	46.25201	31.32265	0.00000	8.84654	7.69464	8.00889
8.43661	5.67520	0.49346	52.37458	5.37218	37.74615	10.27256	11.03428	1192.36596	8.46622	9.60924	-25.66689	52.67789	35.33126	1.00000	7.91623	3.32649	8.49849
5.54320	6.97333	0.08864	48.33599	8.07970	40.1675	7.59473	6.39713	1118.30304	6.69071	7.44574	34.37389	83.10360	57.50026	1.00000	7.32124	7.95814	7.03261
9.13991	9.58717	0.11666	54.53072	14.08567	54.84444	8.87138	9.22505	1193.56003	6.21817	7.80786	38.16694	69.07250	41.23707	0.00000	8.22947	7.24203	8.29603
8.59280	7.39267	0.18324	46.99316	14.43602	6.33444	9.29645	5.36559	1125.97445	5.22593	8.55333	124.95278	60.75346	72.62571	1.00000	9.85688	9.20842	6.51859
7.23778	6.85055	1.80624	48.58603	18.09799	5.6561	7.87193	5.74990	1144.73593	4.65451	10.97364	-75.87877	53.98977	40.29221	1.00000	9.56369	8.22236	6.96341
7.34367	6.64287	0.06432	74.44957	6.19286	51.20219	6.23380	8.22041	1198.75954	4.89303	5.25043	7.36027	52.62992	39.02608	1.00000	8.23289	7.93694	6.50989
6.61531	6.19437	0.09500	54.75932	9.58109	39.43534	6.97480	8.38843	1197.68461	4.50246	6.04418	-84.20299	49.60165	62.94987	1.00000	9.55597	5.85742	5.12448
8.34689	6.56429	0.09904	68.98591	-1.44643	54.03876	10.12063	7.61910	1137.69704	4.34165	6.78516	43.91385	35.39562	73.84065	0.00000	10.64212	5.57705	7.54394
8.63440	8.07484	0.30529	40.98113	38.73278	50.75767	7.52384	6.99198	1096.25020	4.80183	9.00096	-1.5443	48.09227	33.92508	1.00000	7.91277	5.89338	6.59888
7.79863	6.67539	0.06961	93.63325	-8.53536	6.33444	8.94626	8.23476	1084.86893	5.66791	6.25284	124.95278	54.46643	50.80067	0.00000	8.88013	6.08599	7.48470
9.04233	8.00410	3.01598	59.68951	29.68260	33.92946	9.00885	5.71482	1136.16493	5.37361	11.50141	-116.97725	54.32297	51.87548	1.00000	9.92184	9.63461	5.67925
7.36076	5.80488	0.39345	43.94353	24.20833	36	9.29451	5.87523	1132.49794	6.16733	9.37321	139.55722	43.69954	39.38479	1.00000	10.20252	7.26765	6.00427
8.03035	6.57829	0.18939	41.64211	23.15887	5.4709	4.44085	10.73929	1143.29596	8.75612	8.39100	100.24529	77.60388	51.06858	1.00000	7.45764	7.90028	6.60779
6.67435	6.81835	0.08337	62.72092	9.48635	36.72544	9.23925	7.79312	1145.06471	6.97792	6.60471	3.55665	66.29923	31.24971	1.00000	5.56563	7.83618	6.29021
6.28670	7.47706	0.03457	44.87299	15.81340	54.48147	6.17801	8.55732	1106.16588	4.23382	5.41404	53.47103	46.65204	48.23413	1.00000	10.71036	6.58657	7.80603
6.86756	7.80362	0.07701	57.48968	8.81252	52.71083	9.46230	8.76132	1138.56216	6.56591	7.51382	5.74861	58.47729	59.72792	0.00000	8.74326	7.51503	8.72988
7.27671	6.04454	0.06346	50.25459	13.73692	46.1351	7.90752	7.81475	1067.29669	3.16882	3.67355	-60.1831	41.97632	30.45052	1.00000	9.20267	7.59330	6.06058
6.99627	6.48111	0.04243	54.48366	0.91201	17.30858	10.05910	9.39243	1106.12886	7.30309	5.78199	97.01124	51.90171	48.38374	0.00000	7.12193	5.90177	9.44401
6.61017	7.48405	0.36207	37.53858	25.12691	4.94273	8.95678	6.22518	1096.98517	9.65822	9.29399	15.87735	69.65392	56.28894	0.00000	9.35410	7.47157	7.54171
8.05846	6.65710	1.66684	70.11877	27.78266	8.56697	8.94918	7.64822	1059.89917	6.67649	10.89142	123.33471	83.59542	39.67460	1.00000	7.09223	7.25340	6.80685
5.57379	7.64759	0.08794	32.58628	7.21108	47.4943	5.35649	8.29779	1136.63422	7.10195	7.13261	-122.24092	86.05984	62.17694	1.00000	8.45178	8.98854	7.97801
8.77196	5.26415	0.07149	59.16405	28.70965	48.15659	7.09613	8.04258	1185.28760	5.24013	5.39071	28.28489	57.58075	46.13228	1.00000	10.20935	8.71739	4.98197
8.97540	7.53687	0.06612	30.83565	12.42802	42.16808	5.31724	7.84244	1122.19631	5.23523	5.56359	-88.42814	67.72919	29.71318	1.00000	9.31699	8.99578	6.72239
9.03296	5.98447	0.28238	46.79307	24.65071	55.67938	8.98346	7.67599	1080.00533	6.32916	9.01759	12.53463	70.12207	38.16466	1.00000	6.66843	7.27317	7.14960
6.89370	6.51794	0.17089	60.01362	20.57145	36.82167	9.67718	9.91272	1052.68557	7.10661	8.27911	128.63083	61.41809	49.44771	0.00000	8.79280	4.49800	6.10579
6.03866	5.94441	0.04007	33.07616	-2.99116	14.37395	6.41724	8.22764	1199.12353	3.37798	4.22800	100.48528	37.55538	70.44259	1.00000	8.98665	3.26023	5.64837
7.72557	6.36246	0.04854	57.39423	16.19476	51.08468	6.31908	9.57450	1127.69239	6.17081	6.24319	7.11393	48.30283	45.94774	0.00000	7.70549	5.75453	6.66016
8.76920	8.03362	0.05975	54.06244	5.57113	10.58806	10.30924	8.00646	1166.97691	7.49354	3.86907	77.24779	66.14217	64.50229	0.00000	7.71931	5.60882	8.66096
6.68420	5.82988	0.05847	40.38785	15.15257	13.70727	9.34706	8.65685	1163.11796	6.83117	5.56625	9.15013	65.22043	56.90896	0.00000	8.15893	6.04501	7.38281
6.57470	6.90207	0.10569	37.17791	7.87304	31.20176	5.30856	8.87357	1162.27763	6.92252	7.40619	29.91582	33.15242	55.49422	1.00000	8.82907	7.68668	6.70992
8.80312	6.70468	0.21411	45.33471	18.56242	14.37395	4.55449	9.67752	1124.73860	9.01158	8.59670	100.48528	26.90012	46.04834	1.00000	7.64065	8.91317	7.00555
5.54680	6.29307	1.65815	51.20586	18.56474	41.85059	9.88242	8.46121	1154.26279	8.28189	10.89047	-87.882	67.04648	47.59788	0.00000	11.57171	5.77484	8.61169
9.78530	7.46163	0.06630	35.14292	15.59173	34.15429	8.37261	6.73463	1065.20111	7.19970	6.51438	3.50309	36.24155	52.33143	1.00000	7.12840	7.78095	6.14207
5.88768	7.41499	0.08986	55.32699	11.04970	49.65186	7.73465	9.47311	1077.93565	6.66261	7.53580	26.97253	37.08699	46.61411	0.00000	8.83542	6.29829	8.05088
7.40249	6.95334	0.05212	51.34515	15.01183	23.18	7.07977	8.80694	1199.60278	4.92219	4.97270	88.58	40.17994	70.17143	1.00000	7.71832	4.47417	6.61527
7.77976	7.66501	0.06004	59.54343	25.55144	42.67164	5.89980	9.23738	1154.94657	4.74374	5.21082	14.01481	46.03227	55.70011	1.00000	7.94306	7.31277	6.88541
7.88669	7.27177	0.06850	52.76173	39.22560	48.52961	8.70379	9.18773	1146.42436	5.45481	7.41449	12.16179	51.32674	44.68123	0.00000	8.23354	6.47737	6.94344
8.28679	7.17405	0.47821	58.81791	2.03155	-1.9487	7.84215	5.56814	1094.08103	4.22653	9.58973	30.4347	32.00873	57.72074	1.00000	8.64572	10.80720	7.44518
7.79447	8.36630	0.25532	48.16761	17.20592	25.80565	8.62199	5.78572	1057.26155	6.25220	8.91650	68.49143	46.09335	38.35340	1.00000	9.43337	7.25065	6.17151
6.40385	7.93473	0.17381	36.19901	6.82120	10.61285	10.08915	4.16978	1185.81880	6.47398	8.34950	12.19458	58.73521	37.87926	1.00000	12.16357	9.08772	7.72031
7.43937	6.75417	0.16515	45.33718	14.90630	31.64615	4.43094	9.67679	1194.83859	8.45699	8.40087	120.74221	51.56184	35.12284	1.00000	7.96522	8.00580	6.62558
7.61909	5.23587	0.06256	38.08815	6.99876	35.815	6.59527	7.34874	1185.65055	4.12393	4.48553	139.6853	53.93459	42.99303	1.00000	7.70282	8.77590	6.88255
8.20204	7.11744	0.10161	28.38131	12.13710	48.98333	9.26402	5.68500	1074.03666	10.95058	7.79040	2.61667	51.40565	44.86971	0.00000	9.03345	7.43567	4.61382
6.41212	7.87506	0.06079	52.55908	13.43281	34.31	5.10598	8.96029	1086.34609	3.31661	4.40777	-2.16	52.01670	55.86351	0.00000	7.91726	3.13381	9.14138
8.21325	6.95336	0.65198	54.41872	28.28912	34.25628	6.72231	7.94024	1076.62514	10.09126	9.91568	-78.04471	65.17886	43.42218	0.00000	6.82620	5.90558	7.60750
7.39829	7.46631	0.11437	79.65116	16.87899	32.57756	8.44042	5.21812	1120.82783	5.18761	7.65824	71.52847	51.76175	74.79811	1.00000	8.32859	12.05888	6.06197
6.50795	8.70067	0.11699	71.84395	27.78180	52.61131	5.53557	10.32457	1153.91315	8.53405	7.71629	13.31783	43.49736	42.24132	1.00000	5.35876	8.21589	6.51388
7.12968	6.27028	0.06797	59.06356	14.74992	32.5007	9.19043	9.29810	1072.92319	8.84744	4.06146	-94.74049	64.61361	42.48148	0.00000	7.89522	6.11209	7.05964
8.62003	6.85432	0.21481	48.07929	21.62311	12.04161	7.32962	4.12922	1191.63514	3.40566	8.50612	75.35927	50.73803	43.37360	1.00000	10.73771	9.57664	6.09291
8.06377	7.43464	0.08246	45.83406		48.21644	9.75844	7.90332	1133.17006	7.44717	4.93047	9.02596	63.20397	68.34109	0.00000	9.90781	5.60568	7.24283
7.73067	6.76221	0.10298	52.40404	20.01751	47.48444	11.77886	8.30795	1059.85968	7.62167	7.83902	36.25361	72.38755	22.30222	0.00000	8.58297	8.92854	6.64771
6.03846	7.97873	0.18118	54.33512	21.31380	3.51667	6.24367	7.98597	1056.74966	7.77706	8.49212	11.5	57.61679	54.43656	0.00000	7.58137	7.38985	8.22684
6.32475	6.53917	0.67531	60.01888	24.11746	33.76446	9.20962	5.98874	1086.84232	7.23464	9.94520	-117.79394	56.03744	14.29052	1.00000	9.24137	8.58183	8.42817
7.72973	6.16142	1.17103	68.36701	4.82157	32.9156	10.45294	7.21709	1087.90978	7.84019	10.53036	-117.14392	56.12927	57.12488	1.00000	8.10381	8.67164	9.09570
5.49037	6.10440	0.12486	49.20400	27.21886	-3.14306	9.85137	7.90092	1128.05758	5.75300	7.86946	-58.44417	13.84912	62.27112	0.00000	10.76840	7.50430	9.53272
8.04124	7.09160	0.04850	60.60781	22.35209	37.73222	8.18560	10.03060	1052.31880	6.66903	6.48936	115.70111	31.33930	53.87048	1.00000	10.27923	7.04571	8.51133
