longitude	latitude	station	revision	code	QoS
-52.67056	-26.22861	Pato Branco	02/23/2018, 00:00:00	BR	average
26.01649	44.43579	Sector 6	2016-03-11	RO	maintenance
120.5875	16.455	La Trinidad	06/04/2016, 00:00:00	PH	good
-91.58045	41.6764	Coralville	2020/09/16	US	accep
-73.20483	41.16704	Bridgeport	23 Mar 2014	US	excellent
27.06365	50.18545	Shepetivka	2015/05/29	UA	good
5.37429	51.03427	Houthalen	12 Jun 2022	BE	average
-34.88111	-8.05389	Recife	15 Oct 2015	BR	accep
9.20427	48.49144	Reutlingen	2014-05-12	DE	building
-63.90389	-8.76194	Porto Velho	04 Jan 2020	BR	accep
14.39024	42.22718	Lanciano	2016/12/05	IT	building
-84.20299	39.43534	Lebanon	22 May 2014	US	building
11.5	3.51667	Mbalmayo	03/07/2022, 00:00:00	CM	accep
2.31889	35.21222	Ksar Chellala	2017/03/25	DZ	good
-75.11028	-15.21194	Minas de Marcona	2018/03/13	PE	accep
137.23333	35.8	Gero	08/30/2021, 00:00:00	JP	good
-99.32556	19.32889	San Lorenzo Acopilco	07/12/2017, 00:00:00	MX	average
37.92792	53.93361	Kireyevsk	2020-01-02	RU	accep
78.55757	17.34769	Lal Bahadur Nagar	02 Jun 2015	IN	maintenance
70.91106	29.38242	Alipur	02/07/2013, 00:00:00	PK	average
6.26667	51.21667	Schwalmtal	2020/03/09	DE	average
-58.44417	-3.14306	Itacoatiara	2020/05/03	BR	average
6.26667	51.21667	Schwalmtal	22 Mar 2020	DE	accep
24.6522	60.2052	Espoo	2015-10-21	FI	good
73.38333	31.71667	Sangla Hill	2016/11/28	PK	accep
16.50104	41.24264	Bisceglie	27 Jan 2022	IT	building
5.16108	48.77275	Bar-le-Duc	07/25/2016, 00:00:00	FR	building
-88.42814	42.16808	Huntley	05/03/2014, 00:00:00	US	accep
44.7662	40.49748	Hrazdan	2014-02-26	AM	excellent
29.91582	31.20176	Alexandria	2012-12-17	EG	excellent
6.10237	46.18396	Onex	11/08/2018, 00:00:00	CH	maintenance
48.87498	38.45598	Astara	2012/12/12	AZ	excellent
38.16694	54.84444	Kashira	2014-08-28	RU	building
7.36027	51.20219	Radevormwald	09/27/2017, 00:00:00	DE	maintenance
8.73812	41.91886	Ajaccio	2016/05/03	FR	average
-2.16	34.31	Jerada	19 Jan 2020	MA	accep
2.31889	35.21222	Ksar Chellala	01/03/2019, 00:00:00	DZ	maintenance
8.51667	51.88333	Verl	2013-07-18	DE	maintenance
-78.04471	34.25628	Leland	2021-06-13	US	excellent
-70.6996	-33.59217	San Bernardo	03 Nov 2019	CL	good
42.54536	-0.35817	Kismayo	2016/09/30	SO	accep
1.00288	49.28669	Elbeuf	2022-07-16	FR	building
-60.1831	46.1351	Sydney	02/01/2018, 00:00:00	CA	accep
141.95	39.46667	Yamada	2017/01/20	JP	excellent
29.41824	45.99194	Artsyz	01/05/2020, 00:00:00	UA	accep
178.00417	-38.65333	Gisborne	2013/07/15	NZ	building
171.25364	-44.39672	Timaru	23 May 2022	NZ	excellent
-25.66689	37.74615	Ponta Delgada	2017-11-18	PT	average
27.46153	-21.44236	Tonota	2022-02-26	BW	average
41.77921	41.82143	Kobuleti	2013/06/14	GE	accep
-69.08333	-16.25	Yunguyo	12 Apr 2019	PE	accep
77.24779	10.58806	Udumalaippettai	2014-09-06	IN	accep
-2.68758	53.69786	Leyland	10 Aug 2013	GB	accep
146.05093	-34.28853	Griffith	05 May 2018	AU	excellent
39.28333	-10.33333	Nyangao	2013/10/28	TZ	excellent
13.31783	52.61131	Hermsdorf	2014-04-02	DE	excellent
-122.86705	45.49428	Aloha	14 Jul 2018	US	accep
34.02537	38.37255	Aksaray	08/21/2018, 00:00:00	TR	average
37.56667	55.85	Likhobory	2020-05-11	RU	maintenance
-65.71875	-21.44345	Tupiza	2019-02-27	BO	accep
-118.10583	34.09611	San Gabriel	2018/01/13	US	accep
86.68363	23.49668	Adra	13 Sep 2014	IN	average
14.34085	40.87363	Volla	2017/08/22	IT	excellent
21.32778	42	Saraj	10/30/2016, 00:00:00	MK	average
74.4818	30.21121	Malaut	25 Oct 2020	IN	building
112.23109	-7.57897	Diwek	2015/10/07	ID	accep
-73.86586	45.43341	Beaconsfield	2017/04/23	CA	excellent
112.23109	-7.57897	Diwek	2016/07/31	ID	good
106.88324	47.90771	Ulan Bator	06/17/2019, 00:00:00	MN	average
2.12213	48.8222	Le Chesnay	06 Jul 2014	FR	average
9.29109	45.39402	San Giuliano Milanese	2019-04-02	IT	average
7.02238	52.21099	Gronau	03/13/2014, 00:00:00	DE	accep
71.67164	30.29184	Qadirpur Ran	07/28/2022, 00:00:00	PK	excellent
-113.3187	53.51684	Sherwood Park	01/12/2013, 00:00:00	CA	accep
48.26258	33.86419	Aleshtar	2021-08-21	IR	good
-89.71472	13.73417	Sonzacate	25 Sep 2015	SV	average
30.28491	60.02427	Kolomyagi	2014/03/27	RU	average
24.6522	60.2052	Espoo	04/04/2014, 00:00:00	FI	building
-83.55521	41.66394	Toledo	2013/10/18	US	building
15.00835	51.14942	Zgorzelec	2018/12/18	PL	good
-65.71875	-21.44345	Tupiza	2022/03/05	BO	maintenance
8.61839	49.68369	Bensheim	2020/09/02	DE	maintenance
77.23826	11.50526	Sathyamangalam	2017/06/07	IN	good
-71.10077	18.20854	Santa Cruz de Barahona	2014-09-25	DO	average
18.28333	59.33333	Boo	09/27/2014, 00:00:00	SE	acceptable
18.69303	12.18441	Mongo	2022-07-22	TD	good
51.3452	53.37596	Otradnyy	14 Oct 2019	RU	excellent
5.4584	43.32393	Les Olives	26 Jul 2019	FR	maintenance
122.05228	37.19723	Tianfu	2017/03/25	CN	good
137.5	34.9	Shinshiro	2017/12/26	JP	accep
8.86704	50.23805	Nidderau	01/30/2019, 00:00:00	DE	accep
28.28489	48.15659	Soroca	2015-12-17	MD	excellent
-122.38731	45.53929	Troutdale	2013/09/27	US	excellent
7.20769	50.80019	Siegburg	27 Feb 2020	DE	accep
79.82979	11.93381	Puducherry	28 Dec 2013	IN	building
105.75635	10.29085	Sa Dec	2021-01-07	VN	good
-82.46148	28.15112	Lutz	25 Mar 2020	US	excellent
24.04142	54.39635	Alytus	2019/11/01	LT	accep
51.49621	36.64852	Nowshahr	2015-08-17	IR	average
35.96944	56.03361	Volokolamsk	01 Feb 2022	RU	good
69.49015	56.11281	Ishim	2014/07/07	RU	accep
14.66737	41.55947	Campobasso	2021/09/25	IT	excellent
-2.98333	53.83333	Poulton-le-Fylde	11/13/2016, 00:00:00	GB	average
-119.48568	49.88307	Kelowna	2014-07-25	CA	accep
69.01354	38.55632	Vahdat	08 May 2021	TJ	accep
3.1631	41.91738	Palafrugell	26 Dec 2014	ES	excellent
27.46153	-21.44236	Tonota	2017/04/15	BW	good
112.73333	38.40917	Xinzhou	2014/12/20	CN	average
-75.87877	5.6561	Andes	12/23/2019, 00:00:00	CO	building
44.7662	40.49748	Hrazdan	08/10/2021, 00:00:00	AM	good
-3.05814	53.00974	Rhosllanerchrugog	2018/04/07	GB	excellent
-0.45877	46.32313	Niort	2021/03/23	FR	maintenance
-120.43572	34.95303	Santa Maria	2022/06/28	US	excellent
-61.51889	10.66668	Port of Spain	2019/11/11	TT	accep
146.05093	-34.28853	Griffith	2022/01/25	AU	average
-1.29772	50.76306	Cowes	2021-03-21	GB	good
-25.66689	37.74615	Ponta Delgada	2018-07-17	PT	good
-1.32471	51.40148	Newbury	2016-12-09	GB	excellent
3.16667	50.8	Wevelgem	08/17/2013, 00:00:00	BE	excellent
140.73667	41.77583	Hakodate	11 Feb 2018	JP	excellent
-88.81395	35.61452	Jackson	12/20/2018, 00:00:00	US	good
77.656	28.71271	Pilkhua	2022/05/27	IN	maintenance
69.67639	41.29444	Parkent	23 Jan 2016	UZ	average
6.51352	51.19139	Korschenbroich	22 Nov 2013	DE	excellent
-122.86705	45.49428	Aloha	20 Feb 2013	US	accep
30.79165	-27.76952	Vryheid	11 Apr 2022	ZA	average
-56.52361	-33.38056	Durazno	2013/03/15	UY	good
6.8625	51.47805	Oberhausen	23 Aug 2017	DE	good
29.00974	-24.19436	Mokopane	2020-01-26	ZA	excellent
34.3869	11.8659	Ar Ruseris	17 Feb 2016	SD	good
106.92667	-6.91806	Sukabumi	2014-03-29	ID	maintenance
-76.78319	18.00747	New Kingston	01/12/2014, 00:00:00	JM	building
-8.33147	41.20485	Paredes	03/30/2017, 00:00:00	PT	average
5.37429	51.03427	Houthalen	02/12/2019, 00:00:00	BE	excellent
40.17171	58.1908	Danilov	01/28/2014, 00:00:00	RU	building
76.03889	18.18158	Osmanabad	07/27/2021, 00:00:00	IN	excellent
8.62118	45.44694	Novara	2013/01/05	IT	building
73.7553	15.5439	Calangute	05/25/2014, 00:00:00	IN	accep
2.59753	8.88649	Tchaourou	2015/09/09	BJ	accep
78.55757	17.34769	Lal Bahadur Nagar	21 Oct 2020	IN	good
-3.05814	53.00974	Rhosllanerchrugog	26 Apr 2022	GB	accep
123.50266	41.94175	Hushitai	16 May 2013	CN	average
-70.6996	-33.59217	San Bernardo	2015/07/09	CL	accep
-0.76667	53.38333	Gainsborough	03/22/2019, 00:00:00	GB	excellent
-122.39168	40.58654	Redding	2013-05-20	US	building
34.11169	0.46005	Busia	26 Aug 2015	KE	good
39.85331	57.30185	Gavrilov-Yam	05/20/2019, 00:00:00	RU	accep
30.28491	60.02427	Kolomyagi	12/09/2020, 00:00:00	RU	accep
-116.37697	33.72255	Palm Desert	2019-01-18	US	average
51.3452	53.37596	Otradnyy	05/28/2013, 00:00:00	RU	average
-51.87389	-23.44361	Sarandi	03 Jul 2018	BR	good
91.00632	26.32293	Barpeta	17 Oct 2018	IN	good
126.835	37.65639	Goyang-si	2018/07/24	KR	good
4.69889	50.56149	Gembloux	2016/06/11	BE	excellent
78.14797	15.45144	Betamcherla	2013-05-19	IN	excellent
107.60627	51.82721	Ulan-Ude	09/30/2019, 00:00:00	RU	excellent
-1.05366	43.71032	Dax	22 Apr 2013	FR	building
46.10925	43.35071	Gudermes	10/06/2019, 00:00:00	RU	good
-61.51889	10.66668	Port of Spain	2020/07/16	TT	average
144.23058	-5.85746	Mount Hagen	05 Jun 2016	PG	accep
43.83992	55.39485	Arzamas	22 Jan 2021	RU	maintenance
-4.21376	55.82885	Rutherglen	2014/10/01	GB	accep
59.4839	58.7002	Kachkanar	2020/10/13	RU	building
-84.62081	42.7392	Waverly	2018-02-06	US	accep
29.65806	-4.83	Mwandiga	2017-09-25	TZ	excellent
124.95278	6.33444	Tupi	05/01/2021, 00:00:00	PH	accep
86.00214	46.51872	Hoxtolgay	2020/07/24	CN	excellent
2.1699	48.98994	Herblay	2018-12-23	FR	good
123.33471	8.56697	Dipolog	11/24/2018, 00:00:00	PH	maintenance
120.5875	16.455	La Trinidad	30 Mar 2021	PH	building
74.80555	34.08565	Srinagar	14 Apr 2021	IN	good
-99.32556	19.32889	San Lorenzo Acopilco	03 Nov 2017	MX	good
100.48528	14.37395	Bang Ban	01/09/2020, 00:00:00	TH	accep
8.86374	44.89784	Tortona	01/15/2016, 00:00:00	IT	good
-45.94722	-21.42917	Alfenas	30 Jun 2021	BR	good
34.34691	61.78491	Petrozavodsk	2019/05/02	RU	building
70.96699	30.46907	Kot Addu	30 Dec 2014	PK	accep
-1.64295	42.8139	Segundo Ensanche	17 Mar 2019	ES	maintenance
89.20083	55.54028	Sharypovo	2017/10/01	RU	building
101.44167	0.51667	Pekanbaru	07 Feb 2014	ID	accep
33.9162	51.67822	Hlukhiv	2012/12/03	UA	average
114.10479	22.37066	Tsuen Wan	2022/04/18	HK	acceptable
48.26258	33.86419	Aleshtar	02/23/2021, 00:00:00	IR	excellent
12.38878	43.1122	Perugia	05 Apr 2013	IT	excellent
101.44167	0.51667	Pekanbaru	2020-07-18	ID	good
9.02596	48.21644	Albstadt	07/03/2013, 00:00:00	DE	accep
76.32756	9.57046	Kalavoor	2015-09-25	IN	average
-72.09391	18.65297	Thomazeau	31 Jan 2016	HT	maintenance
-74.07764	40.72816	Jersey City	2013/07/02	US	excellent
-1.48119	53.0233	Belper	2015-08-03	GB	average
-25.66689	37.74615	Ponta Delgada	2021-03-27	PT	average
30.4347	-1.9487	Rwamagana	04/30/2021, 00:00:00	RW	average
-87.71255	41.84364	South Lawndale	2018-12-26	US	average
78.25795	9.82564	Tiruppuvanam	2017/01/13	IN	accep
36.25361	47.48444	Polohy	2021/08/20	UA	average
102.3278	2.2139	Kampung Ayer Molek	2022/04/04	MY	maintenance
111.73861	35.20889	Changzhi	12/23/2018, 00:00:00	CN	average
8.77155	50.23019	Karben	2013/04/09	DE	maintenance
-1.325	38.47917	Jumilla	2017-03-27	ES	maitennce
2.08333	48.86667	Marly-le-Roi	04/19/2015, 00:00:00	FR	excellent
57.3552	51.4781	Kuvandyk	05 Dec 2017	RU	excellent
-34.88111	-8.05389	Recife	12/20/2012, 00:00:00	BR	maintenance
-73.89875	40.93121	Yonkers	03 Jul 2019	US	good
29.24152	-26.93366	Standerton	2013-11-21	ZA	building
86.79271	25.92127	Madhipura	2013-06-22	IN	building
139.07204	36.24624	Fujioka	06 Mar 2020	JP	good
-121.74052	38.54491	Davis	2014/09/30	US	maintenance
3.50309	34.15429	Messaad	2013/12/22	DZ	excellent
74.83554	14.62072	Sirsi	08/06/2014, 00:00:00	IN	average
101.18445	13.44581	Phanat Nikhom	2021/02/01	TH	excellent
42.54536	-0.35817	Kismayo	14 Jan 2019	SO	excellent
46.58333	-21.15	Ikalamavony	11/07/2016, 00:00:00	MG	building
-103.5687	20.22816	Zacoalco de Torres	01 Jul 2017	MX	excellent
65.93249	36.21544	Sar-e Pul	2016/07/31	AF	accep
17.80774	40.55851	Mesagne	2014/07/03	IT	excellent
150.60036	-34.88422	Nowra	2012-10-17	AU	accep
24.6522	60.2052	Espoo	2019/11/07	FI	good
24.99798	-8.73508	Kamina	2021-03-10	CD	average
35.34722	-23.85972	Maxixe	22 Apr 2017	MZ	accep
19.91667	-11.78333	Luena	05/23/2021, 00:00:00	AO	good
73.97117	31.96258	Naushahra Virkan	2016/01/20	PK	average
-82.90375	32.54044	Dublin	2021/09/30	US	accep
72.85107	19.30157	Bhayandar	02/06/2013, 00:00:00	IN	average
-73.25383	-3.74912	Iquitos	29 Jun 2021	PE	good
-59.13316	-37.32167	Tandil	2014/02/01	AR	average
-52.35558	-14.66463	Nova Xavantina	2019/09/09	BR	good
-77.02303	38.70734	Fort Washington	17 May 2019	US	excellent
-84.62081	42.7392	Waverly	2018-10-08	US	excellent
-62.64102	8.35122	Ciudad Guayana	19 Sep 2014	VE	accep
-91.58045	41.6764	Coralville	07 Aug 2015	US	accep
121.12251	14.62578	Antipolo	10/20/2012, 00:00:00	PH	maintenance
-111.89903	33.50921	Scottsdale	12/01/2017, 00:00:00	US	excellent
-88.81395	35.61452	Jackson	27 Nov 2017	US	building
-61.51889	10.66668	Port of Spain	2020/04/02	TT	maintenance
-2.31938	6.46346	Bibiani	06/13/2020, 00:00:00	GH	accep
-61.51889	10.66668	Port of Spain	19 Sep 2016	TT	excellent
17.80774	40.55851	Mesagne	2013/12/20	IT	building
-83.2321	33.08014	Milledgeville	2020-05-17	US	excellent
122.22833	40.66482	Yingkou	26 Aug 2018	CN	average
-71.08977	41.9001	Taunton	11 May 2020	US	building
139.6853	35.815	Shimotoda	15 Apr 2019	JP	average
86.79271	25.92127	Madhipura	2017-05-05	IN	excellent
-99.32556	19.32889	San Lorenzo Acopilco	05 Jan 2019	MX	average
8.4493	50.09019	Hofheim am Taunus	18 Feb 2022	DE	accep
75.96976	15.73628	Gajendragarh	2019-12-10	IN	excellent
16.54165	68.79833	Harstad	2019-11-15	NO	average
1.26738	51.84819	Walton-on-the-Naze	2021-03-04	GB	accep
88.1453	22.4711	Pujali	2021/04/19	IN	average
106.85417	-6.48167	Cibinong	2013/01/21	ID	accep
8.77069	50.80904	Marburg an der Lahn	2021/11/16	DE	excellent
-80.58556	22.98212	Corralillo	05/05/2021, 00:00:00	CU	good
-71.05977	42.35843	Boston	2022-05-21	US	accep
78.15794	12.1277	Dharmapuri	10/18/2016, 00:00:00	IN	average
-67.15407	18.42745	Aguadilla	2016-01-05	PR	average
-84.67837	34.06635	Acworth	01 May 2016	US	good
16.54165	68.79833	Harstad	2016-07-09	NO	average
-70.6996	-33.59217	San Bernardo	2016-10-12	CL	maitennce
9.37082	36.08497	Siliana	02/18/2016, 00:00:00	TN	good
-0.18333	38.96667	Gandia	06/05/2021, 00:00:00	ES	maintenance
103.81667	1.6	Ulu Tiram	2018-05-10	MY	average
30.91105	3.02013	Arua	2022/09/27	UG	good
5.22778	51.955	Culemborg	2017-02-23	NL	good
19.91667	-11.78333	Luena	05/30/2021, 00:00:00	AO	excellent
-122.2054	47.76232	Bothell	2020-12-02	US	average
69.01354	38.55632	Vahdat	2018/10/01	TJ	average
137.4	34.81667	Toyokawa	2014/08/21	JP	average
39.28333	-10.33333	Nyangao	11/18/2012, 00:00:00	TZ	average
106.88324	47.90771	Ulan Bator	2020/11/02	MN	good
-118.10583	34.09611	San Gabriel	2015-05-20	US	excellent
-8.07257	12.74409	Kati	2016-02-23	ML	accep
26.97253	49.65186	Krasyliv	2012/10/08	UA	average
86.68363	23.49668	Adra	04 Apr 2019	IN	maintenance
117.81667	36.81667	Zhoucun	10/07/2017, 00:00:00	CN	accep
10.5511	52.47774	Gifhorn	2013/11/01	DE	maintenance
15.46667	47.05	Sankt Peter	2019-01-05	AT	excellent
-117.71978	34.09668	Claremont	05/10/2022, 00:00:00	US	accep
17.10558	61.72744	Hudiksvall	24 Oct 2013	SE	good
-9.24671	38.72706	Carnaxide	22 Jan 2020	PT	average
35.34722	-23.85972	Maxixe	2021/02/01	MZ	excellent
-88.3162	42.24113	Crystal Lake	18 Jan 2019	US	maintenance
-71.23106	-32.45242	La Ligua	2018-05-19	CL	maintenance
9.72749	48.28259	Ehingen	2022-05-26	DE	average
13.29371	52.53048	Charlottenburg-Nord	2017-10-12	DE	average
15.00835	51.14942	Zgorzelec	03/03/2018, 00:00:00	PL	accep
-75.87877	5.6561	Andes	2019/08/14	CO	good
-4.21376	55.82885	Rutherglen	2017-05-09	GB	excellent
20.89389	42.62833	Glogovac	07/28/2013, 00:00:00	XK	average
27.18052	39.12074	Bergama	19 Feb 2017	TR	good
89.20083	55.54028	Sharypovo	2013-02-15	RU	accep
125.21972	-8.99167	Maliana	16 Jun 2013	TL	accep
-1.4001	7.06273	Mampong	01/28/2018, 00:00:00	GH	good
136.51667	35	Komono	25 Sep 2016	JP	accep
103.61667	-1.6	Jambi City	17 May 2014	ID	building
21.32778	42	Saraj	12 Jul 2013	MK	good
-87.88754	41.15376	Bourbonnais	30 Oct 2012	US	accep
35.23388	31.78336	East Jerusalem	2016-08-27	PS	average
16.50104	41.24264	Bisceglie	01 May 2017	IT	maintenance
65.93249	36.21544	Sar-e Pul	08/25/2015, 00:00:00	AF	maintenance
13.57661	37.31065	Agrigento	2021-07-10	IT	maintenance
135.6	34.61667	Yao	2014-05-17	JP	maintenance
8.4493	50.09019	Hofheim am Taunus	2020-07-03	DE	good
-96.72365	17.06542	Oaxaca	09/07/2017, 00:00:00	MX	excellent
5.4584	43.32393	Les Olives	06/08/2013, 00:00:00	FR	excellent
-71.08977	41.9001	Taunton	20 Oct 2015	US	accep
5.22778	51.955	Culemborg	2021/03/12	NL	excellent
8.86374	44.89784	Tortona	12/06/2016, 00:00:00	IT	good
71.52847	32.57756	Mianwali	20 Apr 2022	PK	good
30.79165	-27.76952	Vryheid	2019-07-16	ZA	accep
83.62389	53.30972	Novosilikatnyy	19 Oct 2019	RU	excellent
8.91229	49.13645	Eppingen	26 May 2016	DE	average
-1.86343	38.10558	Caravaca	08/07/2014, 00:00:00	ES	maintenance
-78.19444	38.91817	Front Royal	06/19/2014, 00:00:00	US	maintenance
10.5511	52.47774	Gifhorn	2021/11/20	DE	accep
