QoS	revision	location	longitude	code	latitude
excellent	2019-01-30	Asia/Phnom_Penh	102.56365	KH	13.65805
average	2016-02-02	America/Lima	-69.08333	PE	-16.25
excellent	2014-02-06	America/New_York	-73.95958	US	40.57788
excellent	2021-02-15	America/Phoenix	-111.78903	US	33.35283
excellent	08 Nov 2017	Asia/Bangkok	99.89166	TH	15.46063
accep	2014-07-30	America/New_York	-73.97069	US	40.64621
good	2015/11/30	Asia/Tokyo	138.31667	JP	36.65
average	2013/11/20	Europe/Berlin	7.20769	DE	50.80019
maintenance	2019/08/20	Europe/Podgorica	18.84	ME	42.28639
excellent	07/17/2021, 00:00:00	Europe/Chisinau	28.28489	MD	48.15659
maintenance	11/25/2017, 00:00:00	Europe/Moscow	43.67663	RU	53.53041
excellent	04/27/2014, 00:00:00	America/Chicago	-87.70172	US	41.72059
average	01/15/2021, 00:00:00	America/Argentina/Buenos_Aires	-60.47389	AR	-34.64167
good	23 Aug 2017	America/Argentina/Buenos_Aires	-59.13316	AR	-37.32167
average	2019-10-27	Asia/Manila	121.12251	PH	14.62578
good	2020-03-02	Europe/Chisinau	28.28489	MD	48.15659
good	2018-04-07	America/Los_Angeles	-118.10583	US	34.09611
accep	05/04/2020, 00:00:00	Asia/Bangkok	104.64992	TH	14.64056
building	2013/07/29	Europe/Berlin	10.98461	DE	48.35693
accep	10/12/2014, 00:00:00	Europe/Madrid	1.10687	ES	41.15612
average	26 Jul 2017	Asia/Manila	123.62494	PH	12.37169
accep	2016-10-13	Asia/Bangkok	99.96667	TH	8.43333
maintenance	2014-12-09	Europe/Berlin	7.973	DE	51.168
average	08/15/2022, 00:00:00	Europe/Kiev	31.33078	UA	47.56494
accep	2017-08-22	Europe/Rome	9.40531	IT	45.53069
average	15 Jul 2021	America/New_York	-81.23621	US	33.98154
excellent	2013/06/27	Europe/London	1.15597	GB	51.78967
good	11/15/2020, 00:00:00	Europe/Samara	51.3452	RU	53.37596
good	29 Sep 2019	Europe/Rome	11.412	IT	45.50369
excellent	10/12/2013, 00:00:00	Africa/Bangui	15.87735	CF	4.94273
excellent	2015/10/05	America/Toronto	-79.2663	CA	43.86682
accep	20 May 2021	America/New_York	-75.23266	US	43.1009
average	01 Aug 2021	America/Chicago	-95.30106	US	32.35126
average	2020/03/04	Europe/Moscow	35.90057	RU	56.85836
excellent	04 May 2013	Asia/Shanghai	117.33333	CN	34.85
accep	2019-08-13	America/Chicago	-95.36969	US	35.74788
average	27 Jun 2021	Asia/Shanghai	122.22833	CN	40.66482
excellent	2012-12-31	Europe/Paris	5.03586	FR	43.83125
excellent	05 Jul 2015	Europe/Paris	2.25	FR	50.75
excellent	04/29/2018, 00:00:00	Europe/Belgrade	20.89389	XK	42.62833
accep	2021-08-30	America/Denver	-111.99633	US	40.65995
good	2015/03/27	Asia/Colombo	79.87116	LK	6.84019
good	05 Oct 2012	Asia/Dhaka	89.11943	BD	23.9028
accep	20 Jan 2017	America/Jamaica	-76.78319	JM	18.00747
average	2020/04/23	Africa/Lagos	4.52514	NG	12.74482
accep	2017-04-14	America/Chicago	-93.08883	US	45.16024
maitennce	2021/02/09	America/Santiago	-71.19901	CL	-30.60106
excellent	2017-10-03	America/Santiago	-73.02841	CL	-36.9256
excellent	02/10/2017, 00:00:00	Europe/Paris	5.03586	FR	43.83125
good	2016-01-21	America/Denver	-111.99633	US	40.65995
accep	25 Dec 2013	America/New_York	-82.35176	US	27.71809
maintenance	09/28/2015, 00:00:00	Europe/Paris	5.03586	FR	43.83125
building	2015-10-11	America/El_Salvador	-89.10944	SV	13.70167
accep	12/09/2017, 00:00:00	Europe/London	-1.99421	GB	51.35084
good	2017/04/11	America/Bogota	-74.95472	CO	10.98778
average	2018-08-06	America/Chicago	-91.73625	US	35.25064
excellent	09/03/2021, 00:00:00	Europe/London	0.47713	GB	51.39323
accep	2015-11-27	Europe/Warsaw	15.00835	PL	51.14942
maintenance	2021-04-15	Asia/Tokyo	136.13108	JP	34.75856
maintenance	2020/01/19	Africa/Algiers	3.55665	DZ	36.72544
average	02 Jan 2018	Asia/Almaty	84.87144	KZ	47.46657
accep	05 Mar 2022	Africa/Lagos	6.83042	NG	6.15038
excellent	29 Sep 2020	Europe/Amsterdam	6.76111	NL	53.16167
building	2013-09-11	America/New_York	-73.0515	US	41.55815
excellent	18 Sep 2022	Europe/Brussels	4.25633	BE	51.21187
average	2013/01/08	America/Los_Angeles	-119.01677	US	36.06523
accep	2013-07-10	America/Panama	-79.62603	PA	8.88988
accep	2021/03/18	America/New_York	-77.96389	US	39.45621
excellent	2019-07-26	Asia/Bangkok	99.96667	TH	8.43333
excellent	2016/11/26	America/Maceio	-37.65	BR	-10.91722
building	12 Dec 2017	America/Los_Angeles	-121.74052	US	38.54491
good	2019/02/04	Europe/Sofia	24.71204	BG	41.57439
accep	2013-05-09	Asia/Damascus	36.7138	SY	35.95664
accep	2017/05/28	Europe/Lisbon	-7.32097	PT	41.1053
average	04 Nov 2019	Asia/Manila	121.3152	PH	14.14989
average	2019/05/03	Africa/Lagos	5.06258	NG	7.50251
maintenance	2014/11/22	Africa/Lagos	8.2926	NG	9.58126
average	15 Mar 2016	Asia/Bangkok	99.95469	TH	13.51825
maintenance	06/11/2021, 00:00:00	America/New_York	-84.23381	US	33.54428
accep	06 Nov 2016	America/Port-au-Prince	-72.22625	HT	18.57677
accep	05/05/2022, 00:00:00	Europe/Paris	2.2469	FR	48.90472
good	2014-06-30	Asia/Jakarta	109.3243	ID	-7.0981
excellent	05/15/2017, 00:00:00	Europe/Moscow	30.28491	RU	60.02427
accep	02/13/2013, 00:00:00	Africa/Kinshasa	15.16554	CD	-4.5833
average	21 Aug 2020	Europe/Istanbul	34.37389	TR	40.1675
good	2014/10/10	Europe/London	1.15597	GB	51.78967
maitennce	09 Jan 2019	Europe/Berlin	8.64409	DE	48.07667
excellent	21 Jan 2016	America/Chicago	-93.71133	US	41.57721
accep	2015-12-05	America/New_York	-77.02303	US	38.70734
accep	17 Nov 2021	Europe/Paris	1.00288	FR	49.28669
average	2021/10/04	Asia/Shanghai	117.27583	CN	35.64889
good	2022-07-29	America/Chicago	-93.12577	US	44.73941
accep	11/24/2019, 00:00:00	Europe/Madrid	-2.68333	ES	43.31667
average	31 Aug 2018	Asia/Hong_Kong	114.10479	HK	22.37066
accep	2021/10/04	Europe/Rome	8.86374	IT	44.89784
building	2014-05-30	Europe/Rome	13.44275	IT	38.07789
excellent	24 Mar 2013	Europe/Warsaw	15.00835	PL	51.14942
excellent	05/10/2013, 00:00:00	Europe/Moscow	40.17171	RU	58.1908
good	2022-03-23	Asia/Yekaterinburg	65.27258	RU	58.04254
building	2013/11/30	Europe/Berlin	13.32127	DE	52.59319
average	2016-06-17	Europe/Samara	51.3452	RU	53.37596
average	08 Oct 2019	Asia/Jerusalem	34.75699	IL	31.39547
excellent	11 Aug 2022	Asia/Bangkok	102.05461	TH	6.25947
excellent	05/04/2022, 00:00:00	Europe/Paris	5.03586	FR	43.83125
good	2013-07-13	America/New_York	-78.87836	US	35.05266
accep	12 Jan 2017	America/Chicago	-97.92977	US	38.06084
excellent	2022/09/04	America/New_York	-73.78458	US	41.0051
average	11 May 2017	America/Chicago	-91.73625	US	35.25064
accep	2020-10-03	America/Vancouver	-119.27337	CA	50.26729
good	2018/07/12	Australia/Brisbane	152.70493	AU	-25.54073
maintenance	2016-06-23	Europe/Rome	13.44275	IT	38.07789
average	10 Sep 2021	Australia/Sydney	150.60036	AU	-34.88422
accep	09/04/2018, 00:00:00	America/Port-au-Prince	-72.22625	HT	18.57677
excellent	2016/11/27	Europe/Istanbul	40.74357	TR	37.31309
accep	11/13/2016, 00:00:00	America/Havana	-77.43532	CU	20.14298
building	09/10/2013, 00:00:00	Europe/London	-2.98333	GB	53.83333
building	08/20/2019, 00:00:00	Asia/Yekaterinburg	76.92421	RU	60.97944
accep	26 Nov 2021	America/New_York	-81.23621	US	33.98154
excellent	06 Dec 2013	America/La_Paz	-65.71875	BO	-21.44345
excellent	06 Aug 2019	Asia/Novokuznetsk	85.4265	RU	55.8736
average	06/19/2022, 00:00:00	Asia/Karachi	73.97117	PK	31.96258
maintenance	2022/01/22	Europe/London	-2.52398	GB	53.19146
accep	05/31/2019, 00:00:00	Africa/Cairo	31.4976	EG	26.67319
accep	2013/07/13	Asia/Urumqi	86.00214	CN	46.51872
accep	2014-02-02	Asia/Yangon	97.01124	MM	17.30858
accep	2017/06/26	America/Bahia	-38.94722	BR	-15.675
maintenance	12/29/2018, 00:00:00	Asia/Shanghai	117.33333	CN	34.85
excellent	2013-01-06	America/Caracas	-67.33122	VE	10.22677
excellent	28 Jan 2019	America/Sao_Paulo	-48.62789	BR	-17.74431
excellent	2018-12-12	America/Los_Angeles	-122.2608	US	38.17492
good	2014/08/21	Asia/Kolkata	71.21169	IN	21.59983
average	2017-05-26	Europe/Belgrade	20.89389	XK	42.62833
maintenance	11/23/2020, 00:00:00	Europe/Paris	1.33467	FR	43.61058
average	2013/04/21	Europe/Moscow	38.07083	RU	54.90083
average	04 Apr 2021	Europe/Paris	2.25	FR	50.75
good	03 Oct 2020	Asia/Karachi	68.21204	PK	27.55898
excellent	2018/08/24	Europe/Madrid	-1.86343	ES	38.10558
building	2022-03-13	Asia/Tokyo	129.96972	JP	33.4425
accep	07/23/2017, 00:00:00	Europe/Paris	2.61667	FR	48.98333
excellent	2013-06-14	Asia/Karachi	68.11759	PK	26.9423
good	07/26/2017, 00:00:00	Australia/Sydney	146.05093	AU	-34.28853
good	2016-05-25	Europe/Moscow	37.38115	RU	55.63711
excellent	18 Jul 2019	Europe/Warsaw	15.00835	PL	51.14942
excellent	11/06/2019, 00:00:00	America/Managua	-86.58208	NI	13.48082
accep	2015/08/20	Asia/Shanghai	117.27583	CN	35.64889
average	27 Oct 2018	America/New_York	-71.06616	US	42.4251
excellent	08/06/2020, 00:00:00	Asia/Makassar	116.82887	ID	-1.26753
acceptable	05 Oct 2021	America/Los_Angeles	-116.37697	US	33.72255
building	12 Dec 2018	Europe/Berlin	6.74549	DE	49.5099
average	2015-11-02	Asia/Baghdad	44.02488	IQ	32.61603
maintenance	10 Aug 2014	America/Vancouver	-119.48568	CA	49.88307
average	23 Jul 2022	Europe/Moscow	43.91385	RU	54.03876
accep	03/03/2013, 00:00:00	Europe/Rome	14.66737	IT	41.55947
average	2016/03/29	Asia/Bangkok	99.95469	TH	13.51825
excellent	2014/05/26	Europe/Moscow	36.73307	RU	55.38752
accep	2014/06/05	Europe/Rome	17.58522	IT	40.53123
good	06/27/2020, 00:00:00	Africa/Dar_es_Salaam	33	TZ	-2.68333
good	2021-03-04	Europe/Rome	16.50104	IT	41.24264
excellent	13 Oct 2020	Europe/Warsaw	15.00835	PL	51.14942
good	2021/12/12	America/New_York	-81.38758	US	30.17746
excellent	2013-03-26	Europe/Berlin	8.51667	DE	51.88333
average	22 Mar 2020	Asia/Kolkata	78.55757	IN	17.34769
excellent	27 Jun 2019	Europe/Paris	4.91667	FR	45.73333
excellent	2022-04-25	Europe/Madrid	-5.55835	ES	42.64685
accep	14 May 2020	Asia/Tehran	51.67462	IR	32.65246
excellent	2016-12-20	Asia/Manila	120.56528	PH	14.66
average	04 Dec 2021	Europe/Paris	-1.05366	FR	43.71032
good	10/08/2014, 00:00:00	Asia/Kolkata	71.57737	IN	21.53889
accep	03 May 2022	Australia/Brisbane	153.10236	AU	-27.50578
good	10/23/2019, 00:00:00	Atlantic/Canary	-15.58602	ES	27.76056
good	06/11/2018, 00:00:00	America/Mazatlan	-105.36369	MX	22.49396
excellent	2022-03-01	America/Mexico_City	-97.35992	MX	19.8173
building	2020/07/20	Asia/Kolkata	85.83636	IN	25.66795
excellent	2021/06/16	America/Los_Angeles	-120.00865	US	46.32374
building	2017/06/14	Asia/Karachi	75.06583	PK	32.17629
building	24 Dec 2020	Europe/Brussels	4.52529	BE	50.71229
excellent	18 Jan 2017	Europe/Chisinau	28.28489	MD	48.15659
accep	2022-05-17	Africa/Mogadishu	43.38531	SO	9.89206
accep	02/01/2013, 00:00:00	America/New_York	-73.89875	US	40.93121
excellent	2021-11-04	Indian/Antananarivo	48.41667	MG	-17.83333
good	08/16/2020, 00:00:00	Europe/Moscow	32.86389	RU	53.95278
good	08/16/2018, 00:00:00	Asia/Tokyo	136.61667	JP	36.53333
average	18 Nov 2017	Asia/Manila	120.5875	PH	16.455
good	2014-10-02	America/Argentina/Tucuman	-65.61427	AR	-27.4338
accep	04 Sep 2022	Asia/Jakarta	107.60389	ID	-7.01833
maintenance	2019/09/30	Asia/Shanghai	118.53333	CN	27.92333
good	05/06/2021, 00:00:00	Asia/Tehran	51.49621	IR	36.64852
accep	2016-04-21	Europe/London	-4.0573	GB	55.82737
accep	2019-03-13	America/Matamoros	-97.50417	MX	25.87972
excellent	2018/09/30	America/Mexico_City	-97.35992	MX	19.8173
average	26 Apr 2020	America/Los_Angeles	-116.97725	US	33.92946
accep	2020-11-19	Asia/Jakarta	104.09701	ID	-1.26424
good	15 Apr 2015	Europe/Stockholm	17.10558	SE	61.72744
building	2016-06-02	Asia/Tokyo	140.11667	JP	37.56667
average	01/25/2015, 00:00:00	Asia/Manila	120.5875	PH	16.455
good	2017-05-18	Europe/Zurich	8.52462	CH	47.30997
excellent	08/27/2017, 00:00:00	America/New_York	-77.37331	US	37.60876
good	09/02/2014, 00:00:00	Africa/Algiers	3.50309	DZ	34.15429
maintenance	01 Oct 2016	Asia/Tashkent	69.67639	UZ	41.29444
good	2020/04/26	America/New_York	-74.15987	US	40.82232
good	21 Apr 2016	Asia/Kolkata	88.1453	IN	22.4711
accep	29 Apr 2017	Africa/Douala	9.00472	CM	4.2475
accep	2021-08-23	America/New_York	-73.9625	US	40.81
good	11 Mar 2021	Asia/Shanghai	116.11768	CN	24.28859
excellent	2020/01/27	Europe/London	-4.0573	GB	55.82737
maintenance	05 Oct 2018	Australia/Perth	115.8614	AU	-31.95224
accep	02/15/2016, 00:00:00	Asia/Kolkata	84.63445	IN	24.81757
building	03 Jun 2018	Asia/Shanghai	117.63083	CN	35.50056
good	11 Sep 2015	Europe/Rome	15.07041	IT	37.49223
maintenance	2021/03/01	Asia/Kolkata	77.40858	IN	24.05979
maintenance	21 Jun 2021	America/Los_Angeles	-118.25508	US	34.14251
excellent	2019/10/01	Asia/Almaty	77.0202	KZ	43.41949
good	2020-11-19	Asia/Bangkok	100.48528	TH	14.37395
average	28 Oct 2016	Europe/Lisbon	-8.33147	PT	41.20485
average	09/28/2018, 00:00:00	Asia/Bishkek	73	KG	40.93333
average	2015-11-21	Europe/Moscow	43.67663	RU	53.53041
excellent	08 Nov 2016	Asia/Kolkata	78.14797	IN	15.45144
average	02/14/2013, 00:00:00	Asia/Bangkok	99.89166	TH	15.46063
accep	29 Apr 2022	Europe/London	1.15597	GB	51.78967
accep	04/03/2021, 00:00:00	America/Havana	-82.4017	CU	23.0072
maintenance	11 Nov 2017	Asia/Manila	123.33471	PH	8.56697
average	03 Jul 2014	America/New_York	-76.88442	US	40.2737
accep	02/02/2019, 00:00:00	America/La_Paz	-65.71875	BO	-21.44345
average	2013/04/12	Asia/Kolkata	76.12647	IN	32.55531
accep	2021/03/10	America/Los_Angeles	-119.01677	US	36.06523
average	2019-09-21	America/Guatemala	-91.11667	GT	14.93333
good	2012-11-25	Asia/Shanghai	113.13148	CN	23.02677
excellent	10/25/2020, 00:00:00	Europe/Berlin	10.03988	DE	53.6052
building	02/05/2021, 00:00:00	Europe/Prague	13.63617	CZ	50.50301
building	02/27/2013, 00:00:00	America/Los_Angeles	-119.0376	US	34.21639
accep	2021/08/04	Europe/Minsk	25.8191	BY	53.5942
maintenance	2017/02/22	America/Argentina/Tucuman	-65.61427	AR	-27.4338
good	01/30/2014, 00:00:00	Asia/Aden	46.83187	YE	14.53767
good	2016-07-18	Asia/Yangon	97.01124	MM	17.30858
maintenance	10 Jun 2016	Asia/Colombo	79.883	LK	6.9909
accep	2014-11-09	Asia/Bangkok	101.18445	TH	13.44581
accep	10/31/2018, 00:00:00	America/New_York	-73.75513	US	40.60538
average	2020/04/22	Europe/Berlin	6.8625	DE	51.47805
accep	08 Aug 2021	America/New_York	-81.56929	US	41.55838
accep	2016/10/29	America/Mexico_City	-101.2591	MX	21.01858
good	2021-04-23	Europe/Paris	4.8951	FR	44.92801
average	05/20/2018, 00:00:00	Europe/London	-0.74934	GB	51.62907
excellent	2013/05/14	America/Los_Angeles	-117.14392	US	32.9156
good	20 Feb 2018	Europe/Moscow	40.17171	RU	58.1908
good	2020-04-28	America/Chicago	-91.73625	US	35.25064
accep	2017/05/10	America/Chicago	-95.44744	US	29.53885
average	20 May 2017	America/New_York	-73.75513	US	40.60538
accep	02/06/2020, 00:00:00	America/Chicago	-86.99666	US	33.45122
accep	2022/08/18	America/New_York	-72.27814	US	42.93369
good	08/19/2015, 00:00:00	Asia/Kolkata	86.59611	IN	25.87498
maintenance	2013/12/27	Asia/Kolkata	86.51499	IN	23.1959
accep	2014/06/12	America/New_York	-72.97261	US	43.61062
accep	2014/01/21	Europe/Berlin	6.8625	DE	51.47805
accep	05/30/2014, 00:00:00	Europe/Berlin	11.34046	DE	50.72043
good	2014-09-18	Asia/Irkutsk	107.60627	RU	51.82721
good	2018-03-12	Asia/Tokyo	129.96972	JP	33.4425
excellent	2020/12/03	America/Bogota	-73.26022	CO	6.46838
maintenance	26 Oct 2012	Europe/Madrid	3.1631	ES	41.91738
excellent	26 Mar 2014	Europe/Berlin	6.26667	DE	51.21667
excellent	03 Apr 2013	America/Argentina/Buenos_Aires	-59.13316	AR	-37.32167
accep	10/01/2018, 00:00:00	Europe/Berlin	7.02238	DE	52.21099
building	15 Jul 2013	America/Vancouver	-119.48568	CA	49.88307
average	2015/03/13	Asia/Makassar	117.59152	ID	3.31332
accep	2019-08-04	Asia/Kolkata	71.30633	IN	21.34222
average	29 Sep 2017	Africa/Dar_es_Salaam	38.66667	TZ	-6.25
average	2017/09/19	Asia/Kolkata	77.40858	IN	24.05979
average	2016/09/22	America/New_York	-73.75513	US	40.60538
maintenance	2021/11/09	America/Phoenix	-111.89903	US	33.50921
accep	11/20/2013, 00:00:00	America/New_York	-70.92866	US	42.52787
good	04/18/2022, 00:00:00	Indian/Reunion	55.4504	RE	-20.88231
maintenance	21 Dec 2018	America/Chicago	-91.77127	US	37.95143
excellent	10/15/2013, 00:00:00	Europe/Paris	1.00288	FR	49.28669
maintenance	18 Nov 2019	Asia/Kolkata	77.5609	IN	11.00599
maintenance	01/12/2021, 00:00:00	Africa/Casablanca	-5.22126	MA	33.43443
accep	2019/07/05	Asia/Kolkata	86.51499	IN	23.1959
building	2022/07/20	America/New_York	-74.28459	US	40.5576
maintenance	2015-01-15	Asia/Yekaterinburg	59.80222	RU	58.63667
good	08/05/2019, 00:00:00	America/Los_Angeles	-122.38731	US	45.53929
good	30 Jan 2021	Asia/Karachi	72.54064	PK	31.82539
accep	10 Dec 2013	Europe/Rome	12.84052	IT	45.78071
good	03/26/2016, 00:00:00	America/Toronto	-73.58248	CA	45.40008
good	27 May 2015	Asia/Makassar	116.82887	ID	-1.26753
average	19 Aug 2019	America/New_York	-82.07842	US	26.91756
good	12/04/2019, 00:00:00	Asia/Kolkata	71.30633	IN	21.34222
good	01 Oct 2017	America/New_York	-69.96533	US	43.91452
accep	28 Mar 2014	America/Toronto	-73.86586	CA	45.43341
good	21 Dec 2013	America/Mexico_City	-98.11889	MX	19.04222
good	11/13/2019, 00:00:00	Europe/London	-1.29243	GB	53.49389
good	09 Sep 2022	Europe/Rome	17.58522	IT	40.53123
average	01/16/2016, 00:00:00	Europe/Berlin	6.51352	DE	51.19139
good	2013/10/06	Europe/Madrid	-2.77259	ES	37.49073
accep	12/11/2021, 00:00:00	Europe/Amsterdam	4.47124	NL	51.95838
good	08 Jul 2015	Europe/Madrid	-0.18333	ES	38.96667
good	2017-04-04	America/Cuiaba	-52.35558	BR	-14.66463
excellent	2017-06-09	Europe/Istanbul	41.00817	TR	38.13708
excellent	2013/02/26	Europe/Minsk	25.8191	BY	53.5942
maintenance	2013-05-06	Europe/Andorra	1.53414	AD	42.50729
good	2021/10/17	Africa/Bangui	15.87735	CF	4.94273
building	2013-01-18	Asia/Irkutsk	107.60627	RU	51.82721
accep	2020-05-04	Asia/Kolkata	78.14797	IN	15.45144
average	01/14/2018, 00:00:00	Europe/Rome	17.58522	IT	40.53123
average	21 Jan 2016	Asia/Kolkata	75.92694	IN	14.46693
good	24 Nov 2013	America/Caracas	-62.64102	VE	8.35122
accep	2021/04/22	Asia/Shanghai	113.13148	CN	23.02677
excellent	03 Dec 2015	Asia/Urumqi	86.00214	CN	46.51872
average	27 Sep 2016	America/Argentina/Buenos_Aires	-58.70072	AR	-34.74785
good	2022-07-20	Europe/Moscow	47.1192	RU	42.819
average	2022/05/14	America/Chicago	-93.75018	US	32.52515
good	2017-05-26	Africa/Tunis	10.58082	TN	35.72917
excellent	2014/12/16	Asia/Shanghai	116.11768	CN	24.28859
excellent	03/22/2016, 00:00:00	Asia/Shanghai	114.51667	CN	33.78333
accep	2016-06-17	Europe/Warsaw	17.4674	PL	50.86079
average	08/30/2019, 00:00:00	America/Sao_Paulo	-48.59278	BR	-23.7975
average	2017/11/02	Africa/Freetown	-13.2356	SL	8.48714
building	22 Feb 2016	America/Lima	-75.11028	PE	-15.21194
excellent	2015-06-05	America/New_York	-74.96933	US	39.71734
good	08 Dec 2012	America/Los_Angeles	-117.54866	US	33.93113
average	06 Apr 2020	Asia/Kolkata	75.92694	IN	14.46693
good	2018-01-09	Europe/Stockholm	18.28333	SE	59.33333
excellent	2018-11-06	Asia/Yekaterinburg	59.4839	RU	58.7002
average	2017/09/05	America/New_York	-78.19444	US	38.91817
average	2017/01/24	Asia/Jakarta	112.01667	ID	-7.81667
good	03/08/2020, 00:00:00	Europe/Madrid	-4.83076	ES	39.96348
excellent	20 Dec 2014	America/New_York	-73.47429	US	40.68066
excellent	06/07/2019, 00:00:00	Europe/Berlin	9.5586	DE	54.52156
accep	10 Jun 2014	America/New_York	-73.75513	US	40.60538
building	2013-12-08	Europe/Paris	2.45012	FR	48.90982
good	13 Sep 2021	America/Guayaquil	-79.59415	EC	-2.13404
excellent	09 Feb 2017	Europe/Amsterdam	4.47124	NL	51.95838
excellent	2013-11-08	Asia/Yekaterinburg	60.70278	RU	55.75556
average	2015/05/22	Asia/Shanghai	117.7	CN	35.85
excellent	10/08/2019, 00:00:00	Europe/Amsterdam	6.76111	NL	53.16167
good	2013-01-31	America/Sao_Paulo	-47.53028	BR	-22.45667
excellent	2017-03-17	Asia/Manila	123.89071	PH	10.31672
good	06 Aug 2013	America/Sao_Paulo	-48.29694	BR	-20.87306
building	11/03/2013, 00:00:00	America/Chicago	-89.99038	US	38.58894
excellent	2019/10/18	Asia/Ho_Chi_Minh	105.75635	VN	10.29085
good	2017/12/14	Africa/Algiers	4.08282	DZ	36.61954
building	2014-02-12	Europe/Madrid	-1.325	ES	38.47917
accep	22 Apr 2017	America/Sao_Paulo	-41.25528	BR	-19.32556
good	03/08/2017, 00:00:00	America/Los_Angeles	-116.97725	US	33.92946
accep	09 Feb 2017	America/New_York	-73.75513	US	40.60538
maintenance	16 Feb 2013	Asia/Almaty	77.0202	KZ	43.41949
accep	06/08/2016, 00:00:00	Africa/Dar_es_Salaam	39.25	TZ	-6.8
accep	06/29/2014, 00:00:00	Asia/Tokyo	137.36215	JP	36.75965
average	2014-10-08	Asia/Karachi	74.12286	PK	30.76468
average	10/16/2020, 00:00:00	Asia/Kolkata	77.40858	IN	24.05979
excellent	2017/05/12	Asia/Urumqi	86.00214	CN	46.51872
accep	07/03/2015, 00:00:00	America/Detroit	-82.42491	US	42.97086
building	05/07/2016, 00:00:00	America/Los_Angeles	-122.39168	US	40.58654
