PM2.5	CH4	SO2	latitude	longitude	O3	TEMP	PM10	PRES	NH3	CFCs	warning	NOx	H2CO	PAHs	CO	C2H3NO5	Pb
7.19650	6.04708	6.00766	30.76468	74.12286	6.09081	23.16587	8.97838	1110.29796	7.60560	55.61122	1.00000	7.21360	43.91692	8.01278	6.81464	6.48238	41.05235
7.39124	10.11042	8.21047	3.02013	30.91105	5.82101	24.96987	6.54352	1097.17435	6.22342	28.95492	1.00000	3.93958	36.91532	3.32966	9.05490	1.22225	27.84718
7.66986	8.94654	9.65169	49.88307	-119.48568	5.01733	-0.53825	8.02707	1198.90591	6.89180	53.57687	0.00000	7.67462	48.81293	10.42560	10.18070	3.10181	44.10465
7.22576	6.58447	6.45994	-27.50578	153.10236	5.67848	26.74309	9.27817	1091.15782	7.73985	75.56254	0.00000	8.69428	39.97715	5.17329	9.82514	8.59667	41.23486
	5.68147	6.79015	50.64336	7.2278	5.78339	4.53699	6.46462	1072.55297	8.39784	59.16148	1.00000	9.80360	47.30344	5.87598	9.59886	1.66873	45.21169
7.03891	6.19116	5.46013	52.71083	5.74861	4.01468	18.05130	8.00464	1177.65327	5.54283	65.40577	1.00000	6.31000	48.19573	6.19020	8.25387	4.03135	82.93659
8.36148	7.80496	4.76749	35.95664	36.7138	8.17085	15.26053	8.04005	1080.94290	8.37191	35.78960	0.00000	7.97331	47.09306	5.73180	11.50377	2.75363	45.73994
7.11922	8.72849	9.69085	49.88307	-119.48568	7.92855	14.91568	7.28906	1157.02000	6.09477	39.44729	0.00000	9.16610	39.66476	8.32053	9.87402	1.38212	63.52133
7.09659	8.50769	8.43636	36.76775	2.95924	6.72087	13.63580	7.89164	1098.46886	6.56760	61.25487	0.00000	9.27376	36.28098	8.69488	10.39455	3.32301	55.48734
6.79158	8.43169	7.08691	3.31332	117.59152	8.62123	25.77928	6.24665	1119.16785	7.43650	62.27125	1.00000	6.47752	33.26612	5.27191	9.03286	1.63070	62.96394
8.63284	6.05453	5.94003	32.87533	71.57118	3.12797	17.05309	5.87452	1074.62963	7.69024	44.36276	1.00000	8.48694	63.31969	4.57376	10.74034	1.34904	28.91475
6.33736	4.49141	7.23964	53.37596	51.3452	3.24053	3.23510	7.46529	1190.57147	8.58270	58.30956	1.00000	9.01109	34.31080	5.67045	10.26191	1.48833	55.49853
7.72648	6.02426	6.27884	53.00974	-3.05814	5.90839	5.61121	8.35063	1168.72906	7.86704	73.82338	1.00000	8.35458	37.70199	6.34914	8.69849	3.38512	37.83898
6.80270	10.48729	5.82763	34.61667	135.6	8.07152	17.64449	7.12940	1132.30130	8.53634	63.63296	1.00000	6.87224	55.69100	7.15246	9.85492	1.79035	52.26165
8.48518	9.75012	6.32597	50.64336	7.2278	7.44836	10.03847	7.95134	1065.96091	6.36422	49.38440	1.00000	6.49223	28.56011	5.91232	10.32908	2.70758	57.89803
6.97655	9.93264	10.00725	26.67319	31.4976	7.02631	1.04568	8.36724	1083.95854	8.44559	65.28684	0.00000	8.22793	45.69088	10.44241	8.22696	4.26881	29.04131
7.95213	7.67682	6.89131	8.62261	-70.20749	9.81408	-6.15395	6.95642	1097.55646	6.29767	70.61267	1.00000	6.05363	45.27378	7.71148	8.62594	1.29002	47.59607
7.85507	8.82284	7.47872	51.47805	6.8625	6.22925	23.50050	7.61582	1123.39982	8.03384	48.33393	0.00000	8.28111	38.39822	3.33269	12.11378	1.44909	62.23417
8.65162	8.08294	7.62612	45.16024	-93.08883	10.19029	31.07659	7.17265	1156.13073	7.03317	49.33781	1.00000	5.41303	38.65463	7.55761	8.12146	1.86467	58.58048
7.22650	8.82882	6.30962	-10.91722	-37.65	6.67852	38.19291	8.42117	1189.01273	7.82307	67.74402	0.00000	6.70448	49.48769	7.39473	7.81505	4.44720	40.54724
8.34590	8.74362	8.44523	32.05971	34.8732	4.02392	10.09903	7.55316	1147.00158	7.77817	46.27030	0.00000	7.72717	47.68136	7.00965	11.21582	2.70832	34.33762
7.52880	9.88129	5.65569	48.43174	17.8031	7.67833	4.59588	9.24808	1116.83560	7.56511	68.19704	1.00000	7.19355	64.84055	6.27932	10.26881	8.33211	37.97214
	6.95327	6.05456	48.98333	2.61667	7.35740	-0.49971	7.29993	1058.03297	8.86075	53.29205	1.00000	8.71663	37.55388	6.88911	8.10930	1.34562	45.99507
7.65588	9.49240	6.75894	44.73941	-93.12577	6.72041	13.02884	7.91707	1106.69194	7.04978	53.90306	0.00000	7.17360	35.03514	6.91582	9.13293	2.28710	47.40804
6.45092	11.32218	8.84322	-30.60106	-71.19901	6.63315	2.05408	7.61360	1069.58287	5.37523	58.91154	1.00000	3.20749	53.11990	5.86869	8.87239	2.42722	40.71641
6.40553	8.88604	7.01336	-6.25	38.66667	8.88165	19.77095	6.84930	1080.70737	6.89739	58.10446	1.00000	6.34185	44.06325	6.21288	8.33886	1.75194	53.60274
7.86151	10.74632	7.49359	43.1122	12.38878	7.87394	15.15311	8.97046	1186.14281	9.18440	73.01805	0.00000	4.27066	50.27425	5.82011	8.75797	6.62660	66.50750
9.07088	7.42467	5.91096	40.1675	34.37389	7.77921	5.59985	8.49322	1158.54109	8.08668	55.87233	1.00000	9.06746	72.51358	6.86721	8.17698	4.00919	55.08333
7.71617	9.93222	5.92325	40.49748	44.7662	7.24504	15.46078	7.58579	1071.49363	9.73221	51.47346	1.00000	6.60924	47.88270	4.34890	10.00873	1.90078	40.96740
8.96164	11.42544	7.58015	41.8542	-87.66561	6.51943	18.14492	6.25891	1133.22618	8.91977	31.69451	1.00000	4.06252	39.90339	7.93926	10.36575	0.99646	29.24070
9.07840	10.35135	8.16672	-3.5403	118.9707	5.64840	-0.62727	8.71185	1140.96681	6.77800	45.12851	0.00000	7.60792	48.21141	7.76864	10.16354	5.34148	17.71321
7.99428	8.20464	6.20018	51.47805	6.8625	6.48671	15.36245	8.56667	1143.45381	9.54125	58.18373	0.00000	7.63370	57.17657	5.94068	9.69119	4.22411	42.39487
7.11226	7.04308	5.68615	43.83125	5.03586	10.62368	32.87981	7.29349	1191.59838	6.84217	58.17119	1.00000	8.20260	49.53463	7.21156	9.00362	2.56236	48.64227
8.41801	3.18421	8.23304	42.7	27.25	5.02284	22.45262	7.92727	1123.39480	9.62084	64.49655	1.00000	10.83459	43.83253	5.61519	9.79160	3.03071	39.73952
8.50027	9.70240	7.51548	42.8334	-80.38297	5.02570	21.74200	9.07907	1078.40055	7.56410	76.66514	0.00000	6.52473	72.16225	6.80344	8.22044	7.17446	30.29884
7.06357	1.13388	8.61359	54.52156	9.5586	2.58479	37.20574	8.41838	1179.89471	7.37874	51.93906	1.00000	7.59436	42.40734	6.28014	8.45999	4.50622	67.24904
7.47212	11.14449	6.15230	40.1675	34.37389	7.40688	19.85858	8.55924	1088.73928	7.01840	49.45304	1.00000	5.99794	41.95607	3.97140	9.72338	4.54980	53.98280
8.48394	6.18139	6.19698	-19.32556	-41.25528	5.41125	1.90950	7.81899	1050.92528	7.67921	26.60937	1.00000	8.56251	55.45917	6.45058	8.93909	2.58604	19.32559
6.81423	9.32954	5.08427	22.75218	72.68533	9.66151	8.97092	8.29604	1107.30733	8.16852	34.93626	1.00000	7.61965	55.49479	5.43606	9.12331	3.86540	64.83270
7.42062	9.57499	5.29141	37.49073	-2.77259	6.13483	16.07462	7.52732	1196.75234	7.14844	34.32477	0.00000	5.01553	72.45435	7.67929	9.55874	2.55269	58.60882
8.06068	8.89537	5.02519	48.90982	2.45012	8.18391	30.21431	8.56356	1193.95540	7.84508	56.43160	1.00000	8.58881	62.50392	5.94622	8.81343	4.42933	43.20072
9.51804	5.71316	7.02862	33.41012	-91.06177	7.98793	8.39082	8.36463	1160.05816	8.23852	45.50498	1.00000	9.43739	39.00386	7.29381	8.03912	4.22404	46.95870
6.87997	8.41497	6.73125	20.28527	-103.42897	7.00159	14.92318	8.77739	1192.55531	7.55812	51.99396	0.00000	7.25837	46.50923	6.25275	8.22451	5.83275	45.06514
7.53301	9.12618	8.28363	38.58894	-89.99038	6.84858	23.67681	7.66716	1169.74637	9.16319	57.33155	0.00000	9.26935	58.48201	9.01597	9.29571	2.34405	51.67116
6.64135	6.27539	5.73602	47.98372	10.18527	3.94306	17.81090	6.70116	1055.35938	7.35847	38.39682	1.00000	7.49186	70.64089	5.55146	9.60303	1.51110	42.44852
7.12396	8.67648	4.96909	12.74482	4.52514	9.56799	21.70273	7.46149	1087.54985	6.39682	63.72652	0.00000	7.80508	50.34638	4.34961	9.28522	2.36920	58.33001
6.36100	9.49683	7.24658	22.88783	84.13864	8.39382	9.99197	7.63697	1113.74025	7.70363	36.06687	1.00000	5.83505	33.29280	6.11182	9.00659	2.40138	52.36350
8.59518	11.07763	7.77279	41.20485	-8.33147	4.97819	21.56147	6.75778	1157.13304	7.35237	49.89988	0.00000	3.13821	27.54141	7.20553	7.07480	1.57740	37.61857
8.12055	7.92994	5.92616	35.88264	-80.08199	8.37974	5.81992	7.77689	1146.45570	7.09840	67.29721	1.00000	9.47850	43.23440	7.24372	8.61768	2.51324	43.45572
9.35432	10.09124	3.86243	60.2052	24.6522	9.95309	24.06183	5.82273	1157.90953	7.17548	48.46507	1.00000	8.78917	24.97174	4.28528	8.76992	0.90199	40.94880
9.31296	9.27678	7.14417	20.88098	75.11937	8.37719	8.52974	6.75151	1119.40432	6.83752	50.41340	1.00000	5.32959	69.12909	5.70295	9.43182	1.95386	49.60012
8.04259	8.60722	5.61260	13.51825	99.95469	5.34793	30.26188	9.77229	1084.87208	8.05029	52.53335	1.00000	8.54943	29.38426	6.16840	10.83302	13.01418	54.37246
8.07001	3.36848	8.76268	-54.8	-68.3	7.65543	25.24066	6.03237	1109.54779	8.70227	69.81758	1.00000	12.00575	61.36660	6.69921	8.80506	1.09759	54.85433
8.33431	6.34658	6.20905	56.85836	35.90057	5.27251	12.55899	6.73210	1112.46818	6.21916	59.79796	1.00000	8.18297	43.79972	6.65312	8.84188	1.43745	37.95970
6.75550	8.17984	8.71983	7.06273	-1.4001	9.72111	14.23777	8.03516	1163.30788	6.08517	50.72810	0.00000	12.61940	60.03763	8.86012	6.58873	3.02422	31.30437
8.76488	6.27191	6.64195	49.88307	-119.48568	4.90369	10.10189	8.41630	1153.47158	8.75207	24.61656	1.00000	9.84018	26.03944	4.49836	11.49157	4.32397	48.26266
7.51549	8.22346	4.34033	36.76639	3.47717	6.43405	5.88926	7.26286	1127.27730	9.27164	52.19250	1.00000	6.40286	24.37951	7.14274	6.97118	2.18855	40.40851
7.51037	5.76410	6.91979	49.88307	-119.48568	5.93581	9.00589	7.29161	1195.62087	7.92385	55.64092	1.00000	9.33989	40.95791	6.48265	9.15759	2.27762	43.06368
7.44506		5.65063	15.58552	102.42587	6.62673	22.35095	7.11217	1186.67509	6.01039	62.09951	0.00000	6.22122	55.22656	7.15425	9.69673		50.32273
8.14394	7.44325	10.42059	-17.74431	-48.62789	6.61591	23.00623	7.08007	1061.42570	6.49970	50.23746	0.00000	10.26443	48.52973	9.07066	9.04315	2.42812	55.05270
6.63427	4.38256	7.00505	43.32393	5.4584	6.70669	11.07826	8.36605	1199.54823	6.66337	44.20406	1.00000	7.50810	69.78109	7.95527	6.21819	4.04638	56.82305
8.40966	8.91716	9.34444	41.57439	24.71204	8.73907	19.89097	8.34784	1064.14466	8.44735	40.93326	0.00000	10.58314	62.40739	7.77159	8.11299	4.63154	51.75563
8.17368	7.24330	6.68283	37.71715	-122.40433	7.05414	10.05388	8.98339	1112.72476	7.52443	48.78232	1.00000	9.75996	56.17276	6.77960	9.75179	6.58610	62.28796
8.70661	6.03893	6.72120	46.1351	-60.1831	7.08389	8.82317	8.61718	1076.63702	7.72724	32.11871	1.00000	9.49769	52.95192	6.81156	8.66595	4.66194	35.59803
6.54320	7.28593	6.86257	58.1908	40.17171	10.50695	12.50767	7.54073	1157.70390	7.84237	58.37665	1.00000	11.41051	30.60977	7.56599	8.12264	2.15200	35.97263
7.32785	5.65010	6.61577	33.98154	-81.23621	7.23919	6.61165	9.84399	1094.50185	6.86610	56.02474	1.00000	8.51074	45.69077	6.82514	7.64386	13.42462	38.95470
8.20327	8.83021	7.09321	51.40148	-1.32471	6.62345	22.11014	8.40589	1103.04327	7.49205	28.20522	0.00000	7.28601	71.41933	5.69042	8.83598	4.43943	67.88569
7.58404	7.82166	9.36921	41.57721	-93.71133	6.60661	5.32160	8.14418	1116.05159	7.54304	55.52085	0.00000	9.95653	53.59011	9.21812	9.11364	3.09230	36.36326
9.39793	8.43126	6.67779	43.91452	-69.96533	6.92568	1.93959	6.46236	1102.09677	5.83872	56.90233	0.00000	8.02132	55.43960	5.87159	9.04293	1.06569	50.95340
7.37849	6.92922	5.76673	25.75728	75.37991	6.55250	5.07216	9.00359	1199.23294	9.44147	55.31507	1.00000	8.39468	52.94190	6.26955	8.54374	7.09376	38.04451
8.24843	11.51335	7.82448	40.63316	-74.13653	6.72491	8.40349	6.30367	1098.30152	9.61319	70.25581	0.00000	7.84725	42.79488	8.90667	8.19831	1.14781	48.80769
6.95310	7.96207	8.40625	7.83389	-72.47417	8.10508	15.73317	7.10581	1165.43333	6.43183	54.01930	1.00000	5.13421	63.12837	5.85014	8.69576	1.66875	30.19270
7.94375	11.08824	7.79350	48.28259	9.72749	9.09184	13.09096	9.53354	1080.31138	8.45534	47.32650	0.00000	7.67934	17.31484	6.82367	10.51136	11.01077	55.47547
8.32601	8.93626	6.90610	30.46907	70.96699	9.09226	14.43092	7.65927	1101.43532	6.94454	54.94797	1.00000	6.48097	68.20659	5.56854	7.86663	1.78189	28.43212
6.74499	7.05941	10.12343	34.85	117.33333	3.15631	26.17918	7.71417	1186.54245	9.02296	25.22906	0.00000	8.24550	35.58153	11.40316	10.52325	3.00639	63.93440
7.31537	9.57338	7.00473	45.49428	-122.86705	8.81851	21.84077	6.83339	1173.00237	9.19528	62.81044	1.00000	5.40070	21.59515	4.55583	9.25861	2.05038	40.12594
9.51266	5.13572	6.83828	51.40148	-1.32471	8.51575	9.74733	6.38178	1188.97882		61.32993	1.00000	9.66333	53.04627	7.36145	6.99463	1.31032	59.39306
8.03377	7.20270	5.41215	54.60528	18.34717	6.46218	10.66250	6.85827	1187.98479	7.77111	76.66340	0.00000	5.67903	41.06791	6.93454	6.89044	1.51389	57.38570
6.54997	9.22305	5.51397	10.66668	-61.51889	9.46562	7.04649	8.82558	1143.94579	6.14460	33.97658	1.00000	7.32163	68.13095	5.08221	8.66319	5.28756	62.58299
8.56672	5.28524	6.89713	48.15659	28.28489	5.38849	7.26363	7.04959	1098.90360	6.85560	31.48284	1.00000	7.96387	65.26714	7.42734	8.16275	1.46995	47.60476
8.69077	5.24176	7.00531	32.9156	-117.14392	7.00583	13.21029	7.61415	1198.47070	8.17859	72.41538	1.00000	9.15670	30.77040	7.50721	7.63929	2.57410	23.54228
6.10824	11.43290	7.75703	-6.8	39.25	5.66867	24.65144	7.36763	1123.43511	8.18935	50.77410	0.00000	4.56789	52.70616	7.37037	7.77680	1.80563	40.67110
7.85793	7.37661	5.77290	48.8222	2.12213	6.12717	28.53770	8.70531	1160.82994	8.30689	64.73604	1.00000	9.33229	48.17340	6.21791	9.60994	5.51196	49.13447
7.54847	6.26839	6.90906	37.56667	140.11667	7.70920	12.68853	7.53489	1120.29644	8.47093	46.29306	1.00000	9.78455	55.87236	6.78549	8.76826	2.42095	38.72252
7.26299	7.17316	9.19997	31.84568	-102.36764	7.20752	19.79945	7.81865	1116.65863	6.18935	68.48112	1.00000	4.76821	52.64133	5.13588	8.48880	2.67294	20.52189
8.73453	8.83905	6.68382	42.52787	-70.92866	5.95590	17.49263	9.99259	1143.18753	8.54605	47.35931	0.00000	5.57625	41.34883	6.28806	8.94960	16.91382	44.38761
6.87407	10.63326	6.21870	50.75	2.25	7.37957	10.21240	7.92220	1166.18179	7.66473	63.30823	1.00000	6.12386	32.32564	7.38628	9.61288	3.00794	38.71838
6.94336	7.20572	5.20609	54.03876	43.91385	6.22678	9.99804	6.10701	1061.03802	7.29470	48.59485	1.00000	6.89842	54.92128	7.11293	7.48919	0.66952	46.97062
6.92726	3.79344	8.11360	13.8196	100.04427	4.30919	41.27872	7.27985	1068.68644	7.90283	48.39366	1.00000	9.64912	70.67007	5.13468	10.59394	1.53186	42.37246
8.68179	6.11520	6.65464	41.41204	2.18247	12.87688	21.48387	7.84717	1151.71219		35.12010	1.00000	7.43024	45.64528	7.12266	7.15810	2.26188	44.43644
8.35133	10.17189	9.07011	51.64316	-0.36053	9.35226	23.21782	7.19236	1134.23716	9.71508	52.74444	0.00000	9.41075	54.56697	9.65531	8.01127	1.79445	63.23457
6.95557	7.88755	6.66728	41.82143	41.77921	5.88566	34.63467	9.59158	1145.08762	8.05889	39.95253	0.00000	7.24402	46.96538	5.70424	9.38484	10.94385	53.37606
8.65858	11.28874	5.53718	6.15038	6.83042	7.86956	17.47226	7.50880	1111.95280	7.06349	38.86455	1.00000	5.92377	43.64769	6.51793	10.28734	1.84940	38.99938
8.21458	9.45280	8.15511	42.62833	20.89389	7.72199	33.52735	8.91528	1051.95741	7.37718	47.32961	1.00000	4.35067	37.48718	6.75011	9.43784	5.98888	48.20503
7.47551	8.94146	5.60399	18.57677	-72.22625	9.78695	25.33132	8.01025	1071.97984	7.27593	46.03910	1.00000	7.66614	56.75666	5.01213	8.88700	2.75740	55.40349
8.04078	8.02768	9.70347	40.60538	-73.75513	3.06197	12.53820	6.74196	1164.10543	7.43146	63.95255	0.00000	7.49682	51.21075	10.28296	10.64487	1.56965	49.24326
7.37893	9.43199	7.58280	-20.88231	55.4504	9.03536	1.86773	7.52663	1156.86063	7.92724	52.37826	1.00000	4.87611	56.81769	8.12942	9.05600	2.62271	59.25652
7.31149	8.04372	9.76551	34.14251	-118.25508	8.21976	4.96984	4.86065	1082.60157	9.62137	44.69444	0.00000	12.06250	49.28425	7.77294	6.40052	1.20892	52.96737
6.95658	7.88217	5.79833	22.19303	88.18466	8.05711	-1.55947	7.79374	1108.44560	7.77941	40.61664	1.00000	8.48506	54.45858	7.34034	7.96394	3.01696	44.78371
6.30980	7.25951	5.65988	50.80019	7.20769	11.21286	1.32866	8.20629	1169.37783	8.28482		1.00000	8.07004	53.22757	3.63815	7.92677	4.11163	35.60625
8.58205	9.84678	9.53137	44.92934	37.99117	8.78355	-1.76164	6.95581	1100.65097	6.47738	33.23927	0.00000	8.55508	31.54152	10.72387	8.75861	2.55633	23.56233
8.02918	9.74567	8.06193	51.38673	0.30367	7.87729	18.79091	6.67599	1092.93711	9.39197	49.07966	1.00000	4.84176	29.93587	7.40120	8.59063	1.90871	51.20517
8.56104	11.56346	7.77547	53.95278	32.86389	4.96343	34.44219	6.48310	1194.40990	7.70939	61.78172	0.00000	3.71798	51.22936	8.84059	5.46281	1.09759	63.24622
7.66347	8.43746	4.53965	48.43174	17.8031	9.48100	-3.35839	7.90369	1088.88049	7.22313	59.11914	1.00000	9.43628	54.18054	8.88667	9.80962	2.56938	40.47698
8.08937	6.63051	4.89669	36.76639	3.47717	5.18694	24.98517	8.33095	1125.34037		55.68168	1.00000	9.21798	37.41979	7.06835	11.36909	3.76657	39.52781
9.09926	9.69158	7.02813	23.02677	113.13148	7.00313	20.67208	8.74881	1170.73853	8.68500	54.57386	0.00000	6.80331	37.07266	4.42343	11.69072	5.20497	50.43954
7.30291	7.36276	8.24804	31.84568	-102.36764	9.38610	16.04676	8.61487	1080.18929	7.77741	30.17496	1.00000	5.17222	38.43081	5.55335	8.44773	5.54563	22.94864
7.47391	9.20315	8.93122	41.6764	-91.58045	5.70644	15.47155	7.58549	1182.14083	8.49117	54.23841	0.00000	8.59181	31.67671	11.11104	8.29079	1.75273	38.15524
7.91493	9.26554	8.85874	48.06919	11.37703	4.79208	21.10655	7.35560	1127.88318	5.46255	68.78093	0.00000	8.26632	49.33858	9.49029	9.20042	2.03140	49.83196
8.21806	6.36921	6.03108	39.22493	42.85693	9.74934	15.79209	7.93108	1128.96622	8.55269	40.48992	1.00000	8.41349	44.42895	9.02069	4.91514	3.22621	55.80815
6.83312	8.47059	9.59492	25.75728	75.37991	8.64281	19.19844	8.49292	1151.32882	6.51132	65.66406	1.00000	3.04808	17.82757	5.50417	8.43904	4.05449	22.50406
7.58690	7.20027	8.69815	41.82143	41.77921	5.51722	2.24815	6.27935	1091.68039	6.94067	54.38885	0.00000	10.06694	76.46433	8.06016	10.23639	1.54135	33.42330
6.37428	8.96085	6.03500	43.4125	23.225	6.79967	13.41876	8.12425	1098.70864	8.37886	40.44882	0.00000	4.70217	46.00972	7.11787	6.55867	3.24876	45.96825
6.99149	9.40689	3.23892	35.06544	1.04945	9.66698	23.38922	7.95072	1192.58564	6.90856	51.05091	1.00000	9.62763	46.39109	6.00973	10.05624	2.43352	30.87433
6.20205	4.40836	8.06982	54.8421	46.5813	4.26203	12.07595	8.19021	1161.16096	6.28661	40.84675	1.00000		57.40831	5.90827	10.67538	3.81338	49.82355
8.62877	7.54330	4.83314	53.00974	-3.05814	7.22016	14.85915	8.43654	1067.03258	8.77189	50.72300	0.00000	6.57028	37.54624	6.92037	9.38330	4.34883	49.07066
8.30130	8.66177	9.79809	-7.0981	109.3243		11.75464	7.68735	1140.26896	7.42323	42.67654	1.00000	2.56109	24.32019	7.63573	7.81577	2.59810	26.05646
5.33061	7.28260	4.96652	29.98869	122.20488	12.92234	7.53606	8.45654	1099.58078	8.39270	64.49406	1.00000	9.08334	50.84524	9.08633	8.10945	4.90937	42.11149
7.22859	7.37004	9.48678	40.93121	-73.89875	5.28443	24.27555	5.66727	1194.38316	8.23213	59.13463	0.00000	9.19468	35.04204	7.88935	10.97848	0.52424	37.61381
8.04155	6.83963	5.90793	26.2173	-80.22588	5.76759	37.03032	8.74355	1097.09446	6.94643	40.59758	1.00000	8.24198	38.04606	6.96738	8.47331	5.32381	38.74122
8.30445	10.65706	5.32080	28.15112	-82.46148	6.79415	24.25918	7.65478	1151.53586	9.02257	70.74833	0.00000	5.41866	60.02145	9.47931	8.19643	2.29577	29.45545
7.10268	8.16711	7.67916	50.50301	13.63617	8.88567	-9.48756	5.33549	1117.05237	7.07701	65.62384	1.00000	5.52494	55.71316	5.14157	8.22322	0.56733	46.52257
6.81182	9.17182	6.30514	50.80019	7.20769	6.31360	26.12173	8.94982	1077.58319	7.18487	58.42050	0.00000	6.91676	48.43582	6.57708	10.21618	6.72271	73.08437
6.78423	6.85566	5.31750	-10.90889	-37.03861	5.61096	14.43049	7.82052	1181.72050	9.20155	49.99898	1.00000	6.29219	49.72092	7.44395	7.01806	2.98051	52.61781
8.10699	8.89205	9.62265	6.15038	6.83042	7.87837	23.18079	6.38172	1082.31981	7.94321	30.69519	0.00000	7.83503	62.80140	9.96585	11.03408	1.65984	57.35528
8.35016	4.76089	7.24029	22.98212	-80.58556	5.81010	28.30775	7.46116	1100.27752	9.01650	51.88363	1.00000	9.10966	43.24034	6.72274	8.39032	2.19334	50.01166
8.37680	11.80719	7.71233	42.28639	18.84	7.62845	10.06919	6.59400	1197.97814	6.21127	58.26302	0.00000	4.58860	34.27580	5.54737	8.87968	1.06907	43.02561
6.46152	8.25977	5.49346	42.7	27.25	7.51061	25.40380	7.25947	1060.77540	7.81103	26.06632	0.00000	4.98142	46.04073	5.64591	8.11154	2.48800	48.81506
10.10371	9.95255	8.95257	56.9083	60.8019	7.08370	16.65431	8.35733	1151.83782	8.50152	59.25143	0.00000	9.05075	52.30027	8.41318	8.42318	2.82369	41.64381
9.55832	6.65756	6.78727	-13.7804	34.4587	5.21481	26.37472	9.44392	1149.94239	5.75090	39.52498	1.00000	9.24538	45.35880	7.28382	10.05145	10.20962	51.57704
7.42457	10.78468	9.40745	47.98372	10.18527	4.23279	28.11462	6.56022	1115.81517	7.61773	74.56584	0.00000	6.13085	48.88796	5.56581	8.22154	1.78976	45.60418
7.21551	6.64746	6.38813	25.87972	-97.50417	6.69510	12.02086	8.53195	1176.15431	8.15128	64.49907	1.00000	9.48351	62.76205	5.62307	9.73036	4.46110	30.25407
9.73596	7.41707	4.66188	56.9083	60.8019	11.43236	11.59677	8.48080	1050.83880	7.96685	19.07259	1.00000	8.71974	33.33784	7.77999	9.23803	4.58986	44.92249
8.35936	9.48253	9.06416	-10.91722	-37.65	6.39289	10.86458	7.91385	1118.05502	9.15610	57.94955	0.00000	9.29051	47.70686	8.60258	8.05540	2.75549	39.44762
7.99946	9.95923	8.05627	50.82882	-0.32247	5.34852	24.06758	7.22299	1065.49064	7.54430	65.96083	0.00000	6.64114	28.39732	7.59859	6.67903	1.89241	66.46679
7.67185	9.10087	4.65181	49.5099	6.74549	6.89790	25.24141	6.54480	1086.89590	8.48080	31.97510	1.00000	6.12803	35.64309	7.90751	10.53218	1.09705	52.13308
8.28985	9.16662	7.82772	-25.54073	152.70493	4.29648	19.91054	8.38361	1113.09945	7.17197	62.20535	0.00000	6.05679	49.04170	7.06716	7.15103	3.38087	45.68560
7.68046	10.65786	6.54020	48.28259	9.72749	9.23158	7.76468	6.57719	1122.10942	6.57745	58.95928	1.00000	5.56973	54.46438	7.42149	9.35858	1.31318	52.63924
