location	longitude	latitude	code	QoS	revision
Asia/Phnom_Penh	102.56365	13.65805	KH	accep	01 Jun 2021
Asia/Kolkata	84.63445	24.81757	IN	average	06/21/2018, 00:00:00
Pacific/Auckland	171.25364	-44.39672	NZ	building	2020/01/04
Europe/Rome	7.60872	43.78956	IT	accep	2012/11/06
Asia/Shanghai	113.13148	23.02677	CN	accep	15 Feb 2020
Africa/Porto-Novo	2.59753	8.88649	BJ	average	2014-05-02
Europe/Paris	3.87723	43.61092	FR	good	02 Apr 2022
Europe/Berlin	8.91229	49.13645	DE	average	2015-07-12
Asia/Tokyo	142.45778	44.35056	JP	excellent	21 Jan 2016
Europe/London	-1.5443	50.75767	GB	accep	2013/01/06
Asia/Shanghai	122.20488	29.98869	CN	excellent	11/27/2019, 00:00:00
Europe/Berlin	7.02238	52.21099	DE	average	2016/03/31
America/Toronto	-80.38297	42.8334	CA	excellent	2021/07/03
America/Chicago	-87.882	41.85059	US	accep	2018/05/19
Asia/Tokyo	140.11667	37.56667	JP	excellent	2022/06/06
Asia/Kolkata	88.58	23.18	IN	good	2021-11-22
Asia/Kolkata	72.93924	18.87813	IN	good	09/24/2014, 00:00:00
Europe/Saratov	46.04833	51.40944	RU	excellent	2013-07-03
Europe/Madrid	2.35739	41.63976	ES	accep	16 Jun 2022
Europe/Paris	8.73812	41.91886	FR	good	17 Dec 2018
Europe/Brussels	4.07601	50.88506	BE	accep	22 Oct 2017
America/Sao_Paulo	-49.27306	-25.42778	BR	accep	2020-01-31
Europe/London	-5.53715	50.11861	GB	average	01 Apr 2019
Europe/Moscow	33.2525	57.97472	RU	maintenance	02/08/2022, 00:00:00
Europe/London	-2.52398	53.19146	GB	excellent	2019/01/25
Europe/Rome	8.62118	45.44694	IT	maintenance	31 Jul 2015
Europe/Skopje	20.91361	41.92361	MK	accep	04/13/2014, 00:00:00
Europe/Oslo	16.54165	68.79833	NO	building	08 Aug 2014
Asia/Tehran	51.0193	35.6803	IR	good	12 Oct 2014
Africa/Dar_es_Salaam	38.66667	-6.25	TZ	building	04/12/2014, 00:00:00
Asia/Shanghai	125.51176	42.64031	CN	maintenance	2022-03-24
Asia/Manila	121.96361	6.95194	PH	building	01/17/2015, 00:00:00
Europe/Warsaw	15.00835	51.14942	PL	excellent	2012-10-09
Europe/Brussels	4.21372	51.12794	BE	excellent	2017/03/08
Asia/Bangkok	99.96667	8.43333	TH	building	12/28/2019, 00:00:00
Asia/Yekaterinburg	57.3552	51.4781	RU	excellent	21 May 2022
Asia/Damascus	38.28402	34.5624	SY	average	2022/03/22
America/New_York	-69.96533	43.91452	US	good	25 Jan 2018
Europe/Moscow	35.90057	56.85836	RU	accep	2019/09/19
Europe/Zagreb	16.43915	43.50891	HR	good	01/17/2020, 00:00:00
Europe/Paris	-1.05366	43.71032	FR	excellent	08/06/2019, 00:00:00
Asia/Kolkata	88.58	23.18	IN	maintenance	01/26/2017, 00:00:00
Europe/Minsk	31.3237	52.4089	BY	good	2019-03-05
America/Toronto	-73.81669	45.44868	CA	building	04 Apr 2019
Asia/Kolkata	88.1453	22.4711	IN	accep	08/29/2020, 00:00:00
Europe/Berlin	6.9747	50.82709	DE	excellent	19 Sep 2014
America/Los_Angeles	-122.86705	45.49428	US	average	2019/06/30
Europe/London	-0.91979	51.42708	GB	good	2021/11/10
America/New_York	-73.47429	40.68066	US	excellent	2020/06/28
Asia/Kuala_Lumpur	103.81667	1.6	MY	accep	2021-04-17
Africa/Addis_Ababa	37.55	6.03333	ET	good	2015-07-01
Asia/Jerusalem	34.75699	31.39547	IL	excellent	11 Nov 2019
Europe/Skopje	21.32778	42	MK	good	2017-06-19
Europe/Saratov	46.04833	51.40944	RU	good	2017-10-17
America/New_York	-74.96933	39.71734	US	excellent	11/04/2012, 00:00:00
Africa/Kampala	32.88667	3.27833	UG	accep	21 Feb 2014
Asia/Yekaterinburg	53.47103	54.48147	RU	good	2021/09/11
Asia/Yekaterinburg	57.3552	51.4781	RU	accep	2020/09/18
America/New_York	-73.95097	40.72371	US	maintenance	2012/10/10
Africa/Accra	-2.31938	6.46346	GH	excellent	07/06/2021, 00:00:00
Europe/Madrid	-1.60452	42.06166	ES	average	09 Mar 2015
Europe/Istanbul	34.37389	40.1675	TR	good	2021-11-17
Europe/Berlin	9.5926	52.86147	DE	accep	2017/03/01
America/Bogota	-72.47417	7.83389	CO	average	2017-11-01
America/Caracas	-70.20749	8.62261	VE	average	2016-11-23
America/Havana	-82.00919	23.04419	CU	good	2014/03/04
Australia/Melbourne	145.13643	-38.16604	AU	building	02 Jun 2020
America/New_York	-77.96389	39.45621	US	accep	2015/03/03
Europe/London	-2.52398	53.19146	GB	average	20 Nov 2013
Asia/Kolkata	71.30633	21.34222	IN	accep	2021-01-01
Europe/Madrid	3.1631	41.91738	ES	accep	2021-04-27
Europe/Berlin	8.61839	49.68369	DE	average	2020/03/06
Africa/Tripoli	10.18003	24.96334	LY	maintenance	2013-09-10
Europe/Zurich	6.10237	46.18396	CH	maitennce	05/02/2014, 00:00:00
Europe/Berlin	8.64409	48.07667	DE	average	22 Aug 2022
Asia/Bangkok	99.95469	13.51825	TH	average	21 Aug 2017
Asia/Kolkata	77.5609	11.00599	IN	accep	12/19/2017, 00:00:00
Asia/Yerevan	44.7662	40.49748	AM	excellent	29 Jun 2019
America/Montevideo	-56.52361	-33.38056	UY	average	04 Dec 2014
Europe/Berlin	8.63333	52.2	DE	average	2016-09-09
Asia/Seoul	126.665	36.6009	KR	good	2013-06-08
Europe/Berlin	8.63333	52.2	DE	building	2017/02/22
Asia/Tokyo	138.31667	36.65	JP	average	2020/03/13
America/New_York	-76.72803	39.32288	US	good	2019/10/16
America/New_York	-71.29144	41.54566	US	accep	2013/10/26
America/Mexico_City	-99.32556	19.32889	MX	accep	2021/10/31
Asia/Yekaterinburg	60.8019	56.9083	RU	excellent	2016/07/29
Europe/Paris	1.00288	49.28669	FR	accep	02/09/2017, 00:00:00
Europe/Istanbul	29.26639	37.58105	TR	building	2012-11-25
America/Los_Angeles	-120.93549	37.73604	US	maintenance	23 Jul 2022
America/Chicago	-89.99038	38.58894	US	excellent	2017-05-11
Indian/Reunion	55.4504	-20.88231	RE	accep	2018/04/19
Asia/Tokyo	138.31667	36.65	JP	excellent	2020/12/19
America/Porto_Velho	-63.90389	-8.76194	BR	accep	01 Oct 2013
Asia/Almaty	77.0202	43.41949	KZ	good	2015/12/13
Europe/Zaporozhye	38.15035	49.41029	UA	accep	23 Oct 2017
Europe/Istanbul	34.37389	40.1675	TR	accep	2017-01-24
Europe/Helsinki	24.6522	60.2052	FI	building	2021-12-28
America/Toronto	-79.2663	43.86682	CA	building	2015/05/12
Africa/Abidjan	-3.59625	5.27247	CI	excellent	2022-04-23
America/Los_Angeles	-122.86705	45.49428	US	excellent	04 Sep 2014
Africa/Douala	10.7	4.96667	CM	good	04 Jul 2021
America/Los_Angeles	-120.93549	37.73604	US	accep	2022/01/08
Europe/Malta	14.51472	35.89972	MT	building	2019-05-09
Europe/Warsaw	18.30056	50.5107	PL	excellent	15 Sep 2015
America/Los_Angeles	-120.93549	37.73604	US	average	2021/10/29
Europe/London	1.15597	51.78967	GB	good	11/21/2017, 00:00:00
Africa/Algiers	3.55665	36.72544	DZ	maitennce	2012/12/10
Europe/Istanbul	40.74357	37.31309	TR	good	06/26/2022, 00:00:00
America/Phoenix	-111.89903	33.50921	US	maintenance	2017/02/19
Europe/Berlin	8.96317	48.35149	DE	accep	01/18/2022, 00:00:00
Asia/Karachi	72.54064	31.82539	PK	excellent	2020-04-06
Asia/Manila	120.4861	16.0438	PH	good	2019/07/31
Asia/Shanghai	120.14278	32.50611	CN	maintenance	25 Nov 2014
Asia/Jakarta	104.09701	-1.26424	ID	good	2017-11-07
America/Recife	-35.71667	-8.66667	BR	building	10 Apr 2022
Europe/Rome	9.29109	45.39402	IT	maintenance	2021-12-28
Asia/Manila	123.62494	12.37169	PH	accep	03 Jan 2018
America/Sao_Paulo	-42.98194	-22.53722	BR	building	08/20/2017, 00:00:00
America/Chicago	-102.36764	31.84568	US	good	05/07/2022, 00:00:00
America/Sao_Paulo	-48.59278	-23.7975	BR	good	08/04/2021, 00:00:00
America/New_York	-73.78458	41.0051	US	accep	2015/08/07
Asia/Manila	121.12251	14.62578	PH	accep	16 Jun 2018
America/Phoenix	-111.89903	33.50921	US	good	2013-04-19
Europe/London	-1.06667	53.78333	GB	excellent	11 Jun 2021
America/Bogota	-74.26419	4.73245	CO	good	05 Dec 2021
America/Chicago	-91.73625	35.25064	US	good	2017-05-20
Australia/Sydney	146.05093	-34.28853	AU	building	09/17/2022, 00:00:00
Europe/Rome	16.50104	41.24264	IT	accep	2018-05-16
America/New_York	-78.04471	34.25628	US	average	2017-02-24
Europe/London	-2.12139	52.48173	GB	excellent	05 Jun 2014
Europe/Berlin	6.8625	51.47805	DE	maintenance	08/27/2022, 00:00:00
Europe/London	-3.05814	53.00974	GB	good	06/24/2015, 00:00:00
America/Chicago	-88.31476	36.61033	US	excellent	18 Nov 2020
America/Chicago	-94.41551	39.09112	US	building	06/18/2015, 00:00:00
Asia/Shanghai	122.22833	40.66482	CN	excellent	21 Feb 2014
Europe/Berlin	7.02238	52.21099	DE	maintenance	2016-03-02
Asia/Kolkata	78.25795	9.82564	IN	excellent	2013/02/14
Europe/London	-3.05	53.81667	GB	maintenance	09/09/2021, 00:00:00
Asia/Damascus	36.7138	35.95664	SY	accep	14 Aug 2016
Asia/Shanghai	115.70111	37.73222	CN	building	2018-12-06
America/New_York	-73.89125	40.67705	US	average	26 Feb 2018
Asia/Karachi	75.06583	32.17629	PK	excellent	2020-05-05
Asia/Tokyo	138.89585	36.33011	JP	excellent	26 Nov 2019
Africa/Nairobi	35.59642	3.11988	KE	building	03/24/2019, 00:00:00
Asia/Shanghai	118.53333	27.92333	CN	good	2021-08-24
America/New_York	-74.13653	40.63316	US	building	31 Jul 2019
Africa/Algiers	4.85668	36.27462	DZ	good	2020-12-20
Europe/Amsterdam	5.22778	51.955	NL	maintenance	2017/01/21
Asia/Tokyo	135.31667	34.25	JP	building	2015-04-13
Africa/Maputo	35.34722	-23.85972	MZ	good	2019-02-12
Europe/Belgrade	20.89389	42.62833	XK	good	2014/08/24
Europe/London	0.93333	52.68333	GB	average	2020-02-29
Europe/Rome	16.50104	41.24264	IT	excellent	2016-01-10
America/Chicago	-87.70172	41.72059	US	accep	2014-11-18
Indian/Antananarivo	44.53333	-22.9	MG	average	23 Jul 2019
Europe/Rome	12.6723	41.72063	IT	accep	12/09/2015, 00:00:00
America/Bahia	-38.94722	-15.675	BR	excellent	16 Oct 2020
Europe/Moscow	38.07083	54.90083	RU	excellent	2012/11/13
Asia/Jakarta	113.69785	-7.73379	ID	good	26 Nov 2015
Europe/Paris	2.29275	48.79325	FR	accep	2019/01/27
Europe/Vilnius	24.75	55.25	LT	good	2016/09/15
America/Mazatlan	-105.36369	22.49396	MX	good	01/11/2022, 00:00:00
Africa/Lagos	5.06258	7.50251	NG	building	30 Oct 2018
Europe/London	-2.09814	57.14369	GB	building	09/27/2016, 00:00:00
Europe/Berlin	6.26667	51.21667	DE	good	2022/08/22
Africa/Douala	11.5	3.51667	CM	good	2019-08-09
America/Sao_Paulo	-52.51028	-28.81833	BR	average	2021/04/04
Asia/Kolkata	73.85535	18.51957	IN	good	2017-01-25
Europe/Madrid	-1.325	38.47917	ES	excellent	2013/02/25
America/Chicago	-87.45476	41.47892	US	maintenance	25 Oct 2017
Asia/Kolkata	78.14797	15.45144	IN	excellent	2014/11/06
America/Merida	-89.66123	21.28306	MX	good	2022-03-20
Europe/Berlin	9.17702	48.78232	DE	accep	2019-04-27
America/New_York	-74.38987	40.65538	US	average	2013-05-11
America/Chicago	-97.54667	30.5427	US	accep	2013-09-11
Asia/Kolkata	88.18466	22.19303	IN	accep	2013/05/30
Africa/Conakry	-13.68778	9.535	GN	excellent	2014/02/28
Asia/Manila	120.89694	14.95472	PH	average	06 Aug 2015
Asia/Kolkata	85.94001	25.49043	IN	average	2014/08/08
America/Chicago	-86.78777	33.44872	US	accep	28 Feb 2016
Africa/Lagos	6.26764	4.92675	NG	excellent	2015-10-19
Africa/Casablanca	-6.90656	33.92866	MA	maintenance	11/10/2020, 00:00:00
America/New_York	-69.96533	43.91452	US	excellent	08/30/2016, 00:00:00
Europe/Paris	2.18967	48.8765	FR	average	07/03/2022, 00:00:00
Europe/Rome	17.80774	40.55851	IT	excellent	2013/04/15
Africa/Tunis	9.37082	36.08497	TN	maintenance	2015/07/18
Asia/Tehran	48.26258	33.86419	IR	accep	2013/06/03
Africa/Algiers	2.31889	35.21222	DZ	excellent	04 Jul 2016
Europe/Moscow	53.26023	54.39304	RU	maintenance	2019/05/01
Europe/Skopje	20.91361	41.92361	MK	average	21 Feb 2018
Asia/Karachi	74.12286	30.76468	PK	good	08/03/2017, 00:00:00
Europe/Kiev	25.34244	50.75932	UA	accep	13 Sep 2022
Asia/Tashkent	72.34424	40.78206	UZ	good	10/13/2015, 00:00:00
America/Los_Angeles	-122.2608	38.17492	US	accep	28 Nov 2013
Europe/Madrid	-8.2194	43.48961	ES	average	2015-12-23
Asia/Kolkata	91.00632	26.32293	IN	good	2016/02/11
Europe/Rome	11.04979	44.59445	IT	average	01 Jan 2020
Africa/Addis_Ababa	37.55	6.03333	ET	excellent	2017/02/05
Asia/Shanghai	122.74754	40.85158	CN	average	2020/02/15
America/Chicago	-86.77917	36.02506	US	average	2016/04/17
Asia/Jakarta	110.8405	-6.8048	ID	average	12/07/2017, 00:00:00
Africa/Algiers	1.04945	35.06544	DZ	building	2013-06-13
Asia/Jakarta	103.61667	-1.6	ID	average	08 Mar 2014
Asia/Manila	124.3697	9.6531	PH	accep	2014/05/20
Asia/Shanghai	118.53333	27.92333	CN	excellent	12/24/2012, 00:00:00
America/Mexico_City	-93.11308	16.75973	MX	excellent	2015/04/13
Europe/London	0.75	52.41667	GB	good	2022-05-28
Europe/London	-2.09814	57.14369	GB	good	2017-09-29
America/New_York	-77.4286	39.00622	US	accep	2018/05/05
Europe/Istanbul	27.18052	39.12074	TR	good	07 Jul 2016
Asia/Karachi	71.57118	32.87533	PK	good	2013/08/05
Asia/Kolkata	78.27539	12.95629	IN	average	04/26/2014, 00:00:00
Asia/Tashkent	69.67639	41.29444	UZ	building	23 Jun 2018
Europe/Warsaw	18.34717	54.60528	PL	good	2021-09-13
Europe/Warsaw	18.30056	50.5107	PL	average	17 Dec 2017
Europe/Amsterdam	6.92917	52.31333	NL	building	2021/05/04
America/Sao_Paulo	-48.62789	-17.74431	BR	good	24 Jun 2019
Asia/Manila	121.96361	6.95194	PH	accep	24 Sep 2018
America/Chicago	-102.36764	31.84568	US	good	30 May 2021
Asia/Yangon	98.50893	16.68911	MM	excellent	2016/02/27
America/New_York	-73.89875	40.93121	US	good	2019-11-05
America/New_York	-73.97069	40.64621	US	good	08/16/2016, 00:00:00
Europe/Brussels	4.82313	51.24197	BE	accep	09/28/2013, 00:00:00
America/New_York	-73.97069	40.64621	US	accep	24 Jun 2021
America/Costa_Rica	-85.43772	10.63504	CR	good	2017/03/05
Asia/Kolkata	78.14797	15.45144	IN	building	2018/04/20
Asia/Shanghai	115.04814	30.24706	CN	maintenance	22 Dec 2014
America/New_York	-82.45426	27.09978	US	accep	03 Mar 2016
Europe/Warsaw	16.86194	54.58048	PL	accep	2019/11/21
Asia/Jerusalem	34.8732	32.05971	IL	good	09/25/2015, 00:00:00
America/Los_Angeles	-122.40433	37.71715	US	accep	10/29/2017, 00:00:00
America/New_York	-82.90375	32.54044	US	good	04/10/2020, 00:00:00
Europe/Moscow	33.72798	53.53395	RU	building	2016-05-28
Africa/Kampala	32.88667	3.27833	UG	building	01/30/2015, 00:00:00
Asia/Shanghai	111.73861	35.20889	CN	accep	09/27/2013, 00:00:00
America/Los_Angeles	-122.24092	47.4943	US	accep	2017/12/15
America/New_York	-71.08977	41.9001	US	excellent	2016/06/24
Europe/Berlin	10.03988	53.6052	DE	building	2022/05/26
Asia/Tokyo	139.55722	36	JP	building	17 May 2022
Asia/Shanghai	105.89333	34.56861	CN	excellent	2016/05/27
Africa/Nairobi	36.36339	0.03813	KE	building	2015-08-08
America/New_York	-72.97261	43.61062	US	good	2015-11-27
America/New_York	-76.43941	39.33427	US	average	11/22/2013, 00:00:00
Asia/Tokyo	137.23333	35.8	JP	maintenance	09/16/2019, 00:00:00
Europe/Moscow	46.10925	43.35071	RU	average	01/24/2015, 00:00:00
America/Bogota	-72.47417	7.83389	CO	average	2014-05-16
America/Mexico_City	-97.35992	19.8173	MX	excellent	06 Sep 2015
America/Mexico_City	-98.11889	19.04222	MX	building	2014-08-23
Europe/Minsk	25.8191	53.5942	BY	excellent	2019/06/25
Asia/Karachi	73.97117	31.96258	PK	accep	2017/11/21
America/Chicago	-87.45476	41.47892	US	average	2014/02/08
America/Los_Angeles	-117.54866	33.93113	US	accep	16 Jun 2022
America/Havana	-82.00919	23.04419	CU	average	10 May 2014
Europe/Zaporozhye	38.15035	49.41029	UA	excellent	2022/09/20
America/Sao_Paulo	-48.59278	-23.7975	BR	maintenance	11/13/2021, 00:00:00
Asia/Tashkent	72.34424	40.78206	UZ	good	11 Mar 2021
Asia/Manila	121.12251	14.62578	PH	good	2020-07-04
Asia/Kolkata	74.85849	31.28092	IN	average	2020/07/27
Africa/Lagos	4.74161	7.62789	NG	building	02/17/2020, 00:00:00
Europe/Kiev	33.9162	51.67822	UA	accep	24 Aug 2022
Asia/Kolkata	85.94001	25.49043	IN	maintenance	2015/10/13
Asia/Yangon	97.01124	17.30858	MM	good	28 Mar 2014
America/Chicago	-86.78777	33.44872	US	good	2014/12/17
Asia/Manila	124.3697	9.6531	PH	good	02 Oct 2018
America/New_York	-84.50855	39.08367	US	accep	07/25/2018, 00:00:00
Asia/Jakarta	103.61667	-1.6	ID	good	17 Aug 2022
Asia/Manila	123.99333	12.97389	PH	building	28 Mar 2020
Africa/Kigali	30.4347	-1.9487	RW	maintenance	07/03/2020, 00:00:00
Europe/Amsterdam	5.58472	52.14	NL	accep	2014/12/23
America/New_York	-73.95958	40.57788	US	average	06 Aug 2021
Pacific/Auckland	171.25364	-44.39672	NZ	excellent	2016/12/19
Europe/Berlin	13.28702	52.4581	DE	maintenance	2021/10/16
Asia/Tokyo	138.89585	36.33011	JP	excellent	2013/02/17
Europe/Moscow	34.34691	61.78491	RU	excellent	11 Jun 2018
America/New_York	-73.89875	40.93121	US	average	30 Mar 2020
Europe/Madrid	-0.18333	38.96667	ES	maintenance	2015-05-12
America/New_York	-73.97069	40.64621	US	average	03 Dec 2016
America/Halifax	-63.13414	46.23899	CA	accep	18 Aug 2015
Asia/Karachi	75.06583	32.17629	PK	average	08/20/2015, 00:00:00
Europe/Zurich	8.52462	47.30997	CH	accep	2014/01/01
Asia/Krasnoyarsk	89.20083	55.54028	RU	good	2017/11/22
Pacific/Auckland	178.00417	-38.65333	NZ	good	2018/04/19
America/Mexico_City	-94.91386	17.94979	MX	excellent	09/18/2014, 00:00:00
Europe/Paris	2.25	50.75	FR	good	21 Apr 2020
Europe/Rome	14.01481	42.67164	IT	good	2012/12/06
Asia/Yangon	97.01124	17.30858	MM	excellent	10/05/2018, 00:00:00
Asia/Manila	123.62494	12.37169	PH	excellent	04 Oct 2013
America/Guayaquil	-79.00453	-2.90055	EC	good	05/14/2021, 00:00:00
Asia/Shanghai	117.65694	36.19278	CN	accep	07 Sep 2016
Asia/Tokyo	142.45778	44.35056	JP	good	2020-04-08
Europe/Berlin	10.98461	48.35693	DE	maintenance	2014/03/17
Africa/Dar_es_Salaam	38.01667	-5.41667	TZ	maintenance	2017-06-25
Europe/Paris	2.29275	48.79325	FR	building	11/18/2015, 00:00:00
Asia/Kolkata	74.4818	30.21121	IN	excellent	11 Jul 2013
Europe/Moscow	47.1192	42.819	RU	accep	11/02/2020, 00:00:00
Europe/Kiev	33.9162	51.67822	UA	building	2021-03-20
Europe/London	-1.06667	53.78333	GB	excellent	11/08/2017, 00:00:00
America/Port_of_Spain	-61.51889	10.66668	TT	excellent	2021/05/20
Asia/Tehran	51.0193	35.6803	IR	accep	08/03/2015, 00:00:00
Asia/Kolkata	76.56719	24.41288	IN	average	12/15/2013, 00:00:00
Europe/Istanbul	42.85693	39.22493	TR	good	2022/05/18
Asia/Tashkent	72.34424	40.78206	UZ	good	2021-07-12
Asia/Tokyo	135.6	34.61667	JP	accep	05 Nov 2018
Asia/Manila	120.5875	16.455	PH	maintenance	10 Aug 2017
Europe/Moscow	35.90057	56.85836	RU	excellent	2019/08/10
Europe/Vilnius	24.75	55.25	LT	building	01/22/2015, 00:00:00
Europe/Kiev	30.96755	49.07866	UA	maintenance	2013-04-24
Africa/Lagos	4.74161	7.62789	NG	excellent	2018/11/20
Africa/Lagos	4.18333	7.6	NG	good	2015/09/21
Europe/Warsaw	18.34717	54.60528	PL	average	08/06/2021, 00:00:00
Africa/Algiers	2.95924	36.76775	DZ	accep	19 May 2015
Europe/Rome	8.88104	45.79377	IT	good	09 May 2021
America/Toronto	-73.81669	45.44868	CA	good	21 Oct 2012
Asia/Tehran	51.49621	36.64852	IR	average	2018/10/06
Asia/Shanghai	120.82747	37.30553	CN	maintenance	2021/10/21
America/Martinique	-60.94228	14.67751	MQ	good	12 Dec 2014
Europe/Belgrade	19.61222	44.97639	RS	building	2014/03/24
America/Recife	-35.71667	-8.66667	BR	excellent	2017/09/17
Indian/Antananarivo	47.31667	-19.65	MG	average	08 Jul 2019
America/Montevideo	-56.52361	-33.38056	UY	excellent	2021-05-14
Europe/Vienna	15.46667	47.05	AT	average	03 Jan 2022
Europe/Samara	51.3452	53.37596	RU	accep	04/06/2020, 00:00:00
Australia/Melbourne	145.18333	-37.9	AU	excellent	2018/10/16
Europe/London	-4.22398	57.47908	GB	average	2014-12-21
Asia/Shanghai	117.4831	27.34089	CN	maintenance	2019-07-06
Africa/Casablanca	-6.00137	33.42585	MA	good	2017-08-20
Australia/Sydney	150.99292	-33.75881	AU	accep	09/22/2017, 00:00:00
America/Bogota	-73.9614	10.15031	CO	building	05/18/2017, 00:00:00
America/Matamoros	-97.50417	25.87972	MX	good	2019-07-10
America/Los_Angeles	-121.75689	36.91023	US	accep	10/17/2015, 00:00:00
America/Mexico_City	-103.5687	20.22816	MX	building	08/29/2020, 00:00:00
Asia/Shanghai	116.11768	24.28859	CN	good	05/23/2018, 00:00:00
Asia/Kolkata	85.83334	20.88197	IN	good	2013/04/24
Europe/London	-0.33525	53.7446	GB	good	2017-09-26
Asia/Kabul	65.93249	36.21544	AF	average	29 Dec 2019
Europe/Berlin	10.03988	53.6052	DE	excellent	2014-03-23
Asia/Kolkata	78.40102	27.9247	IN	maintenance	2017-12-19
Asia/Karachi	72.54566	29.69221	PK	accep	10/18/2014, 00:00:00
Asia/Dhaka	89.11943	23.9028	BD	excellent	12/24/2021, 00:00:00
Europe/Brussels	3.16667	50.8	BE	good	2016/08/16
Asia/Tokyo	135.6	34.61667	JP	average	18 Jun 2016
Europe/London	-1.47217	53.46506	GB	excellent	16 May 2020
America/Los_Angeles	-119.0376	34.21639	US	excellent	2013-08-09
Asia/Damascus	38.28402	34.5624	SY	good	2016/08/05
Europe/Prague	13.63617	50.50301	CZ	accep	22 Aug 2016
Europe/Berlin	6.9747	50.82709	DE	good	2018-12-09
America/Bahia	-38.94722	-15.675	BR	average	23 Nov 2012
Asia/Urumqi	86.00214	46.51872	CN	excellent	08/28/2014, 00:00:00
Africa/Cairo	31.4976	26.67319	EG	excellent	05 Mar 2014
Asia/Kolkata	74.83554	14.62072	IN	maintenance	03/10/2020, 00:00:00
America/Mazatlan	-105.36369	22.49396	MX	good	2015-10-27
Asia/Manila	120.57224	15.72892	PH	excellent	12/22/2020, 00:00:00
Europe/Rome	16.50104	41.24264	IT	good	02 Oct 2019
Africa/Algiers	4.62744	36.06386	DZ	accep	04/08/2020, 00:00:00
Europe/Berlin	11.32903	50.9803	DE	average	08/29/2020, 00:00:00
Africa/Blantyre	34.4587	-13.7804	MW	accep	2022-07-26
Asia/Karachi	72.54566	29.69221	PK	good	04 Apr 2013
Europe/Rome	14.72443	36.92574	IT	excellent	2022-02-04
America/Caracas	-67.33122	10.22677	VE	accep	2022-01-24
Europe/London	1.26738	51.84819	GB	excellent	2018-08-22
Europe/London	-5.53715	50.11861	GB	good	2017-12-28
America/Tegucigalpa	-86.57415	15.48131	HN	excellent	01 Nov 2013
Europe/Madrid	-6.03731	37.35813	ES	average	05/27/2022, 00:00:00
Europe/Rome	12.70038	45.9836	IT	excellent	05/04/2014, 00:00:00
America/Chicago	-96.39774	30.16688	US	accep	2022/09/06
Asia/Shanghai	109.22921	34.65918	CN	average	06 Jan 2016
America/New_York	-77.4286	39.00622	US	good	04/23/2013, 00:00:00
America/Fortaleza	-42.29444	-4.24444	BR	excellent	18 Apr 2022
America/New_York	-73.78458	41.0051	US	accep	2013-06-20
Asia/Kolkata	78.15794	12.1277	IN	excellent	2020/09/15
Asia/Makassar	117.59152	3.31332	ID	accep	22 Dec 2014
America/Chicago	-88.27205	44.27804	US	average	01 May 2021
