PM10	PM2.5	NOx	H2CO	C2H3NO5	latitude	SO2	CH4	longitude	warning	Pb	NH3	CO	TEMP	PAHs	PRES	O3	CFCs
7.70218	9.40312	6.41548	51.67888	1.52227	41.63976	10.66741	9.93832	2.35739	1.00000	57.84497	8.02363	7.95032	9.41170	6.26398	1166.93546	9.42606	45.80425
5.22431	8.49616	6.12803	60.67274	0.70000	41.27194	9.10243	9.34249	123.17306	0.00000	59.24439	8.75294	9.01096	20.41550	8.09588	1154.48278	6.26590	32.40570
7.39498	7.73376	6.75101	52.96265	1.00876	3.51667	9.49426	9.21396	11.5	1.00000	50.48657	9.29344	6.33352	8.99430	6.34012	1110.71221	8.50063	37.23328
7.16354	9.04916	7.28357	53.64492	1.40133	52.47774	7.30485	10.74016	10.5511	1.00000	27.96244	9.67013	7.44922	14.10912	5.52484	1061.64320	10.22947	69.26969
6.91348	7.61205	7.47156	34.09841	0.50426	32.54044	8.38340	6.23240	-82.90375	0.00000	51.92907	8.13426	6.79363	19.88947	11.26795	1143.67078	10.70693	53.57603
6.09910	6.89557	8.21857	50.73136	0.72528	52.2	7.43881	5.10121	8.63333	0.00000	50.68222	9.18258	10.82981	39.68680	4.48053	1080.61467	9.59647	60.49196
7.46412	7.68388	7.91730	77.41581	1.19427	-8.05389	7.03728	7.67481	-34.88111	1.00000	63.66475	8.44313	8.34493	14.81304	7.33515	1059.62025	6.34728	44.84038
5.80519	7.07392	6.12129	61.95093	1.00223	45.99194	7.92967	6.53352	29.41824	1.00000	50.24525	8.61002	9.43191	0.77213	5.66529	1117.20215	6.50515	38.51270
7.76046	6.97694	7.62177	47.42667	1.60079	52.41667	8.64090	7.03466	0.75	1.00000	24.23548	7.93636	9.77957	20.69094	7.98146	1086.21348	7.73939	70.86475
8.93642	8.33616	9.62474	44.92387	4.41157	12.37169	9.10591	3.14849	123.62494	0.00000	59.71021	8.62106	5.74303	-7.15209	11.88209	1151.85475	13.49412	50.53544
5.92405	7.94689	7.74052	78.22339	0.80670	32.65246	6.78683	7.50437	51.67462	1.00000	52.37233	6.21558	9.76556	7.61270	8.26850	1082.76413	7.42397	68.73413
7.50848	9.12711	8.97998	66.08003	1.24361	51.14942	8.99169	6.81810	15.00835	0.00000	32.67651	7.49602	4.44355	-4.74928	10.23142	1191.82242	10.32811	39.66910
7.65049	7.77095	8.83484	75.92157	1.82744	-19.32556	7.75289	6.69747	-41.25528	1.00000	27.70718	6.72761	11.59285	6.44649	8.80745	1171.06076	8.26894	33.62320
8.41863	8.64787	10.06884	54.23856	2.28949	49.97704	9.14220	9.07166	9.15214	1.00000	85.22503	6.40717	7.29019	3.85215	7.56162	1085.99608	5.95339	72.46681
9.62496	5.98639	6.71183	75.01605	8.01443	40.42386	8.56231	7.47124	-3.53261	1.00000	15.18981	8.65107	6.32227	30.07895	6.32472	1145.39324	7.53476	45.26962
10.04905	7.70194	7.20253	61.30016	11.35946	7.62789	8.33911	7.95753	4.74161	1.00000	47.77518	8.70294	7.02197	12.93216	6.10022	1137.43259	7.70599	74.32938
6.50509	8.53554	7.85739	43.22577	0.67390	-1.9487	7.97889	8.33901	30.4347	1.00000	55.53665	8.10028	7.67895	18.68140	7.92341	1096.40019	5.58045	55.55975
6.91151	8.91881	8.68479	34.86017	0.97111	44.73941	8.61039	6.83905	-93.12577	0.00000	51.88964	6.31142	4.51545	10.47167	11.22081	1138.40083	10.80966	45.53481
6.29688	9.35741	9.37353	40.20633	1.07920	30.24706	8.02432	5.83332	115.04814	0.00000	45.84233	8.32393	5.65539	12.49474	13.28245	1143.56624	12.66565	76.88028
10.24667	8.82747	9.10422	53.56868	14.19580	34.65918	9.69281	3.61992	109.22921	0.00000	49.15354	8.67910	5.66579	10.34377	8.11735	1050.55548	10.97459	71.53294
5.42708	6.93352	5.86901	36.92434	0.40496	15.48131	8.16891	12.67429	-86.57415	1.00000	47.08277	8.14677	9.04817	14.63910	5.20531	1169.67410	10.15081	43.20989
7.72469	7.59699	7.01500	50.91548	1.54508	40.78206	9.61468	5.71464	72.34424	0.00000	21.27411	8.73937	7.62860	21.45299	10.70544	1100.01505	10.47590	58.50412
11.94883	7.86526	7.24615	63.85579	72.41041	41.85059	7.87570	7.36714	-87.882	1.00000	57.75705	6.81282	8.89420	2.83333	4.78802	1181.66849	6.51464	55.67352
5.58534	8.84111	9.17532	66.62478	0.82811	16.68911	8.32631	7.54942	98.50893	0.00000	33.47024	9.55010	8.32089	24.31260	10.14672	1192.00686	9.27201	37.85682
7.91968	9.25824	8.44192	59.30124	2.18606	15.45144	7.35850	5.98683	78.14797	0.00000	59.81133	7.83619	7.58971	14.23523	7.13108	1093.59258	8.26663	52.40783
4.35746	8.90491	8.89642	62.22470	0.46260	36.82167	9.35103	4.22669	128.63083	0.00000	62.73616	8.72276	10.06147	7.75743	4.33207	1061.06698	8.50139	28.01928
9.47312	8.79034	6.78786	57.47090	6.47990	53.63333	7.54380	7.42489	9.85	1.00000	33.23571	7.94754	6.69826	11.26786	6.94562	1052.21964	7.38619	49.03366
5.49782	7.14248	9.26213	46.31584	0.57757	53.7446	8.25525	6.55285	-0.33525	0.00000	35.34277	8.90002	6.02482	13.39250	11.52358	1101.72543	10.97695	76.71895
8.99569	8.53702	10.57643	53.64810	4.36773	43.48961	8.16577	4.71774	-8.2194	0.00000	51.56990	8.26818	7.55090	30.20638	7.91609	1050.09053	9.78602	54.09935
7.91453	8.24226	8.10142	53.32170	2.10373	-23.85972	7.37427	6.14054	35.34722	0.00000	34.06093	8.40568	5.32261	23.28172	11.15653	1180.90582	11.00391	51.42864
7.95930	8.67173	10.51821	43.81216	2.21654	31.82539	7.72473	8.48337	72.54064	0.00000	69.76202	8.79020	9.69988	22.22516	9.25480	1177.17833	9.06370	40.16365
5.07210	7.36065	5.46403	44.37116	0.44672	48.77275	8.21431	10.58407	5.16108	1.00000	67.06563	8.57890	7.27064	23.11962	7.40574	1154.97312	9.35749	54.14855
6.68432	7.96220	9.64815	41.69450	0.61963	38.91817	8.81607	6.55430	-78.19444	0.00000	36.93829	6.38655	9.12511	30.79486	9.60070	1149.87863	9.38016	54.29960
7.80099	8.17331	10.91922	30.27209	1.66586	4.02219	8.93868	9.23252	101.02083	0.00000	43.54672	8.09304	8.90938	9.99241	10.12064	1189.07712	11.44001	44.03501
7.20112	9.92493	9.35436	34.98967	1.44021	26.32293	7.49341	8.02482	91.00632	1.00000	55.76432	7.89782	9.55144	-2.01329	8.01931	1062.37887	7.45728	50.07048
5.52255	8.17000	4.66918	56.90515	1.28179	40.55851	9.74040	10.58722	17.80774	1.00000	45.01203	7.85887	8.71313	25.98618	5.66974	1075.65311	9.29469	52.30065
5.67372	8.30925	9.15261	56.67161	0.95047	35.25064	7.85330	7.84646	-91.73625	0.00000	37.05057	7.52628	7.24356	20.99691	10.97249	1118.44568	9.77076	50.03654
6.14670	8.82855	9.60038	40.93624	0.73106	42.50729	8.41988	5.72596	1.53414	0.00000	28.09350	8.55468	8.93612	19.79639	5.93705	1092.68016	10.04529	48.66974
7.08274	8.41322	9.90014	62.08713	1.57080	48.35149	8.94419	7.71923	8.96317	0.00000	43.20530	8.53365	8.84852	28.37543	7.81649	1050.79322	10.16827	49.87826
6.53162	9.82178	8.44102	55.19071	0.58298	39.33427	9.33947	4.89624	-76.43941	0.00000	32.34010	9.17819	11.21585	22.39341	4.67843	1168.73745	8.39307	64.59245
7.66382	8.41901	7.11892	55.07478	1.73789	23.18	6.88886	5.75230	88.58	0.00000	54.50078	7.40383	11.67297	20.18149	4.15029	1194.37302	9.61291	55.19238
6.07024	7.69762	6.22955	53.78829	0.89372	1.6	8.63173	7.15145	103.81667	1.00000	44.44157	9.48506	7.81428	5.26407	7.48614	1156.26188	4.95420	73.85825
9.36984	9.03870	7.48371	58.00714	5.80214	28.71271	7.50047	8.07605	77.656	1.00000	51.26330	8.39693	6.57666	18.84007	5.89426	1135.05511	8.63130	41.23753
7.00734	7.38931	5.04408	56.82842	1.30794	-34.64167	7.28971	5.96360	-60.47389	1.00000	83.97324	8.24308	10.69922	16.35798	5.43621	1166.52289	7.54447	29.33140
6.14226	7.20871	9.52140	75.30404	0.60947	38.72706	7.67390	10.50447	-9.24671	1.00000	47.43182	8.86410	6.24236	4.77548	6.68510	1175.59748	5.46955	57.12630
7.48832	9.71126	8.21701	35.71127	1.48196	23.02677	6.50125	9.50856	113.13148	1.00000	34.53050	9.61302	5.76761	18.73982	4.97563	1138.99953	10.01763	44.22308
6.42313	7.48798	7.38047	59.25892	1.08921	40.82232	9.05895	8.73810	-74.15987		48.12141	6.47716	6.02897	32.46882	8.01706	1098.94459	10.20558	
6.19322	7.87797	6.57077	49.11149	0.96296	4.02219	9.25375	10.69086	101.02083	1.00000	44.47934	10.18679	8.42040	13.11407	6.56153	1099.43708	9.62953	71.80395
9.58958	8.02709	11.09175	52.76039	6.88945	41.72063	7.85198	5.02565	12.6723	0.00000	54.48340	8.27908	5.02421	16.62741	8.52254	1055.53853	10.66266	55.50552
6.10097	8.75268	8.18852	51.06524	0.85136	27.92333	8.23257	6.25833	118.53333	0.00000	55.08784	5.78919	10.45570	27.40953	5.38495	1179.85016	9.30006	64.82418
8.95717	6.34699	7.56082	55.56375	3.71204	12.1277	8.75688	7.57980	78.15794	1.00000	57.58670	8.50852	6.10324	3.64346	7.24701	1073.97689	8.19420	61.78573
6.68504	7.68940	9.00226	29.88731	1.06291	6.03333	7.78031	5.75407	37.55	0.00000	39.85884	8.54150	9.32654	31.86128	5.17254	1064.69908	8.96849	61.90044
5.95241	8.17781	4.99414	62.76968	0.49703	31.92923	7.05370	6.16175	34.86563	1.00000	55.34190	7.45499	10.24681	4.92496	7.44539	1077.82124	7.62570	41.42577
5.45893	8.59362	4.65676	46.15684	0.40420	2.41669	8.94659	5.96291	30.98551	1.00000	57.71650	8.79877	10.03803	28.86498	5.17188	1089.01224	6.64926	69.33634
7.53427	8.10676	6.24037	57.92967	1.47368	-23.7975	8.51959	7.95723	-48.59278	1.00000	70.77648	7.23340	6.45901	16.69690	7.37700	1196.56795	8.48864	56.55662
8.24758	9.70575	10.20315	53.06919	2.39871	32.35126	8.10947	8.39239	-95.30106	0.00000	47.82763	8.48319	9.02054	8.68108	8.31131	1175.14395	9.84408	64.05326
7.53786	7.94253	10.28532	47.38200	1.46456	42.819	8.05747	7.62722	47.1192	0.00000	31.58820	7.37643	9.22640	25.00226	8.09301	1081.92517	9.53513	48.48314
6.50204	7.95903	5.69659	42.07034	0.94562	-8.76194	8.39239	7.63609	-63.90389	1.00000	59.35745	8.29987	6.23827	1.01159	8.49587	1130.53988	8.64307	57.92939
7.36019	7.51157	10.05618	69.82894	1.09404	35.20889	8.12146	7.05014	111.73861	0.00000	47.27447	6.79962	10.11241	7.27110	7.54931	1062.24255	9.38638	49.41708
6.44066	7.63312	10.27330	58.57366	1.16622	41.63976	9.31736	7.65395	2.35739	0.00000	71.93955	8.29222	8.01056	35.82609	8.22496	1112.14202	11.32871	46.92822
7.24663	8.88449	9.93133	53.61958	1.67019	-4.24444	6.19842	6.31674	-42.29444	0.00000	45.22087	6.60250	9.87663	6.96522	6.87486	1198.13970	9.79382	57.72265
7.92702	9.60060	5.56289	72.77367	1.81377	33.50921	7.35769	8.36428	-111.89903	1.00000	75.56304	7.76753	7.76234	16.72949	5.88631	1145.00137	7.73000	40.87952
7.76341	8.46172	8.02045	38.68685	1.41530	35.25064	9.65594	7.82669	-91.73625	1.00000	43.51450	6.94529	4.81674	12.74781	6.98544	1167.03926	8.81955	63.45242
4.99619	9.92179	8.69323	44.89334	0.30519	14.95472	7.52633	9.23670	120.89694	0.00000	54.18804	8.24142	7.32943	-12.55501	8.86967	1153.95619	7.24484	59.84554
5.61860	6.99785	10.11151	33.13310	0.70542	39.33427	6.22986	5.54529	-76.43941	0.00000	49.78679	9.28665	9.29238	15.71779	6.42700	1164.24301	9.27528	59.68609
7.79322	7.18749	7.65376	53.14745	1.17245	13.51825	8.34054	7.29393	99.95469	1.00000	25.82157	8.40390	8.58415	30.83663	6.95044	1070.90229	6.32150	59.98237
7.17321	8.18814	7.70888	48.68752	0.95106	-20.88231	8.88286	8.75958	55.4504	1.00000	64.13242	7.59668	6.38577	5.62259	7.41226	1069.09208	9.93973	61.46129
6.89945	7.00874	7.50200	85.87199	0.93005	31.84568	8.26936	7.70067	-102.36764	0.00000	36.34251	7.28354	6.73949	13.59475	6.72859	1058.56948	6.91195	30.10434
7.87119	8.95553	8.20196	54.58782	1.51021	-33.38056	7.98099	7.39708	-56.52361	0.00000	34.06681	7.45758	9.25189	24.10092	5.65518	1108.83256	9.54584	47.84923
7.17264	9.31040	8.13746	72.06716	1.12391	28.92694	6.98896	7.87945	78.23456	1.00000	61.06899	8.92293	9.57359	14.77385	7.56858	1077.98993	7.47011	61.35001
6.79080	10.10452	10.32504	61.54289	0.92723	7.62789	8.22784	7.41363	4.74161	0.00000	40.56058	9.27670	6.85196	5.60864	9.64440	1058.94024	9.43092	43.27077
4.54543	6.60714	6.10885	64.30123	0.69926	8.88649	7.57703	12.24995	2.59753	1.00000	60.34982	8.33315	8.15000	19.75635	6.80236	1065.28587	10.86837	62.26834
4.66975	8.12000	8.90466	49.63919	0.36879	3.51667	9.37629	4.36894	11.5	0.00000	61.31233	8.45140	9.57475	21.51943	4.00403	1083.70990	9.12095	50.74391
5.89342	8.04642	6.79329	37.54077	0.62357	53.59337	7.56151	9.97592	9.47629	1.00000	41.16381	9.13286	7.25376	24.76914	6.22609	1189.01048	10.28850	64.59772
4.98907	8.88813	7.81240	52.83412	0.33934	41.63976	8.70456	8.03927	2.35739	1.00000	51.60288	7.33182	9.95213	26.92618	7.49635	1185.67682	7.77852	49.23226
4.14288	7.85791	7.17089	44.11923	0.63459	36.27462	8.07881	10.50579	4.85668	0.00000	44.49027	8.31434	9.64396	33.11647	6.75358	1089.82266	4.36581	48.85924
7.26870	7.76460	6.23533	52.47766	1.10789	-13.7804	7.47999	5.47580	34.4587	1.00000	47.10124	8.55860	11.56217	24.79473	7.67996	1067.98330	8.40566	37.79446
8.58846	8.83500	7.13331	58.58375	3.03298	31.20176	7.92167	7.57087	29.91582	1.00000	55.16025	6.06175	5.96521	11.67951	6.86316	1188.38190	8.33631	62.77824
9.86341	8.20102	12.45036	49.02471	9.86615	-4.24444		4.99999	-42.29444	0.00000	64.10250	7.14631	6.58496	7.35994	9.47656	1194.42070	11.51715	51.69018
8.39132	9.55540	9.43668	37.30695	2.57632	9.535	10.88538	6.60175	-13.68778	0.00000	25.12382	8.41502	7.72195	21.34585	8.38729	1129.46204	8.89971	47.51333
7.43872	7.58342	10.94956	63.97262	1.37845	52.48173	8.62788	6.85125	-2.12139	0.00000	64.85384	8.29863	8.75116	24.52806	8.17008	1062.34575	9.44311	71.09094
7.43333	8.71558	9.97937	37.65828	1.63822	41.55838	7.93796	7.94339	-81.56929	0.00000	47.54462	8.89216	6.93501	4.95764	10.49385	1116.55864	9.79491	56.27261
7.63367	7.34353	7.79805	41.33022	1.98848	19.32889	6.24147	9.07424	-99.32556	1.00000	82.37739	8.23706	6.67740	19.65223	5.95537	1196.44359	6.27252	39.35508
7.09601	8.21204	7.24446	54.38291	1.28323	48.78232	7.68418	7.55589	9.17702	1.00000	49.45464	7.52064	9.37937	31.47028	8.41762	1097.08517	7.61515	41.06547
7.57218	6.62893	9.34896	43.77305	1.38585	32.87533	8.40287	6.34382	71.57118	0.00000	38.71771	9.27327	7.53418	28.01028	10.29569	1188.18773	10.42194	40.34324
8.69617	8.89816	11.87151	38.63346	3.86178	42.55308	11.18039	4.99345	-87.93341	0.00000	87.30856	8.63874	7.27927	2.34786	9.42573	1067.35191	11.15462	37.02144
6.82775	6.61131	9.19330	50.38975	1.16636	55.8736	8.01996	8.18368	85.4265	0.00000	61.03897	9.19702	7.16381	19.06183	7.42781	1126.81923	7.18699	82.44742
5.87251	8.22983	5.92284	57.49014	0.95232	36.20389	9.36944	7.10999	127.08472	0.00000	56.21382	10.57919	6.91548	16.04419	10.18355	1095.02289	9.11905	42.65786
6.55387	7.02364	9.74450	62.52093	0.96901	-17.73648	7.46931	5.17780	168.31366	0.00000	42.09039	8.21923	10.63175	4.76924	5.80821	1138.25496	7.87392	61.32543
4.59842	6.25421	6.48608	28.82045	0.88434	43.86682	7.62799	7.78051	-79.2663	1.00000	60.73670	9.69715	9.27660	-11.85682	7.13715	1197.97220	6.49396	41.46415
7.59610	8.24699	6.58426	71.93494	1.84924	47.56494	8.73472	9.22389	31.33078	1.00000	58.90353	8.86179		9.89156	6.35665	1163.48335	8.47714	51.01348
5.41655	8.46469	5.99628	70.29003	0.39518	34.09668	6.82085	6.82669	-117.71978	1.00000	63.94891	9.28064	8.38694	13.82786	6.55810	1132.48699	5.79698	59.05345
8.52918	8.23212	10.08773	55.28089	2.59103	43.83125	7.66454	9.85283	5.03586	0.00000		8.22454	10.02652	23.07612	10.29258	1179.01946	11.33856	58.78013
6.57140	8.52378		24.34526	0.77880	11.8659	7.60403	10.07899	34.3869	1.00000	32.45312	8.83779	7.63192	11.01305	5.24119	1184.15229	10.04428	
6.15682	8.23700	5.12345	70.91455	0.86523	50.20528	7.44670	10.12158	19.27498	1.00000	40.78891	8.30512	9.58084	20.53076	7.64106	1077.92955	9.02832	28.28885
5.50101	8.81991	5.98204	65.46566	0.73175	5.20856	7.74633	10.77036	-74.73584	1.00000	63.06066	7.38017	7.83183	11.95035	6.58655	1152.42721	10.35481	46.19056
8.00026	9.67223	10.76771	40.19688	1.74769	34.61667	8.24922	6.08974	135.6	1.00000	64.33110	9.00006	5.03522	15.57370	12.86246	1055.82084	12.82084	64.55830
6.56728	7.48635	7.03848	45.94073	0.78267	41.14676	7.78607	8.51823	-73.49484	1.00000	43.50592	8.33985	6.75116	14.25930	5.18838	1097.11463	4.42528	46.92264
7.87147	6.92156	9.18925	37.97489	1.42964	32.35126	9.35276	7.51512	-95.30106	0.00000	47.77974	9.11300	10.41225	15.75843	7.52257	1198.09347	9.22347	51.90734
7.75787	8.24247	6.69661	35.14563	1.47523	49.07866	8.14237	7.86929	30.96755	1.00000	37.04876	7.90318	6.33539	9.27141	7.25398	1078.47152	8.33753	47.57597
7.99784	8.90123	8.83104	60.61270	1.91815	36.02506	8.28599	5.87192	-86.77917	0.00000	47.74241	9.46341	7.06259	14.22773	8.96678	1187.83064	9.76798	61.11846
8.70185	8.72320	10.11824	52.59473	3.45354	41.55838	7.73991	8.29188	-81.56929	0.00000	58.53248	6.31053	9.01649	-3.93536	8.24406	1171.22478	10.30136	42.51145
6.40234	9.84029	7.68870	44.17065	0.99713	51.78771	7.43397	8.30953	56.36091	1.00000	51.60486	8.71484	7.57365	29.14506	7.37439	1069.43966	5.34041	42.01205
7.13641	7.89777	8.96121	56.71231	1.40439	-3.5403	6.98549	6.80848	118.9707	0.00000	30.36132	8.65175	8.06999	20.30519	5.52389	1133.47336	8.62513	52.92627
5.63872	8.36429	5.49821	52.09783	1.09590	41.14676	7.08102	8.09882	-73.49484	1.00000	74.78634	10.62805	6.49444	3.45583	8.21987	1135.51437	8.80361	40.58573
6.25383	9.64440	6.38044	22.13948	0.82350	44.59445	9.24606	9.42107	11.04979	1.00000	33.91075	7.83728	7.12942	14.39842	6.40019	1146.93960	9.24933	59.92128
6.34359	8.14488	10.05126	66.90909	1.03639	16.68911	8.08256	5.86743	98.50893	0.00000	38.85028	10.01129	9.79919	30.85438	6.92820	1155.76919	9.57212	45.99142
6.68399	7.02415	8.42891	59.34204	1.40210	20.88197	8.14800	7.36912	85.83334	1.00000	75.98697	8.55863	9.65070	14.48511	6.80480	1180.38141	7.04671	69.19481
6.47879	7.64459	7.11605	60.39951	0.75717	52.66277	6.73059	7.29862	-2.01111	1.00000	72.15235	10.31259	9.25558	11.97286	7.48272	1139.11182	7.10831	50.79722
6.43481	10.22341	9.74143	50.82023	0.98335	15.48131	7.84611	6.11169	-86.57415	0.00000	43.02342	7.93654	9.61866	27.51717	6.72627	1136.48619	8.34695	46.59151
9.32323	9.59557	7.53665	56.64210	5.38067	26.2649	6.42268	8.52841	81.54855	0.00000	50.38083	7.64455	9.70473	12.02561	5.71760	1180.50106	9.21293	77.61804
6.49779	8.44552	7.78696	43.24907	0.77321	5.27247	9.85177	8.68962	-3.59625	1.00000	35.47522	7.72791	8.21862	18.08124	9.22508	1122.56874	7.17869	60.88552
7.27787	7.50566	8.91456	29.56067	1.52330	14.62578	6.34730	8.51563	121.12251	1.00000	32.95662	8.01329	8.20621	27.26965	4.71589	1167.97807	6.45042	46.37529
3.37132	8.77226	5.71873	62.93764	0.98716	43.50891	8.91648	8.73582	16.43915	0.00000	51.50245	7.06508	11.49824	21.22831	8.89416	1145.13887	6.28217	67.45308
5.19746	9.61817	7.34774	41.38275	0.69240	45.44694	8.09976	9.94893	8.62118	1.00000	26.34856	6.75292	4.73682	12.42691	7.15146	1114.88900	10.15761	56.22565
8.11222	9.53888	5.87311	70.94037	2.00784	30.29184	8.67960	8.20903	71.67164	1.00000	72.61125	9.62021	8.11646	-0.35468	7.68400	1113.83789	8.52221	43.49184
6.90701	9.41457	6.51313	46.13449	1.28514	12.97389	7.00448	11.22314	123.99333	1.00000	61.66523	7.18336	9.82901	5.65473	7.06067	1098.48978	10.21388	52.37890
10.13578	8.61119	11.83971	36.24266	12.16653	6.9909	6.98241	5.64220	79.883	0.00000	36.94673	8.36406	3.03496	12.74372	8.77935	1088.67961	10.99908	59.24860
7.96395	7.51574	6.78972	63.31704	2.43020	36.61033	10.25702	7.49463	-88.31476	1.00000	52.42728	8.23284	9.22031	18.85015	5.49572	1191.91999	6.78885	43.33667
4.43942	8.67387	5.67365	29.10591	0.65062	6.95194	8.15788	12.90991	121.96361	1.00000	46.61900	8.11890	10.22817	-3.26402	7.98000	1057.09859	11.38644	63.35399
6.83970	8.68180	11.25095	52.28860	1.16398	6.46838	9.00840	7.46680	-73.26022	0.00000	52.74122	8.05748	7.29461	1.15449	8.11270	1091.11223	9.97886	45.37788
7.04397	8.76169	10.78665	42.34202	1.18528	34.65918	6.61929	7.51743	109.22921	0.00000	45.17166	8.33335	7.59722	33.18630	8.09745	1123.42539	10.02304	50.15426
6.69718	7.84309	6.50173	56.77124	1.03661	41.9001	9.83541	6.85595	-71.08977	1.00000	60.86391	7.91515	9.35644	31.90132	6.54504	1103.79573	7.22143	53.59312
6.73857	11.30551	8.17906	35.63343	0.88546	28.54944	7.86755	7.99757	-81.77285	1.00000	43.03640	7.15510	9.37243	2.85641	7.03663	1070.38109	7.67613	60.48209
3.76502	9.16227	7.01778	54.64690	0.61088	22.19303	8.55230	10.71294	88.18466	1.00000	27.95371	7.66648	6.13779	27.45805	8.58572	1195.15353	11.47283	59.54268
4.35244	6.76751	10.30661	56.29746	0.52326	9.535	8.44039	8.64400	-13.68778	0.00000	62.00708	7.43936	8.16445	26.52739	9.55059	1058.66477	8.26421	57.68608
4.44606	7.20960	7.19367	61.40591	0.72041	51.39323	8.33096	8.34877	0.47713	0.00000	51.01498	8.96282	8.82899	18.10486	9.34955	1142.77794	7.60969	59.10191
5.86352	6.04251	9.24181	65.97017	0.91213	41.57721	8.01782	5.28911	-93.71133	0.00000	25.62664	8.88455	8.54300	8.80644	4.95599	1191.85573	8.55811	57.78694
5.64651	7.88491	11.31693	53.58554	0.81599	20.22816	8.22206	6.03890	-103.5687	0.00000	46.23518	8.69753	8.92412	15.12071	8.07881	1164.23518	9.64312	54.44839
7.09554	6.66940	7.98874	32.67633	1.16731	-38.16604	8.00242	6.02515	145.13643	1.00000	37.22698	5.97793	10.92158	23.93265	7.39479	1056.37647	7.58176	48.65148
4.04091	8.63898	6.84400	36.23536	1.04547	-23.7975	9.07115	11.86693	-48.59278	1.00000	45.37690	9.19972	6.97993	7.41829	7.20474	1116.65823	11.62152	71.81288
5.38343	8.04922	5.53813	65.45630	1.04364	39.45621	9.70796	7.88555	-77.96389	0.00000	44.61584	8.70896	9.75152	25.59759	7.45961	1110.60257	6.28367	38.90856
