QoS	location	latitude	code	longitude	revision
maintenance	Asia/Shanghai	27.92333	CN	118.53333	14 Mar 2015
building	Africa/Djibouti	11.15583	DJ	42.7125	12 May 2021
average	Asia/Makassar	3.31332	ID	117.59152	01/27/2016, 00:00:00
average	Europe/Warsaw	50.86079	PL	17.4674	08/23/2013, 00:00:00
excellent	Europe/Belgrade	44.22639	RS	22.53083	2016-08-06
maintenance	Asia/Shanghai	41.27194	CN	123.17306	2020-06-08
building	Asia/Yekaterinburg	56.11281	RU	69.49015	2016/10/08
average	America/Caracas	9.91861	VE	-68.30472	2015-05-20
maintenance	America/Los_Angeles	34.14251	US	-118.25508	03 Dec 2020
accep	America/Mexico_City	20.21322	MX	-100.88023	09/02/2015, 00:00:00
average	America/Mexico_City	19.64745	MX	-102.04897	31 Aug 2017
accep	America/Los_Angeles	32.9156	US	-117.14392	10/06/2013, 00:00:00
accep	Africa/Brazzaville	-4.26613	CG	15.28318	07/27/2014, 00:00:00
maintenance	Europe/Rome	42.67164	IT	14.01481	2013-09-02
accep	America/Santiago	-36.9256	CL	-73.02841	2016/10/11
good	Asia/Kolkata	18.51957	IN	73.85535	06/23/2018, 00:00:00
good	Asia/Baku	41.09246	AZ	45.36561	2018-02-06
average	Asia/Tokyo	35.8	JP	137.23333	06/01/2019, 00:00:00
average	Europe/Berlin	50.72043	DE	11.34046	2014-12-22
excellent	Europe/Berlin	50.09019	DE	8.4493	12/13/2015, 00:00:00
accep	Asia/Qyzylorda	44.85278	KZ	65.50917	2021/10/07
building	Europe/Bucharest	44.43579	RO	26.01649	2021-06-04
building	America/Merida	21.28306	MX	-89.66123	06/18/2014, 00:00:00
good	Africa/Accra	7.06273	GH	-1.4001	03/03/2013, 00:00:00
building	America/Los_Angeles	38.54491	US	-121.74052	10/05/2020, 00:00:00
excellent	Indian/Antananarivo	-17.83333	MG	48.41667	2018-05-15
good	Australia/Sydney	-34.88422	AU	150.60036	25 Feb 2020
maintenance	America/Costa_Rica	10.63504	CR	-85.43772	2019-07-03
excellent	Africa/Johannesburg	-24.19436	ZA	29.00974	10/11/2020, 00:00:00
building	America/Merida	21.28306	MX	-89.66123	27 Apr 2015
excellent	Asia/Kolkata	26.44931	IN	91.61356	2015/10/07
excellent	Europe/Belgrade	44.97639	RS	19.61222	2015/06/25
good	America/Caracas	8.35122	VE	-62.64102	02/19/2021, 00:00:00
average	America/Argentina/Buenos_Aires	-34.64966	AR	-58.38341	09/21/2020, 00:00:00
average	Europe/Paris	43.83125	FR	5.03586	20 Feb 2019
good	America/Vancouver	50.26729	CA	-119.27337	18 Mar 2022
accep	Africa/Ndjamena	12.18441	TD	18.69303	13 Oct 2016
excellent	Africa/Tripoli	30.75545	LY	20.22625	28 May 2021
accep	Asia/Kolkata	18.87813	IN	72.93924	2017/06/19
accep	Asia/Shanghai	27.34089	CN	117.4831	2018/01/21
accep	Europe/Oslo	68.79833	NO	16.54165	2014/08/27
building	Europe/Helsinki	60.18427	FI	24.95034	26 Dec 2012
accep	Asia/Kolkata	18.18158	IN	76.03889	2020/07/25
excellent	Asia/Kolkata	9.82564	IN	78.25795	12/30/2019, 00:00:00
average	Asia/Tokyo	35.30889	JP	139.55028	2019/10/13
average	Asia/Urumqi	46.51872	CN	86.00214	12/05/2018, 00:00:00
good	Europe/London	56.56317	GB	-2.58736	01/02/2016, 00:00:00
average	America/New_York	40.65538	US	-74.38987	2018/10/18
average	Asia/Jakarta	-1.6	ID	103.61667	2012-11-13
building	Asia/Riyadh	27.0174	SA	49.62251	04/27/2022, 00:00:00
good	Asia/Kolkata	31.28092	IN	74.85849	03 Jun 2016
accep	Asia/Kolkata	19.21667	IN	73.08333	2019-05-12
building	America/Mexico_City	19.8173	MX	-97.35992	06/23/2021, 00:00:00
good	Africa/Douala	4.2475	CM	9.00472	2013/03/25
accep	Europe/Madrid	43.32686	ES	-2.98884	29 Dec 2015
average	Europe/Madrid	42.8139	ES	-1.64295	2019-10-08
building	America/New_York	34.25628	US	-78.04471	2014-09-08
average	America/Mexico_City	20.21322	MX	-100.88023	2018-08-10
excellent	Asia/Shanghai	29.98869	CN	122.20488	11/20/2016, 00:00:00
building	Asia/Kuala_Lumpur	1.6561	MY	103.6032	02/06/2016, 00:00:00
good	Europe/Paris	43.83125	FR	5.03586	2019-05-10
excellent	Europe/Paris	45.69558	FR	4.7934	07 Nov 2015
excellent	Africa/Dar_es_Salaam	-2.68333	TZ	33	18 Jun 2022
average	Asia/Kolkata	32.55531	IN	76.12647	05/14/2013, 00:00:00
excellent	America/New_York	40.24537	US	-75.64963	07/22/2019, 00:00:00
average	Europe/Moscow	54.39304	RU	53.26023	2012/10/25
accep	Europe/Berlin	51.08468	DE	7.11393	06/04/2020, 00:00:00
accep	Asia/Almaty	43.41949	KZ	77.0202	2018/07/19
building	America/Argentina/Buenos_Aires	-37.32167	AR	-59.13316	2013-12-18
average	America/New_York	39.33427	US	-76.43941	02/16/2021, 00:00:00
average	America/New_York	41.24255	US	-82.61573	10/01/2018, 00:00:00
good	Europe/Rome	40.87329	IT	14.43865	08 Jul 2021
good	Europe/Belgrade	44.22639	RS	22.53083	07/25/2013, 00:00:00
excellent	Europe/Rome	44.89784	IT	8.86374	05 Jul 2015
accep	Asia/Karachi	30.46907	PK	70.96699	08 Aug 2016
average	America/Chicago	40.56754	US	-89.64066	2020-07-26
average	Europe/Madrid	40.70995	ES	0.57856	14 Jul 2016
excellent	Africa/Bangui	4.94273	CF	15.87735	2020-06-30
average	America/Cuiaba	-14.66463	BR	-52.35558	16 Sep 2021
average	America/Maceio	-10.91722	BR	-37.65	2013-05-18
excellent	America/Chicago	36.02506	US	-86.77917	11/01/2016, 00:00:00
excellent	Europe/Amsterdam	52.31333	NL	6.92917	16 Jun 2013
accep	America/Sao_Paulo	-22.92306	BR	-53.13722	11 Oct 2016
excellent	Africa/Tripoli	24.96334	LY	10.18003	2012-12-26
accep	America/Sao_Paulo	-19.72806	BR	-50.19556	04/20/2013, 00:00:00
building	Europe/Warsaw	54.60528	PL	18.34717	2016/11/20
good	Africa/Lagos	4.92675	NG	6.26764	15 Jun 2021
accep	Asia/Yangon	14.0823	MM	98.19151	04/05/2016, 00:00:00
maintenance	America/Sao_Paulo	-25.42778	BR	-49.27306	17 Mar 2022
accep	Europe/Moscow	43.35071	RU	46.10925	2019-05-30
maintenance	America/Sao_Paulo	-21.42917	BR	-45.94722	25 Jan 2013
excellent	America/Detroit	42.97086	US	-82.42491	09/18/2014, 00:00:00
good	America/Mexico_City	17.06542	MX	-96.72365	2021/06/28
good	America/Sao_Paulo	-21.205	BR	-41.88778	2017-02-08
maintenance	Asia/Kolkata	23.18	IN	88.58	2017/12/24
average	Australia/Perth	-32.05251	AU	115.88782	24 Jul 2015
good	Europe/Amsterdam	51.955	NL	5.22778	02 Aug 2019
average	Asia/Irkutsk	51.82721	RU	107.60627	12/10/2013, 00:00:00
average	Australia/Brisbane	-27.50578	AU	153.10236	13 Feb 2015
good	Asia/Manila	16.455	PH	120.5875	2017-12-31
excellent	Asia/Karachi	30.76468	PK	74.12286	10/31/2017, 00:00:00
average	Africa/Dar_es_Salaam	-2.68333	TZ	33	28 Feb 2021
accep	Europe/Berlin	48.06919	DE	11.37703	16 Mar 2016
average	America/Sao_Paulo	-19.7625	BR	-44.31389	2015-11-13
building	Asia/Bangkok	16.0567	TH	103.65309	08/25/2013, 00:00:00
good	Asia/Jakarta	-7.0981	ID	109.3243	2014-07-31
good	Africa/Kinshasa	-4.5833	CD	15.16554	10/23/2016, 00:00:00
maintenance	America/Los_Angeles	47.64995	US	-117.23991	2022/02/05
good	Europe/Kiev	50.18545	UA	27.06365	03/15/2022, 00:00:00
average	America/New_York	42.93369	US	-72.27814	2017/08/17
average	Europe/Brussels	50.56149	BE	4.69889	18 Dec 2013
average	Europe/Rome	43.1122	IT	12.38878	2013/12/18
accep	America/Toronto	45.43341	CA	-73.86586	2022-05-09
excellent	Europe/Paris	48.79325	FR	2.29275	2014/09/05
good	America/Sao_Paulo	-20.87306	BR	-48.29694	19 Aug 2021
excellent	Asia/Karachi	32.17629	PK	75.06583	2016-10-29
good	Asia/Manila	12.37169	PH	123.62494	2020-07-29
average	Africa/Algiers	36.06386	DZ	4.62744	08/21/2021, 00:00:00
excellent	Africa/Nairobi	0.03813	KE	36.36339	03/25/2016, 00:00:00
average	America/Mexico_City	20.74122	MX	-100.44843	2013-03-21
good	Asia/Kolkata	22.10194	IN	85.37752	2021/10/10
building	Asia/Shanghai	30.24706	CN	115.04814	2021/12/28
accep	Asia/Dili	-8.99167	TL	125.21972	2016/10/28
accep	Europe/Madrid	43.48961	ES	-8.2194	06/03/2022, 00:00:00
accep	Asia/Dhaka	22.83957	BD	91.84128	20 Sep 2014
accep	America/Los_Angeles	33.72255	US	-116.37697	19 Dec 2018
average	Europe/Moscow	55.63711	RU	37.38115	2012/10/06
maintenance	Europe/Berlin	48.28259	DE	9.72749	02/26/2013, 00:00:00
accep	Europe/Malta	35.89972	MT	14.51472	07/11/2019, 00:00:00
maintenance	Europe/Berlin	51.21667	DE	6.26667	2021/03/26
good	America/Maceio	-10.91111	BR	-37.07167	01/11/2021, 00:00:00
average	Asia/Manila	10.7375	PH	122.9666	19 Feb 2013
accep	America/Guayaquil	-2.13404	EC	-79.59415	2018/02/06
good	Europe/Madrid	41.91738	ES	3.1631	2021/07/11
average	Asia/Shanghai	30.24706	CN	115.04814	2013-11-06
average	Europe/Zurich	46.18396	CH	6.10237	05 Dec 2020
average	Europe/Moscow	53.59782	RU	34.33825	23 Apr 2021
accep	Asia/Tokyo	34.75856	JP	136.13108	05 Mar 2013
good	Asia/Shanghai	30.35028	CN	112.19028	05/25/2020, 00:00:00
maintenance	Europe/Berlin	52.47774	DE	10.5511	07/03/2018, 00:00:00
good	Asia/Kolkata	27.9247	IN	78.40102	01/15/2013, 00:00:00
accep	Africa/Lagos	6.45407	NG	3.39467	04/12/2019, 00:00:00
maintenance	Europe/Rome	43.1122	IT	12.38878	2019/08/20
excellent	America/New_York	41.66394	US	-83.55521	12 Apr 2018
accep	America/New_York	40.24537	US	-75.64963	2021/10/12
accep	Europe/Madrid	42.64685	ES	-5.55835	11/18/2014, 00:00:00
excellent	Asia/Shanghai	37.65181	CN	120.33063	29 Jan 2020
good	America/New_York	40.65538	US	-74.38987	07/15/2021, 00:00:00
good	Europe/Berlin	53.63333	DE	9.85	03/13/2018, 00:00:00
excellent	Africa/Freetown	8.48714	SL	-13.2356	12/29/2021, 00:00:00
maintenance	America/El_Salvador	13.73417	SV	-89.71472	25 Mar 2015
accep	America/Sao_Paulo	-28.24	BR	-48.67028	21 Jan 2015
good	Asia/Karachi	27.55898	PK	68.21204	28 Apr 2018
good	America/Sao_Paulo	-22.45667	BR	-47.53028	2022/08/02
building	America/Denver	40.65995	US	-111.99633	2019-05-16
accep	America/Denver	39.72943	US	-104.83192	17 Jun 2015
average	Asia/Urumqi	46.51872	CN	86.00214	08/01/2019, 00:00:00
building	Africa/Lagos	7.65649	NG	4.92235	12/19/2019, 00:00:00
excellent	Europe/Samara	53.37596	RU	51.3452	03/21/2021, 00:00:00
maintenance	Europe/Paris	43.61058	FR	1.33467	08/24/2016, 00:00:00
excellent	Asia/Karachi	30.29184	PK	71.67164	2021-01-22
good	Pacific/Auckland	-38.65333	NZ	178.00417	09 Sep 2015
good	America/El_Salvador	13.70167	SV	-89.10944	2021-11-08
excellent	Asia/Riyadh	27.0174	SA	49.62251	08/02/2019, 00:00:00
average	America/Matamoros	25.87972	MX	-97.50417	04/14/2015, 00:00:00
excellent	Europe/Madrid	41.15612	ES	1.10687	2013/08/24
accep	Asia/Krasnoyarsk	55.54028	RU	89.20083	26 May 2021
average	Europe/Brussels	50.88506	BE	4.07601	2014-04-12
excellent	Europe/Saratov	51.40944	RU	46.04833	04/18/2016, 00:00:00
average	America/Chicago	31.12406	US	-97.90308	2020-05-05
good	Asia/Kuala_Lumpur	1.6	MY	103.81667	2015-06-06
accep	America/Havana	23.04419	CU	-82.00919	2014/11/17
average	Europe/Kiev	50.18545	UA	27.06365	2019-06-01
good	America/Tegucigalpa	15.48131	HN	-86.57415	03/09/2022, 00:00:00
maintenance	Europe/Copenhagen	55.67938	DK	12.53463	2017-11-13
good	America/Phoenix	33.50921	US	-111.89903	04/27/2017, 00:00:00
accep	America/New_York	43.61062	US	-72.97261	26 Sep 2020
average	Asia/Riyadh	27.0174	SA	49.62251	07/26/2014, 00:00:00
average	Asia/Kolkata	25.75728	IN	75.37991	2013-05-19
accep	Africa/Abidjan	5.27247	CI	-3.59625	2022-07-08
excellent	Europe/Berlin	51.168	DE	7.973	2017/10/03
good	America/New_York	41.9001	US	-71.08977	2014/05/25
maintenance	America/Chicago	45.0408	US	-93.263	03/05/2017, 00:00:00
accep	Asia/Kuala_Lumpur	1.6561	MY	103.6032	2014-12-09
accep	America/Toronto	45.43341	CA	-73.86586	2016-10-24
accep	Europe/Warsaw	51.14942	PL	15.00835	28 Sep 2015
good	Africa/Algiers	36.76775	DZ	2.95924	09/07/2019, 00:00:00
average	Europe/London	53.19146	GB	-2.52398	2020-07-08
average	America/Mexico_City	19.8173	MX	-97.35992	2014/05/13
good	Asia/Jakarta	0.51667	ID	101.44167	2022-04-23
average	Europe/Berlin	48.07667	DE	8.64409	2019-03-06
excellent	Asia/Kolkata	26.76628	IN	83.36889	28 Jan 2017
building	Asia/Shanghai	36.81667	CN	117.81667	20 Jul 2014
accep	America/Mexico_City	20.22816	MX	-103.5687	01 Jun 2018
excellent	America/Santiago	-32.45242	CL	-71.23106	23 Sep 2021
maitennce	Africa/Johannesburg	-24.19436	ZA	29.00974	08/02/2014, 00:00:00
accep	Europe/Paris	48.90982	FR	2.45012	23 Jul 2016
accep	Europe/Madrid	37.49073	ES	-2.77259	10/13/2013, 00:00:00
average	America/Indiana/Indianapolis	41.75338	US	-86.11084	21 Dec 2016
accep	America/New_York	43.91452	US	-69.96533	2021-11-21
average	Europe/Moscow	53.93361	RU	37.92792	12/24/2015, 00:00:00
accep	Europe/Rome	37.31065	IT	13.57661	08/05/2022, 00:00:00
good	Asia/Kolkata	9.57046	IN	76.32756	2014/05/12
excellent	Africa/Lagos	7.6	NG	4.18333	07/22/2019, 00:00:00
average	Asia/Yekaterinburg	54.48147	RU	53.47103	01/24/2016, 00:00:00
average	Europe/Berlin	48.49144	DE	9.20427	11/28/2018, 00:00:00
building	America/New_York	33.98154	US	-81.23621	06/21/2020, 00:00:00
excellent	Indian/Antananarivo	-19.65	MG	47.31667	2014-08-22
maintenance	Asia/Samarkand	40.11583	UZ	67.84222	2019/01/04
excellent	Asia/Kolkata	20.88098	IN	75.11937	2022/09/26
maintenance	Europe/Rome	40.72586	IT	8.55552	2018-06-26
average	Asia/Kolkata	10.10649	IN	76.35484	2022/05/22
building	Asia/Kolkata	15.73628	IN	75.96976	2017/11/05
good	Indian/Antananarivo	-22.9	MG	44.53333	2018/10/29
maintenance	America/Recife	-8.05389	BR	-34.88111	09 Nov 2013
accep	Europe/London	51.26	GB	-2.1875	08/29/2022, 00:00:00
good	America/Sao_Paulo	-21.41222	BR	-42.19667	03 Sep 2013
accep	Europe/Moscow	56.03361	RU	35.96944	02/18/2021, 00:00:00
accep	Europe/London	52.41667	GB	0.75	02/16/2019, 00:00:00
excellent	America/Phoenix	33.35283	US	-111.78903	25 Feb 2015
good	America/Toronto	45.4473	CA	-73.75335	01 Mar 2013
accep	Europe/Istanbul	39.22493	TR	42.85693	2019/01/15
excellent	Europe/Brussels	50.56149	BE	4.69889	2021/03/21
accep	Asia/Krasnoyarsk	58.23583	RU	92.48278	07/22/2022, 00:00:00
accep	Africa/Algiers	36.76775	DZ	2.95924	16 Aug 2015
accep	Asia/Tokyo	37.56667	JP	140.11667	13 Sep 2014
accep	Asia/Tehran	33.86419	IR	48.26258	2021/04/19
accep	Asia/Jakarta	0.51667	ID	101.44167	2016-11-16
good	America/New_York	41.16704	US	-73.20483	2018/10/05
accep	Africa/Monrovia	7.57944	LR	-8.53778	2014/07/03
excellent	Africa/Kampala	2.41669	UG	30.98551	2022-07-31
excellent	America/Bogota	5.6561	CO	-75.87877	01/06/2015, 00:00:00
excellent	America/New_York	40.64621	US	-73.97069	22 Jan 2019
average	America/Los_Angeles	33.7207	US	-116.21677	2016/06/06
maintenance	Europe/Moscow	53.59782	RU	34.33825	25 Apr 2022
building	Europe/Amsterdam	52.14	NL	5.58472	2018-04-25
accep	Asia/Kolkata	22.88783	IN	84.13864	2014-04-11
excellent	America/Los_Angeles	33.52253	US	-117.70755	12/12/2016, 00:00:00
maitennce	Asia/Tokyo	34.81667	JP	137.4	02 Jul 2020
good	Europe/Berlin	53.59337	DE	9.47629	2019-04-28
average	Europe/Moscow	53.93361	RU	37.92792	06/05/2020, 00:00:00
good	Africa/Kampala	3.02013	UG	30.91105	17 Aug 2014
accep	America/Argentina/Ushuaia	-54.8	AR	-68.3	2015/11/28
average	Europe/Berlin	52.61131	DE	13.31783	2018-03-26
maintenance	Europe/Copenhagen	55.67938	DK	12.53463	2013/07/04
accep	America/New_York	34.25628	US	-78.04471	03 Feb 2019
excellent	Europe/Istanbul	37.05944	TR	37.3825	2015/07/26
accep	Europe/Rome	41.24264	IT	16.50104	2015-09-21
building	Asia/Kuching	5.90702	MY	116.10146	09/07/2014, 00:00:00
average	Asia/Tokyo	36.24624	JP	139.07204	21 Sep 2020
average	Asia/Shanghai	36.19278	CN	117.65694	2022-05-23
good	Africa/Bangui	4.94273	CF	15.87735	2017/01/15
excellent	Europe/Lisbon	37.08819	PT	-8.2503	2017/12/30
accep	Europe/Moscow	53.93361	RU	37.92792	12 Dec 2014
maintenance	America/Los_Angeles	33.03699	US	-117.29198	2021-03-23
accep	America/New_York	40.68066	US	-73.47429	02/19/2015, 00:00:00
average	America/Chicago	41.84364	US	-87.71255	2015/05/13
accep	Asia/Kolkata	28.98002	IN	77.70636	16 Aug 2016
accep	Africa/Dar_es_Salaam	-7.60361	TZ	37.00438	16 Apr 2021
average	Europe/Warsaw	54.60528	PL	18.34717	08/25/2014, 00:00:00
building	Europe/London	51.39148	GB	-0.29825	2014/01/14
good	Africa/Kigali	-1.9487	RW	30.4347	2020/11/26
excellent	Asia/Bangkok	13.44581	TH	101.18445	2019/01/19
excellent	Asia/Shanghai	28.88162	CN	120.03308	2014/04/30
building	Africa/Porto-Novo	8.88649	BJ	2.59753	2018-12-21
accep	Europe/London	53.78333	GB	-1.06667	06/08/2020, 00:00:00
accep	Europe/London	53.19146	GB	-2.52398	08/04/2020, 00:00:00
average	Asia/Shanghai	35.20889	CN	111.73861	2016/11/15
maintenance	Africa/Blantyre	-13.7804	MW	34.4587	05/30/2019, 00:00:00
building	Europe/Paris	48.98693	FR	2.44892	07 Apr 2014
maintenance	Europe/Berlin	53.59337	DE	9.47629	2021-04-16
average	America/Sao_Paulo	-25.42944	BR	-50.00639	2017/11/10
maintenance	Europe/Lisbon	41.20485	PT	-8.33147	2015-07-17
average	America/Mexico_City	19.32889	MX	-99.32556	2014-04-14
good	Africa/Cairo	26.67319	EG	31.4976	2017-11-02
building	America/Cuiaba	-14.66463	BR	-52.35558	21 Nov 2021
accep	Europe/Rome	37.31065	IT	13.57661	04 Feb 2018
excellent	Europe/Rome	42.22718	IT	14.39024	12/16/2014, 00:00:00
building	America/Chicago	29.53885	US	-95.44744	08/07/2021, 00:00:00
average	Asia/Manila	14.95472	PH	120.89694	08/09/2021, 00:00:00
maintenance	Asia/Tehran	35.6803	IR	51.0193	2019-04-11
good	Europe/London	50.76306	GB	-1.29772	02 Dec 2014
excellent	Europe/Berlin	53.94313	DE	10.30215	09/19/2021, 00:00:00
accep	Africa/Niamey	13.70727	NE	9.15013	09 Nov 2018
good	Europe/Kiev	50.75932	UA	25.34244	11/07/2017, 00:00:00
maintenance	Asia/Kolkata	17.34769	IN	78.55757	07 Jan 2021
accep	Europe/Rome	40.87329	IT	14.43865	2017/05/03
maintenance	America/New_York	41.55838	US	-81.56929	2017-11-12
good	Asia/Tokyo	35.8	JP	137.23333	11/03/2021, 00:00:00
excellent	Europe/Paris	43.11667	FR	1.6	07/24/2015, 00:00:00
good	America/Chicago	31.12406	US	-97.90308	2018-06-04
excellent	Europe/Moscow	58.1908	RU	40.17171	03/20/2014, 00:00:00
average	Africa/Lagos	10.61285	NG	12.19458	09 Apr 2018
excellent	Asia/Manila	14.62578	PH	121.12251	01/12/2016, 00:00:00
average	Asia/Manila	10.31672	PH	123.89071	2015/06/24
accep	Asia/Kolkata	31.28092	IN	74.85849	09/13/2021, 00:00:00
average	Asia/Novokuznetsk	55.8736	RU	85.4265	2018/02/02
accep	Asia/Shanghai	35.64889	CN	117.27583	2021-01-16
accep	America/Chicago	31.84568	US	-102.36764	2015/01/23
accep	Africa/Lubumbashi	0.76755	CD	24.43973	19 Feb 2021
accep	Europe/Rome	45.44694	IT	8.62118	2022-06-24
average	America/Chicago	42.55308	US	-87.93341	2015/09/17
excellent	America/Mexico_City	20.28527	MX	-103.42897	04/27/2015, 00:00:00
accep	Africa/Algiers	36.06386	DZ	4.62744	2016/03/15
excellent	Australia/Melbourne	-37.88333	AU	145.06667	2020/04/08
good	Africa/Lagos	10.61285	NG	12.19458	2013-03-07
average	Europe/Berlin	51.04962	DE	12.1369	2021/08/02
average	America/Argentina/Buenos_Aires	-34.64167	AR	-60.47389	2020/02/11
accep	America/Chicago	41.72059	US	-87.70172	10 Sep 2017
good	Asia/Yekaterinburg	58.7002	RU	59.4839	2015-10-29
building	America/Vancouver	50.26729	CA	-119.27337	08/28/2015, 00:00:00
excellent	Asia/Kolkata	25.87498	IN	86.59611	2021/01/07
good	Asia/Kolkata	11.12018	IN	76.11996	2022-06-27
good	America/Mexico_City	20.28527	MX	-103.42897	08/16/2022, 00:00:00
accep	Africa/Algiers	36.76639	DZ	3.47717	2014-11-19
good	America/Chicago	32.35126	US	-95.30106	2012/12/25
average	America/Manaus	-3.14306	BR	-58.44417	13 Apr 2013
excellent	America/New_York	39.43534	US	-84.20299	11 Oct 2012
accep	Asia/Jakarta	-7.54972	ID	110.71639	2018-11-16
