CO	PRES	warning	NOx	Pb	CH4	PM2.5	C2H3NO5	NH3	TEMP	H2CO	SO2	longitude	PAHs	latitude	PM10	O3	CFCs
7.38740	1086.51837	1.00000	4.11979	39.47501	5.64471	3.27786	5.20596	7.31574	12.85551	47.69408	4.28922	-111.78903	10.73455	33.35283	8.28235	6.77443	59.85126
6.42192	1098.75805	1.00000	7.23991	60.82087	6.39118	7.28694	8.74427	6.49064	11.58268	33.34589	7.34988	-72.97261	7.26537	43.61062	8.92152	8.76978	55.45819
6.30869	1064.06343	0.00000	7.99996	40.41068	6.09539	4.41793	2.18245	5.98237	20.44106	50.53371	3.82996	43.67663	8.54041	53.53041	6.66685	5.45533	73.84893
8.46043	1139.20514	1.00000	6.28422	59.36537	7.92555	5.71076	2.56384	7.88885	25.52575	38.62415	6.09872	27.06365	8.72626	50.18545	5.38075	8.19660	54.23397
6.65932	1190.99465	0.00000	6.65808	59.90878	7.31303	9.31781	1.97847	5.08963	11.46103	73.25793	8.89454	11.18709	5.96293	48.73218	5.71051	8.87897	47.32618
4.99328	1161.00133	1.00000		44.12633	8.06870	6.15116	1.24064	4.71982	38.50899	50.92787	5.16260	-117.14392	6.49920	32.9156	3.47891	9.94892	62.78344
7.43534	1162.17577	1.00000	7.75039	40.90689	6.45669	8.49402	4.20134	5.38255	12.98600	47.58453	8.60692	-117.29198	5.05535	33.03699	7.57039	8.75981	59.69075
6.66617	1072.49846	1.00000	6.50756	68.91762	7.76967	4.90069	2.31682	8.33321	13.87358	23.83506	5.55977	-89.10944	8.40778	13.70167	5.49246	7.92644	73.03019
7.23716	1053.23621	1.00000	10.50860	53.15659	5.53186	9.58484	2.86043	8.07179	-0.56156	70.40131	8.80124	1.10687	5.20730	41.15612	6.89368	7.30692	76.15157
4.47759	1092.36274	1.00000	6.18994	52.97365	6.55333	5.36213		6.19517	19.25187	56.64069	6.11765	-71.08977	8.55615	41.9001	10.32010	8.72865	72.25067
5.87805	1106.31085	0.00000	10.68039	35.09215	6.05888	4.99901	4.02326	5.75158	28.01244	51.60401	7.43571	126.835	6.83085	37.65639	8.08410	6.00279	76.26556
6.61857	1179.17398	1.00000	2.71089	47.62015	6.15961	5.63551	1.59080	7.87653	8.37119	43.87566	4.20326	-87.93341	6.85300	42.55308	4.38657	9.51398	59.26136
5.56100	1149.97329	1.00000	5.91748	24.30656	7.23822	6.42729	2.42770	6.95447	10.07252	33.50560	5.93288	13.44275	8.83020	38.07789	6.66237	7.45472	42.71847
5.96811	1185.14835	1.00000	5.07295	48.41032	7.91414	5.09764	1.85699	6.73935	31.08873	48.89397	5.36345	0.47713	8.01287	51.39323	5.89784	9.17461	71.19963
6.19302	1198.57001	0.00000	5.37691	30.11474	8.70648	7.36940	1.29686	6.10688	-3.08011	49.72010	4.65605	17.4674	3.74434	50.86079	4.31269	5.61990	62.60638
7.17180	1154.91393	0.00000	5.42401	57.08396	6.01767	7.57586	2.40890	8.42354	19.83269	37.10329	4.42509	-156.47432	4.38267	20.88953	4.96890	6.09914	58.70488
7.84393	1157.38351	1.00000	7.39290	64.95689	7.41990	8.28765	2.39071	5.49498	-0.55244	55.43258	7.63238	28.67582	5.39022	40.98894	4.61060	8.79638	77.93293
6.06498	1163.51886	1.00000	8.10523	50.26966	7.92797	9.58015	3.23972	5.10252	14.31046	66.21080	8.84188	-58.70072	5.38138	-34.74785	6.45124	8.98991	61.09412
5.69873	1155.00411	1.00000	7.72972	63.44549	6.50918	8.75878	2.29049	5.58912	21.27781	33.27447	8.63336	78.55757	7.30221	17.34769	6.93462	8.82654	56.93856
6.17707	1115.89544	1.00000	8.23608	57.45915	7.62070	8.49729	3.89577	5.43623	1.50751	42.29332	7.65713	-39.25	5.48110	-12.91667	7.63030	7.35030	55.02671
6.26622	1172.39917	1.00000	7.74885	44.41652	5.26868	9.27637	2.40488	6.36326	14.57740	74.06859	8.48130	-86.11084	4.10788	41.75338	6.71142	8.77503	67.13117
6.59287	1076.65523	1.00000	6.34392	58.46452	5.93773	6.27820	1.93058	8.37987	26.96181	9.55057	6.36735	15.00835	9.34838	51.14942	4.76090	10.29851	73.30889
7.19330	1081.76816	0.00000	5.54899	43.35807	7.19270	9.56322	2.37407	7.10411	26.89908	66.25911	7.22172	-87.882	6.19810	41.85059	4.37895	9.62148	69.75938
5.66527	1161.23421	1.00000	6.22201	43.55261	6.34826	6.26579	2.53704	6.98585	-7.78553	34.44298	6.25584	-102.36764	10.16882	31.84568	6.42211	8.15521	57.18833
8.81561	1051.62399	1.00000	9.95278	53.76464	6.57261	8.71167	3.14961	6.00390	8.63292	43.74782	8.12549	43.63417	5.28664	43.96222	7.54673	6.29086	59.08782
8.28711	1125.44930	0.00000	2.60054	65.76064	7.46309	8.43582	2.49989	7.41793	16.66345	34.51381	4.84236	128.62667	3.81672	34.8825	6.66061	8.28527	74.35919
5.93915	1155.71638	1.00000	6.59158	71.62729	8.45290	7.47352	1.69360	6.76735	18.23190	42.66890	6.55179	-3.05814	5.53748	53.00974	4.07945	10.03878	71.83318
5.77411	1090.21344	1.00000	10.77936	60.38154	8.52474	9.19972	2.67733	6.45960	17.32292	58.31895	7.67351	71.67164	3.69844	30.29184	7.33607	7.31113	81.07541
7.63661	1108.55064	1.00000	4.78640	34.13386	6.48141	8.82350	2.00364	5.96603	10.09095	19.97941	5.13816	73.85535	4.11505	18.51957	4.30174	9.93119	75.77818
8.20803	1144.97275	0.00000	8.32736	57.10153	7.43436	5.78681	1.53961	7.90092	21.46586	37.07897	5.60409	178.00417	7.53210	-38.65333	5.14143	4.71794	79.31282
7.36493	1124.89905	1.00000	4.28652	26.94765	5.99891	4.71988	3.45860	8.11212	23.60198	49.68807	5.06968	-111.89903	8.95035	33.50921	7.19554	7.13183	66.79848
7.86991	1141.97627	1.00000	8.82703	50.79213	6.04157	7.78335	5.27576	6.64045	0.70193	57.98202	7.95876	4.86667	4.34606	45.51667	8.35223	7.43523	64.70328
5.76357	1075.85102	0.00000	10.75329	63.94293	7.26019	7.66879	4.49009	6.89160	20.18577	32.56314	6.14875	75.06583	8.42547	32.17629	8.19704	7.39564	70.88960
6.79683	1126.07209	0.00000	9.38616	20.56074	5.76955	6.57527	2.72246	7.43934	11.63004	56.97248	4.41040	8.73812	8.75367	41.91886	5.78093	4.75340	61.79924
7.26947	1170.06798	0.00000	6.96396	52.93298	5.42460	5.48296	1.93352	6.11328	2.37574	42.98395	3.06561	-0.29825	9.80148	51.39148	5.06941	5.61175	69.35399
6.64180	1172.05995	1.00000	6.31015	55.07234	7.47408	6.73972	1.81496	7.04578	21.88353	56.22039	6.48452	3.47717	9.34843	36.76639	5.50689	9.69002	73.28042
6.97332	1115.17125	1.00000	7.59737	35.37895	5.98303	7.73959	4.69035	5.88669	4.77351	41.78804	7.61819	44.02488	5.17995	32.61603	8.10492	7.41639	55.21145
6.60717	1181.91100	1.00000	6.21691	44.59711	6.46156	3.81912	2.77163	6.38946	19.34337	42.10214	4.51580	17.22635	10.12802	48.8449	6.69213	6.89651	76.06293
4.98202	1104.58702	0.00000	5.44463	45.94161	6.20263	8.68138	2.41285	6.53216	23.67249	55.01930	6.97458	-111.90466	6.20747	40.34912	6.57452	9.83906	52.12832
7.99519	1149.22473	1.00000	6.16725	32.00792	5.99575	7.55528	6.71361	7.33818	13.27929	40.71923	8.23561	12.53463	3.85724	55.67938	8.66818	6.50406	66.01119
8.39343	1189.73359	0.00000	6.91565	49.82005	6.37475	5.79989	2.66936	8.60082	6.13136	13.54365	7.22143	-88.3162	8.41928	42.24113	4.43065	6.23154	67.53754
6.25689	1194.04876	0.00000	8.48440	55.59510	5.28206	5.51211	1.86068	6.58245	26.39915	42.20007	5.82116	-73.49484	6.71272	41.14676	5.70199	3.56765	72.77874
7.28513	1177.38733	1.00000	7.86203	61.84975	6.98231	6.02272	39.98005	8.43227	21.38651	46.42462	6.73840	98.19151	6.90144	14.0823	10.64179	7.25251	65.07380
7.17067	1134.27413	1.00000	4.94780	51.34467	7.72017	7.06269	9.87760	7.59651	16.78482	59.98826	8.76119	9.5926	4.97431	52.86147	9.11295	9.72659	59.99437
7.60501	1094.87071	0.00000	11.79042	48.37153	6.23312	7.02422	4.05609	7.47581	19.08935	51.01139	5.68947	-52.20639	7.78122	-3.20333	7.38669	2.71490	54.01210
7.91597	1181.06047	0.00000	0.87189	62.01689	6.77982	9.40571	2.30183	7.20201	4.11239	49.51023	3.91651	38.66667	1.58379	-6.25	6.62025	6.75483	67.50199
6.05606	1108.25092	0.00000	10.04223	33.88522	6.97323	6.98781	4.96762	6.84265	16.53328	46.01530	5.00435	120.74792	5.10952	41.09822	8.23562	6.46614	67.37563
7.29570	1059.34270	1.00000	8.41482	42.25265	4.22762	8.52862	4.17747	7.25019	12.12069	53.28635	7.62303	-41.88778	6.94745	-21.205	8.02203	8.79095	66.02460
5.41111	1115.41367	0.00000	9.36015	67.43509	8.75345	8.68173	1.63923	8.00266	38.14843	42.81511	5.74964	-76.72803	9.01796	39.32288	3.91875	3.57616	67.55688
6.77343	1140.70089	1.00000	5.34048	52.14586	5.33691	6.39861	1.16232	7.20111	13.95790	48.08513	5.87060	-2.58736	7.00622	56.56317	4.50524	9.33356	43.26164
7.08019	1073.05315	1.00000	7.55323	47.94622	6.92156	8.93536	2.92016	5.72639	9.02700	50.56896	7.16311	83.62389	6.05741	53.30972	6.67482	9.36725	62.29133
5.99927	1073.36822		8.19116	35.19312	5.54675	8.19464	3.25582	8.27879	17.33547	49.69072	7.95149	-42.29444		-4.24444	5.78899	9.49395	78.05666
5.39216	1097.96356	0.00000	7.18862	35.06192	6.60322	5.82095	4.49503	5.96489	3.84398	47.43674	7.19379	-82.42491	12.34577	42.97086	8.14961	8.71842	63.67781
5.79477	1090.02762	0.00000	7.96532	38.37209	5.74805	5.71175	1.66582	8.91997	0.39324	40.31125	5.82526	32.6178	6.71714	46.65581	4.96488	4.40347	58.72475
6.96046	1056.56026	1.00000	2.83640	47.42614	7.25879	4.79368	2.19472	6.35834	5.51461	34.03456	4.47922	-88.31476	5.51459	36.61033	5.97664	7.18688	50.16708
7.10085	1052.41480	0.00000	3.40137	52.55500	7.21264	7.56567	3.19748	7.13881	9.19866	55.23324	3.10213	102.42587	5.58470	15.58552	7.53564	7.09495	68.29932
5.71170	1112.31547	1.00000	4.08272	38.65605	5.82317	6.03171	2.50978	8.26131	-6.80175	54.77748	5.26331	12.1369	8.16117	51.04962	6.86477	7.13029	67.42295
4.72129	1070.64100	0.00000	8.29977	57.19491	6.19320	7.17415	1.77556	7.22788	15.34633	41.40952	7.25606	12.1369	9.11067	51.04962	4.76715	5.20725	70.05233
7.25459	1129.47323	1.00000	9.47043	52.77815	6.73131	8.85096	3.10474	8.06676	17.72946	44.41297	8.40063	-81.79819	5.04758	41.48199	7.40339	9.66776	71.32730
6.38788	1069.85865	1.00000	4.53623	56.03891	6.64134	6.20592	2.17402	6.37194	23.39522	60.94346	5.61171	99.95469	7.74268	13.51825	5.43891	8.38638	64.01398
7.29533	1178.64829	1.00000	2.93293	41.59676	8.79541	3.48634	8.94933	7.92685	13.34908	34.48628	4.26384	8.96317	11.10430	48.35149	8.79384	6.82888	52.09687
5.08430	1199.09595	1.00000	6.07122	9.82336	7.68983	8.00567	7.63858	8.00745	-4.19463	53.43051	9.22540	-75.23266	3.46843	43.1009	8.79212	9.13794	64.40353
6.44940	1170.73613	1.00000	9.12441	45.07109	7.31078	7.10000	9.26412	6.82784	15.72347	52.97401	7.85562	13.32127	7.11992	52.59319	9.08147	8.20756	50.17302
7.19494	1108.67220	1.00000	11.84276	54.19239	7.75291	6.57363	3.63892	8.39942	24.38675	30.49534	8.13068	14.51472	7.45257	35.89972	7.74587	5.25966	65.66462
5.71112	1058.63380	1.00000	6.48174	58.33781	6.26011	6.09590	18.81398	7.43530	28.93245	50.09205	6.40678	44.02488	6.75161	32.61603	9.84910	8.19515	88.54450
5.88824	1120.58076	1.00000	4.45257	34.28856	7.78885	6.06435	1.77950	7.64928	20.68672	32.68189	5.63751	-59.13316	7.54114	-37.32167	5.14040	8.80477	72.13211
8.14095	1064.53381	0.00000	7.10684	45.60350	5.30978	7.06391	2.44126	4.88525	16.35305	41.46438	5.85826	-119.01677	6.49815	36.06523	6.76967	7.66597	63.46956
6.86294	1055.26643	1.00000	5.92787	42.26920	7.17150	5.94943	1.60392	6.47033	12.50083	60.55068	6.18086	68.88871	8.84481	25.95533	6.59157	8.59335	62.52060
6.41566	1117.61002	0.00000	8.85231	44.34321	6.64649	7.50802	1.70642	6.22299	18.68392	36.94307	4.90074	-73.02841	7.62259	-36.9256	4.35060	10.15250	62.63250
7.32338	1108.39705	0.00000	8.56076	45.55348	6.70247	6.12312	1.82516	6.65327	33.49374	32.32911	3.86925	24.14662	7.37858	65.84811	4.93687	4.30987	43.93338
7.30553	1106.33864	0.00000	8.26196	48.48951	6.46662	7.03027	1.38129	7.29288	15.71699	56.63552	2.74238	38.02486	7.58371	55.64776	4.01045	0.90088	46.78016
6.55631	1063.26114	1.00000	8.90077	39.96125	6.59888	8.86843	3.85522	5.72407	16.11957	40.45537	8.41761	178.00417	6.79418	-38.65333	7.57177	7.60237	45.67607
7.50400	1076.78535	1.00000	8.28054	41.32175	8.68186	7.98805	7.30339	5.49714	4.68029	38.35688	9.00586	-4.21376	4.78538	55.82885	8.54527	7.16229	74.29710
6.21363	1137.32853	1.00000	6.19181	46.16525	5.73248	6.91108	7.56411	4.53019	10.80624	57.76528	6.50993	-1.98956	5.12146	5.30383	8.73071	7.21589	69.87545
6.20060	1173.05309	0.00000	7.76197	48.52122	6.53733	5.37947	3.09810	7.36135	22.91001	38.65846	6.57126	7.02238	9.66689	52.21099	5.67399	5.74204	60.22302
6.88853	1156.86309	0.00000	8.33948	47.45322	6.90905	4.84714		7.89792	10.48849	36.16627	5.45230	81.54855	6.35222	26.2649	6.25973	4.54362	64.53864
5.55031	1159.88383	0.00000	4.98976	61.97345	7.69297	8.83405	1.42339	6.29098	14.09293	66.75148	5.82295	-2.16	4.93537	34.31	4.22257	6.30008	57.43246
7.83728	1108.12271	0.00000	10.28081	37.79870	7.47996	8.06441	1.72216	6.36545	11.18531	51.34107	8.31965	-119.27337	6.89160	50.26729	4.82286	3.89127	68.25196
7.08847	1099.47686	0.00000	6.65718	49.92320	7.44713	5.77609	2.56767	6.01276	11.87505	51.29272	5.49701	47.3799	8.25541	33.14447	3.93814	7.54452	64.19267
7.82238	1104.90134	0.00000	9.64371	37.14655	6.85443	4.81508	3.10661	6.96866	16.33249	28.33728	4.93725	76.32756	7.14036	9.57046	7.30433	4.82203	65.25812
8.04206	1056.44646	1.00000	7.94461	78.60323	6.73350	8.22743	5.45344	6.72781	12.71144	31.07599	8.01945	-7.32097	5.59833	41.1053	8.32417	8.62976	68.11069
5.01312	1082.44324	0.00000	7.53843	56.33754	7.54628	5.12016	2.05635	7.72781	25.24230	41.09803	4.21280	12.19458	7.92846	10.61285	5.44059	5.01417	60.73089
7.36800	1131.31690	1.00000	10.13300	36.78185	6.14653	8.54227	4.81307	7.32129	11.69788	50.51467	9.19753	-2.77259	4.18651	37.49073	8.16826	6.92205	57.25889
8.86953	1075.55634	1.00000	9.46785	33.94519	6.52291	10.11825	1.58778	6.63268	15.37355	41.73505	10.06804	4.69889	3.22324	50.56149	6.48737	7.98656	60.17659
8.14130	1178.71895	1.00000	9.89598	26.27825	7.68256	6.88421	10.55079	8.37703	20.19206	64.08682	6.95767	-2.52398	7.00324	53.19146	9.14972	6.85846	54.17660
5.38218	1134.31780	1.00000	6.28794	33.42088	7.97582	6.58009	2.58456	8.92526	14.00569	37.51609	6.44997	-70.20749	9.23252	8.62261	5.81851	9.49815	51.86527
4.98313	1087.45500	0.00000	7.95555	53.86933	7.38552	5.88155	1.63630	5.85881	22.70921	86.26256	6.23746	-34.88111	7.65729	-8.05389	4.90351	5.83836	78.16723
6.40402	1170.27998	0.00000	6.53978	50.34337	7.61774	4.68383	2.92228	6.52062	23.31749	41.81385	5.67312	4.82313	8.62017	51.24197	4.73913	7.89311	59.19287
7.22366	1105.57503	0.00000	4.24648	51.37629	4.62889	6.75207	4.35488	7.70623	20.87953	53.66453	3.19061	107.60627	5.29399	51.82721	7.90939	5.47571	66.24135
6.59892	1102.67673	1.00000	8.97335	45.20346	8.15100	7.51746	9.92505	7.10560	15.99683	57.64122	6.61555	109.22921	6.27025	34.65918	8.96284	8.22784	56.92585
7.67089	1199.94279	1.00000	7.17898	49.17728	7.30429	7.68032	4.68539	8.02723	3.44437	57.48649	7.08500	65.93249	4.46350	36.21544	7.83288	7.67655	49.96769
4.69579	1061.15766	0.00000	6.47707	68.62504	5.84608	7.45097	2.57232	6.61262	32.61911	46.02118	6.97785	77.24779	7.16444	10.58806	7.01711	8.89782	77.48274
6.54858	1128.62727	1.00000	9.78807	46.98170	5.99366	10.76067	2.48321	5.91487	-14.63579	22.28019	9.10512	77.9129	4.80377	25.6439	6.02441	9.75017	79.13737
6.81573	1131.61643	0.00000	4.32243	42.98715	9.10418	7.97182	2.51609	6.25958	5.55946	39.63479	3.93792	17.80774	4.30171	40.55851	5.85448	6.54342	61.55607
5.86921	1112.34973	0.00000	8.10674	41.92272	5.44798	4.96157	1.94329	6.97223	20.59767	43.74041	5.22004	1.33467	6.37864	43.61058	5.90474	4.57096	60.40607
5.14038	1102.08950	1.00000	2.51821	54.49639	7.42820	2.55445	1.97607	5.47209	35.56126	39.76622	2.92642	35.23388	7.93064	31.78336	5.79077	6.29019	60.47397
7.11763	1145.68717	1.00000	6.36488	48.83039	7.97655	7.20941	1.91993	5.18914	2.57859	57.29714	6.73488	-0.74934	8.13157	51.62907	6.01370	10.18228	51.07055
7.09326	1079.41342	1.00000	10.25321	34.32212	7.36256	7.06672	10.89397	7.45377	20.57249	52.51838	5.26515	-82.32483	5.68141	29.65163	9.30859	8.38170	73.20418
6.54809	1115.23735	1.00000	8.59242	38.26768	5.05491	6.71536	28.34675	6.79929	36.79686	40.31278	7.90107	4.82313	5.53368	51.24197	10.27894	8.60795	69.63950
5.98431	1149.81797	0.00000	5.94530	36.85268	6.18625	7.88920	1.92074	7.85942	2.47040	35.72586	5.58261	117.59152	6.19790	3.31332	5.86084	6.97669	65.67324
7.71801	1141.90072	0.00000	5.93251	43.49827	6.33230	3.69241	1.22574	7.73708	18.36445	22.35902	4.24825	77.24779	5.74952	10.58806	4.74756	3.46332	67.32501
