longitude	CO	PAHs	TEMP	PM2.5	SO2	latitude	PRES	H2CO	Pb	PM10	O3	CH4	warning	C2H3NO5	CFCs	NH3	NOx
-97.92977	8.69175	9.50269	6.79954	5.77167	5.83933	38.06084	1091.11201	79.75626	55.01070	9.53965	6.73984	8.29042	0.00000	0.46005	38.45608	6.18684	7.93250
8.70745	9.31983	6.12447	11.29759	5.14591	6.37163	49.03685	1118.37733	43.36331	53.20464	8.81240	9.06730	7.63278	1.00000	0.22144	73.06915	8.48003	8.00299
49.62251	9.89153	7.67971	9.42207	9.35615	6.96989	27.0174	1188.07430	50.79543	25.13102	8.86576	7.10956	6.00317	1.00000	0.27222	65.58381	9.11729	9.20457
-80.66756	3.79499	7.33918	22.21925	5.65274	9.01021	26.68451	1182.19130	54.83096	46.20187	10.51088	6.87409	7.07956	0.00000	1.19680	59.21370	5.66728	6.71554
8.64409	8.17029	5.49478	21.27494	6.56710	5.52137	48.07667	1105.43273	54.53576	31.18620	7.93938	7.11501	8.01107	1.00000	0.11618	36.98768		7.57344
103.61667	6.45514	10.09719	24.57731	7.72834	9.22184	-1.6	1070.10818	67.66502	37.00248	7.51608	7.34651	7.30305	0.00000	0.08167	39.18185	6.04169	6.48978
114.33333	8.99348	7.25612	27.51534	8.62942	5.35340	-8.43333	1115.76168	35.41187	54.52512	6.64926	7.00342	7.67109	0.00000	0.09252	49.00321	5.80342	7.35199
10.5511	9.45708	6.59401	30.07810	11.98743	4.89238	52.47774	1119.22890	31.63826	59.99568	8.52111	9.14036	6.97934	0.00000	0.17594	44.45442	3.36427	7.60905
78.27539	8.22338	7.60294	-2.95060	6.65385	6.10649	12.95629	1079.99237	42.19679	76.49515	9.94661	8.61598	6.62342	1.00000	0.70517	49.53674	8.65561	6.49628
-4.0573	9.19533	7.50334	24.29429	7.09665	7.97456	55.82737	1178.57968	45.28523	49.90133	10.82703	7.77183	7.35979	1.00000	1.66584	42.53233	6.28476	5.46663
-2.98333	7.83575	9.21047	9.04070	7.47322	4.65715	53.83333	1167.70691	49.77144	58.40211	9.22536	8.04808	7.84883	1.00000	0.39537	40.66989	9.39406	8.41681
-76.43941	6.85141	8.11441	25.87205	7.93205	9.56679	39.33427	1155.66403	26.25646	50.85368	8.20820	8.33792	6.62614	0.00000	0.14435	40.20237	5.77509	7.01568
33.9162	8.46174	7.18196	30.54261	8.25168	6.00446	51.67822	1070.92787	58.63591	47.41897	6.88716	7.35599	7.48006	0.00000	0.05446	30.98220	5.20230	8.10405
-81.38758	7.72143	7.83532	4.83342	10.27276	7.96442	30.17746	1064.52126	70.44990	77.74755	8.52765		7.82277	1.00000	0.20128	40.88970	8.85605	6.76950
-3.52751	9.72489	10.45521	11.31289	10.74345	5.99949	50.7236	1134.19470	57.44428	40.85572	4.75629	8.08406	7.44633	0.00000	0.01287	58.69963	6.82526	7.37396
3.87723	7.61068	9.61108	1.85627	6.69870	8.91956	43.61092	1130.59202	35.47092	60.48499	7.87430	8.90559	6.90595	1.00000	0.14885	50.51103	4.32252	6.12336
5.4384	8.36185	10.11216	16.38795	4.92801	10.86436	43.2907	1193.51415	17.55857	53.45393	11.19712	5.85576	8.24719	1.00000	2.35476	76.14642	2.28413	7.64904
-58.44417	7.93499	5.89530	4.22325	8.78090	3.86557	-3.14306	1097.43683	56.70031	75.78038	6.23356	8.66888	7.92305	0.00000	0.07202	45.14477	4.57886	7.28583
36.73307	7.43346	9.43590	36.11913	6.78582	8.96667	55.38752	1138.87878	54.08319	34.01441	7.17421	6.20181	8.24868	1.00000	0.06537	53.61332	6.45825	8.72285
-1.98956	8.77241	9.60152	20.87774	4.56665	8.92183	5.30383	1050.71436	47.68866	65.61090	9.34036	6.69216	7.90067	0.00000	0.39942	63.07957	2.48830	7.79970
17.4674	8.72260	10.51158	4.38817	6.07300	9.23474	50.86079	1104.99975	52.21077	38.61182	6.52583	6.46281	8.42938	1.00000	0.06834	37.92618	5.24309	8.37656
15.46667	8.16700	7.59145	42.47814	7.51574	8.10592	47.05	1080.04273	54.55351	61.99777	9.60272	7.20250	7.54074	1.00000	0.54112	22.83419	6.69727	8.64179
92.48278	3.33449	9.25365	21.93768	4.47518	11.56538	58.23583	1155.31880	63.87648	52.30785		8.98659	8.02007	0.00000	1.00183	42.67204	7.63019	7.31084
33.2525	8.72175	8.98877	3.61551	7.55616	7.31457	57.97472	1136.34949	44.74269	49.15035	8.08415	7.50202	7.19077	0.00000	0.13197	60.70645	5.00283	9.04401
41.77921	9.18694	9.96694	7.08530	8.01641	5.90055	41.82143	1113.15673	53.53887	54.85855	4.11408	7.08088	5.53045	1.00000	0.05181	53.37082	7.92584	5.68599
18.69303	11.11242	8.04910	-3.92707	5.12997	7.52388	12.18441	1177.10461	65.56372	44.86119	8.30919	7.07329	6.70777	1.00000	0.16228	42.14411	7.74033	9.38081
91.00632	5.59238	6.93672	9.53733	6.11451	9.84745	26.32293	1066.55724	46.13147	57.03581		8.45255	8.28076	0.00000	0.22810	47.86853	6.59106	7.47201
144.09638	8.41596	6.19169	27.31136	5.22802	5.98847	43.82634	1184.92150	54.38582	25.25102	6.15553	8.48246	7.17950	1.00000	0.03540	52.49008	7.08532	7.14750
138.31667	9.17746	6.24901	22.84669	5.84138	5.99706	36.65	1158.71896	44.86236	59.45831	11.04823	8.70928	6.70803	1.00000	2.07189	47.62754	5.95485	7.01357
47.1192	9.63249	8.00649	-5.15272	6.67304	5.63814	42.819	1180.05584	47.54014	60.88672	7.82293	6.87530	7.84821	1.00000	0.13550	81.17485	9.06234	5.89399
-119.0376		9.86183	-6.24716	5.32959	9.56423	34.21639	1107.05765	50.52450	49.47304	7.86914	8.37006	6.52144	1.00000	0.11602	51.36616	6.38001	7.46408
-48.52333	9.86934	3.89478	2.41600	8.11077	7.10964	-0.71667	1146.05524	52.34395	68.90027	5.48850	6.92590	8.35746	1.00000	0.04996	55.85011	7.94182	
-77.43532	8.15007	8.00939	19.54465	8.73500	5.13034	20.14298	1096.00230	42.32926	43.31799	3.48351	7.78986	7.37793	0.00000	0.04180	12.04759	5.99275	7.69560
137.95378	6.14457	10.25868	-2.66121	4.05377	10.90395	35.82756	1129.22650	27.03826	45.20370	10.23156	8.56915	7.66574	1.00000	0.92700	48.53799	1.89085	8.17007
-96.39774	11.44906	11.52578	14.36419	10.35048	6.51253	30.16688	1112.44216	40.63033	39.03356	7.14739	7.70229	8.48427	0.00000	0.06891	59.68490	7.79803	9.20754
26.01649	9.14045	5.55603	22.04577	8.70040	4.08575	44.43579	1058.09818	59.65267	54.69653	5.21621	5.15043	6.93035	0.00000	0.02229	43.89742	5.29095	7.78514
-122.24092	7.92830	3.96183	27.71442	3.48933	6.04397	47.4943	1158.07505	43.59880	36.95515	7.72653	6.27324	7.73165	1.00000	0.10409	58.31833	6.77789	9.36310
113.82465	8.62781	6.93457	8.48838	4.71456	5.02879	23.29549	1166.41487	22.27322	43.08382	9.18903	8.36874	8.35590	1.00000	0.36459	35.34915	8.77570	7.83182
2.59753	9.14213	8.75322	20.03535	7.19237	7.73590	8.88649	1170.76926	58.33950		13.13915	7.31203	7.34852	1.00000	16.31804	33.63865	10.47298	6.18070
-69.96533	9.89251	12.13050	-2.22171	5.18782	5.56566	43.91452	1111.78565	46.78457	45.39508	10.83683	6.85884	6.94495	0.00000	1.67003	42.49393	7.04386	8.16005
24.14662	7.99785	9.90003	10.89163	4.83923	11.05616	65.84811	1078.84122	84.05001	62.35397	9.67014	7.46268	8.98139	1.00000	0.54384	39.80684	4.38621	8.17453
-60.1831	10.06638	7.42660	-12.34369	6.75904	7.19008	46.1351	1176.02884	39.12311	56.09529	9.04343	7.89570	6.93377	1.00000	0.29462	52.27168	8.34354	7.78128
3.39467	9.43814	6.60961	34.74911	6.73948	7.43301	6.45407	1118.28678	43.65456	52.96457	7.99682	6.43847	6.25453	1.00000	0.13421	71.69793	8.00801	5.12116
-76.43941	8.07364	9.01149	27.74244	9.13676	5.01531	39.33427	1068.98066	50.73807	44.83285	6.21600	6.80442	8.13823	0.00000	0.07897	39.12009	5.10135	6.69242
74.4818	9.69881	3.96418	16.11170		9.37717	30.21121	1115.22473	45.98291	44.74517	8.39858	6.99417	6.53228	1.00000	0.15354	40.05246	8.69066	7.01654
19.27498	8.15859	5.27703	25.12332	7.03560	5.55222	50.20528	1095.97155	56.73805	33.84252	7.20000	8.50898	7.60907	0.00000	0.11556	50.74282	4.68445	7.18638
-74.26419	9.20980	5.29218	1.08254	6.12341	7.13111	4.73245	1138.60050	41.72360	47.24436	7.42407	6.11891	8.19584	0.00000	0.08606	67.75332	6.45707	8.09150
-78.04471	8.81293	9.13462	26.51604	8.92000	6.26468	34.25628	1085.29463	47.01092	39.07251	5.78893	6.32684	7.59412	0.00000	0.01035	45.98557	6.53436	7.08883
-0.76667	5.46219	7.24682	2.80807	4.89940	10.09580	53.38333	1091.86951	40.62595	55.11065	9.88629	7.36933	10.32259	0.00000	0.70827	44.71616	6.67639	7.14146
13.28702	7.68495	10.38677	12.57156	5.57607	6.67820	52.4581	1180.99301	41.78123	61.54260	11.40340	8.27639	6.17050	0.00000	2.93932	46.56968	5.87524	7.37570
9.72749	6.89654	10.71535	11.49069	6.62961	11.80379	48.28259	1070.34212	59.85054	57.16158	9.63154	6.95490	9.26878	1.00000	0.51021	63.17636	3.65358	7.50615
-0.76773	11.05065	6.71872	12.01521	8.89056	7.89673	38.38479	1131.61386	65.78594	50.82424	7.47850	8.46420	7.86756	1.00000	0.11466	64.19093	9.05298	9.82212
2.1699	5.88219	9.22796	-12.10351	4.73673	7.56085	48.98994	1187.82637	56.19214	55.41688	10.33176	8.63753	6.47446	0.00000	1.01778	63.85927	6.83529	6.46918
99.89166	10.95058	7.13966	6.82808	5.60098	7.09250	15.46063	1075.93679	35.58784	44.92456	10.42067	6.31551	7.09380	1.00000	1.09892	46.28120	7.31847	8.18361
71.57118	9.61797	6.57556	34.53410	6.71942	6.81550	32.87533	1168.32779	54.50825	43.09822	6.99331	8.40610	7.49441	1.00000	0.07753	57.84167	7.87000	6.50273
4.69889	8.32826	7.56616	11.22777	8.41435	4.37345	50.56149	1147.86638	51.49615	50.23979	4.31580	9.03796	6.81527	0.00000	0.04205	46.14106	6.22257	7.92072
-2.01111	9.48585	11.47101	10.78555	7.48521	9.30963	52.66277	1084.05895	47.91260	48.99824	7.38549	6.95079	7.89735	0.00000	0.12193	57.73584	8.67175	6.71778
-93.71133	5.91253	8.22564	10.83166	5.15397	9.30707	41.57721	1119.39611	78.91616	55.95871	10.70079	9.28459	5.99015	0.00000	1.45620	37.52919	6.65768	8.31295
100.04427	8.34161	8.73421	22.52016	9.21771	5.09602	13.8196	1051.77084	70.90155		6.87030	7.26710	7.79817	0.00000	0.05654	49.92313	5.00138	5.89782
123.99333	10.11679	11.46006	23.93781	8.43686	6.31099	12.97389	1166.66149	55.69652	28.29049	4.05815	7.62904	6.41024	0.00000	0.02388	59.61449	8.99640	7.08153
-111.89903	9.00837	12.83294	27.64236	8.89847	6.78696	33.50921	1175.83831	36.01491	30.74555	7.24536	6.23782	8.08136	1.00000	0.08848	49.80573	7.30907	6.19568
-117.54866	8.84986	9.29234	12.44887	8.97499	5.68797	33.93113	1104.56929	38.55541	36.55058	3.69632	7.28324	7.68485	0.00000	0.01752	36.56015	7.32659	6.63743
-91.11667	10.53341	8.02505	7.21955	5.71979	7.49256	14.93333	1063.24267	52.30439	61.29227	8.93245	6.45504	8.56598	1.00000	0.27211	53.29809	5.76453	6.79618
-0.91979	9.29072	11.62401	15.99499	8.59048	8.12253	51.42708	1116.69726	77.30422	45.63619	7.70884	7.59943	9.00979	0.00000	0.11191	42.45173	7.41177	
86.59611	7.98894	11.58052	23.69482	3.37914	4.62491	25.87498	1133.95464	35.22464	52.30400	12.63519	7.00643	8.53675	0.00000	9.91292	42.39391	6.70214	7.91616
89.20083	8.31325	7.20322	24.06344	7.04057	6.43785	55.54028	1179.23036	50.53054	38.23560	5.90888	8.60263	7.70480	0.00000	0.05882	30.57317	6.50954	7.46374
2.12213	8.57916	10.41853	28.25452	6.22853	7.49801	48.8222	1067.08987	58.47053	22.95503	3.85559	7.66051	7.65115	0.00000	0.03437	39.69575	8.61308	7.01894
115.70111	8.43972	8.46016	17.37136	8.08905	8.34777	37.73222	1140.26190	46.47134	54.48383	8.44258	6.97327	7.37927	1.00000	0.19938	40.47187	7.45784	7.44929
18.84	7.08994	9.31011	22.40136	7.38871	9.89420	42.28639	1118.11920	64.96972	76.78598	9.87310	6.93859	7.57103	1.00000	0.63487	36.69529	4.03024	8.15427
-0.76667	7.65569	6.98537	18.95460	6.20954	5.90171	53.38333	1094.33116	50.49026	28.95204	11.74100	6.55118	7.50577	1.00000	4.03587	56.01076	9.96554	7.79041
122.05228	7.68686	9.05704	31.43569	7.30330	9.72967	37.19723	1141.82603	57.91850	61.31634	7.27973	7.45592	7.43143	1.00000	0.06375	64.97613	9.04431	8.47540
7.02238	9.05312	6.74390	31.90056	9.00590	6.67066	52.21099	1069.45789	44.87496	62.10155	6.94864	6.87835	9.95950	0.00000	0.12617	76.11011	5.25659	6.13108
139.07204	5.60688	8.36110	14.60502	5.70385	9.20090	36.24624	1072.06718	63.58889	37.49454	8.05543	6.79045	9.35010	0.00000	0.12745	57.28167	6.35259	8.26976
123.89071	9.02065	10.64553	20.89318	10.81589	5.61105	10.31672	1197.43674	37.85545	42.42017	5.63060	7.29948	8.10022	0.00000	0.03936	52.58929	6.36191	7.14341
27.25	8.11229	9.75624	0.65058	11.05911	4.27505	42.7	1083.91237	18.10076	48.44908	4.50375	7.63715	5.51220	0.00000	0.06101	48.10657	4.79406	6.18725
34.4587	9.18992	6.51627	26.63164	9.42130	6.19156	-13.7804	1140.02122	72.31543	88.56468	7.57980	7.74175	6.12169	0.00000	0.11324	52.17515	4.96608	8.37017
103.6032	8.73059	6.12050	17.49196	6.29288	6.67015	1.6561	1147.91731	46.07049	49.34556	9.83824	7.03604	6.80970	1.00000	0.67005	48.21019	9.38884	6.36893
4.7934	8.58851	9.75365	28.54913	4.72114	10.20492	45.69558	1158.27125	52.72819	56.34300	10.00436	7.66201	6.93402	1.00000	0.78634	38.06211	3.13730	6.40807
-48.52333	8.59422	5.78944	8.39146	8.01462	6.27276	-0.71667	1197.68107	41.76578	77.00927	9.22660	7.39585	8.58742	1.00000	0.36117	47.52473	9.19811	7.87864
-89.10944	5.64093	8.80261	2.24076	4.67584	8.49491	13.70167	1120.86996	65.66129	70.24929	9.54878	8.33430	7.49410	0.00000	0.48412	45.83710	6.38921	7.32334
-72.22625	9.57408	10.16497	19.51072	4.35989	9.50257	18.57677	1094.64155	47.40916	32.12229	6.27047	6.18670	7.84932	1.00000	0.08909	56.83513	7.16582	6.65280
99.89166	8.85785	5.55070	12.73509	8.28449	7.60224	15.46063	1128.25176	61.86481	49.93845	7.03017	7.17641	8.41126	1.00000	0.09899	37.50973	8.38841	6.52753
104.64992	8.03631	3.97033	14.15928	9.13387	7.09024	14.64056	1073.59652	55.80000	89.54188	8.14084	6.92728	9.07767	1.00000	0.15110	72.12868	9.09610	4.57803
-1.08593	9.91098	7.19693	17.16551	6.61919	6.05825	50.79205	1157.78449	55.75877	31.84483	9.79673	9.25524	6.50961	1.00000	0.61118	56.05560	6.48150	7.43964
-103.42897	4.99335	7.20534	12.92978	5.91365	11.03632	20.28527	1074.29160	44.23606	58.32378	8.16234	9.17417	8.39150	0.00000	0.14343	50.66882	6.41231	6.55003
31.3237	8.43036	6.12797	4.43114	6.89106	4.32272	52.4089	1084.18256	47.21769	72.84963	8.85494	7.10641	7.28401	1.00000	0.27595	39.80261	9.22799	7.61802
42.54536	8.32156	6.42280	13.65988	6.80433	5.21628	-0.35817	1065.83333	67.77031	36.63116	8.91586	7.42043	6.66758	1.00000	0.26900	52.38025	8.53391	8.22607
101.44167	7.32336	9.73207	11.99011	7.72643	8.26155	0.51667	1089.96304	29.21980	53.15486	9.90083	7.06772	7.05306	0.00000	0.69335	38.59946	4.79483	8.78693
75.11937	8.17510	6.19832	20.83013	8.25310	10.43708	20.88098	1126.78638	42.31313	58.62674	6.35265	8.75643	6.97589	0.00000	0.06856	43.50399	5.95656	7.79346
-13.2356	7.16049	9.66151		6.81244	4.56320	8.48714	1104.96747	52.40014	61.50182	11.69550	8.45714	8.37750	1.00000	3.89274	52.49296	11.49586	7.27817
77.54372	9.45318	6.32727	9.41103	6.29595	6.51269	10.12268	1086.90180	63.28593	62.94640	9.75532	6.72032	7.27291	1.00000	0.59094	53.48148	9.41559	8.39617
-117.14392	8.80593	7.61056	15.73646	6.32927	5.73125	32.9156	1050.14755	48.26508	31.18335	8.10788	7.46847	8.34129	1.00000	0.15170	49.14218	8.34230	7.03073
123.99333	8.00458	7.99956	19.25537	6.83782	8.50095	12.97389	1144.12971	48.37917	29.02327	11.51553	7.77442	8.93481	1.00000	3.26600	75.13666	3.87920	6.09449
103.6032	5.08931	7.31648	-3.52067	4.92508	8.97441	1.6561	1172.32080	53.70516	56.49040	8.55733	6.34167	7.05196	0.00000	0.19946	51.87001	6.55882	6.76635
110.71639	9.40185	9.84121	25.04540	8.51914	6.16365	-7.54972	1192.92807	46.01245	31.26464	5.76011	7.76946	6.66376	0.00000	0.07577	52.47163	7.15998	5.26502
10.58082	8.45985	4.83656	9.20898	5.35184	5.89483	35.72917	1115.15031	19.98297	40.33640	9.23284	7.34928	8.99453	1.00000	0.34299	27.20006	8.46338	7.03148
-77.96389	4.70424	9.19127	4.59109	5.73140	8.18503	39.45621	1069.12841	72.38409	34.79099	7.79992	6.30782	6.13379	0.00000	0.10715	53.16236	6.89733	7.46467
137.5	8.08461	9.93485	12.19348	5.66370	10.35124	34.9	1181.13238	27.61319	56.16098	8.40834	7.15150	9.78741	1.00000	0.19525	51.82531	5.67700	8.12453
137.5	8.62235	9.95441	31.41941	8.92796	6.16391	34.9	1177.64653	50.89622	59.69318	5.98291	7.44628	8.30784	0.00000	0.01992	58.67002	6.46329	7.81199
122.20488	10.04377	11.56424	20.40855	2.87438	10.58029	29.98869	1141.68232	71.25570	48.64609	6.28842	7.59091	5.28700	1.00000	0.05757	48.47856	4.46027	9.16086
38.16694	4.15089	8.50639	19.06479	8.49528	13.65915	54.84444	1066.77015	58.88106	57.50321	6.73422	8.11459	8.67800	0.00000	0.05631	42.72690	6.13551	6.65202
-48.29694	8.16720	6.97231	9.87573	8.20853	5.56055	-20.87306	1150.76408	67.55818	44.48496	6.62537	6.91824	8.63507	1.00000	0.07215	45.93962	5.08196	7.76836
4.7934	7.43287	9.39240	4.52317	5.04829	6.05572	45.69558	1089.64746	49.87605	60.58078	8.91106	8.17555	8.30332	0.00000	0.29240	41.91613	5.96208	8.33075
-86.57415	7.49647	6.02579	10.58154	7.17394	4.60977	15.48131	1072.17621	31.31933	48.91278	5.84009	6.78812	7.31998	0.00000	0.06982	43.44556	7.65780	8.42634
99.1625	8.34136	7.30755	22.81037	7.34166	5.25112	3.3285	1140.00215	49.71841	72.00752	4.52514	7.40302	7.58589	0.00000	0.05112	56.10498	6.31621	7.36660
55.4504	9.70286	8.18346	28.29309	9.91312	4.85418	-20.88231	1170.57899	70.00956	23.10305	5.35228	7.28609	6.32341	0.00000	0.03089	45.43019	6.46662	6.09097
-3.52751	9.15191	10.58557	19.21729	5.47946	10.56629	50.7236	1157.27008	65.27690	28.25976	7.55015	8.14082	6.50037	1.00000	0.08669	42.41351	4.96397	5.66543
-1.06667	9.52809	6.98236	-2.69504	7.63460	7.39968	53.78333	1162.54035	58.86070	42.93899	9.87172	6.62903	8.27403	0.00000	0.65834	65.61113	5.45846	5.10089
151.08057	8.37986	7.26193	17.29122	7.28575	5.70424	-33.79176	1069.83642	35.55822	46.25629	6.96572	6.98405	6.02857	1.00000	0.06162	44.02763	7.69741	5.25047
-73.20483	6.11584	5.32913	23.02184	4.65261	3.14785	41.16704	1082.08099	65.70704	39.88703	9.13865	7.21640	6.55432	1.00000	0.33889	37.39947	8.43982	7.04757
89.20083	9.70977	9.78031	6.19288	9.28367	8.80247	55.54028	1183.50700	64.39459	53.39177	7.10627	8.63528	6.10906	0.00000	0.10016	38.94443	6.94921	7.65266
7.00417	3.59157	8.65798	12.07836	7.33851	9.31277	52.26083	1051.82484	47.22461	43.85888	9.01183	8.12328	7.77710	1.00000	0.30336	49.52637	4.80388	8.78926
112.73333	5.91768	8.96937	19.66006	6.46883	10.18539	38.40917	1152.78386	55.43226	52.37587	8.16418	9.77347	6.86617	0.00000	0.15063	66.41073	6.51972	6.22620
120.82747	12.76310	7.13395	20.60083	8.83233	8.85232	37.30553	1094.79762	42.47010	20.42369	6.81411	5.24253	8.88422	1.00000	0.06139	47.39595	7.96049	5.99649
28.19028	7.80060	6.77114	32.48784	7.78588	6.51338	59.37722	1184.38671	42.97359	62.93978	5.86619	5.95085	7.54083	0.00000	0.04517	60.04186	5.48287	7.71846
2.12213	8.42429	8.66737	35.85393	7.98398	10.01011	48.8222	1114.72836	62.76656	27.26740	9.52104	7.97587	7.87665	1.00000	0.48085	53.13019	8.52355	7.98441
-1.29772	9.38306	7.26988	31.58181	8.02393	7.87483	50.76306	1065.73605	53.60302	64.69582	8.33723	7.61271	7.02095	1.00000	0.16649	28.03526	8.40130	7.24481
74.4818	9.31321	8.49601	14.54301	5.89600	8.52275	30.21121	1170.06383	52.05032	31.98444	9.83408	7.89829	7.14747	1.00000	0.64270	64.46831	5.57006	6.48981
-41.25528	8.57210	10.63683	8.55481	8.88340	6.48962	-19.32556	1119.48028	61.51026	61.91924	6.28693	5.45792	5.63347	0.00000	0.04142	48.94675	6.41288	8.04283
-89.99038	10.28920	14.58588	18.00132	9.40711	6.27725	38.58894	1093.20230	33.97205	51.04262	4.71774	7.16989	6.96361	0.00000	0.06158	50.74831	9.59395	7.34635
-48.52333	9.91671	7.50838	-0.43355	8.09782	6.44010	-0.71667	1176.51566	49.80820	28.62263	6.35333	8.78191	6.25990	1.00000	0.08576	33.70529	8.22197	6.89188
91.00632	9.31163	5.86607	10.35512	10.37065	5.34168	26.32293	1073.84646	58.87736	51.08197	9.34226	8.14285	7.02883	1.00000	0.40893	56.25886	11.38421	7.40191
171.25364	8.10291	7.48460	17.28894	7.68647	6.59193	-44.39672	1155.27329	40.68816	40.06175	6.38729	6.18483	7.23253	0.00000	0.07610	34.16279	5.96820	7.98172
-91.11667	9.45378	8.32344	22.31480	6.70515	8.14098	14.93333	1074.83681	33.24272	36.08130	7.97870	7.59545	7.82976	1.00000	0.14298	48.69818	7.59075	9.42143
10.58082	11.20734	11.93885	10.48287	11.08013	6.78609	35.72917	1110.53118	28.56956	56.41501	7.48195	7.46396	8.05141	0.00000	0.08428	32.78336	7.45400	8.38263
-80.22588	9.16279	9.19909	27.99049	5.86804	8.60196	26.2173	1197.31975	47.00167	30.51185	8.94826	7.87415	8.52413	1.00000	0.29958	63.98248	4.32703	7.82521
103.6032	8.31008	6.19011	5.24425	4.18570	5.03402	1.6561	1081.03936	42.18658	49.84134	8.78800	6.87083	9.67411	1.00000	0.25873	33.38635	8.49064	6.56784
135.21667	9.94718	9.49919	9.54157	8.10506	6.91331	35.06667	1147.32798	48.30873	67.88911	11.20858	8.89005	7.41844	1.00000	2.41623	66.57428	11.47143	7.99088
-97.35992	8.77868	7.63203	17.08041	3.93643	8.38037	19.8173	1129.47782	40.87146	42.76753	5.46293	6.54850	5.85233	0.00000	0.07997	69.54791	8.65606	7.40720
19.27498	5.24372	9.03205	10.62698	8.67701	9.54800	50.20528	1079.22835	45.33208	65.75704	5.64539	7.66140	6.63290	0.00000	0.04245	44.21550	5.38973	6.65939
39.8302	5.48460	8.79609	-1.40023	6.72764	9.19977	64.5635	1082.85439	35.44874	56.58865	9.75625	5.81958	7.18546	0.00000	0.56788	42.10434	6.01404	8.19418
129.96972	11.27012	8.66605	5.67140	4.93179	9.25544	33.4425	1090.36476	54.16769	37.53647	8.24520	8.04271	5.90884	1.00000	0.15765	32.10054	9.02870	7.14765
-73.95097	7.26257	4.58610	-2.78624	3.98301	5.92936	40.72371	1118.95292	55.15430	22.87945	11.09781	7.38034	6.32823	1.00000	2.13797	46.77789	9.14080	7.64559
112.73333	10.69302	8.91818	2.40571	4.44691	8.46627	38.40917	1110.03817	37.84529	48.31859	8.55236	8.05008	7.74966	1.00000	0.19895	46.41527	6.61980	8.86857
-72.47417	9.21970	5.72924	15.40216	6.69067	7.55320	7.83389	1070.58892	26.95102	66.86147	7.04364	7.28228	8.08955	1.00000	0.11124	45.10591	7.03364	6.61856
124.84472	9.10801	11.64862	21.39844	5.62658	5.65183	10.13361	1055.65974	44.08813	60.03450	10.94856	6.44905	7.66231		1.86180	44.51808	5.98779	6.58370
