station	code	revision	QoS	latitude	longitude
Malakhovka	RU	2018-02-03	good	55.64776	38.02486
Houthalen	BE	10/06/2012, 00:00:00	building	51.03427	5.37429
La Trinidad	PH	11/04/2012, 00:00:00	good	16.455	120.5875
Solntsevo	RU	2019-08-12	building	55.63711	37.38115
Kuvandyk	RU	2020/07/14	maintenance	51.4781	57.3552
Efon-Alaaye	NG	2017/07/11	maintenance	7.65649	4.92235
Ilopango	SV	2013/07/13	accep	13.70167	-89.10944
Milagro	EC	15 Sep 2020	accep	-2.13404	-79.59415
Perugia	IT	2021-04-07	good	43.1122	12.38878
Negotin	RS	2019/11/26	accep	44.22639	22.53083
Negotin	RS	15 Aug 2019	accep	44.22639	22.53083
Kafanchan	NG	20 Mar 2019	average	9.58126	8.2926
Odessa	US	08 Sep 2019	accep	31.84568	-102.36764
Wevelgem	BE	2014-06-02	excellent	50.8	3.16667
Goyang-si	KR	2017-10-16	excellent	37.65639	126.835
Milledgeville	US	2021/09/22	good	33.08014	-83.2321
Somoto	NI	2017-05-10	excellent	13.48082	-86.58208
Newbury	GB	2016/01/10	excellent	51.40148	-1.32471
Tupelo	US	07 Mar 2015	accep	34.25807	-88.70464
Oldenzaal	NL	11/07/2018, 00:00:00	excellent	52.31333	6.92917
Srinagar	IN	01/01/2018, 00:00:00	average	34.08565	74.80555
Mechanicsville	US	06/03/2016, 00:00:00	accep	37.60876	-77.37331
Frenda	DZ	07/28/2021, 00:00:00	excellent	35.06544	1.04945
Culemborg	NL	2020/09/20	excellent	51.955	5.22778
Colomiers	FR	16 Nov 2020	good	43.61058	1.33467
Viewpark	GB	09/06/2017, 00:00:00	accep	55.82737	-4.0573
Bang Ban	TH	2017/04/30	excellent	14.37395	100.48528
Suzaka	JP	01/29/2019, 00:00:00	maintenance	36.65	138.31667
Cibinong	ID	19 Dec 2014	good	-6.48167	106.85417
Damnoen Saduak	TH	2018-03-22	accep	13.51825	99.95469
Namerikawa	JP	01/14/2016, 00:00:00	accep	36.75965	137.36215
Silvan	TR	25 Dec 2018	good	38.13708	41.00817
Harstad	NO	2015-08-27	excellent	68.79833	16.54165
Stupino	RU	2019/10/01	good	54.90083	38.07083
Elbeuf	FR	2015/03/22	good	49.28669	1.00288
Changshu City	CN	29 Jun 2017	good	31.64615	120.74221
Estelle	US	2015/09/20	accep	29.84576	-90.10674
Bhit Shah	PK	30 Jun 2019	average	25.80565	68.49143
Naro-Fominsk	RU	2017-11-25	average	55.38752	36.73307
Svatove	UA	09/06/2013, 00:00:00	average	49.41029	38.15035
Carnegie	AU	2016-07-09	excellent	-37.88333	145.06667
Novogrudok	BY	2015-03-24	accep	53.5942	25.8191
Argungu	NG	04/08/2017, 00:00:00	building	12.74482	4.52514
Olupona	NG	2022/01/31	excellent	7.6	4.18333
Lutz	US	18 Dec 2014	accep	28.15112	-82.46148
Nyahururu	KE	2014-03-25	building	0.03813	36.36339
Krymsk	RU	2019-05-03	good	44.92934	37.99117
Beryozovsky	RU	04/15/2014, 00:00:00	excellent	56.9083	60.8019
Ulan-Ude	RU	2014-06-19	good	51.82721	107.60627
Rahat	IL	2020/05/08	average	31.39547	34.75699
Teziutlan	MX	06/06/2016, 00:00:00	good	19.8173	-97.35992
Eppingen	DE	25 Sep 2018	good	49.13645	8.91229
Barnet	GB	09 Dec 2015	maintenance	51.65	-0.2
Progreso	MX	2013-07-03	good	21.28306	-89.66123
Yenagoa	NG	2016/06/23	accep	4.92675	6.26764
Bergama	TR	08/07/2015, 00:00:00	good	39.12074	27.18052
Kushtia	BD	24 Dec 2015	accep	23.9028	89.11943
Lebanon	US	23 May 2021	average	39.43534	-84.20299
Dombivli	IN	12/04/2015, 00:00:00	excellent	19.21667	73.08333
Nampa	US	2015/05/28	accep	43.54072	-116.56346
Wesseling	DE	2020-02-14	average	50.82709	6.9747
Aberdeen	GB	2018-04-29	good	57.14369	-2.09814
Zaozhuang	CN	16 Jul 2013	average	34.86472	117.55417
Glendale	US	2014-12-05	maintenance	34.14251	-118.25508
Pilar	PH	01/10/2017, 00:00:00	maintenance	14.66	120.56528
Altamira	BR	12 Jun 2021	average	-3.20333	-52.20639
Sydney	CA	18 Mar 2016	good	46.1351	-60.1831
Sunnyside	US	2016-10-29	maintenance	46.32374	-120.00865
Shagamu	NG	02 Oct 2019	excellent	6.8485	3.64633
Laguna Niguel	US	11/18/2021, 00:00:00	excellent	33.52253	-117.70755
Nakhon Pathom	TH	15 May 2020	accep	13.8196	100.04427
Scarsdale	US	31 Oct 2019	average	41.0051	-73.78458
Riverbank	US	2014/03/31	average	37.73604	-120.93549
Tupiza	BO	2017/10/29	good	-21.44345	-65.71875
Chapletown	GB	12/28/2015, 00:00:00	excellent	53.46506	-1.47217
Chosica	PE	05/07/2021, 00:00:00	maintenance	-11.94306	-76.70944
Recodo	PH	10/28/2021, 00:00:00	good	6.95194	121.96361
Bar-le-Duc	FR	21 Jun 2015	building	48.77275	5.16108
Ikalamavony	MG	2020-03-05	excellent	-21.15	46.58333
Pandua	IN	05/27/2018, 00:00:00	accep	23.07492	88.28637
Boo	SE	2020/11/19	excellent	59.33333	18.28333
Otradnyy	RU	09 Apr 2016	building	53.37596	51.3452
Naga	PH	2020/06/24	excellent	10.20898	123.758
Malaut	IN	2018-08-22	accep	30.21121	74.4818
Kuvandyk	RU	2018-12-08	average	51.4781	57.3552
Glendale	US	2014/11/21	maintenance	34.14251	-118.25508
Ulan-Ude	RU	10 Feb 2020	excellent	51.82721	107.60627
Kulai	MY	2021-03-08	good	1.6561	103.6032
Thomazeau	HT	2013-10-26	accep	18.65297	-72.09391
Tarkwa	GH	2016/11/17	acceptable	5.30383	-1.98956
Changshu City	CN	07 Jan 2014	accep	31.64615	120.74221
Yonkers	US	2020-09-01	building	40.93121	-73.89875
Neuburg an der Donau	DE	30 Mar 2019	average	48.73218	11.18709
Sceaux	FR	2015-04-07	good	48.77644	2.29026
Fresno	US	2021/05/22	excellent	29.53885	-95.44744
Kamina	CD	08/24/2014, 00:00:00	average	-8.73508	24.99798
Belle Glade	US	02/02/2016, 00:00:00	good	26.68451	-80.66756
Chanika	TZ	09/23/2020, 00:00:00	average	-5.41667	38.01667
Resplendor	BR	08/09/2019, 00:00:00	good	-19.32556	-41.25528
Nowra	AU	2013/12/20	building	-34.88422	150.60036
Athlone	IE	05/26/2015, 00:00:00	average	53.43333	-7.95
Chilibre	PA	2018/04/04	average	9.15093	-79.62098
Phanat Nikhom	TH	2014/07/13	accep	13.44581	101.18445
San Juan	US	2020-11-03	accep	26.18924	-98.15529
Carlsbad	US	2020-06-28	good	32.42067	-104.22884
Chamba	IN	20 Oct 2020	average	32.55531	76.12647
Bushey	GB	2021/09/25	maintenance	51.64316	-0.36053
Iwade	JP	12 Dec 2016	building	34.25	135.31667
Covington	US	2017/10/14	good	39.08367	-84.50855
Belper	GB	07/08/2016, 00:00:00	good	53.0233	-1.48119
Artur Nogueira	BR	2014/10/14	maintenance	-22.57306	-47.1725
San Carlos	CO	2019-03-21	excellent	8.79577	-75.69947
Lakewood	US	2017/08/29	accep	41.48199	-81.79819
Sherwood Park	CA	2013/12/13	building	53.51684	-113.3187
Hendala	LK	2022/06/12	accep	6.9909	79.883
Magomeni	TZ	05/27/2020, 00:00:00	building	-6.8	39.25
Strzelce Opolskie	PL	05 Aug 2017	average	50.5107	18.30056
Pointe-Claire	CA	31 Jan 2013	building	45.44868	-73.81669
Tsuen Wan	HK	01 Jun 2022	accep	22.37066	114.10479
Gainsborough	GB	26 Feb 2016	average	53.38333	-0.76667
Mianwali	PK	02 Jan 2014	accep	32.57756	71.52847
Muncar	ID	06/03/2020, 00:00:00	good	-8.43333	114.33333
Siegburg	DE	11/14/2019, 00:00:00	excellent	50.80019	7.20769
West Des Moines	US	29 Mar 2018	average	41.57721	-93.71133
Greenfield	US	18 Feb 2022	excellent	39.78504	-85.76942
Mongo	TD	2020-04-08	building	12.18441	18.69303
Crystal Lake	US	16 Sep 2014	good	42.24113	-88.3162
Somoto	NI	2022-08-20	good	13.48082	-86.58208
Glendale	US	2013-03-31	excellent	34.14251	-118.25508
Wittenau	DE	2020-01-15	good	52.59319	13.32127
Southsea	GB	2013-08-31	accep	50.79205	-1.08593
Custoias	PT	2021-12-21	accep	41.1053	-7.32097
Aksaray	TR	2020/02/27	excellent	38.37255	34.02537
Frederiksberg	DK	25 May 2021	building	55.67938	12.53463
Vienne	FR	2013-09-12	maintenance	45.51667	4.86667
Norwalk	US	2021-01-15	good	41.24255	-82.61573
Mexborough	GB	10/15/2012, 00:00:00	good	53.49389	-1.29243
Labuhan Deli	ID	05 Apr 2015	average	3.7278	98.6738
Tak Bai	TH	2015/05/12	building	6.25947	102.05461
Srinagar	IN	2015/09/09	average	34.08565	74.80555
Carlos Barbosa	BR	2020/03/30	average	-29.2975	-51.50361
Manikchari	BD	08/05/2013, 00:00:00	building	22.83957	91.84128
Selby	GB	08 Apr 2020	good	53.78333	-1.06667
Jagna	PH	2020/04/04	average	9.6531	124.3697
Montecchio Maggiore-Alte Ceccato	IT	02/07/2020, 00:00:00	accep	45.50369	11.412
Randudongkal	ID	09/30/2012, 00:00:00	good	-7.0981	109.3243
'Ali Sabieh	DJ	10/30/2016, 00:00:00	good	11.15583	42.7125
Marly-le-Roi	FR	05/16/2015, 00:00:00	average	48.86667	2.08333
Kovylkino	RU	29 May 2015	average	54.03876	43.91385
Wheelers Hill	AU	2014/03/28	good	-37.9	145.18333
Perth	AU	2020-02-08	average	-31.95224	115.8614
Carnegie	AU	03/12/2019, 00:00:00	accep	-37.88333	145.06667
Ilesa	NG	2022-09-18	accep	7.62789	4.74161
Camarillo	US	2015/10/20	average	34.21639	-119.0376
Jocotepec	MX	10/20/2018, 00:00:00	accep	20.28527	-103.42897
Scotch Plains	US	2016-03-18	good	40.65538	-74.38987
Aksaray	TR	2020-09-03	maintenance	38.37255	34.02537
Gembloux	BE	03/23/2022, 00:00:00	good	50.56149	4.69889
Aloha	US	2020/03/15	good	45.49428	-122.86705
Pingyi	CN	2015/08/25	average	35.50056	117.63083
Aksaray	TR	01 May 2016	accep	38.37255	34.02537
Donggongon	MY	2014/02/07	good	5.90702	116.10146
Haldwani	IN	09/02/2013, 00:00:00	excellent	29.22254	79.5286
West Des Moines	US	2016-01-17	excellent	41.57721	-93.71133
Lesozavodsk	RU	2019-04-14	average	45.47885	133.42825
Izluchinsk	RU	07/22/2020, 00:00:00	accep	60.97944	76.92421
Estelle	US	2022-03-16	excellent	29.84576	-90.10674
Lebanon	US	2020/01/05	excellent	39.43534	-84.20299
Carlos Barbosa	BR	02/12/2013, 00:00:00	average	-29.2975	-51.50361
Lakota	CI	10/17/2018, 00:00:00	building	5.84752	-5.682
Patti	IN	2015-12-16	building	31.28092	74.85849
Encinitas	US	10 Feb 2022	accep	33.03699	-117.29198
Tupi	PH	05/31/2022, 00:00:00	accep	6.33444	124.95278
Kingston upon Hull	GB	2021-11-27	average	53.7446	-0.33525
Magomeni	TZ	11/18/2014, 00:00:00	maintenance	-6.8	39.25
Tchaourou	BJ	29 Oct 2021	good	8.88649	2.59753
Norwalk	US	2018-08-03	building	41.24255	-82.61573
Bijeljina	BA	2015-03-30	excellent	44.75874	19.21437
Woodlawn	US	2019-03-03	good	39.32288	-76.72803
Corralillo	CU	02 Dec 2014	excellent	22.98212	-80.58556
Longgang	CN	2020/08/07	average	37.65181	120.33063
Resplendor	BR	2020-10-19	maintenance	-19.32556	-41.25528
Tyler	US	2021-06-15	maintenance	32.35126	-95.30106
Wheelers Hill	AU	2019/09/20	average	-37.9	145.18333
Greenpoint	US	09 Oct 2015	average	40.72371	-73.95097
Kobuleti	GE	08 Mar 2016	excellent	41.82143	41.77921
San Juan	US	30 Jan 2020	average	26.18924	-98.15529
Hoogezand	NL	2015-12-08	good	53.16167	6.76111
Reus	ES	2015/11/24	maintenance	41.15612	1.10687
Nonsan	KR	2016/09/09	excellent	36.20389	127.08472
Grand Forks	US	2016/08/08	accep	47.92526	-97.03285
Memmingen	DE	2012/12/15	excellent	47.98372	10.18527
Kashira	RU	2017/03/27	good	54.84444	38.16694
Varadero	CU	2013/12/07	building	23.15678	-81.24441
Argungu	NG	09/17/2021, 00:00:00	accep	12.74482	4.52514
Bretten	DE	01 Aug 2020	building	49.03685	8.70745
Mbalmayo	CM	09/01/2020, 00:00:00	excellent	3.51667	11.5
Newbury	GB	23 Oct 2013	good	51.40148	-1.32471
Pontevedra	AR	24 Jan 2021	excellent	-34.74785	-58.70072
Niort	FR	19 Oct 2014	maintenance	46.32313	-0.45877
Tavda	RU	08/06/2021, 00:00:00	maintenance	58.04254	65.27258
Lodwar	KE	2022-04-28	building	3.11988	35.59642
Korschenbroich	DE	01/25/2014, 00:00:00	building	51.19139	6.51352
Varadero	CU	05 Nov 2018	good	23.15678	-81.24441
Hartley	GB	2014-06-08	building	51.38673	0.30367
Paredes	PT	2018/07/18	excellent	41.20485	-8.33147
Betamcherla	IN	12 Aug 2022	accep	15.45144	78.14797
Ghat	LY	01/14/2013, 00:00:00	excellent	24.96334	10.18003
Gifhorn	DE	26 Aug 2021	good	52.47774	10.5511
Cibinong	ID	2014/05/02	building	-6.48167	106.85417
Caravaca	ES	19 Dec 2014	accep	38.10558	-1.86343
Pingyi	CN	26 Aug 2016	accep	35.50056	117.63083
Gainesville	US	22 Aug 2021	good	29.65163	-82.32483
Ajaccio	FR	2015/05/25	accep	41.91886	8.73812
Altamira	BR	03/08/2015, 00:00:00	accep	-3.20333	-52.20639
Leyland	GB	2021-04-17	good	53.69786	-2.68758
Fresno	US	2012-11-10	building	29.53885	-95.44744
Namerikawa	JP	2018-02-10	excellent	36.75965	137.36215
Willetton	AU	2021-03-03	excellent	-32.05251	115.88782
Deltona	US	11/04/2014, 00:00:00	accep	28.90054	-81.26367
Sambalpur	IN	29 Oct 2013	excellent	21.46527	83.97573
Barracas	AR	06/30/2021, 00:00:00	excellent	-34.64966	-58.38341
Mokopane	ZA	2013-12-28	accep	-24.19436	29.00974
Le Robert	MQ	2018/02/02	excellent	14.67751	-60.94228
Milagro	EC	04 Dec 2015	maintenance	-2.13404	-79.59415
Tchaourou	BJ	2014/02/20	average	8.88649	2.59753
Perth	AU	2019-10-12	good	-31.95224	115.8614
Tyoply Stan	RU	2014/07/09	average	55.62047	37.49338
Collinwood	US	2021-01-16	average	41.55838	-81.56929
Boston	US	06/28/2017, 00:00:00	excellent	42.35843	-71.05977
Periyakulam	IN	19 Jun 2013	good	10.12268	77.54372
Beryozovsky	RU	13 Dec 2018	excellent	56.9083	60.8019
Tyler	US	07 Aug 2022	accep	32.35126	-95.30106
Davangere	IN	08/05/2019, 00:00:00	accep	14.46693	75.92694
Mongo	TD	29 Jan 2018	good	12.18441	18.69303
Tavda	RU	2017/01/20	good	58.04254	65.27258
Naushahra Virkan	PK	2018-01-14	excellent	31.96258	73.97117
Beni Khiar	TN	19 Apr 2019	maitennce	36.46917	10.78222
Malden	US	2015-01-27	average	42.4251	-71.06616
Salvatierra	MX	11/21/2012, 00:00:00	building	20.21322	-100.88023
Zacoalco de Torres	MX	2018-08-20	excellent	20.22816	-103.5687
Bisceglie	IT	2014/04/22	good	41.24264	16.50104
Kushtia	BD	2015/07/19	average	23.9028	89.11943
Frankston South	AU	05/24/2014, 00:00:00	average	-38.16604	145.13643
Bang Ban	TH	2015-07-13	maintenance	14.37395	100.48528
Busia	KE	2018/07/13	average	0.46005	34.11169
Gifhorn	DE	06/18/2014, 00:00:00	accep	52.47774	10.5511
Belper	GB	2020/10/18	building	53.0233	-1.48119
Elbeuf	FR	2016-01-10	average	49.28669	1.00288
Standerton	ZA	01/25/2022, 00:00:00	accep	-26.93366	29.24152
Gudermes	RU	09/06/2014, 00:00:00	accep	43.35071	46.10925
Hendala	LK	2016/03/06	excellent	6.9909	79.883
Ikalamavony	MG	12/09/2020, 00:00:00	maintenance	-21.15	46.58333
Rwamagana	RW	11/01/2017, 00:00:00	good	-1.9487	30.4347
Cypress Hills	US	2016-07-24	excellent	40.67705	-73.89125
Nkpor	NG	04 Jan 2020	average	6.15038	6.83042
Zhoushan	CN	2015-01-16	excellent	29.98869	122.20488
Leland	US	03/15/2013, 00:00:00	accep	34.25628	-78.04471
Aklera	IN	05/28/2019, 00:00:00	average	24.41288	76.56719
American Canyon	US	2014-08-13	excellent	38.17492	-122.2608
Mirriah	NE	07/05/2016, 00:00:00	good	13.70727	9.15013
Tsuen Wan	HK	18 Sep 2014	accep	22.37066	114.10479
Mikhaylovka	RU	10 Mar 2020	excellent	50.06	43.2379
Ueno-ebisumachi	JP	03/31/2018, 00:00:00	building	34.75856	136.13108
Dorval	CA	2015-03-10	maintenance	45.4473	-73.75335
El Copey	CO	08/15/2022, 00:00:00	excellent	10.15031	-73.9614
Uran	IN	2017-12-06	maintenance	18.87813	72.93924
Vught	NL	26 May 2013	maintenance	51.65333	5.2875
Zhoucun	CN	09 Mar 2014	accep	36.81667	117.81667
Ramla	IL	01 Sep 2019	good	31.92923	34.86563
Gajendragarh	IN	2017-11-30	average	15.73628	75.96976
Huangshi	CN	2012/11/12	maintenance	30.24706	115.04814
Barpeta	IN	2015/10/26	accep	26.32293	91.00632
Artur Nogueira	BR	2022/09/14	good	-22.57306	-47.1725
Sunnyside	US	2014/01/21	maintenance	46.32374	-120.00865
Elbeuf	FR	18 Mar 2013	maintenance	49.28669	1.00288
Zeist	NL	05/29/2019, 00:00:00	average	52.09	5.23333
Barmbek-Nord	DE	2015-01-21	average	53.6052	10.03988
Milledgeville	US	18 Jul 2018	good	33.08014	-83.2321
Elbeuf	FR	2015-04-12	accep	49.28669	1.00288
Hlukhiv	UA	31 May 2015	excellent	51.67822	33.9162
Catania	IT	10/02/2019, 00:00:00	good	37.49223	15.07041
South Whittier	US	01/25/2019, 00:00:00	accep	33.95015	-118.03917
Morningside Heights	US	2012-11-26	good	40.81	-73.9625
Jackson	US	08/28/2019, 00:00:00	average	35.61452	-88.81395
Teghra	IN	2019-01-15	average	25.49043	85.94001
Carnegie	AU	04/22/2015, 00:00:00	good	-37.88333	145.06667
Baliuag	PH	2018/07/23	average	14.95472	120.89694
Wheelers Hill	AU	2018-02-21	accep	-37.9	145.18333
Gifhorn	DE	08/27/2016, 00:00:00	building	52.47774	10.5511
Sorsogon	PH	2013/10/29	building	12.97389	123.99333
Marseille 11	FR	2020/10/08	building	43.2907	5.4384
Roi Et	TH	05/18/2013, 00:00:00	average	16.0567	103.65309
Schleswig	DE	10/14/2018, 00:00:00	good	54.52156	9.5586
Bothell	US	2019-07-13	accep	47.76232	-122.2054
Jizzax	UZ	2015-10-14	good	40.11583	67.84222
Kolomyagi	RU	02/04/2014, 00:00:00	good	60.02427	30.28491
Miracema	BR	2021/01/31	accep	-21.41222	-42.19667
Pilkhua	IN	09/13/2015, 00:00:00	accep	28.71271	77.656
Hudiksvall	SE	28 Oct 2020	excellent	61.72744	17.10558
Rixensart	BE	16 Mar 2013	good	50.71229	4.52529
Crystal Lake	US	01/10/2019, 00:00:00	maintenance	42.24113	-88.3162
Ganei Tikva	IL	2018/09/13	excellent	32.05971	34.8732
Guanajuato	MX	10 Aug 2020	excellent	21.01858	-101.2591
Onex	CH	2015-07-20	average	46.18396	6.10237
Canton	US	04/18/2020, 00:00:00	maintenance	42.30865	-83.48216
Negotin	RS	13 Mar 2018	excellent	44.22639	22.53083
Soledade	BR	04/27/2019, 00:00:00	excellent	-28.81833	-52.51028
Mianwali	PK	07/20/2021, 00:00:00	average	32.57756	71.52847
Arles	FR	2021/07/02	building	43.67681	4.63031
Dharmapuri	IN	05 Oct 2015	average	12.1277	78.15794
Lompoc	US	06/22/2018, 00:00:00	excellent	34.63915	-120.45794
Carlos Barbosa	BR	06 Oct 2020	average	-29.2975	-51.50361
Pato Branco	BR	2018/09/13	excellent	-26.22861	-52.67056
Magong	TW	05/25/2015, 00:00:00	excellent	23.5654	119.58627
Dehiwala-Mount Lavinia	LK	01/02/2021, 00:00:00	average	6.84019	79.87116
Front Royal	US	2022/05/04	average	38.91817	-78.19444
Brunswick	US	02/28/2013, 00:00:00	average	43.91452	-69.96533
Francavilla Fontana	IT	02/07/2016, 00:00:00	average	40.53123	17.58522
Boumerdas	DZ	2015-10-12	accep	36.76639	3.47717
Buri	BR	2019/06/03	accep	-23.7975	-48.59278
Venice	US	30 Jun 2017	good	27.09978	-82.45426
Memmingen	DE	2017-09-05	average	47.98372	10.18527
Carnaxide	PT	14 Oct 2016	accep	38.72706	-9.24671
Carlos Barbosa	BR	29 Jul 2021	average	-29.2975	-51.50361
Danilov	RU	2018/10/02	accep	58.1908	40.17171
Honda	CO	2016-09-07	building	5.20856	-74.73584
La Garenne-Colombes	FR	06/22/2016, 00:00:00	maintenance	48.90472	2.2469
Glendale	US	02/15/2019, 00:00:00	average	34.14251	-118.25508
Neuburg an der Donau	DE	14 Apr 2013	excellent	48.73218	11.18709
Sonzacate	SV	13 Feb 2015	good	13.73417	-89.71472
Bordj Zemoura	DZ	2019/03/08	good	36.27462	4.85668
Santa Gertrudes	BR	11/03/2017, 00:00:00	excellent	-22.45667	-47.53028
Muncar	ID	2021-05-13	building	-8.43333	114.33333
Malaut	IN	2014/06/04	average	30.21121	74.4818
Yashkino	RU	2021/10/31	good	55.8736	85.4265
Scarsdale	US	2019-03-01	maintenance	41.0051	-73.78458
Alfenas	BR	2019/05/27	average	-21.42917	-45.94722
Greenville	US	20 Jan 2013	good	33.41012	-91.06177
Jhol	PK	05/19/2015, 00:00:00	building	25.95533	68.88871
Itaperuna	BR	14 Jul 2013	excellent	-21.205	-41.88778
Gifhorn	DE	2019-02-19	average	52.47774	10.5511
Lower West Side	US	2013/07/11	excellent	41.8542	-87.66561
Madhipura	IN	2021-07-07	good	25.92127	86.79271
Talence	FR	2013/05/29	accep	44.80477	-0.59543
Opportunity	US	2014/02/23	average	47.64995	-117.23991
Visitacion Valley	US	2020/07/24	average	37.71715	-122.40433
Changshu City	CN	04/14/2014, 00:00:00	average	31.64615	120.74221
Gernika-Lumo	ES	06/13/2019, 00:00:00	building	43.31667	-2.68333
Westchester	US	2013-06-15	excellent	41.85059	-87.882
Davis	US	2013/08/13	good	38.54491	-121.74052
Aloha	US	2015-07-31	average	45.49428	-122.86705
Southsea	GB	2016/09/02	average	50.79205	-1.08593
Lakota	CI	20 Jun 2019	accep	5.84752	-5.682
Viradouro	BR	2021-06-25	accep	-20.87306	-48.29694
San Carlos	CO	2017/11/23	accep	8.79577	-75.69947
Friedberg	DE	06/13/2014, 00:00:00	accep	48.35693	10.98461
Colomiers	FR	10 Jan 2015	excellent	43.61058	1.33467
Arles	FR	2012-12-28	accep	43.67681	4.63031
Talisay	PH	26 May 2019	good	10.7375	122.9666
Komono	JP	12/07/2016, 00:00:00	accep	35	136.51667
Catania	IT	2022-04-22	acceptable	37.49223	15.07041
Arzamas	RU	09/06/2021, 00:00:00	accep	55.39485	43.83992
Daud Khel	PK	15 Nov 2013	accep	32.87533	71.57118
Cowes	GB	2022/04/07	good	50.76306	-1.29772
Barracas	AR	2018-06-16	accep	-34.64966	-58.38341
Evergreen Park	US	01/29/2015, 00:00:00	average	41.72059	-87.70172
Greenpoint	US	2021/04/30	maintenance	40.72371	-73.95097
Davangere	IN	07 Dec 2014	excellent	14.46693	75.92694
Cabo	BR	07/29/2018, 00:00:00	average	-8.28333	-35.03333
Brunswick	US	15 Apr 2017	accep	43.91452	-69.96533
Kobuleti	GE	06/12/2022, 00:00:00	maintenance	41.82143	41.77921
Recife	BR	01/12/2018, 00:00:00	average	-8.05389	-34.88111
Rolla	US	01 Sep 2018	average	37.95143	-91.77127
Dax	FR	2020/02/27	maintenance	43.71032	-1.05366
Frenda	DZ	2017/07/11	good	35.06544	1.04945
Jambi City	ID	14 Apr 2016	building	-1.6	103.61667
Ovalle	CL	19 Feb 2021	maintenance	-30.60106	-71.19901
Chillum	US	04 Sep 2021	excellent	38.96372	-76.99081
Sydney	CA	01/30/2014, 00:00:00	excellent	46.1351	-60.1831
Dorval	CA	2018/02/06	excellent	45.4473	-73.75335
Pamiers	FR	25 Sep 2020	good	43.11667	1.6
Southsea	GB	20 Jan 2020	average	50.79205	-1.08593
Ariccia	IT	2022-02-15	good	41.72063	12.6723
Frederiksberg	DK	31 Oct 2021	accep	55.67938	12.53463
Westchester	US	2013/06/14	good	41.85059	-87.882
Tudela	ES	2019/09/10	average	42.06166	-1.60452
Recodo	PH	24 Sep 2015	building	6.95194	121.96361
Wangon	ID	2015-03-25	excellent	-7.51611	109.05389
Soure	BR	2021-07-31	accep	-0.71667	-48.52333
Novara	IT	04/26/2017, 00:00:00	excellent	45.44694	8.62118
Somma Vesuviana	IT	11/09/2012, 00:00:00	good	40.87329	14.43865
Saraj	MK	2015/03/29	excellent	42	21.32778
Rhosllanerchrugog	GB	15 Nov 2020	good	53.00974	-3.05814
Hrazdan	AM	2022-03-19	good	40.49748	44.7662
Palm Desert	US	2020-01-18	average	33.72255	-116.37697
Ghat	LY	17 Apr 2014	good	24.96334	10.18003
Kushtia	BD	2013-02-06	accep	23.9028	89.11943
Gudermes	RU	04 May 2018	building	43.35071	46.10925
Les Olives	FR	2018-03-21	average	43.32393	5.4584
Roseto degli Abruzzi	IT	05/30/2016, 00:00:00	accep	42.67164	14.01481
Moga	IN	05 Jan 2022	building	30.81383	75.16878
Nyahururu	KE	08/14/2014, 00:00:00	average	0.03813	36.36339
Pujali	IN	05/30/2013, 00:00:00	accep	22.4711	88.1453
Fayetteville	US	02/08/2016, 00:00:00	excellent	35.05266	-78.87836
