CFCs	SO2	O3	PAHs	C2H3NO5	latitude	H2CO	Pb	CH4	NOx	PRES	PM10	TEMP	PM2.5	warning	NH3	longitude	CO
35.69331	6.53261	8.88153	5.74836	0.10852	52.57583	61.51535	30.01393	7.15596	9.81011	1158.21428	6.95723	-2.68865	8.66726	0.00000	9.71774	6.61944	8.17907
51.33630	8.79827	8.80692	8.08917	0.12505	40.82232	57.09060	35.60361	7.06723	7.14182	1115.41336	7.50678	-2.00431	7.38062	0.00000	9.21736	-74.15987	5.72545
40.57511	7.30038	9.41327	7.09869	0.16498	24.96334	47.42453	70.68019	8.98767	7.12642	1106.45540	7.88934	10.32684	8.98235	1.00000	7.10745	10.18003	8.75967
38.32166	10.80789	8.59381	10.97606	0.09747	53.81667	50.29317	71.65186	5.82738	4.69706	1123.69874	6.91724	14.34195	7.65979	0.00000	10.21213	-3.05	6.68065
42.15353	4.66444	6.76605	4.33256		-30.60106	14.77752	41.46286	8.51564	8.62022	1067.39455	8.38688		7.76621	1.00000	8.05593	-71.19901	11.04503
41.90377	5.88287	6.26060	7.90180	0.04257	38.58894	41.38319	49.41314	6.23028	5.90536	1162.46204	4.37175	7.94858	7.62302	1.00000	9.20143	-89.99038	10.10230
29.41194	7.50041	8.60306	7.43769	0.22022	44.73941	56.86245	55.85251	8.70749	7.41606	1079.61252	8.40458	12.96716	8.00552	1.00000	6.62742	-93.12577	8.55002
58.61285	6.49750	7.59857	8.49978	0.11911	37.52487	48.46499	58.72717	6.84946	4.62250	1171.48385	6.92271	10.72517	8.98678	1.00000	9.02515	-77.55777	9.25819
61.76717	5.63103	7.31837	3.94224	0.62576	61.72744	47.18796	47.20942	8.51441	7.58500	1068.16527	9.59963	14.69054	8.73161	0.00000	7.54406	17.10558	10.11881
31.89795	5.98249	9.24769	6.73379	1.61962	51.78967	60.45667	66.23153	7.69167	7.18202	1160.95422	10.61547	5.80433	8.02027	0.00000	5.56693	1.15597	5.74898
40.02071	7.14270	8.64578	7.13562	0.19296	33.54428	41.87771	35.02631	7.20838	6.53520	1165.92454	8.26402	1.82098	7.08211	1.00000	6.82627	-84.23381	9.02404
41.64246	8.62648	7.91324	8.13312	0.16530	11.85	56.43758	75.05379	8.13156	6.87614	1159.52124	7.50546	27.13911	8.84121	1.00000	7.55825	38.01667	7.37063
58.96180	7.15797	7.19409	7.91326	0.04775	48.90472	80.98832	46.10956	9.43040	7.93371	1124.17130	5.32594	27.98190	9.13445	1.00000	8.72814	2.2469	8.67324
55.29312	5.75574	7.56775	6.58715	1.07437	50.23805	44.78079	63.43757	8.48621	6.45487	1117.54671	10.19148	13.78782	8.31754	1.00000	6.25060	8.86704	11.02722
65.88147	11.94964	8.76289	10.41796	0.58139	28.88162	80.75067	53.03953	8.16746	5.22248	1133.48386	9.47457	7.58246	9.28072	0.00000	8.21459	120.03308	8.43305
35.85808	4.05178	8.23077	10.31841	0.08423	42.64685	43.62264	73.58948	7.10884	6.29543	1114.04358	6.36806	19.12378	9.05318	1.00000	10.92560	-5.55835	9.38648
52.26638	5.75168	10.04140	4.84191	0.86745	45.99194	52.95858	50.11620	7.55597	7.18809	1105.19798	9.94167	35.31667	6.75119	1.00000	6.70075	29.41824	9.64619
54.58715	7.20241	7.90088	10.80206	0.17766	34.09668	44.62874	45.49567	7.05886	8.99517	1192.15788	7.84545	2.77722	8.43098	1.00000	8.97150	-117.71978	9.65674
51.61674	4.87202	10.33480	9.92994	0.14104	17.34769	65.85599	80.41352	7.85095	4.85258	1172.03844	7.57190	16.03475	7.11490	1.00000	8.98994	78.55757	10.54228
65.08435	5.92235	8.79508	5.70584	2.05160	45.79377	51.65852	90.20122	6.69109	6.05946	1097.66826	10.85639	27.68440	7.15909	0.00000	7.87352	8.88104	9.65019
43.35080	7.09025	8.31821	6.04861	0.40150	9.6531	59.98954	73.11384	7.82970	5.44091	1145.53698	9.16994	19.94199	8.09699	0.00000	7.38793	124.3697	6.13649
46.59613	9.55186	6.86258	11.20908	0.09631	12.37169	49.52372	58.21656	7.47050	5.54878	1153.67030	5.88595	32.77177	7.90665	0.00000	9.81159	123.62494	5.86793
41.34530	6.55394	7.91849	6.22283	0.76249	53.14657	32.07411	28.51026	8.08483	6.27255	1059.59092	9.78627	32.91601	7.06657	1.00000	6.29038	140.72287	9.59178
35.86182	5.73089	8.28739	5.00927	0.32501	48.90472	50.18881	46.68556	5.97461	8.28051	1195.23023	8.70697	19.55501	7.12092	1.00000	4.89995	2.2469	9.54913
58.70462	5.10967	8.47151	11.57679	0.16395	45.16024	79.86090	26.89539	8.75206	5.49161	1087.10806	7.97264	31.07637	8.24159	1.00000	11.35368	-93.08883	9.71004
41.09931	10.10564	6.21960	7.77046	0.12107	57.30185	45.78913	57.30466	9.75780	8.38832	1109.05306	7.43925	23.05114	7.79322	0.00000	8.27392	39.85331	9.71041
50.60262	7.72905	5.84021	8.88053	1.22194	2.2139	49.83818	80.70989	7.15275	4.89137	1104.17568	10.32310	-1.89457	9.04851	1.00000	6.96046	102.3278	8.53899
30.92963	6.85784	7.64959	8.97153	0.07059	42.8139	43.72768	50.10332	5.92131	7.71838	1145.21719	5.68851	21.51259	6.99770	1.00000	8.65427	-1.64295	10.11065
77.43642	6.44301	8.18451	4.90490	0.37207	37.30553	68.12438	40.63379	6.88998	8.00526	1053.57442	8.99296	7.13841	7.51805	1.00000	9.19859	120.82747	8.24993
45.60609	5.15291	8.70914	4.95929	1.47735	43.32393	56.57489	34.11360	7.61702	7.89948	1157.90266	10.51758	10.25473	9.72546	1.00000	5.34081	5.4584	10.90402
56.90567	6.26752	7.75831	6.53794	0.63879	53.81667	42.98250	41.39174	8.31534	7.72308	1059.02716	9.64986	4.63986	7.47881	1.00000	5.52088	-3.05	9.97086
73.49616	9.50851	8.35698	9.03058	0.15821	42.7392	66.94318	76.63339	7.45258	6.01383	1102.89663	7.80463	-5.60427	8.26425	0.00000	9.35484	-84.62081	5.60101
54.71940	7.27591	6.62256	9.74515	0.09538	50.72043	20.76410	35.97097	8.67487	9.83048	1153.87749	5.92503	8.31922	7.50071	1.00000	9.95154	11.34046	8.52062
65.37942	8.63280	8.02816	8.88547	0.08756	-4.26613	34.51208	76.74732	8.56481	6.70170	1078.91263	6.17279	14.54307	9.32410	1.00000	8.31588	15.28318	7.97168
48.77306	7.67981	8.02127	9.72516	0.07132	45.16024	41.57459	45.20908	7.90940	7.86534	1071.35052	6.53075	15.36653	7.92817	1.00000	9.92787	-93.08883	8.97470
43.03130	7.46077	8.74280	10.08305	0.05130	43.61058	62.25623	67.26967	8.14131	9.49895	1070.41304	5.38732	4.23626	8.09078	1.00000	9.93309	1.33467	9.85116
49.65635	10.56077	6.42246	9.46444	0.16792	12.37169	38.52928	53.30460	7.32047	6.21282	1146.38680	8.29044	3.95179	6.70570	0.00000	8.51837	123.62494	7.14840
18.51552	8.20637	8.67466	8.10606	0.36809	44.35056	24.23535	59.26184	6.21934	5.57217	1188.49380	8.94030	44.72106	8.46183	1.00000	6.22520	142.45778	7.68848
27.96652	8.87184	8.91621	11.43269	0.12699	45.9836	29.97105	62.45293	8.45293	7.88975	1067.74571	7.56146	14.50886	10.76920	0.00000	7.12050	12.70038	7.02344
34.45719	8.99756	9.13550	9.34317	0.09883	26.2649	52.47613	42.31056	8.06862	7.22543	1060.07696	5.76516	18.85588	8.27141	0.00000	9.65602	81.54855	7.59369
35.12927	7.17922	9.65517	8.75907	0.09487	43.11667	55.07517	63.94817	8.39777	7.53637	1185.13596	6.85212	6.51845	6.87186	0.00000	8.23099	1.6	9.13621
64.50310	6.93025	8.65288	7.65968	0.84652	13.70167	44.64171	53.88075	9.46661	6.54185	1095.43216		22.25284	8.44990	1.00000	7.14223	-89.10944	9.73852
51.52954	4.90361	9.15031	3.51492	0.12534	26.2173	68.85553	56.70796	10.66432	10.12472	1053.18941	6.88559	10.91245	7.67112	1.00000	5.92803	-80.22588	9.71477
52.64367	7.63371	8.44319	6.76863	0.61614	57.30185	39.57860	45.99040	8.45371	4.83356	1165.71180	9.57078	11.74613	7.36037	1.00000	10.80682	39.85331	7.39204
49.37272	5.54840	7.70978	3.29185	2.38787	53.53041	51.51106	68.45064	7.91009	6.65609	1123.00960	11.02873	3.50449	9.32367	0.00000	7.18271	43.67663	7.78639
45.04926	6.24066	6.67628	7.20565	0.13707	7.6	65.89399	60.70713	9.06448	7.51726	1080.29719	7.30322	15.03528	8.55480	0.00000	12.05952	4.18333	7.62651
53.18074	6.90451	9.30836	7.73648	0.40349	39.78504	43.64250	63.18183	7.69526	6.13607	1089.49423	9.10141	3.37819	7.19228	1.00000	7.27257	-85.76942	9.84340
42.94643	7.25799	7.75221	7.35861	0.17797	48.25	51.03187	38.48003	8.76922	6.90313	1161.73781	7.99736	3.09744	7.55901	1.00000	10.07075	16.4	9.04367
41.06449	7.49096	7.58745	10.11626	0.06206	58.63667	61.10249	72.77050	7.18987	8.19406	1051.72691	3.86045	27.66778	8.51941	0.00000	9.21900	59.80222	6.11068
29.56543	7.18518	9.16863	9.92070	0.06059	36.06386	61.95701		8.88951	6.51587	1075.92598	6.17523	20.63817	10.25926	1.00000	10.78430	4.62744	9.37615
44.66657	9.49060	7.81428	11.70939	1.35646	10.98778	57.96120	53.90564	8.09460	8.96095	1073.66827	10.43559	15.36450	8.16168	1.00000	8.19151	-74.95472	9.47855
67.18813	7.66217	8.44265	5.90132	0.24879	14.67751	48.90216	50.15324	7.66283	6.82242	1080.48601	8.50403	31.44581	8.90888	1.00000	5.48662	-60.94228	7.13611
39.64477	6.42989	7.65632	10.51984	0.14657	41.09822	57.05088	70.85932	9.37079	7.27897	1092.23688	7.90998	-0.94294	7.95266	1.00000	9.63855	120.74792	9.23920
59.72671	6.33982	7.82953	7.85693	0.06314	53.0233	43.44520	34.60944	7.65271	7.23531	1096.94856	5.83808	10.61009	9.27543	1.00000	8.91019	-1.48119	8.11567
57.17288	9.79204	7.11702	10.78126	0.27772	45.43341	48.78115	63.39220	7.95643	6.49873	1055.03660	8.56967	22.96019	7.14337	0.00000	8.44368	-73.86586	8.49636
46.44706	6.22774	7.24888	10.47268	0.71652	-27.50578	33.72965	68.28945	8.34257	6.46463	1075.51417	9.76313	1.35851	8.21863	1.00000	8.66507	153.10236	8.68937
64.81353	8.01101	9.75246	9.76692	0.34262	41.91886	74.18330	46.65898	7.52319	6.53262	1149.50532	8.86084	15.91742	7.35505	1.00000	8.59398	8.73812	8.80403
44.20294	7.79928	6.29162	6.72218	0.08330	42.4251	51.57925	62.17080	5.85576	7.22283	1063.42503	3.51341	17.18420	7.76229	0.00000		-71.06616	7.77086
76.72340	9.35060	9.05033	9.24610	0.19748	46.67535	62.12171	52.80437	9.31961	6.59964	1171.09490	8.25047	21.08853	8.42729	0.00000	9.54879	5.55575	7.73888
51.09673	6.96712	9.29475	12.86935	1.09631	-3.20333	65.27962	51.61814	6.59410	7.08681	1071.39044	10.22102	10.49306	7.41761	1.00000	9.49652	-52.20639	10.76966
52.14787	6.48931	8.19896	6.04608	0.48867	36.76775	40.17464	63.13275	6.93183	7.67439	1086.24880	9.35888	4.55734	7.29540	0.00000	6.17820	2.95924	8.46056
29.69702	6.50995	6.79260	7.64753	0.05191	39.72943	33.10478	58.21591	7.58429	6.57965	1120.38701	6.50795	31.79962	8.76043	0.00000	11.32588	-104.83192	4.05102
37.30544	5.23745	7.20030	8.50721	0.08965	51.04962	42.53424	65.44273	7.38619	6.00655	1050.67281	5.49106	15.82065	8.76641	1.00000	9.05215	12.1369	9.88730
36.13766	10.71291	7.61656	9.72306	0.15632	4.88441	58.63268	51.41533	8.41216	5.55241	1100.51323	7.73985	24.23097	7.78825	0.00000	9.21261	101.96857	6.76820
57.41616	7.57586	8.98778	7.79559	0.08649	25.80565	67.21759	40.84411	7.77847	7.04977	1122.54886	7.54625	18.75539	7.12634	1.00000	9.97882	68.49143	8.76700
40.71681	7.87974	8.74358	9.61023	0.06414	2.2139	42.62538	33.87220	9.32890	9.53223	1148.74563	6.22520	18.78458	9.24638	1.00000	8.87928	102.3278	9.42249
37.88047	5.61112	8.69223	10.36205	0.06629	15.48131	38.69640	33.54408	7.07272	5.61587	1173.94873		19.87388	7.52099	1.00000	10.44877	-86.57415	10.78294
47.10322	9.02403	6.49009	9.38241	0.11050	6.46838	41.06770	26.10311	7.67583	9.01576	1071.98526	7.00058	18.26108	7.11850	0.00000	7.01972	-73.26022	8.29752
35.57025	6.90292	7.29148	9.75128	0.15472	58.23583	60.77341	51.29953	8.37352	7.98912	1176.50489	7.41483	11.58834	6.51448	1.00000	8.68526	92.48278	9.30682
51.72921	5.44759	7.76487	5.39748	0.77271	41.09822	11.34555	64.90823	7.27694	3.18833	1125.39513	9.82837	22.60173	6.58352	0.00000	6.69784	120.74792	7.69211
30.06245	7.44013	7.77534	10.87248	0.02209	43.96222	67.42076	62.18697	8.08520	9.90529	1071.11570	3.49728	23.89985	6.81849	1.00000	10.41675	43.63417	12.35654
50.05929	7.33195	7.49124	6.61062	0.23522	22.88783	62.35934	50.94932	8.35793	6.02752	1064.04788	8.37068	20.89472	7.37568	1.00000	8.49657	84.13864	7.93932
26.13813	10.46499	7.68710	9.87759	0.03749	36.46917	66.05411	66.32653	7.66661	5.91336	1072.64454	3.54518	-15.35227	6.88216	0.00000	9.35509	10.78222	4.81503
54.82906	4.61122	8.54833	5.40347	1.91761	42.58342	52.27019	45.72588	6.49811	9.44007	1112.42633	10.81038	15.93545	8.06094	1.00000	5.53302	-71.8023	12.12304
32.01820	6.38004	7.82111	9.69250	0.09125	37.71715	16.36719	30.17908	8.75826	8.65951	1145.73635	6.05524	27.47835	7.06226	1.00000	9.75783	-122.40433	9.04254
56.10148	7.84424	6.84399	6.11086	0.10472	40.82232	40.93125	35.69315	7.67408	8.00727	1117.19909	6.73502	5.24276	9.40432	0.00000	10.22812	-74.15987	6.71617
47.18137	9.77559	8.78374	12.05607	0.15761	22.75218	18.23154	56.82620	7.20631	6.04641	1195.52987	7.45246	23.24367	7.26430	0.00000	7.53595	72.68533	5.08766
51.31334	4.13764	8.53359	3.18434	0.24940	35.95664	43.82876	44.62786	7.75712	10.13372	1076.21271	8.44375	23.19264	7.81510	1.00000	5.57740	36.7138	11.17845
60.45526	7.19981	9.59455	7.46186	0.40214	36.02506	59.78275	47.13644	7.66922	6.53710	1127.15737	9.12416	19.61295	8.84338	1.00000	7.19322	-86.77917	9.12795
47.43859	7.42479	9.51915	6.39901	0.14707	44.92801	23.38646	59.31105	7.37088	5.95120	1148.45857	7.38949	26.64702	7.12289	0.00000	8.63871	4.8951	7.58837
43.66623	6.35433	7.46871	9.04328	0.11447	52.14	55.35976	56.71782	7.29691	5.88777	1064.27927	7.09446	9.68444	8.40283	1.00000	9.82736	5.58472	8.32698
46.86323	5.89206	7.62647	5.73362	2.70298	28.71271	41.78805		7.59531	5.38115	1135.74772	11.16551	6.54648	7.99442	1.00000	7.17382	77.656	9.84719
68.66295	6.14353	6.64383	5.26388	0.21877	31.64615	50.85024	31.28241	7.61372	8.51782	1076.70656	8.33431	12.28713	6.88341	1.00000	5.85795	120.74221	9.68442
46.13810	4.62009	10.11642	5.37601	2.56710	37.51803	60.27527	42.15689	6.07629	5.93083	1054.61021	11.09173	3.15779	6.69201	0.00000	8.19795	15.00913	6.26675
46.48035	8.91580	9.04593	7.70898	0.09944	3.02013	31.42402	62.55550	7.87819	7.76233	1085.94467	6.54312	24.59923	8.93401	0.00000	9.29482	30.91105	7.25182
53.63638	6.62228	7.56360	11.13983	0.10015	46.08333	57.44305	36.52924	8.47738	7.82054	1150.74736	6.76846	20.11541	7.48505	1.00000	10.77734	122.08333	9.89868
48.11457	6.97153	9.18785	7.71547	0.53200	7.62789	67.02885	44.03696	5.89944	7.19577	1143.96264	9.44887	27.37894	7.69019	0.00000	5.54267	4.74161	6.42470
50.07767	5.77222	8.29964	9.21097	0.08411	35.95664	47.50148	71.03640	7.72518	5.04892	1199.76870	5.77142	14.88788	8.18134	1.00000	10.90732	36.7138	9.18399
36.25324	7.86087	7.99519	7.41378	0.52030	16.68911	61.80148	65.94476	8.54906	6.25932	1147.50730	9.34311	17.17994	8.93746	1.00000	4.50673	98.50893	8.02208
47.97698	6.19184	8.01800	6.97211	0.07490	58.63667	16.73186	66.81702	9.34627	5.26743	1129.76327	3.54194	6.35600	7.85169	1.00000	10.79089	59.80222	8.13383
41.45461	6.35379	8.02058	9.77535	0.28581	47.83333	52.09697	60.98511	9.26424	4.52832	1081.18201	8.82955	17.29116	10.09297	1.00000	9.43438	59.6	8.79506
60.30401	7.85624	7.23813	9.71914	0.09311	51.955	48.09628	58.45873	9.30227	7.56520	1073.74046	4.87764	21.05034	7.96547	0.00000	9.19158	5.22778	5.63623
58.10396	6.84275	7.94578	7.56973	0.07156	39.43534	52.36218	35.65591	8.12054	5.09312	1157.01567	5.55630	17.03668	7.73575	1.00000	9.64241	-84.20299	8.37469
19.20220	11.41078	7.98896	11.27932	0.23424	59.80917	56.59817	52.70298	9.17408	4.69861	1078.24189	8.46271	33.52885	7.80991	0.00000	8.05757	30.38167	5.49715
34.07790	7.07684	8.76844	7.43729		-11.48472	68.56335	78.18255	9.35655	7.90975	1154.61607	6.76905	13.56840	10.26049	0.00000	10.75437	-37.93278	7.92360
54.29507	5.66737	8.06527	9.01742	0.07535	45.75279	47.26764	37.43964	9.16569	6.59281	1145.95617	5.77521	16.66010	8.28493	1.00000	10.37377	130.57211	8.62759
49.01927	9.12184	7.11399	9.45758	0.33541	6.9909	50.38373	59.72754	9.86092	6.87584	1094.62568	8.84298	29.58053	5.49017	0.00000	8.80430	79.883	7.75475
53.02376	6.81607	7.05008	5.78181	0.24738	36.92574	65.18804	32.55327	7.48064	5.95418	1164.58115	8.57377	13.72740	8.55653	1.00000	7.59801	14.72443	7.82138
58.25952	7.29660	6.32970	4.83230	0.63035	59.80917	61.86748	68.16446	7.95520	4.96547	1118.86867	9.56042	11.22277	6.87344	0.00000	6.37043	30.38167	5.74844
49.54569	10.26909	6.16787	10.58294	0.09223	10.31672	72.44806	57.45681	8.49336	6.83911	1155.41381	6.76536	12.13829	8.55399	0.00000	7.46931	123.89071	6.14036
74.47349	10.65630	7.21861	12.08203	0.46088	9.82564	21.28071	47.87088	7.88824	7.33010	1179.98349	9.28689	15.59494	6.32058	0.00000	6.26672	78.25795	8.39243
57.92620	4.88579	8.28943	2.95260	3.62623	10.22677	47.06446	60.51113	9.10545	7.38997	1060.61193	11.45757	15.32306	8.86590	0.00000	7.53729	-67.33122	7.01173
44.73163	8.31692	7.24699	10.71184	0.18835	33.08014	73.46658	59.02853	6.04893	5.79601	1057.34114	8.11658	13.71725	7.30073	1.00000	7.76257	-83.2321	10.02095
68.07735	8.22632	6.73585	8.27973	0.65073	59.33333	20.18538	32.35114	6.75647	5.60509	1186.98064		14.55192	7.68706	1.00000	4.22403	18.28333	8.03029
48.07616	5.10511	8.05334	9.63498	0.23320	11.93381	43.37637	61.00079	8.27092	3.96802	1090.83944	8.55340	19.50313	8.58082	1.00000	9.03326	79.82979	9.48234
61.52208	7.24568	8.84150	9.78017	0.23373	14.95472	55.51445	60.73008	8.74399	6.64183	1074.67182	8.37476	0.74574	7.13574	1.00000	10.13478	120.89694	7.46472
50.43503	6.12032	8.78767	6.32873	1.45104	7.65649	57.31886	72.80385	10.13443	7.43300	1161.45385	10.51016	10.98537	7.26290	1.00000	3.94970	4.92235	10.36217
27.78655	8.50056	8.16780	8.07711	0.10175	40.94065	42.00456	42.98893	7.77697	6.93548	1145.87134	6.81413	9.57257	8.01416	1.00000	8.32094	-73.99681	7.51315
42.20788	7.65392	6.69710	7.02655	0.30436	26.67319	68.74354	63.82718	8.18632	7.49338	1134.19504	8.84590	3.81434	6.77732	1.00000	5.10827	31.4976	8.41134
47.09484	7.94037	9.20893	9.78988	0.23461	42.62833	26.28358	60.34010	7.61276	6.89908	1094.03879	8.27352	9.49440	5.86312	1.00000	7.71883	20.89389	10.25593
55.47685	6.14149	6.83357	7.93189	1.16651	41.85059	46.34737	54.37302	7.54658	3.81361	1065.08909	10.26886	9.72891	8.09937	0.00000	4.82690	-87.882	6.25681
47.67681	6.61282	4.81844	9.67840	0.08122	41.84364	74.14337	62.02339	7.60172	7.45808	1055.79323	6.70217	19.67666	9.58568	1.00000	9.39489	-87.71255	9.41351
47.57567	5.94503	8.83078	7.14269	0.10699	15.46063	53.58285	57.35797	8.91702	8.80459	1192.06059	7.27516	7.62184	10.70507	1.00000	5.64601	99.89166	11.29842
63.86581	6.95559	8.47810	9.49400	2.15813	31.12406	46.65767	84.30856	8.90678	4.12166	1138.82629	10.92161	28.11788	7.21400	1.00000	7.45565	-97.90308	8.63568
48.00107	8.25215	5.83143	7.47668	0.24133	-7.57897	48.31978	59.66459	8.80276	6.50340	1130.42809	8.61217	16.08572	8.88493	1.00000	8.14929	112.23109	7.41021
65.69090	7.32853	8.15030	8.98937	0.06623	53.7446	36.10478	65.99639	7.78247	6.79985	1171.56816	5.76963	9.74796	7.64273	1.00000	10.10903	-0.33525	8.96802
64.77220	9.57897	8.37255	9.82052	0.02555	33.93113	60.35514	52.25481	9.60102	6.45926	1185.21390	5.40687	17.13123	7.74531	0.00000	10.85085	-117.54866	8.34553
46.20136		8.00126	2.43368	3.94193	53.7446	68.82061	33.74125	8.96859	8.50675	1114.90342	11.53989	21.75404	7.78152	0.00000	8.34401	-0.33525	6.79745
29.40046	7.76011	9.62665	6.09952	0.16571	41.9001	30.14642	57.75821	7.99978	7.84248	1184.37452	7.79618	20.05738	10.11352	0.00000	8.53412	-71.08977	6.85449
37.09025	8.34582	9.45935	7.27630	0.36444	10.22677	54.16352	40.46240	9.10016	6.14671	1156.22682	8.97809	11.07326	8.10128	1.00000	8.29056	-67.33122	6.57632
46.81031	6.12142	7.47499	6.21685	0.43862	42.64685	32.64603	62.81080	9.25670	5.33525	1169.75900	9.22209	25.76339	6.38068	0.00000	7.24664	-5.55835	8.64136
47.18799	7.99007	8.57416	7.35223	0.59241	43.32393	27.43710	59.71019	8.79700	6.04261	1145.00551	9.53733	21.26340	7.50267	1.00000	7.35612	5.4584	7.80480
23.70822	12.41355	8.11134	11.73410	0.52075	9.82564	51.27991	43.92180	7.92694	5.82034	1054.29019	9.39030	21.57947	7.62748	0.00000	7.80219	78.25795	10.19128
49.08132	7.20420	6.57190	7.84893	0.20044	-54.8	52.32687	59.91163	6.23496	8.34881	1131.46255	7.89841	31.50324	8.58380	1.00000	7.25670	-68.3	10.04398
46.57688	7.18777	5.23508	8.31829	0.32657	33.86419	51.46430	71.18149	8.64050	5.71744	1111.33481	8.85388	16.89393	8.08145	0.00000	5.54829	48.26258	6.99892
57.45205	5.12954	9.45074	10.63880	0.17323	52.57583	55.35355	57.23595	9.27801	6.38531	1198.47805	7.82166	19.63393	7.32656	1.00000	9.69699	6.61944	9.78277
15.21486	4.43168	7.77183	10.01968	0.43729	32.61603	50.29186	54.90907	6.32329	3.79020	1172.77836	9.17874	19.26313	5.43191	1.00000	9.75050	44.02488	8.62122
66.11745	5.31101	9.69430	4.33000	0.15699	28.54944	30.87410	54.87245	8.23936	8.48529	1148.31144	7.68560	22.17812	9.51482	1.00000	8.53353	-81.77285	9.81487
29.69117	6.62717	7.45016	8.78081	0.13334	53.81667	79.90644	36.42669	8.89132	6.73290	1193.58712	7.53741	25.04164	6.26283	1.00000	8.19877	-3.05	8.85384
36.47729	7.33133	8.90336	8.14254	0.12620	50.7236	41.26028	57.84725	7.50968	5.35561	1142.82649	6.51325	9.55917	7.33223	1.00000	9.51001	-3.52751	8.31008
54.29959	10.99840	7.71851	11.12671	0.11005	28.54944	44.28456	54.44687	8.33593	6.05092	1124.19301	6.60000	25.58759	7.53428	0.00000	7.69404	-81.77285	6.14240
60.85743	7.46476	6.78848	9.79912	0.62537	56.03361	35.36941	36.77484	7.96419	5.77368	1151.72717	9.60333	16.33234	7.04547	0.00000	6.57988	35.96944	4.40109
43.36763	5.94144	5.86053	5.43416	0.54621	39.96348	67.20405	41.31413	6.54206	7.69972	1190.22072	9.42875	26.58642	9.06595	1.00000	6.43550	-4.83076	9.51064
59.00829	7.69864	8.72591	7.73823	0.33154	36.06523	49.58637	62.65319	10.07332	5.53616	1076.56573	8.85884	-16.04676	6.85962	1.00000	8.11164	-119.01677	8.18386
42.33404	6.68202	6.10326	4.85249	0.60071	11.00599	64.28075	63.20475	6.82533	3.35038	1136.24601	9.50325	38.10092	7.52651	0.00000	7.73137	77.5609	4.71926
75.98277	5.83657	7.13812	10.28905	0.07981	35.50056	40.24782	46.83495	7.35591	6.96618	1189.39320	5.70469	8.14588	10.63602	1.00000	9.53424	117.63083	11.46845
