longitude	station	location	latitude	revision	QoS
110.8405	Kudus	Asia/Jakarta	-6.8048	04/22/2016, 00:00:00	excellent
-80.58556	Corralillo	America/Havana	22.98212	05/10/2019, 00:00:00	excellent
1.04945	Frenda	Africa/Algiers	35.06544	2016/08/21	accep
-48.29694	Viradouro	America/Sao_Paulo	-20.87306	2019/09/27	excellent
4.18333	Olupona	Africa/Lagos	7.6	2022/07/22	excellent
74.83554	Sirsi	Asia/Kolkata	14.62072	02/21/2020, 00:00:00	good
-77.96389	Martinsburg	America/New_York	39.45621	2020/07/13	excellent
11.412	Montecchio Maggiore-Alte Ceccato	Europe/Rome	45.50369	01 Dec 2015	maintenance
-71.19901	Ovalle	America/Santiago	-30.60106	2017-03-10	excellent
-85.76942	Greenfield	America/Indiana/Indianapolis	39.78504	03 Jul 2021	excellent
4.52514	Argungu	Africa/Lagos	12.74482	2021/11/10	good
10.18003	Ghat	Africa/Tripoli	24.96334	25 May 2020	average
-52.20639	Altamira	America/Santarem	-3.20333	08 Mar 2016	acceptable
14.30935	Afragola	Europe/Rome	40.92298	2014/08/28	good
-93.71133	West Des Moines	America/Chicago	41.57721	2016-06-12	excellent
77.9129	Narwar	Asia/Kolkata	25.6439	2018/06/19	good
2.61667	Mitry-Mory	Europe/Paris	48.98333	2013-05-20	maintenance
-87.70172	Evergreen Park	America/Chicago	41.72059	2018/06/15	excellent
30.2049	Vitebsk	Europe/Minsk	55.1904	2019-06-29	excellent
-102.04897	Paracho de Verduzco	America/Mexico_City	19.64745	12 May 2013	good
-37.07167	Aracaju	America/Maceio	-10.91111	10 May 2022	average
-37.07167	Aracaju	America/Maceio	-10.91111	2019/11/12	building
5.58472	Barneveld	Europe/Amsterdam	52.14	2020/01/19	average
43.83992	Arzamas	Europe/Moscow	55.39485	09 Aug 2020	accep
-86.57415	Olanchito	America/Tegucigalpa	15.48131	18 Jul 2020	accep
-46.99583	Valinhos	America/Sao_Paulo	-22.97056	04 Jan 2014	accep
-73.89125	Cypress Hills	America/New_York	40.67705	2013/08/07	average
-3.05814	Rhosllanerchrugog	Europe/London	53.00974	2016/09/06	excellent
137.4	Toyokawa	Asia/Tokyo	34.81667	03 Jan 2017	accep
117.63083	Pingyi	Asia/Shanghai	35.50056	01/25/2022, 00:00:00	average
168.31366	Port-Vila	Pacific/Efate	-17.73648	06 Nov 2017	maintenance
33.9162	Hlukhiv	Europe/Kiev	51.67822	2018/05/09	excellent
120.82747	Zhuangyuan	Asia/Shanghai	37.30553	2018-04-04	excellent
-86.77917	Brentwood Estates	America/Chicago	36.02506	11 Jun 2013	accep
9.00472	Idenao	Africa/Douala	4.2475	07/08/2022, 00:00:00	average
104.64992	Kantharalak	Asia/Bangkok	14.64056	02/17/2016, 00:00:00	excellent
-13.2356	Freetown	Africa/Freetown	8.48714	2016-04-02	building
46.04833	Privolzhskiy	Europe/Saratov	51.40944	17 May 2021	accep
-72.47417	Villa del Rosario	America/Bogota	7.83389	30 Nov 2019	average
-73.25383	Iquitos	America/Lima	-3.74912	10/04/2012, 00:00:00	maintenance
-103.42897	Jocotepec	America/Mexico_City	20.28527	05/21/2015, 00:00:00	good
8.77155	Karben	Europe/Berlin	50.23019	2013/07/17	building
0.30367	Hartley	Europe/London	51.38673	2017-01-03	maintenance
-13.68778	Camayenne	Africa/Conakry	9.535	2022/09/01	average
-94.41551	Independence	America/Chicago	39.09112	02/10/2013, 00:00:00	good
-15.6	Farafenni	Africa/Banjul	13.56667	10/09/2017, 00:00:00	excellent
138.31667	Suzaka	Asia/Tokyo	36.65	07/18/2013, 00:00:00	good
-97.54667	Hutto	America/Chicago	30.5427	2022-08-19	accep
43.63417	Novopavlovsk	Europe/Moscow	43.96222	2020/12/03	average
34.11169	Busia	Africa/Nairobi	0.46005	05/09/2014, 00:00:00	maintenance
20.91361	Bogovinje	Europe/Skopje	41.92361	2017-12-25	average
38.02486	Malakhovka	Europe/Moscow	55.64776	2013-12-05	excellent
2.45012	Bobigny	Europe/Paris	48.90982	2017-08-15	excellent
-45.94722	Alfenas	America/Sao_Paulo	-21.42917	24 Dec 2015	average
36.7138	Binnish	Asia/Damascus	35.95664	2021-06-19	average
12.70038	Cordenons	Europe/Rome	45.9836	2019-08-20	excellent
75.06583	Fazilpur	Asia/Karachi	32.17629	2020-09-07	excellent
-15.6	Farafenni	Africa/Banjul	13.56667	12 Nov 2018	maintenance
11.18709	Neuburg an der Donau	Europe/Berlin	48.73218	09/09/2020, 00:00:00	good
76.11996	Manjeri	Asia/Kolkata	11.12018	2018/01/27	accep
110.8405	Kudus	Asia/Jakarta	-6.8048	11 Dec 2020	maintenance
-73.75335	Dorval	America/Toronto	45.4473	2020-01-22	accep
101.44167	Pekanbaru	Asia/Jakarta	0.51667	2020-07-16	good
-52.20639	Altamira	America/Santarem	-3.20333	17 Aug 2022	accep
124.3697	Jagna	Asia/Manila	9.6531	2019/03/25	average
114.10479	Tsuen Wan	Asia/Hong_Kong	22.37066	2015/06/11	maintenance
-50.00639	Palmeira	America/Sao_Paulo	-25.42944	2014/12/03	excellent
-2.98333	Poulton-le-Fylde	Europe/London	53.83333	2013/05/29	accep
1.6	Pamiers	Europe/Paris	43.11667	2021-05-01	accep
76.35484	Alwaye	Asia/Kolkata	10.10649	03 Apr 2019	excellent
8.4493	Hofheim am Taunus	Europe/Berlin	50.09019	06 May 2021	accep
168.31366	Port-Vila	Pacific/Efate	-17.73648	2014-07-31	excellent
6.61944	Hardenberg	Europe/Amsterdam	52.57583	01/09/2017, 00:00:00	accep
18.28333	Boo	Europe/Stockholm	59.33333	02/14/2016, 00:00:00	good
117.63083	Pingyi	Asia/Shanghai	35.50056	2014/07/26	average
4.07601	Denderleeuw	Europe/Brussels	50.88506	2020/02/18	excellent
-95.36969	Muskogee	America/Chicago	35.74788	08/08/2018, 00:00:00	accep
74.4818	Malaut	Asia/Kolkata	30.21121	01/21/2013, 00:00:00	accep
4.82313	Lille	Europe/Brussels	51.24197	2018/09/10	good
12.6723	Ariccia	Europe/Rome	41.72063	2019/04/02	average
-85.76942	Greenfield	America/Indiana/Indianapolis	39.78504	11/14/2018, 00:00:00	average
153.10236	Carindale	Australia/Brisbane	-27.50578	2017-07-31	excellent
73.66633	Sojat	Asia/Kolkata	25.92493	2016-11-29	excellent
85.4265	Yashkino	Asia/Novokuznetsk	55.8736	09/17/2022, 00:00:00	accep
-9.24671	Carnaxide	Europe/Lisbon	38.72706	28 Oct 2013	excellent
10.18003	Ghat	Africa/Tripoli	24.96334	29 Nov 2019	building
9.15214	Aschaffenburg	Europe/Berlin	49.97704	29 Oct 2021	average
-87.93341	Pleasant Prairie	America/Chicago	42.55308	03 Aug 2019	good
-74.28459	Woodbridge	America/New_York	40.5576	01 Oct 2013	accep
27.18052	Bergama	Europe/Istanbul	39.12074	23 Mar 2014	accep
-117.14392	Mira Mesa	America/Los_Angeles	32.9156	2021-06-26	building
-73.0515	Waterbury	America/New_York	41.55815	11/19/2018, 00:00:00	good
5.4384	Marseille 11	Europe/Paris	43.2907	04/27/2016, 00:00:00	average
34.34691	Petrozavodsk	Europe/Moscow	61.78491	04/15/2016, 00:00:00	accep
30.91105	Arua	Africa/Kampala	3.02013	2016/05/04	accep
126.835	Goyang-si	Asia/Seoul	37.65639	08/15/2021, 00:00:00	average
14.01481	Roseto degli Abruzzi	Europe/Rome	42.67164	11 Nov 2015	average
7.60872	Ventimiglia	Europe/Rome	43.78956	2019/03/31	accep
6.83042	Nkpor	Africa/Lagos	6.15038	2020-03-17	excellent
46.5813	Alatyr’	Europe/Moscow	54.8421	2015/03/27	maintenance
-63.13414	Charlottetown	America/Halifax	46.23899	2015-06-21	good
4.8951	Valence	Europe/Paris	44.92801	2013/01/24	average
-51.87389	Sarandi	America/Sao_Paulo	-23.44361	2018-06-25	accep
40.17171	Danilov	Europe/Moscow	58.1908	2019/05/16	good
120.33063	Longgang	Asia/Shanghai	37.65181	2019-06-07	accep
9.5926	Walsrode	Europe/Berlin	52.86147	25 Jan 2022	good
31.4976	Juhaynah	Africa/Cairo	26.67319	09 Mar 2016	maintenance
-90.10674	Estelle	America/Chicago	29.84576	08/29/2019, 00:00:00	accep
-93.12577	Rosemount	America/Chicago	44.73941	2012-10-30	good
-2.68758	Leyland	Europe/London	53.69786	20 Mar 2013	average
56.36091	Saraktash	Asia/Yekaterinburg	51.78771	2019/06/30	good
11.5	Mbalmayo	Africa/Douala	3.51667	2016-09-11	excellent
-71.10077	Santa Cruz de Barahona	America/Santo_Domingo	18.20854	24 Apr 2022	building
-77.55777	Bon Air	America/New_York	37.52487	09/24/2018, 00:00:00	good
2.95924	Cheraga	Africa/Algiers	36.76775	02/22/2022, 00:00:00	accep
116.10146	Donggongon	Asia/Kuching	5.90702	2017-05-06	excellent
-3.05	Blackpool	Europe/London	53.81667	2015-10-14	accep
26.01649	Sector 6	Europe/Bucharest	44.43579	25 Aug 2013	accep
29.24152	Standerton	Africa/Johannesburg	-26.93366	07 Dec 2015	average
-2.09814	Aberdeen	Europe/London	57.14369	11 Nov 2016	good
8.73812	Ajaccio	Europe/Paris	41.91886	04/15/2016, 00:00:00	building
-76.70944	Chosica	America/Lima	-11.94306	2017-06-23	average
99.89166	Thap Than	Asia/Bangkok	15.46063	2021-04-17	good
-86.19903	Jinotepe	America/Managua	11.84962	23 Jun 2020	average
-77.55777	Bon Air	America/New_York	37.52487	2022/09/04	average
-71.06616	Malden	America/New_York	42.4251	2013-06-05	good
78.15794	Dharmapuri	Asia/Kolkata	12.1277	2018/03/10	excellent
-117.14392	Mira Mesa	America/Los_Angeles	32.9156	2014/01/27	excellent
73.7553	Calangute	Asia/Kolkata	15.5439	03/12/2018, 00:00:00	excellent
-75.87877	Andes	America/Bogota	5.6561	2016/03/13	average
76.12647	Chamba	Asia/Kolkata	32.55531	2020-03-12	accep
17.80774	Mesagne	Europe/Rome	40.55851	10/27/2020, 00:00:00	accep
-89.71472	Sonzacate	America/El_Salvador	13.73417	03 May 2015	average
-97.03285	Grand Forks	America/Chicago	47.92526	05/09/2015, 00:00:00	building
9.17702	Stuttgart	Europe/Berlin	48.78232	2021/05/15	accep
-117.71978	Claremont	America/Los_Angeles	34.09668	02/27/2016, 00:00:00	accep
5.23333	Zeist	Europe/Amsterdam	52.09	2022/08/08	excellent
37.49338	Tyoply Stan	Europe/Moscow	55.62047	2022-02-06	accep
117.65694	Laiwu	Asia/Shanghai	36.19278	2015-04-30	excellent
-86.77917	Brentwood Estates	America/Chicago	36.02506	2018/12/10	average
-73.49484	New Canaan	America/New_York	41.14676	10/02/2014, 00:00:00	excellent
14.72443	Ragusa	Europe/Rome	36.92574	03 Jul 2019	building
-84.20299	Lebanon	America/New_York	39.43534	11 Feb 2018	good
29.91582	Alexandria	Africa/Cairo	31.20176	30 Jun 2022	building
-80.22588	North Lauderdale	America/New_York	26.2173	2020/03/14	good
43.83992	Arzamas	Europe/Moscow	55.39485	20 Jun 2014	good
125.51176	Dongfeng	Asia/Shanghai	42.64031	2021/12/06	excellent
37.73333	Same	Africa/Dar_es_Salaam	-4.06667	2014-12-28	average
37.56667	Likhobory	Europe/Moscow	55.85	2020-03-09	average
-9.24671	Carnaxide	Europe/Lisbon	38.72706	2021/07/21	building
38.16694	Kashira	Europe/Moscow	54.84444	2013/02/23	good
79.883	Hendala	Asia/Colombo	6.9909	2016/05/05	maintenance
99.96667	Nakhon Si Thammarat	Asia/Bangkok	8.43333	11/23/2018, 00:00:00	average
-5.682	Lakota	Africa/Abidjan	5.84752	01/20/2013, 00:00:00	average
-76.88442	Harrisburg	America/New_York	40.2737	03/17/2020, 00:00:00	good
65.27258	Tavda	Asia/Yekaterinburg	58.04254	18 May 2015	good
2.45012	Bobigny	Europe/Paris	48.90982	28 May 2015	maintenance
-1.4001	Mampong	Africa/Accra	7.06273	22 Jan 2021	excellent
-79.00453	Cuenca	America/Guayaquil	-2.90055	18 Sep 2017	good
18.30056	Strzelce Opolskie	Europe/Warsaw	50.5107	2021/12/27	excellent
5.55575	Lons-le-Saunier	Europe/Paris	46.67535	10/17/2016, 00:00:00	excellent
74.80555	Srinagar	Asia/Kolkata	34.08565	07 Apr 2017	average
-121.75689	Watsonville	America/Los_Angeles	36.91023	06/01/2022, 00:00:00	excellent
48.87498	Astara	Asia/Baku	38.45598	18 Jan 2013	excellent
36.7138	Binnish	Asia/Damascus	35.95664	2020/08/14	accep
-111.78903	Gilbert	America/Phoenix	33.35283	2018-02-25	accep
-119.01677	Porterville	America/Los_Angeles	36.06523	29 Sep 2019	excellent
-83.48216	Canton	America/Detroit	42.30865	2022/01/31	good
125.51176	Dongfeng	Asia/Shanghai	42.64031	26 Oct 2017	average
-75.60804	West Chester	America/New_York	39.96097	15 Feb 2018	average
-86.77917	Brentwood Estates	America/Chicago	36.02506	01 Jul 2019	good
-82.45426	Venice	America/New_York	27.09978	23 Mar 2017	excellent
-79.62603	Veracruz	America/Panama	8.88988	10/11/2014, 00:00:00	average
86.59611	Saharsa	Asia/Kolkata	25.87498	12/20/2015, 00:00:00	building
11.04979	Castelfranco Emilia	Europe/Rome	44.59445	10/06/2020, 00:00:00	average
-13.68778	Camayenne	Africa/Conakry	9.535	10 Aug 2017	good
31.33078	Voznesensk	Europe/Kiev	47.56494	07/06/2022, 00:00:00	maintenance
145.06667	Carnegie	Australia/Melbourne	-37.88333	05/17/2015, 00:00:00	average
-77.37331	Mechanicsville	America/New_York	37.60876	2019-03-08	good
-2.68333	Gernika-Lumo	Europe/Madrid	43.31667	2017/08/18	excellent
123.89071	Cebu City	Asia/Manila	10.31672	17 Sep 2020	maintenance
69.01354	Vahdat	Asia/Dushanbe	38.55632	2013/01/07	average
140.72287	Nikolayevsk-on-Amure	Asia/Vladivostok	53.14657	2016/07/16	accep
9.32241	Chiavari	Europe/Rome	44.31771	2019-11-25	good
-87.71255	South Lawndale	America/Chicago	41.84364	2021/11/25	average
103.6032	Kulai	Asia/Kuala_Lumpur	1.6561	2016/08/05	excellent
29.00974	Mokopane	Africa/Johannesburg	-24.19436	05/07/2013, 00:00:00	good
-67.33122	La Victoria	America/Caracas	10.22677	16 Jun 2013	good
8.2926	Kafanchan	Africa/Lagos	9.58126	06/23/2014, 00:00:00	average
-118.25508	Glendale	America/Los_Angeles	34.14251	12/15/2021, 00:00:00	excellent
41.77921	Kobuleti	Asia/Tbilisi	41.82143	11 Sep 2022	accep
86.79271	Madhipura	Asia/Kolkata	25.92127	2020/12/21	accep
-71.23106	La Ligua	America/Santiago	-32.45242	20 Dec 2015	building
115.70111	Hengshui	Asia/Shanghai	37.73222	2019-08-11	building
4.92235	Efon-Alaaye	Africa/Lagos	7.65649	20 Feb 2020	excellent
-88.42814	Huntley	America/Chicago	42.16808	2019/10/09	maintenance
136.13108	Ueno-ebisumachi	Asia/Tokyo	34.75856	2020/03/03	average
-38.79084	Tucano	America/Bahia	-10.95817	02 Sep 2022	maintenance
-122.2608	American Canyon	America/Los_Angeles	38.17492	2020-08-24	building
43.83992	Arzamas	Europe/Moscow	55.39485	2015/08/21	excellent
-89.99038	Fairview Heights	America/Chicago	38.58894	2017/02/05	maintenance
92.48278	Lesosibirsk	Asia/Krasnoyarsk	58.23583	2015/10/04	average
-0.59543	Talence	Europe/Paris	44.80477	26 Jun 2019	excellent
8.73812	Ajaccio	Europe/Paris	41.91886	2016/05/13	accep
-74.07764	Jersey City	America/New_York	40.72816	2022/03/30	accep
117.81667	Zhoucun	Asia/Shanghai	36.81667	10/01/2013, 00:00:00	average
-3.05814	Rhosllanerchrugog	Europe/London	53.00974	2017/03/06	accep
-68.3	Ushuaia	America/Argentina/Ushuaia	-54.8	2012-12-22	excellent
-77.96389	Martinsburg	America/New_York	39.45621	2022-03-05	accep
-84.23381	Stockbridge	America/New_York	33.54428	30 Apr 2018	average
4.63031	Arles	Europe/Paris	43.67681	05 Dec 2020	accep
-87.93341	Pleasant Prairie	America/Chicago	42.55308	01/22/2015, 00:00:00	good
2.2469	La Garenne-Colombes	Europe/Paris	48.90472	2020/04/15	accep
8.4493	Hofheim am Taunus	Europe/Berlin	50.09019	2016/08/19	excellent
81.54855	Jais	Asia/Kolkata	26.2649	2016-04-06	excellent
1.33467	Colomiers	Europe/Paris	43.61058	2016-02-08	average
36.73307	Naro-Fominsk	Europe/Moscow	55.38752	12/22/2013, 00:00:00	good
20.22625	Ajdabiya	Africa/Tripoli	30.75545	2019-01-20	maintenance
122.8637	Santa Catalina	Asia/Manila	9.3337	2020/09/22	excellent
119.58627	Magong	Asia/Taipei	23.5654	25 Mar 2019	excellent
102.3278	Kampung Ayer Molek	Asia/Kuala_Lumpur	2.2139	01/26/2021, 00:00:00	average
-52.35558	Nova Xavantina	America/Cuiaba	-14.66463	01/27/2021, 00:00:00	excellent
-5.22126	Azrou	Africa/Casablanca	33.43443	24 Apr 2013	excellent
113.82465	Licheng	Asia/Shanghai	23.29549	2017-06-21	maintenance
-1.86343	Caravaca	Europe/Madrid	38.10558	2016/06/28	average
-73.95097	Greenpoint	America/New_York	40.72371	2015/05/24	good
-77.37331	Mechanicsville	America/New_York	37.60876	16 Jul 2021	building
69.01354	Vahdat	Asia/Dushanbe	38.55632	2019-11-08	accep
-91.73625	Searcy	America/Chicago	35.25064	05/25/2016, 00:00:00	building
-74.73584	Honda	America/Bogota	5.20856	23 Jul 2019	average
137.02166	Minokamo	Asia/Tokyo	35.48199	10 Jun 2016	accep
16.86194	Ustka	Europe/Warsaw	54.58048	12 Jul 2016	good
121.96361	Recodo	Asia/Manila	6.95194	2015/11/01	excellent
59.6	Shalqar	Asia/Aqtobe	47.83333	2016/08/25	excellent
-37.03861	Barra dos Coqueiros	America/Maceio	-10.90889	2016-05-01	average
-84.20299	Lebanon	America/New_York	39.43534	2022-09-01	accep
-0.2	Barnet	Europe/London	51.65	2013/06/15	accep
113.82465	Licheng	Asia/Shanghai	23.29549	03/29/2017, 00:00:00	building
135.6	Yao	Asia/Tokyo	34.61667	02 Jul 2021	accep
133.42825	Lesozavodsk	Asia/Vladivostok	45.47885	2012/10/20	excellent
-96.72365	Oaxaca	America/Mexico_City	17.06542	07/05/2019, 00:00:00	good
5.4584	Les Olives	Europe/Paris	43.32393	06 Aug 2019	accep
68.75915	Khairpur Mir’s	Asia/Karachi	27.52948	09/07/2017, 00:00:00	excellent
120.03308	Guli	Asia/Shanghai	28.88162	11/13/2017, 00:00:00	maintenance
99.89166	Thap Than	Asia/Bangkok	15.46063	2020/10/07	maintenance
-3.59625	Bonoua	Africa/Abidjan	5.27247	14 Jun 2021	excellent
120.97844	Guyong	Asia/Manila	14.8361	2021/01/12	accep
3.55665	Thenia	Africa/Algiers	36.72544	06/08/2018, 00:00:00	excellent
11.34046	Rudolstadt	Europe/Berlin	50.72043	2017/08/02	maintenance
29.41824	Artsyz	Europe/Kiev	45.99194	11/16/2014, 00:00:00	good
15.07041	Catania	Europe/Rome	37.49223	11 Jan 2014	accep
-74.15987	Nutley	America/New_York	40.82232	07/21/2013, 00:00:00	excellent
-122.86705	Aloha	America/Los_Angeles	45.49428	2020-04-07	maintenance
13.10984	Oschatz	Europe/Berlin	51.30001	2017/06/20	excellent
12.1369	Zeitz	Europe/Berlin	51.04962	2017-11-07	excellent
76.32756	Kalavoor	Asia/Kolkata	9.57046	2018/01/22	excellent
73.7553	Calangute	Asia/Kolkata	15.5439	10/28/2019, 00:00:00	good
124.3697	Jagna	Asia/Manila	9.6531	2020-02-01	good
-74.26419	Madrid	America/Bogota	4.73245	06/19/2013, 00:00:00	building
30.2049	Vitebsk	Europe/Minsk	55.1904	2016-01-09	accep
116.10146	Donggongon	Asia/Kuching	5.90702	2016-03-05	excellent
-0.33525	Kingston upon Hull	Europe/London	53.7446	10 Nov 2015	average
8.62118	Novara	Europe/Rome	45.44694	2019-09-29	average
28.28489	Soroca	Europe/Chisinau	48.15659	11 Jan 2016	excellent
-7.95	Athlone	Europe/Dublin	53.43333	2017/12/07	average
-74.15987	Nutley	America/New_York	40.82232	2014-03-28	building
11.5	Mbalmayo	Africa/Douala	3.51667	03 Jul 2015	good
79.82979	Puducherry	Asia/Kolkata	11.93381	29 Jun 2021	maintenance
-80.22588	North Lauderdale	America/New_York	26.2173	26 Apr 2022	excellent
-91.11667	Chichicastenango	America/Guatemala	14.93333	03/30/2017, 00:00:00	good
17.10558	Hudiksvall	Europe/Stockholm	61.72744	12/24/2013, 00:00:00	good
-79.62603	Veracruz	America/Panama	8.88988	2016/08/29	average
-80.38297	Norfolk County	America/Toronto	42.8334	2020-01-02	building
73.97117	Naushahra Virkan	Asia/Karachi	31.96258	2013/06/17	maintenance
37.92792	Kireyevsk	Europe/Moscow	53.93361	2016-06-20	average
-3.59625	Bonoua	Africa/Abidjan	5.27247	2014/02/26	excellent
-75.11028	Minas de Marcona	America/Lima	-15.21194	2020/04/28	excellent
-71.08977	Taunton	America/New_York	41.9001	2016/10/31	average
81.54855	Jais	Asia/Kolkata	26.2649	2021-08-26	good
153.10236	Carindale	Australia/Brisbane	-27.50578	2013-05-03	accep
-60.94228	Le Robert	America/Martinique	14.67751	2015-04-05	average
75.37991	Deoli	Asia/Kolkata	25.75728	14 Jul 2013	excellent
8.73812	Ajaccio	Europe/Paris	41.91886	2019/11/29	good
-100.44843	Santa Rosa Jauregui	America/Mexico_City	20.74122	23 Jan 2015	building
6.26667	Schwalmtal	Europe/Berlin	51.21667	21 Apr 2016	building
123.17306	Liaoyang	Asia/Shanghai	41.27194	2019-08-11	good
1.33467	Colomiers	Europe/Paris	43.61058	22 Apr 2019	building
53.47103	Oktyabr’skiy	Asia/Yekaterinburg	54.48147	06/06/2020, 00:00:00	good
-94.41551	Independence	America/Chicago	39.09112	12/08/2021, 00:00:00	excellent
30.38167	Shushary	Europe/Moscow	59.80917	2013-06-07	excellent
77.5609	Kangayam	Asia/Kolkata	11.00599	2013-09-09	good
145.06667	Carnegie	Australia/Melbourne	-37.88333	02/04/2021, 00:00:00	excellent
139.07204	Fujioka	Asia/Tokyo	36.24624	2014/04/09	excellent
-117.54866	Norco	America/Los_Angeles	33.93113	04 Dec 2012	good
68.21204	Larkana	Asia/Karachi	27.55898	2019-07-20	excellent
5.74861	Emmeloord	Europe/Amsterdam	52.71083	08 Feb 2022	maintenance
-119.48568	Kelowna	America/Vancouver	49.88307	2016/03/11	average
-2.58736	Arbroath	Europe/London	56.56317	2018/03/09	accep
-1.98956	Tarkwa	Africa/Accra	5.30383	2022-07-19	building
-86.78777	Vestavia Hills	America/Chicago	33.44872	2019/01/18	average
139.6853	Shimotoda	Asia/Tokyo	35.815	2022/07/30	good
-82.00919	Jaruco	America/Havana	23.04419	07 Nov 2019	good
10.7	Tonga	Africa/Douala	4.96667	2020/01/29	good
-73.86586	Beaconsfield	America/Toronto	45.43341	2018-11-29	good
124.84472	Maasin	Asia/Manila	10.13361	2014/04/30	excellent
117.7	Dongdu	Asia/Shanghai	35.85	01 Jul 2017	accep
-82.07842	Punta Gorda Isles	America/New_York	26.91756	21 Dec 2020	good
-1.86343	Caravaca	Europe/Madrid	38.10558	17 Aug 2017	good
-71.06616	Malden	America/New_York	42.4251	05 Dec 2018	excellent
4.47124	Schiebroek	Europe/Amsterdam	51.95838	2016/12/27	good
-72.22625	Croix-des-Bouquets	America/Port-au-Prince	18.57677	2017/10/07	good
71.57737	Gariadhar	Asia/Kolkata	21.53889	2015-08-03	good
30.38167	Shushary	Europe/Moscow	59.80917	2019/04/13	good
-94.74049	Longview	America/Chicago	32.5007	2014-07-30	maintenance
77.70636	Meerut	Asia/Kolkata	28.98002	01/18/2013, 00:00:00	excellent
-87.882	Westchester	America/Chicago	41.85059	24 Dec 2018	maintenance
115.70111	Hengshui	Asia/Shanghai	37.73222	2019-09-11	building
6.83042	Nkpor	Africa/Lagos	6.15038	11 Jul 2015	average
-2.01111	Great Wyrley	Europe/London	52.66277	2021/02/03	good
104.09701	Simpang	Asia/Jakarta	-1.26424	02/22/2020, 00:00:00	building
2.25	Saint-Omer	Europe/Paris	50.75	2022/09/07	building
-1.05366	Dax	Europe/Paris	43.71032	2016/06/15	excellent
16.4	Floridsdorf	Europe/Vienna	48.25	01/18/2019, 00:00:00	average
-50.19556	Iturama	America/Sao_Paulo	-19.72806	06 Jan 2019	accep
53.26023	Bavly	Europe/Moscow	54.39304	2021/01/13	average
4.74161	Ilesa	Africa/Lagos	7.62789	2013/11/13	average
-1.48119	Belper	Europe/London	53.0233	25 Aug 2017	good
7.02238	Gronau	Europe/Berlin	52.21099	2021/08/25	good
-122.24064	Bothell West	America/Los_Angeles	47.80527	11 Dec 2015	maintenance
-0.76773	Novelda	Europe/Madrid	38.38479	2017-02-11	maintenance
-72.22625	Croix-des-Bouquets	America/Port-au-Prince	18.57677	02 Jul 2014	building
31.4976	Juhaynah	Africa/Cairo	26.67319	30 Mar 2016	average
-73.25383	Iquitos	America/Lima	-3.74912	05/10/2016, 00:00:00	accep
-84.13722	San Rafael	America/Costa_Rica	9.92787	07/29/2019, 00:00:00	excellent
8.70745	Bretten	Europe/Berlin	49.03685	2016/10/20	maitennce
-84.62081	Waverly	America/Detroit	42.7392	2022-06-18	average
68.11759	Tharu Shah	Asia/Karachi	26.9423	2020-05-31	building
18.28333	Boo	Europe/Stockholm	59.33333	2015-02-03	accep
-37.65	Lagarto	America/Maceio	-10.91722	12/20/2016, 00:00:00	average
-98.1664	Contla	America/Mexico_City	19.32932	13 Jul 2020	building
