location	latitude	QoS	revision	longitude	code
America/Argentina/Tucuman	-27.4338	good	06 Jul 2014	-65.61427	AR
Europe/Rome	45.44694	accep	2021-12-06	8.62118	IT
Africa/Lagos	7.65649	average	19 Nov 2018	4.92235	NG
Africa/Niamey	13.70727	accep	2018-11-12	9.15013	NE
Africa/Dar_es_Salaam	-7.60361	maintenance	2014/12/24	37.00438	TZ
Asia/Tokyo	33.4425	accep	2021/01/30	129.96972	JP
Europe/Brussels	50.71229	average	2022/06/16	4.52529	BE
Africa/Casablanca	34.31	excellent	05/18/2013, 00:00:00	-2.16	MA
Africa/Mogadishu	-0.35817	good	06/15/2020, 00:00:00	42.54536	SO
Europe/Madrid	37.49073	good	29 Aug 2014	-2.77259	ES
America/Caracas	9.91861	accep	2021/12/02	-68.30472	VE
Asia/Manila	6.95194	good	16 Apr 2018	121.96361	PH
America/Detroit	42.30865	accep	2014-01-02	-83.48216	US
Africa/Lubumbashi	0.49113	building	06/27/2020, 00:00:00	29.47306	CD
Europe/Berlin	49.03685	average	2016-03-26	8.70745	DE
Asia/Shanghai	33.78333	average	2021-02-07	114.51667	CN
Asia/Manila	6.33444	accep	01/30/2017, 00:00:00	124.95278	PH
Europe/Moscow	44.98901	accep	20 Jun 2018	38.94324	RU
America/Bahia	-12.91667	excellent	12/20/2015, 00:00:00	-39.25	BR
Europe/Zaporozhye	49.41029	excellent	02/04/2014, 00:00:00	38.15035	UA
America/Los_Angeles	37.73604	average	07 Jan 2019	-120.93549	US
Europe/Istanbul	39.12074	good	14 Feb 2020	27.18052	TR
America/Chicago	33.41012	accep	01 Jan 2015	-91.06177	US
Africa/Algiers	36.06386	maintenance	22 Feb 2013	4.62744	DZ
Europe/Rome	43.78956	accep	07/31/2021, 00:00:00	7.60872	IT
Africa/Dar_es_Salaam	-6.8	accep	2016-09-21	39.25	TZ
Asia/Kolkata	32.55531	excellent	2022-04-07	76.12647	IN
Africa/Kampala	3.02013	average	09 Dec 2015	30.91105	UG
Europe/London	50.79205	accep	01 Aug 2013	-1.08593	GB
Asia/Makassar	-3.5403	good	08/06/2016, 00:00:00	118.9707	ID
Europe/Dublin	53.53333	average	2012/11/30	-7.35	IE
Africa/Lubumbashi	-8.73508	accep	05 Dec 2019	24.99798	CD
America/New_York	41.27621	average	2018-03-29	-72.86843	US
America/Los_Angeles	33.7207	average	2012/12/21	-116.21677	US
America/Sao_Paulo	-19.7625	excellent	04/14/2013, 00:00:00	-44.31389	BR
America/Sao_Paulo	-22.57306	building	22 Jul 2017	-47.1725	BR
Europe/Moscow	55.64776	building	05 Sep 2013	38.02486	RU
America/New_York	32.54044	excellent	01/16/2022, 00:00:00	-82.90375	US
Asia/Karachi	31.71667	accep	05/09/2014, 00:00:00	73.38333	PK
Asia/Kolkata	27.9247	excellent	2014/11/12	78.40102	IN
Europe/Zurich	46.18396	maintenance	2018/11/24	6.10237	CH
Africa/Dar_es_Salaam	-5.41667	maintenance	2021-02-26	38.01667	TZ
America/Maceio	-10.91722	excellent	2017/08/29	-37.65	BR
America/Mexico_City	20.74122	accep	2019/11/26	-100.44843	MX
America/New_York	41.55838	average	2013-06-15	-81.56929	US
Asia/Shanghai	32.50611	average	2015/09/20	120.14278	CN
Europe/Istanbul	39.22493	excellent	2022/08/19	42.85693	TR
America/Cuiaba	-14.66463	maintenance	2020-05-14	-52.35558	BR
Europe/Brussels	50.8	excellent	2013/02/27	3.16667	BE
America/New_York	28.54944	maintenance	2012/11/09	-81.77285	US
America/New_York	41.14676	good	07/17/2016, 00:00:00	-73.49484	US
Asia/Jakarta	-7.51611	excellent	2016-10-21	109.05389	ID
Europe/Saratov	51.40944	building	03/31/2016, 00:00:00	46.04833	RU
Asia/Tokyo	34.4833	good	2018/06/05	136.84186	JP
America/Tegucigalpa	15.48131	average	2018/07/19	-86.57415	HN
America/Caracas	8.35122	excellent	08 Sep 2021	-62.64102	VE
Asia/Kolkata	11.93381	maintenance	2012-10-18	79.82979	IN
America/Argentina/Cordoba	-31.4488	accep	08 Feb 2018	-60.93173	AR
Europe/Madrid	38.38479	accep	04 Mar 2015	-0.76773	ES
America/Porto_Velho	-8.76194	good	06/03/2019, 00:00:00	-63.90389	BR
Europe/Lisbon	37.08819	accep	12 Jun 2019	-8.2503	PT
Asia/Shanghai	35.85	average	2015/02/28	117.7	CN
Asia/Kolkata	28.71271	excellent	05/30/2015, 00:00:00	77.656	IN
Europe/London	51.39323	excellent	20 Feb 2013	0.47713	GB
America/New_York	42.93369	maintenance	06/10/2019, 00:00:00	-72.27814	US
Europe/London	50.79205	building	22 Dec 2019	-1.08593	GB
Europe/Malta	35.89972	good	24 Dec 2016	14.51472	MT
Europe/Skopje	41.92361	excellent	2015-09-23	20.91361	MK
Europe/Lisbon	38.72706	building	15 Jun 2019	-9.24671	PT
America/Chicago	38.58894	building	11/03/2015, 00:00:00	-89.99038	US
Africa/Addis_Ababa	11.85	average	2015-12-21	38.01667	ET
America/Chicago	41.47892	building	10/09/2014, 00:00:00	-87.45476	US
Asia/Ulaanbaatar	47.90771	good	11/13/2014, 00:00:00	106.88324	MN
America/Chicago	45.0408	maintenance	05/15/2021, 00:00:00	-93.263	US
America/Los_Angeles	34.09668	average	10/21/2020, 00:00:00	-117.71978	US
America/Chicago	42.16808	accep	25 Mar 2022	-88.42814	US
Europe/Paris	48.98994	accep	2015/08/08	2.1699	FR
America/New_York	33.54428	average	31 Mar 2019	-84.23381	US
Europe/Chisinau	48.15659	accep	2012/12/31	28.28489	MD
Asia/Jakarta	-6.8048	building	17 Mar 2014	110.8405	ID
Europe/Moscow	60.02427	building	2022/07/17	30.28491	RU
Europe/Istanbul	39.59611	accep	2022-05-06	27.02444	TR
America/Sao_Paulo	-28.44917	average	08/07/2015, 00:00:00	-52.2	BR
Europe/Moscow	55.64776	excellent	23 Dec 2012	38.02486	RU
America/New_York	29.65163	average	06/07/2022, 00:00:00	-82.32483	US
America/Santiago	-32.45242	excellent	2019-05-15	-71.23106	CL
Europe/Madrid	42.06166	average	2016/05/29	-1.60452	ES
Africa/Ndjamena	12.18441	average	24 Mar 2013	18.69303	TD
America/Bogota	3.8801	average	2014-09-14	-77.03116	CO
Europe/Berlin	52.4581	excellent	05/08/2014, 00:00:00	13.28702	DE
America/Belem	-0.71667	average	2015-05-13	-48.52333	BR
Europe/Rome	37.51803	building	04/05/2016, 00:00:00	15.00913	IT
Asia/Shanghai	41.27194	excellent	21 May 2021	123.17306	CN
America/Sao_Paulo	-19.7625	building	2021/12/23	-44.31389	BR
Europe/Moscow	54.03876	maintenance	2014/02/21	43.91385	RU
Europe/Madrid	37.35813	good	10/15/2015, 00:00:00	-6.03731	ES
America/New_York	40.60538	building	2022-04-09	-73.75513	US
Asia/Qyzylorda	44.85278	excellent	2013/04/17	65.50917	KZ
Asia/Kolkata	23.18	average	2013/03/05	88.58	IN
Europe/Paris	43.83125	average	2021-08-04	5.03586	FR
Asia/Yekaterinburg	51.4781	excellent	2019-08-14	57.3552	RU
America/Port-au-Prince	18.65297	maintenance	2016-12-30	-72.09391	HT
Pacific/Honolulu	20.88953	average	07/18/2015, 00:00:00	-156.47432	US
Asia/Shanghai	42.64031	accep	01/27/2013, 00:00:00	125.51176	CN
America/Fortaleza	-4.24444	excellent	2019-05-19	-42.29444	BR
Europe/Warsaw	50.20528	average	13 Sep 2015	19.27498	PL
Australia/Sydney	-34.28853	good	2014/08/23	146.05093	AU
Europe/Madrid	40.42386	maintenance	12/27/2012, 00:00:00	-3.53261	ES
Europe/Belgrade	42.62833	accep	25 Nov 2013	20.89389	XK
America/Jamaica	18.00747	maintenance	2013-12-20	-76.78319	JM
Europe/Berlin	53.63333	good	20 Sep 2014	9.85	DE
Asia/Aqtobe	47.83333	average	21 Aug 2019	59.6	KZ
Africa/Windhoek	-21.98333	good	2021/06/02	16.91667	NA
America/New_York	26.91756	average	17 Jan 2021	-82.07842	US
Europe/Paris	46.32313	maintenance	2017/08/05	-0.45877	FR
Asia/Kuala_Lumpur	2.2139	average	2012/11/11	102.3278	MY
Indian/Antananarivo	-22.9	average	2013-08-25	44.53333	MG
America/Argentina/Cordoba	-31.4488	excellent	2018-08-20	-60.93173	AR
Indian/Antananarivo	-21.15	building	2019-05-20	46.58333	MG
Asia/Shanghai	27.92333	good	08/06/2022, 00:00:00	118.53333	CN
America/Edmonton	53.51684	building	2013-08-22	-113.3187	CA
Europe/Podgorica	42.28639	maintenance	2014/02/14	18.84	ME
Asia/Kolkata	23.1959	good	02 Apr 2016	86.51499	IN
America/Los_Angeles	33.76446	building	09 May 2018	-117.79394	US
Europe/Vilnius	55.25	good	2018-09-16	24.75	LT
Asia/Kolkata	15.73628	good	16 Dec 2019	75.96976	IN
Asia/Bangkok	8.43333	accep	2017-07-27	99.96667	TH
Europe/Amsterdam	52.71083	excellent	2013/10/13	5.74861	NL
Europe/Rome	42.22718	accep	11 Mar 2013	14.39024	IT
Europe/Brussels	50.74497	average	2018/03/17	3.20639	BE
Asia/Karachi	32.17629	average	09 May 2017	75.06583	PK
Europe/Moscow	54.03876	good	2014/09/23	43.91385	RU
Europe/Paris	43.67681	building	05/02/2019, 00:00:00	4.63031	FR
Africa/Kigali	-1.9487	excellent	2016-02-25	30.4347	RW
Asia/Kolkata	18.87813	good	09/12/2014, 00:00:00	72.93924	IN
Asia/Bangkok	13.44581	maintenance	10/15/2013, 00:00:00	101.18445	TH
Asia/Kolkata	24.81757	maintenance	2019-11-10	84.63445	IN
America/Chicago	41.15376	average	2017-01-31	-87.88754	US
Europe/Prague	50.23271	excellent	12/24/2015, 00:00:00	12.87117	CZ
Asia/Kolkata	24.41288	excellent	11/28/2015, 00:00:00	76.56719	IN
Europe/London	56.56317	building	20 Apr 2015	-2.58736	GB
Europe/Lisbon	37.08819	accep	12 Jun 2017	-8.2503	PT
America/Los_Angeles	37.73604	good	2013-06-25	-120.93549	US
Europe/Paris	46.67535	accep	11/10/2012, 00:00:00	5.55575	FR
America/Guayaquil	-2.90055	accep	2022/03/04	-79.00453	EC
America/Bogota	3.8801	average	2020/12/13	-77.03116	CO
Africa/Dar_es_Salaam	-7.60361	building	2022-06-07	37.00438	TZ
Asia/Shanghai	34.65918	excellent	23 Aug 2017	109.22921	CN
America/Guatemala	14.93333	accep	2016/06/14	-91.11667	GT
Asia/Manila	15.72892	excellent	2012-10-13	120.57224	PH
Africa/Douala	4.2475	average	2014/05/05	9.00472	CM
America/New_York	34.06635	excellent	01/11/2021, 00:00:00	-84.67837	US
Africa/Blantyre	-13.7804	excellent	2019-03-22	34.4587	MW
Europe/Berlin	51.88333	accep	08/16/2019, 00:00:00	8.51667	DE
America/Chicago	41.8542	accep	18 Nov 2020	-87.66561	US
Indian/Antananarivo	-17.83333	good	18 Mar 2022	48.41667	MG
Europe/Rome	37.31065	excellent	22 Apr 2021	13.57661	IT
America/Chicago	44.73941	good	01/09/2022, 00:00:00	-93.12577	US
Europe/Belgrade	44.97639	average	2022-08-03	19.61222	RS
Africa/Addis_Ababa	11.85	maitennce	2017/01/13	38.01667	ET
Africa/Algiers	36.61954	excellent	10/15/2016, 00:00:00	4.08282	DZ
Europe/Kiev	47.56494	accep	15 Aug 2016	31.33078	UA
Africa/Lubumbashi	0.76755	accep	2019/05/03	24.43973	CD
Europe/Kiev	51.67822	excellent	2021-08-09	33.9162	UA
America/New_York	26.68451	accep	2013/09/26	-80.66756	US
America/Los_Angeles	47.80527	excellent	2015/05/31	-122.24064	US
Europe/Berlin	52.21099	good	2021/04/07	7.02238	DE
America/New_York	40.64621	excellent	31 Aug 2013	-73.97069	US
America/New_York	29.65163	excellent	2022/06/26	-82.32483	US
Europe/Moscow	61.78491	average	2013-10-18	34.34691	RU
Indian/Reunion	-20.88231	average	2014-10-24	55.4504	RE
Africa/Casablanca	33.43443	excellent	31 Dec 2014	-5.22126	MA
Europe/Kiev	47.56494	good	2020-11-05	31.33078	UA
Europe/Brussels	51.03427	good	2014-11-06	5.37429	BE
Europe/Moscow	53.53395	excellent	2013/02/26	33.72798	RU
America/Chicago	42.16808	maintenance	03 Feb 2019	-88.42814	US
America/Caracas	9.91861	excellent	2022-05-17	-68.30472	VE
America/Argentina/Cordoba	-31.25033	accep	2022-01-15	-61.4867	AR
America/Lima	-16.25	excellent	12 May 2013	-69.08333	PE
Europe/Paris	48.79325	accep	2017-03-17	2.29275	FR
Europe/Berlin	50.23805	average	12/25/2017, 00:00:00	8.86704	DE
Europe/Rome	45.9836	average	10 Sep 2013	12.70038	IT
Europe/Moscow	61.78491	building	05/21/2021, 00:00:00	34.34691	RU
Europe/London	53.49389	average	04/09/2020, 00:00:00	-1.29243	GB
Asia/Tokyo	36.33011	building	21 Apr 2015	138.89585	JP
Europe/Prague	50.23271	excellent	19 Jul 2017	12.87117	CZ
America/Indiana/Indianapolis	41.75338	good	2013-08-26	-86.11084	US
America/Maceio	-10.90889	maintenance	2018/03/05	-37.03861	BR
America/Bogota	10.15031	average	2015-03-17	-73.9614	CO
America/Sao_Paulo	-25.42778	maintenance	2020/04/25	-49.27306	BR
Indian/Antananarivo	-22.9	good	2012-12-22	44.53333	MG
Pacific/Honolulu	20.88953	maintenance	2016/12/26	-156.47432	US
Europe/Moscow	43.35071	average	06/17/2017, 00:00:00	46.10925	RU
Europe/Rome	40.87363	excellent	2018/10/13	14.34085	IT
Africa/Dar_es_Salaam	-6.8	excellent	08/08/2020, 00:00:00	39.25	TZ
Asia/Tokyo	44.35056	average	12/30/2019, 00:00:00	142.45778	JP
Europe/Moscow	42.819	good	2017/10/09	47.1192	RU
America/Sao_Paulo	-19.32556	maintenance	07/18/2015, 00:00:00	-41.25528	BR
Africa/Johannesburg	-24.19436	average	2021/12/05	29.00974	ZA
America/Bogota	8.79577	accep	12 Jul 2016	-75.69947	CO
Europe/Madrid	43.32686	maintenance	06/27/2014, 00:00:00	-2.98884	ES
Europe/Berlin	49.5099	good	07/25/2014, 00:00:00	6.74549	DE
America/Chicago	31.76212	excellent	09/19/2014, 00:00:00	-95.63079	US
America/Chicago	41.57721	building	2017-07-22	-93.71133	US
America/Chicago	38.06084	good	2019-03-13	-97.92977	US
Europe/Podgorica	42.28639	maintenance	2012-10-16	18.84	ME
Europe/Moscow	42.819	building	26 Dec 2019	47.1192	RU
America/New_York	41.27621	accep	2016-07-17	-72.86843	US
America/Los_Angeles	33.72255	accep	03/31/2020, 00:00:00	-116.37697	US
Asia/Jerusalem	31.39547	accep	2021/03/07	34.75699	IL
America/Havana	22.98212	accep	2017-10-30	-80.58556	CU
America/New_York	43.61062	excellent	2021-02-26	-72.97261	US
Asia/Kolkata	25.6439	maintenance	30 Jan 2017	77.9129	IN
Europe/Kiev	50.18545	average	19 Mar 2016	27.06365	UA
Europe/Moscow	53.95278	accep	02 May 2014	32.86389	RU
Asia/Shanghai	41.27194	average	06/29/2020, 00:00:00	123.17306	CN
Europe/Rome	40.87363	accep	2019/08/07	14.34085	IT
Europe/Kiev	50.75932	good	2016/08/16	25.34244	UA
Europe/Bucharest	44.43579	excellent	11 Sep 2017	26.01649	RO
Asia/Urumqi	46.51872	average	2019-03-28	86.00214	CN
America/Mexico_City	17.94979	average	2016/06/15	-94.91386	MX
Asia/Kolkata	25.92493	excellent	2013/07/29	73.66633	IN
America/Chicago	32.52515	good	20 Jun 2014	-93.75018	US
America/Argentina/Cordoba	-31.4488	average	04/19/2014, 00:00:00	-60.93173	AR
America/New_York	39.08367	acceptable	08/07/2022, 00:00:00	-84.50855	US
Africa/Addis_Ababa	6.03333	accep	27 Dec 2013	37.55	ET
Europe/Brussels	51.21187	average	06 Apr 2013	4.25633	BE
Europe/Moscow	55.64776	maintenance	2019-01-09	38.02486	RU
Asia/Shanghai	38.40917	average	2018/10/18	112.73333	CN
America/New_York	28.54944	good	07/06/2022, 00:00:00	-81.77285	US
America/Cuiaba	-14.66463	excellent	2019-03-04	-52.35558	BR
America/Recife	-8.28333	accep	2019/05/24	-35.03333	BR
Africa/Lagos	10.61285	building	2015/02/27	12.19458	NG
Europe/Berlin	51.21667	average	10 Jan 2019	6.26667	DE
Europe/Moscow	54.84444	accep	12 Mar 2017	38.16694	RU
Europe/Moscow	43.35071	good	2021/12/17	46.10925	RU
Africa/Niamey	13.70727	accep	01/21/2017, 00:00:00	9.15013	NE
Africa/Abidjan	5.27247	maintenance	2022-01-17	-3.59625	CI
America/Guayaquil	-2.13404	good	02/01/2018, 00:00:00	-79.59415	EC
Europe/Madrid	42.06166	maintenance	2020/12/21	-1.60452	ES
Europe/Amsterdam	51.95838	excellent	2017-09-20	4.47124	NL
Europe/Amsterdam	51.955	excellent	2018/08/27	5.22778	NL
Europe/Berlin	50.82709	excellent	06/16/2022, 00:00:00	6.9747	DE
Europe/Moscow	53.59782	average	2015-11-01	34.33825	RU
America/Los_Angeles	44.99012	accep	15 Aug 2016	-123.02621	US
Asia/Kuala_Lumpur	4.02219	good	05 Aug 2020	101.02083	MY
Africa/Kigali	-1.9487	good	2022/09/10	30.4347	RW
America/Chicago	33.44872	average	01/29/2015, 00:00:00	-86.78777	US
America/Recife	-8.28333	maintenance	2014-06-22	-35.03333	BR
Asia/Shanghai	33.78333	maintenance	2019-06-16	114.51667	CN
America/New_York	40.65538	excellent	05/17/2014, 00:00:00	-74.38987	US
America/Toronto	42.8334	excellent	2020-05-24	-80.38297	CA
America/Los_Angeles	34.14251	accep	05/10/2020, 00:00:00	-118.25508	US
Europe/Berlin	48.52961	excellent	01 Oct 2013	12.16179	DE
America/Sao_Paulo	-28.81833	accep	31 Jan 2022	-52.51028	BR
America/New_York	40.63316	accep	2018/03/26	-74.13653	US
America/New_York	40.94065	maintenance	13 Aug 2018	-73.99681	US
Asia/Kolkata	18.18158	average	02/25/2013, 00:00:00	76.03889	IN
Africa/Addis_Ababa	6.03333	maintenance	03 Dec 2015	37.55	ET
America/Sao_Paulo	-19.7625	excellent	09/08/2017, 00:00:00	-44.31389	BR
Asia/Kuala_Lumpur	4.02219	average	15 Oct 2021	101.02083	MY
Asia/Shanghai	29.98869	accep	2018/05/10	122.20488	CN
Europe/Paris	45.73333	accep	02 Nov 2013	4.91667	FR
Asia/Manila	10.20898	good	2012/11/06	123.758	PH
America/New_York	35.88264	maintenance	24 Jul 2015	-80.08199	US
Europe/Rome	37.31065	good	2013/08/03	13.57661	IT
Australia/Sydney	-34.88422	accep	11 Nov 2021	150.60036	AU
America/Chicago	41.72059	average	2014-05-12	-87.70172	US
Asia/Shanghai	32.54278	excellent	2021-08-20	111.50861	CN
Asia/Kolkata	32.55531	accep	30 Apr 2016	76.12647	IN
Indian/Reunion	-20.88231	accep	27 Jan 2013	55.4504	RE
Asia/Baku	38.45598	good	04 Oct 2013	48.87498	AZ
Africa/Tunis	36.46917	average	16 Jul 2019	10.78222	TN
Europe/Berlin	48.49144	accep	08/15/2020, 00:00:00	9.20427	DE
Asia/Manila	6.33444	maintenance	2012/10/13	124.95278	PH
Europe/Istanbul	39.12074	acceptable	2022/03/02	27.18052	TR
America/Argentina/Buenos_Aires	-37.32167	good	20 Jun 2020	-59.13316	AR
Asia/Kolkata	25.49043	good	05/25/2019, 00:00:00	85.94001	IN
Asia/Kolkata	32.55531	accep	2016/05/18	76.12647	IN
Asia/Krasnoyarsk	58.23583	accep	09/23/2017, 00:00:00	92.48278	RU
America/Guayaquil	-2.13404	accep	2016-09-18	-79.59415	EC
Europe/Berlin	48.49144	building	2020/09/15	9.20427	DE
Europe/London	51.38673	maintenance	2016-09-21	0.30367	GB
Europe/London	53.69786	average	09/13/2017, 00:00:00	-2.68758	GB
Asia/Damascus	34.5624	maitennce	2014/09/23	38.28402	SY
America/New_York	39.32011	excellent	13 Nov 2013	-76.51552	US
Asia/Shanghai	34.65918	good	01/07/2016, 00:00:00	109.22921	CN
America/New_York	39.32288	accep	2015/05/10	-76.72803	US
Africa/Algiers	36.27462	average	14 Mar 2016	4.85668	DZ
Asia/Kuala_Lumpur	4.88441	excellent	12/30/2016, 00:00:00	101.96857	MY
Australia/Sydney	-33.75881	accep	07/14/2014, 00:00:00	150.99292	AU
Europe/Moscow	55.38752	accep	2019-05-31	36.73307	RU
America/Los_Angeles	36.20829	average	2017-11-30	-115.98391	US
Asia/Jakarta	-7.57897	maintenance	2014/06/16	112.23109	ID
Europe/Berlin	49.03685	average	2013-12-06	8.70745	DE
Europe/Berlin	51.168	accep	2012/10/19	7.973	DE
America/Chicago	26.18924	excellent	12/22/2017, 00:00:00	-98.15529	US
Indian/Antananarivo	-19.65	maintenance	2013/11/12	47.31667	MG
America/Chicago	39.09112	excellent	16 Mar 2015	-94.41551	US
Europe/Rome	43.62558	building	2020/04/20	13.39954	IT
Europe/Berlin	51.30001	building	10 Aug 2017	13.10984	DE
Europe/London	51.42708	good	2013-03-19	-0.91979	GB
America/Argentina/Tucuman	-27.4338	accep	2022/07/11	-65.61427	AR
America/New_York	34.25628	building	12 Mar 2020	-78.04471	US
America/New_York	35.05266	accep	07/13/2016, 00:00:00	-78.87836	US
Africa/Kampala	3.27833	building	2022/08/02	32.88667	UG
America/Lima	-3.74912	good	07 Feb 2014	-73.25383	PE
America/New_York	39.96097	good	04/25/2019, 00:00:00	-75.60804	US
Asia/Manila	14.14989	average	2013-02-07	121.3152	PH
Europe/Warsaw	54.60528	accep	01/03/2021, 00:00:00	18.34717	PL
Europe/Amsterdam	51.65333	accep	2012/12/02	5.2875	NL
Europe/London	51.38673	accep	2019/10/27	0.30367	GB
Europe/Chisinau	48.15659	accep	2022-04-18	28.28489	MD
America/Matamoros	25.87972	good	2017/01/23	-97.50417	MX
America/Sao_Paulo	-17.74431	average	2015-08-06	-48.62789	BR
Europe/Chisinau	48.15659	maintenance	29 Jan 2017	28.28489	MD
Europe/London	53.78333	maitennce	09/05/2019, 00:00:00	-1.06667	GB
Europe/Paris	48.8222	excellent	2016-06-19	2.12213	FR
America/Argentina/Ushuaia	-54.8	average	2021-10-28	-68.3	AR
Europe/Amsterdam	51.955	excellent	12 Aug 2022	5.22778	NL
Asia/Kolkata	12.1277	excellent	04 Dec 2018	78.15794	IN
America/Los_Angeles	34.14251	average	24 Mar 2017	-118.25508	US
Asia/Yerevan	40.49748	excellent	2015-02-04	44.7662	AM
Europe/Paris	49.28669	accep	10/11/2014, 00:00:00	1.00288	FR
Asia/Manila	12.35275	average	2013/11/08	121.06761	PH
Asia/Jakarta	-7.01833	average	2017-01-14	107.60389	ID
Africa/Abidjan	5.84752	good	2015/06/12	-5.682	CI
Asia/Yekaterinburg	60.97944	good	2018-11-12	76.92421	RU
Africa/Mogadishu	9.89206	accep	2019/06/26	43.38531	SO
America/New_York	39.33427	good	18 Nov 2017	-76.43941	US
Asia/Kolkata	23.49668	good	01/21/2014, 00:00:00	86.68363	IN
Europe/London	51.62907	excellent	29 Oct 2015	-0.74934	GB
Europe/Madrid	41.63976	excellent	06/26/2018, 00:00:00	2.35739	ES
America/Chicago	39.09112	good	2017/10/17	-94.41551	US
Asia/Manila	14.14989	average	09/25/2014, 00:00:00	121.3152	PH
Europe/Paris	48.90982	average	2012/11/20	2.45012	FR
Asia/Kuala_Lumpur	2.2139	excellent	09/01/2017, 00:00:00	102.3278	MY
Europe/Rome	37.51803	accep	2017-03-31	15.00913	IT
America/Chicago	39.09112	accep	01/07/2013, 00:00:00	-94.41551	US
Asia/Shanghai	40.66482	building	09/16/2022, 00:00:00	122.22833	CN
Asia/Shanghai	34.85	excellent	2018/06/01	117.33333	CN
Asia/Tehran	32.65246	excellent	2020-10-27	51.67462	IR
America/Sao_Paulo	-17.74431	good	2019-09-30	-48.62789	BR
Asia/Manila	14.14989	building	2014/12/07	121.3152	PH
Africa/Cairo	26.67319	good	09/13/2019, 00:00:00	31.4976	EG
Europe/Moscow	53.95278	good	03/09/2021, 00:00:00	32.86389	RU
America/New_York	26.91756	average	15 Apr 2020	-82.07842	US
America/Sao_Paulo	-21.42917	average	14 Sep 2019	-45.94722	BR
America/Sao_Paulo	-22.53722	good	05/17/2017, 00:00:00	-42.98194	BR
Asia/Kolkata	25.6439	good	2018-05-04	77.9129	IN
America/New_York	40.57788	average	2016-06-14	-73.95958	US
Europe/Rome	38.07789	maitennce	2021-10-19	13.44275	IT
Europe/Rome	41.55947	good	2017-01-10	14.66737	IT
Europe/London	53.19146	maintenance	07/22/2015, 00:00:00	-2.52398	GB
Africa/Lagos	7.6	accep	2013-10-04	4.18333	NG
Africa/Accra	5.30383	average	2014-10-26	-1.98956	GH
Asia/Dushanbe	38.55632	good	09 Aug 2016	69.01354	TJ
Africa/Algiers	35.06544	maintenance	01 Dec 2016	1.04945	DZ
Europe/Sofia	42.7	excellent	11 Aug 2015	27.25	BG
Asia/Kolkata	28.98002	accep	04 Jul 2017	77.70636	IN
Asia/Kuala_Lumpur	2.2139	good	11/21/2021, 00:00:00	102.3278	MY
Europe/Paris	48.8765	excellent	2013-11-10	2.18967	FR
Africa/Tunis	36.08497	maintenance	2019-08-27	9.37082	TN
Europe/Madrid	42.64685	maintenance	14 Feb 2019	-5.55835	ES
Europe/London	51.42708	accep	2020-02-13	-0.91979	GB
Asia/Karachi	30.76468	excellent	31 Mar 2018	74.12286	PK
America/Chicago	44.73941	good	11/13/2013, 00:00:00	-93.12577	US
