PM10	TEMP	NH3	PAHs	SO2	latitude	H2CO	C2H3NO5	Pb	CFCs	NOx	O3	PRES	PM2.5	warning	longitude	CH4	CO
9.45018	12.93988	7.51784	5.43783	7.48300	42.35843	45.57766	8.82829	53.69531	66.08562	10.32934	10.19879	1152.30339	5.20295	0.00000	-71.05977	5.86756	7.82885
6.57640	21.81240	6.88359	5.50999	7.14673	45.50369	71.95225	1.34320	64.08002	51.32635	8.41823	6.84722	1156.03649	7.58099	1.00000	11.412	11.04480	7.36652
7.68832	3.85613	6.95287	8.13764	7.53409	43.35071	26.38201	2.07551	53.99482	52.90158	9.10037	8.06098	1115.85273	7.63574	1.00000	46.10925	8.23274	9.24043
11.70495	9.57973	5.26011	9.60113	8.98932	40.49748	66.17573	75.75926	33.65299	61.12054	7.42346	7.79324	1057.83302	6.99672	0.00000	44.7662	8.08313	9.06355
8.47953	14.53320	4.54831	5.78866	8.07624	12.18441	41.16842	4.21343	36.86740	68.47426	4.56163	7.94173	1163.72638	6.12610	1.00000	18.69303	5.71461	8.32490
8.04319	12.24428	7.25503	8.14677	8.35392	48.8222	64.08467	3.29708	68.79232	60.76966	9.02329	7.00442	1155.40042	5.99628	0.00000	2.12213	7.16868	8.82972
7.75208	27.92776	6.84570	6.09040	8.14306	44.73941	33.30887	2.53183	29.16341	70.50211	5.93611	6.43791	1056.67938	7.91723	1.00000	-93.12577	4.79981	7.05977
8.21396	27.40143	7.03417	6.32710	7.44042	31.39547	36.17160	3.20822	51.30834	66.18019	7.62477	8.87085	1101.58607	9.13225		34.75699	11.53994	7.86573
10.21846	31.75837	11.11784	5.84255	8.19355	29.84576	63.90281	17.79923	51.05228	67.60309	7.02579	6.89187	1112.14520	4.28854	1.00000	-90.10674	6.70819	8.24027
9.12875	30.78015	12.88451	6.37692	9.04858	31.78336	42.85843	6.70727	51.33947	72.74972	7.32404	8.87987	1132.38569	6.01507	1.00000	35.23388	9.72625	9.31845
7.14635	24.55455	5.01082	10.51630	9.52347	27.9247	54.58994	1.83889	67.57285	57.75915	4.05927	6.43539	1137.23797	11.20006	0.00000	78.40102		8.26803
8.69037	17.20962	7.64498	5.15419	9.43798	14.66	15.45736	4.63052	66.29134	64.63387	7.49835	6.16201	1131.69380	9.01815	1.00000	120.56528	4.03587	9.43625
7.72529	6.08098	6.45528	7.64906	8.81235	-54.8	52.58830	2.13140	70.09603	61.07240	9.21312	8.71643	1110.97835	6.87059	0.00000	-68.3	7.34060	9.64770
6.41698	29.12381	7.93421	10.07413	6.24503	25.87972	43.93118	1.27969	72.87759	69.24910	8.32265	9.17949	1169.86392	11.61919	0.00000	-97.50417	8.99715	10.14878
8.62458	-1.60702	7.72823	7.35719	8.44505	48.90472	76.27730	3.87901	53.76704	81.61242	6.63070	9.73097	1133.37094	7.56477	1.00000	2.2469	9.42522	8.80928
9.29663	6.68125	5.08475	11.39389	8.31270	40.63316	42.52814	7.77326	36.17772	70.32400	7.31190	5.89366	1114.50714	11.81055	0.00000	-74.13653	9.62071	8.76681
8.99465	31.16432	7.15717	6.83757	8.31073	23.73333	48.25005	5.60312	53.33556	64.01760	9.59413	9.01095	1124.33315	5.93974	0.00000	114.68333	7.77177	9.11981
9.65057	20.94136	8.06937	10.74181	9.62426	48.78232	40.98276	10.00927	54.39900	58.86851	7.45872	8.95613	1051.53158	6.10200	1.00000	9.17702	10.59535	9.79712
8.47471	1.77948	5.68192	8.43306	8.97022	31.78336	44.55160	3.68786	29.52466	68.07113	7.66058	9.89634	1150.46723	7.68475	0.00000	35.23388	7.25862	9.43236
9.39330	28.71116	8.62947	5.48321	9.07165	50.8	33.47167	8.04520	67.89464	63.28356	6.10005	5.13941	1137.51720	7.85721	1.00000	3.16667	5.60066	9.21976
6.66256	13.13821	9.28515	4.10198	8.09076	52.47774	28.22267	1.31995	32.64837	81.50722	7.03301	9.13298	1131.28766	7.94180	1.00000	10.5511	7.14045	7.69879
8.16061	12.85677	6.21830	9.85595	7.95593	26.91756	48.74120	3.07495	60.29015	66.85001	7.48024	7.20603	1078.35430	10.14222	0.00000	-82.07842	9.42244	7.21393
7.41518	18.09198	8.01809	7.92471	8.06264	48.15659	57.58951	2.02817	50.22851	65.63933	9.37413	6.61911	1064.34492	7.53720	0.00000	28.28489	12.51851	8.51235
9.15842	21.78428	7.02030	11.35711	10.23880	-3.14306	66.34778	6.89107	45.42921	63.60259	7.36920	5.84279	1160.88279	10.14472	0.00000	-58.44417	9.44208	8.88614
8.06123	25.36402	6.71783	10.79698	8.92441	33.43443	58.18291	2.72518	60.50116	66.72191	7.32802	5.95382	1122.10130	9.98657	0.00000	-5.22126	9.75652	8.41819
7.59048	18.14867	7.38203	8.80255	8.79894	-21.205	45.33178	2.43748	49.65798	74.90490	5.69421	7.41551	1103.32234	9.50637	0.00000	-41.88778	9.56024	8.57647
7.72291	-15.28194	7.83208	3.35267	7.98015	38.40917	56.32656	2.00860	50.86955	74.79482	5.62569	5.37832	1054.74618	11.24271	1.00000	112.73333	7.07587	10.65281
7.53351	26.67530	8.17440	6.95481	7.99115	41.66394	40.95037	1.82347	52.28186	73.11188	6.88688	11.50172	1102.62937	9.11377	1.00000	-83.55521	10.01168	8.59979
7.70508	4.46109	6.32969	11.62701	7.22544	37.08819	40.72787	2.50899	68.49597	60.16909	3.67288	7.50524	1124.39728	11.89659	0.00000	-8.2503	6.09476	9.11250
8.05496	24.68221	5.35523	8.32309	7.79009	61.78491	62.59341	2.79617	50.78115	59.20071	5.38803	8.41483	1113.04480	6.24773	1.00000	34.34691	5.82479	7.81650
10.13911	11.48501	8.15716	6.65541	7.22493	-19.7625	39.45123	16.81109	42.64428	68.02879	5.13362	4.80375	1058.14737	5.97411	1.00000	-44.31389	8.03207	9.17404
7.14249	24.63940	5.25599	9.51729	8.52695	53.6052	54.13165	1.51173	48.11768	62.75846	6.51017	6.92067	1065.36832	10.26441	0.00000	10.03988	9.34501	8.38377
8.56124	14.36055		7.81308	6.91618	41.72063	39.36429	4.62481	49.12054	63.74770	8.29788	10.41737	1120.61902	7.37989	0.00000	12.6723	5.76536	7.47838
7.13247	18.58120	8.79819	6.01998	8.02040	-1.63333	36.39154	1.68541	45.64899	64.82800	7.40021	11.06434	1119.50895	9.63895	1.00000	13.58357	9.92729	8.55034
10.34499	23.24777	4.80232	6.58390	7.45447	32.35126	57.39876	19.54236	77.44594	60.48843	7.10107	8.74906	1127.79254	7.39060	1.00000	-95.30106	6.26592	9.26473
9.00632	13.98081	7.36779	9.99929	8.64428	37.65181	59.32473	6.15319	47.91655	54.43761	5.25307	7.48569	1079.77134	10.73723	0.00000	120.33063	8.61362	6.69699
8.80567	22.35345	9.30171	4.98470	7.29799	31.92923	46.73528	5.07010	34.36445	62.83516	9.71944	6.19664	1192.55092	10.61959	1.00000	34.86563	5.17697	7.97407
9.02764	18.76875	7.05913	7.51455	9.76378	58.23583	46.56476	6.23063	58.63425	69.49586	7.08481	7.53574	1099.51182	8.76761	0.00000	92.48278	11.13842	9.87159
8.41298	21.36490	6.95243	9.32250	8.62932	17.94979	49.46213	3.77484	66.15358	58.90482	5.01890	7.31900	1114.43649	9.48190	0.00000	-94.91386	8.52061	8.76050
7.72366	23.37212	11.72656	4.99354	9.18961	20.88098	70.57057	2.07900	58.36042	64.22416	6.85390	8.36428	1113.65684	5.60074	1.00000	75.11937	7.93428	9.41250
7.47147	18.34736	6.29113	6.93220	8.76456	-19.7625	65.01070	2.00858	71.62407	69.91392	9.56743	9.10676	1153.82886	5.21816	0.00000	-44.31389	6.23212	10.00937
9.00988	16.88329	6.83188	10.89412	8.36858	18.18158	72.97337	5.94778	62.05965	64.96900	4.73036	6.39655	1083.19602	10.41275	0.00000	76.03889	8.07483	7.68016
9.11158	28.18125	4.37447	8.16518	8.60264	34.77453	59.40840	6.08828	61.10825	57.05006	2.00739	7.63203	1148.39047	5.02737	1.00000	-96.67834	4.45009	7.40689
8.34797	2.22697	8.45543	4.26886	9.18224	38.06084	80.69187	3.72182	47.80271	66.91905	8.63226	6.46971	1157.93301	10.20998	1.00000	-97.92977	5.99796	7.89502
9.63738	-4.34699	9.17677	5.87109	8.26942	28.54944	44.18094	10.59540	56.71166	64.62057	9.06817	5.76875	1096.17156	7.99572	1.00000	-81.77285	7.85502	7.41568
8.00362	11.67398	11.00326	4.39089	10.09961	52.86147	49.32141	2.54340	42.13414	73.86089	9.35762	10.63255	1119.02517	8.42730	1.00000	9.5926	7.54343	8.99780
7.46421	10.27169	7.34595	7.77852	8.83445	41.14676	42.66809	2.12460	80.58254	69.18337	9.76218	9.42478	1060.24625	9.44648	0.00000	-73.49484	10.60506	11.10614
7.65904	0.84014	7.33796	8.30043	7.66545	14.46693	50.21933	2.08836	52.36086	73.50989	8.75189	7.70107	1063.46449	7.48936	1.00000	75.92694	8.77168	8.16181
9.00606	14.19409	9.82110	8.21322	8.14910	5.90702	53.99085	6.16551	46.46816	62.43520	7.31286	8.85641	1175.53561	6.39498	1.00000	116.10146	9.48273	10.03902
6.81307	11.11936	7.72503	3.35867	10.16605	51.38673	41.94267	1.17071	66.15441	72.85206	3.96089	5.36482	1102.44805	9.30327	1.00000	0.30367	5.26696	9.95304
7.66050	5.41852	5.95131	7.56796	7.96316	23.49668	30.45712	2.51209	37.87600	70.23968	6.50736	7.75410	1062.22981	6.92215	1.00000	86.68363	7.71820	9.01107
7.36617	17.08567	6.53067	4.76030	9.68883	32.57756	52.17662	2.19569	55.02855	66.12774	9.07097	7.74144	1084.27051	7.67890	1.00000	71.52847	6.92745	9.85730
9.51479	11.92186	5.09811	7.46155	6.83826	51.65333	77.30354	9.29165	63.01176	61.76171	8.15289	8.72332	1188.64807	5.76206	0.00000	5.2875	7.56962	7.38945
9.96233	11.93908	10.70295	6.82585	11.13206	36.19278	61.96037	14.31910	24.97136	60.43436	7.03743	7.79664	1119.92530	5.51596	1.00000	117.65694	9.13573	8.04480
8.50180	2.61448	7.66761	6.96661	7.67264	32.55531	26.66564	4.07949	52.65554	68.97063	9.16756	8.11172	1116.72938	5.79618	0.00000	76.12647	7.73029	7.20520
11.10425	2.38505	5.00373	8.74207	9.35144	-21.42917	29.45094	41.10961	42.36106	60.67788	5.36463	8.39686	1080.96920	4.90092	1.00000	-45.94722	8.59328	8.66796
8.16025	15.24472	8.36349	7.51769	7.56653	50.8	36.30817	2.80206	70.30637	73.35740	7.85143	10.25219	1176.57346	7.97370	1.00000	3.16667	9.55920	9.69986
7.83427	24.98797	7.75452	3.23844	6.56585	21.28306	44.55848	2.84720	50.90914	70.24228	5.34228	5.10749	1193.16016	9.66201	1.00000	-89.66123	4.62530	9.22089
7.86835	12.46814	8.83793	7.48158	6.81664	54.60528	46.85480	1.79871	74.20710	66.60003	10.82544	6.39934	1113.81484	7.89286	1.00000	18.34717	7.00842	8.46819
8.63216	32.74411	9.22743	6.97000	8.44400	31.71667	38.46791	4.33756	71.17233	66.89413	7.04767	10.06639	1183.33353	7.55798	1.00000	73.38333	9.91412	7.50250
6.84998	19.26176	6.47759	8.72886	7.51111	18.65297	60.41885	1.15029	38.04534	67.09198	8.02979	8.14740	1171.56616	7.77783	1.00000	-72.09391	8.31181	8.83772
6.55849	27.58202	9.44233	6.94777	10.10952	57.30185	30.90466	1.46837	61.07474	67.21313	6.04826	9.00091	1148.90573	6.10603	1.00000	39.85331	9.09962	9.56200
7.32384	26.28830	8.86236	7.47280	9.16563	-33.75881	34.82566	1.69559	47.57641	71.13534	10.06354	9.72881	1128.95747	7.36113	0.00000	150.99292	5.18186	7.63098
8.86898	25.31090	9.05033	9.66260	9.62140	53.53333	32.86575	5.39523	55.38764	59.38134	7.02170	6.02228	1117.95961	8.75574	0.00000	-7.35	11.04759	8.96665
8.46452	21.62729	7.25129	5.20430	8.62939	44.35056	60.63811	3.67419	51.26491	64.06234	5.72797	5.39891	1066.12576	7.60810	1.00000	142.45778	6.28300	7.99530
7.95758	6.32964	6.73605	7.63342	8.91243	32.54278	25.15986	2.78314	53.29338	74.18945	8.12973	7.56631	1189.19115	6.10402	1.00000	111.50861	7.24617	7.49820
8.64452	40.65768	5.65403	9.32968	8.10937	50.79205	49.39011	4.14996	53.44753	71.96527	5.58117	7.06421	1102.67354	10.97572	0.00000	-1.08593	9.54498	8.26808
7.93841	11.29887	5.92037	7.71094	8.07495	15.5439	63.39989	2.30858	45.81729	56.82095	8.35465	8.68942	1156.24549	6.61581	1.00000	73.7553	8.18351	6.30332
7.94561	21.57854	8.39963	6.79116	7.41711	11.85	47.81395	2.63208	62.68089	75.22695	7.49335	6.73045	1115.21581	8.66155	1.00000	38.01667	3.05841	6.58935
9.42814	21.47963	10.25531	7.26616	7.02514	25.87972	50.65598	8.13010	57.95073	52.94031	7.22519	7.76606	1161.11592	6.02246	1.00000	-97.50417	9.51786	6.69225
8.87575	20.34907	11.02140	6.31512	8.73757	23.18	56.40095	4.79029	68.62211	55.80869	8.74370	9.40455	1142.66936	6.86518	1.00000	88.58	8.73972	8.29210
8.87649	-2.09697	10.33998	4.23190	8.63650	18.00747	28.68248	5.72846	45.67620	75.42987	7.37114	10.03270	1176.37394	8.05753	1.00000	-76.78319	8.00308	7.97762
7.44909	23.35277	9.32119	6.42777	6.43210	46.75451	48.86243	1.85795	77.92844	74.08295	6.20816	10.15909	1199.23886	6.84123	1.00000	33.34864	9.54163	8.40276
7.77255		8.02182	9.16813	9.02339	45.35	42.76580	2.07695	52.89939	66.71172	6.79718	7.85383	1130.60967	9.22098	0.00000	126.28333	9.30176	8.02199
6.57572	10.13222	5.74449	7.69213	7.50896	0.49113	42.67271	1.73348	48.10767	70.51527	8.15039	9.75755	1153.95797	5.16438	0.00000	29.47306	6.39271	9.38772
7.59759	15.32587	11.75514	6.22368	10.04058	35.95664	33.48851	2.19192	23.82190	67.67735	7.32731	8.78143	1171.23672	5.09152	1.00000	36.7138	9.20209	7.37585
8.93822	16.62294	10.70561	6.09212	9.69046	28.98002	58.58556	5.68677	49.86657	67.47767	7.30527	10.03547	1089.05621	6.99139	1.00000	77.70636	8.95118	8.64524
6.46941	27.63530	7.49185	4.81525	8.71551	64.5635	42.26456	1.52355	51.42461	52.95600	7.75614	6.55314	1130.66125	7.49242	1.00000	39.8302	8.04429	6.51966
8.74966	16.15518	7.62389	5.61109	7.13951	50.72043	30.95551	5.21351	34.20631	64.95847	9.75891	11.31816	1095.53162	6.87129	0.00000	11.34046		9.01526
7.80901	9.96739	7.72755	3.18425	8.32484	34.63915	42.78413	2.04075	61.74223	56.51947	5.46542	5.34720	1079.79398	10.00520	1.00000	-120.45794		9.04442
9.82502	22.72828	8.69954	6.56917	10.04724	52.09	52.20331	12.26936	43.52352	73.38715	10.14182	9.88847	1162.67440	6.19794	0.00000	5.23333	4.90715	7.72521
9.57272	29.79770	5.16549	10.95873	8.42973	31.71667	85.02112	10.26349	42.16293	65.16752	5.22644	6.40053	1183.12277	10.73327	0.00000	73.38333	7.77228	7.21026
8.70886	15.62492	11.13022	5.21789	6.98470	34.21639	46.55006	4.73385	48.31648	55.21057	8.08305	10.04691	1116.46346	7.36227	1.00000	-119.0376	8.88477	10.00482
9.48821	17.30811	8.81845	7.95293	10.51569	12.35275	54.59511	9.51420	56.82142	52.56947	6.43493	5.75916	1053.94218	7.43468	1.00000	121.06761	6.56503	7.68973
8.62542	15.08495	7.10546	8.04300	9.14227	32.17629	53.23434	4.87783	35.51398	64.70987	8.18917	7.61752	1063.42043	9.04427	0.00000	75.06583	11.19254	10.49824
8.48193	17.58159	8.71433	8.20867	7.26031	33.3213	52.49243	4.16435	55.73395	83.30374	8.17008	9.46583	1060.91912	9.06660	0.00000	130.94098	9.49522	9.65149
7.85136	19.11933	6.19496	9.45757	7.88285	-4.24444	55.53685	2.50593	53.79955	74.16878	6.22559	6.61787	1107.14013	9.05349	0.00000	-42.29444	9.22320	6.78936
9.32916	0.08115	7.78533	9.26010	6.87038	55.82737	48.49528	7.67811	36.41574	52.60957	8.49333	7.01862	1166.72846	9.47673	0.00000	-4.0573	11.11921	8.83023
8.66190	24.05931	8.36454	9.02997	8.71894	51.88333	64.65159	4.38175	66.13261	58.31632	9.48302	6.81583	1140.91742	8.09883	0.00000	8.51667	11.50479	10.71548
6.79047	13.60000	6.34348	5.47123	7.30659	34.85	39.51024	1.28160	61.26405	55.16421	7.93790	7.71014	1074.57926	8.34350	1.00000	117.33333	5.07887	8.31104
10.26874	14.99524	6.42630	10.70012	10.37910	42.64031	47.28305	19.44222	54.82130	70.17091	5.45909	7.16668	1158.39450	10.87003	0.00000	125.51176	7.94376	7.99302
6.07532	18.53394	7.03540	7.49920	8.98189	-19.65	64.24410	1.62256	40.80651	65.27268	8.68915	10.43999	1097.40746	7.77184	0.00000	47.31667	6.66950	7.79111
8.54361	16.14397	7.69841	8.33369	8.74408	61.78491	41.91670	4.43158	50.34913	47.13411	9.10081	7.44715	1141.80749	7.76991	0.00000	34.34691	10.91967	9.37026
7.43585	21.52404	6.87309	6.19082	9.84249	37.1759	67.37636	1.97487	29.70384	71.20883	9.63769	11.98552	1168.16781	7.81244	1.00000	128.9889	5.63296	8.08998
8.49740	33.27463	10.28405	6.66800	6.35229	-19.7625	54.40222	3.52519	51.65449	61.42905	6.72625	9.54091	1173.11659	6.92219	1.00000	-44.31389	9.91536	9.73289
7.41747	13.56852	9.83044	9.77759	8.56210	42.62833	31.76842	1.95442	60.52259	72.34589	8.11517	8.27595	1064.03487	4.41618	1.00000	20.89389	9.58213	7.99764
7.62110	7.86244	9.08725	8.75837	8.63143	46.18396	21.75091	2.11895	66.49845	70.54920	6.79604	9.31634	1188.13088	9.98185	0.00000	6.10237	9.01859	7.47370
6.43245	20.29762	6.79779	7.43418	8.05088	46.65581	47.93763	1.47096	58.01907	71.98353	10.75370	9.22979	1055.73494	9.85940	0.00000	32.6178	9.79328	7.66740
9.58055	18.67171	6.11923	5.30777	7.83691	28.54944	71.50727	10.24471	60.69813	50.84629	9.36756	7.97957	1107.10658	6.91521	1.00000	-81.77285	8.59752	7.05785
7.59294	6.21897	5.15306	7.30592	8.12811	-2.13404	56.31733	1.96395	77.22574	61.54255	9.40429	10.39796	1158.27272	8.00492	0.00000	-79.59415	7.80709	6.27547
7.45818	26.88435	7.47497	4.53276	6.75091	43.96222	53.87627	1.74347	20.32659	74.43482	8.19560	6.43143	1077.72195	8.05627	1.00000	43.63417	8.78877	9.05531
7.14323	34.09131	5.58242	12.74305	9.82496	6.03333	58.52219	1.74713	55.37522	69.55923	4.72771	6.46331	1051.33871	12.69554	0.00000	37.55	6.71580	8.48554
7.76519	2.26451	9.42103	8.80578	7.43601	36.33011	40.45734	2.32164	33.92534	74.30227	7.97598	9.75006	1159.18539	6.36119	1.00000	138.89585	10.03928	7.26359
7.87039	26.11187	9.31380	6.75516	7.28549	58.04254	53.61877	2.37571	59.80561	78.73545	9.14344	10.48586	1081.07439	8.49553	1.00000	65.27258	9.22629	7.60940
8.49982	9.50678	8.77270	6.25383	6.05166	29.84576	61.43481	3.89660	69.05647	70.45180	7.61445	5.81131	1187.47774	8.83240	1.00000	-90.10674	7.25992	8.78579
7.88871	7.31525	8.20486	6.41956	7.38680	-27.76952	59.17835	2.50495	43.44684	75.96296	4.72753	5.32225	1064.46391	7.73692	1.00000	30.79165	5.28478	7.51466
5.65027	10.12164	7.41995	7.20908	9.35380	41.85059	62.11705	0.57701	58.81250	59.94631	12.58229	5.29161	1085.61643	8.10309	0.00000	-87.882	11.10026	9.45505
7.73389	2.53425	9.14528	7.06429	8.34820	46.65581	54.74130	2.57287	75.31941	62.81583	9.41207	7.93886	1121.44755	6.55693	0.00000	32.6178	11.85159	8.36408
8.30928	15.22816	7.37171	7.36368	7.97169	28.54944	54.10436	3.20700	65.70385	72.73756	8.68031	7.19082	1129.68974	7.15818	1.00000	-81.77285	8.07075	8.62102
7.49290	28.36623	8.42300	6.52347	8.83421	51.47805	59.06558	1.71466	31.96309	53.75495	6.08497	8.55801	1152.36522	8.07863	1.00000	6.8625	9.42066	8.41017
8.91189	-4.50258	5.91494	12.26822	7.96944	35.05266	58.21515	5.03004	30.87184	53.67148	5.74701	6.56226	1183.72061	11.77757	0.00000	-78.87836	7.28071	7.39325
9.10695	21.94011	5.54993	8.22467	7.95602	49.41029	62.77629	6.31746	63.36779	69.51398	5.36428	7.13501	1141.56448	9.34817	0.00000	38.15035	9.59962	9.44800
7.95148	26.21530	6.97329	7.00766	8.80414	42.93369	26.06454	2.91240	53.62089	65.58092	11.74095	10.01755	1171.61670	10.12677	0.00000	-72.27814	9.87042	7.95289
6.16520	9.35015	9.34753	6.74449	9.23807	3.8801	56.64567	0.88755	55.75420	74.17323	8.16829	9.61976	1130.71968	7.66737	1.00000	-77.03116	8.65186	9.43497
8.55183	-2.81212	6.74387	7.14153	7.78555	39.96097	34.65880	3.94080	55.64209	78.63580	8.88770	10.12432	1104.16886	6.62347	0.00000	-75.60804	6.82463	9.44387
8.74796	28.80938	7.35600	5.18740	9.14974	-8.99167	29.97833	5.09492	47.52945	61.15130	11.20063	12.88354	1117.93334	8.98994	0.00000	125.21972	7.79258	5.40504
6.18066	-3.19917	5.84342	7.31879	10.07340	32.17629	49.98239	1.76288	76.42697	72.44402	11.76398	6.67052	1073.82873	8.87954	0.00000	75.06583	11.21375	7.14262
8.70766	15.18790	9.65103	9.88328	9.03103	60.02427	35.78947	4.52588	41.62631	70.48550	8.07799	6.97945	1153.87803	8.74790	0.00000	30.28491	10.49790	8.33622
8.32979	17.67474	6.34110	9.29590	7.43756	36.61954	54.12810	2.89564	59.77659	65.81705	4.87381	7.97807	1180.08748	10.31898	0.00000	4.08282	7.99009	7.37817
9.29471	12.93453	5.79531	10.42847	8.72154	51.4781	45.64127	7.65630	50.70847	67.33361	6.03817	6.60448	1091.23155	7.24658	0.00000	57.3552	9.40860	9.48051
7.72673	15.05086	8.39430	8.37669	7.69798	54.60528	31.02194	2.17009	69.61347	86.18663	5.97850	5.99439	1091.88714	6.83933	1.00000	18.34717	6.13605	7.85284
9.06848	14.70306	9.88799	7.88617	8.97573	41.92361	70.66641	6.41325	56.59751	69.95396	8.03702	8.92608	1174.97849	6.88578	1.00000	20.91361	10.75582	9.84022
9.37008	30.81167	7.83785	7.80040	9.73962	39.71734	49.36852	8.00358	50.24519	61.98698	7.74368	9.67014	1167.61896	4.83124	0.00000	-74.96933	4.64638	7.85374
9.00133	15.51361	7.70734	5.84857	9.08399	36.61033	48.75599	6.06743	63.85037	57.67419	5.32548	6.00079	1055.02640	9.27833	1.00000	-88.31476	5.07231	7.61639
8.54722	27.52712	6.97906	9.28447	9.44011	32.55531	37.11866	4.13995	42.53351	76.55731	11.15191	8.14859	1063.55281	5.61908	1.00000	76.12647	9.90920	8.90994
8.29237	9.50147	5.46359	4.88715	9.50342	27.71809	76.56374	3.58292	45.67831	63.40010	3.20431	7.47877	1087.99243	9.26251	1.00000	-82.35176	4.47564	6.08861
8.44420	17.08759	9.50949	6.59008	8.76660	35.89972	44.42587	4.08425	35.68376	76.95730	8.38777	8.28345	1068.28592	6.78039	1.00000	14.51472	7.44680	8.32602
7.63665	11.86636	8.83578	6.36726	8.09140	42.7	57.76905	1.97272	51.87972	67.24142	6.53946	9.07798	1093.69620	6.85248	1.00000	27.25	8.30332	8.66110
8.76184	18.74920	6.61568	6.76081	7.59969	42.8334	52.51301	4.89832	64.93642	69.32128	7.33342	7.70387	1112.63596	8.00288	1.00000	-80.38297	7.23436	10.48304
8.61282	23.05174	7.85879	11.44494	9.55646	41.27621	38.84792	4.20410	59.71123	74.51930	5.97235	6.19763	1093.18773	9.96811	0.00000	-72.86843	8.42240	8.73803
7.46055	24.78874	7.94116	5.25840	7.33625	6.03333	26.93726	1.77568	52.43228	63.04470	9.95218	13.41657	1074.72801	5.66277	0.00000	37.55	2.17936	8.12484
7.54610	11.82597	6.78201	6.14544	8.34147	53.51684	49.81600	1.93701	42.76370	63.30954	11.03218	11.44020	1081.22521	8.14060	0.00000	-113.3187	7.35878	8.06643
7.66776	-4.26321	8.27978	6.24385	8.66009	51.62907	49.40727	2.12535	20.09514	78.46838	11.19701	8.35412	1096.86620	6.61425	0.00000	-0.74934	7.57699	7.76806
7.33908	10.72261	8.18885	3.31300	8.68391	45.73333	61.92352	1.02276	48.18894	57.93425	9.10650	6.41185	1156.13994	11.07087	1.00000	4.91667	7.25136	7.37031
8.23481	16.32761	8.72962	10.88331	8.86982	34.09668	44.34329	2.76832	53.37945	71.17127	5.10007	7.26386	1158.85034	10.32130	0.00000	-117.71978	7.98646	9.45189
9.96629	-1.25994	10.71605	4.17281	10.16450	41.63976	52.58603	14.00238	36.59251	67.18559	9.38437	10.25092	1154.08294	8.56808	1.00000	2.35739	7.28721	8.07574
8.42210	17.06108	7.61904	7.34180	8.37483	27.55898	23.94500	4.49294	81.63097	55.34047	7.36705	6.92065	1111.21828	8.54187	1.00000	68.21204	6.28385	7.46244
7.76879	13.12202	6.48848	6.56680	8.19756	9.89206	42.26906	2.28027	49.75014	80.19265	7.76917	7.31480	1139.65072	6.88352	1.00000	43.38531	10.43904	7.50992
7.57800	14.10168	9.03139	8.13333	8.51996	-34.88422	33.07035	1.92347	42.83316	59.29912	7.91751	9.00630	1070.96681	7.73446	1.00000	150.60036	10.32019	8.97344
8.82814	23.59242	7.39292	9.07075	8.00685	43.54072	46.84173	5.00226	26.54917	61.19228	8.73050	6.55415	1106.26477	8.49142	0.00000	-116.56346	11.21289	9.47075
7.80434	0.24081	6.95668	8.23686	8.43384	25.87972	40.80132	2.08689	25.99753	65.37836	10.26975	8.76364	1081.12184	8.05523	0.00000	-97.50417	7.89155	8.46954
