revision	location	latitude	longitude	station	QoS
20 Feb 2016	Asia/Riyadh	27.0174	49.62251	Al Jubayl	good
22 Jan 2015	Asia/Kolkata	26.44931	91.61356	Rangia	average
2018/01/14	America/Chicago	44.73941	-93.12577	Rosemount	accep
2021-07-15	Europe/Paris	43.83125	5.03586	Cavaillon	maintenance
2015/09/03	Europe/Bratislava	48.43174	17.8031	Hlohovec	maintenance
01 Apr 2016	Europe/Stockholm	59.33333	18.28333	Boo	accep
2018-10-23	Europe/London	55.82885	-4.21376	Rutherglen	average
22 Sep 2022	Africa/Dar_es_Salaam	-4.06667	37.73333	Same	accep
2017/09/13	America/Havana	22.98212	-80.58556	Corralillo	excellent
02 Mar 2022	Asia/Kolkata	18.51957	73.85535	Pune	good
10 Sep 2016	Africa/Libreville	-1.63333	13.58357	Franceville	good
2019/09/02	Asia/Jakarta	-7.01833	107.60389	Pameungpeuk	average
2019-02-06	Africa/Dar_es_Salaam	-4.06667	37.73333	Same	excellent
2021-07-25	America/Bogota	6.46838	-73.26022	Socorro	excellent
18 Jun 2017	Europe/Paris	45.51667	4.86667	Vienne	accep
2016/10/02	Europe/Rome	45.53069	9.40531	Gorgonzola	average
2018/08/16	America/Edmonton	53.51684	-113.3187	Sherwood Park	excellent
2017-08-31	America/Chicago	41.57721	-93.71133	West Des Moines	accep
2020-12-21	America/New_York	41.66394	-83.55521	Toledo	accep
2020-02-14	Europe/London	53.69786	-2.68758	Leyland	excellent
07/01/2019, 00:00:00	America/Recife	-8.66667	-35.71667	Catende	good
06/17/2022, 00:00:00	Europe/Kiev	47.56494	31.33078	Voznesensk	average
2016-01-27	Asia/Shanghai	27.34089	117.4831	Shaowu	maintenance
09/11/2021, 00:00:00	Europe/Amsterdam	52.09	5.23333	Zeist	accep
28 Aug 2018	America/New_York	40.72371	-73.95097	Greenpoint	excellent
2021-03-20	Africa/Niamey	13.70727	9.15013	Mirriah	maintenance
13 Jan 2015	Europe/Berlin	50.80904	8.77069	Marburg an der Lahn	average
14 Oct 2021	Africa/Dar_es_Salaam	-2.68333	33	Usagara	good
08/12/2017, 00:00:00	America/Los_Angeles	33.76446	-117.79394	North Tustin	good
01 Oct 2015	Europe/Berlin	53.6052	10.03988	Barmbek-Nord	good
25 Sep 2014	America/Los_Angeles	47.76232	-122.2054	Bothell	good
2013-03-21	America/Lima	-15.21194	-75.11028	Minas de Marcona	maintenance
24 Mar 2017	America/Indiana/Indianapolis	41.75338	-86.11084	Granger	maintenance
2017/01/30	Africa/Lagos	11.86064	9.0027	Gaya	maintenance
2013/09/28	Europe/Rome	37.31065	13.57661	Agrigento	excellent
05/06/2020, 00:00:00	Europe/London	55.82885	-4.21376	Rutherglen	excellent
2015-06-22	Asia/Tokyo	44.35056	142.45778	Nayoro	good
14 Feb 2021	Europe/Kiev	50.18545	27.06365	Shepetivka	good
02 Sep 2019	Africa/Ndjamena	12.18441	18.69303	Mongo	average
2020/12/20	Europe/Brussels	50.71229	4.52529	Rixensart	maintenance
2020-05-09	Europe/Paris	43.71032	-1.05366	Dax	average
05/16/2019, 00:00:00	Europe/London	51.65	-0.2	Barnet	accep
17 Sep 2013	Europe/Helsinki	65.84811	24.14662	Tornio	building
06/04/2014, 00:00:00	Asia/Tokyo	36.33011	138.89585	Annaka	maintenance
14 Sep 2017	Europe/Lisbon	37.08819	-8.2503	Albufeira	excellent
10/12/2013, 00:00:00	America/Chicago	32.35126	-95.30106	Tyler	average
2017-09-02	Europe/Rome	44.59445	11.04979	Castelfranco Emilia	maintenance
08/17/2020, 00:00:00	Europe/Berlin	50.82709	6.9747	Wesseling	accep
07 Jan 2013	America/Sao_Paulo	-19.32556	-41.25528	Resplendor	excellent
2019/04/03	Asia/Bangkok	13.8196	100.04427	Nakhon Pathom	average
2020/03/11	America/New_York	41.48199	-81.79819	Lakewood	accep
16 Jul 2019	Europe/Madrid	41.41204	2.18247	el Camp de l'Arpa del Clot	average
2018-10-15	Europe/London	53.19146	-2.52398	Winsford	accep
2017/12/05	Asia/Tokyo	36.24624	139.07204	Fujioka	average
07 Apr 2019	America/New_York	33.54428	-84.23381	Stockbridge	average
19 Nov 2018	America/Argentina/Ushuaia	-54.8	-68.3	Ushuaia	average
2015/04/28	America/Mexico_City	17.94979	-94.91386	Acayucan	maitennce
06 Nov 2013	Africa/Accra	5.30383	-1.98956	Tarkwa	good
2018-09-02	Africa/Lagos	7.6	4.18333	Olupona	excellent
2018-07-30	Asia/Tokyo	36.24624	139.07204	Fujioka	accep
2018-05-07	America/New_York	41.48199	-81.79819	Lakewood	maintenance
07/19/2020, 00:00:00	Europe/Rome	41.24264	16.50104	Bisceglie	average
2019/02/10	Asia/Kolkata	9.82564	78.25795	Tiruppuvanam	accep
26 Aug 2017	America/New_York	39.32011	-76.51552	Rosedale	average
12 Sep 2022	America/Chicago	26.18924	-98.15529	San Juan	good
10/16/2016, 00:00:00	Asia/Kolkata	9.57046	76.32756	Kalavoor	good
08/16/2019, 00:00:00	Africa/Lagos	12.74482	4.52514	Argungu	average
04 Oct 2015	Asia/Yekaterinburg	51.78771	56.36091	Saraktash	excellent
06/15/2021, 00:00:00	Europe/Kiev	49.65186	26.97253	Krasyliv	good
03/02/2017, 00:00:00	America/New_York	42.4251	-71.06616	Malden	average
2013-04-03	America/Los_Angeles	34.63915	-120.45794	Lompoc	accep
2021/03/25	Africa/Lagos	7.65649	4.92235	Efon-Alaaye	average
06/28/2020, 00:00:00	America/Recife	-8.66667	-35.71667	Catende	good
02/20/2020, 00:00:00	America/Los_Angeles	34.14251	-118.25508	Glendale	accep
2014-01-21	Asia/Tokyo	33.3213	130.94098	Hita	accep
2014-10-26	Asia/Tokyo	43.82634	144.09638	Motomachi	excellent
2022/05/13	Europe/Amsterdam	51.65333	5.2875	Vught	accep
2013-01-20	Africa/Bangui	4.94273	15.87735	Carnot	accep
04/22/2016, 00:00:00	Europe/Rome	45.44694	8.62118	Novara	average
2014-08-01	Africa/Luanda	-11.78333	19.91667	Luena	excellent
18 Nov 2019	Asia/Kolkata	23.18	88.58	Aistala	excellent
12/06/2014, 00:00:00	America/Chicago	38.58894	-89.99038	Fairview Heights	maintenance
2016/03/12	Europe/Istanbul	37.05944	37.3825	Gaziantep	building
2014/04/02	Europe/Dublin	53.43333	-7.95	Athlone	excellent
2017/11/23	Asia/Kuala_Lumpur	2.2139	102.3278	Kampung Ayer Molek	average
2017-10-24	America/New_York	29.65163	-82.32483	Gainesville	average
19 Oct 2019	America/Tegucigalpa	15.48131	-86.57415	Olanchito	accep
2020-03-18	Europe/Berlin	50.23805	8.86704	Nidderau	maitennce
02 Sep 2016	America/Los_Angeles	33.93113	-117.54866	Norco	acceptable
2013/06/27	Asia/Kolkata	22.19303	88.18466	Diamond Harbour	building
2018/09/21	Europe/Kiev	45.99194	29.41824	Artsyz	accep
15 Apr 2016	Europe/Moscow	55.62047	37.49338	Tyoply Stan	accep
05 Feb 2018	Europe/London	55.82885	-4.21376	Rutherglen	good
03/11/2015, 00:00:00	Africa/Addis_Ababa	11.85	38.01667	Debre Tabor	building
2014-06-17	Europe/Madrid	38.47917	-1.325	Jumilla	excellent
2017/09/18	America/New_York	40.94065	-73.99681	Dumont	accep
06/15/2015, 00:00:00	Europe/Prague	50.50301	13.63617	Most	maintenance
2013/12/12	America/New_York	42.35843	-71.05977	Boston	maintenance
2015-01-06	Europe/Berlin	51.21667	6.26667	Schwalmtal	average
2021/11/23	America/Los_Angeles	47.76232	-122.2054	Bothell	good
07 Mar 2022	America/Mexico_City	19.32932	-98.1664	Contla	accep
2012-12-10	Asia/Manila	10.13361	124.84472	Maasin	average
2019/04/16	Africa/Lagos	9.58126	8.2926	Kafanchan	excellent
2015-03-05	America/Chicago	31.84568	-102.36764	Odessa	good
12/14/2020, 00:00:00	Asia/Bishkek	40.93333	73	Jalal-Abad	accep
19 Jul 2016	Europe/Madrid	39.96348	-4.83076	Talavera de la Reina	accep
2013/02/09	Europe/Berlin	48.06919	11.37703	Gauting	building
2014/06/15	America/El_Salvador	13.73417	-89.71472	Sonzacate	acceptable
08 Jan 2013	Europe/Rome	45.9836	12.70038	Cordenons	building
12 Nov 2019	Asia/Kolkata	15.5439	73.7553	Calangute	accep
06 Sep 2016	Asia/Bangkok	13.8196	100.04427	Nakhon Pathom	excellent
2017-03-15	Asia/Tokyo	35.06667	135.21667	Sasayama	average
2020-06-14	America/New_York	37.52487	-77.55777	Bon Air	good
2022-07-29	Asia/Kolkata	24.81757	84.63445	Rafiganj	maintenance
2016-03-28	Europe/Paris	43.83125	5.03586	Cavaillon	good
30 Dec 2014	America/Caracas	8.35122	-62.64102	Ciudad Guayana	accep
2017-06-08	Indian/Antananarivo	-21.15	46.58333	Ikalamavony	average
2018-01-16	America/Denver	40.34912	-111.90466	Saratoga Springs	maintenance
08 Feb 2013	Europe/Istanbul	37.58105	29.26639	Serinhisar	average
06/04/2019, 00:00:00	Europe/Moscow	43.35071	46.10925	Gudermes	good
2018-03-14	Asia/Tokyo	36.33011	138.89585	Annaka	good
2019-05-08	Asia/Kolkata	12.25282	79.41727	Gingee	excellent
28 Aug 2022	America/Bogota	6.46838	-73.26022	Socorro	excellent
04/17/2015, 00:00:00	Asia/Vladivostok	45.47885	133.42825	Lesozavodsk	accep
11/02/2015, 00:00:00	Asia/Manila	16.455	120.5875	La Trinidad	average
2014/06/20	America/Los_Angeles	33.95015	-118.03917	South Whittier	excellent
16 Nov 2021	Europe/Berlin	50.82709	6.9747	Wesseling	accep
02/19/2015, 00:00:00	Asia/Kolkata	21.59983	71.21169	Amreli	excellent
2018-06-06	Europe/Warsaw	54.60528	18.34717	Reda	average
2018-12-02	Europe/Rome	42.22718	14.39024	Lanciano	building
07/06/2020, 00:00:00	Europe/Berlin	51.04962	12.1369	Zeitz	excellent
05 Nov 2012	America/New_York	41.55838	-81.56929	Collinwood	excellent
2015/07/07	America/Denver	39.72943	-104.83192	Aurora	accep
2013/07/23	Europe/Rome	45.39402	9.29109	San Giuliano Milanese	accep
2016-05-01	Europe/Rome	40.87329	14.43865	Somma Vesuviana	average
24 Oct 2013	America/Chicago	45.0408	-93.263	Columbia Heights	average
2018/08/23	Africa/Maputo	-23.85972	35.34722	Maxixe	average
2018/02/26	Asia/Novokuznetsk	55.8736	85.4265	Yashkino	good
2020-12-14	America/Argentina/Buenos_Aires	-37.32167	-59.13316	Tandil	accep
2020/03/17	Asia/Kuala_Lumpur	5.4709	100.24529	Batu Feringgi	maintenance
28 May 2013	Asia/Manila	10.7375	122.9666	Talisay	maintenance
28 Jan 2022	Asia/Shanghai	37.73222	115.70111	Hengshui	excellent
2021-05-07	America/Argentina/Buenos_Aires	-37.32167	-59.13316	Tandil	average
2016-05-17	Europe/Paris	43.61058	1.33467	Colomiers	average
2015/06/14	Europe/Paris	46.67535	5.55575	Lons-le-Saunier	good
26 Mar 2016	Europe/Rome	42.22718	14.39024	Lanciano	accep
11/26/2012, 00:00:00	Africa/Tunis	36.08497	9.37082	Siliana	average
04/08/2019, 00:00:00	Asia/Kolkata	11.00599	77.5609	Kangayam	excellent
12/31/2020, 00:00:00	Asia/Shanghai	27.85	112.9	Xiangtan	good
2021/07/11	Africa/Cairo	26.67319	31.4976	Juhaynah	accep
2019/08/25	America/New_York	41.55838	-81.56929	Collinwood	excellent
2020-08-17	Europe/Moscow	55.64776	38.02486	Malakhovka	good
09/14/2017, 00:00:00	America/New_York	33.98154	-81.23621	Lexington	good
03/24/2015, 00:00:00	Europe/Madrid	43.32686	-2.98884	Leioa	accep
09/19/2014, 00:00:00	America/Matamoros	25.87972	-97.50417	Heroica Matamoros	maintenance
2021-09-18	Europe/Madrid	41.63976	2.35739	Cardedeu	good
05/12/2015, 00:00:00	America/Recife	-8.28333	-35.03333	Cabo	good
2014/07/21	Asia/Shanghai	30.35028	112.19028	Jingzhou	average
2019/09/20	Europe/London	50.75767	-1.5443	Lymington	excellent
2022/08/08	Europe/Berlin	54.52156	9.5586	Schleswig	good
03/29/2020, 00:00:00	Africa/Lagos	6.45407	3.39467	Lagos	good
2014/12/24	Asia/Kolkata	30.21121	74.4818	Malaut	good
2020-09-14	America/Mexico_City	19.32932	-98.1664	Contla	building
2016-11-28	Europe/London	51.62907	-0.74934	High Wycombe	excellent
12 Jan 2014	Asia/Kolkata	12.25282	79.41727	Gingee	average
10/08/2021, 00:00:00	Africa/Casablanca	33.43443	-5.22126	Azrou	accep
22 Jan 2022	Africa/Luanda	-11.78333	19.91667	Luena	good
2019/11/20	America/Chicago	31.76212	-95.63079	Palestine	building
05 May 2020	America/Argentina/Buenos_Aires	-34.64966	-58.38341	Barracas	accep
17 Oct 2021	Europe/London	51.35084	-1.99421	Devizes	accep
18 Jul 2014	America/New_York	39.33427	-76.43941	Middle River	average
05/06/2020, 00:00:00	Asia/Manila	14.14989	121.3152	Calauan	average
2015/10/29	Europe/Dublin	53.53333	-7.35	An Muileann gCearr	maitennce
23 Oct 2019	America/Chicago	31.76212	-95.63079	Palestine	good
02/12/2018, 00:00:00	America/Havana	23.15678	-81.24441	Varadero	excellent
2021/08/21	America/New_York	26.91756	-82.07842	Punta Gorda Isles	excellent
19 Jun 2021	America/New_York	43.61062	-72.97261	Rutland	good
2013/10/03	America/Havana	23.04419	-82.00919	Jaruco	accep
23 Jun 2020	Europe/London	51.26	-2.1875	Westbury	good
2018-10-15	America/Maceio	-10.91722	-37.65	Lagarto	accep
2013-04-21	Asia/Karachi	25.80565	68.49143	Bhit Shah	good
05/19/2018, 00:00:00	Asia/Shanghai	35.64889	117.27583	Sishui	excellent
31 Oct 2021	Europe/Rome	40.53123	17.58522	Francavilla Fontana	average
2018-12-11	Africa/Douala	4.96667	10.7	Tonga	good
2022-02-19	Asia/Yakutsk	65.93381	111.4834	Aykhal	maintenance
2019/12/09	America/Los_Angeles	37.73604	-120.93549	Riverbank	building
06/27/2020, 00:00:00	Europe/Berlin	48.52961	12.16179	Landshut	good
05/27/2015, 00:00:00	America/Sao_Paulo	-23.7975	-48.59278	Buri	building
2017-08-22	Asia/Tokyo	34.81667	137.4	Toyokawa	accep
03/25/2019, 00:00:00	Africa/Addis_Ababa	11.85	38.01667	Debre Tabor	excellent
12/22/2015, 00:00:00	Asia/Kolkata	25.66795	85.83636	Dalsingh Sarai	excellent
30 Jan 2015	America/Chicago	32.35126	-95.30106	Tyler	good
2018-09-23	Africa/Conakry	9.535	-13.68778	Camayenne	building
2019-11-10	Asia/Jakarta	-6.91806	106.92667	Sukabumi	excellent
11/17/2020, 00:00:00	Africa/Kampala	3.27833	32.88667	Kitgum	maintenance
18 Nov 2018	Europe/London	51.39323	0.47713	Strood	good
01/22/2013, 00:00:00	Europe/Bratislava	48.43174	17.8031	Hlohovec	maintenance
2022-03-26	Asia/Kolkata	11.12018	76.11996	Manjeri	average
19 Dec 2012	America/New_York	41.0051	-73.78458	Scarsdale	accep
2014/09/25	America/Los_Angeles	33.93113	-117.54866	Norco	average
2017-08-29	America/Recife	-8.28333	-35.03333	Cabo	accep
10/05/2019, 00:00:00	Europe/Rome	36.92574	14.72443	Ragusa	good
2017/10/30	America/Argentina/Tucuman	-27.4338	-65.61427	Aguilares	average
2012/12/20	America/Sao_Paulo	-25.42778	-49.27306	Curitiba	accep
2020-06-19	Europe/Brussels	50.8	3.16667	Wevelgem	accep
11/01/2021, 00:00:00	Asia/Jakarta	-8.43333	114.33333	Muncar	average
2018/08/21	Asia/Tokyo	41.77583	140.73667	Hakodate	accep
2016-09-10	Europe/Helsinki	60.2052	24.6522	Espoo	maintenance
2018-11-28	Asia/Tokyo	41.77583	140.73667	Hakodate	accep
2017/08/21	Europe/Oslo	68.79833	16.54165	Harstad	accep
2015/05/05	Australia/Sydney	-33.88096	151.07986	Strathfield	good
2020-10-07	America/Argentina/Cordoba	-31.4488	-60.93173	Esperanza	good
2019-12-14	Europe/Berlin	52.2	8.63333	Kirchlengern	average
11/09/2012, 00:00:00	Europe/Moscow	53.59782	34.33825	Dyat’kovo	excellent
2021-07-16	Europe/Berlin	52.59319	13.32127	Wittenau	acceptable
03/09/2018, 00:00:00	America/El_Salvador	13.73417	-89.71472	Sonzacate	excellent
22 Jun 2015	Europe/Rome	40.92298	14.30935	Afragola	good
2021/03/19	America/Chicago	41.15376	-87.88754	Bourbonnais	accep
2013/04/24	Asia/Kolkata	18.18158	76.03889	Osmanabad	maintenance
