PRES	PM10	PAHs	PM2.5	O3	Pb	warning	NH3	CO	SO2	longitude	CH4	NOx	CFCs	H2CO	TEMP	C2H3NO5	latitude
1056.34408	9.75280	9.50567	6.82521	8.31471	66.22222	0.00000	5.36922	6.70118	7.61532	-72.47417	8.98178	6.27843	43.07433	76.09371	10.95622	25.49027	7.83389
1102.78927	7.87232	8.01215	8.99984	10.30752	52.39360	1.00000	7.39893	7.10528	7.03656	-0.2	9.61758	8.04429	35.27118	67.40706	28.11010	4.45198	51.65
1192.16881	6.46559	7.50290	7.82415	11.02998	57.09129	1.00000	10.02085	7.01342	8.19376	-42.29444	10.76155	6.18226	29.38205	34.18013	15.47501	1.21158	-4.24444
1192.91464	7.00365		8.81560	8.40431	44.52217	1.00000	5.83688	8.26428	7.17175	3.47717	7.24269	8.19532	45.39647	36.07375	5.29868	4.90275	36.76639
1128.74032	8.48235	9.16418	7.10092	6.64491	39.51449	0.00000	5.53162	5.54919	8.65964	-81.26367	8.77414	8.60475	55.29606	38.17468	30.26435	9.84675	28.90054
1052.92028	6.69834		6.98083	8.90064	81.52420	1.00000	6.33015	3.42511	7.38270	4.86667	11.92627	8.13847	64.79249	60.96850	28.18342	3.67039	45.51667
1157.81606	8.44535	5.88927	7.64171	7.90581	82.33450	1.00000	3.73070	11.50976	7.58167	28.19028	7.63802	8.01899	66.48672	59.53765	-2.54275	8.01373	59.37722
1101.34011	8.80424	7.07403	8.69931	4.55278	48.17710	0.00000	8.16757	11.45339	6.69282	152.70493	9.06063	7.79374	31.79195	66.06046	8.68934	10.90548	-25.54073
1166.54170	7.07549	5.97382	5.94695	7.95057	64.33935	1.00000	5.37461	9.28391	7.64258	111.50861	5.46511	9.35085	47.98388	37.49098	7.34688	2.86501	32.54278
1117.34950	6.77040	9.30437	7.68287	6.41902	53.85231	0.00000	5.16301	4.22877	9.54513	-96.67834	9.23498	9.57728	44.12919	53.08947	11.06629	3.62538	34.77453
1150.39765	7.07143	7.47144	6.84638	5.16276	72.97325	0.00000	7.43737	9.57631	8.54004	16.54165	7.00281	9.57152	52.84724	53.84680	4.84442	3.37083	68.79833
1145.54754	6.91281	9.74516	6.95613	3.45403	69.88328	0.00000	10.19659	6.75456	6.80524	32.6178	5.95034	6.19391	39.01476	71.04613	9.59278	2.65139	46.65581
1067.18753	6.03587	5.63712	5.92643	9.11928	70.64005	1.00000	5.87094	9.35753	7.33303	133.42825	6.13338	8.39247	27.20913	63.61993	21.04964	2.41108	45.47885
1090.87474	8.41067	8.96438	7.35181	8.61568	69.82873	1.00000	6.42706	7.79858	7.52925	20.91361	8.54803	6.05289	53.83292	70.04186	6.99051	8.22720	41.92361
1168.29130	5.85271	5.87645	6.97754	7.81307	52.32863	1.00000	6.85023	8.75956	7.19532	-82.07842	4.39759	8.45144	49.21549	60.51501	4.80586	1.54354	26.91756
1176.68416	8.01879	6.61262	5.65998	8.60298	50.14680	1.00000	7.96211	6.92809	7.53606	8.62118	9.66626	8.20429	50.56191	36.36174	34.31321	6.04539	45.44694
1089.05642	6.68903	6.60159	7.49713	7.95303	74.49499	1.00000	8.87104	6.56551	8.02785	2.12213	3.90052	7.95287	79.49872	54.89378	23.84139	3.05642	48.8222
1176.39137	6.84082	9.14510	7.09317	7.18803	64.52525	0.00000	5.39347	4.78479	8.15099	-77.03116	9.13346	7.34198	40.10188	49.72316	13.61582	3.06366	3.8801
1072.64089	6.24670	4.81516	7.03032	8.45010	54.87933	1.00000	5.37219	7.05081	6.63409	83.97573	4.90322	8.41905	67.11431	49.43465	4.84809	2.57419	21.46527
1088.10601	6.54235	8.94265	6.45437	9.23229	58.79080	1.00000	6.21861	8.62435	7.15184	-41.88778	8.94573	9.17044	41.32302	51.66237	16.23624	2.69330	-21.205
1169.21496	8.21887	8.25219	8.03740	5.85382	61.87061	0.00000	6.06420	5.44551	7.17171	114.10479	8.52237	8.30685	64.23624	47.18080	8.65660	7.44331	22.37066
1167.45796	7.61320	5.68374	7.10818	8.22838	31.19227	1.00000	4.95303	6.71220	8.67678	140.73667	6.89581	9.38152	40.85704	80.82954	-2.54197	5.31524	41.77583
1145.97220	5.75207	2.77602	7.78121	9.15472	50.74324	1.00000	6.42717	11.11249	7.14638	-1.08593	3.87005	9.02918	34.14802	64.43914	12.23000	1.32074	50.79205
1102.93380	6.52144	10.53702	7.96014	4.86344	39.98967	0.00000	8.01032	3.41732	6.61857	24.14662	8.38632	5.58104	47.20461	54.07269	12.18344	3.03781	65.84811
1137.56914	7.71374	3.50375	8.34892	7.31641	61.46984	1.00000	3.64011	3.80885	7.97578	37.99117	7.51364	9.52376	65.52312	64.29902	18.05840	4.27196	44.92934
1163.63924	5.48301	8.49430	5.65516	9.60035	57.88970	1.00000	6.57684	7.40287	6.15262	16.43915	6.50101	8.16223	56.85525	45.04943	10.38854	1.75511	43.50891
1188.25112	8.06487	5.98615	6.49485	7.25181	57.91080	1.00000	5.81747	7.82918	7.04685	-122.39168	5.28568	10.00573	45.12568	70.97779	17.97146	6.98124	40.58654
1175.99689	6.90345	5.02367	6.64595	8.44439	80.10146	1.00000	4.78614	9.89363	7.06739	27.02444	6.53544	10.11078	33.40143	25.08236	26.30377	4.16220	39.59611
1067.67553	6.08174	5.24174	7.71279	9.23196	54.77759	1.00000	9.27707	7.61710	7.61967	-4.21376	7.59439	7.24041	77.02417	38.50111	23.02692	3.14069	55.82885
1134.91899	6.93709	6.18724	7.78103	9.54705	43.26710	1.00000	7.97149	6.93176	6.62630	-103.5687	8.14964	6.65362	64.77827	38.40100	27.27043	3.70988	20.22816
1108.75229	7.83020	4.82381	8.15680	8.45950	54.57673	1.00000	5.58891	9.13880	7.24654	-42.29444	6.26084	8.94218	66.48394	65.14690	-5.68385	6.12862	-4.24444
1108.32689	8.51472	7.03772	8.43911	7.01032	66.22326	1.00000	3.76035	11.53041	7.23577	8.62118	7.08755	7.50619	42.40803	67.22725	21.11543	9.23274	45.44694
1174.62755	8.81572	4.90719	8.50979	5.90977	77.08771	1.00000	4.06096	4.75104	6.03251	117.4831	9.20436	10.08980	62.82361	40.31878	20.76449	10.85216	27.34089
1154.39403	7.30607	4.06039	5.76929	10.87007	38.40057	1.00000	4.98507	8.67850	7.20205	-0.2	6.03288	10.50086	51.96387	63.73646	19.03224	4.26210	51.65
1077.64272	7.36510	8.69280	7.40324	5.70307	47.19367	0.00000	9.26384	10.06630	7.74819	27.02444	9.98468	7.31587	56.89408	74.42487	17.38960	3.01304	39.59611
1075.41548	6.29552	6.21802	7.34532	9.43266	37.60252	1.00000	8.52614	8.36684	7.01742	122.74754	7.32368	7.02330	32.59968	69.41142	34.69321	2.52005	40.85158
1073.22661	6.72416	6.55796	8.17088	8.61822	49.33324	1.00000	4.87303	5.44692	7.42008	-102.36764	8.92571	8.75636	67.70937	36.55253	28.42048	3.55273	31.84568
1108.74443	7.73213	10.24644	8.36908	7.65662	58.37561	0.00000	11.25745	8.08522	8.63317	35.34722	10.06614	7.21635	47.85467	53.04304	9.85669	4.68106	-23.85972
1114.96042	5.57892	6.29910	6.98455	7.55133	63.63354	1.00000	6.57820	6.29425	6.22393	-58.38341	9.71055	9.17849	50.30916	52.09280	22.98015	3.19222	-34.64966
1147.32711	7.19134	9.84976	7.77815	6.29568	62.25136	0.00000	8.29338	8.83931	6.53923	44.7662	9.15573	8.17390	65.95798	27.78322	22.66133	3.48112	40.49748
1067.28560	6.88245	7.92276	7.14622	5.75985	38.77718	0.00000	8.90933	7.55188	7.50693	-84.23381	6.99489	10.50399	42.47147	88.38338	18.24542	3.29202	33.54428
1099.23928	5.82776	6.95058	7.05157	9.54808	66.12341	1.00000	6.57486	6.37572	8.10501	-104.83192	8.85314	6.78935	47.09190	63.49718	31.83799	1.95947	39.72943
1063.74677	4.96557	7.21464	6.57310	8.19243	52.53711	1.00000	7.53487	8.75323	7.51295	65.93249	7.96015	8.27243	56.45035	46.24742	12.83673	3.36667	36.21544
1087.11802	7.68269	7.39305	7.74835	4.20260	43.07324	0.00000	7.24330	6.02723	7.13419	70.96699	10.54862	6.76403	64.09381	55.11157	23.64346	5.58731	30.46907
1175.29475	6.96422	11.45303	6.30721	6.97288	63.15729	0.00000	11.53800	11.28156	6.81177	-1.05366	10.59107	7.12854	70.86881	42.87349	23.30107	4.39327	43.71032
1064.78616	7.81257	3.90187	4.68743	8.63290	54.42423	1.00000	6.10482	4.46342	7.50567	5.74861	7.75889	9.36373	55.86568	61.43030	8.23657	5.44227	52.71083
1116.18598	7.59490	8.24105	7.51703	5.73639	65.73713	0.00000	8.20931	7.08749	7.21408	5.4384	7.42177	10.15788	67.41012	67.11065	24.53933	5.49680	43.2907
1115.29119	8.50449	2.61230	6.67450	5.71117	68.14658	1.00000	5.36307	4.99671	7.43228	46.58333	7.22389	10.14574	59.88492	52.80900	8.20211	8.38361	-21.15
1079.22204	7.10676	5.52878	7.68694	7.92366	45.58884	1.00000	7.67190	7.07190	8.35882	106.85417	6.03308	7.34081	21.82046	30.20345	10.26223	2.59560	-6.48167
1172.35792	7.44996	9.06848	7.57699	6.21301	56.52253	0.00000	9.63048	10.03944	7.79777	-2.01111	7.75199	9.36567	66.56605	39.13986	5.04320	4.38656	52.66277
1145.54853	6.04522	5.15716	7.20659	9.65143	35.59334	1.00000	6.14710	6.41903	8.45730	-103.5687	6.02564	8.15894	57.00941	59.42727	18.96904	2.47036	20.22816
1132.89252	5.96654	5.58234	6.99120	4.75180	75.64666	0.00000	6.56539	7.04879	6.48920	73.7553	7.48831	9.08857	51.89425	44.20953	36.47584	2.82235	15.5439
1103.71144	7.00215	8.32566	8.17031	5.65843	85.58516	0.00000	6.63621	6.81448	8.48109	27.02444	7.69389	8.10390	40.26758	68.63373	7.89229	3.94911	39.59611
1166.84045	5.08883	7.15882	8.15232	9.82691	41.11737	1.00000	5.10461	8.69448	7.21774	9.72749	5.56453	10.46101	33.99164	51.29551	-7.32376	2.05310	48.28259
1167.88197	6.16241	11.24743	9.10343	6.39560	53.98090	0.00000	6.86194		6.97679	8.86704	6.04802	11.16037	51.51098	16.10984	6.47475	2.53140	50.23805
1084.05242	6.77800	4.78661	7.96589	9.56326	55.03299	1.00000	6.39739	8.14985	8.49789	37.38115	6.29579	9.07141	37.63382	56.99519	22.89224	1.56188	55.63711
1134.80463	6.13667	3.50492	6.48012	8.44896	51.69055	1.00000	7.28508	9.25014	6.26212	13.29371	3.80741	7.97007	58.29541	50.33337	25.09701	2.73805	52.53048
1158.32280	5.95418	4.99659	5.90526	7.51269	61.84647	1.00000	4.57754	11.24779	5.60982	68.21204	4.73042	9.66748	26.97669	39.91167	10.78445	3.02853	27.55898
1100.22835	9.53143	6.92113	7.67525	9.76414	51.73937	1.00000	6.92839	5.99851	6.52045	-117.71978	9.46977	7.99264	31.20447	67.94225	10.07384	21.02766	34.09668
1124.53853	7.65285	8.81718	9.04987	5.51956	67.05347	1.00000	9.04936	8.93872	6.49237	65.27258	6.20516	12.04419	58.73474	50.58181	24.87818	5.74216	58.04254
1174.06905	6.33639	8.71709	5.92741	8.23346	68.77504	0.00000	4.19643	6.20668	6.56309	37.73333	9.96694	8.13713	44.45511	53.76687	9.41225	3.37377	-4.06667
1086.25817	5.77825	8.09565	8.11355	10.44583	67.86589	1.00000	6.94262	4.77769	7.68619	-2.01111	12.87750	7.76760	41.09501	45.86235	19.83704	2.16785	52.66277
1061.87462	6.55151	8.92053	7.94140	4.84213	56.43910	0.00000	7.84188	7.86201	7.84241	-75.23266	9.44846	7.57023	56.19559	47.12514	12.12790	1.53603	43.1009
1071.58204	9.13858	8.03409	7.35587	5.81922	46.57860	0.00000	7.21216	7.63203	7.04985	120.5875	7.11744	10.01738	37.44625	55.42826	14.86719	14.00038	16.455
1188.70665	6.69271	4.74254	7.82113	8.99923	71.04941	1.00000	5.07568	4.06317	8.83159	79.41727	8.14625	7.97811	73.36214	33.39394	9.87663	3.39778	12.25282
1101.92163	7.49142	6.79755	4.56529	7.56959	69.56292	1.00000	6.04102	8.13380	7.37271	-49.27306	6.61025	7.16073	38.90044	46.36482	17.23117	4.83463	-25.42778
1175.52047	7.91625	6.99298	6.37375	7.80472	68.98835	0.00000	4.25491	6.98264	7.17092	111.50861	6.26705	8.33171	13.06604	33.83433	19.46353	4.16553	32.54278
1165.13915	5.38825	6.09422	6.46729	4.43683	53.51803	0.00000	8.37685	9.80746	7.54223	-86.58208	8.17225	9.16236	55.20289	58.85926	23.46206	2.44971	13.48082
1084.05374	6.30551	8.23920	8.21017	8.65205	53.57661	1.00000	5.31669	6.66652	8.52760	-82.00919	10.31041	8.40051	44.65151	56.75738	6.22659	2.97457	23.04419
1108.84047	6.42538	4.97918	7.34069	7.70254	76.40427	1.00000	4.92068	9.08139	7.68418	-72.47417	6.94019	8.70736	69.78499	38.84733	29.01544	3.82763	7.83389
1088.13215	7.87940	7.60563	7.82164	7.89892	56.37732	1.00000	7.46177	7.81687	6.26378	4.52529	5.39786	7.05911	21.72638	59.72585	13.47314	5.45855	50.71229
1147.27725	7.40008	7.04403	7.52925	6.07410	49.80765	0.00000	10.97469	9.17644	7.35676	-84.23381		7.83326	30.02825	56.92271	19.26748	4.89578	33.54428
1151.89965	8.86998	6.11279	6.13773	4.37741	63.93215	0.00000	6.35870	10.37366	8.32051	-38.79084	8.35052	7.80534	52.86410	53.88621	7.42893	12.32200	-10.95817
1149.71480	6.19702	6.02728	8.06497	7.73892	34.96020	1.00000	4.78712	11.17237	7.57619	-102.04897	4.41220	9.35008	72.25404	62.52329	5.82201	1.89274	19.64745
1159.76611	8.71358	6.86181	8.00552	4.70915	58.98329	0.00000	5.89350	8.40652	7.03076	5.55575	6.33501	10.33987	59.36278	42.14582	22.01742	11.69673	46.67535
1164.69190	5.24685	7.41699	5.77477	6.89879	38.03850	0.00000	4.34091	5.97735	6.53445	-60.93173	9.20114	8.52252	68.33332	60.32691	22.32863	1.61971	-31.4488
1122.54901	6.94896	8.45978	7.88367	5.84189	78.04770	0.00000	10.31191	11.67560	6.85356	10.5511	8.91253	8.48446	40.51514	75.80252	-7.74818	3.69739	52.47774
1062.80540	6.94884	5.81815	5.97065	8.26254	64.29273	1.00000	4.80482	6.68481	4.89594	-73.25383	7.04863	8.87726	39.85504	52.29708	18.32628	2.50355	-3.74912
1051.20920	7.34627	4.20571	6.66633	8.05147	47.02895	1.00000	5.87537	9.68061	7.13173	46.83187	4.70606	9.01808	54.28586	23.05719	-7.50450	2.92623	14.53767
1183.32647	7.58495	9.27858	8.36837	9.04073	58.47780	1.00000	6.14974	6.85752	7.62716	44.7662	5.78266	9.59166	34.36224	33.83981	14.54027	3.15484	40.49748
1153.50979	6.75110	6.42640	5.37111	6.00777	67.02209	0.00000	6.72019	4.52913	7.20075	138.89585	7.93247	8.63944	48.66474	79.42597	27.55059	2.45141	36.33011
1164.51412	7.29620	8.76841	8.25006	5.83823	47.09649	0.00000	8.06659	8.69533	7.85516	14.34085	8.29926	8.57969	32.66360	44.94594	33.28751	3.55395	40.87363
1156.00628	7.53428	8.81033	7.42406	6.22345	49.83835	0.00000	8.10614	7.89261	6.31912	-117.79394	9.11530	7.83988	62.51851	58.45459	-4.12305	4.51806	33.76446
1063.37240	9.63138	10.35085	6.58188	6.37349	41.47631	0.00000	5.70262	5.36739	8.08796	100.48528	10.55956	9.57404	74.14209	39.52111	7.24697	22.60960	14.37395
1078.77061	7.59903	6.72157	8.24540	10.09521	65.39258	1.00000	8.51178	6.07301	8.50229	-52.2	5.15921	8.51496	42.46126	63.68362	2.51039	4.57736	-28.44917
1181.47743	8.32782	10.16954	8.60706	6.38266	41.47143	0.00000	7.05124	5.12673	6.45191	126.28333	8.57670	6.36722	49.66607	44.34329	14.26036	7.74662	45.35
1196.90374	8.11906	9.97468	8.46837	6.13546	37.03929	0.00000	6.83388	9.28319	7.41759	4.92235	8.04566	9.04247	40.67645	62.52703	20.10344	6.38812	7.65649
1195.08034	6.46476	5.05074	7.46455	6.56780	32.30611	1.00000	5.27260	8.80944	5.07594	7.00417	4.93011	9.63586	57.73334	54.87678	22.84187	4.02199	52.26083
1120.41033	7.30631	8.87049	7.48520	9.16401	68.84282	1.00000	9.18508	5.13184	9.23402	8.52462	5.46409	6.39167	48.32646	46.44904	4.30802	4.09675	47.30997
1080.35987	8.33390	4.04358	7.51714	12.60150	48.74611	1.00000	5.95134	6.81105	6.75157	34.33825	7.03653	11.41876	44.73852	70.59375	18.50302	7.04155	53.59782
1054.67187	4.62044	4.46216	7.62957	8.80132	61.97405	1.00000	3.13277	5.19725	7.65422	-81.26367	4.86984	8.03284	52.49805	55.59245	5.21032	1.30141	28.90054
1139.68573	6.63289	8.17147	10.31282	5.90520	64.30286	0.00000	9.09623	10.14679	7.40126	85.83334	8.98872	7.77693	35.96269	54.37006	13.56223	2.25038	20.88197
1186.37800	7.81529	4.28325	6.43011	6.32899	58.28643	0.00000	2.29145	6.37445	8.41431	122.8637	11.83242	11.35122	27.73119	45.45975	15.18886	4.41850	9.3337
1144.10658	6.87262	6.92187	9.63209	6.31150	73.15255	1.00000	6.66134	9.68575	7.48327	73.38333	6.01103	5.03190	50.22067	46.32998	8.82911	4.05560	31.71667
1132.13393	7.58549	5.33201	6.44081	8.23651	52.42171	1.00000	6.27972	6.88251	7.70904	21.32778	7.19479	8.94994	36.54052	34.52821	24.57270	4.72122	42
1164.33554	7.23566	3.69479	8.14473	6.86399	47.18377	1.00000	6.29015	5.77625	7.47379	37.73333	7.63223	10.02748	40.23511	34.76249	14.75323	2.91220	-4.06667
1078.24611	7.90308	8.91094	6.16294	9.16915	75.46247	1.00000	6.03881	8.32183	7.76664	-89.99038	9.18495	9.65397	46.09630	58.21174	3.30348	5.70115	38.58894
1054.27224	5.93899	4.63164	6.75808	8.25108	51.28867	1.00000	6.80946	6.85421	7.58547	-82.35176	6.41855	9.00040	53.60733	49.84700	13.19835	2.69496	27.71809
1133.00393	9.29080	3.97048	5.39628	6.70994	56.37537	1.00000	5.56764	7.32281	8.32107	139.07204	5.47456	9.05525	58.31385	43.53165	22.22919	16.65134	36.24624
1155.43780	7.01924	7.78263	7.75812	7.35748	71.05277	0.00000	4.92346	6.98835	8.33690	-52.67056	6.88077	9.18290	29.30283	46.66437	6.17147	2.73167	-26.22861
1148.13326	7.47514	2.84791	7.69140	9.82905	55.97643	1.00000	5.58023	7.60587	7.12529	25.34244	5.03949	12.38220	33.66029	70.48393	4.94197		50.75932
1166.33754	7.38756	6.78734	7.06668	4.81192	61.97591	0.00000	5.93397	7.31308	6.58629	16.50104	7.07983	10.12567	48.81033	23.38892	20.82946	5.51824	41.24264
1130.78622	6.82835	9.64981	7.58451	5.99292	66.29199	0.00000	4.74491	4.19894	7.40504	4.62744	7.04801	13.65268	57.73892	60.95981	25.21624	2.45522	36.06386
1184.57953	7.56668	9.45819	8.85177	2.93075	61.74418	0.00000	9.64115	6.49505	7.44980	34.75699	8.15633	6.87265	37.92838	65.43955	15.17990	4.85779	31.39547
1066.02817	8.14899	9.47497	4.54608	5.94204	36.91194	0.00000	9.04600	11.17035	6.26728	121.12251	8.57428	8.54661	35.39904	28.82627	25.90261	7.01131	14.62578
1062.91408	6.48469	3.50819	6.43412	6.41298	59.91399	1.00000	1.72585	3.21625	6.44316	139.6853	6.72848	9.86820	45.75870	37.01882	13.99691	1.24540	35.815
1198.33838	7.14127	8.74917	6.88648	7.11536	55.65987	0.00000	3.92233	5.16944	5.43267	-3.53261	9.12928	11.16747	63.43498	19.73293	11.27181	3.57553	40.42386
1087.12122	7.60681	5.17817	7.28306	8.37398	68.03350	1.00000	6.00775	9.86914	7.73586	31.4976	7.46128	6.19793	60.13002	35.61106	-8.26343		26.67319
1195.90024	8.01026	5.98364	7.94681	9.35342	57.61945	1.00000	6.67883	5.85465	6.64251	85.83636	8.58052	7.87120	64.41735	40.54419	8.58485	5.90116	25.66795
