Pb	PM10	O3	PRES	NH3	TEMP	CO	PAHs	CH4	CFCs	H2CO	warning	PM2.5	longitude	C2H3NO5	SO2	latitude	NOx
41.46137	8.84156	7.03328	1159.84810	10.63443	28.03867	5.15273	9.27495	9.36714	73.21867	60.32762	0.00000	4.24982	32.88667	0.44478	7.42481	3.27833	6.62952
78.67547	7.07017	9.10555	1100.88807	5.85671	15.29468	3.86595	6.95381	7.85963	70.00130	61.92394	1.00000	7.59997	-58.70072	0.14459	8.40437	-34.74785	2.16148
47.28752	6.04448	6.67885	1108.38915	7.72446	20.65991	4.92588	7.44279	5.69111	76.96758	59.57185	1.00000	8.16555	73.06784	0.08379	5.94967	25.13915	4.63185
52.11975	7.94219	9.84673	1130.48491	5.04028	13.55362	5.06304	6.34604	7.47581	63.94056	69.32396	1.00000	6.15605	-6.00137	0.25110	7.62738	33.42585	4.64119
35.08743	9.01450	6.42430	1120.38350	7.52859	21.72972	7.15249	7.14420	7.58961	57.99469	43.83686	0.00000	7.18273	120.4861	0.57890	6.38478	16.0438	4.45904
34.66330	9.61976	7.43041	1113.01287	5.32415	3.23782	9.62270	7.01459	9.37159	74.06681	51.88242	1.00000	7.86694	139.55028	0.94008	7.28298	35.30889	6.86476
53.06162	6.06457	7.03286	1131.07944	8.47295	20.26413	4.66927	7.07931	7.10282	56.05724	66.11922	1.00000	8.22982	115.88782	0.02481	7.37890	-32.05251	3.77784
67.75991	6.76479	8.19968	1052.63195	5.87816	28.19224	6.72943	6.15955	6.18030	61.63524	49.61275	1.00000	5.93381	32.88667	0.14966	6.50741	3.27833	5.65902
34.13715	7.43590	8.44604	1102.06470	6.84269	5.56036	8.51886	6.45575	6.66506	69.99323	71.63871	0.00000	5.02824	-117.29198	0.14521	7.13059	33.03699	4.89520
60.67093	5.82472	6.91812	1150.23322	7.63944	12.07400	6.50887	6.43529	5.34050	74.76190	46.20493	1.00000	8.27191	135.31667	0.09676	8.06397	34.25	6.52360
39.57652	4.44106	7.79915	1191.97093	8.03953	14.02758	6.63258	8.26813	5.33563	67.86731	49.52530	1.00000	8.27047	84.63445	0.03743	7.77833	24.81757	7.14493
51.73059	3.83450	6.94257	1164.99375	8.92356	34.39158	5.61060	5.32553	7.32652	63.67068	49.32894	1.00000	8.22106	127.08472	0.09785	8.04583	36.20389	5.28767
49.11438	7.11315	7.38449	1066.19450	7.88757	3.31113	5.02740	6.49799	2.99457	76.82400	66.98831	1.00000	7.06662	14.66737	0.20424	5.59678	41.55947	5.38791
51.32345	7.20023	7.64897	1078.26425		22.80857	8.48576	5.86586	8.31315	65.49289	46.51752	0.00000	7.75792	1.33467	0.15024	7.90622	43.61058	5.53532
42.43933	9.71045	6.52638	1165.21662	9.70404	16.52823	9.39326	6.38481	9.81695	65.49182	69.24478	0.00000	9.70379	2.29026	1.04486	7.96399	48.77644	3.59872
51.85356	10.48170	4.56463	1121.89467	4.70637	13.08835	6.84150	9.26729	9.55362	56.24678	14.85894	1.00000	6.61340	74.4818	2.05508	5.54072	30.21121	5.90306
66.64269	8.48317	8.87859	1163.23917	8.16524	1.21416	9.88344	8.01058	8.97845	77.05644	71.11579	0.00000	7.68321	46.58333	0.38696	5.46163	-21.15	6.26488
69.16591	6.03024	7.98294	1138.63814	10.51189	24.30666	8.40418	5.33146	9.58750	67.52001	42.69970	0.00000	8.59850	41.00817	0.07650	7.00271	38.13708	6.74531
64.09910	5.16348	7.52064	1186.78649	7.33186	20.11290	6.13524	7.05108	6.05100	69.94690	45.77673	1.00000	8.08589	-86.99666	0.13959	5.91287	33.45122	6.07665
67.37273	8.72018	8.41177	1118.45276	8.58576	18.29987	7.49584	7.88225	8.72598	52.98002	63.23355	0.00000	7.79984	-85.43772	0.36840	6.23762	10.63504	4.02417
32.06162	8.78613	7.80114	1174.39174	4.04965	9.05010	7.31970	5.79317	10.69201	73.69987	73.69219	1.00000	6.26584	-111.99633	0.46034	7.83171	40.65995	7.34117
64.06413	9.26642	7.81079	1197.36100	5.55835	5.09231	6.83468	6.81716	8.71675	70.45819	49.88820	1.00000	6.55329	2.18247	0.59211	5.99478	41.41204	5.53675
68.26841	7.33427	7.07310	1066.57523	8.05268	7.47695	8.16328	7.19359	7.16735	75.19762	47.13839	0.00000	6.82414	77.5609	0.13018	7.58926	11.00599	3.81728
56.52716	4.06886	6.44998	1120.51818	7.86438	15.32136	7.70249	6.98493	7.38367	63.91173	59.87479	1.00000	7.94186	78.23456	0.06431	7.65939	28.92694	7.53528
28.18122	8.07225	6.15403	1070.20984	5.33266	8.53149	2.61606	6.65727	6.40735	57.12613	46.89032	1.00000	4.96337	-89.66123	0.25504	7.22573	21.28306	3.69020
44.30472	9.49775	6.70451	1176.34255	7.35514	1.46769	7.51514	7.66871	8.53754	72.61772	41.23525	0.00000	3.42931	-116.37697	0.83047	5.91221	33.72255	5.59472
72.86766	7.30149	6.11458	1054.33151	7.79921	15.35216	8.12062	5.82956	8.48027	44.83966	42.94156	0.00000	7.04614	-90.10674	0.17356	8.43937	29.84576	4.60693
39.64334	8.47978	5.83871	1147.35323	6.42553	21.53339	5.04970	7.01996	6.60830	75.40887	50.83735	1.00000	5.35808	107.60389	0.37530	5.21010	-7.01833	5.38064
35.83026	8.61483	5.49030	1058.91507	7.65025	3.76909	7.48938	5.55910	7.06073	63.73093	44.80959	0.00000	7.53714	-38.94722	0.41454	7.07069	-15.675	6.31280
48.57405	8.91130	5.97411	1085.59881	11.00686	8.33906	6.45971	6.39850	10.20568	52.09163	49.30236	0.00000	5.17730	117.27583	0.50854	7.75849	35.64889	6.06466
85.55088	7.94286	7.74075	1096.62568	4.04783	-3.83369	5.30698	6.42520	8.89590	73.04728	50.24232	1.00000	6.24237	30.4347	0.26300	6.25800	-1.9487	5.36612
52.77160	10.57807	8.07587	1179.11923	8.85060	25.55603	6.29987	8.24679	9.79152	69.37753	65.62398	0.00000	4.57556	-74.26419	2.25118	6.79844	4.73245	6.38507
57.17228	7.03301	7.65315	1157.88077	6.74987	27.76750	7.64200	8.01790	7.24968	58.10698	35.95069	1.00000	5.96187	-88.81395	0.13797	8.99597	35.61452	6.70274
26.29931	7.12155	6.10333	1141.25116	8.60613	31.68288	7.41328	6.57863	8.47370	60.51429	50.02962	0.00000	8.90414	30.38167	0.15030	8.37387	59.80917	6.45493
49.20460	5.11485	7.21471	1098.08130	8.54432	-2.42969	6.24599	7.54679	3.58795	79.12618	34.87762	1.00000	9.38770	8.2926	0.08251	8.14498	9.58126	7.80259
41.01247	9.61479	7.53116	1150.64630	7.39247	3.31488	9.02361	8.42267	6.95034	75.84118	71.52643	0.00000	8.51687	15.00835	0.93921	8.09166	51.14942	6.66560
32.56844	8.57015	5.71422	1111.96729	12.17002	2.44566	7.40555	7.32367	9.66317	58.53433	47.33007	0.00000	9.21532	82.85749	0.42307	5.67946	17.54907	5.43565
59.14160	7.92960	7.69411	1122.55129	7.70200	35.67878	7.32573	6.32618	7.16390	68.83312	58.10846		4.83298	77.70636	0.23093	6.27189	28.98002	3.16465
61.33662	6.32307	8.68588	1058.20061	9.94641	26.15670	7.27054	7.04932	9.51800	67.39479	48.88811	0.00000	8.02620	48.41667	0.11479	6.88298	-17.83333	5.50136
49.06231	6.22672	7.21795	1147.19682	7.73397	15.68319	5.18014	7.52545	5.42577	62.98903	65.76784	1.00000	6.53628	0.93333	0.11997	6.67750	52.68333	4.62962
45.75158	9.35675	6.26015	1072.82095	6.80255	0.88300	10.53700	7.52694	9.80446	86.73207	47.44169	0.00000	6.21445	78.23456	0.73637	6.99462	28.92694	6.82723
73.24629	8.28946	7.08634	1158.09430	7.46829	6.00165	9.97035	7.69794	7.90204	66.42443	77.75455	0.00000	7.90823	37.99117	0.34435	6.03181	44.92934	4.69594
42.17773	7.10411	8.52017	1169.59659	9.72882	11.03266	3.86346	6.14963	2.38246	67.08751	36.29996	1.00000	11.74801	4.69889	0.15747	6.80732	50.56149	5.50986
47.72775	8.69734	7.70722	1121.36714	9.29580	3.53878	5.97509	6.92336	7.16408	76.15186	65.05375	0.00000	5.82809	6.51352	0.39427	7.26117	51.19139	4.56459
33.70578	8.84796	9.29088	1125.98359	7.74067	12.81887	4.13406	5.86156	5.19372	80.93442	46.72919	1.00000	5.09798	4.52514	0.47308	7.04326	12.74482	4.51951
68.51645	8.86800	4.88373	1125.18503	8.92958	1.78434	7.51390	7.61678	8.46423	84.68752	58.72541	1.00000	9.37194	-2.12139	0.51194	6.45427	52.48173	5.11606
46.30333	8.32992	5.98430	1050.94223	4.58502	-7.77877	7.11752	6.43139	9.98293	54.61949	51.59042	1.00000	6.19953	-116.21677	0.33398	7.80783	33.7207	6.89375
58.28600	9.57830	7.04834	1081.48493	9.46561	19.54719	8.41117	6.49132	10.44026	57.21694	48.14655	0.00000	5.88653	83.62389	0.87869	7.38715	53.30972	6.48003
69.71933	6.66543	8.19549	1157.88280	7.84929	30.43433	10.50142	7.11737	6.87739	77.81196	24.66546	0.00000	7.66064	107.60627	0.12025	6.26657	51.82721	7.23627
63.64428	4.67445	7.36827	1186.35163	9.48363	15.25190	5.30777	6.54471	6.17332	72.59245	48.22646	1.00000	9.78135	14.34085	0.06121	5.47933	40.87363	5.85427
64.16706	8.67058	7.85004	1163.00741	7.79199	28.99297	7.53347	5.98413	7.85666	58.98029	27.65322	0.00000	8.09098	-82.00919	0.41373	6.40276	23.04419	5.29942
39.99703	8.13315	7.30953	1060.57039	5.59937	24.97905	6.97404	7.65074	7.13629	66.47283	47.66037	0.00000	6.28799	-1.47217	0.26874	6.83380	53.46506	3.88431
54.63580	7.68300	6.86503	1091.40406	7.87265	11.34963	8.24501	8.46987	8.11124	67.96396	37.79617	0.00000	7.88563	114.51667	0.25784	8.52410	33.78333	5.90639
66.82838	8.35367	6.84594	1119.58604	5.29255	25.84255	6.81372	8.20152	8.72264	64.34186	67.83170	1.00000	6.12758	103.6032	0.31990	6.45590	1.6561	5.98918
58.96096	10.72357	7.60462	1129.99437	5.73684	-4.99977	2.91704	7.42883	7.80009		55.01419	1.00000	3.83409	14.34085	2.62205	7.08118	40.87363	7.12994
40.98791	8.13616	6.04692	1117.73930	9.86153	21.95159	3.01775	5.91345	3.46012	59.32608	69.99429	1.00000	9.67835	15.28318	0.22292	4.63631	-4.26613	3.32784
63.01249	7.24841	6.04030	1115.56987	8.53030	2.07140	8.85979	7.22610	9.12040	86.78763	39.74036	0.00000	8.82442	24.14662	0.14734	7.98715	65.84811	5.08823
34.64605	5.71790	4.52158	1068.69923	5.58110	26.38817	7.28527	7.09354	8.56959	68.13846	58.77762	1.00000	5.56740	38.66667	0.08120	6.35749	-6.25	6.67280
43.79113	11.29743	6.53376	1057.17955	8.01100	24.19162	8.06538	8.28300	5.87076	72.72302	38.87472	1.00000	7.25242	110.8405	4.55468	4.51884	-6.8048	6.84975
53.07905	5.90191	8.01703	1141.13870	5.17850	21.01670	5.32372	7.41691	8.49412	68.14452	53.15979	1.00000	5.05434	19.61222	0.10426	6.59688	44.97639	5.20871
74.69678	8.50617	8.41583	1126.46043	8.27525	21.39775	6.31025	5.32625	7.06038	67.45639	41.15151	0.00000	4.41219	-69.96533	0.38484	7.40481	43.91452	6.39239
34.11468	11.30448	7.77722	1195.56046	11.08768	13.60135	8.01077	6.90959	10.33959	53.37507	36.01599	0.00000	10.43099	46.5813	4.58008	7.26023	54.8421	2.31831
52.31628	6.94794	5.38045	1171.39895	7.00908	23.71506	8.28066	6.65996	9.33915	47.76834	47.09875	0.00000	7.86576	140.73667	0.16513	5.30101	41.77583	3.44470
48.95222	7.30695	7.39313	1096.52714	6.67022	18.38563	6.77083	6.21539	3.62203	51.48925	40.98362	1.00000	6.07631	-74.96933	0.17897	6.32308	39.71734	6.68584
63.09111	4.60348	5.91875	1058.53591	9.44177	29.54148	4.65057	6.24066	5.54735	65.57234	49.74363	1.00000	8.67681	-0.2	0.06275	5.57806	51.65	5.07273
61.10722	4.93589	7.17585	1104.65881	6.38415	8.98490	4.65927	7.32965	7.00546	58.56616	48.24100	1.00000	4.62150	-63.13414	0.07694	6.70549	46.23899	5.00794
62.26086	6.00974	7.46672	1179.47750	5.06965	7.88742	4.63910	7.22257	9.52198	70.08928	26.97920	1.00000	4.66247	102.05461	0.12530	6.57347	6.25947	5.17939
58.78917	7.80858	6.97844	1113.04908	8.79435	26.06964	7.09910	6.97370	8.69287	71.01469	33.75627	0.00000	9.60434	137.36215	0.24517	8.96434	36.75965	5.62120
61.53516	5.12588	6.46846	1089.70089	8.49072	18.61588	5.79994	5.44533	4.85483	73.40658	44.15345	1.00000	8.57013	60.70278	0.12351	6.42028	55.75556	6.50870
54.92961	8.73605	7.64941	1051.78394	9.65362	18.41324	5.10684	7.24661	8.53340	56.41356	48.53388	0.00000	3.51404	36.25361	0.38452	5.26883	47.48444	5.18787
59.32370	6.50075	5.50904	1141.67763	2.77286	45.76595	4.19207	7.64038	9.85817	60.46642	34.72633	0.00000	5.92573	-3.05	0.15023	7.65793	53.81667	4.42883
52.09848	7.26717	7.15674	1102.21967	5.81593	-5.36144	5.88335	8.69797	8.76074	77.77037	28.07307	0.00000	5.39905	144.09638	0.12433	6.18607	43.82634	5.51509
60.85560	7.76087	6.39278	1192.08058	10.41936	8.14358	8.55657	6.99175	9.53488	65.76621	46.51375	0.00000	9.47320	11.34046	0.19199	3.80754	50.72043	5.68457
56.70725	6.10210	7.28854	1128.61716	10.44962	24.50096	4.12355	7.33707	3.98523	76.85586	41.87744	1.00000	11.74994	120.89694	0.15366	6.84718	14.95472	5.39662
58.01232	4.98283	7.26428	1108.61405	6.85107	6.32551	5.89100	5.69683	5.49809	62.65649	68.34753	1.00000	7.03273	-1.4001	0.06946	7.72902	7.06273	5.81303
48.53679	7.34625	6.15701	1150.82337	6.05490	30.83088	5.23640	6.92741	7.10066	68.15876	47.29348	1.00000	5.57376	123.89071	0.18950	5.27164	10.31672	5.45769
46.54788	6.09036	6.14175	1055.12264	7.31333	21.93228	5.99158	6.25167	3.43287	60.30196	42.60154	1.00000	8.15269	127.08472	0.12718	5.39065	36.20389	6.82430
59.58628	9.78982	7.00247	1069.17612	8.95310	3.25233	6.34985	7.11159	7.91320	70.30886	56.31921	0.00000	9.71886	102.56365	1.07076	6.47501	13.65805	5.35045
42.04040	6.93412	5.97144	1178.08526	5.58148	19.22184	2.60562	7.25665	6.90870	61.90634	40.28022	1.00000	4.35709	79.41727	0.16199	6.89467	12.25282	3.33332
57.40115	5.39269	7.20554	1051.75494	9.45087	15.58842	5.45972	7.14854	5.32101	57.77455	38.52999	1.00000	9.46070	141.95	0.05495	6.63748	39.46667	5.86636
56.71465	11.13252	5.66453	1195.37553	7.30913	24.07965	5.31588	7.58328	7.51544	72.29125	55.64304	1.00000	5.40369	6.26667	3.83419	7.42664	51.21667	5.09445
46.74304	8.91015	8.96875	1066.66159	5.65375	20.17048	9.59592	8.08777	6.53168	61.18639	78.86845	0.00000	7.37948	-73.89125	0.50585	6.92007	40.67705	7.14275
36.68969	4.20994	7.32664	1142.00767	7.29240	20.79195	7.83746	8.65312	5.74280	84.63093	55.65602	1.00000	7.53725	-47.53028	0.07188	7.50463	-22.45667	8.17519
55.15140	8.74535	7.84064	1131.67129	9.36001	32.55039	10.10011	3.23610	7.64853	72.27767	47.16408	0.00000	7.35590	-5.55835	0.43855	7.15235	42.64685	7.44421
61.47093	7.49626	7.73058	1050.82540	6.74766	13.27930	7.38614	6.82593	8.05279	58.17576	70.58143	0.00000	6.73671	8.77155	0.20466	6.85319	50.23019	4.03465
52.97111	7.47055		1127.20331	7.05568	7.75090	10.42909	6.02683	7.72695	75.05460	64.80476	0.00000	7.85116	12.84052	0.17380	6.61546	45.78071	6.99691
76.92249	6.11291	7.55870	1056.97119	8.96631	18.29095	3.66592	6.12763	5.87649	58.97046	46.83447	1.00000	9.25577	104.09701	0.10683	6.43151	-1.26424	3.48976
77.12477	6.15767	7.90882	1109.20389	6.87773	19.33479	5.03729	6.63771	7.84931	64.36831	68.76653	1.00000	6.06176	68.21204	0.12731	7.47586	27.55898	3.27645
46.22942	9.63147	7.20462	1169.48292	8.37500	16.19970	8.05899	7.59080	7.71916	65.09758	45.92558	0.00000	8.09136	39.85331	0.97473	10.20293	57.30185	5.47630
58.89919	7.17714	8.04226	1137.33409	7.72530	15.52812	4.83189	5.75831	7.86047	59.96540	56.58123	1.00000	4.06261	-97.92977	0.19290	5.55254	38.06084	5.09113
67.63081	8.34529	6.19138	1064.84290	8.80113	27.32327	7.13967	6.45238	8.66935	81.07104	42.19500	0.00000	5.30605	38.15035	0.31942	6.79744	49.41029	4.50493
48.81378	9.72020	6.52960	1142.22954	7.77548	15.47142	9.16595	7.05897	7.20971	70.90755	37.90222	0.00000	7.34221	4.8951	1.04312	5.79789	44.92801	6.02574
47.15898	6.77722	8.41826	1060.87215	7.99073	7.42670	4.24079	8.70498	4.51738	64.49651	39.77253	1.00000	4.69724	37.92792	0.15105	6.78851	53.93361	4.67178
64.44259	7.27051	7.41463	1130.28887	8.99748	11.22139	9.25636	6.39254	8.87316	64.79162	42.83091	0.00000	7.95586	-93.263	0.17665	7.22266	45.0408	5.66117
62.27286	7.68208	6.70794	1059.38719	9.83408	29.59446	7.33233	7.28681	8.38914	69.26375	33.13623	0.00000	5.85243	120.56528	0.19528	7.67008	14.66	5.59875
45.09760	8.15732	4.98463	1177.84702	4.79943	21.96552	5.08536	4.42768	8.02692	58.87414	45.67483	1.00000	6.06206	24.04142	0.27405	6.82283	54.39635	4.81938
67.78034	7.67088	3.66879	1053.08209	6.71859	23.01252	10.34385	5.59176	8.42696	71.22797	44.09041	0.00000	5.67831	-74.26419	0.16167	6.71736	4.73245	3.54607
23.76857	6.22794	6.58334	1070.34271	4.00704	21.45442	6.97913	6.31603	5.09678	64.63234	74.88942	1.00000	5.27213	120.33063	0.18791	6.97726	37.65181	6.44344
63.35379	9.49473	6.52109	1086.39325	5.02157	12.76168	6.30053	7.35687	8.44811	66.51080	45.17351	1.00000	6.51602	-73.97069	0.84392	6.58239	40.64621	5.59950
41.28935	5.52949	6.41806	1057.57563	7.41629	1.47917	4.47409	5.01479	5.83924	56.87283	46.86751	1.00000	4.97708	120.89694	0.12538	8.77914	14.95472	3.58391
42.98657	7.47643	6.75416	1173.40188	8.74261	29.57961	9.05708	8.31421	8.16994	84.37947	56.06790	0.00000	8.31374	37.3825	0.17626	5.37452	37.05944	6.89291
34.80401	6.33625	6.41048	1051.25118	6.46873	14.83734	5.65187	7.07281	7.73560	60.06161	40.99430	1.00000	5.62957	122.9666	0.08481	9.22690	10.7375	3.79316
32.81424	7.68643	5.80620	1110.00171	6.73639	14.85383	10.37111	6.70904	7.74965	50.64431	57.24819	0.00000	5.87433	1.33467	0.20802	6.18631	43.61058	2.74217
36.09415	4.03673	6.29658	1175.34272	10.43296	5.08107	5.12044	6.84382	6.41067	73.25677	31.14057	1.00000	8.78520	110.8405	0.09927	7.40640	-6.8048	5.38900
39.03637	6.31314	4.98186	1110.50403	6.11246	12.49285	4.40004	7.50419	7.75673	67.64990	63.07181	1.00000	4.81249	5.74861	0.11269	7.97740	52.71083	4.10510
76.83093	6.25878	7.59922	1149.50243	6.23277	18.89029	3.23247	5.92222	6.83654	72.75583	38.60420	1.00000	3.83706	-65.61427	0.13180	8.30261	-27.4338	5.24881
43.70176	9.29052	5.61380	1155.15169	8.01397	25.38143	8.08218	7.23998	10.47366	56.27832	58.80214	0.00000	3.64615	33.34864	0.68925	7.47165	46.75451	6.20827
58.20671	10.12132	6.31431	1061.85343	8.27184	11.12773	7.35834	8.01325	7.58165	74.87246	61.40520	0.00000	6.29873	70.96699	1.45445	6.76391	30.46907	3.96245
59.56110	11.19056	6.51722	1092.44180	5.28851	11.36334	6.56381	6.19489	9.23614	51.33841	58.32527	1.00000	6.66693	4.7934	4.09518	7.32118	45.69558	6.15948
60.04780	9.64341	6.67607	1067.12829	6.30738	28.43483	1.75233	8.86265	5.86221	76.79570	38.10093	1.00000	4.14096	6.26764	0.96025	6.16771	4.92675	4.88648
58.16877	7.33518	6.06879	1094.85990	9.33803	27.49367	7.42747	9.18028	7.42393	53.95688	59.12770	0.00000	6.75046	-118.03917	0.22657	6.16003	33.95015	4.96104
78.26532	6.86157		1160.71276	6.14329	18.91299	4.64157	6.22667	7.21890	81.02949	58.56813	1.00000	5.46810	28.19028	0.15412	6.77887	59.37722	4.08444
59.11740	5.57239	7.52114	1091.94842	7.29958	30.65981	4.66644	5.68836	7.39941	69.46378	42.46503	1.00000	7.35526	139.55028	0.14160	7.65224	35.30889	3.51479
40.30151	4.64444	4.13536	1105.29849	8.51178	20.37775	5.19029	6.41808	7.19085	60.28401	66.75229	1.00000	7.80678	-75.69947	0.12557	4.81438	8.79577	4.64410
76.35277	7.25952	7.02490	1101.70459	6.40657	17.18717	8.07167	6.86475	6.13527	71.42237	52.88841	0.00000	5.77395	15.16554	0.13109	7.00374	-4.5833	3.45310
56.87129	7.26812	5.29411	1122.66970	6.88159	27.83402	11.21470	7.02840	8.45034	75.05501		0.00000	6.59262	-101.2591	0.18118	7.38765	21.01858	4.52281
36.14215	5.39388	9.37564	1134.99228	5.03536	13.13884	5.13310	6.66740	8.97025	67.16482	46.71948	1.00000	5.14000	76.11996	0.13459	7.90606	11.12018	4.88144
68.44975	9.09501	5.94166	1143.84186	6.83243	32.75579	3.21700	8.55009	5.17551	67.86723	47.22653	1.00000	5.33195	-80.22588	0.58037	7.24817	26.2173	3.37078
34.14662	7.08603	8.63589	1125.66702	7.04722	21.71804	4.75336	7.11160	4.94139	67.31061	45.26171	1.00000	7.93408	2.29275	0.16251	6.63915	48.79325	4.51907
32.43551	5.08534	5.48898	1077.66235	4.56008	13.74835	6.08253	5.98294	8.69093	56.80680	52.98956	1.00000	5.63806	9.17702	0.18598	6.18161	48.78232	4.88702
47.49597	8.88333	8.55396	1138.20371	5.19964	9.06658	12.91159	6.65109	9.09926	56.09631	31.92897	0.00000	7.17301	14.43865	0.48828	6.15229	40.87329	3.06849
71.36127	5.84798	7.27950	1093.00840	9.94338	7.09450	8.51053	5.43901	9.22843	74.67145	39.23715	0.00000	6.79970	-123.02621	0.11721	7.01062	44.99012	5.99464
68.47612	11.48366	6.80081	1072.23415	7.33033	2.84983	8.83746	5.63489	7.32796	68.09294	49.55273	1.00000	7.02184	99.95469	5.47008	8.22276	13.51825	7.60055
43.65902	6.76366	6.96957	1175.03177	4.35597	7.35511	5.91460	7.99995	8.82589	58.81757	31.57396	1.00000	6.08520	-87.882	0.19907	6.61381	41.85059	5.51790
49.49750	4.51212	6.02959	1105.36238	8.27048	13.95200	5.02029	6.13874	5.03668	61.95984	40.36040	1.00000	8.16043	53.47103	0.14885	7.33318	54.48147	5.63191
58.86953	4.72920	7.83293	1161.48423	6.59406	17.65018	8.23467	6.71163	6.13112	36.11558	36.21348	1.00000	5.34016	-7.35	0.06301	6.21665	53.53333	7.82386
76.17647	8.18316	6.85879	1142.28963	6.32618	19.02806	10.20644	7.23273	6.69459	73.50249	46.78360	0.00000	6.71224	-86.11084	0.26710	7.42939	41.75338	6.78242
54.40507	4.52486	6.69957	1190.92769	10.73726	25.73349	4.09715	7.70534	5.56540	72.30446	56.89468	1.00000	12.02911	150.99292	0.08968	6.57556	-33.75881	5.34538
54.30985	10.13388	8.26746	1192.55258	8.97654	-3.77755	8.71707	5.75024	7.93815	64.20867	46.01686	0.00000	9.15829	113.82465	1.47958	7.19170	23.29549	5.70951
