QoS	latitude	station	code	revision	longitude
maintenance	-21.44236	Tonota	BW	2018-06-09	27.46153
good	-10.91111	Aracaju	BR	2017-11-21	-37.07167
accep	50.06	Mikhaylovka	RU	09/14/2021, 00:00:00	43.2379
maintenance	9.15093	Chilibre	PA	2020/11/03	-79.62098
accep	42.58342	Fitchburg	US	2018-01-08	-71.8023
accep	35.25064	Searcy	US	2021-06-20	-91.73625
average	33.44872	Vestavia Hills	US	2019/10/18	-86.78777
average	46.67535	Lons-le-Saunier	FR	08/09/2022, 00:00:00	5.55575
maintenance	56.56317	Arbroath	GB	05 Nov 2016	-2.58736
average	53.5942	Novogrudok	BY	2013-08-29	25.8191
maintenance	35.72917	Msaken	TN	12/17/2020, 00:00:00	10.58082
good	4.73245	Madrid	CO	11 Jan 2017	-74.26419
average	30.21121	Malaut	IN	2014/02/13	74.4818
accep	50.56149	Gembloux	BE	11/21/2021, 00:00:00	4.69889
maintenance	27.85	Xiangtan	CN	27 Feb 2015	112.9
average	36.61033	Murray	US	07/12/2019, 00:00:00	-88.31476
average	34.63915	Lompoc	US	21 Aug 2018	-120.45794
good	40.24537	Pottstown	US	2014/09/04	-75.64963
accep	45.78071	Portogruaro	IT	2021/08/19	12.84052
building	-7.76667	Iringa	TZ	2019-04-08	35.7
accep	42.22718	Lanciano	IT	21 Nov 2017	14.39024
maintenance	51.21667	Schwalmtal	DE	2020-12-30	6.26667
excellent	37.65181	Longgang	CN	2013/11/02	120.33063
good	46.75451	Nova Kakhovka	UA	2019/10/12	33.34864
good	-27.4338	Aguilares	AR	2022-08-14	-65.61427
average	42.58342	Fitchburg	US	08/25/2017, 00:00:00	-71.8023
average	41.41204	el Camp de l'Arpa del Clot	ES	10/11/2018, 00:00:00	2.18247
excellent	37.65181	Longgang	CN	03/22/2020, 00:00:00	120.33063
accep	41.47892	Schererville	US	06 Aug 2021	-87.45476
good	42.06166	Tudela	ES	12/11/2017, 00:00:00	-1.60452
accep	38.37255	Aksaray	TR	27 Dec 2015	34.02537
good	37.73604	Riverbank	US	2022-01-09	-120.93549
accep	-4.5833	Kasangulu	CD	08/11/2016, 00:00:00	15.16554
accep	-17.73648	Port-Vila	VU	2018-03-17	168.31366
accep	-22.45667	Santa Gertrudes	BR	12 Mar 2017	-47.53028
accep	17.06542	Oaxaca	MX	09 Jun 2022	-96.72365
excellent	6.25947	Tak Bai	TH	17 Aug 2013	102.05461
excellent	38.70734	Fort Washington	US	31 Oct 2013	-77.02303
accep	51.4781	Kuvandyk	RU	2017/07/20	57.3552
excellent	39.46667	Yamada	JP	12/31/2012, 00:00:00	141.95
average	45.44694	Novara	IT	27 Jun 2021	8.62118
average	-4.26613	Brazzaville	CG	2014-09-27	15.28318
average	4.2475	Idenao	CM	2016-11-18	9.00472
average	32.65246	Isfahan	IR	2022/07/31	51.67462
good	10.22677	La Victoria	VE	20 Apr 2015	-67.33122
excellent	20.22816	Zacoalco de Torres	MX	12/18/2014, 00:00:00	-103.5687
building	6.25947	Tak Bai	TH	11/10/2018, 00:00:00	102.05461
excellent	5.90702	Donggongon	MY	20 Dec 2016	116.10146
building	53.7446	Kingston upon Hull	GB	12/28/2012, 00:00:00	-0.33525
average	50.8	Wevelgem	BE	2014-10-24	3.16667
average	-6.91806	Sukabumi	ID	2016-12-03	106.92667
average	33.7207	Indio	US	2014-05-31	-116.21677
maintenance	51.35084	Devizes	GB	2019-04-05	-1.99421
building	17.54907	Elamanchili	IN	2016/06/04	82.85749
average	15.58552	Bua Yai	TH	03/08/2016, 00:00:00	102.42587
accep	33.3213	Hita	JP	03/04/2015, 00:00:00	130.94098
accep	53.37596	Otradnyy	RU	2016-02-14	51.3452
average	48.77644	Sceaux	FR	10 Nov 2021	2.29026
accep	40.68066	Massapequa	US	26 Mar 2020	-73.47429
building	28.88162	Guli	CN	2012-12-23	120.03308
good	51.47805	Oberhausen	DE	2018-10-13	6.8625
average	18.03496	Yauco	PR	22 Aug 2016	-66.8499
good	39.45621	Martinsburg	US	2017/04/23	-77.96389
accep	8.48714	Freetown	SL	2014/09/25	-13.2356
excellent	37.19723	Tianfu	CN	2018/12/21	122.05228
maintenance	48	Quimper	FR	2013/04/03	-4.1
good	-8.05389	Recife	BR	2022-08-31	-34.88111
building	38.72706	Carnaxide	PT	2015-01-09	-9.24671
accep	-8.76194	Porto Velho	BR	2015/05/16	-63.90389
maintenance	18.00747	New Kingston	JM	2014/12/14	-76.78319
good	45.44868	Pointe-Claire	CA	2015-10-30	-73.81669
good	37.56667	Inawashiro	JP	2013-02-17	140.11667
average	10.7375	Talisay	PH	2021-09-30	122.9666
maitennce	34.06635	Acworth	US	2017/09/17	-84.67837
good	52.31333	Oldenzaal	NL	2022/05/13	6.92917
good	31.71667	Sangla Hill	PK	25 Jun 2022	73.38333
average	33.45122	Hueytown	US	08 Feb 2016	-86.99666
accep	41.84364	South Lawndale	US	2021-02-17	-87.71255
accep	46.32313	Niort	FR	2013-03-19	-0.45877
accep	-32.05251	Willetton	AU	2018-09-19	115.88782
excellent	29.53885	Fresno	US	2015/02/16	-95.44744
good	-10.91111	Aracaju	BR	01/02/2019, 00:00:00	-37.07167
maintenance	33.54428	Stockbridge	US	2019-10-06	-84.23381
good	51.08468	Burscheid	DE	23 Aug 2013	7.11393
accep	37.05944	Gaziantep	TR	29 Jan 2021	37.3825
good	35.48199	Minokamo	JP	08/31/2016, 00:00:00	137.02166
excellent	51.39148	Surbiton	GB	16 Feb 2018	-0.29825
excellent	46.32313	Niort	FR	01/05/2020, 00:00:00	-0.45877
excellent	35.30889	Kamakura	JP	2020-10-05	139.55028
acceptable	9.92787	San Rafael	CR	2016/07/02	-84.13722
accep	18.42745	Aguadilla	PR	2018/07/21	-67.15407
accep	36.06523	Porterville	US	30 Jul 2014	-119.01677
accep	47.38093	Kent	US	2021-08-29	-122.23484
accep	38.10558	Caravaca	ES	01/12/2022, 00:00:00	-1.86343
average	9.91861	Tinaquillo	VE	16 Dec 2012	-68.30472
good	-31.25033	Rafaela	AR	2019-02-08	-61.4867
excellent	12.74482	Argungu	NG	2018-01-11	4.52514
accep	41.94175	Hushitai	CN	08/19/2015, 00:00:00	123.50266
accep	39.57582	Ken Caryl	US	04/19/2018, 00:00:00	-105.11221
accep	4.73245	Madrid	CO	2018/06/10	-74.26419
excellent	14.66	Pilar	PH	27 Oct 2018	120.56528
average	5.27247	Bonoua	CI	30 Mar 2016	-3.59625
maintenance	-28.44917	Marau	BR	22 Aug 2014	-52.2
maintenance	40.56754	Pekin	US	19 Mar 2022	-89.64066
maintenance	40.55851	Mesagne	IT	08/10/2013, 00:00:00	17.80774
building	45.4473	Dorval	CA	12 Mar 2021	-73.75335
average	50.75932	Lutsk	UA	08/20/2016, 00:00:00	25.34244
accep	23.1959	Kenda	IN	2014-02-08	86.51499
accep	24.81757	Rafiganj	IN	2016/05/14	84.63445
excellent	-36.9256	Chiguayante	CL	2020-05-13	-73.02841
average	-20.25333	Itabirito	BR	26 Jun 2017	-43.80139
excellent	33.52253	Laguna Niguel	US	08 Mar 2014	-117.70755
accep	21.28306	Progreso	MX	2016/10/18	-89.66123
excellent	43.61058	Colomiers	FR	01/20/2021, 00:00:00	1.33467
good	52.57583	Hardenberg	NL	08 Apr 2022	6.61944
accep	33.45122	Hueytown	US	09/29/2014, 00:00:00	-86.99666
maintenance	26.67319	Juhaynah	EG	2017-02-02	31.4976
accep	53.53333	An Muileann gCearr	IE	2014/12/02	-7.35
maintenance	-33.79176	Eastwood	AU	2020-03-19	151.08057
average	-2.90055	Cuenca	EC	04/13/2016, 00:00:00	-79.00453
building	37.58105	Serinhisar	TR	07 Feb 2015	29.26639
good	11.86064	Gaya	NG	04/18/2018, 00:00:00	9.0027
accep	48.43174	Hlohovec	SK	13 Jan 2018	17.8031
excellent	-21.98333	Okahandja	NA	2014-01-28	16.91667
accep	50.5107	Strzelce Opolskie	PL	01 Feb 2013	18.30056
excellent	34.63915	Lompoc	US	2013/03/29	-120.45794
accep	15.73628	Gajendragarh	IN	2017-01-11	75.96976
good	-10.33333	Nyangao	TZ	18 Mar 2016	39.28333
excellent	-33.79176	Eastwood	AU	2014-04-03	151.08057
building	37.65181	Longgang	CN	12/11/2013, 00:00:00	120.33063
excellent	56.85836	Tver	RU	07 Mar 2013	35.90057
excellent	34.9	Shinshiro	JP	07/10/2019, 00:00:00	137.5
excellent	15.79408	Yasothon	TH	25 Jan 2013	104.1451
average	-20.87306	Viradouro	BR	02 Apr 2022	-48.29694
building	38.38479	Novelda	ES	2014/04/09	-0.76773
accep	33.44872	Vestavia Hills	US	2012-10-15	-86.78777
building	-0.71667	Soure	BR	2020-07-23	-48.52333
excellent	57.30185	Gavrilov-Yam	RU	2013/08/13	39.85331
average	5.4709	Batu Feringgi	MY	2015-06-28	100.24529
maintenance	-17.83333	Ambatondrazaka	MG	2013-11-19	48.41667
excellent	23.73333	Heyuan	CN	06 Jul 2019	114.68333
good	-20.25333	Itabirito	BR	2016-01-02	-43.80139
average	35.64889	Sishui	CN	03/29/2022, 00:00:00	117.27583
average	40.24537	Pottstown	US	2017-06-30	-75.64963
excellent	29.84576	Estelle	US	2016-03-03	-90.10674
accep	13.44581	Phanat Nikhom	TH	09 Apr 2016	101.18445
excellent	42.8334	Norfolk County	CA	08 Apr 2020	-80.38297
accep	44.97639	Sremska Mitrovica	RS	02/24/2017, 00:00:00	19.61222
accep	4.73245	Madrid	CO	2016/03/09	-74.26419
good	53.83333	Poulton-le-Fylde	GB	2013/03/17	-2.98333
accep	51.67822	Hlukhiv	UA	2012/12/12	33.9162
accep	56.03361	Volokolamsk	RU	2022-05-19	35.96944
accep	9.3337	Santa Catalina	PH	2017/02/22	122.8637
accep	-4.26613	Brazzaville	CG	24 Sep 2018	15.28318
maintenance	35.64889	Sishui	CN	05 Jul 2019	117.27583
average	48.28259	Ehingen	DE	05/07/2017, 00:00:00	9.72749
maintenance	36.81667	Zhoucun	CN	19 Mar 2022	117.81667
average	52.14	Barneveld	NL	2020-10-01	5.58472
average	34.14251	Glendale	US	2016-05-16	-118.25508
average	36.19278	Laiwu	CN	01/20/2022, 00:00:00	117.65694
average	53.77166	Bogoroditsk	RU	30 Jan 2016	38.12408
good	43.48961	Ferrol	ES	2018/01/31	-8.2194
excellent	51.40944	Privolzhskiy	RU	2017-12-12	46.04833
excellent	25.92127	Madhipura	IN	2016-11-07	86.79271
excellent	44.59445	Castelfranco Emilia	IT	2017/04/29	11.04979
accep	53.46506	Chapletown	GB	2014-06-01	-1.47217
average	43.62558	Falconara Marittima	IT	04/10/2017, 00:00:00	13.39954
excellent	52.41667	Thetford	GB	2013/09/22	0.75
accep	-21.44236	Tonota	BW	2021/11/28	27.46153
good	18.42745	Aguadilla	PR	01 Nov 2014	-67.15407
building	36.65	Suzaka	JP	2014-06-11	138.31667
average	37.49223	Catania	IT	07/09/2019, 00:00:00	15.07041
average	31.96258	Naushahra Virkan	PK	01/06/2022, 00:00:00	73.97117
building	42.7392	Waverly	US	03/26/2017, 00:00:00	-84.62081
excellent	41.94175	Hushitai	CN	05/03/2018, 00:00:00	123.50266
accep	40.87329	Somma Vesuviana	IT	08 Jun 2015	14.43865
accep	53.94313	Bad Segeberg	DE	2013-05-16	10.30215
good	12.37169	Masbate	PH	2014-03-09	123.62494
average	42.58342	Fitchburg	US	2012-10-02	-71.8023
average	43.96222	Novopavlovsk	RU	2012/10/20	43.63417
average	9.57046	Kalavoor	IN	21 Mar 2014	76.32756
average	53.5942	Novogrudok	BY	2014-01-08	25.8191
excellent	30.46907	Kot Addu	PK	2019/12/19	70.96699
average	43.61058	Colomiers	FR	29 Aug 2015	1.33467
accep	40.1675	Sungurlu	TR	2017/01/26	34.37389
good	27.85	Xiangtan	CN	09/08/2016, 00:00:00	112.9
accep	33.03699	Encinitas	US	12/09/2021, 00:00:00	-117.29198
excellent	24.41288	Aklera	IN	2021-09-05	76.56719
good	13.51825	Damnoen Saduak	TH	2018-01-12	99.95469
accep	50.75	Saint-Omer	FR	12 Feb 2016	2.25
average	8.43333	Nakhon Si Thammarat	TH	05/31/2021, 00:00:00	99.96667
good	-32.05251	Willetton	AU	2017/09/20	115.88782
good	12.37169	Masbate	PH	09 Nov 2016	123.62494
excellent	14.64056	Kantharalak	TH	2013-08-27	104.64992
building	3.3285	Tebingtinggi	ID	2020-11-20	99.1625
maintenance	-10.90889	Barra dos Coqueiros	BR	2014/10/19	-37.03861
maintenance	36.19278	Laiwu	CN	20 Jun 2018	117.65694
building	-5.41667	Chanika	TZ	2020/01/12	38.01667
accep	23.02677	Foshan	CN	01/01/2015, 00:00:00	113.13148
accep	40.81	Morningside Heights	US	2018-02-26	-73.9625
average	43.96222	Novopavlovsk	RU	2015-06-18	43.63417
excellent	26.91756	Punta Gorda Isles	US	2018-06-02	-82.07842
accep	45.53069	Gorgonzola	IT	08/19/2019, 00:00:00	9.40531
good	42.4251	Malden	US	07/02/2015, 00:00:00	-71.06616
accep	51.04962	Zeitz	DE	19 Aug 2015	12.1369
maintenance	26.2649	Jais	IN	2016-02-01	81.54855
good	35.89972	Valletta	MT	2018/01/22	14.51472
maintenance	39.71734	Sicklerville	US	06/03/2020, 00:00:00	-74.96933
good	53.93361	Kireyevsk	RU	10 Jun 2015	37.92792
average	56.56317	Arbroath	GB	2021/05/30	-2.58736
excellent	-27.4338	Aguilares	AR	2017/03/22	-65.61427
accep	52.59319	Wittenau	DE	07 Apr 2015	13.32127
good	-37.32167	Tandil	AR	2013/12/06	-59.13316
excellent	54.03876	Kovylkino	RU	2015/07/19	43.91385
average	47.80527	Bothell West	US	15 Mar 2019	-122.24064
building	25.6439	Narwar	IN	15 Dec 2021	77.9129
building	19.32932	Contla	MX	14 Nov 2013	-98.1664
good	64.5635	Severodvinsk	RU	02/20/2021, 00:00:00	39.8302
average	39.33427	Middle River	US	2013-10-20	-76.43941
good	-16.25	Yunguyo	PE	2012/12/31	-69.08333
average	40.87363	Volla	IT	11 Aug 2020	14.34085
average	48.77275	Bar-le-Duc	FR	2015-08-01	5.16108
excellent	17.54907	Elamanchili	IN	2021/03/07	82.85749
excellent	39.59611	Edremit	TR	31 Jul 2014	27.02444
good	9.15093	Chilibre	PA	08/07/2022, 00:00:00	-79.62098
good	41.24264	Bisceglie	IT	01/12/2013, 00:00:00	16.50104
good	32.35126	Tyler	US	2015-11-28	-95.30106
maintenance	28.92694	Bachhraon	IN	12 Nov 2015	78.23456
good	25.67927	Kendall	US	10/29/2016, 00:00:00	-80.31727
maintenance	44.22639	Negotin	RS	10/10/2021, 00:00:00	22.53083
good	40.65995	Kearns	US	07/06/2018, 00:00:00	-111.99633
excellent	40.55851	Mesagne	IT	09/10/2022, 00:00:00	17.80774
excellent	18.51957	Pune	IN	16 Oct 2014	73.85535
accep	-37.88333	Carnegie	AU	05 Oct 2019	145.06667
accep	49.28669	Elbeuf	FR	18 Feb 2018	1.00288
average	34.75856	Ueno-ebisumachi	JP	19 Dec 2012	136.13108
average	51.21187	Beveren	BE	11/07/2018, 00:00:00	4.25633
average	33.14447	Darreh Shahr	IR	2020-03-21	47.3799
good	34.95303	Santa Maria	US	2014/09/20	-120.43572
good	27.55898	Larkana	PK	06/01/2022, 00:00:00	68.21204
accep	43.86682	Markham	CA	08 Jan 2015	-79.2663
good	50.88506	Denderleeuw	BE	2021/12/27	4.07601
maintenance	14.67751	Le Robert	MQ	2018-11-04	-60.94228
accep	22.4711	Pujali	IN	12/14/2019, 00:00:00	88.1453
excellent	38.38479	Novelda	ES	2021/10/05	-0.76773
average	-19.72806	Iturama	BR	2016/10/04	-50.19556
building	45.40008	Sainte-Catherine	CA	2017/09/13	-73.58248
accep	33.42585	Oulmes	MA	01/26/2019, 00:00:00	-6.00137
average	36	Okegawa	JP	06 Mar 2016	139.55722
excellent	34.25628	Leland	US	17 Nov 2012	-78.04471
excellent	-6.8048	Kudus	ID	2014-07-04	110.8405
average	39.32288	Woodlawn	US	2013/05/09	-76.72803
average	6.03333	Arba Minch	ET	2022/03/15	37.55
average	10.63504	Liberia	CR	04/15/2014, 00:00:00	-85.43772
average	57.30185	Gavrilov-Yam	RU	2022/01/04	39.85331
accep	41.48199	Lakewood	US	05 Sep 2015	-81.79819
good	56.85836	Tver	RU	12 Apr 2022	35.90057
good	18.65297	Thomazeau	HT	2020/01/17	-72.09391
good	-29.2975	Carlos Barbosa	BR	2013/05/01	-51.50361
excellent	38.13708	Silvan	TR	2015-07-08	41.00817
accep	8.88649	Tchaourou	BJ	24 Jun 2022	2.59753
good	11.85	Debre Tabor	ET	03 Dec 2019	38.01667
excellent	32.35126	Tyler	US	2022/08/12	-95.30106
average	41.29444	Parkent	UZ	07/05/2022, 00:00:00	69.67639
good	28.71271	Pilkhua	IN	04/18/2015, 00:00:00	77.656
excellent	-22.57306	Artur Nogueira	BR	06 Feb 2022	-47.1725
good	41.66394	Toledo	US	05 Oct 2016	-83.55521
good	38.06084	Hutchinson	US	14 Nov 2015	-97.92977
average	39.00622	Sterling	US	2013/09/29	-77.4286
average	31.84568	Odessa	US	2019-01-24	-102.36764
good	15.73628	Gajendragarh	IN	05/30/2013, 00:00:00	75.96976
excellent	7.57944	New Yekepa	LR	04 May 2018	-8.53778
maintenance	10.63504	Liberia	CR	2013/11/13	-85.43772
building	54.84444	Kashira	RU	06 May 2015	38.16694
accep	51.35084	Devizes	GB	2016/11/19	-1.99421
good	6.84019	Dehiwala-Mount Lavinia	LK	20 Oct 2012	79.87116
maintenance	50.20528	Jaworzno	PL	17 Apr 2019	19.27498
maintenance	18.65297	Thomazeau	HT	2013/03/13	-72.09391
average	43.50891	Split	HR	2013/06/14	16.43915
accep	46.23899	Charlottetown	CA	03/08/2013, 00:00:00	-63.13414
excellent	53.19146	Winsford	GB	02/14/2014, 00:00:00	-2.52398
building	8.79577	San Carlos	CO	10 Nov 2014	-75.69947
accep	19.04222	Casa Blanca	MX	2014-02-22	-98.11889
good	39.78504	Greenfield	US	2019/09/15	-85.76942
average	-20.25333	Itabirito	BR	2021-02-15	-43.80139
maintenance	25.13915	Sheoganj	IN	04 Jan 2018	73.06784
accep	0.49113	Beni	CD	2015/07/08	29.47306
excellent	24.96334	Ghat	LY	2012/10/20	10.18003
good	32.5007	Longview	US	2013/05/15	-94.74049
maintenance	51.82721	Ulan-Ude	RU	14 Apr 2018	107.60627
good	15.58552	Bua Yai	TH	2014/07/26	102.42587
average	50.09019	Hofheim am Taunus	DE	2014-07-09	8.4493
maintenance	56.56317	Arbroath	GB	09/01/2020, 00:00:00	-2.58736
accep	-7.81667	Kediri	ID	03 Sep 2017	112.01667
building	38.10558	Caravaca	ES	08/16/2022, 00:00:00	-1.86343
excellent	48.90982	Bobigny	FR	2020-07-31	2.45012
average	50.74497	Mouscron	BE	12/08/2013, 00:00:00	3.20639
excellent	36.82167	Eisen	KR	2021-11-25	128.63083
accep	34.61667	Yao	JP	09 Dec 2015	135.6
excellent	20.22816	Zacoalco de Torres	MX	23 Oct 2016	-103.5687
accep	25.92127	Madhipura	IN	16 Sep 2017	86.79271
excellent	49.13645	Eppingen	DE	2020/02/05	8.91229
average	20.74122	Santa Rosa Jauregui	MX	06/19/2016, 00:00:00	-100.44843
building	25.92493	Sojat	IN	2019-06-23	73.66633
maintenance	15.79408	Yasothon	TH	05/28/2017, 00:00:00	104.1451
maintenance	-8.76194	Porto Velho	BR	07/09/2018, 00:00:00	-63.90389
good	10.63504	Liberia	CR	2020/11/16	-85.43772
average	55.64776	Malakhovka	RU	12/17/2021, 00:00:00	38.02486
good	58.63667	Lesnoy	RU	2019-09-01	59.80222
average	50.82709	Wesseling	DE	2015-08-26	6.9747
building	45.0408	Columbia Heights	US	2019/10/03	-93.263
average	34.86472	Zaozhuang	CN	2021/04/28	117.55417
average	38.10558	Caravaca	ES	2019-09-21	-1.86343
excellent	-15.675	Canavieiras	BR	2017-02-01	-38.94722
average	46.1351	Sydney	CA	2019/09/25	-60.1831
good	9.91861	Tinaquillo	VE	12 Jul 2021	-68.30472
good	39.78504	Greenfield	US	03/02/2014, 00:00:00	-85.76942
good	50.76306	Cowes	GB	05/06/2014, 00:00:00	-1.29772
good	45.49428	Aloha	US	16 Feb 2017	-122.86705
good	51.20219	Radevormwald	DE	01/27/2017, 00:00:00	7.36027
average	-21.44236	Tonota	BW	2012/11/18	27.46153
good	49.28669	Elbeuf	FR	16 Mar 2020	1.00288
excellent	40.70995	Amposta	ES	2020/06/05	0.57856
building	-4.06667	Same	TZ	11/20/2016, 00:00:00	37.73333
average	51.20219	Radevormwald	DE	16 Apr 2020	7.36027
average	7.06273	Mampong	GH	29 Oct 2018	-1.4001
building	34.15429	Messaad	DZ	25 Aug 2014	3.50309
excellent	-2.13404	Milagro	EC	2021/08/09	-79.59415
good	52.71083	Emmeloord	NL	24 Jul 2015	5.74861
excellent	15.48131	Olanchito	HN	2015/03/26	-86.57415
maintenance	55.75556	Ozersk	RU	2015-07-11	60.70278
accep	4.88441	Gua Musang	MY	2020/11/09	101.96857
accep	0.51667	Pekanbaru	ID	2019/03/07	101.44167
average	42.64685	Villaquilambre	ES	11 Mar 2017	-5.55835
building	53.63333	Halstenbek	DE	2014/08/01	9.85
excellent	3.51667	Mbalmayo	CM	01 Oct 2014	11.5
good	48.43174	Hlohovec	SK	2022-03-07	17.8031
excellent	36.20389	Nonsan	KR	2018/07/24	127.08472
average	18.20854	Santa Cruz de Barahona	DO	08 Dec 2012	-71.10077
excellent	19.8173	Teziutlan	MX	2018-12-10	-97.35992
accep	18.03496	Yauco	PR	09/01/2013, 00:00:00	-66.8499
excellent	47.98372	Memmingen	DE	11/28/2021, 00:00:00	10.18527
maintenance	42.22718	Lanciano	IT	03 Aug 2016	14.39024
building	-23.44361	Sarandi	BR	05/11/2015, 00:00:00	-51.87389
average	38.68712	Puertollano	ES	15 Mar 2014	-4.10734
excellent	41.94175	Hushitai	CN	05/19/2021, 00:00:00	123.50266
accep	56.9083	Beryozovsky	RU	2015/03/07	60.8019
average	22.10194	Barbil	IN	05 Mar 2014	85.37752
good	41.09822	Nanpiao	CN	12/13/2014, 00:00:00	120.74792
average	24.81757	Rafiganj	IN	12/27/2019, 00:00:00	84.63445
average	35.61452	Jackson	US	2016/09/07	-88.81395
accep	33.3213	Hita	JP	01/21/2016, 00:00:00	130.94098
excellent	28.98002	Meerut	IN	16 Jan 2021	77.70636
building	39.72943	Aurora	US	2021-03-07	-104.83192
excellent	3.51667	Mbalmayo	CM	2018/10/20	11.5
average	5.30383	Tarkwa	GH	2012-11-13	-1.98956
maintenance	34.09611	San Gabriel	US	09/13/2016, 00:00:00	-118.10583
excellent	21.46527	Sambalpur	IN	2017-06-25	83.97573
building	27.55898	Larkana	PK	28 Mar 2014	68.21204
accep	42.819	Buynaksk	RU	2013-04-20	47.1192
building	51.65333	Vught	NL	2014/09/27	5.2875
average	12.04161	Talipparamba	IN	26 Sep 2020	75.35927
maintenance	8.35122	Ciudad Guayana	VE	04/30/2015, 00:00:00	-62.64102
maintenance	11.00599	Kangayam	IN	11/04/2018, 00:00:00	77.5609
maintenance	9.58126	Kafanchan	NG	11/24/2016, 00:00:00	8.2926
average	46.32313	Niort	FR	06/16/2014, 00:00:00	-0.45877
good	-8.28333	Cabo	BR	08/10/2016, 00:00:00	-35.03333
average	-28.44917	Marau	BR	23 Jul 2020	-52.2
good	10.12268	Periyakulam	IN	2020-07-07	77.54372
excellent	41.77583	Hakodate	JP	2018/12/14	140.73667
excellent	50.11861	Penzance	GB	2018-09-04	-5.53715
good	7.57944	New Yekepa	LR	01/04/2015, 00:00:00	-8.53778
accep	-33.79176	Eastwood	AU	12/27/2018, 00:00:00	151.08057
accep	53.77166	Bogoroditsk	RU	30 Sep 2016	38.12408
accep	37.31065	Agrigento	IT	2014-07-14	13.57661
accep	26.68451	Belle Glade	US	02/03/2019, 00:00:00	-80.66756
accep	-2.68333	Usagara	TZ	2014/08/03	33
accep	45.69558	Saint-Genis-Laval	FR	2017-12-19	4.7934
accep	43.11667	Pamiers	FR	07/13/2021, 00:00:00	1.6
average	-31.95224	Perth	AU	12 Mar 2016	115.8614
excellent	50.80904	Marburg an der Lahn	DE	09/12/2019, 00:00:00	8.77069
good	31.28092	Patti	IN	2019/07/16	74.85849
average	28.15112	Lutz	US	05/18/2014, 00:00:00	-82.46148
building	23.1959	Kenda	IN	2018/01/01	86.51499
good	40.65995	Kearns	US	2017/08/17	-111.99633
accep	9.6531	Jagna	PH	2018-08-06	124.3697
accep	4.02219	Teluk Intan	MY	2013-04-30	101.02083
good	40.65995	Kearns	US	06/19/2016, 00:00:00	-111.99633
excellent	50.7236	Exeter	GB	11/12/2017, 00:00:00	-3.52751
average	34.63915	Lompoc	US	2022/07/20	-120.45794
good	-37.88333	Carnegie	AU	2019-07-23	145.06667
excellent	42.8139	Segundo Ensanche	ES	14 May 2015	-1.64295
good	-23.44361	Sarandi	BR	2022/02/05	-51.87389
excellent	-6.8	Magomeni	TZ	29 Aug 2020	39.25
accep	-19.32556	Resplendor	BR	06 Jun 2018	-41.25528
building	39.43534	Lebanon	US	2012-11-26	-84.20299
excellent	38.06084	Hutchinson	US	2016/06/29	-97.92977
excellent	48.15659	Soroca	MD	2013/09/01	28.28489
average	53.53041	Nizhniy Lomov	RU	05 Apr 2017	43.67663
excellent	-38.16604	Frankston South	AU	2012/12/18	145.13643
average	12.74482	Argungu	NG	12/15/2021, 00:00:00	4.52514
