location	longitude	latitude	QoS	station	revision
America/New_York	-74.28459	40.5576	maintenance	Woodbridge	08 Aug 2017
America/Chicago	-88.70464	34.25807	accep	Tupelo	2014/10/29
America/Detroit	-83.48216	42.30865	average	Canton	2020-11-14
Asia/Kolkata	73.06784	25.13915	excellent	Sheoganj	2014/09/17
America/Sao_Paulo	-46.99583	-22.97056	good	Valinhos	2012-10-13
Asia/Manila	120.89694	14.95472	average	Baliuag	2020-12-22
Europe/London	-0.33525	53.7446	excellent	Kingston upon Hull	11/29/2015, 00:00:00
America/New_York	-81.77285	28.54944	accep	Clermont	07/04/2018, 00:00:00
Asia/Kolkata	85.37752	22.10194	good	Barbil	2020/01/29
Asia/Almaty	84.87144	47.46657	excellent	Zaysan	03/12/2013, 00:00:00
Europe/Belgrade	22.53083	44.22639	average	Negotin	17 Jun 2021
Africa/Douala	9.00472	4.2475	excellent	Idenao	03/02/2014, 00:00:00
America/Bahia	-38.94722	-15.675	excellent	Canavieiras	2020-06-23
Asia/Kabul	65.93249	36.21544	excellent	Sar-e Pul	2018-07-01
America/New_York	-81.56929	41.55838	excellent	Collinwood	31 Jul 2022
Europe/Andorra	1.53414	42.50729	excellent	les Escaldes	2019/10/08
Europe/Moscow	39.85331	57.30185	good	Gavrilov-Yam	2016-02-19
America/Sao_Paulo	-42.98194	-22.53722	average	Guapimirim	01/02/2016, 00:00:00
America/New_York	-76.72803	39.32288	good	Woodlawn	07 Jan 2014
Asia/Kolkata	78.95693	29.21399	accep	Kashipur	2021/01/21
Europe/Berlin	7.02238	52.21099	accep	Gronau	14 Jan 2020
Asia/Shanghai	120.74792	41.09822	accep	Nanpiao	2015/06/12
Europe/Rome	7.60872	43.78956	average	Ventimiglia	2020/02/04
America/Chicago	-88.31476	36.61033	accep	Murray	05/18/2017, 00:00:00
Africa/Maputo	35.34722	-23.85972	average	Maxixe	2021-12-07
America/Chicago	-96.39774	30.16688	excellent	Brenham	27 Jan 2013
Europe/Rome	8.62118	45.44694	good	Novara	17 Aug 2018
Asia/Yekaterinburg	76.92421	60.97944	accep	Izluchinsk	02/15/2019, 00:00:00
Europe/Madrid	-4.10734	38.68712	building	Puertollano	2016/11/29
Asia/Seoul	128.9889	37.1759	good	T’aebaek	2015-02-18
America/New_York	-73.49484	41.14676	good	New Canaan	2015-04-11
America/Los_Angeles	-122.2608	38.17492	excellent	American Canyon	09/27/2021, 00:00:00
Europe/Paris	2.29026	48.77644	good	Sceaux	10/22/2012, 00:00:00
America/Chicago	-87.93341	42.55308	excellent	Pleasant Prairie	2018/08/11
America/New_York	-78.04471	34.25628	excellent	Leland	2018-05-29
Europe/Rome	13.44275	38.07789	excellent	Villabate	18 Aug 2016
Asia/Kolkata	75.35927	12.04161	accep	Talipparamba	04/07/2021, 00:00:00
Asia/Damascus	36.7138	35.95664	average	Binnish	2019-10-07
Europe/Madrid	-4.83076	39.96348	good	Talavera de la Reina	31 Jan 2019
Europe/London	-4.21376	55.82885	maintenance	Rutherglen	2014-04-10
Europe/Paris	4.91667	45.73333	maintenance	Bron	2018-09-27
Europe/Berlin	7.2278	50.64336	building	Bad Honnef	2014-08-30
Europe/Paris	2.12213	48.8222	average	Le Chesnay	2021/08/31
Asia/Baku	48.87498	38.45598	average	Astara	2019-10-13
America/Chicago	-88.81395	35.61452	good	Jackson	2015-11-27
Asia/Manila	122.8637	9.3337	average	Santa Catalina	04/26/2013, 00:00:00
Africa/Tunis	10.78222	36.46917	good	Beni Khiar	11/19/2016, 00:00:00
Africa/Accra	-1.4001	7.06273	excellent	Mampong	11 Mar 2020
Europe/Moscow	30.38167	59.80917	accep	Shushary	2020/05/25
Europe/Andorra	1.53414	42.50729	good	les Escaldes	24 Nov 2021
Europe/London	0.47713	51.39323	excellent	Strood	05/29/2013, 00:00:00
Asia/Tokyo	144.09638	43.82634	excellent	Motomachi	22 Sep 2020
Europe/Berlin	8.91229	49.13645	average	Eppingen	2014/11/03
Asia/Tokyo	137.02166	35.48199	building	Minokamo	2018/01/24
Asia/Jakarta	103.61667	-1.6	acceptable	Jambi City	11/08/2014, 00:00:00
Asia/Makassar	118.9707	-3.5403	average	Majene	06 Dec 2019
America/Los_Angeles	-122.39168	40.58654	building	Redding	12/22/2020, 00:00:00
Europe/Rome	8.86374	44.89784	maintenance	Tortona	2017-09-23
Asia/Jerusalem	34.8732	32.05971	accep	Ganei Tikva	03/31/2015, 00:00:00
America/Toronto	-73.58248	45.40008	accep	Sainte-Catherine	2014-12-28
Asia/Kolkata	79.41727	12.25282	accep	Gingee	28 Feb 2014
America/Chicago	-88.3162	42.24113	good	Crystal Lake	08/15/2013, 00:00:00
Asia/Jakarta	99.1625	3.3285	average	Tebingtinggi	2016-11-13
Asia/Tokyo	139.6853	35.815	good	Shimotoda	2016-01-01
Europe/Stockholm	18.28333	59.33333	good	Boo	2013-06-21
America/Tegucigalpa	-86.57415	15.48131	maintenance	Olanchito	04/10/2013, 00:00:00
Europe/London	-1.99421	51.35084	good	Devizes	2016-08-12
Asia/Novokuznetsk	85.4265	55.8736	building	Yashkino	10 Sep 2013
America/Los_Angeles	-117.29198	33.03699	good	Encinitas	09/29/2016, 00:00:00
America/Chicago	-99.73314	32.44874	average	Abilene	2020/11/03
Europe/Berlin	6.9747	50.82709	average	Wesseling	2016/06/05
America/New_York	-81.56929	41.55838	accep	Collinwood	2021/04/01
America/Bogota	-73.26022	6.46838	good	Socorro	08/19/2018, 00:00:00
Asia/Manila	121.12251	14.62578	average	Antipolo	2012/11/25
America/Fortaleza	-42.29444	-4.24444	accep	Barras	01/16/2020, 00:00:00
Europe/Prague	12.87117	50.23271	excellent	Karlovy Vary	08/25/2022, 00:00:00
Europe/Zaporozhye	36.25361	47.48444	good	Polohy	2013-09-16
Asia/Kolkata	88.28637	23.07492	average	Pandua	2021/03/15
Europe/Moscow	36.73307	55.38752	average	Naro-Fominsk	12/28/2017, 00:00:00
Europe/London	-4.21376	55.82885	good	Rutherglen	2017-12-30
Europe/Berlin	10.18527	47.98372	accep	Memmingen	24 Jun 2014
Asia/Seoul	128.63083	36.82167	average	Eisen	04 Sep 2017
Asia/Kolkata	76.35484	10.10649	average	Alwaye	06/28/2019, 00:00:00
Africa/Libreville	13.58357	-1.63333	good	Franceville	2016/04/16
America/Bogota	-75.69947	8.79577	excellent	San Carlos	2019/07/23
America/Chicago	-87.70172	41.72059	good	Evergreen Park	06/19/2017, 00:00:00
Africa/Lagos	12.19458	10.61285	building	Biu	2019/06/16
Europe/Moscow	37.99117	44.92934	good	Krymsk	2015/07/24
Asia/Tokyo	135.31667	34.25	good	Iwade	12/02/2013, 00:00:00
America/Bogota	-74.73584	5.20856	average	Honda	05/06/2013, 00:00:00
America/Los_Angeles	-119.01677	36.06523	building	Porterville	2021-05-23
Asia/Kolkata	81.54855	26.2649	excellent	Jais	2014/12/02
Europe/Moscow	47.1192	42.819	excellent	Buynaksk	20 Jul 2013
America/Chicago	-86.78777	33.44872	excellent	Vestavia Hills	2022/05/22
Europe/Paris	-1.05366	43.71032	accep	Dax	2018/10/21
America/Tegucigalpa	-86.57415	15.48131	excellent	Olanchito	10/20/2014, 00:00:00
Asia/Tashkent	72.34424	40.78206	excellent	Andijon	11 Oct 2019
America/Chicago	-94.74049	32.5007	good	Longview	2014/09/29
Europe/Berlin	7.36027	51.20219	good	Radevormwald	2016/02/23
Europe/London	-3.05	53.81667	excellent	Blackpool	04 May 2018
Europe/Rome	11.412	45.50369	good	Montecchio Maggiore-Alte Ceccato	08/25/2016, 00:00:00
Europe/Rome	11.412	45.50369	maintenance	Montecchio Maggiore-Alte Ceccato	2013/10/10
Europe/Madrid	2.18247	41.41204	accep	el Camp de l'Arpa del Clot	2015-11-17
America/Chicago	-98.15529	26.18924	good	San Juan	02/10/2020, 00:00:00
Asia/Kolkata	76.32756	9.57046	building	Kalavoor	2014-06-23
Asia/Baghdad	44.02488	32.61603	average	Karbala	2018/10/04
Asia/Vladivostok	133.42825	45.47885	maintenance	Lesozavodsk	2021-07-20
America/Costa_Rica	-84.13722	9.92787	excellent	San Rafael	05 May 2018
America/Indiana/Indianapolis	-85.76942	39.78504	average	Greenfield	12/30/2017, 00:00:00
Africa/Accra	-1.4001	7.06273	average	Mampong	2018/08/09
Asia/Tokyo	137.36215	36.75965	accep	Namerikawa	2020/11/25
Europe/Berlin	6.9747	50.82709	average	Wesseling	07 Aug 2013
Asia/Manila	120.57224	15.72892	good	Burgos	01/24/2013, 00:00:00
Asia/Yangon	97.01124	17.30858	average	Kyaikto	2016/05/03
Asia/Manila	120.97844	14.8361	maitennce	Guyong	01 May 2015
Asia/Jakarta	106.92667	-6.91806	maintenance	Sukabumi	2015-02-07
America/Santo_Domingo	-71.10077	18.20854	accep	Santa Cruz de Barahona	02/20/2022, 00:00:00
Asia/Almaty	84.87144	47.46657	good	Zaysan	12/21/2016, 00:00:00
Africa/Algiers	2.95924	36.76775	accep	Cheraga	2014/08/27
America/Fortaleza	-40.7475	-4.16694	building	Guaraciaba do Norte	02/20/2022, 00:00:00
Europe/London	0.47713	51.39323	excellent	Strood	2017/04/02
Asia/Jakarta	106.92667	-6.91806	building	Sukabumi	27 Jan 2020
America/Los_Angeles	-122.39168	40.58654	maintenance	Redding	2016/12/24
Europe/Bratislava	17.22635	48.8449	building	Skalica	2013-01-29
Europe/Berlin	9.15214	49.97704	excellent	Aschaffenburg	2014/03/08
Europe/Paris	1.33467	43.61058	excellent	Colomiers	05/07/2018, 00:00:00
Europe/Madrid	-2.77259	37.49073	excellent	Baza	11/30/2012, 00:00:00
Asia/Karachi	71.67164	30.29184	accep	Qadirpur Ran	21 May 2020
Asia/Yakutsk	111.4834	65.93381	good	Aykhal	2020/03/01
Africa/Cairo	29.91582	31.20176	average	Alexandria	13 Mar 2016
Africa/Casablanca	-6.90656	33.92866	maintenance	Temara	04/27/2019, 00:00:00
America/Sao_Paulo	-46.99583	-22.97056	average	Valinhos	2017-06-19
Asia/Seoul	128.62667	34.8825	good	Sinhyeon	27 Oct 2016
Europe/London	-0.36053	51.64316	excellent	Bushey	28 May 2021
Europe/London	-2.98333	53.83333	accep	Poulton-le-Fylde	2015-08-02
Europe/Minsk	25.8191	53.5942	accep	Novogrudok	07/17/2014, 00:00:00
Asia/Urumqi	86.00214	46.51872	excellent	Hoxtolgay	11 Apr 2018
America/New_York	-73.95958	40.57788	good	Brighton Beach	08/26/2021, 00:00:00
Asia/Kolkata	79.41727	12.25282	average	Gingee	2020/07/03
Africa/Lagos	4.74161	7.62789	average	Ilesa	01 Nov 2013
America/New_York	-78.04471	34.25628	maintenance	Leland	2014-11-30
Asia/Tokyo	138.89585	36.33011	average	Annaka	07/31/2020, 00:00:00
America/New_York	-71.05977	42.35843	maintenance	Boston	2013-11-19
Asia/Karachi	70.96699	30.46907	maintenance	Kot Addu	26 Mar 2018
Europe/Berlin	11.32903	50.9803	average	Weimar	04/22/2015, 00:00:00
America/Los_Angeles	-116.97725	33.92946	accep	Beaumont	2022-05-15
America/Chicago	-95.44744	29.53885	maintenance	Fresno	30 Jul 2018
Europe/Paris	2.18967	48.8765	excellent	Rueil-Malmaison	2019-12-07
Asia/Karachi	70.96699	30.46907	good	Kot Addu	2016/11/01
Europe/Paris	2.45012	48.90982	accep	Bobigny	05/16/2022, 00:00:00
Africa/Banjul	-15.6	13.56667	average	Farafenni	2016/09/16
Asia/Kolkata	71.57737	21.53889	good	Gariadhar	25 Apr 2022
America/Cuiaba	-52.35558	-14.66463	good	Nova Xavantina	19 Mar 2018
Asia/Aqtobe	59.6	47.83333	excellent	Shalqar	2019/04/04
America/Santiago	-70.6996	-33.59217	good	San Bernardo	2012-11-06
Europe/Rome	8.86374	44.89784	maintenance	Tortona	2018/07/05
Asia/Dhaka	91.84128	22.83957	maitennce	Manikchari	09/23/2018, 00:00:00
America/New_York	-73.47429	40.68066	good	Massapequa	04/18/2019, 00:00:00
Europe/Dublin	-7.35	53.53333	acceptable	An Muileann gCearr	22 Aug 2020
Asia/Shanghai	117.55417	34.86472	excellent	Zaozhuang	2015-08-13
Europe/Warsaw	19.27498	50.20528	accep	Jaworzno	04/09/2016, 00:00:00
Europe/London	0.93333	52.68333	excellent	East Dereham	2015-06-15
America/New_York	-81.38758	30.17746	accep	Palm Valley	2016-06-27
Europe/Rome	8.88104	45.79377	maitennce	Malnate	07/13/2019, 00:00:00
Asia/Yekaterinburg	59.80222	58.63667	good	Lesnoy	2020-06-25
Europe/Berlin	13.10984	51.30001	building	Oschatz	2013/10/27
Asia/Jakarta	110.71639	-7.54972	accep	Ngemplak	2018-04-18
Africa/Freetown	-13.2356	8.48714	excellent	Freetown	12/15/2013, 00:00:00
Asia/Jakarta	101.44167	0.51667	maintenance	Pekanbaru	20 Mar 2014
Europe/Madrid	-2.68333	43.31667	accep	Gernika-Lumo	17 Jan 2021
Asia/Kolkata	76.35484	10.10649	good	Alwaye	2019-11-17
Asia/Shanghai	120.82747	37.30553	accep	Zhuangyuan	2014/09/24
America/New_York	-77.02303	38.70734	good	Fort Washington	2022/07/30
Asia/Vladivostok	140.72287	53.14657	maintenance	Nikolayevsk-on-Amure	2015-03-06
America/Fortaleza	-42.29444	-4.24444	good	Barras	19 Feb 2013
Africa/Lagos	8.2926	9.58126	good	Kafanchan	2022-02-01
Asia/Tehran	48.26258	33.86419	good	Aleshtar	2016/05/27
Europe/Rome	12.38878	43.1122	building	Perugia	2014-09-01
Asia/Tehran	51.67462	32.65246	maintenance	Isfahan	22 May 2022
Europe/Saratov	46.04833	51.40944	building	Privolzhskiy	2021/03/21
Europe/Brussels	4.69889	50.56149	good	Gembloux	2016/01/04
Europe/Paris	3.87723	43.61092	maintenance	Montpellier	10/13/2017, 00:00:00
Europe/Moscow	38.07083	54.90083	excellent	Stupino	22 Jan 2021
America/Los_Angeles	-122.38731	45.53929	average	Troutdale	05/05/2020, 00:00:00
Asia/Karachi	68.11759	26.9423	building	Tharu Shah	2013-09-25
Europe/Vienna	16.4	48.25	average	Floridsdorf	2015-12-25
Asia/Jakarta	110.8405	-6.8048	average	Kudus	12/02/2014, 00:00:00
Europe/Berlin	7.11393	51.08468	maintenance	Burscheid	03/08/2019, 00:00:00
America/Merida	-89.66123	21.28306	accep	Progreso	06/24/2021, 00:00:00
America/Chicago	-88.27205	44.27804	excellent	Kaukauna	07 May 2018
America/New_York	-84.23381	33.54428	building	Stockbridge	20 Apr 2014
America/Detroit	-82.42491	42.97086	good	Port Huron	02/18/2013, 00:00:00
America/Detroit	-84.62081	42.7392	maintenance	Waverly	2020-06-11
Europe/Madrid	-3.67029	37.13548	good	Las Gabias	11/06/2015, 00:00:00
Asia/Jakarta	107.60389	-7.01833	excellent	Pameungpeuk	06/02/2018, 00:00:00
Asia/Urumqi	86.00214	46.51872	excellent	Hoxtolgay	2013-04-20
America/Mexico_City	-97.35992	19.8173	excellent	Teziutlan	01 Jul 2019
Europe/Minsk	30.2049	55.1904	average	Vitebsk	03/23/2020, 00:00:00
Asia/Yangon	98.50893	16.68911	excellent	Myawadi	2016/03/31
America/New_York	-77.37331	37.60876	average	Mechanicsville	02/12/2016, 00:00:00
America/New_York	-76.72803	39.32288	good	Woodlawn	25 Aug 2015
America/Los_Angeles	-122.24064	47.80527	accep	Bothell West	24 May 2021
Europe/Madrid	-3.67029	37.13548	maintenance	Las Gabias	01 Apr 2016
America/Chicago	-88.42814	42.16808	maintenance	Huntley	2013-09-29
Europe/Warsaw	18.30056	50.5107	maintenance	Strzelce Opolskie	2022-01-06
Asia/Hebron	35.23388	31.78336	building	East Jerusalem	27 Nov 2020
America/Mexico_City	-98.1664	19.32932	good	Contla	2022/06/03
Africa/Tunis	10.58082	35.72917	maintenance	Msaken	06/30/2015, 00:00:00
America/Chicago	-86.78777	33.44872	excellent	Vestavia Hills	2014/12/03
Asia/Tehran	51.67462	32.65246	excellent	Isfahan	2017/01/28
Asia/Karachi	68.21204	27.55898	excellent	Larkana	06/10/2013, 00:00:00
America/Chicago	-86.78777	33.44872	maintenance	Vestavia Hills	2013/06/18
Europe/Paris	2.44892	48.98693	average	Gonesse	2019/08/04
Asia/Yekaterinburg	69.49015	56.11281	average	Ishim	20 Sep 2017
Asia/Manila	121.12251	14.62578	average	Antipolo	11 Jun 2019
Asia/Shanghai	117.65694	36.19278	excellent	Laiwu	12/07/2014, 00:00:00
Africa/Dar_es_Salaam	29.65806	-4.83	good	Mwandiga	2017-03-02
Asia/Kolkata	77.24779	10.58806	maintenance	Udumalaippettai	2018/02/05
Asia/Yekaterinburg	69.49015	56.11281	good	Ishim	11/09/2021, 00:00:00
Asia/Karachi	68.88871	25.95533	accep	Jhol	2014/07/02
Asia/Bangkok	104.1451	15.79408	accep	Yasothon	31 Aug 2013
Asia/Kolkata	78.27539	12.95629	excellent	Robertsonpet	2018-02-18
Europe/Moscow	38.16694	54.84444	good	Kashira	2020/08/20
Asia/Kolkata	71.21169	21.59983	excellent	Amreli	21 Feb 2015
Asia/Kuala_Lumpur	103.6032	1.6561	good	Kulai	2018-01-05
Asia/Tehran	51.67462	32.65246	excellent	Isfahan	20 Mar 2020
Asia/Karachi	71.67164	30.29184	accep	Qadirpur Ran	03 Aug 2014
Europe/Berlin	9.17702	48.78232	good	Stuttgart	05/10/2022, 00:00:00
Africa/Tunis	10.78222	36.46917	maintenance	Beni Khiar	03/02/2016, 00:00:00
America/Bogota	-77.03116	3.8801	excellent	Buenaventura	27 Apr 2022
Asia/Kolkata	86.59611	25.87498	building	Saharsa	2017-05-06
Asia/Kolkata	72.68533	22.75218	average	Kheda	18 Nov 2019
America/Havana	-82.4017	23.0072	excellent	Boyeros	12 Aug 2015
America/Sao_Paulo	-53.13722	-22.92306	average	Loanda	24 Jun 2018
Asia/Kolkata	79.41727	12.25282	average	Gingee	11/06/2014, 00:00:00
Europe/Berlin	8.64409	48.07667	excellent	Trossingen	2020/11/12
Europe/Berlin	9.5926	52.86147	excellent	Walsrode	12/20/2019, 00:00:00
Europe/Sofia	27.25	42.7	average	Aytos	12 Aug 2020
Australia/Sydney	146.05093	-34.28853	average	Griffith	06 Feb 2020
Europe/Kiev	26.97253	49.65186	average	Krasyliv	2022-02-25
Indian/Reunion	55.4504	-20.88231	accep	Saint-Denis	2019-04-03
America/Chicago	-94.74049	32.5007	good	Longview	23 Jan 2015
Africa/Tripoli	20.22625	30.75545	excellent	Ajdabiya	2015-01-07
Asia/Jakarta	110.71639	-7.54972	average	Ngemplak	2019-09-30
Europe/Helsinki	24.95034	60.18427	average	Kallio	04/10/2021, 00:00:00
America/Caracas	-70.20749	8.62261	good	Barinas	10 Sep 2018
America/Argentina/Buenos_Aires	-58.38341	-34.64966	average	Barracas	2019-12-25
Asia/Tokyo	136.51667	35	accep	Komono	09 Mar 2017
America/Chicago	-99.73314	32.44874	excellent	Abilene	2013-07-10
Asia/Bangkok	99.89166	15.46063	building	Thap Than	2018/12/29
America/New_York	-82.61573	41.24255	average	Norwalk	18 Jan 2013
Europe/London	1.26738	51.84819	average	Walton-on-the-Naze	13 Mar 2020
Europe/Moscow	34.34691	61.78491	building	Petrozavodsk	03/13/2018, 00:00:00
Europe/Paris	2.61667	48.98333	good	Mitry-Mory	2020/05/08
Atlantic/Azores	-25.66689	37.74615	accep	Ponta Delgada	2018/06/13
Africa/Kampala	30.98551	2.41669	average	Paidha	2015-09-28
America/New_York	-75.60804	39.96097	average	West Chester	04/26/2018, 00:00:00
Asia/Karachi	70.96699	30.46907	average	Kot Addu	2020-08-11
America/Argentina/Cordoba	-60.93173	-31.4488	average	Esperanza	2016-04-20
America/Argentina/Buenos_Aires	-58.38341	-34.64966	average	Barracas	14 Feb 2013
Europe/Bratislava	17.8031	48.43174	good	Hlohovec	11/29/2013, 00:00:00
Europe/Amsterdam	7.00417	52.26083	good	Losser	2013/05/04
America/Los_Angeles	-117.54866	33.93113	excellent	Norco	07/19/2021, 00:00:00
America/Fortaleza	-40.7475	-4.16694	accep	Guaraciaba do Norte	2019-07-26
America/Bahia	-37.93278	-11.48472	average	Rio Real	2018/08/20
Asia/Kolkata	71.57737	21.53889	building	Gariadhar	01/06/2018, 00:00:00
America/New_York	-73.99681	40.94065	good	Dumont	22 Dec 2013
Asia/Jerusalem	34.86563	31.92923	accep	Ramla	09/03/2015, 00:00:00
Europe/Vienna	16.4	48.25	excellent	Floridsdorf	2019/02/18
Asia/Tokyo	136.51667	35	good	Komono	2012/12/30
Asia/Shanghai	125.51176	42.64031	accep	Dongfeng	05/31/2022, 00:00:00
Europe/Moscow	34.34691	61.78491	average	Petrozavodsk	2018-09-14
Europe/Kiev	31.33078	47.56494	accep	Voznesensk	2015/08/02
Asia/Taipei	119.58627	23.5654	average	Magong	20 Jul 2019
Africa/Abidjan	-5.682	5.84752	good	Lakota	2016/07/12
Europe/Kiev	32.6178	46.65581	building	Kherson	2015-11-17
