H2CO	PM10	C2H3NO5	NOx	PM2.5	NH3	CH4	warning	SO2	CFCs	TEMP	latitude	longitude	PAHs	PRES	O3	Pb	CO
39.03460	7.71601	1.11731	8.14425		8.96782	4.33323	1.00000	9.46900	24.75745	10.82681	50.64336	7.2278	12.44623	1195.01778	7.28989	57.98005	7.99569
35.23043	8.56793	2.42296	9.20100	5.50726	8.55182	8.22753	1.00000	7.72022	24.50570	20.62997	48.43174	17.8031	10.03549	1085.37334	5.04684	51.82847	8.80234
38.73897	8.74658	2.51034	6.38418	9.77474	7.99726	11.12754	1.00000	8.37206	52.66786	0.93025	37.73604	-120.93549	8.08976	1181.69681	6.84298	70.48856	8.76205
52.14336	8.52984	2.29223	5.95958	10.53566	8.73566	5.29702	0.00000	10.10087	49.31373	32.18006	12.35275	121.06761	6.10788	1082.73484	4.68582	50.67792	8.67435
47.93548	8.41637	1.74673	6.36647	11.61703	11.35250	10.66404	1.00000	8.39306		-5.46598	12.74409	-8.07257	6.79872	1197.11686	8.86183	33.16554	9.73712
60.23945	8.23485	1.91724	10.01208	7.14992	7.38096	8.24701	1.00000	10.06321	49.06668	6.52192	43.54072	-116.56346	9.72841	1139.58183	4.21269	53.82129	8.68748
40.30713	9.19564	3.92409	6.69703	10.96849	8.68682	6.42612	0.00000	7.97050	51.22669	27.92330	43.91452	-69.96533	7.50736	1147.28620	7.28531	64.01036	9.20957
43.55221	6.21181	0.58410	11.81000	8.25768	9.53233	10.30438	0.00000	9.02767	47.59690	27.47907	7.62789	4.74161	6.07855	1175.55301	11.35769	70.83700	7.49264
63.83470	7.11240	1.06211	6.67767	11.11680	11.29860	9.82877	1.00000	8.90037	43.92442	12.72420	57.14369	-2.09814	3.98198	1187.64445	9.08958	62.11504	10.57740
16.65433	8.67121	2.59457	12.31181	7.91185	7.14905	9.26497	0.00000	8.05230	49.72008	17.11687	61.78491	34.34691	5.15401	1075.76472	10.67599	57.43827	9.37554
35.68779	8.71988	2.61255	8.46855	8.77615	10.10152	1.95963	1.00000	8.41758	71.90845	29.36159	12.95629	78.27539	13.36955	1157.17792	6.70240	40.67843	8.71314
34.67216	7.64138	1.42430	6.91669	9.48869	7.62284	6.71111	0.00000	7.89839	56.80728	16.17636	-5.41667	38.01667	6.81493	1076.99703	6.77463	53.58330	7.19466
71.12013	8.84587	2.78022	5.13395	8.97746	10.92574	8.40105	1.00000	7.64544	55.89390	12.84398	32.65246	51.67462	6.48911	1119.03212	7.61747	64.35623	8.11528
68.26865	10.19383	10.74993	7.52618	10.50859	11.08859	8.76882	1.00000	8.87657	46.37130	-1.82164	-26.93366	29.24152	9.39613	1073.85690	6.24385	42.69579	8.90577
45.36382	9.49433	5.11435	5.85370	9.36005	8.57180	10.55837	1.00000	7.16508	47.57102	19.38533	42.30865	-83.48216	9.10672	1150.73929	7.78261	45.34355	9.24838
38.44332	8.04460	2.02589	10.61153	8.71435	6.76776	12.26735	0.00000	9.43646	23.07254	27.32876	-8.43333	114.33333	7.37777	1084.23329	9.06904	63.84292	10.19514
52.80177	9.76540	6.95039	5.17109	12.14995	11.83122	11.26507	1.00000	8.80775	58.49187	23.85225	10.22677	-67.33122	5.52509	1191.90681	7.72741	61.43052	9.38249
44.40237	8.62097	2.78939	11.14988	8.48017	6.43574	9.96247	0.00000	8.91154	43.98013	35.14703	40.93121	-73.89875	8.10943	1172.30935	8.86054	34.25182	9.63367
71.68350	8.54557	2.45232	7.81401	5.74106	7.34734	9.72330	0.00000	8.16366	42.31162	28.66923	-21.205	-41.88778	7.37030	1190.71779	9.58769	59.86521	9.26315
36.58538	5.81511	0.41414	10.03033	6.29629	6.78611	10.07002	0.00000	8.80913	20.01363	9.27439	-6.91806	106.92667	7.09570	1160.38579	10.21778	54.92753	8.00647
49.35904	9.32686	4.80540	10.20159	8.07595	7.62858	11.41073	0.00000	6.67510	60.25733	39.87371	-22.97056	-46.99583	8.03631	1118.77739	10.05798	51.49060	11.52036
54.36452	7.81226	1.33060	9.21063	7.64988	7.43056	6.47462	1.00000	7.31794	38.57994	25.12308	53.16167	6.76111	10.36175	1126.99210	2.81182	35.09411	9.09592
77.92454	8.67830	2.75197	10.15644	8.14172	7.60463	9.77879	0.00000	9.62889	13.84362	6.44461	-34.74785	-58.70072	5.81320	1190.19033	9.06066	72.54183	7.42585
47.62778	8.64315	2.73813	9.55706	9.05278	5.28171	7.30111	1.00000	9.92542	59.96408	19.56115	8.35122	-62.64102	9.60517	1181.61798	5.73624	51.02810	9.23971
56.71016	9.79929	7.09448	8.76001	9.79197	6.19897	5.08441	1.00000	7.85568	53.44813	16.35273	43.54072	-116.56346	10.05159	1180.88711	6.18079	48.98734	8.47398
56.16462	10.84537	19.59534	4.89150	9.77817	11.23796	11.30178	1.00000	9.43290	75.75873	11.60656	37.19723	122.05228	3.74694	1139.72826	9.72127	35.32314	9.29979
52.61364	9.07862	3.95837	11.57313	7.93826	10.18301	12.18315	0.00000	9.44124	59.42065	14.68630	42.50729	1.53414	7.81775	1166.13265	12.23911	35.91312	8.82241
71.92288	9.51740	5.56909	9.63846	9.83881	9.16834	5.30984	1.00000	9.59439	48.27697	6.08846	-19.72806	-50.19556	11.33679	1137.93893	6.72631	70.83142	8.98393
31.21467	7.30648	0.88974	11.12412	6.35893	6.14866	7.86073	0.00000	8.77390	49.69330		51.12794	4.21372	7.07132	1122.27496	10.15579	35.25953	5.96814
59.66101	8.63573	2.60521	7.10582	7.33629	10.55167	9.56803	1.00000	8.83664	64.81075	12.11942	8.48714	-13.2356	4.25916	1054.64233	7.33221	32.47295	9.72398
60.93430	8.31699	2.41365	8.94799	5.09466	7.69528	9.57487	0.00000	9.98901	48.19565	25.96407	35.61452	-88.81395	6.84118	1119.61322	11.11413	40.95157	6.67990
64.67555	8.55101	2.33518	6.17131	10.62837	6.53626	6.45266	1.00000	9.82944	62.01624	-8.51369	38.58894	-89.99038	8.45415	1125.62116	8.00389	44.75624	8.73721
36.36837	8.80180	2.80722	9.39229	9.76513	10.89844	8.28478	1.00000	8.35867	63.09478	19.21164	30.29184	71.67164	8.83299	1077.77142	7.33208	15.15180	8.74573
44.57280	6.93427	0.94868	9.82835	9.46622	6.01633	8.29450	1.00000	9.14407	44.94571	14.17551	47.90771	106.88324	9.62742	1128.99116	8.81992	40.96280	8.38553
48.66009	8.69357	2.79888	9.64567	8.56356	8.21914	9.35518	1.00000	7.80798	50.45629	12.07016	41.54566	-71.29144	11.76212	1138.26549	6.15153	65.98241	9.39240
30.37453	9.55092	5.94596	7.28211	7.13931	8.99207	9.78741	1.00000	10.67874	51.06950	-2.13533	-28.24	-48.67028	8.39722	1174.03276	5.00361	62.09740	9.00845
47.43394	6.98111	0.69760	8.89109	7.88699	6.26640	5.58367	1.00000	9.25112	36.69946	12.17235	28.54944	-81.77285	10.89458	1144.80362	5.78451		7.43555
38.36529	10.26585	11.63935	5.33021	8.71985	7.36244	5.91444	0.00000		29.24602	0.77379	-33.59217	-70.6996	5.83079	1191.09436	3.82450	50.65410	8.27437
15.95664	6.54480	0.68831	10.07855	7.51566	8.00920	10.03778	0.00000	8.51620	61.67508	23.14899	49.13645	8.91229	7.57304	1125.66885	10.38489	53.78924	10.28017
48.88715	7.98288	1.75679	7.88683	10.83010	9.25456	8.08439	0.00000	7.88138	38.55658	20.59353	51.65	-0.2	6.69160	1197.67409	7.70148	55.90553	8.28965
44.01391	9.43961	5.46590	6.64869	9.25360	7.26742	6.11050	0.00000	7.67050	48.68075	9.98317	53.14657	140.72287	7.09147	1082.30150	5.99155	52.46304	10.03402
49.96237	10.91924	21.32857	5.96489	7.79601	4.09644	6.04969	0.00000	8.76068	35.91723	2.93883	25.87498	86.59611	8.65071	1158.59658	6.77290	64.07878	7.33968
48.21551	10.32213	12.10506	5.14186	9.86232	11.40612	11.47083	1.00000	9.32592	26.70608	10.76235	-24.19436	29.00974	3.68290	1142.84389	7.44332	63.90943	7.75630
32.86606	9.44195	5.28603	10.76644	6.89767	6.68668	10.46141	0.00000	9.05433	39.64072	7.94617	4.94273	15.87735	6.55627	1158.24643	10.42294	54.28344	8.73088
29.95448	9.08367	3.93647	7.91989	7.89951	9.28570	9.41472	1.00000	8.01695	22.93367	16.80834	40.60538	-73.75513	8.36904	1083.95521	6.16430	44.43861	8.41171
40.61400	8.43364	1.84970	11.75113	12.15166	8.23684	8.84965	1.00000	7.70966	43.54038	15.35979	-2.68333	33	9.01243	1141.14728	9.55290	58.71492	9.31372
44.42900	6.84771	0.99421	9.79047	11.67013	8.25406	5.12811	1.00000	7.61169	66.99140	2.82225	34.86472	117.55417	10.44672	1127.61488	6.90773	41.89641	7.69833
42.78311	8.03242	0.96939	7.81154	9.29097	8.87014	7.43527	0.00000	8.81136	49.59232	10.04372	53.53333	-7.35	5.48728	1088.46175	6.55820	48.92775	7.36610
67.29632	10.33641	12.14653	6.50864	7.47406	13.71445	8.56117	1.00000	9.51829	65.53883	-2.96314	39.12074	27.18052	3.68489	1156.53931	7.78562	51.01376	9.91590
58.96819	7.78695	1.22335	8.29948	11.58359	10.44508	8.64169	0.00000	8.84725	51.72140	24.95492	32.17629	75.06583	6.67593	1134.75733	7.69845	58.41397	7.56860
50.01514	8.68593	2.60682	10.05123	9.50401	7.04401	9.16711	1.00000	7.02854	42.94361	15.86971	40.98894	28.67582	7.66205	1090.17292	6.65831	43.94917	8.79069
46.53082	8.35168	1.78488	7.80003	9.15960	12.37592	9.73719	1.00000	10.06283	20.25734	14.12171	58.7002	59.4839	6.89541	1099.41347	7.22961	47.63555	7.17365
17.36870	9.11583	3.74589	8.86919	10.28030	10.15175	5.13910	1.00000	8.43504	66.50892	25.94580	41.9001	-71.08977	12.24664	1086.78665	9.08106	35.45499	8.85987
39.74896	6.69113	0.76123	8.74274	6.65084	8.12452	8.64696	1.00000	8.10070	55.13037	3.07632	43.71032	-1.05366	8.43951	1057.36486	5.48263	44.62203	8.00044
53.43914	10.03009	9.52394	8.05253	8.73428	6.57921	10.72258	1.00000	8.63362	36.27918	2.44519	36.92574	14.72443	8.63966	1137.60689	6.61057	48.29273	9.16837
45.50481	8.53050	2.38152	11.04998	5.29598	9.34620	6.86978	1.00000	8.15894	65.88302	13.31698	55.8736	85.4265	5.28384	1057.43976	12.33430	47.08402	8.36720
37.73443	9.65452	6.52066	8.61824	9.65959	7.32349	7.51177	0.00000	7.61729	50.30995	16.53739	49.97704	9.15214	7.38755	1183.67712	9.80081	49.75733	8.21098
56.89270	9.73335	6.83235	9.08993	6.82736	8.13733	6.04238	1.00000	7.89628	40.69860	2.95185	12.74482	4.52514	11.70247	1141.09024	8.12026	54.46152	8.94793
38.71229	7.32425	1.25487	8.51119	5.01364	7.14709	9.39598	0.00000	7.99036	50.39855	26.75888	23.07492	88.28637	8.31030	1199.70539	10.35863	49.77255	6.20168
47.87166	6.30593	0.66789	9.85644	10.40894	6.53499	5.42908	1.00000	7.88862	45.12812	19.72940	26.2649	81.54855	9.81315	1069.03178	4.80048	45.47920	7.88647
59.28822	7.36262	1.12384	5.70378	9.97686	12.44289	8.91879	1.00000	7.86191	38.94565	10.13807	34.86472	117.55417	4.37275	1160.63315	7.93431	63.86534	9.36937
31.29122	7.96747	1.64453	8.57547	7.89945	11.91532	8.07104	1.00000	8.22609	35.11414	10.46317	52.21099	7.02238	8.43685	1079.81158	6.34593	44.74916	7.95562
48.73849	9.92011	8.13700	8.17282	6.78758	8.76710	4.93108	1.00000	8.92118	42.97348	16.69711	-4.06667	37.73333	10.95822	1160.95673	5.98540	43.00071	8.69717
60.08461	10.85449	20.31757	8.02160	9.24153	9.61768	9.80524	1.00000	8.95217	48.18417	25.92130	-3.20333	-52.20639	8.21082	1094.95489	6.65245	60.47857	8.80602
22.93786	8.27570	1.86366	8.34224	10.77868	5.51080	4.36208	1.00000	6.43451	48.74447	14.85393	31.84568	-102.36764	9.87222	1176.06309	7.06551	62.42449	7.55919
45.36078	9.26508	4.01590	7.32675	5.82289	7.88686	9.86542	1.00000	9.34987	22.79129	7.84085	-10.91722	-37.65	4.87097	1180.98018	7.69804	80.02503	8.37074
44.55903	7.89841	1.67267	8.45001	10.44717	11.30337	9.99054	0.00000	7.67992	61.06313	23.35880	-8.73508	24.99798	7.32585	1151.06084	8.54354	81.26719	8.22491
58.13423	9.75484	7.26664	10.81373	10.89153	6.91057	9.12206	1.00000	7.36467	41.64451	21.46674	-22.92306	-53.13722	8.60879	1198.48771	7.79821	53.35703	7.90396
25.01844	6.84699	0.65971	10.88428	9.62941	8.65506	7.42470	1.00000	10.99424	46.43804	-3.01027	48.43174	17.8031	10.25529	1125.69256	8.29778	43.60426	8.21754
37.01808	9.60981	5.99099	8.83096	5.77317	7.00670	9.96005	0.00000	9.96981	59.60908	6.21176	55.75556	60.70278	6.28038	1070.21534	9.90885	29.92748	9.23128
49.15246	7.41314	1.00030	8.75614	5.47980	7.97721	8.03194	0.00000	9.64770	50.79060	7.87865	30.29184	71.67164	9.34184	1074.50530	10.90629	49.69642	7.21812
40.59767	7.61353	0.85716	6.99475	10.45761	8.11629	7.53567	0.00000	9.60998	51.62910	11.51013	55.64776	38.02486	9.18899	1157.06930	8.82714	56.98612	9.62399
36.94018	8.95845	3.95631	6.92874	8.41539	6.17054	6.72469	0.00000	7.73283	43.75781	2.97295	40.58654	-122.39168	7.07807	1099.99096	7.38222	56.62179	7.68256
58.02242	8.92747	3.55735	12.60779	11.11921	5.94267	11.88646	1.00000	7.90799	43.09478	13.72322	-20.25333	-43.80139	6.77782	1053.25175	4.16520	36.19535	8.05401
29.84391	8.11274	1.82366	10.38047	8.84740	7.60326	7.68709	1.00000	8.62923	58.81668	23.51720	12.04161	75.35927	9.88312	1154.26402	6.63265	55.33423	8.22849
53.48014	9.31957	4.42072	7.44541	11.74387	10.56452	8.75987	1.00000	8.00346	36.83993	27.33961	40.63316	-74.13653	9.37206	1169.10370	5.61489	56.54315	7.78170
60.15261	7.44629	1.02845	5.77447	11.50470	6.48660	12.51936	1.00000	8.35245	64.09343	18.62205	-27.76952	30.79165	6.87664	1129.21940	7.63491	57.39913	8.56810
34.07007	7.97954	1.88774	5.74041	9.74441	7.02264	5.78716	0.00000	8.70614	39.81209	18.81676	39.43534	-84.20299	7.91299	1104.78062	5.74546	64.02468	8.19469
34.52479	5.98479	0.59834	9.19868	9.77351	9.80787	10.39023	0.00000	7.73369	56.89086	21.87929	49.88307	-119.48568	6.34622	1052.60995	7.94983	51.66300	8.74476
44.88357	7.78937	1.54604	10.53088	8.67934	7.60929	8.97845	1.00000	8.98861	43.63925	12.14269	35.82756	137.95378	9.54826	1172.26299	7.50464	37.83333	9.75969
53.06376	7.03790	0.85727	5.05146	11.27967	11.92262	9.46666	1.00000	10.66392	43.89128	3.32063	28.88162	120.03308	5.42301	1170.79064	8.21602	65.16482	8.15385
51.42935	7.27637	0.73212	6.52676	8.97287	9.91298	9.87455	1.00000	6.95029	58.81998	10.51765	42.7392	-84.62081	5.49116	1099.55639	7.32548	46.80745	6.82577
27.86047	8.84304	2.92860	11.40819	6.71369	7.99175	8.54665	0.00000	8.89060	66.74268	25.71005	52.2	8.63333	5.50606	1086.90783	11.66226	34.54718	6.96059
51.15488	9.32189	4.85691	6.28761	10.49266	6.68295	5.81611	0.00000	7.91802	51.80557	1.56702	30.35028	112.19028	8.28745	1150.39373	7.63783	25.51174	8.39154
44.29197	7.57253	1.25706	9.93425	8.72426	7.93655	9.28023	0.00000	9.76418	39.58513	24.51782	50.50301	13.63617	8.39267	1107.30791	9.06815	44.84107	7.35725
44.03316	9.14463	3.93174	13.32899	7.37561	8.50780	8.18297	0.00000	9.65046	66.24076	15.85567	41.29444	69.67639	4.67775	1132.95702	12.27392	59.45134	8.46297
47.58050	6.53486	0.47551	7.72873	8.00017	3.42346	6.61527	1.00000	8.60272	25.84077	28.75517	31.28092	74.85849	10.18509	1197.92103	10.19808	49.52777	8.27425
50.64619	9.32708	5.27329	6.24677	6.65323	9.31678	10.53907	1.00000	7.84900	49.27029	0.71634	5.20856	-74.73584	2.77711	1056.03430	8.39584	35.47302	9.82105
70.60394	8.37916	2.08552	9.70520	7.95233	12.06798	3.85717	1.00000	9.47119	60.11970	9.36897	40.57788	-73.95958	12.86470	1073.38257	6.74011	58.07468	8.67905
67.45092	10.16316	10.43527	10.74057	13.30454	4.87509	8.15950	1.00000	8.63675	49.97534	25.48418	-31.4488	-60.93173	8.31408	1115.62529	5.95404	17.34561	7.47898
23.19824	9.10422	3.79046	6.72226	14.75760	12.09688	11.30409	1.00000	9.29605	54.87275	9.89716	40.57788	-73.95958	8.10028	1094.73375	8.70783	52.53130	10.21537
42.55458	7.17065	0.99942	11.08000	11.54463	8.37332	8.15899	1.00000	9.48166	40.27463	15.34302	28.88162	120.03308	9.37128	1172.76130	7.42704	62.45541	8.52738
65.91144	8.86526	2.97780	7.97267	6.72991	7.88192	11.90581	0.00000	9.95077	31.83728	12.62456	43.11667	1.6	7.52401	1126.42244	9.81208	83.40521	8.54379
47.70745	7.99833	1.26798	9.43628	11.37744	5.98239	5.37220	0.00000	8.44637	38.57155	21.89516	-2.68333	33	9.97514	1119.68736	8.26456	69.98692	10.55443
32.34252	7.30444	1.06187	10.15327	5.84162	8.83183	8.42496	1.00000	9.85800	24.80259	6.08544	-3.5403	118.9707	10.08378	1162.20359	4.92661	39.16434	9.93798
41.34687	10.56407	15.42434	7.28306	9.97912	7.18149	6.02003	0.00000	9.62687	45.58507	19.88881	59.37722	28.19028	7.44418	1093.25350	8.36413	56.31921	7.04689
32.52239	10.52210	14.44525	7.63061	9.90911	8.66622	9.89203	1.00000	9.69375	43.46388		31.96258	73.97117	9.79501	1133.16118	6.72586	42.06158	8.35768
20.01243	7.81388	1.35817	4.83773	14.28877	11.88327	3.60848	0.00000	7.12684	45.59799	3.77869	-44.39672	171.25364	5.80725	1054.83460	5.81360	43.62879	8.68941
49.75341	10.53506	14.84141	11.46762	8.58790	5.55500	10.67292	0.00000	9.12287	51.85705	4.30037	61.78491	34.34691	9.10652	1135.80666	8.85524	72.54281	8.44447
34.73962	7.60799	1.16523	9.86264	10.76178	5.64981	8.58605	1.00000	7.85460	31.30107	41.48810	31.78336	35.23388	9.16352	1092.83764	8.26490	78.21614	7.74360
62.15921	10.42485	13.22836	9.24414	10.15202	8.55800	4.82951	1.00000	8.24212	56.94928	19.04141	21.28306	-89.66123	10.89834	1057.69970	7.25332	51.12965	8.89055
50.50394	8.36234	2.35394	7.03534	10.11677	12.33629	8.94901	1.00000	8.01910	74.65906	17.77760	22.49396	-105.36369	9.21882	1187.32434	5.28444	57.48909	9.10580
28.02921	7.79836	1.55774	10.91971	9.59481	4.39910		1.00000	9.84502	52.66702	9.50250	40.60538	-73.75513		1117.05375	6.65821	43.12048	10.83778
29.28397	9.18548	4.22034	7.98161	10.30822	9.70872	7.96671	0.00000	7.94156	60.12253	13.15992	33.93113	-117.54866	5.18254	1098.04726	6.21032	50.97821	7.57991
46.32063	8.68445	2.57274	7.63870	10.60520	10.36869	7.98955	1.00000	8.44389	62.60291	-1.14639	6.8485	3.64633	10.52285	1081.74311	5.18287	43.42861	9.22860
28.24030	8.82191	2.89126	8.99801	8.82516	9.76162	8.05741	1.00000	9.98299	39.07049	2.63225	43.71032	-1.05366	10.15540	1167.52798	5.49762	45.86910	7.82482
41.27614	8.99654	4.10651	8.25923	7.60645	10.70412	3.80224	1.00000	8.52551	26.00809	12.61817	22.37066	114.10479	12.28919	1107.15588	4.89959	56.25037	7.77154
43.59352	8.83020	2.95429	8.18943	7.12349	6.35813	11.51026	0.00000	9.75440	36.69110	4.64376	-8.73508	24.99798	6.76002	1187.07607	8.63945	50.98423	9.71886
46.63870	7.00013	0.81745	6.41058	13.09808	8.71356	10.81615	1.00000	7.47453	43.54584	20.14184	6.45407	3.39467	6.54128	1119.55928	8.98734	46.11606	8.69136
31.23034	8.26826	1.63870	9.78482	10.23398	11.05967	9.02677	1.00000	7.81391	62.41057	34.24371	26.2649	81.54855	9.76618	1165.08597	4.54939	58.22815	9.54538
69.40063	7.50009	0.90552	6.21548	8.55574	5.46132	6.61452	0.00000	9.65086	33.83531	24.39513	43.61062	-72.97261	10.58640	1199.12769	7.98741	35.65119	10.22113
37.88425	8.09349	1.67989	5.74475	9.95785	6.88382		0.00000	8.93299	51.15745	6.97075	37.73604	-120.93549	7.12544	1169.76128	6.07174	59.13135	8.84808
46.58832	9.33282	4.60370	5.18344	10.40817	8.27573	11.72935	1.00000	7.76952	54.73311	19.29617	4.94273	15.87735	3.50475	1151.61336	9.83948	38.49303	9.58389
23.42858	10.01582	8.82833	8.22191	10.55609	7.98426	7.96607	0.00000	9.07209	56.16670	11.60278	53.83333	-2.98333	8.18691	1109.56462	9.64635	37.83071	9.04017
31.77504	10.28763	11.38260	6.01157	10.23605	11.21253	9.14890	1.00000	8.10627	25.78989	3.01989	19.04222	-98.11889	6.92564	1092.39979	9.16229	76.42658	8.32886
22.26549	7.05384	0.84141	9.47857	8.77160	8.01163	6.96234	1.00000	8.34361	53.73252	16.14080	-24.19436	29.00974	8.80728	1174.71265	7.68042	56.47517	8.08218
62.61598	9.69034	6.59104	6.36744	10.24181	7.64640	6.92913	0.00000	8.12715	58.61157	25.61231	15.72892	120.57224	7.16762	1120.13953	6.30325	59.94687	9.66896
52.38358	8.59757	2.45506	8.63859	10.99910	7.97992	8.04374	0.00000	6.65741	41.49667	15.13001	48.98333	2.61667	8.02746	1103.65916	10.26132	49.38070	7.61812
39.49760	9.61050	6.29304	8.52343	8.47487	5.79146	6.42283	1.00000	9.21978	52.10821	7.14639	48.90472	2.2469	10.40629	1198.33382	7.90013	58.56919	7.88085
30.15847	10.22465		6.51047	10.33915	7.67991	6.18101	0.00000	9.63127	65.70648	11.30067	-19.72806	-50.19556	5.14683	1146.93678	6.56365	42.78638	8.75837
