H2CO	NOx	C2H3NO5	PM10	latitude	O3	PRES	TEMP	PAHs	longitude	Pb	CFCs	PM2.5	warning	SO2	NH3	CO	CH4
62.34369	6.79042	1.33595	6.94976	50.79205	8.63794	1135.74447	19.72089	7.45504	-1.08593	90.77613	8.61739	10.35287	1.00000	10.05102	9.63122	7.07225	7.25798
35.08363	8.22496	2.13068	8.04437	51.38673	8.81468	1060.50376	2.40356	7.73758	0.30367	47.97926	47.66589	7.61289	0.00000	5.47666	9.72882	8.34540	8.87837
58.00330	10.01150	1.65929	7.06923	-17.73648	8.13229	1087.53151	11.41141	9.83674	168.31366	66.00200	42.75324	8.31212	0.00000	8.63527	9.12990	6.17590	10.23702
48.40102	6.89609	1.68626	7.59614	22.49396	8.81917	1115.65393	14.08074	7.60978	-105.36369	52.13981	42.54643	8.23478	0.00000	4.54944	10.15239	7.51198	9.24301
47.36577	9.66937	1.89581	7.12616	34.15429	8.07049	1191.17732	26.72397	7.86090	3.50309	54.53328	23.51056	6.94663	1.00000	6.81975	7.10503	6.43995	6.57515
36.38206	5.81464	10.01652	9.72987	46.32374	9.59554	1184.37006	23.33798	7.82401	-120.00865	67.37735	37.91081	9.11669	1.00000	8.90443	8.31116	9.45179	5.91248
64.51278	10.82214	2.08409	7.59591	23.29549	7.52082	1151.55255	15.43327	11.91854	113.82465	56.16806	66.37082	7.52709	0.00000	5.70604	9.88152	10.72310	10.18024
39.04543	8.25632	6.22410	9.11687	38.68712	8.74301	1156.36964	28.22889	5.98569	-4.10734	61.52893	63.23367	10.01135	1.00000	9.32767	10.71319	8.63161	7.39106
43.44183	6.97039	2.32501	7.65337	48.79325	8.32543	1136.59491	17.30297	5.68117	2.29275	44.62682	10.45074	7.92617	1.00000	6.87023	11.35630	9.05448	8.82177
69.27451	5.13054	4.38577	8.73344	20.74122	7.81850	1171.67971	8.06279	6.97943	-100.44843	58.68064	37.83958	7.71859	1.00000	5.38602	4.68094	8.87770	11.72111
67.15418	6.87498	11.44405	9.79431	25.49043	7.05153	1110.37704	19.31166	7.20198	85.94001	58.73852	49.17763	9.21704	1.00000	12.33009	11.05188	8.45159	7.07746
46.18292	9.22717	6.51161	9.30728	35.85	9.71217	1058.36796	13.55538	9.55390	117.7	79.58600	56.97018	7.18775	0.00000	7.46347	9.05166	8.28891	7.98268
54.44266	7.58745	6.61433	9.26619	10.98778	8.33319	1193.51855	10.07934	8.32871	-74.95472	62.38955	58.04317	7.56431	1.00000	8.00743	10.29639	10.52392	7.33837
67.63502	7.22091	4.51823	8.89275	40.92298	8.48188	1063.36513	23.54384	6.18638	14.30935	54.05632	32.52520	10.02401	0.00000	9.05895	9.07024	6.41516	6.98105
46.46393	8.30221	3.18000	8.20965	51.12794	10.26404	1104.25907	4.10340	6.22181	4.21372	74.43542	43.66819	9.10802	1.00000	8.02504	12.00791	8.85622	8.67330
68.01181	7.50410	1.25787	7.09038	29.98869	8.72653	1099.01546	1.19374	7.94519	122.20488	83.71189	39.99933	7.97046	0.00000	5.53243	10.35980	9.57230	9.61063
59.11766	6.66773	2.43448	8.00029	-25.54073	10.24323	1185.82486	10.09265	6.97176	152.70493	30.72728	55.74741	4.68240	1.00000	4.85366	7.43260	6.96341	10.01174
28.89941	6.91858	1.59600	7.21358	48.35149	8.74847	1178.88957	13.19434	6.26392	8.96317	50.82673	56.67928	10.48561	1.00000	8.02357	8.63971	8.95386	5.87517
28.14192	5.93633	6.54521	9.23176	60.02427	7.42023	1074.09960	21.35588	7.60344	30.28491	35.80511	59.29897	6.64645		6.99590	7.04880	8.13669	9.47311
60.52846	6.38117	7.39169	9.32825	51.95838	9.18090	1147.19587	8.49683	3.41156	4.47124	52.75647	56.25543	6.17934	1.00000	6.47701	4.53834	8.93592	12.44961
48.03872	5.56395	7.01398	9.28897	29.69221	8.19815	1180.99904	28.56015	8.80070	72.54566	43.10077	56.41797	8.64676	1.00000	10.13791	9.94748	6.67115	6.40536
66.91827	8.89974	1.74889	7.46923	-19.7625	7.58130	1119.48240	17.15599	10.75043	-44.31389	43.50804	31.20960	6.36217	0.00000	6.44486	9.53670	7.29322	9.48984
54.50231	6.24412	2.17824	7.67311	36.72544	6.97369	1155.52729	8.89301	7.41110	3.55665	39.73867	53.73903	7.72530	1.00000	7.27738	6.79361	7.91988	10.03452
62.99070	4.69157	2.85645	8.28618	14.37395	7.98827	1145.82693	27.91188	9.43669	100.48528	50.40365	34.84797	8.61393	0.00000	1.32197	9.25804	8.69112	10.47246
53.64827	8.88646	1.77378	7.61677	48.86667	7.64032	1143.60880	33.09035	7.48831	2.08333	53.73573	46.49343	6.70332	0.00000	7.52899	9.76551	8.23655	9.51420
57.31236	7.80246	5.00617	8.92511	53.38333	8.69030	1182.24622	14.70868	5.65685	-0.76667	45.40770	55.90603	7.21451	1.00000	6.18530	4.13148	7.62625	10.26807
39.29887	6.49855	3.35963	8.19972	27.55898	6.17344	1052.04884	25.68725	7.59425	68.21204	55.88889	59.78696	6.06888	1.00000	6.46812	7.94056	9.09375	8.92123
53.07250	8.18035	3.25434	8.59150	0.46005	9.33676	1174.61327	3.15146	5.87916	34.11169	30.61461	69.24071	7.74533	0.00000	7.00850	12.00908	9.91675	9.14363
70.94650	3.39656	3.40280	8.18320	35.82756	9.25660	1172.48814	11.08164	9.13982	137.95378	52.01722	73.74348	9.07586	1.00000	6.35172	6.06976	6.50581	10.94285
26.58018	9.14061	2.25049	7.98732	-7.81667	7.35614	1136.88857	31.58953	6.57638	112.01667	55.87111	50.52843	6.64777	1.00000	7.09391	6.47644	5.61005	7.82033
36.98166	7.73734	14.41302	10.05797	-2.90055	6.15897	1127.35444	7.05803	6.72015	-79.00453	47.90048	42.36673	5.22827	1.00000	6.54094	7.72652	8.61725	9.05531
39.72727	8.72601	22.37561	10.54941	40.2737	10.37041	1109.56827	34.96086	7.47530	-76.88442	56.74675	55.19064	4.77456	0.00000	7.64481	7.23521	9.29295	9.46977
45.76638	5.97750	2.00569	7.53538	41.16704	7.98646	1198.85102	24.59861	6.91237	-73.20483	26.50494	60.86690	7.26701	1.00000	6.71194	6.32772	9.74884	10.89960
41.71777	7.98598	2.25776	7.46839	27.55898	9.26884	1169.03536	11.44020	3.45936	68.21204	51.83841	62.76132	6.62737	1.00000	8.76248	5.00751	7.17751	10.90174
82.46028	6.46592	1.66600	6.79303	33.52253	9.23384	1139.35627	13.50120	6.93450	-117.70755	32.33822	51.44257	9.32045	1.00000	9.51778	9.47772	6.77797	6.17678
52.68589	5.95598	4.50193	8.83451	51.78771	8.35290	1191.71813	3.58882	5.57361	56.36091	41.39802	27.87977	7.67304	0.00000	8.13016	10.84750	10.37343	9.64436
37.48530	8.06359	10.64475	9.79417	52.61131	8.57091	1156.15330	24.11612	3.79549	13.31783	50.61954	45.85324	5.35993	1.00000	6.92931	5.78320	8.00774	11.23020
64.77743	7.38515	2.00945	7.77753	34.31	8.04040	1187.55423	5.28255	6.96815	-2.16	53.37638	47.00426	11.17683	1.00000	10.26576	8.01004	9.10087	7.14883
48.11621	6.78184	6.64801	9.24420	9.89206	6.46761	1190.57620	10.42142	5.63342	43.38531	64.35356		11.72507	0.00000	11.42473	9.29446	8.66683	6.92875
51.85710	8.58247	11.00152	9.79950	36.64852	9.10012	1079.79992	12.54282	8.66190	51.49621	48.59961	41.83840	6.24105	0.00000	7.11619	8.47557	9.47400	10.04726
38.47346	7.99070	23.53027	10.58664	10.66668	8.59745	1070.97664	14.05996	6.81472	-61.51889	56.36975	69.89754	6.92393	0.00000	6.37593	9.98746	7.94427	9.27239
33.05302	9.84890	2.60474	8.10852	55.63711	8.23079	1133.25449		4.92621	37.38115	62.10890	57.25377	8.34159	1.00000	6.83192	10.88964	7.84474	7.04278
71.06746	8.94565	3.33888	8.38273	12.25282	8.98365	1050.14439	18.86655	8.64732	79.41727	67.25552	57.43864	6.86612	0.00000	8.04285	9.42412	8.71590	10.97304
64.61561	9.96022	5.20078	8.96368	41.16704	8.59900	1083.23733	8.89520	5.48597	-73.20483	38.97845	44.09625	8.04459	1.00000	9.94568	8.09711	7.33766	9.10342
36.07855	9.24313	5.43373	9.15161	6.15038	9.69059	1135.48627	13.85636	6.00575	6.83042	58.88162	32.87197	9.52003	0.00000	7.64563	13.72828	7.05598	7.97846
69.67509	3.64450	6.15440	9.15778	-5.41667	7.31661	1154.63935	5.39722	5.66736	38.01667	72.11475	51.86887	6.27120	1.00000	3.50639	3.63473	9.86726	12.98874
56.92821	4.90517	2.18212	7.97954	51.40148	8.09783	1082.57177	28.39365	6.44448	-1.32471	38.36822	41.39830	11.56741	1.00000	10.27158	9.09849	8.58356	6.68617
45.33915	5.80215	1.23038	7.46736	36.72544	7.55158	1140.06661	10.06231	6.68475	3.55665	64.76096	29.48377	7.76868	1.00000	7.46419	7.50901	7.48496	10.35130
17.34892	5.57492	3.49749	8.57251	55.64776	8.22157	1084.74685	6.98368	8.48423	38.02486	59.29296	63.47181	5.20071	1.00000	6.04640	8.88462	8.73495	9.73241
54.77300	3.37026	3.38935	8.48523	43.96222	7.98103	1055.20902	24.00554	6.12278	43.63417	54.35259	56.34323	9.63075	0.00000	5.90221	12.68070	8.52441	10.70379
43.07796	6.99035	6.58831	9.18394	39.59611	7.97256	1187.28726	8.18281	6.02000	27.02444	66.12647	28.33458	10.21952	1.00000	10.58637	10.81631	7.67510	6.67343
63.97883	7.04553	2.14721	7.55632	16.0438	10.01708	1122.19610	-1.41644	5.44989	120.4861	40.78495	28.22216	7.66483	1.00000	5.13076	4.61113	7.44814	12.71190
65.18150	6.64725	6.53331	9.32130	68.79833	9.04565	1126.08654	29.68521	12.48789	16.54165	48.32722	55.76937	4.55243	0.00000	4.85068	9.47755	9.13268	9.36056
42.99568	5.91302	1.26111	6.91989	46.23899	9.07014	1175.56785	34.56515	8.35987	-63.13414	49.73284	62.99756	7.27738	0.00000	7.58180	9.08044	8.52822	10.87694
60.35534	7.11335	3.21969	8.36923	-4.5833	9.20941	1068.55575	32.06875	8.67340	15.16554	54.42613	34.40146	6.97696	0.00000	6.24626	8.86160	7.46381	10.37351
55.78407	9.32816	5.56222	8.99825	0.03813	6.96363	1195.32345	-3.36940	14.34377	36.36339	63.78052	55.34363	5.86040	0.00000	4.36025	10.88956	6.82255	7.69017
44.50147	10.29513	6.49599	9.18730	41.77583	9.51112	1074.78150	-0.49053	10.11031	140.73667	60.08142	43.12180	7.48188	0.00000	5.73217	8.49267	8.60589	10.91112
52.34371	10.91756	2.75682	8.29808	34.8825	7.80644	1160.66786	10.48413	9.63904	128.62667	40.62425	50.26163	8.06422	0.00000	7.77722	10.22327	9.92367	7.73631
63.33390	7.20168	6.75892	9.27917	-8.28333	7.53731	1197.60387	25.12175	7.38697	-35.03333	52.99074	52.21768	7.34931	1.00000	7.23525	7.58167	9.83667	9.06270
40.22814	9.59805	3.26627	8.52308	22.83957	6.73581	1102.01709	13.64757	9.18711	91.84128	54.70569	50.67296	6.41144	0.00000	6.07309	9.02745	9.43008	9.62815
31.46022	7.39069	0.63858	5.74193	38.07789	9.31752	1063.56259	21.79488	8.56799	13.44275	49.99270	81.62303	8.33955	1.00000	10.07325	9.44761	7.30478	6.65644
68.04580	7.69655	14.30844	10.07278	51.08468	8.10973	1094.60364	14.27373	10.99031	7.11393	54.95404	76.29107	6.59131	0.00000	8.77484	9.35754	8.34026	8.24060
46.02507	10.58035	1.94795	7.15262	42.64031	6.98227	1158.29659	15.69065		125.51176	49.91534	34.77828	6.22983	0.00000	4.15408	10.08381	8.17723	10.23471
48.20598	8.99197	3.95500	8.71612	41.9001	7.31966	1076.68873	6.94144	10.06668	-71.08977	33.49730	32.73994	5.46774	0.00000	4.10992	9.08305	8.29829	6.26581
56.60221	6.76423	4.52802	8.85430	50.82882	8.70214	1175.38329	32.83479	7.45088	-0.32247	70.89375	81.97544	7.19940	0.00000	7.91384	9.15646	8.99810	9.72828
45.47431	7.24236	5.14266	8.93100	30.46907	9.88879	1157.60095	13.91534	8.86664	70.96699	35.75360	50.85100	6.95589	0.00000	6.92937	9.20678	8.46701	10.78800
15.20643	6.99032	9.18497	9.66459	36.75965	9.12306	1162.87920	4.25599	5.30108	137.36215	42.74507	23.46516	11.96426	1.00000	10.11003	10.10130	8.01933	6.57492
32.44104	5.57011	1.69075	7.80509	53.63333	6.94140	1056.25723	14.68433	7.70130	9.85	60.00610	42.40920	9.82450	1.00000	10.33750	10.06637	9.25441	7.15755
66.52054	9.26259	3.67811	8.47408	-1.63333	8.61417	1126.04437	21.77325	10.60256	13.58357	90.19071	43.11375	6.56995	0.00000	7.57586	10.94736	8.43034	8.05091
58.40563	7.15932	1.31948	7.30435	52.41667	7.65613	1108.10697	-4.07106	9.81633	0.75	52.74621	29.04977	7.96067	1.00000	9.09049	10.54952	9.26522	9.73641
42.85923	6.77099	1.62053	7.46033	23.1959	7.44904	1129.99223	9.07671	7.77725	86.51499	51.23139	47.01200	8.33459	1.00000	9.09128	7.50097	9.06256	5.56579
66.92842	7.24719	6.21367	9.13453	48.98994	6.70068	1142.16489	25.75788	7.96375	2.1699	41.23669	41.39983	10.82341	1.00000	8.14328	9.30090	7.75190	7.42868
52.40110	4.58105	1.56825	7.80586	36.61954	8.05969	1107.36368	18.12258	10.37533	4.08282	69.26040	73.25577	8.25492	1.00000	5.85816	9.16425	7.94202	11.01746
48.63761	10.65104	1.64049	7.49221	32.9156	8.27844	1132.30860	5.39527	9.67317	-117.14392	62.50316	53.53594	7.37428	0.00000	6.02481	9.92043	8.06859	8.32606
37.73954	5.82570	8.32718	9.47141	-22.45667	7.77917	1087.95110	2.10384	8.53270	-47.53028	54.17860	34.00848	7.54168	1.00000	7.78624	8.03372	10.85175	9.11656
70.22248	10.54682	1.35758	7.13380	-21.98333	7.76638	1183.45919	12.09128	10.52126	16.91667	72.16430	47.80706	8.32195	0.00000	7.66425	8.64359	8.55871	9.11969
37.99329	6.46343	2.51985	7.83474	47.56494	8.47370	1083.10633	12.01631	6.26652	31.33078	37.64129	58.37187	12.44126	1.00000	10.36112	9.39002	9.68210	7.67755
66.30726	8.47837	2.15585	7.74309	37.65639	8.26964	1136.26091	3.75552	5.97264	126.835	56.46790	35.38886	9.43337	1.00000	7.20725	10.04603	8.81715	7.14149
55.69832	3.89336	7.90334	9.46799	0.51667	9.48968	1140.12170	19.57875	4.48538	101.44167	70.79931	50.45971	6.25962	1.00000	5.41876	4.93069	8.84056	12.70795
42.27917	9.24781	8.63398	9.50165	38.58894	8.67939	1158.41131	18.39150	11.04700	-89.99038	38.67569	49.15203	6.07332	0.00000	5.30361	9.66573	9.94059	10.30127
44.37721	6.78240	4.33239	8.72292	14.37395	9.24331	1101.40134	11.77179	9.47604	100.48528	53.50890	41.94825	7.65377	1.00000	9.84170	10.90785	8.16890	8.98587
49.11687	5.99660	3.39315	8.64629	-25.42944	7.97428	1069.15717	13.89087	6.59618	-50.00639	65.97750	53.54991	6.59928	0.00000	7.45578	8.97583	8.79990	10.10160
54.88573	5.90129	2.90319	8.22412	48.06919	8.33007	1177.22187	29.88181	7.85753	11.37703	51.71886	37.67343	11.37644	1.00000	7.42931	7.72571	7.58242	6.85588
44.22240	9.14751	2.22436	7.56980	46.65581	8.05591	1134.83532	12.59639	8.61997	32.6178	53.66367	38.38964	4.60576	0.00000	8.32815	6.42674	8.69591	9.89498
51.56718	10.39967	1.38817	7.21573	5.27247	9.33040	1195.99050	11.12460	9.39520	-3.59625	68.41360	37.01163	8.14769	0.00000	7.17203	8.36796	7.04974	10.67380
48.93313	6.10634	5.84912	8.92434	45.75279	7.93056	1141.19581	15.79912	7.23718	130.57211	49.55060	37.81992	6.87756	0.00000	6.51903	8.83960	8.28802	10.04233
58.63470	6.23015	6.42349	9.17782	47.4943	9.59390	1100.32431	1.33925	6.86755	-122.24092	81.38592	41.39863	6.63500	0.00000	7.93704	9.31321	9.71298	10.28928
55.34233	6.75256	5.16106	8.92380	6.9909	8.29490	1050.76062	12.49702	7.81063	79.883	29.13738	57.48743	9.32064	0.00000	10.54222	9.05902	8.86857	6.47274
48.96842	8.07041	1.31206	7.70552	29.53885	8.33382	1099.56398	2.21598	6.13958	-95.44744	42.63324	63.30938	10.54551	1.00000	9.24458	10.05443	10.09200	8.11367
41.31180	7.21784	2.39726	8.25696	51.39148	6.69410	1182.20665	13.91437	5.54497	-0.29825	25.10676	67.22577	10.31449	1.00000	9.16108	9.49478	10.30579	6.59005
64.78504	7.30896	1.50925	7.12120	39.46667	9.89936	1171.19242	14.86304	6.69245	141.95	70.59588	30.58915	11.01798	1.00000	8.35769	8.23401	7.61150	6.57727
45.07230	7.46838	1.38975	7.12427	-1.63333	9.12798	1189.31658	18.82347	6.96230	13.58357	37.73389	24.11423	5.56216	1.00000	7.00546	8.92686	6.80265	9.63419
59.46582	7.79462	3.58456	8.55399	24.05979	7.97041	1053.76876	18.05035	6.48074	77.40858	87.42663	24.12557	7.70706	1.00000	8.27390	7.62276	8.63293	10.07550
66.12180	7.98196	4.97535	8.83869	-1.26424	8.86625	1098.98291	15.87340	10.00980	104.09701	50.23052	32.51528	7.48807	0.00000	9.44169	9.03382	8.69448	10.47772
33.52207	3.82800	1.55036	7.14253	-17.74431	8.47924	1062.50590	13.07458	6.73689	-48.62789	59.85894	33.57916	6.65995	0.00000	4.86381	8.82891	9.05375	11.08080
41.10640	9.16038	7.47107	9.46769	36.61033	7.86435	1056.71427	15.43549	9.03585	-88.31476	70.63956	55.52845	5.94125	0.00000	6.72116	10.13651	8.05623	8.18438
40.96863	7.89334	1.97127	7.52165	51.04962	9.29202	1144.92072	24.36042	5.25944	12.1369	52.11769	59.02633	4.97984	1.00000	4.38290	5.66033	9.67252	11.65540
61.20591	3.15343	1.67685	7.48127	23.0072	7.48705	1169.35771	25.95996	9.11245	-82.4017	41.79921	41.32123	4.13437	1.00000	3.53158	8.16931	7.58146	9.69752
70.92287	7.83973	2.40307	7.89379	48.77275	7.21800	1189.65282	10.45725	9.46952	5.16108	57.57759	41.26538	5.25123	0.00000	7.56338	7.33288	9.08310	11.50088
50.12474	6.24189	4.16469	8.60846	19.64745	7.51990	1137.61431	11.04871	6.76023	-102.04897	49.53778	42.44036	8.60526	1.00000	9.69842	12.04162	7.06444	7.63389
45.91197	8.65342	2.97941	8.43417	45.44694	8.10448	1156.55933	11.81969	6.06130	8.62118	47.51184	67.82689	9.99213	1.00000	8.39145	5.02506	9.70759	10.07248
