revision	code	longitude	latitude	QoS	location
2013/06/20	US	-77.96389	39.45621	excellent	America/New_York
2013/05/01	FI	24.6522	60.2052	good	Europe/Helsinki
2014-09-24	CN	122.74754	40.85158	accep	Asia/Shanghai
09 Dec 2017	BW	27.46153	-21.44236	average	Africa/Gaborone
2016/07/06	UA	36.25361	47.48444	building	Europe/Zaporozhye
11/26/2012, 00:00:00	IT	8.55552	40.72586	building	Europe/Rome
09 Sep 2014	AZ	45.36561	41.09246	average	Asia/Baku
31 Jan 2021	GB	-5.53715	50.11861	maintenance	Europe/London
06/19/2019, 00:00:00	US	-118.03917	33.95015	good	America/Los_Angeles
2021-04-12	IN	76.35484	10.10649	average	Asia/Kolkata
04/21/2013, 00:00:00	GM	-15.6	13.56667	accep	Africa/Banjul
21 Oct 2021	PK	68.21204	27.55898	building	Asia/Karachi
08/23/2015, 00:00:00	JP	137.95378	35.82756	excellent	Asia/Tokyo
2018-06-13	AU	153.10236	-27.50578	building	Australia/Brisbane
04/24/2021, 00:00:00	GB	-1.99421	51.35084	good	Europe/London
17 Mar 2019	US	-116.56346	43.54072	average	America/Boise
2020-07-07	PH	121.3152	14.14989	good	Asia/Manila
08/18/2017, 00:00:00	BR	-38.94722	-15.675	maintenance	America/Bahia
2015-09-22	BR	-37.07167	-10.91111	building	America/Maceio
23 Mar 2014	CD	24.99798	-8.73508	good	Africa/Lubumbashi
02/26/2019, 00:00:00	NG	5.06258	7.50251	maintenance	Africa/Lagos
2014-03-24	TH	104.1451	15.79408	building	Asia/Bangkok
2015-02-20	ZA	29.00974	-24.19436	excellent	Africa/Johannesburg
10/26/2021, 00:00:00	AU	145.18333	-37.9	good	Australia/Melbourne
07 Jun 2013	US	-95.44744	29.53885	excellent	America/Chicago
10/08/2014, 00:00:00	JP	136.61667	36.53333	good	Asia/Tokyo
2013-01-16	US	-97.90308	31.12406	accep	America/Chicago
05/08/2013, 00:00:00	CM	9.00472	4.2475	average	Africa/Douala
03/13/2017, 00:00:00	DE	10.03988	53.6052	accep	Europe/Berlin
03/17/2018, 00:00:00	CN	112.19028	30.35028	excellent	Asia/Shanghai
2016-07-09	US	-120.43572	34.95303	good	America/Los_Angeles
2017-03-23	US	-95.44744	29.53885	accep	America/Chicago
11/28/2019, 00:00:00	NL	5.23333	52.09	accep	Europe/Amsterdam
04 Mar 2019	PA	-79.62603	8.88988	building	America/Panama
2013-05-10	CO	-74.95472	10.98778	good	America/Bogota
29 Oct 2020	PH	121.3152	14.14989	accep	Asia/Manila
2017-07-24	ET	38.01667	11.85	good	Africa/Addis_Ababa
2021-08-29	TN	10.58082	35.72917	accep	Africa/Tunis
2012-11-19	IT	9.40531	45.53069	maintenance	Europe/Rome
2014/08/03	ET	37.55	6.03333	maintenance	Africa/Addis_Ababa
22 Jan 2019	MK	21.32778	42	maitennce	Europe/Skopje
2019/05/07	RU	38.07083	54.90083	accep	Europe/Moscow
08/18/2022, 00:00:00	BY	25.8191	53.5942	good	Europe/Minsk
2015/10/08	IN	86.79271	25.92127	excellent	Asia/Kolkata
03/12/2017, 00:00:00	US	-80.31727	25.67927	average	America/New_York
02/17/2021, 00:00:00	ES	-0.76773	38.38479	accep	Europe/Madrid
2015/06/16	ES	-2.77259	37.49073	building	Europe/Madrid
19 Sep 2019	IT	9.32241	44.31771	building	Europe/Rome
2019-09-19	US	-89.99038	38.58894	accep	America/Chicago
07/22/2017, 00:00:00	IN	77.656	28.71271	accep	Asia/Kolkata
11/28/2014, 00:00:00	CN	116.11768	24.28859	excellent	Asia/Shanghai
30 Mar 2017	GB	0.30367	51.38673	accep	Europe/London
04/11/2019, 00:00:00	AM	44.7662	40.49748	maintenance	Asia/Yerevan
08/07/2015, 00:00:00	US	-84.20299	39.43534	accep	America/New_York
12/25/2017, 00:00:00	IT	12.38878	43.1122	good	Europe/Rome
2013/06/13	US	-78.87836	35.05266	average	America/New_York
09/07/2020, 00:00:00	RU	53.47103	54.48147	average	Asia/Yekaterinburg
2021/09/18	US	-76.88442	40.2737	maintenance	America/New_York
12 Sep 2019	US	-73.47429	40.68066	accep	America/New_York
2020/12/20	ES	-3.53261	40.42386	excellent	Europe/Madrid
2017/06/07	ES	-3.53261	40.42386	average	Europe/Madrid
22 Nov 2017	RU	59.80222	58.63667	good	Asia/Yekaterinburg
04/25/2021, 00:00:00	UZ	67.84222	40.11583	excellent	Asia/Samarkand
2017-04-05	IN	78.15794	12.1277	accep	Asia/Kolkata
19 Oct 2019	TR	27.18052	39.12074	accep	Europe/Istanbul
02/19/2015, 00:00:00	PH	123.99333	12.97389	excellent	Asia/Manila
2022-01-03	ES	-5.55835	42.64685	excellent	Europe/Madrid
2020/04/07	BE	4.52529	50.71229	accep	Europe/Brussels
05/10/2017, 00:00:00	US	-117.71978	34.09668	building	America/Los_Angeles
15 Apr 2016	MM	98.50893	16.68911	excellent	Asia/Yangon
02/04/2016, 00:00:00	IT	7.60872	43.78956	excellent	Europe/Rome
04 Jan 2015	RU	38.12408	53.77166	excellent	Europe/Moscow
20 Sep 2020	DE	10.18527	47.98372	good	Europe/Berlin
2019-05-02	JP	137.23333	35.8	excellent	Asia/Tokyo
2021-02-27	RU	53.47103	54.48147	excellent	Asia/Yekaterinburg
17 Jul 2020	RU	111.4834	65.93381	good	Asia/Yakutsk
2018/11/12	UA	30.96755	49.07866	average	Europe/Kiev
2018/09/13	BR	-48.62789	-17.74431	good	America/Sao_Paulo
11/05/2013, 00:00:00	TH	100.48528	14.37395	excellent	Asia/Bangkok
03/23/2016, 00:00:00	US	-93.12577	44.73941	average	America/Chicago
04 Nov 2021	US	-81.56929	41.55838	maintenance	America/New_York
21 Jul 2021	BD	89.11943	23.9028	good	Asia/Dhaka
12/20/2020, 00:00:00	US	-111.99633	40.65995	average	America/Denver
2019-10-24	BR	-46.99583	-22.97056	average	America/Sao_Paulo
2019-10-29	AT	15.46667	47.05	maintenance	Europe/Vienna
2014/02/09	KZ	84.87144	47.46657	accep	Asia/Almaty
2022/05/15	RU	111.4834	65.93381	accep	Asia/Yakutsk
2018/02/14	MK	20.91361	41.92361	building	Europe/Skopje
2019/09/29	GB	-1.5443	50.75767	maintenance	Europe/London
2016/02/16	FR	-4.1	48	average	Europe/Paris
04 Sep 2018	IN	77.70636	28.98002	average	Asia/Kolkata
08 Feb 2018	FR	3.87723	43.61092	average	Europe/Paris
2022/07/24	IN	91.00632	26.32293	maintenance	Asia/Kolkata
2021-06-16	PK	74.12286	30.76468	accep	Asia/Karachi
2015/02/10	DZ	1.04945	35.06544	average	Africa/Algiers
2016-12-19	PK	71.52847	32.57756	maintenance	Asia/Karachi
25 Jul 2014	DE	12.1369	51.04962	good	Europe/Berlin
2013-01-30	SO	43.38531	9.89206	accep	Africa/Mogadishu
01 Mar 2014	MX	-100.44843	20.74122	good	America/Mexico_City
2019/07/29	VE	-67.33122	10.22677	good	America/Caracas
2013/09/04	US	-118.03917	33.95015	excellent	America/Los_Angeles
2013/11/21	US	-71.06616	42.4251	excellent	America/New_York
26 Jan 2014	US	-84.62081	42.7392	good	America/Detroit
06 Sep 2021	CN	105.89333	34.56861	building	Asia/Shanghai
2022-07-24	IT	8.86374	44.89784	excellent	Europe/Rome
30 May 2018	RU	38.94324	44.98901	building	Europe/Moscow
02/23/2020, 00:00:00	AU	153.10236	-27.50578	good	Australia/Brisbane
2020/04/03	IN	77.40858	24.05979	excellent	Asia/Kolkata
2022-03-17	RU	30.28491	60.02427	accep	Europe/Moscow
07/25/2016, 00:00:00	IN	74.85849	31.28092	building	Asia/Kolkata
12 Jan 2019	UZ	72.34424	40.78206	accep	Asia/Tashkent
2017-06-16	IN	77.70636	28.98002	average	Asia/Kolkata
2019/10/19	CN	115.70111	37.73222	excellent	Asia/Shanghai
12/10/2018, 00:00:00	RU	43.83992	55.39485	excellent	Europe/Moscow
06/21/2018, 00:00:00	TR	40.74357	37.31309	building	Europe/Istanbul
2016/12/27	US	-88.64235	46.09273	excellent	America/Menominee
07/14/2016, 00:00:00	FR	-4.1	48	maintenance	Europe/Paris
02/06/2016, 00:00:00	NG	4.92235	7.65649	average	Africa/Lagos
2022-04-19	GB	-1.5443	50.75767	good	Europe/London
2014/11/14	TR	34.37389	40.1675	maintenance	Europe/Istanbul
2013-09-22	PT	-9.24671	38.72706	good	Europe/Lisbon
28 Aug 2022	US	-93.263	45.0408	average	America/Chicago
01 Oct 2012	ID	98.6738	3.7278	accep	Asia/Jakarta
11/24/2015, 00:00:00	TR	29.26639	37.58105	acceptable	Europe/Istanbul
2014/01/19	IN	85.83334	20.88197	accep	Asia/Kolkata
2014/04/19	CA	-73.58248	45.40008	accep	America/Toronto
2018-10-18	RU	37.38115	55.63711	accep	Europe/Moscow
06 Apr 2014	RU	35.96944	56.03361	average	Europe/Moscow
2021/08/30	BD	91.84128	22.83957	good	Asia/Dhaka
2021/11/21	CD	15.16554	-4.5833	good	Africa/Kinshasa
2015/05/12	PH	120.56528	14.66	maintenance	Asia/Manila
2012/12/15	RU	111.4834	65.93381	average	Asia/Yakutsk
06/16/2019, 00:00:00	NG	12.19458	10.61285	excellent	Africa/Lagos
2015-03-21	US	-120.93549	37.73604	excellent	America/Los_Angeles
06/06/2020, 00:00:00	CH	6.10237	46.18396	excellent	Europe/Zurich
04/28/2015, 00:00:00	PG	144.23058	-5.85746	good	Pacific/Port_Moresby
2017/02/07	NZ	171.25364	-44.39672	maintenance	Pacific/Auckland
2021-04-15	KE	36.36339	0.03813	excellent	Africa/Nairobi
02/03/2019, 00:00:00	IN	77.40858	24.05979	accep	Asia/Kolkata
10/06/2020, 00:00:00	US	-86.78777	33.44872	good	America/Chicago
28 Jan 2013	US	-94.41551	39.09112	average	America/Chicago
03/12/2014, 00:00:00	IN	76.35484	10.10649	maintenance	Asia/Kolkata
15 Oct 2014	MX	-101.2591	21.01858	average	America/Mexico_City
2017/08/02	MY	103.81667	1.6	excellent	Asia/Kuala_Lumpur
2017-03-17	UA	31.33078	47.56494	accep	Europe/Kiev
08/25/2019, 00:00:00	US	-81.79819	41.48199	accep	America/New_York
10/20/2017, 00:00:00	RS	22.53083	44.22639	average	Europe/Belgrade
2021-10-25	IN	71.57737	21.53889	good	Asia/Kolkata
2013-01-19	IT	13.44275	38.07789	accep	Europe/Rome
12/12/2014, 00:00:00	DE	7.11393	51.08468	average	Europe/Berlin
10/22/2019, 00:00:00	DE	13.10984	51.30001	maintenance	Europe/Berlin
2022/06/09	IN	85.83636	25.66795	average	Asia/Kolkata
2013-02-04	MX	-96.72365	17.06542	good	America/Mexico_City
2016/08/03	RW	30.4347	-1.9487	good	Africa/Kigali
2020/11/07	MY	100.24529	5.4709	excellent	Asia/Kuala_Lumpur
05/16/2020, 00:00:00	DE	7.36027	51.20219	accep	Europe/Berlin
06 Nov 2014	IN	75.16878	30.81383	average	Asia/Kolkata
2019/07/21	BR	-34.88111	-8.05389	building	America/Recife
12/18/2018, 00:00:00	GB	-1.48119	53.0233	average	Europe/London
2017/10/25	MX	-97.50417	25.87972	maitennce	America/Matamoros
08 Sep 2018	PK	72.54566	29.69221	average	Asia/Karachi
2021-04-10	DZ	4.08282	36.61954	excellent	Africa/Algiers
2020/09/28	CN	123.50266	41.94175	maintenance	Asia/Shanghai
2016/02/17	CN	113.13148	23.02677	accep	Asia/Shanghai
2015-11-29	BR	-43.80139	-20.25333	excellent	America/Sao_Paulo
2016-05-16	RU	43.2379	50.06	maintenance	Europe/Volgograd
2017-05-02	MX	-98.11889	19.04222	good	America/Mexico_City
12/04/2019, 00:00:00	IN	73.85535	18.51957	building	Asia/Kolkata
2013/04/23	US	-84.50855	39.08367	good	America/New_York
2017-08-31	CN	122.22833	40.66482	maintenance	Asia/Shanghai
18 Nov 2013	ID	99.1625	3.3285	accep	Asia/Jakarta
2013/01/13	FR	2.29275	48.79325	excellent	Europe/Paris
10/26/2017, 00:00:00	DE	9.17702	48.78232	good	Europe/Berlin
2017/04/21	US	-81.23621	33.98154	good	America/New_York
2012-10-25	IN	77.54372	10.12268	building	Asia/Kolkata
05 Oct 2020	US	-82.61573	41.24255	acceptable	America/New_York
2018/01/11	BY	30.2049	55.1904	accep	Europe/Minsk
2018-03-03	IN	75.92694	14.46693	average	Asia/Kolkata
2015-07-02	US	-76.51552	39.32011	accep	America/New_York
10/23/2020, 00:00:00	TH	100.48528	14.37395	accep	Asia/Bangkok
2019-09-19	US	-75.64963	40.24537	accep	America/New_York
2018-05-06	AR	-68.3	-54.8	good	America/Argentina/Ushuaia
2019/05/14	CN	130.57211	45.75279	accep	Asia/Shanghai
2013-10-02	US	-82.46148	28.15112	good	America/New_York
2022-08-18	IN	76.11996	11.12018	average	Asia/Kolkata
2020/11/09	IN	75.37991	25.75728	building	Asia/Kolkata
04/18/2013, 00:00:00	US	-91.58045	41.6764	average	America/Chicago
07/21/2020, 00:00:00	CN	122.08333	46.08333	excellent	Asia/Shanghai
11/21/2019, 00:00:00	US	-74.38987	40.65538	accep	America/New_York
04/19/2014, 00:00:00	US	-123.02621	44.99012	building	America/Los_Angeles
12/01/2014, 00:00:00	US	-82.32483	29.65163	average	America/New_York
2014/06/21	DE	13.31783	52.61131	maintenance	Europe/Berlin
05/24/2021, 00:00:00	GB	-3.52751	50.7236	accep	Europe/London
2021-07-03	GB	0.30367	51.38673	accep	Europe/London
2019-09-04	JP	138.89585	36.33011	accep	Asia/Tokyo
2020/10/16	NG	4.92235	7.65649	average	Africa/Lagos
2019/01/08	EC	-79.59415	-2.13404	excellent	America/Guayaquil
2018-06-29	US	-82.46148	28.15112	excellent	America/New_York
05/15/2019, 00:00:00	LK	79.883	6.9909	maintenance	Asia/Colombo
07/12/2015, 00:00:00	ES	3.1631	41.91738	building	Europe/Madrid
2015/01/08	NI	-86.19903	11.84962	accep	America/Managua
2017/12/30	IN	78.14797	15.45144	average	Asia/Kolkata
2017/07/31	BR	-53.13722	-22.92306	excellent	America/Sao_Paulo
07/15/2022, 00:00:00	DE	8.51667	51.88333	building	Europe/Berlin
18 Jul 2017	MX	-99.32556	19.32889	excellent	America/Mexico_City
2021-11-25	JP	141.95	39.46667	building	Asia/Tokyo
2013-02-01	VU	168.31366	-17.73648	accep	Pacific/Efate
2019/09/18	GA	13.58357	-1.63333	building	Africa/Libreville
2018-05-29	BE	4.25633	51.21187	average	Europe/Brussels
2019-03-08	KE	36.36339	0.03813	good	Africa/Nairobi
2014-03-24	JP	137.95378	35.82756	acceptable	Asia/Tokyo
28 May 2017	AU	115.88782	-32.05251	excellent	Australia/Perth
2021-09-21	MX	-102.04897	19.64745	excellent	America/Mexico_City
2017/04/07	MX	-97.35992	19.8173	maintenance	America/Mexico_City
15 Nov 2021	IN	74.85849	31.28092	good	Asia/Kolkata
04/14/2014, 00:00:00	IN	72.93924	18.87813	building	Asia/Kolkata
27 Apr 2014	GB	-4.21376	55.82885	excellent	Europe/London
12 Aug 2016	KR	128.9889	37.1759	excellent	Asia/Seoul
2018-04-15	PT	-8.2503	37.08819	average	Europe/Lisbon
11/01/2015, 00:00:00	US	-116.21677	33.7207	excellent	America/Los_Angeles
06/25/2016, 00:00:00	TN	10.03478	37.16911	good	Africa/Tunis
22 Aug 2016	US	-72.97261	43.61062	building	America/New_York
15 Mar 2022	ES	0.57856	40.70995	accep	Europe/Madrid
08/29/2018, 00:00:00	BR	-50.00639	-25.42944	excellent	America/Sao_Paulo
2014/11/26	MX	-94.91386	17.94979	building	America/Mexico_City
02/22/2020, 00:00:00	DO	-71.10077	18.20854	good	America/Santo_Domingo
12 Feb 2014	FR	-1.05366	43.71032	building	Europe/Paris
2020-07-06	FR	4.91667	45.73333	good	Europe/Paris
13 Sep 2019	US	-88.31476	36.61033	good	America/Chicago
2020-01-27	DE	9.5586	54.52156	good	Europe/Berlin
10 Oct 2021	PE	-69.08333	-16.25	average	America/Lima
2016/01/23	ID	112.01667	-7.81667	accep	Asia/Jakarta
2019/11/03	CL	-70.6996	-33.59217	excellent	America/Santiago
2018/04/03	US	-84.23381	33.54428	good	America/New_York
10 Oct 2021	GB	-0.29825	51.39148	building	Europe/London
12/09/2014, 00:00:00	TR	41.00817	38.13708	accep	Europe/Istanbul
14 Oct 2012	US	-121.75689	36.91023	good	America/Los_Angeles
06/07/2020, 00:00:00	TZ	39.25	-6.8	accep	Africa/Dar_es_Salaam
07/11/2013, 00:00:00	EC	-79.00453	-2.90055	good	America/Guayaquil
2014-01-08	ID	114.33333	-8.43333	building	Asia/Jakarta
2016/01/14	DE	7.36027	51.20219	accep	Europe/Berlin
16 May 2022	RU	38.2739	46.7055	accep	Europe/Moscow
2018/09/27	UG	30.91105	3.02013	maintenance	Africa/Kampala
2021-03-11	PK	70.91106	29.38242	average	Asia/Karachi
07/16/2020, 00:00:00	MG	46.58333	-21.15	accep	Indian/Antananarivo
2013-04-24	US	-121.74052	38.54491	excellent	America/Los_Angeles
2016/09/03	US	-88.3162	42.24113	maintenance	America/Chicago
2015/03/20	US	-72.97261	43.61062	average	America/New_York
2015-11-30	ME	18.84	42.28639	accep	Europe/Podgorica
14 Nov 2020	GE	41.77921	41.82143	average	Asia/Tbilisi
2016/09/06	IR	47.3799	33.14447	average	Asia/Tehran
2022/08/13	GB	1.26738	51.84819	maintenance	Europe/London
05/27/2022, 00:00:00	UA	36.25361	47.48444	excellent	Europe/Zaporozhye
2017-09-14	US	-71.08977	41.9001	excellent	America/New_York
2019-12-05	KR	127.08472	36.20389	excellent	Asia/Seoul
2019-11-27	MY	116.10146	5.90702	excellent	Asia/Kuching
08 Feb 2015	JP	144.09638	43.82634	average	Asia/Tokyo
2022-02-21	KZ	84.87144	47.46657	good	Asia/Almaty
06/17/2021, 00:00:00	RU	43.67663	53.53041	excellent	Europe/Moscow
21 Jan 2020	IN	83.97573	21.46527	accep	Asia/Kolkata
25 May 2014	BG	27.25	42.7	excellent	Europe/Sofia
2018/11/05	US	-78.19444	38.91817	maintenance	America/New_York
06 Jul 2021	BR	-52.20639	-3.20333	accep	America/Santarem
08 Jan 2016	IT	11.412	45.50369	good	Europe/Rome
26 Mar 2018	BR	-50.19556	-19.72806	average	America/Sao_Paulo
21 Dec 2021	KE	36.36339	0.03813	building	Africa/Nairobi
22 Aug 2017	ME	18.84	42.28639	accep	Europe/Podgorica
20 May 2014	BR	-58.44417	-3.14306	maintenance	America/Manaus
2013-02-26	BE	3.20639	50.74497	average	Europe/Brussels
03 Apr 2019	IN	76.12647	32.55531	excellent	Asia/Kolkata
2016/08/05	CU	-82.4017	23.0072	maintenance	America/Havana
26 Jun 2019	GA	13.58357	-1.63333	maintenance	Africa/Libreville
10/07/2014, 00:00:00	FR	5.4584	43.32393	good	Europe/Paris
02/18/2022, 00:00:00	IN	85.37752	22.10194	good	Asia/Kolkata
2014/02/25	JP	137.5	34.9	maintenance	Asia/Tokyo
2017/04/14	AF	65.93249	36.21544	accep	Asia/Kabul
22 Jul 2021	US	-74.15987	40.82232	good	America/New_York
13 Oct 2019	US	-77.70066	43.16547	average	America/New_York
2013-06-28	VE	-68.30472	9.91861	acceptable	America/Caracas
2014-11-17	FR	2.44892	48.98693	excellent	Europe/Paris
2021/06/12	RU	57.3552	51.4781	average	Asia/Yekaterinburg
13 Aug 2019	CN	123.50266	41.94175	excellent	Asia/Shanghai
2020/09/21	ES	0.57856	40.70995	building	Europe/Madrid
17 Mar 2021	US	-76.51552	39.32011	building	America/New_York
04/20/2016, 00:00:00	IR	51.49621	36.64852	accep	Asia/Tehran
28 Jul 2022	DZ	3.50309	34.15429	building	Africa/Algiers
2022-04-17	US	-73.9625	40.81	good	America/New_York
2020/01/25	US	-84.62081	42.7392	excellent	America/Detroit
17 Oct 2017	IT	13.39954	43.62558	accep	Europe/Rome
2019-06-24	CI	-5.682	5.84752	excellent	Africa/Abidjan
2020/12/05	IN	84.13864	22.88783	good	Asia/Kolkata
06/15/2021, 00:00:00	CN	114.68333	23.73333	accep	Asia/Shanghai
21 Dec 2012	BR	-49.27306	-25.42778	good	America/Sao_Paulo
2014-05-10	CN	116.11768	24.28859	excellent	Asia/Shanghai
12 Dec 2019	CN	120.14278	32.50611	accep	Asia/Shanghai
26 Mar 2014	US	-76.88442	40.2737	accep	America/New_York
2021/04/29	US	-82.42491	42.97086	average	America/Detroit
02/23/2019, 00:00:00	DE	11.37703	48.06919	accep	Europe/Berlin
2014/06/06	AU	145.13643	-38.16604	accep	Australia/Melbourne
20 Aug 2020	US	-84.67837	34.06635	building	America/New_York
28 Mar 2019	BR	-43.80139	-20.25333	accep	America/Sao_Paulo
04 Nov 2016	ES	-3.53261	40.42386	good	Europe/Madrid
25 Mar 2020	IL	34.75699	31.39547	average	Asia/Jerusalem
01/17/2020, 00:00:00	NG	12.19458	10.61285	good	Africa/Lagos
05/12/2015, 00:00:00	GB	-3.52751	50.7236	average	Europe/London
10 Dec 2013	BR	-49.27306	-25.42778	good	America/Sao_Paulo
2018-04-06	US	-105.11221	39.57582	average	America/Denver
05/08/2019, 00:00:00	FR	2.18967	48.8765	average	Europe/Paris
2017-03-29	US	-73.47429	40.68066	accep	America/New_York
2012-10-10	RU	38.02486	55.64776	accep	Europe/Moscow
01/18/2019, 00:00:00	DZ	4.08282	36.61954	accep	Africa/Algiers
2021/07/02	US	-97.92977	38.06084	average	America/Chicago
05/24/2013, 00:00:00	TH	99.89166	15.46063	average	Asia/Bangkok
2017/05/16	KE	36.36339	0.03813	average	Africa/Nairobi
2013-11-27	US	-95.44744	29.53885	excellent	America/Chicago
2022-09-11	JP	138.31667	36.65	average	Asia/Tokyo
09/24/2018, 00:00:00	US	-82.32483	29.65163	average	America/New_York
2013-09-02	IT	14.66737	41.55947	average	Europe/Rome
2017/11/18	RU	33.72798	53.53395	good	Europe/Moscow
2015/04/07	TH	99.96667	8.43333	good	Asia/Bangkok
2014-03-30	ID	112.01667	-7.81667	excellent	Asia/Jakarta
2017/01/24	NG	6.83042	6.15038	good	Africa/Lagos
2020-12-23	NL	5.74861	52.71083	good	Europe/Amsterdam
06/09/2016, 00:00:00	PK	75.06583	32.17629	accep	Asia/Karachi
2016-12-20	AT	16.4	48.25	average	Europe/Vienna
01/21/2020, 00:00:00	IN	76.0586	16.06213	excellent	Asia/Kolkata
2019-09-03	BR	-46.99583	-22.97056	excellent	America/Sao_Paulo
03/06/2018, 00:00:00	CG	15.28318	-4.26613	average	Africa/Brazzaville
2019/07/18	IN	72.68533	22.75218	average	Asia/Kolkata
09/19/2021, 00:00:00	CN	118.53333	27.92333	maintenance	Asia/Shanghai
2016-12-23	CO	-74.73584	5.20856	average	America/Bogota
29 Sep 2015	RU	111.4834	65.93381	maintenance	Asia/Yakutsk
2013-05-12	GB	-0.76667	53.38333	excellent	Europe/London
2022-06-15	US	-86.11084	41.75338	excellent	America/Indiana/Indianapolis
2013-12-29	CN	122.20488	29.98869	maintenance	Asia/Shanghai
2022/06/06	IN	84.63445	24.81757	good	Asia/Kolkata
2021-02-04	AU	151.08057	-33.79176	average	Australia/Sydney
2017/07/30	US	-86.99666	33.45122	average	America/Chicago
06/06/2015, 00:00:00	BD	91.84128	22.83957	average	Asia/Dhaka
2020-04-14	CO	-72.47417	7.83389	average	America/Bogota
2020-11-15	MX	-89.66123	21.28306	maintenance	America/Merida
