longitude	revision	location	QoS	station	latitude
10.58082	2015/12/02	Africa/Tunis	average	Msaken	35.72917
144.09638	2018/07/17	Asia/Tokyo	accep	Motomachi	43.82634
37.73333	2018-03-17	Africa/Dar_es_Salaam	good	Same	-4.06667
16.43915	04/09/2018, 00:00:00	Europe/Zagreb	maintenance	Split	43.50891
-88.31476	2013-12-04	America/Chicago	accep	Murray	36.61033
34.3869	2013-09-20	Africa/Khartoum	good	Ar Ruseris	11.8659
15.46667	27 Sep 2018	Europe/Vienna	accep	Sankt Peter	47.05
-2.98884	25 Aug 2017	Europe/Madrid	average	Leioa	43.32686
-2.52398	02 Apr 2014	Europe/London	good	Winsford	53.19146
22.53083	10 Apr 2019	Europe/Belgrade	excellent	Negotin	44.22639
136.13108	2015-01-06	Asia/Tokyo	excellent	Ueno-ebisumachi	34.75856
-82.32483	2016/09/06	America/New_York	acceptable	Gainesville	29.65163
-75.64963	06/22/2018, 00:00:00	America/New_York	good	Pottstown	40.24537
-73.97069	28 Jan 2018	America/New_York	average	Kensington	40.64621
48.26258	05 Aug 2020	Asia/Tehran	average	Aleshtar	33.86419
-37.65	2017/10/03	America/Maceio	average	Lagarto	-10.91722
27.02444	2021-09-13	Europe/Istanbul	building	Edremit	39.59611
-3.59625	06/11/2015, 00:00:00	Africa/Abidjan	accep	Bonoua	5.27247
109.22921	2014/01/06	Asia/Shanghai	building	Yanliang	34.65918
37.00438	2015-12-09	Africa/Dar_es_Salaam	average	Kidodi	-7.60361
16.4	09 Oct 2017	Europe/Vienna	excellent	Floridsdorf	48.25
47.1192	27 May 2015	Europe/Moscow	excellent	Buynaksk	42.819
102.3278	2016/09/25	Asia/Kuala_Lumpur	excellent	Kampung Ayer Molek	2.2139
32.88667	2022/04/15	Africa/Kampala	good	Kitgum	3.27833
-116.97725	2018-09-06	America/Los_Angeles	average	Beaumont	33.92946
-86.99666	2016-02-22	America/Chicago	excellent	Hueytown	33.45122
8.96317	2016/07/09	Europe/Berlin	accep	Hechingen	48.35149
-73.58248	22 Sep 2015	America/Toronto	excellent	Sainte-Catherine	45.40008
18.34717	2017/06/22	Europe/Warsaw	excellent	Reda	54.60528
-46.99583	2017-04-23	America/Sao_Paulo	excellent	Valinhos	-22.97056
122.20488	06/20/2016, 00:00:00	Asia/Shanghai	excellent	Zhoushan	29.98869
74.83554	28 Apr 2022	Asia/Kolkata	excellent	Sirsi	14.62072
8.86374	2018/04/13	Europe/Rome	good	Tortona	44.89784
9.29109	2013/06/18	Europe/Rome	average	San Giuliano Milanese	45.39402
-93.08883	20 Apr 2022	America/Chicago	accep	Lino Lakes	45.16024
31.33078	10/30/2019, 00:00:00	Europe/Kiev	maitennce	Voznesensk	47.56494
34.86563	14 Feb 2018	Asia/Jerusalem	good	Ramla	31.92923
112.01667	06/06/2017, 00:00:00	Asia/Jakarta	building	Kediri	-7.81667
-69.08333	06/13/2022, 00:00:00	America/Lima	average	Yunguyo	-16.25
19.21437	2019/03/05	Europe/Sarajevo	excellent	Bijeljina	44.75874
-111.89903	20 Jul 2013	America/Phoenix	maintenance	Scottsdale	33.50921
48.41667	06 Feb 2021	Indian/Antananarivo	accep	Ambatondrazaka	-17.83333
114.10479	2016-01-22	Asia/Hong_Kong	accep	Tsuen Wan	22.37066
12.53463	14 Jan 2020	Europe/Copenhagen	excellent	Frederiksberg	55.67938
-71.08977	2012/10/09	America/New_York	average	Taunton	41.9001
73.85535	07/30/2015, 00:00:00	Asia/Kolkata	accep	Pune	18.51957
13.39954	10/24/2016, 00:00:00	Europe/Rome	average	Falconara Marittima	43.62558
8.64409	23 Feb 2016	Europe/Berlin	good	Trossingen	48.07667
-80.58556	2019/02/02	America/Havana	excellent	Corralillo	22.98212
3.50309	2015-12-31	Africa/Algiers	average	Messaad	34.15429
-73.95097	2015/09/25	America/New_York	average	Greenpoint	40.72371
-74.95472	2017-01-02	America/Bogota	average	Puerto Colombia	10.98778
78.23456	2014-02-10	Asia/Kolkata	average	Bachhraon	28.92694
88.58	18 Jun 2020	Asia/Kolkata	good	Aistala	23.18
-122.23484	17 May 2019	America/Los_Angeles	average	Kent	47.38093
-119.0376	2014/10/04	America/Los_Angeles	good	Camarillo	34.21639
-37.65	17 Aug 2017	America/Maceio	average	Lagarto	-10.91722
-8.33147	2012/12/12	Europe/Lisbon	average	Paredes	41.20485
-83.48216	31 Dec 2017	America/Detroit	good	Canton	42.30865
-77.70066	05/30/2014, 00:00:00	America/New_York	average	Gates-North Gates	43.16547
-0.2	08 Nov 2018	Europe/London	maintenance	Barnet	51.65
6.10237	09/09/2019, 00:00:00	Europe/Zurich	average	Onex	46.18396
25.8191	2018/09/20	Europe/Minsk	building	Novogrudok	53.5942
33.2525	01/28/2020, 00:00:00	Europe/Moscow	average	Valday	57.97472
38.15035	02/05/2017, 00:00:00	Europe/Zaporozhye	good	Svatove	49.41029
18.84	2016-01-06	Europe/Podgorica	average	Budva	42.28639
51.3452	2015-04-28	Europe/Samara	building	Otradnyy	53.37596
-82.00919	06/11/2018, 00:00:00	America/Havana	accep	Jaruco	23.04419
-79.62098	01/18/2022, 00:00:00	America/Panama	maintenance	Chilibre	9.15093
120.33063	2016/03/01	Asia/Shanghai	maintenance	Longgang	37.65181
-59.13316	10/16/2016, 00:00:00	America/Argentina/Buenos_Aires	excellent	Tandil	-37.32167
-65.71875	04/26/2013, 00:00:00	America/La_Paz	accep	Tupiza	-21.44345
22.53083	05/16/2022, 00:00:00	Europe/Belgrade	accep	Negotin	44.22639
122.05228	20 Apr 2015	Asia/Shanghai	good	Tianfu	37.19723
8.61839	2016/04/20	Europe/Berlin	maintenance	Bensheim	49.68369
109.3243	2013-12-08	Asia/Jakarta	average	Randudongkal	-7.0981
-2.98884	30 Jun 2013	Europe/Madrid	building	Leioa	43.32686
-117.79394	2019-06-13	America/Los_Angeles	accep	North Tustin	33.76446
11.18709	05/09/2022, 00:00:00	Europe/Berlin	average	Neuburg an der Donau	48.73218
77.23826	2016-04-20	Asia/Kolkata	excellent	Sathyamangalam	11.50526
-73.9625	2016/05/29	America/New_York	maintenance	Morningside Heights	40.81
59.6	2020-03-08	Asia/Aqtobe	excellent	Shalqar	47.83333
122.8637	2021-09-08	Asia/Manila	good	Santa Catalina	9.3337
-50.19556	2019/08/07	America/Sao_Paulo	average	Iturama	-19.72806
15.16554	01/13/2019, 00:00:00	Africa/Kinshasa	excellent	Kasangulu	-4.5833
34.3869	2014/04/12	Africa/Khartoum	average	Ar Ruseris	11.8659
106.92667	2016/11/24	Asia/Jakarta	maintenance	Sukabumi	-6.91806
42.85693	21 Mar 2022	Europe/Istanbul	maintenance	Patnos	39.22493
121.96361	2022-06-29	Asia/Manila	excellent	Recodo	6.95194
4.8951	2017/06/18	Europe/Paris	good	Valence	44.92801
16.50104	02 Oct 2020	Europe/Rome	excellent	Bisceglie	41.24264
140.72287	2014-08-27	Asia/Vladivostok	average	Nikolayevsk-on-Amure	53.14657
24.43973	2022-07-12	Africa/Lubumbashi	average	Yangambi	0.76755
4.21372	2015/06/28	Europe/Brussels	excellent	Temse	51.12794
6.74549	23 Feb 2020	Europe/Berlin	good	Losheim	49.5099
-1.48119	2020/09/03	Europe/London	accep	Belper	53.0233
75.92694	23 Nov 2021	Asia/Kolkata	good	Davangere	14.46693
2.95924	2021/07/18	Africa/Algiers	maintenance	Cheraga	36.76775
141.95	22 May 2021	Asia/Tokyo	good	Yamada	39.46667
9.85	2016-04-09	Europe/Berlin	good	Halstenbek	53.63333
24.6522	2022-05-29	Europe/Helsinki	average	Espoo	60.2052
33.34864	05/21/2020, 00:00:00	Europe/Kiev	good	Nova Kakhovka	46.75451
2.59753	2019/07/05	Africa/Porto-Novo	excellent	Tchaourou	8.88649
1.6	10 Nov 2017	Europe/Paris	average	Pamiers	43.11667
33.9162	03/30/2016, 00:00:00	Europe/Kiev	building	Hlukhiv	51.67822
26.97253	2013-04-12	Europe/Kiev	excellent	Krasyliv	49.65186
5.4384	2021/01/10	Europe/Paris	accep	Marseille 11	43.2907
-75.64963	2017-01-14	America/New_York	maintenance	Pottstown	40.24537
41.77921	2021/07/01	Asia/Tbilisi	good	Kobuleti	41.82143
-2.09814	2019-08-22	Europe/London	accep	Aberdeen	57.14369
75.37991	11/29/2017, 00:00:00	Asia/Kolkata	accep	Deoli	25.75728
-122.2054	2013-09-26	America/Los_Angeles	accep	Bothell	47.76232
-70.92866	05/13/2016, 00:00:00	America/New_York	accep	Peabody	42.52787
-0.74934	2020-11-27	Europe/London	building	High Wycombe	51.62907
4.92235	2021/06/01	Africa/Lagos	good	Efon-Alaaye	7.65649
1.26738	02/02/2017, 00:00:00	Europe/London	excellent	Walton-on-the-Naze	51.84819
-72.22625	06/09/2020, 00:00:00	America/Port-au-Prince	excellent	Croix-des-Bouquets	18.57677
68.21204	2016-05-30	Asia/Karachi	building	Larkana	27.55898
33.9162	03/12/2022, 00:00:00	Europe/Kiev	average	Hlukhiv	51.67822
12.1369	2016-08-28	Europe/Berlin	good	Zeitz	51.04962
111.4834	2022/03/22	Asia/Yakutsk	maintenance	Aykhal	65.93381
-73.95097	06/25/2020, 00:00:00	America/New_York	average	Greenpoint	40.72371
-8.07257	30 Jul 2013	Africa/Bamako	accep	Kati	12.74409
140.11667	11 Dec 2020	Asia/Tokyo	excellent	Inawashiro	37.56667
1.00288	2017/01/17	Europe/Paris	good	Elbeuf	49.28669
126.28333	2013/10/25	Asia/Shanghai	average	Shuangcheng	45.35
-68.30472	2014-07-18	America/Caracas	average	Tinaquillo	9.91861
4.8951	2013/01/24	Europe/Paris	average	Valence	44.92801
4.25633	2017/08/23	Europe/Brussels	accep	Beveren	51.21187
-72.27814	2018-07-18	America/New_York	excellent	Keene	42.93369
2.61667	2014/09/15	Europe/Paris	excellent	Mitry-Mory	48.98333
46.58333	01/05/2016, 00:00:00	Indian/Antananarivo	building	Ikalamavony	-21.15
73.7553	24 May 2013	Asia/Kolkata	average	Calangute	15.5439
-13.68778	2021/04/21	Africa/Conakry	acceptable	Camayenne	9.535
35.34722	2021/12/18	Africa/Maputo	good	Maxixe	-23.85972
4.21372	2017/01/03	Europe/Brussels	good	Temse	51.12794
-39.25	05/30/2013, 00:00:00	America/Bahia	good	Muritiba	-12.91667
35.23388	08/06/2015, 00:00:00	Asia/Hebron	average	East Jerusalem	31.78336
8.63333	02/02/2018, 00:00:00	Europe/Berlin	building	Kirchlengern	52.2
42.85693	24 Apr 2016	Europe/Istanbul	good	Patnos	39.22493
3.87723	09/07/2018, 00:00:00	Europe/Paris	accep	Montpellier	43.61092
65.27258	2014-08-17	Asia/Yekaterinburg	excellent	Tavda	58.04254
83.97573	2019/09/17	Asia/Kolkata	excellent	Sambalpur	21.46527
71.21169	08 Aug 2014	Asia/Kolkata	maintenance	Amreli	21.59983
-73.47429	27 Jun 2020	America/New_York	average	Massapequa	40.68066
68.21204	27 Jun 2022	Asia/Karachi	acceptable	Larkana	27.55898
-89.66123	09/16/2022, 00:00:00	America/Merida	maitennce	Progreso	21.28306
136.84186	2021-11-20	Asia/Tokyo	accep	Toba	34.4833
-78.19444	11/28/2017, 00:00:00	America/New_York	maintenance	Front Royal	38.91817
-73.99681	2022/04/07	America/New_York	average	Dumont	40.94065
-72.86843	10/11/2020, 00:00:00	America/New_York	good	East Haven	41.27621
-73.9625	07/30/2014, 00:00:00	America/New_York	accep	Morningside Heights	40.81
-98.1664	20 Oct 2021	America/Mexico_City	average	Contla	19.32932
8.77155	2021/05/07	Europe/Berlin	building	Karben	50.23019
4.85668	11 Mar 2014	Africa/Algiers	maintenance	Bordj Zemoura	36.27462
-6.00137	17 May 2022	Africa/Casablanca	accep	Oulmes	33.42585
88.1453	2018/12/13	Asia/Kolkata	maintenance	Pujali	22.4711
-117.71978	05/07/2015, 00:00:00	America/Los_Angeles	good	Claremont	34.09668
-65.71875	2012-10-06	America/La_Paz	average	Tupiza	-21.44345
17.80774	2017/12/02	Europe/Rome	maintenance	Mesagne	40.55851
30.96755	2018-12-11	Europe/Kiev	accep	Zvenihorodka	49.07866
5.4384	2021/12/19	Europe/Paris	good	Marseille 11	43.2907
10.78222	2014/01/18	Africa/Tunis	average	Beni Khiar	36.46917
55.4504	28 Apr 2015	Indian/Reunion	maitennce	Saint-Denis	-20.88231
24.43973	02 Feb 2017	Africa/Lubumbashi	good	Yangambi	0.76755
24.04142	2019-03-28	Europe/Vilnius	good	Alytus	54.39635
-0.36053	12 Jul 2022	Europe/London	good	Bushey	51.64316
-80.08199	2019-11-18	America/New_York	acceptable	Thomasville	35.88264
15.00835	30 Jan 2015	Europe/Warsaw	excellent	Zgorzelec	51.14942
29.24152	2013/11/29	Africa/Johannesburg	building	Standerton	-26.93366
57.3552	01 Mar 2019	Asia/Yekaterinburg	good	Kuvandyk	51.4781
72.34424	2017/04/11	Asia/Tashkent	building	Andijon	40.78206
111.73861	02/21/2018, 00:00:00	Asia/Shanghai	accep	Changzhi	35.20889
111.4834	2022/05/16	Asia/Yakutsk	good	Aykhal	65.93381
-2.1875	2015/03/15	Europe/London	good	Westbury	51.26
-79.59415	04/24/2019, 00:00:00	America/Guayaquil	good	Milagro	-2.13404
-39.25	2019-07-10	America/Bahia	excellent	Muritiba	-12.91667
-69.08333	2016/07/17	America/Lima	good	Yunguyo	-16.25
12.16179	2019/08/07	Europe/Berlin	accep	Landshut	48.52961
5.16108	11 May 2018	Europe/Paris	maintenance	Bar-le-Duc	48.77275
89.11943	2016/03/06	Asia/Dhaka	good	Kushtia	23.9028
-88.70464	2019-05-19	America/Chicago	excellent	Tupelo	34.25807
9.72749	2014-06-07	Europe/Berlin	excellent	Ehingen	48.28259
-99.32556	24 Feb 2019	America/Mexico_City	good	San Lorenzo Acopilco	19.32889
-3.67029	2014-10-15	Europe/Madrid	accep	Las Gabias	37.13548
12.70038	2022-08-06	Europe/Rome	accep	Cordenons	45.9836
44.7662	2021/06/02	Asia/Yerevan	building	Hrazdan	40.49748
-52.67056	2015/04/08	America/Sao_Paulo	accep	Pato Branco	-26.22861
83.97573	2019-05-14	Asia/Kolkata	accep	Sambalpur	21.46527
-76.51552	2015/03/05	America/New_York	average	Rosedale	39.32011
-84.62081	07/11/2017, 00:00:00	America/Detroit	accep	Waverly	42.7392
5.22778	12 Nov 2017	Europe/Amsterdam	accep	Culemborg	51.955
71.57118	10 Oct 2020	Asia/Karachi	building	Daud Khel	32.87533
8.86704	2015-05-06	Europe/Berlin	excellent	Nidderau	50.23805
104.09701	2014/12/24	Asia/Jakarta	average	Simpang	-1.26424
104.1451	2019-06-20	Asia/Bangkok	average	Yasothon	15.79408
144.23058	2018/04/11	Pacific/Port_Moresby	excellent	Mount Hagen	-5.85746
-6.03731	2013-09-19	Europe/Madrid	building	San Juan de Aznalfarache	37.35813
145.18333	2018/05/07	Australia/Melbourne	excellent	Wheelers Hill	-37.9
46.10925	2017-06-19	Europe/Moscow	good	Gudermes	43.35071
9.37082	2020/05/26	Africa/Tunis	good	Siliana	36.08497
114.10479	14 Aug 2022	Asia/Hong_Kong	good	Tsuen Wan	22.37066
-74.28459	2021/09/21	America/New_York	good	Woodbridge	40.5576
-97.03285	2018-01-17	America/Chicago	excellent	Grand Forks	47.92526
78.14797	2018/10/26	Asia/Kolkata	good	Betamcherla	15.45144
-118.25508	2020/09/16	America/Los_Angeles	excellent	Glendale	34.14251
8.77155	2020/07/02	Europe/Berlin	average	Karben	50.23019
-73.89125	01/09/2017, 00:00:00	America/New_York	accep	Cypress Hills	40.67705
123.99333	2014/09/23	Asia/Manila	average	Sorsogon	12.97389
120.74221	2014-11-30	Asia/Shanghai	accep	Changshu City	31.64615
123.33471	12 Nov 2013	Asia/Manila	average	Dipolog	8.56697
101.18445	2017-04-20	Asia/Bangkok	average	Phanat Nikhom	13.44581
38.94324	2022/01/21	Europe/Moscow	excellent	Yablonovskiy	44.98901
-72.22625	2020-03-09	America/Port-au-Prince	accep	Croix-des-Bouquets	18.57677
-7.32097	2020/04/09	Europe/Lisbon	acceptable	Custoias	41.1053
12.70038	21 Nov 2020	Europe/Rome	excellent	Cordenons	45.9836
29.47306	2021-07-10	Africa/Lubumbashi	good	Beni	0.49113
100.48528	28 Feb 2020	Asia/Bangkok	good	Bang Ban	14.37395
1.00288	2017-04-08	Europe/Paris	maintenance	Elbeuf	49.28669
10.30215	2020-11-24	Europe/Berlin	average	Bad Segeberg	53.94313
130.94098	11 Jul 2018	Asia/Tokyo	accep	Hita	33.3213
119.58627	2019-04-19	Asia/Taipei	excellent	Magong	23.5654
74.83554	02/13/2016, 00:00:00	Asia/Kolkata	excellent	Sirsi	14.62072
120.5875	21 Jul 2014	Asia/Manila	good	La Trinidad	16.455
13.39954	10/01/2018, 00:00:00	Europe/Rome	average	Falconara Marittima	43.62558
-84.23381	12/20/2018, 00:00:00	America/New_York	excellent	Stockbridge	33.54428
120.56528	14 May 2013	Asia/Manila	accep	Pilar	14.66
-72.22625	10/06/2020, 00:00:00	America/Port-au-Prince	average	Croix-des-Bouquets	18.57677
-117.79394	02 Mar 2020	America/Los_Angeles	maintenance	North Tustin	33.76446
-75.87877	30 Mar 2014	America/Bogota	excellent	Andes	5.6561
109.05389	11/08/2021, 00:00:00	Asia/Jakarta	excellent	Wangon	-7.51611
5.74861	2017/07/10	Europe/Amsterdam	average	Emmeloord	52.71083
30.4347	2015-03-12	Africa/Kigali	average	Rwamagana	-1.9487
-82.61573	2021/11/27	America/New_York	accep	Norwalk	41.24255
24.04142	2015/09/29	Europe/Vilnius	average	Alytus	54.39635
37.3825	01 Jan 2019	Europe/Istanbul	accep	Gaziantep	37.05944
5.16108	04/11/2021, 00:00:00	Europe/Paris	excellent	Bar-le-Duc	48.77275
77.24779	2020-09-30	Asia/Kolkata	good	Udumalaippettai	10.58806
70.91106	2015-12-14	Asia/Karachi	accep	Alipur	29.38242
-88.31476	2019/06/25	America/Chicago	accep	Murray	36.61033
34.02537	2020/01/02	Europe/Istanbul	average	Aksaray	38.37255
-98.11889	2019/02/05	America/Mexico_City	maintenance	Casa Blanca	19.04222
85.94001	12 Nov 2021	Asia/Kolkata	building	Teghra	25.49043
10.30215	12 Dec 2021	Europe/Berlin	average	Bad Segeberg	53.94313
126.835	04 Aug 2020	Asia/Seoul	excellent	Goyang-si	37.65639
121.06761	06/20/2022, 00:00:00	Asia/Manila	maintenance	San Jose	12.35275
137.95378	03/08/2021, 00:00:00	Asia/Tokyo	accep	Ina	35.82756
29.26639	2021-04-18	Europe/Istanbul	excellent	Serinhisar	37.58105
6.10237	02/15/2022, 00:00:00	Europe/Zurich	accep	Onex	46.18396
-3.67029	2017-09-12	Europe/Madrid	accep	Las Gabias	37.13548
28.19028	07/12/2015, 00:00:00	Europe/Tallinn	average	Narva	59.37722
8.52462	2019/05/16	Europe/Zurich	accep	Adliswil	47.30997
-84.23381	20 Oct 2021	America/New_York	accep	Stockbridge	33.54428
