PAHs	H2CO	latitude	O3	CH4	CFCs	PM2.5	SO2	Pb	longitude	NOx	C2H3NO5	TEMP	PM10	CO	warning	PRES	NH3
8.69899	53.01793	29.65163	7.54594	11.14782	48.13947	9.69141	8.59943	69.85165	-82.32483	10.86462	3.00082	4.25875	8.93327	7.16165	1.00000	1081.02394	10.92490
7.56205	45.76029	38.47917	8.25733	9.80842	40.39480	6.82291	9.19784	47.44328	-1.325	10.84684	1.32658	18.70180	7.76451	8.33661	0.00000	1196.73179	6.05308
9.57928	33.29844	38.17492	9.48779	8.75249	47.59957	7.55072	7.75181	49.91562	-122.2608	10.84020	0.95183	16.90688	7.55906	8.80490	0.00000	1171.29786	6.17086
10.55334	47.97011	6.15038	8.99320	7.31096	53.86524	12.68074	7.23292	31.80984	6.83042	8.60148	2.80194	7.03270	8.88748	8.89248	1.00000	1090.73013	10.12138
9.39759	49.84202	23.49668	11.12613	10.50127	36.85273	7.76790	8.04460	42.21785	86.68363	10.41067	17.19924	23.04918	10.78718	6.70763	0.00000	1145.96022	8.01082
9.03730	42.56707	34.09668	9.18642	8.12649	45.78619	6.12852	8.66143	35.01912	-117.71978	7.34558	1.20186	7.70879	7.60868	5.24353	1.00000	1098.39305	9.88169
8.93880	42.18453	23.73333	8.41852	11.25242	39.14629	8.50864	5.48545	44.46641	114.68333	8.16239	1.01813	24.16150	7.58527	6.91867	0.00000	1153.26806	8.63038
7.67465	21.59742	48.77275	8.55392	7.18387	57.00884	8.28190	8.36506	58.64263	5.16108	9.84604	2.32331	23.05771	8.82754	8.46386	0.00000	1181.38773	8.50637
9.51298	47.41979	-10.91722	7.95192	11.88141		7.47004	7.54586	26.00109	-37.65	5.57498	2.74608	-1.41347	8.82023	10.76313	1.00000	1119.50656	8.94785
9.09408	52.82430	51.84819	8.81857	9.46750	53.41993	5.59458	9.43882	31.98005	1.26738	4.74969	2.37847	7.54576	8.63042	9.04728	0.00000	1165.11395	8.02556
8.79359	36.07126	-23.44361	9.29029	8.27768	16.83162	8.42600	8.64471	45.89646	-51.87389	9.86225	2.03563	4.97793	8.65093	9.71805	0.00000	1092.05097	8.83201
7.64174	41.61855	51.12794	8.97588	10.53582	39.51313	9.06869	5.53592	64.14308	4.21372	13.66288	0.95802	-3.66862	7.70421	7.34524	0.00000	1179.91640	6.16991
9.02633	51.80596	13.70167	9.99294	8.67454	48.30150	7.68968	7.17201	37.01630	-89.10944	8.01772	1.23574	12.19344	8.00202	6.31466	1.00000	1152.19974	10.87138
9.90049	44.83802	-5.85746	9.37769	11.28408	41.39333	10.36562	4.82854	39.57609	144.23058	13.73187	3.11096	42.00829	8.98180	6.40118	0.00000	1148.62753	8.52617
8.56603	57.59923	23.1959	7.93671	7.84370	45.97065	6.33803	7.16215	34.35345	86.51499	7.67810	0.56308	10.85169	7.13572	6.72842	1.00000	1064.38068	13.03153
9.36244	47.60732	14.37395	9.19061	9.81376	52.82941	10.29186	6.39052	62.57513	100.48528	8.72147	5.85661	14.61173	9.69034	9.03513	1.00000	1183.05252	9.35764
9.24214	57.18089	30.76468	8.04425	9.48535	54.80589	9.38290	7.52987	64.22863	74.12286	4.08522	2.52875	25.83961	8.77233	10.71948	1.00000	1111.42220	9.31034
9.72134	29.01858	43.32686	10.23826	9.59397	59.64831	10.64389	7.72205	68.20294	-2.98884	6.94682	3.49001	27.92355	9.10284	11.32043	1.00000	1139.52003	10.06382
8.07711	55.45884	10.15031	6.01793	8.72325	65.48373	6.89652	8.43169	64.23505	-73.9614	7.43440	2.41686	22.08392	8.65796	5.16022	1.00000	1095.29598	9.27896
8.72022	57.33210	52.68333	9.78101	6.35856	62.43320	4.43832	9.39236	40.62135	0.93333	7.30510	3.44437	18.50831	9.18475	4.25127	1.00000	1111.41877	11.04803
6.76307	36.04224	5.4709	9.87677	9.11879	69.57953	5.42383	9.10086	33.18116	100.24529	10.37033	1.45630	16.56564	8.16637	7.40972	0.00000	1056.48349	6.28297
7.96813	61.45765	32.54278	8.37963	11.52968	54.67086	6.68269	6.67706	37.78532	111.50861	8.69526	3.31538	-5.65899	9.10070	5.80808	0.00000	1078.76063	8.10081
10.06056	70.73903	53.95278	9.43388	10.32780	66.50893	10.97766	8.26120	43.58870	32.86389	9.78256	2.61891	7.01269	8.74918	10.38550	1.00000	1090.92560	10.10687
8.02520	57.85116	34.85	9.21591	11.61318	35.51274	10.35989	6.04747	60.51349	117.33333	9.27997	1.85465	9.32975	8.70271	11.90706	1.00000	1190.35834	11.13601
8.68337	49.26855	14.64056	7.98825	6.99403	50.26635	8.58295	5.17621	71.99615	104.64992	8.09229	1.19846	16.90016	7.62462	11.33719	1.00000	1094.40251	10.43953
7.54143	30.32431	-20.88231	7.72948	10.00754	52.28954	9.76929	6.94093	52.75342	55.4504	9.67185	4.68225	21.31943	9.37933	7.60823	0.00000	1105.37366	7.30231
9.43791	50.55473	53.63333	9.58239	6.72800	65.16853	11.80989	7.90309	49.98622	9.85	9.04524	3.45855	27.54603	9.13529	6.91044	0.00000	1137.01368	12.20508
9.86938	54.68780	-22.53722	8.55886	9.45869	51.33755	11.72862	4.94884	62.31176	-42.98194	11.32756	7.66333	18.37206	9.92673	6.86587	0.00000	1149.27080	10.40163
7.77304	59.32960	35.88264	8.94594	8.20141	44.81867	5.53289	8.24245	57.23292	-80.08199	7.28075	6.13276	7.92852	9.70280	5.97744	1.00000	1090.99585	9.58418
10.16718	39.26019	11.8659	9.63579	6.63371	70.84584	13.64944	8.80400	33.27131	34.3869	8.78263	2.20769	16.28500	8.71085	8.89322	1.00000	1127.98802	10.56486
9.31080	65.69673	-44.39672	9.60821	8.92298	52.07951	5.59001	9.64419	41.85502	171.25364	8.85127	1.11409	24.81930	7.53659	8.26806	0.00000	1134.99123	7.07663
9.00299	34.54398	-4.16694	9.98858	6.27153	70.19197	7.45376	8.55315	51.55534	-40.7475	7.46421	6.07090	14.27394	9.78204	5.69357	1.00000	1150.91513	10.89909
10.71069	63.71083	23.18	7.73559	5.88787	47.21994	13.00563	7.67070	41.12259	88.58	6.87198	20.74075	8.92118	10.97936	5.75471	0.00000	1130.63658	12.71345
11.06985	51.25840	12.18441	9.63289	8.92930	65.31583	8.63574	8.19515	25.53346	18.69303	10.29351	2.64421	20.86815	8.92893	8.59611	0.00000	1111.25379	8.49343
9.63439	54.21388	33.35283	9.88764	7.21149	41.14600	7.54037	8.60025	25.33171	-111.78903	7.32101	1.57621	10.49053	8.34737	6.14765	1.00000	1165.94391	8.35910
9.97612	68.65978	51.82721	8.64278	9.46383	57.43460	8.78484	5.01770	37.80295	107.60627	10.94396	1.60680	3.10180	8.07866	9.54236	0.00000	1060.28225	5.65758
10.23622	42.02550	48.49144	10.82808	9.75710	66.72965	8.11645	7.09530	60.70622	9.20427	10.97459	9.15749	9.28900	10.13400	7.68672	0.00000	1185.31465	7.36548
7.59237	57.57752	54.03876	9.00046	9.60656	19.87150	7.89892	8.14920	46.93037	43.91385	11.66557	9.03357	22.37127	10.12680	7.35527	0.00000	1103.03301	7.07899
7.58185	59.26883	42.93369	8.51586	7.77650	39.97056	9.73976	7.07498	42.25738	-72.27814	8.02180	8.37553	22.30289	10.02692	7.06715	1.00000	1157.21447	8.74634
8.54973	38.45303	45.35	8.84115	8.01430	34.58762	8.01712	8.11398	46.30120	126.28333	11.99026	3.59825	23.77194	9.10468	7.43721	0.00000	1191.10925	10.34675
8.12918	42.81847	26.44931	8.88724	7.32047	26.28853	8.88318	7.00781	59.41921	91.61356	7.48970	5.86039	19.66731	9.72517	8.93076	1.00000	1143.59798	8.05514
8.64405	67.69478	11.85	10.25444	8.75114	38.32196	7.54904	7.56069	59.74850	38.01667	7.03006	1.23705	2.23093	7.90282	7.37974	1.00000	1113.12901	11.18699
7.76096	53.61491	3.3285	8.20307	10.55902	63.73722	10.64707	5.83144	61.72419	99.1625	6.95728	3.16168	10.46401	9.03272	13.25139	1.00000	1155.50833	10.14261
7.23831	44.70546	37.52487	9.32297	11.17278	57.95929	9.84199	7.92740	67.95847	-77.55777	7.13595	1.36655	37.46971	7.72441	11.71678	1.00000	1086.86907	10.74527
8.73364	53.49698	-22.53722	7.49527	8.58771	47.06495	10.55908	6.38838	54.17360	-42.98194	9.72064	2.61320	14.05936	8.92245	6.85648	0.00000	1191.23830	10.87496
7.30071	30.16655	48.49144	7.75343	8.88522	55.97999	5.90102	8.79643	40.93906	9.20427	7.06891	1.39232	9.04635	7.77743	8.95847	0.00000	1076.79132	7.60728
8.60346	53.04771	40.68066	10.04999		58.26865	7.70124	6.55340	58.25439	-73.47429	11.38437	16.59289	37.78130	10.75672	10.29481	0.00000	1192.66387	5.21599
7.40573	59.48065	51.42708	9.11428	5.14088	42.81466	7.75513	8.43889	35.44207	-0.91979	7.80401	2.06580	11.24793	8.59655	6.10047	1.00000	1072.64651	9.59932
8.54791	46.64722	41.24255	8.79431	9.13460	61.40572	6.00300	10.06493	61.15485	-82.61573	6.63878	10.59007	6.50148	10.28446	3.12227	1.00000	1155.87634	9.62279
7.04677	50.39665	-22.53722	9.34672	12.62950	60.89618	8.10973	5.98846	40.73038	-42.98194	7.24408	6.24275	22.18687	9.76578	11.64730	1.00000	1192.11853	9.90595
8.26740	35.05499	-7.51611	9.73158	8.06954	37.91224	10.70547	8.06173	34.54108	109.05389	5.95680	5.63129	24.13281	9.62687	8.68640	1.00000	1098.14796	10.06263
9.65672	53.44665	9.535	8.63685	7.88265	79.08399	8.26570	6.78904	39.45254	-13.68778	7.57340	1.59694	24.63590	8.37603	8.26861	1.00000	1171.75699	10.94165
8.50747	40.56318	39.78504	7.07687	8.50525	43.02385	7.17379	8.35895	38.72055	-85.76942	11.06578	1.95825	12.59438	8.50059	8.79395	0.00000	1110.45692	6.24353
9.20418	41.30955	27.52948	8.95566	9.34604	56.66680	10.31107	9.08231	49.00299	68.75915	7.57769	0.90425	7.88672	7.31647	8.17303	0.00000	1138.67634	10.72170
9.74881	54.04393	27.52948	9.26556	6.32000	68.71591	7.09301	9.12352	63.00805	68.75915	7.48586	6.21262	17.42072	9.70993	5.07974	1.00000	1110.48048	7.40479
8.83034	70.78029	29.65163	7.15181	10.63130	35.73861	7.76103	8.29494	76.60626	-82.32483	10.72102	11.13738	24.79136	10.35837	6.45597	0.00000	1166.64570	9.42197
10.68436	44.60673	-26.93366	10.17480	5.98987	67.51809	6.17904	7.24651	28.86877	29.24152	7.67589	1.42595	16.22788	8.17104	8.10933	1.00000	1095.26193	11.11854
11.14455	33.98746	9.82564	7.81326	10.76977	13.66378	9.32211	7.11163	69.78384	78.25795	6.57297	1.75678	14.69834	8.19532	11.48850	1.00000	1099.54339	9.38923
8.10388	56.06699	49.5099	9.27810	5.85789	64.59094	6.03452	8.73518	42.69046	6.74549	7.20107	1.72718	21.93005	8.20851	6.28965	1.00000	1096.99551	9.91650
9.14355	40.60878	36.64852	9.29988	9.71795	41.78568	10.41475	7.77709	16.08708	51.49621	7.53005	3.44412	21.03919	9.13563	10.89703	1.00000	1062.58121	9.48901
10.76174	48.94503	-5.85746	9.52306	8.30344	47.60568	6.58705	7.45475	34.61024	144.23058	7.25390	2.55031	32.07318	8.77555	6.93141	1.00000	1132.26262	13.37736
8.07189	37.83281	35.06667	9.61657	9.22925	55.47093	10.52291	9.35620	54.48087	135.21667	8.47667	0.79441	10.17709	7.25145	7.00927	1.00000	1083.76503	10.74772
8.22715	38.85885	2.2139	11.25824	12.30050	69.05661	7.97985	7.42386	39.84843	102.3278	7.24768	2.03483	21.74575	8.44768	11.21733	1.00000	1068.32367	9.05248
6.99509	42.16561	39.09112	7.41366	7.85080	31.20256	8.39628	6.84143	73.92899	-94.41551	7.92279	2.65791	-7.08288	8.90165	7.83165	1.00000	1191.32184	9.59175
6.85962	41.18609	-15.675	8.99559	9.12862	35.61126	10.35386	6.34699	45.08676	-38.94722	6.41573	2.29654	35.10473	8.55086	9.31631	1.00000	1052.05708	10.83326
8.93784	59.43802	-34.64966	7.03921	7.25494	50.82470	6.03163	9.35246	30.69638	-58.38341	7.61268	2.68741	28.86126	8.80530	2.90775	1.00000	1083.42569	11.98921
9.13079	71.72995	50.23019	8.45933	8.04254	46.29468	5.07477	9.13135	56.15787	8.77155	6.76825	2.54735	7.93003	8.87379	4.06071	1.00000	1064.57705	14.18013
8.06709	47.47094	32.54278	10.69276	7.90708	52.82483	7.80917	6.07035	42.20138	111.50861	7.59256	2.73277	12.84971	8.86320	9.71566	1.00000	1098.40154	11.11981
9.69958	67.42058	22.37066	8.50787	7.16411	53.94782	9.47687	7.26865	34.59011	114.10479	7.91244	2.05570	13.04472	8.62865	6.92160	1.00000	1171.05938	10.16165
6.51201	32.62963	38.91817	10.95701	11.55664	31.07824	8.78241	8.41125	34.16846	-78.19444	9.22301	1.88765	11.08297	8.46847	7.14636	1.00000	1155.39554	11.02522
10.12184	45.58668	50.26729	8.87300	9.24553	56.37413	8.02055	6.78275	63.73441	-119.27337	7.45712	1.82563	19.16971	8.42665	8.44835	1.00000	1051.03064	8.81234
7.53002	43.71167	51.30001	10.11988	10.37187	52.68242	10.07038	7.95336	65.81426	13.10984	8.18273	0.99531	10.14027	7.47625	10.34529	1.00000	1101.65467	9.76094
9.57025	35.50171	42.93369	10.72561	11.00680	59.38342	8.62268	9.25036	41.66636	-72.27814	6.20686	4.58071	12.72833	9.40412	9.56513	1.00000	1074.12083	10.23460
8.03402	46.97419	19.32932	8.15646	11.08833	45.66030	8.48159	6.57248	56.78057	-98.1664	6.22395	2.11568	22.66808	8.67820	8.89051	1.00000	1062.13103	10.47429
8.36819	34.71046	43.1009	9.06728	8.80719	48.90998	8.24337	6.04005	58.25180	-75.23266	10.31992	2.25912	17.04004	8.82482	6.98494	0.00000	1092.15698	9.38628
8.82047	42.20535	41.55947	9.14226	9.87171	49.93211	11.06405	7.95635	41.50165	14.66737	8.89247	0.78140	16.94429	7.55058	11.41161	1.00000	1129.00592	9.34281
8.80465	38.86433	36.06386	8.71061	11.85460	51.82958	8.45929	6.86687	62.91342	4.62744	11.97599	1.67097	16.72475	8.19593	5.75461	0.00000	1145.06267	8.08450
9.10925	37.38712	16.75973	11.03890	11.44685	78.13591	9.07709	7.45498	44.32961	-93.11308	9.42760	1.49547	-1.45205	7.91812	8.27528	1.00000	1185.75717	10.47619
9.80054	44.71374	56.03361	8.53401	8.90975	60.80168	11.29887	6.77508	34.88280	35.96944	6.66323	4.47875	7.81405	9.44636	11.70735	1.00000	1057.09768	10.31703
7.83263	55.11534	-10.95817	8.39092	7.08998	66.89481	12.67284	6.04487	63.23404	-38.79084	6.76706	1.70320	-0.43480	8.21467	10.77422	1.00000	1142.36400	9.91390
9.79880	60.44350	10.7375	10.59114	10.25715	52.90927	8.63042	5.69794	78.58296	122.9666	9.71599	1.90845	7.75796	8.51607	7.99350	0.00000	1183.25035	7.82605
8.93979	73.00620	40.94065	8.48742	11.11474	56.37348	9.41270	6.90257	60.38721	-73.99681	7.84457	1.88727	9.51130	8.43256	9.72832	1.00000	1140.15520	11.04559
9.51226	53.85833	51.14942	10.48518	7.87599	60.88377	5.24094	8.51468	57.33422	15.00835	6.94766	4.61076	0.05303	9.43585	6.25536	1.00000	1178.21048	9.72969
9.86299	55.66601	42.819	9.52832	10.42184	40.44535	10.09482	7.89486	65.44739	47.1192	8.35404	2.68039	25.49483	8.94555	10.18834	1.00000	1070.60689	9.74740
7.65925	53.52700	41.1053	8.97454	10.57189	26.55191	9.83307	7.74766	39.80108	-7.32097	8.47611	2.54366	20.25929	8.82171	9.11114	1.00000	1096.76847	10.73251
8.88592	39.27767	40.85158	10.31354	10.54258	45.22881	10.94172	7.85650	61.50244	122.74754	9.31596	1.48105	16.32935	8.23255	10.51634	1.00000	1077.78276	11.34132
8.44292	48.67874	43.67681	9.19219	8.25476	50.71245	6.80996	8.29906	27.72774	4.63031	9.89762	2.11718	19.65913	8.44090	9.50226	0.00000	1087.42697	6.29100
7.53897	34.55777	41.72059	9.36124	9.08795	72.15973	10.08842	9.32612	68.88251	-87.70172	7.53095	4.59688	24.53209	9.37549	7.58258	1.00000	1101.90950	10.21403
11.30162	48.26411	-17.83333	9.49545	10.22512	44.13360	9.75545	8.94331	43.45912	48.41667	8.17730	2.29807	17.78069	8.52534	8.12649	0.00000	1112.92433	10.17229
8.74974	24.51622	53.14657	10.17035	9.59876	48.74508	8.02470	7.77048	44.88450	140.72287	9.75251	0.93910	-2.20195	7.64805	7.95494	0.00000	1096.36100	4.57410
9.93164	33.61669	53.19146	7.39026	5.31967	46.44509	9.05324	6.06662	44.36332	-2.52398	8.31883	2.50034	17.89386	8.80640	10.12375	1.00000	1086.79977	8.43498
9.07851	44.54172	-25.42944	8.81805	7.41243	53.07733	13.12916	5.09009	60.70582	-50.00639	9.11200	1.47789	19.51728	8.02006	5.92259	0.00000	1063.61976	12.35142
8.77777	47.81966	36.76775	8.55871	6.60053	79.02850	7.43849	5.87246	51.41214	2.95924	7.66867	0.59033	16.80849	6.53520	10.55894	1.00000	1052.02984	11.04811
8.52655	52.96336	11.15583	6.73224	8.74074	45.09290	7.32950	8.69478	44.60714	42.7125	11.05221	2.48643	4.51704	8.79863	9.06751	0.00000	1128.92030	7.03429
8.87141	38.94120	42.97086	8.01022	8.70234	49.75921	9.90635	5.85638	42.98960	-82.42491	7.95683	5.70127	27.34218	9.72880	8.65525	1.00000	1073.90382	13.74760
9.12870	79.38675	-7.01833	7.15671	10.59322	48.07150	7.92748	6.71634	50.51353	107.60389	7.42557	0.83975	27.04488	7.16162	7.80774	0.00000	1052.96515	7.89474
9.56080	39.74323	53.00974	8.95560	7.79903	35.30068	8.79648	5.47721	45.26453	-3.05814	8.20411	1.95984	26.82377	8.46705	9.42628	1.00000	1139.32910	11.78890
8.36556	70.44223	33.42585	7.08860	8.23934	59.61006	11.34820	7.50057	44.27726	-6.00137	6.30608	2.83488	16.54009	8.90229	9.36124	1.00000	1057.96858	10.14897
7.67467	59.48488	39.45621	9.67040	9.45928	60.01114	10.24770	7.68213	57.13464	-77.96389	6.29803	4.09067	19.42460	9.34983	10.23910	0.00000	1176.92979	10.03956
8.42062	53.66327	-20.25333	10.27810	8.19498	62.78484	10.35088	6.57289	37.72165	-43.80139	6.61685	5.83093	-12.01056	9.65960	8.02016	0.00000	1161.63460	8.97371
