latitude	location	longitude	station	QoS	revision
42.64031	Asia/Shanghai	125.51176	Dongfeng	maintenance	11/17/2017, 00:00:00
53.93361	Europe/Moscow	37.92792	Kireyevsk	excellent	09 Jun 2016
6.95194	Asia/Manila	121.96361	Recodo	average	09/28/2020, 00:00:00
29.98869	Asia/Shanghai	122.20488	Zhoushan	building	2018-02-25
34.21639	America/Los_Angeles	-119.0376	Camarillo	accep	2020-12-22
10.61285	Africa/Lagos	12.19458	Biu	good	01/31/2017, 00:00:00
50.23271	Europe/Prague	12.87117	Karlovy Vary	building	13 Nov 2014
45.44868	America/Toronto	-73.81669	Pointe-Claire	excellent	26 Dec 2014
41.55838	America/New_York	-81.56929	Collinwood	maitennce	2022-07-07
34.9	Asia/Tokyo	137.5	Shinshiro	good	2017/12/20
-28.44917	America/Sao_Paulo	-52.2	Marau	accep	08/03/2013, 00:00:00
55.63711	Europe/Moscow	37.38115	Solntsevo	excellent	2018/10/03
43.62558	Europe/Rome	13.39954	Falconara Marittima	excellent	2021/11/24
-7.60361	Africa/Dar_es_Salaam	37.00438	Kidodi	accep	2016/08/28
6.84019	Asia/Colombo	79.87116	Dehiwala-Mount Lavinia	excellent	02/27/2016, 00:00:00
50.5107	Europe/Warsaw	18.30056	Strzelce Opolskie	excellent	19 May 2022
40.70995	Europe/Madrid	0.57856	Amposta	good	2021/05/28
54.03876	Europe/Moscow	43.91385	Kovylkino	good	20 Jan 2022
42.67164	Europe/Rome	14.01481	Roseto degli Abruzzi	accep	2017/08/31
24.81757	Asia/Kolkata	84.63445	Rafiganj	accep	2014/06/03
59.37722	Europe/Tallinn	28.19028	Narva	good	2020-06-22
52.41667	Europe/London	0.75	Thetford	accep	2018/08/14
-27.76952	Africa/Johannesburg	30.79165	Vryheid	good	08/29/2021, 00:00:00
-1.26753	Asia/Makassar	116.82887	Balikpapan	accep	2017-02-18
51.88333	Europe/Berlin	8.51667	Verl	average	2022/08/31
40.93333	Asia/Bishkek	73	Jalal-Abad	accep	09/15/2018, 00:00:00
15.5439	Asia/Kolkata	73.7553	Calangute	excellent	09 Dec 2019
47.38093	America/Los_Angeles	-122.23484	Kent	accep	02/06/2020, 00:00:00
39.46667	Asia/Tokyo	141.95	Yamada	accep	11/12/2018, 00:00:00
33.76446	America/Los_Angeles	-117.79394	North Tustin	good	2021-11-23
11.00599	Asia/Kolkata	77.5609	Kangayam	building	2018/04/18
38.96372	America/New_York	-76.99081	Chillum	average	2017-06-02
42.7392	America/Detroit	-84.62081	Waverly	average	01 Oct 2020
18.87813	Asia/Kolkata	72.93924	Uran	maintenance	2017/05/22
-6.48167	Asia/Jakarta	106.85417	Cibinong	accep	2015-06-23
42.62833	Europe/Belgrade	20.89389	Glogovac	good	10/13/2021, 00:00:00
6.9909	Asia/Colombo	79.883	Hendala	excellent	2021/03/26
47.05	Europe/Vienna	15.46667	Sankt Peter	good	2015-04-07
6.46346	Africa/Accra	-2.31938	Bibiani	excellent	2017-12-23
57.30185	Europe/Moscow	39.85331	Gavrilov-Yam	accep	08/21/2018, 00:00:00
41.8542	America/Chicago	-87.66561	Lower West Side	average	01/03/2015, 00:00:00
36.53333	Asia/Tokyo	136.61667	Nonoichi	building	24 Jan 2015
59.80917	Europe/Moscow	30.38167	Shushary	building	23 Oct 2017
17.06542	America/Mexico_City	-96.72365	Oaxaca	excellent	06/20/2016, 00:00:00
50.64336	Europe/Berlin	7.2278	Bad Honnef	excellent	14 Sep 2018
42.35843	America/New_York	-71.05977	Boston	excellent	2016/03/21
53.46506	Europe/London	-1.47217	Chapletown	good	07/18/2019, 00:00:00
20.28527	America/Mexico_City	-103.42897	Jocotepec	average	2014/01/29
41.75338	America/Indiana/Indianapolis	-86.11084	Granger	maintenance	02/06/2015, 00:00:00
45.51667	Europe/Paris	4.86667	Vienne	maintenance	17 Feb 2020
45.4473	America/Toronto	-73.75335	Dorval	maintenance	2017-04-11
55.38752	Europe/Moscow	36.73307	Naro-Fominsk	good	2018-01-22
36.20829	America/Los_Angeles	-115.98391	Pahrump	maintenance	2017/11/03
53.78333	Europe/London	-1.06667	Selby	average	09/17/2019, 00:00:00
-17.83333	Indian/Antananarivo	48.41667	Ambatondrazaka	good	2017-05-07
33.93113	America/Los_Angeles	-117.54866	Norco	building	2015-02-04
37.65181	Asia/Shanghai	120.33063	Longgang	excellent	2015/01/18
17.94979	America/Mexico_City	-94.91386	Acayucan	maintenance	2016-04-11
7.50251	Africa/Lagos	5.06258	Igbara-Odo	building	08 Feb 2013
41.47892	America/Chicago	-87.45476	Schererville	acceptable	01 Jun 2014
37.1759	Asia/Seoul	128.9889	T’aebaek	good	2022-01-08
37.30553	Asia/Shanghai	120.82747	Zhuangyuan	accep	01 Mar 2021
32.54044	America/New_York	-82.90375	Dublin	good	21 Nov 2021
0.03813	Africa/Nairobi	36.36339	Nyahururu	accep	03/16/2017, 00:00:00
13.51825	Asia/Bangkok	99.95469	Damnoen Saduak	excellent	26 Oct 2013
40.2737	America/New_York	-76.88442	Harrisburg	good	02/06/2015, 00:00:00
8.79577	America/Bogota	-75.69947	San Carlos	good	12/04/2021, 00:00:00
47.92526	America/Chicago	-97.03285	Grand Forks	good	23 Sep 2014
47.98372	Europe/Berlin	10.18527	Memmingen	accep	2017-12-30
56.9083	Asia/Yekaterinburg	60.8019	Beryozovsky	accep	2020/10/31
3.8801	America/Bogota	-77.03116	Buenaventura	good	29 Nov 2013
40.2737	America/New_York	-76.88442	Harrisburg	good	2016/03/04
45.44694	Europe/Rome	8.62118	Novara	maintenance	2020-02-13
4.02219	Asia/Kuala_Lumpur	101.02083	Teluk Intan	average	21 Dec 2018
53.00974	Europe/London	-3.05814	Rhosllanerchrugog	accep	2012-12-25
36.61033	America/Chicago	-88.31476	Murray	good	06 Nov 2012
8.56697	Asia/Manila	123.33471	Dipolog	accep	08/23/2016, 00:00:00
14.8361	Asia/Manila	120.97844	Guyong	accep	2015/10/19
61.72744	Europe/Stockholm	17.10558	Hudiksvall	good	2022-04-05
46.1351	America/Glace_Bay	-60.1831	Sydney	average	2019/08/27
55.62047	Europe/Moscow	37.49338	Tyoply Stan	average	2019-02-06
40.82232	America/New_York	-74.15987	Nutley	excellent	2015/12/31
52.57583	Europe/Amsterdam	6.61944	Hardenberg	good	01/31/2013, 00:00:00
38.54491	America/Los_Angeles	-121.74052	Davis	good	2018-06-07
46.7055	Europe/Moscow	38.2739	Yeysk	average	01/18/2013, 00:00:00
42.97086	America/Detroit	-82.42491	Port Huron	excellent	02 Feb 2020
47.30997	Europe/Zurich	8.52462	Adliswil	accep	2012/10/15
-21.98333	Africa/Windhoek	16.91667	Okahandja	good	24 Feb 2022
-34.74785	America/Argentina/Buenos_Aires	-58.70072	Pontevedra	accep	2019-09-06
48.73218	Europe/Berlin	11.18709	Neuburg an der Donau	building	2019-03-29
6.84019	Asia/Colombo	79.87116	Dehiwala-Mount Lavinia	accep	06 Jul 2022
5.90702	Asia/Kuching	116.10146	Donggongon	good	2013-07-04
-21.44345	America/La_Paz	-65.71875	Tupiza	building	01/19/2014, 00:00:00
9.89206	Africa/Mogadishu	43.38531	Baki	building	2017/09/22
18.00747	America/Jamaica	-76.78319	New Kingston	accep	10 Mar 2014
-23.7975	America/Sao_Paulo	-48.59278	Buri	building	2022-01-08
52.21099	Europe/Berlin	7.02238	Gronau	good	12 Jun 2014
35.82756	Asia/Tokyo	137.95378	Ina	building	2021-10-06
35.05266	America/New_York	-78.87836	Fayetteville	good	2022-06-21
59.33333	Europe/Stockholm	18.28333	Boo	accep	09 Jun 2021
27.0174	Asia/Riyadh	49.62251	Al Jubayl	building	2021/10/25
19.04222	America/Mexico_City	-98.11889	Casa Blanca	good	07 Apr 2019
59.80917	Europe/Moscow	30.38167	Shushary	excellent	2020-07-26
-37.9	Australia/Melbourne	145.18333	Wheelers Hill	accep	26 Jul 2019
33.93113	America/Los_Angeles	-117.54866	Norco	good	05/26/2019, 00:00:00
51.26	Europe/London	-2.1875	Westbury	average	2021/10/23
50.75767	Europe/London	-1.5443	Lymington	good	05/13/2013, 00:00:00
-24.19436	Africa/Johannesburg	29.00974	Mokopane	building	2013-06-15
-6.48167	Asia/Jakarta	106.85417	Cibinong	accep	24 Dec 2012
12.74409	Africa/Bamako	-8.07257	Kati	good	2014/09/30
40.56754	America/Chicago	-89.64066	Pekin	accep	05/25/2022, 00:00:00
51.62907	Europe/London	-0.74934	High Wycombe	good	08/10/2014, 00:00:00
17.30858	Asia/Yangon	97.01124	Kyaikto	excellent	2015/05/03
10.12268	Asia/Kolkata	77.54372	Periyakulam	accep	10/14/2018, 00:00:00
43.61092	Europe/Paris	3.87723	Montpellier	accep	13 Jan 2014
40.87363	Europe/Rome	14.34085	Volla	good	2020/04/01
16.75973	America/Mexico_City	-93.11308	Tuxtla	excellent	09/28/2018, 00:00:00
16.455	Asia/Manila	120.5875	La Trinidad	maintenance	12 Feb 2016
9.89206	Africa/Mogadishu	43.38531	Baki	excellent	2022-01-26
40.98894	Europe/Istanbul	28.67582	Yakuplu	excellent	27 Jul 2015
22.4711	Asia/Kolkata	88.1453	Pujali	good	2016-01-24
48.8222	Europe/Paris	2.12213	Le Chesnay	good	2020-05-04
39.22493	Europe/Istanbul	42.85693	Patnos	average	2017-04-03
49.07866	Europe/Kiev	30.96755	Zvenihorodka	maintenance	01 Mar 2014
29.38242	Asia/Karachi	70.91106	Alipur	accep	24 Jun 2016
31.84568	America/Chicago	-102.36764	Odessa	excellent	2022/07/27
43.61062	America/New_York	-72.97261	Rutland	accep	12/12/2018, 00:00:00
23.29549	Asia/Shanghai	113.82465	Licheng	building	29 Mar 2013
56.56317	Europe/London	-2.58736	Arbroath	building	2017-11-14
51.78771	Asia/Yekaterinburg	56.36091	Saraktash	good	2016/01/25
34.25	Asia/Tokyo	135.31667	Iwade	accep	2017/12/13
10.66668	America/Port_of_Spain	-61.51889	Port of Spain	excellent	2019-11-04
45.43341	America/Toronto	-73.86586	Beaconsfield	building	2015-08-28
39.33427	America/New_York	-76.43941	Middle River	maintenance	2015/02/25
-7.76667	Africa/Dar_es_Salaam	35.7	Iringa	excellent	2020-03-03
52.26083	Europe/Amsterdam	7.00417	Losser	maintenance	2021-05-26
40.72586	Europe/Rome	8.55552	Sassari	accep	16 Jul 2021
40.56754	America/Chicago	-89.64066	Pekin	good	2015-08-01
6.95194	Asia/Manila	121.96361	Recodo	good	15 Aug 2018
30.5427	America/Chicago	-97.54667	Hutto	excellent	12/12/2021, 00:00:00
41.82143	Asia/Tbilisi	41.77921	Kobuleti	average	2014/01/04
49.68369	Europe/Berlin	8.61839	Bensheim	excellent	2014/10/27
16.06213	Asia/Kolkata	76.0586	Hungund	accep	09 Aug 2014
56.11281	Asia/Yekaterinburg	69.49015	Ishim	average	2021-09-16
52.2	Europe/Berlin	8.63333	Kirchlengern	average	2017/09/14
23.18	Asia/Kolkata	88.58	Aistala	maintenance	2013/11/06
50.20528	Europe/Warsaw	19.27498	Jaworzno	average	2013/10/12
45.78071	Europe/Rome	12.84052	Portogruaro	excellent	2017/01/22
5.20856	America/Bogota	-74.73584	Honda	accep	2014-04-27
44.92934	Europe/Moscow	37.99117	Krymsk	accep	16 Jun 2019
59.80917	Europe/Moscow	30.38167	Shushary	building	2019/01/30
26.11527	Asia/Kolkata	86.59509	Supaul	accep	13 Mar 2022
41.6764	America/Chicago	-91.58045	Coralville	accep	15 May 2019
33.72255	America/Los_Angeles	-116.37697	Palm Desert	accep	20 Jul 2019
52.61131	Europe/Berlin	13.31783	Hermsdorf	maintenance	2022-07-16
40.64621	America/New_York	-73.97069	Kensington	accep	2015/06/17
38.96372	America/New_York	-76.99081	Chillum	excellent	30 Aug 2022
43.1009	America/New_York	-75.23266	Utica	accep	2017/03/02
6.8485	Africa/Lagos	3.64633	Shagamu	acceptable	10/24/2014, 00:00:00
43.2907	Europe/Paris	5.4384	Marseille 11	excellent	2013/03/06
48.49144	Europe/Berlin	9.20427	Reutlingen	maintenance	2018/12/07
-10.95817	America/Bahia	-38.79084	Tucano	accep	2021/11/06
44.97639	Europe/Belgrade	19.61222	Sremska Mitrovica	accep	17 Jun 2019
52.57583	Europe/Amsterdam	6.61944	Hardenberg	maintenance	09/13/2015, 00:00:00
43.41949	Asia/Almaty	77.0202	Otegen Batyra	accep	06 Jul 2021
25.67927	America/New_York	-80.31727	Kendall	excellent	29 Feb 2016
-21.42917	America/Sao_Paulo	-45.94722	Alfenas	excellent	20 Jun 2016
51.4781	Asia/Yekaterinburg	57.3552	Kuvandyk	good	2018-09-28
4.94273	Africa/Bangui	15.87735	Carnot	building	07/17/2022, 00:00:00
31.84568	America/Chicago	-102.36764	Odessa	good	2022-05-21
34.65918	Asia/Shanghai	109.22921	Yanliang	good	14 Dec 2020
10.13361	Asia/Manila	124.84472	Maasin	accep	2020/03/22
41.55947	Europe/Rome	14.66737	Campobasso	building	2018/01/10
64.5635	Europe/Moscow	39.8302	Severodvinsk	excellent	2021/03/16
57.14369	Europe/London	-2.09814	Aberdeen	accep	26 Jun 2021
34.77453	America/Chicago	-96.67834	Ada	excellent	2019/08/12
24.81757	Asia/Kolkata	84.63445	Rafiganj	accep	03/06/2014, 00:00:00
35.50056	Asia/Shanghai	117.63083	Pingyi	maintenance	2015-03-27
-19.32556	America/Sao_Paulo	-41.25528	Resplendor	maintenance	25 Jun 2014
44.31771	Europe/Rome	9.32241	Chiavari	building	2018/09/06
35.06544	Africa/Algiers	1.04945	Frenda	building	2019-10-30
-17.73648	Pacific/Efate	168.31366	Port-Vila	good	04/04/2014, 00:00:00
40.65538	America/New_York	-74.38987	Scotch Plains	excellent	2015/11/14
21.53889	Asia/Kolkata	71.57737	Gariadhar	average	06 Jun 2013
53.77166	Europe/Moscow	38.12408	Bogoroditsk	building	21 Jul 2013
37.08819	Europe/Lisbon	-8.2503	Albufeira	accep	2015-09-04
5.90702	Asia/Kuching	116.10146	Donggongon	accep	2013-03-18
34.4833	Asia/Tokyo	136.84186	Toba	average	2022/03/25
6.95194	Asia/Manila	121.96361	Recodo	accep	2019-12-21
36.92574	Europe/Rome	14.72443	Ragusa	average	04/02/2021, 00:00:00
44.89784	Europe/Rome	8.86374	Tortona	good	16 Nov 2012
9.92787	America/Costa_Rica	-84.13722	San Rafael	accep	12/19/2021, 00:00:00
57.30185	Europe/Moscow	39.85331	Gavrilov-Yam	good	2015-04-02
-22.45667	America/Sao_Paulo	-47.53028	Santa Gertrudes	building	18 Jul 2019
41.75338	America/Indiana/Indianapolis	-86.11084	Granger	maintenance	02/26/2017, 00:00:00
43.91452	America/New_York	-69.96533	Brunswick	maitennce	2013/11/03
46.7055	Europe/Moscow	38.2739	Yeysk	good	28 Dec 2020
5.90702	Asia/Kuching	116.10146	Donggongon	excellent	2021-12-30
-34.64167	America/Argentina/Buenos_Aires	-60.47389	Chacabuco	acceptable	2021/12/05
46.08333	Asia/Shanghai	122.08333	Ulanhot	good	24 Sep 2017
30.29184	Asia/Karachi	71.67164	Qadirpur Ran	average	2020/10/16
-27.50578	Australia/Brisbane	153.10236	Carindale	good	2017/12/26
40.5576	America/New_York	-74.28459	Woodbridge	accep	29 Sep 2017
21.28306	America/Merida	-89.66123	Progreso	accep	2020/05/01
-10.90889	America/Maceio	-37.03861	Barra dos Coqueiros	average	2016-12-28
34.25	Asia/Tokyo	135.31667	Iwade	average	2015/10/20
6.15038	Africa/Lagos	6.83042	Nkpor	good	18 Mar 2022
41.47892	America/Chicago	-87.45476	Schererville	accep	2022-08-02
40.24537	America/New_York	-75.64963	Pottstown	excellent	2017/07/28
49.68369	Europe/Berlin	8.61839	Bensheim	excellent	2021-09-01
36.24624	Asia/Tokyo	139.07204	Fujioka	accep	10/14/2018, 00:00:00
24.96334	Africa/Tripoli	10.18003	Ghat	excellent	2022-04-13
41.57721	America/Chicago	-93.71133	West Des Moines	good	2014-01-06
44.22639	Europe/Belgrade	22.53083	Negotin	accep	2017/05/14
34.65918	Asia/Shanghai	109.22921	Yanliang	average	2017-01-13
11.85	Africa/Addis_Ababa	38.01667	Debre Tabor	good	2020/04/20
15.73628	Asia/Kolkata	75.96976	Gajendragarh	excellent	2016/10/14
12.97389	Asia/Manila	123.99333	Sorsogon	average	2021/11/20
50.06	Europe/Volgograd	43.2379	Mikhaylovka	excellent	20 Mar 2021
4.2475	Africa/Douala	9.00472	Idenao	good	06/07/2019, 00:00:00
65.84811	Europe/Helsinki	24.14662	Tornio	average	2020/06/19
8.79577	America/Bogota	-75.69947	San Carlos	good	01/03/2017, 00:00:00
4.02219	Asia/Kuala_Lumpur	101.02083	Teluk Intan	building	2018-07-24
-15.675	America/Bahia	-38.94722	Canavieiras	good	02 Nov 2013
10.61285	Africa/Lagos	12.19458	Biu	average	10/07/2016, 00:00:00
43.62558	Europe/Rome	13.39954	Falconara Marittima	accep	07 Nov 2015
37.31309	Europe/Istanbul	40.74357	Mardin	good	2014-11-22
52.14	Europe/Amsterdam	5.58472	Barneveld	average	2016/03/30
52.2	Europe/Berlin	8.63333	Kirchlengern	building	04/15/2021, 00:00:00
52.4089	Europe/Minsk	31.3237	Dobrush	average	2018/07/05
21.59983	Asia/Kolkata	71.21169	Amreli	good	10/13/2021, 00:00:00
48	Europe/Paris	-4.1	Quimper	average	17 Feb 2016
41.55838	America/New_York	-81.56929	Collinwood	average	12 Dec 2013
23.29549	Asia/Shanghai	113.82465	Licheng	good	2020-07-08
-21.42917	America/Sao_Paulo	-45.94722	Alfenas	good	03 Nov 2017
58.1908	Europe/Moscow	40.17171	Danilov	accep	2017-07-10
36.61033	America/Chicago	-88.31476	Murray	average	01/21/2015, 00:00:00
25.49043	Asia/Kolkata	85.94001	Teghra	accep	04 Jun 2013
48.25	Europe/Vienna	16.4	Floridsdorf	accep	11 Jan 2022
39.96097	America/New_York	-75.60804	West Chester	excellent	2016/12/30
34.86472	Asia/Shanghai	117.55417	Zaozhuang	maintenance	09/09/2014, 00:00:00
48.78232	Europe/Berlin	9.17702	Stuttgart	accep	2021-11-03
55.82885	Europe/London	-4.21376	Rutherglen	building	2022/06/28
41.55815	America/New_York	-73.0515	Waterbury	maintenance	2020-11-29
40.68066	America/New_York	-73.47429	Massapequa	good	2014-05-14
33.45122	America/Chicago	-86.99666	Hueytown	excellent	2016-04-12
26.91756	America/New_York	-82.07842	Punta Gorda Isles	good	2020-04-15
45.50369	Europe/Rome	11.412	Montecchio Maggiore-Alte Ceccato	good	2016-06-30
31.39547	Asia/Jerusalem	34.75699	Rahat	good	18 Oct 2014
34.06635	America/New_York	-84.67837	Acworth	good	2018-01-18
17.30858	Asia/Yangon	97.01124	Kyaikto	building	08/02/2017, 00:00:00
42.64031	Asia/Shanghai	125.51176	Dongfeng	accep	2018-07-15
48.8765	Europe/Paris	2.18967	Rueil-Malmaison	average	2018-01-29
-13.7804	Africa/Blantyre	34.4587	Salima	accep	27 Mar 2020
48.52961	Europe/Berlin	12.16179	Landshut	good	2022/02/11
23.04419	America/Havana	-82.00919	Jaruco	building	2017/04/16
-22.97056	America/Sao_Paulo	-46.99583	Valinhos	accep	10 May 2016
28.98002	Asia/Kolkata	77.70636	Meerut	average	2021/10/30
18.00747	America/Jamaica	-76.78319	New Kingston	average	2020-05-09
42.28639	Europe/Podgorica	18.84	Budva	good	07/26/2013, 00:00:00
23.49668	Asia/Kolkata	86.68363	Adra	average	2014-09-12
-17.83333	Indian/Antananarivo	48.41667	Ambatondrazaka	excellent	2015/04/20
36.6009	Asia/Seoul	126.665	Hongseong	average	2016/10/03
41.16704	America/New_York	-73.20483	Bridgeport	accep	27 Jun 2014
50.72043	Europe/Berlin	11.34046	Rudolstadt	accep	24 Aug 2016
35.8	Asia/Tokyo	137.23333	Gero	building	03/27/2013, 00:00:00
33.92946	America/Los_Angeles	-116.97725	Beaumont	building	12 Sep 2013
45.51667	Europe/Paris	4.86667	Vienne	good	03/07/2017, 00:00:00
33.41012	America/Chicago	-91.06177	Greenville	good	01/12/2015, 00:00:00
38.47917	Europe/Madrid	-1.325	Jumilla	accep	10 Aug 2019
39.57582	America/Denver	-105.11221	Ken Caryl	maintenance	21 Jun 2014
38.68712	Europe/Madrid	-4.10734	Puertollano	accep	26 May 2022
14.67751	America/Martinique	-60.94228	Le Robert	excellent	03/12/2013, 00:00:00
30.81383	Asia/Kolkata	75.16878	Moga	good	03/14/2014, 00:00:00
18.18158	Asia/Kolkata	76.03889	Osmanabad	excellent	2019/07/30
31.20176	Africa/Cairo	29.91582	Alexandria	average	08/30/2018, 00:00:00
36.65	Asia/Tokyo	138.31667	Suzaka	average	2018-07-19
54.60528	Europe/Warsaw	18.34717	Reda	accep	2014-02-18
34.09668	America/Los_Angeles	-117.71978	Claremont	accep	08 Jun 2016
43.1009	America/New_York	-75.23266	Utica	maintenance	2021/07/13
-23.7975	America/Sao_Paulo	-48.59278	Buri	excellent	06/15/2017, 00:00:00
-22.57306	America/Sao_Paulo	-47.1725	Artur Nogueira	excellent	2013/02/04
22.83957	Asia/Dhaka	91.84128	Manikchari	excellent	04 Jul 2013
-4.83	Africa/Dar_es_Salaam	29.65806	Mwandiga	excellent	08/16/2013, 00:00:00
40.65538	America/New_York	-74.38987	Scotch Plains	good	15 Dec 2012
55.64776	Europe/Moscow	38.02486	Malakhovka	maintenance	09 May 2013
8.62261	America/Caracas	-70.20749	Barinas	average	14 Oct 2018
58.63667	Asia/Yekaterinburg	59.80222	Lesnoy	maintenance	15 Sep 2015
39.22493	Europe/Istanbul	42.85693	Patnos	average	02 Dec 2016
-7.0981	Asia/Jakarta	109.3243	Randudongkal	average	2022-02-11
40.37528	Europe/Istanbul	28.88222	Mudanya	maintenance	2013/05/12
35.20889	Asia/Shanghai	111.73861	Changzhi	good	30 Mar 2018
53.77166	Europe/Moscow	38.12408	Bogoroditsk	average	2015/01/24
-5.85746	Pacific/Port_Moresby	144.23058	Mount Hagen	good	2018/01/20
-27.76952	Africa/Johannesburg	30.79165	Vryheid	excellent	05/18/2018, 00:00:00
-2.68333	Africa/Dar_es_Salaam	33	Usagara	average	2014/10/24
33.4425	Asia/Tokyo	129.96972	Karatsu	accep	09 Nov 2013
33.41012	America/Chicago	-91.06177	Greenville	average	2021-05-31
14.67751	America/Martinique	-60.94228	Le Robert	excellent	24 Dec 2018
38.37255	Europe/Istanbul	34.02537	Aksaray	maintenance	07/31/2020, 00:00:00
27.76056	Atlantic/Canary	-15.58602	Maspalomas	excellent	2014-08-10
51.04962	Europe/Berlin	12.1369	Zeitz	average	2015-01-19
53.16167	Europe/Amsterdam	6.76111	Hoogezand	accep	2016-08-16
43.61092	Europe/Paris	3.87723	Montpellier	average	12/29/2018, 00:00:00
41.91886	Europe/Paris	8.73812	Ajaccio	good	07 Aug 2019
34.86472	Asia/Shanghai	117.55417	Zaozhuang	maintenance	2017-04-07
40.93121	America/New_York	-73.89875	Yonkers	accep	2012/10/25
24.96334	Africa/Tripoli	10.18003	Ghat	accep	12/30/2017, 00:00:00
47.80527	America/Los_Angeles	-122.24064	Bothell West	average	2022/04/03
56.03361	Europe/Moscow	35.96944	Volokolamsk	average	07 Oct 2012
44.92934	Europe/Moscow	37.99117	Krymsk	maintenance	2018-09-06
35.61452	America/Chicago	-88.81395	Jackson	building	2017/04/16
-7.81667	Asia/Jakarta	112.01667	Kediri	good	24 Nov 2014
20.14298	America/Havana	-77.43532	Media Luna	average	2016/04/24
5.27247	Africa/Abidjan	-3.59625	Bonoua	average	03/10/2019, 00:00:00
10.20898	Asia/Manila	123.758	Naga	good	19 Apr 2014
34.77453	America/Chicago	-96.67834	Ada	accep	2021/06/22
11.93381	Asia/Kolkata	79.82979	Puducherry	excellent	27 Aug 2016
40.87363	Europe/Rome	14.34085	Volla	excellent	2019-08-13
51.4781	Asia/Yekaterinburg	57.3552	Kuvandyk	good	06 Feb 2014
50.9803	Europe/Berlin	11.32903	Weimar	average	2015/06/12
42.06166	Europe/Madrid	-1.60452	Tudela	average	2013-10-26
53.63333	Europe/Berlin	9.85	Halstenbek	maintenance	2015/10/25
-28.44917	America/Sao_Paulo	-52.2	Marau	building	2021-04-20
-38.16604	Australia/Melbourne	145.13643	Frankston South	good	17 Oct 2017
41.27194	Asia/Shanghai	123.17306	Liaoyang	maintenance	07 Oct 2018
-17.74431	America/Sao_Paulo	-48.62789	Caldas Novas	excellent	2013/06/05
52.66277	Europe/London	-2.01111	Great Wyrley	good	2013-03-14
53.14657	Asia/Vladivostok	140.72287	Nikolayevsk-on-Amure	good	2013-09-30
-11.94306	America/Lima	-76.70944	Chosica	excellent	10/17/2019, 00:00:00
22.37066	Asia/Hong_Kong	114.10479	Tsuen Wan	building	2021/10/30
40.82232	America/New_York	-74.15987	Nutley	maintenance	18 Dec 2020
27.09978	America/New_York	-82.45426	Venice	maintenance	21 Oct 2014
35.88264	America/New_York	-80.08199	Thomasville	average	2018/02/10
36.20389	Asia/Seoul	127.08472	Nonsan	excellent	03/01/2021, 00:00:00
33.45122	America/Chicago	-86.99666	Hueytown	excellent	11/09/2016, 00:00:00
