PM10	NH3	CH4	NOx	latitude	O3	SO2	CO	PRES	warning	Pb	TEMP	PM2.5	C2H3NO5	PAHs	CFCs	H2CO	longitude
4.62309	11.27506	4.90025	7.19914	-13.7804	6.46208	7.94813	7.59285	1100.86869	0.00000	47.71224	8.50180	6.74073	1.21929	5.12937	41.45727	62.80566	34.4587
9.65405	7.48144	3.83641	5.58942	30.24706	6.11544	6.24886	3.89135	1103.79310	1.00000	69.91328	-0.49496	7.73463	43.58507	4.87552	49.83311	51.44835	115.04814
6.28098	9.58433	8.08798	4.13019	45.40008	8.06346	8.08988	5.28296	1142.57195	0.00000	59.61350	24.00463	9.09430	4.62500	9.43611	52.22021	54.75281	-73.58248
8.38843	10.19079	7.06286	7.51286	50.06	8.09805	6.87321	4.73815	1106.24852	1.00000	41.76699	26.95614	8.31216	15.71075	8.11988	40.41920	68.39524	43.2379
8.11951	8.46456	7.60189	10.18480	48.8222	6.66343	8.01695	6.57086	1103.26532	1.00000	58.34768	20.87778	6.37391	12.21170	6.55027	31.58826	48.96820	2.12213
9.09100	9.04211	3.70880	9.10567	22.4711	6.71466	4.84980	5.40474	1126.17251	1.00000	60.63939	16.01350	6.02207	26.33170	3.35103	58.36785	45.84280	88.1453
5.85542	10.13819	5.34343	6.10509	28.98002	5.51663	4.12800	6.86505	1198.68954	0.00000	26.85144	14.58439	7.46859	5.52065	7.08814	60.15250	56.80315	77.70636
3.96205	6.64558	7.21102	10.30830	57.97472	6.74144	7.22570	5.82474	1178.88807	1.00000	60.84490	20.47139	7.87456	1.87388	6.16189	47.85146	36.76803	33.2525
8.14867	10.60320	4.77192	9.33345	-37.32167	6.16302	7.19208	6.41211	1061.38403	1.00000	53.01159	5.37899	7.67213	12.13182	4.11457	61.69036	42.13519	-59.13316
9.14862	6.87637	3.62128	8.08180	26.91756	6.22316	7.20125	4.40419	1054.22105	1.00000	37.72165	19.61923	7.02543	28.18966	3.22973	42.25280	41.07926	-82.07842
8.96420	6.37381	5.56131	5.49086	46.08333	6.93180	6.89042	3.08732	1127.36513	1.00000	36.09993	22.93564	7.02279	25.45411	5.02135	44.06987	29.15214	122.08333
7.54981	7.18064	7.28521	6.91512	58.63667	9.54802	5.01826	7.31077	1147.16781	1.00000	53.99837	-2.39736	6.55073	10.43067	3.00252	66.99608	48.33877	59.80222
8.16112	9.09374	5.84569	9.78603	23.49668	6.70365	7.21015	6.68585	1067.20623	1.00000	39.04677	15.82893	6.94051	13.53179	7.63158	47.62918	45.01734	86.68363
8.86416	10.84957	4.08288	8.96228	34.25	7.38470	7.14906	3.46066	1098.20296	1.00000	57.82091	5.38660	7.91173	23.44334	6.20819	56.79529	49.04142	135.31667
5.26596	6.98869	4.37868	9.66683	59.80917	6.25162	7.47845	5.12395	1060.02856	0.00000	35.87679	17.65848	6.82402	3.59597	5.80107	65.49465	64.77831	30.38167
2.46216	7.01240	4.15855	12.23377	6.15038	9.16677	6.17262	5.90881	1170.29998	1.00000	33.89863	28.47665	3.64755	3.60821	8.26114	0.00961	42.44977	6.83042
7.00133	5.51380	7.71287	6.50046	47.98372	6.98871	6.37331	7.26448	1085.96128	1.00000	69.66000	23.48843	8.62523	8.66725	4.94788	62.35872	42.51750	10.18527
8.82880	6.93712	4.84523	8.52204	52.26083	8.41947	5.32277	6.22253	1142.98564	1.00000	43.09091	23.15635	6.93905	22.74373	5.38256	24.09714	67.22671	7.00417
7.99116	4.06308	5.67780	6.15106	-3.20333	6.88782	6.74714	6.01889	1171.25906	1.00000	48.72194	7.41055	8.31832	9.50352	3.77643	48.20503	20.65408	-52.20639
7.82087	8.42988	8.06783	9.19033	13.70727	6.57145	6.30802	7.11001	1194.65775	1.00000	57.09023	22.35698	5.38628	10.37616	7.26500	71.27622	60.66644	9.15013
9.20665	6.73572	4.89054	6.62911	59.80917	7.36170	7.56623	4.28493	1097.71200	1.00000	33.68566	11.06894	6.39172	31.14759	5.68744	49.92312	38.47255	30.38167
3.34871	6.14887	4.38981	12.01390	46.75451	8.12469	8.02521	5.29118	1116.33871	1.00000	30.83828	15.98347	6.67862	5.76127	5.36020	66.62319	39.93670	33.34864
3.52339	8.60028	6.97984	4.90695	34.06635	8.20225	6.18065	7.17238	1068.85050	0.00000	42.40844	14.34450	7.37593	3.01389	8.61494	38.42658	41.25401	-84.67837
7.60792	9.17175	6.51736	9.36071	3.8801	6.74053	6.58480	7.15909	1068.64436	1.00000	52.77673	4.93418	7.11252	5.47609	4.27068	44.84960	64.17088	-77.03116
6.73974	8.95826	6.82929	8.82142	40.53123	7.10733	7.96364	5.78278	1147.22324	0.00000	47.60979	26.90694	6.76234	5.93693	9.17833	55.30698	62.30580	17.58522
3.40978	7.20408	6.87079	11.64013	43.11667	8.43592	6.44295	5.62403	1174.45033	1.00000	39.90642	30.35424	5.66913	4.65974	7.85636	45.24000	40.99765	1.6
6.32674	5.81037	7.04961	7.61541	35.82756	7.53788	6.53109	5.27105	1062.57774	1.00000	54.31358	18.70488	6.93118	3.35146	6.46109	36.55082	47.27638	137.95378
5.89800	8.91715	7.17079	6.12914	16.68911	4.53639	7.00766	6.16439	1190.84184	0.00000	42.44694	26.78010	7.40321	5.01968	7.93509	31.15913	42.73296	98.50893
7.03576	4.22877	5.40956	7.59301	25.87972	7.10557	5.40880	7.52922	1118.18018	1.00000	41.98024	11.48683	6.35882	8.69232	1.69009	38.18732	35.16135	-97.50417
5.10524	6.80926	5.14604	4.38901	47.98372	6.36245	7.17948	5.57880	1102.13425	0.00000	57.30830	7.92137	7.64168	2.93340	10.43563	31.00745	72.97780	10.18527
4.51169	7.37781		11.58383	45.43341	6.16021	5.78888	6.98668	1129.99851	1.00000	34.71341	39.45793	7.62524	5.29246	4.54020	42.04826	44.47344	-73.86586
8.49288	7.14791	5.45746	8.47927	27.85	7.31109	8.97684	5.88544	1151.47610	1.00000	30.69424	6.73349	5.31727	16.87681	5.25891	31.70450	49.50493	112.9
7.68251	4.16173	5.59483	6.48966	18.00747	5.87485	6.32851	7.70077	1149.62367	1.00000	58.46950	9.01731	6.10083	9.82248	1.95353	44.13263	43.87152	-76.78319
6.39505	4.84684	5.51617	6.62459	45.40008	5.66584	6.90260	5.86148	1051.00091	1.00000	49.86155	14.52769	7.77228	6.60667	6.84677	45.36423	34.89508	-73.58248
4.43283	5.47121	4.50418	9.84502	43.50891	7.90051	5.95766	5.84543	1158.24305	1.00000	69.80362	18.13348	7.48639	5.22766	5.76358	60.41307	50.08662	16.43915
6.59064	8.38058	7.66687	9.13109	36.61033	6.02918	7.86341	7.18831	1130.17693	0.00000	35.79268	33.99832	9.67416	7.74075	9.81920	28.45391		-88.31476
8.63152	9.33506	4.03978	8.75987	52.66277	7.25939	5.68972	5.30883	1101.17156	1.00000	53.17736	8.94183	7.28913	18.86016	5.12124	44.82980	38.63610	-2.01111
6.05986	7.98283	6.99107	6.39195	5.27247	6.97029	5.75772	5.64325	1056.09427	0.00000	47.12787	5.09017	8.85139	3.45722	8.24338	33.72827	36.43156	-3.59625
5.62809	6.98077	7.40295	9.01643	40.5576	7.49444	7.96381	4.09949	1117.44717	1.00000	64.89479	16.67257	6.94509	4.79551	7.18953	77.03379	28.57612	-74.28459
4.90203	8.43340	5.26745	8.47092	-17.83333	7.95814	8.11830	5.17157	1053.36187	0.00000	50.93135	27.21757	6.07100	6.03134	8.46644	28.74380	37.59175	48.41667
5.92932	7.04449	6.14980	8.82121	43.2907	7.39504	7.73709	5.78149	1199.07101	1.00000	43.57183	12.22832	7.30545	6.60891	5.98568	33.78925	45.13154	5.4384
7.89491	8.85362	6.64573	8.74320	14.62578	7.81454	7.00683	5.94108	1086.32891	1.00000	60.32777	31.05952	6.58254	12.21064	5.82338	66.23005	56.50864	121.12251
8.48367	7.56720	5.38164	9.72468	52.71083	7.44305	5.58568	7.56183	1066.55164	1.00000	43.52540	16.93132	6.62844	15.46143	7.24472	52.74979	39.66458	5.74861
9.08564	8.43489	4.19824	8.44991	41.48199	5.95155	6.26337	4.93640	1154.62561	1.00000	57.20033	5.66254	6.78897	25.74691	5.37282	47.46315	38.12634	-81.79819
4.74495	5.45171	6.82900	9.12062	-1.6	5.27089	8.51174	5.34099	1149.51683	1.00000	40.59565	29.63016	7.32345	7.02717	5.83935	51.94088	34.68967	103.61667
4.91495	9.82211	6.55298	7.36660	36.20389	8.14824	6.76813	6.34523	1168.52534	0.00000	18.07629	20.43851	7.84262	3.14187	8.15144	34.98638	55.57975	127.08472
5.58894	8.22853	6.04674	9.48796	34.06635	8.40703	8.46470	5.03112	1130.92338	0.00000	62.34062	19.16238	5.91059	4.44571	7.54746	27.21415	42.54904	-84.67837
6.21746	6.62776	5.37593	8.65956	-10.95817	7.53391	7.40487	4.72074	1133.24847	1.00000	37.65972	18.46305	5.88629	7.51639	6.01736	55.22556	24.36564	-38.79084
6.40525	6.17320	4.62416	10.22848	52.2	6.07168	7.49903	5.12200	1061.73759	0.00000	85.93690	13.96412	8.53660	6.51934	7.55212	47.06093	52.02822	8.63333
6.35439	6.39970	4.01439	8.71674	-17.83333	6.86950	8.38400	5.32095	1185.68198	1.00000	64.21148	10.82492	6.52704	4.03165	6.20317	31.96333	59.06668	48.41667
5.68965	8.87512	5.81707	6.85404	33.08014	6.52496	7.18075	7.38862	1167.57826	0.00000	57.89349	14.41433	5.92090	7.11665	8.47077	29.47898	60.73349	-83.2321
8.20814	6.39085	6.24875	9.50371	45.73333	6.41026	7.95494	7.00155	1125.77068	1.00000	66.75424	10.33471	8.30133	14.83700	5.40207	38.62620	42.71617	4.91667
5.16788	9.48196	4.19654	10.63668	-21.41222	8.46057	8.09171	6.28248	1068.17514	1.00000	51.96853	11.99932	5.21260	5.96134	7.11839	44.51005	60.56617	-42.19667
4.86504	7.11564	5.13733	4.83870	41.55947	6.32329	6.51862	5.52714	1070.53577	0.00000	37.15355	8.88374	7.14792	2.40108	10.00337	41.87433	40.74387	14.66737
3.56757	5.77748	8.74357		44.59445	8.52778	7.58920	6.32914	1059.67976	1.00000	49.15142	12.35294	6.85365	2.59018	7.56667	50.76890	61.13618	11.04979
8.35044	7.60046	6.27852	7.39583	53.53041	9.29227	7.55651	6.05619	1062.87007	1.00000	46.18433	31.91624	7.75446	16.32963	5.08852	66.45629	56.14474	43.67663
8.25515	10.11732	5.88773	7.45041	29.98869	5.78947	7.86703	6.38915	1075.07117	1.00000	38.11373	-2.47554	6.06647	14.99547	5.93584	46.63362	59.80894	122.20488
5.31499	5.78679	5.48849	8.99978	41.55815	8.30393	7.23428	5.78675	1123.36034	0.00000	36.68405	-5.51403	7.78788	5.17654	6.38077	27.83632	44.62207	-73.0515
8.68873	10.01283	5.05495	6.98013	50.5107	7.14659	7.91636	4.61457	1169.58753	1.00000	34.42155	10.34642	10.30480	17.51103	5.61102	77.19815	42.65057	18.30056
9.28253	9.71003	3.65647	7.59417	-28.81833	8.93852	6.79165	3.48523	1087.38789	1.00000	51.35760	16.32207	7.16026	31.39122	6.14557	54.04467	34.04368	-52.51028
5.62121	9.22851	7.79784	8.28807	26.91756	6.25384	8.26059	7.39262	1096.66040	0.00000	54.32661	5.12220	8.28349	4.40199	8.96045	56.02668	32.73517	-82.07842
7.84385	6.76493	6.62301	10.34504	46.18396	6.84969	8.63508	5.67749	1121.62363	0.00000	82.77861	20.89169	7.67419	8.13738	8.19535	42.63061	37.08342	6.10237
6.64879	5.59753	4.98086	7.35796	-4.26613	6.06413	8.07877	7.19016	1073.19137	1.00000	47.43155	8.36179	5.84317	4.70115	5.01875	48.47125	53.07116	15.28318
5.61914	8.43089	4.58653	7.99324	27.09978	7.34701	7.21975	4.30785	1198.23801	0.00000	61.52810	14.17697	8.03148	4.90211	8.44892	53.02458	75.06642	-82.45426
4.29395	6.25410	7.71390	9.02682	46.08333	7.58524	7.60355	5.33372	1054.60046	1.00000	32.40803	8.46950	8.53937	5.00237	8.76254	50.29476	26.70791	122.08333
6.45119	8.73824	7.45054	8.41191	41.15612	9.30176	5.64766	7.16743	1139.62610	0.00000	51.95288	11.20935	5.33637	6.52628	8.63756	54.57563	33.15529	1.10687
6.30832	6.83793	4.70389	5.33659	34.08565	7.70637	6.72315	4.68385	1088.45913	0.00000	55.62953	24.63400	7.75961	6.58967	9.75636	23.62340	39.35761	74.80555
9.03268	10.72314	5.68450	5.10767	0.03813	7.13077	7.18988	3.36189	1182.12367	1.00000	27.54972	28.21813	7.14096	24.37515	5.73927	44.36128	27.95004	36.36339
3.62783	9.03711	6.04873	6.90255	41.09246	6.40760	5.85276	8.08695	1118.21435	0.00000	67.61491	24.92575	8.13244	7.00712	6.54589	55.07412	40.12091	45.36561
8.94615	9.50746	2.80101	9.66833	14.62578	6.54844	6.77880	5.83492	1068.03161	1.00000	58.33666	4.23031	7.27808	25.05826	4.28225	60.89527	12.93007	121.12251
4.59213	8.73289	6.41821	6.75047	-23.7975	6.53902	7.17296	7.19130	1113.51503	0.00000	29.26137	17.32814	8.13323	3.73970	7.08875	55.61228	37.46778	-48.59278
5.49898	5.65619	6.55645	8.18910	50.23805	6.24165	7.87892	5.11825	1096.46705	1.00000	59.04635	31.45296	6.18599	4.10221	6.75430	57.49629	43.71111	8.86704
7.75905	7.42181	7.84364	7.15576	48.35693	5.74445	6.93412	6.37405	1152.48879	1.00000	53.39223	15.67734	5.88851	8.74817	5.77269	45.57068	47.69424	10.98461
3.18326	7.37678	6.45997	5.52811	-21.42917	5.90258	7.54454	7.69842	1086.75972	0.00000	54.52098	29.81374	7.27327	3.42792	8.69054	53.86932	64.05818	-45.94722
7.91811	8.75728	6.84983	7.55858	14.62578	8.85936	8.06694	4.59130	1141.25089	1.00000	64.80221	35.42093	8.46489	11.89580	4.88209	47.81886	34.28036	121.12251
6.46293	7.10910	5.18861	10.01627	4.02219	5.10075	8.44306	4.35577	1132.27148	0.00000	33.24120	4.77555	6.75909	5.72199	8.18093	19.34060	49.63404	101.02083
9.22000	8.74693	4.93949	8.66275	53.83333	6.57230	7.27337	5.00263	1117.52028	1.00000		24.51504	7.10062	31.52848	9.40751	60.24907	38.12490	-2.98333
4.15030	5.52378	6.23101	9.08581	14.67751	6.10894	9.85932	5.32084	1052.96114	1.00000	58.66962	15.76136	7.12034	5.30486	7.59464	43.46466	54.55951	-60.94228
5.70133	7.16684	7.29135	8.67174	35.88264	5.20763	6.87016	4.18270	1072.02349	1.00000	43.42862	6.93907	7.42659	4.73602	7.83990	50.59935	63.18795	-80.08199
7.57375	6.48922	7.66714	8.77588	43.62558	6.59469	7.78770	7.38652	1105.87435	1.00000	57.31591	9.08444	5.82590	9.27155	4.86447	61.33178	52.95509	13.39954
6.99151	5.16503	6.79418	7.46332	-34.88422	7.04804	6.72102	5.12900	1196.27706	1.00000	37.52480	-2.06394	8.35357	7.24916	4.38616	48.33305	23.43221	150.60036
6.02786	5.44245	3.45634	10.28472	32.44874	8.71096	6.18900	4.18781	1176.18772	0.00000	52.71600	24.05732	7.88133	4.99269	7.56234	53.68132	65.71419	-99.73314
8.28037	9.92080	5.96924	5.19957	48.90472	7.86066	7.10407	4.52856	1147.80389	1.00000	55.85762	19.13787	7.12050	12.96817	4.47768	45.11212	35.32513	2.2469
5.13581	3.80739	3.64248	9.41560	-8.05389	8.63921	7.93048	7.59639	1053.38037	1.00000	85.19274	7.85010	6.93680	4.82492	2.44922	39.10988	53.48079	-34.88111
7.44279	7.02319	7.83579	9.80382	10.12268	6.99998	5.85706	7.54855	1124.56445	1.00000	27.52834	-7.57293	5.12609	11.10732	6.53011	46.42205	66.90279	77.54372
8.72753	7.94930	6.29767	7.27390	15.5439	6.55071	5.18826	4.65145	1113.87919	1.00000	42.73732	15.36183	8.01873	19.49072	7.70890	32.60715	59.89693	73.7553
4.93909	6.70282	7.95448	6.12205	51.35084	6.37707	6.26871	6.33878	1095.08514	0.00000	66.20485	21.36858	8.15853	3.13053	9.00955	29.76555	80.02504	-1.99421
5.07184	4.70431	6.44482	8.44112	53.51684	6.39144	6.69911	7.46204	1106.13989	1.00000	58.12521	21.02710	6.41711	4.52781	5.18797	29.35121	48.66739	-113.3187
6.65807	8.79932	5.86688	6.08306	-21.44345	6.74492	8.43412	5.70401	1072.02430	0.00000	75.09999	15.59442	6.87764	6.23175	8.05135	64.18924	42.58412	-65.71875
6.19935	7.89300	3.98829	4.10415	37.30553	7.26848	5.65242	4.00673	1087.03339	0.00000	32.90340	27.45767	9.43945	5.65503	10.15470	51.08315	36.62383	120.82747
4.73170	7.11740	6.24946	9.01921	6.95194	6.23517	6.47843	5.85060	1073.68144	1.00000	47.68887	18.50954	7.37392	6.07484	8.22889	41.85666	43.86131	121.96361
3.91428	6.49637	5.17544	10.29411	45.50369	6.69630	8.12817	6.38173	1141.63917	1.00000	27.55012	23.69061	7.29907	4.43041	7.75127	43.02210	48.79145	11.412
4.85149	8.98438	6.27726	4.40653	40.64621	7.04822	6.78906	5.54255	1115.73552	0.00000	45.50010	23.33701	7.55646	5.22198	8.92500	55.07291	30.92466	-73.97069
9.42224	11.05957		7.65655	53.77166	8.03050	8.08416	2.92732	1158.45253	1.00000	54.92225	9.93102	7.78689	36.38464	6.59764	48.52055	47.53280	38.12408
6.90910	5.51396	5.49618	6.24827	-22.97056	5.86477	7.94345	6.86505	1173.13139	1.00000	54.25626	12.61128	8.10641	8.09748	6.43975	59.49652	37.54548	-46.99583
