revision	QoS	latitude	station	longitude	code
03 Nov 2013	average	35	Komono	136.51667	JP
06/27/2013, 00:00:00	accep	8.62261	Barinas	-70.20749	VE
15 Jul 2018	accep	12.18441	Mongo	18.69303	TD
2015/03/13	good	13.70727	Mirriah	9.15013	NE
2013/05/25	excellent	36.92574	Ragusa	14.72443	IT
09/04/2017, 00:00:00	maintenance	19.32889	San Lorenzo Acopilco	-99.32556	MX
11 Feb 2018	accep	43.83125	Cavaillon	5.03586	FR
2017-02-23	excellent	39.32288	Woodlawn	-76.72803	US
11/21/2018, 00:00:00	excellent	48.90982	Bobigny	2.45012	FR
2020/05/08	average	-0.35817	Kismayo	42.54536	SO
14 Jul 2013	excellent	-7.51611	Wangon	109.05389	ID
2020/01/11	good	33.7207	Indio	-116.21677	US
2018-03-02	average	37.30553	Zhuangyuan	120.82747	CN
2016/06/08	average	8.56697	Dipolog	123.33471	PH
28 Jun 2014	average	43.71032	Dax	-1.05366	FR
2015/05/22	building	39.59611	Edremit	27.02444	TR
2019-11-11	good	16.0438	Manaoag	120.4861	PH
2012/10/24	average	42.7	Aytos	27.25	BG
03/05/2022, 00:00:00	building	50.82882	Lancing	-0.32247	GB
2013-11-06	accep	-2.13404	Milagro	-79.59415	EC
27 Sep 2019	maintenance	41.77583	Hakodate	140.73667	JP
2019/04/01	average	-15.21194	Minas de Marcona	-75.11028	PE
2017/05/26	accep	52.4089	Dobrush	31.3237	BY
2013/10/31	average	-30.60106	Ovalle	-71.19901	CL
2015-08-26	excellent	-1.63333	Franceville	13.58357	GA
2013-10-11	accep	30.17746	Palm Valley	-81.38758	US
2015-03-27	maintenance	48.06919	Gauting	11.37703	DE
2015/08/16	building	31.78336	East Jerusalem	35.23388	PS
2021/10/26	accep	35.06544	Frenda	1.04945	DZ
2020/07/12	excellent	29.21399	Kashipur	78.95693	IN
2012/10/04	building	43.31667	Gernika-Lumo	-2.68333	ES
2018-06-18	average	0.49113	Beni	29.47306	CD
2022/02/05	average	38.45598	Astara	48.87498	AZ
2020/03/29	average	58.7002	Kachkanar	59.4839	RU
2014-08-03	maintenance	30.46907	Kot Addu	70.96699	PK
2020/05/28	good	32.5007	Longview	-94.74049	US
11/02/2020, 00:00:00	maintenance	43.32393	Les Olives	5.4584	FR
2017-10-12	average	28.98002	Meerut	77.70636	IN
18 Aug 2020	good	23.15678	Varadero	-81.24441	CU
2015-10-16	building	35.30889	Kamakura	139.55028	JP
05/08/2022, 00:00:00	excellent	45.35	Shuangcheng	126.28333	CN
22 Oct 2019	accep	55.82885	Rutherglen	-4.21376	GB
28 Sep 2013	accep	32.52515	Shreveport	-93.75018	US
2017-12-16	average	41.85059	Westchester	-87.882	US
2014/01/10	good	3.8801	Buenaventura	-77.03116	CO
2016/10/18	excellent	51.78771	Saraktash	56.36091	RU
2022/02/22	excellent	36.92574	Ragusa	14.72443	IT
2022-07-08	accep	39.22493	Patnos	42.85693	TR
19 Aug 2018	good	34.08565	Srinagar	74.80555	IN
2013/03/25	maintenance	40.68066	Massapequa	-73.47429	US
04/27/2020, 00:00:00	accep	48	Quimper	-4.1	FR
10/01/2017, 00:00:00	good	-28.44917	Marau	-52.2	BR
10/06/2017, 00:00:00	accep	51.40944	Privolzhskiy	46.04833	RU
02/23/2018, 00:00:00	excellent	37.49073	Baza	-2.77259	ES
10/19/2019, 00:00:00	accep	15.72892	Burgos	120.57224	PH
09/22/2022, 00:00:00	accep	-13.7804	Salima	34.4587	MW
10/14/2020, 00:00:00	average	23.07492	Pandua	88.28637	IN
21 Dec 2016	excellent	55.1904	Vitebsk	30.2049	BY
22 Dec 2017	accep	33.41012	Greenville	-91.06177	US
2020-05-25	excellent	48.98693	Gonesse	2.44892	FR
21 Apr 2018	maintenance	-38.16604	Frankston South	145.13643	AU
2013/05/23	maintenance	39.45621	Martinsburg	-77.96389	US
2012/12/17	maintenance	40.82232	Nutley	-74.15987	US
2014/10/19	good	23.02677	Foshan	113.13148	CN
05/05/2020, 00:00:00	good	42.64685	Villaquilambre	-5.55835	ES
01/15/2018, 00:00:00	building	41.27194	Liaoyang	123.17306	CN
2022/05/20	average	-20.87306	Viradouro	-48.29694	BR
21 Aug 2020	building	50.75	Saint-Omer	2.25	FR
2017/12/02	maintenance	16.75973	Tuxtla	-93.11308	MX
08 Jul 2020	maintenance	10.58806	Udumalaippettai	77.24779	IN
2020-05-18	average	22.10194	Barbil	85.37752	IN
2017-01-23	maintenance	18.20854	Santa Cruz de Barahona	-71.10077	DO
07/10/2016, 00:00:00	excellent	9.15093	Chilibre	-79.62098	PA
2017-08-22	excellent	19.64745	Paracho de Verduzco	-102.04897	MX
29 Apr 2020	good	52.09	Zeist	5.23333	NL
2021-01-20	accep	42.22718	Lanciano	14.39024	IT
2021/06/27	accep	45.53069	Gorgonzola	9.40531	IT
18 Jul 2020	average	-27.50578	Carindale	153.10236	AU
2019/11/24	excellent	51.82721	Ulan-Ude	107.60627	RU
2017-11-04	accep	40.82232	Nutley	-74.15987	US
26 Jun 2020	good	43.2907	Marseille 11	5.4384	FR
08/21/2014, 00:00:00	average	68.79833	Harstad	16.54165	NO
05 Apr 2021	excellent	23.5654	Magong	119.58627	TW
2013/02/22	accep	9.58126	Kafanchan	8.2926	NG
06/24/2021, 00:00:00	building	44.59445	Castelfranco Emilia	11.04979	IT
2015/01/05	maintenance	26.32293	Barpeta	91.00632	IN
15 Feb 2014	building	-38.65333	Gisborne	178.00417	NZ
08/05/2017, 00:00:00	good	28.98002	Meerut	77.70636	IN
08/19/2017, 00:00:00	accep	41.24264	Bisceglie	16.50104	IT
2013-08-15	accep	45.44694	Novara	8.62118	IT
05/12/2020, 00:00:00	accep	44.35056	Nayoro	142.45778	JP
2013/08/16	average	31.71667	Sangla Hill	73.38333	PK
06 Nov 2020	building	47.98372	Memmingen	10.18527	DE
03/26/2014, 00:00:00	average	-11.48472	Rio Real	-37.93278	BR
2021/04/03	accep	47.56494	Voznesensk	31.33078	UA
29 Nov 2021	accep	49.97704	Aschaffenburg	9.15214	DE
10 Jun 2015	maintenance	40.42386	San Fernando de Henares	-3.53261	ES
09/28/2012, 00:00:00	building	7.50251	Igbara-Odo	5.06258	NG
2021-02-24	average	37.49073	Baza	-2.77259	ES
16 Aug 2022	good	60.2052	Espoo	24.6522	FI
02/07/2016, 00:00:00	average	51.04962	Zeitz	12.1369	DE
2020-12-08	building	25.49043	Teghra	85.94001	IN
2016/02/25	accep	40.5576	Woodbridge	-74.28459	US
16 Jun 2015	good	33.45122	Hueytown	-86.99666	US
06/16/2022, 00:00:00	accep	0.49113	Beni	29.47306	CD
21 Mar 2015	good	14.53767	Ataq	46.83187	YE
2021/10/01	average	50.09019	Hofheim am Taunus	8.4493	DE
2019/02/08	good	43.96222	Novopavlovsk	43.63417	RU
01/31/2022, 00:00:00	average	31.12406	Copperas Cove	-97.90308	US
07/27/2016, 00:00:00	maintenance	48.8449	Skalica	17.22635	SK
2016-07-19	excellent	32.05971	Ganei Tikva	34.8732	IL
2016/08/24	average	52.86147	Walsrode	9.5926	DE
12 Jun 2014	building	40.49748	Hrazdan	44.7662	AM
14 Jun 2021	average	40.49748	Hrazdan	44.7662	AM
2019-03-23	maintenance	-31.4488	Esperanza	-60.93173	AR
2013/04/21	maintenance	50.5107	Strzelce Opolskie	18.30056	PL
06/20/2022, 00:00:00	maintenance	33.4425	Karatsu	129.96972	JP
30 Nov 2017	average	30.21121	Malaut	74.4818	IN
2017-02-21	accep	53.69786	Leyland	-2.68758	GB
02 Sep 2014	accep	-6.91806	Sukabumi	106.92667	ID
2012-10-01	average	8.56697	Dipolog	123.33471	PH
2015/02/07	average	56.11281	Ishim	69.49015	RU
2014-06-29	excellent	33.86419	Aleshtar	48.26258	IR
05 Oct 2015	good	26.68451	Belle Glade	-80.66756	US
09/25/2013, 00:00:00	building	17.34769	Lal Bahadur Nagar	78.55757	IN
2013-06-26	good	41.55838	Collinwood	-81.56929	US
2012/12/27	maintenance	-21.42917	Alfenas	-45.94722	BR
06/09/2021, 00:00:00	maintenance	-20.87306	Viradouro	-48.29694	BR
12/12/2018, 00:00:00	excellent	51.65333	Vught	5.2875	NL
11 Jan 2015	average	-31.4488	Esperanza	-60.93173	AR
2016/05/22	excellent	32.44874	Abilene	-99.73314	US
08 Nov 2014	maintenance	-7.01833	Pameungpeuk	107.60389	ID
2018-11-24	average	35.06667	Sasayama	135.21667	JP
08/09/2019, 00:00:00	average	48.35693	Friedberg	10.98461	DE
2016-05-09	maintenance	37.49223	Catania	15.07041	IT
01 May 2014	average	52.4089	Dobrush	31.3237	BY
2016/10/24	average	53.95278	Roslavl’	32.86389	RU
14 Feb 2017	average	51.44889	Tongelre	5.51978	NL
07 May 2020	excellent	38.47917	Jumilla	-1.325	ES
05/06/2016, 00:00:00	excellent	-1.63333	Franceville	13.58357	GA
15 May 2020	excellent	45.78071	Portogruaro	12.84052	IT
09/14/2016, 00:00:00	excellent	32.50611	Jiangyan	120.14278	CN
02 Dec 2017	building	10.58806	Udumalaippettai	77.24779	IN
2016/10/25	good	16.0438	Manaoag	120.4861	PH
2017-11-11	excellent	-34.74785	Pontevedra	-58.70072	AR
2018-01-26	accep	11.00599	Kangayam	77.5609	IN
2018/06/11	accep	26.68451	Belle Glade	-80.66756	US
2020-08-24	accep	46.51872	Hoxtolgay	86.00214	CN
28 Jul 2022	excellent	40.5576	Woodbridge	-74.28459	US
2022-05-24	building	36.20389	Nonsan	127.08472	KR
2013-02-09	average	50.5107	Strzelce Opolskie	18.30056	PL
2014-07-27	good	22.19303	Diamond Harbour	88.18466	IN
01/07/2017, 00:00:00	building	30.17746	Palm Valley	-81.38758	US
2013-10-03	excellent	25.95533	Jhol	68.88871	PK
2020/02/14	good	54.8421	Alatyr’	46.5813	RU
02 Dec 2020	average	11.15583	'Ali Sabieh	42.7125	DJ
2020-10-21	average	41.48199	Lakewood	-81.79819	US
31 Jan 2017	accep	12.74482	Argungu	4.52514	NG
09/29/2020, 00:00:00	building	53.77166	Bogoroditsk	38.12408	RU
07/21/2016, 00:00:00	good	-21.205	Itaperuna	-41.88778	BR
2018-11-09	good	50.79205	Southsea	-1.08593	GB
07/25/2021, 00:00:00	excellent	29.21399	Kashipur	78.95693	IN
11 May 2016	good	26.32293	Barpeta	91.00632	IN
05 Sep 2018	excellent	21.59983	Amreli	71.21169	IN
12/17/2021, 00:00:00	accep	53.43333	Athlone	-7.95	IE
2022/09/04	excellent	-38.16604	Frankston South	145.13643	AU
2018/11/18	building	35.88264	Thomasville	-80.08199	US
2020/12/28	average	41.85059	Westchester	-87.882	US
2019-07-09	building	33.98154	Lexington	-81.23621	US
06/27/2020, 00:00:00	maintenance	22.49396	Acaponeta	-105.36369	MX
02/26/2017, 00:00:00	excellent	19.32932	Contla	-98.1664	MX
2016-09-08	average	13.70167	Ilopango	-89.10944	SV
2017-05-25	excellent	37.13548	Las Gabias	-3.67029	ES
2017-01-12	excellent	45.35	Shuangcheng	126.28333	CN
10/30/2015, 00:00:00	excellent	-38.16604	Frankston South	145.13643	AU
08/10/2014, 00:00:00	building	46.75451	Nova Kakhovka	33.34864	UA
2013/12/29	average	-54.8	Ushuaia	-68.3	AR
07/07/2015, 00:00:00	excellent	38.07789	Villabate	13.44275	IT
10 Oct 2012	good	12.74482	Argungu	4.52514	NG
2016/06/25	average	14.8361	Guyong	120.97844	PH
01 Jan 2014	good	54.48147	Oktyabr’skiy	53.47103	RU
2021-02-08	excellent	33.86419	Aleshtar	48.26258	IR
10/07/2018, 00:00:00	good	30.76468	Kanganpur	74.12286	PK
04 Nov 2017	accep	-6.8	Magomeni	39.25	TZ
16 Jul 2019	average	-1.26424	Simpang	104.09701	ID
2015/03/15	maintenance	47.05	Sankt Peter	15.46667	AT
2013/02/25	excellent	-34.74785	Pontevedra	-58.70072	AR
2014-03-26	maintenance	27.85	Xiangtan	112.9	CN
2015/09/24	average	-31.4488	Esperanza	-60.93173	AR
11/16/2013, 00:00:00	average	40.94065	Dumont	-73.99681	US
2019-12-28	good	-17.73648	Port-Vila	168.31366	VU
11 Jan 2022	good	4.73245	Madrid	-74.26419	CO
31 Jan 2014	accep	46.75451	Nova Kakhovka	33.34864	UA
07/04/2017, 00:00:00	excellent	47.4943	Bryn Mawr-Skyway	-122.24092	US
2016-10-12	building	42.52787	Peabody	-70.92866	US
2014-03-01	excellent	-21.98333	Okahandja	16.91667	NA
2018/08/20	good	41.50343	Newburgh	-74.01042	US
2021-07-27	good	34.15429	Messaad	3.50309	DZ
2017/12/28	good	50.75767	Lymington	-1.5443	GB
07/20/2021, 00:00:00	building	35.72917	Msaken	10.58082	TN
2020/09/08	building	58.23583	Lesosibirsk	92.48278	RU
2019/08/16	good	40.87363	Volla	14.34085	IT
2018/02/06	accep	52.61131	Hermsdorf	13.31783	DE
2015/07/04	average	39.00622	Sterling	-77.4286	US
2015/02/12	average	-13.7804	Salima	34.4587	MW
2020-10-30	excellent	-44.39672	Timaru	171.25364	NZ
2016/09/13	average	27.09978	Venice	-82.45426	US
2019-07-13	average	34.14251	Glendale	-118.25508	US
03 May 2014	average	18.51957	Pune	73.85535	IN
05/31/2021, 00:00:00	maintenance	44.92934	Krymsk	37.99117	RU
2019/05/02	excellent	53.77166	Bogoroditsk	38.12408	RU
01 Jun 2016	accep	39.00622	Sterling	-77.4286	US
02 Nov 2019	good	24.96334	Ghat	10.18003	LY
2019-07-25	accep	-7.54972	Ngemplak	110.71639	ID
05 Jul 2014	excellent	32.5007	Longview	-94.74049	US
2013/05/20	accep	32.9156	Mira Mesa	-117.14392	US
2017-07-03	average	-38.65333	Gisborne	178.00417	NZ
14 Sep 2014	average	35.74788	Muskogee	-95.36969	US
16 Oct 2015	accep	31.78336	East Jerusalem	35.23388	PS
2015/01/26	accep	30.16688	Brenham	-96.39774	US
2017-05-31	excellent	36.82167	Eisen	128.63083	KR
2018/07/29	excellent	-10.90889	Barra dos Coqueiros	-37.03861	BR
2018/03/25	good	-33.79176	Eastwood	151.08057	AU
2020/11/06	good	38.58894	Fairview Heights	-89.99038	US
2022/08/03	good	53.83333	Poulton-le-Fylde	-2.98333	GB
12/25/2018, 00:00:00	maintenance	53.38333	Gainsborough	-0.76667	GB
2020/06/11	average	51.84819	Walton-on-the-Naze	1.26738	GB
08/17/2019, 00:00:00	good	46.23899	Charlottetown	-63.13414	CA
2016/10/15	excellent	-10.91111	Aracaju	-37.07167	BR
12/07/2021, 00:00:00	good	48.77644	Sceaux	2.29026	FR
03 May 2017	accep	47.30997	Adliswil	8.52462	CH
2017/11/28	excellent	54.90083	Stupino	38.07083	RU
2020/05/29	average	52.4581	Dahlem	13.28702	DE
07 Oct 2018	good	35.64889	Sishui	117.27583	CN
2015-12-12	average	55.67938	Frederiksberg	12.53463	DK
21 Sep 2018	building	46.7055	Yeysk	38.2739	RU
2014/07/30	excellent	2.2139	Kampung Ayer Molek	102.3278	MY
2016/02/18	average	36.20389	Nonsan	127.08472	KR
2013/10/09	excellent	20.88098	Parola	75.11937	IN
2020-06-11	average	8.56697	Dipolog	123.33471	PH
10/26/2013, 00:00:00	average	37.56667	Inawashiro	140.11667	JP
2022-02-09	excellent	34.06635	Acworth	-84.67837	US
19 Nov 2015	building	37.31065	Agrigento	13.57661	IT
16 Jan 2014	accep	45.43341	Beaconsfield	-73.86586	CA
03/08/2015, 00:00:00	average	60.18427	Kallio	24.95034	FI
10 Jun 2018	maintenance	33.44872	Vestavia Hills	-86.78777	US
02 Jan 2013	excellent	42.06166	Tudela	-1.60452	ES
03/09/2016, 00:00:00	building	43.83125	Cavaillon	5.03586	FR
2017-04-18	building	48.98994	Herblay	2.1699	FR
2020-04-11	average	40.63316	Port Richmond	-74.13653	US
2016-04-27	excellent	16.0567	Roi Et	103.65309	TH
2019/03/28	maintenance	32.54044	Dublin	-82.90375	US
10 Jan 2016	good	5.4709	Batu Feringgi	100.24529	MY
13 Jun 2014	excellent	50.76306	Cowes	-1.29772	GB
2013-07-20	maintenance	38.37255	Aksaray	34.02537	TR
07/05/2015, 00:00:00	accep	52.71083	Emmeloord	5.74861	NL
01 Jun 2017	average	17.54907	Elamanchili	82.85749	IN
2015/09/14	building	38.07789	Villabate	13.44275	IT
07/06/2018, 00:00:00	average	48.46458	Pfullingen	9.22796	DE
09/19/2020, 00:00:00	excellent	54.48147	Oktyabr’skiy	53.47103	RU
16 Oct 2019	good	21.46527	Sambalpur	83.97573	IN
2020-02-20	good	38.70734	Fort Washington	-77.02303	US
2019-02-07	good	22.10194	Barbil	85.37752	IN
2019/09/03	good	15.48131	Olanchito	-86.57415	HN
2019/08/30	good	42.7392	Waverly	-84.62081	US
08/04/2017, 00:00:00	good	60.18427	Kallio	24.95034	FI
2019/11/16	maintenance	36.19278	Laiwu	117.65694	CN
12 Jan 2020	accep	48.07667	Trossingen	8.64409	DE
2019/08/04	average	29.38242	Alipur	70.91106	PK
2018/01/17	excellent	50.7236	Exeter	-3.52751	GB
2014-06-14	maintenance	55.67938	Frederiksberg	12.53463	DK
2022/08/10	average	21.34222	Kundla	71.30633	IN
2012/12/20	excellent	3.3285	Tebingtinggi	99.1625	ID
14 May 2015	good	44.92801	Valence	4.8951	FR
01/01/2013, 00:00:00	good	10.98778	Puerto Colombia	-74.95472	CO
2021/10/04	accep	3.51667	Mbalmayo	11.5	CM
2012/12/05	accep	42.67164	Roseto degli Abruzzi	14.01481	IT
01/08/2014, 00:00:00	accep	43.11667	Pamiers	1.6	FR
