PAHs	C2H3NO5	SO2	longitude	warning	Pb	PM10	PRES	CO	NH3	TEMP	O3	CFCs	PM2.5	latitude	CH4	NOx	H2CO
7.74764	0.71599	7.84110	114.51667	0.00000	51.07554	8.59467	1141.11039	5.39406	6.55362	15.46382	9.42624	31.80140	4.86489	33.78333	7.65685	4.59098	36.31602
5.44871	2.76625	8.62970	34.8732	1.00000	51.85071	10.11875	1080.42453	8.48582	8.72943	5.82800	7.29801	49.77819	8.29842	32.05971	10.40989	7.89203	33.99616
7.19699	0.59400	9.14462	14.51472	1.00000	54.60566	8.38868	1096.78848	10.37132	6.28557	0.17374	7.97952	53.01426	7.02933	35.89972		5.11626	43.42953
6.86754	0.62328	6.33235	42.54536	0.00000	45.71977	8.32591	1125.24716	6.97813	8.89303	33.69957	7.30504	60.38045	5.63575	-0.35817	10.92912	9.52856	55.58197
7.24814	0.44098	5.53392	-37.03861	0.00000	51.02514	7.78219	1108.50163	5.78667	6.80316	5.66282	6.89573	88.17664	8.94972	-10.90889	11.43897	7.21173	60.29612
6.38280	9.09570		2.2469	0.00000	60.86820	11.34721	1169.28163	8.31737	6.90691	23.23437	8.22641	44.89655	7.99706	48.90472	5.36901	7.97816	37.42902
10.14132	0.44623	7.45496	8.4493	1.00000	49.70712	7.82451	1082.15866	10.94849	5.64207	20.99869	8.27656	36.63964	5.06685	50.09019	9.74345	5.17240	48.01791
4.84000	1.80545	6.82211	11.412	0.00000	52.91805	9.68638	1147.20253	5.72821	8.38918	27.44110	7.73933	63.10671	7.17455	45.50369	4.73329	7.32237	
5.63399	0.35702	8.29013	-76.72803	1.00000	55.35453	7.74116	1156.53549	5.16471	7.07950	30.58020	7.46449	66.85833	5.79319	39.32288	5.80477	7.47043	28.67003
6.33706	0.27052	8.72989	48.26258	0.00000	68.17744	7.09483	1112.47584	8.42632	8.12439	20.32082	7.02505	39.68872	5.30436	33.86419	3.56543	4.87888	51.93763
7.39970	0.28712	5.28800	11.32903	1.00000	53.36263	6.90092	1050.71706	6.31931	7.11631	26.72871	7.21122	53.18086	7.16163	50.9803	6.96915	6.00775	38.58996
5.50521	2.89598	7.62875	-72.97261	1.00000	62.32037	10.15017	1142.23058		7.86886	31.88493	7.05189	42.42356	5.39752	43.61062	9.86384	6.78035	51.71412
8.70506	0.14057	7.92585	85.94001	0.00000	59.41951	2.61531	1168.22576	9.04034	7.89625	-1.15983	7.82925	37.69701	7.76091	25.49043	10.04001	10.35725	44.49007
7.30735	1.39935	9.33543	74.12286	0.00000	50.72418	9.40137	1080.89944	7.43933	7.91950	19.23752	6.50964	43.70529	7.22863	30.76468	8.42012	8.86794	32.57817
6.00051	12.16336	8.22980	-74.15987	0.00000	53.04312	11.65502	1097.21782	5.71357	8.44840	13.73257	6.52678	60.12987	6.68117	40.82232	4.72834	4.28247	49.01555
8.62523	0.47493	5.55166	-74.96933	0.00000	46.66648	7.93861	1066.86168	7.24437	7.66122	4.82640	7.80237	34.67182	4.84509	39.71734	7.77668	6.40321	34.13553
9.31042	0.74842	6.91302	41.77921	1.00000	28.13607	8.61748	1150.10890	8.43047	6.72735	20.06156	8.58172	34.67113	7.07843	41.82143	12.05344	6.06013	88.50941
6.58766	0.78509	8.58650	-87.45476	1.00000	57.98575	8.64472	1057.78865	9.32319	7.68436	18.52243	7.40785	48.82472	5.58551	41.47892	9.42194	5.91811	43.19848
6.41138	0.38928	7.00218	-3.67029	1.00000	56.79471	7.84099	1169.70192	5.29712	5.99181	16.22444	7.41235	57.64979	6.33270	37.13548	7.32194	7.25779	70.27450
6.97474	0.12585	8.00908	-81.23621	1.00000	50.38390	3.75358	1127.21126	8.76148	8.73897	13.08490	8.75818	74.67464	6.90525	33.98154	5.33264	7.51838	42.90845
6.07061	0.16223	8.52671	3.47717	1.00000	53.52050	5.24878	1085.62858	6.21570	7.41291	12.59638	7.26732	56.23700	6.05501	36.76639	6.47183	6.97001	18.14469
5.48195	0.85180	8.08255	-1.29772	0.00000	22.40914	8.87378	1065.12531	5.23457	7.11521	-0.29268	6.44168	57.94671	6.19761	50.76306	9.65336	8.75729	58.65329
5.46900	0.20315	6.31847	-74.01042	1.00000	44.07546	5.93444	1172.88253	6.12889	6.42726	12.91038	8.08883	49.40620	5.70583	41.50343	6.50634	4.28000	33.27367
5.51223	0.31512	8.78341	39.8302	1.00000	57.60895	7.59677	1083.42664	4.84482	8.32476	24.87917	6.82264	66.57061	5.71946	64.5635	6.17221	6.28384	44.09682
8.79104	0.23987	6.73233	-45.94722	1.00000	69.41753	6.56603	1072.55088	10.75031	7.35830	3.02469	7.39502	43.07180	7.76760	-21.42917	8.31998	4.19981	58.82892
9.22115	0.25106	6.49498	6.83042	1.00000	36.30677	6.80731	1098.08638	11.91215	8.11894	21.44436	5.98156	47.66769	6.48064	6.15038	8.00679	5.60801	40.01911
8.69492	0.35450	7.39853	8.86374	1.00000	62.47867	7.24138	1194.88176	10.72815	5.56679	5.97369	7.42192	43.62518	6.12562	44.89784	8.67862	4.89542	34.81687
5.39158	0.37070	7.64844	14.34085	0.00000	41.52916	7.61329	1191.94377	6.50289	8.64772	15.74472	7.39038		6.87673	40.87363	6.26527	8.01729	34.33281
6.25524	0.19237	7.32398	-121.75689	1.00000	47.07732	6.00589	1172.59249	6.97633	8.32569	26.49331	6.60144	76.52028	6.28146	36.91023	6.05090	5.24631	42.13770
8.06705	1.27394	8.49754	83.62389	1.00000	51.02828	9.20298	1172.41126	9.25847	8.36191	3.36526	7.01623	45.57541	7.15432	53.30972	10.08009	7.80026	69.72859
7.22895	0.13456	6.84380	4.8951	1.00000	30.56916	5.04252	1106.84882	8.28610	6.07839	2.45714	8.42203	47.21896	7.05003	44.92801	5.65867	6.23530	41.91354
4.16023	2.22305	8.52323	76.35484	1.00000	26.89000	9.91607	1157.97187	9.52832	9.69352	14.22337	7.80513	48.92850	7.35571	10.10649	8.28337	7.89974	61.06513
4.31293	0.53211	7.27855	-84.67837	1.00000	41.52576	8.47681	1133.24386	3.73180	7.44074	23.28075	7.28755	40.93882	4.92470	34.06635	7.05600	7.81206	52.26863
7.83205	0.97587	7.35518	-116.21677	0.00000	50.24304	9.04909	1075.68366	7.31509	8.50871	-3.66376	8.08700	49.41153	5.43013	33.7207	6.12240	5.84540	42.00215
7.03178	1.94163	7.36387	8.86374	1.00000	28.13255	9.76084	1175.05825	8.45482	6.46535	3.27111	7.66386	28.98440	6.02360	44.89784	11.13058	7.17102	64.75038
8.78429	0.13550	9.36111	-93.75018	0.00000	26.20725	3.85271	1158.44968	7.78317	9.21849	21.64384	6.15339	64.40162	8.35647	32.52515	11.36374	10.48689	51.36615
3.99942	0.74046	9.32193	9.29109	1.00000	62.29697	8.53946	1193.98904	9.98801	6.23259	10.94925	6.26467	48.04253	6.50661	45.39402	7.08620	6.83025	47.84859
4.38397	0.48182	7.48649	-60.1831	0.00000	56.56958	7.95006	1066.66532	7.14821	10.00287	27.90703	5.22076	74.26598	6.69272	46.1351	2.29001	7.81962	47.78764
6.06623	0.53710	8.28914	53.47103	1.00000	37.65580	8.31445	1055.56099	8.11036	10.47579	22.33066	8.07337	71.76800	5.42363	54.48147	9.00915	4.99869	37.33798
6.26899	0.30233	7.41544	5.58472	0.00000	53.38691	7.36552	1191.75201	6.50544	7.62307	-5.82956	8.07508	48.15170	6.21358	52.14	7.43429	6.29645	50.23812
6.91025	0.14884	6.98088	117.27583	1.00000	45.29774	4.99242	1195.18166	7.19922	5.70078	17.66953	8.36065	41.79017	6.82353	35.64889	6.58597	8.37201	24.61062
6.09397	0.16361	8.22143	-0.91979	1.00000	60.65745	4.91436	1055.75271	6.49737	7.59622	25.18479	7.50510	63.53067	6.04648	51.42708	6.45383	6.72285	67.75234
9.04843	0.19568	6.66760	99.96667	1.00000	58.89058	5.79252	1081.66126	9.20716	8.00063	16.69632	8.13542	30.87030	8.49997	8.43333	5.48379	6.58565	53.66506
3.96035	6.52622	6.91134	1.04945	1.00000	42.13038	11.00826	1158.05993	7.40640	7.53917	-5.27204	9.15289	56.44256	6.54872	35.06544	8.97594	7.19460	40.98462
5.65611	0.33314	8.19834	24.71204	0.00000	40.92519	7.48276	1111.76279	5.66362	8.02294	8.92617	7.21320	70.89284	8.45859	41.57439	12.06877	8.24650	48.71045
7.67563	1.60005	7.49115	-13.2356	1.00000	65.92043	9.55183	1135.25995	9.74128	5.94904	6.41954	7.89998	44.04620	5.67633	8.48714	10.94925	6.62834	43.91981
6.22055	0.19245	6.11639	-82.46148	1.00000	38.78146	6.41102	1069.63188	6.04327	7.50033	14.70425	8.15330	53.12735	6.20383	28.15112	6.58664	6.61050	25.80706
	0.63606	6.70461	27.18052	1.00000	45.96285	8.46643	1082.79303	7.61556	8.17316	11.14838	7.65726	75.04532	4.53435	39.12074	9.80433	5.62728	45.01997
4.94587	0.91911	7.58224	-1.5443	1.00000	61.73692	9.03045	1088.42955	8.57711	6.49518	6.51913	6.54375	49.51141		50.75767	7.57840	5.85834	47.83678
4.34337	1.79894	9.81582	-87.882	1.00000	30.06192	9.64542	1078.70929	10.72233	8.49278	24.58898	8.01640	40.73796	6.78721	41.85059	7.84641	6.99824	59.82490
4.23776	3.75981	7.50020	136.51667	0.00000	59.69361	10.42615	1198.83472	4.64766	6.67091	5.92896	7.88187	48.34708	6.26206	35	9.32693	6.74011	68.07012
6.10256	0.42877	7.24735	115.04814	1.00000	44.31733	7.93548	1115.68889	6.53211	7.64104	21.62094	7.59731	39.09486	6.37966	30.24706	6.21717	5.77704	50.35895
5.32320	0.19109	8.07359	102.3278	1.00000	61.76534	7.31587	1091.50466	3.93965	8.06148	33.64858	6.59232	54.04637	5.39279	2.2139	7.26725	5.62333	54.51037
6.83393	0.15747	7.41495	24.71204	1.00000	46.25345	6.41660	1129.93992	6.12713	6.51308	23.58321	8.78732	71.19010	6.78626	41.57439	7.44049	6.73922	50.11778
5.42359	0.16717	8.40961	74.4818	1.00000	36.73301	4.70290	1158.39686	6.18656	7.94755	17.74223	7.98646	60.15834	5.37549	30.21121	5.96349	7.45117	36.19358
6.38163	1.64990	7.56479	-82.4017	0.00000	60.12346	9.57021	1068.26682	6.21036	8.46530	13.13955	9.59896	51.11507	6.59333	23.0072	6.40377	6.51226	55.87619
3.35815	2.69399	6.21739	-111.90466	0.00000	53.24966	10.09768	1084.46218	2.92732	7.99661	8.05274	7.08762	43.79731	3.32408	40.34912	6.33925	8.94034	53.18396
5.42135	0.28540	6.77887	2.18967	0.00000	37.25991	4.59851	1095.85532	5.62122	7.95223	13.15612	8.24051	50.12391	4.17208	48.8765	4.94228	9.67642	27.71509
5.80756	0.30800	9.56854	29.47306	1.00000	55.66131	6.89483	1062.85174	5.77150	7.78234	17.10148	8.81628	67.78881	6.08090	0.49113	7.09899	7.59625	60.90488
9.55260	0.13325	8.60893	-86.78777	1.00000	75.55187	4.42991	1184.72902	9.18419	7.00607	27.23152	6.93496	70.28362	6.81939	33.44872	9.28180	9.75640	52.02654
7.10377	0.30637	7.73756	34.86563	1.00000	47.18442	7.56261	1161.79178	9.66505	7.25227	9.66630	6.32559	56.65912	6.26378	31.92923	8.51018	5.23922	42.05692
6.37729	0.55958	8.59792	34.02537	1.00000	51.19558	8.21404	1071.58621	9.94936	7.41212	11.51306	8.77946	57.32477	5.18033	38.37255	8.30697	5.86168	40.10047
6.72359	0.74188	5.86518	9.40531	0.00000	63.86740	8.52030	1175.28137	5.94458	6.56283	-4.02297	6.75307	81.90834	6.69414	45.53069	8.49105	7.47993	48.17393
6.68626	9.99406	6.90667	3.39467	0.00000	41.23616	11.44764	1072.15646	8.51137	8.99349	3.69074	9.36965	63.95009	7.68354	6.45407	4.81856	8.09331	39.37999
5.24328	0.28987	8.39367	-2.68333	0.00000	33.46282	6.57543	1173.09296	7.57634	8.69822	11.18422	7.66263	64.28965	7.13649	43.31667	6.44867	8.24881	27.73931
5.08044	1.21870	7.53989	9.0027	1.00000	54.52279	9.16689	1156.87744	7.90510	7.06995	34.00812	8.88303	59.88545	5.46541	11.86064	8.79175	6.38779	34.24596
7.70421	0.37971	7.68247	38.12408	0.00000	70.01151	7.72906	1138.17352	7.66422	7.20063	4.45949	8.71341	65.68268	6.99604	53.77166	11.20171	8.58043	21.82675
5.17899	1.97387	9.44032	83.36889	0.00000	38.96958	9.71833	1056.34390	5.38238	6.56220	5.08128	7.80848	61.12297	8.40531	26.76628	8.55676	9.46518	48.19963
3.85671	0.15126	8.02734	6.83042	0.00000	46.04213	3.88250	1185.84728	4.91499	6.80629	14.36303	7.21969	55.42286	6.87744	6.15038	6.55527	8.18725	45.22905
7.26739	0.25855	6.81104	-75.11028	0.00000	50.35910	7.27730	1063.24419	6.94528	8.60109	32.28672	8.60975	40.18396	5.16421	-15.21194	6.16137	6.92355	63.47204
7.04271	0.98097	7.62575	33	1.00000	59.99399	8.90495	1135.30811	8.41950	8.48793	17.16785	4.92746	70.34425	6.64600	-2.68333	9.94039	6.52914	39.36457
5.80079	8.21533	7.69069	-80.66756	0.00000	58.82973	11.25625	1189.08808	5.61926	8.22916	3.28475	6.04221	45.23119	6.65938	26.68451	4.53422	4.76394	36.13814
8.24712	0.77887	8.64363	-111.78903	1.00000	46.41117	8.91582	1198.85885	8.10248	8.20379	6.05513	7.68045	48.27113	4.49345	33.35283	11.21868	5.43794	42.86572
5.15661	0.75460	7.28260	145.13643	1.00000	31.98805	8.66431	1149.87529	9.32758	7.97797	9.35356	8.21829	29.94069	6.22750	-38.16604	6.72632	7.29125	35.50610
4.96312	0.81040	7.73350	85.83334	0.00000	35.36041	8.78530	1199.03647	5.14774	7.81493	24.40310	7.71197	44.90930	5.79573	20.88197	11.64381	11.05704	52.48750
4.61518	0.22536	5.71636	34.86563	1.00000	55.37629	5.50837	1128.13643	5.14902	8.91182	7.57478	6.77097	46.74153	4.93764	31.92923	6.21207	6.77936	46.96225
7.05774	1.91975	8.12681	-74.15987	0.00000	34.58472	9.69830	1191.84599	9.86883	7.44853	2.01537	6.81290	53.89863	7.43066	40.82232	10.40506	7.83845	60.39150
5.82526	0.31834	9.10784	-121.74052	1.00000	27.75115	7.04519	1115.74205	6.19041	7.78295	16.61004	9.23535	48.24321	6.07819	38.54491	5.66869	5.30279	32.02981
3.82616	0.24335	8.83330	28.19028	1.00000	74.09874	7.03593	1170.66505	6.21346	6.25098	8.67188	6.32001	65.86028	4.89706	59.37722	5.77199	7.62360	48.67211
4.20469	0.25395	9.33225	24.95034	1.00000	51.24893	7.24482	1188.00760	6.14742	5.77931	21.68419	7.94272	52.40293	5.13896	60.18427	6.60677	6.81700	67.00009
7.16721	0.31482	8.07867	4.52529	1.00000	69.90467	7.27113	1060.04017	5.90711	8.69745	28.63317	6.73123	26.90661	6.94712	50.71229	7.07878	5.89556	51.07301
6.15217	0.26382	7.67004	14.51472	1.00000	38.11356	7.27197	1162.96300	8.34388	6.89848	11.46968	6.91734	58.37146	4.89751	35.89972	7.01903	4.60715	38.84643
5.21317	0.98282	7.97615	-76.99081	1.00000	63.49435	8.90516	1120.64744	6.74930	7.54611	-4.96253	8.18136	69.62846	5.88965	38.96372	9.10387	4.61132	49.58045
7.43738	2.88995	6.92556	103.65309	1.00000	37.52063	10.17573	1148.99604	7.95690	8.13504	20.39833	7.53246	49.73752	7.11645	16.0567	11.20106	7.19097	19.30283
6.96080	0.28098	9.03781	-2.77259	1.00000	32.94643	6.59031	1086.49793	6.28879	7.82175	20.69653	9.27596	51.59110	6.53024	37.49073	6.32826	4.02154	45.86617
7.60310	0.58377	7.49843	7.20769	1.00000	50.66658	8.31166	1177.50436	10.09535	6.52372	20.29329	8.58923	55.55424	6.54729	50.80019	8.85268	5.98421	40.14752
5.88015	0.68843	5.46566	-71.23106	1.00000	72.71173	8.35322	1092.18238	9.73238	8.21615	8.41348	7.83682	57.48680	5.11719	-32.45242	7.35183	6.46682	36.26054
7.37530	0.84670	6.06302	8.86704	0.00000	82.15282	8.80247	1154.09598	6.36489	7.23902	33.15111	6.96684	74.76125	6.88863	50.23805	11.32705	9.00705	44.46562
6.22324	0.64727	6.39403	-2.98333	0.00000	48.72088	8.32664	1077.97446	6.20916	5.75067	12.16083	7.46352	36.51611	4.61141	53.83333	7.15034	8.21976	51.90349
7.39759	0.21712	8.85328	10.98461	0.00000	31.99903	6.03241	1156.46163	7.65522	6.75322	21.97664	7.55716	43.39698	6.77572	48.35693	11.31744	10.31655	58.72336
6.29143	0.24931	6.84221	-73.99681	1.00000	45.89829	7.34486	1179.42493	8.50239	6.48243	13.42627	7.19132	41.86249	4.54565	40.94065	7.44692	4.21526	42.33694
5.23466	0.15531	7.47995	83.36889	1.00000	73.45913	6.26946	1165.93288	7.08062	8.08795	-9.66175	7.10355	47.69140	5.74087	26.76628	5.76032	6.39495	56.20536
2.32411	0.11700	6.99063	8.61839	1.00000	47.66856	5.20965	1171.66338	3.88405	8.51883	22.32222	6.82971	50.11101	3.29688	49.68369	6.56325	5.23239	27.29398
6.87988	0.80846	6.71614	-104.83192		54.09098	8.62438	1181.55286	6.27709	7.32982	13.17035	7.62710	33.54040	6.85292	39.72943	8.81940	8.00286	52.92116
7.92868	0.15448	7.49928	-37.03861	1.00000	46.26228	4.00999	1171.26066	7.90917	7.94373	11.54525	7.76144	37.73601	7.44097	-10.90889	7.47885	6.90668	40.43993
6.88790	0.26720	8.12467	24.95034	1.00000	44.03675		1149.42341	9.26741	8.63501	6.64997	8.54841	36.92326	5.94318	60.18427	8.16281	5.01518	41.44307
8.01141	0.20579	7.38958	-91.06177	0.00000	65.79558	6.56597	1118.57368	7.12923	8.40951	17.82947	8.81888	60.74896	7.64941	33.41012	6.72648	6.46738	41.04054
4.74613	0.20721	6.75519	13.44275	1.00000	53.43912	5.75750	1189.41604	4.56204	8.15123	23.85391	8.44576	62.50139	5.05070	38.07789	7.88098	7.18509	39.09774
5.87721	0.74014		-111.78903	1.00000	61.74903	8.55896	1050.33576	8.31305	7.64970	26.89452	6.41994	65.84419	6.93604	33.35283	8.76025	5.25721	43.92640
6.33329	0.89535	9.14319	-104.83192	1.00000	42.29110	8.89331	1131.68185	6.30376	7.49119	1.02227	7.07080	55.44377	6.54093	39.72943	6.20410	6.58088	32.98680
5.04763	1.29427	6.51208	8.62118	0.00000	64.36017	9.28383	1181.66915	7.54037	9.06812	21.04535	7.56662	53.71099	9.17522	45.44694	7.60415	10.78880	55.68951
7.96672	0.32937	9.10204	-95.63079	1.00000	59.39071	7.43791	1149.46790	7.12979	10.44842	12.88172	6.80612	63.51327	7.54569	31.76212	5.95679	6.31570	30.17494
3.81341	0.18565	7.75974	85.83334	1.00000	50.70166	6.21064	1123.94515	4.19335	8.48432	33.82465	9.86832	33.55197	4.55982	20.88197	7.55327	7.63791	18.59889
4.82489	1.76465	7.96520	2.31889	0.00000	67.03895	9.63637	1130.29815	6.40018	6.50811		5.98028	54.44714	8.20574	35.21222	6.62938	7.18715	26.54656
6.00714	0.27233	5.05877	168.31366	1.00000	29.46047	7.18419	1101.50043	6.14997	8.12946	22.89051	7.04210	53.32012	4.39311	-17.73648	8.40298	10.41510	45.67366
7.71585	0.11333	7.50855	37.38115	0.00000	57.70067	2.63504	1095.61981	9.59360	7.24894	21.55071	8.75984	52.38481	3.38790	55.63711	6.40205	11.58681	41.42812
9.39269	3.15484	7.73982	151.07986	0.00000	57.13113	10.26463	1136.33983	7.19123	6.62029	4.68146	8.31554	38.16625	4.77356	-33.88096	7.16290	5.01077	32.51138
6.33098	7.49788	8.73802	-79.62098	1.00000	70.97292	11.16680	1116.33108	8.80278	5.12264	-17.79732	8.22370	65.04788	7.43130	9.15093	10.57540	9.44994	29.21814
8.79973	0.33522	6.70790	-4.1	1.00000	57.38390	7.68144	1174.88681	7.94861	5.75741	22.65785	8.11296	48.29305	8.25405	48	5.81734	4.99928	27.59882
5.89633	0.49393	8.26057	28.28489	0.00000	52.38122	7.73086	1151.14609	5.31586	7.24498	-0.96966	8.15961	31.97487	6.22486	48.15659	7.49705	6.30978	41.78699
6.78942	0.64692	9.14680	38.01667	0.00000	56.56463	8.55331	1113.31770	8.50525	8.70353	33.94275	5.81090	59.14660	6.34695	-5.41667	5.31619	5.60699	25.95274
7.10798	11.48139	7.37606	85.83636	0.00000	74.90152	11.58870	1152.84360	6.64806	7.53443	32.23569	9.78012	75.37915	7.53702	25.66795	7.38668	8.20151	30.70517
6.52457	0.18755	6.76264	0.75	1.00000	58.21727	5.88901	1199.50010	6.52185	6.36960	19.49942	7.65695	49.93256	6.62916	52.41667	6.19729	5.48385	30.07095
6.52907	0.18066	6.75140	86.59611	1.00000	42.06902	5.90685	1100.44187	7.43939	7.95287	1.09336	9.63902	47.14587	6.38600	25.87498	5.54367	5.59538	33.94771
6.98856	2.24060	7.38655	83.62389	1.00000	48.27956	9.91512	1114.81078	9.91759		28.23078	6.22720	55.23432	6.17844	53.30972	10.33148	7.44696	62.83945
4.87568	0.39057	7.10884	119.58627	0.00000	48.99930	7.97169	1066.20720	3.98236	8.13248	11.27282	7.98199	28.93439	7.37651	23.5654	9.54178	7.90539	76.81027
7.58139	0.14674	7.17707	11.412	1.00000	51.60212	5.35016	1115.99004	6.68311	7.45814	29.72159	8.25101	78.72075	7.18970	45.50369	7.07731	6.87571	38.39158
6.79005	3.10260	7.62219	-68.30472	0.00000	72.89607	10.26510	1192.37499	6.57010	6.99296	15.16458	7.46491	50.60589	5.78460	9.91861	4.60520	4.89097	44.60011
8.00760	0.15043	6.66274	68.21204	0.00000	47.24097	3.96525	1124.56789	8.26099	8.57813	19.36780	9.81977	52.13869	4.40785	27.55898	6.95015	10.87719	69.01854
5.79533	1.02716	8.16773	136.84186	1.00000		9.13534	1102.93258	9.82914	7.74161	2.67850	7.62417	47.41786	6.71201	34.4833	8.15318	6.43313	46.99840
4.81167	5.71943	8.28767	-38.94722	1.00000	58.90794	10.88507	1063.74516	8.87011	8.52423	14.09047	5.41945	42.33006	9.53835	-15.675	9.70958	9.00626	35.01289
4.47963	0.42184	7.54413	27.18052	0.00000	52.84182	7.91205	1179.02367	4.34868	6.98410	18.33416	8.13298	51.75999	7.63991	39.12074	8.26712	8.26566	30.77651
8.84762	1.19493	6.57136	139.55028	1.00000	55.78350	9.26681	1199.42847	9.66267	7.04116	11.54052	9.90916	70.65669	9.03255	35.30889	10.54170	8.62225	47.00038
5.71998	0.72923	7.95929	-0.33525	0.00000	51.95740	8.69315	1051.41168	4.32181	8.37270	32.13183	7.59385	59.50606	6.25741	53.7446	7.54582	5.65391	38.73487
12.29409	0.16431	8.22426	-90.10674	0.00000	43.77598	5.04242	1059.63756	10.23560	6.14088	19.15596	6.83668	33.25932	10.94383	29.84576	6.68098	9.12871	33.56701
4.83291	0.27683	8.25914	8.77069	1.00000	53.29567	5.83697	1070.60811	4.98335	8.71099	14.71572	7.69327	58.70070	5.17401	50.80904	6.75255	5.61268	31.95227
7.67938	0.16876	5.79001	34.3869	1.00000	46.01266	5.89286	1077.27991	6.75188	7.29134	18.23148	9.67603	46.05424	7.19652	11.8659	6.15447	6.73831	15.14892
6.81089	3.82692	6.86500	-58.70072	0.00000	63.37830	10.48953	1179.32637	8.18918	6.84695	20.53162	6.28164	35.54066	7.63445	-34.74785	6.84179	6.56709	48.19004
6.55922	0.23911	7.84257	-90.10674	0.00000	31.18639	6.36662	1181.27303	7.58129	8.47439	15.61067	7.08635	57.06051	3.84309	29.84576	6.27444	9.34043	62.73806
4.37347	0.30762	6.02654	75.11937	0.00000	49.97300	8.02594	1193.48613	6.37145	9.07503	9.87858	7.74191	68.69702	7.95830	20.88098	6.16041	9.30250	42.07862
5.77352	0.23816	7.69667	126.28333	1.00000	54.11413	6.55229	1149.97682	4.17715	7.44721	26.37960	8.88060	33.26969	5.63182	45.35	7.44608	6.16471	54.25575
6.77519	0.55289	7.55333	48.87498	1.00000	67.69393	8.39454	1165.43104	10.55746	7.88045	15.52444	8.92085	40.87730	6.89123	38.45598	7.08376	6.95302	34.50350
5.05488	0.34084	5.74529	35.23388	1.00000	50.66264	7.24031	1103.53335	7.32023	6.17891	19.42953	6.97055	44.45442	5.59892	31.78336	6.83946	3.78915	57.69762
5.92297	0.97732	8.39286	89.11943	1.00000		9.05152	1176.39894	7.54712	6.25438	11.87107	8.25970	51.26125	5.58084	23.9028	8.30117	4.73931	49.09317
5.67179	1.93228	7.38387	74.12286	1.00000	57.22329	9.76611	1129.95425	10.16708	7.04478	8.97114	9.10468	48.16238	7.71897	30.76468	8.52253	7.64917	51.79264
5.55558	0.99374	6.93734	-2.68758	1.00000	55.49105	9.01544	1144.75754	5.63299	5.83368	18.01197	8.26082	54.10705	5.95437	53.69786	5.88176	3.78903	45.38651
4.91227	1.40212	9.04595	3.87723	1.00000	53.59435	9.49258	1083.38402	9.61997	7.12950	8.21226	8.76709	48.94592	7.03693	43.61092	9.10262	7.38229	61.99731
8.24178	0.12457	7.49039	-50.00639	1.00000	51.22937	4.43186	1193.75305	8.20356	7.35010	-3.36061	8.90319	38.19444	7.54617	-25.42944	5.75470	4.97806	49.99602
5.91265	0.33800	7.92121	104.09701	1.00000	77.12760	7.64668	1107.55608	6.12357	8.44649	21.26753	7.95686	62.75925	6.20720	-1.26424	5.62248	6.46160	56.02155
8.94169	0.53134	8.12168	-1.325	1.00000	59.58087	8.26720	1052.45766	10.27689	8.43675	9.42539	5.60606	72.71798	6.61388	38.47917	9.88465	5.93439	42.38646
5.76748	0.70544	7.47911	19.21437	0.00000	55.10523	8.55552	1071.26755	5.56424	6.75967	24.12338	6.40052	41.61770	3.71702	44.75874	6.24182	9.33471	52.68774
7.74650	0.17937	7.56571	121.12251	0.00000	67.26528	2.17395	1071.30876	9.02581	8.36502	-6.23592	6.90723	51.09929	6.50133	14.62578	7.65145	9.32818	41.17266
