NH3	C2H3NO5	TEMP	Pb	PAHs	O3	CFCs	PM2.5	warning	H2CO	longitude	NOx	CO	latitude	SO2	CH4	PRES	PM10
8.42310	10.13045	5.56102	24.61289	6.41196	7.25932	69.11884	7.88239	0.00000	58.23339	120.5875	8.20470	6.55862	16.455	11.52009	5.12271	1096.34074	9.10681
7.30610	3.45138	16.37588	62.73438	8.15124	6.79787	66.82041	7.52138	0.00000	53.32876	5.22778	7.78333	7.41557	51.955	10.96099	7.38150	1076.43307	7.44979
6.99831	2.57497	22.17622	35.01287	8.36600	5.65695	55.55806	7.71048	1.00000	46.44453	4.47124	10.03190	8.00646	51.95838	7.13122	6.49547	1106.68802	6.86409
6.67319	3.03875	4.22350	36.14003	7.47499	3.71564		6.59931	1.00000	21.36474	5.16108	9.69930	9.19773	48.77275	5.86569	8.26172	1124.04993	7.59122
7.86310	1.45275	6.89367	38.27729	8.60428	5.72051	55.20229	6.91361	0.00000	55.53572	5.58472	9.25865	8.68455	52.14	9.71741	6.18625	1159.76258	6.60921
8.95052	2.68581	15.68681	34.00639	8.25490	10.89835	71.13062	7.80212	1.00000	38.80340	88.58	9.34028	9.38289	23.18	10.42491	5.53430	1124.48944	7.18506
6.74270	3.36051	10.67919	47.58329	7.63513	8.36696	61.83332	4.70477	1.00000	39.41911	120.14278	5.88563	10.39048	32.50611	12.54379	3.83355	1101.02881	7.39924
7.31219	1.63558	17.96043	33.62054	5.64596	5.30544	58.18886	6.07080	0.00000	64.01880	-97.35992	6.34772	8.02692	19.8173	6.52580	8.92249	1110.88013	6.12067
8.33621	5.19588	11.27339	45.26527	7.78812	6.01389	46.22780	4.86127	1.00000	58.85294	37.3825	11.24806	7.06955	37.05944	8.12112	3.51468	1130.56458	8.35903
9.33612	2.16643	21.07191	46.91328	6.60257	10.29986	71.65131	7.36778	1.00000	36.83729	77.9129	10.24674	5.90267	25.6439	9.74617	8.99745	1066.61570	6.56922
7.97677	2.86217	24.22088	47.25230	8.14248	6.08459	38.88353	6.80858	0.00000	64.60976	-91.73625	9.91809	9.43713	35.25064	9.50221	4.81990	1184.05767	7.56555
8.19816	2.95635	23.15632	49.81531	8.46184	7.00611	59.35194	6.48568	1.00000	52.28445	-2.77259	9.88862	7.01939	37.49073	11.41908	5.25440	1176.75244	7.23900
5.36251	2.31803	-0.63461	27.61094	9.12186	6.29294	60.44921	5.74506	1.00000	52.25048	71.52847	9.21522	6.71738	32.57756	9.27129	6.11022	1059.52021	5.41680
8.21437	8.46744	39.78700	49.99866	6.26264	10.08866	59.59050	5.44055	1.00000	74.28646	51.3452	7.25465	10.47136	53.37596	10.79068	5.95670	1158.89440	8.89171
8.27502	2.85573	19.46433	48.76755	8.20711	5.18250	53.07656	6.60993	0.00000	42.18572	-39.25	6.67755	7.15267	-12.91667	5.02237	8.71419	1180.91831	7.42581
6.30992	2.41052	21.65796	43.85339	6.79728	5.81262	67.25119	6.83663	0.00000	62.80679	-117.70755	7.64790	6.00458	33.52253	4.72086	8.05655	1170.02336	7.25502
6.66031	1.95666	16.50174	31.39610	6.56099	9.40548	71.90161	5.80906	1.00000	57.74477	73.38333	9.11279	10.41164	31.71667	7.05244	5.68817	1130.85667	6.50305
7.06161	9.82605	15.46251	28.42512	6.17807	9.30366	40.95976	2.89974	1.00000	32.67350	28.28489	5.16342	11.60902	48.15659	9.73105	5.45800	1151.48672	9.13433
8.90846	2.35942	18.72931	52.44841	8.78748	5.33461	69.27973	3.93460	0.00000	81.32937	44.7662	8.57378	6.77182	40.49748	6.32143	8.79067	1194.58443	6.83991
7.92003	2.28057	22.95099	58.42019	7.36794	5.76896	72.25569	6.22410	1.00000	53.57461	-60.1831	9.29361	6.20617	46.1351	8.05782	5.75839	1188.76797	6.92618
7.34379	4.97596	10.69847	62.76220	7.58472	3.33024	35.35383	3.22909	1.00000	28.50321	-122.2608	8.42384	8.14219	38.17492	5.97375	6.18318	1188.36357	8.19318
6.47846	5.05348	-1.79310	40.54170	8.29678	11.80174	63.53832	6.89948	1.00000	47.86554	35.7	6.37563	11.60198	-7.76667	12.28828	3.39074	1191.40271	8.26797
7.44639	9.49726	11.96834	44.16129	7.21241	4.15099	65.11358	5.40648	0.00000	72.15096	39.8302	4.25653	8.28696	64.5635	4.95297	12.00473	1130.59347	8.97099
5.34309	3.92159	21.06439	42.90389	6.33332	5.64977	58.76991	5.31570	0.00000	57.88611	-72.09391	5.24733	7.38942	18.65297	6.48020	10.87794	1089.17307	7.55725
6.37906	3.00588	12.95240	34.20331	6.15163	5.30561	65.38680	7.56329	0.00000	41.64107	-37.65	9.25832	7.75934	-10.91722	10.10065	6.24286	1094.12499	7.53800
7.39972	3.31387	13.42435	46.14918	5.45225	11.93906	61.19699	5.15680	1.00000	50.67505	1.15597	7.31356	9.43808	51.78967	9.32473	6.59177	1189.68261	7.48743
7.92408	3.73511	16.19485	42.32937	6.67796	8.06514	67.10145	4.69616	1.00000	36.77477	-88.81395	8.68367	8.27196	35.61452	8.17934	8.18893	1185.53303	7.94987
8.31324	2.99970	28.62241	38.42736	8.58408	7.52761	79.00090	6.87250	1.00000	54.38672	-0.76773	10.11457	9.48340	38.38479	7.21054	7.22586	1141.13043	7.86275
8.41319	5.90997	24.42156	54.34060	5.63416	6.21301	68.81939	5.74100	1.00000	61.87341	-74.26419	7.96534	7.87420	4.73245	7.90862	8.51390	1100.42068	8.31176
8.05160	1.65560	7.08692	59.62084	6.32868	7.18722	72.41549	7.90183	1.00000	37.76526	53.47103	11.20837	6.54365	54.48147	10.48640	2.88940	1056.04879	6.47615
8.87202	2.65404	24.99587	37.84133	6.88006	7.21331	87.76122	6.34264	0.00000	61.46206	-72.09391	5.08171	4.46260	18.65297	6.67879	8.18767	1128.80053	7.16102
7.56501	1.83717	23.94748	50.93512	8.28536	6.76677	56.48184	7.07832	0.00000	42.29830	-91.73625	7.68243	6.51998	35.25064	9.18909	6.07839	1161.86261	7.13791
6.53451	24.75877	38.75826	34.19720	7.33927	5.30097	74.19978	6.06381	0.00000	47.85221	4.18333	9.16995	9.10579	7.6	9.10486	7.04647	1152.94325	10.08228
6.27319	1.98060	8.81242	61.89124	8.07069	10.29950	54.70210	5.63640	1.00000	58.28409	33.2525	7.48994	3.68903	57.97472	11.96698	9.65883	1146.50295	6.91969
6.88037	2.23779	19.30117	70.94138	6.39796	7.17382	75.25043	6.24208	0.00000	55.59803	-48.59278	8.87173	9.82095	-23.7975	8.45878	5.50307	1139.74891	7.49899
7.43167	2.75236		32.59181	6.74481	4.66266	60.29601	4.82487	0.00000	57.19642	82.85749	7.57879	4.00753	17.54907	8.09455	5.91092	1126.22397	7.99243
8.24732	4.00167	14.19063	59.40479	6.88540	6.69905	68.35349	7.69415	0.00000	73.77597	-88.42814	5.11100	5.33379	42.16808	5.64996	8.67771	1150.46610	8.03439
6.73743	3.34598	25.05088	54.99584	7.57801	6.71194	63.15036	6.41065	1.00000	69.18357	-2.01111	8.32111	8.00500	52.66277	9.64496	6.30704	1131.94263	7.91200
6.63734	5.63325	7.76818	51.79633	7.18930	7.73675	64.61065	6.45909	1.00000	45.34703	139.6853	9.42564	7.18933	35.815	9.28173	7.40355	1071.62250	8.37688
8.70244	1.42895	13.11432	38.67718	8.71086	6.56018	56.90589	5.33856	0.00000	52.06389	-61.4867	8.30605	7.94311	-31.25033	6.39199	4.80274	1077.91642	6.81301
5.38293	1.96855	-5.29286	29.20400	8.92165	6.49669	65.07778	7.94053	1.00000	41.89158	48.26258	10.15914	9.54495	33.86419	7.57508	6.64371	1085.58517	7.14220
7.21637	5.38200	13.16954	26.42896	7.13683	5.72076	57.69588	6.58032	0.00000	61.85634	-73.99681	8.83132	8.10662	40.94065	8.88165	6.11973	1158.52687	8.27763
6.85728	2.70285	12.49324	83.58412	8.30936	5.22456	67.68835	5.42761	0.00000	57.82152	26.97253	9.15469	9.33261	49.65186	8.04045	6.79261	1065.13035	7.56365
6.38764	1.86575	12.39699	27.60431	8.35507	11.18125	56.95582	3.72415	1.00000	36.81043	135.21667	7.27784	9.33852	35.06667	8.07780	5.97823	1181.43784	6.01544
8.43103	4.48276	36.40887	43.08857	7.01904	6.48745	58.52297	5.30969	0.00000	65.35214	74.85849	7.28695	6.81680	31.28092	9.61397	6.92355	1158.56450	7.76116
6.89946	4.36980	18.96719	30.96571	5.04163	3.28681	61.51573	7.81437	1.00000	70.26465	-8.2194	9.25645	5.08892	43.48961	7.75003	4.92618	1101.96864	8.40970
5.67041	1.65833	13.19111	31.10930	9.17634	7.98112	51.69330	4.78154	1.00000	36.48872	137.95378	7.85963	5.34111	35.82756	10.03213	6.33342	1160.19864	5.96413
8.38023	0.92717	1.85041	29.05887	8.73362	6.85459	70.29225	5.27885	0.00000	51.93859	112.9	8.38499	9.41479	27.85	7.59072	5.97891	1198.68295	6.40661
7.58394	2.85174	15.57632	43.73054	7.91953	6.77838	64.36010	9.65984	0.00000	45.69592	78.25795	9.20678	6.98072	9.82564	13.27429	5.08238	1082.92738	7.11160
7.69769	2.27098	23.21000	66.37490	7.97307	10.85453	67.44591	2.90388	1.00000	50.75945	-72.22625	4.90018	7.84901	18.57677	13.48016	6.12202	1097.82225	6.71992
7.98314	2.82041	24.99385	66.32829	8.67698	8.68902	47.95651	4.71551	1.00000	62.26046	120.57224	7.97609	8.26543	15.72892	9.16838	5.49832	1137.74723	7.36248
8.60671	2.02446	40.63599	43.33385	8.61615	6.36310	64.22501	7.07924	0.00000	57.89716	-73.9625	8.29889	5.80839	40.81	8.02000	4.12507	1050.42696	7.17112
5.97852	2.40910	-3.42249	40.32761	6.73847	8.46923	67.91417	4.08580	1.00000	71.72908	-86.58208	7.90900	8.26141	13.48082	8.05065	7.82349	1108.70604	7.33638
8.18735	2.19861	8.80721	29.73774	6.62857	5.51403	56.52246	5.75233	0.00000	58.36392	59.6	7.69669	7.45295	47.83333	6.33298	8.30593	1141.90475	6.96652
6.79753	3.20066	12.11325	69.34109	6.97740	7.56772	69.29138	4.95019	1.00000	63.17721	-38.94722	9.11653	6.32813	-15.675	10.05451	5.23141	1157.81555	7.93391
7.88492	0.80131	30.71360	73.57508	8.59998	6.33497	75.67253	5.09911	0.00000	72.81008	-1.86343	5.49091	5.20662	38.10558	5.82958	10.14844	1124.62273	6.43251
7.84441	8.77333	12.06053	51.22493	7.88773	5.94149	48.68018	7.51610	0.00000	56.33531	8.62118	6.09799	6.88378	45.44694	5.31074	9.57337	1069.80068	8.93593
7.84122	1.89057	7.25809	33.07332	5.79933	9.17063	62.91101	7.50749	1.00000		123.62494	8.32370	6.98870	12.37169	11.08082	6.71843	1058.81898	7.23917
7.25601	2.90055	-2.77819	45.61999	6.52543	6.10490	58.70843	7.83596	0.00000	56.91801	150.99292	9.73355	7.57399	-33.75881	9.30617	3.53769	1127.66535	7.52909
8.01871	1.78591	25.38289	51.47792	7.56316	10.30917	74.59350	7.19106	1.00000	47.62958	5.55575	7.59991	10.08149	46.67535	11.73200	2.67313	1120.27629	7.01496
7.80872	1.27672	11.66884	30.58214	10.50874	6.18285	67.31795	6.22930	1.00000	52.97837	-104.83192	10.86519	7.09702	39.72943	7.37712	7.84330	1180.40805	6.22218
5.49165	4.41198	14.63376	55.88062	7.84713	5.78714	72.43617	8.41591	0.00000	63.68724	124.3697	9.66617	7.16464	9.6531	9.69930	4.21793	1195.86365	7.98722
7.89575	2.46767	0.00168	36.57694	7.49406	5.51335	71.91978	6.84453	0.00000	32.34135	9.5586	7.14434	7.28180	54.52156	5.68966	8.44128	1058.34751	7.84241
6.65840	2.95025	16.54914	41.28400	8.39460	6.62042	60.93825	7.38014	1.00000	55.74550	7.36027	9.55449	7.30083	51.20219	8.69636	6.28311	1055.25545	7.27089
