QoS	station	latitude	code	revision	longitude
excellent	Valence	44.92801	FR	2019/10/27	4.8951
excellent	Bogovinje	41.92361	MK	11 Sep 2022	20.91361
excellent	Culemborg	51.955	NL	2018/02/10	5.22778
good	Ar Ruseris	11.8659	SD	12 Apr 2021	34.3869
accep	Bhayandar	19.30157	IN	2018-05-31	72.85107
excellent	Wevelgem	50.8	BE	09/20/2019, 00:00:00	3.16667
excellent	Xiangtan	27.85	CN	09/09/2017, 00:00:00	112.9
accep	Shuangcheng	45.35	CN	11/16/2018, 00:00:00	126.28333
excellent	Shalqar	47.83333	KZ	2014/03/17	59.6
accep	Evergreen Park	41.72059	US	2021-01-10	-87.70172
average	Zgorzelec	51.14942	PL	22 Sep 2017	15.00835
building	Coralville	41.6764	US	2014/01/25	-91.58045
building	Sakaraha	-22.9	MG	2015-04-23	44.53333
good	West Chester	39.96097	US	2020/07/07	-75.60804
building	Valday	57.97472	RU	03/11/2016, 00:00:00	33.2525
accep	Betamcherla	15.45144	IN	2021/07/09	78.14797
excellent	Arzamas	55.39485	RU	2014/08/23	43.83992
accep	Okegawa	36	JP	2013/02/12	139.55722
average	Naro-Fominsk	55.38752	RU	2015/04/19	36.73307
accep	Toledo	41.66394	US	2018/09/19	-83.55521
accep	Temara	33.92866	MA	2013-12-01	-6.90656
building	Rwamagana	-1.9487	RW	2018/08/10	30.4347
maintenance	Negotin	44.22639	RS	08 Feb 2018	22.53083
average	Standerton	-26.93366	ZA	2015/05/05	29.24152
accep	Kuvandyk	51.4781	RU	2014/02/09	57.3552
building	Port-Vila	-17.73648	VU	06/27/2014, 00:00:00	168.31366
building	Shalqar	47.83333	KZ	03/09/2016, 00:00:00	59.6
building	Hengshui	37.73222	CN	11/12/2015, 00:00:00	115.70111
excellent	Ehingen	48.28259	DE	11 Feb 2020	9.72749
accep	Castelfranco Emilia	44.59445	IT	09/02/2021, 00:00:00	11.04979
accep	Villa del Rosario	7.83389	CO	04/04/2016, 00:00:00	-72.47417
excellent	Rahat	31.39547	IL	16 Jun 2013	34.75699
good	Saraktash	51.78771	RU	2016-11-23	56.36091
maintenance	Wesseling	50.82709	DE	23 Aug 2018	6.9747
maintenance	Pato Branco	-26.22861	BR	2019/05/07	-52.67056
good	San Juan de Aznalfarache	37.35813	ES	2020-04-11	-6.03731
excellent	Winsford	53.19146	GB	2017-10-21	-2.52398
excellent	Mitry-Mory	48.98333	FR	10/01/2014, 00:00:00	2.61667
good	Malakhovka	55.64776	RU	2017-11-11	38.02486
excellent	Yeysk	46.7055	RU	01/23/2021, 00:00:00	38.2739
excellent	Catania	37.49223	IT	12 Jun 2014	15.07041
good	Mexborough	53.49389	GB	2014-10-12	-1.29243
building	Cavaillon	43.83125	FR	2022-09-03	5.03586
good	Carnaxide	38.72706	PT	2022-02-08	-9.24671
accep	Kovylkino	54.03876	RU	16 Jul 2013	43.91385
accep	Bordj Zemoura	36.27462	DZ	2019-02-09	4.85668
building	Daud Khel	32.87533	PK	2015/12/08	71.57118
excellent	Ajaccio	41.91886	FR	10/12/2020, 00:00:00	8.73812
good	Searcy	35.25064	US	2022/09/25	-91.73625
average	Ragusa	36.92574	IT	20 Feb 2022	14.72443
building	Haicheng	40.85158	CN	2021-08-17	122.74754
good	Morningside Heights	40.81	US	02/18/2020, 00:00:00	-73.9625
accep	Misterbianco	37.51803	IT	2021-12-13	15.00913
maintenance	Arles	43.67681	FR	06/22/2021, 00:00:00	4.63031
building	Ataq	14.53767	YE	2019/06/11	46.83187
building	Selby	53.78333	GB	2021/04/15	-1.06667
good	Montecchio Maggiore-Alte Ceccato	45.50369	IT	05/12/2013, 00:00:00	11.412
average	Winsford	53.19146	GB	17 Mar 2021	-2.52398
excellent	Varadero	23.15678	CU	2016-04-26	-81.24441
average	Canavieiras	-15.675	BR	08/12/2013, 00:00:00	-38.94722
accep	Aykhal	65.93381	RU	02/25/2016, 00:00:00	111.4834
accep	El Achir	36.06386	DZ	27 Feb 2014	4.62744
accep	Sydney	46.1351	CA	02/01/2015, 00:00:00	-60.1831
excellent	Kenda	23.1959	IN	2017-03-24	86.51499
accep	Bobigny	48.90982	FR	21 Dec 2019	2.45012
excellent	Gavrilov-Yam	57.30185	RU	05/05/2015, 00:00:00	39.85331
accep	Gero	35.8	JP	21 Dec 2013	137.23333
accep	Shushary	59.80917	RU	04/09/2021, 00:00:00	30.38167
excellent	Cibinong	-6.48167	ID	03 Feb 2018	106.85417
excellent	Hutchinson	38.06084	US	2015-11-25	-97.92977
average	Buenaventura	3.8801	CO	24 Nov 2019	-77.03116
average	Lower West Side	41.8542	US	13 Jun 2022	-87.66561
building	Iringa	-7.76667	TZ	20 Sep 2019	35.7
building	Olupona	7.6	NG	01/17/2017, 00:00:00	4.18333
good	Bisceglie	41.24264	IT	23 May 2022	16.50104
maitennce	Periyakulam	10.12268	IN	23 Aug 2016	77.54372
average	Palm Valley	30.17746	US	17 Mar 2016	-81.38758
accep	Madrid	4.73245	CO	2020-07-27	-74.26419
accep	Odessa	31.84568	US	06 Jun 2018	-102.36764
accep	Hechingen	48.35149	DE	24 Jan 2013	8.96317
accep	Socorro	6.46838	CO	2021-01-27	-73.26022
maintenance	Muritiba	-12.91667	BR	05/14/2013, 00:00:00	-39.25
accep	Paracho de Verduzco	19.64745	MX	2021-08-24	-102.04897
building	Great Wyrley	52.66277	GB	2018/07/01	-2.01111
excellent	Niort	46.32313	FR	2013/05/29	-0.45877
average	Bron	45.73333	FR	2013-02-26	4.91667
excellent	Muritiba	-12.91667	BR	08/13/2014, 00:00:00	-39.25
building	Silvan	38.13708	TR	06/22/2013, 00:00:00	41.00817
average	Temara	33.92866	MA	19 Jul 2019	-6.90656
building	Surbiton	51.39148	GB	2019-05-12	-0.29825
accep	Lagos	6.45407	NG	04/05/2015, 00:00:00	3.39467
building	Smolyan	41.57439	BG	08/29/2021, 00:00:00	24.71204
good	Mianwali	32.57756	PK	11/09/2014, 00:00:00	71.52847
good	Scarsdale	41.0051	US	13 Sep 2021	-73.78458
maintenance	Bordj Zemoura	36.27462	DZ	16 Jun 2014	4.85668
good	Espoo	60.2052	FI	04/23/2016, 00:00:00	24.6522
maintenance	Yamada	39.46667	JP	11 Aug 2022	141.95
accep	Muskogee	35.74788	US	2021-05-25	-95.36969
average	Custoias	41.1053	PT	2022-04-30	-7.32097
excellent	Muskogee	35.74788	US	07 Mar 2021	-95.36969
average	Kuvandyk	51.4781	RU	2013/05/11	57.3552
accep	Pune	18.51957	IN	01/19/2019, 00:00:00	73.85535
excellent	Aytos	42.7	BG	01/14/2019, 00:00:00	27.25
accep	Luena	-11.78333	AO	2021-09-15	19.91667
maintenance	Jackson	35.61452	US	2013/04/30	-88.81395
accep	Bhuban	20.88197	IN	04/14/2018, 00:00:00	85.83334
accep	Fresno	29.53885	US	2018-07-30	-95.44744
accep	San Giuliano Milanese	45.39402	IT	2017/07/09	9.29109
excellent	Covington	39.08367	US	2022/02/14	-84.50855
accep	Most	50.50301	CZ	2014-05-31	13.63617
maintenance	Split	43.50891	HR	2013-12-04	16.43915
good	Luena	-11.78333	AO	2020/05/19	19.91667
excellent	Wittenau	52.59319	DE	2015-06-04	13.32127
building	Martinsburg	39.45621	US	04 Aug 2021	-77.96389
excellent	Barmbek-Nord	53.6052	DE	10 Jun 2020	10.03988
good	Privolzhskiy	51.40944	RU	2020-11-01	46.04833
good	Malnate	45.79377	IT	2021/03/11	8.88104
accep	Aberdeen	57.14369	GB	2020-11-13	-2.09814
maintenance	Barpeta	26.32293	IN	11/24/2018, 00:00:00	91.00632
accep	Bisceglie	41.24264	IT	09/23/2018, 00:00:00	16.50104
accep	Naro-Fominsk	55.38752	RU	2019-01-09	36.73307
excellent	Gainsborough	53.38333	GB	2022/04/23	-0.76667
excellent	Gernika-Lumo	43.31667	ES	01/28/2015, 00:00:00	-2.68333
excellent	Baulkham Hills	-33.75881	AU	09 Mar 2018	150.99292
good	Bad Segeberg	53.94313	DE	23 Aug 2022	10.30215
accep	Laiwu	36.19278	CN	2018/08/30	117.65694
good	Astara	38.45598	AZ	06 May 2018	48.87498
excellent	Kangayam	11.00599	IN	04/21/2015, 00:00:00	77.5609
accep	Ambatondrazaka	-17.83333	MG	2012/11/10	48.41667
accep	Lons-le-Saunier	46.67535	FR	2015/02/06	5.55575
good	Jingzhou	30.35028	CN	2020-09-17	112.19028
good	Walton-on-the-Naze	51.84819	GB	14 Dec 2012	1.26738
accep	Yenagoa	4.92675	NG	12 Jul 2016	6.26764
building	Mudanya	40.37528	TR	2018/11/09	28.88222
excellent	Pontevedra	-34.74785	AR	12 Dec 2018	-58.70072
acceptable	Ferrol	43.48961	ES	2016/03/05	-8.2194
excellent	Boston	42.35843	US	2014/02/26	-71.05977
excellent	Copperas Cove	31.12406	US	2015-12-01	-97.90308
average	Luena	-11.78333	AO	2015/12/01	19.91667
maintenance	Acayucan	17.94979	MX	2019/11/25	-94.91386
good	Hutchinson	38.06084	US	2017-05-01	-97.92977
building	Meerut	28.98002	IN	2022/05/10	77.70636
excellent	Jaworzno	50.20528	PL	2014-08-29	19.27498
average	Yanliang	34.65918	CN	2013/07/30	109.22921
accep	Progreso	21.28306	MX	2018/08/29	-89.66123
maintenance	Tianfu	37.19723	CN	2013-12-25	122.05228
good	Front Royal	38.91817	US	11 Nov 2020	-78.19444
good	Kamakura	35.30889	JP	2017/06/04	139.55028
excellent	Yamada	39.46667	JP	2020/11/03	141.95
good	Sharypovo	55.54028	RU	2022/05/02	89.20083
average	Pingyi	35.50056	CN	06/11/2021, 00:00:00	117.63083
good	Supaul	26.11527	IN	2015-08-16	86.59509
average	Volokolamsk	56.03361	RU	16 Feb 2016	35.96944
accep	Muskogee	35.74788	US	2019-06-05	-95.36969
good	Valence	44.92801	FR	2020/12/10	4.8951
excellent	Dumont	40.94065	US	12 Feb 2022	-73.99681
building	La Garenne-Colombes	48.90472	FR	2019/05/25	2.2469
average	Jhol	25.95533	PK	2019-11-15	68.88871
good	Tongelre	51.44889	NL	22 Nov 2015	5.51978
accep	Wesseling	50.82709	DE	07/30/2015, 00:00:00	6.9747
accep	Guapimirim	-22.53722	BR	2013-06-04	-42.98194
good	Sharypovo	55.54028	RU	20 Sep 2020	89.20083
average	Greenfield	39.78504	US	17 Feb 2015	-85.76942
good	Kingston upon Hull	53.7446	GB	2022/05/05	-0.33525
average	Walton-on-the-Naze	51.84819	GB	04/22/2022, 00:00:00	1.26738
excellent	Agrigento	37.31065	IT	2018/12/23	13.57661
accep	Karatsu	33.4425	JP	01/27/2021, 00:00:00	129.96972
excellent	Belle Glade	26.68451	US	2017/07/19	-80.66756
average	Aistala	23.18	IN	21 Oct 2013	88.58
accep	Narwar	25.6439	IN	2020/11/12	77.9129
accep	Rafiganj	24.81757	IN	2020/01/28	84.63445
good	Manaoag	16.0438	PH	2017-11-30	120.4861
excellent	Rueil-Malmaison	48.8765	FR	11 Jul 2021	2.18967
average	Varadero	23.15678	CU	2018/03/20	-81.24441
good	Alwaye	10.10649	IN	08 Sep 2022	76.35484
building	Baulkham Hills	-33.75881	AU	2020/03/14	150.99292
accep	Shahre Jadide Andisheh	35.6803	IR	15 Feb 2013	51.0193
building	Narwar	25.6439	IN	2019-04-16	77.9129
average	Paoy Paet	13.65805	KH	05/28/2017, 00:00:00	102.56365
excellent	San Gabriel	34.09611	US	2015/06/23	-118.10583
maintenance	Gaziantep	37.05944	TR	01/15/2020, 00:00:00	37.3825
maintenance	Kenda	23.1959	IN	2019-10-09	86.51499
excellent	Iron River	46.09273	US	2014-07-27	-88.64235
average	Tak Bai	6.25947	TH	2013-09-23	102.05461
average	Adliswil	47.30997	CH	2015-10-30	8.52462
average	Pandua	23.07492	IN	2017/09/04	88.28637
maintenance	Ciudad Guayana	8.35122	VE	2014/02/08	-62.64102
building	Arles	43.67681	FR	2015-04-21	4.63031
accep	Norco	33.93113	US	11 Jun 2017	-117.54866
maintenance	Aksaray	38.37255	TR	09 Jan 2019	34.02537
building	Qazax	41.09246	AZ	2017-08-26	45.36561
average	Herblay	48.98994	FR	2012-12-22	2.1699
accep	Wheelers Hill	-37.9	AU	2017-01-24	145.18333
good	Lal Bahadur Nagar	17.34769	IN	01/11/2022, 00:00:00	78.55757
accep	New Canaan	41.14676	US	08 Sep 2017	-73.49484
good	Leteri	24.05979	IN	2016-09-24	77.40858
building	Shalqar	47.83333	KZ	2015/03/07	59.6
average	American Canyon	38.17492	US	10 Sep 2018	-122.2608
excellent	Longgang	37.65181	CN	01/17/2014, 00:00:00	120.33063
accep	Dahlem	52.4581	DE	15 Jul 2014	13.28702
good	Culemborg	51.955	NL	19 Jun 2020	5.22778
maintenance	Varadero	23.15678	CU	08 May 2013	-81.24441
excellent	Socorro	6.46838	CO	12/20/2013, 00:00:00	-73.26022
average	Nkpor	6.15038	NG	2014-06-09	6.83042
building	Jersey City	40.72816	US	07/22/2014, 00:00:00	-74.07764
good	Ozersk	55.75556	RU	02/21/2013, 00:00:00	60.70278
average	Idenao	4.2475	CM	2022/06/03	9.00472
average	Pilar	14.66	PH	08/20/2020, 00:00:00	120.56528
average	Woodbridge	40.5576	US	2013/02/01	-74.28459
excellent	Dongfeng	42.64031	CN	27 Oct 2012	125.51176
average	Ovalle	-30.60106	CL	06/25/2022, 00:00:00	-71.19901
good	Tavda	58.04254	RU	2016-01-07	65.27258
good	Acayucan	17.94979	MX	2019/03/03	-94.91386
good	Parkent	41.29444	UZ	23 Jul 2014	69.67639
average	Surbiton	51.39148	GB	11 Jan 2014	-0.29825
excellent	La Garenne-Colombes	48.90472	FR	01/28/2018, 00:00:00	2.2469
maintenance	Zvenihorodka	49.07866	UA	2021-12-11	30.96755
good	Tandil	-37.32167	AR	09 Aug 2020	-59.13316
maintenance	Gajendragarh	15.73628	IN	2015-07-05	75.96976
maintenance	Toledo	41.66394	US	30 Mar 2017	-83.55521
average	Schwalmtal	51.21667	DE	28 May 2014	6.26667
excellent	Novogrudok	53.5942	BY	2021-02-13	25.8191
accep	Reutlingen	48.49144	DE	2018-06-13	9.20427
average	Gembloux	50.56149	BE	2017-02-18	4.69889
accep	Licheng	23.29549	CN	2016-01-19	113.82465
maintenance	Jersey City	40.72816	US	12/06/2012, 00:00:00	-74.07764
building	Aberdeen	57.14369	GB	02/01/2021, 00:00:00	-2.09814
accep	Visitacion Valley	37.71715	US	11 Sep 2018	-122.40433
maintenance	Cebu City	10.31672	PH	25 Dec 2017	123.89071
maintenance	Arzamas	55.39485	RU	16 Apr 2018	43.83992
accep	Porterville	36.06523	US	04/01/2017, 00:00:00	-119.01677
excellent	Most	50.50301	CZ	2022/08/06	13.63617
excellent	New Yekepa	7.57944	LR	2016/09/20	-8.53778
maintenance	Aytos	42.7	BG	2018-07-20	27.25
good	Palestine	31.76212	US	2017/06/27	-95.63079
accep	Tonota	-21.44236	BW	08 Nov 2019	27.46153
excellent	Catende	-8.66667	BR	2020-05-24	-35.71667
average	Perugia	43.1122	IT	2020-02-06	12.38878
accep	Novopavlovsk	43.96222	RU	08 Oct 2020	43.63417
excellent	La Victoria	10.22677	VE	18 Mar 2019	-67.33122
average	Rosedale	39.32011	US	27 May 2019	-76.51552
good	Bourbonnais	41.15376	US	2017/09/03	-87.88754
excellent	Aberdeen	57.14369	GB	2020/04/29	-2.09814
average	Damnoen Saduak	13.51825	TH	2013/09/13	99.95469
excellent	Porterville	36.06523	US	2019-09-12	-119.01677
good	Stade	53.59337	DE	2015/08/01	9.47629
good	Karben	50.23019	DE	04/14/2014, 00:00:00	8.77155
average	Aurora	39.72943	US	2015-07-09	-104.83192
accep	Lino Lakes	45.16024	US	06 Aug 2019	-93.08883
building	Dobrush	52.4089	BY	2017-11-04	31.3237
excellent	East Dereham	52.68333	GB	17 Mar 2013	0.93333
excellent	Oulmes	33.42585	MA	2019-04-13	-6.00137
good	Ina	35.82756	JP	2018-03-25	137.95378
building	Longgang	37.65181	CN	18 Feb 2015	120.33063
average	Toba	34.4833	JP	29 Mar 2020	136.84186
average	Gandia	38.96667	ES	2022-07-18	-0.18333
average	Oaxaca	17.06542	MX	2020-05-02	-96.72365
good	Custoias	41.1053	PT	09 Oct 2015	-7.32097
excellent	Caravaca	38.10558	ES	11/20/2021, 00:00:00	-1.86343
excellent	Copperas Cove	31.12406	US	12/05/2015, 00:00:00	-97.90308
accep	Malaut	30.21121	IN	03 Jan 2021	74.4818
good	les Escaldes	42.50729	AD	06/24/2020, 00:00:00	1.53414
accep	Dalsingh Sarai	25.66795	IN	2019-12-27	85.83636
average	Porterville	36.06523	US	19 Aug 2013	-119.01677
good	Albufeira	37.08819	PT	06/15/2015, 00:00:00	-8.2503
building	Dumont	40.94065	US	2019-07-30	-73.99681
excellent	Kanganpur	30.76468	PK	05/09/2017, 00:00:00	74.12286
average	Bron	45.73333	FR	2021-11-25	4.91667
average	Bua Yai	15.58552	TH	2019-06-14	102.42587
