revision	QoS	code	longitude	station	latitude
2021/06/01	building	US	-117.29198	Encinitas	33.03699
10/12/2012, 00:00:00	building	GB	-0.29825	Surbiton	51.39148
2015/07/01	good	ES	-2.77259	Baza	37.49073
2013/06/27	building	SY	38.28402	Tadmur	34.5624
06/13/2018, 00:00:00	average	GB	-3.05814	Rhosllanerchrugog	53.00974
2020-08-23	average	SK	17.22635	Skalica	48.8449
2014/09/03	maintenance	US	-77.37331	Mechanicsville	37.60876
2016-07-04	average	US	-87.65644	New City	41.80753
2013-09-14	excellent	US	-73.95097	Greenpoint	40.72371
2012-12-24	good	CO	-74.26419	Madrid	4.73245
09/06/2022, 00:00:00	average	CL	-71.19901	Ovalle	-30.60106
18 Aug 2013	good	IN	76.32756	Kalavoor	9.57046
05 Mar 2021	maintenance	RU	60.8019	Beryozovsky	56.9083
10/15/2019, 00:00:00	average	DZ	1.04945	Frenda	35.06544
2016-11-17	good	BE	4.07601	Denderleeuw	50.88506
2022/04/08	average	US	-73.78458	Scarsdale	41.0051
2019/09/15	building	US	-104.22884	Carlsbad	32.42067
01/13/2019, 00:00:00	excellent	GB	-1.29243	Mexborough	53.49389
04/28/2015, 00:00:00	good	VE	-68.30472	Tinaquillo	9.91861
11/19/2012, 00:00:00	excellent	CU	-77.43532	Media Luna	20.14298
12 May 2016	good	UY	-56.52361	Durazno	-33.38056
2014/05/06	good	HK	114.10479	Tsuen Wan	22.37066
12/21/2012, 00:00:00	accep	IN	75.35927	Talipparamba	12.04161
2022-02-27	excellent	AO	19.91667	Luena	-11.78333
2019-10-30	maintenance	ES	1.10687	Reus	41.15612
21 Jul 2014	excellent	PK	72.54566	Hasilpur	29.69221
01/30/2017, 00:00:00	maintenance	IN	75.92694	Davangere	14.46693
2018/12/06	maintenance	DE	8.96317	Hechingen	48.35149
2021-04-30	good	VU	168.31366	Port-Vila	-17.73648
12/01/2016, 00:00:00	average	EG	31.4976	Juhaynah	26.67319
2019/10/17	accep	ES	-15.58602	Maspalomas	27.76056
08 Mar 2021	accep	PR	-66.8499	Yauco	18.03496
14 Jul 2020	good	FR	-1.05366	Dax	43.71032
06 Dec 2018	accep	JP	139.55028	Kamakura	35.30889
2022-01-28	maitennce	LT	24.04142	Alytus	54.39635
2014-11-18	maintenance	ID	109.05389	Wangon	-7.51611
03/15/2013, 00:00:00	accep	MA	-5.22126	Azrou	33.43443
2020-03-03	good	CO	-74.95472	Puerto Colombia	10.98778
2022/04/22	good	TR	37.3825	Gaziantep	37.05944
12/12/2013, 00:00:00	good	JP	139.07204	Fujioka	36.24624
29 Nov 2020	average	CN	105.89333	Beidao	34.56861
19 Aug 2020	accep	US	-82.61573	Norwalk	41.24255
09/07/2020, 00:00:00	maintenance	UG	30.91105	Arua	3.02013
24 Jan 2013	good	FR	4.7934	Saint-Genis-Laval	45.69558
10/04/2018, 00:00:00	average	IT	17.58522	Francavilla Fontana	40.53123
2021-02-23	accep	IN	76.12647	Chamba	32.55531
03/14/2014, 00:00:00	average	DE	7.2278	Bad Honnef	50.64336
10 Nov 2019	building	PT	-25.66689	Ponta Delgada	37.74615
07/31/2021, 00:00:00	good	MG	46.58333	Ikalamavony	-21.15
13 Aug 2017	average	MY	103.6032	Kulai	1.6561
2021/07/03	average	DO	-71.10077	Santa Cruz de Barahona	18.20854
2017/04/13	excellent	US	-73.95097	Greenpoint	40.72371
03/05/2020, 00:00:00	maintenance	PK	70.91106	Alipur	29.38242
10 Sep 2019	maintenance	MN	106.88324	Ulan Bator	47.90771
04/09/2018, 00:00:00	average	GB	0.93333	East Dereham	52.68333
2019-07-24	average	US	-86.77917	Brentwood Estates	36.02506
2014/08/03	accep	NG	4.52514	Argungu	12.74482
2021/11/10	excellent	RU	140.72287	Nikolayevsk-on-Amure	53.14657
09 Jul 2014	good	FR	5.4584	Les Olives	43.32393
06/19/2017, 00:00:00	excellent	IN	85.83334	Bhuban	20.88197
09/19/2016, 00:00:00	maintenance	KR	128.63083	Eisen	36.82167
04/26/2019, 00:00:00	excellent	BR	-41.25528	Resplendor	-19.32556
08/18/2021, 00:00:00	good	ET	38.01667	Debre Tabor	11.85
2016-03-20	average	US	-77.70066	Gates-North Gates	43.16547
12/11/2014, 00:00:00	good	BR	-40.7475	Guaraciaba do Norte	-4.16694
11/10/2018, 00:00:00	excellent	IN	77.23826	Sathyamangalam	11.50526
2013/06/15	good	US	-76.51552	Rosedale	39.32011
02/14/2014, 00:00:00	accep	US	-74.28459	Woodbridge	40.5576
22 Nov 2015	average	NL	6.92917	Oldenzaal	52.31333
2016-12-27	excellent	AR	-68.3	Ushuaia	-54.8
2015-08-01	average	US	-93.08883	Lino Lakes	45.16024
2019-02-04	good	DE	9.5926	Walsrode	52.86147
04/03/2016, 00:00:00	average	GB	-1.47217	Chapletown	53.46506
09/17/2013, 00:00:00	excellent	FR	4.91667	Bron	45.73333
06/24/2017, 00:00:00	accep	US	-81.79819	Lakewood	41.48199
2016/10/28	accep	BD	89.11943	Kushtia	23.9028
12/30/2013, 00:00:00	accep	CA	-73.75335	Dorval	45.4473
2020/05/17	building	CR	-84.13722	San Rafael	9.92787
24 Sep 2022	accep	ID	103.61667	Jambi City	-1.6
05/20/2017, 00:00:00	average	US	-84.62081	Waverly	42.7392
2020/06/06	average	PK	73.97117	Naushahra Virkan	31.96258
2019-10-23	maintenance	SV	-89.71472	Sonzacate	13.73417
28 Dec 2012	excellent	MX	-97.50417	Heroica Matamoros	25.87972
2016-09-21	maintenance	AZ	48.87498	Astara	38.45598
2016-01-09	accep	IN	75.11937	Parola	20.88098
03/10/2015, 00:00:00	good	RU	133.42825	Lesozavodsk	45.47885
29 Jun 2022	average	US	-74.15987	Nutley	40.82232
2020/01/06	good	FR	2.29275	Fontenay-aux-Roses	48.79325
2015/03/22	average	MX	-102.04897	Paracho de Verduzco	19.64745
04/05/2020, 00:00:00	building	MY	101.02083	Teluk Intan	4.02219
2020/01/11	maintenance	TR	28.67582	Yakuplu	40.98894
2013-09-17	excellent	US	-91.73625	Searcy	35.25064
05 Dec 2016	building	PH	120.89694	Baliuag	14.95472
02/23/2019, 00:00:00	accep	US	-83.48216	Canton	42.30865
13 Dec 2019	excellent	IN	77.70636	Meerut	28.98002
2016/07/23	good	BR	-37.07167	Aracaju	-10.91111
01/26/2021, 00:00:00	excellent	US	-73.9625	Morningside Heights	40.81
2020/01/23	accep	BR	-41.88778	Itaperuna	-21.205
07/10/2015, 00:00:00	accep	BR	-51.50361	Carlos Barbosa	-29.2975
2020/09/09	accep	BR	-42.19667	Miracema	-21.41222
05 Apr 2016	accep	PH	123.99333	Sorsogon	12.97389
2014-11-22	accep	DE	10.30215	Bad Segeberg	53.94313
09 Mar 2020	average	ID	106.85417	Cibinong	-6.48167
2013/04/14	accep	IN	75.92694	Davangere	14.46693
2013/06/09	average	CN	123.50266	Hushitai	41.94175
2018/04/03	good	NO	16.54165	Harstad	68.79833
2018-05-12	accep	ES	-5.55835	Villaquilambre	42.64685
2012-12-24	excellent	IT	8.62118	Novara	45.44694
2018-11-19	accep	BG	27.25	Aytos	42.7
07/09/2014, 00:00:00	good	US	-82.46148	Lutz	28.15112
20 Jan 2020	accep	US	-87.65644	New City	41.80753
2019/05/06	average	GB	-1.99421	Devizes	51.35084
2018/10/29	average	AT	15.46667	Sankt Peter	47.05
08/17/2021, 00:00:00	average	US	-122.40433	Visitacion Valley	37.71715
08/18/2019, 00:00:00	excellent	FR	3.87723	Montpellier	43.61092
18 Jun 2021	excellent	CL	-71.23106	La Ligua	-32.45242
14 Dec 2016	excellent	CR	-85.43772	Liberia	10.63504
10/11/2020, 00:00:00	excellent	FR	1.33467	Colomiers	43.61058
2017-02-13	good	MX	-97.35992	Teziutlan	19.8173
12/28/2015, 00:00:00	good	UZ	69.67639	Parkent	41.29444
07/08/2016, 00:00:00	excellent	NG	3.39467	Lagos	6.45407
26 Jun 2020	good	AR	-68.3	Ushuaia	-54.8
2021-10-28	excellent	PS	35.23388	East Jerusalem	31.78336
2021/04/27	acceptable	PK	68.11759	Tharu Shah	26.9423
2018-12-24	average	NL	7.00417	Losser	52.26083
2016-06-10	accep	CN	122.08333	Ulanhot	46.08333
03/26/2016, 00:00:00	accep	TZ	33	Usagara	-2.68333
2021/05/16	good	DE	6.8625	Oberhausen	51.47805
07/02/2013, 00:00:00	average	AZ	48.87498	Astara	38.45598
2020/04/14	average	JP	139.55722	Okegawa	36
2016/04/03	building	HT	-72.22625	Croix-des-Bouquets	18.57677
2022/02/05	accep	CA	-73.81669	Pointe-Claire	45.44868
12 Dec 2016	maintenance	RU	85.4265	Yashkino	55.8736
14 Aug 2014	good	LK	79.87116	Dehiwala-Mount Lavinia	6.84019
2021-11-20	accep	TZ	37.73333	Same	-4.06667
16 Dec 2021	average	DE	13.28702	Dahlem	52.4581
2012/10/19	excellent	US	-77.96389	Martinsburg	39.45621
03/24/2014, 00:00:00	accep	US	-93.75018	Shreveport	32.52515
2020/02/02	average	GB	-1.5443	Lymington	50.75767
31 Jan 2013	average	LT	24.75	Ukmerge	55.25
08/19/2019, 00:00:00	average	RU	92.48278	Lesosibirsk	58.23583
2019-08-28	average	GB	-2.98333	Poulton-le-Fylde	53.83333
01/20/2018, 00:00:00	good	SV	-89.71472	Sonzacate	13.73417
2015-04-04	accep	IN	85.83334	Bhuban	20.88197
2018-12-06	accep	TR	37.3825	Gaziantep	37.05944
2015-05-10	accep	US	-88.64235	Iron River	46.09273
2013/06/11	good	US	-72.86843	East Haven	41.27621
2013/05/25	building	MX	-97.35992	Teziutlan	19.8173
2020-04-29	accep	PE	-69.08333	Yunguyo	-16.25
2013-08-05	maintenance	MZ	35.34722	Maxixe	-23.85972
2021-12-17	average	US	-81.38758	Palm Valley	30.17746
2022/07/20	average	RU	37.56667	Likhobory	55.85
2015/04/08	building	US	-117.14392	Mira Mesa	32.9156
2020-05-08	good	US	-75.64963	Pottstown	40.24537
08/19/2019, 00:00:00	good	NG	4.74161	Ilesa	7.62789
02/19/2022, 00:00:00	excellent	GB	-3.05	Blackpool	53.81667
23 Feb 2013	building	PL	19.27498	Jaworzno	50.20528
10/05/2021, 00:00:00	good	IN	77.656	Pilkhua	28.71271
2014-09-23	accep	PE	-69.08333	Yunguyo	-16.25
2016-03-07	average	UZ	72.34424	Andijon	40.78206
2019-02-27	building	ES	-0.76773	Novelda	38.38479
2017/12/08	average	MA	-6.00137	Oulmes	33.42585
05 May 2015	average	IN	72.85107	Bhayandar	19.30157
2018-06-21	excellent	CA	-73.81669	Pointe-Claire	45.44868
15 Feb 2017	maitennce	US	-84.23381	Stockbridge	33.54428
05/17/2013, 00:00:00	accep	CM	9.00472	Idenao	4.2475
2017/09/15	accep	PK	68.21204	Larkana	27.55898
2019/03/07	building	VE	-67.33122	La Victoria	10.22677
2015/10/09	good	RU	43.91385	Kovylkino	54.03876
2016/04/26	accep	TJ	69.01354	Vahdat	38.55632
2016-04-12	excellent	US	-80.31727	Kendall	25.67927
2021/07/05	maintenance	GB	0.47713	Strood	51.39323
2020-03-07	excellent	CN	123.17306	Liaoyang	41.27194
2020-02-24	accep	CH	6.10237	Onex	46.18396
30 Nov 2018	building	ES	-6.03731	San Juan de Aznalfarache	37.35813
2020-11-11	accep	PK	68.11759	Tharu Shah	26.9423
07 Mar 2013	accep	AU	145.13643	Frankston South	-38.16604
2019-01-29	maintenance	IN	86.51499	Kenda	23.1959
12/01/2017, 00:00:00	maintenance	ZA	29.24152	Standerton	-26.93366
08 Aug 2021	average	GB	-4.0573	Viewpark	55.82737
01 Jul 2015	accep	US	-156.47432	Kahului	20.88953
04 Jun 2013	accep	DE	8.77155	Karben	50.23019
27 Aug 2017	good	SO	42.54536	Kismayo	-0.35817
09 Jan 2021	building	IN	78.95693	Kashipur	29.21399
2014/08/22	maintenance	GB	-2.1875	Westbury	51.26
03/07/2013, 00:00:00	average	CN	114.51667	Wacheng	33.78333
2020-09-11	average	PK	68.49143	Bhit Shah	25.80565
03/14/2013, 00:00:00	accep	CI	-5.682	Lakota	5.84752
2020-06-04	excellent	CN	114.51667	Wacheng	33.78333
01/23/2022, 00:00:00	average	IN	73.66633	Sojat	25.92493
12/31/2017, 00:00:00	average	RU	38.94324	Yablonovskiy	44.98901
19 Oct 2020	good	RU	92.48278	Lesosibirsk	58.23583
2019/05/29	building	JP	129.96972	Karatsu	33.4425
01/09/2015, 00:00:00	accep	US	-82.32483	Gainesville	29.65163
2014-06-23	accep	DZ	3.50309	Messaad	34.15429
05/15/2018, 00:00:00	excellent	IT	12.38878	Perugia	43.1122
12/02/2017, 00:00:00	excellent	BR	-48.62789	Caldas Novas	-17.74431
25 Nov 2017	maintenance	MX	-94.91386	Acayucan	17.94979
2022-09-11	average	IT	14.43865	Somma Vesuviana	40.87329
2015/08/30	average	LY	10.18003	Ghat	24.96334
04 Jan 2019	good	US	-94.41551	Independence	39.09112
2016/08/13	good	PK	75.06583	Fazilpur	32.17629
07/06/2018, 00:00:00	accep	DE	7.2278	Bad Honnef	50.64336
10/26/2017, 00:00:00	accep	RU	76.92421	Izluchinsk	60.97944
08/25/2020, 00:00:00	good	GB	-2.09814	Aberdeen	57.14369
17 Sep 2013	maintenance	CD	15.16554	Kasangulu	-4.5833
12/15/2021, 00:00:00	average	IN	71.21169	Amreli	21.59983
01/21/2019, 00:00:00	good	NG	8.2926	Kafanchan	9.58126
2021-12-26	excellent	IN	76.11996	Manjeri	11.12018
2015/01/15	building	MD	28.28489	Soroca	48.15659
19 Aug 2016	maintenance	PE	-76.70944	Chosica	-11.94306
28 Jun 2017	accep	FR	-0.45877	Niort	46.32313
07 Mar 2014	acceptable	RU	39.8302	Severodvinsk	64.5635
15 Dec 2013	accep	AR	-61.4867	Rafaela	-31.25033
2017/07/07	accep	US	-74.96933	Sicklerville	39.71734
10 Feb 2020	accep	VE	-68.30472	Tinaquillo	9.91861
2017-11-15	excellent	CN	122.74754	Haicheng	40.85158
12/15/2017, 00:00:00	good	PE	-69.08333	Yunguyo	-16.25
2017/01/28	accep	CO	-74.95472	Puerto Colombia	10.98778
13 Jan 2019	average	TH	99.89166	Thap Than	15.46063
2014-11-12	good	IN	82.85749	Elamanchili	17.54907
19 Sep 2017	building	AR	-60.93173	Esperanza	-31.4488
2016/11/15	good	TR	40.74357	Mardin	37.31309
25 Dec 2020	average	CM	10.7	Tonga	4.96667
2020/05/17	excellent	DE	6.51352	Korschenbroich	51.19139
2016/07/18	accep	BE	4.52529	Rixensart	50.71229
05/19/2021, 00:00:00	building	NL	6.76111	Hoogezand	53.16167
04/01/2018, 00:00:00	accep	CN	117.63083	Pingyi	35.50056
2015/06/07	accep	JP	136.13108	Ueno-ebisumachi	34.75856
27 Mar 2016	accep	RU	43.63417	Novopavlovsk	43.96222
08/24/2017, 00:00:00	excellent	DE	13.29371	Charlottenburg-Nord	52.53048
2013-07-09	excellent	IT	13.57661	Agrigento	37.31065
2017/10/09	average	JP	140.73667	Hakodate	41.77583
2022/03/16	building	BR	-52.35558	Nova Xavantina	-14.66463
05/05/2015, 00:00:00	average	AR	-60.93173	Esperanza	-31.4488
05/22/2022, 00:00:00	excellent	TR	29.26639	Serinhisar	37.58105
2016/08/26	maitennce	BR	-37.65	Lagarto	-10.91722
2018/10/20	excellent	DE	8.63333	Kirchlengern	52.2
24 Apr 2013	average	CO	-77.03116	Buenaventura	3.8801
07 Aug 2015	good	US	-87.93341	Pleasant Prairie	42.55308
2019-12-02	good	IN	88.1453	Pujali	22.4711
20 Apr 2019	accep	US	-122.24064	Bothell West	47.80527
20 Apr 2013	excellent	DE	10.30215	Bad Segeberg	53.94313
2015/08/10	maintenance	IN	77.40858	Leteri	24.05979
04/13/2017, 00:00:00	accep	TZ	37.00438	Kidodi	-7.60361
31 Jul 2017	accep	DE	13.29371	Charlottenburg-Nord	52.53048
2021/03/21	acceptable	BY	30.2049	Vitebsk	55.1904
2013/07/28	accep	CN	112.19028	Jingzhou	30.35028
2022-02-17	average	US	-116.97725	Beaumont	33.92946
2022-09-12	good	ES	-2.68333	Gernika-Lumo	43.31667
26 Jan 2015	accep	IT	12.6723	Ariccia	41.72063
08 Apr 2022	excellent	CL	-71.23106	La Ligua	-32.45242
2022-08-07	building	US	-76.72803	Woodlawn	39.32288
2016-12-09	building	PK	68.49143	Bhit Shah	25.80565
11/28/2021, 00:00:00	good	BR	-47.1725	Artur Nogueira	-22.57306
09 Oct 2013	excellent	NL	7.00417	Losser	52.26083
11/24/2017, 00:00:00	average	ES	-8.2194	Ferrol	43.48961
21 Jan 2019	average	JP	140.11667	Inawashiro	37.56667
2018-06-25	accep	RU	37.99117	Krymsk	44.92934
2019-12-01	average	CD	24.99798	Kamina	-8.73508
2013-12-26	building	IN	75.37991	Deoli	25.75728
12/14/2021, 00:00:00	good	TL	125.21972	Maliana	-8.99167
10/16/2017, 00:00:00	good	AR	-58.38341	Barracas	-34.64966
2021/07/26	good	KR	128.9889	T’aebaek	37.1759
24 Nov 2021	good	CN	117.55417	Zaozhuang	34.86472
07 Aug 2022	accep	PL	15.00835	Zgorzelec	51.14942
27 Apr 2014	accep	TH	102.42587	Bua Yai	15.58552
08 Oct 2012	accep	US	-76.43941	Middle River	39.33427
29 May 2022	good	SL	-13.2356	Freetown	8.48714
22 Feb 2015	average	JP	140.73667	Hakodate	41.77583
2016/04/09	maintenance	BE	3.16667	Wevelgem	50.8
08/18/2022, 00:00:00	accep	RU	43.91385	Kovylkino	54.03876
2014-08-01	average	AR	-59.13316	Tandil	-37.32167
2014/01/26	good	UY	-56.52361	Durazno	-33.38056
24 Feb 2015	average	US	-122.40433	Visitacion Valley	37.71715
04/04/2021, 00:00:00	good	IN	86.79271	Madhipura	25.92127
2020/07/28	average	FR	1.00288	Elbeuf	49.28669
2020/10/08	excellent	IN	76.03889	Osmanabad	18.18158
2016-03-23	building	RU	60.8019	Beryozovsky	56.9083
2017/04/05	average	KG	73	Jalal-Abad	40.93333
02/11/2013, 00:00:00	good	NO	16.54165	Harstad	68.79833
05/02/2019, 00:00:00	good	BR	-46.99583	Valinhos	-22.97056
2019/11/04	average	US	-88.3162	Crystal Lake	42.24113
04/19/2022, 00:00:00	maintenance	US	-71.06616	Malden	42.4251
2014/01/24	maintenance	AU	152.70493	Maryborough	-25.54073
2020/10/21	building	BJ	2.59753	Tchaourou	8.88649
2013/11/23	good	SY	36.7138	Binnish	35.95664
02/07/2021, 00:00:00	good	IN	82.85749	Elamanchili	17.54907
12/08/2019, 00:00:00	average	IT	15.00913	Misterbianco	37.51803
03 May 2020	average	TZ	39.25	Magomeni	-6.8
07 Jul 2021	average	CN	113.13148	Foshan	23.02677
19 Nov 2017	accep	IN	77.23826	Sathyamangalam	11.50526
14 Jan 2018	accep	PH	124.84472	Maasin	10.13361
29 Aug 2019	accep	ET	38.01667	Debre Tabor	11.85
09/21/2020, 00:00:00	average	US	-88.3162	Crystal Lake	42.24113
10/01/2020, 00:00:00	building	LK	79.883	Hendala	6.9909
2015-01-21	good	IL	34.8732	Ganei Tikva	32.05971
06/04/2017, 00:00:00	accep	RU	85.4265	Yashkino	55.8736
03/31/2014, 00:00:00	average	IN	77.54372	Periyakulam	10.12268
03 Jul 2013	good	US	-73.0515	Waterbury	41.55815
2013-08-17	good	GB	-2.01111	Great Wyrley	52.66277
2017/01/09	maintenance	US	-72.27814	Keene	42.93369
2016-10-07	maintenance	BE	4.52529	Rixensart	50.71229
23 Mar 2014	good	TH	102.05461	Tak Bai	6.25947
02/04/2017, 00:00:00	accep	CN	122.74754	Haicheng	40.85158
04/18/2016, 00:00:00	excellent	AR	-58.38341	Barracas	-34.64966
2012/12/11	excellent	TZ	29.65806	Mwandiga	-4.83
12/23/2017, 00:00:00	excellent	RU	38.12408	Bogoroditsk	53.77166
2015/05/30	excellent	PH	123.33471	Dipolog	8.56697
2020-08-10	average	DE	8.64409	Trossingen	48.07667
2018-07-05	average	CN	117.63083	Pingyi	35.50056
01/28/2017, 00:00:00	accep	FR	-1.05366	Dax	43.71032
2020/08/12	accep	MX	-93.11308	Tuxtla	16.75973
04/10/2014, 00:00:00	average	US	-84.50855	Covington	39.08367
06/18/2020, 00:00:00	excellent	IN	71.57737	Gariadhar	21.53889
2017-06-29	excellent	US	-120.93549	Riverbank	37.73604
12/04/2014, 00:00:00	excellent	CU	-82.00919	Jaruco	23.04419
2013-12-21	excellent	MN	106.88324	Ulan Bator	47.90771
2013-05-27	maintenance	DZ	3.50309	Messaad	34.15429
2017/05/18	accep	PH	123.89071	Cebu City	10.31672
10/19/2019, 00:00:00	good	IL	34.86563	Ramla	31.92923
2022-06-15	good	US	-87.882	Westchester	41.85059
2019/02/03	average	BR	-37.65	Lagarto	-10.91722
2019-09-23	accep	IN	75.16878	Moga	30.81383
2016/12/12	accep	US	-86.11084	Granger	41.75338
2013-03-01	accep	NO	16.54165	Harstad	68.79833
25 Jul 2021	good	BG	23.225	Montana	43.4125
2022-09-03	excellent	NL	6.61944	Hardenberg	52.57583
25 Mar 2014	good	IN	77.656	Pilkhua	28.71271
01 Oct 2017	accep	JP	135.31667	Iwade	34.25
07/18/2013, 00:00:00	accep	CN	123.17306	Liaoyang	41.27194
10/10/2015, 00:00:00	good	CM	10.7	Tonga	4.96667
15 Sep 2015	average	PL	18.34717	Reda	54.60528
2020-07-01	accep	AU	145.13643	Frankston South	-38.16604
11/26/2016, 00:00:00	excellent	NL	6.92917	Oldenzaal	52.31333
2020-10-20	good	BD	89.11943	Kushtia	23.9028
2019-11-26	good	BR	-37.03861	Barra dos Coqueiros	-10.90889
2021/08/13	average	PH	124.84472	Maasin	10.13361
2019/09/27	maintenance	VU	168.31366	Port-Vila	-17.73648
24 Feb 2014	average	ES	-8.2194	Ferrol	43.48961
2016/02/20	accep	MX	-94.91386	Acayucan	17.94979
2018/09/22	accep	MY	102.3278	Kampung Ayer Molek	2.2139
07 Dec 2018	good	CN	114.68333	Heyuan	23.73333
2020/09/02	excellent	US	-84.50855	Covington	39.08367
2015-06-11	maintenance	US	-84.50855	Covington	39.08367
2016-06-16	building	DZ	1.04945	Frenda	35.06544
2015-06-24	good	SD	34.3869	Ar Ruseris	11.8659
2012-12-20	average	IN	85.83636	Dalsingh Sarai	25.66795
2022-06-08	maitennce	FR	5.16108	Bar-le-Duc	48.77275
10/03/2018, 00:00:00	building	ES	0.57856	Amposta	40.70995
2020-02-16	maintenance	CN	86.00214	Hoxtolgay	46.51872
11/18/2012, 00:00:00	accep	FR	5.16108	Bar-le-Duc	48.77275
2013-03-29	good	US	-118.03917	South Whittier	33.95015
2016/12/24	accep	US	-123.02621	Keizer	44.99012
2021/01/22	average	AU	152.70493	Maryborough	-25.54073
10 Apr 2016	accep	CN	111.50861	Danjiangkou	32.54278
2016/02/07	excellent	JP	138.89585	Annaka	36.33011
01 Feb 2019	maintenance	US	-117.71978	Claremont	34.09668
2021/08/29	building	MX	-100.44843	Santa Rosa Jauregui	20.74122
09 Oct 2020	excellent	RU	33.2525	Valday	57.97472
10 Aug 2022	building	BD	89.11943	Kushtia	23.9028
2019/03/18	excellent	US	-116.37697	Palm Desert	33.72255
23 Nov 2016	excellent	IT	17.80774	Mesagne	40.55851
2017-05-08	excellent	DE	6.8625	Oberhausen	51.47805
06/12/2013, 00:00:00	excellent	RU	140.72287	Nikolayevsk-on-Amure	53.14657
2019-01-08	excellent	PE	-69.08333	Yunguyo	-16.25
2016/12/14	good	ES	-2.77259	Baza	37.49073
07/20/2020, 00:00:00	average	CN	117.7	Dongdu	35.85
28 Apr 2020	building	MX	-103.5687	Zacoalco de Torres	20.22816
06 Jan 2020	maintenance	US	-74.96933	Sicklerville	39.71734
2013/09/26	good	PH	120.97844	Guyong	14.8361
07/25/2013, 00:00:00	accep	CN	113.13148	Foshan	23.02677
2021-03-26	accep	US	-156.47432	Kahului	20.88953
2016/01/03	maintenance	US	-91.06177	Greenville	33.41012
2013/08/10	maintenance	CO	-75.69947	San Carlos	8.79577
07 Dec 2014	average	AU	145.18333	Wheelers Hill	-37.9
2020/07/21	excellent	MY	103.6032	Kulai	1.6561
21 Feb 2020	excellent	ZA	30.79165	Vryheid	-27.76952
03 Sep 2020	average	SV	-89.10944	Ilopango	13.70167
2015/01/19	good	IN	81.54855	Jais	26.2649
2013/01/25	average	IL	34.75699	Rahat	31.39547
10/16/2020, 00:00:00	good	IN	72.93924	Uran	18.87813
