QoS	longitude	code	location	latitude	revision
excellent	-97.35992	MX	America/Mexico_City	19.8173	05/14/2016, 00:00:00
accep	1.26738	GB	Europe/London	51.84819	05/19/2021, 00:00:00
excellent	-74.96933	US	America/New_York	39.71734	2021-02-02
excellent	129.96972	JP	Asia/Tokyo	33.4425	07/22/2019, 00:00:00
good	27.06365	UA	Europe/Kiev	50.18545	2019-10-27
good	-37.07167	BR	America/Maceio	-10.91111	02 May 2021
accep	-66.8499	PR	America/Puerto_Rico	18.03496	2022/03/02
average	7.00417	NL	Europe/Amsterdam	52.26083	03/02/2018, 00:00:00
acceptable	102.05461	TH	Asia/Bangkok	6.25947	2021-10-04
accep	-5.55835	ES	Europe/Madrid	42.64685	16 Dec 2021
building	-81.77285	US	America/New_York	28.54944	2020-06-27
excellent	144.09638	JP	Asia/Tokyo	43.82634	02/07/2022, 00:00:00
good	-119.48568	CA	America/Vancouver	49.88307	2017-11-16
accep	86.51499	IN	Asia/Kolkata	23.1959	03 Dec 2021
accep	-89.71472	SV	America/El_Salvador	13.73417	05/02/2022, 00:00:00
accep	109.22921	CN	Asia/Shanghai	34.65918	2015/01/04
accep	-87.93341	US	America/Chicago	42.55308	08/16/2022, 00:00:00
excellent	137.23333	JP	Asia/Tokyo	35.8	2020-04-30
maintenance	9.5926	DE	Europe/Berlin	52.86147	2021/10/04
accep	117.33333	CN	Asia/Shanghai	34.85	2015/12/08
maintenance	-84.13722	CR	America/Costa_Rica	9.92787	2015-03-17
good	-74.26419	CO	America/Bogota	4.73245	2016/05/09
excellent	-88.3162	US	America/Chicago	42.24113	2022-02-28
excellent	-95.36969	US	America/Chicago	35.74788	2022/03/17
excellent	42.7125	DJ	Africa/Djibouti	11.15583	07/05/2017, 00:00:00
accep	-76.88442	US	America/New_York	40.2737	15 Nov 2019
average	-61.51889	TT	America/Port_of_Spain	10.66668	25 Jun 2016
accep	71.67164	PK	Asia/Karachi	30.29184	2017/08/09
accep	-115.98391	US	America/Los_Angeles	36.20829	03/01/2014, 00:00:00
accep	11.37703	DE	Europe/Berlin	48.06919	30 Mar 2021
maintenance	-91.06177	US	America/Chicago	33.41012	2022-08-02
average	-47.53028	BR	America/Sao_Paulo	-22.45667	2022-02-23
building	-119.0376	US	America/Los_Angeles	34.21639	07 Nov 2014
accep	38.16694	RU	Europe/Moscow	54.84444	01/11/2020, 00:00:00
building	9.00472	CM	Africa/Douala	4.2475	24 Apr 2022
excellent	107.60627	RU	Asia/Irkutsk	51.82721	2021-11-01
accep	24.04142	LT	Europe/Vilnius	54.39635	2015-09-30
good	29.00974	ZA	Africa/Johannesburg	-24.19436	01/01/2021, 00:00:00
accep	85.83334	IN	Asia/Kolkata	20.88197	2016-01-18
excellent	18.84	ME	Europe/Podgorica	42.28639	16 Aug 2016
building	-74.01042	US	America/New_York	41.50343	2013/09/28
average	-75.69947	CO	America/Bogota	8.79577	10/15/2013, 00:00:00
excellent	26.01649	RO	Europe/Bucharest	44.43579	17 Apr 2016
excellent	25.34244	UA	Europe/Kiev	50.75932	2019-02-01
building	-73.20483	US	America/New_York	41.16704	2019/06/02
average	117.33333	CN	Asia/Shanghai	34.85	2021/09/23
good	77.23826	IN	Asia/Kolkata	11.50526	2018-03-31
building	37.00438	TZ	Africa/Dar_es_Salaam	-7.60361	04 May 2017
accep	75.11937	IN	Asia/Kolkata	20.88098	2017-08-21
good	117.33333	CN	Asia/Shanghai	34.85	24 Nov 2012
excellent	-93.263	US	America/Chicago	45.0408	2016-05-24
maitennce	109.3243	ID	Asia/Jakarta	-7.0981	05/15/2015, 00:00:00
average	77.0202	KZ	Asia/Almaty	43.41949	2017/02/14
accep	12.87117	CZ	Europe/Prague	50.23271	17 Sep 2017
average	88.28637	IN	Asia/Kolkata	23.07492	25 Jan 2018
excellent	4.7934	FR	Europe/Paris	45.69558	06/13/2020, 00:00:00
good	125.51176	CN	Asia/Shanghai	42.64031	13 Dec 2013
accep	-68.30472	VE	America/Caracas	9.91861	04/13/2017, 00:00:00
average	20.22625	LY	Africa/Tripoli	30.75545	06 Feb 2020
average	-42.29444	BR	America/Fortaleza	-4.24444	11 Aug 2019
average	79.82979	IN	Asia/Kolkata	11.93381	2022-02-20
average	-120.45794	US	America/Los_Angeles	34.63915	06/26/2017, 00:00:00
excellent	115.8614	AU	Australia/Perth	-31.95224	23 Mar 2020
excellent	17.22635	SK	Europe/Bratislava	48.8449	2019/07/22
maintenance	109.05389	ID	Asia/Jakarta	-7.51611	2018/05/07
good	14.30935	IT	Europe/Rome	40.92298	2018/05/30
building	2.61667	FR	Europe/Paris	48.98333	21 Dec 2016
good	-117.23991	US	America/Los_Angeles	47.64995	2015/05/14
excellent	122.08333	CN	Asia/Shanghai	46.08333	05 May 2015
accep	-91.73625	US	America/Chicago	35.25064	2021-09-24
accep	17.22635	SK	Europe/Bratislava	48.8449	2012/12/03
building	112.01667	ID	Asia/Jakarta	-7.81667	29 Mar 2020
building	43.83992	RU	Europe/Moscow	55.39485	2018/04/04
average	24.95034	FI	Europe/Helsinki	60.18427	2016/05/10
accep	-91.77127	US	America/Chicago	37.95143	2022-09-06
accep	124.95278	PH	Asia/Manila	6.33444	05 Jan 2013
good	-4.21376	GB	Europe/London	55.82885	15 Feb 2021
good	16.43915	HR	Europe/Zagreb	43.50891	08/12/2020, 00:00:00
building	34.02537	TR	Europe/Istanbul	38.37255	02/12/2017, 00:00:00
accep	9.5926	DE	Europe/Berlin	52.86147	2020/03/12
average	-76.99081	US	America/New_York	38.96372	2013-07-29
accep	-37.65	BR	America/Maceio	-10.91722	2017/01/03
acceptable	-80.38297	CA	America/Toronto	42.8334	2020-07-26
good	-35.03333	BR	America/Recife	-8.28333	23 Dec 2020
good	38.28402	SY	Asia/Damascus	34.5624	2020-12-02
average	9.00472	CM	Africa/Douala	4.2475	2020-12-31
excellent	-117.70755	US	America/Los_Angeles	33.52253	2014-11-19
good	-111.89903	US	America/Phoenix	33.50921	24 Aug 2018
good	69.49015	RU	Asia/Yekaterinburg	56.11281	2014-07-04
maintenance	-71.19901	CL	America/Santiago	-30.60106	12 Dec 2014
good	-85.43772	CR	America/Costa_Rica	10.63504	2019-02-28
good	-96.72365	MX	America/Mexico_City	17.06542	09/09/2019, 00:00:00
good	117.33333	CN	Asia/Shanghai	34.85	2019-04-09
accep	42.85693	TR	Europe/Istanbul	39.22493	07/12/2018, 00:00:00
excellent	-82.46148	US	America/New_York	28.15112	11/03/2019, 00:00:00
good	136.61667	JP	Asia/Tokyo	36.53333	07/07/2019, 00:00:00
average	-102.04897	MX	America/Mexico_City	19.64745	10 Jan 2015
accep	114.68333	CN	Asia/Shanghai	23.73333	2022-03-27
excellent	29.41824	UA	Europe/Kiev	45.99194	2022-05-09
accep	73	KG	Asia/Bishkek	40.93333	2013/03/15
accep	100.48528	TH	Asia/Bangkok	14.37395	2017/06/16
excellent	-2.16	MA	Africa/Casablanca	34.31	09 Jun 2022
accep	-74.28459	US	America/New_York	40.5576	10 Feb 2016
average	-85.76942	US	America/Indiana/Indianapolis	39.78504	03/26/2015, 00:00:00
excellent	-72.22625	HT	America/Port-au-Prince	18.57677	03 Nov 2014
average	83.62389	RU	Asia/Barnaul	53.30972	07/07/2019, 00:00:00
maintenance	84.13864	IN	Asia/Kolkata	22.88783	09/13/2015, 00:00:00
average	-58.38341	AR	America/Argentina/Buenos_Aires	-34.64966	2018/07/18
excellent	116.82887	ID	Asia/Makassar	-1.26753	05/19/2021, 00:00:00
average	135.6	JP	Asia/Tokyo	34.61667	2015/10/21
average	20.22625	LY	Africa/Tripoli	30.75545	02 Oct 2017
accep	9.15214	DE	Europe/Berlin	49.97704	2015/10/21
average	4.86667	FR	Europe/Paris	45.51667	2015-03-11
accep	-120.93549	US	America/Los_Angeles	37.73604	2017/01/10
excellent	114.10479	HK	Asia/Hong_Kong	22.37066	2014/03/19
building	-48.67028	BR	America/Sao_Paulo	-28.24	01/03/2016, 00:00:00
average	70.91106	PK	Asia/Karachi	29.38242	2014-04-15
average	24.71204	BG	Europe/Sofia	41.57439	2019-12-09
average	-70.92866	US	America/New_York	42.52787	2015-02-12
excellent	-76.70944	PE	America/Lima	-11.94306	2019-11-02
accep	33.2525	RU	Europe/Moscow	57.97472	2018/09/04
building	11.37703	DE	Europe/Berlin	48.06919	2013/06/25
excellent	120.74221	CN	Asia/Shanghai	31.64615	2020/12/04
average	-0.76773	ES	Europe/Madrid	38.38479	01/08/2022, 00:00:00
average	168.31366	VU	Pacific/Efate	-17.73648	02 Sep 2013
average	75.06583	PK	Asia/Karachi	32.17629	02 Nov 2014
accep	-75.11028	PE	America/Lima	-15.21194	15 Sep 2022
maintenance	38.28402	SY	Asia/Damascus	34.5624	2022-05-24
good	29.00974	ZA	Africa/Johannesburg	-24.19436	16 Sep 2018
excellent	138.31667	JP	Asia/Tokyo	36.65	2014/03/30
average	34.75699	IL	Asia/Jerusalem	31.39547	03/23/2018, 00:00:00
average	-4.1	FR	Europe/Paris	48	2015-01-07
good	-86.19903	NI	America/Managua	11.84962	10 May 2016
building	120.03308	CN	Asia/Shanghai	28.88162	2019/08/13
excellent	5.03586	FR	Europe/Paris	43.83125	08/07/2022, 00:00:00
average	-9.24671	PT	Europe/Lisbon	38.72706	01/27/2013, 00:00:00
excellent	24.99798	CD	Africa/Lubumbashi	-8.73508	2020/07/02
maintenance	1.53414	AD	Europe/Andorra	42.50729	09/19/2018, 00:00:00
maintenance	38.94324	RU	Europe/Moscow	44.98901	27 May 2019
good	117.59152	ID	Asia/Makassar	3.31332	28 Oct 2020
average	88.18466	IN	Asia/Kolkata	22.19303	2019/07/31
average	-73.89125	US	America/New_York	40.67705	2012-12-19
accep	-82.42491	US	America/Detroit	42.97086	2021-07-27
good	16.91667	NA	Africa/Windhoek	-21.98333	08/19/2018, 00:00:00
accep	-156.47432	US	Pacific/Honolulu	20.88953	2019/02/28
average	3.47717	DZ	Africa/Algiers	36.76639	2018/10/03
good	-2.98333	GB	Europe/London	53.83333	05 Oct 2018
good	-77.03116	CO	America/Bogota	3.8801	03 Jan 2021
excellent	-123.02621	US	America/Los_Angeles	44.99012	01/23/2019, 00:00:00
good	29.26639	TR	Europe/Istanbul	37.58105	2019/08/28
accep	4.86667	FR	Europe/Paris	45.51667	12 Jun 2017
average	112.9	CN	Asia/Shanghai	27.85	2021-01-19
excellent	-80.38297	CA	America/Toronto	42.8334	2020-05-02
accep	-74.73584	CO	America/Bogota	5.20856	2013/05/16
average	-73.78458	US	America/New_York	41.0051	25 Jul 2021
maintenance	45.36561	AZ	Asia/Baku	41.09246	08 Nov 2016
excellent	13.32127	DE	Europe/Berlin	52.59319	2016-03-12
average	24.99798	CD	Africa/Lubumbashi	-8.73508	09 Nov 2020
average	-88.3162	US	America/Chicago	42.24113	2014-12-16
average	39.25	TZ	Africa/Dar_es_Salaam	-6.8	22 Oct 2019
average	-60.94228	MQ	America/Martinique	14.67751	2022/03/26
good	4.86667	FR	Europe/Paris	45.51667	2021/11/29
excellent	-82.4017	CU	America/Havana	23.0072	2015/02/23
average	111.4834	RU	Asia/Yakutsk	65.93381	11/02/2020, 00:00:00
accep	26.97253	UA	Europe/Kiev	49.65186	2012-11-10
maintenance	107.60389	ID	Asia/Jakarta	-7.01833	12 Apr 2019
maintenance	11.04979	IT	Europe/Rome	44.59445	08 Feb 2017
average	-84.62081	US	America/Detroit	42.7392	10 Oct 2012
maintenance	-0.2	GB	Europe/London	51.65	2015-06-01
maintenance	117.33333	CN	Asia/Shanghai	34.85	2016/09/20
average	0.57856	ES	Europe/Madrid	40.70995	15 Dec 2014
excellent	10.5511	DE	Europe/Berlin	52.47774	10/25/2016, 00:00:00
maintenance	84.87144	KZ	Asia/Almaty	47.46657	2015-11-13
building	145.13643	AU	Australia/Melbourne	-38.16604	14 Sep 2016
building	5.37429	BE	Europe/Brussels	51.03427	2021-08-04
good	137.5	JP	Asia/Tokyo	34.9	2015-06-05
average	91.61356	IN	Asia/Kolkata	26.44931	02 Mar 2013
good	6.26667	DE	Europe/Berlin	51.21667	2013/11/13
excellent	-91.58045	US	America/Chicago	41.6764	21 Dec 2014
accep	4.52529	BE	Europe/Brussels	50.71229	2012-12-30
accep	-41.45861	BR	America/Fortaleza	-4.42472	2020-01-16
building	3.50309	DZ	Africa/Algiers	34.15429	2014-10-21
excellent	3.64633	NG	Africa/Lagos	6.8485	2019-03-03
good	-62.64102	VE	America/Caracas	8.35122	2020-06-15
accep	-82.4017	CU	America/Havana	23.0072	01 Sep 2018
average	-1.325	ES	Europe/Madrid	38.47917	13 Dec 2021
average	16.43915	HR	Europe/Zagreb	43.50891	17 Nov 2015
excellent	3.87723	FR	Europe/Paris	43.61092	2013/06/07
average	23.225	BG	Europe/Sofia	43.4125	2018-03-18
good	-40.7475	BR	America/Fortaleza	-4.16694	12 Mar 2017
average	-75.64963	US	America/New_York	40.24537	05 Jan 2014
excellent	-8.2194	ES	Europe/Madrid	43.48961	04/08/2018, 00:00:00
maintenance	99.96667	TH	Asia/Bangkok	8.43333	2013/10/13
accep	-2.98333	GB	Europe/London	53.83333	2021/04/15
good	-62.64102	VE	America/Caracas	8.35122	06/19/2020, 00:00:00
good	122.74754	CN	Asia/Shanghai	40.85158	2013-01-01
average	-95.44744	US	America/Chicago	29.53885	11/08/2016, 00:00:00
accep	-72.86843	US	America/New_York	41.27621	06/23/2022, 00:00:00
accep	126.28333	CN	Asia/Shanghai	45.35	2015-07-02
average	102.3278	MY	Asia/Kuala_Lumpur	2.2139	2018/01/20
good	130.57211	CN	Asia/Shanghai	45.75279	2014/07/26
excellent	-88.27205	US	America/Chicago	44.27804	2020/04/12
good	-4.83076	ES	Europe/Madrid	39.96348	2013-01-10
average	33.34864	UA	Europe/Kiev	46.75451	12/18/2017, 00:00:00
accep	-40.7475	BR	America/Fortaleza	-4.16694	27 Nov 2020
good	69.67639	UZ	Asia/Tashkent	41.29444	13 Jun 2013
maitennce	-72.86843	US	America/New_York	41.27621	05 Jul 2018
accep	-96.72365	MX	America/Mexico_City	17.06542	2018/08/09
good	73	KG	Asia/Bishkek	40.93333	04 Sep 2016
average	-82.35176	US	America/New_York	27.71809	06/28/2020, 00:00:00
average	38.16694	RU	Europe/Moscow	54.84444	2015/09/02
good	-79.59415	EC	America/Guayaquil	-2.13404	2017-08-22
good	103.61667	ID	Asia/Jakarta	-1.6	12 Jan 2015
accep	38.16694	RU	Europe/Moscow	54.84444	05/17/2021, 00:00:00
accep	-91.06177	US	America/Chicago	33.41012	2020-12-17
accep	79.883	LK	Asia/Colombo	6.9909	2021/09/16
excellent	-5.682	CI	Africa/Abidjan	5.84752	2018/06/03
good	100.48528	TH	Asia/Bangkok	14.37395	2022/07/24
maintenance	-2.68758	GB	Europe/London	53.69786	06/25/2019, 00:00:00
good	97.01124	MM	Asia/Yangon	17.30858	07/23/2022, 00:00:00
excellent	-73.78458	US	America/New_York	41.0051	06/30/2019, 00:00:00
average	98.19151	MM	Asia/Yangon	14.0823	2016-03-16
excellent	-156.47432	US	Pacific/Honolulu	20.88953	2020-04-13
accep	1.6	FR	Europe/Paris	43.11667	2020/07/10
good	-40.7475	BR	America/Fortaleza	-4.16694	11 Feb 2018
good	77.5609	IN	Asia/Kolkata	11.00599	12/03/2020, 00:00:00
good	78.95693	IN	Asia/Kolkata	29.21399	07 Jun 2020
excellent	3.55665	DZ	Africa/Algiers	36.72544	12/07/2021, 00:00:00
accep	72.54064	PK	Asia/Karachi	31.82539	2014/01/31
average	33.72798	RU	Europe/Moscow	53.53395	11 Jun 2019
accep	88.1453	IN	Asia/Kolkata	22.4711	2018/07/05
excellent	8.2926	NG	Africa/Lagos	9.58126	2021-09-14
average	12.53463	DK	Europe/Copenhagen	55.67938	2013/07/06
average	-71.19901	CL	America/Santiago	-30.60106	2020/01/09
good	-87.88754	US	America/Chicago	41.15376	2022/06/10
good	117.65694	CN	Asia/Shanghai	36.19278	01/26/2019, 00:00:00
excellent	-68.30472	VE	America/Caracas	9.91861	11/28/2015, 00:00:00
good	76.32756	IN	Asia/Kolkata	9.57046	08 May 2015
excellent	38.07083	RU	Europe/Moscow	54.90083	07/27/2013, 00:00:00
average	-41.45861	BR	America/Fortaleza	-4.42472	2022/07/01
average	10.30215	DE	Europe/Berlin	53.94313	05/10/2019, 00:00:00
average	-122.39168	US	America/Los_Angeles	40.58654	2018/11/04
maintenance	22.53083	RS	Europe/Belgrade	44.22639	05/14/2017, 00:00:00
excellent	-120.93549	US	America/Los_Angeles	37.73604	2016/03/05
good	117.4831	CN	Asia/Shanghai	27.34089	2020/03/11
excellent	49.62251	SA	Asia/Riyadh	27.0174	2020-06-30
excellent	12.1369	DE	Europe/Berlin	51.04962	01 Oct 2015
good	128.62667	KR	Asia/Seoul	34.8825	2020/03/07
average	-121.75689	US	America/Los_Angeles	36.91023	2013-11-09
accep	1.04945	DZ	Africa/Algiers	35.06544	06/10/2015, 00:00:00
accep	32.6178	UA	Europe/Kiev	46.65581	14 May 2018
accep	-91.11667	GT	America/Guatemala	14.93333	02/08/2019, 00:00:00
average	-73.47429	US	America/New_York	40.68066	21 Mar 2014
average	-77.43532	CU	America/Havana	20.14298	2015-01-07
average	73.7553	IN	Asia/Kolkata	15.5439	2015-06-02
average	8.96317	DE	Europe/Berlin	48.35149	2018/01/20
maintenance	86.59611	IN	Asia/Kolkata	25.87498	09/07/2015, 00:00:00
excellent	43.63417	RU	Europe/Moscow	43.96222	09/04/2022, 00:00:00
excellent	-89.64066	US	America/Chicago	40.56754	2014/04/12
excellent	137.23333	JP	Asia/Tokyo	35.8	03 Apr 2014
average	-8.33147	PT	Europe/Lisbon	41.20485	2016/06/10
