PAHs	warning	H2CO	SO2	O3	CO	TEMP	PM2.5	NH3	longitude	Pb	NOx	PM10	latitude	C2H3NO5	PRES	CFCs	CH4
8.33054	0.00000	58.18394	6.96996	7.57119	10.19432	34.25776	4.11671	10.10223	78.55757	67.26680	7.19043	5.75561	17.34769	1.63097	1052.89172	71.34266	6.32276
7.50608	1.00000	77.40338	6.96453	8.07221	9.96770	19.10495	7.43426	5.53619	32.88667	52.82928	8.06698	6.68300	3.27833	1.75885	1070.69900	76.19057	8.40009
7.48878	0.00000	20.90145	9.19117	7.11613	9.71258	22.14719	6.81546	5.61208	-122.2608	47.43861	8.36301	8.71168	38.17492	8.55585	1196.55790	61.74801	5.42357
7.46178	1.00000	59.13002	7.31231	8.17913	11.65988	16.75421	7.13452	3.54622	137.36215	17.93131	8.60685	7.18433	36.75965	3.25269	1088.55964	69.27989	8.42023
8.41032	1.00000	69.90311	6.26127	9.07392	6.09158	15.77651	6.06355	7.07874	-87.88754	35.18210	8.26049	8.86636	41.15376	8.54150	1099.13253	67.19000	9.97643
8.52081	1.00000	47.25478	6.60177	9.13768	7.06588	20.69277	6.97578	8.72613	69.01354	24.77011	7.13317	7.81853	38.55632	4.21224	1120.20293	57.86483	11.64108
7.62413	1.00000	49.55216	6.56063	6.20654	6.87381	12.02032	9.39747	6.05927	-34.88111	52.94401	8.05149	7.79835	-8.05389	3.41777	1114.21255	72.02714	8.18639
8.22033	1.00000	63.82768	6.01744	7.92820	6.91710	7.54842	6.07980	9.97988	0.47713	44.32821	9.32386	9.49781	51.39323	17.20405	1155.79361	78.80267	9.22244
6.74198	0.00000	62.22343	4.89704	5.18392	11.03074	19.56281	5.53762	9.24050	26.97253	73.83492	7.85997	6.69136	49.65186	1.87018	1102.59577	66.85470	4.88141
8.38104	1.00000	47.98386	5.76121	7.88496	8.38950	14.58534	8.57836	0.84096	8.2926	39.60907	8.15591	7.80763	9.58126	4.83268	1146.39923	63.15700	7.85933
7.10149	1.00000	35.88148	8.05869	6.21972	10.74040	17.75971	9.13715	8.51089	-75.64963	61.50610	7.94318	7.62648	40.24537	4.10761	1172.04458	70.25675	7.80436
7.65214	0.00000	57.79701	9.40407	6.02664	7.76512	22.18701	5.23743	6.51047	-15.6	48.75050	6.84291	8.74137	13.56667	7.68135	1155.35891	68.82624	7.06483
7.44867	0.00000	40.35891	6.43274	6.98383	8.01170	5.62281	7.45741	9.17940	-76.51552	58.51858	7.11511	7.91288	39.32011	4.84151	1065.06659	59.43588	6.35173
8.25664	1.00000	57.10693	5.80735	4.84755	8.03694	20.52978	9.01103	6.59669	101.44167	44.98693	10.01192	8.18795	0.51667	5.38588	1122.30334	91.72003	10.65609
9.57226	1.00000	23.26764	7.12515	5.90157	8.80000	11.45007	10.57961	6.27481	138.31667	36.34040	7.91328	6.07040	36.65	2.07656	1080.35325	61.27822	8.79283
8.72826	1.00000	37.89499	5.82532	8.92186	3.41410	24.27356	6.13475	10.27182	-73.49484	28.25759	7.59003	7.86178	41.14676	3.91890	1085.56482	74.87105	7.90709
8.19498	1.00000	81.35438	5.28754	7.72238	4.07039	21.14419	4.80504	9.23538	79.87116	17.08907	8.10065	9.85253	6.84019	22.23509	1181.60951	53.58751	9.18600
7.53098	1.00000	37.64501	4.81286	6.74448	5.98382	28.18939	6.80662	9.10781	-74.96933	17.70693	8.76878	9.20072	39.71734	12.60577	1193.96093	65.64370	10.51701
9.36523	1.00000	53.77332	5.69005	9.93897	6.30627	8.05638		10.29495	-62.64102	22.81698	8.14221	7.40146	8.35122	2.73659	1059.25137	74.58021	8.10814
7.19930	1.00000	73.65696	6.60303	9.11105	6.82400	7.52572	5.94361	7.27143	74.4818	56.11079	8.23464	8.35533	30.21121	6.24640	1079.54790	69.44510	9.90160
8.20723	1.00000	34.14912	6.72402	7.86831	8.39903	33.48621	9.01239	7.01523	-117.23991	61.57411	7.39698	7.35888	47.64995	2.33551	1088.39549	70.53651	7.76648
6.97463	1.00000	61.12445	7.81967	9.90836	7.91685	2.53115	7.37405	8.36909	-42.98194	60.12834	7.80007		-22.53722	1.70696	1180.25843	63.11914	8.93051
9.45427	0.00000	65.33645	5.88755	5.39607	9.30600	24.02809	6.36390	9.32818	29.65806	52.31348	7.52363	5.97536	-4.83	1.62368	1093.27419	75.82868	5.79651
7.53340	0.00000	76.34430	5.45867	4.65991	11.92789	18.32075	4.91212	11.25741	-76.78319	34.81615	7.09894	8.27068	18.00747	4.95105	1185.21634	71.20513	7.76692
7.93949	0.00000	32.28881	4.74106	4.48161	12.22328	21.83739	5.92900	10.69627	-74.15987	31.88983	8.38984	7.17551	40.82232	3.95883	1128.17210	59.74870	7.56250
8.59364	0.00000	36.88845	9.19028	8.54228	9.72103	22.76118	7.10914	5.29762	-72.47417	52.45885	8.88639	7.75980	7.83389	4.21478	1131.00811	75.12072	6.69533
6.50433	1.00000	61.15243	7.75821	9.56999	6.61847	23.37546	7.52892	7.08082	76.56719	59.08252	6.63271	7.13732	24.41288	2.93265	1053.92029	51.68658	8.70788
7.85434	1.00000	46.00516	8.41536	6.79418	10.36064	19.35349	9.23108	8.92681	117.33333	15.32515	8.28243	8.37401	34.85	5.84136	1142.46651	77.02511	7.44399
7.45442	1.00000	49.99191	6.28622	9.66880	7.46331	13.83974	8.41064	4.78169	-72.86843	66.17710	8.74860	7.41171	41.27621	2.23443	1115.88733	69.49107	7.57788
10.01206	0.00000	27.00859	9.19180	6.92936	7.67214	24.08607	5.58144	4.21237	16.4	51.43624	7.47381	8.50197	48.25	6.94423	1091.86548	68.22950	7.66077
7.74430	1.00000	48.82664	6.19556	7.08857	9.90550	30.67635	10.00975	5.33219	97.01124	39.13662	7.95157	9.62666	17.30858	18.61351	1050.64099	60.59362	8.82422
7.55032	1.00000	44.96196	7.92735	9.55051	7.98703	31.99312	7.35918	7.29879	-48.67028	38.61841	6.72616	7.21695	-28.24	2.44638	1135.11907	64.53565	9.72956
6.67421	0.00000	35.78235	8.81336	6.40395	9.44542	10.68466	5.87756	9.84737	137.23333	72.97756	7.07135	8.39891	35.8	6.20779	1076.65454	68.08314	9.22451
7.67711	1.00000	52.94126	6.09232	8.19549	3.78242	11.25009	6.32836	9.96582	-116.21677	35.96794	9.07566	7.35761	33.7207	3.76634	1133.48466	62.53802	7.05011
5.78688	0.00000	49.10577	8.90004	6.25542	7.99902	17.91669	4.87051	7.37281	-111.89903	46.49318	7.57830	8.23190	33.50921	5.65404	1092.33548	53.82505	5.42750
6.51583	1.00000	42.64336	7.18470	8.79989	9.56930	19.63720	8.90696	5.43056	75.11937	48.70555	7.90632	8.40757	20.88098	6.47376	1134.11155	62.88931	6.84514
8.25130	1.00000	53.59854	5.91406	8.52216	7.66688	9.98934	4.96589	8.57919	113.13148	72.98518	8.91368	6.05419	23.02677	1.64511	1144.21297	56.05053	10.03269
8.51815	0.00000	32.32392	4.94603	6.59782	10.88468	4.55994	10.75873	7.66640	17.22635	45.47257	8.15815	7.53912	48.8449	3.02659	1180.98119	73.92706	8.93449
6.57848	0.00000	54.72935	9.27161	7.58179	8.40533	12.48486	7.30831	5.44119	-119.01677	32.82550	7.25416	7.93359	36.06523	4.22663	1145.47849	71.76065	7.53160
7.00557	0.00000	32.14291	9.24539	6.22803	6.45246	11.70319	6.36090	9.22987	5.22778	47.77486	8.24848	7.95960	51.955	3.89570	1195.66238	66.57559	7.01524
7.67907	1.00000	55.49941	4.82963	8.09074	8.56525	19.37435	7.56976	2.70442	-117.23991	44.13384	9.26177	7.15973	47.64995	3.15419	1085.62359	61.96110	10.65959
5.94151	1.00000	50.68173	9.04082	11.11289	7.49208	23.70377	7.68869	9.99396	38.94324	63.87451	6.60429	7.66847	44.98901	3.51038	1091.12242	78.41138	6.50239
7.21631	1.00000	80.34058	5.68790	9.37226	2.79458	28.01799	5.16868	7.72717	5.16108	31.64939	9.04569	9.03793	48.77275	10.51443	1190.52473	64.65741	11.09631
8.08240	0.00000	38.34660	5.75342	7.30280	9.06421	12.86808	7.19486	7.88231	15.00835	63.17859	6.37681	8.33018	51.14942	5.45955	1081.03900	66.80485	4.83753
6.64739	1.00000	63.56160	6.40053	7.82383	10.77367	1.94867	8.79223	4.61920	-118.25508	48.77819	8.41689	6.90935	34.14251	2.90173	1175.25154	68.06268	9.09671
6.84162	1.00000	55.59527	5.45956	6.97454	6.79703	22.18829	6.50208	9.72070	-1.325	51.32312	7.73009	6.79048	38.47917	1.66033	1137.66950	66.61745	9.07753
6.89572	0.00000	38.05808	3.77440	6.45732	12.72439	20.59268	7.61588	7.02195	75.06583	43.03892	9.21300	6.64567	32.17629	2.54510	1162.92210	68.84121	4.98717
6.41902	1.00000	72.70499	7.92489	11.15028	12.50458	18.68445	6.54195	8.95334	-40.7475	44.69119	7.16146	9.16270	-4.16694	12.27257	1070.80520	64.96793	9.81613
6.28375	1.00000	66.07481	6.84688	7.34633	8.89175	2.86608	9.02526	5.28824	-87.65644	30.20639	6.75172	6.96202	41.80753	1.51596	1115.28276	56.52196	8.01454
5.80207	1.00000	52.56571	5.91521	4.98315	6.89403	23.76862	12.78623	9.32771	109.22921	60.11416	8.88177	8.99353	34.65918	10.67646	1102.19837	85.04980	10.59886
8.76890	1.00000	55.89974	5.57468	7.97379	7.48194	20.67037	9.71336	4.05132	-97.35992	49.71380	7.81378	8.08253	19.8173	5.50209	1069.11229	76.43641	8.09599
9.49734	1.00000	61.50410	6.35290	4.85193	8.69589	8.08599	10.74803	4.75610	-4.1	59.02322	7.27970	7.83174	48	3.76145	1102.57338	67.62579	9.27265
8.17169	0.00000	50.73940	8.72969	4.74279	9.94684	8.42792	8.41212	8.39360	6.9747	54.64321	7.34480	8.02637	50.82709	5.94416	1084.98135	68.87932	8.23574
9.66584	1.00000	56.64568	8.06617	10.84416	5.81425	30.93659	6.92914	8.88471	-88.3162	64.51121	6.83314	6.16546	42.24113	2.15793	1087.43083	67.20137	7.31894
7.25416	0.00000	72.12727	8.69949	4.77683	8.99203	16.74185	5.85957	6.27765	60.70278	38.09400	5.94757	8.58325	55.75556	7.33853	1158.84922	75.13500	6.17003
6.84877	1.00000	45.02343	6.11779	8.64706	8.23029	8.20852	7.95464	6.59311	-84.23381	43.20279	9.52431	8.64121	33.54428	7.42477	1101.44337	76.20269	8.59489
8.30992	1.00000	45.43800	7.49066	9.85136	8.22395	13.12832	6.17520	7.76767	8.2926	40.41866	7.66992	7.09490	9.58126	2.39212	1060.93766	82.68260	9.63954
6.11545	0.00000	59.15873	10.71901	6.39054	6.66875	9.68702	3.54965	6.30577	84.13864	51.39626	7.35587	8.23326	22.88783	5.61381	1115.48110	53.04304	6.25237
8.30669	1.00000	64.10133	5.78808	5.60372	8.23493	20.39626	10.59628	5.62463	117.33333	55.04323	9.08899	8.88752	34.85	8.64532	1173.37543	70.42909	10.65231
4.36210	1.00000	40.10309	4.09395	6.67915	6.94587	8.18420	5.26049	8.60131	-93.08883	70.42210	8.10170	9.83580	45.16024	21.43414	1070.76048	69.27245	11.65962
8.36266	0.00000	56.35894	5.64826	5.02582	11.20235	32.20981	5.84074	9.59415	122.08333	40.06797	6.93446	9.04943	46.08333	10.91252	1079.86410	60.83236	6.70210
8.51207	1.00000	26.15046	5.41396	7.95771	7.50502	10.60927	6.43891	9.96933	-73.95958	63.27178	6.22180	6.48467	40.57788	2.34177	1070.35667	60.66075	8.64268
6.59977	1.00000	53.15995	7.79047	8.69209	7.28380	15.38865	7.13827	7.70286	-73.78458	34.82268	8.52808	8.74412	41.0051	8.65321	1135.13350	72.93103	10.09805
7.54571	1.00000	38.47311	5.96996	7.77954	8.14147	-2.37589	6.50050	8.71649	15.00913	40.31284	5.63887	9.55936	37.51803	17.35421	1057.88446	75.12559	10.00400
6.93872	1.00000	46.18401	5.55543	5.97856	7.69892	6.83509	11.39329	5.99941	120.03308	67.96584	8.83901	8.26685	28.88162	5.28721	1056.51621	57.38618	9.66872
9.20588	1.00000	38.64881	6.34500	9.29804	6.84207	8.83185	7.14258	8.87235	34.86563	39.32527	8.68935	9.89827	31.92923	22.55389	1169.89213	71.18513	9.83862
9.13159	0.00000	48.51595	8.04583	5.43555	8.90333	9.78971	5.38640	5.28667	47.3799	55.82346	7.08961	8.55956	33.14447	7.83802	1166.74022	76.80260	7.17580
7.98197	0.00000	42.43242	7.97801	6.41541	12.11144	12.78380	8.77107	8.23098	-89.66123	50.51743	7.18971	7.43296	21.28306	3.51116	1139.58837	52.84435	9.20283
6.58290	0.00000	68.80743	9.25378	8.89729	10.28081	12.03552	7.14947	4.20847	4.7934	60.16981	7.14135	8.82201	45.69558	8.06228	1133.24480	67.11683	6.70719
7.42768	1.00000	53.47022	4.79509	7.35503	6.63237	44.62721	5.92052	7.89754	115.88782	42.59599	8.34032	7.07576	-32.05251	2.36218	1163.20174	62.79941	12.17454
10.29363	1.00000	65.48189	7.46177	6.73778	11.11118	22.59940	7.35384	4.72547	29.91582	44.34083	7.95126	8.15981	31.20176	4.96238	1142.51423	58.29920	8.49928
8.61756	1.00000	48.83107	8.75681	9.38987	3.27369	22.83493	8.69090	7.86827	13.32127	44.99694	7.70711	7.39126	52.59319	2.59424	1068.91086	65.15157	8.17873
7.64947	0.00000	45.88579	6.93620	6.26263	9.08410	6.09491	5.87684	9.29120	-123.02621	36.56142	8.32643	7.87169	44.99012	4.77271	1189.60869	78.80294	6.20072
9.08240	0.00000	62.79548	8.73644	5.54834	10.07098	13.87625	6.25962	7.54251	-81.23621	62.42104	8.31788	9.69990	33.98154	19.48506	1193.32758	75.43269	5.28102
7.30740	1.00000	77.64794	6.85475	6.14054	9.28211	20.31040	7.12983	3.60730	-38.79084	54.87525	7.61675	8.01556	-10.95817	4.26898	1110.13775	74.19700	8.93746
7.00075	0.00000	21.33363	8.32785	4.85203	8.69066	25.83393	5.58596	7.34247	9.40531	47.61067	6.77750	8.41591	45.53069	5.72551	1079.66836	72.48509	6.26254
7.38770	0.00000	26.20762	10.63657	5.21279	10.09647	-5.25458	6.11255	8.69835	115.8614	59.09550	8.40719	7.53206	-31.95224	3.33085	1081.77676	82.78288	4.71206
7.96389	0.00000	53.70011	8.05794	5.94012	9.05128	17.38640	4.58221	7.16390	-58.38341	64.46833	8.90814	7.29454	-34.64966	2.72156	1113.32314	63.65665	6.03508
8.25447	1.00000	71.06778	7.78080	5.96240	11.82556	18.88684	9.22971	9.15242	-95.44744	50.19198	7.13547	7.61343	29.53885	2.63093	1151.88543	57.28126	9.22513
8.66978	1.00000		4.26527	7.19330	9.16707	25.87417	5.20496	10.09387	-81.23621	21.89684	8.24638	11.03297	33.98154	68.33024	1132.83382	67.38427	10.41512
6.50499	0.00000	64.28175	6.87452	8.50972	8.17027	10.56712	6.47665	8.50199	-111.89903	37.87429	7.75824	7.54924	33.50921	3.81995	1152.59796	68.79791	5.48674
7.44111	0.00000	66.89932	5.88789	5.10624	9.72648	14.86761	5.52169	11.43731	-44.31389	41.35268	7.51023	7.16442	-19.7625	2.98893	1065.66989	77.79013	7.34326
7.99935	0.00000	60.60663	7.91991	6.69123	9.95820	23.00304	5.34795	6.97838	84.63445	29.19679	7.99832	8.11235	24.81757	3.90194	1070.58981	73.46795	5.10991
7.55994	1.00000	74.05130	6.08766	9.71309	5.87500	19.99367	5.62752	10.46819	14.01481	50.38162	5.97908	7.62597	42.67164	3.65017	1171.01850	56.22111	8.82139
7.17063	1.00000	77.51622	7.45460	7.06539	8.56847	25.96647	10.64519	9.35801	109.22921	54.91449	6.07831	7.30442	34.65918	2.86712	1122.61562	69.97391	8.11985
7.30962		24.45685	5.12173	5.91073	8.33340	38.74691	11.28700	6.91228	-52.51028	44.71845	6.89612	7.28535	-28.81833	3.83921	1141.32340	87.30345	10.74937
9.03889	0.00000	68.57634	6.00692	6.53706	9.32550	19.47635	6.49064	8.74114	40.74357	24.27267	8.98468	7.38238	37.31309	2.75368	1159.59807	70.38818	5.42548
7.48915	1.00000	48.62690	7.05682	9.28847	7.63730	-1.46192	7.46308	9.64288	-77.37331	46.73009	8.30428	4.86875	37.60876	1.27319	1135.69779	73.56617	9.70114
8.70074	1.00000	63.66264	7.27537	8.35647	6.03045	11.67620	8.77267	8.48675	8.70745	30.32137	6.51793	7.92826	49.03685	4.60257	1055.24371	67.36692	8.71828
8.65453	1.00000	37.29324	7.05800	10.14147	5.21048	34.01564	6.50423	9.31184	19.61222	67.85722	8.63135	8.20217	44.97639	5.41402	1125.62350	75.01927	8.66162
7.14152	1.00000	51.04097	8.80723	12.60612	3.67057	15.89995	7.46014	8.43774	-83.55521	67.07867	8.92168	7.92173	41.66394	4.89676	1173.03464	70.00880	8.30581
7.77161	1.00000	62.58473	6.73402	8.44291	10.10363	7.14362	7.03834	4.04451	-97.35992	19.01304	6.96011	7.20500	19.8173	2.84819	1158.21391	75.35038	8.45784
8.48418	0.00000	57.94659	9.21860	5.51277	10.23745	18.53099	5.75061	7.41579	74.4818	63.76048	7.61415	7.27526	30.21121	2.24600	1106.48027	46.79190	5.27026
8.06582	0.00000	62.55762	10.62533	6.15498	8.56994	28.67412	7.81726	6.87440	26.01649	53.58122	8.75910	8.09310	44.43579	4.64363	1137.30238	70.89491	7.61366
8.63015	1.00000	28.86247	7.12563	7.71896	8.33476	12.17451	9.38242	4.82688	116.10146	55.82358	8.33737	10.13285	5.90702	28.32076	1191.92637	73.03089	7.46709
7.28472	1.00000	55.64859	6.66081	4.58600	9.09641	20.10189	7.66019	7.01334	-119.0376	53.73032	9.17611	6.97987	34.21639	1.34417	1061.63314	66.39666	11.40459
7.50755	1.00000	63.91111	6.35110	8.29686	7.48797	20.34791	7.13571	9.32663	71.57118	40.19125	8.52596		32.87533	2.70453	1092.29401	80.19821	10.08800
8.49070	0.00000	61.40681	10.02036	7.39782	9.10981	21.46359	6.40287	6.12350	39.85331	59.14327	7.90122	8.65807	57.30185	8.04103	1158.00459	54.18699	7.97723
8.40119	1.00000	46.12175	5.01928	10.40912	8.64667	20.73755	3.86140	8.37584	20.91361	34.84647	7.25627	7.49318	41.92361	3.08523	1112.51827	71.70003	9.89071
7.74782	0.00000	55.02261	6.38927	6.30160	9.50673	20.34511	4.50008	10.77945	135.6	43.38555	9.07782	7.21537	34.61667	3.59390	1117.59363	77.98872	6.15727
10.22927	0.00000	57.46939	5.73444	8.11309	10.44555	16.71945	6.29862	8.27847	178.00417	46.90153	9.05010	7.77192	-38.65333	4.31437	1103.98164	81.59231	5.56854
5.16176	1.00000	53.02268	5.52843	5.34524	6.40706	13.87450	10.85586	8.22933	-82.61573	43.27319	7.85949	9.15396	41.24255	12.43093	1131.48424	72.10784	10.69016
8.00699	1.00000	51.27346	5.66407	9.89264	5.54545	15.91712	5.21653	8.60530	-1.08593	57.48728	7.30627	7.31580	50.79205	2.22659	1054.40193	60.73764	8.23959
7.99474	0.00000	47.55913	9.33171	7.44411	8.22393	12.03526	6.76793	4.57013	10.03988	49.94791	9.17921	7.89137	53.6052	4.24702	1147.32484	66.84222	7.19463
8.65013	1.00000	48.75201	5.64784	6.97956	5.96065	11.35955	5.47973	7.19012	-97.03285	25.18839	8.28807	8.94541	47.92526	10.22003	1170.91219	59.94159	11.83014
8.04395	1.00000	36.22988	7.23069	11.02192	7.89695	9.66989	6.33432	10.37531	101.44167	34.28309	5.82269	8.54409	0.51667	6.16543	1154.08114	65.12345	
8.39732	0.00000	49.67749	8.83449	4.91097	9.40388	18.95787	6.29264	6.92339	125.51176	41.53887	9.69950	8.18378	42.64031	4.88650	1113.11280	76.11325	6.24241
6.64517	0.00000	43.88671	7.47669	5.34580	9.61685	30.85285	5.84410	6.24498	-122.38731	36.61332	7.59085	7.84244	45.53929	4.82839	1075.10041	66.91791	5.54657
8.06009	0.00000	55.93447	5.71892	8.29548	9.02593	27.59075	5.78415	9.24195	77.5609	47.08018	7.58048	8.51224	11.00599	6.71744	1127.46522	54.95935	4.94183
7.12369	1.00000	40.70604	6.44452	6.33001	8.89978	24.86017	9.25167	7.71476	-78.04471	48.15018	8.33955	7.56787	34.25628	3.33494	1094.81596	68.32085	10.29677
8.19764	1.00000	54.74449	8.23882	5.96230	8.49917	28.42567	8.11046	6.51420	-8.07257	60.58003	9.35394	9.26069	12.74409	12.20615	1132.13567	67.73894	8.07307
8.94946	0.00000	42.61817	10.30783	8.99799	9.92064	9.47281	8.92337	5.73117	84.13864	73.83775	7.97017	7.80858	22.88783	3.31797	1123.96297	74.96903	7.63837
9.43940	0.00000	49.40567	6.63526	7.29842	8.47715	20.99885	5.80406	9.97664	-0.2	44.00995	7.71409	6.50595	51.65	2.28144	1131.43189	74.81879	6.26171
8.32522	1.00000	61.67530	6.34092	9.79729	7.08826	13.13171	6.26105	8.95064	4.08282	28.03254	8.55568	8.91160	36.61954	8.52806	1173.90116	63.23745	9.29755
9.34582	1.00000	57.56610	6.60638	11.15000	6.67555	-7.84181	4.53141	8.19219	-58.38341	30.23615	7.45691	7.93122	-34.64966	4.46845	1098.76641	75.15931	9.67390
8.91177	0.00000	30.36777	7.01539	5.98390	8.12665	2.28246	6.87875	11.15381	-75.69947	43.37794	7.16764	7.95255	8.79577	4.67416	1138.66193	75.62108	8.56460
8.21259	1.00000	44.44375	6.21095	6.47690	7.72993	20.74331	9.85048	5.33917	140.11667	59.05291	7.38557	8.36157	37.56667	6.65862	1120.41717	76.12217	8.74298
8.22204	1.00000	60.28134	4.84820	8.37227	10.22099	28.22734	8.79688	3.44402	-91.11667	30.13955	9.13055	8.48415	14.93333	7.10409	1092.42382	74.54506	8.98835
8.61748	1.00000	87.57497	5.15511	6.59606	7.11241	19.41402	11.09703	6.48019	146.05093	44.57300	7.73079	6.68075	-34.28853	2.66706	1075.82865	81.07009	10.49763
6.64268	0.00000	51.01105	4.61688	4.61716	12.09583	-1.56169	6.52739	9.96441	-74.15987	38.12069	7.09151	7.23044	40.82232	3.17056	1057.81606	62.08045	7.08485
8.82792	1.00000	56.18225	6.73001	9.03343	6.68930	13.46632	6.62057	8.28716	126.28333	39.83400	8.28404	9.24587	45.35	12.84096	1187.77293	57.75722	10.16581
6.87097	0.00000	68.65652	8.31561	4.71791	10.38224	5.04431	6.17448	9.49884	120.14278	29.14897	7.56619	7.72735	32.50611	3.00873	1083.67781	66.58140	5.18387
7.87850	1.00000	44.46655	5.63767	6.55123	9.60169	16.57350	8.41717	5.98843	117.81667	54.41125	7.69379	8.88593	36.81667	8.99600	1136.56465	80.36958	10.34022
9.66311	0.00000	36.03992	6.40207	4.67492	10.48965	19.10055	6.64189	9.27914	120.97844	34.60888	7.42373	8.44570	14.8361	6.27939	1167.46297	53.20654	7.43393
8.68216	0.00000	47.71400	8.45651	6.74584	9.84353	10.54194	4.42167	7.71363	-122.86705	35.39965	8.11134	7.35920	45.49428	2.70296	1164.45310	68.19159	5.90987
7.32179	1.00000	50.11676	6.62765	6.12526	9.96391	14.65840		5.71293	38.28402	28.00906	8.45384	7.65048	34.5624	3.23968	1154.95795	78.01885	9.90699
6.51002	1.00000	64.36146	6.64074	9.85123	6.23298	19.71729	6.26831	9.41855	-58.44417	73.38096	6.22094	8.22099	-3.14306	5.33875	1177.51498	54.67971	8.24339
7.63009	1.00000	47.10316	7.25746	5.54331	10.51206	15.04569	7.21377	5.29866	-70.20749	52.24366	7.52039	9.00869	8.62261	10.66778	1119.69309	82.39977	9.75876
6.61019	1.00000	34.96171	5.53552	6.23152	9.14303	32.80377	10.23370	5.92413	10.5511	37.24754	4.29887	7.30453	52.47774	3.63884	1190.61384	82.32971	10.09945
7.81270	1.00000	14.61312	6.99078	6.46835	8.72793	24.22154	7.48316	8.16748	104.64992	22.51362	5.81161	7.51725	14.64056	3.18120	1079.36845	79.20819	9.60079
8.31890	1.00000	51.55517	4.91244	8.92015	6.71537	23.23849	4.96146	11.02723	27.02444	50.64464	6.68375	8.10290	39.59611	4.72777	1176.33176	70.60181	7.17963
7.90266	1.00000	36.89344	8.39745	7.21167	10.80904	18.54415	4.80794	7.87830	-156.47432	43.53291	7.20236	6.80090	20.88953	2.28470	1059.03660	84.43531	8.45329
7.91620	1.00000	41.45752	6.78702	7.02946	8.79672	18.93302	10.66154	6.90360	75.16878	37.29803	7.33105	8.03367	30.81383	4.80966	1100.69756	81.76716	7.98748
9.13123	0.00000	62.09164	7.19706	5.64338	8.28874	23.02925	6.97499	8.74049	10.58082	23.94433	8.69884	8.49782	35.72917	5.90173	1167.70581	60.14630	6.42060
7.55159	1.00000	51.32023	6.06763	9.69438	5.82545	17.34697	5.65636	8.47032	4.52514	57.74124	6.82300	7.62099	12.74482	3.44941	1130.44682	78.17214	9.45579
8.66104	0.00000	42.79025	10.67622	9.07727	9.02372	7.61653	9.07890	5.39256	16.43915	33.58879	6.93307	7.62377	43.50891	3.68664	1101.97233	65.10079	9.35356
8.85430	1.00000	43.34542	6.93817	7.64274	9.64280	18.74153	9.96907	5.41606	69.01354	48.02241	7.68118	8.60979	38.55632	6.35814	1086.47349	86.30083	7.64189
