CFCs	latitude	TEMP	NOx	H2CO	NH3	C2H3NO5	PM10	CO	PRES	PAHs	warning	O3	longitude	Pb	CH4	PM2.5	SO2
35.93990	37.95143	14.78536	8.04079	56.76595	6.52238	1.46796	7.17416	5.29336	1103.00918	7.58489	0.00000	6.76765	-91.77127	55.64501	10.50442	9.49228	7.16570
58.81826	39.22493	15.96267	10.98976	59.31289	7.79823	0.46575	6.05726	9.17548	1121.28663	8.05494	0.00000	7.31345	42.85693	52.28483	9.96945	7.43390	8.30616
38.21413	36.65	17.16402	8.93053	48.25008	6.52794	2.50423	8.17415	9.51464	1110.03763	6.46558	1.00000	7.67481	138.31667	61.94175	7.45166	9.34061	7.40332
54.43965	30.81383	7.82243	5.08761	44.63846	4.97544	0.48713	5.20733	7.08280	1064.21179	9.16935	1.00000	6.30490	75.16878	52.76297	9.28233	6.75156	7.76048
66.72033	6.25947	3.57594	9.73437	48.09934	6.03013	1.89425	7.99621	8.97665	1176.86458	6.24026	1.00000	7.50749	102.05461	40.93368	7.24988	8.31448	7.62935
41.50984	15.72892	-6.56588	9.98563	35.91531	6.63055	1.98448	7.85644	9.24512	1147.75525	6.45736	1.00000	7.64133	120.57224	41.84596	5.34952	10.53892	7.32177
55.05287	-5.41667	4.06465	7.94527	34.12861	7.89553	0.95878	6.66284	10.36266	1159.44053	7.68679	1.00000	6.99955	38.01667	42.64839	5.64219	10.00548	8.80201
44.03201	14.37395	14.68105	7.02745	25.80414	6.88314	0.80454	6.63970	5.02016	1199.14176	9.22223	0.00000	8.67580	100.48528	59.73526	9.32128	7.95431	8.83454
62.44903	50.71229	10.45912	9.34174	52.52160	6.58609	0.96047	5.55453	8.63024	1050.76390	6.89522	1.00000	6.48241	4.52529	37.38055	6.71806	8.65797	8.87500
38.84804	35.815	6.71113	7.13356	61.12794	5.36381	1.86272	7.84383	8.77541	1093.84027	8.85223	0.00000	6.26850	139.6853	23.67028	9.15748	8.92548	7.05678
60.07669	38.96372	14.47227	8.02409	36.11219	7.27450	1.40691	7.16338	9.38033	1060.61593	7.59604	1.00000	8.46273	-76.99081	39.64517	6.34115	9.76996	8.00751
59.17151	24.05979	33.47213	9.44796	45.33629	6.91432	1.10718	6.78166	8.76969	1121.99549	9.74532	1.00000	8.20612	77.40858	34.17829	6.07829	9.14991	7.22966
23.86542	41.84364	3.96488	12.52117	33.44401	4.78939	0.88995	6.19049	8.85927	1190.38414	6.99468	0.00000	8.14362	-87.71255	53.64336	9.74401	8.84380	7.87467
55.56284	45.43341	17.20423	9.02655	36.79273	6.84415	0.58094	6.45362	8.81935	1108.48204	9.18195	1.00000	6.50615	-73.86586	42.83461	5.65983	8.93461	7.71259
56.55170	37.65181	16.06658	10.37002	32.11592	6.90784	2.48228	8.37599	8.84854	1110.51893	6.59765	1.00000	9.99085	120.33063	35.75839	4.95921	10.81622	8.62140
57.76168	34.31	16.43278	7.63869	40.96610	7.60244	2.28477	8.12480	9.32310	1080.49349	6.45161	1.00000	8.72090	-2.16	48.11380	7.48164	6.91171	9.26379
40.26739	38.07789	20.51970	6.68387	40.81766	8.37833	1.79604	7.85565	8.72627	1124.15666	8.09801	1.00000	8.04360	13.44275	45.01519	9.73535	6.73949	7.05490
60.80648	33.37526	13.76564	11.58580	27.02827	7.68403	0.52783	5.69334	9.55024	1168.90271	7.60868	0.00000	7.62349	74.3092	18.08748	9.01688	8.01624	7.28852
44.10983	24.05979	-4.09680	5.89794	39.81829	8.00981	5.48906	9.37294	8.48775	1149.28242	6.92908	0.00000	7.25704	77.40858	60.55217	5.85521	14.02394	7.97667
26.09130	41.0051	27.80231	11.29150	47.70124	6.94872	1.00432	5.53776	9.59937	1054.93672	6.68047	0.00000	7.53482	-73.78458	56.51499	11.02010	9.91797	6.74041
47.19462	55.64776	3.16491	9.77377	44.99527	6.69184	0.71325	6.27584	6.30919	1070.86765	8.02977	1.00000	7.11166	38.02486	72.08086	10.51273	10.75035	7.79674
70.12989	37.49223	25.97926	5.86053	25.13042	5.46523	1.88581	7.67699	9.76284	1052.97888	6.97245	1.00000	6.71212	15.07041	56.20169	10.70963	6.20786	8.32173
49.49304	35.6803	26.32813	4.74334	33.52371	3.78467	0.84112	5.59612	9.05289	1157.60696	7.98739	1.00000	9.44759	51.0193	66.51253	9.48543	6.47015	5.25879
64.23472	-21.41222	9.31780	6.84228	41.64811	8.50157	0.64352	5.15955	3.61049	1139.34789	5.96711	0.00000	6.42372	-42.19667	66.80296	12.59804	11.16305	7.40131
58.83623	44.35056	9.14532	9.09467	63.85422	6.74539	1.07561	6.88038	9.34197	1184.80748	6.73571	0.00000	7.51707	142.45778	36.42588	9.08028	9.12736	8.27031
59.73389	21.59983	14.77688	11.12683	41.30902	5.72788	1.32444	6.12803	8.29924	1063.95108	8.27857	0.00000	7.50984	71.21169	57.86644	7.56931	8.68898	7.91370
30.87354	-17.73648	24.43887	10.70480	26.51065	6.05596	0.59593	5.56506	7.41114	1192.08002	7.66530	0.00000	7.82661	168.31366	37.98559	7.84145	8.99015	7.72087
58.92713	53.51684	26.21310	9.41134	44.59672	7.63526	10.37452	10.03733	10.86977	1101.58524	9.32641	1.00000	7.95200	-113.3187	39.03986	6.19814	12.03416	9.17579
64.07615	-15.675	28.94916	7.34170	43.86227	5.90283	1.18085	7.20293	8.96076	1087.03894	7.94162	0.00000	8.47635	-38.94722	50.33935	9.10661	9.42506	8.98775
44.50569	48.28259	19.68841	9.60846	52.76475	9.29072	1.19445	7.15578	8.40706	1145.77321	7.89691	1.00000	5.93927	9.72749	73.11130	7.52392	6.84369	6.89115
26.96059	55.54028	16.33106	11.75139	39.42008	5.95726	0.85852	5.96281	8.01097	1150.04673	7.46262	1.00000	8.39176	89.20083	70.87623	5.84906	8.43214	8.06311
51.39787	47.48444	8.29076	5.66403	55.87862	6.91936	1.02429	6.75441	8.94859	1115.07064	8.27379	1.00000	7.38187	36.25361	54.50280	10.30446	6.54169	7.83427
60.61877	51.21667	10.75456	10.72715	56.32809	7.37247	0.80626	6.51794	7.76223	1197.62714	8.07731	1.00000	7.62029	6.26667	51.35513	3.35892	9.84265	7.33453
33.57856	41.55838	27.02780	7.96028	40.55932	6.68441	1.65142	7.58210	10.47856	1075.27674	7.73981	1.00000	7.42806	-81.56929	77.85480	8.06509	9.03977	8.40907
58.80521	27.09978	11.45843	9.25073	19.77867	5.77554	2.29745	8.33395	6.22286	1149.06143	8.66552	0.00000	10.38385	-82.45426	36.28822	10.02735	9.93451	8.83649
68.54010	29.21399	23.54089	10.49386	24.93355	4.38797	1.47168	7.70970	7.93828	1172.62984	7.97235	0.00000	6.31079	78.95693	50.91852	8.59832	10.39954	8.11194
48.97608	10.31672	10.88550	9.67789	39.12439	6.06036	1.57794	7.71316	9.68921	1108.54621	7.14112	1.00000	8.92789	123.89071	49.90764	6.17414	11.47893	8.34620
31.37519	33.86419	15.14631	10.35369	29.73453	6.58872	1.34216	6.89513	8.72963	1084.97434	10.38282	0.00000	8.03521	48.26258	58.62462	8.98474	9.89981	7.35265
62.83862	38.38479	32.29828	9.65434	53.16483	5.09308	0.81085	5.74498	8.39207	1117.40588	6.49129	1.00000	7.81142	-0.76773	56.94584	7.60975	8.35134	7.65053
25.77646	55.25	14.14800	6.82010	44.94229	7.17944	1.74086	7.61996	3.61850	1065.06909	7.19255	0.00000	8.00187	24.75	46.65315	11.87288	10.60056	8.61869
59.03558	51.82721	14.60525	7.48133	37.22575	8.39425	0.26987	4.08288	10.99676	1064.05189	8.69081	0.00000	6.63247	107.60627	48.85201	12.49137	8.11301	
60.01783	30.76468	21.19799	7.82699	22.04457	5.52514	0.55579	5.28977	10.27498	1081.28729	8.22820	0.00000	8.41677	74.12286	54.05342	10.79461	9.28374	7.68908
45.22120	48.43174	16.26369	10.90718	33.15111	5.87876	1.16258	7.41519	7.41919	1181.13386	5.65826	1.00000	8.26252	17.8031	58.19334	5.06501	9.55151	8.41107
42.31062	44.89784	26.16302	9.67334	37.20101	6.64646	1.20752	6.98504	7.38287	1061.22223	8.45859	0.00000	6.61042	8.86374	36.67342	7.81262	8.81216	7.23791
41.55220	51.78771	35.81056	8.96387	46.24700	6.38284	1.06151	6.27607	6.21231	1050.68334	5.80730	0.00000	9.35166	56.36091	37.63588	8.40194	8.50799	6.40538
64.17664	36.08497	18.19017	9.42635	52.38274	7.45382	1.10110	6.36247	10.87914	1118.72961	6.55590	1.00000	7.36830	9.37082	74.57002	6.63529	6.52348	9.33919
32.87269	35.85	9.03388	9.21369	45.55761	8.39369	0.83754	5.32501	10.17488	1051.33425	7.76402	0.00000	8.83293	117.7	44.39531	9.97506	7.90155	7.09327
49.22681	44.89784	36.86345	7.27884	41.97459	7.65916	2.02362	7.95312	10.40020	1165.73056	6.82803	1.00000	6.72313	8.86374	40.00239	9.11589	6.52819	7.73045
37.91728	36.21544	9.20450	7.67570	68.94369	6.76526	1.14206	7.46723	10.56842	1152.78583	9.26669	1.00000	6.78730	65.93249	48.48939	6.51104	6.82313	7.45548
48.47118	50.64336	-4.67299	9.82689	25.43117	5.94642	1.06641	6.78510	8.80050	1058.45797	7.20435	1.00000	8.11946	7.2278	73.62038	7.00093	9.26756	6.14977
67.11030	48.49144	27.18727	10.29739	48.62497	7.46941	1.06829	7.26145	8.74463	1166.92974	7.41779	0.00000	7.92211	9.20427	83.92525	9.02809	10.39270	9.51663
39.73569	40.65538	18.35463	7.04952	46.77794	8.45304	6.10404	9.51663	8.51688	1158.25086	8.49442		8.47966	-74.38987	51.43870	9.77976	6.75942	7.76644
61.43483	-3.74912	23.88044	8.11471	27.99592	8.27326	0.75690	5.97993	5.49709	1125.73340	7.10049	0.00000	6.24350	-73.25383	22.99499	12.09603	11.30780	8.28429
90.64115	9.92787	29.87544	9.96235	53.05001	6.76593	1.23239	6.84575	7.67547	1057.47842	6.52925	0.00000	7.74057	-84.13722	61.47013	8.50247	9.35196	5.82122
35.11070	44.27804	9.85021	9.33760	58.58255	6.08867	2.88504	8.43142	6.57723	1073.66949	8.77662	0.00000	7.35529	-88.27205	58.60567	9.21015	9.72668	7.59802
36.59228	59.37722	3.73042	9.47756	51.32411	6.44914	0.60540	4.44395	7.51107	1069.78075	8.68994	1.00000	7.36815	28.19028	51.18049	6.02394	7.23105	7.92578
49.44365	41.57721	6.16512	3.88359	56.28249	4.18506	0.66382	4.97376	9.73983	1136.59265	8.32536	1.00000	7.18046	-93.71133	54.60593	8.45753	6.75718	7.59880
39.42515	56.11281	28.43560	6.39518	66.55564	7.25846	2.76499	8.34047	10.34773	1104.59904	6.34288	1.00000	6.71281	69.49015	33.28854	9.45122	6.57520	7.06754
60.96614	42.28639	13.69876	4.05531	40.41203	6.94812	1.03150	7.72000	6.73574	1055.02674	5.46841	1.00000	9.00017	18.84	30.79428	8.28489	7.55222	
32.31785	41.54566	34.06164	8.02003	46.81976	4.81416	1.26747	6.02719	9.75153	1152.86928	8.89699	1.00000	9.11294	-71.29144	68.87523	9.43978	12.07034	6.64564
58.95811	42.52787	28.45110	8.64889	70.47841	6.98242	2.10045	7.80463	9.96463	1054.23669	10.18294	1.00000	7.99790	-70.92866	51.16533	7.84445	9.67310	5.26399
57.42390	31.96258	20.97223	10.96373	37.41907	5.78030	1.24033	6.47964	9.59676	1061.11586	8.45644	0.00000	7.43475	73.97117	59.54778	5.37518	6.68897	7.54041
56.68874	-1.6	6.49807	7.90369	54.45885	6.07500	1.71671	7.72966	5.29288	1190.35599	7.86372	0.00000	7.97226	103.61667	26.47746	9.66511	8.74387	7.30407
38.60686	34.25807	11.92477	6.29065	42.78600	6.70161	3.90552	8.88454	4.47942	1067.54625	7.47664	0.00000	7.27680	-88.70464	49.36361	10.94451	8.95301	7.00506
66.72109	28.54944	4.81374	12.37257	45.56561	3.90526	1.59134	7.60713	10.22440	1180.17869	7.14445	0.00000	8.69342	-81.77285	51.05388	4.76292	6.48227	8.44591
36.89585	-22.57306	26.45925	6.70799	43.03495	6.10696	2.81193	8.63562	4.13649	1189.23203	8.39899	0.00000	9.59063	-47.1725	30.55838	10.07367	8.67018	7.65970
40.13565	5.30383	-8.12725	6.96269	33.19497	7.73033	2.99821	8.67719	10.97262	1145.03775	8.80779	1.00000	8.42717	-1.98956	29.34985	8.97600	6.60464	6.07809
40.44051	13.44581	17.02272	2.58134	34.47292	6.79054	1.16795	6.44046	4.63693	1177.37176	8.26719	1.00000	6.13890	101.18445	51.96129	10.76302	7.39858	8.27305
45.91338	-24.19436	22.61518	8.39339	54.71816	6.18612	1.16178	7.57485	8.30005	1051.21449	7.25833	0.00000	8.12363	29.00974	40.83611	9.57979	8.09506	10.10265
26.91724	52.41667	-4.72319	9.81760	50.00981	6.42832	0.99052	3.96569	7.71146	1141.76065	9.23717	1.00000	7.92284	0.75	75.25449	4.82362	7.58895	10.64305
74.41779	-33.75881	11.33192	4.68491	52.54024	4.58364	0.75710	5.16421	8.40502	1098.13839	7.79325	1.00000	7.48423	150.99292	23.19357	10.54534	6.35985	8.59455
54.27608	45.16024	14.73578	8.46024	24.02465	7.79190	0.72348	4.77422	6.50556	1075.98012	7.66878	0.00000	5.67566	-93.08883	55.36768	9.31143	8.74380	8.93832
34.06956	35.82756	4.89265	9.32215	43.85034	6.58171	0.58827	5.40145	8.61139	1184.55453	5.71162	1.00000	9.06775	137.95378	46.04439	6.31029	8.29917	8.86671
68.82816	34.61667	7.94820	10.27830	40.50122	7.13919	1.11696	5.58505	7.81932	1083.37080	8.76393	0.00000	5.52351	135.6	30.95863	9.56891	9.97026	7.92724
55.40917	59.37722	13.49017	7.27674	42.83349	7.13553	0.97914	6.94661	3.80744	1058.89272	7.81605	0.00000	7.06081	28.19028	45.44823	12.18584	10.86217	6.74942
43.01270	45.53929	9.47983	10.68142	40.17305	4.02792	1.50095	6.75513	8.46034	1186.78193	8.23804	0.00000	7.83956	-122.38731	44.50351	9.29221	8.91533	8.50516
44.95258	33.92946	10.09139	7.43182	75.32298	5.82205	1.02554	5.36068	10.03033	1120.11417	6.43833	1.00000	7.47828	-116.97725	34.22272	7.17322	6.65372	6.74749
62.84962	25.67927	10.84609	7.78541	38.17442	6.42250	0.84226	4.25251	8.56388	1076.01749	7.25984	1.00000	6.69655	-80.31727	33.15314	7.94580	6.57362	8.41022
43.17008	35.20889	14.57438	8.92673	76.37879	7.05303	0.92645	4.45424	7.73395	1111.31539	7.38816	1.00000	6.45544	111.73861	71.84858	8.49686	6.43745	8.20023
