location	code	QoS	revision	latitude	longitude
America/Bogota	CO	accep	2014/12/15	6.46838	-73.26022
America/Chicago	US	excellent	2018/05/13	34.25807	-88.70464
Europe/Moscow	RU	good	11/07/2018, 00:00:00	55.64776	38.02486
Europe/Moscow	RU	accep	2015/07/22	54.84444	38.16694
Africa/Addis_Ababa	ET	excellent	11 Jan 2021	6.03333	37.55
Asia/Samarkand	UZ	maintenance	2018-10-28	40.11583	67.84222
Europe/Moscow	RU	building	2016-09-24	55.64776	38.02486
Africa/Brazzaville	CG	excellent	12 Feb 2015	-4.26613	15.28318
America/Glace_Bay	CA	maintenance	2015/08/03	46.1351	-60.1831
Europe/Rome	IT	excellent	24 Jul 2017	38.07789	13.44275
Asia/Kolkata	IN	accep	07 Jan 2014	25.92493	73.66633
Asia/Karachi	PK	average	06/03/2020, 00:00:00	30.29184	71.67164
Europe/Moscow	RU	accep	27 Nov 2021	57.97472	33.2525
Asia/Bangkok	TH	excellent	14 Aug 2016	14.37395	100.48528
Asia/Manila	PH	building	11 Oct 2016	14.8361	120.97844
America/New_York	US	excellent	03/10/2020, 00:00:00	26.2173	-80.22588
Africa/Algiers	DZ	excellent	12/10/2020, 00:00:00	34.15429	3.50309
Europe/Berlin	DE	good	06/07/2013, 00:00:00	48.35149	8.96317
America/Port-au-Prince	HT	building	09/26/2013, 00:00:00	18.65297	-72.09391
America/Mexico_City	MX	maintenance	2018/12/20	20.28527	-103.42897
Asia/Kolkata	IN	building	19 Jul 2013	18.87813	72.93924
Europe/Belgrade	RS	excellent	05/03/2017, 00:00:00	44.22639	22.53083
Europe/London	GB	excellent	13 Jul 2021	51.65	-0.2
Europe/Rome	IT	excellent	2018/08/01	41.24264	16.50104
America/Chicago	US	accep	07/12/2020, 00:00:00	38.58894	-89.99038
Asia/Manila	PH	excellent	24 Mar 2018	12.97389	123.99333
America/Los_Angeles	US	good	2019/12/06	38.17492	-122.2608
Europe/Lisbon	PT	good	06/21/2019, 00:00:00	41.1053	-7.32097
America/New_York	US	building	11/22/2017, 00:00:00	40.72816	-74.07764
Australia/Sydney	AU	excellent	2019/09/20	-34.88422	150.60036
America/Belem	BR	maintenance	10/15/2019, 00:00:00	-0.71667	-48.52333
America/New_York	US	good	07 Feb 2019	43.61062	-72.97261
Asia/Tokyo	JP	excellent	08/24/2019, 00:00:00	34.75856	136.13108
Europe/Amsterdam	NL	building	08/31/2016, 00:00:00	52.26083	7.00417
Asia/Manila	PH	average	2017/10/03	14.62578	121.12251
America/Chicago	US	maintenance	25 Aug 2013	45.16024	-93.08883
America/Chicago	US	maintenance	2022-03-18	41.72059	-87.70172
Europe/Madrid	ES	good	2022/07/09	42.8139	-1.64295
America/Los_Angeles	US	excellent	11/30/2019, 00:00:00	33.52253	-117.70755
Europe/Istanbul	TR	excellent	14 Apr 2014	37.05944	37.3825
Europe/Helsinki	FI	excellent	2018-09-23	60.2052	24.6522
Asia/Manila	PH	good	07/09/2014, 00:00:00	16.455	120.5875
America/Toronto	CA	maintenance	2014/02/08	45.44868	-73.81669
Africa/Johannesburg	ZA	average	2017/04/08	-24.19436	29.00974
Asia/Dushanbe	TJ	average	02/07/2014, 00:00:00	38.55632	69.01354
Asia/Shanghai	CN	excellent	2014/11/09	36.81667	117.81667
Asia/Manila	PH	excellent	10/27/2014, 00:00:00	15.72892	120.57224
Europe/Berlin	DE	good	08/02/2019, 00:00:00	48.73218	11.18709
America/New_York	US	building	2017/01/13	41.0051	-73.78458
Asia/Kabul	AF	maintenance	17 Nov 2018	36.21544	65.93249
Asia/Jakarta	ID	maintenance	04/26/2015, 00:00:00	-7.73379	113.69785
Asia/Karachi	PK	building	02/17/2015, 00:00:00	27.55898	68.21204
Asia/Seoul	KR	excellent	06/16/2022, 00:00:00	37.1759	128.9889
Asia/Shanghai	CN	excellent	16 May 2017	41.27194	123.17306
Europe/Moscow	RU	building	09 Jul 2019	54.8421	46.5813
Europe/Madrid	ES	average	2016/04/15	38.68712	-4.10734
Europe/Warsaw	PL	maintenance	2020-07-05	50.20528	19.27498
America/New_York	US	good	23 Mar 2013	41.48199	-81.79819
Asia/Tokyo	JP	accep	09/30/2012, 00:00:00	41.77583	140.73667
America/Los_Angeles	US	accep	2020-03-16	45.53929	-122.38731
Europe/Amsterdam	NL	maintenance	15 Jan 2018	52.26083	7.00417
Europe/Rome	IT	maintenance	03/06/2017, 00:00:00	43.62558	13.39954
Asia/Tehran	IR	excellent	01/20/2015, 00:00:00	32.65246	51.67462
America/New_York	US	accep	2013/09/09	29.65163	-82.32483
Europe/Moscow	RU	average	2016/06/11	59.80917	30.38167
America/New_York	US	average	2021-05-23	34.06635	-84.67837
Asia/Kolkata	IN	building	11 Mar 2018	25.66795	85.83636
Africa/Douala	CM	good	11 Mar 2020	4.96667	10.7
America/Santiago	CL	accep	12/16/2017, 00:00:00	-32.45242	-71.23106
Africa/Algiers	DZ	accep	2016-08-27	34.15429	3.50309
Africa/Blantyre	MW	excellent	12 Feb 2019	-13.7804	34.4587
Europe/Moscow	RU	average	2013/05/14	53.77166	38.12408
Africa/Djibouti	DJ	accep	10/08/2015, 00:00:00	11.15583	42.7125
America/Los_Angeles	US	excellent	2013-02-20	33.95015	-118.03917
America/Argentina/Cordoba	AR	accep	04 Feb 2013	-31.25033	-61.4867
America/Boise	US	accep	2021/03/30	43.54072	-116.56346
America/New_York	US	good	09/07/2019, 00:00:00	42.58342	-71.8023
Asia/Dushanbe	TJ	maintenance	26 Feb 2014	38.55632	69.01354
Asia/Yekaterinburg	RU	maintenance	06 Aug 2015	56.11281	69.49015
America/Sao_Paulo	BR	excellent	2013-01-27	-26.22861	-52.67056
Africa/Casablanca	MA	accep	2016/06/21	33.92866	-6.90656
Europe/Istanbul	TR	maintenance	2018/10/29	39.22493	42.85693
Europe/Moscow	RU	average	10 Aug 2014	46.7055	38.2739
Asia/Shanghai	CN	excellent	2019-03-10	37.30553	120.82747
Europe/Rome	IT	average	02/05/2016, 00:00:00	45.78071	12.84052
America/Costa_Rica	CR	excellent	05/15/2015, 00:00:00	9.92787	-84.13722
Europe/London	GB	maintenance	07 Mar 2014	50.75767	-1.5443
Asia/Tokyo	JP	building	15 Aug 2015	34.81667	137.4
Europe/Amsterdam	NL	excellent	2016/04/25	53.16167	6.76111
Europe/London	GB	maintenance	10/07/2016, 00:00:00	55.82737	-4.0573
Europe/Paris	FR	excellent	20 Aug 2015	48.8765	2.18967
Europe/Berlin	DE	good	2015-01-10	48.49144	9.20427
Europe/Minsk	BY	accep	2020-11-07	55.1904	30.2049
Asia/Yekaterinburg	RU	accep	06/02/2017, 00:00:00	54.48147	53.47103
America/New_York	US	good	10/11/2019, 00:00:00	26.91756	-82.07842
Europe/Chisinau	MD	good	06 Feb 2022	48.15659	28.28489
Asia/Shanghai	CN	excellent	31 May 2020	46.08333	122.08333
Asia/Shanghai	CN	good	02/21/2022, 00:00:00	38.40917	112.73333
Europe/Berlin	DE	good	22 Dec 2018	48.35693	10.98461
America/New_York	US	good	2015-01-09	41.50343	-74.01042
Asia/Shanghai	CN	good	2018/12/27	31.64615	120.74221
America/New_York	US	accep	23 Jan 2020	26.91756	-82.07842
America/Sao_Paulo	BR	excellent	04/14/2021, 00:00:00	-25.42778	-49.27306
Australia/Brisbane	AU	good	2013-06-09	-27.50578	153.10236
Asia/Kolkata	IN	excellent	2018/01/02	20.88098	75.11937
America/El_Salvador	SV	building	06 Aug 2015	13.70167	-89.10944
Europe/Rome	IT	good	03/04/2019, 00:00:00	40.55851	17.80774
Asia/Kolkata	IN	excellent	2019-08-25	28.92694	78.23456
Asia/Kolkata	IN	excellent	26 Nov 2016	25.92127	86.79271
Atlantic/Canary	ES	maintenance	2018-09-15	27.76056	-15.58602
Asia/Shanghai	CN	accep	2014/01/15	34.65918	109.22921
Europe/London	GB	accep	16 Aug 2016	52.41667	0.75
America/New_York	US	average	06 May 2017	43.61062	-72.97261
Europe/Rome	IT	good	01/09/2019, 00:00:00	44.89784	8.86374
Asia/Tokyo	JP	average	21 Jun 2019	35.8	137.23333
America/Los_Angeles	US	good	2021-08-09	47.76232	-122.2054
America/Chicago	US	average	2021-11-02	29.84576	-90.10674
Australia/Brisbane	AU	accep	2016/09/22	-27.50578	153.10236
America/Merida	MX	good	2021/11/30	21.28306	-89.66123
Europe/Moscow	RU	building	2016-01-13	55.38752	36.73307
America/New_York	US	accep	2018/09/27	28.54944	-81.77285
Asia/Bangkok	TH	maintenance	11 Dec 2013	8.43333	99.96667
Europe/Paris	FR	building	06/09/2014, 00:00:00	48.8765	2.18967
Asia/Kolkata	IN	average	02/11/2020, 00:00:00	11.50526	77.23826
Africa/Kampala	UG	excellent	2014/03/02	3.02013	30.91105
America/Porto_Velho	BR	maintenance	23 Oct 2021	-8.76194	-63.90389
Asia/Dushanbe	TJ	excellent	2015/05/01	38.55632	69.01354
Asia/Kolkata	IN	excellent	2019-07-18	18.51957	73.85535
Australia/Brisbane	AU	accep	2017-07-30	-25.54073	152.70493
America/Chicago	US	accep	08/25/2018, 00:00:00	41.84364	-87.71255
Asia/Manila	PH	good	12/29/2017, 00:00:00	6.95194	121.96361
Asia/Kabul	AF	average	2022/03/22	36.21544	65.93249
America/Caracas	VE	accep	2013-05-10	8.35122	-62.64102
Europe/Paris	FR	good	08/16/2020, 00:00:00	46.32313	-0.45877
Asia/Tehran	IR	excellent	22 Dec 2020	35.6803	51.0193
Europe/London	GB	maintenance	08/29/2017, 00:00:00	51.78967	1.15597
Asia/Jakarta	ID	average	2018-04-09	-1.6	103.61667
Africa/Kinshasa	CD	good	12/13/2019, 00:00:00	-4.5833	15.16554
America/Santarem	BR	average	2016/09/21	-3.20333	-52.20639
America/New_York	US	average	04/11/2017, 00:00:00	39.43534	-84.20299
America/New_York	US	building	01/18/2021, 00:00:00	27.71809	-82.35176
Asia/Manila	PH	good	21 Jan 2020	14.8361	120.97844
Europe/Helsinki	FI	average	03/17/2018, 00:00:00	60.2052	24.6522
Asia/Taipei	TW	building	11/28/2021, 00:00:00	23.5654	119.58627
Asia/Irkutsk	RU	accep	2018-11-07	51.82721	107.60627
Asia/Kolkata	IN	good	2019-08-24	25.49043	85.94001
Asia/Tbilisi	GE	accep	02/19/2016, 00:00:00	41.82143	41.77921
Europe/Saratov	RU	average	2017/02/08	51.40944	46.04833
America/Chicago	US	accep	06 Jan 2021	32.5007	-94.74049
America/Recife	BR	building	23 Sep 2016	-8.66667	-35.71667
Europe/Madrid	ES	accep	09/03/2013, 00:00:00	37.49073	-2.77259
Asia/Manila	PH	accep	2020/03/16	10.7375	122.9666
Asia/Baku	AZ	good	2014-07-31	38.45598	48.87498
Europe/London	GB	good	2019/05/11	55.82885	-4.21376
America/New_York	US	accep	2013/07/11	39.33427	-76.43941
Africa/Porto-Novo	BJ	excellent	09/18/2018, 00:00:00	8.88649	2.59753
Europe/London	GB	good	2015/07/14	51.26	-2.1875
Asia/Seoul	KR	accep	10/17/2012, 00:00:00	36.82167	128.63083
Asia/Kolkata	IN	average	04/27/2013, 00:00:00	29.21399	78.95693
Europe/Berlin	DE	accep	2017-12-17	51.88333	8.51667
America/Los_Angeles	US	accep	2013/11/30	45.53929	-122.38731
America/Los_Angeles	US	maintenance	2017/05/21	34.95303	-120.43572
America/Bogota	CO	maintenance	09 Aug 2019	4.73245	-74.26419
Europe/Rome	IT	average	2014-05-03	45.78071	12.84052
Asia/Kolkata	IN	accep	2013/10/13	11.12018	76.11996
America/New_York	US	excellent	2017/02/22	39.43534	-84.20299
America/Los_Angeles	US	maintenance	2019-08-11	37.73604	-120.93549
Asia/Tehran	IR	excellent	2016-04-10	32.65246	51.67462
America/Mexico_City	MX	excellent	2020-06-11	21.01858	-101.2591
Asia/Kolkata	IN	building	2019-12-21	29.22254	79.5286
Asia/Karachi	PK	average	2016-11-13	30.29184	71.67164
America/Sao_Paulo	BR	maintenance	2022-07-03	-23.7975	-48.59278
Europe/Berlin	DE	building	2015/05/02	50.64336	7.2278
America/Toronto	CA	average	18 Aug 2013	45.44868	-73.81669
America/Fortaleza	BR	accep	2020-05-11	-4.16694	-40.7475
Asia/Kolkata	IN	good	30 Mar 2022	10.10649	76.35484
Australia/Sydney	AU	maintenance	22 Jun 2015	-33.75881	150.99292
Europe/Moscow	RU	excellent	10/10/2012, 00:00:00	54.03876	43.91385
Asia/Kolkata	IN	excellent	02/10/2013, 00:00:00	33.37526	74.3092
Europe/Paris	FR	accep	02 Aug 2014	44.92801	4.8951
America/New_York	US	building	2021-09-28	40.65538	-74.38987
Asia/Bangkok	TH	excellent	23 May 2013	6.25947	102.05461
Africa/Johannesburg	ZA	maintenance	02/27/2013, 00:00:00	-27.76952	30.79165
Australia/Sydney	AU	excellent	2013/04/30	-34.88422	150.60036
America/Toronto	CA	maintenance	2021/01/25	45.4473	-73.75335
America/Sao_Paulo	BR	average	05/06/2013, 00:00:00	-20.87306	-48.29694
Asia/Karachi	PK	building	2022-05-09	32.17629	75.06583
America/Belem	BR	excellent	02 Mar 2022	-0.71667	-48.52333
Europe/London	GB	accep	2022/04/25	51.38673	0.30367
Europe/Podgorica	ME	good	2013-11-02	42.28639	18.84
America/New_York	US	good	14 Aug 2020	39.32288	-76.72803
America/Caracas	VE	excellent	2020-07-29	8.35122	-62.64102
Africa/Casablanca	MA	building	01/31/2017, 00:00:00	33.92866	-6.90656
Africa/Luanda	AO	average	2019/05/05	-11.78333	19.91667
America/Chicago	US	average	12 Mar 2016	31.12406	-97.90308
Europe/Moscow	RU	excellent	2017/07/25	54.39304	53.26023
America/Indiana/Indianapolis	US	excellent	12/29/2020, 00:00:00	39.78504	-85.76942
Africa/Bamako	ML	excellent	02/24/2013, 00:00:00	12.74409	-8.07257
Asia/Yekaterinburg	RU	good	2021-09-13	60.97944	76.92421
Asia/Kolkata	IN	excellent	2014-04-14	30.81383	75.16878
America/Port_of_Spain	TT	maintenance	2017-11-07	10.66668	-61.51889
America/Los_Angeles	US	average	2017-04-18	33.76446	-117.79394
America/Sao_Paulo	BR	accep	11/27/2019, 00:00:00	-25.42944	-50.00639
Europe/Amsterdam	NL	average	2020/02/14	51.65333	5.2875
Europe/London	GB	maintenance	04/28/2013, 00:00:00	51.65	-0.2
Asia/Tokyo	JP	average	07/14/2020, 00:00:00	34.4833	136.84186
Asia/Krasnoyarsk	RU	excellent	2012-11-26	55.54028	89.20083
America/El_Salvador	SV	accep	16 Apr 2013	13.73417	-89.71472
America/Los_Angeles	US	building	02/06/2019, 00:00:00	34.63915	-120.45794
America/Lima	PE	accep	09/24/2021, 00:00:00	-15.21194	-75.11028
America/Sao_Paulo	BR	excellent	08/01/2014, 00:00:00	-22.92306	-53.13722
America/Chicago	US	building	2019-09-19	31.12406	-97.90308
Europe/Madrid	ES	average	11/19/2017, 00:00:00	40.70995	0.57856
America/New_York	US	good	2013-06-27	35.05266	-78.87836
Asia/Jakarta	ID	accep	17 Sep 2020	-8.43333	114.33333
Asia/Kolkata	IN	accep	04/15/2021, 00:00:00	23.1959	86.51499
Asia/Kolkata	IN	average	2019/08/24	22.88783	84.13864
Africa/Lagos	NG	excellent	11 Aug 2015	7.62789	4.74161
Europe/Rome	IT	maintenance	2022-08-17	44.31771	9.32241
America/Chicago	US	excellent	26 May 2018	31.76212	-95.63079
Asia/Dhaka	BD	average	2017-09-01	23.9028	89.11943
Europe/Brussels	BE	excellent	06/09/2022, 00:00:00	50.88506	4.07601
Asia/Kolkata	IN	accep	05/23/2022, 00:00:00	22.19303	88.18466
Europe/Berlin	DE	average	2014-02-07	51.04962	12.1369
Europe/Skopje	MK	maintenance	2012-12-18	42	21.32778
America/Los_Angeles	US	good	03/01/2022, 00:00:00	34.63915	-120.45794
America/Toronto	CA	excellent	2014-01-04	45.4473	-73.75335
Europe/Istanbul	TR	average	2013-08-07	37.05944	37.3825
Europe/Berlin	DE	good	02/09/2019, 00:00:00	52.2	8.63333
Europe/Madrid	ES	good	2019/10/29	39.96348	-4.83076
Europe/Berlin	DE	average	2013-05-01	53.94313	10.30215
Europe/Kiev	UA	excellent	20 Jan 2014	45.99194	29.41824
Asia/Kolkata	IN	maintenance	25 Nov 2019	10.10649	76.35484
America/Detroit	US	average	2022-01-18	42.7392	-84.62081
Asia/Manila	PH	excellent	2016-03-21	16.455	120.5875
Europe/Berlin	DE	excellent	2015-07-07	48.46458	9.22796
Europe/Rome	IT	good	21 Mar 2018	44.59445	11.04979
Asia/Bangkok	TH	accep	2016/01/03	8.43333	99.96667
America/Bogota	CO	good	2013-04-15	8.79577	-75.69947
Asia/Karachi	PK	excellent	06/05/2018, 00:00:00	25.95533	68.88871
Europe/Warsaw	PL	excellent	2018-12-18	51.14942	15.00835
Europe/Moscow	RU	good	10/27/2016, 00:00:00	53.95278	32.86389
Asia/Damascus	SY	good	2019/07/26	35.95664	36.7138
America/New_York	US	accep	2017/09/06	39.71734	-74.96933
Asia/Baku	AZ	average	30 Oct 2015	41.09246	45.36561
Europe/Sarajevo	BA	accep	04 May 2021	44.75874	19.21437
America/Los_Angeles	US	accep	2017/01/15	33.92946	-116.97725
Europe/Berlin	DE	accep	2022/04/05	51.20219	7.36027
Europe/Istanbul	TR	excellent	2013-02-01	38.37255	34.02537
America/New_York	US	accep	15 Aug 2022	41.54566	-71.29144
America/Merida	MX	excellent	06/08/2017, 00:00:00	21.28306	-89.66123
Asia/Kolkata	IN	maintenance	12 Jul 2013	33.37526	74.3092
Asia/Dili	TL	average	2013/10/28	-8.99167	125.21972
Asia/Karachi	PK	good	2020/01/31	30.76468	74.12286
Asia/Shanghai	CN	excellent	2016-01-01	45.75279	130.57211
Africa/Douala	CM	accep	2014-07-22	3.51667	11.5
Africa/Khartoum	SD	accep	10/16/2019, 00:00:00	11.8659	34.3869
America/New_York	US	excellent	2021/10/09	40.68066	-73.47429
Asia/Kolkata	IN	average	2017/07/19	28.71271	77.656
America/Havana	CU	maintenance	06/16/2017, 00:00:00	20.14298	-77.43532
America/Los_Angeles	US	good	2022-08-27	34.63915	-120.45794
Europe/Berlin	DE	average	2018/06/26	49.13645	8.91229
Asia/Manila	PH	excellent	27 May 2021	14.95472	120.89694
America/Chicago	US	accep	06 Jan 2018	44.27804	-88.27205
Asia/Manila	PH	good	2020/12/12	16.455	120.5875
Europe/Bratislava	SK	excellent	04 Dec 2012	48.43174	17.8031
Europe/Vilnius	LT	building	2015/06/10	55.25	24.75
Europe/Moscow	RU	excellent	26 Jan 2018	55.38752	36.73307
America/New_York	US	good	28 Jan 2020	25.67927	-80.31727
Asia/Yekaterinburg	RU	good	2015-01-02	56.11281	69.49015
Europe/Moscow	RU	excellent	02/18/2014, 00:00:00	44.92934	37.99117
America/Havana	CU	accep	04/15/2017, 00:00:00	22.98212	-80.58556
Africa/Mogadishu	SO	good	10/03/2018, 00:00:00	-0.35817	42.54536
Asia/Kolkata	IN	building	24 Dec 2020	33.37526	74.3092
America/New_York	US	building	2022/08/10	33.98154	-81.23621
America/Fortaleza	BR	excellent	2020-04-22	-4.42472	-41.45861
Asia/Tokyo	JP	excellent	2022/05/30	35.8	137.23333
America/New_York	US	excellent	13 Oct 2015	42.4251	-71.06616
