PM2.5	C2H3NO5	SO2	CO	warning	latitude	PM10	Pb	CH4	longitude	NOx	O3	CFCs	TEMP	NH3	PAHs	H2CO	PRES
8.31217	0.22271	7.85034	4.67313	0.00000	36	5.02948	35.32887	6.09236	139.55722	6.37910	6.52636	72.87339	12.91658	4.78185	9.25973	31.31932	1177.04282
3.72642	0.28948	6.85035	3.89621	0.00000	49.5099	6.50973	42.08643	6.51056	6.74549	8.58706	7.53330	63.55381	16.34643	8.99532	5.11862	72.08682	1101.54726
7.74682	1.15037	3.50416	4.91039	0.00000	48.07667	8.61191	74.36580	7.59726	8.64409	7.01419	9.14066	58.51556	24.81654	6.37938	9.73421	76.81833	1058.88858
8.10093	1.77510	5.01451	6.90860	1.00000	41.72063	9.17443	52.08165	7.05541	12.6723	6.98863	9.37447	44.05128	31.48023	7.37482	8.34782	40.77543	1153.60082
5.41023	0.43469	7.34649	9.58612	1.00000	-33.59217	6.76580	52.97708	6.61484	-70.6996	6.81183	6.42051	66.11779	25.07510	6.39239	8.55597	51.15300	1139.97599
7.84027	0.33929	4.11531	4.92528	0.00000	45.99194	3.70917	64.30468	7.18863	29.41824	6.75140	7.83235	47.34377	20.14707	7.23508	6.84707	75.25866	1079.98292
8.53339	0.36371	2.05396	7.77997	0.00000	61.72744	3.97093	51.96804	7.10326	17.10558	6.22626	5.36815	78.98324	10.20146	6.94215	6.95683	47.27061	1148.03979
9.06862	2.35543	2.30331	5.68054	1.00000	14.62072	9.52526	72.53118	7.64716	74.83554	7.21695	7.44139	63.37150	-4.94685	5.50878	5.39615	51.94676	1055.27201
6.41520	1.10624	7.16538	7.21343	1.00000	50.75932	8.68394	31.47172	7.70204	25.34244	9.58038	8.95963	69.64774	20.10881	9.21282	10.60798	37.95129	1082.76323
3.85291	0.31962	7.23192	8.99830	1.00000	40.58654	6.82337	56.09529	7.51697	-122.39168	7.93508	7.13454	63.75977	3.79355	7.89756	9.65372	44.81828	1083.97525
7.04881	0.32880	9.58317	10.26092	1.00000	24.05979	6.30060	38.12374	8.17338	77.40858	9.19398	7.92629	57.74853	30.85521	6.42697	7.46938	51.99745	1093.86447
7.82682	0.31544	6.10215	5.46309	0.00000	40.5576	4.75100	57.17313	7.62414	-74.28459	8.52189	7.45155	61.19110	15.69123	7.05471	8.87234	71.74446	1164.68704
7.22894	1.11709	5.86976	2.97433	0.00000	38.13708	8.64239	38.42271	6.70727	41.00817	7.98861	10.54153	54.55026	12.72390	6.17688	8.00071	64.05256	1108.33094
5.07162	1.54093	8.24429	6.21428	1.00000	0.51667	9.03538	48.37663	7.47622	101.44167	6.05558	8.45781	76.36028	5.91569	8.37123	8.71102	37.17958	1115.09545
8.33642	1.21390	7.91252	11.16513	1.00000	38.55632	8.71622	65.90556	6.63168	69.01354	7.12167	7.52574	44.89466	14.07031	6.22363	6.90534	24.85233	1162.24606
4.90532	0.86453	7.41181	5.68326	0.00000	45.51667	8.30060	59.64243	8.59334	4.86667	7.28460	7.91284	63.43074	16.27310	7.41733	7.40668	63.72820	1067.22226
4.50565	1.01669	9.97440	7.77479	1.00000	33.08014	8.38623	28.14294	6.72010	-83.2321	8.90609	6.82913	64.66216	9.53810	7.50683	10.01450	56.37932	1117.10263
7.51726	0.27888	4.45577	5.10126	0.00000	-27.4338	4.13006	32.60434	7.65278	-65.61427	6.03396	6.64738	58.47895	-0.39204	4.63626	8.21580	31.59052	1094.37347
6.47433	7.88969	4.04339	7.75103	1.00000	32.57756	10.80729	30.78654	6.42701	71.52847	7.93403	8.24670	75.51970	-3.84646	5.66755	7.67762	54.43488	1059.20352
3.02047	0.95918	11.05927	9.58274	1.00000	-31.4488	8.38479	52.40798	5.28482	-60.93173	6.56832	7.43762	67.31774	20.64509	8.93782	11.87128	36.00039	1183.57245
8.05390	0.75817	5.24254	6.31920	1.00000	58.23583	7.87590	64.65243	8.02973	92.48278	7.75672	6.99045	61.40258	28.32111	7.44036	8.73273	53.04887	1113.03633
7.21872	0.69462	7.36700	4.99946	1.00000	34.85	7.58735	18.70511	6.84675	117.33333	6.92919	7.93189	51.98009	15.13364	7.36548	10.61278	33.81808	1181.64814
6.03561	3.96332	4.43071	5.98619	0.00000	12.04161	10.10866	43.36290	7.61921	75.35927	5.60160	9.86668	69.33696	4.88165	8.25548	9.94353	41.36464	1101.83169
9.72136	1.09210	6.27072	5.79948	1.00000	14.0823	8.56838	32.57743	7.87629	98.19151	6.37574	9.93738	66.26126	32.66960	9.55220	7.62530	51.30118	1088.63158
8.32925	2.18155	8.58537	9.13714	1.00000	-1.26753	9.52150	48.63400	7.01477	116.82887	5.80074	9.36476	53.61066	15.96348	7.46734	6.23143	51.59832	1182.67717
4.96485	0.52770	8.49323	7.08160	1.00000	51.65333	7.45101	40.15743	5.55880	5.2875	7.06196	9.83237	62.32468	-2.85887	7.56244	9.05013	59.88949	1102.58791
5.33966	2.02538	10.30203	8.14784	1.00000	52.66277	9.34738	34.10618	8.38572	-2.01111	9.25764	8.48006	71.04136	5.06487	6.62529	9.30935	44.30766	1069.63116
6.84887	0.45996	5.84901	5.24531	0.00000	44.73941	7.42879	49.04960	8.53103	-93.12577	5.73080	7.38623	70.53940	7.86421	8.48723	7.46396	31.92537	1199.67956
6.48330	0.86738	6.79821	3.94599	1.00000	9.92787	8.36920	36.45750	6.29045	-84.13722	7.34377	8.94376	77.88241	41.10204	6.79710	10.37205	68.81516	1187.04158
7.88931	4.04932	6.24984	4.90221	0.00000	34.25	10.11502	49.44757	6.58729	135.31667	7.13284	9.14969	65.64976	-5.72781	5.19209	9.68921	62.70467	1153.76151
6.76476	4.00992	8.34567	7.52183	1.00000	42.97086	10.05796	48.72498	9.08920	-82.42491	6.88800	9.37818	47.31308	19.90828	7.20443	7.46675	67.05181	1064.67284
4.31043	0.57714	7.60681	9.62798	1.00000	20.88953	7.89744	56.60513	7.92153	-156.47432	7.72552	7.11509	39.42811	18.87767	9.21744	10.15089	61.37461	1139.12091
7.12247	0.71878	5.47169	7.18595	1.00000	33.44872	7.78110	51.04106	5.34975	-86.78777	8.38764	8.83227	66.55100	13.99048	8.18441	5.82847	70.99904	1159.24344
7.36704	2.90453	4.54948	6.20494	1.00000	41.50343	9.76580	45.28520	6.31100	-74.01042	6.58177	7.95626	61.21242	22.32055	6.14971	7.28883	41.56892	1101.98205
12.27824	2.19667	4.88330	8.85110	1.00000	19.64745	9.45432	70.10813	7.65411	-102.04897	7.60662	7.18625	89.60458	8.19275	6.05282	3.68130	31.30026	1073.71789
8.58186	0.20082	5.25452	6.22906	0.00000	61.78491	5.36862	37.98521	6.54298	34.34691	8.71484	4.99896	48.98908	-5.35397	7.46976	8.74188	70.29998	1198.79641
6.17868	0.24320	7.44481	5.88890	0.00000	6.33444	5.91928	57.42331	9.27476	124.95278	6.44545	7.82025	68.51955	27.15507	6.00557	4.93583	56.07694	1118.78447
4.45824	0.72095	7.01919	8.82548	1.00000	43.61062	7.84569	58.09182	7.21353	-72.97261	5.33082	7.46382	50.44751	0.73717	7.18014	9.34441	51.32423	1193.39829
7.13449	1.23919	3.96221	6.30227	0.00000	-24.19436	8.77711	45.25131	8.22830	29.00974	7.38349	9.15751	52.33890	21.03605	7.12949	9.58974	56.53555	1156.51473
8.45917	0.18717	6.39325	5.07748	0.00000	35.88264	5.28326	51.54265	5.74783	-80.08199	9.24714	6.07498	71.27880	16.66371	8.60252	8.47892	53.67033	1194.59541
11.48582	0.46421	6.92529	6.65520	1.00000	13.48082	7.03184	50.33110	8.31996	-86.58208	6.70432	7.63466	50.44425	24.89649	7.48016	7.25393	66.50181	1174.43034
7.12298	1.79706	6.09859	5.87542	1.00000	12.97389	9.21264	42.95269	7.24248	123.99333	6.79543	8.68653	57.79728	12.67459	6.06540	9.71011	53.50739	1085.24141
4.67761	0.68393	7.93218	8.55400	1.00000	43.62558	8.11662	61.96155	7.34428	13.39954	7.76388	9.31834	75.99355	0.54209	5.40340	9.52577	52.76290	1188.47428
9.61888	5.41623	5.39701	6.55456	0.00000	19.8173	10.40259	51.14876	7.47579	-97.35992	7.06524	3.47853	59.23655	14.62295	6.99325	6.77383	40.49048	1151.89249
8.03300	3.33383	5.18614	8.37529		47.80527	9.87479	43.23862	7.39985	-122.24064	7.81664	9.35759	75.93694	25.24803	7.72199	6.77027	47.97612	1058.41359
4.75345	0.76259	7.38077	8.19912	1.00000	39.96097	7.76880	49.60366	7.44997	-75.60804	6.41633	9.48335	51.46706	19.70823	6.71151	9.19423	50.72434	1099.37839
8.78164	16.61622	10.03800	10.46828	1.00000	43.83125	11.57140	51.68700	5.00125	5.03586	8.41811	8.10487	54.93950	-5.88427	7.38253	6.99326	53.60152	1174.29806
7.51513	0.18567	2.69557	8.17937	0.00000	51.21667	2.92810	47.84178	7.73460	6.26667	4.48185	6.74994	69.80927	21.97605	6.54565	8.79509	43.78668	1055.67238
1.60137	0.78152	8.19735	4.49375	0.00000	32.55531	7.96215	58.69977	7.40890	76.12647	7.65246	7.92276	52.74099	15.57710	7.00745	7.54947	31.21696	1111.20101
4.40745	1.28266	6.71081	5.56873	0.00000	37.73222	8.79879	39.83501	7.53850	115.70111	8.99381	7.88584	67.97955	21.76723	8.32812	7.88201	54.34332	1191.65255
4.10218	1.37243	6.02532	9.09833	0.00000	13.44581	8.94279	30.97236	7.39844	101.18445	6.22516	8.38240	70.01573	16.32729	7.80092	8.81985	53.46099	1147.86732
7.45890	1.37274	7.76722	8.22551	1.00000	46.32313	8.88799	52.42293	7.45535	-0.45877	7.70039	10.03740	52.91175	36.45326	6.87878	6.97650	35.10760	1187.77765
9.97296	1.54836	6.21314	6.64099	1.00000	51.47805	8.80165	29.92084	6.53894	6.8625	5.43184	7.11034	38.98011	5.62889	7.23561	6.18074	49.75216	1157.85643
5.84585	0.67516	6.76167	3.53341	0.00000	9.6531	7.97246	30.93416	8.26600	124.3697	8.53245	8.92123	59.74494	20.16095	7.39040	7.46823	36.57023	1132.49851
8.88012	2.76098	4.24041	7.65653	1.00000	-4.24444	9.66020	54.53194	7.51887	-42.29444	10.06576	10.02972	60.78192	23.42884	7.19757	7.29389	55.32418	1076.30989
10.99238	1.07675	5.17364	5.25285	1.00000	51.24197	8.29057	49.10585	7.55742	4.82313	6.27831	8.65464	71.76019	10.55449	7.52194	6.15177	66.83221	1152.13936
4.64845	1.33917	7.83639	7.45977	1.00000	51.82721	8.88965	43.19915	7.30962	107.60627	7.21360	9.74497	65.95841	12.20624	6.80230	9.47905	59.53836	1051.75151
7.60794	0.08876	6.30535	3.71324	0.00000	51.24197	4.93175	43.40166	7.61760	4.82313	8.26794	6.87705	55.98670	11.20741	8.33321	8.37185	70.14244	1146.89601
6.84084	1.27572	8.15190	7.65009	1.00000	38.91817	8.89400	45.38735	8.40622	-78.19444	7.74102	9.53193	56.11439	6.33767	6.45733	7.46467	40.14829	1071.66704
9.60778	0.36776	5.34157	7.36485	0.00000	50.8	6.53019	59.24692	5.46286	3.16667	7.85339	6.82156	48.96298	3.59280	6.76488	6.72047	47.01066	1165.72744
5.51689	1.62647	8.31453	9.99422	1.00000	12.25282	9.07873	50.33064	6.90211	79.41727	7.54392	10.11336	63.59212	24.79062	8.66858	9.15525	45.73100	1122.43204
7.66151	0.17251	4.04419	5.74447	0.00000	-31.25033	3.99727	59.42177	6.34100	-61.4867	7.38359	6.11363	54.88444	22.74465	8.21428	8.12533	50.27277	1062.56080
5.46005	10.73602	4.53136	7.67597	0.00000	35.6803	11.10597	46.41702	5.32606	51.0193	7.85520	9.32750	70.66586	1.17214	6.58213	11.85432	66.55030	1065.25884
4.89845	0.96385	9.80132	5.23561	1.00000	38.55632	8.48777	42.58458	7.48435	69.01354	5.47367	10.63096	58.47653	26.13066	6.43988	8.96607	47.35149	1195.46267
9.60632	1.06715	5.56753	6.71110	1.00000	36.08497	8.64441	55.35259	5.25619	9.37082	7.52287	7.78858	39.12959	3.42074	6.87291	6.90835	39.95321	1192.01674
8.18647	0.25335	6.60640	6.12226	0.00000	50.86079	5.02175	44.58204	8.10672	17.4674	7.65880	5.93510	52.95924	12.15594	6.75773	10.05556	18.33253	1087.57655
4.45362	1.13988	10.25858	5.60015	1.00000	41.8542	8.46672	26.93402	6.57801	-87.66561	6.16548	10.65044	74.67280	18.15768	7.99695	9.61217	39.08242	1154.32108
5.19511	0.29746	7.85801	9.74782	1.00000	7.62789	6.76371	45.43639	6.50708	4.74161	7.31987	6.36288	70.27262	0.67196	6.71228	9.10029	51.19119	1098.76300
5.44654	0.32597	5.31958	9.94327	1.00000	-5.41667	6.30463	41.37049	6.38971	38.01667		5.13039	67.40994	36.11367	7.30315	7.90656	67.27592	1126.48427
4.02886	0.63644	7.71802	8.88235	1.00000	33.14447	7.82773	57.05315	8.01164	47.3799	7.88580	7.85660	54.60375	21.28826	5.85001	9.98995	55.67426	1126.37507
7.36540	0.14196	7.42041	3.54586	0.00000	53.19146	3.27558	48.40999	7.15444	-2.52398	5.49925	6.45088	72.15360	6.59148	7.75156	10.22064	47.39334	1197.43399
8.51703	0.24346	7.07413	4.95400	0.00000	11.85	6.25685	40.94258	6.39891	38.01667	7.04291	5.78108	66.53141	26.56745	8.51501	8.46499	34.99860	1099.82578
8.60390	0.61839	4.71055	4.79824	1.00000	27.76056	7.59835	41.54259	6.58265	-15.58602	6.48236	7.46241	66.24904	23.54849	8.16047	8.59172	57.90111	1095.07372
7.40322	0.37993	6.89074	1.88422	1.00000	40.63316	6.46972	46.23241	7.94664	-74.13653	6.99377	8.63924	59.60639	15.55883	6.82121	12.62775	57.28379	1170.74525
6.98362	0.14999	7.35586	2.43330	0.00000	32.61603	2.56021	56.37698	6.32980	44.02488	7.53545	8.43324	64.07458	19.29936	7.83563	9.16917	69.43862	1134.41149
7.18474	0.79379	8.37918	8.49265	1.00000	-31.4488	8.13848	59.06641	7.28487	-60.93173	6.90354	8.66605	80.14761	29.61365	6.95523	7.08102	9.22099	1128.23736
6.24915	3.99478	10.55710	9.78457	1.00000	23.49668	10.07224	36.99830	8.16504	86.68363	7.61347	8.23581	58.71979	14.37279	6.89459	9.22061	56.22374	1151.99312
8.61794	2.19244	3.69639	5.54865	0.00000	32.87533	9.44476	59.51716	6.83910	71.57118	8.56441	9.45066	57.69894	23.51958	7.80274	9.57812	49.05562	1102.27958
6.29107	0.46329	8.16903	9.08831	1.00000	37.1759	7.36940	39.08174	6.95483	128.9889	8.64120	8.38387	65.27843	19.45152	5.90135	8.17413	66.95574	1092.44551
7.12911	27.93144	4.64531	5.47882	0.00000	31.96258	12.09452	52.56385	5.91083	73.97117	7.56223	12.48191	72.97405	23.54920	6.12862	11.37525	65.61995	1088.77698
7.78791	0.21029	6.98296	5.70584	0.00000	41.14676	5.41825	49.75114	9.79700	-73.49484	6.55197	7.34262	63.31671	0.53494	8.01258	9.51861	69.00675	1114.86226
9.97838	8.13732	8.06405	7.99767	1.00000	20.74122	10.83501	44.42885	6.58944	-100.44843	6.63616	11.16690	55.63122	12.87968	7.15200	4.96355	31.62141	1180.51678
6.93738	0.48511	5.96090	7.41281	0.00000	31.96258	7.78889	52.08955	5.72623	73.97117	7.85754	8.61104	51.18751	17.95620	8.87756	6.43295	48.49107	1079.80555
5.58749	2.14369	9.88874	8.62619	1.00000	56.11281	9.40925		7.06845	69.49015	6.68639	7.54213	57.34942	-6.14453	6.69639		66.74190	1110.30845
6.12383	1.73805	5.73985	5.49891	1.00000	54.58048	9.21139	29.80520	4.57963	16.86194	7.43334	8.34171	54.04742	2.29398	7.39144	10.24299	33.68484	1174.29705
9.22172	0.62843	4.94775	5.05234	1.00000	-27.4338	7.57285	34.45341	7.19110	-65.61427	6.66092	7.85008	52.63104	22.47312	8.15848	8.49644	37.07094	1115.11184
9.00671	0.44157	5.92205	6.65369	0.00000	23.1959	6.10929	24.23677	8.27070	86.51499	7.24729	5.16837	56.69466	6.78332	7.81903	8.72105	68.01331	1107.95889
7.90643	0.20390	5.62646	5.52580	0.00000	29.69221	5.87631	44.74623	6.23836	72.54566	7.91124	6.33315	69.30251	26.50371	7.06833	8.24572	17.63058	1157.91455
8.46081	0.24572	6.01505	5.31417	0.00000	41.24255	5.50670	44.73400	8.35908	-82.61573	7.04743	5.89604	61.81269	15.50936	7.98870	8.24955	37.61000	1198.61751
7.93404	0.63394	5.47542	4.66380	1.00000	-8.43333	7.87048	52.64602	7.58927	114.33333	5.52821	6.31611	62.70312	21.75213	7.19609	8.55338	57.62932	1100.20854
8.78413	7.47284	6.20083	9.28250	1.00000	-1.63333	10.75928	62.61984	7.43211	13.58357	5.54255	8.62888	70.96302	6.05208	6.56651	5.76334	26.39818	1126.98623
4.60345	0.80755	9.62922	8.35682	1.00000	37.73222	8.09865	63.84652	6.34140	115.70111	6.15312	9.20115	71.53706	18.64939	8.22435	9.99677	67.65263	1055.03439
4.22774	0.32799	8.95845	8.60442	1.00000	51.4781	6.47474	75.66977	5.44822	57.3552	9.13873	6.17932	68.84460	20.04099	8.10328	10.03632	28.76709	1060.64345
7.57564	0.24627	6.38102	4.54180	0.00000	42.819	2.23721	49.43014	5.94199	47.1192	6.34956	5.88088	52.39283	29.03111	7.39896	10.22910	38.31651	1190.19157
9.68680	0.63620	5.81073	6.92657	1.00000	-32.45242	7.82100	35.56101	7.47755	-71.23106	8.77793	7.68963	76.25251	35.43817	8.35049	8.07424	59.42641	1127.16137
8.82972	0.24336	8.62205	3.86149	1.00000	-15.21194	4.83093	57.71263	6.84119	-75.11028	8.14333	6.83707	54.42630	18.37642	6.64224	8.71733	42.08448	1107.99327
8.07947	0.37330	8.52106	5.09135	0.00000	33.44872	5.49848	32.24617	6.87387	-86.78777	8.81121	6.87012	78.84600	18.79121	5.13772	10.36864	56.50344	1121.97943
5.74578	1.09749	5.65512	5.94923	0.00000	5.4709	8.42279	32.95259	8.28795	100.24529	6.43324	10.11031	53.05152	14.91170	9.61346	7.67154	33.58603	1190.54730
9.01759	1.98634	4.68011	7.64792	1.00000	43.11667	9.29634	48.78651	6.70603	1.6	5.06965	7.34319	51.91175	17.39222	9.46593	6.01535	44.98621	1111.99109
6.52145	0.23627	4.81172	4.86240	0.00000	21.53889	3.27442	65.54937	8.54387	71.57737	6.24851	7.80182	72.50213	16.97295	6.19386	8.92585	56.94703	1123.57058
6.62077	7.56646	5.86512	5.06169	0.00000	-1.63333	10.76518	42.09115	5.39184	13.58357	7.30427	11.18737	59.88595	16.17886	6.18708	11.52132	40.71744	1184.54617
6.59359	9.13736	8.62094	8.04988	1.00000	34.5624	10.95307	45.87384	8.41587	38.28402	8.54137	10.34930	57.33737	18.53749	8.31338	7.87119	59.05115	1184.57739
5.44876	0.84520	5.32193	8.13254	0.00000	11.84962	8.24911	35.34365	7.61644	-86.19903	7.91831	8.97188	65.78138	18.76611	8.57549	7.03790	46.61940	1055.49368
5.50123	0.36967	5.08829	6.43318	0.00000	32.87533	6.94555	20.43190	7.43879	71.57118	6.59483	8.04322	49.67979	42.29394	7.56226	6.33327	34.04244	1133.14723
7.50376	2.25427	9.00321	6.90268	1.00000	55.38752	9.43959	55.24683	7.23700	36.73307	6.34376	10.10195	72.41324	9.99235	7.15996	6.82967	40.24823	1065.98538
7.31089	3.35841	5.15219	6.84574	1.00000	-2.13404	9.91487	59.15468	6.49722	-79.59415	6.92806	10.42234	58.02832	22.83743	6.68956	8.37694	72.52765	1120.81502
8.87895	0.32061	5.50430	8.15246	0.00000	34.56861	4.72359	47.44363	6.91265	105.89333	8.22350	4.70013	88.41740	2.60364	6.74631	10.58993	50.70680	1103.41590
