revision	station	longitude	QoS	code	latitude
2017/07/09	Magong	119.58627	average	TW	23.5654
05/09/2020, 00:00:00	Kensington	-73.97069	accep	US	40.64621
2016/04/24	Rosemount	-93.12577	maintenance	US	44.73941
2021/05/22	Lakewood	-81.79819	good	US	41.48199
2015/12/30	Montecchio Maggiore-Alte Ceccato	11.412	average	IT	45.50369
2013/07/22	Bad Honnef	7.2278	average	DE	50.64336
2018-04-01	Marburg an der Lahn	8.77069	building	DE	50.80904
2019-12-26	Mbalmayo	11.5	average	CM	3.51667
2015-12-11	Elamanchili	82.85749	excellent	IN	17.54907
2021-08-16	Yangambi	24.43973	accep	CD	0.76755
2015/01/25	Gembloux	4.69889	excellent	BE	50.56149
2014/08/15	Westchester	-87.882	accep	US	41.85059
2014/05/09	Jaruco	-82.00919	accep	CU	23.04419
2020/12/03	Santa Cruz de Barahona	-71.10077	average	DO	18.20854
05/28/2015, 00:00:00	Fairview Heights	-89.99038	average	US	38.58894
11 Jan 2022	Balikpapan	116.82887	average	ID	-1.26753
26 Jul 2017	Rhosllanerchrugog	-3.05814	average	GB	53.00974
2022/06/20	Robertsonpet	78.27539	excellent	IN	12.95629
12/02/2017, 00:00:00	Albstadt	9.02596	good	DE	48.21644
2015-03-14	Newbury	-1.32471	accep	GB	51.40148
2013-12-08	Rangia	91.61356	building	IN	26.44931
2014-04-07	Soure	-48.52333	building	BR	-0.71667
10/23/2019, 00:00:00	Peabody	-70.92866	accep	US	42.52787
2022/08/18	Tupiza	-65.71875	maintenance	BO	-21.44345
01/20/2016, 00:00:00	Houthalen	5.37429	maintenance	BE	51.03427
07 May 2019	Quimper	-4.1	maintenance	FR	48
04/17/2022, 00:00:00	Norwalk	-82.61573	good	US	41.24255
04/07/2015, 00:00:00	Socorro	-73.26022	good	CO	6.46838
18 Jul 2014	Nyahururu	36.36339	good	KE	0.03813
02/13/2021, 00:00:00	Kensington	-73.97069	good	US	40.64621
19 Aug 2020	Yangambi	24.43973	average	CD	0.76755
2019-05-31	Edremit	27.02444	building	TR	39.59611
02/09/2014, 00:00:00	Khairpur Mir’s	68.75915	average	PK	27.52948
05 Jun 2014	Friedberg	10.98461	average	DE	48.35693
17 Aug 2016	Pedro II	-41.45861	excellent	BR	-4.42472
2018/06/01	Naro-Fominsk	36.73307	average	RU	55.38752
02/15/2015, 00:00:00	Teziutlan	-97.35992	accep	MX	19.8173
2017/10/04	Tarakan	117.59152	maintenance	ID	3.31332
2022/03/14	Fazilpur	75.06583	average	PK	32.17629
2018-12-30	Viradouro	-48.29694	excellent	BR	-20.87306
2015/03/13	Naga	123.758	acceptable	PH	10.20898
26 Feb 2015	Wangon	109.05389	good	ID	-7.51611
2017-02-21	Kaukauna	-88.27205	accep	US	44.27804
29 Oct 2014	Minokamo	137.02166	average	JP	35.48199
09/06/2019, 00:00:00	El Copey	-73.9614	building	CO	10.15031
06/13/2020, 00:00:00	Weimar	11.32903	accep	DE	50.9803
07 Mar 2018	Bogoroditsk	38.12408	accep	RU	53.77166
2013/09/30	Cabo	-35.03333	good	BR	-8.28333
2015-04-24	Markham	-79.2663	good	CA	43.86682
25 Jun 2019	North Tustin	-117.79394	good	US	33.76446
15 May 2015	Hushitai	123.50266	accep	CN	41.94175
2015-09-14	Curitiba	-49.27306	good	BR	-25.42778
2021-03-28	Canton	-83.48216	excellent	US	42.30865
2020-07-21	Scarsdale	-73.78458	average	US	41.0051
10/19/2021, 00:00:00	Niort	-0.45877	average	FR	46.32313
2017-12-11	Bavly	53.26023	good	RU	54.39304
20 May 2013	Salima	34.4587	excellent	MW	-13.7804
2019/08/27	Novelda	-0.76773	maintenance	ES	38.38479
07 Oct 2014	Sinhyeon	128.62667	good	KR	34.8825
26 Jun 2022	Mechanicsville	-77.37331	good	US	37.60876
2015-06-01	Frankston South	145.13643	accep	AU	-38.16604
05/06/2013, 00:00:00	Silvan	41.00817	accep	TR	38.13708
2020-08-18	Fazilpur	75.06583	accep	PK	32.17629
15 Apr 2019	Segundo Ensanche	-1.64295	accep	ES	42.8139
01 Jan 2018	Ustka	16.86194	excellent	PL	54.58048
2022/03/05	Vitebsk	30.2049	accep	BY	55.1904
10 Sep 2022	Francavilla Fontana	17.58522	accep	IT	40.53123
18 Dec 2016	Standerton	29.24152	accep	ZA	-26.93366
2020/07/08	Idenao	9.00472	good	CM	4.2475
2012/12/30	Olanchito	-86.57415	average	HN	15.48131
29 Sep 2015	Jaworzno	19.27498	accep	PL	50.20528
2022/07/23	Rajaori	74.3092	maintenance	IN	33.37526
12 Oct 2019	Sainte-Catherine	-73.58248	good	CA	45.40008
2016-08-27	Leteri	77.40858	average	IN	24.05979
2013/04/09	Beaumont	-116.97725	good	US	33.92946
2018/08/14	Tharu Shah	68.11759	good	PK	26.9423
21 Jun 2020	Chapletown	-1.47217	accep	GB	53.46506
24 Dec 2013	Fayetteville	-78.87836	average	US	35.05266
2012/10/14	Arbroath	-2.58736	good	GB	56.56317
2014-04-05	Oldenzaal	6.92917	average	NL	52.31333
01/30/2013, 00:00:00	Same	37.73333	excellent	TZ	-4.06667
09/06/2013, 00:00:00	Lanciano	14.39024	average	IT	42.22718
06/26/2021, 00:00:00	Naro-Fominsk	36.73307	good	RU	55.38752
29 Mar 2019	Kaukauna	-88.27205	accep	US	44.27804
06/28/2018, 00:00:00	Cavaillon	5.03586	average	FR	43.83125
2018-02-16	Bad Honnef	7.2278	excellent	DE	50.64336
2015-10-08	Sarandi	-51.87389	good	BR	-23.44361
2016/08/04	Krasyliv	26.97253	accep	UA	49.65186
04/28/2018, 00:00:00	Dax	-1.05366	building	FR	43.71032
2021/07/13	Ramla	34.86563	excellent	IL	31.92923
2017-09-26	Durazno	-56.52361	excellent	UY	-33.38056
10/18/2012, 00:00:00	Kuvandyk	57.3552	excellent	RU	51.4781
2016-02-28	Shaowu	117.4831	excellent	CN	27.34089
12 Nov 2017	El Alia	10.03478	building	TN	37.16911
23 Nov 2016	Oberhausen	6.8625	accep	DE	51.47805
02/26/2013, 00:00:00	Tupelo	-88.70464	average	US	34.25807
07/27/2022, 00:00:00	Sillanwali	72.54064	accep	PK	31.82539
2020/09/12	Gingee	79.41727	average	IN	12.25282
2020-06-03	Narwar	77.9129	good	IN	25.6439
2016/10/19	Greenville	-91.06177	good	US	33.41012
23 Jan 2013	Hofheim am Taunus	8.4493	accep	DE	50.09019
02/07/2017, 00:00:00	Shimotoda	139.6853	average	JP	35.815
07/02/2020, 00:00:00	Busia	34.11169	average	KE	0.46005
02/02/2022, 00:00:00	Brenham	-96.39774	good	US	30.16688
2016-01-21	Chilibre	-79.62098	average	PA	9.15093
09/22/2014, 00:00:00	Adliswil	8.52462	good	CH	47.30997
03/26/2013, 00:00:00	Kati	-8.07257	good	ML	12.74409
2012-12-28	Smolyan	24.71204	excellent	BG	41.57439
03 Apr 2016	Balikpapan	116.82887	excellent	ID	-1.26753
2012-10-21	Belper	-1.48119	good	GB	53.0233
2012/11/06	Palm Valley	-81.38758	excellent	US	30.17746
2016/06/18	Winsford	-2.52398	excellent	GB	53.19146
12/05/2013, 00:00:00	Surbiton	-0.29825	maintenance	GB	51.39148
31 Jan 2015	Somma Vesuviana	14.43865	excellent	IT	40.87329
2022/07/02	Aykhal	111.4834	maintenance	RU	65.93381
2019-08-09	Greenville	-91.06177	accep	US	33.41012
12/19/2013, 00:00:00	Manaoag	120.4861	good	PH	16.0438
2017/11/09	Kalavoor	76.32756	good	IN	9.57046
2022/07/09	Penzance	-5.53715	good	GB	50.11861
2013/07/11	Marau	-52.2	good	BR	-28.44917
2022/04/23	Manikchari	91.84128	good	BD	22.83957
04/22/2017, 00:00:00	Jingzhou	112.19028	excellent	CN	30.35028
07/22/2013, 00:00:00	Rangia	91.61356	excellent	IN	26.44931
2016/07/30	Kuvandyk	57.3552	excellent	RU	51.4781
26 Jun 2017	Tarkwa	-1.98956	excellent	GH	5.30383
2022-04-05	Bibiani	-2.31938	maintenance	GH	6.46346
2015-08-30	Mbalmayo	11.5	excellent	CM	3.51667
2017-09-11	Hasilpur	72.54566	average	PK	29.69221
2021-11-06	Zaozhuang	117.55417	maintenance	CN	34.86472
2014/06/09	Barracas	-58.38341	average	AR	-34.64966
2014-09-29	Ajdabiya	20.22625	average	LY	30.75545
04 Oct 2012	Astara	48.87498	maitennce	AZ	38.45598
06/12/2021, 00:00:00	Chosica	-76.70944	good	PE	-11.94306
07 May 2020	Teziutlan	-97.35992	building	MX	19.8173
2019/11/23	Gingee	79.41727	excellent	IN	12.25282
05 Mar 2016	Damnoen Saduak	99.95469	building	TH	13.51825
2017/07/01	Saraj	21.32778	excellent	MK	42
11/20/2014, 00:00:00	Jackson	-88.81395	building	US	35.61452
09/22/2017, 00:00:00	Kireyevsk	37.92792	good	RU	53.93361
2022/02/21	Port Huron	-82.42491	excellent	US	42.97086
29 Sep 2014	Barras	-42.29444	average	BR	-4.24444
2015-10-07	Murray	-88.31476	average	US	36.61033
2020/07/20	Rafaela	-61.4867	maintenance	AR	-31.25033
13 Nov 2017	Krasyliv	26.97253	average	UA	49.65186
2020-06-01	Lexington	-81.23621	building	US	33.98154
31 May 2016	Muncar	114.33333	average	ID	-8.43333
2019/10/28	Malakhovka	38.02486	excellent	RU	55.64776
01/04/2022, 00:00:00	Ulanhot	122.08333	accep	CN	46.08333
2019-01-31	Bhit Shah	68.49143	building	PK	25.80565
02/10/2016, 00:00:00	Beryozovsky	60.8019	accep	RU	56.9083
2021/05/13	Dublin	-82.90375	excellent	US	32.54044
09/08/2016, 00:00:00	Acaponeta	-105.36369	average	MX	22.49396
2018/01/25	Guanajuato	-101.2591	excellent	MX	21.01858
07/28/2017, 00:00:00	Majene	118.9707	good	ID	-3.5403
04 May 2019	Ushuaia	-68.3	average	AR	-54.8
2019-04-25	Gronau	7.02238	average	DE	52.21099
2018-09-05	Veracruz	-79.62603	building	PA	8.88988
07/25/2020, 00:00:00	Darreh Shahr	47.3799	good	IR	33.14447
26 Sep 2017	South Whittier	-118.03917	building	US	33.95015
2020/03/12	Athlone	-7.95	accep	IE	53.43333
07 Sep 2016	Ueno-ebisumachi	136.13108	accep	JP	34.75856
2017-03-24	Wheelers Hill	145.18333	average	AU	-37.9
08/19/2014, 00:00:00	Hengshui	115.70111	good	CN	37.73222
03/07/2022, 00:00:00	El Alia	10.03478	maintenance	TN	37.16911
2016/08/03	Mirriah	9.15013	maintenance	NE	13.70727
2016-04-08	Saint-Omer	2.25	accep	FR	50.75
2015-11-18	Likhobory	37.56667	excellent	RU	55.85
05 Jun 2014	Ken Caryl	-105.11221	average	US	39.57582
14 Apr 2017	Ramla	34.86563	accep	IL	31.92923
2013-08-21	Chosica	-76.70944	average	PE	-11.94306
11/26/2013, 00:00:00	Gates-North Gates	-77.70066	good	US	43.16547
11 Mar 2018	Viewpark	-4.0573	excellent	GB	55.82737
26 Nov 2021	Shuangcheng	126.28333	good	CN	45.35
2018/07/29	Fresno	-95.44744	maintenance	US	29.53885
22 Sep 2018	Gorgonzola	9.40531	average	IT	45.53069
2019/05/14	Burscheid	7.11393	accep	DE	51.08468
21 May 2022	Acaponeta	-105.36369	accep	MX	22.49396
04 Mar 2017	Markham	-79.2663	excellent	CA	43.86682
2017/01/15	Taozhuang	117.33333	excellent	CN	34.85
2014/06/13	Ovalle	-71.19901	excellent	CL	-30.60106
2021-01-08	Oberhausen	6.8625	excellent	DE	51.47805
01 Apr 2016	Yamada	141.95	average	JP	39.46667
10/25/2016, 00:00:00	Scotch Plains	-74.38987	maintenance	US	40.65538
2012-10-02	Waverly	-84.62081	excellent	US	42.7392
12/17/2012, 00:00:00	Visitacion Valley	-122.40433	excellent	US	37.71715
27 Apr 2019	Jerada	-2.16	good	MA	34.31
06 Nov 2020	Marseille 11	5.4384	maintenance	FR	43.2907
2018-05-29	Zvenihorodka	30.96755	good	UA	49.07866
09/20/2019, 00:00:00	Clermont	-81.77285	average	US	28.54944
05/26/2017, 00:00:00	Santa Maria	-120.43572	average	US	34.95303
2019/07/15	Thap Than	99.89166	maintenance	TH	15.46063
13 Mar 2014	Pilar	120.56528	building	PH	14.66
19 Jun 2014	Bua Yai	102.42587	excellent	TH	15.58552
2013-06-26	Walton-on-the-Naze	1.26738	average	GB	51.84819
12/09/2017, 00:00:00	Ngemplak	110.71639	excellent	ID	-7.54972
11 Jun 2015	Barracas	-58.38341	good	AR	-34.64966
22 Apr 2016	Beni Khiar	10.78222	good	TN	36.46917
04/14/2020, 00:00:00	Franceville	13.58357	excellent	GA	-1.63333
2014/10/11	Boston	-71.05977	good	US	42.35843
05/08/2013, 00:00:00	Muritiba	-39.25	average	BR	-12.91667
2016-05-24	Otegen Batyra	77.0202	building	KZ	43.41949
22 Jul 2013	Nowshahr	51.49621	excellent	IR	36.64852
08/25/2018, 00:00:00	Lymington	-1.5443	excellent	GB	50.75767
2021/07/24	Betamcherla	78.14797	accep	IN	15.45144
2020/02/12	Nakhon Pathom	100.04427	average	TH	13.8196
03/24/2015, 00:00:00	Gifhorn	10.5511	good	DE	52.47774
2017-09-29	Esperanza	-60.93173	maintenance	AR	-31.4488
26 Apr 2015	'Ali Sabieh	42.7125	accep	DJ	11.15583
2019-08-22	Brenham	-96.39774	maintenance	US	30.16688
2013-02-06	Woodbridge	-74.28459	excellent	US	40.5576
23 Jan 2016	Santa Gertrudes	-47.53028	good	BR	-22.45667
20 Sep 2013	Toba	136.84186	building	JP	34.4833
01/17/2021, 00:00:00	Danjiangkou	111.50861	accep	CN	32.54278
04 Jul 2017	Aleshtar	48.26258	good	IR	33.86419
02 Nov 2017	Jambi City	103.61667	average	ID	-1.6
04/25/2019, 00:00:00	Encinitas	-117.29198	good	US	33.03699
02 Jun 2022	Amposta	0.57856	accep	ES	40.70995
24 Feb 2022	Saratoga Springs	-111.90466	building	US	40.34912
24 May 2014	Somma Vesuviana	14.43865	good	IT	40.87329
09 Dec 2019	Norfolk County	-80.38297	good	CA	42.8334
22 Nov 2018	Yakuplu	28.67582	excellent	TR	40.98894
03/08/2013, 00:00:00	Gajendragarh	75.96976	average	IN	15.73628
27 May 2021	Alwaye	76.35484	building	IN	10.10649
30 Dec 2020	Ada	-96.67834	excellent	US	34.77453
2021/01/06	Phanat Nikhom	101.18445	building	TH	13.44581
01 Oct 2019	Msaken	10.58082	good	TN	35.72917
09/30/2018, 00:00:00	Sterling	-77.4286	good	US	39.00622
2021/02/13	Sungurlu	34.37389	maintenance	TR	40.1675
2012/11/16	Progreso	-89.66123	excellent	MX	21.28306
09/09/2014, 00:00:00	Shepetivka	27.06365	building	UA	50.18545
2015-02-27	Palestine	-95.63079	excellent	US	31.76212
09 Aug 2018	Narva	28.19028	average	EE	59.37722
2016/11/03	Lesozavodsk	133.42825	maintenance	RU	45.47885
2015-08-25	Kashipur	78.95693	average	IN	29.21399
2015/01/25	Toba	136.84186	excellent	JP	34.4833
08/14/2019, 00:00:00	Kuvandyk	57.3552	maintenance	RU	51.4781
20 Mar 2016	Crystal Lake	-88.3162	accep	US	42.24113
02/24/2013, 00:00:00	Santa Gertrudes	-47.53028	building	BR	-22.45667
2022-08-20	Maspalomas	-15.58602	good	ES	27.76056
2019/03/13	Valinhos	-46.99583	excellent	BR	-22.97056
10/26/2020, 00:00:00	Efon-Alaaye	4.92235	average	NG	7.65649
2020/02/27	T’aebaek	128.9889	accep	KR	37.1759
2020/02/10	Farafenni	-15.6	good	GM	13.56667
2019-12-06	Beveren	4.25633	accep	BE	51.21187
2022-04-22	Solntsevo	37.38115	accep	RU	55.63711
2019-11-22	Camayenne	-13.68778	good	GN	9.535
01 Oct 2012	Cowes	-1.29772	maintenance	GB	50.76306
08 Aug 2017	Pucheng	118.53333	excellent	CN	27.92333
02/22/2019, 00:00:00	New City	-87.65644	excellent	US	41.80753
06/19/2017, 00:00:00	Coralville	-91.58045	building	US	41.6764
21 Jul 2013	Kovylkino	43.91385	excellent	RU	54.03876
2013-04-18	Inverness	-4.22398	building	GB	57.47908
07 Jul 2016	Meerut	77.70636	accep	IN	28.98002
2018/06/05	Efon-Alaaye	4.92235	average	NG	7.65649
05/08/2015, 00:00:00	Okahandja	16.91667	good	NA	-21.98333
2021/12/06	Great Wyrley	-2.01111	good	GB	52.66277
03 Jan 2015	Gifhorn	10.5511	building	DE	52.47774
2016/02/13	Granger	-86.11084	accep	US	41.75338
2016-06-08	Catende	-35.71667	excellent	BR	-8.66667
09/02/2013, 00:00:00	Cuenca	-79.00453	excellent	EC	-2.90055
2015/10/07	Kendall	-80.31727	good	US	25.67927
2019/10/17	Gonesse	2.44892	excellent	FR	48.98693
2021/02/05	Bordj Zemoura	4.85668	maintenance	DZ	36.27462
2019/11/07	Newburgh	-74.01042	average	US	41.50343
2018-06-05	Jaruco	-82.00919	average	CU	23.04419
2013/12/13	Ilesa	4.74161	average	NG	7.62789
09/02/2016, 00:00:00	Pamiers	1.6	average	FR	43.11667
2020-03-23	Kahului	-156.47432	accep	US	20.88953
2012-10-20	Bibiani	-2.31938	building	GH	6.46346
2018-10-13	Yeysk	38.2739	excellent	RU	46.7055
19 May 2021	Canavieiras	-38.94722	average	BR	-15.675
24 Aug 2014	Troutdale	-122.38731	accep	US	45.53929
2020-07-15	Bobigny	2.45012	good	FR	48.90982
2014/03/17	Komono	136.51667	good	JP	35
09/16/2014, 00:00:00	Gorgonzola	9.40531	maintenance	IT	45.53069
2014/05/26	Shepetivka	27.06365	accep	UA	50.18545
2015/09/05	Bergama	27.18052	average	TR	39.12074
03/01/2016, 00:00:00	Boston	-71.05977	maintenance	US	42.35843
2017/04/05	Catende	-35.71667	accep	BR	-8.66667
06 Jul 2020	Southsea	-1.08593	average	GB	50.79205
2020/04/18	East Haven	-72.86843	average	US	41.27621
26 Mar 2016	Bon Air	-77.55777	excellent	US	37.52487
2022/07/29	Nidderau	8.86704	average	DE	50.23805
2017-06-06	Solntsevo	37.38115	good	RU	55.63711
04/27/2016, 00:00:00	Visitacion Valley	-122.40433	good	US	37.71715
12/19/2013, 00:00:00	Carlsbad	-104.22884	building	US	32.42067
2016-11-18	Pingyi	117.63083	building	CN	35.50056
06/11/2015, 00:00:00	Ar Ruseris	34.3869	excellent	SD	11.8659
04/17/2018, 00:00:00	Okegawa	139.55722	excellent	JP	36
08/19/2019, 00:00:00	Zeist	5.23333	accep	NL	52.09
2018/07/21	Lutsk	25.34244	average	UA	50.75932
28 Sep 2021	Huangshi	115.04814	good	CN	30.24706
2020/05/18	Strathfield	151.07986	excellent	AU	-33.88096
09/30/2014, 00:00:00	Burscheid	7.11393	maintenance	DE	51.08468
05/08/2016, 00:00:00	Gariadhar	71.57737	good	IN	21.53889
2019/10/01	Muritiba	-39.25	average	BR	-12.91667
2021/03/13	South Whittier	-118.03917	good	US	33.95015
07/16/2017, 00:00:00	Arles	4.63031	accep	FR	43.67681
22 Apr 2013	San Lorenzo Acopilco	-99.32556	building	MX	19.32889
2017/04/30	Jumilla	-1.325	excellent	ES	38.47917
2012/10/19	Visitacion Valley	-122.40433	accep	US	37.71715
2015-09-10	Nanpiao	120.74792	good	CN	41.09822
2017-12-03	Madhipura	86.79271	accep	IN	25.92127
2013/03/23	T’aebaek	128.9889	excellent	KR	37.1759
18 Oct 2016	Newburgh	-74.01042	good	US	41.50343
2016-09-22	Tiruppuvanam	78.25795	good	IN	9.82564
03/01/2017, 00:00:00	Tupelo	-88.70464	accep	US	34.25807
10/11/2018, 00:00:00	Acayucan	-94.91386	good	MX	17.94979
07/31/2016, 00:00:00	Newbury	-1.32471	accep	GB	51.40148
05/17/2014, 00:00:00	Gaziantep	37.3825	building	TR	37.05944
2013/08/25	Maliana	125.21972	average	TL	-8.99167
01/05/2013, 00:00:00	Pameungpeuk	107.60389	good	ID	-7.01833
2016-03-01	Lower West Side	-87.66561	accep	US	41.8542
2013/04/30	Ataq	46.83187	average	YE	14.53767
2019-09-26	Hasilpur	72.54566	accep	PK	29.69221
2020-08-17	Newburgh	-74.01042	good	US	41.50343
2021/06/08	Leyland	-2.68758	accep	GB	53.69786
09/11/2019, 00:00:00	Malnate	8.88104	accep	IT	45.79377
19 Apr 2022	Kallio	24.95034	average	FI	60.18427
01/28/2016, 00:00:00	Pedro II	-41.45861	building	BR	-4.42472
27 Oct 2020	Gariadhar	71.57737	good	IN	21.53889
2019-12-18	Baulkham Hills	150.99292	excellent	AU	-33.75881
2018-12-25	Rahat	34.75699	accep	IL	31.39547
2019-09-20	Artur Nogueira	-47.1725	good	BR	-22.57306
2020-10-09	Iturama	-50.19556	building	BR	-19.72806
08/09/2016, 00:00:00	Nonsan	127.08472	maintenance	KR	36.20389
2020-11-22	Grand Forks	-97.03285	building	US	47.92526
2020/02/28	Jashpurnagar	84.13864	maintenance	IN	22.88783
2015-09-27	Rhosllanerchrugog	-3.05814	building	GB	53.00974
04 Nov 2013	Alfenas	-45.94722	building	BR	-21.42917
2016/02/07	Narwar	77.9129	building	IN	25.6439
2017-12-19	Itacoatiara	-58.44417	maintenance	BR	-3.14306
2018-09-12	Mbalmayo	11.5	excellent	CM	3.51667
2019-03-10	Davis	-121.74052	maintenance	US	38.54491
2022-03-11	Sainte-Catherine	-73.58248	average	CA	45.40008
05 May 2017	Schererville	-87.45476	excellent	US	41.47892
05/23/2014, 00:00:00	Newbury	-1.32471	average	GB	51.40148
2014/11/11	Naro-Fominsk	36.73307	good	RU	55.38752
2020-11-01	Shushary	30.38167	excellent	RU	59.80917
03/08/2013, 00:00:00	Sainte-Catherine	-73.58248	average	CA	45.40008
2016/05/11	Lagarto	-37.65	excellent	BR	-10.91722
