revision	QoS	latitude	station	code	longitude
2014-06-02	maintenance	-2.68333	Usagara	TZ	33
21 Sep 2020	excellent	22.19303	Diamond Harbour	IN	88.18466
2016/05/18	average	40.57788	Brighton Beach	US	-73.95958
07/14/2019, 00:00:00	good	-7.73379	Besuki	ID	113.69785
28 Feb 2015	excellent	29.21399	Kashipur	IN	78.95693
03/12/2022, 00:00:00	good	45.43341	Beaconsfield	CA	-73.86586
2014-08-19	average	41.47892	Schererville	US	-87.45476
28 May 2017	average	46.18396	Onex	CH	6.10237
03 Nov 2021	maintenance	-22.9	Sakaraha	MG	44.53333
2018/10/29	average	53.81667	Blackpool	GB	-3.05
2022-02-09	good	53.0233	Belper	GB	-1.48119
2016/06/10	maintenance	4.96667	Tonga	CM	10.7
2015/01/30	average	-33.88096	Strathfield	AU	151.07986
2013/11/11	accep	48.52961	Landshut	DE	12.16179
01 Apr 2020	average	15.5439	Calangute	IN	73.7553
20 May 2019	average	39.45621	Martinsburg	US	-77.96389
2014/06/14	good	14.0823	Dawei	MM	98.19151
2022/04/15	good	32.5007	Longview	US	-94.74049
2015/04/04	excellent	50.64336	Bad Honnef	DE	7.2278
2014-11-08	maintenance	58.23583	Lesosibirsk	RU	92.48278
2018/01/24	excellent	25.92493	Sojat	IN	73.66633
10/17/2017, 00:00:00	excellent	-33.79176	Eastwood	AU	151.08057
11/10/2015, 00:00:00	accep	53.95278	Roslavl’	RU	32.86389
2016/01/01	good	43.31667	Gernika-Lumo	ES	-2.68333
2017/10/30	average	-19.72806	Iturama	BR	-50.19556
09/09/2022, 00:00:00	building	10.98778	Puerto Colombia	CO	-74.95472
28 Aug 2020	accep	-30.60106	Ovalle	CL	-71.19901
08 Oct 2015	good	51.40148	Newbury	GB	-1.32471
07/08/2015, 00:00:00	average	46.65581	Kherson	UA	32.6178
20 May 2020	excellent	54.60528	Reda	PL	18.34717
06/02/2014, 00:00:00	good	18.57677	Croix-des-Bouquets	HT	-72.22625
15 May 2020	accep	35.21222	Ksar Chellala	DZ	2.31889
2021/05/22	maintenance	37.49223	Catania	IT	15.07041
2015/03/23	maintenance	53.0233	Belper	GB	-1.48119
01/25/2021, 00:00:00	average	55.64776	Malakhovka	RU	38.02486
2015-10-30	average	46.32374	Sunnyside	US	-120.00865
2017/02/21	excellent	17.54907	Elamanchili	IN	82.85749
2020-04-25	maintenance	36.91023	Watsonville	US	-121.75689
2015/07/30	accep	-23.85972	Maxixe	MZ	35.34722
2015-01-16	good	34.06635	Acworth	US	-84.67837
12/28/2014, 00:00:00	excellent	44.31771	Chiavari	IT	9.32241
09/23/2019, 00:00:00	average	56.11281	Ishim	RU	69.49015
12 Nov 2013	building	-22.45667	Santa Gertrudes	BR	-47.53028
2020/01/01	building	-30.60106	Ovalle	CL	-71.19901
2017-04-08	accep	-4.24444	Barras	BR	-42.29444
2018/11/04	good	31.12406	Copperas Cove	US	-97.90308
2013-02-18	building	-34.28853	Griffith	AU	146.05093
2020-01-24	building	45.16024	Lino Lakes	US	-93.08883
11 Oct 2015	accep	6.03333	Arba Minch	ET	37.55
21 Jan 2014	average	14.62578	Antipolo	PH	121.12251
2013/07/16	good	39.12074	Bergama	TR	27.18052
2022-03-06	excellent	34.86472	Zaozhuang	CN	117.55417
2014-04-25	good	60.97944	Izluchinsk	RU	76.92421
03 Jan 2014	good	53.77166	Bogoroditsk	RU	38.12408
16 May 2019	accep	0.49113	Beni	CD	29.47306
25 Nov 2013	average	45.47885	Lesozavodsk	RU	133.42825
13 May 2017	building	29.22254	Haldwani	IN	79.5286
2012/12/31	building	21.34222	Kundla	IN	71.30633
07/18/2013, 00:00:00	accep	37.65181	Longgang	CN	120.33063
10 Mar 2014	average	34.75856	Ueno-ebisumachi	JP	136.13108
2020-08-05	good	37.31309	Mardin	TR	40.74357
2018-01-31	accep	7.06273	Mampong	GH	-1.4001
07/12/2021, 00:00:00	accep	45.75279	Boli	CN	130.57211
30 Dec 2021	acceptable	53.69786	Leyland	GB	-2.68758
2014/01/17	excellent	11.12018	Manjeri	IN	76.11996
2021/05/17	accep	7.50251	Igbara-Odo	NG	5.06258
2015-08-14	excellent	12.74482	Argungu	NG	4.52514
2021-03-15	good	40.55851	Mesagne	IT	17.80774
2017-08-17	average	4.92675	Yenagoa	NG	6.26764
2015-03-03	good	39.33427	Middle River	US	-76.43941
04/11/2013, 00:00:00	maintenance	26.18924	San Juan	US	-98.15529
04/29/2014, 00:00:00	good	26.9423	Tharu Shah	PK	68.11759
2014/04/12	average	26.91756	Punta Gorda Isles	US	-82.07842
2012/11/17	building	42.819	Buynaksk	RU	47.1192
15 Sep 2016	average	27.0174	Al Jubayl	SA	49.62251
2022/04/23	excellent	50.50301	Most	CZ	13.63617
2020-01-10	accep	45.44868	Pointe-Claire	CA	-73.81669
10/24/2014, 00:00:00	average	-6.25	Mvomero	TZ	38.66667
12/21/2017, 00:00:00	average	53.77166	Bogoroditsk	RU	38.12408
03 Sep 2019	good	15.72892	Burgos	PH	120.57224
2012/12/31	average	43.61062	Rutland	US	-72.97261
2018/09/26	maintenance	12.95629	Robertsonpet	IN	78.27539
10/08/2018, 00:00:00	building	44.43579	Sector 6	RO	26.01649
2017/12/05	average	17.30858	Kyaikto	MM	97.01124
09/14/2015, 00:00:00	building	40.87363	Volla	IT	14.34085
2018/12/20	excellent	27.0174	Al Jubayl	SA	49.62251
2014/08/28	average	23.29549	Licheng	CN	113.82465
18 Dec 2018	maintenance	-24.19436	Mokopane	ZA	29.00974
20 Apr 2013	accep	16.455	La Trinidad	PH	120.5875
07/08/2022, 00:00:00	building	40.68066	Massapequa	US	-73.47429
2020-08-31	average	-8.66667	Catende	BR	-35.71667
2021/08/14	maintenance	50.80019	Siegburg	DE	7.20769
2021/02/17	building	-19.7625	Esmeraldas	BR	-44.31389
01 Mar 2013	excellent	-10.91111	Aracaju	BR	-37.07167
2017/09/29	building	50.09019	Hofheim am Taunus	DE	8.4493
19 Jul 2022	average	50.18545	Shepetivka	UA	27.06365
03/25/2013, 00:00:00	excellent	41.6764	Coralville	US	-91.58045
07/18/2015, 00:00:00	building	40.72371	Greenpoint	US	-73.95097
21 Aug 2013	excellent	-12.91667	Muritiba	BR	-39.25
2012-10-12	accep	6.8485	Shagamu	NG	3.64633
11/02/2013, 00:00:00	good	36.76775	Cheraga	DZ	2.95924
2013/10/06	good	39.32288	Woodlawn	US	-76.72803
2018/08/10	accep	38.96667	Gandia	ES	-0.18333
11/22/2015, 00:00:00	excellent	22.10194	Barbil	IN	85.37752
02/24/2018, 00:00:00	good	51.4781	Kuvandyk	RU	57.3552
09/26/2018, 00:00:00	building	28.71271	Pilkhua	IN	77.656
2017-10-22	maintenance	9.91861	Tinaquillo	VE	-68.30472
26 Jan 2014	average	-33.79176	Eastwood	AU	151.08057
2013-05-10	average	25.49043	Teghra	IN	85.94001
01/10/2019, 00:00:00	maintenance	46.23899	Charlottetown	CA	-63.13414
2014-07-24	accep	54.84444	Kashira	RU	38.16694
2018-02-01	building	40.68066	Massapequa	US	-73.47429
2020/03/31	excellent	41.24255	Norwalk	US	-82.61573
2015/01/27	accep	22.75218	Kheda	IN	72.68533
12/28/2021, 00:00:00	average	21.01858	Guanajuato	MX	-101.2591
07/07/2019, 00:00:00	excellent	35.74788	Muskogee	US	-95.36969
2013-04-10	good	-4.16694	Guaraciaba do Norte	BR	-40.7475
13 Jun 2019	average	-22.57306	Artur Nogueira	BR	-47.1725
02/11/2015, 00:00:00	maintenance	34.4833	Toba	JP	136.84186
07/03/2020, 00:00:00	accep	8.88649	Tchaourou	BJ	2.59753
01 Apr 2020	excellent	52.26083	Losser	NL	7.00417
2013-12-08	average	32.54278	Danjiangkou	CN	111.50861
05/17/2022, 00:00:00	good	45.35	Shuangcheng	CN	126.28333
10/29/2017, 00:00:00	accep	57.30185	Gavrilov-Yam	RU	39.85331
2019/03/02	building	-26.93366	Standerton	ZA	29.24152
10/07/2012, 00:00:00	building	42.8139	Segundo Ensanche	ES	-1.64295
2022-09-10	accep	38.13708	Silvan	TR	41.00817
2020-07-04	good	36.76775	Cheraga	DZ	2.95924
05/19/2022, 00:00:00	average	32.54044	Dublin	US	-82.90375
03 Sep 2015	accep	40.60538	Far Rockaway	US	-73.75513
05/04/2019, 00:00:00	excellent	6.46346	Bibiani	GH	-2.31938
09/18/2015, 00:00:00	average	39.59611	Edremit	TR	27.02444
31 Aug 2016	accep	26.91756	Punta Gorda Isles	US	-82.07842
2015-09-22	building	-11.48472	Rio Real	BR	-37.93278
09/27/2018, 00:00:00	accep	64.5635	Severodvinsk	RU	39.8302
10/28/2012, 00:00:00	accep	43.91452	Brunswick	US	-69.96533
04/30/2014, 00:00:00	maintenance	51.21667	Schwalmtal	DE	6.26667
2020-07-13	building	47.90771	Ulan Bator	MN	106.88324
12/27/2021, 00:00:00	average	-17.83333	Ambatondrazaka	MG	48.41667
10 Jul 2021	accep	57.30185	Gavrilov-Yam	RU	39.85331
2014-11-01	maintenance	5.20856	Honda	CO	-74.73584
30 Sep 2016	good	14.95472	Baliuag	PH	120.89694
2016-03-26	average	43.11667	Pamiers	FR	1.6
04/30/2018, 00:00:00	excellent	51.39323	Strood	GB	0.47713
20 Dec 2016	good	10.61285	Biu	NG	12.19458
2018/10/31	excellent	45.0408	Columbia Heights	US	-93.263
2021-01-29	maintenance	0.76755	Yangambi	CD	24.43973
2016-02-24	building	19.32932	Contla	MX	-98.1664
2021-09-08	excellent	34.4833	Toba	JP	136.84186
2018/06/12	excellent	52.21099	Gronau	DE	7.02238
17 Apr 2014	excellent	41.09246	Qazax	AZ	45.36561
2022/08/19	average	54.03876	Kovylkino	RU	43.91385
04 Apr 2014	average	37.1759	T’aebaek	KR	128.9889
02/18/2013, 00:00:00	building	53.51684	Sherwood Park	CA	-113.3187
12/28/2018, 00:00:00	accep	42.7	Aytos	BG	27.25
2019/12/22	good	-3.74912	Iquitos	PE	-73.25383
2019/11/12	good	40.70995	Amposta	ES	0.57856
2018-12-15	building	36.06386	El Achir	DZ	4.62744
2019-05-12	maintenance	41.27194	Liaoyang	CN	123.17306
17 Aug 2020	building	13.56667	Farafenni	GM	-15.6
2015/12/16	average	48.98693	Gonesse	FR	2.44892
08/13/2019, 00:00:00	excellent	-22.92306	Loanda	BR	-53.13722
2021-11-03	accep	13.8196	Nakhon Pathom	TH	100.04427
2018/10/30	excellent	48.77275	Bar-le-Duc	FR	5.16108
2015/12/12	accep	37.65181	Longgang	CN	120.33063
2013-08-27	average	39.22493	Patnos	TR	42.85693
06 Nov 2013	excellent	58.7002	Kachkanar	RU	59.4839
2015/06/05	excellent	43.61058	Colomiers	FR	1.33467
09/07/2019, 00:00:00	average	34.65918	Yanliang	CN	109.22921
13 Dec 2018	average	33.45122	Hueytown	US	-86.99666
24 Apr 2014	excellent	-37.32167	Tandil	AR	-59.13316
01/11/2015, 00:00:00	accep	45.44694	Novara	IT	8.62118
19 Oct 2012	accep	39.45621	Martinsburg	US	-77.96389
2016/09/13	good	45.16024	Lino Lakes	US	-93.08883
30 Oct 2020	maintenance	41.91886	Ajaccio	FR	8.73812
16 Sep 2021	good	18.42745	Aguadilla	PR	-67.15407
2013/04/02	good	47.48444	Polohy	UA	36.25361
2020/08/01	average	45.44868	Pointe-Claire	CA	-73.81669
2020/11/27	good	50.50301	Most	CZ	13.63617
12 Jun 2016	good	37.05944	Gaziantep	TR	37.3825
16 Oct 2017	excellent	23.49668	Adra	IN	86.68363
2017-12-19	average	50.76306	Cowes	GB	-1.29772
2021/02/14	accep	41.29444	Parkent	UZ	69.67639
30 Oct 2020	good	36.53333	Nonoichi	JP	136.61667
09/03/2018, 00:00:00	maintenance	20.88197	Bhuban	IN	85.83334
06/27/2020, 00:00:00	excellent	27.34089	Shaowu	CN	117.4831
2022-02-03	excellent	61.72744	Hudiksvall	SE	17.10558
04 Feb 2022	average	52.61131	Hermsdorf	DE	13.31783
10 Dec 2018	accep	48.8449	Skalica	SK	17.22635
08/22/2020, 00:00:00	average	21.53889	Gariadhar	IN	71.57737
05/06/2013, 00:00:00	excellent	49.88307	Kelowna	CA	-119.48568
2018-01-08	average	45.51667	Vienne	FR	4.86667
2018-12-04	average	34.4833	Toba	JP	136.84186
2022/04/22	accep	46.51872	Hoxtolgay	CN	86.00214
16 Oct 2021	good	17.34769	Lal Bahadur Nagar	IN	78.55757
2020-07-05	average	34.14251	Glendale	US	-118.25508
2012/10/09	good	33.50921	Scottsdale	US	-111.89903
22 Oct 2021	average	3.02013	Arua	UG	30.91105
23 May 2017	accep	35.85	Dongdu	CN	117.7
02 Apr 2021	maintenance	-21.44345	Tupiza	BO	-65.71875
03 Apr 2014	accep	23.15678	Varadero	CU	-81.24441
2017-06-11	accep	44.59445	Castelfranco Emilia	IT	11.04979
19 Jul 2016	excellent	49.41029	Svatove	UA	38.15035
05 Dec 2018	average	14.53767	Ataq	YE	46.83187
2017/06/17	excellent	-7.60361	Kidodi	TZ	37.00438
03/18/2019, 00:00:00	accep	17.34769	Lal Bahadur Nagar	IN	78.55757
07/18/2016, 00:00:00	average	-33.75881	Baulkham Hills	AU	150.99292
2013-10-15	excellent	31.39547	Rahat	IL	34.75699
08/21/2020, 00:00:00	average	50.9803	Weimar	DE	11.32903
2014/06/08	average	45.16024	Lino Lakes	US	-93.08883
18 Apr 2013	accep	-8.66667	Catende	BR	-35.71667
11/03/2014, 00:00:00	average	41.48199	Lakewood	US	-81.79819
01/14/2020, 00:00:00	accep	26.68451	Belle Glade	US	-80.66756
27 Sep 2019	building	5.6561	Andes	CO	-75.87877
2016-02-27	building	-14.66463	Nova Xavantina	BR	-52.35558
2019/08/22	good	20.22816	Zacoalco de Torres	MX	-103.5687
07 Jun 2022	average	48.73218	Neuburg an der Donau	DE	11.18709
2021-10-27	accep	37.74615	Ponta Delgada	PT	-25.66689
03/19/2017, 00:00:00	average	11.50526	Sathyamangalam	IN	77.23826
09/09/2020, 00:00:00	good	42.4251	Malden	US	-71.06616
2020-04-19	excellent	-10.90889	Barra dos Coqueiros	BR	-37.03861
17 May 2018	average	46.7055	Yeysk	RU	38.2739
2020/12/16	maintenance	56.03361	Volokolamsk	RU	35.96944
29 Nov 2021	excellent	-1.9487	Rwamagana	RW	30.4347
2018/11/01	maintenance	51.62907	High Wycombe	GB	-0.74934
07/10/2019, 00:00:00	maintenance	-21.41222	Miracema	BR	-42.19667
2019-09-01	average	40.87363	Volla	IT	14.34085
15 Mar 2017	good	0.49113	Beni	CD	29.47306
08/21/2015, 00:00:00	good	11.85	Debre Tabor	ET	38.01667
06 May 2017	maintenance	34.77453	Ada	US	-96.67834
2022/03/15	average	-31.95224	Perth	AU	115.8614
08/03/2013, 00:00:00	average	-10.91722	Lagarto	BR	-37.65
08/12/2013, 00:00:00	accep	0.51667	Pekanbaru	ID	101.44167
11/01/2019, 00:00:00	average	41.63976	Cardedeu	ES	2.35739
2021/11/27	accep	59.33333	Boo	SE	18.28333
29 Mar 2020	accep	48.77275	Bar-le-Duc	FR	5.16108
2022-03-25	excellent	-23.7975	Buri	BR	-48.59278
2021/09/02	average	9.82564	Tiruppuvanam	IN	78.25795
2020-04-12	excellent	5.4709	Batu Feringgi	MY	100.24529
2015-10-24	accep	24.81757	Rafiganj	IN	84.63445
06/23/2021, 00:00:00	excellent	52.31333	Oldenzaal	NL	6.92917
08/24/2017, 00:00:00	accep	41.55815	Waterbury	US	-73.0515
2022/09/18	average	8.48714	Freetown	SL	-13.2356
2013-07-11	average	33.52253	Laguna Niguel	US	-117.70755
2017-05-31	good	56.9083	Beryozovsky	RU	60.8019
06/30/2022, 00:00:00	accep	29.22254	Haldwani	IN	79.5286
2017/06/27	maintenance	49.68369	Bensheim	DE	8.61839
13 Jul 2019	maintenance	34.95303	Santa Maria	US	-120.43572
18 Jun 2021	building	40.65995	Kearns	US	-111.99633
04 Mar 2015	maintenance	50.20528	Jaworzno	PL	19.27498
03 Oct 2018	excellent	12.95629	Robertsonpet	IN	78.27539
19 Dec 2014	accep	32.65246	Isfahan	IR	51.67462
2015/05/30	building	11.15583	'Ali Sabieh	DJ	42.7125
2018-12-08	average	51.40944	Privolzhskiy	RU	46.04833
30 Oct 2016	excellent	41.57721	West Des Moines	US	-93.71133
08/09/2014, 00:00:00	average	37.95143	Rolla	US	-91.77127
2019-03-25	excellent	43.35071	Gudermes	RU	46.10925
2019-11-11	good	43.82634	Motomachi	JP	144.09638
2017-06-06	average	23.49668	Adra	IN	86.68363
10 Jul 2017	good	53.69786	Leyland	GB	-2.68758
12/07/2021, 00:00:00	building	35.30889	Kamakura	JP	139.55028
03 Sep 2022	average	8.43333	Nakhon Si Thammarat	TH	99.96667
2018-09-17	average	29.21399	Kashipur	IN	78.95693
04/24/2014, 00:00:00	building	49.5099	Losheim	DE	6.74549
07/25/2015, 00:00:00	excellent	31.84568	Odessa	US	-102.36764
2022-05-12	good	49.88307	Kelowna	CA	-119.48568
04 Jun 2022	good	26.2649	Jais	IN	81.54855
2013/03/25	accep	48.90982	Bobigny	FR	2.45012
07/08/2021, 00:00:00	maintenance	11.8659	Ar Ruseris	SD	34.3869
08/30/2017, 00:00:00	accep	15.72892	Burgos	PH	120.57224
06/25/2013, 00:00:00	accep	-21.41222	Miracema	BR	-42.19667
2016/08/20	accep	0.76755	Yangambi	CD	24.43973
2017/12/30	building	-8.66667	Catende	BR	-35.71667
2014/12/08	accep	56.11281	Ishim	RU	69.49015
2014-08-26	excellent	22.49396	Acaponeta	MX	-105.36369
04 Feb 2020	accep	39.32011	Rosedale	US	-76.51552
2019-01-18	building	36.64852	Nowshahr	IR	51.49621
2019-08-07	maintenance	38.55632	Vahdat	TJ	69.01354
03/21/2021, 00:00:00	excellent	3.11988	Lodwar	KE	35.59642
04/07/2013, 00:00:00	average	35.88264	Thomasville	US	-80.08199
2021/07/29	good	35.85	Dongdu	CN	117.7
24 Oct 2012	accep	34.77453	Ada	US	-96.67834
10/04/2014, 00:00:00	good	41.29444	Parkent	UZ	69.67639
20 Jul 2017	good	36.46917	Beni Khiar	TN	10.78222
01/16/2014, 00:00:00	excellent	42.64031	Dongfeng	CN	125.51176
2018-05-06	good	-5.85746	Mount Hagen	PG	144.23058
2016-09-11	average	-1.26753	Balikpapan	ID	116.82887
03/30/2015, 00:00:00	accep	41.80753	New City	US	-87.65644
2016/12/26	excellent	40.78206	Andijon	UZ	72.34424
02/12/2017, 00:00:00	good	-4.16694	Guaraciaba do Norte	BR	-40.7475
2015-01-21	good	51.40944	Privolzhskiy	RU	46.04833
01/07/2021, 00:00:00	average	-20.25333	Itabirito	BR	-43.80139
2016-09-16	average	40.87363	Volla	IT	14.34085
2015/02/05	accep	9.57046	Kalavoor	IN	76.32756
05/07/2016, 00:00:00	good	34.21639	Camarillo	US	-119.0376
01/22/2014, 00:00:00	good	9.6531	Jagna	PH	124.3697
2012-12-13	excellent	51.38673	Hartley	GB	0.30367
12/14/2016, 00:00:00	maintenance	40.11583	Jizzax	UZ	67.84222
2013-11-17	maintenance	43.4125	Montana	BG	23.225
06/15/2019, 00:00:00	accep	-33.75881	Baulkham Hills	AU	150.99292
01/16/2019, 00:00:00	average	5.27247	Bonoua	CI	-3.59625
08/12/2016, 00:00:00	average	55.64776	Malakhovka	RU	38.02486
2016-12-13	building	43.48961	Ferrol	ES	-8.2194
2020/11/24	excellent	43.91452	Brunswick	US	-69.96533
2017/08/03	maintenance	22.37066	Tsuen Wan	HK	114.10479
2013/10/15	accep	37.74615	Ponta Delgada	PT	-25.66689
2020-09-09	excellent	25.80565	Bhit Shah	PK	68.49143
2018/02/01	excellent	24.96334	Ghat	LY	10.18003
2018-12-02	building	54.39304	Bavly	RU	53.26023
2021-09-04	good	52.21099	Gronau	DE	7.02238
01 Feb 2019	excellent	50.26729	Vernon	CA	-119.27337
2019/05/05	excellent	40.65538	Scotch Plains	US	-74.38987
13 Sep 2014	average	38.40917	Xinzhou	CN	112.73333
14 May 2021	maintenance	26.11527	Supaul	IN	86.59509
2019/10/26	accep	43.32686	Leioa	ES	-2.98884
2021/06/08	maintenance	53.78333	Selby	GB	-1.06667
2015/12/07	good	49.13645	Eppingen	DE	8.91229
2022/08/24	average	-4.42472	Pedro II	BR	-41.45861
2013-02-06	accep	13.8196	Nakhon Pathom	TH	100.04427
2021/06/13	accep	34.61667	Yao	JP	135.6
2018/04/20	building	9.535	Camayenne	GN	-13.68778
2016/06/08	maintenance	51.24197	Lille	BE	4.82313
2020/11/06	average	-22.92306	Loanda	BR	-53.13722
01/03/2015, 00:00:00	average	18.00747	New Kingston	JM	-76.78319
24 Feb 2014	excellent	33.54428	Stockbridge	US	-84.23381
27 Sep 2015	average	40.93333	Jalal-Abad	KG	73
2021-05-19	good	20.21322	Salvatierra	MX	-100.88023
2016/06/09	good	58.23583	Lesosibirsk	RU	92.48278
2021/10/31	average	51.14942	Zgorzelec	PL	15.00835
08/18/2014, 00:00:00	average	34.09668	Claremont	US	-117.71978
2020/11/14	good	47.80527	Bothell West	US	-122.24064
27 Jan 2018	accep	50.06	Mikhaylovka	RU	43.2379
2013-01-18	average	-34.88422	Nowra	AU	150.60036
2016/03/20	excellent	36.20389	Nonsan	KR	127.08472
2012-12-11	average	41.09246	Qazax	AZ	45.36561
11 Dec 2017	building	26.76628	Gorakhpur	IN	83.36889
12 Mar 2019	building	14.93333	Chichicastenango	GT	-91.11667
2017-11-28	maintenance	48.78232	Stuttgart	DE	9.17702
10/25/2012, 00:00:00	good	41.47892	Schererville	US	-87.45476
25 Nov 2017	good	47.80527	Bothell West	US	-122.24064
2013/01/16	good	33.42585	Oulmes	MA	-6.00137
2018/02/17	accep	37.1759	T’aebaek	KR	128.9889
23 Apr 2019	average	37.35813	San Juan de Aznalfarache	ES	-6.03731
12 Apr 2013	average	53.93361	Kireyevsk	RU	37.92792
2018-04-16	average	20.74122	Santa Rosa Jauregui	MX	-100.44843
2018-01-23	accep	6.45407	Lagos	NG	3.39467
06/21/2014, 00:00:00	maintenance	32.55531	Chamba	IN	76.12647
2014-12-17	excellent	10.13361	Maasin	PH	124.84472
06/15/2019, 00:00:00	good	3.27833	Kitgum	UG	32.88667
2016/12/20	accep	51.40944	Privolzhskiy	RU	46.04833
2018/06/11	average	21.46527	Sambalpur	IN	83.97573
2022/03/12	accep	41.9001	Taunton	US	-71.08977
11/25/2021, 00:00:00	good	-19.7625	Esmeraldas	BR	-44.31389
2016-11-25	average	39.32011	Rosedale	US	-76.51552
2020-01-09	excellent	49.88307	Kelowna	CA	-119.48568
2013-09-04	average	39.46667	Yamada	JP	141.95
2017-07-31	building	-33.88096	Strathfield	AU	151.07986
09 Feb 2020	accep	35.30889	Kamakura	JP	139.55028
2021-04-18	good	38.96372	Chillum	US	-76.99081
2015/05/29	building	38.10558	Caravaca	ES	-1.86343
2014/12/04	excellent	38.10558	Caravaca	ES	-1.86343
2014/04/20	maintenance	41.82143	Kobuleti	GE	41.77921
2020/04/03	accep	32.35126	Tyler	US	-95.30106
09/12/2015, 00:00:00	accep	-11.48472	Rio Real	BR	-37.93278
10/13/2020, 00:00:00	good	22.4711	Pujali	IN	88.1453
2015-08-04	accep	43.86682	Markham	CA	-79.2663
11/10/2020, 00:00:00	accep	21.01858	Guanajuato	MX	-101.2591
07 Nov 2014	excellent	-25.42944	Palmeira	BR	-50.00639
2016/08/09	building	-19.7625	Esmeraldas	BR	-44.31389
2013/08/28	accep	2.41669	Paidha	UG	30.98551
2014/10/04	accep	51.40148	Newbury	GB	-1.32471
22 Feb 2020	good	16.06213	Hungund	IN	76.0586
2013-10-31	average	33.3213	Hita	JP	130.94098
2018-10-27	excellent	43.91452	Brunswick	US	-69.96533
2018-01-27	good	17.54907	Elamanchili	IN	82.85749
2020-10-20	average	41.09822	Nanpiao	CN	120.74792
01 Jan 2019	average	41.50343	Newburgh	US	-74.01042
06 Mar 2018	good	-33.88096	Strathfield	AU	151.07986
29 Aug 2021	excellent	49.07866	Zvenihorodka	UA	30.96755
2019/10/08	accep	51.88333	Verl	DE	8.51667
10 Dec 2015	accep	49.97704	Aschaffenburg	DE	9.15214
2019-10-15	good	36.75965	Namerikawa	JP	137.36215
23 Jan 2022	excellent	50.23805	Nidderau	DE	8.86704
2019-11-18	excellent	35.25064	Searcy	US	-91.73625
07 Jul 2017	good	-14.66463	Nova Xavantina	BR	-52.35558
2021/07/02	building	14.62578	Antipolo	PH	121.12251
07/31/2017, 00:00:00	maintenance	10.15031	El Copey	CO	-73.9614
2016/09/10	accep	24.28859	Meizhou	CN	116.11768
2019-12-18	building	38.58894	Fairview Heights	US	-89.99038
2021-04-25	excellent	49.07866	Zvenihorodka	UA	30.96755
08/04/2022, 00:00:00	accep	-21.41222	Miracema	BR	-42.19667
