SO2	PM2.5	Pb	C2H3NO5	NH3	CH4	PRES	NOx	longitude	latitude	CFCs	CO	H2CO	PAHs	warning	O3	PM10	TEMP
7.84153	7.36930	45.80414	0.28639	5.09797	7.41426	1103.54222	9.56675	41.00817	38.13708	58.84395	8.34864	34.29113	6.91957	1.00000	6.05821	7.38656	20.44768
5.66689	3.82921	54.93390	1.57089	7.98700	7.00027	1145.12856	7.12256	5.23333	52.09	62.19986	2.71042	57.46796	9.37282	0.00000	6.27690	9.73956	22.74266
6.07615	5.53544	68.24276	0.45637	5.76857	6.62416	1054.74562	9.66163	113.82465	23.29549	51.09049	5.05782	58.62356	8.52967	1.00000	6.11256	8.12940	19.97950
7.53274	5.09022	21.22787	0.40286	5.25969	7.72268	1109.72270	8.87321	129.96972	33.4425	60.56254	11.46324	51.78362	9.45929	1.00000	8.79601	7.93116	29.49442
7.41201	6.56590	30.32001	0.28750	9.56249	6.67701	1166.27230	8.29205	35.96944	56.03361	42.68630	5.93608	55.70980	3.17123	1.00000	6.93840	7.35500	17.32657
7.19085	7.31129	62.96891	0.24010	7.24623	5.21898	1188.08097	7.96506	-71.19901	-30.60106	45.07508	8.65901	47.34069	5.54869	1.00000	7.47035	6.62661	-6.35660
5.94897	6.01294	58.91228	0.13571	8.72774	9.33838	1089.00741	8.51025	-73.89125	40.67705	36.60244	7.35378	46.93215	5.79948	1.00000	6.68069	7.01501	23.00259
7.13244	6.69102	63.89426	1.06415	5.65036	8.09727	1074.06525	8.81909	2.12213	48.8222	86.08293	10.43076	55.55650	12.10566	1.00000	7.18050	9.22100	16.96374
6.65628	5.42095	43.74246	0.12124	8.04620	7.54871	1150.94970	9.57051	76.92421	60.97944	42.58011	4.91240	53.01083	6.85911	1.00000	7.27255	3.58511	8.54528
7.41819	5.39981	55.38280	0.17680	5.07062	6.42644	1112.37760	4.98527	-117.70755	33.52253	49.24087	5.70082	67.07498	8.73308	0.00000	6.73862	6.01051	-2.19192
6.35846	4.40295	91.60225	0.24925	5.08719	7.12047	1119.84602	8.69306	124.84472	10.13361	58.31398	9.40898	54.76678	6.97144	1.00000	5.58158	7.59008	6.01756
6.73716	4.74253	49.06211	0.13174	7.24037	6.47697	1133.39704	8.91107	15.07041	37.49223	41.21473	6.59322	66.26964	7.60397	1.00000	7.91676	4.26376	20.67421
5.78661	4.64736	39.23035	1.24203	7.39944	6.45063	1142.05646	8.47241	120.89694	14.95472	50.93296	9.13918	49.03286	10.51415	1.00000	9.31659	9.41813	6.17795
9.35659	7.55374	75.24636	0.22687	8.18330	4.30453	1172.28808	7.59669	-0.74934	51.62907	38.47421	8.47478	57.05377	7.07935	1.00000	7.05488	7.35557	19.31061
6.90206	4.62743	25.14571	0.31815	6.03553	6.56932	1142.27230	10.11335	53.26023	54.39304	37.67336	5.99525	65.93831	8.99088	1.00000	9.36402	7.64804	18.69581
7.86839	6.13762	62.14048	0.09899	8.70065	6.23918	1144.86811	9.52703	86.59509	26.11527	32.69099	4.20257	33.91024	5.84849	1.00000	7.99086	4.54245	10.67220
7.01397	9.34468	31.63965	0.27579	4.29621	6.38952	1151.39472	4.09967	7.02238	52.21099	44.16818	5.18662	81.62935	8.24328	0.00000	7.45069	7.02428	24.69410
6.70998	5.31491	49.35036	0.14620	5.74856	6.85507	1100.33175	4.99962	0.47713	51.39323	54.71952	5.54972	36.83408	9.92603	0.00000	7.88925	5.36694	-9.20306
8.07652	7.68149	50.17717	0.96361	6.63797	5.81802	1174.00573	9.76093	-121.75689	36.91023	41.71359	5.63935	51.70655	9.49192	0.00000	6.04883	9.24823	13.80549
8.00528	5.67369	32.71494	0.10465	8.09854	6.73799	1090.14917	9.91346	2.35739	41.63976	25.70867	3.85686	38.94871	7.64974	1.00000	8.86195	2.98815	11.25466
7.55587	8.39145	64.95338	0.55409	6.32017	7.33637	1198.12726	8.01383	-2.01111	52.66277	45.82524	5.46473	78.37264	7.97561	0.00000	6.47086	8.47747	11.52000
7.95399	4.96473	60.50710	0.58935	6.85127	7.98089	1165.64886	9.92078	6.76111	53.16167	46.31393	7.87141	53.26956	11.19114	1.00000	8.50973	8.49609	12.32356
7.57620	4.48698	70.11431	0.16749	8.17900	9.93732	1139.11146	8.82861	-78.19444	38.91817	52.89262	5.45575	47.76138	7.88312	1.00000	5.65278	4.40413	26.97963
8.39331	3.92302	65.30342	0.30584	5.03215	6.87062	1118.61446	8.19299	1.26738	51.84819	62.16392	9.94509	60.02058	8.04713	1.00000	7.10448	7.69026	11.57160
7.86996	5.96749	53.39147	0.42591	6.17555	7.16632	1066.88610	8.65759	-1.5443	50.75767	61.58882	10.68472	51.08511	8.98141	1.00000	9.44420	8.16957	9.82940
6.21400	5.45154	46.20480	0.47027	6.71789	7.41233	1170.47831	9.33542	8.73812	41.91886	44.55469	7.90754	55.84197	10.24797	1.00000	7.11061	8.33014	18.41990
5.49672	6.62663	50.04781	0.22729	7.06272	6.62438	1144.85575	9.00961	136.84186	34.4833	58.08751	6.96567	50.66625	6.83516	1.00000	7.16759	3.92317	-2.58750
	6.72023	55.78885	0.98386	5.74641	7.66394	1081.97155	8.36465	-73.97069	40.64621	47.51003	8.79431	67.15776	9.59697	1.00000	7.09651	9.18009	-0.85422
6.78098	4.43894	46.53815	0.69343	7.47117	6.67617	1120.76717	9.36152	40.74357	37.31309	43.49371	10.59153	57.13293	9.98936	1.00000	5.71616	8.71093	12.35740
8.44283	8.67386	61.32379	0.66347	5.37353	6.24761	1108.95493	7.92779	-87.45476	41.47892	57.46311	6.66161	57.40880	7.58005	0.00000	7.31836	8.60192	11.99449
4.91635	7.51272	73.39480	0.16069	7.89693	5.97267	1067.70850	8.59567	38.07083	54.90083	24.55375	5.09879	44.94179	5.90675	1.00000	8.72515	4.99238	33.81604
7.91576	8.59119	60.08297	0.11874		8.28395	1180.31513	8.20913	139.6853	35.815	44.06264	6.95770	38.41545	4.42156	1.00000	7.27863	6.57670	-2.43624
6.73293	4.98960	47.24143	0.26590	4.36503	6.56362	1152.21984	9.50774	-1.86343	38.10558	56.33269	10.51413	37.40654	9.85532	1.00000	7.30801	7.23405	13.04406
7.60344	5.61435	69.71297	0.10924	8.82821	6.37797	1185.90410	9.04185	-121.75689	36.91023	31.65373	5.09779	62.33720	7.35752	1.00000	8.72067	4.60660	26.08120
4.68458	7.24395	51.72157	1.76791	6.18634	8.10241	1176.73598	12.38604	-2.68758	53.69786	59.81483	5.86969	39.60931	7.44894	0.00000	6.15628	9.85984	2.19325
5.64260	3.46449	50.41254	0.25142	4.48746	8.03169	1148.87400	8.38275	3.64633	6.8485	51.15537	11.98016	70.51277	7.49055	1.00000	6.74815	7.05811	19.85036
6.10504	6.20078	65.84499	0.74626	5.38893	8.02644	1132.88776	6.89702	69.01354	38.55632	26.41016	13.13239	40.81422	8.74901	1.00000	6.34740	8.76908	10.57735
7.73376	5.09032	57.20663	0.44537	6.69992	6.30928	1057.47906	10.47653	8.55552	40.72586	36.46600	5.53224	58.17932	9.38360	1.00000	6.55106	8.17675	24.38995
7.30730	4.94827	39.87920	0.10660	4.82275	7.87689	1138.44423	7.77487	77.23826	11.50526	39.00397	5.98941	55.44158	6.68855	0.00000	7.07197	5.51543	26.38482
6.42305	9.43821	31.10553	1.47049	3.57617	7.37647	1188.66282	9.33127	8.52462	47.30997	29.32536	7.02664	53.93677	6.82216	0.00000	7.51792	9.64282	23.24206
5.92623	6.95482	54.47800	0.18208	9.37949	5.92440	1066.07385	8.92350	-73.78458	41.0051	28.48713	4.01002	53.69314	5.58869	1.00000	7.17479	5.55536	15.47890
7.22432	5.13536	38.38742	0.38949	7.34025	5.76778	1073.81570	6.01588	140.11667	37.56667	46.66484	4.03337	76.24440	9.48831	0.00000	6.45665	7.81931	26.78202
8.16433	9.13867	35.09568	0.93872	4.22291	6.10509	1102.81166	8.71376	112.19028	30.35028	35.51230	6.97662	50.73643	7.88771	0.00000	6.05862	9.14228	17.61940
7.50048	6.39858	40.60356	2.81476	7.63948	8.33397	1065.22897	7.74589	-76.51552	39.32011	48.11846	11.29826	47.88403	10.68022	1.00000	7.46937	10.33292	23.96815
6.59231	5.85933	40.18828	0.48456	5.49886	6.84327	1145.94125	7.61614	-82.4017	23.0072	52.36946	8.91247	32.13270	7.05199	1.00000	6.39157	8.23959	19.58260
8.29932	6.80668	60.77919	0.85290	6.15921	7.64421	1184.43097	8.48737	3.47717	36.76639	53.81955	8.04008	57.21971	7.73721	0.00000	8.03469	9.01863	26.23771
6.13805	5.28822	64.25499	0.13586	9.79643	6.13219	1108.24701	8.85733	-77.96389	39.45621	13.43592	4.79928	70.13353	7.44525	1.00000	6.08126	5.45904	20.67352
7.47090	6.61401	57.28493	0.25853	4.16843	7.97844	1156.50392	7.81492	-78.19444	38.91817	49.82816	13.42537	53.63745	6.83067	1.00000	9.48661	7.59707	22.11605
7.25984	3.40822	24.67891	0.55369	4.92688	8.08539	1071.18286	6.85747	128.62667	34.8825	49.23541	12.60351	46.28037	7.90167	1.00000	8.87159	8.49274	25.90541
7.29692	5.83209	32.61959	0.19136	3.29075	5.69229	1112.99301	10.96154	24.75	55.25	50.84720	7.55507	54.16963	6.22133	1.00000	5.66280	5.33262	21.86413
6.50005	9.62390	41.21010	0.82552	4.49046	7.07310	1138.60148	9.10472	-5.53715	50.11861	30.63981	6.82083	56.50433	7.12275	0.00000	8.18684	9.00889	11.18652
6.11979	7.19331	45.07701	0.23210	6.93773	8.05891	1104.92296	9.75498	47.1192	42.819	53.99860	5.24654	61.61844	8.53756	0.00000	8.10655	3.14156	10.20270
7.25005	3.72372	46.45556	0.21102	9.17127	7.79594	1069.19431	9.33725	120.4861	16.0438	49.63021	2.81320	49.75897	5.41902	1.00000	5.09923	4.33228	24.76161
7.23295	6.40072	33.97619	0.17575	8.00531	5.96298	1069.29055	8.32326	51.49621	36.64852	30.60712	7.50978	58.13907	7.02651	1.00000	7.45955	5.91468	7.65248
6.79811	8.10187	53.68277	6.90984	4.09285	5.58955	1062.93124	11.12708	-8.2194	43.48961	50.36216	8.39263	68.60126	5.56658	0.00000	7.42953	11.26441	8.37281
6.77884	9.15779	37.21750	0.12532	6.97051	6.50025	1172.69132	3.90761	123.99333	12.97389	42.36102	7.71910	38.44792	9.56499	0.00000	7.85051	4.12454	25.29618
6.50284	4.74318	38.78611	0.27490	5.63159	5.82318	1133.54227	4.16107	4.62744	36.06386	40.63827	6.03048	62.63161	11.38862	0.00000	6.86803	6.89738	16.09845
8.35652	8.56371	51.37175	0.33308	6.44955	7.71466	1180.13166	8.06734	115.88782	-32.05251	45.18575	5.41526	47.96201	8.24684	0.00000	7.14558	7.72457	22.02929
7.75363	5.41041	41.11633	0.10391	8.55116	6.85735	1142.88252	9.02842	37.55	6.03333	55.15297	3.66431	59.20004	3.22737	1.00000	6.97757	5.39687	21.55488
5.71855	4.73509	43.08402	0.02531	7.50571	7.03989	1181.91440	9.58244	6.10237	46.18396	56.04067	4.73629	53.27108	8.63551	1.00000	7.52005	3.70988	24.38653
7.85706	6.81960	46.69812	0.18006	4.13437	7.43959	1053.06712	4.90977	-76.51552	39.32011	49.87228	6.04686	46.40630	7.03516	1.00000		2.74092	24.87641
6.63421	4.93513	63.42177	0.21397	9.10808	7.38664	1068.88207	9.15553	46.04833	51.40944	49.36716	3.87747	57.77660	3.87653	1.00000	6.67422	5.42946	26.43316
8.64586	5.64356	59.70672	0.28080	6.67974	7.30992	1144.45658	6.21060	2.08333	48.86667	38.66874	6.03184	68.71631	9.39557	0.00000	6.24153	7.10608	28.94333
5.49842	6.43351	67.97081	0.15504	3.98654	6.87546	1191.38388	10.56408	2.29026	48.77644	51.85891	8.56640	51.24925	6.99013	1.00000	6.26363	6.07480	20.51943
5.75491	5.54676	68.50443	6.95365	7.58107	6.64864	1082.39372	5.54627	-60.1831	46.1351	52.23901	11.29310	53.33481	10.66462	1.00000	8.21098	11.27914	8.63950
4.91264	4.02380	55.19195	0.32197		7.03894	1113.03416	8.95142	-76.43941	39.33427	57.71562	6.93994	38.43183	7.36767	1.00000	5.96293	7.61897	3.85441
8.62377	5.27654	33.86024	0.23566	6.11258	7.67428	1078.66910	6.89935	-100.88023	20.21322	39.68425	3.54950	39.78553	6.81022	0.00000	7.67865	6.80289	19.14437
6.88088	6.92893	59.62896	0.65979	6.63396	7.00574	1140.43008	9.17285	39.85331	57.30185	46.61553	8.74901	46.05919	10.12871	1.00000	7.70888	8.73093	22.75933
6.19221	5.33150	54.25055	0.17422	4.70235	5.76383	1178.47698	3.35888	-6.00137	33.42585	48.11179	6.36882	63.06529	10.98741	0.00000	5.11524	4.48871	15.02490
6.92133	5.79351	67.99643	0.16713	8.43787	7.71654	1067.08063	9.35051	2.31889	35.21222	39.88900	4.39554	61.21348	6.63883	1.00000	8.19366	3.99426	-6.14329
7.24343	9.23028	79.87752	0.38030	7.59506	8.41379	1184.64039	7.37629	-1.60452	42.06166	49.44367	9.47077	51.43938	5.57678	1.00000	7.59836	7.76739	22.79548
6.91276	5.41688	59.54841	0.78723	6.53938	6.60020	1059.11987	7.88426	-15.6	13.56667	53.04376	7.47074	56.85746	8.59187	1.00000	8.65410	8.89829	-4.08109
7.59511	10.44108	38.29919	1.70567	2.18700	7.87402	1174.90459	7.85689	110.71639	-7.54972	47.05298	8.58032	60.65756	6.24557	0.00000	5.74111	9.80982	23.32007
10.18869	5.47442	65.12544	4.66072	6.96947	7.84601	1174.36987	10.67876	-73.9614	10.15031	61.04502	4.22016	61.48945	11.66924	0.00000	6.93462	10.85980	14.76078
8.17091	5.55255	67.82773	0.19853	8.82062	5.51846	1131.90152	8.10548	-89.99038	38.58894	46.41961	6.45149	82.47385	5.35414	1.00000	7.05660	5.94909	8.83598
7.30545	5.56434	50.56334	0.40913	4.64239	6.17276	1081.67166	8.36258	72.68533	22.75218	46.68305	9.93038	60.88737	8.29307	1.00000	5.35453	8.17773	15.22581
8.05214	4.39545	22.74364	0.19902	9.62681	8.26895	1176.64714	8.13378	4.62744	36.06386	48.68979	5.84430	47.77811	6.25486	1.00000	4.23772	6.87884	20.72831
6.51760	7.08276	38.72121	0.81092	9.79857	6.94365	1127.25881	7.24346	2.08333	48.86667	51.72814	6.19885	36.88342	3.41708	1.00000	7.85172	9.02831	7.12874
6.25632	5.42235	52.92027	0.34694	8.08883	7.68271	1126.88376	8.20300	123.62494	12.37169	55.29698	7.40866	44.74970	5.60862	1.00000	5.90986	7.17454	1.86315
6.24978	7.69151	59.63907	0.38403	5.49903	7.27292	1084.73112	9.12435	-1.64295	42.8139	42.18912	8.22168	74.18839	7.29041	1.00000	7.92767	7.80141	20.05688
7.92223	4.75654	36.63674	0.20286	5.68357	7.85355	1071.46054	11.67066	46.10925	43.35071	48.78014	7.28064	71.12512	6.15756	1.00000	6.27809	5.65697	34.21547
7.26540	9.53856	71.80810	0.36125	4.99213	8.35331	1175.82820	7.68173	2.95924	36.76775	48.10493	5.92202	45.51923	8.31900	0.00000	7.81896	7.64685	10.70679
6.22014		76.23830	0.35426	4.46046	6.67217	1061.49342	8.28884	-119.01677	36.06523	36.77622	3.11514	75.83313	6.51008	0.00000	7.53853	7.88289	18.16588
7.98594	6.09904	58.56400	0.31199	9.49202	7.19346	1196.99141	7.94139	139.6853	35.815	34.08656	6.09125	61.62815	4.27773	1.00000	5.75304	7.84853	23.06292
7.79508	5.90185	60.98177	0.48540	7.71851	7.43305	1053.52215	9.78150	78.55757	17.34769	62.57936	9.56015	88.44840	10.13680	1.00000	7.43827	8.38204	14.40433
7.84633	7.34868	69.73150	0.47343	6.93835	7.61477	1106.34925	8.31356	-47.1725	-22.57306	50.31062	4.50889	65.28779	9.66653	0.00000	5.23627	8.43464	20.59435
6.86898	5.97389	59.98123	0.25001	7.52456	6.71643	1190.81928	8.92742	8.61839	49.68369	48.29340	6.97676	36.52048	9.21015	1.00000	8.06931	4.52739	31.86583
6.88560	4.67457	72.21472	0.26020	4.97232	7.78315	1142.79740	9.69891	-60.47389	-34.64167	41.57289	10.91563	55.33719	9.99799	1.00000	4.80083	6.84387	29.13825
6.77280	6.04790	48.09930	0.51478	5.13528	6.70082	1084.39478	7.25717	4.82313	51.24197	41.82553	8.67930	46.05850	8.28149	1.00000	6.84414	8.26551	14.16594
7.02573	7.19690	46.51928	0.75239	6.13944	6.16901	1115.53116	7.22656	-47.53028	-22.45667	50.66270	8.94439	52.14645	6.79115	1.00000	4.63822	8.80330	2.05515
7.73385	6.71635	62.00719	0.15999	9.06347	7.31308	1183.23907	8.02564	-74.95472	10.98778	23.45588	5.96576	57.23879	5.50951	1.00000	5.99015	6.58859	24.28794
8.50620	8.44008	57.16009	0.15596	7.55412	7.60498	1071.22946	1.33186	4.7934	45.69558	25.14320	6.55517	59.68182	12.97105	0.00000	8.00203	4.87364	3.79386
7.13174	6.53806	38.73086	0.11941	8.94242	7.17511	1128.24311	9.01217	60.70278	55.75556	52.33844	3.89802	57.55607	5.24845	1.00000	6.19331	5.14857	32.73789
7.61198	6.70374	64.61354	0.86953	6.58880	9.05515	1191.93460	8.71664	111.73861	35.20889	59.51320	6.57874	54.11180	11.24844	1.00000	5.74931	9.12840	14.68392
6.43046	9.76964	56.49842	1.26818	4.62337	6.81564	1179.90163	10.03156	-75.11028	-15.21194	24.82168	7.00655	56.15921	7.96861	0.00000	6.86062	9.45937	
7.65839	4.88719	65.95347	0.13940	7.38904	6.47970	1153.96631	8.59167	82.85749	17.54907	52.02006	6.86792	58.41544	7.60949	1.00000	7.31452	5.04241	5.79858
5.46333	11.73343		0.31815	4.36639	6.20618	1105.99831	8.23067	140.73667	41.77583	55.86246	6.86192	24.54325	9.39557	0.00000	6.14665	7.09634	4.25393
7.38382	4.62347	76.75736	0.19442	5.21664	8.11237	1152.47252	6.35312	-81.79819	41.48199	31.86053	5.46847	40.62565	8.55234	0.00000	5.98528	5.79086	8.24763
5.32390	6.10849	70.92980	1.49368	6.58820	4.97912	1061.54860	7.61255	3.1631	41.91738	48.05527	8.56574	44.88040	9.42569	1.00000	7.07246	9.67902	12.69877
6.05537	4.14965	39.05306	0.29751	6.23840	8.44120	1127.97313	6.54239	-1.32471	51.40148	55.91037	4.12101	59.54839	8.81396	0.00000	7.84791	7.06769	10.78622
7.89753	7.37366	24.28333	0.48374	6.35585	7.49568	1164.50927	5.42541	13.44275	38.07789	51.36834	4.68197	60.31249	10.34947	0.00000	8.12985	8.03788	30.58933
8.61808	5.73637	51.74112	0.11092	3.99980	6.11940	1052.28362	6.84106	82.85749	17.54907	68.87143	5.54829	61.39288	5.51084	0.00000	7.96142	3.84153	48.06282
6.36706	7.65687	67.23341	0.62723	6.04266	8.61829	1077.46378	7.83038	-37.07167	-10.91111	29.94431	4.83374	47.04169	10.80817	0.00000	6.06704	8.55727	10.29654
6.81913	9.00718	60.84839	0.66587	5.82556	7.84613	1108.70141	9.22770	139.6853	35.815	47.80755	6.38622	28.90286	8.65418	0.00000	6.88767	8.63687	9.03129
8.52639	7.55134	91.89824	0.16341	7.31133	6.14785	1144.14844	1.86681	-93.12577	44.73941	32.29236	7.40243	65.61869	13.44114	0.00000	7.25276	5.22640	18.25697
7.86503	5.06066	73.10429	0.13417	8.95408	6.98536	1166.75618	9.05162	71.30633	21.34222	39.46464	5.32346	57.71745	4.43647	1.00000	7.39373	5.87430	16.97633
8.31252	7.88059	52.15369	0.08844	4.75841	6.73889	1089.05045	6.19128	84.13864	22.88783	39.52754	7.61121	66.81115	6.39005	0.00000	5.49199	2.73799	13.25019
8.12358	7.52993	53.77687	0.32690	6.81163	6.76633	1052.59403	4.78818	114.51667	33.78333	52.17873	3.01416	43.58192	12.15882	0.00000	6.21661	7.27956	12.68692
7.68419	5.67630	46.41706	0.50880	4.76850	6.33002	1123.53482	8.63378	112.9	27.85	56.48812	9.31103	45.35665	9.40291	1.00000	6.30809	8.32167	2.11123
6.41061	6.43958	57.51756	4.13428	7.58169	8.54025	1114.36252	6.97233	85.37752	22.10194	59.66331	9.99487	25.10705		1.00000	8.46789	10.75809	23.87878
8.60311	5.61235	37.52950	0.51308	4.40044	7.41716	1110.42545	7.15027	130.57211	45.75279	61.20223	9.12479	38.01824	6.75859	1.00000	8.00030	8.42608	4.54663
7.25523	5.02190	78.47360	0.17993	8.59125	7.85786	1172.43962	7.73957	-69.96533	43.91452	40.31076	7.21352	61.87706	6.14226	1.00000	8.80124	6.82340	30.41519
7.74727	6.33188	53.90973	0.12105	5.62602	7.08674	1165.35234	7.13275	-49.27306	-25.42778	35.44030	7.56693	35.02838	7.63736	0.00000	7.30430	5.21211	13.36189
6.56891	8.36423	59.64026	0.51828	6.87512	8.57675	1051.38956	8.53333	130.57211	45.75279	36.80573	5.60251	75.81472	10.60507	0.00000	6.24369	8.44949	11.48246
8.25204	3.69565	70.03982	0.90941	7.73262	7.98174	1120.24319	7.34095	35.34722	-23.85972	40.51826	3.97035	61.74722	10.14020	0.00000	7.77092	9.01436	7.64561
8.16285	6.31742	37.31622	0.47379	9.39523	6.23688	1194.92655	7.44964	100.04427	13.8196	75.39793	7.79748	73.85580	6.85400	1.00000	8.67562	7.95984	19.60003
6.96305	5.51057	53.28291	0.23892	9.15246	7.84766	1064.26331	8.50709	48.87498	38.45598	39.79896	6.21336	40.42681	6.04829	1.00000	6.40342	6.58971	10.36021
7.99623	3.93023	40.87993	0.24769	5.52267	7.11075	1161.22378	8.74899	79.87116	6.84019	49.60405	4.03673	44.52013	6.01353	0.00000	6.32032	7.39617	6.59790
6.93567	5.22132	46.35701	0.29003	11.23509	7.10859	1128.52873	8.31286	112.73333	38.40917	46.02964	3.31266	52.86603	4.75232	1.00000	5.37833	7.21051	14.25860
7.04306	7.95212	40.63095	0.12652	7.27850	6.97274	1109.39722	3.30402	120.4861	16.0438	39.27843	7.06673	52.06323	11.38879	0.00000	6.67731	5.36808	18.47684
6.29366	7.44858	66.19512	0.24107	8.24075	7.86818	1138.47665	7.96301	110.71639	-7.54972	37.40972	6.26808	52.72592	5.43509	1.00000	6.78645	6.53927	14.22341
