latitude	PAHs	warning	O3	C2H3NO5	PRES	TEMP	Pb	CFCs	PM2.5	CH4	H2CO	longitude	NOx	PM10	SO2	NH3	CO
29.53885	4.38925	1.00000	5.69387	6.04105	1073.07475	24.29438	63.46084	66.33158	6.78326	6.58529	46.44793	-95.44744	8.84881	8.19276	10.21412	6.36105	10.57960
-34.64167	9.36484	0.00000	10.97910	3.00341	1064.81870	19.36931	63.40290	77.14669	7.62855	4.55052	52.20311	-60.47389	5.92315	6.56491	6.93324	7.69510	3.76427
-34.74785	10.09057	1.00000	6.25767	2.01601	1072.22582	5.83941	60.00573	60.53108	8.46789	7.44632	60.07768	-58.70072	9.24701	6.46711	6.40457	6.96613	7.34059
30.46907	5.65802	0.00000	6.00853	5.62254	1067.98747	-1.45163	55.31687	72.22196	6.64951	5.62672	53.31221	70.96699	7.39285	8.05992	7.80798	6.48458	11.65866
-28.81833	4.93987	1.00000	7.69517	3.80640	1051.02393	23.63631	45.18761	69.54473	2.35039	7.74143	47.17950	-52.51028	7.41279	7.39734	10.05402	5.37003	4.97309
14.66	5.53324	1.00000	7.99186	4.45805	1178.49436	11.42244	57.52850	81.37482	8.18568	8.74846	58.06164	120.56528	7.95075	7.18895	8.81086	7.25669	10.06741
50.18545	9.50442	1.00000	6.55078	3.52969	1199.82904	7.76550	50.56655	78.62185	5.85630	6.15974	66.14133	27.06365	6.91340	7.42447	5.85664	8.16005	4.57718
39.32011	7.44914	1.00000	7.41453	1.29254	1092.82823	8.58595	40.66828	68.93128	6.87270	6.20489	62.09427	-76.51552	8.28025	5.75059	6.64502	7.74062	4.02409
44.22639	5.65195	1.00000	8.19239	5.87491	1085.44282	6.21621	31.50537	74.27754	4.90985	7.26247	57.95943	22.53083	7.20403	8.36350	7.65084	6.98560	8.30718
6.15038	7.77322	1.00000	4.04977	2.44774	1102.22246	20.10563	55.74862	71.88858	8.00002	4.42958	62.74719	6.83042	7.54664	5.86209	5.13935	6.80573	7.40045
50.18545	8.18160	1.00000	6.65790	2.37018	1194.79946	-4.33338	41.43531	79.02809	5.61535	6.50872	60.76112	27.06365	8.13141	6.91306	6.33364		5.36025
-29.2975	10.07506	0.00000	7.83912	2.29092	1051.55228	11.55725	67.03589	73.62649	10.35668	6.01844	74.03180	-51.50361	5.24570	6.42308	11.38908	7.21045	5.85223
30.16688	9.93574	0.00000	5.10019	2.62566	1199.49112	13.71376	59.74784	69.81032	8.67448	7.01559	28.43998	-96.39774	9.06309	6.30981	6.71347	7.80057	8.66776
41.66394	9.57205	0.00000	3.49649	3.12890	1192.45644	21.75717	52.05835	69.76961	8.41450	6.73390	36.10854	-83.55521	7.86698	6.83609	4.35228	8.23751	11.54422
38.58894	9.28710	0.00000	5.03085	2.67284	1100.91270	12.73498	58.39332	73.52848	8.11718	6.05434	40.86096	-89.99038	8.46618	6.44075	8.35621	8.90069	9.42021
23.15678	8.59613	1.00000	9.02194	6.49700	1151.02060	22.96551	34.50339	86.89232	4.05982	5.84732	46.24885	-81.24441	8.62444	8.31284	5.56315	7.46967	4.76359
0.51667	8.18399	1.00000	7.24139	2.17489	1092.46860	16.71881	38.38745	63.48334	4.87110	7.67888	91.27393	101.44167	7.81964	6.64523	5.58743	8.24962	4.48585
33.98154	8.01691	1.00000	11.82785	3.84435	1190.72238	9.23248	64.16747	62.30808	6.41854	11.51592	29.82678	-81.23621	8.28253	7.48281	7.09960	5.84824	7.14730
48.98333	8.39017	1.00000	3.00931	2.74971	1120.14080	14.64652	63.46514	74.85399	9.20226	4.12609	40.58137	2.61667	6.50057	6.85768	6.13491	6.77931	8.56083
11.84962	8.74668	1.00000	3.34776	2.09879	1137.48366	5.00055	73.14318	65.96449	7.84193	7.08895	70.20119	-86.19903	8.11409	6.26635	6.23129	6.83824	12.27214
50.86079	9.06825	0.00000	6.38005	4.79683	1199.02142	8.58884	56.24108	76.66844	9.69380	7.04360	54.98909	17.4674	7.07443	7.70020	5.61461	8.21488	9.57268
35.815	5.56848	1.00000	7.44457	4.50665	1149.54682	24.06167	53.74459	78.09672	7.98260	8.25273	50.03423	139.6853	8.61453	7.48476	8.92045	7.09480	10.30784
5.30383	6.58402	1.00000	10.73831	1.96972	1191.66798	21.63413	24.62642	66.87331	5.65421	9.66644	54.28750	-1.98956		6.44462	6.73613	7.53167	7.15468
11.15583	8.53325	1.00000	7.07473	4.28704	1132.59285	15.50993	57.84450	68.15305	8.50369	6.72791	55.17705	42.7125	7.97859	7.29614	8.25639	7.26777	2.52303
9.89206	9.11264	1.00000	3.88223	2.39899	1062.54669	-0.87378	48.98746	79.01220	4.77879	5.48735	77.64166	43.38531	7.93781	6.19968	4.39276	7.40235	8.26624
36.65	10.27157	0.00000	6.03541	2.13995	1197.42026	26.28322	76.03219	73.36906	8.57015	6.76657	44.57020	138.31667	8.09617	5.94527	6.68977	7.13670	7.89423
-27.76952	8.24695	0.00000	6.79307	2.52582	1118.53429	22.69214	41.64010	76.99075	9.40189	8.74145	38.29772	30.79165	7.55863	5.82924	5.57595	6.85211	8.22155
43.41949	5.88945	1.00000	9.17416	2.51531	1175.09557	13.78309	79.33107	69.98407	6.28630	9.87278	64.63952	77.0202	6.74737	7.02260	9.56704	7.98972	7.42433
-28.81833	6.72652	1.00000	9.27483	4.27581	1068.69450	13.10571	39.58875	69.43905	2.77626	9.39678	68.25137	-52.51028	7.83516	7.43502	9.09590	7.73742	4.72370
36.65	7.94318	0.00000	4.95435	2.30123	1187.12869	19.68532	52.12095	66.17786	8.34373	7.24919	69.34872	138.31667	6.70278	6.48033	6.49666	7.27483	
35.72917	5.61875	0.00000	9.96098	5.40930	1112.63485	21.42210	60.15268	84.28240	7.51443	2.69952	22.97115	10.58082	5.98411	7.96846	5.20317	6.09549	9.16896
40.70995	7.03331	1.00000	11.42543	13.20040	1124.65973	8.17981	69.19012	80.91320	6.85195	11.06273	32.52983	0.57856	6.84596	9.13015	7.48654	7.45523	7.23148
-8.28333	7.60589	1.00000	10.18978	5.52439	1161.07261	17.84056	42.61015	76.06451	4.72544	10.44953	68.49690	-35.03333	8.23173	8.07506	8.54258	6.36300	6.43396
41.55947	9.64425	1.00000	4.84960	6.78816	1134.25998	26.84713	59.42339	74.45269	6.62577	3.73552	67.94311	14.66737	5.76846	8.22393	7.32115	7.97915	5.43587
-27.76952	5.33713	1.00000	7.25135	3.67507	1131.66977	7.59332	53.27274	62.55322	5.50832	7.89380	48.57751	30.79165	6.56511	7.45117	9.93983	8.26943	8.68583
3.3285	10.98239	0.00000	9.87183	2.45736	1089.00035	-7.67050	58.02997	72.07075	8.09283	5.12866	33.23036	99.1625	8.84950	6.25208	8.54041	9.08170	4.36022
41.27194	8.43623	0.00000	7.86894	5.51265	1084.19487	12.31775	30.27240	72.13812	10.36132	5.68085	39.89064	123.17306	8.86262	7.98063	10.93671	7.91275	6.29379
-19.72806	5.21384	0.00000	8.64364	3.71894	1108.70610	21.05780	54.94637	66.04786	10.42501	6.95820	40.02266	-50.19556	7.73345	7.07083	8.74195	7.29155	5.83000
48.90472	9.20837	0.00000	6.29905	2.99845	1064.53270	30.24935	36.28570	77.74662	9.72953	8.82172	63.00877	2.2469	7.53940	7.31298	4.52241	5.80256	9.60210
33.43443	7.53006	1.00000	10.85171	7.49243	1090.89209	25.06580	52.38617	78.47308	6.13358	10.41930	23.38189	-5.22126	7.67891	8.25538	8.52946	6.98230	8.61506
-7.81667	9.01978	0.00000	8.90883	4.91774	1171.25440	22.22570	51.04175	87.42696	9.48857	7.24961	55.77461	112.01667	8.80626	7.96269	8.25728	7.60019	6.06985
6.84019	7.62689	0.00000	5.35563	1.93992	1139.87896	17.36281	41.65559	79.33853	8.77367	9.18598	57.49131	79.87116	7.42011	5.72741	3.55310	7.09220	9.74920
43.61058	7.51455	1.00000	4.60208	5.50511	1163.82796	2.32289	57.34149	82.60742	8.84383	6.07520	71.36994	1.33467	7.02833	8.22177	7.43271	7.66079	4.29522
50.75	8.05020	1.00000	11.75067	9.11174	1115.97074	4.05504	39.45614	71.88066	7.39497	11.45938	69.55152	2.25	7.12561	8.66619	7.59547	6.20682	8.80652
52.2	6.79054	1.00000	4.85664	2.32906	1112.82166	27.14695	56.59072	70.99073	8.46427	6.26061	66.55002	8.63333	7.92876	6.39139	6.24469	6.60430	6.27271
16.06213	9.87437	1.00000	6.49721	2.44576	1134.28076	16.10705	41.53374	66.81284	6.13835	4.84034	51.18176	76.0586	6.59786	6.97803	7.00737	6.51349	6.29045
40.81	7.86690	1.00000	8.02136	5.39059	1110.26036	12.41609	61.97770	67.97247	6.16616	6.63960	33.06873	-73.9625	6.18657	8.21213	6.06008	8.49384	4.91645
40.49748	6.64930	0.00000	5.76557	5.17216	1196.43999	13.93224	47.57904	71.67809	8.51876	9.56725	51.06860	44.7662	9.19088	7.98168	8.40614	7.25974	8.95321
42.819	7.89713	0.00000	4.84860	1.42123	1088.21329	28.84539	74.89645	80.87806	9.30358	8.57683	75.12486	47.1192	7.18157	5.86848	3.63322	6.16918	10.91880
37.95143	4.95849	1.00000	7.70386	4.53104	1171.53661	12.38966	63.63175	70.29084	5.92622	7.81899	60.42859	-91.77127	8.02236	7.75531	9.94418	7.48989	9.24719
25.13915	7.52033	1.00000	11.57018	2.94300	1140.21230	23.41633	46.88937	63.54131	3.82237	10.63024	56.68010	73.06784	5.39496	7.01470	8.61398	7.68610	6.29439
38.58894	6.84390	1.00000	11.38786	8.43497	1073.63066	6.96780	58.66134	73.88105	7.79164	10.03715	34.56007	-89.99038	7.64995	8.62452	5.28500	6.06134	8.66598
52.86147	8.34904	1.00000	4.42991	2.81522	1084.01442	26.31659	66.88663	61.87381	6.57367	7.44147	64.51920	9.5926	7.14162	7.25393	6.81855	6.10216	5.42986
41.75338	8.33721	1.00000	6.00795	3.82738	1090.73397	-2.81127	59.03963	71.13557	7.14214	5.36942	54.01535	-86.11084	7.34036		5.24733	8.00221	6.80028
49.03685	8.48042	1.00000	5.18803	6.22999	1117.36292	1.83094	61.21709	73.92761	8.66074	4.95981	75.24152	8.70745	7.03150	8.12596	7.26567	7.81371	6.08851
41.91886	12.87554	0.00000	8.32761	3.20164	1063.53680	0.66406	59.81228	66.48219	5.67998	5.99714	74.15921	8.73812	7.60842	7.23297	8.49849	7.92944	5.88079
35.72917	8.75913	0.00000	13.03261	3.13016	1092.22403	4.91296	49.93038	72.61264	8.51669	4.41297	56.24386	10.58082	7.39742	6.78074	4.88048	5.25469	2.90441
10.63504	5.41836	1.00000	6.85705	4.64049	1161.62924	3.63492	68.05974	78.02963	4.57689	7.95611	60.06246	-85.43772	7.08252	7.53869	11.72012	8.57866	8.22687
-20.25333	8.60439	0.00000	8.32205	3.73744	1177.13523	12.28383		60.63695	7.39923	7.29330	43.47424	-43.80139	7.14876	7.61696	7.58952	5.99725	6.60146
39.12074	4.85506	1.00000	7.85444	2.17553	1108.97872	20.62758	52.28060	75.78707	7.82336	7.74145	27.50952	27.18052	8.19584	7.59320	7.08289	8.91373	9.40263
-19.7625	4.51998	1.00000	6.53870	2.98067	1104.77768	9.95642	61.14944	82.95175	5.08071	7.31937	30.88984	-44.31389	7.49957	6.56817	9.77351	7.16941	7.40549
7.50251	8.99405	0.00000	9.08925	1.99739	1076.00298	12.48088	39.90639	82.61996	6.32551	4.79367	41.98610	5.06258	6.95935	7.06201	6.90944	6.10633	6.65082
41.50343	9.54842	0.00000	6.12360	7.94135	1153.01023	5.75254	61.31838	70.99786	8.29883	8.58104	48.05387	-74.01042	7.61954	8.72492	7.28986	7.96074	7.35098
-3.5403	7.68266	0.00000	7.37317	3.18368	1080.32962	16.24921	48.91554	70.51874	9.53640	8.08844	65.24125	118.9707	7.22066	6.20109	9.33854	5.37879	7.26932
35.61452	9.34912	1.00000	6.56885	1.23283	1051.51843	12.94219	56.08307	64.60437	5.13136	4.06206	57.88217	-88.81395	6.70709	6.67286	5.27951	6.83170	6.55893
-1.9487	5.24660	1.00000	7.80042	2.59671	1175.01186	7.52618	42.45625	82.00237	6.51843	7.86648	28.77222	30.4347	8.11396	7.28330	9.06575	9.21496	9.59101
33.52253	10.05619	1.00000	6.90109	4.88155	1055.27256	16.97997	55.87386	81.51145	6.43350	4.46189	53.10678	-117.70755	6.95680	7.77375	6.92363	7.25759	3.38497
20.74122	9.32148	0.00000	5.25431	4.56288	1183.70472	33.54069	54.74206	73.67741	8.90186	6.52372	65.79662	-100.44843	7.20970	7.71032	6.71867	7.83923	9.18337
40.70995	9.02404	1.00000	7.84570	4.66206	1180.27491	13.12235	58.66262	73.50202	4.61411	5.71790	28.32879	0.57856	5.94567	7.42899	5.46983	7.11879	6.99366
55.62047	8.92461	1.00000	8.52505	2.93173	1176.41367	8.04750	55.02170	78.54931	7.12813	6.34318	46.90707	37.49338	7.24940	5.87990	7.51130	8.89408	4.63593
31.92923	8.45343	1.00000	6.64665	2.99822	1161.68324	25.51346	60.75509	67.27120	5.52379	6.79196	36.17228	34.86563	9.35051	6.04662	5.26090	6.53618	6.36716
37.19723	6.92955	0.00000	5.19288	8.94056	1051.28039	12.64420	58.11078	79.25669	7.44512	8.88633	52.46809	122.05228	7.22948	8.67307	7.59576	9.03453	10.07366
52.66277	8.40824	1.00000	8.52045	2.75700	1127.79421	14.83047	77.32137	83.68719	2.15551	8.15870	56.69155	-2.01111	5.85417	5.39655	4.90355	6.24701	9.24161
-8.28333	5.80671	0.00000	7.87333	3.51276	1064.83283	15.42450	51.90639	79.42747	10.75031	7.26432	54.18489	-35.03333	5.73412	6.70456	9.18644	9.27241	7.05686
20.88953	5.25787	1.00000	11.12539	4.39049	1180.50401	14.82328	55.44557	73.46419	7.48766	8.52499	57.09420	-156.47432	7.56628	7.13574	3.56370	7.54190	8.30147
4.94273	8.20709	1.00000	3.96195	3.35350	1130.05047	22.67978	87.79142	75.22261	5.68844	5.36916	53.64572	15.87735	6.01892	7.12631	4.41839	6.79767	9.56910
8.35122	8.88380	0.00000	4.01859	4.62934	1050.32373	15.10464	24.14022	77.62732	7.87335	7.78906	65.66784	-62.64102	7.88365	7.86433	7.45296	6.14520	10.09964
36.61033	9.27705	1.00000	5.97177	3.17706	1125.69961	29.47800	46.44645	69.94573	6.16047	6.19095	58.76587	-88.31476	7.55897	6.31823	6.44564	6.73881	6.56689
23.15678	9.20706	0.00000	5.89013	3.57623	1166.40990	18.31069	29.50360	76.45846	6.09350	8.85011		-81.24441	6.31742	6.37250	9.69545	8.62355	5.44256
37.58105	10.74358	0.00000	6.01891	5.16171	1062.93358	28.99248	40.54162	59.62567	9.17722	7.23492	62.21071	29.26639	7.28314	7.99515	5.63090	7.65347	8.63754
55.67938	7.64787	1.00000	5.77612	2.36260	1151.70265	12.85608	35.86102	63.05350	5.88396	8.12335	41.76962	12.53463	8.02607	6.65721	6.05620	8.15905	5.67324
38.58894	8.46118	1.00000	5.11917	4.07723	1119.29754	7.02039	55.65492	58.45719	6.59131	6.80067	42.40395	-89.99038	8.73369	7.26998	6.57378	7.15149	6.28454
51.955	8.70364	1.00000	6.04309	2.38153	1165.04086	1.30445	44.43323	67.89952	6.37007	5.71628	70.11112	5.22778	6.81074	6.38331	5.56786	7.93903	8.63284
37.73604	7.70946	0.00000	7.03724	2.17117	1191.61474	2.16535	56.56050	67.62699	8.51548	9.19246	70.82835	-120.93549	6.76642	6.44663	8.51729	7.52362	8.11520
51.65333	9.26198	1.00000	7.26883	2.52190	1063.42742	21.94801	55.36608	60.08179	4.14757	4.58588	47.89821	5.2875	8.41024	6.41874	4.51936	8.05246	8.41006
20.88953	9.05152	0.00000	6.64101	4.83945	1095.51893	14.97133	49.68733	74.48308	9.20182	7.09078	43.67575	-156.47432	7.54169	7.53764	11.41210	8.29866	6.10959
13.65805	9.49961	0.00000	4.74163	4.38523	1188.61944	2.60873	48.31452	66.98716	8.24143	8.43411	64.59626	102.56365	8.14224	7.06353		7.44681	9.70110
47.48444	5.98917	1.00000	8.41243	5.55736	1111.18630	36.35287	83.49747	74.87434	6.03916	8.36749	67.47504	36.25361	8.02440	7.99917	9.11048	7.53937	9.16598
51.04962	7.09037	1.00000	9.02360	5.32987	1158.71265	21.96543	31.17913	72.42873	4.46863	9.32972	62.09245	12.1369	7.50887	8.11329	9.96416	7.07186	7.76794
45.9836	7.13992	0.00000	6.61898	4.26033	1161.76508	20.68845	68.76162	72.11079	8.80269	8.34250	49.10959	12.70038	8.45449	7.22166	6.37824	4.24767	8.03891
58.23583	7.95110	0.00000	8.24816	4.29979	1122.86115	0.82756	51.55973	59.65780	9.24862	6.87709	65.09900	92.48278	8.01638	7.27910	8.66562	7.89911	6.03703
34.09668	7.12855	0.00000	8.80416	2.18827	1169.22895	8.09491	58.91992	82.68209	9.28407	6.20644	52.86795	-117.71978	6.76209	5.48693	8.33519	5.15998	6.23723
12.97389	8.84811	1.00000	6.76185	1.65650	1135.96815	18.70667	51.73909	79.28874	6.35098	5.36086	39.04196	123.99333	7.56248	6.25936	6.71849	9.76695	5.32357
-10.33333	7.74688	0.00000	8.86442	7.98349	1189.20775	3.75007	67.34863	81.67107	9.39253	4.51080	63.31777	39.28333	7.17922	8.55876	9.53367	7.02393	5.01527
30.16688	6.06687	1.00000	11.64199	6.36373	1060.85168	-1.94718	28.43900	56.78217	6.02115	10.07959	51.06545	-96.39774	9.64205	8.00658	6.13012	7.31437	6.62174
36	7.06414	0.00000	6.91646	1.47223	1055.29479	31.27025	57.17172	53.48454	7.19593	11.66214	41.37638	139.55722	6.77989	3.90466	8.66617	8.12973	6.33756
51.95838	7.36616	1.00000	7.22725	3.93136	1199.88723	23.87138	44.74624	69.88290	6.84309	6.95588	47.69807	4.47124	7.32998	7.47205	5.61343	7.69985	5.38785
46.08333	7.13140	0.00000	10.22100	2.62634	1152.77514	25.92004	56.68335	62.88335	5.41877	10.38477	61.32207	122.08333	7.45100	5.31248	8.37278	9.16750	7.03931
32.55531	8.03037	1.00000	3.93789	4.11766	1070.59569	29.09213	58.21750	76.17011	5.97679	4.83015	59.44549	76.12647	7.41451	7.70100	4.64567	10.00857	8.62847
38.37255	5.51111	0.00000	7.87326	10.37908	1051.96704	31.81336	38.61440	76.92766	10.39774	7.08983	45.53113	34.02537	8.55784	8.69467	8.00244	7.99350	8.45074
40.24537	5.10828	1.00000	8.14055	2.07345	1069.91870	13.75952	54.60340	72.55310	3.71093	8.62570	18.44984	-75.64963	7.44280	5.74732	10.44600	8.14202	5.91875
48.07667	7.45085	0.00000	5.66909	4.55639	1112.47295	2.42681	42.79049	74.93292	7.42753	10.91523	48.30283	8.64409	8.57119	7.43050	4.82467	7.36078	8.94231
1.6561	5.60201	1.00000	6.91742	3.45929	1129.94561	-0.43235	55.07302	69.48528	7.08908	6.46581	48.12477	103.6032	5.77293	6.12365	6.81210	7.22976	10.61907
-27.50578	5.43005	1.00000	8.23786	2.62567	1179.53379	13.93154	52.28480	83.77105		7.57121	61.26489	153.10236	7.22064	5.18924	8.44361	5.74210	9.68685
41.63976	7.43649	0.00000	4.82205	2.54152	1178.89572	15.57705	48.24700	84.70250	8.95586	8.86443	47.41342	2.35739	7.47549	7.37406	4.30654	7.86435	10.93263
53.19146	8.32836	1.00000	5.95955	2.21488	1112.38971	23.64896	28.52633	77.37468	4.09292	6.44529	44.61120	-2.52398	8.86035	6.06711	3.96899	6.75579	7.92386
53.00974	9.72155	0.00000	6.79503	2.81989	1175.29030	23.43168	54.34618	89.93336	8.50102	8.69316	50.20074	-3.05814	6.34729	6.90621	5.67167	9.23826	7.27453
36.19278	8.56951	1.00000	5.94571	2.01175	1164.02929	28.80419	67.57991	70.64610	5.75653	5.07771	71.14538	117.65694	8.14819	6.73849	5.12832	6.69557	7.45709
40.63316	9.68095	0.00000	5.59373	5.58602	1131.50265	12.43819	68.94059	56.34375	9.02352	7.66500	33.72193	-74.13653	8.86335	7.94772	3.59383	7.87847	9.36381
40.24537	9.57114	1.00000	5.83574	5.94901	1134.68421	17.43304	47.46346	78.01986	4.20898	6.32681	47.32201	-75.64963	6.71535	8.19155	5.77188	6.90161	5.41484
35.48199	10.28235	0.00000	9.75389	20.77338	1158.92076	11.94768	44.87511	86.92904	7.75627	4.26938	76.45317	137.02166	6.91380	9.65358	8.47409	8.78181	3.77916
54.48147	9.38997	1.00000	5.62572	3.89420	1143.06425	24.09936	47.90980	73.86582	6.19165		30.54220	53.47103	6.71030	7.41588	6.31252	8.00287	4.50939
10.66668	6.62452	1.00000	10.83169	2.88163	1099.16639	0.22547	47.53973	76.77898	6.10544	11.48576	60.58095	-61.51889	9.18693	7.24109	9.82839	6.45170	6.73784
9.6531	8.19743	0.00000	8.79420	3.17535	1085.29472	-1.44082	53.31686	56.76715	8.63327	10.64768	32.85478	124.3697	5.66391	7.35476	8.86397	7.37511	3.42893
0.46005	9.90449	0.00000	7.84445	5.26538	1182.13247	25.68868	42.13417	79.53301	9.08205	7.38181	71.04284	34.11169	7.29210	8.03858	9.09273	6.74045	6.47660
10.15031	8.41237	1.00000	6.03554	2.92340	1179.85521	17.35898	49.94372	66.28119	5.42962	5.32312	75.22086	-73.9614	8.08365	6.03239	4.40169	7.01662	8.02980
43.61062	7.11803	1.00000	11.98321	1.75302	1100.10217	16.49477	23.43658	82.60013	8.45133	11.73578	66.05454	-72.97261	5.86796	6.35408	7.05973	5.81568	8.48402
33.78333	9.11927	1.00000	6.48318	12.63866	1190.62144	7.38621	26.79921	77.86054	4.87684	5.58148	56.00799	114.51667	6.47659	9.11521	5.43928	5.69754	3.56670
37.05944	5.28121	1.00000	7.99873	2.52281	1100.23256	18.48865	66.62417	79.09633	4.40805	7.11783	73.07940	37.3825	8.74178	6.50578	9.10729	7.73988	8.30597
42.52787	9.59163	0.00000	8.18105	22.74071	1173.46805	5.96127	58.03960	67.87488	6.93292	6.84691	56.31066	-70.92866	7.24080	9.73364		6.58737	5.03728
53.5942	8.64920	1.00000	8.39528	2.49312	1118.36073	29.80734	70.79307	79.37999	3.69231	7.54916	59.23193	25.8191	7.16963	6.88610	4.63053	7.02747	3.67570
47.76232	6.85992	1.00000	8.05181	6.41386	1062.19228	16.12323	58.71326	65.71221	7.66009	9.59444	53.91676	-122.2054	7.51078	8.12864	10.25673	7.74467	10.31843
33.54428	7.34432	0.00000	9.35896	3.35386	1123.48208	1.22112	60.78762	80.83472	9.45723	6.49117	64.42780	-84.23381	6.49301	7.25046	7.96286	8.66521	5.20768
42.52787	8.49858	1.00000	5.01074	2.13023	1100.97818	24.83599	43.21404	66.17889	8.05387	6.12361	39.62562	-70.92866	7.79211	6.36704	7.45065	5.88403	5.70162
-8.28333	6.79908	0.00000	6.34699	3.72983	1157.96376	-1.10578	42.22252	65.34619	6.46054	8.20400	42.42307	-35.03333	5.06150	7.45150	10.76677	7.69371	10.17466
13.44581	7.16593	1.00000	3.85573	3.10453	1056.33188	0.76182	44.54336	81.35068	7.26213	7.18395	30.17480	101.18445	7.96732	7.07540	5.62012	8.06991	6.38306
6.46346	8.62162	0.00000	5.98263	3.83720	1121.62461	8.93118	60.50608	74.03202	6.38556	8.64471	78.87613	-2.31938	5.88588	7.17021	10.82318	6.78221	6.40492
39.09112	3.80638	1.00000	4.22887	5.76465	1096.21649	31.35630	49.97625	79.86792	8.22284	4.85001	34.56163	-94.41551	8.67707	8.16414	9.02982	7.10480	12.69343
34.25628	6.62736	1.00000	8.00154	2.77172	1181.47505	21.53132	53.81741	59.16574	4.49715	8.72450	48.24499	-78.04471	8.25684	6.05445	10.26506	5.31946	7.98142
6.15038	6.29298	1.00000	7.05536	5.97225	1086.61667	13.82851	56.77565	70.67115	6.04297	8.41685	47.82901	6.83042	6.57219	8.21544	11.53417	7.25152	10.18719
30.5427	7.83185	1.00000	4.60173	4.64516	1081.73486	17.69565	42.32439	75.79975	6.62444	6.97287	51.13208	-97.54667	7.24996	7.55200	5.12500	8.14024	6.18202
32.54044	9.10543	0.00000	5.53988	10.94615	1121.59238	15.77046	52.61978	78.56816	8.05915	9.99729	28.56039	-82.90375	7.54504	8.84776	4.25078	8.98676	8.51228
