code	station	longitude	latitude	QoS	revision
GB	Brierley Hill	-2.12139	52.48173	accep	06/24/2017, 00:00:00
CO	Puerto Colombia	-74.95472	10.98778	accep	05/27/2015, 00:00:00
TN	Siliana	9.37082	36.08497	accep	05/10/2016, 00:00:00
DE	Losheim	6.74549	49.5099	building	06/12/2019, 00:00:00
LK	Dehiwala-Mount Lavinia	79.87116	6.84019	maintenance	05/16/2014, 00:00:00
CM	Idenao	9.00472	4.2475	average	04 May 2022
DE	Schleswig	9.5586	54.52156	average	02/27/2013, 00:00:00
US	Lebanon	-84.20299	39.43534	excellent	2017/08/28
RE	Saint-Denis	55.4504	-20.88231	accep	2014-01-28
AU	Baulkham Hills	150.99292	-33.75881	accep	15 Dec 2019
TW	Magong	119.58627	23.5654	maintenance	28 Nov 2018
US	North Tustin	-117.79394	33.76446	building	2013-09-12
CD	Beni	29.47306	0.49113	good	2020/10/27
JP	Nonoichi	136.61667	36.53333	maintenance	28 Jan 2021
DE	Pfullingen	9.22796	48.46458	average	21 Mar 2016
US	Leland	-78.04471	34.25628	building	01/05/2016, 00:00:00
US	Stockbridge	-84.23381	33.54428	good	10/17/2018, 00:00:00
TT	Port of Spain	-61.51889	10.66668	excellent	2020/09/20
US	Searcy	-91.73625	35.25064	good	01 Jul 2022
DE	Trossingen	8.64409	48.07667	accep	18 Feb 2021
CO	Puerto Colombia	-74.95472	10.98778	maintenance	23 Oct 2016
NG	Gaya	9.0027	11.86064	maintenance	11/24/2013, 00:00:00
DE	Kirchlengern	8.63333	52.2	accep	2020-08-07
IN	Dombivli	73.08333	19.21667	accep	20 Mar 2014
IN	Elamanchili	82.85749	17.54907	average	2017-11-07
US	Canton	-83.48216	42.30865	excellent	10 Aug 2013
ID	Kudus	110.8405	-6.8048	good	2017/02/03
IN	Robertsonpet	78.27539	12.95629	good	2019-09-12
US	Keene	-72.27814	42.93369	average	10 Apr 2014
US	Kahului	-156.47432	20.88953	accep	2014/11/15
JP	Suzaka	138.31667	36.65	building	01/09/2016, 00:00:00
PL	Brzeg	17.4674	50.86079	good	12/21/2021, 00:00:00
CN	Pucheng	118.53333	27.92333	accep	12/20/2012, 00:00:00
DE	Walsrode	9.5926	52.86147	average	2015-12-16
BY	Novogrudok	25.8191	53.5942	good	2019/11/22
IT	Tortona	8.86374	44.89784	accep	04 Dec 2012
AR	Tandil	-59.13316	-37.32167	average	04/26/2021, 00:00:00
CN	Xiangtan	112.9	27.85	average	2021-04-02
ES	Amposta	0.57856	40.70995	excellent	02/15/2021, 00:00:00
IR	Darreh Shahr	47.3799	33.14447	accep	2021-08-05
US	Kahului	-156.47432	20.88953	accep	28 May 2017
IN	Jais	81.54855	26.2649	accep	04/18/2018, 00:00:00
IN	Haldwani	79.5286	29.22254	good	2019/12/08
JP	Suzaka	138.31667	36.65	good	2018-10-17
PR	Aguadilla	-67.15407	18.42745	accep	02/13/2013, 00:00:00
US	Venice	-82.45426	27.09978	accep	31 Mar 2021
CI	Bonoua	-3.59625	5.27247	building	08/06/2015, 00:00:00
DE	Landshut	12.16179	48.52961	excellent	2020/03/13
GH	Tarkwa	-1.98956	5.30383	good	2018/05/31
NG	Nkpor	6.83042	6.15038	excellent	12 Oct 2014
BR	Iturama	-50.19556	-19.72806	excellent	2018-11-19
RU	Stupino	38.07083	54.90083	average	13 Jul 2016
UA	Polohy	36.25361	47.48444	accep	2018-06-13
PK	Naushahra Virkan	73.97117	31.96258	excellent	05/01/2016, 00:00:00
US	Fresno	-95.44744	29.53885	good	05 Feb 2017
RU	Alatyr’	46.5813	54.8421	average	05/29/2013, 00:00:00
IL	Rahat	34.75699	31.39547	excellent	2021-06-10
NG	Yenagoa	6.26764	4.92675	excellent	13 Jun 2019
BR	Carlos Barbosa	-51.50361	-29.2975	excellent	06 Aug 2014
US	Massapequa	-73.47429	40.68066	good	04/04/2022, 00:00:00
MX	Heroica Matamoros	-97.50417	25.87972	accep	2022-06-06
DE	Korschenbroich	6.51352	51.19139	accep	03/13/2020, 00:00:00
US	Hutto	-97.54667	30.5427	good	24 Feb 2022
CN	Changshu City	120.74221	31.64615	building	03/13/2015, 00:00:00
BR	Soledade	-52.51028	-28.81833	accep	2019/03/10
FR	Colomiers	1.33467	43.61058	excellent	2022-02-15
TZ	Nyangao	39.28333	-10.33333	average	2017-03-10
UZ	Andijon	72.34424	40.78206	good	2022/02/12
BG	Montana	23.225	43.4125	average	15 Apr 2016
IN	Kheda	72.68533	22.75218	accep	03 Dec 2018
TT	Port of Spain	-61.51889	10.66668	excellent	11 Mar 2019
US	Lexington	-81.23621	33.98154	average	2020/10/11
ES	Talavera de la Reina	-4.83076	39.96348	average	03/19/2015, 00:00:00
DE	Friedberg	10.98461	48.35693	accep	03/09/2021, 00:00:00
PS	East Jerusalem	35.23388	31.78336	good	02 Feb 2021
DE	Landshut	12.16179	48.52961	accep	05/26/2020, 00:00:00
ID	Besuki	113.69785	-7.73379	good	08/06/2021, 00:00:00
IE	An Muileann gCearr	-7.35	53.53333	building	2020/07/05
RU	Privolzhskiy	46.04833	51.40944	building	18 Nov 2020
BR	Pato Branco	-52.67056	-26.22861	building	2020-12-09
US	Greenville	-91.06177	33.41012	excellent	2013-10-01
DE	Walsrode	9.5926	52.86147	accep	2021-11-26
IN	Sambalpur	83.97573	21.46527	excellent	03 Nov 2014
BR	Aracaju	-37.07167	-10.91111	excellent	2018/06/21
EE	Narva	28.19028	59.37722	average	2013-02-24
CN	Taozhuang	117.33333	34.85	average	10/16/2021, 00:00:00
NZ	Gisborne	178.00417	-38.65333	good	10/05/2015, 00:00:00
CO	El Copey	-73.9614	10.15031	average	2014-08-16
BE	Temse	4.21372	51.12794	good	2019/03/14
ID	Kediri	112.01667	-7.81667	average	2016-12-16
ES	Villaquilambre	-5.55835	42.64685	average	08 Dec 2013
ID	Sukabumi	106.92667	-6.91806	good	2020-10-27
SL	Freetown	-13.2356	8.48714	accep	2017-09-17
CN	Licheng	113.82465	23.29549	average	21 Apr 2018
US	Dumont	-73.99681	40.94065	building	12/10/2012, 00:00:00
US	Muskogee	-95.36969	35.74788	average	25 Dec 2021
AF	Sar-e Pul	65.93249	36.21544	average	02/08/2021, 00:00:00
TR	Bergama	27.18052	39.12074	excellent	05/05/2014, 00:00:00
IN	Haldwani	79.5286	29.22254	accep	2017/01/08
IR	Aleshtar	48.26258	33.86419	excellent	11/14/2019, 00:00:00
HK	Tsuen Wan	114.10479	22.37066	average	09/24/2017, 00:00:00
GB	Belper	-1.48119	53.0233	building	2013/10/03
FR	Saint-Omer	2.25	50.75	average	2014-12-22
IN	Hungund	76.0586	16.06213	acceptable	2019-02-05
US	Middle River	-76.43941	39.33427	excellent	2021-07-22
GN	Camayenne	-13.68778	9.535	building	10/12/2018, 00:00:00
BR	Rio Real	-37.93278	-11.48472	good	08 Oct 2015
KR	Nonsan	127.08472	36.20389	average	09/10/2020, 00:00:00
RS	Negotin	22.53083	44.22639	good	2022-08-01
CL	San Bernardo	-70.6996	-33.59217	excellent	21 Jan 2018
CD	Kamina	24.99798	-8.73508	excellent	2018-08-24
US	Massapequa	-73.47429	40.68066	good	10 Sep 2014
IT	Campobasso	14.66737	41.55947	good	2016/06/05
NG	Igbara-Odo	5.06258	7.50251	excellent	2014-06-26
DE	Trossingen	8.64409	48.07667	average	10/21/2013, 00:00:00
RU	Malakhovka	38.02486	55.64776	accep	11/07/2017, 00:00:00
CA	Norfolk County	-80.38297	42.8334	excellent	2014-05-23
IE	Athlone	-7.95	53.43333	good	2015/07/29
IR	Isfahan	51.67462	32.65246	building	2017/07/25
JP	Hita	130.94098	33.3213	accep	02/15/2016, 00:00:00
IN	Amreli	71.21169	21.59983	accep	10/31/2015, 00:00:00
US	Abilene	-99.73314	32.44874	maintenance	2015/03/24
KR	Nonsan	127.08472	36.20389	average	04/24/2022, 00:00:00
AR	Aguilares	-65.61427	-27.4338	excellent	2022-02-15
DE	Rudolstadt	11.34046	50.72043	good	2018/03/17
US	Clermont	-81.77285	28.54944	excellent	2018/07/31
CZ	Most	13.63617	50.50301	average	08/12/2016, 00:00:00
MZ	Maxixe	35.34722	-23.85972	excellent	22 Jun 2021
HK	Tsuen Wan	114.10479	22.37066	excellent	2014-05-06
RU	Severodvinsk	39.8302	64.5635	accep	03 Feb 2019
DK	Frederiksberg	12.53463	55.67938	good	07/15/2017, 00:00:00
US	Saratoga Springs	-111.90466	40.34912	good	2013-08-16
JP	Sasayama	135.21667	35.06667	good	14 Mar 2018
US	Pleasant Prairie	-87.93341	42.55308	building	2017-05-25
ME	Budva	18.84	42.28639	average	30 Apr 2022
DE	Zeitz	12.1369	51.04962	good	06/25/2022, 00:00:00
CO	El Copey	-73.9614	10.15031	excellent	2013-10-28
IN	Deoli	75.37991	25.75728	average	2016-11-03
GB	High Wycombe	-0.74934	51.62907	excellent	24 Aug 2016
JP	Yao	135.6	34.61667	accep	2020-10-08
IT	Misterbianco	15.00913	37.51803	good	04 Mar 2021
PH	Baliuag	120.89694	14.95472	excellent	01 Oct 2014
MW	Salima	34.4587	-13.7804	accep	06 Sep 2021
TH	Nakhon Si Thammarat	99.96667	8.43333	accep	02/10/2019, 00:00:00
CN	Hushitai	123.50266	41.94175	average	2014/12/17
CD	Beni	29.47306	0.49113	good	2019-10-19
TJ	Vahdat	69.01354	38.55632	accep	2019-03-27
BE	Denderleeuw	4.07601	50.88506	accep	2016/10/11
BR	Cabo	-35.03333	-8.28333	excellent	09/06/2014, 00:00:00
IN	Sambalpur	83.97573	21.46527	average	28 May 2014
BR	Muritiba	-39.25	-12.91667	building	2022-06-26
TR	Silvan	41.00817	38.13708	good	2014-05-29
NG	Igbara-Odo	5.06258	7.50251	excellent	2021/01/08
IT	Afragola	14.30935	40.92298	maintenance	2018-03-03
TH	Kantharalak	104.64992	14.64056	accep	13 Oct 2016
GB	Leyland	-2.68758	53.69786	average	12/10/2019, 00:00:00
FR	Herblay	2.1699	48.98994	building	18 Feb 2016
CO	Madrid	-74.26419	4.73245	accep	25 Sep 2013
CA	Markham	-79.2663	43.86682	maintenance	2013-03-10
NL	Losser	7.00417	52.26083	building	04/10/2020, 00:00:00
GB	Chapletown	-1.47217	53.46506	good	2020/12/23
CN	Beidao	105.89333	34.56861	good	2021/11/23
KE	Busia	34.11169	0.46005	average	06 Oct 2014
DE	Halstenbek	9.85	53.63333	accep	16 Jan 2013
IT	Perugia	12.38878	43.1122	accep	06/12/2013, 00:00:00
IR	Aleshtar	48.26258	33.86419	good	2016-12-21
IN	Bhuban	85.83334	20.88197	building	10 Feb 2018
PK	Larkana	68.21204	27.55898	accep	29 Apr 2015
NG	Lagos	3.39467	6.45407	good	15 Feb 2014
NG	Igbara-Odo	5.06258	7.50251	excellent	2022-02-18
AO	Luena	19.91667	-11.78333	average	2021/01/12
CO	Honda	-74.73584	5.20856	maintenance	2018/07/21
US	Brenham	-96.39774	30.16688	accep	2020/12/13
GB	Winsford	-2.52398	53.19146	excellent	10/12/2012, 00:00:00
PK	Kanganpur	74.12286	30.76468	accep	2021-02-22
US	Shreveport	-93.75018	32.52515	accep	03/19/2015, 00:00:00
BE	Denderleeuw	4.07601	50.88506	average	2015-10-25
CN	Beidao	105.89333	34.56861	excellent	2018/12/23
RU	Yeysk	38.2739	46.7055	average	2017/01/01
FR	Gonesse	2.44892	48.98693	good	11/08/2018, 00:00:00
TR	Patnos	42.85693	39.22493	accep	2016-01-29
IQ	Karbala	44.02488	32.61603	accep	22 Mar 2022
UY	Durazno	-56.52361	-33.38056	maintenance	12/07/2020, 00:00:00
CH	Onex	6.10237	46.18396	excellent	08/06/2022, 00:00:00
BR	Guapimirim	-42.98194	-22.53722	maintenance	02 Dec 2020
ID	Kediri	112.01667	-7.81667	excellent	10/11/2017, 00:00:00
FR	Vienne	4.86667	45.51667	average	20 Jul 2020
US	Gates-North Gates	-77.70066	43.16547	accep	2012-12-07
KR	T’aebaek	128.9889	37.1759	accep	23 Jul 2014
CN	Ulanhot	122.08333	46.08333	average	2015-07-20
US	Stockbridge	-84.23381	33.54428	good	25 Sep 2021
US	Newburgh	-74.01042	41.50343	excellent	2017-06-02
NI	Jinotepe	-86.19903	11.84962	average	2022-05-18
CN	Sishui	117.27583	35.64889	average	2012-12-07
MM	Myawadi	98.50893	16.68911	good	2020-07-30
CA	Kelowna	-119.48568	49.88307	maintenance	09/25/2019, 00:00:00
GN	Camayenne	-13.68778	9.535	accep	09/08/2015, 00:00:00
UY	Durazno	-56.52361	-33.38056	excellent	2022-07-26
DE	Neuburg an der Donau	11.18709	48.73218	average	30 Mar 2020
KE	Busia	34.11169	0.46005	building	12 Mar 2022
US	Bryn Mawr-Skyway	-122.24092	47.4943	maintenance	2015/07/31
IN	Rajaori	74.3092	33.37526	average	06/10/2014, 00:00:00
EG	Juhaynah	31.4976	26.67319	building	2015-12-10
CU	Media Luna	-77.43532	20.14298	good	2014/04/03
US	Muskogee	-95.36969	35.74788	good	2017/08/28
KR	Goyang-si	126.835	37.65639	excellent	2021/01/08
US	Carlsbad	-104.22884	32.42067	maintenance	2014-02-08
FI	Espoo	24.6522	60.2052	good	30 Apr 2021
BR	Altamira	-52.20639	-3.20333	maintenance	2017/03/04
CN	Longgang	120.33063	37.65181	maintenance	13 Dec 2019
DE	Schwalmtal	6.26667	51.21667	building	2015-03-08
IN	Madhipura	86.79271	25.92127	accep	2019-09-16
FR	Marly-le-Roi	2.08333	48.86667	building	05/30/2014, 00:00:00
ES	Reus	1.10687	41.15612	excellent	06 Feb 2014
IN	Moga	75.16878	30.81383	accep	2015-07-04
GB	Winsford	-2.52398	53.19146	maitennce	2016-08-31
ML	Kati	-8.07257	12.74409	good	2014-10-10
PH	Recodo	121.96361	6.95194	good	02/08/2015, 00:00:00
ES	Leioa	-2.98884	43.32686	good	2016/10/06
SL	Freetown	-13.2356	8.48714	average	2022-08-22
PH	Manaoag	120.4861	16.0438	accep	12/26/2014, 00:00:00
US	Aloha	-122.86705	45.49428	building	11/16/2012, 00:00:00
JP	Karatsu	129.96972	33.4425	building	06/25/2015, 00:00:00
GB	Barnet	-0.2	51.65	accep	08/03/2017, 00:00:00
FI	Tornio	24.14662	65.84811	good	25 Jul 2016
IT	Volla	14.34085	40.87363	accep	2017-08-15
IT	Montecchio Maggiore-Alte Ceccato	11.412	45.50369	excellent	2016-04-24
KZ	Otegen Batyra	77.0202	43.41949	excellent	2017-09-29
PK	Daud Khel	71.57118	32.87533	accep	03 Apr 2016
US	Port Huron	-82.42491	42.97086	accep	07/24/2017, 00:00:00
BR	Guaraciaba do Norte	-40.7475	-4.16694	good	01 Feb 2013
CA	Norfolk County	-80.38297	42.8334	building	2022/04/03
IN	Dombivli	73.08333	19.21667	good	2015-10-12
BA	Bijeljina	19.21437	44.75874	excellent	07/03/2017, 00:00:00
US	Port Huron	-82.42491	42.97086	accep	15 Nov 2012
IN	Rafiganj	84.63445	24.81757	average	06/04/2015, 00:00:00
RU	Izluchinsk	76.92421	60.97944	excellent	14 Jan 2016
US	Ada	-96.67834	34.77453	accep	2017-09-06
PH	Cebu City	123.89071	10.31672	accep	26 Oct 2021
CN	Meizhou	116.11768	24.28859	good	2015/07/27
CA	Dorval	-73.75335	45.4473	good	09 Mar 2021
GB	Newbury	-1.32471	51.40148	accep	06 Jan 2015
CN	Dongfeng	125.51176	42.64031	excellent	03/03/2015, 00:00:00
CN	Pucheng	118.53333	27.92333	average	2020/04/23
BE	Wevelgem	3.16667	50.8	good	2021/05/05
ID	Pekanbaru	101.44167	0.51667	building	15 Oct 2012
DZ	Boumerdas	3.47717	36.76639	accep	10/04/2013, 00:00:00
MZ	Maxixe	35.34722	-23.85972	excellent	16 Oct 2020
BY	Novogrudok	25.8191	53.5942	excellent	2020-11-29
RU	Tavda	65.27258	58.04254	excellent	15 Jan 2021
KE	Nyahururu	36.36339	0.03813	accep	12/02/2016, 00:00:00
PH	Sorsogon	123.99333	12.97389	good	2014-06-22
CN	Wacheng	114.51667	33.78333	average	2019/05/17
PK	Larkana	68.21204	27.55898	maintenance	2014/05/25
TH	Roi Et	103.65309	16.0567	maintenance	2015-10-15
RO	Sector 6	26.01649	44.43579	accep	2016-09-12
DE	Ehingen	9.72749	48.28259	average	2018/12/16
US	Kahului	-156.47432	20.88953	good	04/09/2022, 00:00:00
US	Aurora	-104.83192	39.72943	average	2021-06-04
FR	Elbeuf	1.00288	49.28669	accep	07 Nov 2017
RU	Gavrilov-Yam	39.85331	57.30185	good	14 Mar 2020
TZ	Same	37.73333	-4.06667	average	27 Jul 2013
CD	Beni	29.47306	0.49113	building	01 Oct 2020
BD	Manikchari	91.84128	22.83957	average	24 Jun 2016
BR	Santa Gertrudes	-47.53028	-22.45667	average	2013/06/04
CN	Huangshi	115.04814	30.24706	good	2020/05/17
BR	Soledade	-52.51028	-28.81833	maintenance	20 Nov 2015
NL	Culemborg	5.22778	51.955	excellent	2014-07-21
FR	Fontenay-aux-Roses	2.29275	48.79325	accep	04/20/2017, 00:00:00
BE	Mouscron	3.20639	50.74497	maintenance	12/03/2019, 00:00:00
TR	Gaziantep	37.3825	37.05944	good	16 May 2017
DE	Oberhausen	6.8625	51.47805	average	2022-01-09
NG	Kafanchan	8.2926	9.58126	average	2021/10/12
GB	Lancing	-0.32247	50.82882	building	2017/08/07
CN	Longgang	120.33063	37.65181	maintenance	2018/10/31
MX	Acaponeta	-105.36369	22.49396	good	2021-05-16
NL	Hoogezand	6.76111	53.16167	average	11/04/2020, 00:00:00
IN	Chamba	76.12647	32.55531	accep	02/27/2021, 00:00:00
RU	Petrozavodsk	34.34691	61.78491	good	14 May 2018
BR	Muritiba	-39.25	-12.91667	average	2019/03/21
