NOx	PM10	latitude	Pb	TEMP	H2CO	NH3	PAHs	CFCs	PM2.5	CO	longitude	C2H3NO5	PRES	SO2	CH4	O3	warning
5.01293	8.39763	-25.54073	41.95336	22.14898	46.02217	8.24600	7.49694	46.08238	6.70523	8.49856	152.70493	0.11418	1061.10274	7.45616	7.95450	6.72547	1.00000
7.24304	8.91843	23.0072	55.72295	9.02005	54.15325	10.23523	6.85302	42.07838	7.71040	5.88716	-82.4017	0.16019	1158.97724	6.60016	6.67018	5.27419	0.00000
4.59583	12.13295	41.15376	49.38637	15.80314	75.37758	7.40996	8.23129	48.10029	7.82318	10.36533	-87.88754	3.26966	1103.83971	8.47393	8.19754	8.23517	0.00000
7.73995	6.27602	48.35149	48.52396	16.95592	52.80923	6.87513	6.40864	44.81657	7.64464	10.03503	8.96317	0.03041	1136.41255	8.32929	10.02650	6.19344	1.00000
6.47714	8.56469	-31.25033	65.15614	12.38801	45.16341	9.67728	8.37115	34.45020	8.00727	6.37656	-61.4867	0.11508	1165.25900	8.06215	9.07436	5.67279	0.00000
4.40140	10.24510	46.7055	37.53329	18.11019	44.11605	8.77213	7.26346	39.38386	7.37933	7.39845	38.2739	0.52748	1168.45742	7.15865	9.66193	5.56641	1.00000
5.58530	11.26941	36.08497	63.80472	5.99810	71.32265	8.46520	8.18553	44.84743	7.11585	8.94760	9.37082	1.40262	1067.16199	6.82801	8.29604	6.84813	0.00000
5.81090	10.44904	31.20176	52.61034	21.56660	48.37228	7.86035	9.36860	43.75071	8.02201	7.28694	29.91582	0.63960	1098.45383	8.31650	9.09452	7.41879	1.00000
4.87804	8.69406	7.62789	65.29836	18.28725	61.28467	6.70829	9.50059	52.87608	7.66026	10.34720	4.74161	0.12630	1057.36281	7.49019	9.65333	6.28057	1.00000
7.84627	8.55118	36.65	53.30287	-1.67344	55.05937	4.30332	8.03019	54.37319	8.39952	10.83642	138.31667	0.11289	1184.50677	6.91571	8.31731	7.64924	1.00000
3.84391	9.60489	57.14369	48.93487	16.55594	49.28963	10.75406	7.85080	48.96957	8.72402	8.19223	-2.09814	0.27377	1155.50053	8.98338	7.59303	7.86521	0.00000
3.61009	10.89746	26.67319	48.44903	28.44883	42.48592	9.76315	7.83282	49.68209	8.40129	7.24253	31.4976	0.97976	1070.71684	7.36355	7.60493	6.09220	0.00000
6.08709	9.22300	35.8	32.86107	13.35669	28.76079	6.01643	7.46959	23.25158	7.05387	8.77127	137.23333	0.19849	1112.59921	8.27495	8.79026	5.63122	1.00000
5.41767	10.54406	43.96222	48.71088	0.72178	45.79438	6.44867	5.02960	53.48991	8.00527	6.86385	43.63417	0.68956	1183.17192	7.22923	7.95812	3.66821	1.00000
7.58556	9.36829	53.0233	43.06311	14.26752	38.74369	3.69161	7.62861	55.30462	8.66189	10.45854	-1.48119	0.23035	1074.28450	7.96515	8.80302	6.17702	1.00000
5.86793	9.01387	45.49428	51.39963	-1.80530	50.59669	11.29514	8.23022	59.93840	6.97325	9.02031	-122.86705	0.15931	1061.61982	9.24049	8.59079	8.08322	0.00000
7.37931	8.48086	41.8542	48.84690	29.45814	36.13024	10.63848	8.57672	61.05716	8.59121	5.36982	-87.66561	0.08795	1090.47869	10.23635	6.42303	6.00772	0.00000
9.23142	7.93021	40.66482	62.22460	16.82051	62.64074	9.15500	5.61466	71.85022	6.47068	11.76728	122.22833	0.05614	1066.66237	8.19767	6.55838	6.46872	0.00000
6.86022	11.23686	14.46693	54.00881	19.97594	62.08798	7.94678	8.66220	56.04602	7.89534	10.69009	75.92694	1.36616	1112.90786	6.70283	7.22591	9.07349	0.00000
7.53349	5.14241	41.57439	51.11057	1.50249		10.89608	10.42188	44.96050	9.43852	4.73015	24.71204	0.02762	1169.29236	6.72435	6.75294	4.40968	0.00000
6.00804	12.68810	12.37169	44.20158	31.03299	63.09276	8.24973	9.59628	62.44060	7.50738	9.59856	123.62494	5.70373	1133.65011	9.63879	7.86529	6.61901	0.00000
7.93878	5.89083	-0.71667	71.84199	1.32098	69.00642	8.99560	9.24185	61.03647	7.37850	6.17060	-48.52333	0.02627	1058.47859	8.66362	7.08142	6.96301	0.00000
6.98827	4.61784	46.32374	56.25444	22.54309	55.97772	8.58235	10.50177	66.18845	8.60087	7.17282	-120.00865	0.01458	1191.35095	8.28172	7.80541	7.32527	0.00000
7.20680	11.85670	42.97086	50.04148	30.56708	45.50698	1.93651	6.90149	23.34488	7.29758	7.91809	-82.42491	2.49248	1167.98353	7.12143	8.01900	6.95264	1.00000
7.29728	10.99465	42.8334	33.52718	18.68600	61.78840	6.17455	5.48562	36.00378	7.07998	8.74911	-80.38297	1.06769	1151.09645	9.12703	8.90933	7.70384	1.00000
7.76721	7.43625	28.88162	37.13375	8.03470	40.65080	8.93419	4.30156	47.23419	8.86147	10.80533	120.03308	0.05650	1145.68883	7.06961	8.13411	6.16091	0.00000
7.07258	7.85763	60.18427	45.20162	20.03752	26.44611	10.35541	5.85152	45.03672	9.39007	8.16537	24.95034	0.07454	1145.38270	7.13464	6.22982	6.15667	0.00000
5.66541	5.82707	44.43579	51.04209	-3.65087	38.81769	8.58239	10.24678	61.25779	8.46287	8.85886	26.01649	0.02468	1089.45132	8.69144	8.57155	10.24750	0.00000
3.74720	10.31919	14.64056	51.20979	7.44848	47.60029	5.89665	8.33159	46.28741	8.25704	5.85045	104.64992	0.56649	1138.30006	8.24604	9.78854	8.51306	1.00000
10.29554	6.86298	46.1351	43.42386	27.22395	50.13252	3.70406	9.17104	47.12048	9.76280	4.12735	-60.1831	0.03052	1052.88008	9.87115	7.56303	3.36505	1.00000
6.93760	7.92751	8.48714	74.38179	18.14841	31.70876	8.30152	6.90662	64.08762	6.98805	9.63798	-13.2356	0.08938	1078.71156	7.26579	7.23494	7.17955	1.00000
7.32336	9.71696	41.63976	49.74740	3.16793	48.93643	7.84111	6.53694	53.12247	7.95379	11.56357	2.35739	0.31625	1179.33426	8.94227	7.64833	7.96562	0.00000
6.87764	6.13753	50.64336	47.08604	5.68797	50.33718	9.93834	10.58312	38.55952	9.03636	5.68556	7.2278	0.03899	1174.25063	7.36063	7.47151	5.73834	0.00000
6.96415	9.29882	27.0174	47.51650	17.12560	56.56801	5.77936	7.69941	61.10144	8.17871	10.53628	49.62251	0.19943	1135.73815	10.67272	8.78251	7.19442	1.00000
7.48753	9.61003	29.84576	41.72377	3.61620	33.31497	8.48147	5.61051	43.87263	6.68238	10.01694	-90.10674	0.27837	1077.28669	7.29522	8.60340	4.33675	0.00000
7.95619	8.78578	19.64745	42.50900	13.48536	36.71599	5.52591	6.95772	71.84347	7.53834	11.06618	-102.04897	0.13995	1071.07511	7.57724	10.10594	6.15248	1.00000
6.43931	8.77860	-5.85746	38.63608	16.92933	39.97668	7.23905	6.44545	66.48791	8.96484	8.64761	144.23058	0.14773	1155.11323	8.19578	7.57484	7.67750	1.00000
7.19914	8.93779	36.27462	65.48333	26.90830	52.80348	10.60027	7.44259	42.98411	9.13952	7.92965	4.85668	0.13907	1151.51951	8.57600	7.58165	6.16044	0.00000
6.16495	10.27698	40.58654	48.02406	22.32310	41.65468	4.13735	8.33862	62.20252	8.96145	5.67859	-122.39168	0.54185	1089.07019	7.37351	7.02996	6.10431	1.00000
6.75352	12.31171	-6.48167	36.90225	24.69467	44.88877	5.81065	9.28426	59.61201	7.81559	7.52671	106.85417	3.92822	1112.99921	9.02384	7.28587	6.29613	1.00000
7.55833	7.30126	42.06166	57.85191	13.22432	44.01807	8.53037	9.68272	69.62043	8.91489	6.44349	-1.60452	0.05361	1123.15523	6.99484	7.60578	8.27933	0.00000
7.90879	8.05587	45.49428	53.91166	7.87755	57.22470	8.27081	10.38066	70.61025	7.81694	7.11899	-122.86705	0.07631	1068.96309	8.40820	8.17705	6.46987	1.00000
6.05537	9.92541	22.98212	47.69673	21.58672	59.75722	9.13902	6.52463	31.18790	7.12084	8.45054	-80.58556	0.38370	1122.40116	8.52764	8.40216	5.27130	0.00000
8.50546	11.35758	25.87972	52.98998	9.21877	42.59659	5.16078	8.87347	40.59726	7.89370	8.92239	-97.50417	1.53226	1190.01962	8.67723		3.49851	1.00000
7.29411	8.65666	-25.54073	75.39462		23.53994	6.84304	6.84520	46.72812	7.16761	10.07828	152.70493	0.13621	1111.93428	6.35579	9.09491	7.01348	1.00000
8.41225	8.05112	41.57439	44.87038	33.20706	30.69780	9.40288	11.33355	47.11669	8.16256	6.84508	24.71204	0.09419	1188.44656	7.91993	6.44469	7.27370	
7.49807	6.59060	34.65918	52.96693	26.43574	47.65497	10.68470	5.33302	44.32314	7.90501	10.16046	109.22921	0.03590	1118.19438	9.05018	9.19542	7.93339	1.00000
5.07965	8.80789	13.56667	46.18259	16.18500	36.09543	8.01460	9.57980	55.31836	8.30386	6.86747	-15.6	0.12614	1066.06873	9.38909	7.72896	8.43479	1.00000
7.69039	8.89308	41.29444	43.97259	12.74035	52.04091	6.33218	4.83495	63.62766	8.26917	8.93071	69.67639	0.15715	1129.90025	8.55076	7.89095	5.43309	1.00000
6.41633	8.62906	43.96222	72.46840	13.46422	37.78937	5.91907	6.51739	53.31763	7.65792	8.20624	43.63417	0.12068	1128.30645	8.19813	6.75996	6.13309	1.00000
8.12362	7.05792	-1.26753	66.71464	22.22782	43.31747	9.31375	9.98877	54.84512	7.68432	4.24676	116.82887	0.03571	1086.06387	8.60936	9.46780	3.54494	0.00000
5.95772	7.92100	50.5107	33.58684	18.26157	52.46274	9.40302	9.72086	49.50446	8.91811	7.77258	18.30056	0.06818	1100.04683	7.58382	8.37393	9.20989	0.00000
5.92470	10.45640	6.33444	42.49255	-2.17897	45.67496	7.24781	6.09800	58.05023	7.99712	8.02527	124.95278	0.64600	1133.18015	9.51661	7.91631	7.04250	1.00000
7.97118	9.84791	24.96334	55.44379	17.43250	44.92612	8.57761	7.39199	44.46582	7.94682	10.68211	10.18003	0.35759	1110.18851	8.05093	8.65845	7.74629	0.00000
8.40385	11.60859	41.72063	60.56893	12.62879	54.37674	7.27772	8.71856	74.60406	8.31567	10.59427	12.6723	1.95640	1071.71531	8.33880	8.67694	7.91037	0.00000
5.88944	6.64661	42.8334	41.06162	27.76696	40.42224	10.88730	9.04188	54.89637	5.87979	6.64327	-80.38297	0.03904	1181.48614	8.65443	8.71634	5.50507	0.00000
6.26844	9.91347	48.77275	46.98863	20.95632	52.58543	9.41331	8.09642	48.17040	7.51079	10.74853	5.16108	0.37556	1095.33761	6.70181	9.36087	8.81108	0.00000
5.76309	8.67733	-4.16694	59.62314	15.59551	38.91174	11.04706	7.86913	49.50524	8.47757	7.90529	-40.7475	0.13018	1148.36078	8.41391	7.26332	9.83738	0.00000
6.72034	6.43407	-7.60361	42.22652	29.79438	55.01941	10.64270	6.82534	36.35701	6.60570	10.65573	37.00438	0.04191	1163.81562	8.65863	9.06086	8.14240	1.00000
6.16830	6.07338	55.8736	40.36101	8.01555	74.37293	9.35012	10.02019	54.07528	9.65277	7.95242	85.4265	0.05009	1189.41372	6.98585	8.94720	9.24213	0.00000
7.10258	8.39500	18.65297	48.88735	27.54603	65.41270	6.79986	10.22557	47.89221	6.29240		-72.09391	0.10057	1145.29392	7.23570	8.77842	7.28671	1.00000
7.02729	10.28441	31.39547	52.02195	5.43251	41.14226	6.37930	9.76572	37.73045	6.86137	6.96344	34.75699	0.52905	1144.14743	8.16760	8.51017	6.51145	1.00000
9.14431		42.7392	35.66834	30.25451	32.50711	8.07185	10.32175	59.44705	8.10386	5.87570	-84.62081	0.05725	1092.38629	8.11800		6.37554	1.00000
4.31523	8.17724	27.55898	47.91812	39.37789	43.24713	6.74538	9.08326	47.53085	7.40047	5.01207	68.21204	0.08346	1183.89424	8.46183	7.31230	9.55467	1.00000
5.01489	9.98314	21.46527	44.77570	17.97188	39.77420	6.86623	7.02393	74.93137	6.57456	7.21985	83.97573	0.40501	1183.16322	9.49571	9.08208	4.61952	1.00000
4.16301	10.85988	51.19139	62.84920	17.13687	40.80884	9.83265	9.73940	59.37446	7.22027	8.23894	6.51352	0.94403	1113.34162	7.31641	8.00041	9.62946	0.00000
7.47203	8.66361	50.11861	57.17214	5.96425	36.84326	3.27902	9.70704	50.49688	9.05273	10.68582	-5.53715	0.12950	1111.61297	7.56561	7.04798	7.98376	1.00000
6.10207	11.42543	34.08565	37.32651	9.31612	45.02584	8.61702	5.95889	46.05595	7.32859	8.81152	74.80555	1.64131	1115.12792	7.91856	8.06775	9.47998	1.00000
6.06815	9.04088	53.6052	52.73315	8.82786	20.52679	8.87079	8.00863	53.36822	6.65571	9.89568	10.03988	0.17914	1150.18756	8.31436	8.85296	7.48147	1.00000
4.39876	9.80964	50.5107	46.82798	14.27881	48.85431	5.17346	7.85067	36.80741	8.37772	4.73809	18.30056	0.34633	1053.61006	9.39182	8.58959	8.35845	1.00000
7.74717	5.64652	42.819	52.49674	5.94618	39.02909	11.13415	8.51714	31.49621	6.86024	5.30561	47.1192	0.04184	1183.82048	8.10101	8.05361	5.38817	0.00000
8.14459	7.97087	40.60538	36.10242	2.64017	43.01063	9.14071	4.98077	47.21260	7.39634	10.97459	-73.75513	0.07276	1094.49507	6.58510	6.65556	6.95300	1.00000
4.25541	12.18838	40.87363	56.45733	1.55832	39.74857	9.46674	10.07991	40.30202	7.10203	8.55809	14.34085	3.46385	1079.02472	5.86081	7.99531	8.47367	0.00000
7.65404	9.31879	-3.74912	48.93997	15.37936	56.17270	8.89468	6.11936	43.30608	7.61445	9.16022	-73.25383	0.20741	1073.80831	7.90031	7.76360	5.67913	0.00000
6.57719	11.89287	14.53767	39.32480	4.06889	32.54364	5.93849	7.06126	80.67460	7.57080	8.13532	46.83187	2.58768	1149.00641	8.87816	8.26595	8.28759	
6.47210	9.60070	-16.25	44.80263	10.47074	27.45802	7.93134	8.73516	64.59205	7.98195	6.87818	-69.08333	0.29451	1125.26859	9.19481	9.54919	6.14398	0.00000
8.04802	11.05811	46.67535	50.73654	10.85815	38.27403	7.28246	9.57879	56.46873	11.19924	5.29227	5.55575	1.12925	1155.46477	8.01843	8.59816	7.37247	1.00000
7.20990	10.19409	15.73628	51.64488	24.79750	43.88796	10.59988	3.56319	46.97073	7.84579	9.55942	75.96976	0.50194	1176.67007	7.29272	9.45524	7.50562	1.00000
6.15768	10.64257	52.4089	45.49153	12.76384	54.74096	6.78702	7.77549	42.66033	8.52664	9.91692	31.3237	0.75942	1155.82814	7.21932	7.49787	8.11479	1.00000
6.58972	9.61804	-6.48167	59.23443	13.95792	63.33357	9.84503	7.73061	44.67686	8.35107	9.67793	106.85417	0.28759	1072.24983	9.31341	8.34379	7.22623	0.00000
4.52964	12.66307	8.62261	44.06693	7.50391	43.60160	8.44492	9.59437	62.65477	6.98651	8.29112	-70.20749	5.55844	1151.73060	7.13372	7.16472	7.72765	0.00000
8.72546	8.57027	45.78071	61.20101	6.96382	54.80994	9.41615	7.76359	50.13546	7.34823	10.82386	12.84052	0.11652	1052.69658	7.65203	9.28823	10.12505	0.00000
6.78415	8.32198	60.97944	16.79698	14.85616	16.64795	5.96942	8.00376	39.72050	7.02117	9.38824	76.92421	0.09575	1141.18433	8.06757	7.85892	6.03234	1.00000
8.95272	9.77669	-4.83	36.77981	1.36785	50.53861	7.13301	6.64733		7.78729	12.96638	29.65806	0.31418	1147.23418	8.12481	8.70105	8.88678	0.00000
5.52905	11.17015	31.82539	61.84857	13.87164	45.19232	5.53360	8.95654	33.85643	6.07280	8.48075	72.54064	1.27808	1160.90873	8.00163	9.23331	7.55955	1.00000
5.95835	8.53378	51.47805	54.96507	13.73665	34.86318	2.96664	6.91434	32.44453	6.68570	4.33585	6.8625	0.10921	1121.82467		6.19871	5.93086	1.00000
7.82264	7.80803	52.09	49.50087	-2.31020	45.26947	7.63529	6.01688	50.34792	8.56782	10.32850	5.23333	0.08524	1186.76212	5.79665	8.52898	7.51444	1.00000
8.06728	11.56287	57.30185	67.07867	17.02222	31.56838	8.10847	9.64782	48.00416	8.16530	12.17356	39.85331	1.85862	1140.76707	8.69592	6.83284	9.84733	0.00000
3.50480	8.91812	-11.78333	61.71054	10.86484	52.07419	5.73041	8.70754	55.52962	8.26713	6.43299	19.91667	0.16121	1182.31068	8.41322	7.15359	8.84082	1.00000
4.45339	6.27975	37.60876	57.87463	15.82711	33.43244	9.10658	11.49324	49.00742	9.95891	6.71841	-77.37331	0.01173	1057.04731	8.59414	8.85689	9.60918	1.00000
5.03728	12.08078	38.72706	39.70778	17.05034	61.87964	4.82070	6.92761	59.42366	8.54304	7.42163	-9.24671	3.12226	1123.85578	9.48815	9.73943	6.32679	1.00000
4.72828	11.29266	55.63711	52.33003	2.40639	37.49274	3.75005	6.36424	49.96536	6.25124	6.43369	37.38115	1.42904	1172.61692	9.00111	7.71074	6.33049	1.00000
6.44220	8.02992	35.85	57.39424	29.60325	46.00738	5.89995	7.49442	27.49021	7.37490	9.47677	117.7	0.07749	1165.26677	7.52270	6.28164	6.25024	1.00000
6.63165	9.18360	-7.81667	53.33295	9.07590	42.44641	5.77177	8.11991	81.61840	7.68956	9.26875	112.01667	0.20515	1186.87185	9.51593	8.05216	7.71207	1.00000
7.99136	9.16045	53.37596	35.33846	15.18613	38.52757	7.89507	5.68670	38.69827	6.60967	10.70441	51.3452	0.18797	1135.19185	7.11882	7.94796	6.30685	1.00000
5.79578	10.31328	35.64889	66.10934	22.22673	52.63298	3.85987	10.23503	48.67429	7.33298	8.61569	117.27583	0.54169	1066.15324	8.11543	8.60516	7.64458	1.00000
4.51049	11.11113	40.64621	58.33795	22.95660	53.46840	5.79936	8.56217	67.48278	7.81836	7.44680	-73.97069	1.18288	1132.93885	8.11239	7.79555	6.55881	1.00000
7.72876	10.21714	52.71083	50.39093	6.39468	75.08193	7.31115	9.39847	44.03418	8.37373	8.65625	5.74861	0.49865	1081.97785	7.10509	7.76555	5.93182	1.00000
7.11132	10.46330	50.20528	20.15365	-3.16031	64.13742	7.09932	7.87047	24.89527	7.66239	10.34194	19.27498	0.62934	1090.92289	7.85743	8.95435	9.63025	1.00000
8.55361	8.74076	44.43579	53.98941	7.39653	37.44216	5.30516	3.67789	45.44171	8.17349	10.06471	26.01649	0.14436	1190.51364	7.95845	6.21489	3.82878	1.00000
7.79314	8.02452	14.0823	41.59167	12.35148	51.52711	5.77394	7.09638	39.15983	6.32975	9.92065	98.19151	0.07516	1063.19529	7.17511	8.82966	5.71105	1.00000
7.25543	11.66217	40.34912	55.75927	6.48774	39.30160	5.39896	8.27933	43.18394	7.49630	4.41233	-111.90466	2.05397	1151.14430	7.69189	6.48442	7.01547	1.00000
6.43365	9.01918	-21.41222	67.55162	27.66504	32.35907	9.39066	6.60905	53.08429	8.01599	10.28037	-42.19667	0.16152	1056.44193		9.98360	7.73598	0.00000
5.89758	10.41304	25.95533	51.78508	4.90999	65.00009	9.12604	9.06766	54.48515	9.57690		68.88871	0.61114	1103.83653	7.69356	8.00994	11.03701	0.00000
6.54844	6.43228	39.59611	50.13710	8.90602	24.78853	6.00702	9.50782	51.34420	9.12760	7.92549	27.02444	0.02816	1060.88704	7.32059	8.26792	6.02085	1.00000
6.99391	11.63341	11.86064	75.09990	5.19496	34.32306	8.40107	8.85442	34.97929	7.07925	8.67092	9.0027	2.01542	1088.35154	8.72816	6.53312	7.10863	0.00000
4.96661	7.90136	29.84576	56.26784	10.14307	43.02971	4.77174	9.72638	49.93992	7.74832	7.86131	-90.10674	0.06308	1125.94453	7.35876	7.83412	6.88635	1.00000
6.83747	10.30086	5.20856	46.09584	11.83601	61.07974	5.64238	8.99270	76.57826	7.29547	4.21814	-74.73584	0.54494	1115.13924	8.62094	8.10448	7.16237	1.00000
7.02678	10.30696	40.2737	45.88688	11.84700	46.42317	7.15180	6.02298	37.48288	7.32525	10.06803	-76.88442	0.54651	1069.83900	8.38080	8.44524	7.36189	1.00000
6.24471	5.04070	19.32889	49.33991	15.23417	61.89222	8.98418	11.14000	46.27853	8.46952	7.06894	-99.32556	0.03736	1060.82389	9.26257	5.42948	7.43120	0.00000
6.59605	10.52290	10.13361	67.68126	40.37046	45.61932	5.68290	5.76351	25.49497	7.90332	7.45390	124.84472	0.67678	1103.00547	7.18818	9.22861	5.62353	1.00000
4.33380	8.84758	50.50301	42.22804	10.94926	47.34721	6.98097	7.47759	62.86307	8.05045	6.90497	13.63617	0.15071	1146.43854	8.23214	8.93361	4.44639	1.00000
7.26837	8.13450	53.0233	50.98342	0.14679	42.86398	3.73475	8.68696	51.63222	9.67605	9.73727	-1.48119	0.08414	1090.85647	7.70968	6.33742	5.82780	1.00000
5.77584	6.97778	26.18924	46.29600	7.86211	42.73587	10.89152	4.41476	55.77592	6.29839	7.96979	-98.15529	0.04831	1159.33460	8.56308	8.64611	4.84668	0.00000
5.82783	8.44434	41.16704	50.87724	21.20711	43.14912	10.06838	6.55303	78.32778	5.97023	9.16950	-73.20483	0.10998	1075.74874	9.19805	7.49900	8.46038	0.00000
5.46881	8.60088	43.83125	64.75630	14.02536	51.98406	10.40694	8.66178	72.81006	8.81331	7.41218	5.03586	0.13436	1115.93749	9.33570	5.77574	8.48273	0.00000
3.03287	10.65449	-21.41222	55.66981	8.99956	65.83723	4.36034	7.75505	59.25381	9.01910	5.81356	-42.19667	0.76981	1084.07894	6.47037	8.40425	8.39378	1.00000
5.96655	9.36216	53.93361	57.10914	11.85878	45.36651	10.31979	7.32395	29.50533	7.26976	8.46784	37.92792	0.22546	1197.83195	7.16149	7.32539	6.69757	0.00000
8.59191	8.20447	31.64615	58.17257	33.31593	54.04969	7.57802	10.23128	32.38193	9.46129	6.10034	120.74221	0.08099	1160.90031	9.17756	8.46015	6.44913	1.00000
6.26096	10.28020	35.72917	43.52798	15.56875	49.06173	5.71334	9.72094	38.30949	7.24278	9.28105	10.58082	0.52582	1168.06386	7.18403	8.69650	8.77349	1.00000
10.59069	9.45127	8.35122	68.75849	13.51279	54.30313	4.17191	10.60579	68.04125	9.69569	4.93486	-62.64102	0.23854	1098.90751	8.06206	9.16710	3.99416	1.00000
5.53763	12.20938	11.12018	37.30064	34.80562	41.86480	8.36014	9.58900	60.88691	9.09546	6.43629	76.11996	3.53148	1057.53937	9.91443	8.06399	9.24624	1.00000
7.51976	9.01188	41.55838	52.88610	23.03746	52.11735	4.68615	8.68597	19.47553	8.68780	7.43420	-81.56929	0.15848	1062.98611	8.01543	7.13351	4.83899	1.00000
5.40464	10.64709	41.91886	65.41668	12.91362	51.03571	8.69757	7.54427	26.51036	8.97299	8.40511	8.73812	0.76755	1146.06447	8.72255	8.49878	7.06009	0.00000
6.52625	7.56034	41.75338	44.67606	13.55974	62.10193	9.93720	4.23903	40.19137	8.09745	8.02446	-86.11084	0.05388	1100.63450	7.42876	7.55452	4.42169	0.00000
7.49612	5.99631	51.47805	38.20029	16.09172	56.77995	7.97236	10.34419	58.58470	8.36045	5.97315	6.8625	0.03052	1180.18128	8.79211	7.65979	5.77925	0.00000
7.37754	7.66224	28.88162	64.14847	19.86675	70.52051	7.47014	7.64044		7.48548	10.47123	120.03308	0.07538	1139.99077	9.02139	10.25672	7.49978	0.00000
6.15221	8.96637	35.21222	66.41818	16.02081	33.55542	7.98765	10.04311	50.98718	6.16533	6.56616	2.31889	0.15584	1095.26342	8.32851	8.05850	7.93080	1.00000
4.91227	9.98493	33.7207		15.23129	51.72310	9.03483	7.38108	34.09047	8.79243	8.14645	-116.21677	0.40085	1114.74281	7.86058	7.22237	7.09839	1.00000
5.85899	11.41998	41.27621	43.45830	4.08315	56.58809	8.18493	5.66374	53.14003	8.55214	7.54939	-72.86843	1.62542	1092.39689	7.52605	8.42543	6.73681	1.00000
6.31391	10.52506	42.22718	39.35650	34.03271	51.53865	5.78603	5.34081	42.10714	8.77254	7.48567	14.39024	0.68888	1126.73789	7.84142	9.46229	5.83036	1.00000
6.24831	8.60929	32.42067	52.54577	15.03475	43.77447	10.19632	6.35636	59.99714	8.26058	9.69832	-104.22884	0.11977	1056.94191	7.83664	8.24756	6.46811	0.00000
7.41840	10.04402	-16.25	40.00108	22.54412	40.40566	4.66125	8.08831	62.70913	7.89523	3.99744	-69.08333	0.43658	1050.99138	8.59814	7.30531	6.47568	1.00000
7.92210	6.68063	-1.26753	48.24753	13.57265	53.78174	7.69986	8.47756	50.30720	9.46148	5.68003	116.82887	0.03011	1058.74299	7.18877	9.63303	3.64712	0.00000
7.35009	9.33186	51.35084	43.15956	8.06259	52.94085	7.17811	6.54174	42.80526	7.54061	9.76877	-1.99421	0.23341	1133.05367	6.91711	7.77597	8.30624	1.00000
5.58488	8.37340	14.62578	53.58813	5.31730	43.47460	9.38785	4.74950	67.05521	7.27018	8.68124	121.12251	0.08914	1194.22141	8.14116	7.81157	4.83156	0.00000
4.63437	10.58767	27.9247	56.56939	20.98801	42.19101	8.79312	8.94561	49.90565	9.82799	6.69595	78.40102	0.71837	1114.86237	6.60852	8.06575	9.51426	1.00000
10.40728	8.15430	22.4711	47.71465	22.23865	48.69717	5.67563	10.87849	25.50976	9.98772	4.58995	88.1453	0.08397	1079.88981	8.16182	8.01842	4.29126	1.00000
6.10895	11.40255	36.92574	70.38384	14.95220	46.26336	6.38889	8.94837	39.81613	7.63201	7.05502	14.72443	1.57940	1189.70938	8.31306	6.30929	7.36709	1.00000
4.94725	9.08478	41.80753	54.82532	17.39432	52.15716	6.45427	8.33870	71.12841	6.83290	8.34127	-87.65644	0.17727	1073.42190	6.77224	8.22246	6.55458	1.00000
8.68897	2.52745	50.75	72.43304	21.81640	51.54353	9.49848	9.41714	76.32902	8.84028	6.47182	2.25	0.01852	1115.97443	8.51739	7.69707	7.53019	0.00000
8.36640	10.82392	37.16911	64.33485	9.31178	63.25635	6.59107	8.11799	52.09359	8.11665	5.90586	10.03478	0.90468	1191.85008	7.60134	7.20921	5.46047	1.00000
