QoS	longitude	latitude	revision	station	location
average	15.07041	37.49223	2017-10-30	Catania	Europe/Rome
good	77.9129	25.6439	2018/01/26	Narwar	Asia/Kolkata
good	122.08333	46.08333	01/05/2015, 00:00:00	Ulanhot	Asia/Shanghai
excellent	-80.38297	42.8334	2013-03-23	Norfolk County	America/Toronto
average	-73.47429	40.68066	04/08/2020, 00:00:00	Massapequa	America/New_York
average	-119.27337	50.26729	2016-06-24	Vernon	America/Vancouver
excellent	-73.20483	41.16704	2020/09/27	Bridgeport	America/New_York
building	4.92235	7.65649	2012-12-07	Efon-Alaaye	Africa/Lagos
maintenance	7.36027	51.20219	2013/10/18	Radevormwald	Europe/Berlin
excellent	89.20083	55.54028	12/19/2017, 00:00:00	Sharypovo	Asia/Krasnoyarsk
good	8.96317	48.35149	05/26/2016, 00:00:00	Hechingen	Europe/Berlin
excellent	-111.89903	33.50921	11/28/2021, 00:00:00	Scottsdale	America/Phoenix
accep	13.63617	50.50301	2021/07/09	Most	Europe/Prague
accep	-71.10077	18.20854	2021-06-02	Santa Cruz de Barahona	America/Santo_Domingo
excellent	128.62667	34.8825	04/13/2015, 00:00:00	Sinhyeon	Asia/Seoul
excellent	8.62118	45.44694	2014/10/31	Novara	Europe/Rome
excellent	10.03478	37.16911	23 Dec 2013	El Alia	Africa/Tunis
excellent	-66.8499	18.03496	2017/08/17	Yauco	America/Puerto_Rico
maintenance	117.33333	34.85	13 Sep 2021	Taozhuang	Asia/Shanghai
building	32.88667	3.27833	04/06/2013, 00:00:00	Kitgum	Africa/Kampala
maintenance	1.04945	35.06544	18 Oct 2019	Frenda	Africa/Algiers
excellent	146.05093	-34.28853	2016-07-08	Griffith	Australia/Sydney
excellent	79.41727	12.25282	10 Sep 2021	Gingee	Asia/Kolkata
excellent	120.03308	28.88162	13 Feb 2014	Guli	Asia/Shanghai
accep	-1.5443	50.75767	2018-09-07	Lymington	Europe/London
good	117.7	35.85	2022/01/22	Dongdu	Asia/Shanghai
average	68.21204	27.55898	03 Jun 2019	Larkana	Asia/Karachi
average	-70.20749	8.62261	04/27/2019, 00:00:00	Barinas	America/Caracas
good	138.31667	36.65	2016/07/31	Suzaka	Asia/Tokyo
maintenance	73.38333	31.71667	19 Feb 2022	Sangla Hill	Asia/Karachi
accep	-5.682	5.84752	2021-12-08	Lakota	Africa/Abidjan
excellent	-52.35558	-14.66463	2017-08-24	Nova Xavantina	America/Cuiaba
excellent	9.15013	13.70727	2014/10/05	Mirriah	Africa/Niamey
maitennce	-104.22884	32.42067	2021/09/12	Carlsbad	America/Denver
good	76.35484	10.10649	2017/09/19	Alwaye	Asia/Kolkata
accep	14.30935	40.92298	2015-10-20	Afragola	Europe/Rome
average	35.23388	31.78336	2018/05/11	East Jerusalem	Asia/Hebron
average	44.7662	40.49748	2020/09/22	Hrazdan	Asia/Yerevan
excellent	17.4674	50.86079	05/29/2020, 00:00:00	Brzeg	Europe/Warsaw
maintenance	-9.24671	38.72706	31 Jan 2014	Carnaxide	Europe/Lisbon
accep	74.80555	34.08565	03 Mar 2013	Srinagar	Asia/Kolkata
accep	38.07083	54.90083	2017/08/10	Stupino	Europe/Moscow
average	114.51667	33.78333	2018/06/12	Wacheng	Asia/Shanghai
average	69.01354	38.55632	2017-04-17	Vahdat	Asia/Dushanbe
accep	77.0202	43.41949	2019-10-16	Otegen Batyra	Asia/Almaty
good	114.51667	33.78333	2017-04-29	Wacheng	Asia/Shanghai
good	106.85417	-6.48167	2015/07/01	Cibinong	Asia/Jakarta
average	18.30056	50.5107	29 Dec 2016	Strzelce Opolskie	Europe/Warsaw
good	-8.53778	7.57944	11/13/2021, 00:00:00	New Yekepa	Africa/Monrovia
accep	-42.19667	-21.41222	15 Dec 2017	Miracema	America/Sao_Paulo
accep	-66.8499	18.03496	01/17/2016, 00:00:00	Yauco	America/Puerto_Rico
accep	4.25633	51.21187	2015/04/03	Beveren	Europe/Brussels
accep	5.51978	51.44889	07/22/2020, 00:00:00	Tongelre	Europe/Amsterdam
excellent	-61.4867	-31.25033	12 Sep 2016	Rafaela	America/Argentina/Cordoba
maintenance	-74.15987	40.82232	02/06/2016, 00:00:00	Nutley	America/New_York
accep	2.61667	48.98333	03 Dec 2021	Mitry-Mory	Europe/Paris
maintenance	-94.91386	17.94979	06 Feb 2022	Acayucan	America/Mexico_City
excellent	5.03586	43.83125	01 Aug 2015	Cavaillon	Europe/Paris
maintenance	-91.58045	41.6764	19 Jun 2013	Coralville	America/Chicago
building	91.61356	26.44931	11/17/2021, 00:00:00	Rangia	Asia/Kolkata
excellent	0.47713	51.39323	22 Dec 2018	Strood	Europe/London
average	91.84128	22.83957	2013-08-12	Manikchari	Asia/Dhaka
accep	-1.325	38.47917	09/14/2019, 00:00:00	Jumilla	Europe/Madrid
maintenance	116.82887	-1.26753	28 May 2017	Balikpapan	Asia/Makassar
excellent	2.25	50.75	03 Dec 2013	Saint-Omer	Europe/Paris
average	-82.32483	29.65163	2018/02/04	Gainesville	America/New_York
maintenance	-87.882	41.85059	2020/03/18	Westchester	America/Chicago
average	140.73667	41.77583	05/16/2020, 00:00:00	Hakodate	Asia/Tokyo
good	101.18445	13.44581	12 Jan 2014	Phanat Nikhom	Asia/Bangkok
maintenance	-0.33525	53.7446	2019-07-28	Kingston upon Hull	Europe/London
excellent	41.77921	41.82143	2013-06-17	Kobuleti	Asia/Tbilisi
good	22.53083	44.22639	10/07/2017, 00:00:00	Negotin	Europe/Belgrade
accep	21.32778	42	2013/02/20	Saraj	Europe/Skopje
excellent	34.86563	31.92923	14 Nov 2019	Ramla	Asia/Jerusalem
excellent	78.55757	17.34769	09/21/2015, 00:00:00	Lal Bahadur Nagar	Asia/Kolkata
accep	2.35739	41.63976	2016/03/28	Cardedeu	Europe/Madrid
accep	4.62744	36.06386	02 Jan 2013	El Achir	Africa/Algiers
excellent	-1.5443	50.75767	10/18/2019, 00:00:00	Lymington	Europe/London
accep	-42.98194	-22.53722	2017-10-28	Guapimirim	America/Sao_Paulo
building	-44.31389	-19.7625	2014-03-05	Esmeraldas	America/Sao_Paulo
maintenance	-73.78458	41.0051	11/06/2019, 00:00:00	Scarsdale	America/New_York
average	12.19458	10.61285	2014/04/24	Biu	Africa/Lagos
average	-3.59625	5.27247	2022-05-18	Bonoua	Africa/Abidjan
building	34.11169	0.46005	02/03/2021, 00:00:00	Busia	Africa/Nairobi
building	34.75699	31.39547	2013/02/16	Rahat	Asia/Jerusalem
excellent	72.54566	29.69221	07/12/2022, 00:00:00	Hasilpur	Asia/Karachi
good	-74.15987	40.82232	2018-11-16	Nutley	America/New_York
average	76.32756	9.57046	2019/02/14	Kalavoor	Asia/Kolkata
good	-7.32097	41.1053	2018/01/17	Custoias	Europe/Lisbon
accep	122.22833	40.66482	03/30/2022, 00:00:00	Yingkou	Asia/Shanghai
maintenance	68.11759	26.9423	12/11/2021, 00:00:00	Tharu Shah	Asia/Karachi
good	26.97253	49.65186	2021/04/29	Krasyliv	Europe/Kiev
average	46.04833	51.40944	2017-10-15	Privolzhskiy	Europe/Saratov
average	2.59753	8.88649	29 Aug 2021	Tchaourou	Africa/Porto-Novo
average	38.66667	-6.25	2016-08-31	Mvomero	Africa/Dar_es_Salaam
average	-98.11889	19.04222	09 Jul 2013	Casa Blanca	America/Mexico_City
maintenance	145.13643	-38.16604	29 Jun 2022	Frankston South	Australia/Melbourne
excellent	136.61667	36.53333	07/14/2013, 00:00:00	Nonoichi	Asia/Tokyo
accep	-100.44843	20.74122	2022-09-22	Santa Rosa Jauregui	America/Mexico_City
accep	5.22778	51.955	16 Sep 2013	Culemborg	Europe/Amsterdam
average	73.85535	18.51957	04 Jun 2016	Pune	Asia/Kolkata
excellent	42.85693	39.22493	09/14/2013, 00:00:00	Patnos	Europe/Istanbul
good	112.01667	-7.81667	2014/07/12	Kediri	Asia/Jakarta
accep	145.06667	-37.88333	2013/03/23	Carnegie	Australia/Melbourne
average	-2.98333	53.83333	2016-05-30	Poulton-le-Fylde	Europe/London
accep	38.01667	11.85	21 Apr 2015	Debre Tabor	Africa/Addis_Ababa
excellent	-5.53715	50.11861	09/27/2018, 00:00:00	Penzance	Europe/London
maintenance	3.64633	6.8485	2013/04/11	Shagamu	Africa/Lagos
average	14.34085	40.87363	2019/07/09	Volla	Europe/Rome
maintenance	79.87116	6.84019	2022-09-04	Dehiwala-Mount Lavinia	Asia/Colombo
good	76.0586	16.06213	2019-05-08	Hungund	Asia/Kolkata
excellent	123.33471	8.56697	2015/08/02	Dipolog	Asia/Manila
good	12.84052	45.78071	2013/09/18	Portogruaro	Europe/Rome
average	-4.0573	55.82737	2020/09/05	Viewpark	Europe/London
building	-42.19667	-21.41222	2013/11/17	Miracema	America/Sao_Paulo
excellent	-93.75018	32.52515	28 Aug 2021	Shreveport	America/Chicago
accep	-1.60452	42.06166	22 Feb 2018	Tudela	Europe/Madrid
building	11.37703	48.06919	30 May 2013	Gauting	Europe/Berlin
excellent	15.28318	-4.26613	01/18/2022, 00:00:00	Brazzaville	Africa/Brazzaville
good	-48.52333	-0.71667	2015-02-12	Soure	America/Belem
excellent	2.31889	35.21222	09/13/2020, 00:00:00	Ksar Chellala	Africa/Algiers
good	-41.88778	-21.205	2013-03-03	Itaperuna	America/Sao_Paulo
average	-117.14392	32.9156	23 Feb 2014	Mira Mesa	America/Los_Angeles
accep	-88.27205	44.27804	04/08/2016, 00:00:00	Kaukauna	America/Chicago
average	-73.89875	40.93121	2017/12/26	Yonkers	America/New_York
average	-89.66123	21.28306	03/27/2019, 00:00:00	Progreso	America/Merida
average	-49.27306	-25.42778	02 Dec 2019	Curitiba	America/Sao_Paulo
maintenance	125.51176	42.64031	08/06/2014, 00:00:00	Dongfeng	Asia/Shanghai
accep	-69.08333	-16.25	04 Feb 2022	Yunguyo	America/Lima
maintenance	59.6	47.83333	02/01/2022, 00:00:00	Shalqar	Asia/Aqtobe
maintenance	-81.26367	28.90054	17 Sep 2018	Deltona	America/New_York
maintenance	5.22778	51.955	2021/09/13	Culemborg	Europe/Amsterdam
good	77.656	28.71271	10/31/2015, 00:00:00	Pilkhua	Asia/Kolkata
excellent	84.63445	24.81757	2022/07/15	Rafiganj	Asia/Kolkata
good	-87.66561	41.8542	07/19/2013, 00:00:00	Lower West Side	America/Chicago
average	5.23333	52.09	2015-09-02	Zeist	Europe/Amsterdam
average	14.39024	42.22718	04/30/2017, 00:00:00	Lanciano	Europe/Rome
good	9.5586	54.52156	01/04/2013, 00:00:00	Schleswig	Europe/Berlin
accep	-80.38297	42.8334	2013-11-24	Norfolk County	America/Toronto
average	-87.88754	41.15376	08/24/2013, 00:00:00	Bourbonnais	America/Chicago
acceptable	1.15597	51.78967	03 Sep 2022	Clacton-on-Sea	Europe/London
good	-69.96533	43.91452	07/21/2021, 00:00:00	Brunswick	America/New_York
good	-0.74934	51.62907	2020/05/20	High Wycombe	Europe/London
excellent	-95.63079	31.76212	2022/05/30	Palestine	America/Chicago
accep	-105.36369	22.49396	2020/05/09	Acaponeta	America/Mazatlan
excellent	112.73333	38.40917	03/16/2017, 00:00:00	Xinzhou	Asia/Shanghai
accep	57.3552	51.4781	11/10/2021, 00:00:00	Kuvandyk	Asia/Yekaterinburg
excellent	152.70493	-25.54073	2014/01/20	Maryborough	Australia/Brisbane
accep	27.06365	50.18545	2018/01/10	Shepetivka	Europe/Kiev
accep	34.34691	61.78491	04/01/2017, 00:00:00	Petrozavodsk	Europe/Moscow
accep	21.32778	42	10/13/2018, 00:00:00	Saraj	Europe/Skopje
building	17.58522	40.53123	2021/11/11	Francavilla Fontana	Europe/Rome
average	-1.60452	42.06166	2022/07/07	Tudela	Europe/Madrid
building	146.05093	-34.28853	2022-02-05	Griffith	Australia/Sydney
good	-61.51889	10.66668	31 Oct 2020	Port of Spain	America/Port_of_Spain
excellent	121.06761	12.35275	25 Mar 2013	San Jose	Asia/Manila
excellent	-47.53028	-22.45667	2017-09-19	Santa Gertrudes	America/Sao_Paulo
accep	4.74161	7.62789	2017-03-19	Ilesa	Africa/Lagos
building	1.10687	41.15612	2017-02-25	Reus	Europe/Madrid
accep	127.08472	36.20389	2014-07-29	Nonsan	Asia/Seoul
average	-1.325	38.47917	2013-06-29	Jumilla	Europe/Madrid
good	116.11768	24.28859	2018/09/03	Meizhou	Asia/Shanghai
building	-91.73625	35.25064	2021/04/01	Searcy	America/Chicago
excellent	31.4976	26.67319	2020/09/09	Juhaynah	Africa/Cairo
good	24.95034	60.18427	09/15/2016, 00:00:00	Kallio	Europe/Helsinki
good	0.75	52.41667	06/13/2014, 00:00:00	Thetford	Europe/London
accep	27.18052	39.12074	2016-06-20	Bergama	Europe/Istanbul
good	-111.78903	33.35283	27 Mar 2022	Gilbert	America/Phoenix
maintenance	1.53414	42.50729	06 Jan 2015	les Escaldes	Europe/Andorra
accep	-87.65644	41.80753	05/06/2013, 00:00:00	New City	America/Chicago
accep	34.37389	40.1675	2020/11/13	Sungurlu	Europe/Istanbul
good	39.8302	64.5635	25 Oct 2018	Severodvinsk	Europe/Moscow
good	74.83554	14.62072	01/24/2015, 00:00:00	Sirsi	Asia/Kolkata
excellent	-117.54866	33.93113	22 Nov 2012	Norco	America/Los_Angeles
maintenance	85.83334	20.88197	07/08/2014, 00:00:00	Bhuban	Asia/Kolkata
accep	-89.99038	38.58894	07 Jun 2018	Fairview Heights	America/Chicago
average	-119.27337	50.26729	12/23/2019, 00:00:00	Vernon	America/Vancouver
excellent	4.07601	50.88506	2014-10-25	Denderleeuw	Europe/Brussels
average	-73.25383	-3.74912	2018/03/03	Iquitos	America/Lima
average	-74.38987	40.65538	04 Sep 2013	Scotch Plains	America/New_York
maintenance	-75.64963	40.24537	08/22/2017, 00:00:00	Pottstown	America/New_York
excellent	6.26764	4.92675	2019-11-09	Yenagoa	Africa/Lagos
maintenance	76.0586	16.06213	02/23/2022, 00:00:00	Hungund	Asia/Kolkata
accep	5.58472	52.14	07/12/2015, 00:00:00	Barneveld	Europe/Amsterdam
excellent	116.10146	5.90702	2022-04-09	Donggongon	Asia/Kuching
average	-47.1725	-22.57306	02/21/2018, 00:00:00	Artur Nogueira	America/Sao_Paulo
good	20.22625	30.75545	2016/02/25	Ajdabiya	Africa/Tripoli
maintenance	-95.30106	32.35126	10/21/2013, 00:00:00	Tyler	America/Chicago
accep	-1.05366	43.71032	06/10/2016, 00:00:00	Dax	Europe/Paris
good	38.94324	44.98901	07/28/2020, 00:00:00	Yablonovskiy	Europe/Moscow
accep	86.79271	25.92127	08/23/2022, 00:00:00	Madhipura	Asia/Kolkata
excellent	71.30633	21.34222	18 Feb 2013	Kundla	Asia/Kolkata
accep	9.72749	48.28259	03/15/2014, 00:00:00	Ehingen	Europe/Berlin
maintenance	-1.29243	53.49389	2016/05/01	Mexborough	Europe/London
accep	120.57224	15.72892	2016-12-07	Burgos	Asia/Manila
accep	-90.10674	29.84576	19 Jan 2022	Estelle	America/Chicago
building	-87.65644	41.80753	2019-11-16	New City	America/Chicago
accep	-0.91979	51.42708	2015-09-07	Lower Earley	Europe/London
average	6.8625	51.47805	10 Jul 2016	Oberhausen	Europe/Berlin
accep	51.0193	35.6803	2013/08/10	Shahre Jadide Andisheh	Asia/Tehran
good	1.00288	49.28669	02/27/2016, 00:00:00	Elbeuf	Europe/Paris
accep	10.98461	48.35693	2016/08/07	Friedberg	Europe/Berlin
average	76.56719	24.41288	27 Apr 2016	Aklera	Asia/Kolkata
average	37.92792	53.93361	2021/08/17	Kireyevsk	Europe/Moscow
accep	88.58	23.18	2015-02-15	Aistala	Asia/Kolkata
average	-58.38341	-34.64966	27 Apr 2017	Barracas	America/Argentina/Buenos_Aires
good	37.00438	-7.60361	02 Dec 2021	Kidodi	Africa/Dar_es_Salaam
average	-118.25508	34.14251	2014-02-07	Glendale	America/Los_Angeles
excellent	116.10146	5.90702	01 Feb 2016	Donggongon	Asia/Kuching
good	6.51352	51.19139	2018/04/09	Korschenbroich	Europe/Berlin
good	-91.06177	33.41012	29 Jul 2017	Greenville	America/Chicago
average	6.8625	51.47805	10/04/2012, 00:00:00	Oberhausen	Europe/Berlin
maitennce	-82.42491	42.97086	2018-01-19	Port Huron	America/Detroit
excellent	10.58082	35.72917	16 Nov 2015	Msaken	Africa/Tunis
excellent	142.45778	44.35056	12/03/2012, 00:00:00	Nayoro	Asia/Tokyo
accep	15.00913	37.51803	29 Sep 2017	Misterbianco	Europe/Rome
average	-3.67029	37.13548	23 Jul 2018	Las Gabias	Europe/Madrid
maintenance	75.11937	20.88098	2013-06-07	Parola	Asia/Kolkata
good	152.70493	-25.54073	03 Apr 2018	Maryborough	Australia/Brisbane
maintenance	-58.70072	-34.74785	10/18/2018, 00:00:00	Pontevedra	America/Argentina/Buenos_Aires
average	-76.43941	39.33427	2015-04-11	Middle River	America/New_York
accep	100.04427	13.8196	04/10/2013, 00:00:00	Nakhon Pathom	Asia/Bangkok
good	-76.78319	18.00747	03/23/2014, 00:00:00	New Kingston	America/Jamaica
average	136.13108	34.75856	2013-01-19	Ueno-ebisumachi	Asia/Tokyo
maintenance	34.34691	61.78491	05/22/2016, 00:00:00	Petrozavodsk	Europe/Moscow
good	120.03308	28.88162	2016/10/15	Guli	Asia/Shanghai
good	14.39024	42.22718	2013/03/26	Lanciano	Europe/Rome
good	75.96976	15.73628	17 Jun 2021	Gajendragarh	Asia/Kolkata
accep	-75.64963	40.24537	04/30/2016, 00:00:00	Pottstown	America/New_York
good	-97.50417	25.87972	15 Feb 2020	Heroica Matamoros	America/Matamoros
good	-8.33147	41.20485	05/10/2014, 00:00:00	Paredes	Europe/Lisbon
good	168.31366	-17.73648	2020/03/27	Port-Vila	Pacific/Efate
good	-97.90308	31.12406	2021-12-26	Copperas Cove	America/Chicago
excellent	-118.25508	34.14251	2021-12-26	Glendale	America/Los_Angeles
good	59.80222	58.63667	2018-07-28	Lesnoy	Asia/Yekaterinburg
average	67.84222	40.11583	29 Oct 2012	Jizzax	Asia/Samarkand
maintenance	6.76111	53.16167	11/29/2020, 00:00:00	Hoogezand	Europe/Amsterdam
average	144.23058	-5.85746	21 Jan 2015	Mount Hagen	Pacific/Port_Moresby
maintenance	16.4	48.25	10/06/2017, 00:00:00	Floridsdorf	Europe/Vienna
good	-97.50417	25.87972	2016/07/01	Heroica Matamoros	America/Matamoros
average	3.50309	34.15429	07 May 2013	Messaad	Africa/Algiers
average	8.73812	41.91886	2019/12/30	Ajaccio	Europe/Paris
building	-102.04897	19.64745	2015/07/07	Paracho de Verduzco	America/Mexico_City
good	73.08333	19.21667	27 Oct 2020	Dombivli	Asia/Kolkata
excellent	-8.07257	12.74409	2014-11-23	Kati	Africa/Bamako
average	53.47103	54.48147	2021/05/19	Oktyabr’skiy	Asia/Yekaterinburg
accep	-2.09814	57.14369	20 Oct 2012	Aberdeen	Europe/London
excellent	-86.99666	33.45122	11 Sep 2022	Hueytown	America/Chicago
average	-37.03861	-10.90889	2016-10-02	Barra dos Coqueiros	America/Maceio
maintenance	27.18052	39.12074	2022/03/13	Bergama	Europe/Istanbul
average	78.15794	12.1277	2018-02-13	Dharmapuri	Asia/Kolkata
excellent	18.69303	12.18441	2021/05/12	Mongo	Africa/Ndjamena
maintenance	30.38167	59.80917	08 Oct 2019	Shushary	Europe/Moscow
average	49.62251	27.0174	2018-12-07	Al Jubayl	Asia/Riyadh
accep	136.61667	36.53333	2013/08/30	Nonoichi	Asia/Tokyo
maintenance	43.63417	43.96222	2018/01/08	Novopavlovsk	Europe/Moscow
good	44.7662	40.49748	09/01/2014, 00:00:00	Hrazdan	Asia/Yerevan
accep	-98.11889	19.04222	10/14/2013, 00:00:00	Casa Blanca	America/Mexico_City
accep	-7.35	53.53333	10/27/2014, 00:00:00	An Muileann gCearr	Europe/Dublin
excellent	-48.59278	-23.7975	2016-12-01	Buri	America/Sao_Paulo
average	24.95034	60.18427	2021-02-21	Kallio	Europe/Helsinki
good	-91.11667	14.93333	2020-09-04	Chichicastenango	America/Guatemala
excellent	-95.63079	31.76212	2018-03-31	Palestine	America/Chicago
good	10.58082	35.72917	27 Mar 2020	Msaken	Africa/Tunis
average	-73.75335	45.4473	2019-08-03	Dorval	America/Toronto
average	-8.2503	37.08819	09 Dec 2016	Albufeira	Europe/Lisbon
accep	34.86563	31.92923	2015-10-18	Ramla	Asia/Jerusalem
building	112.23109	-7.57897	03 Nov 2020	Diwek	Asia/Jakarta
accep	68.88871	25.95533	2018-10-06	Jhol	Asia/Karachi
building	77.70636	28.98002	05/11/2020, 00:00:00	Meerut	Asia/Kolkata
excellent	19.27498	50.20528	05/28/2016, 00:00:00	Jaworzno	Europe/Warsaw
accep	-82.07842	26.91756	11 Jun 2019	Punta Gorda Isles	America/New_York
excellent	-76.70944	-11.94306	2014-02-15	Chosica	America/Lima
accep	-118.25508	34.14251	2017/10/08	Glendale	America/Los_Angeles
good	33.2525	57.97472	11/06/2016, 00:00:00	Valday	Europe/Moscow
building	72.93924	18.87813	2016/12/20	Uran	Asia/Kolkata
building	-76.88442	40.2737	2022/08/16	Harrisburg	America/New_York
