latitude	O3	Pb	PM2.5	NOx	PAHs	CFCs	TEMP	H2CO	NH3	longitude	warning	PRES	CO	SO2	PM10	C2H3NO5	CH4
51.30001	5.87671	36.83799	6.99018	7.44280	3.94877	61.68100	19.83772	44.21730	7.37128	13.10984	1.00000	1125.47713	6.62947	5.89050	8.99094	14.37336	7.23210
44.89784	5.20164	41.03676	11.08517	6.82621	8.70744	37.65959	3.07048	39.13417	2.71051	8.86374	1.00000	1089.09561	5.70867	9.15376	6.05039	1.83637	13.61164
14.46693	6.31653	60.27123	8.88689	6.62712	6.20181	74.19465	19.62781	54.89456	5.47481	75.92694	0.00000	1168.38904	9.04583	9.51033	6.89211	4.06233	5.58309
-4.83	5.18730	42.18651	5.39431	8.92944	9.74162	46.00527	25.83320	56.34031	7.28662	29.65806	1.00000	1066.25808	8.24754	8.28829	7.65304	5.44079	5.28090
-8.28333	6.08418	83.03661	9.04743	6.25754	6.18143	44.66294	16.57503	57.57680	4.92201	-35.03333	1.00000	1199.56123	5.72120	7.19385	7.83763	5.34865	9.96816
36.20829	4.97077	44.77709	8.66738	8.24762	3.92147	50.34524	14.46954	41.30218	7.66347	-115.98391	1.00000	1070.01426	6.38698	3.54669	5.79453	2.25076	6.32886
40.34912	7.60478	50.09877	9.78108	8.66640	7.62446	53.49347	18.00973	38.90515	5.91690	-111.90466	0.00000	1096.29615	7.48795	8.95321	9.06672	16.92589	9.50545
53.77166	6.61947	47.17848	5.80829	7.23134	12.25859	70.80243	-0.14489	38.52612	13.19075	38.12408	1.00000	1186.66312	7.89194	7.59713	6.21812	1.70924	6.06419
37.73604	4.85807	31.39826	5.91839	6.52583	9.14065	46.04006	26.88619	48.33214	10.55546	-120.93549	1.00000	1075.72452	8.49343	5.57682	5.23875	2.29140	7.75067
51.88333	7.23689	49.87007	5.04463	7.61283	7.54897	47.13911	20.41009	68.49021	8.76436	8.51667	1.00000	1173.37066	7.92903	5.02097	7.79601	5.60890	5.34693
37.16911	5.05231	48.39853	11.17604	7.91492	9.65234	39.35930	20.09484	49.37542	3.53577	10.03478	1.00000	1117.85496	9.27803	7.44958	7.31016	4.43472	12.23681
29.65163	5.99813	28.98953	3.58188	7.69858	8.32848	41.53984	-18.21135	58.03383	8.47156	-82.32483	1.00000	1197.96003	6.34261	6.96965	8.99228	15.80920	7.16263
-22.57306	8.03862	32.71178	6.78853	8.86848	3.35061	39.97227	15.38272	49.55415	7.80511	-47.1725	1.00000	1120.09286	6.69109	5.07778	7.25360	4.12063	6.43784
18.87813	4.90923	45.59914	7.21024	7.42680	11.15982	62.79143	27.30381	58.03061	9.74899	72.93924	1.00000	1062.95721	8.87338	7.80975	7.15170	1.96569	6.63496
50.23019	8.17706	46.66459	4.32531	7.04264	4.85922	48.81526	9.33257	68.65507	7.10030	8.77155	1.00000	1123.37978	6.81502	4.26872	7.60079	7.01148	3.41960
55.1904	5.47510	30.75093	5.30541	7.60781	8.15631	41.82811	15.24821	51.58006	8.48615	30.2049	1.00000	1130.78536	5.96880	5.40915	8.21552	7.15494	9.79367
14.66	4.17375	54.93950	6.17873	6.00711	9.08476	79.24809	20.15089	32.33910	8.81411	120.56528	1.00000	1070.00070	6.52368	6.35573	7.44115	5.66257	5.94830
55.62047	5.36526	53.04706	9.72877	7.21329	6.38074	79.04961	32.89723	30.91760	6.63462	37.49338	1.00000	1195.83795	7.66578	6.89703	9.59525	24.57210	10.14230
38.45598	11.79628	54.41370	9.30482	9.13472	7.95035	43.89747	16.58496	44.73755	5.31534	48.87498	0.00000	1134.42872	7.07605	5.87204	6.66128	2.77621	9.60600
45.78071	10.46249	75.79057	8.05683	7.22116	5.90263	53.37381	14.92427	21.62243	4.93491	12.84052	0.00000	1066.70246	8.70974	6.57210	7.65885	6.48657	6.63792
24.05979	7.08778	34.10217	6.94965	6.31284	10.11483	54.43452	13.04938	32.85703	9.59306	77.40858	1.00000	1065.12984	8.28896	7.53463	5.76366	2.91902	4.58483
-20.88231	4.33668	48.72903	5.46154	9.40761	9.11585	59.67559	7.59139	17.33476	9.64189	55.4504	0.00000	1174.93228	9.04714	6.80376	8.06511	7.09382	8.59250
44.75874	6.32126	60.71748	7.42629	8.26992	9.07735	54.59208	27.74997	43.05847	7.56777	19.21437	1.00000	1187.55482	6.96561	6.64906	7.95235	7.35066	5.15302
52.26083	7.43599	56.06807	8.73365	6.83101	5.16290	57.23328	23.16516	45.45268	9.03955	7.00417	0.00000	1144.00586	7.08188	8.48809	8.27183	7.63385	7.13535
-21.42917	7.28247	68.09251	6.29511	9.39926	5.42209	63.62364	31.40431	47.93148	5.88513	-45.94722	1.00000	1085.08481	7.89272	5.59900	6.83721	2.01711	6.94693
41.72063	10.96907	46.64306	8.52101	9.58519	6.27475	39.14647	21.79250	34.43510	4.49077	12.6723	0.00000	1123.66148	7.69749	7.02876	5.91222	3.06845	8.79790
22.49396	5.73365	6.42023	9.37766	6.91598	9.58119	46.48798	22.23750	49.55364	8.28792	-105.36369	1.00000	1158.92091	6.40703	5.59238	5.78398	2.47778	6.75508
13.48082	8.47686	70.24446	10.25463	4.61162	5.26121	69.66666	11.86148	33.32067	2.98547	-86.58208	0.00000	1174.02724	5.95950	8.49125	8.14454	7.49500	5.43320
9.6531	4.22290	61.10875	7.05243	8.70989	7.45116	67.43653	18.25136	48.03304	6.61889	124.3697	0.00000	1184.54341	8.91597	9.02076	6.18705	4.13973	6.89593
-2.68333	9.14720	35.73519	8.82909	8.78171	7.27597	73.11805	6.88256	53.22858	4.72035	33	0.00000	1067.90223	6.86379	7.68568	7.45628	4.49637	9.85733
43.32686	6.53108	54.35556	7.94746	7.32150	5.56196	48.37654	26.45737	47.86526	7.06270	-2.98884	1.00000	1125.35097	8.20185	6.65856	9.20626	17.68178	8.25829
25.92493	6.16825	58.08038	8.94754	6.96962	10.02303	45.90013	9.94139	61.00090	8.49909	73.66633	1.00000	1076.91379	6.23495	6.96067	8.77893	11.21129	3.49394
50.06	6.02111	31.30996	5.65620	8.51917	8.73877	49.53127	14.43146	56.84495	9.50989	43.2379	1.00000	1179.74422	6.45264	6.04453	6.76543	3.37490	5.17133
36.72544	7.44998	57.54817	6.34828	6.50659	7.39145	67.38561	16.35861	73.79178	7.54487	3.55665	0.00000	1190.72113	6.11330	6.99632	9.08138	15.78774	7.00904
14.0823	6.02700	53.95590	8.87525	6.81906	8.94713	51.76708	14.18904	72.04007	8.42965	98.19151	1.00000	1162.65647	8.00811	5.52746	5.35111	4.70044	5.20032
10.61285	5.98708	58.97020	7.47218	8.37215	5.81778	58.55328	7.78547	52.10541	5.64200	12.19458	0.00000	1077.75955	7.23654	8.12781	7.48689	4.97705	6.99544
43.82634	5.79772	41.55318	6.28450	7.41602	9.51597	43.58491	26.24641	58.10097	10.31074	144.09638	1.00000	1103.32184	5.95775	6.12531	6.96274	3.63631	6.55184
41.09822	10.10207	50.32404	9.68943	7.85478	5.82075	34.84198	19.34359	36.49720	6.61885	120.74792	0.00000	1167.30070	6.86335	8.43649	6.99550	3.81256	8.95241
51.64316	6.67517	63.30455	3.42785	7.25791	9.78037	52.90794	17.61648	61.20021	11.69531	-0.36053	1.00000	1124.57702	9.45887	6.71414	7.32596	4.39038	6.63028
31.28092	5.93856	37.73191	6.24195	8.10744	8.61820	52.86706	14.52325	40.98258	6.23127	74.85849	1.00000	1157.94113	7.80647	7.19044	8.80580	12.02014	4.60043
47.46657	6.64894	47.62186	4.48427	7.04880	9.38758	51.10644	15.10245	47.01259	9.59898	84.87144	1.00000	1068.25686	6.54256	7.16119	6.57560	4.22094	4.71792
51.30001	6.12744	46.95228	8.56975	8.40207	4.66004	55.01139	6.11557	83.28627	8.49692	13.10984	1.00000	1087.65286	9.56597	5.86544	7.00821	3.51238	8.39358
14.14989	5.45892	22.28619	7.76102	5.94991	6.92699	41.98024	27.32204	26.07957	5.39450	121.3152	1.00000	1137.72154	7.96995	4.30368	6.47698	3.19859	6.95680
44.98901	6.15700	36.60486	7.33992	8.03644	6.73220	38.60762	20.28587	48.91765	3.97025	38.94324	1.00000	1155.36190	7.43282	6.20134	5.73371	2.12610	7.73788
38.58894		48.96261	5.68056	8.62909	8.78580	72.68808	10.75269	45.35863	8.26695	-89.99038	1.00000	1150.30363	7.04009	6.94674	5.46496	2.85861	4.84578
57.97472	5.65860	28.22715	4.29800	7.86577	9.99497	57.30605	16.97856	36.64392	9.01104	33.2525	1.00000	1086.87236	8.44201	7.81594	7.36889	3.60002	6.85675
16.455	9.00109	69.79150	8.17271	7.96764	5.87561	64.02793	9.45455	38.15993	4.95525	120.5875	0.00000	1171.57683	8.83303	7.88528	8.16312	8.20891	6.93512
11.12018	7.25743	23.79922	5.90492	6.81287	5.99686	68.01919	8.67146	44.45545	6.61061	76.11996	1.00000	1132.37944	7.09510	4.47497	7.59961	6.04407	5.19985
7.57944	7.24159	54.59715	10.57624	7.97681	6.14931	53.66846	15.14935	49.14638	7.35739	-8.53778	0.00000	1084.06127	7.97979	10.40792	7.34371	3.57322	10.77935
