latitude	code	longitude	revision	QoS	station
33.35283	US	-111.78903	2020-09-03	average	Gilbert
-10.90889	BR	-37.03861	08/12/2019, 00:00:00	building	Barra dos Coqueiros
51.35084	GB	-1.99421	09 Jul 2022	good	Devizes
55.39485	RU	43.83992	2014/07/27	average	Arzamas
5.6561	CO	-75.87877	2014/11/09	excellent	Andes
34.75856	JP	136.13108	2015-11-17	average	Ueno-ebisumachi
40.65995	US	-111.99633	2018/08/08	average	Kearns
-3.74912	PE	-73.25383	02/17/2016, 00:00:00	average	Iquitos
41.0051	US	-73.78458	05/03/2021, 00:00:00	excellent	Scarsdale
9.535	GN	-13.68778	05/29/2017, 00:00:00	good	Camayenne
41.66394	US	-83.55521	2016/05/03	accep	Toledo
35.05266	US	-78.87836	12/14/2014, 00:00:00	maintenance	Fayetteville
31.92923	IL	34.86563	2014-10-26	accep	Ramla
37.05944	TR	37.3825	03/21/2018, 00:00:00	accep	Gaziantep
6.03333	ET	37.55	2018/10/01	accep	Arba Minch
38.07789	IT	13.44275	18 Jan 2016	excellent	Villabate
30.81383	IN	75.16878	23 May 2013	average	Moga
12.95629	IN	78.27539	01/18/2017, 00:00:00	good	Robertsonpet
31.76212	US	-95.63079	2012/12/31	excellent	Palestine
11.93381	IN	79.82979	2021-04-18	excellent	Puducherry
33.42585	MA	-6.00137	2020/10/08	excellent	Oulmes
44.59445	IT	11.04979	2015-07-31	accep	Castelfranco Emilia
43.62558	IT	13.39954	2014-08-18	excellent	Falconara Marittima
41.66394	US	-83.55521	02 Apr 2019	excellent	Toledo
15.79408	TH	104.1451	2018/05/27	maintenance	Yasothon
53.81667	GB	-3.05	23 May 2017	good	Blackpool
42.8334	CA	-80.38297	02/04/2020, 00:00:00	good	Norfolk County
54.84444	RU	38.16694	2016-12-20	accep	Kashira
45.49428	US	-122.86705	2017-07-20	maintenance	Aloha
51.40148	GB	-1.32471	21 Nov 2019	average	Newbury
14.46693	IN	75.92694	2013-04-13	good	Davangere
51.03427	BE	5.37429	2015/12/19	good	Houthalen
55.54028	RU	89.20083	28 Aug 2019	building	Sharypovo
29.65163	US	-82.32483	11 Jan 2013	accep	Gainesville
5.6561	CO	-75.87877	2019/03/14	average	Andes
41.72059	US	-87.70172	26 Oct 2018	excellent	Evergreen Park
18.18158	IN	76.03889	21 Aug 2021	excellent	Osmanabad
14.46693	IN	75.92694	2013-03-22	average	Davangere
50.86079	PL	17.4674	08/12/2021, 00:00:00	good	Brzeg
48.78232	DE	9.17702	06/14/2019, 00:00:00	accep	Stuttgart
19.21667	IN	73.08333	2014/03/11	excellent	Dombivli
31.20176	EG	29.91582	2021/01/18	excellent	Alexandria
23.02677	CN	113.13148	10/27/2016, 00:00:00	excellent	Foshan
52.14	NL	5.58472	2018-08-04	excellent	Barneveld
52.2	DE	8.63333	04/11/2018, 00:00:00	accep	Kirchlengern
41.24255	US	-82.61573	17 May 2021	excellent	Norwalk
35.21222	DZ	2.31889	09/07/2018, 00:00:00	average	Ksar Chellala
14.64056	TH	104.64992	07/12/2013, 00:00:00	average	Kantharalak
3.8801	CO	-77.03116	11 May 2015	average	Buenaventura
-24.19436	ZA	29.00974	2014/09/20	average	Mokopane
40.93333	KG	73	2017/06/26	average	Jalal-Abad
38.13708	TR	41.00817	2016-06-19	accep	Silvan
40.92298	IT	14.30935	2020-11-20	accep	Afragola
30.35028	CN	112.19028	10 Aug 2021	building	Jingzhou
39.32011	US	-76.51552	22 Jun 2017	good	Rosedale
39.22493	TR	42.85693	2019-04-17	good	Patnos
38.45598	AZ	48.87498	08/22/2018, 00:00:00	average	Astara
48.06919	DE	11.37703	02 Aug 2022	excellent	Gauting
36.06386	DZ	4.62744	2017/03/13	excellent	El Achir
51.84819	GB	1.26738	2017/09/30	accep	Walton-on-the-Naze
36.20829	US	-115.98391	2016-11-11	accep	Pahrump
9.89206	SO	43.38531	2019-01-13	building	Baki
53.83333	GB	-2.98333	18 Jul 2015	good	Poulton-le-Fylde
7.57944	LR	-8.53778	09/12/2021, 00:00:00	maintenance	New Yekepa
38.40917	CN	112.73333	29 Mar 2016	building	Xinzhou
10.12268	IN	77.54372	2016/01/12	accep	Periyakulam
-10.95817	BR	-38.79084	2012-10-15	good	Tucano
40.87363	IT	14.34085	15 Mar 2015	good	Volla
34.63915	US	-120.45794	09/28/2018, 00:00:00	building	Lompoc
41.15376	US	-87.88754	2014-03-23	excellent	Bourbonnais
22.83957	BD	91.84128	13 Apr 2014	building	Manikchari
37.56667	JP	140.11667	23 Mar 2015	excellent	Inawashiro
36.64852	IR	51.49621	2016-01-11	excellent	Nowshahr
58.7002	RU	59.4839	03/23/2021, 00:00:00	accep	Kachkanar
44.99012	US	-123.02621	02/16/2014, 00:00:00	average	Keizer
22.37066	HK	114.10479	2017-12-25	average	Tsuen Wan
-7.60361	TZ	37.00438	10 Jul 2021	accep	Kidodi
14.62072	IN	74.83554	11 Jun 2017	accep	Sirsi
23.15678	CU	-81.24441	2017/07/31	average	Varadero
10.98778	CO	-74.95472	2015/01/30	accep	Puerto Colombia
27.0174	SA	49.62251	2020-02-16	excellent	Al Jubayl
-20.25333	BR	-43.80139	2019/10/17	average	Itabirito
20.88953	US	-156.47432	19 Jun 2021	good	Kahului
40.66482	CN	122.22833	08 Jan 2019	accep	Yingkou
34.15429	DZ	3.50309	2016/12/05	maintenance	Messaad
3.3285	ID	99.1625	2013/03/11	excellent	Tebingtinggi
40.55851	IT	17.80774	01/12/2019, 00:00:00	good	Mesagne
37.73604	US	-120.93549	09 Nov 2012	maintenance	Riverbank
50.11861	GB	-5.53715	2016-02-08	excellent	Penzance
31.28092	IN	74.85849	18 Mar 2014	maintenance	Patti
-7.51611	ID	109.05389	07/15/2015, 00:00:00	excellent	Wangon
57.97472	RU	33.2525	12/26/2015, 00:00:00	accep	Valday
61.72744	SE	17.10558	10/08/2016, 00:00:00	excellent	Hudiksvall
38.10558	ES	-1.86343	2021/03/18	good	Caravaca
45.69558	FR	4.7934	01/18/2020, 00:00:00	building	Saint-Genis-Laval
56.11281	RU	69.49015	31 Oct 2021	accep	Ishim
19.8173	MX	-97.35992	07/25/2018, 00:00:00	excellent	Teziutlan
42.4251	US	-71.06616	09/09/2021, 00:00:00	average	Malden
12.97389	PH	123.99333	2018-12-31	excellent	Sorsogon
34.09668	US	-117.71978	2018/11/22	accep	Claremont
31.28092	IN	74.85849	2012-10-07	good	Patti
-7.81667	ID	112.01667	11/13/2017, 00:00:00	excellent	Kediri
-33.38056	UY	-56.52361	01 May 2018	average	Durazno
41.84364	US	-87.71255	03/29/2016, 00:00:00	good	South Lawndale
38.38479	ES	-0.76773	11/14/2019, 00:00:00	average	Novelda
52.26083	NL	7.00417	2017-08-21	good	Losser
65.84811	FI	24.14662	06/16/2020, 00:00:00	average	Tornio
41.72059	US	-87.70172	2016-06-19	maintenance	Evergreen Park
20.88197	IN	85.83334	28 Feb 2017	excellent	Bhuban
51.955	NL	5.22778	04/01/2021, 00:00:00	excellent	Culemborg
50.86079	PL	17.4674	2017-10-13	average	Brzeg
36.19278	CN	117.65694	04/04/2015, 00:00:00	good	Laiwu
13.70727	NE	9.15013	2017/05/20	average	Mirriah
8.43333	TH	99.96667	06/01/2022, 00:00:00	excellent	Nakhon Si Thammarat
44.27804	US	-88.27205	12/05/2015, 00:00:00	good	Kaukauna
47.05	AT	15.46667	2020/10/09	good	Sankt Peter
10.29085	VN	105.75635	14 Aug 2014	accep	Sa Dec
41.09822	CN	120.74792	29 Sep 2016	excellent	Nanpiao
12.1277	IN	78.15794	10 May 2014	excellent	Dharmapuri
41.72063	IT	12.6723	2014/03/07	average	Ariccia
15.5439	IN	73.7553	10 Dec 2019	average	Calangute
-54.8	AR	-68.3	16 Jul 2020	excellent	Ushuaia
42.22718	IT	14.39024	12 Sep 2021	excellent	Lanciano
-4.5833	CD	15.16554	2018-09-09	good	Kasangulu
39.96348	ES	-4.83076	2018-12-16	excellent	Talavera de la Reina
30.29184	PK	71.67164	2021-05-31	building	Qadirpur Ran
-54.8	AR	-68.3	16 Aug 2021	good	Ushuaia
59.33333	SE	18.28333	12/09/2021, 00:00:00	accep	Boo
13.70167	SV	-89.10944	11/07/2019, 00:00:00	accep	Ilopango
24.41288	IN	76.56719	2022-06-08	good	Aklera
41.0051	US	-73.78458	2019/04/12	good	Scarsdale
38.38479	ES	-0.76773	09/03/2021, 00:00:00	excellent	Novelda
-21.42917	BR	-45.94722	2013/12/07	accep	Alfenas
49.88307	CA	-119.48568	2020/12/09	good	Kelowna
55.54028	RU	89.20083	2022-05-24	excellent	Sharypovo
41.55815	US	-73.0515	2012-11-15	excellent	Waterbury
55.54028	RU	89.20083	10/07/2019, 00:00:00	maintenance	Sharypovo
-21.44236	BW	27.46153	12 Jun 2017	accep	Tonota
41.77583	JP	140.73667	05/30/2017, 00:00:00	average	Hakodate
55.63711	RU	37.38115	12 Jan 2020	maintenance	Solntsevo
34.15429	DZ	3.50309	2022/09/09	average	Messaad
43.1122	IT	12.38878	29 Apr 2015	average	Perugia
2.41669	UG	30.98551	2021-06-24	average	Paidha
38.96372	US	-76.99081	12/19/2015, 00:00:00	building	Chillum
31.78336	PS	35.23388	2016/08/07	accep	East Jerusalem
27.71809	US	-82.35176	06/01/2019, 00:00:00	good	Sun City Center
46.08333	CN	122.08333	2013/06/10	excellent	Ulanhot
19.32889	MX	-99.32556	05 Feb 2016	excellent	San Lorenzo Acopilco
-22.45667	BR	-47.53028	2017-05-21	excellent	Santa Gertrudes
-14.66463	BR	-52.35558	01/01/2019, 00:00:00	excellent	Nova Xavantina
20.88953	US	-156.47432	2016-09-13	good	Kahului
11.50526	IN	77.23826	13 Aug 2017	good	Sathyamangalam
39.96097	US	-75.60804	15 Jan 2020	good	West Chester
5.30383	GH	-1.98956	2022-08-09	accep	Tarkwa
33.52253	US	-117.70755	2020/07/16	building	Laguna Niguel
-21.42917	BR	-45.94722	05/04/2013, 00:00:00	accep	Alfenas
34.4833	JP	136.84186	15 Aug 2019	accep	Toba
25.92493	IN	73.66633	2015/09/19	good	Sojat
-25.42778	BR	-49.27306	07/22/2018, 00:00:00	excellent	Curitiba
-22.9	MG	44.53333	23 Oct 2013	average	Sakaraha
50.18545	UA	27.06365	2018/08/22	excellent	Shepetivka
4.73245	CO	-74.26419	2021/02/16	accep	Madrid
56.85836	RU	35.90057	2017/05/03	excellent	Tver
32.87533	PK	71.57118	24 Mar 2021	accep	Daud Khel
41.82143	GE	41.77921	2021-05-12	accep	Kobuleti
-2.90055	EC	-79.00453	06/06/2014, 00:00:00	average	Cuenca
43.32686	ES	-2.98884	29 Sep 2019	average	Leioa
41.66394	US	-83.55521	2021-05-22	excellent	Toledo
35.6803	IR	51.0193	09/04/2018, 00:00:00	accep	Shahre Jadide Andisheh
51.40944	RU	46.04833	25 Feb 2018	building	Privolzhskiy
8.43333	TH	99.96667	2021-08-30	average	Nakhon Si Thammarat
37.51803	IT	15.00913	10/07/2012, 00:00:00	good	Misterbianco
7.6	NG	4.18333	06 Sep 2020	good	Olupona
9.6531	PH	124.3697	12/17/2020, 00:00:00	average	Jagna
13.70727	NE	9.15013	01/28/2021, 00:00:00	average	Mirriah
-0.71667	BR	-48.52333	2013-09-02	accep	Soure
5.4709	MY	100.24529	2013-07-17	average	Batu Feringgi
26.76628	IN	83.36889	11/21/2021, 00:00:00	good	Gorakhpur
41.16704	US	-73.20483	2020-05-11	accep	Bridgeport
36.19278	CN	117.65694	11 Mar 2018	excellent	Laiwu
40.56754	US	-89.64066	2019-06-06	accep	Pekin
37.05944	TR	37.3825	2015-12-22	accep	Gaziantep
30.24706	CN	115.04814	2020/04/07	accep	Huangshi
41.41204	ES	2.18247	14 Oct 2014	good	el Camp de l'Arpa del Clot
34.61667	JP	135.6	2021-02-26	building	Yao
-4.06667	TZ	37.73333	2014-03-21	accep	Same
-2.68333	TZ	33	15 Dec 2014	building	Usagara
22.83957	BD	91.84128	05/26/2021, 00:00:00	excellent	Manikchari
18.42745	PR	-67.15407	18 Feb 2022	excellent	Aguadilla
13.8196	TH	100.04427	2022-01-30	excellent	Nakhon Pathom
22.75218	IN	72.68533	2013-06-29	accep	Kheda
36.20389	KR	127.08472	21 Feb 2015	average	Nonsan
52.2	DE	8.63333	2020-05-17	excellent	Kirchlengern
42.55308	US	-87.93341	11/13/2014, 00:00:00	building	Pleasant Prairie
29.53885	US	-95.44744	26 Mar 2013	average	Fresno
11.84962	NI	-86.19903	2017/01/22	good	Jinotepe
-3.20333	BR	-52.20639	10/18/2021, 00:00:00	excellent	Altamira
47.90771	MN	106.88324	2012/11/11	accep	Ulan Bator
-7.54972	ID	110.71639	03/13/2018, 00:00:00	average	Ngemplak
56.03361	RU	35.96944	03/26/2013, 00:00:00	accep	Volokolamsk
13.56667	GM	-15.6	12/12/2020, 00:00:00	building	Farafenni
30.17746	US	-81.38758	2017/08/11	good	Palm Valley
33.42585	MA	-6.00137	2022/02/05	excellent	Oulmes
14.64056	TH	104.64992	2022-06-17	good	Kantharalak
39.45621	US	-77.96389	2021-12-19	good	Martinsburg
41.84364	US	-87.71255	25 Jun 2016	good	South Lawndale
-26.22861	BR	-52.67056	2016/05/10	good	Pato Branco
51.30001	DE	13.10984	11 Mar 2022	excellent	Oschatz
48.90472	FR	2.2469	2019-01-31	accep	La Garenne-Colombes
-1.9487	RW	30.4347	2014/07/04	average	Rwamagana
41.72063	IT	12.6723	2021-02-24	accep	Ariccia
42.55308	US	-87.93341	2015-07-08	excellent	Pleasant Prairie
21.46527	IN	83.97573	02/03/2016, 00:00:00	excellent	Sambalpur
57.97472	RU	33.2525	07/09/2017, 00:00:00	excellent	Valday
-24.19436	ZA	29.00974	2018-10-17	good	Mokopane
37.08819	PT	-8.2503	04/17/2016, 00:00:00	accep	Albufeira
13.48082	NI	-86.58208	27 Jul 2022	excellent	Somoto
12.18441	TD	18.69303	05/27/2021, 00:00:00	building	Mongo
35.05266	US	-78.87836	2021/09/17	excellent	Fayetteville
51.78771	RU	56.36091	2014-01-16	good	Saraktash
51.78771	RU	56.36091	2017-08-21	maintenance	Saraktash
10.63504	CR	-85.43772	01 Mar 2013	accep	Liberia
40.34912	US	-111.90466	2022-02-19	average	Saratoga Springs
53.59337	DE	9.47629	2012-12-02	average	Stade
25.67927	US	-80.31727	2014-03-19	accep	Kendall
32.44874	US	-99.73314	25 Oct 2015	good	Abilene
23.18	IN	88.58	12 Jun 2022	accep	Aistala
17.30858	MM	97.01124	2022/09/11	good	Kyaikto
11.86064	NG	9.0027	2019/04/30	accep	Gaya
52.21099	DE	7.02238	26 Sep 2019	building	Gronau
53.53041	RU	43.67663	19 Jul 2014	average	Nizhniy Lomov
18.00747	JM	-76.78319	2019-06-16	accep	New Kingston
-21.98333	NA	16.91667	2013/09/11	good	Okahandja
50.64336	DE	7.2278	2021/02/28	excellent	Bad Honnef
7.50251	NG	5.06258	2018/07/31	average	Igbara-Odo
42.22718	IT	14.39024	10/31/2019, 00:00:00	good	Lanciano
33.03699	US	-117.29198	2018-02-06	good	Encinitas
44.99012	US	-123.02621	2021/09/19	accep	Keizer
6.8485	NG	3.64633	2012/10/13	good	Shagamu
35.89972	MT	14.51472	2015/10/13	good	Valletta
14.95472	PH	120.89694	10 Feb 2018	accep	Baliuag
37.05944	TR	37.3825	03/31/2016, 00:00:00	good	Gaziantep
28.15112	US	-82.46148	2017-08-14	maintenance	Lutz
40.87329	IT	14.43865	16 Jun 2022	average	Somma Vesuviana
55.39485	RU	43.83992	2013-10-17	accep	Arzamas
22.98212	CU	-80.58556	2015-06-27	building	Corralillo
36.6009	KR	126.665	05 Jan 2018	maintenance	Hongseong
41.75338	US	-86.11084	2018-07-31	maintenance	Granger
27.92333	CN	118.53333	2014-11-24	average	Pucheng
-1.6	ID	103.61667	10 Sep 2018	accep	Jambi City
11.50526	IN	77.23826	01 May 2014	average	Sathyamangalam
53.95278	RU	32.86389	22 Feb 2014	accep	Roslavl’
57.30185	RU	39.85331	18 Sep 2016	average	Gavrilov-Yam
33.76446	US	-117.79394	2020/12/26	building	North Tustin
50.56149	BE	4.69889	05/16/2019, 00:00:00	good	Gembloux
-11.48472	BR	-37.93278	08/07/2020, 00:00:00	maintenance	Rio Real
44.75874	BA	19.21437	11/20/2019, 00:00:00	building	Bijeljina
38.58894	US	-89.99038	12 Jan 2017	maintenance	Fairview Heights
41.15612	ES	1.10687	19 Nov 2015	maintenance	Reus
37.13548	ES	-3.67029	10/19/2020, 00:00:00	accep	Las Gabias
25.49043	IN	85.94001	2015/06/05	average	Teghra
44.98901	RU	38.94324	01 Apr 2021	good	Yablonovskiy
14.95472	PH	120.89694	02/06/2015, 00:00:00	accep	Baliuag
34.63915	US	-120.45794	2017/01/12	accep	Lompoc
53.0233	GB	-1.48119	08 Apr 2014	building	Belper
39.72943	US	-104.83192	06 Sep 2018	good	Aurora
14.0823	MM	98.19151	2022-07-12	good	Dawei
42.7392	US	-84.62081	2015-01-27	maitennce	Waverly
14.62578	PH	121.12251	04/07/2014, 00:00:00	good	Antipolo
35.25064	US	-91.73625	2017-10-05	average	Searcy
52.53048	DE	13.29371	16 Jan 2022	average	Charlottenburg-Nord
5.84752	CI	-5.682	2018-06-19	building	Lakota
6.45407	NG	3.39467	07/09/2017, 00:00:00	building	Lagos
52.47774	DE	10.5511	25 Jun 2014	building	Gifhorn
42.30865	US	-83.48216	2014/08/29	maintenance	Canton
48.77275	FR	5.16108	18 Jun 2013	average	Bar-le-Duc
-7.60361	TZ	37.00438	2015-12-24	accep	Kidodi
4.02219	MY	101.02083	25 Dec 2014	accep	Teluk Intan
55.62047	RU	37.49338	01 Feb 2018	excellent	Tyoply Stan
40.34912	US	-111.90466	2019/02/06	good	Saratoga Springs
53.53333	IE	-7.35	2017-10-18	good	An Muileann gCearr
40.24537	US	-75.64963	07/19/2015, 00:00:00	building	Pottstown
52.66277	GB	-2.01111	2017-06-18	average	Great Wyrley
34.63915	US	-120.45794	2019-07-06	excellent	Lompoc
39.46667	JP	141.95	2018/11/16	good	Yamada
41.91738	ES	3.1631	11/06/2020, 00:00:00	good	Palafrugell
51.65333	NL	5.2875	2020/06/23	average	Vught
22.19303	IN	88.18466	03/09/2020, 00:00:00	maintenance	Diamond Harbour
52.61131	DE	13.31783	2016-08-10	accep	Hermsdorf
-8.76194	BR	-63.90389	2022/08/07	building	Porto Velho
13.8196	TH	100.04427	17 Nov 2019	excellent	Nakhon Pathom
22.10194	IN	85.37752	10/13/2015, 00:00:00	average	Barbil
1.6561	MY	103.6032	2013/12/07	accep	Kulai
50.80019	DE	7.20769	07/05/2022, 00:00:00	average	Siegburg
50.23271	CZ	12.87117	02/02/2020, 00:00:00	accep	Karlovy Vary
32.54044	US	-82.90375	14 Jul 2021	excellent	Dublin
27.76056	ES	-15.58602	09 May 2013	accep	Maspalomas
53.77166	RU	38.12408	04/15/2016, 00:00:00	accep	Bogoroditsk
10.12268	IN	77.54372	01 Nov 2017	average	Periyakulam
47.56494	UA	31.33078	2013/07/26	accep	Voznesensk
27.55898	PK	68.21204	26 May 2022	good	Larkana
-11.94306	PE	-76.70944	2020-04-07	good	Chosica
29.65163	US	-82.32483	2014-09-25	good	Gainesville
48.98693	FR	2.44892	12/05/2017, 00:00:00	good	Gonesse
44.97639	RS	19.61222	06/02/2016, 00:00:00	good	Sremska Mitrovica
42.24113	US	-88.3162	23 Aug 2021	maintenance	Crystal Lake
43.61062	US	-72.97261	08/30/2018, 00:00:00	excellent	Rutland
-10.90889	BR	-37.03861	2021-06-01	accep	Barra dos Coqueiros
43.67681	FR	4.63031	2018-12-05	maintenance	Arles
-6.25	TZ	38.66667	13 Apr 2020	excellent	Mvomero
33.95015	US	-118.03917	10 Jan 2022	average	South Whittier
36.72544	DZ	3.55665	02/09/2021, 00:00:00	excellent	Thenia
42.55308	US	-87.93341	2014-03-13	average	Pleasant Prairie
54.03876	RU	43.91385	2016/10/03	good	Kovylkino
36.21544	AF	65.93249	10/03/2017, 00:00:00	accep	Sar-e Pul
8.56697	PH	123.33471	2012/10/07	excellent	Dipolog
7.62789	NG	4.74161	2019-07-02	maintenance	Ilesa
-32.45242	CL	-71.23106	10/07/2019, 00:00:00	accep	La Ligua
50.56149	BE	4.69889	03 Jun 2015	average	Gembloux
41.0051	US	-73.78458	10/08/2016, 00:00:00	accep	Scarsdale
12.35275	PH	121.06761	11/05/2013, 00:00:00	average	San Jose
37.65639	KR	126.835	28 Mar 2016	average	Goyang-si
6.8485	NG	3.64633	2022/05/25	excellent	Shagamu
47.80527	US	-122.24064	10/01/2019, 00:00:00	maintenance	Bothell West
14.37395	TH	100.48528	09/15/2017, 00:00:00	excellent	Bang Ban
41.55947	IT	14.66737	12/12/2021, 00:00:00	excellent	Campobasso
36.20389	KR	127.08472	08/23/2016, 00:00:00	excellent	Nonsan
-2.68333	TZ	33	2017/03/03	average	Usagara
51.78771	RU	56.36091	19 Sep 2020	excellent	Saraktash
49.13645	DE	8.91229	06/11/2018, 00:00:00	average	Eppingen
-31.4488	AR	-60.93173	05 Mar 2020	accep	Esperanza
11.84962	NI	-86.19903	2018-08-19	building	Jinotepe
55.54028	RU	89.20083	2016-02-14	maintenance	Sharypovo
10.31672	PH	123.89071	13 Nov 2017	building	Cebu City
7.6	NG	4.18333	07/20/2013, 00:00:00	average	Olupona
-37.32167	AR	-59.13316	02/13/2022, 00:00:00	average	Tandil
-21.42917	BR	-45.94722	06/30/2020, 00:00:00	building	Alfenas
52.61131	DE	13.31783	2017-01-06	average	Hermsdorf
38.45598	AZ	48.87498	30 May 2022	good	Astara
52.66277	GB	-2.01111	2020/09/18	good	Great Wyrley
11.8659	SD	34.3869	02/08/2021, 00:00:00	accep	Ar Ruseris
61.78491	RU	34.34691	2022/07/22	excellent	Petrozavodsk
51.21187	BE	4.25633	2012-10-05	average	Beveren
10.12268	IN	77.54372	10/16/2020, 00:00:00	good	Periyakulam
11.50526	IN	77.23826	2012-11-25	accep	Sathyamangalam
50.56149	BE	4.69889	2019-12-07	excellent	Gembloux
43.16547	US	-77.70066	2020-01-23	average	Gates-North Gates
55.82737	GB	-4.0573	2013-01-03	excellent	Viewpark
43.82634	JP	144.09638	04/11/2022, 00:00:00	average	Motomachi
44.92934	RU	37.99117	2019/12/17	maintenance	Krymsk
49.41029	UA	38.15035	11/06/2014, 00:00:00	excellent	Svatove
44.89784	IT	8.86374	2021-08-31	accep	Tortona
-3.20333	BR	-52.20639	07/19/2014, 00:00:00	good	Altamira
11.86064	NG	9.0027	04 Oct 2018	maintenance	Gaya
47.05	AT	15.46667	05/02/2014, 00:00:00	excellent	Sankt Peter
42.62833	XK	20.89389	19 Sep 2020	accep	Glogovac
41.85059	US	-87.882	2014/11/24	accep	Westchester
48.79325	FR	2.29275	2017-05-31	average	Fontenay-aux-Roses
25.92127	IN	86.79271	2016/11/13	excellent	Madhipura
38.96667	ES	-0.18333	04 Jun 2017	maintenance	Gandia
48.98994	FR	2.1699	22 Nov 2021	excellent	Herblay
19.32889	MX	-99.32556	2019/06/18	accep	San Lorenzo Acopilco
58.04254	RU	65.27258	03/17/2022, 00:00:00	excellent	Tavda
58.63667	RU	59.80222	22 May 2018	excellent	Lesnoy
36	JP	139.55722	03/19/2016, 00:00:00	maintenance	Okegawa
8.43333	TH	99.96667	18 Apr 2019	excellent	Nakhon Si Thammarat
