O3	SO2	warning	H2CO	CO	PM10	NH3	Pb	CFCs	PAHs	PRES	NOx	PM2.5	CH4	C2H3NO5	TEMP	latitude	longitude
6.20205	9.41862	1.00000	66.79061	6.46568	8.57047	6.32388	50.06214	60.95258	7.68510	1126.86973	8.09604	7.80895	7.96738	0.20528	18.80547	6.45407	3.39467
6.43478	8.70934	1.00000	69.08686	6.20315	8.26260	8.00457	45.84878	41.07566	9.45142	1174.82381	10.04182	9.08159	6.61445	0.12507	4.81161	-27.50578	153.10236
9.07569	10.11825	1.00000	45.45344	7.29518	10.20694	6.68014	44.45169	45.81813	10.76547	1120.26042	8.67042	6.45515	7.77182	0.77116	19.58954	-33.59217	-70.6996
6.61457	11.70480	1.00000	67.03890	6.45779	6.54193	6.06213	39.05462	57.01274	6.09340	1078.73088	10.26665	9.28721	9.16771	0.06210	17.96797	52.14	5.58472
8.35926	11.89204	1.00000	25.54722	6.85436	7.09304	7.45792	58.74264	44.48491	7.29425	1192.90846	9.65758	7.58686	8.81144	0.07689	4.82823	53.5942	25.8191
7.98517	7.28502	0.00000	52.43017	9.09735	11.03196	7.47230	50.97423	31.46418	10.57989	1160.42804	6.96647	8.35892	9.30510	1.66945	4.26681	39.00622	-77.4286
6.53817	11.88667	1.00000	44.19767	6.95313	8.79935	7.36440	50.11726	35.32300	8.20785	1103.92405	11.48239	7.67178	8.15968	0.24597	1.92666	37.05944	37.3825
5.34176	7.60373	1.00000	47.17263	5.28835	8.58158	6.44029	67.33276	34.57856	5.66909	1184.69153	8.91664	7.96243	7.31029	0.18411	15.71741	-8.43333	114.33333
9.04136	9.17571	0.00000	35.38716	7.39417	7.89569	8.31584	58.67485	48.11365	5.92315	1191.22200	7.08059	8.79886	7.56950	0.11256	17.54830	-21.205	-41.88778
7.41904	7.62097	1.00000	34.79863	4.44002	10.40122	6.27883	57.93191	42.06164	7.63735	1121.99599	7.31491	7.62027	5.33317	0.89835	16.01991	32.52515	-93.75018
8.33956	6.17045		49.09253	6.18774	6.67724	8.94318	40.30020	33.63109	7.34808	1194.79852	7.65926	6.65874	6.87634	0.07506	31.22625	-15.675	-38.94722
6.26379	6.90218	1.00000	52.10363	6.67318	7.66554	9.21891	49.92605	58.12622	6.13853	1156.24339	8.91348	8.04952	7.70337	0.10101	4.32736	20.22816	-103.5687
7.63838	7.75679	0.00000	37.89241	5.10796	7.67685	6.67504	22.70591	44.26691	9.14866	1146.69434	8.58882	7.85537	8.34115	0.09482	7.51229	51.38673	0.30367
8.77503	8.09376	0.00000	53.34440	6.56574	10.43688	7.17885	55.64654	53.12615	11.18237	1142.75878	4.38175	8.68371	6.56425	0.95657	17.33325	14.0823	98.19151
7.22587	9.46889	1.00000	62.38757	6.96045	10.20377	7.97728	50.27367	43.80770	10.98711	1176.59477	10.25375	6.43040	8.15915	0.74915	10.73576	42.4251	-71.06616
4.97482	8.18545	1.00000	62.10485	5.67370	10.13118	7.97596	56.32647	34.20887	9.29586	1128.72044	10.09412	8.32166	6.73541	0.69632	14.65569	-1.26753	116.82887
11.50657	8.18684	0.00000	44.51913	4.74754	10.78457	6.15240	52.10658	61.20950	3.91103	1102.89532	7.94605	7.85165	10.39672	1.29287	33.61427	35.05266	-78.87836
7.64383	8.88464	0.00000	25.48233	7.00417	7.24489	8.00557	40.23257	53.65641	5.13014	1185.49438	10.18545	9.65644	8.43361	0.10798	10.18358	-21.44345	-65.71875
8.74362	10.46220	1.00000	64.13955	7.06426	8.50997	7.78870	42.29332	53.36472	9.73970	1103.33806	9.45177	8.66205	9.86344	0.16867	20.35983	49.41029	38.15035
7.38154	7.92909	1.00000	76.18519	7.08579	9.24483	6.73381	28.10333	40.15458	5.69075	1093.80617	9.30470	7.66323	7.61298	0.31337	7.09058	-26.22861	-52.67056
9.52746	10.45688	0.00000	37.73713	6.40349	10.52467	7.46041	69.31278	46.80843	11.75965	1169.31605	6.17039	6.86689	8.00532	1.02399	15.41442	44.75874	19.21437
7.87887	11.11917	1.00000	40.23547	7.15799	9.90659	7.23432	45.89565	47.53616	9.36735	1199.14627	9.72086	7.10640	8.73125	0.57071	10.55102	36.33011	138.89585
5.88013	9.58587	1.00000	42.33982	6.50588	7.67040	7.87937	71.63491	37.08860	7.48888	1086.67904	8.82055	6.89206	9.15870	0.10657	41.59996	11.84962	-86.19903
11.81090	6.14604	0.00000	59.29921	3.14361	10.37846	8.09730	31.88633	68.87812	5.05528	1187.20775	11.66900	7.66024	9.09475	0.88642	12.84167	40.34912	-111.90466
8.27620	7.32186	0.00000	37.34522	11.82649	9.48334	7.55241	75.06229	34.02231	7.38142	1081.09806	7.64288	4.87912	6.99858	0.39941	48.68846	-21.15	46.58333
10.12799	8.90838	0.00000	37.04079	8.05706	8.11202	5.96302	15.51868	24.96179	7.82562	1071.07485	5.07866	7.10961	6.36137	0.13225	16.05856	0.49113	29.47306
10.74361	8.59104	0.00000	38.43341	5.69855	10.23331	7.60875	57.66792	35.64157	5.07237	1142.63603	7.82577	7.05593	9.15642	0.77321	-9.34157	59.33333	18.28333
9.09772	6.77595	0.00000	54.40731	8.34593	9.87970	7.01959	32.92468	41.56322	9.77101	1060.53367	5.62363	7.07248	8.84709	0.55625	2.91585	42.28639	18.84
5.04626	6.32269	1.00000	46.50018	5.50358	7.57537	6.73675	38.55788	39.07954	6.41615	1080.01877	9.09628	6.90773	8.53055	0.12068	11.43831	50.9803	11.32903
7.06974	8.82162	1.00000	57.48930	9.77957	10.22260	8.15783	66.38695	44.15399	10.41805	1198.50695	5.24815	7.71147	8.94316	0.75426	7.76765	33.14447	47.3799
6.82729	7.78710	1.00000	75.43593	6.75153	9.85795	5.59932	46.52942	72.60874	9.17906	1110.22784	5.83833	7.21931	8.04217	0.56481	7.91016	27.85	112.9
5.11705	9.10305	1.00000	81.68915	6.48260	7.88180	9.41192	44.42785	36.23293	7.61647	1079.03694	8.87524	8.29250	6.21897	0.10538	11.16671	10.10649	76.35484
5.50310	7.06537	1.00000	50.67802	5.82415	6.48392	9.06196	33.83720	53.90653	8.01532	1121.05547	10.15109	8.26867	8.59563	0.06336	17.09588	32.54044	-82.90375
8.45411	9.63472	1.00000	66.35211	6.86228	9.08026	8.08043	59.26042	45.49015	9.00347	1164.52818	7.33683	7.06735	7.93969	0.27454	22.58053	3.51667	11.5
8.20542	10.06913	0.00000	55.52444	7.35806	11.79498	7.44117	55.50908	41.26387	11.14404	1053.69064	6.15798	7.83483	7.74111	3.53740	13.51315	39.32288	-76.72803
11.03057	5.93342	0.00000	25.58369	4.10208	5.93166	7.60764	43.52683	53.12792	10.25425	1131.08006	11.39601	7.80035	7.99996	0.06901	39.71946	43.35071	46.10925
9.52991	8.96520	0.00000	67.53311	10.04317	5.26831	7.20358	53.80496	48.01761	7.25585	1163.67528	5.40694	8.54815	6.22775	0.04242	12.89575	-7.54972	110.71639
8.19152	8.22108	0.00000	49.00838	8.40473	7.55627	8.72176	59.32082	29.80741	7.45030	1164.66096	8.31323	7.00396	7.71954	0.08774	10.31758	-28.24	-48.67028
7.82972	9.14009	0.00000	53.30548	6.74724	10.05767	8.11879	43.27740	46.66624	5.23073	1197.16053	9.99516	7.20985	6.86584	0.65588	24.39609	25.95533	68.88871
6.13969	8.73128	1.00000	50.63149	6.83156	10.27742	8.17739	49.13723	57.05541	9.46955	1147.38303	8.05614	7.68170	7.88787	0.83003	0.68143	48.52961	12.16179
6.89195	7.75196	1.00000	47.50943	6.75601	10.84104	7.33432	50.68349	26.05211	11.40499	1132.66277	8.47284	7.95365	9.20349	1.39066	22.21801	-7.51611	109.05389
8.94029	9.96472	0.00000	72.89238	6.15090	9.77180	7.29802	64.29197	39.99781	5.19986	1172.57682	9.34256	7.89972	5.48846	0.50090	10.74930	42.4251	-71.06616
7.23759	10.36729	0.00000	26.51427	9.03393	10.08702	8.05632	56.02572	46.06331	9.03676	1120.91416	5.39341	6.68117	8.73944	0.67841	10.09535	45.47885	133.42825
6.22441	7.86597	1.00000	59.51750	6.38285	9.80669	8.67384	33.93551	43.91577	8.83719	1170.50293	6.72297	5.78898	7.34323	0.50003	35.64329	40.78206	72.34424
4.72161	5.25360	1.00000	51.45870	7.06952	6.70506	7.52281	54.80846	44.01817	4.97129	1064.81353	9.52208	8.84961	7.47270	0.08400	12.96115	-10.95817	-38.79084
6.44087	10.66310	0.00000	37.66072	8.03840	8.73955	6.77737	68.80162	71.34107	6.94294	1106.52215	10.61053	7.18410	5.89922	0.21864	18.61270	43.41949	77.0202
8.39018	9.88618	1.00000	49.73506	6.78452	9.61778	7.16881	43.98159	47.08825	10.01421	1145.42113	9.10770	9.33046	8.22815	0.44143	9.94319	51.168	7.973
5.08968	10.08979	1.00000	47.98532	6.34617	9.90070	7.97672	43.13887	45.84506	8.15302	1098.73685	10.27239	7.83773	7.54709	0.56553	18.76256	-6.91806	106.92667
10.05215	8.92537	1.00000	17.97052	6.95114	11.03284	8.78075	56.69394	55.33943	10.93325	1139.64632	6.56266	7.29118	5.93920	1.64774	25.59818	35.05266	-78.87836
7.53631	10.88070	1.00000	35.17002	7.00472	9.32090	6.74185	55.29604	55.23029	8.14562	1123.32261	8.45219	7.97245	8.18311	0.35857	24.84801	17.94979	-94.91386
7.08565	5.85071	1.00000	40.88638	9.21675	3.85699	7.52721	54.63724	41.79924	7.56255	1161.89715	11.34363	7.07313	6.53055	0.03435	20.42787	45.4473	-73.75335
10.08464	8.43187	0.00000	51.49163	5.60040	11.00525	6.67097	77.22861	55.46894	10.49299	1196.30531	5.38240	6.89816	6.05658	1.61581	15.04817	15.45144	78.14797
5.59231	5.80679	1.00000	59.63117	6.23622	6.11646	10.02157	44.64908	33.44918	6.99619	1181.66495	7.33357	7.33089	6.75174	0.07396	21.78286	29.98869	122.20488
4.58800	7.54540	1.00000	40.78787	4.98719	7.32328	8.27493	53.98930	63.63946	5.67111	1084.62305	9.83086	6.68058	8.03257	0.09378	13.64321	59.80917	30.38167
7.26501		0.00000	49.07942	8.86611	9.17068	7.69776	57.64230	22.84304	9.06631	1061.41287	4.41963	7.59517	8.10120	0.31291	22.98823	-1.63333	13.58357
7.05982	5.64530	1.00000	40.51461	9.78153	4.85922	7.51385	44.45168	32.97534	7.09179	1064.84313	11.03876	9.11721	7.06369	0.06964	16.41032	48.43174	17.8031
9.98493	7.98403	0.00000	39.04849	8.88317	6.43139	6.59319	42.03262	44.81347	8.40111	1110.15334	4.75502	7.01279	7.19899	0.06796	8.44744	16.68911	98.50893
8.55689	7.82142	0.00000	49.64061	9.42559	9.35157	7.24002	73.08817	35.11702	8.99897	1069.32758	5.29953	7.51043	8.34514	0.35042	14.57026	50.80019	7.20769
11.24256	6.18029	0.00000	48.39165	5.25064	8.22668	9.10683	47.11259	33.05620	6.09817	1144.41262	7.87424	6.12611	5.23942	0.13766	21.33476	34.08565	74.80555
7.10327	6.39521	1.00000	15.42560	7.24346	5.90808	8.05474	44.48274	41.56354	8.44238	1097.76086	10.65807	9.30730	9.12468	0.05824	2.47418	-20.87306	-48.29694
9.76888	9.06974	0.00000	70.72201	7.39501	10.15537	8.72640	56.66147	31.26079	10.13812	1062.63650	6.20019	7.29700	9.20397	0.72417	27.22549	51.84819	1.26738
9.88152	9.88764	0.00000	79.05312	9.49645	10.72202	7.31088	55.73466	46.40868	10.24193	1062.85273	9.64277	8.06839	8.00571	1.23378	19.61948	43.1009	-75.23266
8.73658	9.91243	0.00000	66.72575	5.59234	7.25662	6.20943	40.19394	44.51650	7.13293	1111.37430	9.52709	5.69968	8.27297	0.08744	13.95058	16.0438	120.4861
8.02685	8.02447	1.00000	55.27914	6.56266	9.61372	9.03961	51.25157	24.43331	10.21747	1096.16576	7.12764	5.76036	7.62165	0.43353	14.44044	23.02677	113.13148
10.61024	6.91007	0.00000	43.15986	6.32584	9.30050	9.05431	23.73943	47.52789	11.24253	1145.36467	4.99360	8.03894	9.02435	0.33890	1.39959	-20.87306	-48.29694
6.73179	4.85247	1.00000	35.64978	3.75018	6.79419	7.01474	42.30031	55.05237	9.36508	1106.44110	7.36878	8.13383	7.59101	0.06437	7.87942	-21.44345	-65.71875
5.19159	5.83056	1.00000	61.73715	5.83152	6.54375	9.56349	58.62750	49.72471	6.38569	1182.20250	7.65660	6.80668	8.08290	0.08924	14.14723	48	-4.1
5.65126	7.31259	1.00000	61.22109	5.53774	7.43819	7.74442	61.00073	31.08503	8.79628	1172.48273	9.24762	8.28773	7.38162	0.07796	37.97149	37.73604	-120.93549
7.61804	8.86811	1.00000	67.85997	7.19879	6.71981	8.68742	55.85459	24.42408	7.79974	1098.22376	5.83675	8.17661	7.35726	0.06784	28.61654	38.17492	-122.2608
8.06806	6.79439	1.00000	40.72333	5.25765	6.46177	7.73670	54.31449	60.16248	8.66237	1166.89822	8.38329	7.72134	9.44240	0.07723	6.49936	31.76212	-95.63079
6.67474	7.25524	1.00000	77.91583	5.48280	7.79205	8.37235	46.80575	52.47377	9.43612	1113.55378	9.26827	7.82029	8.86713	0.08590	6.39026	43.54072	-116.56346
6.02450	11.64109	1.00000	32.72470	7.14552	9.96687	6.44285	58.09095	41.59864	7.68935	1132.84659	9.75716	8.06336	6.15230	0.61692	12.37854	23.15678	-81.24441
6.35605	5.74192	1.00000	46.37971	7.33836	6.71501	9.07380	52.52996	60.24774	8.49144	1197.98693	8.17278	5.85916	7.94386	0.06142	43.07292	11.84962	-86.19903
7.87967	5.75586	1.00000	69.05779	5.63828	4.13453	6.75563	67.19804	50.08339	7.40986	1059.02865	9.11526	6.22940	7.33906	0.02964	25.17348	41.77583	140.73667
5.82260	7.15029	1.00000	68.65960	6.38321	8.42895	9.31522	40.24417	47.79132	8.41651	1123.57898	6.18752	9.11651	8.10083	0.16082	9.91104	38.37255	34.02537
7.81594	6.66449	1.00000	42.69158	7.83535	5.79865	6.98394	51.52313	53.01578	10.10944	1193.17912	10.94120	8.97650	8.65421	0.05967	-1.36730	40.57788	-73.95958
6.54681	8.56267	0.00000	47.04716	13.57410	10.01455	7.89671	47.16920	43.23267	9.13331	1064.74225	9.41019	6.98257	7.99056	0.61529	12.63649	47.30997	8.52462
7.44439	6.14887	1.00000	11.80217	7.61863	5.81713	10.55083	44.41806	53.39178	5.79270	1122.92651	10.41826	9.02969	8.39191	0.04458	19.01697	38.45598	48.87498
8.28040	8.24943	0.00000	19.98651	8.03382	11.88735	7.03785	43.83046	42.38030	10.71433	1186.00395	6.41220	6.97125	7.19839	3.87433	18.78977	39.71734	-74.96933
10.01902	6.81680	0.00000	33.57404	7.48309	9.51679	8.79617	36.63666	50.17825	9.81732	1182.18931	5.02521	7.28882	8.31935	0.40102	21.88857	41.20485	-8.33147
6.96356	8.57617	1.00000	83.03514	5.50092	7.79216	7.75200	73.19197	53.85393	10.39989	1077.53273	12.24073	5.75259	8.34409	0.10171	25.81116	40.82232	-74.15987
6.77304	8.10727	0.00000	49.98249	10.40492	11.41772	7.58452	46.46232	48.41904	11.07344	1140.00991	6.85304	8.10193	8.43463	2.42860	15.45734	37.05944	37.3825
9.16758	10.30900	0.00000	49.42608	9.48560	7.76719	6.90822	52.97841	69.60127	9.18452	1196.70549	6.31061	7.23170	7.52240	0.09063	48.62539	6.25947	102.05461
7.53862	9.32041	0.00000	14.87577	12.99709	7.72418	8.57775	34.81577	55.59283	7.36730	1126.40070	8.11434	8.27224	6.38718	0.10097	8.90829	11.93381	79.82979
7.06779	9.30883	0.00000	41.02360	9.53563	10.51614	8.46372	69.01333	66.39818	11.03172	1137.49033	7.31017	6.70692	7.57193	1.00636	17.03659	41.72063	12.6723
6.02864	11.08953	0.00000	36.22382	9.38428	6.49488	6.66684	49.66915	45.26160	10.14786	1173.38509	9.44348	8.06220	8.35423	0.06082	20.38036	38.96667	-0.18333
7.29521	10.80403	1.00000	66.27141	6.41254	8.00583	7.09977	56.29971	73.19341	7.30443	1084.00306	9.17361	10.10934	8.48659	0.09282	11.83379	59.37722	28.19028
6.65935	7.13266	1.00000	48.76807	5.56208	5.33119	7.55189	52.61187	68.28124	5.10724	1121.08255	10.35683	9.13631	6.64020	0.08122	12.44748	8.88649	2.59753
8.12386	9.93310	0.00000	48.01223	8.01476	10.97183	7.40620	55.62401	36.98254	4.63058	1116.30747	7.86541	6.27677	7.37077	1.58335	23.71895	55.38752	36.73307
5.26764	5.62854	1.00000	52.62172	5.70979	3.48679	8.36541	45.65630	30.93104	5.76297	1167.86591	9.32001	8.55133	8.32314	0.04506	19.70677	36	139.55722
8.42116	9.83320	1.00000	53.97167	9.62323	8.75185	8.31366	19.82735	64.30818	7.91280	1120.72520	6.11908	6.52912	7.60507	0.21089	17.69486	36.21544	65.93249
6.50969	8.38538	1.00000	54.81593	6.73884	8.48005	7.18292	53.37387	64.77773	9.08729	1058.35766	7.79413	8.10724	8.08286	0.17905	33.53109	57.97472	33.2525
8.40681	8.69066	0.00000	63.76669	7.58930	7.40665	8.58551	61.00269	56.76912	7.53223	1133.61877	7.95706	6.87793	7.14752	0.11730	4.88332	50.80019	7.20769
4.62815	9.75287	1.00000	72.24651	5.97740	8.64732	7.06446	31.99038	21.06690	7.21108	1146.94054	10.17224	8.80019	5.88853	0.23557	14.58315	51.08468	7.11393
4.98102	6.34542	1.00000	58.60545	5.26945	6.91878	8.44414	65.16572	31.57622	6.68367	1187.18741	8.17284	7.15756	8.78858	0.08165	10.48823	45.99194	29.41824
9.49358	8.57625	0.00000	43.91353	7.60485	10.75188	8.78202	72.97687	42.69094	10.18869	1136.96002	7.55645	5.98813	7.03008	1.28322	8.02578	39.71734	-74.96933
5.13029	9.36765	1.00000	70.56539	6.45195	7.68364	8.29274	29.77516	43.51702	7.80225	1073.16006	9.73217	7.29733	7.30648	0.08927	20.75674	45.50369	11.412
5.91253	9.32748	1.00000	65.20196	6.10452	8.23197	10.05468	39.14521	48.69184	9.25038	1073.51545	11.32252	7.89809	7.75224	0.14681	12.90432	6.33444	124.95278
5.37365	7.69796	1.00000	83.06687	4.94662	7.45964	7.90127	46.30126	68.40515	8.93675	1058.87180	11.33483	7.70931	7.45339	0.08288	33.88021	38.45598	48.87498
9.73704	8.24706	0.00000	46.99843	8.42473	9.11703	6.39854	38.62154	64.14451	8.82352	1186.49646	5.97153	7.92682	7.45420	0.27931	-4.06768	52.53048	13.29371
8.39712	10.11546	0.00000	52.64143	10.89006	8.19566	7.16115	59.78809	42.32288	7.93323	1149.93261	7.49374	9.28767	9.65084	0.14338	15.53271	-19.7625	-44.31389
6.45776	6.53612	1.00000	38.35438	5.68889	4.88136	7.38227	48.08925	34.91479	5.11701	1051.23768	10.05137	7.71394	7.87317	0.06682	22.62275	41.63976	2.35739
7.78292	8.91226	0.00000	39.93251	6.75363	8.13396	7.86319	74.14789	58.51706	8.06122	1085.52045	10.62344	8.93975	7.81847	0.14524	4.77946	19.30157	72.85107
