latitude	revision	code	QoS	longitude	location
26.11527	2014/07/28	IN	excellent	86.59509	Asia/Kolkata
32.42067	02/04/2020, 00:00:00	US	excellent	-104.22884	America/Denver
53.14657	04 Apr 2014	RU	average	140.72287	Asia/Vladivostok
-7.73379	04/16/2013, 00:00:00	ID	good	113.69785	Asia/Jakarta
30.16688	07 Sep 2020	US	excellent	-96.39774	America/Chicago
53.53041	10/11/2019, 00:00:00	RU	accep	43.67663	Europe/Moscow
43.35071	2020-11-22	RU	average	46.10925	Europe/Moscow
-21.44345	2021/04/06	BO	excellent	-65.71875	America/La_Paz
-6.91806	2017/10/06	ID	excellent	106.92667	Asia/Jakarta
-7.73379	01 May 2015	ID	building	113.69785	Asia/Jakarta
33.14447	02/14/2021, 00:00:00	IR	maintenance	47.3799	Asia/Tehran
19.64745	2020/09/16	MX	accep	-102.04897	America/Mexico_City
33.92946	2017-12-27	US	average	-116.97725	America/Los_Angeles
39.57582	2020/03/25	US	average	-105.11221	America/Denver
41.6764	2016/09/26	US	average	-91.58045	America/Chicago
43.61058	04/14/2014, 00:00:00	FR	maintenance	1.33467	Europe/Paris
14.67751	26 Apr 2021	MQ	accep	-60.94228	America/Martinique
36	06 Apr 2019	JP	accep	139.55722	Asia/Tokyo
55.8736	2020-06-30	RU	accep	85.4265	Asia/Novokuznetsk
57.30185	2018/01/02	RU	maintenance	39.85331	Europe/Moscow
28.98002	2018/07/01	IN	average	77.70636	Asia/Kolkata
42.06166	20 Jun 2016	ES	building	-1.60452	Europe/Madrid
43.96222	2013-11-17	RU	good	43.63417	Europe/Moscow
36.33011	2019-10-25	JP	good	138.89585	Asia/Tokyo
-4.26613	03/04/2022, 00:00:00	CG	good	15.28318	Africa/Brazzaville
45.40008	2021/04/14	CA	good	-73.58248	America/Toronto
59.37722	27 Nov 2021	EE	accep	28.19028	Europe/Tallinn
35.85	08/25/2022, 00:00:00	CN	average	117.7	Asia/Shanghai
8.88649	2022-01-20	BJ	maintenance	2.59753	Africa/Porto-Novo
5.27247	08/19/2014, 00:00:00	CI	excellent	-3.59625	Africa/Abidjan
43.4125	22 Feb 2016	BG	average	23.225	Europe/Sofia
10.10649	06/19/2022, 00:00:00	IN	accep	76.35484	Asia/Kolkata
41.82143	2017/04/26	GE	acceptable	41.77921	Asia/Tbilisi
8.48714	2014-02-01	SL	good	-13.2356	Africa/Freetown
-33.38056	21 Mar 2013	UY	good	-56.52361	America/Montevideo
37.13548	08/28/2017, 00:00:00	ES	good	-3.67029	Europe/Madrid
40.56754	07/02/2016, 00:00:00	US	average	-89.64066	America/Chicago
-14.66463	16 Oct 2014	BR	building	-52.35558	America/Cuiaba
44.89784	28 Feb 2019	IT	maintenance	8.86374	Europe/Rome
32.5007	11/26/2019, 00:00:00	US	average	-94.74049	America/Chicago
53.14657	02 Mar 2020	RU	accep	140.72287	Asia/Vladivostok
59.80917	30 Aug 2019	RU	good	30.38167	Europe/Moscow
36.20829	2022/04/08	US	accep	-115.98391	America/Los_Angeles
34.86472	03/30/2020, 00:00:00	CN	excellent	117.55417	Asia/Shanghai
52.14	2020-07-17	NL	excellent	5.58472	Europe/Amsterdam
42.28639	2019/09/02	ME	average	18.84	Europe/Podgorica
29.22254	15 Jan 2017	IN	average	79.5286	Asia/Kolkata
27.52948	05/03/2013, 00:00:00	PK	excellent	68.75915	Asia/Karachi
34.86472	09/12/2017, 00:00:00	CN	building	117.55417	Asia/Shanghai
43.82634	2014/08/05	JP	excellent	144.09638	Asia/Tokyo
40.93121	2017-06-16	US	building	-73.89875	America/New_York
32.55531	2020/08/31	IN	maintenance	76.12647	Asia/Kolkata
30.76468	10 Aug 2013	PK	average	74.12286	Asia/Karachi
44.75874	2018/02/16	BA	excellent	19.21437	Europe/Sarajevo
-28.24	09/12/2014, 00:00:00	BR	accep	-48.67028	America/Sao_Paulo
32.05971	2018/07/18	IL	accep	34.8732	Asia/Jerusalem
40.53123	2013-08-10	IT	average	17.58522	Europe/Rome
59.37722	2013-10-03	EE	good	28.19028	Europe/Tallinn
43.1122	2021/07/26	IT	accep	12.38878	Europe/Rome
21.34222	2021/03/09	IN	accep	71.30633	Asia/Kolkata
48.35149	12 Nov 2019	DE	average	8.96317	Europe/Berlin
42.93369	2016/08/26	US	excellent	-72.27814	America/New_York
10.15031	2015/02/07	CO	average	-73.9614	America/Bogota
33.43443	17 Oct 2014	MA	excellent	-5.22126	Africa/Casablanca
33.03699	2019-11-30	US	good	-117.29198	America/Los_Angeles
42.8139	2017-12-04	ES	accep	-1.64295	Europe/Madrid
11.00599	2013-11-18	IN	maintenance	77.5609	Asia/Kolkata
-19.7625	2014/12/05	BR	accep	-44.31389	America/Sao_Paulo
68.79833	08/20/2018, 00:00:00	NO	accep	16.54165	Europe/Oslo
35.06667	2015/07/29	JP	average	135.21667	Asia/Tokyo
41.55815	28 Mar 2019	US	accep	-73.0515	America/New_York
40.78206	06/20/2017, 00:00:00	UZ	accep	72.34424	Asia/Tashkent
41.48199	2022/03/09	US	building	-81.79819	America/New_York
21.01858	28 Sep 2021	MX	excellent	-101.2591	America/Mexico_City
16.0567	03 May 2016	TH	building	103.65309	Asia/Bangkok
47.4943	08/26/2015, 00:00:00	US	good	-122.24092	America/Los_Angeles
4.88441	2020-06-07	MY	building	101.96857	Asia/Kuala_Lumpur
50.8	07/29/2018, 00:00:00	BE	maintenance	3.16667	Europe/Brussels
33.43443	2014-06-09	MA	average	-5.22126	Africa/Casablanca
29.22254	2016-07-24	IN	good	79.5286	Asia/Kolkata
48.21644	01/14/2013, 00:00:00	DE	good	9.02596	Europe/Berlin
18.00747	2021-07-20	JM	excellent	-76.78319	America/Jamaica
5.90702	2015/08/15	MY	building	116.10146	Asia/Kuching
51.78967	2018-08-02	GB	good	1.15597	Europe/London
53.37596	28 Apr 2016	RU	excellent	51.3452	Europe/Samara
51.40944	2020-08-20	RU	average	46.04833	Europe/Saratov
39.78504	2014/05/08	US	excellent	-85.76942	America/Indiana/Indianapolis
40.11583	2021/04/29	UZ	good	67.84222	Asia/Samarkand
39.33427	24 Jan 2021	US	excellent	-76.43941	America/New_York
53.00974	2012-11-13	GB	maintenance	-3.05814	Europe/London
50.7236	2019/10/21	GB	excellent	-3.52751	Europe/London
41.9001	2020/05/29	US	average	-71.08977	America/New_York
40.24537	25 Dec 2015	US	average	-75.64963	America/New_York
41.15376	26 Jun 2018	US	good	-87.88754	America/Chicago
43.67681	2015/03/14	FR	excellent	4.63031	Europe/Paris
8.56697	05/27/2021, 00:00:00	PH	average	123.33471	Asia/Manila
41.27194	2016-12-20	CN	accep	123.17306	Asia/Shanghai
-2.90055	09/29/2017, 00:00:00	EC	accep	-79.00453	America/Guayaquil
-25.42944	18 Apr 2016	BR	building	-50.00639	America/Sao_Paulo
51.67822	04/21/2018, 00:00:00	UA	accep	33.9162	Europe/Kiev
31.92923	2022/08/06	IL	accep	34.86563	Asia/Jerusalem
43.4125	09 Aug 2021	BG	accep	23.225	Europe/Sofia
-7.57897	31 Aug 2018	ID	good	112.23109	Asia/Jakarta
38.96667	04 Sep 2016	ES	average	-0.18333	Europe/Madrid
10.63504	2013/11/14	CR	maintenance	-85.43772	America/Costa_Rica
23.1959	10/08/2014, 00:00:00	IN	good	86.51499	Asia/Kolkata
-37.9	04 Mar 2016	AU	building	145.18333	Australia/Melbourne
35.72917	04/11/2018, 00:00:00	TN	excellent	10.58082	Africa/Tunis
5.4709	01/26/2017, 00:00:00	MY	average	100.24529	Asia/Kuala_Lumpur
40.70995	2019-09-07	ES	good	0.57856	Europe/Madrid
-1.26424	26 Feb 2022	ID	average	104.09701	Asia/Jakarta
53.16167	15 Mar 2018	NL	accep	6.76111	Europe/Amsterdam
38.96372	01/29/2013, 00:00:00	US	building	-76.99081	America/New_York
29.98869	2014-02-21	CN	good	122.20488	Asia/Shanghai
35.25064	2016/06/13	US	building	-91.73625	America/Chicago
33.95015	04 Dec 2013	US	good	-118.03917	America/Los_Angeles
-3.74912	2021/05/02	PE	average	-73.25383	America/Lima
30.17746	2013-01-29	US	excellent	-81.38758	America/New_York
-4.26613	08/20/2021, 00:00:00	CG	good	15.28318	Africa/Brazzaville
17.06542	2021-04-29	MX	excellent	-96.72365	America/Mexico_City
-3.74912	2018-06-03	PE	maintenance	-73.25383	America/Lima
35.05266	28 Feb 2016	US	excellent	-78.87836	America/New_York
47.30997	09 Oct 2020	CH	excellent	8.52462	Europe/Zurich
33.92946	2020/04/28	US	average	-116.97725	America/Los_Angeles
39.96097	08 Oct 2015	US	building	-75.60804	America/New_York
26.76628	2020/11/29	IN	average	83.36889	Asia/Kolkata
40.92298	2016-06-14	IT	accep	14.30935	Europe/Rome
42.7392	2019/11/11	US	good	-84.62081	America/Detroit
-22.92306	2022-05-29	BR	maintenance	-53.13722	America/Sao_Paulo
33.44872	11/10/2020, 00:00:00	US	building	-86.78777	America/Chicago
27.34089	2019-01-04	CN	accep	117.4831	Asia/Shanghai
44.27804	08 Apr 2013	US	average	-88.27205	America/Chicago
10.58806	2020/04/10	IN	good	77.24779	Asia/Kolkata
49.88307	30 Oct 2014	CA	average	-119.48568	America/Vancouver
-37.9	2015/02/15	AU	good	145.18333	Australia/Melbourne
50.80019	2014-06-22	DE	building	7.20769	Europe/Berlin
15.45144	07 Jan 2013	IN	accep	78.14797	Asia/Kolkata
51.78771	2014/12/22	RU	excellent	56.36091	Asia/Yekaterinburg
51.168	25 Nov 2014	DE	accep	7.973	Europe/Berlin
51.88333	2022/01/27	DE	maintenance	8.51667	Europe/Berlin
41.16704	11/10/2016, 00:00:00	US	good	-73.20483	America/New_York
8.48714	11/08/2014, 00:00:00	SL	good	-13.2356	Africa/Freetown
14.66	07 Jun 2018	PH	excellent	120.56528	Asia/Manila
7.57944	2018-08-21	LR	accep	-8.53778	Africa/Monrovia
-21.44236	07/30/2015, 00:00:00	BW	building	27.46153	Africa/Gaborone
43.41949	2015-05-22	KZ	building	77.0202	Asia/Almaty
25.92493	2021-06-30	IN	maintenance	73.66633	Asia/Kolkata
36	2016/05/03	JP	good	139.55722	Asia/Tokyo
60.18427	03/26/2015, 00:00:00	FI	building	24.95034	Europe/Helsinki
39.32011	02/20/2021, 00:00:00	US	average	-76.51552	America/New_York
47.30997	2020-03-30	CH	excellent	8.52462	Europe/Zurich
40.65538	06 Jan 2020	US	excellent	-74.38987	America/New_York
52.53048	2017-11-22	DE	good	13.29371	Europe/Berlin
39.45621	05/26/2013, 00:00:00	US	accep	-77.96389	America/New_York
37.19723	04/08/2022, 00:00:00	CN	excellent	122.05228	Asia/Shanghai
37.71715	29 Jun 2019	US	accep	-122.40433	America/Los_Angeles
32.57756	2014-02-16	PK	excellent	71.52847	Asia/Karachi
59.33333	02 Jun 2022	SE	average	18.28333	Europe/Stockholm
10.7375	04/19/2017, 00:00:00	PH	average	122.9666	Asia/Manila
38.45598	12/13/2014, 00:00:00	AZ	good	48.87498	Asia/Baku
48.21644	2013-04-15	DE	accep	9.02596	Europe/Berlin
41.24264	2019/12/24	IT	good	16.50104	Europe/Rome
32.9156	15 Jan 2019	US	average	-117.14392	America/Los_Angeles
53.78333	2016-07-20	GB	accep	-1.06667	Europe/London
56.85836	10/15/2019, 00:00:00	RU	maintenance	35.90057	Europe/Moscow
16.68911	2022-04-19	MM	excellent	98.50893	Asia/Yangon
-20.87306	2020/07/27	BR	average	-48.29694	America/Sao_Paulo
23.5654	2013-03-27	TW	building	119.58627	Asia/Taipei
13.8196	2012-12-07	TH	maintenance	100.04427	Asia/Bangkok
6.25947	2016/02/23	TH	accep	102.05461	Asia/Bangkok
34.14251	06/14/2015, 00:00:00	US	average	-118.25508	America/Los_Angeles
0.49113	2017-08-07	CD	average	29.47306	Africa/Lubumbashi
53.14657	2013/01/03	RU	excellent	140.72287	Asia/Vladivostok
7.50251	2019-10-28	NG	good	5.06258	Africa/Lagos
43.16547	2014/02/19	US	building	-77.70066	America/New_York
-1.26753	2016/01/03	ID	maintenance	116.82887	Asia/Makassar
43.48961	2018/04/03	ES	good	-8.2194	Europe/Madrid
41.20485	2017/08/24	PT	average	-8.33147	Europe/Lisbon
-22.57306	2020/12/06	BR	excellent	-47.1725	America/Sao_Paulo
32.44874	08/01/2020, 00:00:00	US	good	-99.73314	America/Chicago
12.25282	2017/11/03	IN	accep	79.41727	Asia/Kolkata
53.46506	01/15/2019, 00:00:00	GB	excellent	-1.47217	Europe/London
6.8485	25 Jan 2019	NG	accep	3.64633	Africa/Lagos
38.40917	19 Mar 2015	CN	average	112.73333	Asia/Shanghai
-19.7625	10/20/2021, 00:00:00	BR	building	-44.31389	America/Sao_Paulo
6.03333	09/25/2013, 00:00:00	ET	building	37.55	Africa/Addis_Ababa
39.09112	2015-01-13	US	excellent	-94.41551	America/Chicago
35.05266	21 Feb 2019	US	good	-78.87836	America/New_York
31.39547	01/23/2015, 00:00:00	IL	average	34.75699	Asia/Jerusalem
-22.45667	2016/04/14	BR	average	-47.53028	America/Sao_Paulo
32.65246	2019-08-20	IR	accep	51.67462	Asia/Tehran
44.92934	2018-06-05	RU	average	37.99117	Europe/Moscow
41.80753	2015/12/21	US	excellent	-87.65644	America/Chicago
42.97086	12/28/2021, 00:00:00	US	good	-82.42491	America/Detroit
21.34222	2015-12-02	IN	accep	71.30633	Asia/Kolkata
43.1009	2017-03-18	US	accep	-75.23266	America/New_York
39.43534	08 Dec 2013	US	excellent	-84.20299	America/New_York
43.78956	10/24/2015, 00:00:00	IT	accep	7.60872	Europe/Rome
-24.19436	2019-03-13	ZA	good	29.00974	Africa/Johannesburg
30.75545	24 Dec 2021	LY	accep	20.22625	Africa/Tripoli
-7.01833	12/02/2019, 00:00:00	ID	building	107.60389	Asia/Jakarta
51.03427	07/16/2016, 00:00:00	BE	average	5.37429	Europe/Brussels
27.85	2013-01-13	CN	average	112.9	Asia/Shanghai
52.31333	2016-06-01	NL	excellent	6.92917	Europe/Amsterdam
-10.95817	02/16/2022, 00:00:00	BR	maintenance	-38.79084	America/Bahia
0.03813	09/17/2021, 00:00:00	KE	excellent	36.36339	Africa/Nairobi
46.23899	07/13/2013, 00:00:00	CA	accep	-63.13414	America/Halifax
49.13645	2021/06/04	DE	building	8.91229	Europe/Berlin
-7.57897	22 Apr 2013	ID	good	112.23109	Asia/Jakarta
52.4089	2017/06/02	BY	good	31.3237	Europe/Minsk
53.14657	2015/05/03	RU	accep	140.72287	Asia/Vladivostok
41.8542	12/02/2021, 00:00:00	US	good	-87.66561	America/Chicago
-8.43333	05 Nov 2012	ID	excellent	114.33333	Asia/Jakarta
24.41288	23 May 2018	IN	good	76.56719	Asia/Kolkata
40.42386	03/26/2020, 00:00:00	ES	good	-3.53261	Europe/Madrid
50.64336	12/06/2014, 00:00:00	DE	good	7.2278	Europe/Berlin
45.51667	05 Jun 2017	FR	good	4.86667	Europe/Paris
-6.25	2013/09/09	TZ	maintenance	38.66667	Africa/Dar_es_Salaam
35.64889	08 Jun 2015	CN	building	117.27583	Asia/Shanghai
44.59445	2014-06-20	IT	accep	11.04979	Europe/Rome
10.13361	2020-03-14	PH	accep	124.84472	Asia/Manila
39.00622	2021-09-19	US	accep	-77.4286	America/New_York
36.61954	01/08/2013, 00:00:00	DZ	maintenance	4.08282	Africa/Algiers
28.92694	29 Apr 2014	IN	accep	78.23456	Asia/Kolkata
42.819	09/29/2021, 00:00:00	RU	average	47.1192	Europe/Moscow
24.96334	2013-11-02	LY	maintenance	10.18003	Africa/Tripoli
43.1009	07 Dec 2012	US	accep	-75.23266	America/New_York
51.21187	08 Oct 2014	BE	average	4.25633	Europe/Brussels
20.22816	2022-05-23	MX	average	-103.5687	America/Mexico_City
36.6009	05/08/2021, 00:00:00	KR	maitennce	126.665	Asia/Seoul
53.5942	07/25/2017, 00:00:00	BY	accep	25.8191	Europe/Minsk
34.86472	2019/04/04	CN	average	117.55417	Asia/Shanghai
46.51872	07/10/2015, 00:00:00	CN	average	86.00214	Asia/Urumqi
52.4089	2016-03-15	BY	excellent	31.3237	Europe/Minsk
48.07667	2013/11/20	DE	average	8.64409	Europe/Berlin
45.53929	2015/04/14	US	excellent	-122.38731	America/Los_Angeles
25.80565	2014-08-07	PK	maintenance	68.49143	Asia/Karachi
54.39635	04 Oct 2017	LT	accep	24.04142	Europe/Vilnius
48.98693	2021/04/28	FR	average	2.44892	Europe/Paris
46.65581	10/21/2013, 00:00:00	UA	maintenance	32.6178	Europe/Kiev
48.77275	05/04/2017, 00:00:00	FR	average	5.16108	Europe/Paris
58.23583	2020-03-11	RU	excellent	92.48278	Asia/Krasnoyarsk
51.168	09/17/2014, 00:00:00	DE	excellent	7.973	Europe/Berlin
36.21544	2019-06-24	AF	maintenance	65.93249	Asia/Kabul
54.58048	2019/07/28	PL	excellent	16.86194	Europe/Warsaw
-17.83333	2018-04-30	MG	maintenance	48.41667	Indian/Antananarivo
14.93333	11/11/2014, 00:00:00	GT	good	-91.11667	America/Guatemala
18.65297	2018/12/17	HT	maintenance	-72.09391	America/Port-au-Prince
-7.57897	29 Nov 2013	ID	maintenance	112.23109	Asia/Jakarta
16.0567	2013-11-05	TH	accep	103.65309	Asia/Bangkok
44.92934	13 Apr 2022	RU	maintenance	37.99117	Europe/Moscow
33.52253	2019-09-27	US	excellent	-117.70755	America/Los_Angeles
37.30553	01/16/2018, 00:00:00	CN	average	120.82747	Asia/Shanghai
26.2173	2020-05-21	US	maintenance	-80.22588	America/New_York
14.0823	2013-03-10	MM	average	98.19151	Asia/Yangon
22.37066	2015-01-26	HK	accep	114.10479	Asia/Hong_Kong
-37.32167	2021-05-30	AR	average	-59.13316	America/Argentina/Buenos_Aires
5.84752	08 May 2017	CI	average	-5.682	Africa/Abidjan
20.22816	08 Jul 2019	MX	accep	-103.5687	America/Mexico_City
53.83333	2018-11-09	GB	building	-2.98333	Europe/London
10.10649	2020/01/26	IN	average	76.35484	Asia/Kolkata
36.06523	2019/07/01	US	good	-119.01677	America/Los_Angeles
51.08468	18 Feb 2014	DE	maintenance	7.11393	Europe/Berlin
1.6561	15 Nov 2017	MY	good	103.6032	Asia/Kuala_Lumpur
-7.73379	2022-07-08	ID	accep	113.69785	Asia/Jakarta
38.13708	11/25/2018, 00:00:00	TR	average	41.00817	Europe/Istanbul
41.80753	02/25/2013, 00:00:00	US	accep	-87.65644	America/Chicago
53.69786	11/10/2013, 00:00:00	GB	average	-2.68758	Europe/London
-6.8	23 Jun 2021	TZ	building	39.25	Africa/Dar_es_Salaam
-8.28333	23 Jun 2013	BR	good	-35.03333	America/Recife
36.72544	2021/03/23	DZ	good	3.55665	Africa/Algiers
-6.48167	17 Aug 2019	ID	good	106.85417	Asia/Jakarta
41.55815	2021-02-28	US	maintenance	-73.0515	America/New_York
23.02677	2015-01-26	CN	good	113.13148	Asia/Shanghai
37.31065	2013/12/01	IT	accep	13.57661	Europe/Rome
30.29184	2013/10/04	PK	average	71.67164	Asia/Karachi
32.44874	2016-03-10	US	excellent	-99.73314	America/Chicago
14.0823	03/04/2019, 00:00:00	MM	good	98.19151	Asia/Yangon
12.25282	04/12/2018, 00:00:00	IN	building	79.41727	Asia/Kolkata
34.08565	2019/05/08	IN	building	74.80555	Asia/Kolkata
10.63504	2019/01/14	CR	maintenance	-85.43772	America/Costa_Rica
-31.25033	2016/03/02	AR	good	-61.4867	America/Argentina/Cordoba
22.98212	03/15/2020, 00:00:00	CU	maitennce	-80.58556	America/Havana
11.12018	2018-06-09	IN	accep	76.11996	Asia/Kolkata
49.28669	10/11/2014, 00:00:00	FR	building	1.00288	Europe/Paris
22.4711	2016-07-25	IN	maintenance	88.1453	Asia/Kolkata
51.03427	22 Jun 2022	BE	accep	5.37429	Europe/Brussels
53.49389	05/02/2017, 00:00:00	GB	good	-1.29243	Europe/London
41.72063	27 Nov 2015	IT	average	12.6723	Europe/Rome
33.52253	2021/03/03	US	accep	-117.70755	America/Los_Angeles
34.95303	02/14/2021, 00:00:00	US	accep	-120.43572	America/Los_Angeles
51.14942	2017/10/25	PL	excellent	15.00835	Europe/Warsaw
51.03427	2018/12/10	BE	good	5.37429	Europe/Brussels
35.88264	2015-02-26	US	excellent	-80.08199	America/New_York
30.75545	31 Aug 2013	LY	good	20.22625	Africa/Tripoli
42.4251	2017-05-09	US	building	-71.06616	America/New_York
-33.38056	08/08/2022, 00:00:00	UY	accep	-56.52361	America/Montevideo
-29.2975	2014-04-23	BR	good	-51.50361	America/Sao_Paulo
36.33011	11/14/2016, 00:00:00	JP	accep	138.89585	Asia/Tokyo
37.13548	04 Jan 2015	ES	accep	-3.67029	Europe/Madrid
44.73941	2021-01-17	US	average	-93.12577	America/Chicago
52.09	2015-12-22	NL	good	5.23333	Europe/Amsterdam
43.35071	01 Dec 2013	RU	excellent	46.10925	Europe/Moscow
50.75767	2020-07-17	GB	accep	-1.5443	Europe/London
43.50891	2017/12/15	HR	good	16.43915	Europe/Zagreb
51.84819	2015/07/28	GB	good	1.26738	Europe/London
42.28639	2014-10-19	ME	good	18.84	Europe/Podgorica
34.06635	27 Nov 2017	US	good	-84.67837	America/New_York
37.49223	24 Dec 2015	IT	maintenance	15.07041	Europe/Rome
45.4473	09/21/2021, 00:00:00	CA	accep	-73.75335	America/Toronto
41.15376	2013/02/13	US	average	-87.88754	America/Chicago
-21.98333	25 Jan 2013	NA	excellent	16.91667	Africa/Windhoek
-1.26753	17 May 2021	ID	excellent	116.82887	Asia/Makassar
49.28669	11/17/2014, 00:00:00	FR	accep	1.00288	Europe/Paris
9.535	07/22/2022, 00:00:00	GN	good	-13.68778	Africa/Conakry
25.87498	08 Aug 2014	IN	building	86.59611	Asia/Kolkata
30.76468	05 Aug 2013	PK	excellent	74.12286	Asia/Karachi
36.72544	2017-07-10	DZ	accep	3.55665	Africa/Algiers
-27.50578	01/26/2016, 00:00:00	AU	building	153.10236	Australia/Brisbane
33.42585	2015/12/23	MA	average	-6.00137	Africa/Casablanca
51.47805	2013-09-20	DE	excellent	6.8625	Europe/Berlin
53.53041	2018-01-28	RU	accep	43.67663	Europe/Moscow
30.5427	06/05/2020, 00:00:00	US	average	-97.54667	America/Chicago
36.64852	2021-08-19	IR	good	51.49621	Asia/Tehran
57.97472	29 Mar 2019	RU	good	33.2525	Europe/Moscow
47.56494	08/21/2016, 00:00:00	UA	average	31.33078	Europe/Kiev
-8.43333	07/23/2017, 00:00:00	ID	excellent	114.33333	Asia/Jakarta
55.38752	27 Mar 2022	RU	excellent	36.73307	Europe/Moscow
33.76446	2018-08-18	US	good	-117.79394	America/Los_Angeles
60.02427	08/13/2019, 00:00:00	RU	accep	30.28491	Europe/Moscow
50.80904	2020/03/08	DE	average	8.77069	Europe/Berlin
18.03496	2019/08/18	PR	average	-66.8499	America/Puerto_Rico
45.44868	2016/10/06	CA	maitennce	-73.81669	America/Toronto
34.08565	31 Jul 2013	IN	good	74.80555	Asia/Kolkata
38.17492	2021-07-25	US	good	-122.2608	America/Los_Angeles
50.80019	2013-09-21	DE	accep	7.20769	Europe/Berlin
32.17629	2015/05/12	PK	average	75.06583	Asia/Karachi
-37.9	2018/01/06	AU	good	145.18333	Australia/Melbourne
39.59611	2014/07/07	TR	good	27.02444	Europe/Istanbul
32.5007	23 Jul 2021	US	excellent	-94.74049	America/Chicago
-1.26424	09/01/2014, 00:00:00	ID	building	104.09701	Asia/Jakarta
6.84019	01/07/2014, 00:00:00	LK	accep	79.87116	Asia/Colombo
6.45407	09/24/2014, 00:00:00	NG	average	3.39467	Africa/Lagos
