revision	station	longitude	latitude	QoS	location
2017/01/31	Paidha	30.98551	2.41669	excellent	Africa/Kampala
2021/03/15	Siliana	9.37082	36.08497	average	Africa/Tunis
25 Nov 2012	Elamanchili	82.85749	17.54907	average	Asia/Kolkata
2020-11-02	Huntley	-88.42814	42.16808	maintenance	America/Chicago
03/19/2015, 00:00:00	Zaozhuang	117.55417	34.86472	accep	Asia/Shanghai
2019/04/03	Myawadi	98.50893	16.68911	excellent	Asia/Yangon
2018-12-15	Diamond Harbour	88.18466	22.19303	average	Asia/Kolkata
25 Mar 2020	Marburg an der Lahn	8.77069	50.80904	good	Europe/Berlin
24 Oct 2019	San Jose	121.06761	12.35275	maintenance	Asia/Manila
01/08/2019, 00:00:00	Chanika	38.01667	-5.41667	maintenance	Africa/Dar_es_Salaam
2018-07-20	Bogovinje	20.91361	41.92361	good	Europe/Skopje
2014/05/03	Sceaux	2.29026	48.77644	building	Europe/Paris
12/03/2014, 00:00:00	Newburgh	-74.01042	41.50343	maintenance	America/New_York
01/14/2019, 00:00:00	Gainesville	-82.32483	29.65163	good	America/New_York
2013-11-19	Chilibre	-79.62098	9.15093	good	America/Panama
15 Nov 2012	Estelle	-90.10674	29.84576	average	America/Chicago
2021/10/26	Bibiani	-2.31938	6.46346	average	Africa/Accra
2019-01-16	Punta Gorda Isles	-82.07842	26.91756	excellent	America/New_York
27 Sep 2016	Utica	-75.23266	43.1009	maintenance	America/New_York
2019-03-18	Glendale	-118.25508	34.14251	average	America/Los_Angeles
02 Jun 2014	Chapletown	-1.47217	53.46506	excellent	Europe/London
03/18/2016, 00:00:00	Manaoag	120.4861	16.0438	average	Asia/Manila
05/08/2020, 00:00:00	Sakaraha	44.53333	-22.9	building	Indian/Antananarivo
12 Jan 2013	New City	-87.65644	41.80753	excellent	America/Chicago
2017-07-26	Brazzaville	15.28318	-4.26613	good	Africa/Brazzaville
2014-05-15	Kamina	24.99798	-8.73508	excellent	Africa/Lubumbashi
09/19/2017, 00:00:00	Soure	-48.52333	-0.71667	average	America/Belem
17 Aug 2019	Boo	18.28333	59.33333	good	Europe/Stockholm
18 Dec 2016	Sharypovo	89.20083	55.54028	accep	Asia/Krasnoyarsk
2014/12/27	Kalavoor	76.32756	9.57046	building	Asia/Kolkata
04/01/2016, 00:00:00	Budva	18.84	42.28639	building	Europe/Podgorica
10 Jul 2014	Temara	-6.90656	33.92866	accep	Africa/Casablanca
27 Feb 2021	Bad Segeberg	10.30215	53.94313	accep	Europe/Berlin
11/25/2021, 00:00:00	Nowshahr	51.49621	36.64852	average	Asia/Tehran
18 Oct 2013	Penzance	-5.53715	50.11861	building	Europe/London
11 Sep 2016	Tsuen Wan	114.10479	22.37066	good	Asia/Hong_Kong
20 May 2013	Dongfeng	125.51176	42.64031	maintenance	Asia/Shanghai
23 Aug 2013	Boo	18.28333	59.33333	accep	Europe/Stockholm
2017/12/31	Misterbianco	15.00913	37.51803	excellent	Europe/Rome
15 Jul 2018	Fairview Heights	-89.99038	38.58894	excellent	America/Chicago
2014-12-08	Nanpiao	120.74792	41.09822	average	Asia/Shanghai
2021-11-22	Santa Rosa Jauregui	-100.44843	20.74122	good	America/Mexico_City
2019/02/07	Resplendor	-41.25528	-19.32556	average	America/Sao_Paulo
2013/01/04	Timaru	171.25364	-44.39672	excellent	Pacific/Auckland
13 Jan 2017	Wangon	109.05389	-7.51611	excellent	Asia/Jakarta
2021-04-18	Santa Cruz de Barahona	-71.10077	18.20854	maintenance	America/Santo_Domingo
01/23/2014, 00:00:00	Cardedeu	2.35739	41.63976	excellent	Europe/Madrid
2015/07/24	Alwaye	76.35484	10.10649	good	Asia/Kolkata
05/31/2021, 00:00:00	East Jerusalem	35.23388	31.78336	excellent	Asia/Hebron
26 Dec 2015	Heyuan	114.68333	23.73333	accep	Asia/Shanghai
15 Jun 2015	el Camp de l'Arpa del Clot	2.18247	41.41204	excellent	Europe/Madrid
07/15/2018, 00:00:00	Liberia	-85.43772	10.63504	accep	America/Costa_Rica
05/27/2018, 00:00:00	San Carlos	-75.69947	8.79577	accep	America/Bogota
2018-05-15	Krymsk	37.99117	44.92934	good	Europe/Moscow
08 Sep 2017	Iron River	-88.64235	46.09273	accep	America/Menominee
24 Aug 2017	Hushitai	123.50266	41.94175	good	Asia/Shanghai
06/05/2018, 00:00:00	Lesozavodsk	133.42825	45.47885	good	Asia/Vladivostok
06/30/2013, 00:00:00	Jambi City	103.61667	-1.6	good	Asia/Jakarta
2015-09-17	Jersey City	-74.07764	40.72816	excellent	America/New_York
2019-08-14	Lutsk	25.34244	50.75932	acceptable	Europe/Kiev
2022/04/30	Kheda	72.68533	22.75218	excellent	Asia/Kolkata
14 Mar 2017	Rio Real	-37.93278	-11.48472	excellent	America/Bahia
04/29/2019, 00:00:00	Gainsborough	-0.76667	53.38333	excellent	Europe/London
2017/01/30	Paidha	30.98551	2.41669	good	Africa/Kampala
03/08/2021, 00:00:00	Soroca	28.28489	48.15659	maintenance	Europe/Chisinau
03/23/2013, 00:00:00	Finnentrop	7.973	51.168	good	Europe/Berlin
23 Sep 2018	Sicklerville	-74.96933	39.71734	excellent	America/New_York
23 Nov 2020	Ina	137.95378	35.82756	average	Asia/Tokyo
04/13/2014, 00:00:00	Eppingen	8.91229	49.13645	building	Europe/Berlin
05/24/2021, 00:00:00	Watsonville	-121.75689	36.91023	accep	America/Los_Angeles
2018/02/22	Baliuag	120.89694	14.95472	accep	Asia/Manila
2016/01/21	Kent	-122.23484	47.38093	accep	America/Los_Angeles
2013/06/06	Imbituba	-48.67028	-28.24	average	America/Sao_Paulo
11/22/2014, 00:00:00	Kidodi	37.00438	-7.60361	excellent	Africa/Dar_es_Salaam
04/30/2017, 00:00:00	Kachkanar	59.4839	58.7002	accep	Asia/Yekaterinburg
24 May 2014	Beni Douala	4.08282	36.61954	accep	Africa/Algiers
10/05/2014, 00:00:00	Middle River	-76.43941	39.33427	accep	America/New_York
12/21/2019, 00:00:00	Beveren	4.25633	51.21187	excellent	Europe/Brussels
2016-09-21	Supaul	86.59509	26.11527	building	Asia/Kolkata
2019-11-26	Kalavoor	76.32756	9.57046	good	Asia/Kolkata
2017/09/02	Durazno	-56.52361	-33.38056	excellent	America/Montevideo
12/24/2012, 00:00:00	Reda	18.34717	54.60528	good	Europe/Warsaw
02/28/2022, 00:00:00	Toyokawa	137.4	34.81667	good	Asia/Tokyo
2017-11-29	Santa Gertrudes	-47.53028	-22.45667	accep	America/Sao_Paulo
10/01/2019, 00:00:00	Gainesville	-82.32483	29.65163	good	America/New_York
2015-06-29	Sunnyside	-120.00865	46.32374	accep	America/Los_Angeles
2018/10/22	Okahandja	16.91667	-21.98333	good	Africa/Windhoek
04/28/2018, 00:00:00	Davis	-121.74052	38.54491	average	America/Los_Angeles
08 Oct 2013	Port-Vila	168.31366	-17.73648	accep	Pacific/Efate
16 Apr 2019	Floridsdorf	16.4	48.25	average	Europe/Vienna
03/08/2022, 00:00:00	Sakaraha	44.53333	-22.9	accep	Indian/Antananarivo
23 Jul 2021	Rosemount	-93.12577	44.73941	maintenance	America/Chicago
2013-06-11	Kashira	38.16694	54.84444	good	Europe/Moscow
05 Mar 2019	Beni Khiar	10.78222	36.46917	average	Africa/Tunis
06/30/2021, 00:00:00	Fitchburg	-71.8023	42.58342	average	America/New_York
2014-08-18	Carnaxide	-9.24671	38.72706	excellent	Europe/Lisbon
2020-08-02	Redding	-122.39168	40.58654	building	America/Los_Angeles
01/11/2016, 00:00:00	Weimar	11.32903	50.9803	accep	Europe/Berlin
2019/09/02	Bad Segeberg	10.30215	53.94313	building	Europe/Berlin
11/23/2021, 00:00:00	Great Wyrley	-2.01111	52.66277	accep	Europe/London
08/27/2021, 00:00:00	Hlukhiv	33.9162	51.67822	excellent	Europe/Kiev
11 Jun 2018	Robertsonpet	78.27539	12.95629	accep	Asia/Kolkata
11 Dec 2012	Pilkhua	77.656	28.71271	average	Asia/Kolkata
2018-08-06	Moga	75.16878	30.81383	good	Asia/Kolkata
2020/09/11	Naga	123.758	10.20898	good	Asia/Manila
2017-09-06	Norco	-117.54866	33.93113	excellent	America/Los_Angeles
2021/12/30	Santa Catalina	122.8637	9.3337	accep	Asia/Manila
2013-05-13	Sorsogon	123.99333	12.97389	average	Asia/Manila
2017-09-01	Ulanhot	122.08333	46.08333	excellent	Asia/Shanghai
03/29/2015, 00:00:00	Betamcherla	78.14797	15.45144	excellent	Asia/Kolkata
31 Mar 2021	Severodvinsk	39.8302	64.5635	good	Europe/Moscow
30 Jan 2019	Tyler	-95.30106	32.35126	maintenance	America/Chicago
10/02/2016, 00:00:00	Busia	34.11169	0.46005	average	Africa/Nairobi
2019-08-04	Montecchio Maggiore-Alte Ceccato	11.412	45.50369	building	Europe/Rome
06/13/2017, 00:00:00	Phanat Nikhom	101.18445	13.44581	accep	Asia/Bangkok
2019-11-28	Hungund	76.0586	16.06213	average	Asia/Kolkata
03 Aug 2022	Tupi	124.95278	6.33444	acceptable	Asia/Manila
2013-11-07	Venice	-82.45426	27.09978	excellent	America/New_York
2019-08-13	Sorsogon	123.99333	12.97389	average	Asia/Manila
12/02/2016, 00:00:00	Pujali	88.1453	22.4711	building	Asia/Kolkata
11/06/2018, 00:00:00	Nakhon Pathom	100.04427	13.8196	accep	Asia/Bangkok
2016/04/11	Split	16.43915	43.50891	accep	Europe/Zagreb
10/31/2012, 00:00:00	Barpeta	91.00632	26.32293	average	Asia/Kolkata
2019/06/12	Perugia	12.38878	43.1122	good	Europe/Rome
10/17/2020, 00:00:00	Bon Air	-77.55777	37.52487	accep	America/New_York
2021-02-15	Naro-Fominsk	36.73307	55.38752	excellent	Europe/Moscow
01/03/2018, 00:00:00	Petrozavodsk	34.34691	61.78491	good	Europe/Moscow
12/01/2016, 00:00:00	Stuttgart	9.17702	48.78232	building	Europe/Berlin
24 Aug 2018	Qazax	45.36561	41.09246	accep	Asia/Baku
2021/08/13	La Victoria	-67.33122	10.22677	accep	America/Caracas
15 Nov 2014	Peabody	-70.92866	42.52787	good	America/New_York
03/15/2017, 00:00:00	Greenpoint	-73.95097	40.72371	accep	America/New_York
2018-06-30	Nakhon Pathom	100.04427	13.8196	good	Asia/Bangkok
2014-06-26	Gaya	9.0027	11.86064	excellent	Africa/Lagos
2020-12-26	Indio	-116.21677	33.7207	average	America/Los_Angeles
2019-03-29	Itaperuna	-41.88778	-21.205	accep	America/Sao_Paulo
2014/12/11	Oberhausen	6.8625	51.47805	accep	Europe/Berlin
14 Feb 2018	Paredes	-8.33147	41.20485	maintenance	Europe/Lisbon
2021/03/13	Gua Musang	101.96857	4.88441	good	Asia/Kuala_Lumpur
15 Apr 2014	Las Gabias	-3.67029	37.13548	accep	Europe/Madrid
2021/03/15	Donggongon	116.10146	5.90702	average	Asia/Kuching
2019/04/11	Agrigento	13.57661	37.31065	maitennce	Europe/Rome
2015/01/25	Calauan	121.3152	14.14989	excellent	Asia/Manila
01/30/2020, 00:00:00	Tonota	27.46153	-21.44236	average	Africa/Gaborone
15 Dec 2014	Lesnoy	59.80222	58.63667	building	Asia/Yekaterinburg
18 Oct 2020	Daud Khel	71.57118	32.87533	good	Asia/Karachi
2022-01-09	Dongdu	117.7	35.85	average	Asia/Shanghai
28 Oct 2016	Kulai	103.6032	1.6561	maintenance	Asia/Kuala_Lumpur
19 Jan 2022	Luena	19.91667	-11.78333	average	Africa/Luanda
01 Feb 2020	Ada	-96.67834	34.77453	maintenance	America/Chicago
05 Feb 2015	Lons-le-Saunier	5.55575	46.67535	maintenance	Europe/Paris
2020-08-24	Kireyevsk	37.92792	53.93361	good	Europe/Moscow
01/16/2016, 00:00:00	Manikchari	91.84128	22.83957	excellent	Asia/Dhaka
07/31/2014, 00:00:00	Aguadilla	-67.15407	18.42745	good	America/Puerto_Rico
2012/10/02	Winsford	-2.52398	53.19146	average	Europe/London
01 May 2017	Stade	9.47629	53.59337	average	Europe/Berlin
07/15/2018, 00:00:00	Barnet	-0.2	51.65	maintenance	Europe/London
16 Apr 2016	Hungund	76.0586	16.06213	good	Asia/Kolkata
2022/07/16	Calauan	121.3152	14.14989	maintenance	Asia/Manila
2018/07/14	Landshut	12.16179	48.52961	building	Europe/Berlin
2020-01-15	Nowshahr	51.49621	36.64852	average	Asia/Tehran
2021-05-11	Estelle	-90.10674	29.84576	average	America/Chicago
01 Sep 2016	Castelfranco Emilia	11.04979	44.59445	maintenance	Europe/Rome
09/23/2021, 00:00:00	Surbiton	-0.29825	51.39148	average	Europe/London
11/18/2012, 00:00:00	Middletown	-71.29144	41.54566	maintenance	America/New_York
2022-03-05	Kyzylorda	65.50917	44.85278	maintenance	Asia/Qyzylorda
21 Feb 2017	Eisen	128.63083	36.82167	good	Asia/Seoul
05 Jan 2016	Roi Et	103.65309	16.0567	good	Asia/Bangkok
2018-09-07	Palafrugell	3.1631	41.91738	excellent	Europe/Madrid
02/10/2021, 00:00:00	Recife	-34.88111	-8.05389	excellent	America/Recife
2019-08-01	Ovalle	-71.19901	-30.60106	good	America/Santiago
27 Apr 2022	Jinotepe	-86.19903	11.84962	average	America/Managua
01/10/2021, 00:00:00	Belle Glade	-80.66756	26.68451	average	America/New_York
2020/08/10	Lesozavodsk	133.42825	45.47885	accep	Asia/Vladivostok
2021-11-13	Sankt Peter	15.46667	47.05	good	Europe/Vienna
30 Mar 2013	Likhobory	37.56667	55.85	accep	Europe/Moscow
04/29/2018, 00:00:00	Randudongkal	109.3243	-7.0981	average	Asia/Jakarta
23 Mar 2019	Finnentrop	7.973	51.168	maintenance	Europe/Berlin
02/29/2020, 00:00:00	Port of Spain	-61.51889	10.66668	accep	America/Port_of_Spain
2013/05/19	Shepetivka	27.06365	50.18545	good	Europe/Kiev
2018/05/24	Changzhi	111.73861	35.20889	maintenance	Asia/Shanghai
12 Nov 2013	Crystal Lake	-88.3162	42.24113	good	America/Chicago
2018-01-07	Nakhon Si Thammarat	99.96667	8.43333	good	Asia/Bangkok
2018-08-12	Manjeri	76.11996	11.12018	accep	Asia/Kolkata
23 Feb 2021	Teziutlan	-97.35992	19.8173	accep	America/Mexico_City
27 Nov 2019	Campobasso	14.66737	41.55947	good	Europe/Rome
06/14/2016, 00:00:00	Barbil	85.37752	22.10194	good	Asia/Kolkata
04/11/2022, 00:00:00	Lesnoy	59.80222	58.63667	excellent	Asia/Yekaterinburg
25 Nov 2015	Hoxtolgay	86.00214	46.51872	excellent	Asia/Urumqi
2019-01-04	Marly-le-Roi	2.08333	48.86667	accep	Europe/Paris
2014/11/26	Mwandiga	29.65806	-4.83	good	Africa/Dar_es_Salaam
2021/08/25	Manaoag	120.4861	16.0438	building	Asia/Manila
10/17/2018, 00:00:00	Granger	-86.11084	41.75338	good	America/Indiana/Indianapolis
2020-01-14	New Kingston	-76.78319	18.00747	maintenance	America/Jamaica
2018-09-03	Buri	-48.59278	-23.7975	excellent	America/Sao_Paulo
06/18/2017, 00:00:00	Meerut	77.70636	28.98002	average	Asia/Kolkata
16 Apr 2019	Tucano	-38.79084	-10.95817	excellent	America/Bahia
2015-06-06	Jashpurnagar	84.13864	22.88783	average	Asia/Kolkata
2021-07-08	El Alia	10.03478	37.16911	excellent	Africa/Tunis
2019/06/05	Gifhorn	10.5511	52.47774	excellent	Europe/Berlin
17 Apr 2015	Khairpur Mir’s	68.75915	27.52948	excellent	Asia/Karachi
2021-09-04	Lymington	-1.5443	50.75767	building	Europe/London
2019-05-20	Ulanhot	122.08333	46.08333	maintenance	Asia/Shanghai
05 Oct 2021	Gaziantep	37.3825	37.05944	maintenance	Europe/Istanbul
24 Dec 2019	Burscheid	7.11393	51.08468	excellent	Europe/Berlin
02/20/2021, 00:00:00	Losheim	6.74549	49.5099	accep	Europe/Berlin
29 Mar 2013	Barpeta	91.00632	26.32293	good	Asia/Kolkata
01 Jan 2021	Larkana	68.21204	27.55898	accep	Asia/Karachi
09/15/2015, 00:00:00	Guapimirim	-42.98194	-22.53722	building	America/Sao_Paulo
07/15/2020, 00:00:00	Amreli	71.21169	21.59983	excellent	Asia/Kolkata
02/02/2014, 00:00:00	Yashkino	85.4265	55.8736	good	Asia/Novokuznetsk
03/31/2019, 00:00:00	Martinsburg	-77.96389	39.45621	maintenance	America/New_York
2020-05-16	Cordenons	12.70038	45.9836	average	Europe/Rome
06 Jun 2014	Fayetteville	-78.87836	35.05266	maintenance	America/New_York
2017-09-16	Baulkham Hills	150.99292	-33.75881	maintenance	Australia/Sydney
01 Oct 2016	Diwek	112.23109	-7.57897	excellent	Asia/Jakarta
2022-08-20	Madhipura	86.79271	25.92127	excellent	Asia/Kolkata
15 Sep 2013	Randudongkal	109.3243	-7.0981	building	Asia/Jakarta
03 Jul 2015	Nkpor	6.83042	6.15038	average	Africa/Lagos
2018/03/22	Ramla	34.86563	31.92923	accep	Asia/Jerusalem
2015/03/16	Hendala	79.883	6.9909	accep	Asia/Colombo
04/30/2019, 00:00:00	Argungu	4.52514	12.74482	accep	Africa/Lagos
31 Jul 2016	Barinas	-70.20749	8.62261	excellent	America/Caracas
2013/04/02	Beryozovsky	60.8019	56.9083	average	Asia/Yekaterinburg
28 Aug 2014	Edremit	27.02444	39.59611	building	Europe/Istanbul
09 Sep 2022	Jingzhou	112.19028	30.35028	maintenance	Asia/Shanghai
04 Feb 2022	Marburg an der Lahn	8.77069	50.80904	average	Europe/Berlin
2018-09-17	Aguilares	-65.61427	-27.4338	average	America/Argentina/Tucuman
2020-09-26	Lexington	-81.23621	33.98154	accep	America/New_York
2017/08/18	Stockbridge	-84.23381	33.54428	building	America/New_York
08/30/2014, 00:00:00	Elbeuf	1.00288	49.28669	average	Europe/Paris
2014/11/15	Heyuan	114.68333	23.73333	maitennce	Asia/Shanghai
2020/11/05	Murray	-88.31476	36.61033	average	America/Chicago
28 Oct 2013	Hermsdorf	13.31783	52.61131	good	Europe/Berlin
04/02/2021, 00:00:00	El Copey	-73.9614	10.15031	average	America/Bogota
2017/10/03	Poulton-le-Fylde	-2.98333	53.83333	accep	Europe/London
2021-05-09	Jocotepec	-103.42897	20.28527	building	America/Mexico_City
10/31/2020, 00:00:00	Jackson	-88.81395	35.61452	average	America/Chicago
21 Aug 2017	Karatsu	129.96972	33.4425	accep	Asia/Tokyo
2013-07-29	Buynaksk	47.1192	42.819	acceptable	Europe/Moscow
2019-08-23	Yingkou	122.22833	40.66482	average	Asia/Shanghai
02/10/2018, 00:00:00	Hudiksvall	17.10558	61.72744	average	Europe/Stockholm
12 Sep 2017	Utica	-75.23266	43.1009	accep	America/New_York
2016-04-20	Martinsburg	-77.96389	39.45621	good	America/New_York
26 Apr 2014	Licheng	113.82465	23.29549	accep	Asia/Shanghai
2018-03-01	Antipolo	121.12251	14.62578	maintenance	Asia/Manila
09 Nov 2018	Saint-Omer	2.25	50.75	excellent	Europe/Paris
2018/07/06	Campobasso	14.66737	41.55947	good	Europe/Rome
09/02/2019, 00:00:00	South Lawndale	-87.71255	41.84364	excellent	America/Chicago
2020/10/02	Dalsingh Sarai	85.83636	25.66795	average	Asia/Kolkata
09/18/2013, 00:00:00	Muskogee	-95.36969	35.74788	accep	America/Chicago
2018-05-04	Pilkhua	77.656	28.71271	accep	Asia/Kolkata
2014-01-23	Nova Kakhovka	33.34864	46.75451	average	Europe/Kiev
03/28/2015, 00:00:00	Iringa	35.7	-7.76667	good	Africa/Dar_es_Salaam
08/28/2019, 00:00:00	Paracho de Verduzco	-102.04897	19.64745	maintenance	America/Mexico_City
2015-06-02	Fitchburg	-71.8023	42.58342	excellent	America/New_York
06/16/2017, 00:00:00	Itacoatiara	-58.44417	-3.14306	good	America/Manaus
25 Jun 2015	Kachkanar	59.4839	58.7002	maintenance	Asia/Yekaterinburg
27 Apr 2016	Mokopane	29.00974	-24.19436	good	Africa/Johannesburg
09/22/2013, 00:00:00	Mexborough	-1.29243	53.49389	good	Europe/London
2022-09-26	Edremit	27.02444	39.59611	average	Europe/Istanbul
04/10/2018, 00:00:00	Saint-Genis-Laval	4.7934	45.69558	average	Europe/Paris
01 Jul 2019	Viradouro	-48.29694	-20.87306	accep	America/Sao_Paulo
2020-10-12	Kirchlengern	8.63333	52.2	good	Europe/Berlin
2016/11/03	Hudiksvall	17.10558	61.72744	good	Europe/Stockholm
2022-07-19	North Tustin	-117.79394	33.76446	maintenance	America/Los_Angeles
29 May 2013	Buri	-48.59278	-23.7975	excellent	America/Sao_Paulo
2019-02-25	Iringa	35.7	-7.76667	good	Africa/Dar_es_Salaam
30 Jun 2015	Korschenbroich	6.51352	51.19139	excellent	Europe/Berlin
17 Jun 2021	Zvenihorodka	30.96755	49.07866	good	Europe/Kiev
2018/04/07	Privolzhskiy	46.04833	51.40944	building	Europe/Saratov
29 Nov 2016	Brazzaville	15.28318	-4.26613	building	Africa/Brazzaville
2019-01-09	Bonoua	-3.59625	5.27247	accep	Africa/Abidjan
03 Feb 2014	Newburgh	-74.01042	41.50343	excellent	America/New_York
2013-12-28	Chiavari	9.32241	44.31771	good	Europe/Rome
21 Aug 2018	Tandil	-59.13316	-37.32167	good	America/Argentina/Buenos_Aires
2021/02/20	Deoli	75.37991	25.75728	excellent	Asia/Kolkata
2020/10/16	Harstad	16.54165	68.79833	excellent	Europe/Oslo
2020/03/27	Liaoyang	123.17306	41.27194	maintenance	Asia/Shanghai
2021/12/20	Boli	130.57211	45.75279	excellent	Asia/Shanghai
2018/06/09	San Rafael	-84.13722	9.92787	accep	America/Costa_Rica
30 Nov 2013	Artur Nogueira	-47.1725	-22.57306	good	America/Sao_Paulo
08/23/2014, 00:00:00	Nova Kakhovka	33.34864	46.75451	good	Europe/Kiev
2022-05-06	Gavrilov-Yam	39.85331	57.30185	good	Europe/Moscow
2017/08/13	Palafrugell	3.1631	41.91738	good	Europe/Madrid
2022-03-05	Pottstown	-75.64963	40.24537	accep	America/New_York
2020-09-20	Las Gabias	-3.67029	37.13548	good	Europe/Madrid
18 Dec 2021	Hendala	79.883	6.9909	excellent	Asia/Colombo
2016/04/26	Srinagar	74.80555	34.08565	maintenance	Asia/Kolkata
2021-02-26	Kenda	86.51499	23.1959	accep	Asia/Kolkata
2016-11-07	Jackson	-88.81395	35.61452	excellent	America/Chicago
23 Oct 2016	Marseille 11	5.4384	43.2907	good	Europe/Paris
2021/08/15	Tupi	124.95278	6.33444	average	Asia/Manila
24 Aug 2018	Roslavl’	32.86389	53.95278	building	Europe/Moscow
2017-12-19	Mirriah	9.15013	13.70727	accep	Africa/Niamey
04/08/2016, 00:00:00	Marburg an der Lahn	8.77069	50.80904	good	Europe/Berlin
2018/11/06	Ina	137.95378	35.82756	maintenance	Asia/Tokyo
03 Jun 2015	Rutherglen	-4.21376	55.82885	good	Europe/London
2013/02/06	South Lawndale	-87.71255	41.84364	excellent	America/Chicago
08/15/2013, 00:00:00	Kitgum	32.88667	3.27833	maintenance	Africa/Kampala
07/18/2021, 00:00:00	Curitiba	-49.27306	-25.42778	good	America/Sao_Paulo
2015-02-24	North Lauderdale	-80.22588	26.2173	good	America/New_York
04/17/2018, 00:00:00	Rhosllanerchrugog	-3.05814	53.00974	accep	Europe/London
2014-03-30	Kuvandyk	57.3552	51.4781	accep	Asia/Yekaterinburg
2021/11/02	Tuxtla	-93.11308	16.75973	excellent	America/Mexico_City
2014-09-23	Salvatierra	-100.88023	20.21322	average	America/Mexico_City
2014/09/24	Taozhuang	117.33333	34.85	excellent	Asia/Shanghai
2017-03-26	Talipparamba	75.35927	12.04161	maintenance	Asia/Kolkata
2016/11/16	Andes	-75.87877	5.6561	excellent	America/Bogota
2020/10/22	Malakhovka	38.02486	55.64776	maintenance	Europe/Moscow
12 Sep 2019	Gaya	9.0027	11.86064	average	Africa/Lagos
2021/05/15	Vryheid	30.79165	-27.76952	accep	Africa/Johannesburg
09/16/2021, 00:00:00	les Escaldes	1.53414	42.50729	accep	Europe/Andorra
2015-06-17	Sukabumi	106.92667	-6.91806	accep	Asia/Jakarta
2022-09-04	Bonoua	-3.59625	5.27247	good	Africa/Abidjan
