PAHs	NOx	Pb	warning	latitude	SO2	CH4	CFCs	PM10	longitude	NH3	C2H3NO5	O3	CO	PRES	PM2.5	H2CO	TEMP
7.92641	10.87308	55.71260	1.00000	-6.8048	7.50465	9.68681	78.96222	7.30511	110.8405	6.85019	1.14707	7.42866	11.80006	1132.08638	9.16846	49.21214	12.64948
8.17131	6.93746	63.39080	0.00000	43.61058	9.16973	7.78212	81.25743	6.94128	1.33467	8.00689	1.11881	6.77742	10.33281	1191.08766	13.03901	66.47222	17.59148
7.85669	7.55320	51.39896	1.00000	9.6531	8.09028	9.81336	69.83844	5.80122	124.3697	9.33504	1.07590	11.86793	7.45566	1152.33148	5.10688	71.18757	-10.56644
8.00104	9.87524	63.69928	1.00000	41.55838	7.71862	11.51231	73.77253	7.45763	-81.56929	6.80948	1.22735	11.51904	7.93227	1112.61282	11.39949	63.20807	6.44738
9.12488	8.43512	55.69122	1.00000	5.27247	8.80694	9.44015	68.06085	8.97490	-3.59625	4.32801	4.49503	7.50290	11.40943	1147.33316	11.45866	28.76514	36.76313
8.77873	7.27543	65.91590	0.00000	11.12018	9.52820	6.42456	74.47987	6.90990	76.11996	6.93351	1.42591	10.21108	9.72924	1105.54509	10.08511	71.97053	13.21579
8.06766	8.38066	52.44071	0.00000	-7.54972	8.36522	6.91073	68.45321	8.88769	110.71639	7.27792	4.01183	4.90961	11.86250	1110.58748	9.06963	36.97359	13.82724
9.45742	7.61151	55.18442	1.00000	18.42745	8.86000	7.29260	71.13406	6.42838	-67.15407	7.44436	1.08877	8.76155	12.31084	1072.01014	9.55909	59.66185	5.10313
7.49491	11.47241	27.65574	1.00000	-34.74785	8.06760	8.51696	82.26555	8.66056	-58.70072	6.14146	3.22637	7.50829	11.44469	1152.53970	10.95548	48.94637	39.12558
7.30901	8.99167	62.82941	0.00000	-12.91667	10.14023	6.16527	82.97399	7.78464	-39.25	7.73540	1.20282	10.21673	9.78052	1155.83480	9.35677	72.67122	23.82416
10.16621	7.61281	48.94556	0.00000	33.14447	10.30211	7.69205	75.45649	7.97676	47.3799	8.61534	2.25494	9.20255	10.20106	1128.78765	10.34207	60.53300	2.15360
8.49707	8.95607	50.54822	1.00000	12.18441	8.99931	9.17669	81.60960	7.71979	18.69303	10.33167	1.68501	10.02193	6.13876	1051.86705	8.33997	56.40740	7.82614
8.53149	6.88005	46.04095	1.00000	58.7002	7.07972	7.69080	83.44254	7.32610	59.4839	11.89220	1.22381	9.92596	6.45722	1092.80857	9.03767	57.20779	13.41644
8.02457	7.67988	59.23766	1.00000	-26.22861	8.12745	8.37161	70.73587	8.45323	-52.67056	4.62877	2.70396	8.97668	11.21670	1182.49035	10.56244	52.59252	-4.12130
9.26525	7.88046	52.08332	1.00000	33.4425	6.81036	6.47298	67.50217	8.48422	129.96972	7.61509	3.08545	8.99007	10.87737	1187.22710	9.70378	68.33179	5.08380
9.37512	8.53409	48.41488	1.00000	-21.205	7.58293	9.57595	65.43016	7.39714	-41.88778	6.34888	1.67793	11.58353	9.15582	1079.58010	9.97695	52.24443	21.47753
8.07705	7.67666	42.80461	0.00000	40.60538	8.81267	6.91336	74.13224	7.54218	-73.75513	7.16484	1.51743	8.18862	9.81486	1162.89559	8.14422	40.16768	24.76548
10.12199	8.64989	29.61937	0.00000	53.59337	8.52080	8.28110	84.53963	5.54825	9.47629	8.38134	1.02307	5.74843		1198.59965	7.85898	80.28742	16.72313
8.84132	8.31684	42.55510	0.00000	3.27833	7.56301	6.94393	69.26359	6.11130	32.88667	6.93444	0.52508	8.11228	10.25018	1065.77378	10.16947	73.44255	7.64547
9.19637	7.69929	39.57313	0.00000	35.20889	9.35761	6.02026	70.98791	6.98398	111.73861	6.86275	1.51232	9.43359	9.07211	1104.58952	11.59729	21.83047	12.40492
7.09980	9.51361	42.82524	1.00000	15.46063	11.11546	9.39145	81.47287	8.11225	99.89166	6.91801	2.11845	7.88685	11.00873	1085.04667	10.25832	65.54167	9.72167
8.07904	8.11581	69.85237	1.00000	37.51803	7.78616	8.02784	65.75581	7.66120	15.00913	5.10223	1.45901	8.78073	11.98635	1101.49248	9.30438	65.65274	19.35711
8.13215	8.17777	38.36475	1.00000	35.05266	8.44377	9.93786	76.75215	6.34713	-78.87836	9.78475	1.11022	10.37301	6.91871	1120.75559	6.43841	49.87810	15.61297
10.41905	6.89685	33.84940	1.00000	19.8173	8.24848	10.09995	72.16141	6.52887	-97.35992	10.02015	1.19188	10.25916	5.00983	1093.75120	7.92957	30.41925	28.19190
8.68031	7.99768	47.86235	0.00000	22.4711	9.53489	8.10081	64.92046	5.71631	88.1453	7.42286	0.96369	7.21829	8.61076	1090.03245	11.59067	50.40030	26.91370
9.75629	8.62667	39.51586	1.00000	-34.88422	8.41454	8.63567	63.78297	8.25086	150.60036	4.29959	2.76698	7.51710	12.23829	1131.72303	11.08389	68.87700	5.15507
7.18942	8.19009	64.22576	0.00000	36.24624	8.01465	6.35879	68.04787	7.90688	139.07204	6.27177	2.19799	8.49844	8.91160	1096.18277	11.57449	36.35000	-7.77982
7.29213	7.27433	44.11694	1.00000	64.5635	7.50466	11.48813	65.72429	4.47508	39.8302	9.46749	0.99366	12.47914	7.35736	1062.57879	6.80708	28.09508	26.60432
10.71786	9.14543	46.63376	1.00000	55.38752	10.07659	12.02111	68.50430	8.06239	36.73307	6.52639	2.06677	9.76205	8.81597	1070.14253	9.19325	32.48438	16.13602
9.94664	8.72399	55.58907	0.00000	50.9803	7.38675	7.91527	69.56184	7.15383	11.32903	5.50165	1.50463	10.45873	9.28561	1059.03682	10.13490	61.98683	19.61143
8.70772	9.11863	61.15079	1.00000	48.90982	7.82003	8.91476	81.67487	9.30486	2.45012	9.14598	5.40946	9.57679	8.51611	1097.31188	3.78232	53.99310	23.01598
8.24819	10.42162	45.73734	0.00000	11.12018	7.77790	5.52827	78.42536	8.20281	76.11996	6.33402	2.35577	9.03338	8.93564	1066.15351	8.36277	37.20433	16.62083
9.41981	8.76941	54.43407	1.00000	10.63504	7.15856	12.36679	72.19014	7.66467	-85.43772	5.44018	1.21530	7.54866	10.74575	1152.98509	9.79185	47.95170	26.51001
8.87153	7.57913	60.94859	0.00000	50.75	6.88521	8.03456	65.08593	6.12835	2.25	7.90931	0.56103	5.53529	9.86364	1138.17954	9.20952	52.62760	7.02057
9.96343	8.05337	30.70885	0.00000	6.9909	8.93786	7.93238	84.18597	6.33894	79.883	6.72620	0.87526	7.57046	8.78578	1173.27392	8.62435	53.31693	18.88622
8.22160	7.78298	55.76139	1.00000	51.39148	6.26223	11.71754	80.64818	6.80623	-0.29825	8.20469	0.83843	9.32141	8.38011	1111.43474	5.70247	52.72473	24.97978
9.24624	8.74858	33.07300	0.00000	13.8196	9.08680	8.22771	70.22297	8.19886	100.04427	6.88575	2.43905	10.31767	9.35673	1144.53764	9.65326	56.30518	18.86295
8.27397	10.15888	37.99381	1.00000	14.95472	9.98462	10.87759	87.83938	5.66312	120.89694	10.67585	0.62739	11.70473	7.19424	1118.69339	8.47500	52.28999	6.19091
8.93000	9.29071	48.50226	1.00000	32.87533	9.12637	12.39589	70.76436	5.75372	71.57118	11.35156	0.53112	11.04637	7.81784	1157.89440	7.33575	64.04066	6.02113
7.36330	8.90369	28.64424	1.00000	-44.39672	8.49538	8.66675	73.74511	7.11303	171.25364	11.15090	1.11814	9.28698	6.94637	1184.38053	9.39068	71.10587	15.00755
8.35512	9.70698	39.79443	0.00000	41.6764	9.91729	9.44880	61.31778	6.57823	-91.58045	6.73432	1.30413	8.87795	10.41699	1065.79146	10.00505	46.05846	3.16525
7.02048	8.39455	70.04644	1.00000	45.51667	9.36355	6.51077	74.70162	8.48976	4.86667	10.07361	2.94676	10.47480	11.84756	1097.92025	9.06863	64.88616	0.59796
7.64759	9.05311	50.07963	0.00000	59.80917	10.44019	2.01077	72.93251	11.08910	30.38167	11.24982	30.67429	10.97165	7.73550	1053.27966	8.29613	55.52488	17.08128
7.60686	8.09208	44.51115	1.00000	42.50729	8.48627	8.44843	79.32986	8.60454	1.53414	10.60721	3.14808	9.24534	7.19857	1062.52612	7.74778	45.96523	19.06664
10.11109	9.62732	42.26329	0.00000	32.35126	9.27797	7.40330	75.28099	7.83098	-95.30106	8.28360	1.66702	9.84145	9.11923	1066.76701	9.28335	34.32674	13.25843
9.18125	9.13331		0.00000	44.80477	10.08330	7.30849	83.50970	6.45493	-0.59543	7.10985	1.12902	9.41800	8.36508	1113.90334	10.93458	57.06084	4.37701
8.34940	7.81999	52.54104	0.00000	50.75932	9.27373	7.08670	74.01254	6.58915	25.34244	6.91784	1.21215	9.18695	10.02223	1173.03935	10.74291	49.49306	17.30731
8.70208	9.32537	37.92300	0.00000	12.04161	9.66752	7.95051	79.84058	9.81658	75.35927	10.13843	8.96584	11.70608	11.04588	1082.28034	6.39672	35.36497	16.75956
8.64970	7.31496	53.56578	1.00000	-21.205	8.80160	11.10447	69.53035	7.24324	-41.88778	7.43134	1.27785	11.46917	8.34388	1128.36942	8.98626	43.51192	17.96321
8.73287	6.93674	53.03923	0.00000	50.9803	10.08434	4.17894	78.41096	7.73339	11.32903	7.70889	2.21422	10.53581	9.95527	1059.98602	10.44462	60.15240	14.34380
7.81420	9.40541	19.77562	1.00000	18.03496	7.29868	10.29369	70.88521	6.87107	-66.8499	7.16707	1.52879	11.15809	9.27408	1102.12732	8.51732	49.12224	16.03975
6.97241	8.35828	41.49265	1.00000	40.87363	6.96399	9.26561	62.29313	7.37026	14.34085	7.28213	1.19866	9.58546	10.30391	1064.67319	10.02318	76.64701	10.95211
7.99982	7.82268	55.60358	0.00000	57.14369	9.39560	12.04191	67.12036	7.74863	-2.09814	9.97474	1.55924	12.37567	6.01869	1101.21344	10.43073	44.48238	31.74482
7.55880	8.81273	61.79370	1.00000	15.45144	7.84955	10.40117	75.49651	7.77934	78.14797	6.73775	1.94812	8.41532	10.63317	1079.65378	8.69623	67.43679	5.07915
8.69394	8.69009	51.51430	0.00000	41.94175	9.90063	7.71765	76.22141	6.94710	123.50266	6.88493	1.02398	10.44837	9.51588	1061.10136	9.74336	52.63604	25.59999
10.34611	7.90295	45.01563	0.00000	37.51803	9.82709	6.45209	69.29893	7.25162	15.00913	5.84635	1.61735	7.33105	8.28757	1076.86125	8.44893	49.71647	11.50281
8.29492	8.94141	39.65884	1.00000	38.37255	7.56829	8.76815	68.49803	7.16159	34.02537	10.80161	1.26508	10.55198	6.43697	1095.84293	9.07701	37.75776	1.32060
7.79356	8.15342	61.59092	0.00000	-22.9	9.52835	10.44477	72.04830	6.81277	44.53333	6.58676	0.98071	7.43070	8.85556	1190.93859	10.86349	42.91143	18.68415
8.55175	9.02692	58.52064	0.00000	53.49389	7.06050	6.40245	80.90947	6.09652	-1.29243	7.73641	1.06335	10.51270	9.94646	1152.19144	9.18243	52.01964	21.36864
7.75093	8.70339	53.49194	1.00000	28.92694	8.03672	8.72738	66.64130	7.07737	78.23456	3.07321	1.23646	12.73728	9.90512	1184.72121	10.27922	68.68572	17.94921
8.92441	8.35819	64.92544	0.00000	-4.5833	7.72069	7.25855	71.87880	6.16065	15.16554	6.94092	0.40377	9.35034	10.67847	1187.35034	9.99078	77.03947	7.21750
8.80731	8.85725	66.50753	0.00000	44.89784	8.46234	7.85383	73.25099	8.35065	8.86374	7.62644	2.51341	10.67821	8.80963	1197.67080	9.04501	57.26355	21.10373
10.87884	7.78005	44.43312	1.00000	51.40944	7.82077	9.57024	72.85187	7.64893	46.04833	6.87834	1.33807	9.40450	10.20581	1130.70563	10.13903	67.57958	30.84054
8.38182	7.66526	44.30265	1.00000	53.59337	7.46906	8.71327	74.44883	6.92682	9.47629	10.41718	1.55406	10.68503	5.92942	1074.10216	8.56626	49.26863	4.81773
8.11850	8.12267	55.38653	0.00000	30.75545	8.95892	7.58743	69.11439	7.14816	20.22625	6.88117	1.50476	7.50625	9.66114	1081.23504	8.43052	50.58094	24.86066
6.74818	9.53996	41.62435	1.00000	68.79833	8.68300	12.21906	71.24125	5.75664	16.54165	8.76820	1.14721	12.58569	7.63614	1157.51216	8.06885	48.91426	48.84849
9.12475	8.42756	26.80831	1.00000	46.1351	9.75571	8.93275	68.05457	7.99380	-60.1831	7.49656	2.04002	11.99344	8.15613	1096.15883	11.90720	41.63001	23.50909
6.64057	7.47626	67.50847	0.00000	15.45144	6.73080	9.00082	62.74039	9.91091	78.14797	9.64780	9.86911	6.26135	8.14745	1056.83751	6.47107	48.57944	19.85718
8.26690	7.80673	33.22106	0.00000	12.37169	9.12879	6.93504	63.46917	7.94293	123.62494	7.44625	1.84104	11.72762	10.88692	1158.50650	8.79082	46.27919	8.79544
8.51854	8.69664	40.90897	1.00000	-34.88422	8.66788	8.07050	75.31814	8.69719	150.60036	11.24824	3.15450	8.85860	5.23936	1051.42546	9.90770	43.09584	7.79445
8.72727	8.50705	58.61294	0.00000	0.49113	9.58875	6.00936	76.83275	9.19445	29.47306	6.87946	5.28957	6.40840	11.17771	1181.59823	7.90105	41.19432	8.60640
8.89050	8.12929	59.19968	1.00000	27.09978	9.00610	10.64879	66.94101	4.08388	-82.45426	10.18536	0.72625	11.08438	7.55466	1180.52587	8.58742	59.85430	-2.34506
9.38026	7.54180	31.54849	1.00000	33.14447	8.88106	10.50525	72.00810	5.75105	47.3799	10.31828	0.58417	9.95033	9.67109	1128.84132	8.32897	72.05674	20.23563
8.04564	10.64527	41.72999	0.00000	35.20889	7.33105	4.81771	82.38936	9.17023	111.73861	6.06106	5.14956	7.77963	9.50346	1116.68007	10.90617	50.91427	-7.89166
10.36100	7.22357	62.73162	1.00000	-38.16604	9.11292	12.45321	66.11680	6.94561	145.13643	7.92518	1.48200	10.56555	8.41099	1108.23665	8.81896	35.85008	36.39177
8.92453	7.41926	54.16050	1.00000	-22.53722	8.08165	8.03210	75.89036	8.29546	-42.98194	6.51392	2.57474	8.64896	11.03230	1163.32671	11.56859	71.03403	24.67548
7.51573	10.22261	82.85286	1.00000	16.0567	8.63597	10.35653	81.30178	6.94934	103.65309	6.83049	1.15532	10.14831	9.91844	1125.79419	8.60618	30.64124	33.06456
8.93325	8.03831	47.41502	1.00000	-38.16604	9.14150	10.07400	70.73271	6.79012	145.13643	9.44790	1.04249	12.66545	7.46714	1069.36721	10.38621	49.25264	1.45632
7.91391	9.35657	63.36980	1.00000	30.75545	8.37479	10.12828	72.00649	7.82342	20.22625	8.95820	1.47279	9.65120	8.02758	1106.09175	4.99391	69.92064	22.61830
8.46591	8.56109	32.97497	0.00000	39.45621	9.43088	8.40396	83.44542	5.25415	-77.96389	8.45448	0.69524	8.63990	8.79111	1055.23414	12.31897	47.27938	7.87799
8.07296	8.67394	78.42580	1.00000	30.35028	7.91272	12.60252	81.23270	7.26080	112.19028	8.45845	1.19748	10.35792	7.14152	1085.13054	6.03867	82.49987	22.26479
8.30718	8.90249	58.01924	1.00000	45.9836	8.33531	9.56936	66.06268	6.33910	12.70038	7.32851	0.92558	12.59074	8.93114	1113.74993	8.55959	54.70739	11.00620
8.64106	7.60724	38.87218	1.00000	48.43174	8.92862	11.08294	77.18546	7.00724	17.8031	8.26022	0.90284	10.57866	8.12711	1052.05419	5.76473	42.35225	7.56871
6.56367	9.88663	31.69099	0.00000	40.55851	10.08839	6.32050	84.39337	7.68300	17.80774	8.85136	1.58432	12.13575	11.80143	1161.68682	7.99747	61.45294	14.18070
8.96088	7.66019	46.39786	1.00000	-8.05389	7.69266	10.13313	61.17626	7.24882	-34.88111	6.17226	0.97855	10.98535	9.29889	1110.31282	10.35900	62.20103	14.08982
9.92861	9.74052	59.36698	1.00000	36.21544	8.66498	9.20669	81.11242	7.28197	65.93249	6.38105	1.06540	9.22278	10.89827	1166.18427	10.01724	30.11914	17.87433
6.98077	8.26249	50.71649	1.00000	16.0438	8.31165	12.66257	74.62312	5.94437	120.4861	8.25956	0.57204	10.29633	9.32278	1152.11129	5.07771	53.89798	22.30052
7.35247	9.66158	36.56924	0.00000	8.35122	6.36941	7.50599	81.28155	8.20793	-62.64102	5.92364	2.21640	7.02030	9.94487	1136.74227	9.50585	66.04757	13.08953
9.47184	7.80622	61.58907	0.00000	50.80904	7.33989	6.26542	74.70368	8.90885	8.77069	5.00287	3.64403	9.53818	8.62006	1141.68650	12.03704	42.90278	21.66032
9.12116	7.34701	47.59604	0.00000	12.18441	8.54631	6.99426	77.14278	6.74898	18.69303	6.48590	0.69709	8.53835	9.69735	1058.03854	12.41616	48.93419	17.55523
9.55667	8.19311	48.61079	0.00000	41.50343	8.92647	7.07333	67.87885	5.98761	-74.01042	7.65515	0.76575	9.33326	8.24857	1072.38132	10.96700	46.81729	17.13320
7.20921	8.09617	44.21100	1.00000	41.84364	9.83049	9.64853	83.39260	8.92742	-87.71255	10.07698	4.24504	8.24824	6.80645	1075.36872	8.96494	61.89871	8.58702
8.67395	8.30651	34.62718	0.00000	65.93381	7.93292	7.90245	79.84150	7.71295	111.4834	6.18724	1.85851	10.57640	9.91416	1071.72971	9.15029	62.89934	9.67375
7.39434	7.67351	71.95521	0.00000	-8.05389	10.51533	7.26352	68.55949	5.32228	-34.88111	8.20576	1.06468	9.67679	7.93256	1068.19507	11.77326	70.27773	-10.72546
10.03058	8.33011	77.42950	0.00000	48.90982	8.42314	7.24354	71.18599	8.08336	2.45012	5.68275	2.00846	8.83396	8.99956	1154.22215	11.24851	41.99931	-0.93397
8.99652	8.57954	48.67845	1.00000	49.68369	8.48279	9.07250	63.20780	6.96072	8.61839	5.26083	1.44226	8.99062	11.60674	1133.56501	10.06855	60.36527	21.84821
10.30699	9.41936	47.85102	1.00000	43.4125	8.45261	10.40408	78.17238	7.61144	23.225	10.84751	1.42714	9.89525	7.49033	1181.25156	10.05943	39.06677	22.18859
6.69053	6.63425	42.65275	1.00000	50.5107	8.16561	8.82143	69.90224	8.75950	18.30056	11.30884	3.61005		7.52119	1054.50978	9.53249	78.66591	10.91564
7.94419	8.27566	44.30443	0.00000	45.44868	9.05525	8.34971	72.95602	5.13760	-73.81669	8.27948	0.44348	8.51346	8.51845	1190.00805	11.67715	31.78205	-11.53627
7.65740	8.73464	56.91254	1.00000	16.68911	6.58247	11.55616	69.18179	8.27267	98.50893	7.04612	2.12657	8.42273	9.59747	1142.12932	10.21764	67.13967	4.89532
8.66687	7.98031	61.59437	1.00000	21.46527	8.92607	10.68615	80.91524	6.76986	83.97573	11.09941	0.86720	13.31747	7.69002	1070.78676	8.54600	73.88341	6.32071
7.45077	9.31515	57.46113	1.00000	-8.05389	9.53588	12.71691	77.60678	8.36553	-34.88111	8.84575	2.96256	8.02104	8.57246	1124.08495	10.21675	38.33742	-5.02069
9.01549	8.50849	41.79661	0.00000	53.51684	10.61538	8.54163	67.37951	7.81512	-113.3187	7.45968	1.97958	9.21035	9.73096	1052.18099	8.77320	63.28909	25.36092
8.39040	8.60110	47.78873	0.00000	10.66668	6.88565	6.14026	83.21535	5.11574	-61.51889	5.47955	0.88230	9.29634	11.04136	1178.28284	11.96136	37.59941	17.35033
8.09373	7.74307	42.70046	1.00000	-28.24	7.51050	10.35653	91.56466	7.87660	-48.67028	10.46093	1.55745	9.33978	7.17596	1127.98671	7.53113	36.50118	19.18164
8.74808	10.12192	49.54943	1.00000	37.51803	7.98105	11.92072	67.05166	7.81737	15.00913	9.98551	1.58233	9.72183	8.08291	1129.37901	8.52964	52.30998	5.74490
9.10829	8.80143	73.81491	1.00000	2.41669	8.72361	12.92261	69.91230	8.43152	30.98551	7.90000	2.89200	10.66028	10.00205	1131.29793	4.03292	73.56272	8.86262
8.30600	8.83105	62.67361	1.00000	9.6531	8.54973	10.70089	72.39192	6.61948	124.3697	5.72100	1.12010	12.18233	8.86863	1107.32269	9.91472	61.68450	19.22797
7.90156	9.99572	38.70916	0.00000	26.11527	7.26656	9.28268	75.21639	6.89552	86.59509	8.15448	1.14095	9.25197	11.68141	1187.22389	9.55207	49.51425	10.43921
9.02709	7.40987	40.23918	0.00000	-22.9	8.64658	7.16414	60.82368	8.50093	44.53333	8.44542	3.10195	10.36909	9.88059	1103.14550	8.16162	61.14554	17.14022
9.93492	9.14783	40.87876	0.00000	2.2139	9.17582	6.40991	76.26919	6.97716	102.3278	8.73835	0.90273	7.34801	10.22298	1193.03729	11.44352	58.32293	19.70632
8.83526	8.12477	45.90080	0.00000	-34.28853	7.55567	4.81476	68.76272	8.01929	146.05093	7.18399	1.63422	9.10373	9.27618	1076.06394	9.96720	62.12433	16.06812
9.26647	6.17936	32.09082	1.00000	5.6561	8.29335	9.72034	73.02237	6.49552	-75.87877	9.72075	1.03377	10.73908	9.05969	1101.50740	5.78538	66.46160	15.26176
7.60992	8.43719	55.31116	1.00000	50.09019	8.23289	11.23188	79.88921	7.02937	8.4493	9.41439	1.64685	11.41007	8.65358	1160.28843	5.00192	48.29472	22.81165
9.43232	9.00303	58.50739	0.00000	37.52487	7.64499	4.53687	63.79525	7.49950	-77.55777	9.66965	1.32714	10.34728	10.88075	1060.56213	9.09203	62.55432	26.31829
10.00456	7.06919	49.61518	1.00000	27.09978	7.76470	10.64165	79.20952	7.31860	-82.45426	8.79113	1.56622	9.29230	9.47801	1158.23981	9.01468	39.42853	15.24864
7.93668	8.20201	54.64691	0.00000	52.61131	7.18748	9.71873	68.45597	7.76455	13.31783	8.90525	2.16027	9.98147	11.73639	1172.51804	8.35650	61.28088	4.77029
8.40330	9.14485	58.36502	0.00000	30.24706	8.25817	7.10598	78.07365	7.24422	115.04814	5.57453	1.38836	10.78963	9.18101	1162.32397	10.29242	50.99423	19.71343
9.54192	9.14869	51.83868	1.00000	44.85278	6.33053	10.60114	77.86192	6.85885	65.50917	9.06652	1.11152	11.77699	7.88092	1093.92927	10.36364	47.17899	22.71278
6.37881	8.48580	47.19335	0.00000	12.97389	8.47972	8.59089		7.69270	123.99333	8.22025	1.45333	10.07553	10.73415	1138.08639	9.02407	35.67574	-9.73450
8.98787	8.14730	50.00952	0.00000	6.45407	9.64797	6.57887	64.88996	5.82400	3.39467	8.11995	0.95745	8.37487	8.46147	1096.81301	9.97749	29.08876	24.61181
9.13949	9.20337	51.43293	1.00000	-11.78333	8.56595	9.25909	69.48361	8.04590	19.91667	9.54523	2.02561	8.69367	7.51915	1085.76171	6.02370	44.92531	10.15693
9.61347	8.37552	34.40499	1.00000	2.41669	8.33921	10.31331	65.01406	9.04440	30.98551	10.01086	4.71155	9.61947	8.40716	1158.54515	6.63309	50.67063	14.80959
9.15274	7.48165	57.76281	1.00000	-21.41222	9.74351	9.34034	71.75392	8.16661	-42.19667	5.59725	2.03490	10.17637	9.79392	1101.88152	11.51700	51.14209	11.35180
8.92575	8.06768	43.68472	0.00000	-4.83	8.13642	8.40867	70.56433	7.72192	29.65806	9.80004	1.44908	7.97954	12.87358	1146.71931	10.77977	58.41513	9.66924
9.87214	7.18951	41.38477	0.00000	12.37169	7.55715	5.23701	62.64948	6.87005	123.62494	6.63549	0.79526	10.37447	9.31034	1050.83312	11.62578	30.71146	-9.94196
8.55816	9.25687	49.14850	1.00000	-33.38056	8.81118	9.14323	78.47738	9.31180	-56.52361	5.89946	5.80872	10.17392	8.91282	1122.65847	12.43752	40.58874	7.98723
8.17874	8.36668	51.93218	1.00000	40.66482	7.86848	8.51104	77.53703	6.96639	122.22833	7.42033	0.82744	11.16744	9.67031	1130.73036	10.32079	43.51316	19.86070
8.99640	8.68599	51.96989	1.00000	12.18441	9.26928	10.43770	57.64168	7.51260	18.69303	10.50453	1.24419	9.70917	6.01446	1175.54670	10.19940	71.37196	24.69338
8.58414	7.43551	63.73015	1.00000	32.05971	9.03733	10.56251	71.15949	7.47804	34.8732	8.34730	1.58305	10.62683	8.68210	1083.96090	8.78753	43.38027	22.00094
7.68160	8.26730	47.18181	0.00000	45.44694	8.17964	9.20326	88.14738	9.85921	8.62118	10.12420	9.58600	9.75203	9.20423	1121.93471	8.25360	24.70548	0.74799
9.21781	9.71025	31.83951	1.00000	13.70727	6.91257	9.47742	77.53405	9.00793	9.15013	7.29735	4.06199	7.39641	10.56542	1183.00855	10.35811	74.17675	22.17769
9.49483	6.91725	77.04422	0.00000	-12.91667	6.41990	6.36889	68.10775	6.38893	-39.25	8.90953	1.05976	9.22475	9.72361	1118.15982	10.13176	26.88106	11.75647
8.63581	8.43020	53.88050	0.00000	-8.43333	8.56165	5.72090	71.76547	6.77516	114.33333	5.87456	0.80739	10.37007	8.12255	1135.22798	10.74324	51.44119	36.38058
7.15704	8.34257	48.70954	1.00000	2.41669	8.39254	8.53594	78.97141	7.17910	30.98551	10.99399	0.95046	10.35948	7.04731	1114.61329	9.21767	63.33107	-1.03079
9.02705	8.00531	53.98329	1.00000	37.31065	7.73926	12.56258	74.07404	6.76117	13.57661	7.46953	1.26224		9.90136	1165.90593	8.59455	57.14998	15.38611
