PM2.5	O3	H2CO	SO2	PAHs	longitude	latitude	NH3	TEMP	C2H3NO5	CO	CFCs	PM10	PRES	warning	Pb	NOx	CH4
7.61687	7.56593	62.15809	5.04582	8.44987	5.58472	52.14	5.00851	11.21681	0.60228	8.45311	42.93530	9.49101	1085.24384	0.00000	50.27438	6.59611	11.37237
6.18948	10.44656	67.01041	5.83107	9.44277	9.40531	45.53069	6.93698	2.95642	0.21026	8.10718	37.45892	8.19252	1192.22184	0.00000	35.12004	8.52598	7.60468
7.99237	6.91711	69.70087	9.92884	8.06728	10.03478	37.16911	10.43966	39.65061	0.07749	7.78573	34.40065	7.26942	1092.41008	0.00000	66.29383	8.71519	9.43060
5.03365	8.18956	69.89920	10.38051	10.26899	-81.77285	28.54944	8.34948	29.62269	0.12006	8.43129	54.87708	7.47851	1120.00369	1.00000	62.94319	10.22843	8.18242
6.00077	9.29977	46.53196	9.16712	9.84805	125.51176	42.64031	6.24565	13.76690		9.26095	39.66526	8.91184	1178.83771	1.00000	60.93401	8.67936	10.32523
4.64052	8.83732	44.78510	5.82239	7.84976	-0.33525	53.7446	10.08155	6.63939	0.13296	8.17168	26.14989	7.09551	1078.99443	0.00000	40.75700	6.73159	10.44649
8.32128	7.52171	50.73598	10.64502	8.17070	18.30056	50.5107	9.01702	14.85838	0.20832	8.17307	50.18164	8.40966	1052.48818	0.00000	34.79036	10.55103	8.61068
10.07050	7.52208	68.93617	9.45244	8.29261	-86.78777	33.44872	9.84109	1.24492	0.17138	7.74420	32.91929	7.79218	1093.29609	0.00000	24.21115	9.13954	5.68399
11.16313	8.44223	30.42837	10.03064	8.80820	72.68533	22.75218	12.06750	1.76051	0.12934	8.72931	51.95266	7.26949	1148.64298	1.00000	32.38290	8.01043	8.66010
7.78426	9.27920	40.47857	9.21421	7.58382	-1.86343	38.10558	10.77256	26.33437	0.22079	7.50814	53.75704	8.11660	1126.18266	0.00000	67.70970	8.36246	8.17610
6.02337	8.66175	32.49322	8.70817	7.79069	67.84222	40.11583	7.79128	10.08692	0.31254	8.14754	71.10048	8.69300	1139.97823	1.00000	45.64440	10.52625	8.30254
6.11902	8.82989	61.76785	9.32856	9.39673	137.36215	36.75965	10.37857	14.92898	1.26321	10.12835	37.09789	10.28880	1119.20305	0.00000	56.13506	9.24057	8.04423
6.14926	9.21872	62.97281	9.16385	6.74076	76.56719	24.41288	6.86128	22.53096	0.37898	9.04397	38.84683	9.00641	1149.07920	1.00000	39.29587	10.07416	8.94720
9.91119	7.63480	51.41062	10.04704	9.41971	-35.03333	-8.28333	8.08078	21.12726	0.11975	8.58911	21.77585	7.37668	1107.98776	0.00000	43.42431	10.94109	5.99245
8.39356	7.90184	45.92818	11.70856	7.51116	75.37991	25.75728	7.20821	13.95719	1.24717	9.00681	57.40009	10.28396	1167.61481	1.00000	37.53913	10.62449	8.87054
8.11076	10.67669	51.33677	7.00430	8.35123	79.883	6.9909	8.53682	16.46951	0.09762	9.12383	49.32246	7.09291	1054.70410	1.00000	43.86286	6.67907	6.20305
8.64721	9.49901	53.91798	5.30166	6.83031	-61.4867	-31.25033	9.83936	19.85282	0.14113	7.96123	64.22782	7.43871	1159.36183	0.00000	38.49509	8.64345	8.18878
10.72550	7.15975	56.16694	9.88634	8.17454	86.68363	23.49668	8.66973	20.67866	0.07937	9.74678	59.17644	6.27760	1088.50082	0.00000	42.03847	9.44759	4.85506
6.96856	8.78978	50.37110	4.88037	8.29864	-86.99666	33.45122	6.04103	-4.61602	0.27974	9.29893	40.06397	8.60180	1116.53790	0.00000	57.26672	8.34156	8.88134
7.36340	7.77126	51.67122	6.53208	7.03733	26.01649	44.43579	5.50942	-3.32912	1.52623	8.27593	55.30093	10.50305	1193.57935	1.00000	33.47833	6.44386	9.60042
8.19082	9.02005	58.76295	6.88726	7.87054	44.53333	-22.9	7.89114	8.56939	0.06875	7.79777	69.98952	6.79886	1052.73062	1.00000	52.64614	4.72002	5.08486
6.94032	9.15382	73.53561	6.95337	8.19984	43.91385	54.03876	6.79018	-3.92139	0.72600	7.25178	40.98601	9.66697	1196.99990	0.00000	38.85909	6.38301	10.59982
9.11743	8.90263	54.91375	10.68964	8.14329	38.66667	-6.25	5.06097	31.56379	5.39219	7.79152	50.47269	11.80016	1150.13881	1.00000	37.60262		9.65757
6.68189	7.91298	75.67836	7.28457	7.99222	2.31889	35.21222	8.34086	5.22919	0.89522	7.80791	43.97593	9.91867	1078.54133	0.00000	53.01874	7.00296	10.20375
8.08262	9.80244	32.41303	6.63901	9.33702	31.33078	47.56494	5.16503	-4.76590	1.17240	6.67581	34.58563	10.23308	1063.75745	0.00000	65.47504	7.56944	9.93456
10.72254	7.87697	58.42981	9.13240	9.05480	-0.76773	38.38479	7.17568	18.73898	18.97039	9.43666	51.21199	13.06590	1151.50045	1.00000	33.44416	10.80219	9.26769
7.84939	9.90923	41.00198	9.57379	5.26016	8.70745	49.03685	4.71595	16.48571	2.47967	7.62303	40.74507	11.00975	1129.60732	1.00000	27.79589	10.96887	8.62762
5.70836	8.13226	42.70422	9.33410	8.23503	32.6178	46.65581	6.53795	16.48058	0.29697	8.09582	62.31709	8.59809	1155.53210	1.00000	55.02847	8.11178	10.93441
6.84115	9.27238	50.45308	10.24076	6.46408	-7.32097	41.1053	9.63393	31.09265	0.45026	8.48874	67.51911	9.18208	1136.12062	0.00000	15.47731	8.31948	7.32211
11.97188	9.30779	60.20057	5.37183	7.13226	34.75699	31.39547	9.07048	5.83514	0.06013	8.31652	57.40837	5.17568	1103.37645	1.00000	53.00293	7.40164	7.20726
7.18260	7.40241	46.50142	6.52895	7.41105	18.34717	54.60528	6.56297	5.90852	2.08755		18.06957	10.82234	1135.77879	1.00000	60.98613	5.34759	10.91097
3.61424	8.50820	34.18425	9.79037	6.55862	-5.55835	42.64685	4.10503	9.90735	0.09638	8.07085	44.85331	6.96583	1088.27651	1.00000	56.65743	8.87004	9.51782
10.09098		42.42369	6.92802	8.04550	-93.08883	45.16024	11.14468	12.62323	0.09065	5.80151	42.29367	7.44317	1114.30976	1.00000	33.98376	7.69784	8.71347
8.26299	8.89060	69.15895	4.65283	9.07267	1.6	43.11667	4.01577	19.02891		8.29358	72.25554	10.48742	1164.86485	0.00000	44.15833	4.41792	11.93135
8.88811	6.51276	52.10257	10.69752	7.58114	-2.77259	37.49073	9.58309	16.85808	0.22421	9.61852	41.05799	8.25125	1084.25521	0.00000	23.49374	10.21217	5.99249
9.86573	9.39279	43.73232	10.58311	9.01042	78.40102	27.9247	8.87524	5.82059	0.13325	8.67391	42.94774	7.39453	1196.99176	0.00000	46.63646	10.03529	7.11032
8.08931	8.67083	31.30227	6.65832	8.51788	-122.40433	37.71715	12.21994	3.40320	0.44324	8.37577	41.53848	9.13567	1067.82392	1.00000	61.84822	7.50969	9.27993
6.81626	7.87315	56.63241	9.60015	8.07112	26.97253	49.65186	7.71321	20.26307	0.40871	6.57348	17.64737	9.03627	1130.36199	1.00000	75.31728	9.11349	9.96994
10.30884	8.02541	61.54249	6.59410	9.41072	-66.8499	18.03496	10.40931	18.99543	0.10874	7.84454	60.60913	6.46473	1091.70449	1.00000	40.14525	8.13354	8.77577
6.04979	8.96791	42.86214	10.31228	6.71754	76.12647	32.55531	5.55883	-2.90774	0.33797	8.77183	67.38021	8.91729	1198.74276	1.00000	53.97052	8.94388	10.02581
6.49983	8.06639	57.34497	9.73694	7.83100	75.37991	25.75728	9.36957	30.87871	0.24157	7.96470	64.10303	8.36096	1149.17264	1.00000	39.22399	9.85062	8.90623
10.89459	8.76113	40.38962	7.74063	8.19278	21.32778	42	8.03341	16.10836	0.07200	7.01435	56.74379	4.86050	1119.71294	1.00000	74.02499	5.62636	5.48256
8.17270	8.91323	48.09001	11.03608	9.19117	12.6723	41.72063	4.87405	21.37829	2.70641	7.73996	13.87328	11.09304	1186.04974	1.00000	23.87558	11.87824	7.68551
13.06690	7.67674	39.83508	9.38498	7.81556	43.91385	54.03876	8.37072	22.86821	0.05827	7.26987	41.95405	5.64039	1053.63775	0.00000	31.75442	10.95800	3.91062
7.82718	7.72190	43.01122	10.35597	8.51503	-96.39774	30.16688	8.10802	3.78153	0.76124	7.22589	50.35076	9.79591	1134.05980	1.00000	47.95888	7.63231	11.90255
10.15212	8.60270	53.80128	5.79100	9.57810	28.88222	40.37528	10.85178	32.34705	0.21310	7.79862	46.84847	8.25373	1138.46788	1.00000	26.74312	8.44258	8.10768
7.72661	9.33193	72.52839	9.00970	9.71623	-86.78777	33.44872	8.24519	14.56796	1.18987	9.96936	60.64616	10.25788	1101.30089	1.00000	76.71306	9.05045	10.28257
9.35214	8.09675	32.86947	9.32454	8.01871	124.84472	10.13361	8.87298	23.30755	0.07752	8.75993	32.37198	6.39677	1156.36192	0.00000	59.91501	10.48773	5.68737
7.79546	8.07849	56.10447	8.08986	7.71479	-4.1	48	6.93609	17.98026	1.75207	8.97175	48.32263	10.64934	1093.13355	0.00000	74.44272	7.65521	6.28935
11.55285	7.50732	46.03977	10.33340	8.37453	82.85749	17.54907	8.30967	-0.00004	0.04675	8.01324	36.65449	4.96953	1161.85086	0.00000	32.04707	10.54155	6.90022
11.72334	8.98877	51.11085	9.02401	7.74868	145.18333	-37.9	9.21593	26.01866	0.03297	8.38598	55.34428	5.32486	1066.02518	0.00000	56.40085	10.67196	5.75234
10.09015	8.80217	57.54181	7.13600	7.54952	-74.13653	40.63316	11.03137	17.36991	0.13284	8.86566	53.41548	7.03723	1141.88079	1.00000	35.18375	5.23103	7.88646
6.54798	9.79131	58.65227	9.73874	10.05543	113.13148	23.02677	6.97035	25.47959	0.41290	7.75999	47.29891	9.11671	1146.49747	1.00000	56.69459	11.64296	7.24696
9.31732	7.37410	35.57066	8.38601	8.64846	16.54165	68.79833	10.41962	4.99662	0.11169	8.60337	44.12322	6.30505	1185.48894	1.00000	59.81234	6.28020	8.11327
9.22223	7.34087	46.60618	11.25583	8.16238	-88.70464	34.25807	6.89248	5.71173	0.08403	7.15294	52.90290	6.07276	1180.11376	1.00000	49.38164	12.44512	8.44658
8.28018	9.63929	64.96116	8.27245	8.19459	36.25361	47.48444	8.61044	7.99827	0.10207	9.43199	56.62165	6.96110	1181.95376	1.00000	24.08137	7.29937	6.35782
8.98161	7.82529	41.04595	4.76986	8.02669	117.59152	3.31332	10.07780	0.42860	0.10329	8.24737	57.46071	6.87112	1050.21929	1.00000	53.72659	7.16117	8.35105
9.86094	8.39734	31.63222	6.14585	6.92046	-73.95958	40.57788	9.03519	18.83561	0.12065	7.85017	67.56312	5.84274	1167.64641	1.00000		7.17823	7.64473
8.20813	7.85898	62.59718	8.54330	8.48398	140.73667	41.77583	10.06010	21.79720	0.09999	7.87194	63.14773	7.34801	1064.59889	1.00000	73.23398	4.75730	6.69624
9.14650	7.23341	35.72087	8.06125	9.86214	17.22635	48.8449	5.05698	24.66148	1.33275	6.91100	41.82367	10.36199	1135.45103	0.00000	46.76157	8.77254	11.32714
7.24790	8.48757	25.96783	10.16252	7.77001	114.10479	22.37066	6.95581	9.67810	0.86086	6.85863	40.85623	9.90863	1175.58537	1.00000	37.93472	11.05265	8.15581
7.07235	7.85195	65.48916	8.83454	7.64924	102.56365	13.65805	7.40142	6.70125	0.64254	8.73339	34.12300	9.60890	1163.46521	1.00000	50.66754	8.46354	10.93160
8.95996	6.79525	41.49960	7.75168	8.57080	124.95278	6.33444	12.34990	11.45303	0.38607	8.20547	73.46374	8.96103	1079.34701	1.00000	31.51371	8.81743	9.79462
	8.19765	42.02784	5.06977	8.08578	-94.74049	32.5007	6.33792	4.16828	0.51396	7.23152	41.59707	9.29765	1051.81172	0.00000	59.41677	5.18909	14.09425
9.10245	8.55475	54.04581	9.01755		8.96317	48.35149	5.62966	2.86597	7.90688	8.42054	29.98567	12.18585	1174.29374	0.00000	43.59719	6.51656	7.28828
7.03227	7.78826	53.02951	5.30026	6.86832	-1.98956	5.30383	6.36497	6.00389	0.29332	7.52406	42.03514	8.86060	1192.29256	0.00000	39.96103	7.58509	8.91905
5.69828	7.62560	53.32707	10.31775	7.17841	-35.03333	-8.28333	5.13358	14.28130	0.23604	9.06454	46.74907	8.48728	1168.90773	1.00000	60.15608	10.97268	7.55446
8.03871	7.36823	51.91492	9.45965	7.84951	-40.7475	-4.16694	8.06457	14.29820	1.46843	8.75010	42.59478	10.47438	1120.70915	1.00000	47.82681	10.08645	9.44763
8.06464	7.81384	55.42789	6.03368	9.15771	68.49143	25.80565	4.20005	11.34407	1.44710	7.20702	62.85215	10.45029	1176.02545	0.00000	26.10125	6.42081	10.58478
6.07296	8.38433	47.86664	9.20429	8.57729	122.8637	9.3337		21.56351	0.27314	9.06451	57.64665	8.38969	1188.11063	1.00000	59.53739	9.71893	9.13998
10.35551	8.40233	38.74495	8.88061	9.36876	-0.18333	38.96667	10.57498	13.28837	0.07124	7.38930	40.48499	6.18901	1195.35810	0.00000	47.30862	8.14744	6.55654
8.49753	9.18596	35.09035	6.54610	7.60936	-87.45476	41.47892	9.48396	17.76836	0.10164	7.01376	44.92848	6.58059	1126.44317	1.00000	54.14221	7.85074	8.28317
9.40921	8.91172	34.48405	8.34074	7.37416	110.71639	-7.54972	8.53777	28.71509	0.05772	7.92343	63.50318	5.43776	1159.24030	1.00000	21.18879	6.08006	6.39618
9.01265	7.94309	64.20612	8.55840	8.46567	113.82465	23.29549	7.24182	10.75607	4.29612	8.64200	54.97138	11.56844	1113.28213	1.00000	62.87788	8.97620	10.92404
8.17184	8.98007	54.86953	7.16830	10.11416	-120.45794	34.63915	9.84929	0.34206	0.13314	9.07856	44.34809	7.08233	1095.96698	1.00000	63.74339	5.31661	7.28147
7.53839	8.49399	58.01017	9.57123	9.04172	-91.77127	37.95143	8.46457	24.60386	0.68212	8.98518	56.62494	9.75824	1189.51956	1.00000	44.94686	8.36895	11.07264
9.04404	6.75448	32.98157	9.85485	8.01852	-2.1875	51.26	8.04887	33.14830	0.24907	8.89532	43.62230	8.44408	1114.84507	0.00000	64.14600	11.04542	6.13238
9.07937	7.92501	42.30999	7.56760	7.75237	68.75915	27.52948	8.04272	25.08001	0.11751	9.82285	63.03278	7.25911	1136.05604	1.00000	34.94145	7.21126	4.99998
10.26330	7.40123	52.17032	8.41922	8.98343	5.4384	43.2907	11.32700	38.28808	0.08638	7.78113	53.30988	6.19620	1144.14118	0.00000	53.38567	8.53355	7.24928
11.59351	9.05113	37.67967	10.72272	8.86922	106.88324	47.90771	4.99102	22.79005	45.69506	8.40724	56.35907	13.94609	1077.45045	1.00000	28.52256	9.34889	11.25814
10.65999	9.47003	43.62686	9.97742	7.82827	-0.76773	38.38479	8.79112	17.68269	0.10063	7.73027	49.73844	6.25254	1061.45109	0.00000	58.00239	10.04233	4.79087
10.03981	9.54210	57.20592	5.75798	9.23315	86.00214	46.51872	11.07545	19.42881	0.11145	6.40235	46.39005	6.30539	1188.40476	1.00000	55.94981	8.38895	10.14911
10.78232	9.54528	41.23427	7.36429	6.13558	41.00817	38.13708	10.19554	8.26298	0.12064	8.11887	69.41324	7.44030	1094.96210	1.00000	45.96309	8.47608	7.08469
7.14664	8.94863	27.25020	9.40248	8.95657	115.04814	30.24706	8.56580	18.79503	0.54194	8.34930	58.10863	9.35822	1128.95006	1.00000	50.90660	9.77950	9.20848
9.76098	9.56004	51.83711	10.36038	7.13217	83.97573	21.46527	7.90393	5.13792	0.09328	7.17146	29.30356	5.47422	1172.47085	1.00000	62.05457	6.32566	5.18417
10.08484	8.45760	52.75800	10.44469	8.59834	28.88222	40.37528	9.15573	24.66002	0.07374	9.16701	81.26633	5.87234	1131.12784	0.00000	61.62419	9.94208	8.95494
8.28320	7.67743	76.86407	9.22320	8.76403	-81.77285	28.54944	7.07645	19.68110	1.90653	9.32011	44.09232	10.73960	1186.28760	1.00000	38.27458	7.40369	12.43345
8.23240	7.20286	37.25923	7.33053	9.58848	37.99117	44.92934	10.56079	16.18176	0.33939	7.66531	7.73263	8.79629	1090.11876	1.00000	29.91094	8.29247	6.94786
9.42343	7.80640	47.18290	9.37478	8.87135	8.96317	48.35149	6.95014	17.64786	4.87386	7.92784	55.07050	11.69932	1197.20787	1.00000	62.73294	7.39947	12.59997
11.56735	8.12785	43.60189	11.66400	10.27799	-73.78458	41.0051	5.38276	46.60603	32.09515	9.23714	65.90383	13.59184	1135.32868	1.00000	62.21177	9.92408	10.58711
10.17616	7.89170	39.86623	7.59010	7.17647	146.05093	-34.28853	8.23408	2.99434	0.07002	7.76433	61.17529	5.90373	1118.16687	1.00000	41.10781	5.95691	5.35699
9.61631	8.37911	59.67511	6.90624	6.08794	26.97253	49.65186	7.81666	-1.22933	0.08504	9.26246	50.77373	5.71988	1172.89450	1.00000	68.48806	6.39236	5.73885
11.06160	7.91663	37.18633	6.35326	6.39873	-72.27814	42.93369	8.82242	16.62251	0.10169	7.94718	39.90174	6.72438	1092.57055	1.00000	41.76007	5.44974	5.29394
8.04560	8.33347	48.52515	5.16895	8.35665	-111.99633	40.65995	11.29864	21.76334	0.08775	7.41411	59.44234	7.24763	1165.82895	1.00000	45.61525	7.50995	9.81158
8.64252	8.11308	44.16970	4.82560	7.96776	138.31667	36.65	8.62960	18.79437	0.13012	8.87278	30.94469	6.73842	1195.50572	1.00000	45.80985	5.33254	6.03208
6.60785	7.33363	53.26270	9.46144	8.08487	-99.73314	32.44874	5.47841	11.58190	0.55497	9.19341	39.57608	9.41409	1183.76832	1.00000	32.57216	10.60626	8.39047
11.11320	6.78879	36.59980	9.47655	7.39038	-91.73625	35.25064	5.95045	14.41373	36.94862	6.76276	42.40013	13.73261	1061.96219	1.00000	43.17114	10.26403	10.10695
9.89466	8.97309	34.37593	7.52895	7.55987	-2.01111	52.66277	8.71426	12.02904	0.05313	7.94918	50.98133	5.60690	1193.74869	1.00000	41.63010	7.27728	7.00772
8.90818	7.88548	33.29231	8.07526	8.42687	-96.72365	17.06542	10.23044	19.41973	0.16198	9.92872	32.28361	7.34342	1171.67852	0.00000	44.53930	8.82141	3.99094
11.01424		51.84270	6.28239	7.96507	11.34046	50.72043	8.63888	-4.70072	0.08751	7.75137	24.27620	5.83879	1074.44983	1.00000	57.04120	7.74362	6.55005
10.16982	7.19893	35.78836	10.57158	8.94379	-72.22625	18.57677	6.15198	30.06695	10.46875	8.15802	25.14604	12.46659	1189.56530	1.00000	49.41468	10.23326	9.91047
9.53754	9.37513	43.10394	4.96918	8.92001	-61.51889	10.66668	11.19731	2.04222	0.16377	6.20063	51.23238	7.90084	1170.80476	1.00000	64.77775	9.72964	9.59063
6.71431	6.49469	55.68609	6.82460	8.30779	-100.44843	20.74122	7.58825	15.61298	1.50366	8.49923	57.41372	10.51203	1189.88935	0.00000	37.78021	3.62154	10.93549
8.77030	8.31058	53.18134	10.45722	9.11682	7.11393	51.08468	9.79395	29.00253	0.23738	8.03258	40.40247	8.56311	1128.41969	0.00000	53.15672	8.71089	6.73336
5.98125	8.17837	36.76836	8.77991	9.40262	145.18333	-37.9	5.87250	47.91094	0.43004	9.12191	38.01661	9.13388	1061.04410	1.00000	49.98868	8.85509	10.22410
9.83931	9.35013	38.64044	5.67975	9.05239	-105.11221	39.57582	10.02712	1.43646	0.08718	8.81945	62.03915	6.56620	1110.78004	1.00000	58.56819	7.02305	8.14189
10.27864	9.03059	59.69264	9.90631	8.90639	123.758	10.20898	9.28533	16.97471	0.08990	7.46382	29.72087	5.78701	1051.47763	0.00000	53.29727	9.62570	7.65765
5.32152	10.10083	36.75081	8.57518	7.62857	2.31889	35.21222	8.31814	27.97117	0.19410	8.73552	39.22399	8.07389	1122.06927	1.00000	50.18769	9.10157	9.49594
6.23774	8.05210	70.46783	9.82569	6.28978	-86.11084	41.75338	9.09222	5.89549	0.23399	9.03675	59.91869	8.35856	1095.29418	1.00000	17.16792	9.32838	9.68664
10.78941		53.07411	8.68585	9.07103	47.1192	42.819	9.86058	18.25469	0.06127	8.65266	39.71040	5.16499	1159.72037	0.00000	59.33550	9.19043	5.56909
5.80091	8.59357	69.44042	9.30256	8.66624	20.22625	30.75545	7.14022	14.00267	0.25575	9.20003	24.84990	8.59550	1113.13133	1.00000	33.54791	11.24174	7.49195
5.94352	7.97114	43.52729	9.30273	10.78118	137.95378	35.82756	5.59409	5.62002	0.41930	10.44937	51.64237	9.08159	1068.10237	1.00000	53.63130	9.80411	9.15492
8.19834	8.74349	47.42169	7.53679	6.66003	9.5926	52.86147	4.48956	3.81359	4.90175	9.56098	96.79869	11.70759	1085.67309	0.00000	44.31225	6.30158	6.56352
7.25203	7.37273	54.53448	9.32617	6.72319	1.04945	35.06544	6.47865	1.06269	0.87803	6.50621	45.04214	9.89444	1143.16353	1.00000	62.70131	11.31779	7.86175
4.30283	7.10024	76.98905	6.17690	6.27836	4.25633	51.21187	9.86780	-11.58831	0.17509	8.66908	37.86408	8.01805	1168.07168	0.00000	46.17683	5.48798	10.11833
9.89882	9.15895	25.28076	7.89238	9.01732	43.83992	55.39485	8.40143	32.58871	0.06159	8.47397	47.09677	5.05169	1090.96542	1.00000	63.80815	4.75266	6.04567
8.92969	8.30903	61.00255	9.00178	9.89401	-76.43941	39.33427	9.06184	16.11242	0.10743	7.60098	53.61330	7.40269	1166.66793	0.00000	43.01334	11.84739	6.28895
10.10512	8.53565	68.69315	9.65724	8.98008	76.12647	32.55531	9.30632	6.86265	0.10443	9.03963	61.35864	6.58176	1145.15001	0.00000	60.96123	10.38526	6.92824
7.26762	8.41397	53.73752	4.77496	6.87753	25.8191	53.5942	9.09282	13.53032	0.10017	9.35566	54.02494	6.03711	1056.58323	1.00000	55.86966	4.92992	7.89992
6.60666	8.62210	59.54361	6.43058	7.71432	42.85693	39.22493	6.00639	22.67132	1.08665	7.78350	60.03931	10.17472	1069.52698	0.00000	36.57118	5.22465	10.42034
8.16899	7.54915	64.24551	7.51390	8.40275	-89.99038	38.58894	8.57671	23.00757	0.10681	9.30626	65.43216	6.62061	1064.68436	1.00000	45.47261	6.44124	6.24806
6.83772	7.77497	28.20768	7.32708	7.42220	-120.00865	46.32374	7.87395	17.71852	0.82891	8.58109	27.12878	9.84805	1181.31265	0.00000	64.41672	7.66269	6.96517
9.78702	7.02153	49.10889	6.38954	7.10244	-2.77259	37.49073	9.37924	12.52401	0.14986	9.01079	63.12772	7.73473	1058.38139	1.00000	21.90661	8.77426	6.81997
10.35707	8.70032	64.31281	8.08025	7.42422	24.99798	-8.73508	10.41080	8.00588	0.06786	6.86401	66.87779	6.60175	1063.63174	1.00000	59.65375	6.26814	7.72044
6.44614	8.00578	33.06233	10.34956	6.77090	2.31889	35.21222	6.46606	14.90036	0.43095	8.47915	36.17656	9.01063	1056.78031	1.00000	59.58526	9.38904	9.39016
8.20981	8.55376	49.41649	10.62226	7.55306	114.33333	-8.43333	7.52276	21.06069	1.32508	8.24452	38.97998	10.36411	1190.70621	1.00000	63.69085	10.34929	9.38367
9.95322	9.46879	72.00699	6.26269	8.53555	3.39467	6.45407	6.04249	8.28134	0.06172	8.13655	53.35224	4.49467	1113.01544	1.00000	50.68607	7.42873	4.78073
9.54823	8.30418	59.23559	6.82271	8.05257	9.5926	52.86147	10.76815	7.83607	0.13021	9.19923	59.55825	7.34294	1110.59908	1.00000	69.43405	6.42210	7.65943
	8.86807	75.88167	5.30813	7.92663	-73.26022	6.46838	7.40052	9.64169	0.41553	7.17800	46.74341	9.13593	1058.83641	0.00000	31.64174	4.19439	11.45587
5.57745	7.59579	40.55902	6.13755	9.22538	-52.35558	-14.66463	7.48560	8.80445	0.21118	8.22531	59.20775	8.32251	1101.46785	0.00000	36.57423	7.91319	7.07250
9.00832	9.28527	29.16042	8.10408	6.44847	120.56528	14.66	8.69239	25.43458	0.09639	8.91771	38.70020	6.63085	1095.47877	1.00000	63.10332	5.47160	5.50681
8.76475	8.20765	52.94306	6.21401	5.20069	-6.90656	33.92866	12.40353	24.88164	0.06982	10.25941	53.67050	6.19810	1055.99720	1.00000	58.67610	5.44591	10.94125
	7.85988	35.19855	9.43977	8.17910	120.74221	31.64615	8.90969	23.98777	0.18068	8.51118	40.49668	7.66310	1089.81600	1.00000	40.09628	11.64347	7.08534
