location	station	QoS	latitude	revision	longitude
Asia/Yekaterinburg	Beryozovsky	accep	56.9083	06 Apr 2014	60.8019
Asia/Jakarta	Ngemplak	good	-7.54972	2014/08/27	110.71639
Asia/Tashkent	Andijon	good	40.78206	25 Sep 2022	72.34424
America/New_York	Chillum	good	38.96372	2013/10/26	-76.99081
Europe/Moscow	Kolomyagi	average	60.02427	06/14/2015, 00:00:00	30.28491
Asia/Karachi	Tharu Shah	maintenance	26.9423	2016/01/24	68.11759
Europe/Madrid	Baza	excellent	37.49073	2020/10/31	-2.77259
Asia/Manila	Calauan	excellent	14.14989	2013/10/01	121.3152
Europe/London	Bushey	good	51.64316	2017-04-27	-0.36053
Europe/Moscow	Dyat’kovo	maintenance	53.59782	10/16/2012, 00:00:00	34.33825
America/Mexico_City	Guanajuato	building	21.01858	2019-03-10	-101.2591
America/Sao_Paulo	Imbituba	accep	-28.24	2021-02-17	-48.67028
America/Vancouver	Kelowna	maintenance	49.88307	2018-01-17	-119.48568
Africa/Casablanca	Temara	good	33.92866	07/19/2018, 00:00:00	-6.90656
America/Chicago	Schererville	average	41.47892	07/24/2022, 00:00:00	-87.45476
Europe/Vilnius	Alytus	excellent	54.39635	21 Mar 2022	24.04142
Africa/Kigali	Rwamagana	accep	-1.9487	05/09/2018, 00:00:00	30.4347
Asia/Kolkata	Haldwani	good	29.22254	11/10/2018, 00:00:00	79.5286
Asia/Tokyo	Karatsu	average	33.4425	17 Dec 2020	129.96972
Africa/Accra	Tarkwa	accep	5.30383	12/17/2016, 00:00:00	-1.98956
America/Chicago	Fairview Heights	excellent	38.58894	2021/05/18	-89.99038
Africa/Lubumbashi	Beni	excellent	0.49113	2020/02/02	29.47306
America/Managua	Somoto	building	13.48082	20 Apr 2019	-86.58208
America/Mexico_City	Paracho de Verduzco	good	19.64745	04/09/2017, 00:00:00	-102.04897
Asia/Dhaka	Manikchari	accep	22.83957	11/19/2019, 00:00:00	91.84128
Europe/Madrid	Novelda	average	38.38479	2014-09-14	-0.76773
Asia/Taipei	Magong	building	23.5654	08/07/2014, 00:00:00	119.58627
Europe/Madrid	Segundo Ensanche	good	42.8139	2015-06-02	-1.64295
Europe/Amsterdam	Oldenzaal	excellent	52.31333	2018-06-08	6.92917
Asia/Kolkata	Kashipur	accep	29.21399	02/07/2013, 00:00:00	78.95693
Africa/Algiers	Ksar Chellala	excellent	35.21222	10 Aug 2014	2.31889
Europe/Bratislava	Hlohovec	average	48.43174	2017-07-19	17.8031
Europe/Paris	Le Chesnay	accep	48.8222	12 May 2019	2.12213
America/Chicago	Crystal Lake	good	42.24113	08/29/2020, 00:00:00	-88.3162
Europe/Moscow	Arzamas	average	55.39485	2016/08/07	43.83992
Europe/Berlin	Oberhausen	excellent	51.47805	2020/05/09	6.8625
Africa/Banjul	Farafenni	good	13.56667	04/30/2018, 00:00:00	-15.6
Africa/Dar_es_Salaam	Mvomero	building	-6.25	09/12/2013, 00:00:00	38.66667
Asia/Yekaterinburg	Tavda	excellent	58.04254	25 May 2021	65.27258
Europe/Minsk	Novogrudok	maitennce	53.5942	08 Jul 2020	25.8191
Asia/Kolkata	Pune	good	18.51957	2014-11-27	73.85535
Europe/Moscow	Gudermes	building	43.35071	02 Apr 2015	46.10925
Asia/Bangkok	Kantharalak	maintenance	14.64056	02 Apr 2018	104.64992
Europe/Paris	Gonesse	excellent	48.98693	29 Sep 2015	2.44892
America/Indiana/Indianapolis	Granger	good	41.75338	02 Sep 2021	-86.11084
Europe/Berlin	Reutlingen	accep	48.49144	03/14/2016, 00:00:00	9.20427
Africa/Lubumbashi	Kamina	acceptable	-8.73508	12/12/2018, 00:00:00	24.99798
Europe/Bratislava	Skalica	average	48.8449	22 Oct 2012	17.22635
America/New_York	Cypress Hills	accep	40.67705	2022-08-12	-73.89125
Europe/Berlin	Kirchlengern	average	52.2	24 Jun 2015	8.63333
America/Chicago	Coralville	average	41.6764	2018/02/27	-91.58045
Europe/Berlin	Memmingen	good	47.98372	2018/06/22	10.18527
Africa/Accra	Bibiani	average	6.46346	05/12/2021, 00:00:00	-2.31938
Asia/Bangkok	Phanat Nikhom	average	13.44581	18 Dec 2015	101.18445
Europe/Istanbul	Patnos	building	39.22493	10/10/2016, 00:00:00	42.85693
Europe/Berlin	Hechingen	good	48.35149	08/13/2016, 00:00:00	8.96317
Europe/Bucharest	Sector 6	excellent	44.43579	2013/07/15	26.01649
Europe/Moscow	Buynaksk	average	42.819	2017-08-22	47.1192
Europe/Paris	Pamiers	excellent	43.11667	2013/05/15	1.6
Africa/Luanda	Luena	building	-11.78333	24 Feb 2018	19.91667
Europe/Rome	Falconara Marittima	accep	43.62558	24 Jun 2020	13.39954
Europe/Madrid	Jumilla	good	38.47917	2019-05-11	-1.325
America/New_York	Clermont	average	28.54944	2019-08-30	-81.77285
America/Chicago	San Juan	maintenance	26.18924	30 Apr 2021	-98.15529
Asia/Jerusalem	Rahat	building	31.39547	2022/03/03	34.75699
America/Los_Angeles	Pahrump	average	36.20829	03/29/2015, 00:00:00	-115.98391
Asia/Ho_Chi_Minh	Sa Dec	excellent	10.29085	2020-08-10	105.75635
America/New_York	Middle River	excellent	39.33427	2021-03-14	-76.43941
Asia/Shanghai	Liaoyang	excellent	41.27194	03/10/2014, 00:00:00	123.17306
Asia/Kolkata	Malaut	maintenance	30.21121	12/31/2021, 00:00:00	74.4818
America/Chicago	Independence	excellent	39.09112	2014/11/15	-94.41551
Asia/Kolkata	Bhayandar	good	19.30157	2016/11/28	72.85107
Europe/Belgrade	Negotin	accep	44.22639	04 Mar 2022	22.53083
Europe/Rome	Novara	average	45.44694	2013/12/31	8.62118
America/Caracas	La Victoria	accep	10.22677	2020-08-21	-67.33122
Europe/Madrid	Segundo Ensanche	accep	42.8139	2022-04-06	-1.64295
Europe/Amsterdam	Barneveld	average	52.14	01/10/2019, 00:00:00	5.58472
America/Santo_Domingo	Santa Cruz de Barahona	maintenance	18.20854	20 Dec 2013	-71.10077
Africa/Ndjamena	Mongo	good	12.18441	12/20/2014, 00:00:00	18.69303
Asia/Qyzylorda	Kyzylorda	accep	44.85278	2015/03/23	65.50917
Europe/Berlin	Wittenau	accep	52.59319	12/05/2016, 00:00:00	13.32127
Europe/Brussels	Beveren	accep	51.21187	2022-03-08	4.25633
America/Phoenix	Gilbert	accep	33.35283	12 Apr 2022	-111.78903
America/Tegucigalpa	Olanchito	accep	15.48131	12/09/2021, 00:00:00	-86.57415
Asia/Kolkata	Narwar	maintenance	25.6439	2013/06/20	77.9129
Africa/Lagos	Igbara-Odo	good	7.50251	11/10/2016, 00:00:00	5.06258
Europe/Amsterdam	Hoogezand	building	53.16167	10/01/2018, 00:00:00	6.76111
America/New_York	Woodlawn	average	39.32288	2016/11/03	-76.72803
Europe/Paris	Quimper	accep	48	2022-02-05	-4.1
Africa/Lagos	Efon-Alaaye	good	7.65649	24 Feb 2013	4.92235
Africa/Dar_es_Salaam	Mvomero	accep	-6.25	2015-02-18	38.66667
America/Chicago	Tupelo	maintenance	34.25807	06/24/2013, 00:00:00	-88.70464
America/New_York	Scotch Plains	average	40.65538	2017/08/24	-74.38987
Europe/Istanbul	Edremit	average	39.59611	04/09/2022, 00:00:00	27.02444
America/New_York	Keene	accep	42.93369	09/16/2014, 00:00:00	-72.27814
Europe/Paris	Saint-Genis-Laval	accep	45.69558	24 Jul 2022	4.7934
America/Los_Angeles	Troutdale	accep	45.53929	11/21/2017, 00:00:00	-122.38731
Europe/Minsk	Dobrush	excellent	52.4089	2019-09-25	31.3237
Asia/Kolkata	Supaul	accep	26.11527	04/20/2015, 00:00:00	86.59509
America/Mexico_City	Oaxaca	average	17.06542	2022-07-22	-96.72365
America/El_Salvador	Ilopango	accep	13.70167	30 Sep 2017	-89.10944
Africa/Accra	Tarkwa	excellent	5.30383	2013-03-18	-1.98956
Asia/Tokyo	Annaka	excellent	36.33011	2016-10-23	138.89585
America/Puerto_Rico	Aguadilla	accep	18.42745	2018/09/27	-67.15407
Africa/Kigali	Rwamagana	maintenance	-1.9487	01 Jun 2022	30.4347
Asia/Shanghai	Heyuan	excellent	23.73333	2015/02/28	114.68333
Europe/Berlin	Kirchlengern	good	52.2	2013-08-27	8.63333
Europe/London	Exeter	accep	50.7236	21 Mar 2015	-3.52751
Asia/Yekaterinburg	Kachkanar	excellent	58.7002	2015-08-24	59.4839
Asia/Dhaka	Kushtia	accep	23.9028	2017-01-11	89.11943
Europe/Kiev	Shepetivka	accep	50.18545	2019-05-23	27.06365
America/New_York	Keene	accep	42.93369	2013-04-28	-72.27814
Asia/Tokyo	Nonoichi	excellent	36.53333	02/18/2018, 00:00:00	136.61667
America/Chicago	Lino Lakes	accep	45.16024	06/13/2018, 00:00:00	-93.08883
Africa/Windhoek	Okahandja	average	-21.98333	2016-12-04	16.91667
Africa/Lagos	Kafanchan	good	9.58126	07/08/2017, 00:00:00	8.2926
Asia/Karachi	Khairpur Mir’s	accep	27.52948	2017-06-13	68.75915
America/New_York	Chillum	good	38.96372	2021-10-06	-76.99081
America/Bogota	El Copey	building	10.15031	11 Jun 2016	-73.9614
Europe/Berlin	Hechingen	excellent	48.35149	2014/06/07	8.96317
America/Chicago	Rolla	accep	37.95143	13 Feb 2021	-91.77127
Asia/Kolkata	Saharsa	building	25.87498	01/29/2014, 00:00:00	86.59611
Asia/Jakarta	Wangon	accep	-7.51611	03 Aug 2019	109.05389
Europe/Paris	Cavaillon	average	43.83125	01 Oct 2021	5.03586
Australia/Melbourne	Frankston South	acceptable	-38.16604	2017-09-16	145.13643
Africa/Tripoli	Ghat	excellent	24.96334	03 Oct 2020	10.18003
Asia/Kuala_Lumpur	Kulai	accep	1.6561	14 Jan 2016	103.6032
Europe/Moscow	Danilov	good	58.1908	2022-07-12	40.17171
America/Bogota	Villa del Rosario	maintenance	7.83389	2019/07/25	-72.47417
America/Guayaquil	Cuenca	building	-2.90055	11/08/2020, 00:00:00	-79.00453
Pacific/Auckland	Gisborne	excellent	-38.65333	2021/10/08	178.00417
Europe/Paris	Marseille 11	maintenance	43.2907	2019-09-06	5.4384
Europe/Moscow	Krymsk	excellent	44.92934	11 Nov 2015	37.99117
America/New_York	North Lauderdale	good	26.2173	2019/11/06	-80.22588
Europe/Rome	Bisceglie	maintenance	41.24264	2013/08/17	16.50104
Europe/Lisbon	Albufeira	accep	37.08819	2017/01/07	-8.2503
Asia/Kolkata	Malaut	maintenance	30.21121	2019-09-09	74.4818
Asia/Kolkata	Sambalpur	accep	21.46527	2014-01-17	83.97573
Asia/Kolkata	Deoli	accep	25.75728	2021/05/11	75.37991
Asia/Kolkata	Meerut	accep	28.98002	07 Feb 2013	77.70636
Europe/Prague	Karlovy Vary	good	50.23271	2019/11/28	12.87117
America/Mexico_City	Contla	accep	19.32932	2018/05/17	-98.1664
Asia/Dushanbe	Vahdat	maintenance	38.55632	2020/12/27	69.01354
America/Martinique	Le Robert	excellent	14.67751	04 Jan 2017	-60.94228
Europe/Paris	Saint-Genis-Laval	good	45.69558	2018/11/11	4.7934
America/New_York	Greenpoint	good	40.72371	2022/08/30	-73.95097
Europe/Berlin	Nidderau	accep	50.23805	10/01/2014, 00:00:00	8.86704
America/Chicago	Odessa	excellent	31.84568	2021-02-26	-102.36764
Africa/Douala	Idenao	excellent	4.2475	2016-05-05	9.00472
America/Sao_Paulo	Esmeraldas	accep	-19.7625	01/03/2020, 00:00:00	-44.31389
Europe/Moscow	Dyat’kovo	accep	53.59782	10/27/2015, 00:00:00	34.33825
Asia/Shanghai	Hengshui	good	37.73222	20 Dec 2018	115.70111
Asia/Jakarta	Pameungpeuk	excellent	-7.01833	11/11/2016, 00:00:00	107.60389
America/Havana	Media Luna	average	20.14298	05 Jul 2020	-77.43532
Europe/Sofia	Smolyan	building	41.57439	2012-11-22	24.71204
Europe/London	Devizes	good	51.35084	18 Jan 2014	-1.99421
Europe/Moscow	Novopavlovsk	accep	43.96222	2019/01/29	43.63417
America/Phoenix	Gilbert	building	33.35283	05/11/2014, 00:00:00	-111.78903
Africa/Addis_Ababa	Arba Minch	building	6.03333	2018-03-19	37.55
Africa/Dar_es_Salaam	Same	excellent	-4.06667	2015-06-17	37.73333
Europe/Rome	San Giuliano Milanese	building	45.39402	2014/10/15	9.29109
Europe/Berlin	Schleswig	good	54.52156	01/27/2013, 00:00:00	9.5586
Europe/London	Arbroath	good	56.56317	2020/11/17	-2.58736
America/Toronto	Markham	good	43.86682	2021-07-02	-79.2663
America/Sao_Paulo	Sarandi	maintenance	-23.44361	11/26/2014, 00:00:00	-51.87389
Europe/Berlin	Radevormwald	excellent	51.20219	2020/06/20	7.36027
America/Mexico_City	Tuxtla	average	16.75973	2015-07-24	-93.11308
America/Maceio	Lagarto	excellent	-10.91722	02/05/2015, 00:00:00	-37.65
Europe/Madrid	Baza	accep	37.49073	01/09/2018, 00:00:00	-2.77259
Australia/Melbourne	Wheelers Hill	building	-37.9	21 Apr 2015	145.18333
Asia/Yekaterinburg	Ishim	maintenance	56.11281	10/16/2021, 00:00:00	69.49015
Asia/Yangon	Kyaikto	accep	17.30858	02 Jun 2019	97.01124
Asia/Jakarta	Muncar	excellent	-8.43333	05/03/2017, 00:00:00	114.33333
Asia/Makassar	Tarakan	maintenance	3.31332	31 Jul 2022	117.59152
Europe/Stockholm	Boo	maintenance	59.33333	19 Jul 2014	18.28333
Asia/Kolkata	Aklera	good	24.41288	2016-01-28	76.56719
America/Mexico_City	Oaxaca	excellent	17.06542	2020/01/31	-96.72365
Europe/Madrid	Amposta	accep	40.70995	10 Feb 2016	0.57856
Europe/London	Walton-on-the-Naze	building	51.84819	11/21/2015, 00:00:00	1.26738
Africa/Tripoli	Ajdabiya	excellent	30.75545	2021/02/24	20.22625
Asia/Bangkok	Roi Et	excellent	16.0567	22 Aug 2016	103.65309
Asia/Tokyo	Ina	good	35.82756	2019/03/03	137.95378
Europe/Zurich	Adliswil	excellent	47.30997	2020-03-28	8.52462
Asia/Tokyo	Yamada	good	39.46667	18 Apr 2018	141.95
Asia/Kolkata	Calangute	acceptable	15.5439	2018/02/22	73.7553
Asia/Yekaterinburg	Kachkanar	good	58.7002	11/06/2017, 00:00:00	59.4839
Europe/Paris	Colomiers	average	43.61058	04/19/2017, 00:00:00	1.33467
Europe/Paris	Arles	excellent	43.67681	18 May 2014	4.63031
America/Martinique	Le Robert	good	14.67751	2013-07-10	-60.94228
Asia/Shanghai	Changshu City	accep	31.64615	2012/10/18	120.74221
America/New_York	Fitchburg	building	42.58342	09/30/2019, 00:00:00	-71.8023
Europe/Belgrade	Sremska Mitrovica	good	44.97639	26 Feb 2014	19.61222
Asia/Tokyo	Yao	accep	34.61667	24 Oct 2014	135.6
Europe/Prague	Karlovy Vary	excellent	50.23271	02/22/2021, 00:00:00	12.87117
Asia/Jakarta	Labuhan Deli	average	3.7278	2013-05-01	98.6738
Africa/Algiers	Thenia	accep	36.72544	07/19/2014, 00:00:00	3.55665
Europe/Moscow	Krymsk	good	44.92934	07/09/2016, 00:00:00	37.99117
Africa/Lubumbashi	Kamina	building	-8.73508	20 Nov 2012	24.99798
Asia/Kolkata	Deoli	average	25.75728	01 Sep 2019	75.37991
Africa/Cairo	Alexandria	accep	31.20176	2015/05/30	29.91582
America/Chicago	Hueytown	accep	33.45122	15 Jun 2017	-86.99666
Europe/Warsaw	Reda	accep	54.60528	2020-01-18	18.34717
Australia/Brisbane	Maryborough	good	-25.54073	2015-03-25	152.70493
America/Sao_Paulo	Pato Branco	excellent	-26.22861	2017/11/03	-52.67056
Asia/Riyadh	Al Jubayl	accep	27.0174	04/13/2016, 00:00:00	49.62251
Europe/London	Westbury	average	51.26	06/10/2021, 00:00:00	-2.1875
Asia/Manila	Naga	good	10.20898	02/13/2018, 00:00:00	123.758
Europe/Brussels	Lille	average	51.24197	2016-02-05	4.82313
Europe/Madrid	Villaquilambre	average	42.64685	2015-03-26	-5.55835
Europe/Berlin	Eppingen	accep	49.13645	2018/06/01	8.91229
America/Los_Angeles	Glendale	good	34.14251	2017/03/14	-118.25508
Asia/Bangkok	Phanat Nikhom	excellent	13.44581	2015-04-05	101.18445
Europe/Berlin	Verl	excellent	51.88333	2020/01/01	8.51667
Asia/Yerevan	Hrazdan	good	40.49748	01/05/2013, 00:00:00	44.7662
Europe/Lisbon	Paredes	accep	41.20485	2018-09-14	-8.33147
Europe/Berlin	Verl	accep	51.88333	12 May 2013	8.51667
Asia/Kolkata	Kenda	average	23.1959	2016-11-19	86.51499
Asia/Kolkata	Chamba	average	32.55531	2013-06-07	76.12647
America/Chicago	Rolla	excellent	37.95143	12 Mar 2015	-91.77127
Africa/Accra	Tarkwa	average	5.30383	05/21/2022, 00:00:00	-1.98956
America/Bogota	Socorro	accep	6.46838	05 Jul 2018	-73.26022
America/Sao_Paulo	Soledade	excellent	-28.81833	19 Nov 2020	-52.51028
Europe/Paris	Les Olives	excellent	43.32393	11/04/2013, 00:00:00	5.4584
Europe/London	Inverness	good	57.47908	2015-03-11	-4.22398
America/Bogota	Madrid	excellent	4.73245	03/04/2014, 00:00:00	-74.26419
America/Lima	Yunguyo	excellent	-16.25	11/08/2018, 00:00:00	-69.08333
Europe/London	Chapletown	accep	53.46506	03/04/2019, 00:00:00	-1.47217
America/Merida	Progreso	accep	21.28306	22 Feb 2014	-89.66123
Europe/Moscow	Buynaksk	good	42.819	05/14/2014, 00:00:00	47.1192
Asia/Manila	Calauan	excellent	14.14989	26 Feb 2021	121.3152
Europe/Lisbon	Custoias	accep	41.1053	08 Jul 2017	-7.32097
Asia/Bangkok	Kantharalak	building	14.64056	05/02/2017, 00:00:00	104.64992
Asia/Kolkata	Jashpurnagar	good	22.88783	04 Jan 2019	84.13864
Africa/Bamako	Kati	good	12.74409	2016/02/04	-8.07257
Asia/Yangon	Dawei	building	14.0823	2021/09/01	98.19151
America/Chicago	Odessa	good	31.84568	2013/05/19	-102.36764
Africa/Lagos	Ilesa	building	7.62789	03 May 2013	4.74161
Europe/Rome	Bisceglie	good	41.24264	2021/01/16	16.50104
America/Managua	Jinotepe	average	11.84962	11/09/2019, 00:00:00	-86.19903
Europe/Moscow	Kashira	building	54.84444	2013-02-03	38.16694
Africa/Casablanca	Temara	accep	33.92866	2020/11/19	-6.90656
Australia/Sydney	Griffith	building	-34.28853	2020-05-11	146.05093
Asia/Kolkata	Malaut	accep	30.21121	16 May 2021	74.4818
Europe/Kiev	Voznesensk	accep	47.56494	2022-09-05	31.33078
Asia/Shanghai	Jingzhou	building	30.35028	2014-01-30	112.19028
Europe/Moscow	Kovylkino	building	54.03876	2013-03-12	43.91385
Asia/Colombo	Hendala	accep	6.9909	15 Oct 2016	79.883
America/Santiago	La Ligua	excellent	-32.45242	2018/08/28	-71.23106
America/Sao_Paulo	Loanda	accep	-22.92306	21 Nov 2021	-53.13722
Asia/Kolkata	Madhipura	maintenance	25.92127	03/01/2019, 00:00:00	86.79271
Asia/Shanghai	Beidao	average	34.56861	2014/12/28	105.89333
Asia/Shanghai	Beidao	excellent	34.56861	2021/04/29	105.89333
Europe/Berlin	Hechingen	building	48.35149	06/22/2016, 00:00:00	8.96317
America/Los_Angeles	Visitacion Valley	average	37.71715	2020-10-25	-122.40433
Asia/Seoul	Goyang-si	accep	37.65639	07/30/2018, 00:00:00	126.835
Asia/Yekaterinburg	Tavda	accep	58.04254	2021/06/01	65.27258
Europe/Moscow	Arzamas	excellent	55.39485	2014/10/18	43.83992
Asia/Kolkata	Kalavoor	maintenance	9.57046	08/11/2017, 00:00:00	76.32756
Asia/Kolkata	Haldwani	accep	29.22254	2013/10/25	79.5286
America/Los_Angeles	Troutdale	good	45.53929	03/30/2015, 00:00:00	-122.38731
Europe/Madrid	Reus	accep	41.15612	2013/10/13	1.10687
America/Bahia	Muritiba	accep	-12.91667	20 Nov 2017	-39.25
America/Chicago	Rolla	accep	37.95143	08 Sep 2019	-91.77127
Europe/London	Clacton-on-Sea	accep	51.78967	13 Jan 2013	1.15597
America/Chicago	Fairview Heights	building	38.58894	2019/04/30	-89.99038
America/Los_Angeles	Visitacion Valley	good	37.71715	2021/08/28	-122.40433
America/Indiana/Indianapolis	Greenfield	accep	39.78504	05/08/2017, 00:00:00	-85.76942
Europe/Rome	Novara	good	45.44694	07/22/2022, 00:00:00	8.62118
Europe/Berlin	Neuburg an der Donau	average	48.73218	2013-05-12	11.18709
Africa/Brazzaville	Brazzaville	building	-4.26613	2012-10-11	15.28318
America/Recife	Recife	good	-8.05389	2021/11/06	-34.88111
America/Port_of_Spain	Port of Spain	excellent	10.66668	11/15/2012, 00:00:00	-61.51889
America/Los_Angeles	Watsonville	average	36.91023	2015-01-15	-121.75689
America/Denver	Carlsbad	building	32.42067	05/10/2021, 00:00:00	-104.22884
