code	station	longitude	QoS	latitude	revision
DE	Reutlingen	9.20427	accep	48.49144	01/30/2013, 00:00:00
MG	Sakaraha	44.53333	maintenance	-22.9	2014/01/19
CI	Lakota	-5.682	maintenance	5.84752	2019-05-10
UA	Nova Kakhovka	33.34864	excellent	46.75451	2013/01/13
CD	Kasangulu	15.16554	average	-4.5833	2022/09/16
IN	Pilkhua	77.656	accep	28.71271	05 Jun 2014
US	Bon Air	-77.55777	good	37.52487	2015/05/01
HT	Thomazeau	-72.09391	average	18.65297	10/14/2018, 00:00:00
JP	Namerikawa	137.36215	good	36.75965	2015-06-14
IT	Lanciano	14.39024	good	42.22718	2021/01/31
GB	Leyland	-2.68758	accep	53.69786	2013/02/14
BR	Cabo	-35.03333	average	-8.28333	2020/05/25
GB	Blackpool	-3.05	accep	53.81667	02/12/2016, 00:00:00
FR	Niort	-0.45877	good	46.32313	2016/08/02
NI	Somoto	-86.58208	maintenance	13.48082	2015/01/11
US	Fayetteville	-78.87836	maintenance	35.05266	22 Apr 2018
CO	Honda	-74.73584	accep	5.20856	2022-03-11
IT	Ventimiglia	7.60872	maintenance	43.78956	2018-02-04
CO	Andes	-75.87877	excellent	5.6561	2018-01-13
FR	Sceaux	2.29026	good	48.77644	03/04/2014, 00:00:00
US	Santa Maria	-120.43572	building	34.95303	06 Mar 2018
ES	Ferrol	-8.2194	maintenance	43.48961	2019-03-21
AO	Luena	19.91667	accep	-11.78333	05/08/2022, 00:00:00
BG	Aytos	27.25	building	42.7	08 Oct 2015
CL	San Bernardo	-70.6996	good	-33.59217	2016-11-12
US	Malden	-71.06616	accep	42.4251	2014-10-15
PH	Calauan	121.3152	excellent	14.14989	2017-05-20
BR	Sarandi	-51.87389	maintenance	-23.44361	2016-02-08
US	Independence	-94.41551	good	39.09112	2015-12-13
IT	Cordenons	12.70038	average	45.9836	2020/06/04
IT	Chiavari	9.32241	good	44.31771	04/30/2019, 00:00:00
AU	Willetton	115.88782	average	-32.05251	2019-02-21
FR	Gonesse	2.44892	average	48.98693	2016/05/31
JM	New Kingston	-76.78319	excellent	18.00747	18 Oct 2017
FI	Tornio	24.14662	building	65.84811	2020-12-10
SK	Hlohovec	17.8031	excellent	48.43174	2015/01/10
US	South Lawndale	-87.71255	good	41.84364	2019-12-18
MM	Myawadi	98.50893	good	16.68911	19 Feb 2015
DE	Gauting	11.37703	building	48.06919	2020/09/10
CN	Guli	120.03308	excellent	28.88162	01/03/2016, 00:00:00
NL	Schiebroek	4.47124	accep	51.95838	09 Oct 2017
GB	Newbury	-1.32471	maintenance	51.40148	03/07/2016, 00:00:00
JP	Komono	136.51667	building	35	18 Sep 2017
AU	Carindale	153.10236	average	-27.50578	2021-12-31
DE	Schleswig	9.5586	good	54.52156	2016-01-22
BR	Curitiba	-49.27306	good	-25.42778	04/30/2014, 00:00:00
ET	Debre Tabor	38.01667	accep	11.85	2012-12-14
US	Port Huron	-82.42491	average	42.97086	27 Apr 2017
GB	Lymington	-1.5443	good	50.75767	2014/03/16
US	Mechanicsville	-77.37331	maintenance	37.60876	2019-04-02
RS	Sremska Mitrovica	19.61222	good	44.97639	2021-08-13
CN	Dongdu	117.7	average	35.85	15 Jan 2019
DE	Losheim	6.74549	average	49.5099	2013-05-12
IN	Chharra	78.40102	building	27.9247	2020-08-07
SL	Freetown	-13.2356	average	8.48714	2015/07/29
DE	Losheim	6.74549	average	49.5099	12/23/2021, 00:00:00
IT	Roseto degli Abruzzi	14.01481	accep	42.67164	03/09/2020, 00:00:00
RU	Nizhniy Lomov	43.67663	building	53.53041	2013-02-04
AM	Hrazdan	44.7662	average	40.49748	2012/10/08
ES	San Fernando de Henares	-3.53261	average	40.42386	01 Aug 2020
MX	Tuxtla	-93.11308	maintenance	16.75973	11/19/2015, 00:00:00
US	Ken Caryl	-105.11221	accep	39.57582	2016/07/08
JP	Hakodate	140.73667	maintenance	41.77583	15 Sep 2016
RU	Valday	33.2525	good	57.97472	09/27/2018, 00:00:00
CO	Villa del Rosario	-72.47417	average	7.83389	10/26/2017, 00:00:00
BR	Tucano	-38.79084	accep	-10.95817	2019-07-05
YE	Ataq	46.83187	excellent	14.53767	2020/10/25
CD	Kamina	24.99798	accep	-8.73508	02 Sep 2015
UA	Shepetivka	27.06365	good	50.18545	02/29/2020, 00:00:00
BR	Loanda	-53.13722	accep	-22.92306	2013/03/07
BR	Nova Xavantina	-52.35558	maintenance	-14.66463	01 Aug 2017
US	Hutchinson	-97.92977	average	38.06084	2022-07-23
RU	Tyoply Stan	37.49338	excellent	55.62047	2013-07-02
IT	Ventimiglia	7.60872	maintenance	43.78956	11/05/2015, 00:00:00
IT	Tortona	8.86374	building	44.89784	2013/11/02
UZ	Andijon	72.34424	good	40.78206	2016-02-07
NL	Losser	7.00417	excellent	52.26083	06/06/2013, 00:00:00
BO	Tupiza	-65.71875	maintenance	-21.44345	2015-08-21
RU	Roslavl’	32.86389	good	53.95278	2014/03/18
FR	Marseille 11	5.4384	average	43.2907	14 Apr 2013
NG	Igbara-Odo	5.06258	accep	7.50251	15 Feb 2019
NZ	Gisborne	178.00417	accep	-38.65333	01 Aug 2019
JP	Namerikawa	137.36215	good	36.75965	11 Nov 2014
PR	Yauco	-66.8499	accep	18.03496	2020-04-07
IN	Sirsi	74.83554	average	14.62072	2019/10/31
UY	Durazno	-56.52361	average	-33.38056	2019/04/16
ID	Tarakan	117.59152	accep	3.31332	2022/01/09
AR	Pontevedra	-58.70072	accep	-34.74785	02/21/2017, 00:00:00
AU	Willetton	115.88782	excellent	-32.05251	06 Aug 2015
FR	Ajaccio	8.73812	accep	41.91886	2021/02/02
NL	Emmeloord	5.74861	average	52.71083	30 Oct 2018
FR	Herblay	2.1699	excellent	48.98994	02/05/2016, 00:00:00
TD	Mongo	18.69303	excellent	12.18441	02 Feb 2019
SV	Sonzacate	-89.71472	good	13.73417	08 Apr 2022
MG	Ambatondrazaka	48.41667	maitennce	-17.83333	2020/03/08
IN	Sathyamangalam	77.23826	accep	11.50526	2020/11/08
IN	Sheoganj	73.06784	average	25.13915	20 Aug 2017
BR	Barra dos Coqueiros	-37.03861	excellent	-10.90889	05/25/2020, 00:00:00
US	Redding	-122.39168	maintenance	40.58654	2021-04-29
JP	Suzaka	138.31667	accep	36.65	2013-07-14
IN	Rafiganj	84.63445	accep	24.81757	12/10/2020, 00:00:00
TR	Yakuplu	28.67582	excellent	40.98894	15 Nov 2020
RU	Bogoroditsk	38.12408	accep	53.77166	2014/04/04
AU	Griffith	146.05093	good	-34.28853	2016/12/13
CN	Longgang	120.33063	average	37.65181	2020/11/11
US	Rosedale	-76.51552	excellent	39.32011	2018/07/26
JP	Okegawa	139.55722	accep	36	01 Jun 2021
US	Kahului	-156.47432	excellent	20.88953	2013-11-19
PR	Yauco	-66.8499	accep	18.03496	11 Aug 2015
NO	Harstad	16.54165	building	68.79833	08 Jun 2014
PK	Jhol	68.88871	excellent	25.95533	11/07/2018, 00:00:00
NL	Hoogezand	6.76111	maintenance	53.16167	28 Oct 2017
TH	Damnoen Saduak	99.95469	average	13.51825	04/09/2018, 00:00:00
PT	Custoias	-7.32097	maintenance	41.1053	07/25/2015, 00:00:00
RU	Solntsevo	37.38115	average	55.63711	03 Feb 2014
MG	Sakaraha	44.53333	maintenance	-22.9	2013/02/04
AR	Tandil	-59.13316	excellent	-37.32167	22 Aug 2013
IN	Deoli	75.37991	excellent	25.75728	09/14/2014, 00:00:00
PR	Aguadilla	-67.15407	good	18.42745	01/26/2022, 00:00:00
DE	Memmingen	10.18527	accep	47.98372	14 Jul 2019
PK	Larkana	68.21204	excellent	27.55898	2015/01/30
KZ	Zaysan	84.87144	average	47.46657	08/26/2013, 00:00:00
PT	Albufeira	-8.2503	good	37.08819	2014-06-05
IN	Kheda	72.68533	excellent	22.75218	2014/08/04
US	Norco	-117.54866	maintenance	33.93113	19 Oct 2015
FR	Arles	4.63031	accep	43.67681	2021/09/12
JP	Motomachi	144.09638	maintenance	43.82634	2014/05/02
MX	Teziutlan	-97.35992	average	19.8173	2016-09-07
GB	Viewpark	-4.0573	maintenance	55.82737	2018/09/01
SA	Al Jubayl	49.62251	accep	27.0174	31 May 2021
US	Lompoc	-120.45794	maintenance	34.63915	2014-09-29
ES	Tudela	-1.60452	accep	42.06166	2020/07/24
RU	Lesnoy	59.80222	good	58.63667	2014-07-28
US	Rosemount	-93.12577	accep	44.73941	2017-04-03
US	West Des Moines	-93.71133	accep	41.57721	08/13/2018, 00:00:00
IN	Pandua	88.28637	accep	23.07492	2018/10/28
DZ	Messaad	3.50309	excellent	34.15429	24 May 2019
PK	Naushahra Virkan	73.97117	average	31.96258	08/23/2015, 00:00:00
CL	Ovalle	-71.19901	average	-30.60106	12/16/2013, 00:00:00
GM	Farafenni	-15.6	average	13.56667	09 Mar 2013
RU	Yablonovskiy	38.94324	excellent	44.98901	04/01/2013, 00:00:00
TR	Bergama	27.18052	average	39.12074	02/16/2013, 00:00:00
US	Sicklerville	-74.96933	accep	39.71734	2018-10-05
US	Massapequa	-73.47429	excellent	40.68066	17 Nov 2021
MA	Jerada	-2.16	good	34.31	2020/09/24
ID	Wangon	109.05389	good	-7.51611	02/25/2014, 00:00:00
DO	Santa Cruz de Barahona	-71.10077	excellent	18.20854	15 Aug 2018
AD	les Escaldes	1.53414	good	42.50729	23 Feb 2020
GB	Belper	-1.48119	excellent	53.0233	2014-08-20
CA	Beaconsfield	-73.86586	accep	45.43341	2017/08/09
UG	Kitgum	32.88667	building	3.27833	10 Apr 2013
US	Chillum	-76.99081	accep	38.96372	2013/01/29
NO	Harstad	16.54165	good	68.79833	2016-10-02
JP	Inawashiro	140.11667	excellent	37.56667	10/21/2019, 00:00:00
US	Morningside Heights	-73.9625	excellent	40.81	2015-04-05
PS	East Jerusalem	35.23388	average	31.78336	04/04/2014, 00:00:00
RU	Dyat’kovo	34.33825	average	53.59782	2018/10/18
EC	Milagro	-79.59415	accep	-2.13404	09/04/2020, 00:00:00
US	Bothell West	-122.24064	good	47.80527	2013-07-19
US	Bryn Mawr-Skyway	-122.24092	good	47.4943	2014/02/16
IN	Chamba	76.12647	good	32.55531	05/30/2013, 00:00:00
RU	Tyoply Stan	37.49338	maintenance	55.62047	2019/04/17
CN	Meizhou	116.11768	accep	24.28859	2020/01/04
IN	Kalavoor	76.32756	average	9.57046	2021/11/20
US	Belle Glade	-80.66756	accep	26.68451	2016/06/02
GB	Southsea	-1.08593	excellent	50.79205	08 Mar 2021
CF	Carnot	15.87735	excellent	4.94273	2018/03/06
US	Cypress Hills	-73.89125	average	40.67705	22 Apr 2015
PR	Aguadilla	-67.15407	good	18.42745	12 Nov 2020
US	West Chester	-75.60804	maintenance	39.96097	03/28/2022, 00:00:00
PK	Tharu Shah	68.11759	average	26.9423	11/11/2019, 00:00:00
BR	Pedro II	-41.45861	building	-4.42472	10/17/2017, 00:00:00
DE	Schleswig	9.5586	building	54.52156	08/31/2017, 00:00:00
US	Peabody	-70.92866	excellent	42.52787	29 Oct 2016
TZ	Mwandiga	29.65806	maintenance	-4.83	27 Jun 2021
AR	Chacabuco	-60.47389	maintenance	-34.64167	13 Mar 2015
DE	Hechingen	8.96317	excellent	48.35149	2021-11-20
US	Hueytown	-86.99666	average	33.45122	2021-06-27
ID	Muncar	114.33333	good	-8.43333	2014/07/25
US	Redding	-122.39168	good	40.58654	21 Dec 2021
JP	Motomachi	144.09638	excellent	43.82634	2020-02-05
RS	Negotin	22.53083	excellent	44.22639	07/03/2013, 00:00:00
RU	Saraktash	56.36091	good	51.78771	04/06/2021, 00:00:00
ID	Ngemplak	110.71639	accep	-7.54972	05/18/2021, 00:00:00
DE	Wittenau	13.32127	average	52.59319	2021/12/29
FR	Colomiers	1.33467	accep	43.61058	2019-01-25
JP	Toba	136.84186	building	34.4833	2020/11/18
MZ	Maxixe	35.34722	accep	-23.85972	27 Nov 2013
IN	Pujali	88.1453	accep	22.4711	12/26/2012, 00:00:00
CU	Media Luna	-77.43532	good	20.14298	06/08/2014, 00:00:00
MA	Azrou	-5.22126	average	33.43443	2022/04/18
US	Gilbert	-111.78903	maintenance	33.35283	2015-06-05
GB	Aberdeen	-2.09814	average	57.14369	13 Sep 2015
CU	Varadero	-81.24441	excellent	23.15678	2022/04/17
BR	Porto Velho	-63.90389	average	-8.76194	20 Jan 2016
PE	Minas de Marcona	-75.11028	excellent	-15.21194	2019/08/31
US	Malden	-71.06616	good	42.4251	2017/01/18
RU	Lesnoy	59.80222	average	58.63667	2022/08/20
IR	Aleshtar	48.26258	excellent	33.86419	25 Sep 2018
US	Middletown	-71.29144	excellent	41.54566	2022-01-10
DZ	El Achir	4.62744	accep	36.06386	02/16/2017, 00:00:00
ZA	Vryheid	30.79165	good	-27.76952	01/15/2017, 00:00:00
MA	Jerada	-2.16	average	34.31	11/15/2014, 00:00:00
IT	Volla	14.34085	excellent	40.87363	2016-03-11
MX	Acaponeta	-105.36369	excellent	22.49396	09/19/2018, 00:00:00
RU	Kolomyagi	30.28491	good	60.02427	07/13/2018, 00:00:00
BR	Artur Nogueira	-47.1725	accep	-22.57306	2021-08-20
IT	Falconara Marittima	13.39954	good	43.62558	26 Jun 2017
ES	Palafrugell	3.1631	average	41.91738	2018/11/24
TR	Mudanya	28.88222	maintenance	40.37528	2017-11-05
JP	Shimotoda	139.6853	good	35.815	27 Sep 2018
EE	Narva	28.19028	maintenance	59.37722	24 May 2020
UA	Krasyliv	26.97253	accep	49.65186	01/16/2017, 00:00:00
US	Keene	-72.27814	good	42.93369	2022-06-02
IN	Dalsingh Sarai	85.83636	maintenance	25.66795	29 Aug 2018
TZ	Magomeni	39.25	building	-6.8	2014/09/14
US	Fitchburg	-71.8023	average	42.58342	2020/03/10
CO	Buenaventura	-77.03116	excellent	3.8801	01/12/2016, 00:00:00
IN	Barpeta	91.00632	good	26.32293	06 Jul 2021
US	Front Royal	-78.19444	excellent	38.91817	09 Dec 2017
DE	Pfullingen	9.22796	accep	48.46458	27 Jan 2021
PK	Jhol	68.88871	average	25.95533	2013-05-17
DZ	Frenda	1.04945	building	35.06544	2019/07/07
US	Laguna Niguel	-117.70755	excellent	33.52253	2019-10-08
US	Middle River	-76.43941	excellent	39.33427	07/16/2013, 00:00:00
US	Huntley	-88.42814	good	42.16808	08/26/2022, 00:00:00
IN	Uran	72.93924	accep	18.87813	02/14/2022, 00:00:00
US	Harrisburg	-76.88442	building	40.2737	05/11/2022, 00:00:00
FR	Le Chesnay	2.12213	average	48.8222	2015/11/08
LT	Alytus	24.04142	maintenance	54.39635	2013-09-23
UA	Voznesensk	31.33078	average	47.56494	07/25/2021, 00:00:00
US	Porterville	-119.01677	excellent	36.06523	30 Oct 2019
IN	Moga	75.16878	good	30.81383	2022/01/24
ID	Wangon	109.05389	accep	-7.51611	2017/09/23
UG	Arua	30.91105	building	3.02013	12/02/2018, 00:00:00
US	Greenfield	-85.76942	accep	39.78504	2016/09/19
DE	Bensheim	8.61839	good	49.68369	2016-03-05
IN	Udumalaippettai	77.24779	average	10.58806	2015-07-05
AR	Chacabuco	-60.47389	good	-34.64167	2018-06-29
TN	Siliana	9.37082	acceptable	36.08497	2020-06-22
US	West Des Moines	-93.71133	average	41.57721	2013-04-07
VE	Ciudad Guayana	-62.64102	good	8.35122	13 Feb 2013
US	Belle Glade	-80.66756	average	26.68451	2014/10/06
CA	Vernon	-119.27337	building	50.26729	2022-07-22
UG	Paidha	30.98551	excellent	2.41669	25 Oct 2013
RU	Oktyabr’skiy	53.47103	excellent	54.48147	2016/08/23
NL	Culemborg	5.22778	excellent	51.955	23 Dec 2012
RU	Nizhniy Lomov	43.67663	good	53.53041	29 Jun 2013
CN	Shaowu	117.4831	building	27.34089	17 Sep 2022
US	Mechanicsville	-77.37331	average	37.60876	2021-12-05
US	Port Richmond	-74.13653	good	40.63316	06/14/2016, 00:00:00
US	Pekin	-89.64066	average	40.56754	2017/04/08
IT	Portogruaro	12.84052	average	45.78071	2014-04-16
BR	Tucano	-38.79084	accep	-10.95817	2021-02-25
MG	Ikalamavony	46.58333	good	-21.15	2017/07/26
CI	Lakota	-5.682	maintenance	5.84752	09/15/2015, 00:00:00
GE	Kobuleti	41.77921	average	41.82143	06/14/2019, 00:00:00
NL	Hoogezand	6.76111	excellent	53.16167	03 Jul 2021
NG	Shagamu	3.64633	excellent	6.8485	08 Dec 2016
DE	Eppingen	8.91229	excellent	49.13645	2017-02-27
US	Greenville	-91.06177	maintenance	33.41012	15 Mar 2021
AR	Aguilares	-65.61427	excellent	-27.4338	2019-06-21
RU	Kireyevsk	37.92792	accep	53.93361	2018/11/01
BE	Denderleeuw	4.07601	good	50.88506	2018/02/15
US	Palestine	-95.63079	accep	31.76212	2016/08/25
US	Utica	-75.23266	accep	43.1009	11 Jan 2022
DE	Charlottenburg-Nord	13.29371	building	52.53048	02/01/2016, 00:00:00
IN	Gorakhpur	83.36889	accep	26.76628	2014/02/14
IE	Athlone	-7.95	accep	53.43333	2021/08/25
IT	Somma Vesuviana	14.43865	average	40.87329	28 Jul 2021
US	Lompoc	-120.45794	maintenance	34.63915	2021-02-26
IN	Patti	74.85849	good	31.28092	2018-06-12
US	Scotch Plains	-74.38987	good	40.65538	2016/03/19
ZA	Standerton	29.24152	good	-26.93366	23 Apr 2020
AO	Luena	19.91667	good	-11.78333	2020/01/05
IT	Perugia	12.38878	building	43.1122	2016-05-03
ES	Maspalomas	-15.58602	accep	27.76056	2018-03-26
DE	Pfullingen	9.22796	accep	48.46458	10/30/2019, 00:00:00
CR	San Rafael	-84.13722	good	9.92787	2014/06/29
DK	Frederiksberg	12.53463	average	55.67938	2021/09/16
TH	Thap Than	99.89166	maintenance	15.46063	28 Oct 2013
IN	Narwar	77.9129	excellent	25.6439	2022-07-17
US	Middletown	-71.29144	average	41.54566	11 Jun 2020
BR	Canavieiras	-38.94722	building	-15.675	29 Oct 2019
US	Tyler	-95.30106	accep	32.35126	2018-05-26
TZ	Chanika	38.01667	average	-5.41667	18 Jan 2019
US	Rosemount	-93.12577	maintenance	44.73941	09/25/2014, 00:00:00
US	Newburgh	-74.01042	maintenance	41.50343	04/13/2020, 00:00:00
TW	Magong	119.58627	average	23.5654	20 Mar 2017
RU	Ishim	69.49015	good	56.11281	12/10/2020, 00:00:00
LR	New Yekepa	-8.53778	good	7.57944	09/28/2016, 00:00:00
MY	Batu Feringgi	100.24529	excellent	5.4709	2015/07/27
US	Watsonville	-121.75689	good	36.91023	2020/07/25
RU	Tyoply Stan	37.49338	excellent	55.62047	2017-07-27
JP	Okegawa	139.55722	good	36	01/23/2013, 00:00:00
SD	Ar Ruseris	34.3869	maintenance	11.8659	24 Jan 2021
GB	Lancing	-0.32247	accep	50.82882	2018/03/23
US	Toledo	-83.55521	average	41.66394	26 Feb 2015
KR	Sinhyeon	128.62667	accep	34.8825	2019/09/09
RU	Izluchinsk	76.92421	accep	60.97944	09/05/2021, 00:00:00
DE	Rudolstadt	11.34046	accep	50.72043	2017/06/20
AZ	Qazax	45.36561	maintenance	41.09246	2015-01-19
IN	Teghra	85.94001	good	25.49043	21 May 2014
TH	Bua Yai	102.42587	accep	15.58552	29 Apr 2021
US	Venice	-82.45426	good	27.09978	2017-07-19
IL	Ganei Tikva	34.8732	excellent	32.05971	2022/07/02
AU	Carnegie	145.06667	excellent	-37.88333	2014/12/28
