O3	PAHs	Pb	latitude	NH3	C2H3NO5	H2CO	PM10	NOx	longitude	SO2	CH4	PRES	warning	CO	PM2.5	TEMP	CFCs
9.10917	9.07414	44.62901	49.28669	10.04464	2.50132	25.86539	7.61457	9.08517	1.00288	8.91459	9.93862	1135.94757	0.00000	5.21441	6.49273	15.14663	48.02593
9.06816	8.48679	57.64917	14.53767	9.95323	6.87612	53.53548	8.82930	7.24100	46.83187	7.54464	6.73523	1188.66485	1.00000	7.69993	9.66551	8.44954	49.61399
7.71113	9.46759	60.06419	41.8542	7.46063	11.36633	70.41589	9.48737		-87.66561	7.10167	7.48437	1140.03946	1.00000	8.71877	10.12538	-1.36220	45.23936
7.31287	6.69085	47.83136	32.61603	6.91789	6.46160	73.23954	8.91739	9.49466	44.02488	7.31632	6.23267	1102.67837	1.00000	9.73227	8.93585		53.64271
8.69155	7.80625	69.11775	36.27462	8.69619	1.58869	50.72520	6.99674	6.01172	4.85668	6.76988	7.37878	1062.35287	0.00000	8.60041	10.08803	38.16867	38.19737
9.06093	8.17044	58.42822	13.56667	12.05321	2.78400	57.64841	7.96499	9.72199	-15.6	10.46934	7.32760	1194.70294	0.00000	6.52028	6.93043	17.28558	69.40069
7.70065	6.20662	75.66100	34.86472	8.40476	7.34958	36.99218	8.97830	9.90751	117.55417	5.86283	10.49657	1098.46490	1.00000	10.22771	10.01186	9.03910	47.18139
8.38724	7.53076	61.08574	47.38093	8.61108	1.76933	61.25781	6.67897	11.64438	-122.23484	7.74076	9.08841	1123.92497	1.00000	8.11387	9.35269	2.24942	67.86529
7.91273	7.51755	55.56644	45.40008	7.77592	1.57599	52.96428	6.88881	8.32920	-73.58248	8.07604	6.93418	1108.10575	1.00000	8.64304	9.10424	5.12662	45.18480
8.04207	7.72138	38.89728	26.9423	6.23115	6.58107	56.42599	8.80564	9.27834	68.11759	7.20450	10.42054	1121.66487	1.00000	11.25782	8.95617	40.87070	58.97940
8.97999	8.03871	50.52184	41.55815	6.68603	6.34681	47.30230	8.86513	4.71771	-73.0515	10.94073	10.36970	1068.73363	0.00000	8.16179	7.22381	14.85496	41.33032
9.34454	8.47269	23.15270	-7.73379	5.31066	16.44581	60.63345	9.86351	9.78761	113.69785	9.11751	9.78587	1126.73894	1.00000	8.99949	8.58796	-8.06429	48.24257
8.63794	9.52658	38.98158	19.21667	11.02318	4.77352	56.51883	8.47331	6.72841	73.08333	4.59884	7.08791	1163.25134	0.00000	8.85270	10.90209	2.85130	48.39576
9.86229	7.81480	38.92405	15.46063	5.87692	6.26130	56.22442	8.76861	3.50380	99.89166	7.94417	12.52739	1167.56720	0.00000	5.60302	6.04632	21.96453	81.00892
6.50276	8.92738	55.34994	39.09112	7.96816	4.45332	38.53180	8.12605	8.25184	-94.41551	6.36606	7.73284	1147.21163	1.00000	9.83163	10.96031	20.99179	33.01285
8.48171	8.97976	36.82675	48.52961	8.78594	6.19167	69.20836	8.77481	12.93497	12.16179	6.95919	6.74412	1188.53916	1.00000	7.46317	8.08197	28.71383	47.83112
8.10548	9.81066	48.47929	38.06084	4.80932		46.99567	7.09375	9.67414	-97.92977	9.65349	6.90225	1071.48937	1.00000	8.87368	10.20700	6.88616	27.66490
8.11210	7.25403	49.63298	31.76212	11.77932	4.96507	68.21789	8.56275	9.18068	-95.63079	9.43009	9.19476	1197.55299	0.00000	6.71335	6.76273	-4.48813	49.45925
8.15843	8.85002	83.86317	45.40008	9.48372	0.36532	56.61804	6.25495	8.17969	-73.58248	9.19218	10.18788	1188.48264	0.00000	8.07589	7.01776	-1.11216	58.29670
9.11075	7.59223	51.04800	48.77644	5.03362	0.81532	53.70462	5.99370	9.03470	2.29026	9.07839	9.49636	1135.62234	1.00000	12.16716	8.87465	-11.47587	67.67661
8.54382	9.04955	57.15746	-1.6	7.22765	5.28216	60.83493	8.67492	9.32079	103.61667	6.20720	7.96360	1054.24051	1.00000	8.97928	13.34127	17.17575	52.99090
9.31696	9.95672	43.57194	48.98333	8.54420	8.54251	39.64052	9.12912	6.59517	2.61667	9.03839	8.71513	1198.07655	0.00000	4.81550	6.22090	4.56724	34.99214
6.98877	8.47115	37.99512	54.39635	10.70463	2.52915	42.63394	7.65685	6.53334	24.04142	4.75973	6.77474	1069.12462	0.00000	8.42154		4.61766	57.82287
7.56639	9.00212	18.67449	-34.88422	7.59096	6.48431	48.54222	8.79754	6.23048	150.60036	7.74831	7.59375	1174.73537	0.00000	6.68854	9.03805	7.75492	51.39492
7.32885	7.59684	75.12578	27.71809	9.40369	3.01470	46.42562	7.67645	9.67025	-82.35176	10.21306	6.23528	1186.73989	1.00000	7.41283	7.48897	23.77468	53.44261
7.39342	7.68984	48.59633	54.48147	4.47069	6.24027	64.49234	8.76840	9.06982	53.47103	6.32502	9.80947	1162.86382	1.00000	9.74936	9.07313	10.41228	82.74052
8.61394	7.32911	65.39326	-7.54972	9.70189	4.65838	37.11871	8.49098	6.63228	110.71639	9.86962	9.72071	1187.22462	0.00000	6.18753	6.83235	2.53411	51.57122
7.31271	7.86930	82.83910	32.61603	9.09967	1.03390	25.03490	6.55150	8.57647	44.02488	6.73482	9.37394	1180.58136	1.00000	9.90680	11.53850	17.39133	22.05426
7.75110	6.32752	52.71939	23.5654	6.35877	1.75498	37.79074	7.05656	10.40868	119.58627	7.49657	7.85581	1115.31178	1.00000	5.00303	10.47687	9.93506	56.61038
6.06417	8.31891	57.01098	35.48199	9.10124	2.09045	71.83319	7.41888	6.63380	137.02166	9.44427	10.82728	1189.11021	0.00000	8.26571	7.20416	19.49760	47.75875
6.80485	8.55756	51.89999	53.53333	10.55055	1.59639	52.67023	6.86867	10.13033	-7.35	5.30665	6.97834	1187.39086	1.00000	9.15080	11.23224	2.50854	27.36630
7.07750	8.51898	46.26457	43.1009	10.39066	3.30632	49.61996	8.26231	10.84753	-75.23266	5.99246	11.83384	1077.77968	1.00000	8.60894	8.89011	28.92388	50.61695
7.61337	9.51859	23.11508	30.24706	8.49934	2.97812	38.60669	7.82070	9.88109	115.04814	5.06264	6.45710	1154.00349	1.00000	12.35410	10.40726	11.51094	54.59620
7.09646	8.70626	51.64016	33.92866	7.11326	4.12454	74.54375	8.18795	8.53842	-6.90656	7.68009	8.91097	1108.89017	1.00000	7.87029	9.59768	4.10814	56.00002
9.43429	7.06040	42.75067	49.5099	7.14311	35.47479	43.88552	10.65371	11.96643	6.74549	9.04641	7.91764	1101.14288	1.00000	8.73251	7.33004	22.17233	67.90277
8.31558	11.18671	66.72326	33.54428	9.00883	16.58389	34.22509	9.80442	12.47580	-84.23381	4.97491	7.91690	1051.71787	1.00000	9.54005	13.02754	4.04641	45.95200
8.75079	9.89306	40.89367	51.78771	8.93534	3.03661	26.22892	8.14444	5.50051	56.36091	9.23036	9.62720	1137.44014	0.00000	5.76428	6.56880	11.87464	54.44382
8.23146	8.30298	53.82477	-24.19436	9.52585	2.42140	62.77096	7.55345	9.24129	29.00974	6.68305	5.75612	1114.12227	1.00000	9.82540	9.95528	3.45863	64.87796
8.93586	8.19892	22.62153	50.9803	5.88856	1.80794	49.18022	6.92836	10.82590	11.32903	6.45717	6.88342	1108.87009	1.00000	7.44604	11.77695	18.75553	37.42549
10.00980	8.64338	53.12255	41.27621	7.44019	6.00683	35.63263	8.74362	8.66228	-72.86843	10.23585	10.77649	1170.96030	1.00000	11.10000	6.80176	22.69501	54.19172
9.34762	8.21011	45.24145	41.9001	8.90901	4.22853	67.89105	8.31999	10.04669	-71.08977	5.95984	8.63606	1170.09894	1.00000	8.59155	10.70807	5.23261	49.79411
9.20800	6.19874	56.82415	20.28527	9.36903	1.07492	48.96761	6.09960	10.76856	-103.42897	8.11855	9.31542	1105.87502	1.00000	8.73549	8.73350		70.92558
8.86341	9.20870	59.87661	-8.43333	9.03085	2.16399	26.28090	7.87498	5.44917	114.33333	5.02222	7.69807	1075.65997	0.00000	10.68419	11.35089	11.29929	76.03916
10.18571	7.41456	47.14359	32.57756	4.10359	6.00426	50.89966	8.81277	8.44074	71.52847	8.28043	11.24270	1080.84475	1.00000	9.53623	6.85240	2.78874	44.45012
6.81274	7.40148	40.55219	47.4943	8.49888	3.08527	26.98614	7.91861	6.41178	-122.24092	7.55778	6.91823	1153.11271	0.00000	5.62148	8.04090	21.06940	52.26392
6.84137	9.34555	55.33971	49.03685	9.19941	4.91502	66.76140	8.49048	9.27953	8.70745	7.07966	8.07737	1157.05041	1.00000	8.74590	11.04462	24.58706	33.36439
7.06066	8.08611	70.56794	8.88649	6.68565	1.63298	44.42856	6.61058	8.50587	2.59753	6.32326	9.79903	1120.75045	1.00000	8.66767	8.87019	13.91133	42.17259
8.68301	8.06864	28.33370	33.76446	10.19677	3.37984	46.83326	8.00680	7.47130	-117.79394	10.97121	8.43265	1136.13112	1.00000	8.75947	7.35250	18.80018	54.21916
6.72989	8.52155	62.94227	36.33011	8.96729	1.40676	53.65053	7.01755	8.17124	138.89585	8.36580	6.06176	1093.53022	0.00000	7.09843	10.39877	5.81786	74.01212
7.94734	8.67850	39.29036	40.98894	9.45517	6.20307	62.26374	8.90127	6.40451	28.67582	6.44457	7.65358	1124.37500	0.00000	7.55891	9.32232	32.76797	84.61230
7.76400	8.75656	26.56037	-28.24	6.41731	6.35617	31.85134	8.86364	3.24984	-48.67028	9.49084	10.96750	1150.15840	0.00000	7.20216	6.82716	14.72221	84.32752
7.46858	9.42715	43.37291	20.14298	6.84606	1.63403	48.78423	7.05313	9.63675	-77.43532	6.16183	11.19121	1074.47755	1.00000	10.63687	8.59684	11.52150	61.55702
9.06781	6.45124	33.30302	11.85	10.95612	4.35862	70.03443	8.32933	8.76625	38.01667	8.63393	6.02721	1090.69594	0.00000	4.91245	7.99763	9.52782	71.63190
7.75638	7.52119	44.91327	-21.15	11.58600	3.75891	39.16428	8.31761	10.85612	46.58333	7.14289	2.43944	1087.90655	1.00000	8.15585	5.39994	12.04019	56.96062
7.02780	7.27447	70.41617	13.51825	8.35085	1.99082	78.56125	7.40106	9.89029	99.95469	6.56611	4.61271	1151.35776	1.00000	8.17255	8.35046	11.72887	55.66350
7.55849	8.70346	49.86799	41.6764	8.96675	6.49957	39.59802	8.86725	5.98744	-91.58045	9.70851	9.46019	1086.26373	0.00000	6.25390	6.72202	8.38245	53.42550
6.24560	8.94232	40.54411	48.73218	7.73454	7.15022	51.03496	8.94487	5.31677	11.18709	8.74516	10.91105	1194.26272	0.00000	7.76824	6.49961	30.73873	23.12616
7.38778	7.93646	61.45494	13.70167	5.65796	10.45627	56.86837	9.39397	9.25567	-89.10944	7.95954	8.09991	1107.06704	1.00000	8.84559	9.34946	21.77961	45.15478
8.89602	6.87887	51.03678	-1.6	8.58249	2.64704	59.99082	7.20714	10.78070	103.61667	6.93057	4.32867	1085.75927	1.00000	10.27116	6.90575	17.45143	45.04684
8.78698	9.63637	42.88616	23.73333	10.15365	1.96413	52.21286	7.10288	10.35826	114.68333	6.77843	8.55787	1162.24234	1.00000	8.23543	11.11262	20.59762	61.86639
7.59463	8.83967	48.27296	23.18	9.24013	9.53671	41.68554	9.26213	6.51185	88.58	7.42841	7.97399	1182.41078	0.00000	7.02232	8.40785	1.66732	39.55785
7.68873	7.25970	54.51382	10.29085	10.67347	4.69021	57.70649	8.51419	8.67984	105.75635	6.55092	5.30465	1139.79426	0.00000	7.66906	11.14250	34.47523	47.88290
8.26174	9.43752	29.05505	6.03333	9.49139	2.91361	54.33264	7.60956	10.30804	37.55	8.07525	7.56378	1153.91624	1.00000	5.87477	10.29898	33.65565	78.47578
5.88975	8.88514	59.35055	-7.51611	8.10895	2.32296	64.42807	7.58442	9.55820	109.05389	8.18253	8.89399	1059.80193	1.00000	7.83256	8.97123	35.09260	40.10954
8.61990	8.68656	58.89540	50.86079	10.03013	0.90547	28.13381	6.17952	8.25471	17.4674	7.20726	8.21040	1123.24553	1.00000	7.96492	10.96338	-7.33576	51.92653
9.96810	7.85477	39.03640	41.57721	10.08863	2.75917	73.80087	8.09004	9.58398	-93.71133	7.07175	3.25132	1192.67999	1.00000	9.86376	4.58116	12.53216	46.95406
8.03833	7.62474	63.55463	43.67681	5.85769	3.43282	56.79921	8.11925	11.76283	4.63031	6.93341	6.44874	1130.34115	1.00000	7.87506	12.73159	27.76410	51.29119
7.99141	10.18644	29.21426	40.68066	8.82716	6.77931	53.33801	8.90160	9.56704	-73.47429	8.36948	6.74336	1101.27860	1.00000	10.29791	7.26358	17.93106	54.28925
8.46134	8.95739	40.92228	36.75965	9.17358	1.68715	42.18141	7.09814	10.56722	137.36215	3.35587	7.90901	1176.73594	1.00000	8.37845	12.80257	13.43665	44.68815
8.42409	7.49976	34.84806	6.25947	8.36744	1.40167	44.65766	7.43342	9.53505	102.05461	8.34571	11.16769	1155.42594	1.00000	7.45277	12.45372	22.21879	45.36541
9.17254	8.57103	45.78649	47.76232	9.11048	1.38148	30.86351	7.20307	6.83543	-122.2054	8.61732	10.41741	1191.00409	0.00000	7.19396	6.67575	26.64200	52.24200
8.13919	6.30383	46.60045	45.9836	10.12347	8.57312	62.87165	9.16870	6.27344	12.70038	10.15961	9.10058	1185.49216	0.00000	5.46471	6.30521	23.86775	56.10826
8.76236	7.27548	62.78911	31.76212	10.97725	5.84026	31.06590	8.77898	10.34852	-95.63079	7.85586	9.03880	1052.45971	1.00000	8.51089	9.60761	15.64729	69.36359
