H2CO	PAHs	SO2	NH3	PM2.5	C2H3NO5	latitude	NOx	Pb	CO	CFCs	O3	PRES	TEMP	PM10	warning	longitude	CH4
42.78950	9.01807	8.86621	4.90380	6.24940	0.21694	55.82737	7.49312	53.35817	9.47049	34.99051	8.73659	1072.21276	-6.01820	7.75846	1.00000	-4.0573	7.42127
	4.16571	6.26487	8.62891	7.04765	0.46841	41.15612	6.32434	27.20130	7.01332	52.02474	4.81887	1156.83310	9.86359	8.89754	0.00000	1.10687	10.64257
63.51807	6.08004	5.19732	4.45291	6.92272	0.11198	37.30553	5.29660	45.26810	7.51804	44.16135	6.50755	1183.68599	-0.36066	6.68200	1.00000	120.82747	4.82849
59.71347	7.95304		4.80956	7.42623	0.85199	13.56667	7.94031	51.48191	7.97734	26.84318	7.48863	1163.56875	12.22741	9.62291	1.00000	-15.6	3.78137
44.56650	8.14203	4.18150	4.18940	7.22313	0.08972	6.45407	7.30891	63.67429	9.46476	30.98371	7.88648	1071.30238	8.01465	4.68909	0.00000	3.39467	7.06975
72.18065	6.43536	7.00708	3.31386	8.72807	1.81190	41.29444	9.15939	41.58251	7.04330	41.54968	4.62112	1098.07089	15.48591	10.42111	1.00000	69.67639	7.51612
65.00299	8.96560	9.83482	7.39048	8.37443	0.14971	14.8361	8.76940	58.49109	6.65555	56.77335	4.81689	1082.65320	-0.27525	7.01564	1.00000	120.97844	6.97853
51.78796	8.88881	4.44793	5.75699	7.27589	0.06734	23.29549	6.05051	32.63650	6.59696	39.92626	7.68899	1190.19910	14.46078	5.65323	0.00000	113.82465	5.46294
79.35356	9.66350	5.98507	4.78764	7.98103	0.16730	36.61033	7.78287	59.46618	9.14671	47.21361	10.67393	1146.68385	19.09905	7.36335	0.00000	-88.31476	4.30269
60.38924	7.42442	10.05685	9.95286	6.56957	0.35042	23.02677	5.69652	45.20721	7.68742	50.22202	9.41008	1063.07003	23.60056	8.61374	0.00000	113.13148	4.61631
40.11609	5.32646	5.09410	4.95934	6.22390	0.07783	3.8801	6.60545	63.27535	6.09054	35.86119	6.86931	1096.11739	20.11162	6.46672	1.00000	-77.03116	4.11785
59.82505	5.62149	6.80116	10.37724	7.61129	0.39940	34.95303	7.16787	32.65095	5.89025	38.66680	5.13416	1118.10562	0.86093	8.83336	0.00000	-120.43572	10.34169
78.21434	9.04841	9.97129	8.56198	6.92129	0.25632	-27.76952	8.63928	46.06946	7.71707	55.78956	2.72211	1142.07539	23.53749	8.37205	1.00000	30.79165	8.94862
45.61554	7.07010	5.06377	7.11142	6.43095	0.16893	10.31672	8.85943	62.76345	6.71150	52.33196	6.53711	1121.82209	7.78033	7.64989	1.00000	123.89071	4.09076
39.65519	12.01743	7.02327	9.16823	7.25831	0.08231	50.5107	9.48247	56.65959	7.66392	46.81433	6.39800	1124.59599	1.19088	6.23905	1.00000	18.30056	5.61626
49.44752	8.48612	7.71014	6.42606	6.89285	0.45468	10.13361	6.49540	53.58033	10.21198	27.96095	5.63376	1190.08344	16.84110	8.93177	1.00000	124.84472	7.07047
38.85852	9.60147	6.61564	5.92462	7.34424	0.14470	38.07789	6.46694	45.33730	7.88294	60.47744	7.99110	1106.44831	15.53836	6.92752	1.00000	13.44275	4.90604
18.45698	4.31970	5.84793	4.07249	6.40016	0.08966	41.24264	8.26057	41.78978	8.44300	50.67937	6.83519	1109.03972	19.47167	5.26222	1.00000	16.50104	6.24348
64.33291	6.91016	4.50246	5.61598	7.23104	0.16450	4.94273	7.29327	60.49445	7.08135	49.99510	5.48489	1060.55951	16.72928	7.17682	1.00000	15.87735	4.66224
39.51548	9.79030	7.05518	6.64263	7.00738	0.37795	-3.5403	6.32777	67.51658	9.18302	53.64796	4.80797	1090.13762	18.42128	8.57989	1.00000	118.9707	6.49237
56.63655	7.72374	9.16169	5.26423	5.92365	0.29653	36.92574	7.50967	39.93381	7.85809	55.66206	6.77583	1162.19556	17.91813	8.45849	1.00000	14.72443	5.29835
27.62026	8.25762	2.82448	4.06529	6.78802	0.11801	27.0174	5.53933	59.78162	8.50462	63.47848	7.38147	1065.82609	15.40888	4.53417	0.00000	49.62251	5.97144
40.86964	5.79354	6.41292	6.48617	6.99194	0.11079	21.34222	7.46386	74.20290	6.98984	23.35065	9.48479	1122.39006	10.04467	7.29431	0.00000	71.30633	4.65582
50.85969	9.75452	8.88864	7.25214	7.16297	0.16701	-44.39672	7.55593	53.55789	6.64710	27.74478	5.42331	1145.85787	18.78960	7.91466	1.00000	171.25364	5.57680
47.20170	4.39597	5.82388	7.43888	6.74129	0.05456	51.42708	7.72311	44.62476	8.34735	55.47388	6.76175	1095.23574	10.06718	5.05298	1.00000	-0.91979	3.47306
34.80052	6.09489	7.81667	9.06478	6.21956	8.06859	3.7278	8.22094	61.71376	6.55445	40.37870	4.64330	1166.13644	17.48746	11.96039	0.00000	98.6738	8.42308
46.76148	6.17675	6.64019	10.35040	6.67477	0.13572	3.31332	7.49687	57.82348	5.73720	22.02113	5.54714	1150.40200	30.95844	6.79535	0.00000	117.59152	10.67216
42.44781	5.06766	5.49517	7.28074	8.88391	0.11585	46.67535	7.98875	77.88164	7.42867	61.95904	5.65021	1192.74046	22.21277	5.35161	1.00000	5.55575	4.82533
57.97743	9.50708	4.95315	5.94750	9.13570	0.09475	23.49668	8.74140	73.07015	5.43667	64.03264	7.61045	1193.31651	7.82937	5.11534	0.00000	86.68363	5.38635
40.04413	9.16076	8.17666	6.26191	6.03743	0.13354	-30.60106	6.72506	44.43581	8.05237	51.43484	7.03895	1076.64259	6.85447	7.09510	1.00000	-71.19901	5.28918
28.96463	8.13882	7.51978	5.70211	7.41542	2.23432	50.75767	5.92736	38.71793	6.66351	49.61130	4.22913	1063.74995	9.36790	10.63962	1.00000	-1.5443	7.33236
60.31535	7.66064	8.59280	4.57563	6.96340	0.16408	44.59445	7.42224	61.94040	7.09949	58.04524	3.43942	1057.40602	24.40743	7.92135	1.00000	11.04979	7.46976
37.99549	8.94486	4.68779	6.19797	6.75731	0.16403	-33.38056	8.00209	77.23140	6.39731	69.10723	8.40179	1127.83004	15.65445	7.26670	0.00000	-56.52361	4.60515
23.11193	6.12031	6.98039	5.00627	10.01672	0.14628	10.13361	6.76981	33.80018	5.56459	31.88580	6.84408	1122.21612	21.38201	6.07215	1.00000	124.84472	7.23637
59.84416	8.99623	6.70768	5.91884	6.76489	0.17966	16.455	7.20136	17.18765	5.67648	36.14618	5.65948	1099.69730	13.71743	7.33505	1.00000	120.5875	7.04212
49.05070	9.14815	7.85777	7.63585	9.29718	0.74149	42.64685	7.50627	38.88004	9.04096	20.78130	4.58101	1140.05722	27.57451	9.46636	1.00000	-5.55835	7.78428
15.84088	7.19252	4.27952	5.76322	8.56699	0.11549	22.49396	7.59336	28.72859	7.38129	47.65060	8.11158	1057.67524	6.68627	5.82566	0.00000	-105.36369	4.34264
42.17021	6.88131	7.96689	3.72729	7.88688	1.21388	28.90054	7.18545	55.33766	6.32513	44.75251	3.81252	1122.92851	-6.81234	9.99519	1.00000	-81.26367	7.16234
44.95098	4.95257	5.52735	4.70292	8.18278	0.05711	10.22677	6.41330	49.81428	8.99642	49.35560	4.86543	1079.78703	2.54051	4.63218	1.00000	-67.33122	6.60168
52.48177	7.46035	8.90881	3.96121	6.81806	0.31073	51.40944	5.65103	37.11862	7.35010	40.22140	6.88482	1161.46201	12.71845	8.53516	1.00000	46.04833	4.36686
44.82927	8.48911	4.50162	7.12078	6.76230	1.30433	60.2052	7.34229	50.26013	7.49960	46.80741	5.16775	1104.92581	16.91188	10.07358	0.00000	24.6522	8.26560
27.16652	10.76250	7.59331	8.19578	6.97647	0.23316	30.24706	6.11083	40.88174	6.13917	56.74520	2.11711	1173.12581	8.27875	7.61427	1.00000	115.04814	8.40570
27.45489	5.84475	5.85022	5.23827	7.66359	0.16873	20.74122	8.52063	51.83459	6.30716	73.04444	10.80344	1174.23200	15.99923	7.59369	0.00000	-100.44843	3.48861
46.27570	4.75284	6.61521	6.56173	6.84680	0.06453	35.72917	7.36995	58.10184	7.09510	54.99782	4.26783	1117.74561	21.27683	3.40054	1.00000	10.58082	6.98897
63.24097	3.37366	5.14954	6.99745	5.94768	0.09834	46.08333	7.52577	69.52531	9.59950	34.98133	6.18518	1173.51776	28.94582	5.77498	0.00000	122.08333	8.99282
32.21817	7.39723	8.77610	5.74582	8.85966	0.62224	43.35071	7.97900	59.27855	8.04882	30.92171	6.06796	1162.78362	1.37028	9.28088	1.00000	46.10925	6.74660
43.64113	1.03859	5.50573	6.81982	8.13035	0.07112	-1.26753	7.81277	44.26347	7.84517	48.37029	6.91831	1198.27164	22.95155	5.18879	0.00000	116.82887	8.61808
51.46375	7.94712	7.46856	5.68702	7.04757	0.09983	-33.59217	7.60984	43.13941	8.34693	58.13225	8.94821	1083.23561	11.88387	5.67946	0.00000	-70.6996	7.84043
55.33861	2.90600	6.12306	9.38343	6.61537	0.33505	40.49748	6.71941	46.87388	9.19344	17.53866	5.74416	1097.46647	17.36805	8.55866	0.00000	44.7662	9.31748
51.09616	7.50318	3.53517	4.73814	6.41159	0.45860	34.56861	6.21663	67.21990	8.18359	44.94708	6.84018	1087.44543	25.90649	8.95482	1.00000	105.89333	3.37705
49.06553	4.28076	5.34215	5.62480	8.79862	0.08390	51.42708	7.96282	47.73657	9.77732	39.09834	5.93793	1170.23314	0.09215	5.32034	1.00000	-0.91979	5.89816
56.68479	5.92055	6.21642	7.99113	6.84621	0.09962	42.24113	5.57213	22.61999	8.12473	46.78894	6.09308	1084.72975	24.98727	4.91382	0.00000	-88.3162	7.21981
57.96323	6.24969	6.60758	7.30857	6.57919	1.14189	53.51684	8.02148	54.17283	7.39455	48.24651	5.58856	1150.81374	21.03111	9.92129	0.00000	-113.3187	6.84438
41.61806	8.47703	8.56663	7.01482	7.63968	0.03944	26.68451	6.58346	45.73430	7.80367	57.99776	7.57137	1176.28400	9.56051	4.74113	0.00000	-80.66756	9.33301
60.57524	6.89016	6.24256	2.90641	7.80973	0.09144	5.84752	5.79597	36.30576	6.71911	43.94938	6.46677	1130.79178	16.16217	6.02784	1.00000	-5.682	7.02201
74.82229	8.35232	8.95519	6.39290	7.00600	0.72073	44.92934	6.80935	57.47744	8.37320	41.29837	5.78310	1195.08143	15.47368	9.46471	1.00000	37.99117	6.02253
55.17852	8.45163	6.79423	6.61341	7.56089		27.92333	5.48886	47.55307	5.75002	38.68845	6.72850	1156.73920	22.57211	3.17509	0.00000	118.53333	7.68529
27.36922	5.10278	5.99930	8.63814	7.18670	2.06742	58.23583	6.50268	50.08489	6.24401	46.52600	5.30304	1146.83777	23.06637	10.57083	0.00000	92.48278	8.28128
63.00321	8.75953	5.45588	4.40401	6.66330	0.10321	35.48199	7.16632	47.26727	7.60004	52.28165	9.47685	1071.98482	2.63678	6.10088	0.00000	137.02166	6.14407
59.24601	7.62255	9.07016	6.63668	6.44413	0.06809	30.16688	7.50459	38.39115	6.23214	39.20137	6.75338	1174.25405	7.62415	5.79288	1.00000	-96.39774	8.59797
18.46823	5.72256	5.13017	5.08035	6.43399	0.11234	10.15031	5.06717	32.68317	7.83098	45.11167	6.39024	1077.89050	8.29231	6.38967	1.00000	-73.9614	4.98203
18.11430	2.64432	6.44257	5.66462	6.73156	0.09632	51.19139	6.96990	21.33327	8.10815	39.77875	5.43879	1122.89333	33.59139	3.23773	1.00000	6.51352	7.79544
57.97563	9.06774	7.54174	6.27879	5.88049	0.36090	48.52961	5.44241	50.63823	7.04550	34.63697	6.37699	1156.67628	17.51106	8.65793	1.00000	12.16179	5.72139
34.44803	6.34250	6.66547	4.29869	7.48089	0.14382	44.92801	8.00086	51.62834	7.15983	37.53719	6.95749	1175.52367	15.86159	6.98554	1.00000	4.8951	7.80929
58.28882	6.61155	7.72211	8.23071	6.81490	0.11288	41.85059	5.41880	46.91781	9.54639	82.98969	4.05633	1192.16553	8.27012	4.08891	1.00000	-87.882	7.71321
48.71550	4.89770	6.88940	6.08290	7.40889	0.09407	51.03427	8.61107	57.57440	7.71277	21.19959	5.65911	1167.32620	12.53970	4.79416	1.00000	5.37429	7.56118
71.92365	6.31913		9.04752	6.69358	0.06448	51.67822	5.82646	42.07930	7.78232	44.47214	4.65578	1154.53917	9.53295	5.31523	1.00000	33.9162	4.65764
50.96660	5.20412	5.94001	5.41825	7.69599	0.10067	41.20485	5.89615	39.11052	5.81744	34.48238	7.46857	1068.40480	18.39558	6.88342	1.00000	-8.33147	5.67598
51.84233	6.54023	5.53599	6.04210	6.70882	0.47155	13.65805	6.04879	34.46514	7.34050	40.00268	5.49814	1176.99971	21.32174	8.97418	0.00000	102.56365	6.76115
66.16493	9.69314	7.60140	10.82248	7.50679	1.46053	40.81	6.39488	42.23169	9.43360	49.41891	2.83391	1120.70667	33.32337	10.23037	0.00000	-73.9625	11.81931
43.93667	5.24283	5.08379	3.60517	6.05838	0.13354	36.33011	7.39154	58.42745	6.94760	65.66026	6.80973	1168.19661	15.05098	6.88683	1.00000	138.89585	6.51406
47.59696	8.31566	7.50637	8.01854	6.66783	0.24991	50.23805	7.69732	35.14489	6.71735	39.38862	9.18968	1119.14281	0.49882	7.96870	0.00000	8.86704	4.20513
43.85711	8.65940	7.09296	8.34398	7.03486	0.05878	48.8449	8.59995	54.24576	6.85436	64.03081	5.20578	1112.86578	10.21857	6.59436	1.00000	17.22635	5.72184
50.22977	2.13845	2.26914	3.53312	7.08715	0.09606	6.45407	8.08065	54.29176	7.83443	43.92501		1072.76867	28.52121	4.90082	1.00000	3.39467	4.80586
68.41520	4.61047	7.82262	8.47931	5.73652	0.51588	42.7	7.19337	46.84948	8.29282	54.56871	6.35618	1127.72841	26.70376	9.15015	0.00000	27.25	7.66336
65.59437	7.03208	8.46416	8.45824	8.29989	0.04114	-25.42944	7.17115	42.13231	5.97226	27.42629	6.07210	1056.04774	7.49046	5.25034	1.00000	-50.00639	7.61879
30.15207	4.69917	5.10503	4.56888	7.38112	0.17727	27.0174	5.32189	50.63944	6.99538	39.19352	7.71570	1054.53209	9.29845	7.22762	1.00000	49.62251	5.48398
39.35866	8.08545	8.16396	4.83032	7.18780	0.80271	32.05971	6.70116	48.61886	7.55221	46.83226	5.98271	1198.77998	7.24539	9.51649	1.00000	34.8732	5.16081
57.25958	9.63337	7.31102	6.13760	8.85790	0.11196	51.39148	6.31299	69.20598	6.30880	49.01727	4.11895	1166.99756	20.18493	7.37893	1.00000	-0.29825	6.91063
62.21205	9.68407	7.31891	8.19718	6.99909	0.11186	20.28527	6.83630	40.98995	7.12783	57.57416	7.00156	1061.55686	12.01389	5.83605	0.00000	-103.42897	6.73031
76.70818	9.90343	4.67055	5.21353	7.05162	0.13478	43.32393	6.32332	54.73131	6.76525	43.38445	6.29667	1099.20467	-1.51151	3.14914	0.00000	5.4584	7.85056
64.74046	7.26913	6.40924	7.71511	6.31997	1.91683	-31.95224	6.72081	51.35256	7.07281	43.27308	5.82031	1167.71605	7.18104	10.48817	0.00000	115.8614	6.27665
46.92466	11.25272	7.60358	8.19240	6.72484	0.08967	-44.39672	7.38844	47.73011	6.99110	50.85669	5.42736	1126.96712	31.37543	6.22338	1.00000	171.25364	5.98657
59.78086	5.68525	8.88177	3.94858	6.80925	6.96016	51.20219	7.14964	32.43187	9.32322	55.71011	4.90871	1058.94371	8.04260	11.81609	1.00000	7.36027	7.16612
42.57231	6.38333	7.21947	8.09016	6.40809	0.46055	34.61667	8.02132	57.70413	7.90390	60.85099	4.57235	1188.30238	7.28311	8.96236	0.00000	135.6	10.16316
49.03963	7.71255	8.16823	6.41313	6.89919	0.12343	51.20219	6.71077	66.91084	7.89328	25.91786	6.68370	1123.92754	10.64766	5.78004	1.00000	7.36027	6.90670
58.90815	5.62190	5.89174	6.94387	6.89957	0.12140	28.90054	7.19404	53.96301	7.93889	51.17717	7.60523	1069.14165	6.35175	7.17570	1.00000	-81.26367	5.32505
37.73147	6.16451	7.01429	5.64616	5.76933	0.06644	11.84962	4.31007	65.48316	7.47630	47.89375	6.47862	1092.98716	-0.38482	4.91616	1.00000	-86.19903	6.10761
28.08901	7.24381	6.21048	7.20338	8.41435	0.15380	33.03699	4.51094	47.33753	7.06569	46.16665	8.25719	1159.21271	15.34841	6.45659	0.00000	-117.29198	4.81610
56.70254	8.51908	9.05899	6.67737	6.93300	1.66279	53.30972	6.97102	31.33545	7.41414	53.40110		1073.85620	-16.04114	10.34812	1.00000	83.62389	7.82358
50.25653	7.30880	10.26679	5.12647	6.78963	1.16329	50.23019	7.67073	39.11594	6.97444	79.50238	5.31824	1172.37207	-1.28523	9.98040	1.00000	8.77155	5.29545
58.31218	5.83418	5.29270	6.70698	7.34646	0.09526	29.22254	7.43306	28.37292	6.57412	46.12994	4.21742	1089.91794	-1.11821	4.69825	1.00000	79.5286	5.32185
64.72389	10.63931	7.15758	7.75742	5.20575	0.25994	53.93361	6.29088	60.88926	6.25012	68.93895	7.21105	1079.80699	14.30162	8.16791	1.00000	37.92792	4.90439
41.80669	5.51610	5.82567	6.23797	4.84129	0.08906	20.22816	7.15050	87.39067	6.14792	54.31880	6.28116	1168.23822	17.28214	5.68669	1.00000	-103.5687	5.39738
65.85196	8.49136	8.44291	5.35866	8.83199	0.22407	16.455	6.92354	47.50154	6.39729	46.80709	5.47268	1134.93398	8.19570	7.89150	1.00000	120.5875	5.83205
46.40620	7.32493	8.56431	4.39259	6.27336	0.40931	34.4833	6.75702	55.43711	9.52302	36.34610	8.68157	1080.35825	26.96655	8.86240	0.00000	136.84186	4.06329
46.57209	5.47514	7.77348	4.58661	6.84833	0.06871	37.51803	5.93289	34.56993	7.72523	34.22810	4.93813	1097.14667	15.26371	3.52805	1.00000	15.00913	8.49038
71.92602	6.74120	7.18215	6.94760	7.07605	0.15520	2.2139	7.92214	35.84914	7.96445	36.29129	7.37885	1185.45428	22.52441	7.17583	1.00000	102.3278	6.31301
28.72796	6.35119	9.18816	5.22316	9.03254	19.54748	53.51684	4.47737	49.69349	7.38610	41.86332	5.21183	1160.66718	12.88002	12.85417	1.00000	-113.3187	6.75056
45.01224	6.34277	7.86389	6.76886	7.64434	0.12563	33.7207	4.88633	38.92067	6.54225	43.12449	6.52478	1055.19155	3.67587	5.33777	1.00000	-116.21677	6.58896
25.48453	5.68216	7.05132	10.36987	8.06064	2.04314	37.49223	6.54866	36.42237	8.11143	38.10151	4.17863	1140.03408	16.68358	10.57541	0.00000	15.07041	11.29717
47.97829	7.00641	6.16097	10.35134	6.56325	0.51899	-12.91667	7.65415	52.59562	7.89715	51.08269	5.90209	1109.35277	-0.82284	9.14488	0.00000	-39.25	9.57459
34.82347	3.51861	5.58709	4.24114	6.89150	0.12033	41.48199	5.31846	48.51120	8.94771	21.29762	5.26314	1089.26028	25.11558	3.58099	1.00000	-81.79819	6.62761
42.67758	2.96058	5.11484	8.01916	7.04102	0.87650	23.1959	6.13904	41.45187	7.90585	55.28143	7.83569	1056.90655	8.11943	9.65816	0.00000	86.51499	5.99200
68.71529	7.60990	4.95890	7.50832	6.17220	0.13586	47.80527	7.93567	56.81371	8.26412	35.22501	7.92825	1060.93272	10.24743	7.14583	0.00000	-122.24064	5.98292
40.15194	2.16147	3.99331	5.62038	7.04221	0.08259	21.59983	9.31439	50.07063	6.53145	42.58073	6.38306	1075.61501	19.79926	5.06253	1.00000	71.21169	4.84632
75.69405	9.19010	5.30235	4.19098	6.48809	0.08277	16.75973	7.51520	37.56133	6.99332	46.62974	9.56396	1091.06686	8.18406	5.80882	0.00000	-93.11308	5.83794
31.80516	10.77894	5.39710	5.44122	9.66827	0.11089	18.03496	8.74883	52.77094	7.72536	40.58909	8.17501	1066.71010	30.16919	6.41217	0.00000	-66.8499	6.99322
39.86669	10.37534	7.82540	8.79403	8.81680	0.20485	55.54028	8.01363	24.62786	6.21346	48.30612	5.49031	1190.43302	7.35839	7.79630	1.00000	89.20083	7.18395
28.89773	8.19652	7.48758	8.66832	4.93228	0.08405	33.42585	7.70282	57.11329	8.40792	54.60814	7.46243	1088.84011	30.21697	6.38693	0.00000	-6.00137	5.62946
50.74380	5.61928	6.51325	9.07972	6.50063	0.30316	18.00747	6.54914	52.13713	6.73416	32.55292	6.06466	1171.94078	41.67427	8.36706	0.00000	-76.78319	8.64351
57.07518	10.19417	5.97114	6.77165	5.79640	0.09174	-4.24444	7.55566	53.90811	7.49588	62.79111	6.86202	1184.15783	21.57223	5.49577	0.00000	-42.29444	7.43455
59.57153	9.43647	7.17485	6.42144	5.69626	0.47018	43.71032	6.47206	69.83662	8.03447	23.24146	7.87492	1062.08186	30.40034	8.91914	1.00000	-1.05366	5.72574
40.82904	9.19171	8.42200	6.22398	7.55136	0.17039	-38.16604	5.92016	49.78283	6.22684	34.17554	5.51989	1086.73686	12.91173	7.41805	1.00000	145.13643	5.85443
37.14058	5.31077	6.07642	4.91021	7.65829	0.06964	45.69558	8.14606	48.40472	6.49370	59.75757	8.03401	1187.41330	-1.05452	5.87662	1.00000	4.7934	4.55205
35.69073	8.03010	6.75334	9.28315	8.35221	0.05931	31.39547	6.74030	53.48187	5.83631	37.23977	5.42887	1129.63246	11.90073	4.81056	0.00000	34.75699	6.56818
51.92822	8.01138	5.32543	6.89176	6.19329	0.03623	50.11861	7.02509	19.46013	8.15744	41.46594	5.21789	1098.96419	14.31768	3.63154	0.00000	-5.53715	8.70753
64.23430	5.95992	5.74829	4.37129	8.34913	0.07829	0.49113	7.43808	27.81643	6.43811	66.22369	6.41962	1158.54524	11.52915	6.19067	1.00000	29.47306	6.00529
35.70362	7.46599	5.15743	4.61987	6.08819	0.07528	41.1053	8.68599	40.53656	5.75014	16.03342	9.81282	1090.12961	28.97958	6.17005	0.00000	-7.32097	
78.71474	9.33339	7.69077	6.26896	6.23619	0.12162	51.168	5.98939	63.96797	7.20304	23.99439	6.04686	1184.82714	22.92667	6.64977	1.00000	7.973	6.17361
31.60822	10.04996	6.34090	7.43350	7.25235	0.07947	55.75556	7.60371	56.12154	8.13490	51.85264	5.64487	1068.30670	22.11860	4.28078	0.00000	60.70278	8.51797
64.84778	7.22695	7.40483	8.74609	9.63986	0.08895	31.39547	7.93260	51.72561	5.84471	41.00439	6.86891	1073.36130	27.96027	6.36112	1.00000	34.75699	5.39884
56.17084	9.09504	3.49982	8.18056	7.11153	0.39491	40.70995	8.61396	47.60776	6.82117	13.86988	5.24194	1073.03994	21.71600	8.60039	0.00000	0.57856	9.20216
43.46843	5.70151	5.44598	6.52931	7.91529	0.14780	26.91756	7.21517	47.07695	6.71281	47.77769	6.50220	1054.57720	1.59375	6.60759	1.00000	-82.07842	5.40470
46.95394	1.42675	5.77449	7.57794	6.65340	1.34470	-10.33333	6.17664	52.60831	8.45860	38.00977	5.69876	1067.15705	12.04937	10.14680	0.00000	39.28333	8.03258
48.01178	8.49508	8.43441	5.66894	7.02509	0.06734	43.86682	5.96506	54.57659	7.48607	48.47048	6.46848	1074.96217	2.19128	6.57380	1.00000	-79.2663	6.01121
62.07119	5.89493	5.17450	5.31475	6.64136	0.09071	60.97944	7.18847	42.07928	7.06741	55.13312	5.51253	1096.81379	21.22995	6.19360	1.00000	76.92421	6.01965
67.69858	7.72417	5.00864	3.24606	7.90631	0.06596	22.10194	7.43310	79.05182	7.07547	47.34176	9.37139	1117.27742	16.35029	5.61607	0.00000	85.37752	7.88422
40.31549	7.00114	6.74491	10.08164	6.79897	0.07627	31.78336	7.18029	54.87140	6.44045	24.63932	9.26932	1159.18747	20.97614	5.58054	0.00000	35.23388	5.57592
47.31585	9.38936	7.83712	6.78229	8.77739	0.36261	15.58552	8.50807	39.95919	8.82797	21.40877	4.58162	1142.40885	16.96119	8.45943	1.00000	102.42587	6.83570
70.99048	8.31150	6.21369	4.54246	8.63287	0.14531	-17.74431	8.51914	44.03940	8.54499	36.50539	10.26482	1117.40471	18.65394	6.96738	0.00000	-48.62789	6.18082
45.11957	6.73686	8.95571	3.67025	7.00645	1.08485	43.32393	6.97338	35.43815	6.87066	34.46628	5.34193	1055.87554	10.85509	9.90723	1.00000	5.4584	5.61825
53.65485	5.17099	4.80220	6.50807	5.90452	0.65642	9.535	8.00753	57.83020	6.79620	27.74286	4.41360	1106.30599	15.15154	9.42093	0.00000	-13.68778	9.46251
48.04417	7.47896	6.34922	6.21420	6.19226	0.09775	27.71809	6.45535	38.26469	8.57440	36.89858	8.28559	1143.26160	-2.63882	6.07229	0.00000	-82.35176	6.81586
