QoS	revision	latitude	longitude	location	code
average	2020-12-03	34.9	137.5	Asia/Tokyo	JP
maintenance	07/18/2022, 00:00:00	43.78956	7.60872	Europe/Rome	IT
average	2014-06-26	13.73417	-89.71472	America/El_Salvador	SV
accep	2019-05-10	20.22816	-103.5687	America/Mexico_City	MX
good	2022/05/08	10.61285	12.19458	Africa/Lagos	NG
building	2018/07/03	40.66482	122.22833	Asia/Shanghai	CN
accep	02/22/2018, 00:00:00	39.96348	-4.83076	Europe/Madrid	ES
average	09/09/2019, 00:00:00	37.49073	-2.77259	Europe/Madrid	ES
excellent	08/26/2022, 00:00:00	41.57439	24.71204	Europe/Sofia	BG
good	07/05/2018, 00:00:00	34.25807	-88.70464	America/Chicago	US
accep	09 Oct 2015	47.56494	31.33078	Europe/Kiev	UA
accep	02/25/2019, 00:00:00	51.40944	46.04833	Europe/Saratov	RU
accep	10/13/2017, 00:00:00	36.53333	136.61667	Asia/Tokyo	JP
maintenance	07 Nov 2014	52.14	5.58472	Europe/Amsterdam	NL
excellent	25 Sep 2021	-31.95224	115.8614	Australia/Perth	AU
excellent	06/27/2022, 00:00:00	36.92574	14.72443	Europe/Rome	IT
building	2020-01-30	48.49144	9.20427	Europe/Berlin	DE
good	2019/04/27	44.80477	-0.59543	Europe/Paris	FR
maintenance	2014-05-15	9.3337	122.8637	Asia/Manila	PH
good	2018-03-21	-4.16694	-40.7475	America/Fortaleza	BR
average	04 Oct 2017	10.66668	-61.51889	America/Port_of_Spain	TT
maintenance	2020/05/13	13.48082	-86.58208	America/Managua	NI
accep	2017-09-10	37.52487	-77.55777	America/New_York	US
building	2021/09/01	25.67927	-80.31727	America/New_York	US
excellent	13 Jan 2019	58.04254	65.27258	Asia/Yekaterinburg	RU
maintenance	2019/11/25	52.26083	7.00417	Europe/Amsterdam	NL
excellent	2017/02/13	-22.45667	-47.53028	America/Sao_Paulo	BR
maintenance	2021-08-06	15.58552	102.42587	Asia/Bangkok	TH
accep	2019-06-01	-8.73508	24.99798	Africa/Lubumbashi	CD
building	2012-10-11	12.25282	79.41727	Asia/Kolkata	IN
building	2019-10-08	7.50251	5.06258	Africa/Lagos	NG
accep	2013-04-08	-3.74912	-73.25383	America/Lima	PE
maintenance	2015-11-06	53.16167	6.76111	Europe/Amsterdam	NL
excellent	2016-12-22	24.28859	116.11768	Asia/Shanghai	CN
average	2020-08-13	18.87813	72.93924	Asia/Kolkata	IN
building	24 May 2015	1.6561	103.6032	Asia/Kuala_Lumpur	MY
good	2015-05-25	10.61285	12.19458	Africa/Lagos	NG
excellent	2018-06-04	12.37169	123.62494	Asia/Manila	PH
average	2013/12/12	44.89784	8.86374	Europe/Rome	IT
maintenance	26 Aug 2020	6.9909	79.883	Asia/Colombo	LK
good	2019/05/10	51.168	7.973	Europe/Berlin	DE
maintenance	2014/03/09	34.56861	105.89333	Asia/Shanghai	CN
good	2016-11-07	41.55947	14.66737	Europe/Rome	IT
accep	2013-10-12	12.74482	4.52514	Africa/Lagos	NG
good	19 Jan 2022	43.86682	-79.2663	America/Toronto	CA
good	2018/02/14	3.51667	11.5	Africa/Douala	CM
excellent	2014/07/27	-2.13404	-79.59415	America/Guayaquil	EC
good	2013-04-23	47.56494	31.33078	Europe/Kiev	UA
average	05/19/2014, 00:00:00	18.18158	76.03889	Asia/Kolkata	IN
maintenance	2014/07/31	32.54044	-82.90375	America/New_York	US
good	05/26/2017, 00:00:00	5.30383	-1.98956	Africa/Accra	GH
average	12 Jul 2013	44.89784	8.86374	Europe/Rome	IT
excellent	2015/11/09	41.24264	16.50104	Europe/Rome	IT
building	06/27/2016, 00:00:00	-29.2975	-51.50361	America/Sao_Paulo	BR
accep	15 Mar 2019	-33.38056	-56.52361	America/Montevideo	UY
good	08/14/2021, 00:00:00	-54.8	-68.3	America/Argentina/Ushuaia	AR
accep	09 Jun 2018	10.22677	-67.33122	America/Caracas	VE
average	22 Oct 2015	44.92801	4.8951	Europe/Paris	FR
maintenance	08/07/2014, 00:00:00	40.55851	17.80774	Europe/Rome	IT
accep	06/20/2015, 00:00:00	53.93361	37.92792	Europe/Moscow	RU
accep	2018-01-30	6.46346	-2.31938	Africa/Accra	GH
accep	2013-12-23	48.28259	9.72749	Europe/Berlin	DE
maintenance	02/13/2022, 00:00:00	47.92526	-97.03285	America/Chicago	US
accep	12/27/2017, 00:00:00	31.96258	73.97117	Asia/Karachi	PK
average	2013-01-18	51.19139	6.51352	Europe/Berlin	DE
maitennce	2018-04-08	38.07789	13.44275	Europe/Rome	IT
average	2015/09/19	31.82539	72.54064	Asia/Karachi	PK
acceptable	05/10/2019, 00:00:00	53.19146	-2.52398	Europe/London	GB
accep	08 Apr 2021	-3.5403	118.9707	Asia/Makassar	ID
maintenance	2022-06-11	2.2139	102.3278	Asia/Kuala_Lumpur	MY
maintenance	2017/01/21	8.56697	123.33471	Asia/Manila	PH
accep	30 Sep 2014	39.33427	-76.43941	America/New_York	US
maintenance	05/24/2019, 00:00:00	42.62833	20.89389	Europe/Belgrade	XK
average	04/07/2013, 00:00:00	31.71667	73.38333	Asia/Karachi	PK
average	10/18/2021, 00:00:00	0.49113	29.47306	Africa/Lubumbashi	CD
excellent	11/09/2019, 00:00:00	18.51957	73.85535	Asia/Kolkata	IN
accep	23 Apr 2018	-1.6	103.61667	Asia/Jakarta	ID
average	04/18/2022, 00:00:00	50.23019	8.77155	Europe/Berlin	DE
average	03 Oct 2014	-7.0981	109.3243	Asia/Jakarta	ID
accep	2015-04-18	-8.76194	-63.90389	America/Porto_Velho	BR
accep	2017/10/26	34.25	135.31667	Asia/Tokyo	JP
average	2020/03/15	53.53395	33.72798	Europe/Moscow	RU
good	2015/04/28	44.59445	11.04979	Europe/Rome	IT
excellent	10 Mar 2014	43.32393	5.4584	Europe/Paris	FR
building	18 Jan 2018	-15.21194	-75.11028	America/Lima	PE
accep	06/26/2018, 00:00:00	35.25064	-91.73625	America/Chicago	US
accep	2020/11/04	40.98894	28.67582	Europe/Istanbul	TR
excellent	02/12/2013, 00:00:00	48.8765	2.18967	Europe/Paris	FR
excellent	31 Jan 2013	57.30185	39.85331	Europe/Moscow	RU
good	22 Jul 2016	45.75279	130.57211	Asia/Shanghai	CN
building	14 Jul 2015	-23.85972	35.34722	Africa/Maputo	MZ
average	18 Feb 2022	43.32393	5.4584	Europe/Paris	FR
good	2012-10-03	40.78206	72.34424	Asia/Tashkent	UZ
good	03/11/2021, 00:00:00	36.53333	136.61667	Asia/Tokyo	JP
excellent	03/28/2022, 00:00:00	37.49223	15.07041	Europe/Rome	IT
building	2013-04-13	57.97472	33.2525	Europe/Moscow	RU
average	2013-08-25	17.94979	-94.91386	America/Mexico_City	MX
maintenance	03/21/2015, 00:00:00	37.58105	29.26639	Europe/Istanbul	TR
building	2018/08/06	-17.83333	48.41667	Indian/Antananarivo	MG
average	2016/02/20	13.44581	101.18445	Asia/Bangkok	TH
average	2013-03-13	33.86419	48.26258	Asia/Tehran	IR
building	03 Aug 2016	-2.13404	-79.59415	America/Guayaquil	EC
good	26 Oct 2013	3.31332	117.59152	Asia/Makassar	ID
average	22 Sep 2020	13.8196	100.04427	Asia/Bangkok	TH
excellent	02/10/2019, 00:00:00	41.55947	14.66737	Europe/Rome	IT
accep	2019/11/23	35.50056	117.63083	Asia/Shanghai	CN
excellent	2013-03-16	-37.88333	145.06667	Australia/Melbourne	AU
average	12/25/2016, 00:00:00	-22.92306	-53.13722	America/Sao_Paulo	BR
building	12/21/2016, 00:00:00	42.64685	-5.55835	Europe/Madrid	ES
good	01/20/2013, 00:00:00	51.39148	-0.29825	Europe/London	GB
average	2017-09-03	2.41669	30.98551	Africa/Kampala	UG
maintenance	2020/10/12	19.30157	72.85107	Asia/Kolkata	IN
maintenance	2019-10-08	6.84019	79.87116	Asia/Colombo	LK
maintenance	2020-08-30	42.7	27.25	Europe/Sofia	BG
accep	2021-10-17	40.70995	0.57856	Europe/Madrid	ES
excellent	2013-11-13	41.9001	-71.08977	America/New_York	US
maintenance	2013-10-06	50.79205	-1.08593	Europe/London	GB
building	10/30/2019, 00:00:00	44.75874	19.21437	Europe/Sarajevo	BA
good	30 Apr 2016	18.51957	73.85535	Asia/Kolkata	IN
accep	2018-06-22	60.97944	76.92421	Asia/Yekaterinburg	RU
average	25 Oct 2012	40.82232	-74.15987	America/New_York	US
excellent	2015/05/05	43.86682	-79.2663	America/Toronto	CA
excellent	17 Jun 2022	43.32393	5.4584	Europe/Paris	FR
average	07 Nov 2016	-23.7975	-48.59278	America/Sao_Paulo	BR
accep	2015/11/27	-4.16694	-40.7475	America/Fortaleza	BR
excellent	09/12/2019, 00:00:00	35.06667	135.21667	Asia/Tokyo	JP
good	06/03/2020, 00:00:00	33.41012	-91.06177	America/Chicago	US
good	05 Feb 2020	3.31332	117.59152	Asia/Makassar	ID
accep	2015-04-16	30.24706	115.04814	Asia/Shanghai	CN
good	16 Aug 2014	46.7055	38.2739	Europe/Moscow	RU
accep	12/12/2016, 00:00:00	46.65581	32.6178	Europe/Kiev	UA
excellent	2020/01/22	45.53929	-122.38731	America/Los_Angeles	US
excellent	27 Feb 2018	43.41949	77.0202	Asia/Almaty	KZ
maintenance	05/05/2013, 00:00:00	45.4473	-73.75335	America/Toronto	CA
excellent	31 Aug 2022	57.47908	-4.22398	Europe/London	GB
accep	2016-02-16	-37.88333	145.06667	Australia/Melbourne	AU
excellent	2022-05-24	21.59983	71.21169	Asia/Kolkata	IN
average	07/30/2018, 00:00:00	47.83333	59.6	Asia/Aqtobe	KZ
good	2013-09-10	35.48199	137.02166	Asia/Tokyo	JP
building	2015/04/28	33.37526	74.3092	Asia/Kolkata	IN
good	2020-04-08	24.28859	116.11768	Asia/Shanghai	CN
accep	08 Jun 2017	50.75	2.25	Europe/Paris	FR
average	03/22/2015, 00:00:00	45.44694	8.62118	Europe/Rome	IT
good	07/30/2019, 00:00:00	25.92127	86.79271	Asia/Kolkata	IN
good	2021/03/24	45.9836	12.70038	Europe/Rome	IT
good	03 Dec 2013	45.44694	8.62118	Europe/Rome	IT
good	2021/06/08	48.15659	28.28489	Europe/Chisinau	MD
average	2021/06/03	-4.24444	-42.29444	America/Fortaleza	BR
average	2015-07-03	37.56667	140.11667	Asia/Tokyo	JP
accep	01/15/2022, 00:00:00	32.61603	44.02488	Asia/Baghdad	IQ
good	10/01/2017, 00:00:00	38.58894	-89.99038	America/Chicago	US
good	2016/04/23	44.92934	37.99117	Europe/Moscow	RU
accep	18 Apr 2013	37.31065	13.57661	Europe/Rome	IT
accep	06/13/2015, 00:00:00	40.56754	-89.64066	America/Chicago	US
maintenance	08/27/2013, 00:00:00	-22.57306	-47.1725	America/Sao_Paulo	BR
accep	01/09/2019, 00:00:00	35.05266	-78.87836	America/New_York	US
accep	09/25/2019, 00:00:00	-32.45242	-71.23106	America/Santiago	CL
maintenance	2017/09/05	20.22816	-103.5687	America/Mexico_City	MX
excellent	05 Jan 2017	-8.05389	-34.88111	America/Recife	BR
maintenance	2019-02-21	45.69558	4.7934	Europe/Paris	FR
building	08/16/2016, 00:00:00	36.19278	117.65694	Asia/Shanghai	CN
accep	11/12/2016, 00:00:00	27.92333	118.53333	Asia/Shanghai	CN
good	05/24/2019, 00:00:00	-31.95224	115.8614	Australia/Perth	AU
accep	2013/11/04	65.84811	24.14662	Europe/Helsinki	FI
good	2021/04/02	47.92526	-97.03285	America/Chicago	US
average	01/05/2016, 00:00:00	45.35	126.28333	Asia/Shanghai	CN
average	2019-03-02	42.64685	-5.55835	Europe/Madrid	ES
accep	11/09/2019, 00:00:00	28.88162	120.03308	Asia/Shanghai	CN
accep	04/12/2018, 00:00:00	47.92526	-97.03285	America/Chicago	US
average	03 Nov 2013	-37.32167	-59.13316	America/Argentina/Buenos_Aires	AR
good	03/13/2017, 00:00:00	50.86079	17.4674	Europe/Warsaw	PL
accep	03/06/2015, 00:00:00	7.57944	-8.53778	Africa/Monrovia	LR
good	09 Apr 2014	9.535	-13.68778	Africa/Conakry	GN
maintenance	06/05/2020, 00:00:00	38.55632	69.01354	Asia/Dushanbe	TJ
accep	2020/09/27	45.53069	9.40531	Europe/Rome	IT
maintenance	2022/02/10	26.68451	-80.66756	America/New_York	US
average	2017-05-20	36.53333	136.61667	Asia/Tokyo	JP
excellent	2019-11-03	43.31667	-2.68333	Europe/Madrid	ES
average	2017-01-01	50.71229	4.52529	Europe/Brussels	BE
good	2015-02-02	-54.8	-68.3	America/Argentina/Ushuaia	AR
good	2020-07-14	48.8222	2.12213	Europe/Paris	FR
good	30 Sep 2014	41.14676	-73.49484	America/New_York	US
accep	05/04/2019, 00:00:00	28.90054	-81.26367	America/New_York	US
average	2015-10-11	27.09978	-82.45426	America/New_York	US
excellent	2013-09-25	37.51803	15.00913	Europe/Rome	IT
average	24 Dec 2016	54.90083	38.07083	Europe/Moscow	RU
excellent	2015/02/23	12.35275	121.06761	Asia/Manila	PH
maintenance	01 Jul 2013	18.00747	-76.78319	America/Jamaica	JM
acceptable	28 Aug 2018	65.84811	24.14662	Europe/Helsinki	FI
accep	11/05/2014, 00:00:00	28.88162	120.03308	Asia/Shanghai	CN
accep	2015-04-26	-6.48167	106.85417	Asia/Jakarta	ID
maitennce	09 Mar 2020	-4.5833	15.16554	Africa/Kinshasa	CD
building	2021/10/15	-27.76952	30.79165	Africa/Johannesburg	ZA
average	2013-06-26	40.72586	8.55552	Europe/Rome	IT
accep	10 Oct 2014	39.57582	-105.11221	America/Denver	US
accep	2020-05-01	50.23805	8.86704	Europe/Berlin	DE
average	2019-10-29	42.4251	-71.06616	America/New_York	US
excellent	23 Oct 2018	10.7375	122.9666	Asia/Manila	PH
good	2017/11/22	36.20829	-115.98391	America/Los_Angeles	US
accep	26 May 2020	54.03876	43.91385	Europe/Moscow	RU
good	04/28/2014, 00:00:00	13.56667	-15.6	Africa/Banjul	GM
excellent	01 Mar 2016	9.89206	43.38531	Africa/Mogadishu	SO
accep	2020/01/30	6.45407	3.39467	Africa/Lagos	NG
accep	2015/12/17	55.75556	60.70278	Asia/Yekaterinburg	RU
building	14 Oct 2012	8.79577	-75.69947	America/Bogota	CO
accep	2014/09/18	22.98212	-80.58556	America/Havana	CU
good	19 Feb 2021	14.8361	120.97844	Asia/Manila	PH
excellent	09/22/2016, 00:00:00	43.35071	46.10925	Europe/Moscow	RU
accep	08/26/2020, 00:00:00	41.27194	123.17306	Asia/Shanghai	CN
building	02/14/2016, 00:00:00	26.11527	86.59509	Asia/Kolkata	IN
good	2020/10/16	-25.42944	-50.00639	America/Sao_Paulo	BR
average	09/12/2015, 00:00:00	34.4833	136.84186	Asia/Tokyo	JP
average	25 Feb 2013	-6.25	38.66667	Africa/Dar_es_Salaam	TZ
average	12 Jul 2017	44.27804	-88.27205	America/Chicago	US
maintenance	12/27/2018, 00:00:00	27.85	112.9	Asia/Shanghai	CN
excellent	25 Dec 2015	37.65181	120.33063	Asia/Shanghai	CN
excellent	11/02/2012, 00:00:00	-22.45667	-47.53028	America/Sao_Paulo	BR
maintenance	2014-05-03	6.25947	102.05461	Asia/Bangkok	TH
excellent	05/26/2019, 00:00:00	5.20856	-74.73584	America/Bogota	CO
excellent	18 Jul 2013	41.24255	-82.61573	America/New_York	US
good	2014-01-03	40.72816	-74.07764	America/New_York	US
building	05 Apr 2019	-21.41222	-42.19667	America/Sao_Paulo	BR
good	2014-05-09	48.98333	2.61667	Europe/Paris	FR
excellent	2020/06/12	55.8736	85.4265	Asia/Novokuznetsk	RU
excellent	11 Jun 2020	49.5099	6.74549	Europe/Berlin	DE
excellent	2021-03-02	-15.675	-38.94722	America/Bahia	BR
maintenance	05 Feb 2013	35.8	137.23333	Asia/Tokyo	JP
maintenance	09/24/2016, 00:00:00	-8.28333	-35.03333	America/Recife	BR
average	2013-03-12	27.71809	-82.35176	America/New_York	US
accep	03/02/2020, 00:00:00	31.78336	35.23388	Asia/Hebron	PS
maintenance	14 Jun 2017	38.96372	-76.99081	America/New_York	US
average	2021-12-14	26.44931	91.61356	Asia/Kolkata	IN
average	02/19/2022, 00:00:00	37.51803	15.00913	Europe/Rome	IT
average	2015-05-31	-1.6	103.61667	Asia/Jakarta	ID
excellent	2014-05-09	51.168	7.973	Europe/Berlin	DE
building	03 May 2020	40.65995	-111.99633	America/Denver	US
excellent	09/18/2021, 00:00:00	42.4251	-71.06616	America/New_York	US
excellent	2014/06/25	51.24197	4.82313	Europe/Brussels	BE
good	2021/04/22	38.37255	34.02537	Europe/Istanbul	TR
good	2016-09-08	-20.87306	-48.29694	America/Sao_Paulo	BR
accep	06/07/2013, 00:00:00	5.30383	-1.98956	Africa/Accra	GH
excellent	2013-08-26	9.82564	78.25795	Asia/Kolkata	IN
good	2013-07-23	30.21121	74.4818	Asia/Kolkata	IN
accep	07/10/2015, 00:00:00	43.11667	1.6	Europe/Paris	FR
good	04/10/2019, 00:00:00	36.19278	117.65694	Asia/Shanghai	CN
maintenance	2016/05/08	50.82882	-0.32247	Europe/London	GB
accep	2018-02-21	39.72943	-104.83192	America/Denver	US
good	2017-05-30	6.03333	37.55	Africa/Addis_Ababa	ET
good	2017/03/05	53.00974	-3.05814	Europe/London	GB
accep	03 Nov 2015	3.11988	35.59642	Africa/Nairobi	KE
excellent	02 May 2018	47.76232	-122.2054	America/Los_Angeles	US
average	16 May 2018	41.09822	120.74792	Asia/Shanghai	CN
good	2022-08-05	45.69558	4.7934	Europe/Paris	FR
accep	2015-07-18	37.05944	37.3825	Europe/Istanbul	TR
good	15 Apr 2014	37.51803	15.00913	Europe/Rome	IT
good	2018/05/23	34.65918	109.22921	Asia/Shanghai	CN
average	2017/02/13	52.86147	9.5926	Europe/Berlin	DE
excellent	12/17/2014, 00:00:00	12.37169	123.62494	Asia/Manila	PH
average	08/05/2016, 00:00:00	50.74497	3.20639	Europe/Brussels	BE
accep	05/06/2013, 00:00:00	41.09246	45.36561	Asia/Baku	AZ
average	02/09/2020, 00:00:00	25.92493	73.66633	Asia/Kolkata	IN
excellent	2020/09/14	-17.73648	168.31366	Pacific/Efate	VU
excellent	11 May 2020	48.8449	17.22635	Europe/Bratislava	SK
good	18 Sep 2015	56.11281	69.49015	Asia/Yekaterinburg	RU
average	2017/05/23	33.4425	129.96972	Asia/Tokyo	JP
accep	01/22/2016, 00:00:00	27.34089	117.4831	Asia/Shanghai	CN
good	09/13/2019, 00:00:00	33.37526	74.3092	Asia/Kolkata	IN
good	2015/10/29	52.26083	7.00417	Europe/Amsterdam	NL
building	06 Aug 2016	8.48714	-13.2356	Africa/Freetown	SL
excellent	05/23/2022, 00:00:00	42.62833	20.89389	Europe/Belgrade	XK
building	04/11/2021, 00:00:00	31.39547	34.75699	Asia/Jerusalem	IL
excellent	2018-03-25	7.57944	-8.53778	Africa/Monrovia	LR
accep	2018-10-24	26.32293	91.00632	Asia/Kolkata	IN
average	2022/02/22	10.15031	-73.9614	America/Bogota	CO
accep	06 Jun 2022	42.58342	-71.8023	America/New_York	US
building	2012-11-06	45.49428	-122.86705	America/Los_Angeles	US
accep	2015/02/14	4.92675	6.26764	Africa/Lagos	NG
accep	2016/06/20	23.02677	113.13148	Asia/Shanghai	CN
good	15 Feb 2015	56.85836	35.90057	Europe/Moscow	RU
building	2020-06-13	32.87533	71.57118	Asia/Karachi	PK
accep	06/04/2022, 00:00:00	20.28527	-103.42897	America/Mexico_City	MX
average	19 Jan 2017	44.59445	11.04979	Europe/Rome	IT
building	2018-02-25	41.77583	140.73667	Asia/Tokyo	JP
accep	2015-01-29	6.8485	3.64633	Africa/Lagos	NG
good	2016/12/03	25.95533	68.88871	Asia/Karachi	PK
excellent	2016/04/26	10.31672	123.89071	Asia/Manila	PH
good	26 May 2013	27.09978	-82.45426	America/New_York	US
good	2019/09/17	37.65639	126.835	Asia/Seoul	KR
average	2012/12/25	49.88307	-119.48568	America/Vancouver	CA
average	2018-07-16	-20.87306	-48.29694	America/Sao_Paulo	BR
excellent	2020-10-28	26.91756	-82.07842	America/New_York	US
excellent	2015/06/10	5.84752	-5.682	Africa/Abidjan	CI
maintenance	03 May 2016	48	-4.1	Europe/Paris	FR
accep	2016-08-13	41.75338	-86.11084	America/Indiana/Indianapolis	US
maintenance	2018/08/30	4.92675	6.26764	Africa/Lagos	NG
average	13 Jun 2015	56.56317	-2.58736	Europe/London	GB
excellent	2021/05/24	31.82539	72.54064	Asia/Karachi	PK
excellent	09/09/2020, 00:00:00	-37.88333	145.06667	Australia/Melbourne	AU
excellent	19 Aug 2013	3.31332	117.59152	Asia/Makassar	ID
excellent	03/21/2022, 00:00:00	38.96372	-76.99081	America/New_York	US
average	2018/04/06	32.05971	34.8732	Asia/Jerusalem	IL
excellent	11 Jan 2013	4.2475	9.00472	Africa/Douala	CM
good	2013-12-03	10.98778	-74.95472	America/Bogota	CO
accep	17 Dec 2021	34.25807	-88.70464	America/Chicago	US
