latitude	longitude	QoS	code	location	revision
22.37066	114.10479	average	HK	Asia/Hong_Kong	18 Jun 2020
37.52487	-77.55777	accep	US	America/New_York	13 May 2013
48.79325	2.29275	building	FR	Europe/Paris	2021/09/15
39.08367	-84.50855	good	US	America/New_York	03 Feb 2013
37.56667	140.11667	average	JP	Asia/Tokyo	2016/09/27
54.58048	16.86194	excellent	PL	Europe/Warsaw	2019/03/19
34.08565	74.80555	good	IN	Asia/Kolkata	15 Dec 2014
15.46063	99.89166	accep	TH	Asia/Bangkok	10 Mar 2015
23.1959	86.51499	excellent	IN	Asia/Kolkata	21 Nov 2021
53.16167	6.76111	average	NL	Europe/Amsterdam	2016/05/18
7.06273	-1.4001	average	GH	Africa/Accra	2021-08-01
45.47885	133.42825	average	RU	Asia/Vladivostok	07 Jul 2013
12.37169	123.62494	building	PH	Asia/Manila	06 Jul 2015
38.54491	-121.74052	good	US	America/Los_Angeles	08/18/2013, 00:00:00
12.25282	79.41727	excellent	IN	Asia/Kolkata	07/18/2016, 00:00:00
5.27247	-3.59625	accep	CI	Africa/Abidjan	2018-02-06
57.47908	-4.22398	good	GB	Europe/London	08/07/2013, 00:00:00
43.1122	12.38878	average	IT	Europe/Rome	2020/10/28
23.0072	-82.4017	excellent	CU	America/Havana	01 Jul 2015
-7.0981	109.3243	average	ID	Asia/Jakarta	05/27/2015, 00:00:00
48.73218	11.18709	excellent	DE	Europe/Berlin	2013-07-25
39.43534	-84.20299	average	US	America/New_York	10/16/2017, 00:00:00
-33.79176	151.08057	maitennce	AU	Australia/Sydney	07/29/2020, 00:00:00
18.00747	-76.78319	accep	JM	America/Jamaica	2021/04/21
33.37526	74.3092	average	IN	Asia/Kolkata	04/11/2016, 00:00:00
30.46907	70.96699	building	PK	Asia/Karachi	05/26/2018, 00:00:00
7.62789	4.74161	good	NG	Africa/Lagos	2017/07/26
44.43579	26.01649	excellent	RO	Europe/Bucharest	2015-07-24
11.86064	9.0027	excellent	NG	Africa/Lagos	06 Jun 2018
28.88162	120.03308	accep	CN	Asia/Shanghai	12 Apr 2022
22.4711	88.1453	building	IN	Asia/Kolkata	06/28/2016, 00:00:00
43.62558	13.39954	accep	IT	Europe/Rome	2014-12-16
54.39635	24.04142	accep	LT	Europe/Vilnius	2014/10/14
53.49389	-1.29243	average	GB	Europe/London	04/01/2020, 00:00:00
12.18441	18.69303	excellent	TD	Africa/Ndjamena	06/22/2019, 00:00:00
51.82721	107.60627	average	RU	Asia/Irkutsk	11 Sep 2019
48.21644	9.02596	good	DE	Europe/Berlin	06/04/2015, 00:00:00
27.71809	-82.35176	average	US	America/New_York	04 Jul 2018
36.75965	137.36215	good	JP	Asia/Tokyo	2015/08/20
8.43333	99.96667	excellent	TH	Asia/Bangkok	2016/01/07
-0.71667	-48.52333	excellent	BR	America/Belem	2018-05-21
15.45144	78.14797	average	IN	Asia/Kolkata	2017/11/02
52.26083	7.00417	average	NL	Europe/Amsterdam	2021-02-23
41.55838	-81.56929	excellent	US	America/New_York	2018-10-23
37.73604	-120.93549	excellent	US	America/Los_Angeles	2022-08-07
50.79205	-1.08593	average	GB	Europe/London	01/14/2017, 00:00:00
52.09	5.23333	building	NL	Europe/Amsterdam	2017/07/19
-8.05389	-34.88111	good	BR	America/Recife	04/26/2017, 00:00:00
27.9247	78.40102	accep	IN	Asia/Kolkata	01/24/2022, 00:00:00
42.4251	-71.06616	average	US	America/New_York	08 Jan 2013
-23.44361	-51.87389	good	BR	America/Sao_Paulo	20 Nov 2018
38.55632	69.01354	building	TJ	Asia/Dushanbe	2018/12/23
17.94979	-94.91386	good	MX	America/Mexico_City	2021-10-13
-54.8	-68.3	good	AR	America/Argentina/Ushuaia	2018/11/03
39.32288	-76.72803	good	US	America/New_York	28 Nov 2014
21.28306	-89.66123	maintenance	MX	America/Merida	2013-02-28
38.54491	-121.74052	good	US	America/Los_Angeles	19 Jul 2018
-7.01833	107.60389	good	ID	Asia/Jakarta	2014/08/03
43.2907	5.4384	average	FR	Europe/Paris	05 Feb 2020
52.53048	13.29371	average	DE	Europe/Berlin	2018/06/12
8.62261	-70.20749	building	VE	America/Caracas	2015/02/02
51.40944	46.04833	excellent	RU	Europe/Saratov	09/25/2015, 00:00:00
42.93369	-72.27814	accep	US	America/New_York	2015/02/21
41.50343	-74.01042	maintenance	US	America/New_York	2013/12/30
45.79377	8.88104	building	IT	Europe/Rome	08/21/2013, 00:00:00
52.26083	7.00417	excellent	NL	Europe/Amsterdam	20 Nov 2015
29.98869	122.20488	good	CN	Asia/Shanghai	30 Jan 2016
46.65581	32.6178	excellent	UA	Europe/Kiev	23 Sep 2015
12.74482	4.52514	average	NG	Africa/Lagos	2013-07-12
23.73333	114.68333	excellent	CN	Asia/Shanghai	11/23/2016, 00:00:00
42.55308	-87.93341	building	US	America/Chicago	2022/05/18
48.06919	11.37703	accep	DE	Europe/Berlin	04/30/2017, 00:00:00
45.44694	8.62118	average	IT	Europe/Rome	2015/06/02
32.42067	-104.22884	accep	US	America/Denver	2022/04/20
44.92934	37.99117	building	RU	Europe/Moscow	27 Sep 2018
26.68451	-80.66756	accep	US	America/New_York	2017-04-01
-4.42472	-41.45861	acceptable	BR	America/Fortaleza	2016-01-21
35.61452	-88.81395	maintenance	US	America/Chicago	06 Nov 2019
33.92866	-6.90656	excellent	MA	Africa/Casablanca	07 Mar 2018
36	139.55722	excellent	JP	Asia/Tokyo	2021/07/01
18.20854	-71.10077	average	DO	America/Santo_Domingo	2013/01/05
31.20176	29.91582	accep	EG	Africa/Cairo	2015-09-30
-1.26424	104.09701	good	ID	Asia/Jakarta	2016-07-09
-1.6	103.61667	maintenance	ID	Asia/Jakarta	06/20/2013, 00:00:00
58.23583	92.48278	excellent	RU	Asia/Krasnoyarsk	10/02/2012, 00:00:00
52.41667	0.75	good	GB	Europe/London	03 Jul 2020
14.46693	75.92694	maintenance	IN	Asia/Kolkata	2013/12/12
42.7392	-84.62081	good	US	America/Detroit	10/27/2012, 00:00:00
39.09112	-94.41551	average	US	America/Chicago	2018-12-23
-0.71667	-48.52333	accep	BR	America/Belem	2014/10/26
34.63915	-120.45794	maintenance	US	America/Los_Angeles	2017-04-07
49.97704	9.15214	average	DE	Europe/Berlin	2014-09-02
39.33427	-76.43941	maintenance	US	America/New_York	24 Jun 2016
24.81757	84.63445	excellent	IN	Asia/Kolkata	11 Oct 2018
25.6439	77.9129	good	IN	Asia/Kolkata	2014/06/27
35.61452	-88.81395	building	US	America/Chicago	26 Nov 2021
37.05944	37.3825	average	TR	Europe/Istanbul	25 Jan 2017
35.6803	51.0193	average	IR	Asia/Tehran	06/09/2021, 00:00:00
-1.63333	13.58357	building	GA	Africa/Libreville	23 Jul 2015
32.55531	76.12647	average	IN	Asia/Kolkata	31 Jan 2018
47.4943	-122.24092	accep	US	America/Los_Angeles	2019-09-17
41.9001	-71.08977	good	US	America/New_York	2013/11/26
27.09978	-82.45426	good	US	America/New_York	2016-04-03
51.955	5.22778	average	NL	Europe/Amsterdam	05/22/2016, 00:00:00
-22.9	44.53333	average	MG	Indian/Antananarivo	2016/03/21
50.75	2.25	accep	FR	Europe/Paris	2020/04/07
43.48961	-8.2194	average	ES	Europe/Madrid	27 Jul 2014
-33.59217	-70.6996	excellent	CL	America/Santiago	2013-07-15
34.8825	128.62667	good	KR	Asia/Seoul	07/07/2021, 00:00:00
11.50526	77.23826	accep	IN	Asia/Kolkata	2018-12-15
41.16704	-73.20483	excellent	US	America/New_York	2019-12-11
-10.95817	-38.79084	building	BR	America/Bahia	2021-10-12
12.18441	18.69303	excellent	TD	Africa/Ndjamena	2013-11-10
8.35122	-62.64102	average	VE	America/Caracas	2014/10/12
47.76232	-122.2054	excellent	US	America/Los_Angeles	2018-03-29
6.9909	79.883	good	LK	Asia/Colombo	2022/09/01
52.61131	13.31783	good	DE	Europe/Berlin	22 May 2015
6.46346	-2.31938	maintenance	GH	Africa/Accra	26 Dec 2017
15.48131	-86.57415	good	HN	America/Tegucigalpa	2014/01/21
43.71032	-1.05366	excellent	FR	Europe/Paris	2016/07/19
41.09822	120.74792	excellent	CN	Asia/Shanghai	02/11/2021, 00:00:00
30.75545	20.22625	excellent	LY	Africa/Tripoli	01/17/2022, 00:00:00
35.74788	-95.36969	average	US	America/Chicago	2019-11-15
-37.32167	-59.13316	average	AR	America/Argentina/Buenos_Aires	22 May 2014
55.54028	89.20083	accep	RU	Asia/Krasnoyarsk	2017-10-02
7.62789	4.74161	average	NG	Africa/Lagos	2018/10/26
31.64615	120.74221	excellent	CN	Asia/Shanghai	2013-11-02
36.76639	3.47717	excellent	DZ	Africa/Algiers	11 Oct 2018
54.03876	43.91385	average	RU	Europe/Moscow	13 Jan 2019
48.77275	5.16108	accep	FR	Europe/Paris	13 Oct 2019
40.58654	-122.39168	maintenance	US	America/Los_Angeles	28 Oct 2014
51.39323	0.47713	accep	GB	Europe/London	2021-11-01
44.80477	-0.59543	building	FR	Europe/Paris	29 Apr 2020
50.11861	-5.53715	excellent	GB	Europe/London	27 Mar 2019
-1.63333	13.58357	maintenance	GA	Africa/Libreville	2021/11/23
31.64615	120.74221	maintenance	CN	Asia/Shanghai	06/20/2016, 00:00:00
43.83125	5.03586	building	FR	Europe/Paris	29 Jan 2013
24.28859	116.11768	maintenance	CN	Asia/Shanghai	25 Apr 2017
29.21399	78.95693	maintenance	IN	Asia/Kolkata	07/30/2013, 00:00:00
42.64031	125.51176	accep	CN	Asia/Shanghai	23 Feb 2019
40.94065	-73.99681	average	US	America/New_York	05/08/2019, 00:00:00
49.41029	38.15035	accep	UA	Europe/Zaporozhye	2018-10-27
14.95472	120.89694	maintenance	PH	Asia/Manila	26 Apr 2013
53.49389	-1.29243	accep	GB	Europe/London	17 Jan 2021
41.15376	-87.88754	maintenance	US	America/Chicago	2018-11-30
27.71809	-82.35176	maintenance	US	America/New_York	02/15/2021, 00:00:00
43.1122	12.38878	good	IT	Europe/Rome	2013/09/30
52.57583	6.61944	acceptable	NL	Europe/Amsterdam	30 Dec 2018
60.18427	24.95034	excellent	FI	Europe/Helsinki	01/04/2021, 00:00:00
-33.75881	150.99292	excellent	AU	Australia/Sydney	2019/05/17
51.62907	-0.74934	accep	GB	Europe/London	2015-07-05
48.8449	17.22635	excellent	SK	Europe/Bratislava	2019-06-29
51.64316	-0.36053	average	GB	Europe/London	2016/12/08
4.73245	-74.26419	good	CO	America/Bogota	13 Apr 2013
60.18427	24.95034	good	FI	Europe/Helsinki	2018/10/09
-23.85972	35.34722	good	MZ	Africa/Maputo	2013/08/12
28.71271	77.656	average	IN	Asia/Kolkata	2020-07-07
48.15659	28.28489	excellent	MD	Europe/Chisinau	2021-03-07
33.03699	-117.29198	accep	US	America/Los_Angeles	2015/05/21
9.58126	8.2926	accep	NG	Africa/Lagos	2015/04/20
53.53333	-7.35	good	IE	Europe/Dublin	2014/10/12
-4.42472	-41.45861	building	BR	America/Fortaleza	28 Jun 2021
-14.66463	-52.35558	maintenance	BR	America/Cuiaba	18 Feb 2016
22.49396	-105.36369	accep	MX	America/Mazatlan	11/13/2020, 00:00:00
51.78967	1.15597	average	GB	Europe/London	2017-05-13
50.06	43.2379	good	RU	Europe/Volgograd	2020/01/08
-37.32167	-59.13316	good	AR	America/Argentina/Buenos_Aires	2021/06/01
37.49223	15.07041	accep	IT	Europe/Rome	09/03/2021, 00:00:00
-44.39672	171.25364	maintenance	NZ	Pacific/Auckland	26 Mar 2015
41.54566	-71.29144	average	US	America/New_York	12/05/2021, 00:00:00
47.64995	-117.23991	good	US	America/Los_Angeles	29 Nov 2016
23.02677	113.13148	accep	CN	Asia/Shanghai	2022/08/27
30.21121	74.4818	good	IN	Asia/Kolkata	2014-06-03
15.45144	78.14797	average	IN	Asia/Kolkata	2020/03/24
20.88197	85.83334	building	IN	Asia/Kolkata	2022/01/21
35.88264	-80.08199	excellent	US	America/New_York	2017/08/17
-10.33333	39.28333	average	TZ	Africa/Dar_es_Salaam	03/14/2017, 00:00:00
7.62789	4.74161	average	NG	Africa/Lagos	2012-12-27
6.25947	102.05461	average	TH	Asia/Bangkok	2021/02/21
31.64615	120.74221	excellent	CN	Asia/Shanghai	2016-08-27
27.76056	-15.58602	good	ES	Atlantic/Canary	24 Aug 2022
19.8173	-97.35992	building	MX	America/Mexico_City	2014-04-27
8.48714	-13.2356	good	SL	Africa/Freetown	06 Jul 2018
44.27804	-88.27205	maintenance	US	America/Chicago	2020-10-08
-34.64966	-58.38341	good	AR	America/Argentina/Buenos_Aires	2021-04-13
32.42067	-104.22884	accep	US	America/Denver	2019-02-16
43.4125	23.225	maintenance	BG	Europe/Sofia	02 Apr 2020
-3.74912	-73.25383	excellent	PE	America/Lima	2021/10/28
32.55531	76.12647	accep	IN	Asia/Kolkata	01/22/2016, 00:00:00
38.54491	-121.74052	good	US	America/Los_Angeles	29 Dec 2019
61.78491	34.34691	average	RU	Europe/Moscow	03/15/2017, 00:00:00
-6.25	38.66667	accep	TZ	Africa/Dar_es_Salaam	2018-11-30
-20.88231	55.4504	building	RE	Indian/Reunion	2017/08/01
52.47774	10.5511	excellent	DE	Europe/Berlin	04 Mar 2013
51.21187	4.25633	average	BE	Europe/Brussels	10 Feb 2021
10.20898	123.758	good	PH	Asia/Manila	2015/05/29
50.56149	4.69889	excellent	BE	Europe/Brussels	01/04/2017, 00:00:00
-1.9487	30.4347	good	RW	Africa/Kigali	2020-12-09
23.1959	86.51499	average	IN	Asia/Kolkata	07 Jan 2018
36.61033	-88.31476	excellent	US	America/Chicago	2021/12/17
-0.71667	-48.52333	maintenance	BR	America/Belem	2017/10/24
52.48173	-2.12139	good	GB	Europe/London	01/08/2022, 00:00:00
48.79325	2.29275	average	FR	Europe/Paris	01 Sep 2017
37.73604	-120.93549	building	US	America/Los_Angeles	2016-09-25
-33.88096	151.07986	excellent	AU	Australia/Sydney	2020/04/16
14.53767	46.83187	excellent	YE	Asia/Aden	2013-01-11
36.08497	9.37082	good	TN	Africa/Tunis	2021-07-14
30.75545	20.22625	excellent	LY	Africa/Tripoli	2013/07/02
-27.76952	30.79165	average	ZA	Africa/Johannesburg	10/19/2012, 00:00:00
-21.98333	16.91667	maintenance	NA	Africa/Windhoek	20 Sep 2017
36.64852	51.49621	average	IR	Asia/Tehran	08 Mar 2014
53.7446	-0.33525	average	GB	Europe/London	07 Aug 2013
65.84811	24.14662	building	FI	Europe/Helsinki	2017-04-09
40.2737	-76.88442	accep	US	America/New_York	04 Apr 2013
48	-4.1	accep	FR	Europe/Paris	2017-05-21
33.52253	-117.70755	maintenance	US	America/Los_Angeles	12/07/2012, 00:00:00
56.56317	-2.58736	accep	GB	Europe/London	23 Jan 2014
23.1959	86.51499	average	IN	Asia/Kolkata	12/13/2014, 00:00:00
31.28092	74.85849	building	IN	Asia/Kolkata	2018/05/04
18.20854	-71.10077	average	DO	America/Santo_Domingo	20 Jul 2014
38.54491	-121.74052	excellent	US	America/Los_Angeles	10 Aug 2022
41.55838	-81.56929	maintenance	US	America/New_York	2018/02/23
48.49144	9.20427	excellent	DE	Europe/Berlin	24 Feb 2016
60.97944	76.92421	good	RU	Asia/Yekaterinburg	2019/12/29
33.7207	-116.21677	excellent	US	America/Los_Angeles	03/06/2018, 00:00:00
3.27833	32.88667	excellent	UG	Africa/Kampala	08/24/2020, 00:00:00
40.92298	14.30935	excellent	IT	Europe/Rome	30 Oct 2020
12.25282	79.41727	excellent	IN	Asia/Kolkata	2015-09-19
41.55838	-81.56929	excellent	US	America/New_York	2020-05-28
-2.68333	33	average	TZ	Africa/Dar_es_Salaam	07/19/2021, 00:00:00
53.43333	-7.95	good	IE	Europe/Dublin	26 Jul 2020
13.56667	-15.6	accep	GM	Africa/Banjul	03/29/2022, 00:00:00
34.86472	117.55417	average	CN	Asia/Shanghai	2019/03/16
52.4089	31.3237	maintenance	BY	Europe/Minsk	2021/10/06
14.93333	-91.11667	excellent	GT	America/Guatemala	09/09/2013, 00:00:00
-33.59217	-70.6996	average	CL	America/Santiago	2014/01/24
51.26	-2.1875	good	GB	Europe/London	2019/06/20
-14.66463	-52.35558	maintenance	BR	America/Cuiaba	2014-07-12
24.81757	84.63445	good	IN	Asia/Kolkata	2019/08/05
51.47805	6.8625	excellent	DE	Europe/Berlin	03/30/2014, 00:00:00
5.90702	116.10146	accep	MY	Asia/Kuching	2018-09-29
40.65538	-74.38987	accep	US	America/New_York	2014/07/29
9.6531	124.3697	building	PH	Asia/Manila	01/03/2021, 00:00:00
52.21099	7.02238	good	DE	Europe/Berlin	12 Jul 2019
34.31	-2.16	good	MA	Africa/Casablanca	2020-05-09
52.86147	9.5926	excellent	DE	Europe/Berlin	30 Apr 2020
56.11281	69.49015	accep	RU	Asia/Yekaterinburg	2013-04-18
36.19278	117.65694	average	CN	Asia/Shanghai	04/13/2013, 00:00:00
41.9001	-71.08977	average	US	America/New_York	2017-03-22
43.67681	4.63031	excellent	FR	Europe/Paris	2020-05-29
27.76056	-15.58602	good	ES	Atlantic/Canary	2020-11-11
25.87498	86.59611	maintenance	IN	Asia/Kolkata	2022-02-06
51.955	5.22778	good	NL	Europe/Amsterdam	12/27/2019, 00:00:00
1.6	103.81667	maintenance	MY	Asia/Kuala_Lumpur	10/01/2012, 00:00:00
31.76212	-95.63079	accep	US	America/Chicago	2015-07-19
43.67681	4.63031	maintenance	FR	Europe/Paris	01/29/2017, 00:00:00
42.55308	-87.93341	average	US	America/Chicago	06 Oct 2013
35.6803	51.0193	average	IR	Asia/Tehran	12/13/2018, 00:00:00
29.38242	70.91106	accep	PK	Asia/Karachi	17 Dec 2018
9.82564	78.25795	good	IN	Asia/Kolkata	05 Apr 2017
-21.44345	-65.71875	excellent	BO	America/La_Paz	2015/02/06
18.57677	-72.22625	maitennce	HT	America/Port-au-Prince	2022/08/28
45.75279	130.57211	accep	CN	Asia/Shanghai	08 Feb 2020
51.03427	5.37429	average	BE	Europe/Brussels	2016/07/18
39.00622	-77.4286	good	US	America/New_York	2015/05/19
34.86472	117.55417	average	CN	Asia/Shanghai	27 Dec 2013
41.66394	-83.55521	accep	US	America/New_York	2014/05/20
26.11527	86.59509	accep	IN	Asia/Kolkata	2021/11/28
53.59337	9.47629	excellent	DE	Europe/Berlin	06/23/2013, 00:00:00
47.90771	106.88324	maintenance	MN	Asia/Ulaanbaatar	2017/10/21
50.64336	7.2278	good	DE	Europe/Berlin	08/02/2019, 00:00:00
-4.24444	-42.29444	maintenance	BR	America/Fortaleza	04/01/2022, 00:00:00
15.45144	78.14797	good	IN	Asia/Kolkata	2016/01/23
23.04419	-82.00919	building	CU	America/Havana	01/15/2022, 00:00:00
45.73333	4.91667	accep	FR	Europe/Paris	09/13/2021, 00:00:00
11.86064	9.0027	building	NG	Africa/Lagos	25 Jan 2022
6.33444	124.95278	accep	PH	Asia/Manila	16 Jun 2019
15.79408	104.1451	building	TH	Asia/Bangkok	2020-07-15
40.67705	-73.89125	excellent	US	America/New_York	01/16/2020, 00:00:00
-22.92306	-53.13722	accep	BR	America/Sao_Paulo	01/07/2018, 00:00:00
21.01858	-101.2591	accep	MX	America/Mexico_City	2020/07/14
12.37169	123.62494	good	PH	Asia/Manila	24 Dec 2018
25.66795	85.83636	excellent	IN	Asia/Kolkata	08/27/2019, 00:00:00
19.32932	-98.1664	accep	MX	America/Mexico_City	2017/05/06
-31.25033	-61.4867	average	AR	America/Argentina/Cordoba	2018-07-22
44.92934	37.99117	excellent	RU	Europe/Moscow	2021/02/14
-37.32167	-59.13316	good	AR	America/Argentina/Buenos_Aires	08 Nov 2012
45.49428	-122.86705	average	US	America/Los_Angeles	2012-12-08
51.40944	46.04833	accep	RU	Europe/Saratov	2019/07/05
39.57582	-105.11221	excellent	US	America/Denver	16 Jul 2021
30.75545	20.22625	accep	LY	Africa/Tripoli	02/05/2013, 00:00:00
41.47892	-87.45476	building	US	America/Chicago	2015-04-26
9.15093	-79.62098	good	PA	America/Panama	08 Jul 2018
47.05	15.46667	maintenance	AT	Europe/Vienna	17 Sep 2013
34.25628	-78.04471	good	US	America/New_York	09/08/2017, 00:00:00
26.44931	91.61356	good	IN	Asia/Kolkata	2013/11/09
40.94065	-73.99681	accep	US	America/New_York	2013/02/26
43.16547	-77.70066	maintenance	US	America/New_York	2020/09/01
18.18158	76.03889	good	IN	Asia/Kolkata	05/27/2017, 00:00:00
27.55898	68.21204	excellent	PK	Asia/Karachi	2021-12-09
-1.26424	104.09701	excellent	ID	Asia/Jakarta	2020-09-11
60.97944	76.92421	excellent	RU	Asia/Yekaterinburg	2022-09-10
-23.85972	35.34722	average	MZ	Africa/Maputo	10/16/2013, 00:00:00
47.38093	-122.23484	building	US	America/Los_Angeles	05/02/2013, 00:00:00
11.00599	77.5609	excellent	IN	Asia/Kolkata	08/01/2018, 00:00:00
26.67319	31.4976	good	EG	Africa/Cairo	2016/02/18
42.16808	-88.42814	accep	US	America/Chicago	2017/07/25
-8.73508	24.99798	excellent	CD	Africa/Lubumbashi	12/12/2019, 00:00:00
27.34089	117.4831	good	CN	Asia/Shanghai	10/29/2019, 00:00:00
39.59611	27.02444	accep	TR	Europe/Istanbul	05/06/2014, 00:00:00
37.31065	13.57661	average	IT	Europe/Rome	09 Mar 2015
50.75932	25.34244	good	UA	Europe/Kiev	2020-01-12
19.04222	-98.11889	average	MX	America/Mexico_City	08/30/2016, 00:00:00
44.92934	37.99117	maintenance	RU	Europe/Moscow	12/04/2017, 00:00:00
41.82143	41.77921	good	GE	Asia/Tbilisi	2020/08/20
-7.57897	112.23109	good	ID	Asia/Jakarta	2017-12-24
29.65163	-82.32483	average	US	America/New_York	2014/07/17
51.67822	33.9162	building	UA	Europe/Kiev	06/10/2016, 00:00:00
48.98994	2.1699	building	FR	Europe/Paris	2022/08/20
46.08333	122.08333	excellent	CN	Asia/Shanghai	2021/04/15
50.8	3.16667	average	BE	Europe/Brussels	05/05/2017, 00:00:00
26.91756	-82.07842	accep	US	America/New_York	09 Sep 2018
51.35084	-1.99421	accep	GB	Europe/London	2019/04/28
13.51825	99.95469	maintenance	TH	Asia/Bangkok	2022-07-05
36.76775	2.95924	average	DZ	Africa/Algiers	2012-12-15
21.28306	-89.66123	maintenance	MX	America/Merida	06/13/2016, 00:00:00
1.6	103.81667	excellent	MY	Asia/Kuala_Lumpur	2014-05-30
10.22677	-67.33122	accep	VE	America/Caracas	02 Mar 2016
51.78771	56.36091	maintenance	RU	Asia/Yekaterinburg	2018/08/05
0.46005	34.11169	building	KE	Africa/Nairobi	21 Dec 2012
10.66668	-61.51889	accep	TT	America/Port_of_Spain	2019-08-04
55.75556	60.70278	accep	RU	Asia/Yekaterinburg	2016/09/28
26.32293	91.00632	good	IN	Asia/Kolkata	2016/07/03
5.4709	100.24529	building	MY	Asia/Kuala_Lumpur	29 Mar 2017
33.50921	-111.89903	accep	US	America/Phoenix	2020/10/03
1.6	103.81667	accep	MY	Asia/Kuala_Lumpur	25 Jan 2015
6.15038	6.83042	good	NG	Africa/Lagos	2014-11-12
25.87972	-97.50417	accep	MX	America/Matamoros	06/01/2017, 00:00:00
55.1904	30.2049	maintenance	BY	Europe/Minsk	2016/03/21
41.27194	123.17306	good	CN	Asia/Shanghai	12/02/2020, 00:00:00
30.35028	112.19028	average	CN	Asia/Shanghai	23 Jul 2015
12.37169	123.62494	good	PH	Asia/Manila	05/31/2014, 00:00:00
-4.42472	-41.45861	maintenance	BR	America/Fortaleza	11/16/2017, 00:00:00
0.46005	34.11169	building	KE	Africa/Nairobi	03 Jul 2018
38.13708	41.00817	maintenance	TR	Europe/Istanbul	10 Jun 2022
-2.13404	-79.59415	maintenance	EC	America/Guayaquil	2016-03-06
41.82143	41.77921	good	GE	Asia/Tbilisi	07/09/2018, 00:00:00
41.85059	-87.882	excellent	US	America/Chicago	2015/03/08
13.70167	-89.10944	average	SV	America/El_Salvador	2016-07-09
9.3337	122.8637	accep	PH	Asia/Manila	01/25/2018, 00:00:00
45.44694	8.62118	accep	IT	Europe/Rome	2018/06/12
53.83333	-2.98333	good	GB	Europe/London	08 Mar 2014
52.31333	6.92917	accep	NL	Europe/Amsterdam	05/16/2019, 00:00:00
