location	longitude	QoS	revision	code	latitude
America/Tegucigalpa	-86.57415	accep	06/07/2022, 00:00:00	HN	15.48131
America/New_York	-74.01042	maintenance	2015-05-31	US	41.50343
Europe/London	-0.74934	average	13 Jan 2022	GB	51.62907
Africa/Addis_Ababa	38.01667	good	04/23/2013, 00:00:00	ET	11.85
Europe/Chisinau	28.28489	good	2014-06-08	MD	48.15659
America/Maceio	-37.07167	average	27 Sep 2014	BR	-10.91111
Europe/Paris	2.2469	average	2014/08/29	FR	48.90472
Asia/Aqtobe	59.6	accep	2021-05-23	KZ	47.83333
Europe/Moscow	36.73307	good	2018/08/15	RU	55.38752
America/Chicago	-88.27205	maintenance	09 Dec 2016	US	44.27804
America/Los_Angeles	-116.97725	excellent	28 Mar 2016	US	33.92946
Europe/Moscow	37.92792	good	11/05/2017, 00:00:00	RU	53.93361
America/Argentina/Buenos_Aires	-60.47389	average	2013/06/02	AR	-34.64167
Africa/Mogadishu	43.38531	maintenance	2013/05/17	SO	9.89206
America/Los_Angeles	-117.29198	accep	2016/10/06	US	33.03699
America/Sao_Paulo	-52.67056	excellent	2020-11-02	BR	-26.22861
Asia/Kolkata	84.13864	excellent	2019-06-05	IN	22.88783
Asia/Kolkata	74.83554	accep	22 Aug 2018	IN	14.62072
America/Sao_Paulo	-43.80139	good	2017/03/27	BR	-20.25333
Asia/Seoul	126.665	excellent	10/27/2014, 00:00:00	KR	36.6009
Europe/London	1.15597	excellent	02 Feb 2020	GB	51.78967
Europe/Bratislava	17.22635	average	2021/03/21	SK	48.8449
America/Chicago	-93.12577	building	2015/07/22	US	44.73941
Europe/Moscow	35.96944	excellent	05/14/2020, 00:00:00	RU	56.03361
Europe/Berlin	9.85	average	09/10/2016, 00:00:00	DE	53.63333
Europe/Amsterdam	6.92917	good	2018-03-06	NL	52.31333
Africa/Nairobi	35.59642	building	01 Jun 2013	KE	3.11988
Europe/Paris	1.6	good	2015/03/05	FR	43.11667
Asia/Shanghai	120.14278	good	2022-05-05	CN	32.50611
Europe/London	-2.1875	good	2017/12/18	GB	51.26
America/New_York	-75.64963	accep	2015-11-30	US	40.24537
Asia/Yakutsk	111.4834	accep	2017-04-02	RU	65.93381
Asia/Kolkata	75.96976	average	30 Oct 2012	IN	15.73628
Europe/Kiev	33.34864	average	04/14/2015, 00:00:00	UA	46.75451
Europe/Paris	3.87723	good	08/12/2017, 00:00:00	FR	43.61092
Asia/Tokyo	135.31667	average	2014/07/09	JP	34.25
Asia/Tashkent	72.34424	building	2014-08-21	UZ	40.78206
Europe/Rome	8.62118	building	01/22/2022, 00:00:00	IT	45.44694
Asia/Kolkata	75.16878	average	01 Jan 2018	IN	30.81383
Europe/London	0.30367	accep	2013/08/31	GB	51.38673
Asia/Shanghai	122.20488	accep	2021-05-20	CN	29.98869
Africa/Lagos	3.39467	average	12/26/2021, 00:00:00	NG	6.45407
Asia/Manila	123.89071	good	2015/01/30	PH	10.31672
Africa/Casablanca	-5.22126	average	05/07/2021, 00:00:00	MA	33.43443
Asia/Damascus	38.28402	accep	2014/06/11	SY	34.5624
Europe/London	-1.32471	building	2017-05-16	GB	51.40148
Asia/Yekaterinburg	60.8019	building	02/01/2016, 00:00:00	RU	56.9083
Europe/Berlin	9.02596	average	08/16/2018, 00:00:00	DE	48.21644
Europe/Berlin	10.03988	building	2017-04-12	DE	53.6052
Africa/Dar_es_Salaam	38.66667	excellent	02/03/2017, 00:00:00	TZ	-6.25
Europe/London	-3.05	average	2019-12-16	GB	53.81667
Europe/London	-1.29772	building	2018-09-09	GB	50.76306
Asia/Kolkata	79.41727	excellent	2018/04/26	IN	12.25282
America/Santiago	-71.19901	maintenance	2017-05-05	CL	-30.60106
Asia/Kolkata	78.55757	excellent	14 Jan 2022	IN	17.34769
Asia/Tashkent	69.67639	average	2017/01/08	UZ	41.29444
Europe/Istanbul	41.00817	average	12/16/2012, 00:00:00	TR	38.13708
Africa/Algiers	4.62744	good	2018-11-27	DZ	36.06386
Europe/London	-1.48119	maintenance	2016/10/22	GB	53.0233
America/Los_Angeles	-120.43572	building	2018-11-10	US	34.95303
Europe/Sofia	23.225	excellent	2021/03/21	BG	43.4125
Australia/Perth	115.8614	accep	2017/07/29	AU	-31.95224
Asia/Kolkata	85.94001	maintenance	16 Nov 2016	IN	25.49043
Asia/Shanghai	117.63083	accep	2012-10-19	CN	35.50056
Asia/Kolkata	86.79271	excellent	2016/07/02	IN	25.92127
Europe/Rome	17.80774	good	2013/03/23	IT	40.55851
Asia/Yekaterinburg	69.49015	accep	01/04/2013, 00:00:00	RU	56.11281
Asia/Yangon	98.19151	good	2015-10-25	MM	14.0823
Indian/Antananarivo	46.58333	good	05/20/2014, 00:00:00	MG	-21.15
Asia/Kolkata	74.3092	maintenance	14 Jan 2018	IN	33.37526
Africa/Cairo	31.4976	building	2015/10/24	EG	26.67319
Asia/Kolkata	84.63445	accep	2015/03/25	IN	24.81757
Asia/Bangkok	100.04427	accep	2022-01-28	TH	13.8196
Europe/Kiev	30.96755	accep	02/02/2020, 00:00:00	UA	49.07866
Europe/Amsterdam	4.47124	excellent	2014/08/31	NL	51.95838
Europe/Berlin	6.26667	average	2020-02-06	DE	51.21667
Asia/Karachi	72.54566	average	02/11/2022, 00:00:00	PK	29.69221
America/Chicago	-88.27205	good	2019/05/03	US	44.27804
Europe/Brussels	3.16667	accep	02/18/2014, 00:00:00	BE	50.8
America/Mexico_City	-103.5687	accep	2021/03/26	MX	20.22816
Asia/Aden	46.83187	good	2017/06/23	YE	14.53767
Africa/Lubumbashi	29.47306	accep	09/02/2021, 00:00:00	CD	0.49113
Europe/London	-0.32247	accep	2019-12-07	GB	50.82882
Australia/Perth	115.88782	good	2020-06-29	AU	-32.05251
Asia/Kolkata	78.15794	accep	2013-05-01	IN	12.1277
Europe/Kiev	33.9162	building	29 Jun 2020	UA	51.67822
Asia/Kolkata	91.61356	excellent	03 Mar 2021	IN	26.44931
Asia/Tokyo	137.95378	maintenance	11/05/2016, 00:00:00	JP	35.82756
America/Havana	-81.24441	excellent	2020-02-01	CU	23.15678
Europe/Paris	5.16108	good	2022/06/11	FR	48.77275
Europe/Kiev	27.06365	good	2014/09/16	UA	50.18545
Asia/Bangkok	99.96667	accep	12/12/2019, 00:00:00	TH	8.43333
Asia/Kolkata	82.85749	good	06 Jan 2018	IN	17.54907
Asia/Karachi	71.67164	average	2018-10-15	PK	30.29184
Asia/Kuala_Lumpur	100.24529	average	2013-03-26	MY	5.4709
Europe/Lisbon	-9.24671	maintenance	06/22/2013, 00:00:00	PT	38.72706
America/Caracas	-62.64102	average	2018-08-01	VE	8.35122
Asia/Kolkata	79.5286	average	2020/11/22	IN	29.22254
Africa/Dar_es_Salaam	35.7	excellent	10/17/2012, 00:00:00	TZ	-7.76667
Asia/Shanghai	122.74754	good	03/12/2015, 00:00:00	CN	40.85158
Asia/Shanghai	117.4831	average	2016-03-16	CN	27.34089
Europe/Rome	14.72443	maintenance	30 Aug 2022	IT	36.92574
Asia/Vladivostok	133.42825	accep	2018-12-29	RU	45.47885
Asia/Seoul	128.62667	accep	2016/05/29	KR	34.8825
America/Chicago	-86.77917	average	02/19/2020, 00:00:00	US	36.02506
Europe/Sofia	27.25	maintenance	30 Oct 2020	BG	42.7
Asia/Kolkata	73.66633	good	06/18/2014, 00:00:00	IN	25.92493
America/Sao_Paulo	-44.31389	average	2014/01/17	BR	-19.7625
America/New_York	-84.50855	excellent	2014/11/12	US	39.08367
America/Sao_Paulo	-44.31389	average	05/25/2018, 00:00:00	BR	-19.7625
Asia/Kolkata	78.40102	average	14 Feb 2018	IN	27.9247
Asia/Makassar	116.82887	average	2017/07/02	ID	-1.26753
Asia/Bishkek	73	accep	2019/11/11	KG	40.93333
Asia/Samarkand	67.84222	accep	2021/04/06	UZ	40.11583
Africa/Tunis	9.37082	excellent	2014/10/16	TN	36.08497
Africa/Dar_es_Salaam	38.66667	accep	2020-03-10	TZ	-6.25
Asia/Kolkata	75.96976	good	2015/04/19	IN	15.73628
Asia/Krasnoyarsk	89.20083	maintenance	05/23/2020, 00:00:00	RU	55.54028
Europe/Istanbul	40.74357	average	2020/05/15	TR	37.31309
Europe/Rome	8.62118	excellent	14 Feb 2018	IT	45.44694
Europe/Moscow	34.34691	good	26 May 2017	RU	61.78491
Europe/Istanbul	34.02537	good	11/30/2014, 00:00:00	TR	38.37255
Asia/Bishkek	73	excellent	08/13/2013, 00:00:00	KG	40.93333
America/Halifax	-63.13414	accep	24 Sep 2021	CA	46.23899
Europe/Berlin	9.22796	excellent	09/20/2022, 00:00:00	DE	48.46458
America/Maceio	-37.03861	excellent	2013-12-23	BR	-10.90889
Europe/Brussels	4.07601	excellent	2020-11-06	BE	50.88506
America/Manaus	-58.44417	maintenance	2016-12-24	BR	-3.14306
Asia/Kolkata	74.80555	maintenance	12/13/2015, 00:00:00	IN	34.08565
Europe/Minsk	31.3237	excellent	12 Feb 2014	BY	52.4089
America/New_York	-71.06616	average	01/21/2020, 00:00:00	US	42.4251
Europe/London	0.30367	average	2014/08/15	GB	51.38673
Europe/Paris	-4.1	excellent	2021-02-11	FR	48
Asia/Manila	123.33471	excellent	2014-06-17	PH	8.56697
Australia/Perth	115.88782	excellent	04/09/2013, 00:00:00	AU	-32.05251
Asia/Tbilisi	41.77921	excellent	2020-09-21	GE	41.82143
Europe/Lisbon	-9.24671	average	2019-06-11	PT	38.72706
America/Mexico_City	-100.44843	excellent	07/31/2014, 00:00:00	MX	20.74122
America/Mexico_City	-101.2591	maintenance	05/16/2019, 00:00:00	MX	21.01858
Europe/Rome	14.34085	maintenance	2012/12/01	IT	40.87363
Europe/Sofia	23.225	average	2014-08-06	BG	43.4125
America/Los_Angeles	-122.38731	average	26 Mar 2019	US	45.53929
Europe/Sofia	24.71204	excellent	22 Oct 2018	BG	41.57439
America/Argentina/Cordoba	-61.4867	average	09 May 2018	AR	-31.25033
Asia/Vladivostok	140.72287	accep	04/16/2017, 00:00:00	RU	53.14657
Europe/Rome	13.39954	building	2017/02/13	IT	43.62558
Africa/Accra	-1.98956	average	2021-02-03	GH	5.30383
Europe/Dublin	-7.95	excellent	2022/01/14	IE	53.43333
Asia/Damascus	36.7138	building	31 Mar 2019	SY	35.95664
Africa/Dar_es_Salaam	37.00438	excellent	2015-10-07	TZ	-7.60361
America/Los_Angeles	-119.0376	good	07/18/2018, 00:00:00	US	34.21639
America/Sao_Paulo	-49.27306	accep	2021-06-20	BR	-25.42778
America/Lima	-69.08333	excellent	2015/02/02	PE	-16.25
America/Maceio	-37.65	excellent	10 Nov 2020	BR	-10.91722
Asia/Shanghai	120.14278	good	05 Sep 2013	CN	32.50611
Europe/Paris	2.2469	average	2021/06/26	FR	48.90472
America/New_York	-72.86843	average	25 Oct 2021	US	41.27621
Europe/London	-4.0573	accep	25 Sep 2015	GB	55.82737
Europe/Paris	2.18967	accep	2014-06-02	FR	48.8765
Asia/Shanghai	122.74754	average	2020-09-28	CN	40.85158
America/New_York	-74.13653	good	2015-03-15	US	40.63316
America/Havana	-82.00919	excellent	2018/10/10	CU	23.04419
Europe/Rome	14.43865	average	06 Dec 2018	IT	40.87329
America/New_York	-70.92866	average	01/25/2020, 00:00:00	US	42.52787
Europe/Paris	2.25	accep	11/18/2016, 00:00:00	FR	50.75
Asia/Krasnoyarsk	89.20083	good	2016-01-18	RU	55.54028
America/El_Salvador	-89.71472	maintenance	2015/09/25	SV	13.73417
Europe/Berlin	8.64409	average	08/08/2015, 00:00:00	DE	48.07667
Europe/Warsaw	18.30056	accep	02/07/2016, 00:00:00	PL	50.5107
America/New_York	-74.96933	good	20 Aug 2022	US	39.71734
Asia/Shanghai	120.33063	excellent	2021-09-23	CN	37.65181
America/Argentina/Buenos_Aires	-59.13316	good	01/10/2017, 00:00:00	AR	-37.32167
Asia/Kolkata	88.1453	excellent	2020/07/06	IN	22.4711
Europe/Moscow	39.85331	excellent	2015/09/13	RU	57.30185
America/Sao_Paulo	-52.2	average	2020-02-02	BR	-28.44917
Europe/Istanbul	27.02444	average	19 Jan 2018	TR	39.59611
Asia/Krasnoyarsk	89.20083	accep	15 Oct 2015	RU	55.54028
Europe/Berlin	11.34046	accep	2018-07-06	DE	50.72043
Asia/Kolkata	76.56719	good	2015-07-17	IN	24.41288
Europe/Moscow	43.91385	average	2016/01/03	RU	54.03876
America/New_York	-81.26367	maintenance	2013-01-19	US	28.90054
Africa/Dar_es_Salaam	39.28333	accep	06/07/2021, 00:00:00	TZ	-10.33333
America/Lima	-73.25383	accep	2021/08/23	PE	-3.74912
Asia/Tokyo	138.89585	excellent	04/13/2018, 00:00:00	JP	36.33011
Europe/Rome	8.86374	accep	02/27/2022, 00:00:00	IT	44.89784
Europe/Warsaw	15.00835	good	16 Sep 2018	PL	51.14942
Asia/Jakarta	101.44167	maintenance	2020/01/23	ID	0.51667
Asia/Kolkata	84.63445	excellent	2022-08-07	IN	24.81757
Africa/Casablanca	-6.90656	average	2013-02-26	MA	33.92866
America/New_York	-77.4286	excellent	2015/11/26	US	39.00622
Africa/Tripoli	20.22625	average	2012/11/05	LY	30.75545
America/Guatemala	-91.11667	accep	2016/10/21	GT	14.93333
Asia/Shanghai	122.22833	average	2019/02/11	CN	40.66482
America/Vancouver	-119.27337	excellent	08/26/2013, 00:00:00	CA	50.26729
Africa/Douala	9.00472	maintenance	03/01/2014, 00:00:00	CM	4.2475
Asia/Kolkata	77.54372	good	2014-10-08	IN	10.12268
Europe/Berlin	7.02238	excellent	2020/04/24	DE	52.21099
Europe/London	-2.68758	average	2022-06-09	GB	53.69786
America/Mexico_City	-100.44843	excellent	2021-08-29	MX	20.74122
America/Mexico_City	-97.35992	average	28 Aug 2022	MX	19.8173
Australia/Brisbane	152.70493	good	12 Apr 2019	AU	-25.54073
America/Los_Angeles	-120.43572	accep	2017-10-08	US	34.95303
Asia/Tokyo	141.95	good	2014-11-18	JP	39.46667
Europe/Moscow	35.96944	maintenance	2022/09/27	RU	56.03361
America/New_York	-81.77285	average	2020/03/19	US	28.54944
America/Santiago	-71.23106	average	05 Nov 2021	CL	-32.45242
Europe/Moscow	30.28491	good	2015-12-18	RU	60.02427
Asia/Yekaterinburg	56.36091	good	2021-02-12	RU	51.78771
Australia/Sydney	151.08057	average	2019/07/07	AU	-33.79176
Africa/Dar_es_Salaam	37.73333	accep	2015/06/25	TZ	-4.06667
America/Chicago	-87.70172	good	12/05/2016, 00:00:00	US	41.72059
Europe/Warsaw	17.4674	accep	2020/12/20	PL	50.86079
America/New_York	-82.35176	accep	05/28/2014, 00:00:00	US	27.71809
Europe/Berlin	13.32127	good	06 Mar 2018	DE	52.59319
Africa/Algiers	2.95924	average	12/27/2012, 00:00:00	DZ	36.76775
America/Bogota	-73.26022	good	02/20/2019, 00:00:00	CO	6.46838
Asia/Kolkata	86.79271	building	2020/01/28	IN	25.92127
America/Los_Angeles	-115.98391	excellent	07/21/2014, 00:00:00	US	36.20829
America/New_York	-74.07764	good	10/11/2012, 00:00:00	US	40.72816
America/Los_Angeles	-122.2054	excellent	16 Mar 2013	US	47.76232
Europe/Dublin	-7.35	average	01 Dec 2015	IE	53.53333
Asia/Manila	121.06761	good	2022/05/06	PH	12.35275
America/Chicago	-95.36969	maintenance	08/28/2015, 00:00:00	US	35.74788
Europe/Skopje	21.32778	maintenance	2022/02/08	MK	42
Indian/Reunion	55.4504	building	2020/08/02	RE	-20.88231
Africa/Mogadishu	43.38531	good	07/19/2021, 00:00:00	SO	9.89206
Europe/Paris	2.44892	excellent	2015/03/01	FR	48.98693
Europe/Paris	2.29026	excellent	2013/02/15	FR	48.77644
Europe/Dublin	-7.35	good	2017-02-01	IE	53.53333
Europe/Rome	11.412	excellent	05/19/2017, 00:00:00	IT	45.50369
America/New_York	-73.95097	excellent	09/25/2018, 00:00:00	US	40.72371
Asia/Kolkata	76.35484	average	24 Oct 2015	IN	10.10649
Africa/Abidjan	-5.682	good	06/03/2022, 00:00:00	CI	5.84752
Europe/Helsinki	24.95034	accep	2022/06/06	FI	60.18427
Europe/Berlin	9.47629	average	10 Sep 2017	DE	53.59337
Africa/Algiers	4.85668	accep	11/13/2018, 00:00:00	DZ	36.27462
Europe/Paris	1.33467	average	05/17/2018, 00:00:00	FR	43.61058
Europe/London	-0.91979	maintenance	2017-11-16	GB	51.42708
Africa/Lagos	4.92235	accep	2013/08/22	NG	7.65649
Europe/Vilnius	24.75	average	2014-12-19	LT	55.25
Africa/Tunis	10.78222	accep	29 Jul 2021	TN	36.46917
America/Fortaleza	-42.29444	building	2013-04-23	BR	-4.24444
Asia/Colombo	79.883	maintenance	11/22/2015, 00:00:00	LK	6.9909
America/Argentina/Buenos_Aires	-59.13316	accep	11/17/2012, 00:00:00	AR	-37.32167
Asia/Taipei	119.58627	excellent	12 Sep 2019	TW	23.5654
Asia/Kolkata	79.41727	average	2015/02/02	IN	12.25282
America/Costa_Rica	-84.13722	excellent	2014/02/20	CR	9.92787
America/Toronto	-73.58248	excellent	09/30/2018, 00:00:00	CA	45.40008
Asia/Kolkata	74.3092	average	11/24/2019, 00:00:00	IN	33.37526
Europe/Paris	2.29026	good	16 Jan 2013	FR	48.77644
Europe/Istanbul	42.85693	building	2022/01/12	TR	39.22493
Africa/Algiers	4.62744	building	08/02/2018, 00:00:00	DZ	36.06386
America/Los_Angeles	-120.00865	maintenance	11/30/2019, 00:00:00	US	46.32374
Europe/Madrid	-8.2194	average	08/09/2021, 00:00:00	ES	43.48961
Europe/London	-0.36053	acceptable	01 Oct 2013	GB	51.64316
America/Chicago	-96.39774	accep	2018-02-19	US	30.16688
America/New_York	-73.89875	excellent	15 Feb 2013	US	40.93121
America/New_York	-70.92866	maintenance	2017-06-22	US	42.52787
Asia/Karachi	75.06583	good	2018/01/29	PK	32.17629
Asia/Karachi	72.54064	good	27 Jun 2021	PK	31.82539
Europe/Istanbul	28.67582	average	03/09/2013, 00:00:00	TR	40.98894
Europe/Lisbon	-8.2503	average	2022/08/10	PT	37.08819
America/Chicago	-94.41551	average	30 May 2018	US	39.09112
Asia/Almaty	84.87144	excellent	23 May 2022	KZ	47.46657
America/Argentina/Cordoba	-61.4867	average	2018-02-23	AR	-31.25033
Asia/Kolkata	73.06784	accep	02 Feb 2014	IN	25.13915
America/Argentina/Buenos_Aires	-58.70072	accep	2014/06/08	AR	-34.74785
Africa/Dar_es_Salaam	37.00438	good	2019-11-22	TZ	-7.60361
Asia/Qyzylorda	65.50917	building	2020-08-27	KZ	44.85278
America/Los_Angeles	-117.71978	excellent	27 Jan 2015	US	34.09668
Asia/Kolkata	77.54372	excellent	12/20/2020, 00:00:00	IN	10.12268
America/Toronto	-73.58248	building	14 Jul 2022	CA	45.40008
America/Chicago	-95.36969	excellent	2015/11/07	US	35.74788
Asia/Shanghai	113.82465	building	19 Jan 2018	CN	23.29549
Asia/Kolkata	83.36889	accep	04 Mar 2021	IN	26.76628
America/Chicago	-87.65644	maintenance	2020-08-20	US	41.80753
Australia/Sydney	146.05093	building	2015/01/26	AU	-34.28853
America/Maceio	-37.07167	excellent	25 Oct 2021	BR	-10.91111
Africa/Lagos	8.2926	excellent	2016/02/03	NG	9.58126
Africa/Maputo	35.34722	excellent	27 Mar 2017	MZ	-23.85972
Asia/Tokyo	135.6	accep	2017-11-15	JP	34.61667
America/Chicago	-97.92977	accep	06 Jan 2022	US	38.06084
Europe/Paris	5.16108	excellent	2015-11-25	FR	48.77275
America/Guayaquil	-79.00453	average	2018/01/28	EC	-2.90055
America/Chicago	-94.41551	building	2022-02-10	US	39.09112
America/New_York	-74.38987	excellent	2019/04/22	US	40.65538
Europe/London	-1.06667	accep	2016/08/25	GB	53.78333
America/Sao_Paulo	-44.31389	average	17 Dec 2016	BR	-19.7625
Asia/Shanghai	117.55417	accep	04/18/2017, 00:00:00	CN	34.86472
America/Sao_Paulo	-52.2	excellent	20 Aug 2020	BR	-28.44917
Europe/Rome	14.39024	average	05/12/2014, 00:00:00	IT	42.22718
Europe/Moscow	37.38115	accep	2017/04/10	RU	55.63711
America/New_York	-74.01042	good	2013/06/20	US	41.50343
America/Toronto	-73.81669	good	2015-05-15	CA	45.44868
Africa/Lagos	6.26764	average	2015/11/30	NG	4.92675
Asia/Shanghai	118.53333	good	30 Jan 2021	CN	27.92333
Europe/Paris	4.86667	average	07/31/2014, 00:00:00	FR	45.51667
Asia/Jakarta	110.8405	excellent	2022-08-04	ID	-6.8048
Indian/Reunion	55.4504	good	2016/05/17	RE	-20.88231
Asia/Bishkek	73	good	2019-02-06	KG	40.93333
Europe/Rome	11.412	accep	10/03/2013, 00:00:00	IT	45.50369
Asia/Kolkata	77.40858	good	12/23/2021, 00:00:00	IN	24.05979
Asia/Bangkok	100.48528	average	2013-02-27	TH	14.37395
America/Toronto	-73.86586	good	09/27/2016, 00:00:00	CA	45.43341
Asia/Krasnoyarsk	89.20083	average	2017-03-09	RU	55.54028
Europe/Rome	17.58522	good	10 Feb 2018	IT	40.53123
Asia/Tokyo	140.73667	maintenance	22 Oct 2019	JP	41.77583
America/Sao_Paulo	-51.50361	average	2016-02-13	BR	-29.2975
America/Chicago	-91.58045	good	2013/03/22	US	41.6764
Asia/Manila	124.84472	excellent	05/03/2022, 00:00:00	PH	10.13361
America/Chicago	-97.03285	average	03/17/2017, 00:00:00	US	47.92526
Asia/Tokyo	135.6	maintenance	2019/09/12	JP	34.61667
Asia/Kolkata	88.18466	accep	09/14/2014, 00:00:00	IN	22.19303
America/Port_of_Spain	-61.51889	accep	20 May 2013	TT	10.66668
America/Toronto	-73.81669	good	26 Nov 2015	CA	45.44868
Africa/Abidjan	-3.59625	excellent	12 Jan 2021	CI	5.27247
Europe/Paris	5.4584	excellent	2018-03-26	FR	43.32393
Europe/Paris	4.91667	good	2021-11-05	FR	45.73333
Europe/Moscow	37.99117	average	12 Sep 2015	RU	44.92934
America/Argentina/Cordoba	-60.93173	accep	2017-08-05	AR	-31.4488
America/Los_Angeles	-117.29198	excellent	2012-10-30	US	33.03699
America/Chicago	-86.78777	accep	2018-06-09	US	33.44872
America/Los_Angeles	-120.43572	accep	13 Jan 2014	US	34.95303
Europe/Madrid	-4.10734	excellent	26 Dec 2014	ES	38.68712
America/Bahia	-38.94722	maintenance	07/12/2014, 00:00:00	BR	-15.675
America/Caracas	-70.20749	good	04 Oct 2014	VE	8.62261
America/Edmonton	-113.3187	accep	2013/01/08	CA	53.51684
Europe/Berlin	8.4493	good	2016/11/25	DE	50.09019
America/Manaus	-58.44417	building	30 Oct 2014	BR	-3.14306
Asia/Shanghai	122.74754	building	12/03/2021, 00:00:00	CN	40.85158
America/Sao_Paulo	-48.62789	excellent	03/29/2017, 00:00:00	BR	-17.74431
America/Matamoros	-97.50417	good	16 Dec 2021	MX	25.87972
Africa/Ndjamena	18.69303	accep	2015-09-02	TD	12.18441
America/Bahia	-37.93278	maintenance	2017-07-30	BR	-11.48472
America/Argentina/Buenos_Aires	-58.38341	accep	19 Oct 2015	AR	-34.64966
Europe/London	-0.2	maintenance	2017/03/19	GB	51.65
Africa/Cairo	29.91582	excellent	14 Aug 2022	EG	31.20176
Africa/Libreville	13.58357	good	2019/09/25	GA	-1.63333
Europe/Berlin	13.10984	average	2017/03/23	DE	51.30001
Europe/London	-1.5443	excellent	08/03/2022, 00:00:00	GB	50.75767
Europe/Istanbul	28.67582	good	06/10/2019, 00:00:00	TR	40.98894
Europe/Helsinki	24.6522	excellent	2018/11/03	FI	60.2052
America/Sao_Paulo	-48.67028	maintenance	2017/12/17	BR	-28.24
Europe/Amsterdam	6.92917	excellent	2020-10-04	NL	52.31333
Europe/London	-2.09814	excellent	2019-10-18	GB	57.14369
Europe/Amsterdam	6.61944	excellent	25 Apr 2015	NL	52.57583
Asia/Krasnoyarsk	92.48278	average	2018/11/25	RU	58.23583
Africa/Tunis	10.58082	accep	2022-01-16	TN	35.72917
Europe/Madrid	-4.10734	average	07/01/2018, 00:00:00	ES	38.68712
Europe/Berlin	13.10984	excellent	04/09/2014, 00:00:00	DE	51.30001
America/Santiago	-71.23106	maitennce	2020/04/21	CL	-32.45242
America/Havana	-81.24441	excellent	2019/04/05	CU	23.15678
America/Los_Angeles	-117.70755	good	2013-07-29	US	33.52253
Asia/Jakarta	106.85417	good	12/14/2015, 00:00:00	ID	-6.48167
Europe/Paris	2.12213	maintenance	04/22/2014, 00:00:00	FR	48.8222
Europe/Madrid	-0.76773	building	2019-10-26	ES	38.38479
Africa/Kinshasa	15.16554	building	2016/09/15	CD	-4.5833
Europe/Moscow	37.38115	good	02 Sep 2020	RU	55.63711
Europe/London	-3.05	accep	02/25/2014, 00:00:00	GB	53.81667
Europe/Bratislava	17.22635	good	2013-11-23	SK	48.8449
America/Sao_Paulo	-43.80139	good	03/06/2021, 00:00:00	BR	-20.25333
Asia/Manila	124.84472	maintenance	2016-05-14	PH	10.13361
America/Chicago	-98.15529	accep	02 Jan 2022	US	26.18924
